,cid,votes,time,含hate,含hate中文翻译
12646,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DFwZcv8nYL,3,2 years ago,"aq2388k well i read the new the articles just like you do. i know how foreign media are talking about us, and i think i have also experience to judge whether they’re truth or not. i know why people hate us and i’m aware of everything you’ve mentioned, and i think you should know that the first person who started spreading hatred would never be a normal citizen. us and other government hate us because of different reasons, and they need their people to hate us. of course some of the bad news of china are true, but sometimes they exaggerate things, and make things up. hating the chinese government has already become the new justice in this century.",AQ2388K好吧，我像您一样阅读了新的文章。我知道外国媒体如何谈论我们，我认为我也经历了判断他们是否是真理的经历。我知道为什么人们讨厌我们，我知道您提到的一切，我认为您应该知道，第一个开始传播仇恨的人永远不会是普通公民。我们和其他政府由于不同的原因而讨厌我们，他们需要他们的人民恨我们。当然，中国的一些坏消息是真实的，但有时它们会夸大事物并弥补事情。讨厌中国政府已经成为本世纪的新司法。
12634,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0xHdjGMsF,3,2 years ago,@hayleyhyj525 bitch my grandmother is chinese. why would i fucking hate on chinese people? sit the fuck down.,@hayleyhyj525我的祖母是中国人。我为什么要讨厌中国人？坐下。
19458,Ugy_QzqW3SG-NLjCB-J4AaABAg.95ldyyr5X1u9624nKy0_dC,3,3 years ago,"when you are hated by some people, you will find out you're successful! that's why.",当您被某些人讨厌时，您会发现自己成功了！这就是为什么。
17621,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9844Pmoeq4W,3,3 years ago,"heardistance well, if this was a political video, you can say whatever you want i don’t care. but you said only poor and not well educated people like fairytales...hmmm..where does that conclusion come from? does it have any literatures and evidence there so far regarding to this point? junge mann, it really somehow provokes anger.",听到的是，如果这是一个政治视频，您可以说我不在乎的任何东西。但是您说只有贫穷而受过良好教育的人，例如仙女...嗯..这个结论来自哪里？到目前为止，它是否有任何文献和证据？朱吉·曼（Junge Mann），这确实以某种方式激怒了愤怒。
15570,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99nTE0ENbte,3,3 years ago (edited),"@lindseyrubenstein6028 instead of reading it and replying that you disagree, why not just read it and disagree without talking in the replies if you know you're just gonna get hate",@lindseyrubenstein6028而不是阅读它并回答您不同意，为什么不阅读它，而不同意，如果您知道自己会感到仇恨
21884,UgxHIkwhM0A3xgG1McF4AaABAg,3,3 years ago,iโ€ll never understand why thereโ€s so many dislikes. so many haters. this girl is amazing.,我永远不会理解为什么有这么多的不喜欢。这么多仇恨者。这个女孩很棒。
4256,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9URWNy3zpcO,2,1 year ago,@quito787 ignorant. no need to show your jealousy by faking things up and ruins our shows. do your research first or go to other channels. you're a hater with zero knowledge and iq.,@quito787无知。无需通过伪造事物并毁灭我们的表演来表现出嫉妒。首先进行研究或转到其他渠道。您是零知识和智商的仇恨者。
34188,UgysSQ43ZOAPGxXhzQN4AaABAg.8v99s_EOMMw8vA-1hHlQBJ,2,4 years ago,"china has never killed muslims. china has gathered uyghurs from remote rural areas to schools to teach them how to read and write, to learn some skills and to pay them monthly wages. these have spread to the west and become prisons, saying that china imprisons uyghurs. china kills uyghurs. it's ridiculous. why does the chinese government do this because many people in remote villages are illiterate all their lives? having never been out of their villages, brainwashed and blindly hated by extremist terrorists crossing the border, attacking local police stations and governments. although i don't agree with this compulsory learning practice, ordinary chinese people can't help it. i just tell you the truth is not the western media, falungong propaganda is just that. as a chinese in the west, i can only say about china reported by the western media. news, three points are true, seven points are rumors and slander",中国从未杀死穆斯林。中国将Uyghurs从偏远的农村地区聚集到学校，教他们如何读写，学习一些技能并每月支付工资。这些已经蔓延到西方并成为监狱，说中国被抹去了乌格尔人。中国杀死了乌格尔人。这太荒谬了。中国政府为什么这样做是因为偏远村庄的许多人都是文盲的一生？从来没有离开过村庄，被极端恐怖分子越过边界，攻击当地警察局和政府的极端恐怖分子。尽管我不同意这种强制性学习实践，但普通的中国人却无济于事。我只是告诉你，事实不是西方媒体，法伦隆宣传就是这样。作为西方的中国人，我只能说西方媒体报道中国。新闻，三分是真的，七分是谣言和诽谤
41918,UgxyNo4SMKUbeq_Vrcd4AaABAg,2,4 years ago (edited),"did she put dirt on the peanuts???????



not hate here uwu","她是否把污垢放在花生上？



不讨厌uwu"
48901,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8rZn3xAGVrG,2,4 years ago,"@joseph4388 the life isnt easy overthere, ppl dont pet dog, they training dog as a guardian, they dont feed dog pet food, dogs eat whatever master offered. these dogs are very tought, they aer loyal to the master and aggressive to the outsiders.",@joseph4388生活并不容易，ppl d't tot pet狗，他们训练狗作为监护人，他们不喂狗宠物食品，狗吃任何师父。这些狗非常笨拙，它们忠于主人，并为局外人带来了积极的态度。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
24986,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW90_mH0EekVI,2,3 years ago,"matt schwartz western media hates china without doubt, so why u still believe that? u will never know truth unless u touch it! come to china and u will know the truth!!",马特·施瓦茨（Matt Schwartz）西方媒体毫无疑问地讨厌中国，所以你为什么仍然相信呢？除非您触摸它，否则您将永远不会知道真相！来中国，你会知道真相！！
34375,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vA6VcK6u0_,2,4 years ago,"@skynetalias i hate showing vulnerability, but its achingly beautiful!!!",@skynetalias我讨厌表现出脆弱性，但它非常美丽！！！
24141,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92R9TThyF2-,2,3 years ago,@user-vy8dt6de7k silly silly silent smart smart smart smooth speaking under the rural video really hates that the party has become the streets that are crowded by the street.,@user-vy8dt6de7k 傻逼弱智东西 在人家田园视频下喷粉 果然恨国党现在都变成了过街老鼠人人喊打的玩意儿 素质极低 满嘴喷屎 呸 吐上一口口水再让老子踩上一脚
45207,UgzTCXyKQeyX7chJclt4AaABAg.8r79rCByiEq8rB5lMcmfRQ,2,4 years ago,"m c have a principle. if you have prejudice, don't watch chinese content. but if you watch, don't spread your prejudice and hate. you make indians look low and inferior.",M C有一个原则。如果您有偏见，请不要看中文内容。但是，如果您观看，请不要散布偏见和仇恨。您使印第安人看起来很低且劣等。
45208,UgzTCXyKQeyX7chJclt4AaABAg.8r79rCByiEq8rBDJKzh1mn,2,4 years ago,"m c prejudice is not reality. east asians all the same: koreans eat dogs too, japanese boil live octopus. of course, not everyone. if you don't have prejudice, why aim at china, even claiming this beautiful vid isn't chinese just becoz an indian aditya praised china. you yourself love watching, yet you spread hate. this reflects jealous and inferiority of character!! chuyita like you make indians look bad!",m c偏见不是现实。东亚都是一样的：韩国人也吃狗，日本煮沸的章鱼。当然，不是每个人。如果您没有偏见，为什么要瞄准中国，甚至声称这个美丽的vid并不是中国人只是因为印度的阿迪亚（Aditya）称赞了中国。您自己喜欢看，但您传播了仇恨。这反映了性格的嫉妒和自卑！ chuyita就像你让印第安人看起来不好！
43029,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8r_gHOF3pZY,2,4 years ago,don't hate your life! find something you love doing like this girl and learn to love yourself and your life.,不要讨厌你的生活！找到自己喜欢做的​​事情，例如这个女孩，学会爱自己和生活。
39349,Ugyh58SjL0UukkR2VIJ4AaABAg,2,4 years ago (edited),"i'm so obsessed with your this type of video. light music on the background and the sound of whatever you're making, so satisfying. you rapped everything so nicely so beautifully. everything is so perfect ๐‘ love from pakistan. your work is absolutely awesome ๐‘๐‘",我非常着迷于您的这类视频。背景上的淡音乐和您所做的任何声音，如此令人满意。您很好地说了一切。一切都是完美的
32873,UgwBeE7QVCt3Pz3scTJ4AaABAg,1,4 years ago,i watched this until finish in order to see her lovely grandma face. and i hate myself when it doesnt exist,我一直看着这个直到结束，以看到她可爱的奶奶脸。我讨厌自己不存在
17631,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98P9rE3NaF6,1,3 years ago,"@royaltyfreeonlineanimemusic thanks. most people are not ready for the truth. living in phantasies like this here, created by someone artificially. this help them to escape frome reality. so i understand they hate against me.",@RoyaltyFreeonlinAneAnimemusic谢谢。大多数人还没有为真相做好准备。在这里生活在像这样的人人为地创建的幻想中。这有助于他们逃避弗罗姆的现实。所以我知道他们讨厌我。
23098,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92ueN9WdkkE,1,3 years ago (edited),"@gtp1542 so do you know that a great number of hate-filled young men in balaclavas attack police, some of them were armed with sharp objects and stabbed the officer in the neck, some bullied the old and an 57-years-old man was sprayed with flammable liquid and burned, some hit their parents because of different positions, some blocked the subway doors which made the hongkong society disordered...so many crimes they've done and some people died in this case, those young are not fight for democracy, they are terrorists in the masks, but it can be hard for people all around the world to know the truth because western journalists' camera were always pointed at hongkong police to let people believe that policemen are cruel when they hold their guns, but no one knows those crimes done by people in masks.",@gtp1542所以你知道有大量仇恨的年轻人在巴拉克拉夫袭击警察中，其中一些人武装着锋利的物体，并刺伤了脖子的军官，一些人欺负了那个古老的，一个57岁的男人喷洒了易燃液体并被烧毁，有些人因不同的位置而袭击了父母，有些人阻止了地铁的门，这使香港社会混乱无序……他们犯了很多罪行，有些人在这种情况下死亡，那些年轻的人没有战斗对于民主来说，他们是面具中的恐怖分子，但世界各地的人们可能很难知道真相，因为西方记者的摄像机总是指向香港警察，让人们相信警察在握着枪支时是残酷的但是没有人知道那些用面具的人犯下的罪行。
22914,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tbeS-0V6j,1,3 years ago,"@priscillayang499 of course, the people who eat dogs don't respect you too, and they don't care about what you mind. and, what can you do? 
you just love your human friends the dogs, but you hate your human of the same kind with you. is it a joke? 
your friend of the dogs bit more than 3000 people to die every year and hurt more than 50 million people. is this thing you call it your friends? 
btw, the cow helps humans do lots of farming work and provide the milk for humans, it's much better than dogs, why you don't censure the people eat beef? 
i think the kind of person of you are just a selfish person who cares about yourself feeling only.","@priscillayang499当然，吃狗的人也不尊重你，他们也不在乎你所介意的。而且，你能做什么？
您只是爱您的人类朋友狗，但您恨您的人类。这是个玩笑吗？
您的狗的朋友每年有超过3000人死亡，并伤害超过5000万人。这是您称之为您的朋友吗？
顺便说一句，牛帮助人类做很多农业工作，为人类提供牛奶，它比狗好得多，为什么您不谴责人们吃牛肉？
我认为，您的那种人只是一个自私的人，他们只关心自己。"
20914,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu95Az35X9lJp,1,3 years ago (edited),"i hate living in the cities. both my parents grew up on the countryside and got to grown their own food. i'm tired of this fake, ultra-processed food and the constant noise and pollution (light pollution too). from the summers i spent in my grandmother's village, life was so simple and calm. we got to eat real food and spend time in nature. i wish i could move out to the countryside. i want to have my own garden and maybe some chickens. i'm too young and don't have much money now, but one day in the future i will. i've noticed many people my age wanting to reconnect with nature again. i hope this becomes a revolution for our generation",我讨厌住在城市。我的父母都在乡村长大，并自己种植了自己的食物。我厌倦了这种假的，超级加工的食物以及持续的噪音和污染（也是光污染）。从我在祖母的村庄度过的夏天，生活是如此简单和平静。我们必须吃真正的食物，并花时间在大自然中。我希望我可以搬到乡村。我想拥有自己的花园，也许还有一些鸡。我太年轻，现在没有太多钱，但是将来有一天我会。我注意到许多我这个年龄的人都想再次与自然重新建立联系。我希望这成为我们这一代的革命
31868,UgzjWC9L-F59F3yS2L14AaABAg,1,4 years ago,her cute animal followers! omg! i'm jealous! animals seem to hate me!,她可爱的动物追随者！我的天啊！我嫉妒！动物似乎恨我！
26071,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ8zuozXVXgqy,1,3 years ago,i was just kidding lol :d iโ€d sure like to have one like this that follows me around and is also cute and cuddly but idk if iโ€m responsible enough. i used to keep a pet rabbit and it pooped so much and i hated to having to clean it up. so pets are out of the question for me! xd,我只是在开玩笑：D：D我肯定会有这样的人跟随我，也很可爱，也很可爱，但如果我足够责任，则IDK。我曾经保留一只宠物兔子，它大便了很多，我讨厌必须清理它。所以宠物对我来说是不可能的！ XD
20627,UgyURF3plFkueUSrT2V4AaABAg,1,3 years ago,"i'm 13 and i feel like this is how this is how life should be instead of hate, war, drugs and all that crappy stuff everywhere. everything would be better if more ppl were like this. i want to live like this when i'm older. it's so beautiful",我13岁，我觉得这就是生活应该如何而不是仇恨，战争，毒品和所有这些cr脚的东西。如果有更多的ppl这样，一切都会更好。我想在年纪大的时候这样生活。这个很漂亮
31038,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLiaUhOiPo,1,3 years ago,"@mergistribu like i said you don't see everything and she's obviously a busy woman. i am just stating what is right. also if you are indeed older, well that'd be awkward. i guess some people mature much later than others ๐คทโ€โ๏ธ the unnecessary hate you give won't make a difference but will just backfire on you later on... just saying. anyways, have a nice day! โบ๏ธ๐",@mergistribu就像我说的那样，您看不到一切，她显然是一个忙碌的女人。我只是在说什么是正确的。另外，如果您确实年纪大了，那会很尴尬。我想有些人比其他人晚得多
16427,Ugy5bDisC5RYZoviSHF4AaABAg,1,3 years ago,i burnt my cast iron skillet..... making hashbrowns..... how the crap do you do all that and all i do is burn skillets!!!!???? i didnt even know burning a skillet was possible!!!! i'm 14 and learning to cook so pls don't hate me,我燃烧了铸铁煎锅.....制作悬面.....您如何做所有这些，我所做的就是燃烧的煎锅！我什至不知道燃烧煎锅是可能的！我14岁，学习做饭，所以请不要恨我
27258,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB91ngYWv6reK,1,3 years ago,"""and even with the fly cams and papparazi, she still continues to create videos"" - geez, people can't just leave her alone? i would hate to see her stop doing videos because of these morons who don't respect her privacy.",“即使有了苍蝇摄像头和帕帕拉齐，她仍然继续制作视频” - 哎呀，人们不能只是让她一个人吗？我不愿看到她停止拍摄视频，因为这些白痴不尊重她的隐私。
21129,Ugy1h4cZ-wcVU9NeypR4AaABAg.93zj_9LhTny98tfl5kRZSb,1,3 years ago,"natan the 6th pfft, if a chinese person saved your life youโ€d still whine about โ€propagandaโ€. just save your breath and say you hate chinese people.",纳坦（Natan）是第六个PFFT，如果一个中国人挽救了您的生命，您仍然会对“宣传”抱怨。只要屏住呼吸，说您讨厌中国人。
33907,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd496aFL-D9L6H,1,3 years ago,"@ingestrauss3826 ngl, i'd love to have a life that she's experiencing. people in this day and age in america for example; we're told that as long as we work hard in life then we can be successful. that's not true at all. these days, even if you work hard toward something, you still have tests or requirements you have to have for a certain job you may want, maybe you have to be a certain age, etc. what honestly defines how successful you're in america now is based on how smart you're. if you're smart and get a good education which is sometimes hard even for people who are actually smart, then you will more than likely get a good high paying job and be set in life. if you're not that smart, struggle with a physical or mental disability, or you're smart, but something in life is setting you back to fail in life, then you're basically fucked. what i can at least tell from our life in the us, you're entire life depends on 2 pieces of paper.... your high school diploma and then a college degree. if you have both of those papers in life then you're set, if you only have one, you might be able to get a job, but it will be hard. if you have neither, then have fun working at mcdonalds for your entire life. the life that this chick has though, is honest hard work. it's not work that requires you to be something you're not or whatever. she's living a nice hard working life. it's simple sometimes, satisfying, honest, maybe it's a struggle sometimes, but it's not a pain to where you want to have a mental breakdown or it's gonna make you fail in life. her life is what i think everyone wishes they can have. that's why her vids are addicting to at least me since i long for a life like that.",@Ingestrauss3826 NGL，我很想拥有她正在经历的生活。例如，在美国这个时代的人们；我们被告知，只要我们在生活中努力工作，我们就可以成功。完全不是真的。如今，即使您努力努力工作，您仍然需要您想要的一定工作，也许您必须要年龄在一定年龄等。现在是基于您的聪明程度。如果您聪明并接受良好的教育，即使对于那些真正聪明的人来说，有时甚至很难，那么您很可能会获得一份高薪工作并在生活中得到一份良好的工作。如果您不那么聪明，与身体或精神残疾斗争，或者您聪明，但是生活中的某些东西使您重新失败了，那么您基本上就被操了。我至少可以从我们在美国的生活中看出，您的一生都取决于2张纸。...您的高中文凭，然后是大学学位。如果您在生活中都有这两个论文，那么您已经准备好了，如果您只有一篇论文，那么您也许可以找到一份工作，但这很难。如果您都没有，那么一生都在麦当劳工作。但是，这只小鸡的生活是诚实的努力。不需要您成为您不是或其他任何事情的工作。她过着美好的工作生活。有时候很简单，令人满意，诚实，也许有时是一场挣扎，但这并不是您想要进行精神崩溃的地方或会使您的生活失败的痛苦。我认为每个人都希望自己能拥有的生活。这就是为什么她的视频至少让我上瘾，因为我渴望过这样的生活。
24190,UgzL-LCa75ONhwKxZdJ4AaABAg,1,3 years ago,i want to live with you and eat whatever you make....looks awesome life you are living...,我想和你一起生活，吃你做的一切。...看起来很棒的生活...
15390,Ugx8pyuQywvrtmbcTSl4AaABAg,1,3 years ago,i understand why 25k people disliked ，they can see it but cant get it，the ultimate jealousy is hate,"我了解为什么25,000人不喜欢，他们可以看到，但不能得到它，最终的嫉妒是仇恨"
16061,UgyGOpgYzsE4GCACBhB4AaABAg.98y83XFyfrD9ABxeRP6MgQ,1,2 years ago,if haters don’t like the video then don’t watch it.why do they always have to ruin it to other people who never watch it,如果仇恨者不喜欢视频，那就不要看。
5618,Ugy2K6Z62UuAyoZ67BR4AaABAg,1,2 years ago,there are so many reasons to hate china but this is the one to love it.,讨厌中国有很多原因，但这是喜欢它的人。
8617,Ugzn_XY12C3JMBNL0zF4AaABAg,1,2 years ago,"90% korean
i understand that china is hateful
i'm pouring out the political hate
beyond rational criticism
but who will look good","90％韩国
我知道中国是仇恨的
我正在倾泻政治仇恨
超越理性批评
但是谁会看起来不错"
9728,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9HSrXPUYlR7,1,2 years ago,@iriyabran sounds like you hate your job. have nothing else to do apart from work?,@iriyabran听起来好像您讨厌工作。除工作之外别无其他吗？
39450,UgxwPT09VEztTcBELeZ4AaABAg,1,4 years ago,u both bitch.. can't u give something to that little poor dogs.. chinese ppl are like this only.. stingy and rude to animals .. i hate this video,你们两个都bit子..你不能给那个贫穷的小狗..中国人只有这样的。。。我讨厌这个视频
10562,Ugzz1ZZwO7JWu1WYPhl4AaABAg,1,2 years ago,i hate people who are not crushed! those who live in the spirit of others ... hahaha,我讨厌那些没有被压碎的人！那些以他人精神生活的人...哈哈哈
