,cid,votes,time,含grandma,含grandma中文翻译
50661,UgzDE9cFhrFHx4BsILN4AaABAg,1,4 years ago,the hat worn on the nipple of grandma is good. does anyone know what special meanings are?,奶奶头上戴的帽子好特别哦，有人知道是什么特殊寓意么
45837,UgzTUVP6uV7Hc28Joxt4AaABAg,1,4 years ago,"why are there no adverts in her videos? she should be monetising her videos to help her and her grandma, and also to allow her to make more quality videos. i wonder why?",为什么她的视频中没有广告？她应该为自己和祖母提供货币货币货币，并允许她制作更多优质的视频。我想知道为什么？
20663,UgyvKcrw8Kzz7DpTutZ4AaABAg,1,3 years ago,"siter every cooking than food 
cooking in grandma","每一个烹饪者都比食物
在奶奶做饭"
9228,UgzEJtqnWKS8iPIE8BR4AaABAg,1,2 years ago,my grandma hope i can be like her...i’m like bruh nainai...,我的奶奶希望我能像她一样...我就像Bruh Nainai ...
17109,UgyhzjRnv1MafUH0Prx4AaABAg,1,3 years ago (edited),"some of the english translation is not correct. should be rock sugar not rock candy, snowflake crisp should be snowflake naughat, fried melon seed should be salted sunflower seed, salted peanuts, tomato sticks should be tanghulu or candied fruits (unless she made a special candied tomatoes for her grandma that she didn't show us in the video).",一些英语翻译不正确。应该是岩石糖而不是岩石糖果，雪花酥脆的应该是雪花淘汰，炸瓜种子应该是腌制的葵花籽，咸花生，番茄棒应该是汤胡卢或蜜饯（除非她为祖母做了一个特殊的蜜饯番茄，否则在视频中向我们展示）。
4927,UgyOqUZ6VyDDfejBuBh4AaABAg,1,1 year ago,i love how you take care of your grandma,我爱你如何照顾奶奶
47294,UgwbILs4Ylhr6BvaY1d4AaABAg.8qp9d0li3B98qpnngs-2UN,1,4 years ago,"kerem öztürk i guess those are gifts for neighbors and relatives. it's our tradition to send gifts to our relatives and neighbors during our spring festival , and she might keep some for her grandma and herself as snacks",Keremöztürk我想那是给邻居和亲戚的礼物。在我们的春节期间，向我们的亲戚和邻居发送礼物是我们的传统，她可能会为奶奶和她自己保留一些小吃
13178,UgxvMobrsgXgj_ecQ0N4AaABAg,1,2 years ago,"when i was a child, i used to make penut candy with my grandma",当我还是个孩子的时候，我曾经和祖母一起制作Penut糖果。
13525,Ugzustomqqj_Of7Iqy94AaABAg.9BjCoNn8wqA9CE7U3CRLrw,1,2 years ago,the grandma should cover her ears instead because she is so seasoned and steady,奶奶应该遮住她的耳朵，因为她是如此调味和稳定
48636,UgwZim8Cbuv1wlJ3aS94AaABAg.8qmfczkUPWS8qmiZS9t89u,1,4 years ago,"her mom died, its her grandma",她妈妈去世了，她的祖母
48669,UgxzDsnS5plqNEqCcbh4AaABAg.8qmccgYY93i8qmdkLu8Ttw,1,4 years ago,"grandma has recently urged ziyi to find her boyfriend quickly, ziyi always called the assistant to take the topic off the topic",奶奶近来一直催子柒赶快找男朋友，子柒总是叫助理他们把话题岔开
14391,UgxvyMSzge8FOcBmUmt4AaABAg,1,2 years ago,i don't really like to cook but i like watching this young woman. her work ethic is inspiring. i hope that she gives all that food away and not trash it. it's not possible that she and her grandma eat all that. lol but i really enjoy li's videos.,我真的不喜欢做饭，但我喜欢看这个年轻的女人。她的职业道德令人鼓舞。我希望她把所有的食物都放弃，不要垃圾。她和她的祖母不可能吃掉所有这些。大声笑，但我真的很喜欢李的视频。
11729,UgwzYxN9LA4p2iO9cdF4AaABAg,1,2 years ago,her and her grandma would live comfortably through a zombie apocalypse. she even has a wall surrounding her house.,她和她的祖母将通过僵尸启示录舒适地生活。她甚至在房子周围有一堵墙。
11629,UgzUDJ5v5kJu_oSy2UJ4AaABAg,1,2 years ago,her grandma is so precious!,她的祖母是如此宝贵！
14774,UgxFHFJt9tEQnTHQaJZ4AaABAg,1,2 years ago,"thank you for all the effort you put in every video. you and your grandma are adorable. it's amazing how many things you do cooking, furniture, .... i wish i could live like you. regards from spain",感谢您在每个视频中所做的所有努力。你和你的祖母很可爱。您做烹饪，家具的事情真是令人惊讶。...我希望我能像你一样生活。来自西班牙的问候
24305,UgyObTWLwwBz3pwgYFV4AaABAg,1,3 years ago,"i want to be that grandma, haha ๐ โค๏ธ",我想成为那个奶奶，哈哈
14891,Ugw3iUjau9lUA75q3oV4AaABAg,1,2 years ago (edited),i wonder who eats all that food? 's too slim..... grandma,我想知道谁吃了所有的食物？
15084,UgzQP__jIbd9L0C78SJ4AaABAg,1,3 years ago,"i thought this channel is about cooking, but all i see is love and care. 
love grandma’s hat","我以为这个渠道是关于烹饪的，但我所看到的只是爱与关心。
爱奶奶的帽子"
11576,Ugx09Lf4ek9nq6HBihR4AaABAg,1,2 years ago,"love your grandma, dogs, sheep. thanks love to you ๐น๐น๐นfrom usa.",爱你的祖母，狗，绵羊。谢谢你
47751,Ugwo48bKAQ2L7YxOdQh4AaABAg,1,4 years ago,i know i am skeptical but i cant help but ask myself if she really lives like that or if that all just show.. her house garden grandma etc..,我知道我持怀疑态度，但我忍不住问自己她是否真的这样生活，或者这一切都表现出来..她的房子花园奶奶等
15864,Ugwxb9a_Fp40Kz0QGK94AaABAg,1,3 years ago,grandma is so cute,奶奶是如此可爱
16444,UgzHEI0B8FiAAp-b1bh4AaABAg.98ge8f78l8C99Nl8v8OiDe,1,3 years ago,"yeah it's a real chinese girl, her parents got a divorce when she was little, her stepmother treated her badly, so she lived with her grandparents. her grandpa taught her all the skills but he past away. she couldn't find a good job and was very poor. now she lives with her grandma and does all the things on her own, she earns some money but still lives this way, it's her daily life",是的，这是一个真正的中国女孩，她的父母小时候离婚了，继母对她的治疗不好，所以她与祖父母住在一起。她的爷爷教她所有的技能，但他过去了。她找不到一份好工作，非常贫穷。现在她和祖母一起生活，自己做所有的事情，她赚了一些钱，但仍然生活，这是她的日常生活
16570,UgxZcBCRcE-yPFXpcDN4AaABAg,1,3 years ago,plot twist: grandma was john wick ......,情节扭曲：奶奶是约翰·威克（John Wick）......
9935,Ugx8kU6WtdpS1r4-mTZ4AaABAg.9GbpI4M9sPt9GjYaAZWgU8,1,2 years ago,"@willbright7652 she is a girl living in a remote area by herself and her grandma without any job. sharing her video is a way for her to make a living. anyway, why it matters to you? if an american share a video on youtube, should you ask him or her if he/she is a republican or democrats? it does not make sense.",@willbright7652她是一个独自生活在偏远地区的女孩，没有任何工作。分享她的视频是她谋生的一种方式。无论如何，为什么对您很重要？如果美国人在YouTube上分享视频，您是否应该问他或她是否是共和党人或民主党人？它没有任何意义。
5043,UgxJ9jO8gJsEc5kkPSJ4AaABAg,1,1 year ago,"every time grandma appears, i cry!",每当奶奶出现时，我都会哭泣！
48449,UgyG2R_yDfkEUaxGusJ4AaABAg,1,4 years ago,oh my woww all thst delicious food they will never get hungry the nature provide abundance of blessings. love grandma beautiful cute hood. two delicious ladies with pure heart. love you both li zi qi and grandma. cute dogs love love love.,哦，我的哇，所有美味的食物，他们永远不会饿的大自然带来了丰富的祝福。爱奶奶美丽的可爱引擎盖。两位美味的女士纯洁的心。爱你，李齐和奶奶。可爱的狗爱爱爱。
23712,UgwM0dySKx7ZUT-Fned4AaABAg.92EWx_NqxMa92e-lCxPxpU,1,3 years ago,"in taiwan, grandma means grandmother.",在台湾，阿嬷就是祖母的意思。
3919,UgzXr8sG4K7EZR91uld4AaABAg,1,1 year ago (edited),"a year ago i wrote the following:

7800000 omg! will see 8000000 today! the history is in the making. the art of making money. the history of personal media.

今天是2021年9月21日

ziqi doubled the number of her fans in less than 12 months, now at 16000000 strong, and continues her happy life with her dearest grandma . 

ziqi, please don’t bother yourself with any bad comment or negative media reports and just continue what you did in the past few years. 

work out one video each month or so is working very well for everyone and don’t work too hard 

you are so loved, admired, jealously envied but most importantly, you are so needed by this crazy world that is struggling with the pandemic for almost two years now. 

your efforts are helping millions and millions of people each day around the globe. 

i can hardly believe this but i just can’t help admitting it because it is a fact! 

just read the millions of comments from every corner of this world and you see what i am talking about. 

子柒","一年前，我写了以下内容：

7800000 OMG！今天将看到8000000！历史正在创造。赚钱的艺术。个人媒体的历史。

今天2021年9月21日

Ziqi在不到12个月的时间内，现在达到了16000000的Strong，她的粉丝人数翻了一番，并与她最亲爱的奶奶一起延续了幸福的生活。

Ziqi，请不要为任何不好的评论或负面媒体报道打扰自己，只是继续您在过去几年中所做的事情。

每个月左右制定一个视频对每个人都非常有效，并且不要太努力

您是如此的被爱，敬佩，嫉妒，但最重要的是，这个疯狂的世界非常需要您在大流行中已经近两年了。

您的努力每天都在帮助全球数百万人。

我几乎不敢相信这一点，但我只是不禁承认，因为这是事实！

只需阅读这个世界各个角落的数百万条评论，您就会看到我在说什么。

子柒"
21875,Ugw3-bf8BM4cE2UmqI54AaABAg,1,3 years ago,rip wish my relationship with my grandma was like that :/,RIP希望我与祖母的关系就是这样：/
21408,Ugw_1AFtFr5qmitLGoN4AaABAg,1,3 years ago,her grandmaโ€s so cute ๐คงโค๏ธ,她祖母真可爱的
23254,Ugz51TkJcTlTchpooeF4AaABAg,1,3 years ago,wish you have a wonderful future and grandma has a healthy and long life!,希望您有美好的未来，并且奶奶拥有健康，长寿！
43114,Ugw1VdwYGn21PA9WWFt4AaABAg.8rRGTP9aYWR8rS1yONH8Qd,1,4 years ago,"real house. she was a dj previously, but back to village to take care her grandma years ago.",真正的房子。她以前曾是DJ，但回到村庄，几年前照顾她的祖母。
51098,UgwzkibYhy6L8s16FFp4AaABAg,1,4 years ago,"happy new year to you, your grandma, and team!",祝您，您的祖母和团队新年快乐！
51806,UgxenhWCdz17XKJFvrR4AaABAg,1,4 years ago,finally saw your video again ... i wish you a happy chinese new year with your grandma and your grandmother,终于又看到妳的视频…祝~妳与妳的老奶奶新春愉快，万事顺意
23911,UgwCeTzrgbNYkTwjfKp4AaABAg,1,3 years ago,im amaze that ur helping ur grandma its the way of sharing ur love,我惊讶地帮助您的奶奶分享您的爱的方式
51081,UgxCP7XxnMXaiAsc_sV4AaABAg.8ql_ahZLACt8qlpZz8uUZE,1,4 years ago,"then her father die, stepmother abandon her , her grandmather and grandfather raise her up .",然后她的父亲死了，继母抛弃了她，她的祖母和祖父将她抚养起来。
51198,UgwUp1TGihrnwx93kbp4AaABAg,1,4 years ago,wow superb i wish if i had this life..... plucking whatever necessary from my garden.... a care free life ..... with all those animals grandma..... it's one of a kind...... also i do have a request may i visit your place the very next time pls consider this,哇，我希望如果我有这个生命..... ....我也有一个请求
21084,Ugz6PRvmqIvMlEx2CRZ4AaABAg,1,3 years ago,"must be healthy, grandma in life is her closest person",一定要健康啊，人生中奶奶就是她最亲的人了
52486,UgzBACR3MkXbz0vjrrx4AaABAg,1,4 years ago,the way she ran to cover grandma's ears,她的跑步方式覆盖了奶奶的耳朵
51024,UgzSsthatB70rntfmdZ4AaABAg,1,4 years ago,happy new year to ziqi and her grandma...actually u guyz gets new year twice a year...so lucky......i really wanna come there and celebrate with u dear...don't forget to invite us...and i will buy all the candies you have made..love you,Ziqi和她的祖母的新年快乐...实际上，盖伊斯每年两次新年...很幸运......我真的想和你一起庆祝，亲爱的...别忘了邀请我们...我会买你制作的所有糖果..爱你
1274,UgxBf12wv5nygPjuOnJ4AaABAg,1,9 months ago,i wish grandma all safe,祝愿奶奶一切安好
484,UgwMN9LZHstPmnLcLIF4AaABAg,1,3 months ago,i am the one who never tired to watch your video because of your talent your love for grandma but nowadays you makes us worried about late post videos.pls keep continued your job we love you so much,我是那个从不疲倦观看您的视频的人，因为您的才华您对奶奶的热爱，但是您使我们担心后期的帖子视频。
392,Ugw1gdzGJsjA-hnQRFl4AaABAg,1,2 months ago,"me and my grandmother used to watch her and then somehow we stopped. now we wanted to find her here on yt but we couldn't and i searched ""chinese girl cooking with old grandma"" and this video appeared. i was so happy",我和我的祖母曾经看着她，然后我们以某种方式停了下来。现在，我们想在YT上找到她，但我们无法找到她，我搜索了“中国女孩用老奶奶做饭”，这段视频出现了。我很高兴
23031,UgwKpsN6uqJqfQ2PFCV4AaABAg,1,3 years ago,is there a antlers on the grandma's hat? so cute,外婆的帽子上是不是有鹿角啊？好可爱
23351,UgyiYrw1NFY6kzp74vN4AaABAg,1,3 years ago,"it is not easy to be moved to make this kind of picture. it is necessary to pack a mountain with various fruit trees and agricultural agriculture first, and then rent an old grandma with a rural sound. after the director of the photography artist is edited, these are also required.",感动感动，能拍出这种画面实属不易，要先包下一座有各种果树、农产的山，再租一个有乡音的老奶奶，导演摄影美工剪辑后制这些也是要请。
37881,UgxlDuYlau9KOcp1HFB4AaABAg,0,4 years ago,"li ziqi, i send to you all my best wishes and thanks for this inspirational way to live! the love for your grandma is a way to be, correspond to the love was given to you!!",李齐（Li Ziqi），我向您发送了我所有的良好祝愿，并感谢这种启发性的生活方式！对奶奶的爱是一种方式，与您的爱相对应！
37863,UgxyKHy_ieSXlD8NGhh4AaABAg,0,4 years ago,i love all the special memories she is making with her grandma! ๐’,我喜欢她与祖母一起做的所有特殊回忆！
49132,UgyRAay7Es4STrYDvLZ4AaABAg,0,4 years ago,love to your beautiful grandma,爱你美丽的祖母
37788,UgwCfPmn-Gh8341wf7p4AaABAg,0,4 years ago,wow ๐’— all the work you do ๐’— ~ i dont eat meat nor milk nor eggs ~ but thank you for showing us so much educational working ~ im in canada๐’— you do amazing care of your grandma ๐’—๐,哇
48947,Ugyj6ZkvCqC7QVkUBDZ4AaABAg,0,4 years ago,"it’s the sweetest thing to see her include her grandma in her videos, i absolutely love your videos",看到她在视频中包括她的祖母是最甜蜜的事情，我绝对喜欢你的视频
48833,UgwIPs9H7PQ3J2ZfIhV4AaABAg.8qmQDmuPUNP8qmbqgOUBM_,0,4 years ago,"no propaganda at all. her original channel@weibo has 10+ million followers. someone permitted to repost all her stuff @yt. she is an orphan when 10yo, now running a store in town but should stay in this village to carrying her grandma after grandpa passed. see upside, annastacia fang has translated.",根本没有宣传。她的原始频道@微博有100多百万关注者。有人允许重新发布她所有的东西@yt。她是10岁时，现在是孤儿，现在现在在镇上经营一家商店，但应该留在这个村庄，在爷爷经过后携带她的祖母。请参阅上行，Annastacia Fang翻译了。
49142,UgyhHZDTxVrcEvrP4Wp4AaABAg,0,4 years ago,"hope grandma will live as long as possible, i love her, she is so cute",希望奶奶能尽可能长的时间，我爱她，她是如此可爱
48791,Ugy8Nco5VipSGG_BXrB4AaABAg.8qmTnyk2aqL8qmci7FHdSN,0,4 years ago,"yeah so cool. professional vid-grapher, running a store in town and nowadays living in village to carrying her grandma. an amazing person.",是的，很酷。专业的Vid-Grapher，在镇上经营一家商店，如今居住在村庄里携带祖母。一个了不起的人。
50910,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qtpP8bWZGO,0,4 years ago,"@peachdaniel2791 thank you dear. but where will the treats / snacks be eaten...just at home with grandma?
or they take to the village and pass out?","@peachdaniel2791谢谢亲爱的。但是，零食 /小吃会在哪里吃掉……和奶奶一起在家？
还是他们带到村庄昏倒？"
48726,Ugy2U8ary2__maB0fk94AaABAg,0,4 years ago,"real great .... very all i respect for you and funny is 2 puppy with 1 shelves baby that you don't always go with you because you are family everything is dear, u grandma really funny woman and dear grandma, gbu.",真是太好了。...我非常尊重你，有趣的是2个小狗，有1个货架宝贝，你并不总是和你一起去的，因为你是家人，你是亲爱的，你奶奶真的很有趣的女人和亲爱的奶奶，gbu。
35887,UgyoXYvvXhAD03UsIFF4AaABAg,0,4 years ago (edited),7:45 thatโ€s one cute grandma.shes adorable!,7:45那是一个可爱的祖母。
35867,UgyS82e_eTGKHXXdeLF4AaABAg,0,4 years ago,doggo grew! i love this so much. and that little surprise for grandma at the end. my heart,狗狗成长了！我非常喜欢这个。最后，奶奶到了最后。我的心
35750,Ugzd2hpA5wYCtyieVb14AaABAg,0,4 years ago,"i showed my grandma one of these videos and now sheโ€s hooked on this channel 
said it reminds her back when she was younger and lived in her village.","我给奶奶展示了其中一个视频，现在她迷上了这个频道
说这让她想起了她年轻时住在村庄的时候。"
52097,UgyDJ-RazOCnYQVYyVt4AaABAg,0,4 years ago,your grandma so cute in big red hat with ears ^^,你的奶奶是如此可爱，戴着耳朵的大红色帽子^^
38055,Ugx9ICEdgcywINL3EJZ4AaABAg,0,4 years ago,her grandma's hat is beyond adorable.,她奶奶的帽子太可爱了。
52607,UgzEbgqgSecubz03cnF4AaABAg,0,4 years ago,"i love how she protected her grandma , so cute",我喜欢她如何保护祖母，真可爱
48579,UgzNwWvYaFuJ1hhAe4N4AaABAg,0,4 years ago,happy new year ms li. you are a very industrious young lady. your treats look delicious. all the best to you and your grandma in the year of the boar. take care.,新年快乐李女士。你是一个非常勤奋的小姐。您的零食看起来很美味。在野猪的那一年，对您和您的奶奶都处于最佳状态。小心。
38124,UgzoP6uIfoFptxFxVc94AaABAg,0,4 years ago (edited),"this young and beautiful woman with her big heart, who can do everything and does everything for her grandmother so that she is doing well and she can smile, is a very big role model. it shows us that there is more in life than social media, selfishness and self -portrayal. more people should take an example from her, especially from the west. i find her incredibly inspiring and wish her and her grandma a long healthy and happy life !!!",这个年轻而美丽的女人充满了她的心，她可以做所有事情，并为祖母做所有事情，以便她做得很好并且可以微笑，这是一个非常重要的榜样。它向我们展示了生活中的比社交媒体，自私和自我por虫更多。越来越多的人应该从她那里举一个榜样，尤其是从西方。我发现她令人振奋，并祝她和她的祖母漫长健康快乐的生活！！！
48457,Ugx_L69yWkpcdV-Z-7x4AaABAg,0,4 years ago,grandma's scarf and hat are too cute!,奶奶的围巾和帽子也太可爱了吧！
35492,Ugx-dBj5hlJMmLhwatJ4AaABAg,0,4 years ago,most definitely apples โ€grandma i made you tomatoes on a stickโ€ ๐,最肯定的苹果“奶奶我用棍子做西红柿”
38164,UgxbCrSuvRsZwB6kYVh4AaABAg,0,4 years ago,lucky grandma,幸运的奶奶
37684,UgwYil2ElAGl6gOQ3ZN4AaABAg,0,4 years ago,the way she hides behind her grandma when the popcorn is about to pop was so cute!๐,当爆米花即将爆炸时，她躲在祖母后面的方式真可爱！
49662,UgzPojpp4L_ltEhBgxd4AaABAg,0,4 years ago (edited),"absolutely beautiful. i wish you and your grandma full of love, peace and prosperity in the next coming year.",简直美极了。祝您和您的祖母在下一年充满爱，和平与繁荣。
49156,UgyySMxMhXooJS1IoL94AaABAg,0,4 years ago,"haha the popcorn explose, you and your grandma are so cuteeee",哈哈爆米花爆炸，你和你的奶奶很可爱
50137,UgwH1ALSdPhaJqMFqj54AaABAg,0,4 years ago,xiao yan and grandma are so cute,小柒和阿嬷好可爱
50946,UgwKouGR9JC-ciNY5XF4AaABAg,0,4 years ago (edited),"you are a wonder lady..happy new year dear to you,your grandma and little cute puppies",你是个奇怪的女士。
50703,UgwDEdBSgfGB2fGDz9x4AaABAg,0,4 years ago,"i really like ziqi, i like each episode. i wish zi yan auspicious new year, grandma is healthy. looking forward to more videos.",超级喜欢子柒，每集都喜欢。祝愿子柒新春吉祥，奶奶身体健康。期待更多视频。
50977,UgyQlY7E3boameE77wp4AaABAg,0,4 years ago,grandma is cute,奶奶很可爱
36401,Ugys8pLoCXhk256THFF4AaABAg,0,4 years ago,"grandma looks dead inside, this chick deadass kidnapped someones grandma and started shoving food down her throat.",奶奶看上去死了，这只小鸡死了，绑架了某人奶奶，开始将食物从喉咙上推下。
36350,UgxzzO5aaCKrk97I1LB4AaABAg,0,4 years ago,the grandma is so cute โบ๏ธ,奶奶是如此可爱☺️
50475,UgzV1ujhoqkXqRCmczx4AaABAg,0,4 years ago,"hello, hello, how are you and your grandma? i like to see your instructions ... i really want to go. this is the place of the world ... i like the background of the mountain ... thank you for a beautiful day ...","你好, 你好, 你和你奶奶好吗？我喜欢看你的指示..。我很想去。是世界的这个地方.....。我喜欢山的背景...... 谢谢你美好的一天.....。"
36266,UgzbQei7It8DoLjl-M94AaABAg,0,4 years ago,her grandmas hat is so cute!,她的祖母帽子真可爱！
37076,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8zyjk-rgYIa,0,3 years ago,grandma is more technically savvy then we know.,奶奶在技术上比我们知道的更精明。
51076,UgxTqvFtpNN6B6kZq114AaABAg,0,4 years ago,grandma's hat has ears on them!,奶奶的帽子上有耳朵！
38291,UgyUgoJvlxoP9MfUPSh4AaABAg.8taqTz5h7i78tbCAfCNzhZ,0,4 years ago,this is her grandma^s home,这是她祖母的家
37126,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXugKhsoMg,0,4 years ago,kenny โ€ข my grandma had something like that. she sadly passed away and the house was sold. she didnโ€t have any animals but we always had fruit trees.,肯尼•我的祖母有这样的东西。她可悲地去世了，房子被卖掉了。她没有任何动物，但我们总是有果树。
36034,UgwnuZ8U1cFUKdK-i9V4AaABAg,0,4 years ago,can i be your new grandma please :) i can have my bags packed and ticket bought by tomorrow!,我可以成为你的新祖母:)我可以在明天收拾行李和票！
50166,UgwG2Uvka9j9FEQUbKl4AaABAg,0,4 years ago,is the older lady her mom or grandma?,她的妈妈还是奶奶是老太太？
37323,UgyNWBKjry5Roo-Mqdd4AaABAg,0,4 years ago,i am very very impressed at how she alone did all those things alone in just 2 full days. she has enough food for her and her grandma to last a whole winter and did she just roast the ground nuts with dirt?,我对她如何独自在整整两天内独自完成所有这些事情给我留下了深刻的印象。她有足够的食物给她和祖母持续整个冬天，她只是用灰尘烤碎坚果吗？
49462,Ugx8bWMASmJTsU-fg294AaABAg,0,4 years ago,satisfying... and hw lucky is her grandma..,令人满意的... HW幸运是她的祖母。
36030,UgyOu5nKEtkwFMoDG_54AaABAg,0,4 years ago,this made me miss my grandma so much. this is the life we should have had a long time ago...,这让我非常想念我的祖母。这是我们很久以前应该过的生活...
50033,UgwwR039zjsoeMKEz_p4AaABAg,0,4 years ago,"happy new year! wish your grandma, you and your pets health and happiness.",新年快乐！祝您奶奶，您和您的宠物健康和幸福。
35977,UgzfU1Mzbz3cmqo6Xdl4AaABAg,0,4 years ago,grandma got a helluva appetite ... this chick is cooking for an army,奶奶得到了一个食欲...这只小鸡正在为军队做饭
49902,UgxUD5nP8y98sTwWEaB4AaABAg,0,4 years ago,"she covered her grandmas ear when it popped loud, how sweet..<3",当她大声弹出时，她遮住了祖母的耳朵，多么甜蜜。<3
49876,Ugw3D-dFem4xaHH41V14AaABAg,0,4 years ago,i almost cry cause her love for her grandma,我几乎哭了，因为她对祖母的爱
37566,UgyhHhTHdM3M2MBGGCt4AaABAg,0,4 years ago,"it recalls all my memory about my grandma & my lovely doggy. it's too real to be true. i wish i can make the same move like her, went back to home stay with my grandma. let time freeze please.",它让我想起了我关于奶奶和可爱的狗的所有记忆。这太真实了。我希望我能像她一样采取同样的举动，回到家里和我的祖母在一起。让时间冻结。
49770,Ugw7hmpS4U6J2sWBQFF4AaABAg,0,4 years ago,grandma’s red hat is so cute that i have been in the new year when i have been in the new year.,奶奶的红帽子好可爱 小的时候就离过年都是这样从腊月就开始准备 现在没有那种年味儿了
51336,Ugz9-3w4IckykAAH0rN4AaABAg,0,4 years ago,"happy chinese new year, ms li ! 
best of health to grandma!","春节快乐，李女士！
对奶奶最好的健康！"
51820,UgwtbjzymTb_taB381R4AaABAg,0,4 years ago,"marry, be a mother, be a grandma! china has hope!",嫁人，做娘，做奶奶吧！中国才有希望！
35954,UgwHNvf1s4fca76gQXB4AaABAg,0,4 years ago,there's happiness in her caring for grandma. love it!,她照顾奶奶有幸福。爱它！
36823,UgwyxYBrqN6MYCuGTHN4AaABAg,0,4 years ago,what i love ๐’— is how she does love her grandma ๐‘ต is so beautiful.,我爱的是她爱奶奶的方式是如此美丽。
37615,UgwmR7PLzAQ-K-Aa5AB4AaABAg,0,4 years ago,"damn, i want to be her grandma",该死的，我想成为她的祖母
51970,UgxZjMXuNr3VWvzlkCx4AaABAg,0,4 years ago,"you are amazing woman. i really happy see u , take care of your grandma. hope you have wonderful chinese new year. and prosperity and happiness always surround you. gbu",你是很棒的女人。我真的很高兴见到你，照顾你的祖母。希望您有美好的农历新年。繁荣和幸福总是包围你。 gbu
50184,UgwG2Uvka9j9FEQUbKl4AaABAg.8qlnzEZ1iYy8qluQkmpNfU,0,4 years ago,grandma,奶奶
42459,UgwJ6c-mE30WprEN8EZ4AaABAg,0,4 years ago (edited),"did she mixed sunflower seeds with sugar or was it salt? looked like sugar, but i think it is salt. it is so much fun and interesting to guess the ingredients she is cooking with and watch her technique and guess the outcome. her surroundings are always breathtakingly beautiful and the animals around her and the way she is caring for her grandma is always so cute. makes me miss my grandma. she died in the age of 85.",她是将葵花籽与糖混合吗？还是盐？看起来像糖，但我认为是盐。猜测她正在烹饪的成分并观察自己的技术并猜测结果真是太有趣而有趣。她的周围环境总是令人叹为观止的美丽，她周围的动物和照顾奶奶的方式总是如此可爱。让我想念我的奶奶。她死于85岁。
38345,Ugz7dP9sJ8IO-26ANZh4AaABAg,0,4 years ago,grandmas hat makes this video..love it!,奶奶帽子制作了这段视频。
41203,UgyUOzvoZ6rzqbEzmUF4AaABAg,0,4 years ago,u love ya grandma very much,你非常爱你奶奶
41447,Ugzxt1WUPNqz17zgxT94AaABAg,0,4 years ago,"tears in my eyes.. she is so active and best hard worker...the love between grandma and liziqi is boundary less.... have a blessed life... please help them.they need more care and help from their surroundings....if i were there,i would helped u allot ma",我眼中的泪水..她是如此活跃和最好的勤奋工作...奶奶和利兹基之间的爱是少量的。。。 ....如果我在那里，我会帮助你分配马
41345,UgxHD9efZNbpbbND4ox4AaABAg,0,4 years ago,your grandma must be the happiest grandma in the world!!!,您的奶奶一定是世界上最快乐的祖母！！！
44916,UgzuTW0WWVVACu2E3Dl4AaABAg,0,4 years ago,"the grandma is so cute 
i love this video is amazing","奶奶是如此可爱
我喜欢这个视频很棒"
45097,Ugy3mQJcc9RXAHk06vN4AaABAg,0,4 years ago,grandma is so happy,奶奶好幸福
41220,UgwlpeYVxzT5oFouANt4AaABAg.8s0EnF-zs3h8sCkWQamU51,0,4 years ago,"@09875422 children just like to talk randomly, your grandma will hit you!",@09875422 小孩子就是喜欢乱说话，你奶奶会打你的哦！
45226,UgwpVTA5Vy9sGPo1amN4AaABAg,0,4 years ago,omg that grandma in the hat with the cat ears can you just kill me now,天哪，戴着猫耳朵戴着帽子的奶奶你现在可以杀了我
45257,UgwWMTi3nDe88ty5v3x4AaABAg,0,4 years ago,i miss my grandma so much. you are so blessed,我非常想念我的祖母。你真幸福
45417,Ugyc4pe2IA78DULqBvJ4AaABAg,0,4 years ago,cute grandma,可爱的奶奶
45508,Ugx8OPjkZ1bKLu1wjV54AaABAg,0,4 years ago,i love how she loves her grandma!!!,我爱她如何爱奶奶！！！
38433,UgxIoKQWE5jXT2fHZfl4AaABAg,0,4 years ago,beautiful life style! i love your sweet relationship with your grandma!,美丽的生活方式！我喜欢您与奶奶的甜蜜关系！
41178,UgzHLH1bJ-nz7wFsK9V4AaABAg,0,4 years ago,you and ur grandma are so cute,你和你的祖母真可爱
45516,UgzM034t321utTpcVLp4AaABAg,0,4 years ago,"will bloggers make osmanthus sauce? when i was a kid, i watched my grandma making osmanthus sauce every year. nowadays, people are asking for fast. no one goes to make osmanthus sauce. when you miss osmanthus sauce.",博主会做桂花酱吗？小时候每年都看奶奶做桂花酱，现在的人都求快，没人去手作桂花酱了。怀念做桂花酱的时候。
41130,UgyDbf7NEVStiQiE3JN4AaABAg,0,4 years ago,wow u are a true genius.. thanks to grandma i guess she might have taught u all the wonderful things,哇，你是一个真正的天才。多亏了奶奶，我想她可能会教你所有奇妙的事情
46089,UgxvYvg77aN2rcMHmhp4AaABAg,0,4 years ago,grandma's beanie is so adorable! the bear ears :),奶奶的豆豆真可爱！熊耳朵:)
