,cid,votes,含grandma,含grandma中文翻译
6080,UgyWRUCvUkUaO3UtSst4AaABAg.9F1lR1g9d4p9FIa-HXvMt3,5,when yu labor hard like liziqi you eat a lot! lol and she has an assistant and videographer that she works with that sometimes join her and her grandma for the meal. we donโ€t always get to see them join her but she has added it in in other videos,当你像liziqi一样努力工作时，你吃了很多！大声笑，她有一位助理和摄影师，有时与她一起工作，有时会加入她和她的祖母。我们并不总是看到他们加入她，但她在其他视频中添加了它
30244,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z3VwIoApuW,5,"colin seet it depends on which part of china you are talking about. in much of sichuan where ziqi is from popo means paternal grandma, and waipo refers to maternal grandma.",Colin Seet取决于您正在谈论的中国哪一部分。在Ziqi来自Popo的大多数四川，是父亲的奶奶，Waipo指的是母亲奶奶。
14356,UgyaF2_3GihTBtO00TN4AaABAg,5,i want to be the grandma of this girl! hahaha,我想成为这个女孩的祖母！哈哈哈
4959,Ugy1y5WjXHJu-zCvt2h4AaABAg.9I6XM0n46it9IAj5ZebW7V,5,luckiest grandma on earth,地球上最幸运的祖母
26445,UgzwBVLSCKpYYNQGsyh4AaABAg,4,this grandma is living the dream,这个奶奶正在实现梦想
9437,Ugz1kYWQlRw1T-kH_nB4AaABAg,4,"iโ€m really hoping that she has a significant other that loves her and cherish her a lot. when i see someone that is as talented, kind, and overall a great person like her. i just want someone else to take care of her as she takes care of her grandma. maybe she is better off without the significant other. but for me, i just want that.",我真的希望她有一个重要的其他人爱她并珍惜她。当我看到一个有才华，善良且总体上像她这样的好人时。我只希望别人照顾她，因为她照顾奶奶。如果没有重要的另一个，也许她会更好。但是对我来说，我只想要那个。
22019,UgyNznBkcEkdjIm0MHF4AaABAg,4,"this girl was well taught, and she still carries obedience takes good care of grandma in return too",这个女孩教得很好，她仍然服从奶奶也很照顾好
24633,Ugw7Nia-Mt2VlTmWXbl4AaABAg,4,she is so cute she makeing videos and she caring her grandma,她是如此可爱，她制作视频，她在乎奶奶
19106,UgxftWxnuzeN0jmwjq94AaABAg,4,i love ur grandma she's so sweet and lovely,我爱你的祖母，她是如此可爱又可爱
27183,UgwS6S3YbJhuW75g-Kl4AaABAg,4,"i am a girl like her, and i live there ,this is my hometown.she did everything we do,my mom,my grandma,and every woman.but not every woman enjoy these thing.",我是一个像她这样的女孩，我住在那儿，这是我的家乡。她做了我们所做的一切，妈妈，我的祖母和每个女人。但是，并非每个女人都喜欢这些东西。
27984,UgzHO--yfEhQfebWvtt4AaABAg,4,"liziqi`s grandma, must be the happiest grandma, in the world.",利兹奇的祖母一定是世界上最快乐的祖母。
4518,UgxHWqVbRLZxRc7UoZl4AaABAg,4,grandma is cute,奶奶很可爱
12376,UgxA4-_1-Z8H_bQ6eTR4AaABAg,4,"i came to know this video recently and i am in love in it. the nature ,greenary , village life , way of visuals , grandma and herself everything so pure and soothing to watch",我最近认识了这个视频，我爱上了它。大自然，格林尼，乡村生活，视觉效果，奶奶和她自己如此纯洁而舒缓的一切
935,Ugzj3mOdBOjHgbn6Wr94AaABAg,3,wow! ziyi has a big bamboo shoots so big! grandma's smile is really cute with zi yan!,哇！子柒自己种的山笋好大一颗喔！奶奶的笑容陪伴着子柒真的很可爱喔！
11205,UgwQ0nyh_B62K5Oa0hR4AaABAg,3,she is her grandma's precious jewel,她是奶奶的珍贵珠宝
1640,Ugw1cLd97MqI6VEU9ZB4AaABAg,3,"grandma makes me very happy!
","奶奶让我很开心！
"
30241,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z0TT6ZiGq3,3,"just grandma,(nai nai) means grandma in chinese",只是奶奶（Nai Nai），意思是奶奶中的中文
21334,UgwLQKa-JJgAWpMDA054AaABAg,3,grandma clamped a piece of pink cute ❤️,奶奶夹了一条粉 可爱❤️
10661,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZWtlELJKQ,3,"@xe2893 ur right in some parts , n wrong in some parts also.
liziqi in her younger age actually had followed some trainings to become a chinese ninja
but later after her grandpa has passed away , she chose to go back to her village& grandma... rather than working as a ccps ninja
then after returning home, she started to make vids to sell/commercial her ""natural homemade"" products , to earn some money for living!
surprisingly , its her vids that actually only for commercial purposes, that turns out to be a big success & gives her much money n fame n sponsors 
thus her village has become a nature s friendly company☺️ many people get jealous to her ever since...","@xe2893您在某些地方正确，在某些部分也是错误的。
Liziqi年轻时实际上是经过一些培训，成为CCP的中国忍者...只要看看她的速度+力量，她的刀技巧+攀爬技巧
但是在爷爷去世后的后期，她选择回到她的村庄和祖母……而不是当CCPS忍者嗯，好吧...那对女人来说肯定是一件艰难的工作。她的祖母，她的最后一个家庭
然后回到家后，她开始制作vids出售/商业她的“天然自制”产品，以赚取一些生活！
令人惊讶的是，实际上仅出于商业目的，这是她的视频，事实证明这是一个很大的成功，并给了她很多钱。
因此，她的村庄已成为大自然的友好公司☺️从那以后，许多人嫉妒她..."
28452,UgzNAQTCGQwIwJEqRPF4AaABAg,3,grandma will live forever with li ziqi's cooking,奶奶将永远与李齐（Li Ziqi）的烹饪一起生活
30260,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zf6EphkCy-,3,"she was to go back to take care of her grandma, and i started shooting videos by chance",她当时就是为了回去照顾她奶奶，机缘巧合开始拍摄视频
11321,UgwGZhiuJ3ULyIJ7Ckl4AaABAg,3,i love how grandma took a bit out of her bowl to try some. it's sad that when people grow old they can't eat the same stuff they did when they were young. unless you are willing to die faster.,我喜欢奶奶如何从她的碗里尝试一些尝试。令人遗憾的是，当人们变老时，他们不能吃年轻时做的相同的东西。除非您愿意更快地死。
29114,UgyrqQ2CYFCYTsyST2d4AaABAg,3,yes... thank you liziqi..may god bless you and your grandma.. hope you and your grandma in good health and happy always.,是的...谢谢Liziqi ..愿上帝保佑您和您的奶奶..希望您和您的祖母永远健康和快乐。
30883,UgyUyuaqoPurlHDxo_N4AaABAg,3,"we love love love, all the different things you do, the way you take care of your grandma and your beautiful ranch. we hope to meet you one day! much love from texas. may god continue to bless you and your family!!!",我们爱爱爱，您所做的所有不同的事情，照顾奶奶和美丽的牧场的方式。我们希望有一天见到你！得克萨斯州的爱。愿上帝继续祝福你和你的家人！！！
22496,UgwqGhI4f5pSLMt_EfF4AaABAg,3,"seeing her be happy with her grandma...
makes me happy :')
hope my grandma is still healthy and happy, miss you grandma!","看到她对祖母感到满意...
让我开心 ：'）
希望我的祖母仍然健康快乐，想念你奶奶！"
32667,UgydaUEgmgoJlO-tOq54AaABAg,3,"you do so much work alone, during the work always thought in my mind should i help her? i know you have team of three. i love the moment when you serve your grandma and you both are enjoying the food 
please do a conversation video with your grandma.","您一个人做很多工作，在工作中总是想到我应该帮助她吗？我知道你有三个球队。我喜欢您为祖母服务而你们俩都喜欢食物的那一刻
请与您的祖母一起进行对话视频。"
32057,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yVRguUlk-w,3,"lynne she actually struggled a lot, she’s an orphan with just her grandma. the property is only that beautiful because they tend it. this is all what i gathered from her interview, don’t quote me lol",琳恩（Lynne）实际上挣扎了很多，她只是一个祖母的孤儿。该属性仅是如此美丽，因为它们会趋向于它。这就是我从她的采访中收集的一切，不要引用我
29911,UgzCuEVgsM7ypQt8VRR4AaABAg,3,this grandma does nothing else but eating. she is so damn lucky.,这个奶奶除了吃东西外什么也没做。她真是太幸运了。
11240,Ugz3_DaFjfi64PrOkP54AaABAg,2,everytime they eat together her grandma admires her and is thankful to have such a great granddaughter,每当他们一起吃饭时
11247,Ugy0AAl12LTbx0pRyTp4AaABAg,2,"i love this show because she loves her grandma dearly, you are so sweet, i wish you the best in life from alaska.",我喜欢这个节目，因为她深爱着她的奶奶，你真可爱，祝您从阿拉斯加的生活中表现最好。
15963,UgwLum4C0dnoUEr5Bud4AaABAg,2,"the video of lizhiqi makes me to look back upon the life when i was a child living with my grandma,i miss her so much",Lizhiqi的视频使我回顾我和祖母一起生活的孩子时的生活，我非常想念她
15409,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss98XaaFmAZ6B,2,"strait arrow it’s a ‘propaganda’ if you wish it. it’s also a high-value production , staged ( for ken rascon) piece of entertainment that teaches simple and good value ( i.e. respect and love for your grandma) if you wish it. no one dies in make this well crafted film. all ( including messieurs arrow and rascon i suspect and hope) are entertained watching this in the time of a pandemic. so i decide to ‘wish’ the latter in this instance.",海峡箭头，如果您愿意，这是一个“宣传”。这也是一部高价值的作品，为肯·拉斯康（Ken Rascon）演出，如果您愿意的话，它教授简单而良好的价值（即尊重和对祖母的爱）。没有人死于制作精良的电影。在大流行时期，所有人（包括Messieurs Arrow和Rascon）都很有趣。因此，我决定在这种情况下“希望”后者。
11355,UgwwZ86h9muDh7Dnm8N4AaABAg,2,that grandma is living the life. i want to spend my time on swing and eat food cooked by liziqi,那个奶奶正在生活。我想花时间在秋千上吃liziqi烹制的食物
11406,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD9873WWGVR4_,2,@logicone5667 there are people who live in the village especially older people. it is her grandma and her house,@logicone5667有些人住在村庄，尤其是老年人。这是她的祖母和她的房子
12881,UgywtqAtIXIl7vJP1FB4AaABAg,2,these videos cure my depression i hope she and grandma are safe during corna virus,这些视频可以治愈我的抑郁症，希望她和奶奶在Corna病毒期间安全
30132,UgyWXJ06DKx-LOs2Znt4AaABAg,2,when you’re learning chinese just so you can understand what conversations miss liziqi is having with her grandma,当您学习中文时，您可以了解Liziqi小姐与奶奶的对话
10105,UgzB1QRcM_ne3hs0jk94AaABAg,2,"i love that she can cook and take care of her grandma, i would like to see her show some passion for her dogs and cats too.",我爱她可以做饭并照顾祖母，我也希望她对狗和猫也表现出一些热情。
1502,UgwjZ3nB55COmz2BsNB4AaABAg,2,everytime she uploads im just glad i get to see that grandma is well,每次她上传我都很高兴我看到奶奶很好
3371,UgzcEyG8DzzsWhQjnIV4AaABAg,2,how lovely your grandma ❤,你的祖母多么可爱，看到你的祖母让我想起了我的祖母
25488,UgyQ7V9k4yRRiJ7Ynxd4AaABAg,2,"such a fake and romanticized image of countryside life! grandma, traditional means of cooking, growing all ingredients, always clean and wearing make up... your team is professional!",如此伪造的乡村生活形象！奶奶，烹饪的传统手段，种植所有食材，总是干净且穿着化妆...您的团队是专业的！
22209,UgzhSrR0rIJxXuNhgZN4AaABAg,2,love to you and grandma with well wishes and many many successes. thank you for everything.,爱你和奶奶，并获得了良好的祝愿和许多成功。谢谢你的一切。
24412,UgwntCJ2uJU13ac-h_N4AaABAg,2,"amen... liziqi is amazing and awesome, so beautiful and sexy!!! the best cooking on yt and may god continue to bless you and your grandma!!!",阿们...利兹奇很棒，很棒，如此美丽和性感！！！在YT上最好的烹饪，愿上帝继续祝福您和您的祖母！！！！！！！！！！！！！！！！！！
25891,UgxjhHExRDyALWUw8at4AaABAg,2,everytime she uploads im just glad i get see that grandma is well,每次她上传我很高兴我看到奶奶很好
836,UgxQUuqltU2034jyNcl4AaABAg,2,i love her scenes with the grandma,我喜欢她和奶奶的场景
2280,UgwLuDlEPaMI0JthYj14AaABAg,2,evreytime she uploads im just galad i get to see that grandma is well .spas kcha_shex 5835 plish ad,evreytime她上传我只是galad，我看到奶奶很好。
1893,UgwXJ5E-tUlvNeCvCOp4AaABAg,2,i love seeing grandma chilling out on the shaded swing.great,我喜欢看到奶奶在阴影的秋千上放松。
33817,UgyeamwHSeP40m6sQFd4AaABAg,2,"a while ago, the grandma was the one who was used to do all of this, and now her granddaughter is carrying on. that's so amazing",不久前，奶奶是曾经用来做所有这一切的人，现在她的孙女正在继续。真是太神奇了
12733,UgyoZpsVYJSGAm-a-0d4AaABAg,1,blessed grandma to have grandchildren like you,祝福奶奶有像你这样的孙子
23116,UgyXwbl95V1jxwTru-V4AaABAg,1,"wow, grandma has a big appetite ,they should open up a bed and breakfast.",哇，奶奶的胃口很大，他们应该打开床和早餐。
30275,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw390VQFU_ffv6,1,"@1292liam that's her grandma, ziqi's parents had already passed away when she was little.",@1292liam是她的祖母，Ziqi的父母很小的时候就已经去世了。
12967,Ugxh9V1Y7Pzt6N0PaxR4AaABAg,1,i would like to be that grandma...,我想成为那个奶奶...
132,UgxWaNLsFPcsz4NOPiN4AaABAg,1,"爱! 112, 5, and 14 will think of my mother when i see my grandma! i wish you! happy mother's day? sorry! good health!",柒爱的！ 112、5、14见到了奶奶就会想起我母亲！祝褔！母亲佳节快乐？无忧无虑！身体健康康！
30066,Ugyeo4piL9WmM5dSodZ4AaABAg,1,every time i see a new video i'm just surprised that grandma's still alive,每次我看到一个新视频时，我都会惊讶地发现奶奶还活着
4579,UgxvArpjOWomKZQQhtt4AaABAg,1,"why do you make each dish look better than a professional chef's craftsmanship, which can make your appetite. envy your grandma. she must be very happy.",为什么你做的每道菜看上去比专业厨师的手艺还要好 更能惹得食欲 好羡慕你的奶奶 她一定非常幸福
27110,UgwAkc-5QtbnUdtFMV14AaABAg.8yi9U-P0knl8yiQAUXYWe4,1,"ziqi: this one is bigger than my head.
grandma: no, this one is nothing, .........

they speak chinese sichuan dialects. i can only understand half of grandma said.","Ziqi：这比我的头大。
奶奶：不，这是什么都没有的，.........

他们说中国四川方言。我只能理解一半的奶奶说。"
29917,UgzCuEVgsM7ypQt8VRR4AaABAg.8yVxk9OaMEK8yWeS6uEJry,1,"ziqi became an orphan when she was young, her grandma raised her up, you can imagine the hardship, so, she is not lucky but just deserves it.",Ziqi年轻时成为孤儿，她的奶奶抚养了她，您可以想象这是艰辛的，因此，她并不幸运，但值得。
19787,UgxieOCEvzOD8c6cN2F4AaABAg.91OEBieV7c791WSdY8kP4Y,1,that's her grandma,那是她的祖母
32236,UgxQ0fcTiYsklIejCZF4AaABAg,1,love in lisa n grandma,丽莎n奶奶的爱
28480,UgzrldMlxO_RUPUq2jB4AaABAg,1,so warm 喜欢 i like the feeling of eating with your grandma!,好温馨
17455,UgywG5rOPtLEpKBsjiN4AaABAg.92kJ-6SsX9s92rtPQVJmmv,1,"the team plus four people and grandma, and the other two are photographers xiao gang, and female assistant citizens. you can see them in the latest videos",团队加上子柒和外婆有四个人，另外两个一个是摄影师小刚，和女助理国民，你可以在最新的几个视频里看到他们
2666,UgwvDhw9DWryItY0wIJ4AaABAg,1,reminds me of grandmas pickled bamboo shoot (˶˙ᵕ˙˶),让我想起奶奶腌制的竹芽（˶˶κ˶）
32755,Ugziwp2zj70P32P5HvF4AaABAg,1,i hope grandma lives longer because i swear she will stop making videos if.,我希望奶奶寿命更长，因为我发誓她会停止制作视频。
18571,UgwOUb_hho4h6RuU8Xl4AaABAg,1,"i just got to know her today. i watched a few today. she is so amazing. at first, i have so many questions i cannot believe she can shot a movie like this all by herself!!! it is better than anything i watched before, even from many well funded organizations and commercials. but later i got to hear her story from another sources, i am so admire her! her parents divorced and she lived with her daddy, but her daddy passed away when she was five. she then was raised by her grandparents in countryside. at 14, she had to leave for city to make a living. learned many skills and chose back home to take care of her only grandma. shot the movie by herself alone, very difficult but first few nobody noticed her until one. now she hired camera man shot for her... i have to say her food must be better than any michelin’s restaurant. she is the best chef, artist, farmers, movie director!!",我今天只认识她。我今天看了几个。她真是太神奇了。起初，我有很多问题，我不敢相信她可以自己拍摄这样的电影！！！它比我以前看过的任何东西都要好，甚至来自许多资金丰富的组织和广告。但是后来我听到了她的故事，我很佩服她！她的父母离婚了，她和爸爸住在一起，但爸爸五岁时就去世了。然后，她由祖父母在农村长大。 14岁时，她不得不离开曼城谋生。学习了许多技能，然后选择回到家来照顾她唯一的祖母。独自拍摄电影，非常困难，但前几个人直到一部都没有注意到她。现在，她雇用了摄影师为她开枪...我不得不说她的食物一定比任何米其林的餐厅都要好。她是最好的厨师，艺术家，农民，电影导演！
14927,UgwH9f0TFkCS1ypqfKd4AaABAg,1,your grandma is you lucky to have you!! i wish i could learn how to cook from you!,你的奶奶你很幸运！我希望我可以学习如何向您做饭！
3300,UgyWF3y1VUCW7ZYWblt4AaABAg,1,grandma can only get one line.,奶奶只能得到一条线。
33431,Ugy03CkKsPIFS7k_9nV4AaABAg.8yUbaCQrcWw8yUpduIYNdL,1,unfortunately her life is not so peaceful at all. she was being chased by crazy fans and competitors harrassed her with drones hoovering over and people traspasing her property she had to move because her old grandma was not coping with the intruders,不幸的是，她的生活根本不是那么和平。她被疯狂的粉丝追赶，竞争对手骚扰她，无人驾驶飞机徘徊，人们不得不移动她的财产，因为她的老祖母没有应对入侵者
18215,UgzO9RReP89Kg9NVxVF4AaABAg,1,i always wonder... grandma is so so so so so lucky to have such an amazing grandchild.,我总是想知道...奶奶真是如此幸运，能拥有一个如此惊人的孙子。
23416,Ugyg7x2uN_8yWUSrolN4AaABAg,1,your grandmamma is the sweetest one in all of your videos,您的Grandmamma是所有视频中最甜蜜的。
24453,UgxhNQZ20LcdDKayBIp4AaABAg.8zLG2z9ArwG8zLf6NaQjMB,1,you misunderstand that her grandma is too old and no longer can eat spicy things. spicy dongxi is harmful to grandma's healthy grandma.,你误解了，她奶奶岁数太大，不再能吃辣的东西，辣东西对奶奶健康有害，螺蛳粉是很辣的东西
4280,Ugz4ZThxmr5nBN62K5Z4AaABAg.9KAJ7el8M269NdA45idWvu,1,filial grandma,还孝顺奶奶
32716,UgxbluA9fzIQDDv9WZd4AaABAg,1,"somebody ask what she can not do...

leave her grandma alone. that what she can not do","有人问她不能做什么...

让奶奶独自一人。她不能做的"
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
2834,UgyDRb4LQHyO_kvm5PR4AaABAg,1,"i know the secret liziqi's grandma long life
healthy food & laughs","我知道秘密利兹奇的祖母长寿
健康食品和笑声"
19590,UgwKjZWkmDE3g0QAVod4AaABAg.91m9BSDP5Nv91uigQfI_qu,1,that’s her grandma...,那是她的祖母...
33726,UgyTYggl1o1gqXfOlEd4AaABAg,1,i wish i could understand what liziqi and grandma say to each other. they always look like they are having such a nice conversation.,我希望我能理解利兹奇和奶奶彼此说什么。他们总是看起来像是进行了很好的交谈。
4274,UgwrVd4PJBwpcdf0kip4AaABAg,1,how lucky the grandma is,祖母有多幸运
23008,UgzVD9feKE7GZRW7l-l4AaABAg,1,this reminds me of my grandma's old house.,这让我想起了我奶奶的旧房子。
5909,UgxSyRdk9kjSTDhIzqR4AaABAg,1,"i am from india ,tamilnadu.i am a great great crazy fan of u, i mostly seen all u r videos and daily searching for more and more .please upload more videos .love and u r grandma. take care of her. u r garden and mainly u r roses made me fresh. great work. always praying for u r great future. don ""t feel ,we r so many for u-,u r well wishers .love u .waiting for ur new videos",我来自印度，泰米尔纳德邦。照顾她。花园和主要的玫瑰使我新鲜。做得好。一直为您的美好未来祈祷。 “感觉，我们为U-，u r w and whorders rove u。
20036,UgzR-F5TGJpS4toxfxx4AaABAg,1,"aww, grandma stealing her noodles at the end!",噢，奶奶最后偷了面条！
16685,Ugz_4uZFuDJUEqrt9hR4AaABAg.92sUJPa9LM992vrPOr8awf,1,for her grandma was ill when 2012，so she went back to the countryside to accompany her grandma,因为她的祖母在2012年生病了，所以她回到乡村陪伴奶奶
152,UgxBQhKS4ujR5smNuvN4AaABAg,1,爱! mother is so great! is grandma okay?,柒爱的！母亲真伟大！奶奶还好吗？
10164,UgxxueVH3pHTeGtZ7ht4AaABAg,1,"how fresh=the environment
the climate 
the weather
the food
the land 
the water 
the girl 
the grandma 
the love 
the god","如何新鲜=环境
气候
天气
食物
那片土地
水
那位女孩
奶奶
爱情
上帝"
20514,Ugycb1gQKD2-K9Q5-Ft4AaABAg,1,i love the way you cook for you and your grandma ❤,我喜欢你为你和你的祖母做饭的方式❤
10646,UgxIvQ6D0wxpW0yRxXt4AaABAg,1,i love her videos and it makes me so happy when a new video comes out to see her grandma is ok (:,我喜欢她的视频，当一个新视频出现以看到她的祖母还可以时，这让我感到非常高兴（：
10158,UgzRLLsa6cxzqgisAjp4AaABAg,1,"1:21
this remind me of my lovely grandma and me when we were spending our time together.","1:21
这让我想起了我和我一起度过时光时的可爱奶奶。"
30243,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z2YvVXquwL,1,cute grandma,可爱的奶奶
16877,UgyV5WdeGEk-44uM2gl4AaABAg,1,"grandma behind the camera 
just get me a fucking cup ramen!!!!!!!!!","镜子后面的奶奶
只是给我一个他妈的杯拉面！"
34558,UgyKZmhJjnH56Qv_--J4AaABAg.8yUThk2zkz78yUYhQ7htT2,1,"i believe grandma is happy, she is also worth having this happiness","我相信奶奶是幸福的,她也值得拥有这份幸福"
30327,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw394Fg-s9uZcq,1,her grandma is alive cause she is eating the natural food which is of course healthy for our health and not any kinds of chemical fertilizers from the food company,她的祖母还活着，因为她正在吃天然食品，这当然对我们的健康很健康，而不是食品公司的任何化肥
1098,Ugw2z5X-ZTM8FkmM_AV4AaABAg.9bmIGaN7yOB9bmINEK3oo7,1,your grandma's company is so happy!,妳奶奶的陪伴妳好开心喔！
24020,UgzZUnnQ3rPAzP6r9jd4AaABAg,1,she reminds me that my grandma is very lovely person. she raised me from 6 months when my parents couldn't take care of me because of something. o feel i love my grandma then my parents,她提醒我，我的祖母是非常可爱的人。她从6个月开始抚养我，因为我的父母因某件事而无法照顾我。 o觉得我爱我的祖母，然后我的父母
11102,UgwOJB9Gsj9koPkpkSF4AaABAg.98-YYvdL0rO9871pSHMdsB,1,and grandma enjoy it ...,奶奶喜欢它...
26497,Ugy6Wr7UfATh2iZtqe54AaABAg,1,"9:42 lol, grandma is just casually eating stuff she isn't supposed to again. 



i'm not sure if she is not supposed to eat the luoshifen or not but ziqi kinda panicked when grandma took a bite.","9:42大声笑，奶奶只是随便吃她不应该再吃的东西。 



我不确定她是否不应该吃Luoshifen，但是当奶奶咬一口时，Ziqi有点惊慌。"
21356,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90ryDqXxCT0,1,"what you miss is not just rural areas, but those who love you to accompany you to grow up, and when you are a child, he hates to go to the rural grandma's family to celebrate the new year. fantashan runs around, but now more memories are still inexplicable malicious",你怀念的并不是仅仅是农村 而是那些爱护你陪伴你成长的人和事 相反小时候最讨厌去农村奶奶家过年 他老人家重男轻女 我这个独生女简直是她眼中钉肉中刺 虽然堂哥堂妹都会带我满山跑到处玩 但是如今更多回忆起来的还是长辈莫名的恶意
8939,UgwnX0tWzTRal52BbHJ4AaABAg,1,"i was feeling really sad for grandma, always having to wait til after dark to eat, but now i know that sunset is kind of early in mianyang.",我对奶奶感到非常难过，总是必须等到天黑后才吃饭，但是现在我知道日落在米扬的早期。
8495,UgzgnAb3ZmM2VT9Kcw14AaABAg,1,we also have this bambooshot as a vegetable๐it is really my grandma used to go and search this๐ค—,我们也有这个竹子booshot作为蔬菜
25623,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zFBYyPrf4f,1,"it may look peaceful, i lived w my grandma in a somewhat similar place like this for 4 days and i just wasn’t very comfortable there, it was a lot of work to do things since they didn’t have electricity.",它看起来可能很宁静，我在像这样的地方住了四天，我在奶奶里住了4天，而我在那里并不舒服，因为他们没有电，这是很多工作要做的事情。
31570,UgxlILdmzbxiV5ym-wd4AaABAg,1,what to say to grandma?,跟奶奶说啥？
23829,UgxkKJgc0R4OjU9ONLN4AaABAg,1,her grandma,她的祖母
26414,Ugw6iDxXdV8-kY3HuuR4AaABAg,1,"this girl is the most beautiful, on earth! she is good looking too! grandma eats pretty good! what a wonderful look at china. thanxz",这个女孩是地球上最美丽的！她看起来也很不错！奶奶吃得很好！对中国真是太好了。 thanxz
22218,UgwF4Ydg2CY8XF25YkB4AaABAg,1,the way they eat grandma is going to live forever,他们吃奶奶的方式将永远活着
8250,UgwTeygZiJSuR5CcPAR4AaABAg,1,she is really a beautiful village girl๐๐๐...nd love u grandma,她真的是一个美丽的乡村女孩
11337,UgwAHUIZRc2DlsOnjpN4AaABAg,1,"haha, grandma sitting in that autumn is so comfortable. ☺️",哈哈，奶奶坐着那个秋千好惬意哦。☺️
23893,UgxeI5gyJ9lo6Limrwp4AaABAg,1,grandma is responsible for giving the divorce?,奶奶就是负责给打分儿的呗？
30567,UgzMLO1WFGb4w5ulxp54AaABAg,1,i love it when grandma sneaks bites.,当奶奶偷偷咬人时，我喜欢它。
18375,UgxPmXnMxuX18jpVmx14AaABAg.92VvW1qBVWT92_8SV1WGGt,1,"zhao hui represented a group of people. grandma did not do it, but the knowledge must be particularly rich!",赵辉 她代表了一群人，奶奶不动手，但知识肯定特别丰富！
24663,UgwCxnuzD-ey74YVouJ4AaABAg,0,so why doesn’t her grandma get noodles? her grandma deserves some noodles!,那为什么她的奶奶不得到面条呢？她的奶奶应该得到一些面条！
24439,UgxJQYSDMnO2EAZeGNJ4AaABAg,0,grandma,奶奶
27904,UgzEMgqMl743_usNZbJ4AaABAg,0,wow another incredible video & all your recipes & ur sweet grandma,哇，另一个令人难以置信的视频
24416,UgwFLnJXusWN6lfQyT94AaABAg,0,just the last moment where grandma almost interrupted taking the noodles from soul bowl and the lady never gave the bowl to her.,只是奶奶几乎打断了从灵魂碗中拿出面条的最后一刻，那位女士从来没有把碗交给她。
27897,UgzM6Euo0Z3QwmZP07x4AaABAg,0,"with you with this, my grandma is so happy",有你这么陪着， 老奶奶好幸福哦
24288,UgwWPdrazAiT8I9ZfCh4AaABAg,0,hi queen liziqi . you still amazing me . how is your grandma ? l hope she is well and you too . i wish to have your address in china if it possible . please accept my best wishes .,嗨，liziqi女王。你仍然很棒。你的祖母怎么样？我希望她也很好，你也是。如果可能的话，我希望在中国有您的地址。请接受我的最良好的祝愿。
24435,UgxhNQZ20LcdDKayBIp4AaABAg,0,"i don’t like the best, i don’t love it instantly. i eat a large pot of powder by myself. grandma eats bamboo shoots.",看到最尾不喜欢了，瞬间没爱，自己吃一大锅粉，奶奶吃笋，真的够损，
26738,Ugwtx3DnNRIRef2Jejx4AaABAg,0,grandma ur soooooo cute,奶奶Ur Sooooo可爱
24743,UgyXFWOj-5xdWo44CDF4AaABAg,0,her grandma and beautiful kiss grandma,她的祖母和美丽的亲吻祖母
25862,Ugw4K9JbqONGlhtcgfl4AaABAg,0,i love grandma ♥️ i love liziqi,我爱奶奶♥️我爱liziqi
26861,Ugy01FkVi0l5RBQBLLF4AaABAg,0,"tch that grandma is quite enjoying the food . she is very lucky to have you.
i hope ur video encourage lazy bugs like us to use and protect our nature for living.","TCH表明奶奶非常喜欢食物。她很幸运能拥有你。
我希望您的视频鼓励像我们这样的懒惰虫子使用并保护我们的天性以生存。"
26871,Ugw73G61_j2BWtVVthF4AaABAg,0,grandma also wants to eat tired lion powder. those savage houses really can't compare with li zi!,奶奶也很想吃累狮粉。那些野人盖房子真的没法跟李子七比！
26728,UgyA1eRhHWh91gJkbJN4AaABAg,0,& am just glad that i am seeing your grandma healthy again & again in your every single video ❤,＆我很高兴我在每一个视频中一次又一次地看到您的奶奶健康
28192,UgyRv7XDXs376Lz4R3Z4AaABAg,0,gosh i miss these bamboo shoots back home in the country side with my grandparents.. my grandma used to cook bamboo shoots with coconut milk and snail ☺️,天哪，我和我的祖父母一起在乡下的家中想念这些竹芽。.我的祖母曾经用椰奶和蜗牛煮竹芽。
