,cid,votes,含liziqi,含liziqi中文翻译
10668,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZlVNAuw2a,2,"@mohammed haroon after her vids became successful , she got many sponsors.
imo ccp now is also one of her sponsors. not from the beginning , but after she got famous n paparazis n flying drones were around her house!!
she then received ccp sponsorship & gets some security guards in return...

u r mohammad but lives in a western country?? so pls dont be a hypocrite n talk bad about ccp & liziqi. being a chinese doesnt mean being a fanatic ccp. just like a name mohammad doesnt mean a terrorist ! u r only jealous... liziqi is indeed far better than u or any of us☺️","@mohammed Haroon成功后，她获得了许多赞助商。
IMO CCP现在也是她的赞助商之一。不是从一开始，而是在她获得了著名的狗仔队之后，她的房子周围就在屋子里！
然后，她获得了CCP赞助，并获得了一些保安人员的回报...

穆罕默德（Mohammad），但住在一个西方国家？因此，请不要对CCP＆Liziqi的伪君子n不好。作为中国人并不意味着成为狂热的CCP。就像穆罕默德（Mohammad）的名字并不意味着恐怖分子！你只嫉妒... liziqi的确比你或任何一个us☺️好得多"
13100,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96wAYvTi_dN,2,"super jay i think there’s a whole team behind her videos, the completion of those videos are just totally prefect, and it’s impossible for only one camera man and liziqi to do that.",超级杰伊（Super Jay）我认为她的视频背后有一个团队，这些视频的完成只是完整的，而且只有一个摄影师和利兹奇只能做到这一点。
30132,UgyWXJ06DKx-LOs2Znt4AaABAg,2,when you’re learning chinese just so you can understand what conversations miss liziqi is having with her grandma,当您学习中文时，您可以了解Liziqi小姐与奶奶的对话
21728,Ugw1Ao7-MT46mEoTcJJ4AaABAg,2,"my question is, does the staffs also eat what liziqi cook?if yes they're so lucky! i'm drooling coz' the food looks delicious.",我的问题是，工作人员还吃什么liziqi厨师？如果是的话，他们很幸运！我在流口水，因为食物看起来很美味。
11355,UgwwZ86h9muDh7Dnm8N4AaABAg,2,that grandma is living the life. i want to spend my time on swing and eat food cooked by liziqi,那个奶奶正在生活。我想花时间在秋千上吃liziqi烹制的食物
33873,UgxOKBL9T5k9ln9ZQ4l4AaABAg,2,"beautiful food as always liziqi! 

the camera angles, quality and focus are excellent! 
thank you!","一如既往的美食！

相机角度，质量和聚焦非常好！ 
谢谢你！"
21274,UgzTTe5OvW9Dirq7D-x4AaABAg,2,"liziqi, this place is magical! it looks like it came out of a childhood story book and adventures!",liziqi，这个地方是神奇的！看起来它来自童年的故事书和冒险！
3092,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9Tho-8G5zIY,2,@patrickchoo536 you should be awarded for giving the longest comment in liziqi video seriesm,@patrickchoo536您应该因在新加坡发表Liziqi Video系列中发表最长的评论而被授予。
185,UgweR-xDykIZutFfjrl4AaABAg,2,"i love all the liziqi video cooking,amazing,interesting,talented",我喜欢所有的Liziqi视频烹饪，很棒，有趣，才华横溢
24412,UgwntCJ2uJU13ac-h_N4AaABAg,2,"amen... liziqi is amazing and awesome, so beautiful and sexy!!! the best cooking on yt and may god continue to bless you and your grandma!!!",阿们...利兹奇很棒，很棒，如此美丽和性感！！！在YT上最好的烹饪，愿上帝继续祝福您和您的祖母！！！！！！！！！！！！！！！！！！
9474,UgxnVwLkek_PBUQF8Pp4AaABAg,2,"i love ๐จ๐ณ๐จ๐ณ๐จ๐ณ๐จ๐ณ๐จ๐ณchinese girl liziqi and she lives in her grand parents home with her grandmother and see misses her nuclear parents and i wish to live with chef liziqi and her farm is good and live in farm, house",我爱
10673,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_3glC_4LY,2,"@mohammedharoon8453 im not a ccp... but im an overseas chinese...
thats why i know that it is vids about 5.000 years of chinese village culture... not about ccp
actually liziqi only needs ccp support for security guards
i feel very proud that chinese has the most advanced culinary& farming culture in the world
a peaceful culture , not a civilization/culture that based on guns bombs / robberies
ur just jealous. shame on u","@Mohammedharoon8453我不是CCP ...但是我是海外的中国人...
这就是为什么我知道这是中国乡村文化约5。000年的视频...与CCP
实际上，利兹奇（Liziqi）只需要CCP支持安全警卫
我为中国人拥有世界上最先进的烹饪和农业文化而感到自豪。
一种和平的文化，而不是基于枪支炸弹 /抢劫的文明 /文化
你只是嫉妒。对u"
1026,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9gbXeu3oqDi,2,"copy is not appropriate term to describe you can say that they are inspired by liziqi
using copywriting to describe inappropriate, it can be said that it has been inspired by li ziyi","Copy is not appropriate term to describe you can say that they are inspired by liziqi
用文案来形容不合适，可以说是受到了李子柒的启发"
11862,Ugxj-NWxRDsYzlG9c1V4AaABAg.97BJvRJiyyY9RnEis7Qy5L,2,"liziqi built that swing, look for that video.",Liziqi建造了秋千，寻找该视频。
30520,UgwBJdxPJR2KcbpEdep4AaABAg,2,"i c, look good, smell good, wait i'm ??? a vegetarian. still like it liziqi cuisine again.",我c，看起来不错，闻起来很好，等等？？？素食者。仍然喜欢它的liziqi美食。
29243,UgwSn_QpNwKVK2_a-VJ4AaABAg,1,"liziqi i admire and adore you for what you are! many blessings from corfu greece! 
you are such an inspiring human being❤️
one small detail.. please could you put the subtitles in english stay a little bit longer? thank you very much","liziqi我很欣赏和崇拜你的身份！科富希腊的许多祝福！
你真是个鼓舞人心的人❤️
一个小细节..请您将英文字幕放在英语中停留更长的时间吗？非常感谢"
6511,UgwbF43C4rqnDHn0vK94AaABAg,1,good cooking liziqi channel,好烹饪liziqi频道
18616,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92g8H1BP0Hp,1,"pedro c i could say that if mao didn't exist,liziqi might even can't have this house",佩德罗·C，我可以说，如果毛面不存在，利兹奇甚至可能无法拥有这所房子
29405,UgySUZZz7CQFuQTqnYN4AaABAg,1,i love you liziqi,我爱你liziqi
29498,UgwU_YRhA-ibZmEx2m54AaABAg,1,"geez...the day is not even over yet and she already has about 2.5 million views...but deserving views, unlike the hundreds of trash youtubers on youtube that couldn’t hold a candle to liziqi’s little pinky but have just as much as views as hers.",geez ...这一天还没有结束，她已经有了大约250万次观看次数...但是，与YouTube上的数百个垃圾YouTuber不同，这是值得的，这些垃圾YouTuber无法持有Liziqi的小粉红色的蜡烛作为她的观点。
6088,UgzI7xkVx9OnNqhUv254AaABAg,1,lots of love liziqi inspiration,很多爱liziqi的灵感
29488,UgwBJL_9kO2KOXB6ZKt4AaABAg,1,"i just don’t get the people...more like trolls that comes in here and say liziqi is an actress, her channel is chinese propaganda, etc.

i don’t believe liziqi is an actress or that her channel is chinese propaganda. but even if liziqi is an actress or her channel is chinese propaganda, so what? that does not change the fact that liziqi is an amazing woman and her show is a super top quality show that’s informative, educational, mesmerizing, interesting, and highly entertaining.","我只是没有吸引人们...更像是在这里进来的巨魔，说Liziqi是一名女演员，她的频道是中国的宣传，等等。

我不认为利兹奇是一名女演员，也不认为她的频道是中国宣传。但是，即使利兹奇是女演员，还是她的频道是中国的宣传，那又如何呢？这并没有改变Liziqi是一位了不起的女人，她的表演是一场超级质量的表演，内容丰富，教育意义，令人着迷，有趣且非常有趣。"
31156,UgwDiKIhVsO9qpl-T0h4AaABAg,1,even though i don’t understand chinese i would still watch it cuz i love liziqi ❤️,即使我不了解中文，我仍然会看它，因为我爱liziqi❤️
18463,UgwYUCaJOOzgFYoFrBF4AaABAg,1,ohh i thought liziqi made a huge ice cream,哦，我以为利兹奇做了一个巨大的冰淇淋
10697,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79J_AiOD1L0w,1,"@mohammedharoon8453 talking about truth, will you please show any truth or evidence that liziqi was sponsored by ccp? then i will unsubscribe this channel, if not, don't you think you are hurting an innocent girl? is this the right way a decent man treat a lady?",@Mohammedharoon8453谈论真相，请您表明Liziqi是由CCP赞助的任何真相或证据吗？然后，我会退订此频道，如果没有，您是否认为您正在伤害一个无辜的女孩？这是一个体面的男人对待女士的正确方法吗？
15939,UgyUcg5lm3-sjfxM1lx4AaABAg.931bC5ztK5693CNOpmmKga,1,"that's why liziqi is the most popular right now, i look forward to her videos every day.",这就是为什么Liziqi现在最受欢迎的原因，我期待她的视频。
10506,UgzkbgG8BrP-5apQe-Z4AaABAg,1,liziqi can you make a video of you eating food please.,liziqi，您可以制作您吃食物的视频吗？
31339,Ugyh-M8i-cQ29Fx8FIx4AaABAg,1,"i once lived in guangxi & ate luosifen alot, very delicious
liziqi cooks luosifen in sichuan style, look more reddish & with much more ingredients
definitely love this channel
greetings from indonesia","我曾经住在广西和吃饭，非常美味
liziqi以四川风格的luosifen厨师，看起来更红色，更重要的成分
绝对喜欢这个频道
来自印度尼西亚的问候"
16145,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u93CNHwTce3q,1,"i agree, with farms like liziqi the kids will learn a lot of lessons, i also want to visit her garden.",我同意，与Liziqi这样的农场，孩子们会学到很多课，我也想参观她的花园。
30608,UgxJl6bJcUaYTSmOJzF4AaABAg,1,"the snail noodle snack made by liziqi is a special dish in liuzhou city, guangxi province. i think it is very spicy and hot. if you come to liuzhou（柳州） or guilin（桂林）, you must not miss it. 
the two beautiful tourist cities are next to each other.","利兹奇（Liziqi）制作的蜗牛面条小吃是广西省刘大市的特殊菜。我认为这很辛辣和热。如果您来到Liuzhou（（（或Guilin（（），您一定不要错过它。
两个美丽的旅游城市彼此相邻。"
5680,UgwPSs5SY636IPBMSZp4AaABAg,1,i love you liziqi marcos prado from brazil ๐โค๏ธ๐น๐๐,我爱你来自巴西的Liziqi Marcos Prado
8790,UgwF7HKuwUE8JOLeh0x4AaABAg,1,who shoots these videos?perfect timing! and she has everything nearby! just a smart marketing gimmik . this liziqi. for online brand! no woman is a superwoman like her!,谁拍摄这些视频？完美的时机！她附近有一切！只是一个明智的营销gimmik。这个liziqi。对于在线品牌！没有女人是像她这样的超人！
31656,UgyU8lQ3_HWOAi9OAyd4AaABAg,1,"can i give you a suggestion to you a little sub? thank you for the sub, but can you only sub the words or dialogue in the video? sub is sometimes too personal and inserted with unnecessary words. liziqi's video is very peaceful and peaceful to see the scene mainly, sometimes curious liziqi and what she says to each other, the conversations are not sub. sometimes there are sub friends also insert sub ads for her channel, so it is very difficult to understand and uncomfortable. i said frankly, i hope you are sympathetic.",我可以向您提供一些建议吗？谢谢您的潜艇，但是您只能在视频中删除单词或对话吗？ Sub有时太个人化，并用不必要的单词插入。 Liziqi的录像带非常和平，很安静地看到现场，有时是好奇的Liziqi以及她彼此所说的话，对话不是sub。有时，有子朋友还为她的频道插入子广告，因此很难理解和不舒服。坦率地说，我希望你很同情。
30351,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398esMKRCHGZ,1,"@nurulfazlinaabdullah9165 liziqi was raised by her grandparents, but grandpa was passed away when she was 13.",@nurulfazlinaabdullah9165 liziqi是由祖父母抚养长大的，但爷爷13岁时就去世了。
12536,UgzPYC_F7-1dltMFvCR4AaABAg,1,"03:31 aweh boyz, biltong, hell yeah, shout‐outs from south africa, love your channel liziqi, and your inspirational lifestyle! <3",03:31 aweh boyz，biltong，是的，是的，来自南非的大喊，喜欢您的频道Liziqi和您的鼓舞人心的生活方式！ <3
14673,Ugz7PX9AJNb5sx7IQrN4AaABAg,1,what if i could go back to the days when my grandmother was alive...liziqi's life is amazing,如果我可以回到祖母还活着的日子... Liziqi的生活真是太神奇了
28714,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g948ch9YeBZ5,1,"@franzpeters3824 so how's it all working out for you my man? thought liziqi was an easy mark, now look you. do better franz, i know you can.",@franzpeters3824那么，我的男人怎么办？以为liziqi是一个简单的标记，现在看看你。做得更好，弗朗兹，我知道你可以。
7543,UgyxuCZIFL8Cj6xawbl4AaABAg,1,"those other chinese mukbangers are sooo annoying.
liziqi is soo calm and the the bgm is so nostalgicโค๏ธ","那些其他中国的穆克邦人很烦人。
liziqi很镇定，而BGM如此怀旧"
31762,UgzKOvx2605BKo8efod4AaABAg,1,"liziqi 
did you made you own supply of oil, i've been curious about it for so many episode.
please make a video about it.","liziqi
您是否给自己的石油供应，我对此感到好奇。
请制作有关它的视频。"
31889,UgyYQVx_zzdS4-23UIB4AaABAg,1,hi liziqi im from kerala in india here we are affected with a huge flood which caused more than 50 death rate within 2days more than1000 peoples lost thier house please include us in you prayers and those who see this comment tooo kindly pray for our rescue,嗨，利兹奇·伊姆（Hi Liziqi im），来自印度的喀拉拉邦，我们受到了巨大的洪水影响，在2天内造成了50多个死亡率，超过1000人失去了房屋，请在您的祈祷中加入我们，以及那些看到此评论的人也为我们的救援祈祷
7232,Ugx70gcupyVOQ_E4Sw94AaABAg.9DAaQ5xuvxJ9DO7Z00BsMf,1,"liziqi
https://youtu.be/utupp3xqwc4","LiZiQi
https://youtu.be/UTuPp3xQwC4"
29024,UgyidJSyg7FIQD25n8F4AaABAg,1,liziqi ... i really like your post ... i think you are also a great artist ... alias ​​i live in brazil ...,liziqi ...我真的很喜欢你的帖子......我觉得你也是一位伟大的艺术家...别名我住在巴西......
7125,UgzD9R3dIzVhBOu6HH54AaABAg,1,"i love liziqi, wo ai ni ๐๐, i'm from vietnam ๐ป๐ณ, love women's and farmer chinese ๐จ๐ณ",我爱liziqi，wo ai ni
31877,Ugx2IHGWkbzidfYHZDx4AaABAg,1,another amazing video liziqi. i love this!,另一个令人惊叹的视频liziqi。我喜欢这个！
33052,Ugwbq6sJ-mAR2gbcvIl4AaABAg,1,"wow, liziqi i love that recipe, thanks!
you know what we also have that here in the pilippines which we call tabagwang in the bicol region.
but in tagalog it's called susò.
we normally cook it with coconut milk and other green leaves (could be ferns, and many others which are compatible with coconut milk.)
raw jackfruit, green papaya, and string beans. hope you try these ones and let us know how much you enjoyed it. :)
be blessed!","哇，liziqi我喜欢那个食谱，谢谢！
您知道我们在Pilippines的这里也有什么，我们称之为BICOL地区的Tabagwang。
但是在他加禄语中，这就是苏苏。
通常，我们用椰奶和其他绿叶（可能是蕨类植物，还有许多与椰奶兼容的其他叶子。）
生菠萝蜜，绿色木瓜和血豆。希望您尝试这些，并让我们知道您有多喜欢。 :)
祝福！"
22902,UgwJAcjX9Fy-he4aEJ94AaABAg,1,am i the only one who feels unproductive and lazy when watching a liziqi video?,我是唯一观看Liziqi视频时唯一感到无效和懒惰的人吗？
2834,UgyDRb4LQHyO_kvm5PR4AaABAg,1,"i know the secret liziqi's grandma long life
healthy food & laughs","我知道秘密利兹奇的祖母长寿
健康食品和笑声"
2802,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpqwEB2i2N,1,"@edwardwongliupepelutivrusk1262 you just said liziqi shows her mountain life ""in a beautiful way"". what else were you implying other than in real life life in the mountains is unattractive??? the problem is people come in the comments to appreciate her hard work, manual labor and the beauty of bein so close to nature but yall just looooove to go ahead and treat em like they're dumb saying ""that's fake"" we cant even appreciate her vlogs in peace without politically correct people like you coming in damn",@Edwardwongliupepelutivrusk1262您刚刚说Liziqi“以美丽的方式展示了她的山生活”。除了在山区的现实生活中，您还暗示什么是没有吸引力的？？？问题是人们会在评论中欣赏她的辛勤工作，体力劳动和Bein的美丽，但是你们只是loo looove继续前进，对待他们愚蠢地说“那是假的”，我们甚至不能欣赏她像你这样的政治上正确的人和平的视频博客，像你那样
35001,UgwWapfq66m-SvuyB0N4AaABAg,1,"in this month,, liziqi often upload video.. i'm very happy..",在这个月，Liziqi经常上传视频..我很高兴..
25281,UgyTx2vLQnwJfijHlrJ4AaABAg,1,this video was posted 11 days ago and it already has over 8 million views. i guess i'm certainly not the only one who is fascinated by liziqi.,该视频于11天前发布，已经有超过800万的观看次数。我想我当然不是唯一一个被利兹奇着迷的人。
26856,UgywTiWqhXg1wGqm2Eh4AaABAg.8ykTWcz2fwz8ylck7rHfVG,1,"the only shopping site is only available for alibaba. https://liziqi.tmall.com/
everything else is fake!!!","唯一的购物网站仅适用于阿里巴巴。 https://liziqi.tmall.com/
其他一切都是假的！！！"
872,UgyPZohonNe93HQ63Bp4AaABAg,1,i miss u so much liziqi,我非常想念你
21592,Ugw4SL-tQNilKzWf2gV4AaABAg,1,liziqi your a wonderful woman.,liziqi你是一个很棒的女人。
2587,Ugw2BflNGRGx9vTnVrR4AaABAg,1,i love liziqi channel her cooking videos really amazing,我爱liziqi频道她的烹饪视频真的很棒
470,Ugy8kP21UhjPAoQu5ht4AaABAg,1,hi liziqi ! i am so proud of you and i am extremely admire you because your videos bring about pleasure and peace feeling for me. i am so miss youuu and i hope you will go back in one day. take care! love youuu,嗨，liziqi！我为您感到骄傲，我非常佩服您，因为您的视频给我带来了快乐与和平的感觉。我非常想念你，希望你有一天能回去。小心！爱你
33932,UgwWzHvkZtzjRE4rhb94AaABAg.8yUXDRIrP908yUhpgxRIJX,1,"娥惠陳 dear , theres is ni team or production, liziqi do all the video by her own . how amazing she is.",娥惠娥惠亲爱的，有NI团队或制作，Liziqi自己制作了所有视频。她有多神奇。
26821,UgzgUawudBvEtuJBH294AaABAg,1,"i am liziqi's admirer, i don't know but everything he does",我是liziqi的仰慕者，我不知道，但他所做的一切都令我惊讶
33942,UgwbZgQN2Yw75TyVeod4AaABAg,1,yay! i am early for the first time ever!!!! love your channel liziqi! your videos are always entertaining!,耶！我是第一次早些时候！！！爱你的频道liziqi！您的视频总是很有趣！
2321,Ugx6fmd7Rbl2tKNtk2h4AaABAg,1,"liziqi fans 
please help me dears 
please help me 1 k","Liziqi粉丝
请帮助我亲爱的
请帮我1k"
33989,UgwFKjvQQIL8-Fy6ptx4AaABAg,1,"liziqi i can relate you so much, i'm your avid fan here in philippines",liziqi我可以与您联系，我是您在菲律宾的狂热粉丝
2122,UgzwbKR4IvghGfXhNhJ4AaABAg,1,i really hope liziqi is doing well. we miss you.,我真的希望Liziqi表现良好。我们想你。
521,UgyWiSbY1uezdUiFzsp4AaABAg,1,"unfortunately why liziqi does not produce youtube content in 2022, although everything she does is very inspiring and highly creative. hopefully liziqi can recreate content on her youtube channel. amen",不幸的是，为什么Liziqi在2022年不生产YouTube内容，尽管她所做的一切都非常鼓舞人心且具有很高的创造力。希望Liziqi可以在她的YouTube频道上重新创建内容。阿门
22428,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UiqkqbuYcp,1,"@jake89083 yeah i know i'm not fxcking stupid i know what it's like. i lived in the countryside before. liziqi pretties up and romanticizes her life in the mountains, and ofc in real life she gets a lot of help and dont do all that alone, but that doesn't mean the hard work and manual labor is not her lifestyle.",@jake89083是的，我知道我不是愚蠢的，我知道这是什么样的。我以前住在乡村。利兹奇（Liziqi）的美观化，使她在山区的生活浪漫，在现实生活中，她得到了很多帮助，并且不独自完成这一切，但这并不意味着艰苦的工作和体力劳动不是她的生活方式。
34144,Ugyoq6VAGb5zaN04bcN4AaABAg,1,"my liziqiii...l am very happy ur notification& my family,my frnds are u big fans",我的liziqiii ...我很高兴通知我和我的家人，我的frnds是你很大的粉丝。
34765,UgxVTeKb8NV5Bp9YYAt4AaABAg,1,i love u liziqi ❤️❤️,我爱你liziqi❤️❤️
559,UgzcPVAjes0z5VFKfyh4AaABAg,1,"i hope you know that i miss you liziqi.. 
salam dari indonesia","我希望你知道我想念你liziqi ..
萨拉姆·达里印度尼西亚"
636,UgwNnC0hXhoI5_De1VF4AaABAg,1,"how always, showing us the beauty of life through what you do, god, the lord and your buddha continue to bless you and your grandmother, liziqi",如何永远，通过您所做的事向我们展示生活的美丽，上帝，主和您的佛陀继续祝福您和您的祖母Liziqi
24310,UgzORalzz_rWwwzh_894AaABAg,1,"i'm still wondering, are liziqi the camerawoman & the editor too?",我仍然想知道，Liziqi是摄影师和编辑吗？
26080,Ugz18w-c0HZv-OqtPEt4AaABAg,1,"is there not anything liziqi can't do?
she is absolutely amazing with everything she does.
i love her skills","Liziqi不能做任何事情吗？
她所做的一切绝对令人惊讶。
我爱她的技能"
1363,UgxS9Ehz5cBVSUWs43t4AaABAg,1,hi liziqi i'am ur big fan,嗨，liziqi我是你的大粉丝
1258,Ugy75kDUeFJwdmUSs0t4AaABAg,1,liziqi.. where are you?,liziqi ..你在哪里？
1217,UgyxaMI9cfVfUZcGixh4AaABAg,1,i miss you liziqi,我想念你liziqi
22939,UgwuIIDKTgk1TaxY4qt4AaABAg.8ztinLrQMBD9-2TT85M_7A,1,"yes way yes but you do know that the way we live with technology isnt the same as the way liziqi lives with hers? she uses technology, yes, but she doesnt spend a majority of her time on it and thats what the original comment was referring to.",是的，是的，但是您确实知道我们使用技术的方式与Liziqi与她的生活的方式不同吗？是的，她使用技术，但是她没有花费大部分时间在上面，这就是原始评论所指的。
838,UgwT49hi0p1Lgdc9HK94AaABAg,1,"where is liziqi now??
why she doesnt prepare video ?","Liziqi现在在哪里？
她为什么不准备视频？"
856,UgykiMrbxJHhig0t0rF4AaABAg,1,#liziqi,#LiZiqi
34295,UgxExN_WCFEIiNx_poF4AaABAg,1,"i am only indonesian who likes to see the yutub content, neng liziqi?",我只是喜欢看到yutub内容的印度尼西亚人，Neng Liziqi？
33751,UgzzcyhupwKqSDTb4wp4AaABAg,1,"liziqi's videos are always the best. but man, i swear i can smell the bamboo shoot when i saw her sniffs it lolol",Liziqi的视频始终是最好的。但是伙计，当我看到她的嗅觉时，我发誓我可以闻到竹芽的味道大声笑
21583,UgxN-v8VuLO9BuOO_2V4AaABAg,1,dear liziqi . you are amazing❤,亲爱的liziqi。你很棒
33726,UgyTYggl1o1gqXfOlEd4AaABAg,1,i wish i could understand what liziqi and grandma say to each other. they always look like they are having such a nice conversation.,我希望我能理解利兹奇和奶奶彼此说什么。他们总是看起来像是进行了很好的交谈。
204,UgySSCuzMciX4F9Ndrt4AaABAg,1,"liziqi, where are you, for a long time i didn't upload pidio anymore miss me",liziqi，你在哪里，很长一段时间我没有上传pidio
35121,UgwEg49r48FVPReKWSx4AaABAg,1,yey i'm the first liker of liziqi's vdo yeyyyyyyyyyyyy,是的，我是Liziqi的Vdo yeyyyyyyyyyyyyyyy的第一个想法
4997,UgyBNI-f0qUv_aYAxrx4AaABAg,1,@liziqi thanks for the spanish subtitles!,@liziqi感谢您的西班牙字幕！
25613,UgxcyMsCj0QK7hb7gQN4AaABAg,1,"liziqi -

you must have countless men asking to marry you? 

you preserve a way of life that fades rapidly like a winter sunset but a way of life which must be preserved, honored, and taught to each new generation to ensure the survival of the ways of you and your people.

you are a princess in my eyes - we are a world away, but i honor you. you are a gem among your family and name, and among your people you should be considered a teacher and guru.

raymond d. d.","liziqi-

你一定有无数的男人要求嫁给你？

您保留一种生活方式，它像冬季的日落一样迅速淡化，但必须保留，尊重和教导每一代的生活方式，以确保您和您的人的方式生存。

在我眼中，你是公主 - 我们是一个世界，但我向您致敬。您是家人和名字中的宝石，在您的人民中，您应该被视为老师和上师。

雷蒙德D. D."
4565,UgwH85uanxjyJ1jE89l4AaABAg,1,i love u liziqi❤️,我爱你liziqi❤️
4498,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9OHJg7KGY9c,1,korean kimchi army bully liziqi for pickle chinese cabbage.,韩国泡菜陆军利兹奇（Liziqi）用于腌制中国白菜。
35047,UgymGBA4J8HL0oQXadl4AaABAg,1,"i really love ur content liziqi, its so calm & refreshing!
continue what ur doing.

all the way from the philippines.","我真的很喜欢您的内容liziqi，它是如此的冷静和清新！
继续您的工作。

从菲律宾一直到。"
33010,UgwtK-MElL4xTlCm6lZ4AaABAg,1,i love those clay pots and earthen jars she use. your food liziqi is so tempting to eat.. how i wish i can do that(cook). would you share some recipes?,我喜欢她使用的那些粘土锅和土罐。您的食物Liziqi很诱人。我希望我能做到这一点（做饭）。您会分享一些食谱吗？
180,UgxaUJLEPelGs0K7KRx4AaABAg,1,i really miss liziqi uploading the video again,我真的很想念Liziqi再次上传视频
184,UgyD7Fx312MGle7nB1B4AaABAg,1,"good afternoon, miss liziqi you are very beautiful, i can't see your video because i have my mommy, just as you attend your grandmother,",下午好，利兹奇小姐你很漂亮，我看不到你的视频，因为我有妈妈，就像你参加祖母一样，
20070,UgyoDg-bqje9ONumD_54AaABAg,1,"liziqi, i love your channel, and all the knowledge that you share with all of us.
one day i hope to find a woman like you to marry 
keep all the great content coming!","Liziqi，我喜欢您的频道，以及您与我们所有人分享的所有知识。
有一天，我希望找到一个像你这样的女人嫁给
保持所有伟大的内容！"
32600,Ugy3JoJvK3tJqvkzAod4AaABAg,1,liziqi... i love you... your video very nice... love from indonesia,liziqi ...我爱你...你的视频非常好...来自印度尼西亚的爱。
27003,UgyDSnKCZSbwdV2pXO14AaABAg.8yjNCqkTi_h8ylPalM579j,1,hahaha langya. cats are not pbb otso nag liziqi nadin,哈哈哈·兰格亚（Hahaha Langya）。猫不是pbb otso nag liziqi nadin
20108,UgzsbqpR7z4sHjg0CyN4AaABAg,1,happy 7m subs princess liziqi,幸福的7m subs liziqi公主
3467,UgweM1YnN-XmOk11Inl4AaABAg.9OCyMi6421i9RnGDxO1YFC,1,"only recently has liziqi had a cameraman. earlier ahe did her own camera work, and she atill does the final editing.",直到最近，Liziqi才有摄影师。早些时候，Ahe做了自己的相机作品，她进行了最后的编辑。
5153,UgwyGx9jCriTMqRds5N4AaABAg,1,liziqi q,Liziqi
2945,UgyCnQxkZO6dxTfncQR4AaABAg,1,"hello liziqi...i am from indonesia, i like everything that you 've done. ❤️❤️❤️",您好Liziqi ...我来自印度尼西亚，我喜欢您所做的一切。 ❤️❤️❤️
27237,UgzP1puOZpf53rgKz2l4AaABAg,1,"my hometown is exactly same with liziqi's, i left my hometown and china 20 years. when i saw this vedio, almost crying, the rural life in the video reminds me of my child's life.",我的家乡与利兹奇的家乡完全一样，我离开了家乡和中国20年。当我看到这个吠陀几乎哭泣时，视频中的乡村生活使我想起了我孩子的生活。
2971,Ugy2ainHxB8OXIpkPDd4AaABAg.9QMbOciZTv89QQ6s1rWsgY,1,"hello dear taylor~i am a big fan of liziqi, too. i'm from china. recently, we are preparing a present for ziqi, a fan video from all of the world. would you like to join us and shoot a video for ziqi, she can see your wishes directly in the video. please kindly contact me if you are interested, we will send you the detailed information~here is my email: emilylee1005@163.com",您好，亲爱的泰勒〜我也是Liziqi的忠实拥护者。我来自中国。最近，我们正在为来自世界各地的粉丝视频Ziqi准备礼物。您想加入我们并为Ziqi拍摄视频吗，她可以直接在视频中看到您的愿望。如果您有兴趣，请与我联系，我们将向您发送详细信息〜这是我的电子邮件：emilylee1005@163.com
3163,UgxRWBwcaCWNdCqgutd4AaABAg,1,hey liziqi ...big fan from india .....love ur eyes,嘿liziqi ...来自印度的大粉丝.....爱你的眼睛
3280,UgyaD1B-KypuYk559uF4AaABAg,1,i love your liziqi videos,我爱你的liziqi视频
33627,UgxY63MU8swLP29jvbR4AaABAg,1,"#liziqi can u write a book where exact ingredients and recipe can be found, it would be very helpful !",#liziqi您可以写一本书，可以找到确切的成分和食谱，这将非常有帮助！
255,Ugxz7CUZ74ZYiDkwyAN4AaABAg,1,i miss you like liziqi,我想念你喜欢liziqi
5140,Ugwe-hDkTkZHVKicxRh4AaABAg,1,my moodbooster is liziqi content! who's same with me?,我的MoodBooster是Liziqi内容！谁和我一样？
241,UgySBxIsRDsU2gW-VxR4AaABAg,1,where are you liziqi?,你在哪里liziqi？
29290,UgyM25BTz_sXDaAN2Nd4AaABAg,0,hello liziqi you beautiful,你好liziqi你美丽
28492,Ugx7Qcv5pLRfgq-xMLd4AaABAg,0,hiiii are you married and how old are you liziqi,嗨，你结婚了，你多大了liziqi
26149,UgxDvAHpR8YySzIim0B4AaABAg,0,@liziqi happy anniversary :),@liziqi周年快乐:)
