,cid,votes,time,含liziqi,含liziqi中文翻译
25012,Ugyvb9Or9onsafDZ5Mt4AaABAg,3,3 years ago,"hello everyone, liziqi, i really like your channel and your lifestyle. do you want to know what you put in front of marshmallow? thank you",大家好，liziqi，我真的很喜欢您的频道和您的生活方式，您想知道在棉花糖前面放什么吗？谢谢啦
22669,UgyBT7lL44bJijTqXmd4AaABAg.92oYGg24oay937EwZzlBOJ,3,3 years ago,"that's for sure, liziqi always has special recipes with chestnuts.",可以肯定的是，利兹奇总是有栗子的特殊食谱。
316,UgxhJxBCIkppavAtYPt4AaABAg,3,2 months ago,i love liziqi,我爱liziqi
324,UgwnoP3NTF8M1oDTQqZ4AaABAg,3,2 months ago,..i miss your all video liziqi..,..我想念您的所有视频Liziqi ..
17064,Ugwm1u1JybX-VWxgaDV4AaABAg,3,3 years ago,"when ever i watch liziqi's videos, there is always that small, repetitive, semi-reasonable voice in the back of my head begging: ""teach me your way, oh great one!"" who else would want to learn from liziqi?",每当我观看Liziqi的视频时，我的脑海中总会有那么小，重复，半合理的声音：“教我您的方式，哦，哦，伟大的一个！”还有谁想向利兹基学习？
33591,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-ALZGVL7np,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
30476,UgyZNsJY8rSJbQ8f0T54AaABAg,3,3 years ago,liziqi or ash i donโ€t know by the way i love your food i hope its yummy,liziqi或Ash，我不知道我爱你的食物，我希望它的美味
26786,UgzvYOt0H_2OgL8sLth4AaABAg,3,3 years ago (edited),"liziqi you are a very special girl, i wish i was as talented as you are hopefully you will find your prince one day. god bless you and lots of love to granny ๐’–๐’–๐๐ฌ๐ง",Liziqi您是一个非常特别的女孩，我希望我像您希望有一天能找到您的王子一样有才华。上帝保佑你，对奶奶的爱心很多
3123,Ugx-FusuhEN-x-_RiL94AaABAg,3,1 year ago,"love from russia! liziqi, thank you for all your videos!",来自俄罗斯的爱！ Liziqi，谢谢您的所有视频！
8655,UgxyYu7WsGnsddDW2iV4AaABAg,3,2 years ago (edited),"李子柒, liziqi!!, you know, you have a ""thief's heart."" 

you insulted the pride and heart of the culture of the people around china.
apologize to them and ask for forgiveness.","李子柒，Liziqi !!，您知道，您有“小偷的心”。

您侮辱了中国各地人民文化的骄傲和心脏。
向他们道歉，要求宽恕。"
16740,Ugx53dRaunGipg_w8uF4AaABAg,3,3 years ago,"i just love liziqi. she is a modern princess and is just amazing. but... she is not a goddess like all ya’ll think she is. she is human just like us. this video is proof that humans are not perfect, even is they are hardworking and talented. (https://www.youtube.com/watch?v=auw1_2xbywm) watch till the end and you’ll see what i mean.",我只是爱Liziqi。她是一位现代公主，真是太神奇了。但是...她不是像所有人一样的女神。她像我们一样是人类。该视频证明了人类并不完美，即使他们在努力工作和才华横溢。 （https://www.youtube.com/watch?v=AUW1_2XBYWM）直到最后，您就会明白我的意思。
11700,Ugy3HjvZ8TTP6udOpQh4AaABAg,3,2 years ago,"liziqi very beautiful your videos! ๐๐ปโ€โ€๏ธ๐ง๐ท
only subtitle","liziqi非常漂亮您的视频！
只有字幕"
19506,UgykYpUIJEizi3rt_Q54AaABAg,3,3 years ago,"dear liziqi, thankyou for making videos, thankyou for your hard work, thankyou for beeing you, thankyou for your existence, thankyou for everything.",亲爱的liziqi，谢谢您制作的视频，谢谢您的辛勤工作，谢谢您为您提供的努力，谢谢您的存在，谢谢您的一切。
27247,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-ALeRnaC-V,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
12714,UgwWCHWN-u-UvxCoPPZ4AaABAg.9Cs9ZXNXmvg9EOdjymVNve,3,2 years ago,"look for nearby farms that need an extra pair of hands to help. even if that farm is not the most beautiful like liziqi's, you can make it beautiful. i believe in you.",寻找附近需要额外双手帮助的农场。即使那个农场不是像利兹基的那样最美丽的农场，您也可以使其变得美丽。我相信你。
14131,UgxQIgANHb8hw5nVR_R4AaABAg,3,2 years ago,i like to watch liziqi on the weekends with a beer. best thing ever. i'd love to have a woman like that. she's so pretty in every way.,我喜欢在周末用啤酒看Liziqi。有史以来最好的事情。我很想有一个这样的女人。她在各个方面都很漂亮。
27820,Ugx8L8UDX9uEfI3uuKZ4AaABAg.8z2BKhwCUrw8zxkwXlHqGd,3,3 years ago,true ใ… ใ…  and her grandma didn't even flinch and just chuckled when it was liziqi who got startled instead,是的ㅠㅠ，她的祖母甚至都没有退缩，只是在liziqi被吓了一跳的时候笑了
18427,UgziVgQc32CnGL4zUSd4AaABAg,2,3 years ago,i have goosbomb how she could do that in one preparation? godbless you more liziqi ❤️,我有一个傻瓜她如何做一个准备工作？敬拜你更多的liziqi❤️
2443,UgzODh-lytOxKBaY7mB4AaABAg,2,1 year ago,"liziqi vlog 
such an inspiration to many
missing u and ur vlogs
from philippines here so proud 
ur one of the best","liziqi vlog
这是许多人的灵感
缺少你和你的vlogs
来自菲律宾的来自这里的骄傲
你最好的"
2534,UgydJU9PYDpWmVktXPh4AaABAg,2,1 year ago,is this the most viewed liziqi video?,这是观看最多的Liziqi视频吗？
7609,UgwBx5lp_sJzHFIbcaF4AaABAg,2,2 years ago,my favorite video of liziqi. i saw this mannnnnny times. i don't know how many times. love from தமிழ் நாடு tamil nadu india,我最喜欢的Liziqi视频。我看到了这个Mannnnny时代。我不知道多少次。来自tamil nadu印度的爱
6527,UgxqipOQyQ2IvnU0q2F4AaABAg,2,2 years ago,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
18195,UgyEBdXCouT8JdFwq0d4AaABAg,2,3 years ago,even rich people will think less of themselves by watching liziqi's videos.❤,即使是有钱人也会通过观看Liziqi的视频来思考自己。
19769,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095R7GBH7pyV,2,3 years ago,"@dantechersi6056 i agree. i am not vegan or vegetarian, but i do have animals of my own. also a garden/farm. it will be hard the day i will have to kill my chickens or ducks for our own meal. just as liziqi does, i would pay my respects to that animal for giving me it's life to continue my own.",@dantechersi6056我同意。我不是素食主义者或素食主义者，但我确实有自己的动物。也是花园/农场。我将不得不杀死自己的鸡或鸭子来做自己的饭菜会很难。就像利兹奇所做的那样，我会尊重那只动物，因为它给了我自己的生命。
3786,UgySDVr0-w-k7HuKxdp4AaABAg,2,1 year ago,"out of the 100 million views, at least 10 million are mine :d one of my fav liziqi videos.",在1亿次观看中，至少有1000万是我的：D我最喜欢的Liziqi视频之一。
11081,UgwCi34pxNSMUwOUXcR4AaABAg,2,2 years ago,"liziqi, please send me your grandad's postal address so i can send him a more carbon-neutral popcorn-making machine ;)",Liziqi，请给我您的爷爷的邮政地址，以便我可以给他发送更多碳中性的爆米花制造机;）
6138,Ugw98_3a1pgXaAGTG3Z4AaABAg,2,2 years ago,life is beautiful in liziqi's life. i can visualize heaven from her garden.,生活在利兹奇的生活中是美丽的。我可以从她的花园里想象天堂。
5867,UgyUHVC0rtxBPaf64TV4AaABAg,2,2 years ago,"dearest liziqi......really do enjoyed your u tube videos ....the recipes look so yummy, please is there any chance to translated the information from chinese into english-language, greatly appreciated your kindness....",亲爱的liziqi ......真的很喜欢您的U管视频。...食谱看起来很美味，请有机会将信息从中文翻译成英语，非常感谢您的好意。
9478,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9Hq6Q9J6BOq,2,2 years ago,"liziqi vedios knd knd enikum oru poodi
angna njanum chydu oru vedio
onnu kndu nokne","liziqi vedios knd knd enikum oru poodi
angna njanum chydu oru vedio
Onnu Kndu Nokne"
2874,UgytQpRe7DwJXQygyAB4AaABAg,2,1 year ago,missing u my queen liziqi. hoping gor a new video.,想念你我的女王利兹奇。希望GOR一个新视频。
10480,UgzsaWUUuahAexG72wF4AaABAg,2,2 years ago,i'm waiting liziqi gonna bake some cake or do some research of others country food. will be more instrested.,我正在等待liziqi烤一些蛋糕或对其他乡村食物进行一些研究。会更具工具性。
5202,UgzS2G7Kmw7EqUJJQAt4AaABAg,2,1 year ago (edited),the dogs and the sheep are luckiest animals of the world .. who got chance to live in nature .. with liziqi,狗和绵羊是世界上最幸运的动物。
16931,UgwNQWYOk0Il2CE65eV4AaABAg,2,3 years ago,you are awesome liziqi,你很棒的liziqi
16527,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98qLG-DJ4Wr,2,3 years ago,"@wuxh2708 her head was throwed to bath full of water by her stepmother. liziqi strugle to get a job.... being a merchant, dj, and failed in food competition",@wuxh2708，她的继母将她的头扔到充满水的水浴时。利兹奇（Liziqi
11788,Ugzg5mflolxGnKyJjQt4AaABAg,2,2 years ago,"you are a legend liziqi 
i miss this kind of life. 
your place is a paradise, surrounded by flowers and vegetables, and your cute friends. i like your puppy and the lamb. 
your popo is so lucky to have you with her, a very loving grand daughter. 
i love all your videos. i will try your recipes from scratch. 
also, i love your oven. its unique. ๐๐ฅฐ
love from houston, texas
๐’mimi โจ","你是一个传奇的liziqi
我想念这种生活。
您的住所是一个天堂，周围是鲜花和蔬菜，还有您可爱的朋友。我喜欢你的小狗和羔羊。
您的Popo很幸运能和您在一起，一个非常有爱心的大女儿。
我喜欢你所有的视频。我会从头开始尝试您的食谱。
另外，我爱你的烤箱。它的独特。 
来自德克萨斯州休斯顿的爱
"
4362,UgzPCvdsu1UhTgu6wwR4AaABAg,2,1 year ago,"liziqi, you are a great and talented woman ✨✨✨",利兹奇，你是一个伟大而有才华的女人✨✨✨
4338,UgysBWH_2YZ9tA-Eazt4AaABAg,2,1 year ago,"hi my dear liziqi, my lovely liziqi 
i like your video, i love u very very much. i am little baby mahiba islam pata. i live in bangladesh . where are you live in??????","嗨，我亲爱的liziqi，我可爱的liziqi
我喜欢你的视频，我非常爱你。我是小宝贝大教堂伊斯兰帕塔。我住在孟加拉国。你住在哪里？"
3552,Ugx4PrtaDRoUP8fqCMl4AaABAg,2,1 year ago,liziqi reaction is so funny within pop corn recipe,Liziqi反应在流行玉米食谱中非常有趣
3586,UgzT9jOw5lci24z0sMl4AaABAg,2,1 year ago,congratss liziqi for 100m views❤️❤️,祝贺Liziqi 100m视图❤️❤️
14724,Ugyok7U7VqwtA5Ojo5Z4AaABAg,2,2 years ago,"any mallus here ?? if yes hit like 

p.s. just wanna know how many mallu watch liziqi","这里有mallus吗？如果是的，则像

P.S.只是想知道有多少马卢观看liziqi"
3907,UgxKKP-K8S_64RwmZH54AaABAg,2,1 year ago,kangen liziqi,Kangen liziqi
3822,UgxTht-DKo19kifQl2h4AaABAg,2,1 year ago,my admire. still watching all the video of liziqi. it's very deep and relaxing me. i hope 1 day i will do the same way like you. am also from the countryside but invironment not support. not easy to get the material.,我钦佩。仍在观看Liziqi的所有视频。这是非常深的，让我放松。我希望我能像你一样做同样的方式。我也来自农村，但不支持。获取材料并不容易。
2144,Ugz-u0QqnjQcx1nn7bd4AaABAg,2,1 year ago,it's happy to live in the countryside with liziqi,很高兴与Liziqi
25300,UgxpiJzgA6cyWozX9R54AaABAg.9-UPeufRcwn90giTvxFDIc,2,3 years ago,"if you do not mention, i did not even notice. let it be. i love liziqi.",如果您不提及，我什至没有注意到。随它去。我爱liziqi。
319,Ugw8rFrN4Jo5X1PLzqF4AaABAg,2,2 months ago,help liziqi to get her youtube chanel back to her,帮助Liziqi将她的YouTube Chanel带回她
25696,Ugy6RKxBfIBxOuWcg9B4AaABAg.9-5cTrMPiM29-ALhslcmCV,2,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
30914,UgyWX3rX4u8bymKqaPZ4AaABAg,2,3 years ago,hi liziqi! keep watching your old videos over and over again... ๐’—๐,嗨，liziqi！一遍又一遍地观看旧视频...
25583,UgzB-txb2XBhyckLNWd4AaABAg,2,3 years ago,"liziqi, your channel is just wonderful i truly love it the way you work and create such beauty with food and all almighty gods abundance just in awe of you praying blessings upon you n your family and animals so happy i found your channel",liziqi，您的频道真是太好了，我真的很喜欢您的工作方式，并用食物和所有全能的众神创造如此美丽的方式，只是您敬畏您向您的家人和动物祈祷祝福，所以我很高兴我找到了您的频道
30390,UgykIzjCwOd4jWF751h4AaABAg,2,3 years ago,bravo liziqi ๐‘๐‘๐‘๐‘,Bravo Liziqi
30207,UgxAbO9DNwt5ABSZxoZ4AaABAg,2,3 years ago,what is she cooking on at 2:29 ? what kind of portable stove is that? is looks like a pottery device. does anyone know? (side note: liziqi videos are incredible),她在2:29做什么？那是什么样的便携式炉子？看起来像陶器装置。有人知道吗？ （旁注：Liziqi视频令人难以置信）
24232,UgxmuQQxiCeRDU_pOrZ4AaABAg,2,3 years ago,i see this video minimum 50times.....how much i love this video i don't express that love you liziqi you are the best,我看到这个视频至少50次.....我多么爱这个视频，我不表达爱你liziqi你是最好的
1226,UgxMJ8oNdmq1b9rs2pp4AaABAg,2,9 months ago,miss you liziqi..love from pakistan,想念你liziqi..从巴基斯坦爱
32298,UgyJXYo2X2L5tkjUvfR4AaABAg.8vvno-XxxF98wCpDpc1Hii,2,4 years ago,"from 5:57, โ€โ€pon!!โ€โ€ 
i like this scene liziqi hiding behind her grandma. i felt her โ€โ€kawaiiโ€โ€ when she was surprised to the sound not covering her own ear ๐","从5:57开始，‘pon !!‘’
我喜欢这个场景Liziqi躲在她祖母后面。我感到她的“ kawaii”’"
23046,Ugz3Izjr5Hdh3MbwArB4AaABAg,2,3 years ago,"liziqiโฅ
i am from indonesia๐ฎ๐ฉ","liziqi♥
我来自印度尼西亚"
29079,UgzJtfYrIHTcPcoI0xx4AaABAg,2,3 years ago,"i enjoy watching this video. the atmosphere is very beautiful and living there seems calm, far from the pollution of a big city. i also like gardening, i have a small garden on two balconies, the limited place is not an obstacle for gardening. liziqi videos really inspired me. happy gardening form germany ๐๐๐๐๐๐ .",我喜欢看这个视频。气氛非常美丽，住在那里似乎很平静，远非大城市的污染。我也喜欢园艺，我在两个阳台上有一个小花园，有限的地方不是园艺的障碍。 Liziqi视频确实启发了我。园艺快乐的德国形式。
33503,UgxtWJnqmuQNkzUrG4V4AaABAg.8vE8t_eGKUP8vEUfsVnmua,2,4 years ago,actually liziqi starts making these videos 3 years ago and dianxi xiaoge is newbie. i like both of them too.,实际上，Liziqi 3年前开始制作这些视频，而Dianxi Xiaoge是新手。我也喜欢他们两个。
27777,UgwXNsoauxHCDOo7zAt4AaABAg,2,3 years ago,"i always watch videos on how to cook and prepare foods. but, when i watched the videos of liziqi i got more inspired. i even want to have a cooking pan like hers that is so multiused pan and the amazing oven.",我总是看有关如何做饭和准备食物的视频。但是，当我观看Liziqi的视频时，我受到了更多的启发。我什至想拥有一个像她这样的烹饪锅，它是如此多地使用的锅和令人惊叹的烤箱。
325,UgybuE5dYuQNYrAoMHt4AaABAg,2,2 months ago,liziqi please come back i miss your vedios and you,liziqi请回来我想念你的vedios，你
22721,UgyUPn3pwBVKHYd-Ozt4AaABAg,2,3 years ago,40 million.. go liziqi. ๐’,4000万.. Go Liziqi。
1984,Ugyl6oXUDQBK25nZ8DN4AaABAg,2,1 year ago,please come back liziqi,请回来Liziqi
49856,UgwjeVj4yhpd281--314AaABAg.8qlw0F6jSqF8qmJ8cDjAQ1,2,4 years ago (edited),yes. her name is liziqi,是的。她的名字叫liziqi
49269,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9DmEtK2MHJe,2,2 years ago,"@allisgoodallisbad why not. the european luxury products prices are so exorbitant. the mjr costs derived from astronomical pay to media ads, super models & celebs endorsements. while the products made in bangladesh, india, cambodia ...
her products, design, ingredients are made in china. she's a super model & celeb herself, trained & paid by herself. let say how much some pr companies would pay her to influence voters with chinese heritage in australia, america, canada, uk, ... election campaigns. in fact, the conservative parties deployed chinese speakers to carry the battle on tweeter, fb, instagram, wechat social media in recent australian federal election late last yr. she may wield tremendous power to boycott certain product sales in china & perhaps beyond china. 
what would louis vuiton share price would be if she wears its product while cooking & caring her nana. china is the greatest nation as louis vuiton. asia excluding japan account for 29% louis vuiton market & growing fast.
somebody pls advice liziqi do not wear or show any brand lightly. tiger wood could earn billion usd just for endorsement on nike.","@allisgoodallisbad为什么不。欧洲奢侈品价格如此高昂。 MJR成本来自天文工资，媒体广告，超级模特和名人代言。虽然产品在印度孟加拉国生产的柬埔寨...
她的产品，设计，成分是在中国生产的。她自己是一个超级模特与名人，自己受过训练和付款。假设有多少公关公司会付钱给她，以在澳大利亚，美国，加拿大，英国，...竞选活动中使用中国遗产来影响选民。实际上，保守党部署了中国发言人，在最近一年后期最近的澳大利亚联邦大选中，在高音扬声器，FB，Instagram，微信社交媒体上进行战斗。她可能会发挥巨大的权力来抵制中国乃至中国以外的某些产品销售。
如果路易斯·维顿（Louis Vuiton）的股价在烹饪和关心娜娜（Nana）时享用其产品。中国是路易·维顿（Louis Vuiton）的最伟大国家。亚洲不包括日本的路易·维顿市场29％，并迅速增长。
有人建议Liziqi不会佩戴或轻轻地显示任何品牌。老虎伍德可能会赚取10亿美元，仅仅是为了认可耐克。"
21904,UgwCpjfAGNstoD_mcQJ4AaABAg,2,3 years ago,"teacher :whi would u want to be on a island stranded with?

everyone except me

(albert edison)

me:liziqi 

everybody ๐ฒ๐ฒ๐ฒ๐ฒ","老师：您想在一个陷入困境的岛上吗？

除我以外的每个人

（阿尔伯特·爱迪生）

我：liziqi

大家"
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
37288,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa9WCENIZzaww,2,1 year ago,"~* chinese vloggers similar to liziqi:
dianxi xiaoge little brother | anxiaolu an xiaolu | longmeimei longmei |
grandpa amu grandpa amu | laotai arui old tai arui | summer kitchen xia kitchen chen 20 |
ermichuiyan two -meter cooking smoke | ms miao office channel miaomei jiu yang official channel

~* liziqi's popular background music:
cloud blow | april sakura | sakura march | begonia sleep | august 23 | always with me |
lovesickness ocarina | accel world bye bye | lough leane | sudden
it's better not to read | cicada banxia | huai ancient legacy | hometown story | tao lin | new year's eve | in the past | mo yu","~* Chinese vloggers similar to Liziqi: 
Dianxi Xiaoge 滇西小哥 | AnXiaoLu 安小鹿 | LongMeiMei 龙梅梅 | 
Grandpa Amu 阿木爷爷 | Laotai Arui 老台阿瑞 | Summer Kitchen 夏厨陈二十 | 
ErmiChuiyan 二米炊烟 | Ms Miao Official Channel 苗妹九秧官方频道 

~* Liziqi's popular background music: 
云吹动 | 四月樱花 | 樱花三月 | 海棠未眠 | August 23 | Always with Me | 
Lovesickness Ocarina | Accel World Bye Bye | Lough Leane | 忽如一夜梨花开 | 
不如不念 | 蝉鸣半夏 | 淮古遗殇 | 故乡物语 | 桃林 | 除夕 | 昔年 | 墨雨"
241,UgypcV_GMgh3kDtnoPB4AaABAg,2,1 month ago,i’m still waiting for your new upload pls make more videos for us we miss u @liziqi❤❤,我仍在等待您的新上传pls为我们制作更多视频，我们想念你 @liziqi❤❤
1985,UgwqjUk5rmpkC7rc6YV4AaABAg,2,1 year ago,in the village of liziqi there is no sunlight i love it,在利兹奇村，没有阳光我喜欢它
11855,UgyagvHJNGid6ZSBcB14AaABAg,1,2 years ago (edited),how is the popularity of rabies in liziqi?,Liziqi那里的狂犬病大流行情况如何
30749,Ugxq2Ub_tlP7dRVTApl4AaABAg,1,3 years ago,enjoy it really you and your fufa and your pupy all are so happy and you are so amezing work i salute @liziqi,真正享受您和您的fufa和您的pupy都很高兴，而您的工作很令人愉悦，我致敬@liziqi
11546,Ugz1Z8R-B80fCUHhN-R4AaABAg,1,2 years ago,"wow, i love you liziqi โฅ ๏ธ โฅ ๏ธ",哇我爱你Liziqi♥️♥️
27922,UgyTRd-JYpHLVGPw8Pd4AaABAg,1,3 years ago,"here are some behind scene footages of her early solo producing days. some bloopers/injuries too.

https://www.youtube.com/watch?v=apeop7rwrbw

disclaimer: i have no affiliation whatsoever with the above video or liziqi's. i only very recently ran into one of her videos on youtube. although i am chinese i live most of my live out of china so i had never heard of her or seen her video before a couple of days ago.","以下是她早期生产日期的一些现场镜头。一些泡沫/受伤也是如此。

https://www.youtube.com/watch?v=papeop7rwrbw

免责声明：我与上述视频或Liziqi的隶属关系没有任何隶属关系。我最近才在YouTube上遇到了她的一个视频。尽管我是中国人，但我的生活大部分时间都来自中国，所以几天前我从未听说过她或看过她的视频。"
11887,UgybayG8qLNHn3_tJ_l4AaABAg,1,2 years ago,"liziqi, you're such an inspiration to me ! love your videos ! there is so so much to be learned from you. sending you lots of love and light. ๐ป๐’–
( just small detail, there is a sunflower seeds not melon seeds used in video ) ๐","liziqi，你是我的灵感！爱你的视频！从您那里可以学到很多东西。向您发送很多爱与光。 
（只是小细节，有一个葵花籽而不是视频中使用的瓜子）"
29622,Ugwd58Lq5MiSnfbP8CZ4AaABAg,1,3 years ago (edited),"11,000 women caught their man watching liziqi. lol","11,000名妇女抓住了自己的男人看着利兹奇。哈哈"
28251,UgzpIcFsFhTH0oNlW7l4AaABAg,1,3 years ago,very hard to find woman like liziqi who are smart strong clever,很难找到像Liziqi这样聪明聪明的女人
28435,Ugyq9UvDDG1Wo14K3IB4AaABAg,1,3 years ago,liziqi byutiful,Liziqi botiult
12153,UgzmadzY3lTHlk1twM94AaABAg,1,2 years ago,"when since childhood you bothered yourself to make a cross with a small knife on hundreds (thousands) of chestnuts ... and there at 60, you see liziqi just give a trenk ... superb videos, and so many gestures ... i miss the recipes :-) everything is so appetizing and amazing for me french!",从小就开始用一把小刀在数百（数千个）的栗子上进行十字架……在60岁时，您看到Liziqi只是给Trenk ...出色的视频，还有很多手势...我错过食谱:-)一切都很开胃，对我来说是惊人的。
12227,Ugzv26MIb8GvT-E4TYF4AaABAg,1,2 years ago,"is everything ..fruits nuts vegetables available like this as it shows?! 
is it all around you liziqi?","一切吗..果实坚果蔬菜像这样可用吗？
周围是liziqi吗？"
28468,UgxqB-1WWsgRXEADC4B4AaABAg,1,3 years ago (edited),that lamb must think it's a dog too - a lamb/dog who feeds on vege salad . liziqi 's life is my fantasy life.,羔羊也必须认为这也是一只狗 - 以蔬菜沙拉为食的羊肉/狗。 Liziqi的生活是我的幻想生活。
11518,Ugx8nu1L74TV0otN_Ch4AaABAg,1,2 years ago,"hi, liziqi, i like all your videos, i see all your videos.",嗨，liziqi，我都喜欢您所有的视频，我看您所有的视频.
28800,UgzU6TFi5Vql56xWuNV4AaABAg,1,3 years ago,liziqi keeps on eating and not getting fat because of active movements and lots of physical activity huh ..,利兹奇一直在进食而不再因积极的运动和大量的体育锻炼而脂肪。
30919,UgymBxILG3GUtBnkRi14AaABAg,1,3 years ago,liziqi's videos are so addicting...,Liziqi的视频令人上瘾...
20150,UgyxiOIP_gLICJ6v-oB4AaABAg,1,3 years ago,"lโค๏ธve u from india ""liziqi""โค๏ธโค๏ธโค๏ธโค๏ธ๐๐ฅฐ๐๐",l❤¶
31026,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xCugaDy3C8,1,3 years ago,@mrsshaju liziqi mathram alla ... dianxi xiaoge ennoru channel koodi ind .. same like this ... athupole vene pala channels ind. but i watch only and dianx i xiaoge a,@MrsShaju Liziqi mathram alla ... Dianxi xiaoge ennoru channel koodi ind.. same like this... Athupole vere pala channels ind. But I watch only Li ziqi and Dianxi xiaoge
31271,Ugyi5_37zwAlHVzbdzN4AaABAg,1,3 years ago (edited),"her relationship with her grandma reminds me of my relationship with myself lol jk

it reminds me of my grams , and liziqi reminds me a lot of grandma . my grandma a bad ass","她与奶奶的关系使我想起了我与自己的关系大声笑JK

这让我想起了我的克，Liziqi让我想起了很多奶奶。我奶奶是一个坏屁股"
35188,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97TrYOT6czX,1,3 years ago,"@therewasnochill8997 sorry, but you have a typical misunderstanding of modern china. here we all need to get 9 years education, yes every single kids(boys &girls ).and after the 9years senior free-charge national education, we all have options to choose a university or go abroad or learn a lifetime skill . i am a freshman of a university, a chinese gril myself,and grils like me can all get very well education . and modern china is an interesting place very welcome for you to explore. liziqi 'vlog is unrealstic even in china now , although i had to say it is beautiful.",@thenwasnochill8997对不起，但是您对现代中国有典型的误解。在这里，我们都需要接受9年的教育，是的，每个孩子（男孩和女孩）。在9年的高级自由收费全国教育之后，我们所有人都有选择大学或出国或学习终身技能的选择。我是一所大学的新生，我本人是中国人，像我这样的疯狂都可以接受很好的教育。现代中国是一个有趣的地方，非常欢迎您探索。 Liziqi的视频博客即使在中国也是不切实际的，尽管我不得不说它很漂亮。
