,cid,votes,含house,含house中文翻译
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
23637,Ugyi9jeL3s_LpbGq1EZ4AaABAg,3,"hey cutie i love ur all videos
dis is dream house for me,","嘿，可爱的我爱你所有视频
迪斯对我来说是梦想的房子，"
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
11406,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD9873WWGVR4_,2,@logicone5667 there are people who live in the village especially older people. it is her grandma and her house,@logicone5667有些人住在村庄，尤其是老年人。这是她的祖母和她的房子
11399,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97q6VOs8UA7,2,@geekbg2003 actually you are right and i just did.. i stand correct. her net worth is over 8.7 million.. that traditional farmhouse is as real and functional as a movie set..,@geekbg2003实际上你是对的，我只是做到了。她的净资产超过870万..那个传统的农舍与电影套装一样真实和实用。
9474,UgxnVwLkek_PBUQF8Pp4AaABAg,2,"i love ๐จ๐ณ๐จ๐ณ๐จ๐ณ๐จ๐ณ๐จ๐ณchinese girl liziqi and she lives in her grand parents home with her grandmother and see misses her nuclear parents and i wish to live with chef liziqi and her farm is good and live in farm, house",我爱
20098,UgwGIYwqEEdVeFgpvHN4AaABAg,2,in love with her beautiful nature house,爱上了她美丽的自然之家。.我的愿望是有这样的人。
21342,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT908OCeE5UMi,2,"the same, now fighting home in shenzhen to build a house",一样，现在在深圳奋斗回家盖房子
26885,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yqhiYnBhiy,2,john smith haha，i don’t know you know now in china many mountains or cultivated land or a house in the country can be rent by private person to do what you want (legal things) for 22 years in the first tenancy term.you can plant trees or raise animals or reconstruct the house to live by yourself or as a homestay in the area. many chinese people have rent them to create their own beautiful life.,约翰·史密斯·哈哈（John Smith Haha），我不知道您现在在中国知道许多山脉或耕地或该国的房屋可以由私人人士租用，以便在第一个租赁期限内做您想做的22年（合法的事情）。可以种植树木，养育动物，或重建房屋以自己或该地区的寄宿家庭生活。许多中国人有租金来创造自己的美丽生活。
10805,UgzQIlArdM3-I71mRb54AaABAg,2,"tbh im addicted to watching her video, like it motivates me to be productive and do household choirs. and damn she so beautiful!",TBH我沉迷于观看她的视频，就像它激励着我变得富有成效并做家务合唱团。该死的她真漂亮！
16342,UgzF35ISRZZjEFD05Bt4AaABAg,2,her garden is better than supermarket near my house,她的花园比我家附近的超市更好
10668,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZlVNAuw2a,2,"@mohammed haroon after her vids became successful , she got many sponsors.
imo ccp now is also one of her sponsors. not from the beginning , but after she got famous n paparazis n flying drones were around her house!!
she then received ccp sponsorship & gets some security guards in return...

u r mohammad but lives in a western country?? so pls dont be a hypocrite n talk bad about ccp & liziqi. being a chinese doesnt mean being a fanatic ccp. just like a name mohammad doesnt mean a terrorist ! u r only jealous... liziqi is indeed far better than u or any of us☺️","@mohammed Haroon成功后，她获得了许多赞助商。
IMO CCP现在也是她的赞助商之一。不是从一开始，而是在她获得了著名的狗仔队之后，她的房子周围就在屋子里！
然后，她获得了CCP赞助，并获得了一些保安人员的回报...

穆罕默德（Mohammad），但住在一个西方国家？因此，请不要对CCP＆Liziqi的伪君子n不好。作为中国人并不意味着成为狂热的CCP。就像穆罕默德（Mohammad）的名字并不意味着恐怖分子！你只嫉妒... liziqi的确比你或任何一个us☺️好得多"
34535,UgwTDwlgUDIrBM07bt54AaABAg.8yUTmyTk7Bf8yUWOksbx6o,2,hahahahahahaha big households,哈哈哈哈哈哈大户人家
19028,UgwhZUwXc6ctGg0ookR4AaABAg.929_y5AdSaj92CvshCN4Qw,2,shahan mughal the baby bamboo she cut is soft inside and very delicious. the grown up tall bamboo is very hard you can use to build house or kayak.,Shahan Mughal她切割的婴儿竹子柔软，非常美味。长大的高竹子非常困难，您可以用来建造房屋或皮划艇。
14423,UgyZ35VKnjK37Q0iCnd4AaABAg,2,i love how everything you need is just outside your house..i love country living..i love how simple life there..i miss my home.,我喜欢您所需要的一切都在您家外面。我爱国家生活..我喜欢那里的生活。我想念我的家。
23994,Ugyh4EPC6sE1Uziou7R4AaABAg.8zYBJ5loH278zgEZ5msHM7,2,"hs, back in the days all our utensils, and plenty of other regular household items were ""eco"" friendly!!",HS，在我们所有的餐具和其他许多常规家用物品都“ Eco”友好的时代！！
5424,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9I_xEwz6-BH,2,"im from the philippines and we still have that kind of knife in out house its from my grandpa,i remember thats my favorite knife to use when my mom asks me to cook or help her cook using that kind of knife has this feeling that your chopping is done faster idk why but thats how i feel ,we also used too cooked in clay pots just like her and istg everything that was cooked in a clay pot is 10x more tastier and also if u store water in a clay jog it always takes so sweet and idk know why but putting it in a jog pot the water becomes cold even if the place isnt cold or you didnโ€t put any ice,i miss drinking water from it and eating foods that was cooked in clay pot.also the knife i miss using we dont use it anymore since it not sharp anymore and its hard to make it sharp again they say it uses a diff method on sharpening it,only my granda knows how to but he is years dead already",我来自菲律宾，我们仍然有那种刀从我的爷爷那里放在外面，我记得那是我最喜欢使用的刀完成了更快的速度IDK为什么为什么我的感觉，我们还使用过像她一样在粘土锅中煮过甜美而idk知道为什么，但是将其放在慢跑锅中，即使这个地方不冷或您没有放冰也变冷，我想念喝水，吃在粘土锅中煮熟的食物。我想念使用我们不再使用它，因为它不再锋利了，很难再次使它再次尖锐
6417,UgzgF1xkhroFoJjei054AaABAg,2,"you have such a oneness with nature and life,my god bless you and your household. i would love to visit you and maybe get first hand knowledge from you your amazing",您与自然和生命有如此统一，我的上帝保佑您和您的家人。我很想拜访您，也许从您那里获得第一手知识
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
5799,UgzvbWRKeRMrGGctqlN4AaABAg,2,"eh, i would have such a mistress in a new house, i would have a drink with one love !!! i have been looking for such a magical one all my life !!! the bee is hardworking! surely the soul is the same beautiful as her appearance !!! and even on different languages, they would understand each other and even without words !!!",嗯，我会在新房子里有一个情妇，我会喝一杯爱！！我一直在寻找我一生的神奇！！！！！！！！！！！！！！！！！！像她的外表一样美丽！！！甚至在不同的语言上，他们也会彼此了解，甚至没有言语！！！
330,UgybqVpKu8H3dQIJPuV4AaABAg,1,"112, 2, and 25 recall that you look at bamboo shoots in the mountains really beautiful! i have been in pingtung, taiwan for some time in pingtung! the house is sawing trees! organized! factory! sell ​​some scrap iron to organize!",112、2、25回忆妳在山里采竹笋的样子真的很好看！我这几天休假一段时日在台湾屏东整理了！房院子锯树木！整理了！厂房！卖一些废铁整理整理！
3277,UgwOFObYw9DFgXdyqVl4AaABAg,1,if you can just exchange my house with the house,如果您可以将我的房子与房子交换
4823,UgxUhAAC6Suuua3Q6YN4AaABAg,1,are indonesians watching this. i really like to want to go on vacation to his mbk house.,是印尼人看着这个。我真的很想想去他的MBK房子度假。
19912,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91sD7GVnNbV,1,"becoz of the youtube subscribers, now she own a house with big garden haha",YouTube用户的Becoz，现在她拥有一所房子和大花园哈哈
18616,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92g8H1BP0Hp,1,"pedro c i could say that if mao didn't exist,liziqi might even can't have this house",佩德罗·C，我可以说，如果毛面不存在，利兹奇甚至可能无法拥有这所房子
12820,UgxTR12_ogmYA7U_10B4AaABAg,1,"there are many kimchi jar in your house, i really want to go to your house to eat kimchi",你家好多泡菜坛子啊，好想去你家吃泡菜
16813,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI938YUgmfeWY,1,"@tehkettybear oh, yeah? you can live in your ikea apartment still live like a pig house if you don't clean and tidy, the life is controlled by yourself, btw, you must not been to new type of chinese countryside, make sure you visit first before you leave so stupid comments here. cannot stop laughing at you.",@tehkettybear哦，是吗？如果您不干净和整洁，您可以住在宜家的公寓里，仍然像猪屋一样生活，生活是由自己控制的，顺便说一句，您一定不能去过新型的中国乡村，请确保您在离开之前先访问如此愚蠢的评论在这里。不能停止嘲笑你。
26814,UgyIa0BxKztds-d6Gjl4AaABAg,1,"my life was like hers up until i came to the united state! now, i cannot even rest on the roadside, because it was on the edge of priviate property. i am 5'1, less than 100 lb. the house owner came to me, saying i scared his children and demanded me to leave after 5 minutes resting on the curb.",直到我来到美国，我的生活就像她的生活一样！现在，我什至无法在路边休息，因为它位于私人财产的边缘。我5'1，不到100磅。房主来找我，说我吓到了他的孩子，要求我在路边休息5分钟后离开。
11721,UgzASLlODo8WXZ-OQIx4AaABAg,1,"i love her,,,, very creative,,,, truely a housewife material.... god bless her and family",我爱她，非常有创造力，
15670,UgxMxm_xKLvqt--PQ3d4AaABAg.937cDdLZvgJ93AiO4TYrcS,1,"it is her house, mianyang, sichuan. in their mountainous areas, the per capita area covers a large area",是她家，四川绵阳。她们山区，人均占地面积较多
19135,Ugw_tcL4dWI-XqQpJUd4AaABAg,1,dream house village,梦之村村庄
18114,Ugwb3jm93T2szw7y1cd4AaABAg,1,"in a national style martial arts game, a beautiful npc's direct vision of a small farmhouse living in the mountains",有一种国风武侠游戏里，一个生活在山里的农家小舍的美丽Npc的直视感
33664,UgxW5YWW2BsT4g9OzTh4AaABAg,1,"if you manage to estimate you near the house, and she will find you, then she will come up with 16 dishes, drag you home in a basket behind her back and cook 30 dishes",如果您设法在房子附近估算您，她会找到您，那么她会想出16道菜，将您拖到后面的篮子里，煮30盘菜肴
326,UgxGyLsi-iYb2JGJv2R4AaABAg,1,ziyi came to my house to dig a swimming pool! plan!,子柒来我家挖游泳池！规划一下呗！
961,UgyfgOLoQQefibnRSJh4AaABAg,1,"hearing generations said that japanese wives eat rice in west house, and now the stars on the internet are degrading chinese restaurants, but i like the way you cook.",听几代人说，日本老婆在西屋吃米饭，现在网络上的明星都在贬低中国餐馆，但我喜欢你做饭的方式。
31889,UgyYQVx_zzdS4-23UIB4AaABAg,1,hi liziqi im from kerala in india here we are affected with a huge flood which caused more than 50 death rate within 2days more than1000 peoples lost thier house please include us in you prayers and those who see this comment tooo kindly pray for our rescue,嗨，利兹奇·伊姆（Hi Liziqi im），来自印度的喀拉拉邦，我们受到了巨大的洪水影响，在2天内造成了50多个死亡率，超过1000人失去了房屋，请在您的祈祷中加入我们，以及那些看到此评论的人也为我们的救援祈祷
29761,UgxTFqHrtkzdVBOu7At4AaABAg,1,she have phone and wifi in her house??? we see these videos but we forget about she care about the internet and the social media... it's great she can do both..,她家里有电话和wifi ？？？我们看到了这些视频，但我们忘记了她关心互联网和社交媒体...她可以做的很棒。
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
284,UgzdPSSRtHslMXykuDp4AaABAg,1,"this is aunt tao mae pi lam duan. this grandchildren. pomelo tree behind the house, 2 trees beside the red suan, redness.
miss kisirin thon ... mo","这是陶梅姨妈杜安姨妈。这个孙子。托梅洛树在房子后面，红色苏恩旁边有2棵树，红色。
Kisirin Thon小姐... Mo"
14362,Ugw-xD1Cj19onHi9bFp4AaABAg,1,why do you have anything outside your house?,为什么妳家门外什么都有
17476,Ugy8bPL7E-XMV-JMSbZ4AaABAg,1,"i have to say that the production team is very attentive. i want to finish reading at all, but to be honest, if the domestic rural areas are shown in videos, urban house prices will fall into slag.",不得不说制作团队很用心，一点进去就想看完，不过说句心里话，如果国内农村都像视频所展示的那样，城市房价就跌成渣了。
25753,UgyOXXJ7rg-nz715MDB4AaABAg,1,i love your house it’s so cute ❤️,我爱你的房子，太可爱了❤️
8089,UgxIa2BUK26ZkulsMjx4AaABAg.9C5tUVkt_U99CHyFb9GyGT,1,@raine__dear5914 what would it really feels if we kinda have this behind our houses ๐…๐๐๐,@raine__dear5914如果我们有点在房屋后面有什么感觉
9638,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69A_62PnpkDo,1,"tita vaughns ๅคฉ๏ผtian) means โ€skyโ€๏ผ ๅบ๏ผfu) means โ€ houseโ€ ๏ผ so tianfu means โ€house in the skyโ€, itโ€s a nickname of sichuan province.",泰塔·沃恩斯（Tita vaughns）的意思是“天空”（Sky），fu）的意思是“房子”，所以天富（Tianfu）的意思是“天空中的房子”，这是四川省的昵称。
23008,UgzVD9feKE7GZRW7l-l4AaABAg,1,this reminds me of my grandma's old house.,这让我想起了我奶奶的旧房子。
18310,UgxNs96zXgwuY5mxcF94AaABAg,1,i remember that the wood beside my pig's house really grew black fungus!,记得小时候我家猪舍边的木头就真的长出黑木耳!
23701,UgwyIIBz3x1xZOAajYR4AaABAg,1,"i really can do housework, people are beautiful, just be my wife",真的很会做家务，人又漂亮，做我老婆就好了
31528,UgzuQTChk2LJaL3e3DR4AaABAg.8yVCB49OdKI8yVwIghB-68,1,patrick. and the house will build and fish will catch up,帕特里克。房子将建造，鱼会赶上
29833,UgyRl9O_HAD1uZ9kIql4AaABAg,1,i just like you to show your legs. it has a taste of farmhouses and can’t be exposed too much.,就是喜欢你露一腿.很有农家的味道、不能露太多·
10809,UgwlCZW2gd-NYZQd6d54AaABAg,1,saw first time ... watching her vdo’s non stop now ... before watching feeling not good upset and after her vdo’s am feeling sooo good and thinking yes i can do my household work am energetic now ... lethargic to energetic wowww.....,第一次看到...现在看着她的vdo现在不停了...然后看着感觉不好，在她的Vdo感觉很好，并认为是的，我可以做家务活动，现在可以做到……昏迷的wowww .. ...
22639,UgyASWejBaqg5M32ITB4AaABAg,1,"who can find the wife of xiande? her value is far better than jewelry. her husband trusted her and lacked anything. she was beneficial to her husband in her life. she was looking for wool and fine numbness, and she made his own clothes happily. she seemed to be a merchant ship, which was transported from a distance. tian weibai got up, prepared food for the whole family, and assigned maids to do housework. she chose nakada to buy it and make money to plant vineyards. she is energetic and her arms are powerful. she is well versed in business, and her lights will not turn off at night. she holds a roller and holds a spinning hammer. she is happy to help the poor and reach out to help the hardships. she is not worried about her family because of snow, because the whole family is wearing zhu hong warm clothes. she sews embroidered blankets for herself and made clothes with fine numbness and purple cloth. her husband sat with the local elders at the gate of the city and was respected. she sewed thin hemp clothes for sale, and made a belt to a businessman. she was full of power and honor, and she greeted the future with a smile. what she said was wisdom, and her training was full of love. she cooks all the housework and never eats her leisure. her children stood up and blessed her. her husband also praised her, saying, ""there are many women in the world, only you are unparalleled."" gorgeous is false, beauty is short, only women who fear the lord are worthy of praise essence
proverbs 31: 10-30 ccb
https://bible.com/bible/36/pro.31.10-30.ccb","谁能找到贤德之妻？ 她的价值远胜过珠宝。 她丈夫信赖她， 什么也不缺乏。 她一生对丈夫有益无损。 她寻找羊毛和细麻， 愉快地亲手做衣。 她好像商船， 从远方运来粮食。 天未亮她就起床， 为全家预备食物， 分派女仆做家事。 她选中田地便买下来， 亲手赚钱栽种葡萄园。 她精力充沛， 双臂有力。 她深谙经营之道， 她的灯彻夜不熄。 她手拿卷线杆， 手握纺线锤。 她乐于周济穷人， 伸手帮助困苦者。 她不因下雪而为家人担心， 因为全家都穿着朱红暖衣。 她为自己缝制绣花毯， 用细麻和紫布做衣服。 她丈夫在城门口与当地长老同坐， 受人尊重。 她缝制细麻衣裳出售， 又制作腰带卖给商人。 她充满力量和尊荣， 她以笑颜迎接未来。 她说的话带着智慧， 她的训言充满慈爱。 她料理一切家务， 从不偷懒吃闲饭。 她的儿女肃立， 为她祝福， 她的丈夫也称赞她， 说：“世上贤德的女子很多， 唯有你无与伦比。” 艳丽是虚假的， 美貌是短暂的， 唯有敬畏耶和华的女子配得称赞。 
箴言 31:10‭-‬30 CCB 
https://bible.com/bible/36/pro.31.10-30.CCB"
21198,UgwPdZeCUsR0n7j4WZt4AaABAg,1,the pretty environment of the house is more beautiful,屋靓环境靓人更靓
23702,Ugy5yYjhwCnDWk5xSox4AaABAg,0,"i really can do housework, people are beautiful, just be my wife",真的很会做家务，人又漂亮，做我老婆就好了
23731,UgxGkA6SigRoge5Q6JF4AaABAg,0,"you are such an amazing woman. i'm so amazed i can't even believe this could possibly be real. right in the middle of making her soup she has to walk out into the environment, then find the particular ingredients she needs and and then she has to extract them from the earth which takes time, and then she has to bring them all the way back to her house and and then she has to wash them and prep them and then she has to wash her hands which they also don't show on camera and all this time the fire is still cooking the rest of the ingredients while she's doing all this. i don't see how this could be possible. if you add up all the time it takes to do that it would seem that the food would have been long boiled away. but in the next camera shot it appears as though she's only been gone a few minutes. i still think she is the most amazing woman i've ever seen though.so much talent and knowledge at a young age.your culture is very very beautiful in your home too. everybody should try to live their life like you do. thank you for sharing with us.",你真是个了不起的女人。我很惊讶，我什至不敢相信这可能是真实的。就在做汤的过程中，她必须走进环境，然后找到所需的特定成分，然后她必须从地球上提取它们需要时间，然后她必须将它们一路带回到她的房子，然后她必须洗净并准备它们，然后她必须洗手，这些手也不在相机上显示，而这一切都在做所有这些时仍在烹饪其余的食材。我看不出这是怎么可能的。如果您所有的时间都需要做，那么似乎食物将长期沸腾。但是在下一个相机拍摄中，看起来她好像只有几分钟了。我仍然认为她是我见过的最神奇的女人。这很小的人才和知识。您的家中的文化也非常美丽。每个人都应该像您一样尝试过自己的生活。多谢与我们分享。
24985,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zH_f_BvzyB,0,"zhonghua zai does not want a big team, even these ingredients are uncertain. you think the plant is so rich in her house near her house. think too much. do you think the mushroom fungus grows out?",中华仔 不要大团队，连这些食材都搞不定。种地砍树你以为物产真这么丰富都在她家附近啊。想多了。你以为蘑菇木耳丢哪就长出来啊？
22680,Ugwguk6hsFZDXqlgDyF4AaABAg.8zxuOdNdnet9-21P6JizrJ,0,"in china few hundred years ago most people living like that, unfortunately, now quite a lot of people living in the city, small house no more garden, buying everything, forgot what simple life looks like any more :(",不幸的是，在几百年前，大多数人生活在城市中的许多人，现在有很多人住在城市中，不再花园，买东西，忘记了简单的生活看起来不错:(
23554,Ugyork5w5HM7IuH-94J4AaABAg,0,hi i love your house and all your cooking and mama or grandma,嗨，我爱你的房子，你所有的烹饪，妈妈或奶奶
23370,UgyCBlPGeBrVIIXxSlR4AaABAg.8zkaGHF8EmC8zuVvZWjQce,0,"@benkunbao cooks snail powder in the dormitory, and auntan came to copy the house",@benkunbao 在宿舍煮螺蛳粉，宿管阿姨来抄家了
23228,UgwOIQufr4nrU5-degZ4AaABAg,0,"you're reminding me of my childhood, i use to follow my grandma into the wood on the mountain, that's close to our house picked up bamboos, and fishing with my grandpa to make curry with it, it's called แกงกะทิปลาช่อน ใส่หน่อไม้ for those whos love thai food as well, it's hard to find in the restaurant, love you. from thailand",您让我想起了我的童年，我曾经跟随祖母进入山上的木头，靠近我们房子的竹子，和我的爷爷一起钓鱼，用它钓鱼，它被称为แกงแกงใส่ไม้ไม้对于那些也喜欢泰国美食的人来说，很难在餐厅里找到，爱你。来自泰国
22752,Ugz92FUEIFQoJ8fjAJ54AaABAg,0,"i must say the superlative house. mk seeing that everywhere has any, the garden fields of the hill ponds all the genres.",我必须说最高级的房子。 MK看到到处都有山丘的花园田地，所有流派。
22743,Ugzk7a2YfqFeoNRStX54AaABAg,0,omg bamboo shot t_t ... i remember they grow behind my parents house ... and as a kid i really love to eat bamboo shot that my mom cooks ...,OMG竹子射击T_T ...我记得他们在父母的房子后面长大...小时候，我真的很喜欢吃我妈妈做饭的竹子。
25044,UgzGao__7Z8BeN8JuHB4AaABAg,0,i would love to eat in your house,我很想在你家吃饭
22344,UgyycEVFtZDnOzNU0_R4AaABAg,0,"before, i'd like to have a big house. now, i like to have a big vegetable garden...",以前，我想拥有一个大房子。现在，我喜欢有一个大菜园...
21869,Ugwkvkt9d_wNW0fDHvx4AaABAg,0,i envy you for having a house that has a vegetable and fruit garden:)),我羡慕你有一所植物和水果花园的房子:)）
21790,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9Y_rl5sGBjb,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
21669,Ugw5IIZX5ZWBvPXiR8F4AaABAg,0,top farmhouse!,顶级农家乐啊！
21394,UgzW__LqcqnjsBETxdJ4AaABAg,0,"the girl is super !!! as in that fairy tale:- ""and the reaper, and the priest, and on the duda player !!!"" ... i need her in the household, i have the same mother in age, and i do not suffer with workgo breath. but i so want to return home from the shift of the worker, stumble up for the expression:- oh, you are on time, sit down to have dinner !!! and not on:- oh, but you bought bread, and milk!? russian women have lost the significance of russian women ... now, these are hairy, assholes - marmoseli, not capable of anything, not accustomed to anything, except sucking ...",这个女孩超级！！！就像那个童话中一样：“还有收割者，牧师，以及在杜达（Duda）的玩家！！” ...我需要她的家庭，我有同一年龄的母亲，而且我不遭受Workgo呼吸。但是我想从工人的转移中回家，偶然发现表达方式： - 哦，您准时，坐下来吃晚饭！！！而不是： - 哦，但是你买了面包和牛奶！？俄罗斯妇女失去了俄罗斯妇女的意义...现在，这些都是毛茸茸的，混蛋 - 毛莫斯利，没有任何能力，不习惯任何东西，除了吮吸...
21347,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90SUSfH17xe,0,"i am also in shenzhen now, but i do n’t have a house or car as the original poster. there is a building in my hometown in the countryside to keep it with",我现在也在深圳，但是不如楼主还没有房和车。老家农村盖了一栋楼留着玩
21346,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90NR_EtqjKc,0,"i also! although it is just a grandmother's house in the countryside, the day when i was a child was the happiest time in my grandmother's house.",我也！虽然只是外婆家是农村的，但是小时候在外婆家住的日子是最快乐的时候啊
20518,UgzVY-j68BeWoyNUPwR4AaABAg,0,"his house is truly good, with a hammer.",他的房子真的很好，有锤子。
