,cid,votes,time,含house,含house中文翻译
51301,UgxiMpweF_uV_PosOCR4AaABAg,0,4 years ago,please you do house tour,请你进行房屋之旅
51206,UgwKSC5wBLV9oozRa5p4AaABAg,0,4 years ago,"if you watch the video, you will be motivated to make the housekeeping. thank you for the pretty video ~",如果您观看视频，您将有动力进行管家。谢谢你的漂亮视频〜
51073,UgxuFiMyj4jPiVGWK4t4AaABAg,0,4 years ago,give allah to you such a husband with golden hands and the greatest happiness to you and your grandmother and great health to you you are a super housewife with golden hands ily,给您这样的丈夫，用金色的手和您和您的祖母最大的幸福，对您的健康，您是一个超级家庭主妇，拥有金色的双手iily
50907,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qm329cnLYL,0,4 years ago,@minhnguyen-qb4fi this will be used at her grandmother's house party on the lunar new year?,@minhnguyen-qb4fi这将在她的祖母的户外派对上使用吗？
50906,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qm2xQSQLcG,0,4 years ago,"@viovio4256 ok, well, happy new year to you all, janelle and minh
....amazing how long these things that she prepares will last.
i wonder, is it traditional to have a party at probably her grandmothers house? that is where all this will be used, you think?","@viovio4256好吧，好吧，祝大家新年快乐，珍妮尔和明尼
....令人惊讶的是，她准备的这些事情将持续多久。
我想知道，在她的祖母之家举行聚会是传统的吗？您认为这就是所有这些都将被使用的地方吗？"
50506,UgwuUQdB7JDqQygR89p4AaABAg,0,4 years ago,she house have everything. looked great ❤❤,她的房子有一切。看起来很棒
50482,Ugw7XxvkR1-IkVw7Y914AaABAg,0,4 years ago,can i go to your house as a guest in the spring festival?,春节可以到你家作客吗？
50069,UgwxhzdglHWqUKvKDmh4AaABAg.8qlqEUv124L8qlrb6Y0QRt,0,4 years ago,thank you miss pretty women li ziqi very very nice village as well as your house too,谢谢你想念漂亮的女人李Ziqi，也非常漂亮的村庄以及你的房子
49970,UgwdM-syEb8KltaoZEt4AaABAg,0,4 years ago,dont you buy anything from market do you have to make everything in your house <3,您不是从市场上购买任何东西，您必须在房子里制作所有东西<3
49517,UgyFFiTuN56XRgyJpxN4AaABAg,0,4 years ago,"your video in rural houses is very good, i prefer your old house",你在乡村房子里的视频非常好，我更喜欢你的老房子
48952,Ugz8wLk47LobaKek0HB4AaABAg,0,4 years ago,i want to go to your house to visit the new year,想去你家拜年了
43689,UgwDUBhxXoHoYwdp8wV4AaABAg,0,4 years ago,"how come i make you feel at home. the house is comfortable, very traditional. as i want to make it happen if i can come in one place, yes i want it like this. kerennn ... ❤❤",我怎么会让你宾至如归。房子很舒服，非常传统。由于我想在一个地方来实现它，是的，我想要这样。 Kerennn ...❤❤
43612,UgwVDKjF85pcTBSFFRJ4AaABAg,0,4 years ago,nang's house is very livable.,南的房子非常宜居。
43602,UgwnqxoC3w4EdiVKpSR4AaABAg,0,4 years ago,"i'd hate to be her if i had to do everything she does by myself. still, it's a great work and to have that much stock of food, this must be a rich household. by the way, were those prepared food for selling?",如果我不得不自己做她所做的一切，我不愿当她。尽管如此，这是一项伟大的工作，要拥有如此多的食物，这一定是一个富裕的家庭。顺便说一句，那些准备出售食物的食物吗？
43474,UgxhzlUU_VuJt9L1rwh4AaABAg,0,4 years ago,i would love to go to her house,我很想去她的家
39601,UgxDdQIE10ap-RQS4K54AaABAg,0,4 years ago,very very incorrect portrait. china imports it's food from india. these videos are only for views and money ..this is not a real picture of china. same is diana xioage video they show everything is fresh and farm grown just around their house itself . these are made for americans only.,非常非常不正确的肖像。中国从印度进口食品。这些视频仅用于观看和金钱。这不是中国的真实情况。戴安娜Xioage视频也是如此，他们显示一切都是新鲜的，在房屋本身周围种植的农场。这些仅适用于美国人。
39468,UgwyqxdFXrigL3pH1f94AaABAg,0,4 years ago,you are princess in fairytale! i thought house of flying daggers is unicue movie by its beauty but your videos and great views of nature is much beautifull then this movie!,你是童话中的公主！我认为飞行匕首之屋是统一电影的美丽电影，但是您的视频和对自然的美景和这部电影的美景非常美丽！
39415,UgyL627HGcAgG8kMV6J4AaABAg,0,4 years ago,"this young lady is a real worker in addition she takes care of her grandmother and her house very well, without forgetting her animals. where is it? thank you for an answer, i don't understand the description",这位小姐是一个真正的工人，她还很好地照顾了祖母和房子，而不会忘记动物。它在哪里？谢谢你的回答，我不明白说明
39412,UgwZc0pAZhq3BlF1F6p4AaABAg,0,4 years ago,"i just luv her videos but have a qstn hiw come she has all the fruit trees, herbs, nuts & vegetable near her house? where exactly does she she live???",我只是爱她的视频，但是有一个QSTN HIW来了，她在房子附近有所有的果树，草药，坚果和蔬菜吗？她到底住在哪里？？？
39062,Ugyj0ra3xb5TxnwNgyV4AaABAg,0,4 years ago,i want come to ur place and i want sped with u ur garndmonther and i will be with ur house sister i love ur ur place super plac and iam waching every video regularly good viedo sister,我想来你的地方，我想和你的garndmonther一起加快，我会和你的姐姐在一起，我爱你的地方超级席
38836,UgxaF2H5yI894llR_v14AaABAg,0,4 years ago,good wife)) and he will bake pies and make furniture and builds the house where to find such a thing?)),好妻子）），他会烤馅饼，制作家具，并在哪里找到这样的东西？））
38831,Ugzym6Syj0Uu6noE4qF4AaABAg,0,4 years ago,"please forward it to your relatives and friends mobile alliances to know, please, ask everyone all in taiwan to sponsor one bai baiyuan to the future president chen changjin, the future new taiwan labor video memory party, the party who enters the party to pay qi baiyuan and the construction households in zhongli township, nantou county, nantou county chen changjin, an unlimited mailbox of the longan community river embankment.",请速转发给亲友手机联盟知道丶恳请全台湾每人赞助壹佰元给未来总统陈昌进丶未来新台湾劳工视频记忆党丶入党者缴柒佰元及兼兴建户警宫于南投县中寮乡龙安社区河川堤无限号信箱陈昌进收。
38830,Ugw1gwQEuWoN6E6LHux4AaABAg,0,4 years ago,"please forward it to your relatives and friends to know and ask each person to sponsor taiwan to sponsor the future president chen changjin, the future new taiwan labor video memory party, the party who enters the party to pay qi baiyuan and the construction households in the longan community, chen changjin, the account of the street and caotun post office 22778o41.",请速转发给亲友手机联盟知道丶恳请全台湾每人赞助壹佰元给未来总统陈昌进丶未来新台湾劳工视频记忆党丶入党者缴柒佰元及兼兴建户警宫于龙安社区河川壹街丶至草屯邮局划拨帐号22778O41户名陈昌进收。
38539,UgxNEQWjBpojvzy6h0h4AaABAg,0,4 years ago,i didnโ€t even get into the house,我什至没有进入房子
38532,Ugxk2WHtGFW1YS7rBwt4AaABAg,0,4 years ago,how beautiful this girl i like her house and her orchards that way of cooking for a battalion cooked ๐ค—,这个女孩我喜欢她的房子和她的果园多么美丽
38528,UgxfRDP4I7_6vaQybyZ4AaABAg,0,4 years ago,do a video on making a small house for your pets,制作有关为宠物制作小房子的视频
38255,Ugwq-OQ3Eehhy-ZrTQ94AaABAg,0,4 years ago (edited),"hunger, i went, i follow, i will eat, you eat your authority, a siege in the house, like the name of the situation",饥饿，我走了，我跟着，我会吃的，你吃你的权威，围在房子里的围困，就像情况的名字
38214,Ugws7z6udWle2pFVkyB4AaABAg,0,4 years ago,"popcorn making machines. explosion sounds are really surprised. sunflower species even now, when you look at this delicious video, you remember your grandmother's house when you were little. i can feel happy. thank you ๐",爆米花制造机。爆炸的声音真的很惊讶。即使是现在，当您观看这个美味的视频时，还记得祖母的房子。我能感到高兴。谢谢
38143,Ugx8NCdyRJTeECQg8OF4AaABAg,0,4 years ago,would it be good if this woman was a house lady?,如果这个女人是一个屋子女士会很好吗？
38086,UgytUlco3GnJZYVNed94AaABAg,0,4 years ago,"such a house, such a wife and live was a success๐",这样的房子，这样的妻子和现场生活是成功的
39641,Ugwj_4YoBFmHzPYY3R14AaABAg,0,4 years ago,is this her house or their 7/11??,这是她的房子还是他们的7/11？
39647,UgxF5SrfuZ_O-QjIYSp4AaABAg.8snHFPMwN8o8strclVw1eF,0,4 years ago,"mako hig is left that i know kalshi and has limits and commitment to work my house with your lord, i am a biter, my mother, and it is only delhm and hanayen, and there are no interested in other than the work of my house for women and work is external to men.
my uncle was ruined.","我知道Kalshi的Mako Hig，并且有限制和承诺与您的主一起工作，我是个笨蛋，我的母亲，只有Delhm和Hanayen，除了对我家的工作以外，没有其他感兴趣对于女人而言，男性是外部的。
我的叔叔被毁了。"
40069,UgzpQdNP_aRK7aBSkV54AaABAg,0,4 years ago,she amazes me ! she knows how to do everything! i wish schools would teach our kids survival skills ! we all depend on many other like her to do all the things we need! i know if i had my own house with a garden i could do so many things! all want is a small garden to plant herbs so far! i dont even have that!,她惊讶我！她知道如何做一切！我希望学校能教我们的孩子的生存能力！我们都依靠许多其他像她一样做我们需要的所有事情！我知道如果我有自己的房子和花园，我可以做很多事情！所有想要的都是一个小花园来种植草药！我什至没有那个！
41458,Ugy8r5wkVXC-MDsmiKR4AaABAg,0,4 years ago,i really want to go to your house and eat a lot.,好想去你家，好多吃的。
43397,UgxqH5M42oh5fTUn-6Z4AaABAg,0,4 years ago,"congratulations, you are a very skilled housewife!",恭喜，您是一个非常熟练的家庭主妇！
43110,UgzDt-glGN4FrvV6Hwx4AaABAg,0,4 years ago,my dream house is really planted by all types of vegetables plus there is a favorite flower i can be for relaxation,我梦dream以求的房子真的被所有类型的蔬菜种植，还有我可以放松的最喜欢的花朵
43096,Ugw1VdwYGn21PA9WWFt4AaABAg,0,4 years ago,is that her real house for living? or she just stay there for the recording?,那是她真正的住所吗？还是她只是呆在那里录制？
43076,UgyLi1wY7FgD-F-zbIl4AaABAg,0,4 years ago,"it is pleasant also to discover your neighbours. they do help much in chinese village. when he build house, or need help for the pears season, or wrapping of fruits for when the buyers come to the village, the neighbours help my father in law very much. and he helps a lot in return also . when i arrived 17 years ago , i was astonished by even the well drilling process, i loved being carted away in a tricycle, must have been because i had only lived in france or london or munich . god , i love sichuan food, more recipes please! vegetarian ones please! vegetarian hotpot? with tofu pi, kailan, and mushroom.lots of mushroom. much love from beijing!",发现您的邻居也很愉快。他们在中国村庄确实有很多帮助。当他建造房屋，或者需要在梨季的帮助，或为买家来村庄的水果包装时，邻居会非常帮助我的岳父。而且他也有很多回报。当我17年前到达时，即使是井井有条的过程，我也感到惊讶，我喜欢在三轮车上搬走，这一定是因为我只住在法国，伦敦或慕尼黑。天哪，我爱四川食物，请更多食谱！请素食！素食热锅？与豆腐，凯兰和蘑菇一起使用蘑菇。来自北京的爱！
42090,UgzHwH53ve_D6Tly_Nh4AaABAg.8rmDL9sXIBN8rv-GYFL6zM,0,4 years ago,"@islandfolk2283 it is what the chinese press says! you can see the information (and pictures) from chinese reporters and news sources, here & all over the internet: 
https://www.dw.com/en/chinas-dog-meat-festival-its-a-man-eat-dog-world/g-18535808
as many as 10 million dogs are believed to be killed for their meat annually in china, with up to 10,000 killed for the yulin festival, according to the washington-based humane society. while much of the meat comes through legitimate farms, many dog slaughterhouses are run privately and secretively to avoid scrutiny by food-safety inspectors. 
all you have to do is google ""chinese eat dog"" and read and see a myriad of videos and articles like this one from their south china morning post: https://www.scmp.com/news/hong-kong/community/article/2113704/eating-dog-meat-china-might-only-be-annual-affair-why-does . so sad...... they say that many urban people are no longer eating dog meat daily (mostly a rural mindset now) still the fact that they (as a country) still celebrate eating dogs at that terrible yulin dog meat festival that they beat them and torture them before killing them (they say the adrenaline released during the torture improves the taste of the dog meat) is disturbing to people that love dogs as part of their families.","@Islandfolk2283这就是中国媒体所说的！您可以在此处及其互联网上查看中国记者和新闻来源的信息（和图片）：
https://www.dw.com/en/chinas-dog-meat-festival-is-a-man-eat-dog-world/g-18535808
据总部位于华盛顿的人道协会称，据信每年在中国每年有多达1000万只狗因其肉而杀死10,000只狗。尽管大部分肉来自合法的农场，但许多狗的屠宰场都是私下和秘密地运行的，以避免受到食品安全检查员的审查。
您所要做的就是Google“中国吃狗”，然后阅读并在中国南方早晨观看无数的视频和文章：https：//www.scmp.com/news/news/hong-kong/community/文章/2113704/饮食狗 - 少女 - 少年时代的恋人。很难过……他们说，许多城市人不再每天都在吃狗肉（现在主要是乡村心态）仍然是，他们（作为一个国家）仍然在那个可怕的Yulin狗肉节上庆祝吃狗他们在杀死他们之前殴打他们并折磨他们（他们说在酷刑期间释放的肾上腺素可以改善狗肉的味道），这让爱狗作为家庭的一部分感到不安。"
41860,Ugw-LpJieBBPmLrndFZ4AaABAg,0,4 years ago,i visited your house. please click subscribe channel for me. thankyou so much,我去了你的房子。请为我点击订阅频道。太感谢了
41168,UgwTY7gX9OS6w4mgCIJ4AaABAg,0,4 years ago (edited),"so peacfull video , thank you for sharing , thats so hopefull 
than the big cities life
i feel shy , you look so happy in your life with out tecknology or modern house ! 
i hope i feel like you ❤","如此peacfull视频，谢谢您的分享，这是如此希望的声音，水果和食物，大自然，您的房子.....更好
比大城市的生活
我感到害羞，您的生活或现代房屋看起来很幸福！
我希望我觉得你❤"
40081,UgzSIyWzgJWDur9yF-B4AaABAg,0,4 years ago,"after watching, i want to move the house to live in the mountain",看完之后，我想搬家住在山上
41161,UgwKBjiPhklEF4YziQt4AaABAg,0,4 years ago (edited),"really i feel shy , you did alooot of hard work ! hard house works by hard ways! without any tecknology! how that! and how you can live happy like that lifestyle! i cook the lunch and feel so tired and hate my life! i hope be like u and feel like you",我真的很害羞，你做了艰苦的工作！硬屋用艰难的方式工作！没有任何tecknology！那怎么了！以及如何像这种生活方式一样幸福！我煮午餐，感到非常疲倦，讨厌我的生活！我希望你像你一样，感觉就像你一样，让你很高兴
41144,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8sEHlpsT43s,0,4 years ago,"zhu wenbin just likes to live in the countryside, so cook himself. do n’t use a microwave oven in a microwave oven. do n’t have a refrigerator. see how they live! only those who have not done housework have always been taken care of and enjoyed, they want to return to the so -called childhood",朱文彬 就是 那么喜欢田园生活那就自己做饭好了 自己生火烧柴 不要用微波炉 烤箱 也不要有冰箱好了。看他们怎么活！只有没有做过家务 一直被照顾享受的人才会想回到所谓的小时候
40934,Ugz-34pENZzOYxYUtm54AaABAg,0,4 years ago,i will come to china and loot your house,我会来中国抢劫你的房子
32191,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8wRH1xS590I,0,3 years ago,"note, i believe this is her grandparents house, and she just has a house there for when she visits. she actually has technology, and ya know, those cool mirrors celebs have. i don't know if this is where she actually lives, or the magical mirror i'm talking about is her separate house",请注意，我相信这是她的祖父母的房子，访问时她只有一所房子。她实际上有技术，你知道，那些酷炫的镜子名人拥有。我不知道这是她实际居住的地方，还是我在说的神奇镜子是她独立的房子
40239,Ugwf-YhaaIO9d7UoXJt4AaABAg,0,4 years ago,miss sister's clever work makes housework full of poetic and paintings.,小姐姐心灵手巧 做事麻利 让家务事也充满诗情画意 生活需要仪式感 这话太贴切啦
40110,Ugz49y-HiQAUUD42ZDt4AaABAg,0,4 years ago,the house has the whole world,房子有整个世界
32207,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx96kHMRKFHQG,0,3 years ago,"@asiansalt8800 i believe currently, she live at that house. she did stay in city before, but she went back to her hometown to care for her grandma. its beautiful place ain it. 

5 years ago its the same as other villagers houses. you can check out her weibo/meipai account and scroll to her older posts. its the same house but more humble look. she slowly change things here and there. and it become like this. :)","@Asiansalt8800我相信她目前住在那所房子里。她以前确实呆在城市，但她回到家乡照顾祖母。它美丽的地方。

5年前，它与其他村民的房屋相同。您可以查看她的微博/Meipai帐户，然后滚动到她的较旧帖子。它是同一房子，但外观更谦虚。她慢慢地在这里和那里改变了事情。它变成了这样。 :)"
411,UgzsMvh7VKRDMKRQGNt4AaABAg,0,3 months ago,who thinks her village house is better than our city houses...,谁认为她的乡村房屋比我们的城市房屋更好...
32132,UgznwQxuSX97C8Lt2eR4AaABAg,0,4 years ago,"she doesnt live there , she live in the city in the luxurious n modern house , she just come to her granny house to make video ,",她不住在那儿，她住在豪华的N现代房子里，她只是来到她的奶奶制作视频，
15338,UgwHqEmMmq9jyFye6OB4AaABAg,0,3 years ago,this chinita is incredible i love her recipes i would like to prepare in my house,这个奇妮塔令人难以置信，我爱她的食谱，我想在家里准备
10603,UgwTwWmRTDrmcdytStF4AaABAg,0,2 years ago,"it made me want to enter the video. i participated in this harmonious world. in a world involved in you, he was lucky to see me in person, and i also wanted to help do housework.",它让我想进入视频，我参与了这个和谐的世界，在一个涉及您的世界中，他很幸运能亲自在这里见到我，我也想帮助做家务。
10864,UgxGqa5FFNYyN_Y-lk94AaABAg,0,2 years ago,u must have 100 or 1000 cameras in every corner of ur house and farms,您必须在您的房屋和农场的每个角落都有100或1000台摄像机
11372,UgxYsa9eRkEkGmPnhvN4AaABAg,0,2 years ago,dinner at your house!,在你家吃晚饭！
12012,UgwH2XARRGXGTaRb1DJ4AaABAg,0,2 years ago,i would not be surprised if you told me she built the house,如果你告诉我她盖了房子，我不会感到惊讶
12518,Ugxz2SENBI5C_hn4PGh4AaABAg,0,2 years ago,very beautiful your house and meals be very delicious,非常漂亮的房子和饭菜很美味
13822,UgxwqY3qR1HYXCP9Cc54AaABAg,0,2 years ago,the sad reality is shes going have to move out of it soon because government is going to make houses of hotels or other things on the forest and we just avoid that,可悲的现实是，她将不得不尽快搬出它，因为政府将在森林上建造酒店或其他东西，我们只是避免
13980,UgwTrcQgkhkmLp0lSg14AaABAg,0,2 years ago,is she packaging the food items to sell at her house?,她是包装在房子里出售的食品吗？
14257,Ugwr6dW2KY6Xb8CZsHx4AaABAg,0,2 years ago,households and friends,家庭和朋友
14345,Ugx_G8xjGRtMDiBn1fV4AaABAg,0,2 years ago,"you have been tired. my love, you mean, i am tired of his hobby, and no one helped you, but you are alone, and it means the animals from you have an important mortality. your house is in comments and read the comments, your money is a girl, i mean, i am a cake.",你很累。我的爱，你的意思是，我对他的爱好感到厌倦，没有人帮助您，但是您一个人，这意味着您的动物具有重要的死亡。女孩，我的意思是，我是蛋糕。
14642,Ugw662B2vV1wpVlTcup4AaABAg,0,2 years ago,"i like your video somuch
and your house and garden all","我喜欢你的视频
还有你的房子和花园"
14875,UgyMF0iAqJ6msoyfCxp4AaABAg,0,2 years ago,"you motivate me, lizqi. i renovate one of our house with one room and plan to stay here during this quarantine. i plant some flowers and vegetables outside and hopefully i can fill the inside of the house with different kind of plants. thank you! this is like a therapy to me. i hope you, your grand mother, your coworker, the dogs and the lamb safe these days.",你激励我，利兹。我用一个房间翻新了我们的房子之一，并计划在这场隔离期间呆在这里。我在外面种一些花朵和蔬菜，希望我可以用不同种类的植物填充房屋的内部。谢谢你！这对我来说就像一种疗法。我希望您，您的祖母，您的同事，狗和羊肉和羊羔安全。
14894,UgzTMiPssDzctDOOFP94AaABAg,0,2 years ago,"too rich their house, the sausage is full of yard",太有钱了她们家，腊肠挂满院子
15004,UgziaXTFOGzgoMSdurt4AaABAg,0,2 years ago,"hi liziqi i'm stephanie can you make a content ""house tour please 
to all people please","嗨，liziqi我是斯蒂芬妮（Stephanie），你能做一个内容。
对于所有人，请"
15071,UgxHD0T0FQzv_WzvGqx4AaABAg,0,3 years ago,"26k dislikes seriously , people who dont like to do household works..",26K认真地不喜欢，不喜欢做家居工作的人。
15364,UgzWkCl2rUa82jjV6bR4AaABAg,0,3 years ago,"my ancestral house is up the mountains in china, i wonder would it be as beautiful as like this :d
(from singapore)","我的祖先房屋在中国的山上，我想知道它会像这样美丽：D
（来自新加坡）"
10190,UgyW_k6J_kRXE8ynT-p4AaABAg.9GLVZjpXVKn9HHCnLTjp93,0,2 years ago,"@everythingisalright2549 ok then, come to my house, letโ€s illegally immigrate to sichuan since weโ€re all broke and you know that",然后
15432,UgwqaBeNVb7XR71TsMd4AaABAg,0,3 years ago,"crazy, people nowadays are so interested living in a suburb or living simple life like liziqi. wonder what life looks like back in those era, men went hunting women do all the agriculture childrens learning from their elders. i really want to experience all that kind of life without thinking how to get money or rent a apartment etc. back in those days, we fckn build a house by using woods and without money. man i really wanted to live a simple life",疯狂，如今的人们非常感兴趣地生活在郊区或像Liziqi这样的简单生活中。想知道那个时代的生活是什么样的，男人去狩猎妇女，使所有农业儿童从长老那里学习。我真的很想体验所有这种生活，而无需考虑如何赚钱或租公寓等。在那时，我们通过使用树林和没有钱来建造房屋。男人，我真的很想过一个简单的生活
16005,UgzYmmMK999JA7ZM5uN4AaABAg,0,3 years ago,"the statue of chairman mao in front of the white house of new york, the stature of chairman mao in the square of the white palace in new york https://www.youtube.com/watch?v=_byznqig-wl&index= 3 & t = 0s",纽约白宫门前的毛主席雕像 The Statue of Chairman Mao in the Square of the White Palace in New York https://www.youtube.com/watch?v=_bYZnqIg-Bc&list=WL&index=3&t=0s
16374,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98qLqZtb-4w,0,3 years ago,maybe people who have spying on her house,也许那些在她家间谍的人
16619,Ugx31zOlXl_FoYHWDUB4AaABAg,0,3 years ago,no intention of open house mba?,没有开放室MBA的意图？
16650,Ugx_xPlUPbIWqJwjd0d4AaABAg,0,3 years ago,i am also housegirl..,我也是女儿。
16675,Ugxsh3df4pAusvHE2xN4AaABAg,0,3 years ago,3:00 she entered the house with boots on,3:00她穿着靴子进入了房子
16934,UgzqwpL-O--alsDGEvJ4AaABAg.98Hisv6QB4z991meHe0E4m,0,3 years ago,"@ lillywang9922 n
nipple
grequer 5 yueh chhun house 09","@ lillywang9922 n
乳头
Grequer 5 Yueh Chhun House 09"
17340,UgxTYyfTNelHxachVOF4AaABAg,0,3 years ago,and a hard -working and beautiful housewife!,还有一个艰苦而美丽的家庭主妇！
17341,UgydD1EOGA4A3ly-IQR4AaABAg,0,3 years ago,"hard -working people and households, diversified kitchen, bravo!",努力工作的人和家庭，多元化的厨房，勇敢！
17388,Ugxiv_j0IOTIpJFbild4AaABAg,0,3 years ago,how much do she have in her house,她家到底有多少东西
17440,UgzJksKoGcRQeFOGUdB4AaABAg,0,3 years ago,"cute, housework, housework, not missing this is the mother of the child that we are looking for.",可爱，家务劳动，家务劳动，不丢失这是我们正在寻找的孩子的母亲。
17525,Ugw2SSN1REleArZAQp14AaABAg,0,3 years ago,i really want to go to the goddess's house for dinner (iдi),好想去女神家吃饭(ｉДｉ)
17543,Ugz5OhzuyXzZLogb7Zh4AaABAg,0,3 years ago,"beautiful, beautiful, beautiful, branches, the circumstances of love flowers, homeland the original beauty of the diversity of the formula, the beautiful household. ngam chakkharakit, natural, beautiful, perfect resources every word cultivated the love tree, good formula, diligent formula the sailors of the viking, the production of words, inheriting the children, beautiful, beautiful, profit, quality of life, quality of the future, very far, the position of happiness, stable. rose, winging, beautiful, outstanding, golden, landscape, tent, ten thousand minutes, a beautiful night nation, a great poet, the sound of a beautiful poetry",美丽，美丽，美丽，树枝，爱花的环境，家园公式多样性的原始美，美丽的家庭。 ngam chakkharakit，自然，美丽，完美的资源每个单词都耕种了爱树，良好的配方，勤奋的公式维京人的水手，单词的产生，继承孩子，美丽，美丽，利润，生活质量，未来的质量，很远，幸福的地位，稳定。玫瑰，翅膀，美丽，杰出，金色，景观，帐篷，一万分钟，一个美丽的夜晚，一个伟大的诗人，一个美丽的诗歌的声音
17802,Ugxr2qk7XZe-EkdW2cV4AaABAg,0,3 years ago,"if my house is like this, i will not leave the house at all",如果我的房子是这样的，我根本不会离开家
10263,UgwVzIQ3hjqcp4yWIBN4AaABAg.9GGneDumlLS9HH4KbZ5mrH,0,2 years ago,@magneticrice5072 my mom literally just went to my across the street neighbors house to collect a table they were about to throw away-,@Magementrice5072我妈妈真的去了我对面的街头邻居的房子，收集了他们即将扔掉的桌子 -
