,cid,votes,time,含real,含real中文翻译
2054,UgxKuXO04jUL3t_QBnd4AaABAg,16,1 year ago,"this is the first video that i've seen from lizqi back in 2020 if i not mistaken..it really amazed me, and i've been her fans since that..what a talent you had girl. may god bless you and your grandma with good health throughout this year and advance.",这是我在2020年从Lizqi看过的第一部视频，如果我没有误会。愿上帝保佑您和您的祖母在今年健康状况良好，并进步。
26027,UgybxgV7NNWxOo91Zkt4AaABAg,15,3 years ago,14k thumbs down??? really? whats not to like? li ziqi is the only youtuber i have turned my notif bell on. she rocks,14k大拇指下来？？？真的吗？什么不喜欢？ Li Ziqi是我唯一打开Nevif Bell的YouTuber。她非常棒哦
20218,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF0695xSjh95dUE,15,3 years ago,mike wang looking at her hands as she was wrapping the treats i could tell all her work is real. she has hands that look like theyโ€ve been working her whole life.,迈克·王（Mike Wang）看着她的手，因为她正在包裹我可以告诉所有作品的零食，这是真实的。她的手看起来像他们一生都在努力。
26134,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-4MfKf-XX2,15,3 years ago,"่ฐขๆ— ่จ€ check her new interview please. she showed the beautiful side of countryside life that most of farmers ignored. she admitted that most of the tough parts r not included in this video, and all of us know that the real countryside life is tough. but it's up to us to choose the attitude to live our life. everyone knows it's tough to be a farmer, but seldom people appreciate beauty and natural behind it. that's what she did in her video. same to people in the city, when we complain how much pressure to live in the city, we also ignored and took everything as granted, such as the convenience, the diversity we enjoyed. just learned to be appreciate and grateful, that's what she deliver to us",谢无言请检查她的新采访。她展示了大多数农民忽略的乡村生活的美丽一面。她承认，该视频中未包含的大多数艰难部分，我们所有人都知道真正的乡村生活是艰难的。但这取决于我们选择生活的态度。每个人都知道成为一个农民很难，但是很少有人喜欢它背后的美丽和自然。这就是她在视频中所做的。对城市中的人们来说，当我们抱怨在城市中享受多少压力时，我们也忽略了一切，并将所有事物都视为授予的一切，例如便利性，我们享受的多样性。刚刚学会了欣赏和感恩，这就是她交付给我们的
29443,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yDJGqlymGS,15,3 years ago,"it is really facing, taiwan has been open to youtube, and no one who has subscribed to 3 million subscribers has not won! li ziyi, ono, and the youtube channel of the little brother in western yunnan have created it for a long time? there is almost no way to play in taiwan. the first place is higher than the little brother in western yunnan. the key is that the little brother in western yunnan also surpass him!


i really admire li ziyi and ono, one of more than 5.4 million subscribed, one is more than 7 million! they are all villagers! can the youtuber in sichuan anymore be awesome? the yam is 1 million immediately, wang gang is 930,000, and there are three cats and ao factory director in the back!","真的很打脸，台湾一直开放YouTube，上300万订阅的还一个都没得！李子柒，小野，还有滇西小哥的YouTube频道才创了好久？台湾能打的几乎都没有了，就第一名比滇西小哥高，关键是滇西小哥也要超越他了！


李子柒和小野我是真的佩服，一个540多万订阅，一个更是700多万！还都是老乡！我大四川的YouTuber能不能再牛逼点？山药马上100万，王刚93万，后面还有三猫和敖厂长也有四五十万订阅！"
10055,Ugx9wsOv69aXYvdQh6N4AaABAg,15,2 years ago,i also really want to live here so nice and clean air ๐”๐”,我也真的想住在这里如此美味，清洁的空气
51316,UgwIMJYxeiawGrRRsr94AaABAg,14,4 years ago,"hi, i'm from indonesia, really like your video, it looks really fun that you do",嗨，我来自印度尼西亚，真的很喜欢您的视频，您做
48533,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoS1pOFkN5,14,4 years ago (edited),"@user-iv6iv5co1v period, she was also at the beginning of the period as us, like us, as much as a white-collar worker like the crowds like most nine to five. later, her only relative grandmother was not in good health. the savings of hard work are not enough. later, she thought of the internet and started selling her hand made cosmetics, but you also knew that competition in the sea of ​​taobao was so fierce. her cosmetics had no reputation at all. the scenery of the scenery, unlike other anchors, do everything possible to win the eye -catching things, but the realistic daily life, that is, cooking, cooking, cleaning the courtyard, and taking some of their hometown of the beautiful scenery. essence when various information is explosive, all kinds of dazzling visuals cause aesthetic fatigue to return to the truth. and li ziyi's bland, beautiful, beautiful and simple rural local customs meets this demand, so she has become an internet celebrity.",@user-iv6iv5co1v 期初她也是和我们一样在大都会随着人潮像大多数朝九晚五的白领，后来她唯一的亲人奶奶身体不好，她不得不回到家乡照料奶奶，但是光靠那点打拼的积蓄是不够的啊。后来她就想到了网络，开始销售自己hand made化妆品，但你也知道在淘宝那个大海中竞争那么激烈，她那个化妆品根本没什么名气几乎没什么收入，后来她想到了想让大家分享她在家乡的美丽风光风土人情，不像别的主播千方百计想博得吸引眼球做奇葩的事情，而是很写实的她的日常生活，就是做菜，做饭，打扫庭院，拍些她们家乡那些美丽风光，结果火了。在繁杂各种信息爆棚，各种各样眼花缭乱的视觉造成审美疲劳时人们常常追求的就是返璞归真。而李子柒的平淡无奇唯美朴实的乡村风土恰恰满足了这种需求，所以她成为了网红。
22171,Ugx-wcC0l6nx1caCGqh4AaABAg,14,3 years ago,"she can be every thing and she can do every thing. i realy like this girl and i like what she do. her work, her style of life. she is a model of a strong and beautiful chineese woman๐",她可以是每件事，她可以做每件事。我真的很喜欢这个女孩，我喜欢她的所作所为。她的工作，生活方式。她是一个坚强而美丽的Chineese Woman的典范
10370,UgywnMb9u_4J3A8K1ld4AaABAg,14,2 years ago,following the pictures of the small animals are really picturesque,身旁跟着小动物们画面真的是如诗如画
8382,UgwEBd8HJfHrb-pr2IZ4AaABAg,14,2 years ago,"although i don’t like to eat rock sugar gourd, this thing is really beautiful",虽然我不爱吃冰糖葫芦，但这玩意真的太漂亮了
44211,Ugy5WY0-UdYLgJHJGNd4AaABAg,14,4 years ago,this girl is really wise,这姑娘真的太贤慧了
20261,UgyrGhMkjaqA4Q7FBXJ4AaABAg,13,3 years ago,"when i saw peanut sugar, i was really sad. my grandfather used to do it for me when he was alive, but now he has died, and i can no longer eat such sweet peanut sugar.",看到花生糖的时候真的很难过，我的外公以前在世的时候经常给我做，但他现在已经去世了，我再也吃不到那样甜的花生糖了。
35030,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vE-KVVCPWt,13,4 years ago (edited),"do something then. learn how to cook, bake or make something. its not too late to start learning something. you are still quite young. you can do it. take a step forward instead of staying at the same spot. you will realise how easy it will be to go further.",然后做点什么。学习如何烹饪，烘烤或做某事。开始学习一些东西还为时不晚。你还很年轻。你能行的。向前迈出一步，而不是呆在同一地点。您将意识到进一步走得多么容易。
19518,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96GUnNRLwrH,13,3 years ago (edited),"yeah i don’t think she cares at all. she is no one’s princess. she’s her own king, and queen, and knight, and maiden, and farmer, and court wizard, and little fairy. and most importantly, a loving grand daughter. real chinese woman is like this: strong and independent, responsible and free-willed. no princess can bring the joy when she sees her grandmother’s smile on the face.",是的，我认为她根本不在乎。她不是人的公主。她是自己的国王，皇后，骑士，少女，农民，法院向导，以及小仙女。最重要的是，一个充满爱心的大女儿。真正的中国妇女就是这样：坚强，独立，负责任和自由意志。当公主看到祖母在脸上的微笑时，没有公主能带来欢乐。
48898,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8r5wlZgJiEV,13,4 years ago (edited),you people are projecting your prejudices just because she's chinese. there's even a comment that mentions about asians. the way i see it this is really common amoung farmers or people in rural areas anywhere around the world. you don't see people treating their pets like how city dwellers treats their expensive store bought chihuahuas. they are very used to these animals and to them they're part of the environment and nature. these animals don't need special pet food or weekly baths and grooming. bear in mind that these animals are naturally bred and thus may not fit your typical breeder aesthetics but it doesn't mean that they're malnourished or not taken care of.,您的人们只是因为她是中国人而投射出您的偏见。甚至有关于亚洲人的评论。我看到的方式确实是世界各地的农村地区的普通农民或农村地区的人们。您看不到人们像城市居民如何对待他们昂贵的商店购买的奇瓦瓦人一样对待宠物。它们非常习惯这些动物，它们是环境和自然的一部分。这些动物不需要特殊的宠物食物或每周的洗澡和修饰。请记住，这些动物是天然繁殖的，因此可能不符合您典型的育种者美学，但这并不意味着它们是营养不良或不照顾的。
30529,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHhTbtbPLL,13,3 years ago,"@odee126 man you're just brainwashed by west propaganda. this girl made videos on china's website such as bilibili far more early than youtube along with other video makers. they join youtube because of competition and the huge benefits. another reason is that almost every village of china now connects to 4g, so you see more villager using youtube and upload videos now. talking about their tool vpn, it is legal to use but illegal sell it, we have no problem if we just use it. furthermore, this is also not a better image of china, the real better image of china is an advanced, tech-originated country which we are going to meet soon lead by our government. so i am pretty sure that there is no national support for this kind of videos, it is just your own imagination based on the bias to china and anti-china's west propaganda you've received in decades.",@odee126男人，你只是被西部宣传洗脑了。这个女孩在中国网站上制作了视频，例如比利比利（Bilibili）和其他视频制作人更早。他们由于竞争和巨大好处而加入YouTube。另一个原因是，中国几乎每个村庄现在都连接到4G，因此您现在看到更多的村民使用YouTube并上传视频。谈论他们的工具VPN，使用合法，但非法出售它，如果我们只使用它，我们就没有问题。此外，这也不是中国更好的形象，中国的真正更好形象是一个先进的，以技术培养的国家，我们将很快见到政府的领导。因此，我很确定没有国家对这种视频的支持，这只是您自己的想象力，基于对中国的偏见和您几十年来您收到的反中国的西方宣传。
12596,Ugym7nUh4334sgWDV254AaABAg,13,2 years ago,"really animals? ! too cute! !
like ghibli","真的动物吗？呢太可爱了！呢
像吉卜力"
31913,Ugw5j6OQIEi0SAOneFR4AaABAg,13,4 years ago,watching her videos always makes me realize how much we take for granted,观看她的视频总是让我意识到我们认为多少理所当然
4253,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UMR55s_ngs,13,1 year ago (edited),"@diogomelo3705 i mean if she's purely a chinese farmer, there's no way she can afford such good food and ingredients. this is an ideal rural life style but definitely not the real lifestyle unless she's a very rich person who retired from work.",@diogomelo3705我的意思是，如果她纯粹是中国农民，她就无法负担得起这种美味的食物和食材。这是一种理想的乡村生活方式，但绝对不是真正的生活方式，除非她是一个非常有钱的人，他退休了。
30636,UgxVYomFcL7MQi8w9114AaABAg,13,3 years ago,"three videos exceeded 20 million and 8 million li laoqi, one person, one person, one central propaganda department! sure enough, it is really the most powerful! intersection",三个视频破两千万 八个破一千万 李老柒一个人顶一个中央宣传部！果然是返璞归真最厉害！！
50592,UgzkJRQRltrVROjn6L94AaABAg,12,4 years ago,"it seems that there are a lot of snacks, i really want it ~",看来有好多吃的零嘴，好想要唷～
2966,UgyNi1U8QBUJSEjJWhJ4AaABAg,12,1 year ago,"she is my inspiration for my videos! creating videos on yt is a way for me to save beautiful moments with my mom. 
liziqi cooks really well, i love everything in her video. if anyone used to make videos on yt like her, you will know how hard she did during the 10 minutes of this video.
wish we can watch more videos from her, i read some news on the internet about her recently.

but i hope she can back.","她是我视频的灵感！在YT上创建视频是我与妈妈一起度过美好时光的一种方式。
Liziqi厨师非常好，我喜欢她的视频中的所有内容。如果有人像她一样在YT上制作视频，您将知道她在此视频的10分钟内做得如何。
希望我们可以观看她的更多视频，我最近在互联网上读了一些有关她的消息。

但是我希望她能回来。"
39634,Ugz579wVDvTFywacXzV4AaABAg,12,4 years ago,"like, if i realized that i am writing, and you donโ€t understand nifiga, what these people who come are written here)))",就像，如果我意识到自己正在写作，而您不了解Nifiga，那么这些人会写在这里）））））））
32495,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yefOgk6Uw4,12,3 years ago,ultramaryna00 are you kidding ๏ผshe is famous in china who shares her own life with peopleโ€ฆ by the way.she is not an actress.it's her real life,您在开玩笑的Ultramaryna00在中国著名，她与人分享自己的生活……顺便说一句。她不是女演员。这是她的现实生活
15572,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99nX34jvkjE,12,3 years ago,"@lindseyrubenstein6028 that was a common way of making popcorn when i was a kid. even though i was in my 20s, i was still afraid of it. she covered her grandmother’s ears, so she was scared; she did have a team, but what you see in the video is all made by her hands, and the emotions are real; even documentaries and vlogs will be put on display. if you struggle with this, any video you watch will be painful.",@Lindseyrubenstein6028是我小时候制作爆米花的一种常见方法。即使我20多岁，我仍然害怕它。她遮住了祖母的耳朵，所以她很害怕。她确实有一个团队，但是您在视频中看到的都是她的手做出的，情感是真实的。甚至将展示纪录片和视频博客。如果您为此挣扎，您观看的任何视频都会很痛苦。
21342,UgzWu2Hf9SF5TxFXd0t4AaABAg,12,3 years ago,these types of videos really help me put my life together. it makes me want to clean and cook regardless of the hard parts because these videos show the outcome of happiness. thank you miss for your time and effort to share your life with us. thank you,这些类型的视频确实可以帮助我融合生活。无论这些视频都显示出幸福的结果，这使我想清洁和做饭。谢谢您错过了与我们分享生活的时间和精力。谢谢
625,UgxmjhrQsRc6tRsnsjJ4AaABAg,12,5 months ago,"i really like to watch these films, everything is very simple, the hostess works skillfully, well done",我真的很喜欢看这些电影，一切都很简单，女主人巧妙地工作，做得很好
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,3 years ago (edited),"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
31785,UgxL-fjCbDcECDnrR6N4AaABAg.8w3uKmhPnnN8wfJZqZBQwb,11,3 years ago,person really needs to be on peace so animals just follow them... hm.,人确实需要和平，所以动物只跟随它们...嗯。
16573,Ugz1Wc9vM9ZHfkxa85N4AaABAg.98bPkd9Z2En98sdRJq0kVm,11,3 years ago,real life cinderella,现实生活中的灰姑娘
17485,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa982ej_GNq-0,11,3 years ago,"china nowadays is a really indutrialized urbanized country.
the dog eating thing is rare and only in certain regions.
(and eating a dog isn't less morally acceptable than eating a cow. both animals want to live.)","如今，中国是一个真正的秘密城市化国家。
吃狗的东西很少，只有在某些地区。
（吃狗比吃母牛在道德上不可接受。这两只动物都想活着。）"
25845,UgxCQ5BHKMg5MXGZefF4AaABAg,11,3 years ago,wow she really just inspired me to become more feminine and hardworking at the same time ๐,哇，她真的只是启发了我变得更加女性化和努力工作。
20333,UgzoT_jYod66fewon-h4AaABAg,10,3 years ago,"i believed that you're really really such an angel & truth, goodness and beauty in this world. from canada ๏ผi support you ziqi ใ€",我相信您真的在这个世界上确实是一个天使与真理，善良和美丽。来自加拿大，我支持你ziqi。
50051,UgyO-185aQDzZOzCXyt4AaABAg,10,4 years ago (edited),happy chinese new year dear.. really love your content,春节快乐亲爱的..真的很喜欢你的内容
18289,UgwIxT2NF8vfwcy971h4AaABAg,10,3 years ago,"5:17 the digimon theme really made me emotional, excellent choice 10/10",5:17 Digimon主题确实使我情绪激动，绝佳的选择10/10
21017,UgwHqQAFyEcscYmxHet4AaABAg,10,3 years ago,"thatโ€s one hell of a way to make pop corn, really cool. i like her grammaโ€s red hat, her puppy doggies and those tasty crepes in the end. ๐",那是一种制作流行玉米的一种地狱，真的很酷。我喜欢她的格拉玛的红色帽子，她的小狗狗和那些美味的薄饼。
35040,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vFmr4U8H7N,10,4 years ago (edited),"all i know is i've been depressed all day long and i don't know why. i think too much. and then this video comes across and it has been popping up for a couple of weeks and i hadnt watched it... but today i did. i just observed and soaked in all the beauty of it....and it really just helped me to change my perspective. there's a lot we can learn from her videos. simplicity and beauty. also notice her priorities and how much it piece she is at. there is so much respect for the family and the animals, nature and all the bounty of the earth we can take whatever we want from this without over-thinking it.",我所知道的是，我整天都感到沮丧，我不知道为什么。我多虑了。然后播放了这个视频，它已经弹出了几个星期，但我没有看过...但是今天我做到了。我只是观察到了所有的美丽。...这确实帮助我改变了自己的观点。我们可以从她的视频中学到很多东西。简单和美丽。还要注意她的优先事项以及她的优先次数。人们对家庭和动物，自然以及地球上的所有赏金都有非常尊重，我们可以从中汲取一切，而无需过度思考。
49395,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qmt-eYgiU0,10,4 years ago,and that's when you know it's far from reality....,那是您知道这远非现实的时候。
10869,UgyCQHl4D-54jCDW4BR4AaABAg,10,2 years ago,"it seems that few chinese people leave a message here in li ziyi, but it's really great, good !!","好像很少华人在李子柒这里留言,但真的很棒,好样!!"
16378,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98rS26ZEZ1i,10,3 years ago (edited),@angelina_allanson8759 yeah it's really sad too see how people can be that mean and rude :/,@angelina_allanson8759是的，也很难过，看到人们的意思和粗鲁：/
38733,UgxImz6WxLUjC7Kimdp4AaABAg,10,4 years ago,"it's really amazing, these years goods are much better than buying outside, and more clean and hygienic",真的太厉害了，这些年货比在外面买的好吃多了，也干净卫生得多
27213,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zm3Iu3N0L3,10,3 years ago,"hๆต็พๅญ lots of chinese knew it ,and i can tell you thatโ€s real. i come from sichuan province and liziqi either",H恵美子很多中国人都知道，我可以告诉你这是真实的。我来自四川省和利兹奇
23460,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W7mkoep4v,9,3 years ago,"@pitsonsfather84 poor b thought, don't come out to see it. yes, what i said before is you, and there are too many people who have no brains. so do you want all videos that slander china? i really do nโ€t understand the so -called patriots in the country. in fact, even those who have taken other nationalities overseas are more patriotic than you. don't ask you in the development of domestic, you can't rely on you, understand?",@pitsonsfather84 穷b思想就不要出来看，对的我之前说的就是你这种人，没脑子的人中国果然太多了。所以你希望全是那些污蔑中国的视频咯？我真就搞不懂国内所谓爱国人士，其实海外哪怕是拿了别国国籍的人都比你们这些人爱国。国内的发展不求你们，你靠不了你们，懂？
10511,UgxPMFI3Ot8xDMa1hM54AaABAg,9,2 years ago,this is the real life that everyone has to live ๐ฅบ๐’•,这是每个人都必须过的现实生活
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,4 years ago,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
41652,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s3GltKV4yx,9,4 years ago,"@farwahehee8087 no i didn't mean that, what i meant is that how everything you see in this video is pre-planned and produced with the help of a team, that's not how she really lives but who care as long as we're having fun watching.",@farwahehee8087不，我不是那样，我的意思是，您在此视频中看到的一切都是在团队的帮助下预先计划和生产的，这不是她真正的生活，而是谁在乎谁，只要我们我们就在乎玩得开心。
21043,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO951f250kl2a,9,3 years ago,"@idontcarei i thought the same, but i've just made some research and it seems that she really does all that job, she just takes extra time to make the videos look this aethetic. her story is also inspiring, she had a tought childhood and went through a lot until her grandparents took care of her and taught her to cook and other skills.",@idontcarei我也​​这样认为，但是我只是做了一些研究，看来她确实完成了所有工作，她只是花了更多时间让视频看起来像是一种富有的。她的故事也鼓舞人心，她度过了一个童年时光，经历了很多事情，直到她的祖父母照顾她并教她做饭和其他技能。
24652,UgzALhhWFEEdL-XyRT14AaABAg,9,3 years ago,it's really beautiful,真的很漂亮
14355,Ugxj-HMcH61y0Or4_9N4AaABAg,9,2 years ago,"this videos are the most perfect beautiful audiovisual i ever seen.
just the sound is enough to sleep me in perfect peace. i use this for sleep for real.
this are masterpieces.","这些视频是我见过的最完美的视听。
只是声音足以让我在完美的和平中睡觉。我将其用于睡觉。
这是杰作。"
48583,UgyBdnQ2AoYIA23abWJ4AaABAg,9,4 years ago,the video shot is really a lot of rock sugar gourd,视频拍的真棒
38786,Ugy6a71nWsyC100nXrN4AaABAg,9,4 years ago,i like your videos but i prefer the old ones without music. i think it is more satisfying to hear the real sounds of your cooking instruments.,我喜欢您的视频，但我更喜欢没有音乐的旧视频。我认为听到您的烹饪乐器的真实声音更令人满意。
28949,UgxVf6GFVVp278yXWlp4AaABAg,9,3 years ago,she is a fantastic woman and i am really loving all of these videos.,她是一个出色的女人，我真的很喜欢所有这些视频。
36446,Ugyabexprs2qlUZQpGN4AaABAg,9,4 years ago,this really proves that money doesnโ€t make you rich. ๐,这确实证明了钱并不能使您有钱。
19273,Ugyu1QJf2bIQAoUYpv94AaABAg,8,3 years ago,"oh my... i remember my late grandmother making roasted peanut with the sand, it really brings back old good memories, thank you...",哦，我的...我记得我已故的祖母用沙子做烤花生，这确实带回了旧的美好回忆，谢谢...
18634,Ugxzy3f5zDKgqj39wm94AaABAg,8,3 years ago,i always thought this doesn't exist in real life... only in imagination ❤,我一直认为这在现实生活中不存在...只有在想象中❤
23504,UgyQ3juM3-h-qV99kvx4AaABAg.92Kx0mL2X2q92XL2Ga6cH7,8,3 years ago,"the composition and fluency of the picture are all happy, and the shooting team is really awesome",画面的构图和流畅性都让人心情愉悦，拍摄团队真的牛逼
23322,Ugz_LsQFtBDPqoPmkRt4AaABAg,8,3 years ago,this feels like if ghibli was real life...very soothing,感觉就像吉卜力是现实生活...非常舒缓
3496,UgxNeO4EdsJeaBeB3uZ4AaABAg,8,1 year ago,my dream is to visit china and all its regions... i really love china with its culture and language and i adore its people... congratulations to me... i have been studying chinese for a year,我的梦想是参观中国及其所有地区...我真的很喜欢中国的文化和语言，我崇拜它的人...恭喜我...我已经学习了一年
14935,Ugy37nZi7xIGh8zfWhh4AaABAg,8,2 years ago,"it's really hard to watch ziyi's video, so i don't like her, so good, meat ...
the popcorn is covered with the grandmother's ears subconsciously, very good for grandma ❤️","看了子柒的视频真的很难不喜欢她吧
爆米花那里子柒下意识就捂住奶奶的耳朵了，对奶奶很好呀❤️"
44978,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rDbh8enZ6_,8,4 years ago,"thanks, i wanted to precise, we have to give frenchies they do the best cheeses, breads and pâtisserie. and none are really healthy in the end.
regarding plastic... i dont know where you ate that.. but it doesnt looks like in this vid for example, neither down my street.","谢谢，我想确切地说，我们必须给法国人做他们最好的奶酪，面包和帕特里。最终没有人真正健康。
关于塑料...我不知道你在哪里吃的..但是在这个vid中看起来不像我的街道。"
21145,Ugz6_DFAdzCQp_yfrwN4AaABAg,8,3 years ago,"it is a kind of enjoyment to see the girl's mali and clean work. of course, the beautiful picture is more divided. rural life can be a realistic documentary or a story movie, but the form of art is different.",看姑娘麻利干净的干活是一种享受，画面美丽当然更加分。田园生活可以是写实纪录片，也可以是故事电影，不过艺术形式不同而已。
7653,UgyVKKt9TRIJ6j1NP6J4AaABAg.9JXc7wkYyD99JcnOgjsfvy,8,2 years ago,i totally agree. there is something about her videos that make me feel really better when i'm sad.,我完全同意。当我难过时，她的视频有些事情使我感到非常好。
41134,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8Ickji63l,8,4 years ago,"seeing these videos of the up lord, i thought of the atmosphere of rural uncle and grandma's house when i was a kid. i felt like i was full of movement for a while when i returned to the new year and new year. thank you, the lord, it is great* ^ ^* b must like it ~~~ now returning to china for the new year is really deserted. essence essence",看到up主的这些视频就想到小时候农村姥姥和奶奶家过年过节时的那种氛围，有那么一瞬间感觉好像回到了十几年前，满满都是感动。要谢谢up主，太棒了*^ ^* b必须赞~~~现在回国过年真的是冷清的要死。。。
15568,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99nPl9_L8YB,8,3 years ago,"@lindseyrubenstein6028 ok not 2 be rude but i think your the one who is defensive, it really is just a comment",@lindseyrubenstein6028好，不是2个粗鲁，但我认为你是防御性的人，这确实只是一个评论
5159,UgxuXEdem9lxTUuYs4d4AaABAg,8,1 year ago,she's amazing....really love her video... inspiring me...,她很棒。...真的很喜欢她的视频...启发我...
17610,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982KQSHMxyA,8,3 years ago,"@heardistance hmm, not well educated... if a german phd candidate is not well educated i really do not know what kind of country's people can be identified as so much better well educated. of course, you can debate german professors are pretty bad quality even work with me who comes from such a poor country called china, so poor, unbelievable.",@heardistance嗯，受过良好的教育...如果德国博士学位候选人受过良好的教育，我真​​的不知道可以将哪种国家的人确定为受过良好教育的人。当然，您可以辩论德国教授的质量也很差，甚至与我来自如此贫穷的中国国家，如此贫穷，令人难以置信的国家。
3763,UgyYdBGjsM-n-Ct9qyd4AaABAg,8,1 year ago,i can't believe that this video already has 100 million visits !! it really is incredible all the videos! very good for this great achievement !!,我简直不敢相信该视频已经有1亿次访问！！真是令人难以置信的所有视频！这项伟大的成就非常好！
43714,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rU0DkTWY-o,8,4 years ago,"ar khey she hired a filming and editing team after the channel became popular. before that, everything was done by herself. yes, the place was her hometown and she returned to her born place and stayed with her granny after a couple of years of city life in chengdu. no doubt that everything was real.",Ar Khey在频道流行后，她雇用了一支拍摄和编辑团队。在此之前，一切都是自己完成的。是的，这个地方是她的家乡，她回到了出生的地方，在成都多年的城市生活后与奶奶住在一起。毫无疑问，一切都是真实的。
30377,Ugybo5w99gpFmzWsHJB4AaABAg,8,3 years ago,0:23 real heart latter; youtube algorithm what ....,0:23真正的心； YouTube算法什么...
16396,UgwNQs8D2nQN-0iW4eN4AaABAg,8,3 years ago,i have been obsessed with these videos over the last day or so. they are so calming and has really given me some motivation to get the cleaning around the house done and also to try some new recipes!,在最后一天左右的时间里，我一直沉迷于这些视频。它们是如此平静，确实给了我一些动力，可以在房屋周围清洁工作，并尝试一些新食谱！
5688,UgwFofQEUR1ml_w4_Td4AaABAg,8,2 years ago,man....this is soo unreal ...but real kind of a place ...and...this girl tooooo,伙计....这是个虚幻的...但是真是一个地方...而且...这个女孩Tooooo
11539,Ugy1OdgA5g7bDH70mx94AaABAg,7,2 years ago,she really . makes me want to be creative with my cooking n had inspired me to eat healthy n yes to do something meaningful. her cooking equipment is just out of this world. you can literally eat restaurant style food even if you didn't have electricity. thanks liziqi. much love from kenya ๐ฐ๐ช๐,她真的。让我想在烹饪中发挥创造力，启发了我吃健康的n是，做一些有意义的事情。她的烹饪设备刚刚出来。即使您没有电力，也可以从字面上吃餐厅时尚的食物。谢谢Liziqi。来自肯尼亚的很多爱
16431,UgzHEI0B8FiAAp-b1bh4AaABAg,7,3 years ago,i don't know if my brain can accept she's a real person and is truly this amazing....but i want to believe.,我不知道我的大脑是否可以接受她是一个真实的人，而且确实是如此出色的人……但是我想相信。
11572,UgzXQ6BlSvSoTdARUed4AaABAg,7,2 years ago,are you japanese? kotoba is a really amazing person !!! it's a really amazing person to make breakfast lunch for grandmother! ๐ i yearn ๐,你是日语吗？ Kotoba是一个非常了不起的人！！！这是一个为祖母做早餐午餐的非常了不起的人！
