,cid,votes,time,含real,含real中文翻译
8835,Ugz155ulCsI6rTV9VWJ4AaABAg,8,2 years ago,i just realize sheโ€s cooking without any electricity! just like my great grandmother did.,我只是意识到她在做饭没有任何电！就像我曾祖母一样。
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
16387,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244931nnYaUGVV,8,3 years ago,@hwasung14 yeah! i really enjoy that,@hwasung14是的！我真的很喜欢
34959,Ugy0icpBFE6xcCd5UKd4AaABAg,8,3 years ago,"i really want to eat it. when i was on a business trip on the mainland before this screw fan, i often eat superb.",好想吃，这个螺丝粉之前我在大陆出差的时候也常常吃超棒的
30090,UgyqId_fXI02_RJpsUh4AaABAg,8,3 years ago,"ziyi always supports likes, it's really great",子柒永远支持按赞，真的好棒
10742,UgwhW_8iE1fXRun1Syx4AaABAg,8,3 years ago,"obviously i was full, and my belly was very supported, but i drooling while watching ... i really want to eat snail lion powder!",明明刚吃饱，肚皮很撑，但怎么边看又边流口水...好想吃螺狮粉！
6705,UgyBl7cRJKT-KY4nOkt4AaABAg,7,2 years ago,"i save your videos for when i'm sad about the city.
great content all the pace is just right. really delighful to watch !","当我对这座城市感到难过时，我为您保存了您的视频。
伟大的内容所有步伐都是正确的。真的很狡猾地观看！"
6916,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9EcmnLxA7bk,7,2 years ago,"aiko shizuka someoneโ€s interests really shouldnโ€t bother you that much, if he likes marvel thatโ€s his business",Aiko Shizuka某人的兴趣真的不应该打扰您，如果他喜欢Marvel，那是他的事
5776,UgzT92PUKn9YWVaudcp4AaABAg,7,2 years ago,i really want to live such a life,真想过上这样的生活
6340,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9FHSGneU3YQ,7,2 years ago,@ummerfarooq480 you've never been to the real mexico ๐ you're just going by that cartel laden wasteland called sinaloa that always flashes on tv and media. explore the real mexico down south.,@ummerfarooq480您从未去过真正的墨西哥。探索南部的真正墨西哥。
11211,UgyWvyN1dqTYozgewT54AaABAg,7,3 years ago,i really got try more actual chinese food. this looks so good and i dont even know what it is.,我真的尝试了更多实际的中国菜。这看起来很好，我什至不知道它是什么。
15027,Ugz1ZYEn3MTpuCTEgCt4AaABAg,7,3 years ago,"chinese friends and me said that snail powder is very stinky and smelly. i have always been afraid of trying, but after the first time i tasted the snail powder in the university cafeteria in hunan, it was really shocking ...",中国朋友和我说螺蛳粉很臭很臭，我一直都很害怕尝试，但在湖南的大学食堂里第一次尝到螺蛳粉后，真的太震撼了...
28507,Ugwp7_NKX-GP7LTaWnJ4AaABAg,7,3 years ago,tbh i'm really amazed on how they eat such spicy looking dishes without breaking a single sweat lol,TBH我真的很惊讶他们如何吃这种辛辣的菜，而又不会打破一次汗水大声笑
12358,Ugz64Ww7ZbxUzWk9ygJ4AaABAg,7,3 years ago,they make it look alot simpler than it really is.,它们使它看起来比实际更简单。
15472,UgwNd4JsOdtlYKltpYd4AaABAg,7,3 years ago,"i don’t know if i don’t look at the oil pipe, i don’t know that li ziyi is really so hot",不看油管都不知道原来李子柒真的这么火
10656,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79960s058EO9,7,3 years ago,iram savir yeah it's true. i just think their comments are really annoying. don't be bothered by them. wish you a good life:),iram savir是的。我只是认为他们的评论真的很烦人。不要被他们打扰。祝你生活愉快:)
34450,UgyTqlVxbakhA434yHh4AaABAg,7,3 years ago,"love from darjeeling india ❤
your videos are really enchanting, it soothes my mind.","来自大吉岭印度的爱❤
您的视频确实令人着迷，这让我感到舒缓。"
31971,UgwGCzOts4q8gz_tfVd4AaABAg,7,3 years ago,"what a big bamboo! these are really big, there are many bamboo in vietnam but its not big like that!",多么大的竹子！这些真的很大，越南有很多竹子，但不是那样大！
14426,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR94Lltn5pFej,7,3 years ago,she interesting because we all see a house wife you never really find now and day that will cook you a good meals when your hungry lol.,她很有趣，因为我们所有人都看到了一个家庭妻子，您现在和一天都从未真正找到，当您饥饿的大声笑时，您会为您烹制美味佳肴。
2686,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9UipeAarouE,6,1 year ago,she's really amazing. now she fighting for money with the production company behind her lol,她真的很棒。现在，她与她的生产公司奋斗
16908,UgwkOVUO2hyyb75qMtt4AaABAg,6,3 years ago,"for the first time, i accidentally resonated and truly reflected the daily life of rural people. it reminds me of the flat and real years i walked in the countryside when i was a teenager ...
rural china is the root of our chinese culture! intersection","第一次无意间睇到，甚有共鸣而真实反应了农村人的日常生活，令我想起少年时，自己在农村走过的平淡又实在的岁月……
中国农村，就是我们中华文化的根！ ！"
20093,UgzXoiSooFkBOHCU6ft4AaABAg,6,3 years ago,"hello, i am nielsen, i really like it, we congratulate you",你好，我是尼尔森，我真的很喜欢，我们很恭喜你
6329,UgxJ2YK-P36VyZZolCJ4AaABAg,6,2 years ago,"thank you for making such a beautiful video, this is really a life of too many people.",感谢你们做出这么美的视频，这真是太多人歆羡的生活了
18158,Ugwtj8EkZ4YoiDEUefx4AaABAg,6,3 years ago,"music and editing are really great, thank you!",音乐和剪辑真的很棒，感恩！
10654,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798xy7d2DRDA,6,3 years ago,"@yoongles467 okay haha, you think that's her real life??? i strongly doubt that. she has a whole team filming this for her, including people teaching her how to prepare the ingredients, how to make her food looks good, how to make herself looks good and how to make all these look real.",@yoongles467好吧，哈哈，你认为那是她的现实生活？？？我强烈怀疑。她有一个整个团队为她拍摄这件事，包括教她如何准备食材，如何使自己的食物看起来不错，如何使自己看起来不错以及如何使所有这些看起来真实的人。
5465,UgzFUf-xEeWA00Ns7r94AaABAg,6,2 years ago,"i really like this reasonable world view, please do your best from now on",我真的很喜欢这个合理的世界观，请从现在开始尽力而为
21037,UgxGpQ9K0vcEs12gSox4AaABAg,6,3 years ago,"i really want to be home, my grandmother, grandpa, father and mother crying loudly. thank you",实在太想家 想外婆外公爸爸妈妈 哭的很大声 谢谢你
34976,UgzLFHMzGMij6HvDO154AaABAg,6,3 years ago,liziqi finally realizing that youtube is gonna make her rich (she's already rich in more important aspects of life but rich in monetary funds is also great!) girl more uploads pls!,Liziqi最终意识到YouTube将使她有钱（她已经富有生活的更重要的生活，但富裕的货币资金也很棒！）女孩更多地上传了！
7386,Ugya7QJUshFjxeGWN1p4AaABAg,6,2 years ago,not a single word but still i really enjoyed it and loved the way she cooked everything โฃ๏ธโฃ๏ธโฃ๏ธ,这不是一个词，但我仍然非常喜欢它，并且喜欢她烹饪一切的方式。
7255,UgyQRbcovcsNWpMNbcJ4AaABAg,6,2 years ago,"really like your videos. thank you your channel, i look with pleasure. good luck!",真的很喜欢你的视频。谢谢你的频道，我很高兴。祝你好运！
18362,Ugz6-ebFwGpYi9mYo9B4AaABAg,5,3 years ago,"there are really a lot of things on the mountains in sichuan. my hometown yard is also very large. many things have been in, but she is not as much as her, but it is quite real.",四川的山上确实有很多东西，我的老家院子也很大，中了很多东西，就是没她那么多，不过也挺真实
3040,UgwXuXrtCwweZM1Jrfh4AaABAg,5,1 year ago,my first try with luosifen wasn't pleasant due to the strong scent. months later i tried again and i got hooked. but i can only purchase the instant package from the store and that's not good to consume frequently. i wish i could try the real one soon.,由于浓烈的气味，我与Luosifen的第一次尝试并不愉快。几个月后，我再次尝试，我迷上了。但是我只能从商店购买即时包裹，这不太经常消费。我希望我能尽快尝试真正的方法。
7052,UgwCW9MbjkCAgkhp0614AaABAg,5,2 years ago,"i bought li ziqi screwdriver to eat last week. it was delicious. today, watching her screw fan movie, it โ€s really good.",我上周特地买了李子柒螺丝粉来吃，好吃，今天来看她的螺丝粉影片，真好看
22871,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst58zz9eJNkd6A,5,3 years ago,"do you really believe all the things she did?! please, she is just a actress to attract you~",您真的相信她所做的所有事情吗？拜托，她只是一个吸引你的女演员〜
3077,UgxnoEYcEyxkykti06Z4AaABAg,5,1 year ago,"i like n fall in love with chinese cuisine,,not including pork,
n the costume in ancient times is really beautiful,, with all the herbs is really nice,, i hope in indonesia there are many more like that,, cos i really love n i miss it","我喜欢n爱上中国美食，不包括猪肉，
n古代的服装真的很漂亮，所有草药都非常好，我希望在印度尼西亚还有更多类似的草药"
126,UgzZOnu68sFynRTPH6t4AaABAg,5,1 month ago,李子柒 has been a real inspiration for us. she did a wonderful job of sharing her countryside living channel before some scummy people took her hard work and monetized themselves while ruining her. i hope she'll well.,李子柒对我们来说是一个真正的灵感。在一些笨拙的人们努力工作并在破坏她的同时，她努力工作，在分享自己的乡村生活频道方面做得非常出色。我希望她会很好。
34707,UgzY7D87DSSlVgPicvx4AaABAg.8yUTLK-vrAU8yU_TZe1YkC,5,3 years ago,"my hometown is the same as liziqi’s, so actually i know how some dishes taste. it really reminds me of my childhood and these dishes make me drool",我的家乡与利兹奇的家乡相同，所以实际上我知道有些菜肴的味道。这真的让我想起了我的童年，这些菜让我流口水
5600,UgzY48n0KHW0jKBksbh4AaABAg.9G8OVTterlX9JeAq_cP6ym,5,2 years ago,@roberthardy5171 you don't realize you know nothing abou her.,@roberthardy5171您没有意识到自己对她一无所知。
33372,Ugz26hQlAYS4Io80Gnd4AaABAg,5,3 years ago,iam waiting for ur video.. tq sister.. u r really hard work.. god bless u dr..,我正在等待您的视频.. tq姐妹.. u r真的很努力..上帝保佑你博士。
4540,Ugwq_pwRfEsZLXUT9OR4AaABAg,5,2 years ago,really like! !,很喜欢！呢
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,2 years ago,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
19979,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92UJia27S48,5,3 years ago,"@user-fh4rc2by4x thank you. i agree with your positive comment. i grew up in south china in the countryside. in those 1950 and 1960 years, my parents and siblings all worked hard in planting crops as ms. li for subsistence until my brothers and i could pick up part-time jobs to help with family finances. i believe ms. li is a real country girl who has great potential to become a brilliant star, which she did. some people chose not to believe her, which is ok since we all have the freedom of belief and choice. please pardon me for using english as i am old and type chinese very slowly; english is my daily medium at work, in north america.",@user-fh4rc2by4x谢谢。我同意您的积极评论。我在中国南部在乡村长大。在1950年和1960年的那段时间里，我的父母和兄弟姐妹都在努力种植农作物作为李女士的生存，直到我和我的兄弟们可以兼职工作来帮助家庭财政。我相信李女士是一个真实的乡村女孩，她有很大的潜力成为一颗辉煌的明星，她做到了。有些人选择不相信她，这是可以的，因为我们都有信仰和选择的自由。请原谅我使用英语，因为我年纪大了，并且非常缓慢地键入中文。英语是我在北美工作的日常媒介。
29522,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yatW5TeYRT,5,3 years ago,@rakshapaudel6776 all is from one planet that is earth i really enjoy mostly conected to nature,@rakshapaudel6776全部来自一个地球，我真的很喜欢大自然
5677,UgxAPZxGWB8b5pAxm_t4AaABAg,4,2 years ago,"this is not real life, though it's a great story.",尽管这是一个很棒的故事，但这不是现实生活。
9417,UgwAPSdUjO4kV_2A80h4AaABAg,4,2 years ago,"maybe there are still women like this, really happy if you have it hehe

maybe there are still women like this, very happy if you can have it hehe","也许还有这样的女人，如果你有呵呵，真的很高兴

也许仍然有这样的女人，如果你能拥有的话，很高兴"
19596,Ugy0fkSmPjCAU6-3c8V4AaABAg,4,3 years ago,i really like your video ❤️,好喜欢妳的影片❤️
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
32209,UgwHaw7wpW2ugnuH44h4AaABAg,4,3 years ago,"don't eat this person

and it looks really spicy","不要吃这个人

看起来真的很辣"
9437,Ugz1kYWQlRw1T-kH_nB4AaABAg,4,2 years ago,"iโ€m really hoping that she has a significant other that loves her and cherish her a lot. when i see someone that is as talented, kind, and overall a great person like her. i just want someone else to take care of her as she takes care of her grandma. maybe she is better off without the significant other. but for me, i just want that.",我真的希望她有一个重要的其他人爱她并珍惜她。当我看到一个有才华，善良且总体上像她这样的好人时。我只希望别人照顾她，因为她照顾奶奶。如果没有重要的另一个，也许她会更好。但是对我来说，我只想要那个。
486,UgwgnGh5ESGGXt6Mkwh4AaABAg,4,6 months ago,i really like that vegetable. in indonesia the name is bamboo shoots alias young bamboo.,我真的很喜欢那种蔬菜。在印度尼西亚，名字叫竹芽别名幼竹。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
15414,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AX8aGTbWWq,4,2 years ago,"strait arrow 
i don’t care about your stereotypical thoughts on chinese government, but you really should respect other people’s work. this young lady was born in rural area of china, yet she learned filming, positioning and post-processing all by herself. every minute of this little video came out from hours of repetitive work. she does have assistants, but her job is no less tough. she sometimes processes the video until 3am and wakes up again at 5 so that she won’t miss the mild morning light in the summer, before it is too bright to film. if you look at the raw pictures posted by her assistant on weibo you will know how many scars she has on her hands, and how much tanner she is than what you see here. even with this released version you can see the muscles on her arm, which she could not have if she does not work day and night in the field. such honest work deserves respect and appreciation by any means, no matter what you think the original purpose of the video is. yet i see none of these in the way you talk. seriously, shame on you.","海峡箭头
我不在乎您对中国政府的刻板印象，但您确实应该尊重别人的工作。这位年轻女士出生于中国农村地区，但她独自学习了拍摄，定位和后处理。这个小视频的每一分钟都来自数小时的重复作品。她确实有助手，但她的工作同样艰难。她有时会处理视频直到凌晨3点，然后在5点再次醒来，这样她就不会错过夏天的温和早晨的光线，然后它太亮而无法拍摄。如果您查看她的助手在微博上发布的原始图片，您将知道她手上有多少疤痕，以及她比您在这里看到的tanner多少。即使有了此发布的版本，您也可以看到手臂上的肌肉，如果她在野外白天和晚上不工作，她就无法拥有。无论您认为视频的原始目的是什么，这种诚实的工作都应得到任何尊重和赞赏。但是，我以您说话的方式看不到这些。说真的，让你感到羞耻。"
15400,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97P3yJBgMVq,4,3 years ago,"@jeffcohens1563 if you dont enjoy lies......i invite you to stop watching any television, hanging out with any family, friends, or coworkers, stop reading and partaking of any media or social networking...it's obvious you are being lied to... frankly, watching a video such as this one and expecting it to be real is a little sad....i pity you.",@jeffcohens1563如果您不喜欢谎言……我邀请您停止看电视，与任何家人，朋友或同事一起出去玩，停止阅读和参与任何媒体或社交网络...很明显，您是您的坦率地说，被撒谎，观看这样的视频，并期望它是真实的。
10254,UgzC_fthDcWqZN85QXh4AaABAg,4,3 years ago,it looks really delicious.,看起来真的很美味。
35134,UgxYND322dbc3foA9W94AaABAg,4,3 years ago,she is the most talented and hardworking lady i've ever seen!! her videos are really worth watching!!,她是我见过的最有才华和勤奋的女士！她的视频真的值得一看！
21138,UgxXijHrxnVTn5BDQaJ4AaABAg,4,3 years ago,after watching this i realize how little i actually know.. she is incredible!,看完这一点后，我意识到我实际上知道了。她真是不可思议！
4390,UgwulF08HYN3vwxaxC54AaABAg,4,2 years ago,i really like your little seven,我真的很喜欢你 小七
12705,UgwCEfUryNnDSFbjS4B4AaABAg,4,3 years ago,"she cooks like an angel, and the house she lives in is a real heaven",她像天使一样做饭，她住的房子是一个真正的天堂
31126,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWSLd5yEjg,4,3 years ago,"if you are really into chinese cooking, there is a channel for you by the name of ""souped up recipe""",如果您真的喜欢中文烹饪，那么您就有一个名称为“汤汤”的频道
26467,UgyTF9qGRAMz-pC165R4AaABAg,4,3 years ago,"i really like ziyi, but unfortunately i didn’t have the opportunity to taste ziyi’s gourmet videos.",非常喜欢子柒 可惜没机会品尝到子柒的美食 子柒的影片都超赞的
11016,UgzfiTbmzA5yCUZNBEh4AaABAg.985VKhMUaHp98HkqC5Ved1,4,3 years ago,"even under such video that could take you away from real life and rest a bit, all you think about is money. people...",即使在这样的视频下，您可以将您远离现实生活并休息一下，您所想的就是金钱。人们...
27644,UgxJEE4vnlI7ErH6lIF4AaABAg,4,3 years ago,"this is the real life, anything u want, everything is there,",这是现实生活，你想要的一切，一切都在那里，
6696,UgyyDUQuQhFvOKWUTiJ4AaABAg,4,2 years ago,"i really like you, happiness to you and your family๐ง๐ท",我真的很喜欢你，祝你和你的家人幸福
24386,Ugxhz2Zqy0iR1NB0qQZ4AaABAg,4,3 years ago,"it makes me feel good that even if i live in a city i can grow wild purslane (a super food) and other wild herbs like, epazote, and estafiate. also what we call a malice weed, dandelion, in reality, one of the most misunderstood super food and medicinal plant.",即使我住在一个城市，我也可以种植野生的皮lane（一种超级食物）和其他野生草药，例如，epazote和estafiate，这让我感到很好。实际上，我们称之为恶意杂草，蒲公英，是最误解的超级食品和药用植物之一。
18808,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792TkkdfH4Os,4,3 years ago,someone who realizes that this is literally chinese communist propaganda,意识到这实际上是中国共产主义宣传的人
26890,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yrVAqRnYc_,4,3 years ago,"cece burton it doesn’t depends on the money,it depends on your approach for your life.many chinese people,especially for the young people,they want to leave their home in urban and go to big cities,for example beijing shanghai shenzhen guangzhou,because these cities develop very fast and much moderner than their countries’-home.and big cities have much more and better opportunities to make money to change their destiny and realize their own value.so many countries in china are left many old men and children because the adult go to the city to make money.compared with the europe and usa, many people can get a not bad job in their country,the opportunity of job in china country is very little.and many countries and towns have not good infrastructures（hospitals and schools),though this bad situation in the countries is becoming better and better,because chinese government is pushing urbanization development.so even though the area and house in the country is very cheap,but many people don’t want to go back,because they can’t get a good job.for liziqi, she once went to the big city to work,but she was bored with the noisy city and miss her grandmother,and in the meanwhile,network is very advanced in china.so she decided to go back her home in the country and film the video to make a living for her and her grandmother.of course she is a genius and succeeds.",塞斯·伯顿（Cece Burton）这不取决于钱，这取决于您的生活。 ，因为这些城市的发展非常快，比他们的国家更现代。大城市有更多的机会来赚钱来改变自己的命运并实现自己的价值。因此，中国许多国家都留下了许多老人和儿童是因为成年人去城市赚钱。基础设施（医院和学校），尽管这些国家的这种不良情况越来越好，因为中国政府正在推动城市化发展。回去，因为他们做得不好。对于利兹奇，她曾经去过大城市工作，但她对嘈杂的城市感到无聊，想念祖母，与此同时，中国的网络非常先进因此，她决定回到该国的家中，并拍摄视频，为她和她的祖母谋生。当然，她是一个天才，成功。
11916,UgzhKzHiJ1G8iuoOrVB4AaABAg,4,3 years ago,"as i keep watching the video, i feel real, but because of my hands. i miss you, the hands of the farmer.",当我不断观看视频时，我感到真实，但是由于我的手。我想念你，农民的手。
18670,Ugx5Az7DTNpPCNaB3Tt4AaABAg,4,3 years ago,"i really like the ""luosifen"" but take out of the spicy source. haha ~",我真的很喜欢“ luosifen”，但要从辛辣的来源中取出。哈哈〜
2591,UgyGlJW8MhoEzdZZAgJ4AaABAg,4,1 year ago,she's really amazing.. i love all of her videos & always support this channel,她真的很棒。我喜欢她的所有视频，并且总是支持此频道
24536,Ugytrq4-TNi6cBd3mFp4AaABAg,4,3 years ago,"oh my how i wish my life was like that, you're very lucky to be living such a beautiful and calming life i really like your videos they make me relax but a little bit sad because i could never have such life :p i really wish i could visit you it would be like a dream ❤️",哦，我的我希望自己的生活是那样的，你很幸运能过着如此美丽而平静的生活，我真的很喜欢你的视频，让我放松，但有点难过，因为我永远不会过这样的生活：P我真的希望我可以拜访你，就像一个梦想❤️
24998,Ugxh4an9n8vh-FXv-e94AaABAg,4,3 years ago (edited),it's so amazing. these foods were also found in our small garden before. i really miss this simple life,太神奇了。这些食物也在我们的小花园中发现。我真的很想念这个简单的生活
18918,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92Rkq87YNd9,4,3 years ago,"@cyan8406, but you can't live in the video, aren't you? such a beautiful life, even if living in the countryside, has such a tranquil environment, it is only 10 minutes in one year or a few months. how sensible reality is your rural came out and you should experience it ...",@cyan8406 可是你不可能活在视频里不是吗？那么美好的生活，即使生活在农村、有这样恬静的环境，也是1年或者几个月的10来分钟而已吧。现实有多骨感你农村出来应该有体会吧…
26704,UgyJprudB1KaWiqafxN4AaABAg,4,3 years ago,seeing this thinks of foreigners' views on our chinese. bamboo can still eat really can't laugh and laugh,看到这个想起来了老外对我们中国人的看法。竹子还能吃
7144,Ugw-o282MUl61tO4u6N4AaABAg,4,2 years ago,"the one thing about various cultures and their traditional foods that i continue to not understand is how it ever really began in the first place. 

when you look at cultures that eat some rather unusual foods that for others seems ""gross"" or ""weird"" (snails, frogs, insects, etc) and they dont seemingly exist in a place where there exists a complete lack of options the question becomes ""why?"" 

i mean can you imagine the first guy who was sitting on a riverbank one day and said, either to himself or someone nearby, ""ya know what? i am gonna go eat that snail"" or the first person to say ""boy that frog looks yummy and i bet its legs would be tasty"". i should also point out that in chinese the word for frog (when you are using the term in the context of being a food, at least) basically translates into ""field chicken"". specified the context because it has other names just like most things do based on the context of the discussion.","我继续不了解各种文化及其传统食物的一件事是，它首先是如何真正开始的。

当您查看吃一些相当不寻常的食物的文化时，这些食物似乎“粗糙”或“怪异”（蜗牛，青蛙，昆虫等），它们似乎并不存在于存在完全缺乏选择的地方，问题就变成了问题。 “为什么？”

我的意思是，您能想象有一天坐在河岸上的第一个人对自己或附近的人说：“你知道吗？我要去吃那蜗牛了”或第一个说“青蛙看起来的男孩好吃，我敢打赌它的腿会很美味”。我还应该指出，在中文中，青蛙一词（至少在作为食物的背景下使用该术语时）基本上会转化为“野鸡”。指定上下文，因为它具有其他名称，就像大多数事情一样，基于讨论的上下文。"
10842,UgyQ2lk_URAeYu5a0it4AaABAg,4,3 years ago,suddenly i really want to eat snail powder haha ​​,突然很想吃螺蛳粉了哈哈
