,cid,votes,time,含beautiful,含beautiful中文翻译
44987,UgwSqH5abBjPplJDK3h4AaABAg,0,4 years ago,beautiful,美丽
42496,UgzZ8ZZU0r1hJRGcxmR4AaABAg,0,4 years ago,beautiful video ! what camera did you use to film the quality is amazing.,美丽的视频！您用什么相机拍摄质量是惊人的。
42487,Ugy0N22qqK1qeAYDtD94AaABAg,0,4 years ago,where is china beautiful,中国哪里啊漂亮
42481,UgykwRelfcr5neVaO054AaABAg,0,4 years ago,"this is the life i want to live, but with some technology and little more advanced. this way of life is absolutely beautiful!",这是我想过的生活，但是有了一些技术，而且更先进。这种生活方式绝对美丽！
42474,UgxYOnkco7GuQ-yYBcV4AaABAg,0,4 years ago,beautiful,美丽
45008,Ugzk_gjwJOyQHZn3T7R4AaABAg,0,4 years ago,beautiful superwoman,美丽的超人
45009,UgzBe2LUcXbpINM_7Lp4AaABAg,0,4 years ago,oh my goodness ... beautiful life ♡♡♡.,哦，我的天哪...美丽的生活。
45081,Ugzz73JcvBkYnmh03sF4AaABAg,0,4 years ago,beautiful,美丽的
42414,UgzNrpHkli_al2RYOax4AaABAg,0,4 years ago,"your video is very beautiful

this is my channel


cooking with mimmo and mimo cook","你的视频非常漂亮

这是我的频道


Cooking with Mimmo 与米莫烹饪"
45096,UgyJ9I12Apq9vGzhEA94AaABAg,0,4 years ago,too beautiful to be real,太漂亮了，无法真实
42459,UgwJ6c-mE30WprEN8EZ4AaABAg,0,4 years ago (edited),"did she mixed sunflower seeds with sugar or was it salt? looked like sugar, but i think it is salt. it is so much fun and interesting to guess the ingredients she is cooking with and watch her technique and guess the outcome. her surroundings are always breathtakingly beautiful and the animals around her and the way she is caring for her grandma is always so cute. makes me miss my grandma. she died in the age of 85.",她是将葵花籽与糖混合吗？还是盐？看起来像糖，但我认为是盐。猜测她正在烹饪的成分并观察自己的技术并猜测结果真是太有趣而有趣。她的周围环境总是令人叹为观止的美丽，她周围的动物和照顾奶奶的方式总是如此可爱。让我想念我的奶奶。她死于85岁。
45098,Ugw0wqofGUkj4xgvSBp4AaABAg,0,4 years ago,beautiful production,美丽的作品
42452,Ugyc-ps5o1VWsPMTD-R4AaABAg,0,4 years ago,beautiful,美丽
42435,UgzEXMjaf8MkgKYkomd4AaABAg,0,4 years ago,one of the most beautiful video i have ever seen in my life..............wow.......so colorful of life.....close to nature......!!!!!,我一生中见过的最美丽的视频之一........... ... !!!!!!
45099,Ugwr-Q-iu4XjVv3sIgh4AaABAg,0,4 years ago,the most relaxing video and beautiful tradition. love your puppy and sheep <3 <3,最轻松的视频和美丽的传统。爱你的小狗，绵羊<3 <3
45104,Ugz-iOzQISwIVEOWh-V4AaABAg,0,4 years ago,"you are a very beautiful girl, take me to find her! =) i am from russia",你是一个非常漂亮的女孩，带我去找她！ =) 我来自俄罗斯
45120,UgzBfbg_r6SkmwnxRIJ4AaABAg,0,4 years ago,the most beautiful video i’ve watched,我看过的最美丽的视频很高兴我找到了这个频道
45125,UgyaKmEFZ8BlHwVKSPx4AaABAg,0,4 years ago,"i want to play there to your place, it seems beautiful and fun ... congratulations ...",我想在那里玩你的家，看起来很漂亮，很有趣...恭喜...
45140,Ugzh3d1tRmtWjmqVYp94AaABAg,0,4 years ago,beautiful place..,美丽的地方..
45173,UgxDvdFTQOhIeixFGbB4AaABAg,0,4 years ago,"everything about your place, surrounding is soo beautiful... i want to go there",关于您的位置的一切，周围都很漂亮...我想去那里
43015,UgxFennz51IbHhUnz7R4AaABAg,0,4 years ago,this is the most beautiful thing i've seen in a while,这是我一段时间以来最美丽的东西
43043,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rlzSBDZzW5,0,4 years ago,"yessica xoritee! please don't hate yr life! as and old women , i still work hard here in malaysia! but i enjoy with my life,like my village, i live near the beautiful beach here! i love my country so much!",Yessica Xoritee！请不要讨厌您的生活！作为老妇，我仍然在马来西亚努力工作！但是我喜欢自己的生活，就像我的村庄一样，我住在美丽的海滩附近！我非常爱我的国家！
45453,UgzcDY6_yZ6LGy12TJR4AaABAg,0,4 years ago,how beautiful you are nature,你有多美丽
43061,UgxjhYrkmykF7XXMg5h4AaABAg,0,4 years ago (edited),this place is how humans should live. you have a beautiful life. thank you for the awesome video’s,这个地方是人类应该生活的方式。你有美好的生活。谢谢您的真棒视频
43778,UgyelJiL_OUUNLkhWEN4AaABAg,0,4 years ago,what is the powder you put together with the mashmalows? thanks for another beautiful video <3,您将粉末与Mashmalows搭配的粉末是什么？感谢您的另一个美丽视频<3
43768,UgxDDm6N3hhjEIzZdGd4AaABAg,0,4 years ago,beautiful,美丽
43765,UgxSl5fr6VxIBxvoDeN4AaABAg,0,4 years ago,best recommended youtube !! how beautiful !! what a magician !!! aaaaaaaaaaaaaa this really exists ???,最好的推荐YouTube！多么美丽！真是个魔术师！！！ aaaaaaaaaaaaaaa这真的存在吗？？？
43744,UgwfBLOLVehFz0P_lhZ4AaABAg,0,4 years ago,"which province is this? it's so beautiful, pure natural life.",这是哪个省啊？太美了，纯天然的生活。
43738,Ugwh_M8Lsfk1gOGlDXl4AaABAg,0,4 years ago,"just love the simplicity of living together with such a beautiful surrounding, nature best, thanks. shalom",只是喜欢与如此美丽的周围环境，自然最好的生活的简单性，谢谢。 Shalom
43735,UgyFZEUURxwybRQdxcJ4AaABAg,0,4 years ago,"words are unable to describe and beauty the scenery, and this girl is actually creating what is the most beautiful ..",言语无法描述和美景风景，这个女孩实际上在创造最美丽的东西。
43724,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8revtqhh6VL,0,4 years ago,"don't want to sound mean, but this seems to good to be true. it gives me huge propaganda feels. perfect mix of cultural revolution, traditional lifestyle and modern world reduction. a huge big add for a more sustainable way of life? china 2050? 
the message itself is a beautiful one: work hard, live simple, honour your elders and don't copyy the west.","不想听起来卑鄙，但这似乎是真的。它给了我巨大的宣传感觉。文化革命，传统生活方式和现代世界的完美结合。为更可持续的生活方式增添了巨大的巨大添加吗？中国2050年？
信息本身是一个美丽的信息：努力工作，生活简单，尊重您的长者，不要在西方复制。"
44287,UgzPRACp20MESnESXyx4AaABAg,0,4 years ago,i want to marry this beautiful girl .,我想嫁给这个美丽的女孩。
43691,UgwpDijLcmaNucJehuh4AaABAg,0,4 years ago,"god is very beautiful, can i know the name of the region in which you live",上帝非常美丽，我能知道你所居住的地区的名字吗
43685,UgxP31dgvq5NxkefRfV4AaABAg,0,4 years ago,she is wealth in her own right. not money. it’s her life. beautiful.,她本身就是财富。不是钱。这是她的生活。美丽的。
44306,Ugzs2VGHVwjSjYe_icJ4AaABAg,0,4 years ago,"better quality than most movies, beautiful!",质量比大多数电影更好！
44315,UgwoxZ1i87qZjjoJ-nh4AaABAg,0,4 years ago,"this is a beautiful video.
you and grandma are wonderful people. thanks for letting me share your day.
greetings from canada.","这是一个美丽的视频。
你和奶奶是很棒的人。感谢您让我分享您的一天。
来自加拿大的问候。"
44319,UgxvJKwODtnYwcMNZ554AaABAg,0,4 years ago,"i love: 'uuu god the dedication that puts him is impressive, in addition that he takes care of his grandmother, that is admirable:') ♥ ️ and the puppies are beautiful lan: '3
♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ limal","我爱：'uuu上帝使他的奉献精神令人印象深刻，除了他照顾祖母，这是令人钦佩的：'）♥️和幼犬很漂亮lan：'3
♥谢♥谢♥♥♥♥♥佐adad♥♥♥;"
43667,UgzbHAam_UDv4xx2qH54AaABAg,0,4 years ago,wonderful!!! yesterday i saw this video. i fell in love with your channel. i am your subscriber already. what a beautiful place where you live and what a beautiful young man you are. thanks for sharing everything. i love nature and your funny animals relax your videos a lot for the rhythm of life. greetings from el salvador america central.,精彩的！！！昨天我看了这个视频。我爱上了你的频道。我现在是您的订户。您住的地方多么美丽，您是一个美丽的年轻人。感谢您分享所有内容。我喜欢大自然，您的有趣动物在生活的节奏中非常放松您的视频。来自El Salvador America Central的问候。
44320,Ugxa0qKbl5pmMHcujP54AaABAg,0,4 years ago,"how easy everything is for you, everything is a bit ridiculous in the gold of your hand, even if guinea is beautiful",一切对您来说都是多么容易，即使几内亚美丽
43650,Ugy3Vawzw1Mm5FBqsh14AaABAg,0,4 years ago,"these videos are beautiful. in addition to showing how real chinese dishes are prepared, you can see a wonderful nature. a huge greeting from italy",这些视频很漂亮。除了显示真正的中国菜肴的准备方式外，您还可以看到一种美妙的本性。来自意大利的巨大问候
44325,UgybErXpXFFABCcRH4N4AaABAg,0,4 years ago,very beautiful that town and what speed of the girl that sometimes does not have time to see the ingredients that it uses (q is important) that sorry does not make subtitles!,那个小镇非常漂亮，有时没有时间看到它使用的成分（Q很重要）的女孩的速度非常漂亮，对不起，这不会制作字幕！
43647,UgxJkPP5UvrXT5Tq-854AaABAg,0,4 years ago,"i am from palestine, i love this girl, she is beautiful and dangerous",我来自巴勒斯坦，我爱这个女孩，她是美丽而危险的
43643,Ugysa70gwD-RsIXkznZ4AaABAg,0,4 years ago,"a poetic video... she made seem everything so simple and easy to do. sometimes i complain about the dairy things, and she showed me that we can do everything in peace and make the things beautiful. thanks.",一个诗意的视频...她使一切看起来如此简单易用。有时我抱怨乳制品的东西，她向我展示了我们可以和平地做所有事情，并使事物变得美丽。谢谢。
43633,UgzENro9jxRI0wr8w8N4AaABAg,0,4 years ago,"what a beautiful video, all so nature",多么美丽的视频，所有的大自然
43607,Ugx9h3EpDrFRe26cUvt4AaABAg,0,4 years ago,so beautiful..,如此美丽..
43597,UgyvFpLXnCh-iPU99Od4AaABAg,0,4 years ago,"pretty, work hard, talented chef. beautiful combination!!",漂亮，努力工作，才华横溢。美丽的组合！
43582,UgwkiWU7lBS63O-TpYx4AaABAg,0,4 years ago,your country is beautiful,你的国家很美
43579,Ugx_7o4RO5ZDxJfWB7l4AaABAg,0,4 years ago,beautiful photo lovly eyes and face,美丽的照片可爱的眼睛和脸
43578,UgxcgDcymVuoW-gQcBN4AaABAg,0,4 years ago,i love your country .. what a beautiful ...,我爱你的国家..多么美丽...
43788,Ugwp7RGnXijlvjR0o_l4AaABAg,0,4 years ago,how beautiful and very skillfully!)))))),多么美丽，非常巧妙！））））））））
43813,UgxQbq7s1v11SAuFXSZ4AaABAg,0,4 years ago,i find this series so beautiful :) so fascinating and calming,我发现这个系列是如此美丽:)如此有趣和平静
44259,UgzJqgitS7CF5o1aQ0t4AaABAg,0,4 years ago,"this girl is very hardworking, but i don't like that i hardly caress those beautiful puppies or give them food :(",这个女孩很努力，但是我不喜欢我几乎不爱抚那些美丽的小狗或给他们食物:(
44189,Ugw2_9SsxK_sMS1Qc_Z4AaABAg,0,4 years ago,you are so beautiful,你真美
44083,UgyvOUN1vY-82UJQhKl4AaABAg,0,4 years ago,somewhere in this crazy world ..a beautiful human being ..i feel so relaxed by watching you ❤❤,在这个疯狂的世界中的某个地方..一个美丽的人..我看着你感到很放松❤❤
44071,UgyU4FkoGDzwrj-py7B4AaABAg,0,4 years ago,"simple life, humble attitude, caring self, natural filming, quality content, and so beautiful too.

good luck","简单的生活，谦虚的态度，关怀自我，自然拍摄，优质的内容以及如此美丽。

祝你好运"
44143,Ugx5Bk65HSZaZKpFA-N4AaABAg,0,4 years ago,"its so satisfying to watch, and i love the nature scene its so beautiful love it ,already subscribe!!",它是如此令人满意的观看，我喜欢自然界，它是如此美丽的爱，已经订阅了！
44145,UgxtrNSsRU467Z4044J4AaABAg,0,4 years ago,miss li invite me to that beautiful place i find it calling me there! and you re such a beautiful soul!,李小姐邀请我去那个美丽的地方，我发现它叫我在那里！你真是一个美丽的灵魂！
44030,UgzBHDqW6Pm_jxwJJ4R4AaABAg,0,4 years ago,very beautiful,非常漂亮
44163,UgxHMOUjZ6SbPaoxdJ94AaABAg,0,4 years ago,so beautiful....,如此美丽....
44002,Ugx_Rfg8pBX-UQMUa254AaABAg,0,4 years ago,very beautiful what a nice video,非常漂亮的视频真漂亮
43983,UgyBn_tgS2RfF-XwSxt4AaABAg,0,4 years ago,how beautiful is food very well is fine how beautiful,食物的美好是多么美丽
44164,UgwjXwMPbvCXB2iLas54AaABAg,0,4 years ago,so beautiful....,如此美丽....
44170,Ugx8rU3ST_pqzPagKQd4AaABAg,0,4 years ago,how beautiful !,多么美丽 ！
44177,Ugwl67NbGBJ0T1V1n9x4AaABAg,0,4 years ago (edited),"you are so cut and your heart is as beautiful as you .and i like the way you treat your grandmother(if not grandmother then i am sorry) ,and you are so sweet and very good at cooking too and i love all the videos you made and your videos is so relaxing too❤️❤️❤️❤️ and the reasoni love you is not you because you are cute and the videos is so relaxing and satisfied but it also because you are grateful person",你是如此割伤，你的心和你一样美丽。我喜欢你对待祖母的方式（如果不是祖母，那我很抱歉），你也很甜蜜，也非常擅长做饭，我喜欢你所有的视频制作和您的视频太放松了❤️❤️❤️❤️❤️，理由爱你不是你，因为你很可爱，视频是如此放松和满足，但这也是因为你是感激的人
43957,UgxqLrhfBgLFlOxrbAR4AaABAg,0,4 years ago (edited),"i love the sheep to be believed by picrito, beautiful",我爱Picrito所相信的绵羊，美丽
43822,Ugz3qq6VvJkZeg6WVsV4AaABAg,0,4 years ago,"beautifull! 
(i need you translate youtube, please!) 
wonderful knowledge of other cultures","美丽！ 
（我需要你翻译YouTube！）
其他文化的奇妙知识"
43915,Ugwf6-V6yxW_z_gpcYV4AaABAg,0,4 years ago (edited),the most authentic and beautiful video i’ve ever watched. not sure how i got here.. but i love it,我看过的最真实和最美丽的视频。不知道我是怎么来这里..但是我喜欢它
43909,Ugw0YIn3NwG152Dkdtx4AaABAg,0,4 years ago,looking so beautiful,看起来真美
43887,Ugy_7trHKgem1F3Pr9p4AaABAg,0,4 years ago,this is so beautiful and inspirational.,这是如此美丽和鼓舞人心。
43883,Ugw8ooZZO6O0NmZ3NA14AaABAg,0,4 years ago,what beautiful cute little sheep and puppies in the beginning! and they follow you around! please don’t eat them too!,一开始，多么美丽的可爱的小绵羊和小狗！他们跟随你！请不要也不要吃！
43879,Ugxq-DSXofOqXvgb4r94AaABAg,0,4 years ago,so remarkably beautiful! i love the hard work and dedication she showed to her cooking and the craft. such a complex simplicity. fantastic job. and it looks delicious!!,如此美丽！我喜欢她对自己的烹饪和手工艺表现出的辛勤工作和奉献精神。如此复杂的简单性。很棒的工作。而且看起来很美味！！
44203,UgxvpxsjR_omDyTJrcp4AaABAg,0,4 years ago,this is real life disney princess. doing chores and still beautiful while cute animals follow you around.,这是现实的迪士尼公主。做家务，仍然很漂亮，而可爱的动物则跟随你。
43877,Ugxf5mFBUqdd6rybRA94AaABAg,0,4 years ago,beautiful video .. only one concern those puppies look really malnourished ... please feed them properly,美丽的视频..只有一个关心这些小狗看起来很营养不良...请正确喂养它们
44249,Ugxzk-PtH1XZSm9j83l4AaABAg,0,4 years ago,"beautiful girl, household - such at once in the wife and quickly do children in the bed :-)",美丽的女孩，家庭 - 立刻在妻子里，迅速在床上做孩子:-)
43870,UgxI5XGdo-efBzbvVRh4AaABAg,0,4 years ago,"people are beautiful and cooking food and cooking.
the food that can be eaten by li ziyi must be very happy (´ω`) (´ω`) (´ω`)","人美又会煮菜做饭样样难不倒
能吃到李子柒做的饭菜一定很幸福(´ω`)(´ω`)(´ω`)"
43843,UgxSVG98flNoJUjpd-B4AaABAg,0,4 years ago,"beautiful, not enough, but also good. like you very much",美丽，还不够，但也很好。非常喜欢你
44257,UgzhvJmN-v4kIVfqd8N4AaABAg,0,4 years ago,beautiful,美丽的
44328,Ugw9VO68UFAas_d0BIl4AaABAg,0,4 years ago,isn't this the digimon soundtrack??! beautiful,这不是Digimon配乐吗？！美丽的
44338,Ugym_BdN-_e4Fpns6Qp4AaABAg,0,4 years ago,what a beautiful life,多么美好的生活
44342,Ugx-oOkp_hwrDwo1B-54AaABAg,0,4 years ago,it's so beautiful! but why not go to the city? intersection,长得好漂亮哟！只是为什么不去城市里呢？？
44602,Ugw7myRNWoaPl5me5fl4AaABAg,0,4 years ago,"she is beautiful, she cooks beautifully, she is talented!! loved this video.",她很漂亮，她做得很好，她才华横溢！！喜欢这个视频。
43263,UgwglwVvYp8LccgM3TR4AaABAg,0,4 years ago,is it drama or something? this is so beautiful,是戏剧还是什么？这是如此美丽
44547,Ugw4B_1b5i7OnS16bS14AaABAg.8rCXt9otn7j8rLKtoViLvF,0,4 years ago,"because it is a video which pretends to looks like that, the whole process of what she do is, by far, less beautiful.",因为这是一个假装看起来像这样的视频，所以她所做的整个过程是迄今为止不那么美丽。
43257,UgxpdKivv9gRHx4yEPR4AaABAg,0,4 years ago,beautiful,美丽的
43256,UgyDAtSpM_edKfUnFjR4AaABAg,0,4 years ago,beautiful video loved it.,美丽的视频爱它。
43232,UgwOBksyvcUhz6quf3t4AaABAg,0,4 years ago,wow beautiful,哇好漂亮
43203,Ugy0RjjxCDOmAHDGC254AaABAg,0,4 years ago,"this girl is special, very friendly, sweet and intelligent. continue so dear and will be much more successful. congratulations on your beautiful videos. a great and good life for you and your family.",这个女孩很特别，非常友好，甜美和聪明。继续如此亲爱的，将会更加成功。恭喜您精美的视频。对您和您的家人来说是美好而美好的生活。
43199,UgxrEv7m5xtCjbPaNnN4AaABAg,0,4 years ago,beautiful life,美丽的生活
43195,UgyXpWLUX3r5wYZLH6t4AaABAg,0,4 years ago,this is the type of woman i need to marry.. smart beautiful and motivated... i love the culture ! i need more please,这是我需要结婚的女人的类型。.聪明美丽而有动力...我喜欢这种文化！我需要更多
44569,UgxFEjoU0ykV_kBRIOh4AaABAg,0,4 years ago,beautiful,美丽
43170,UgxU_qGD3LTm-6gDIDJ4AaABAg,0,4 years ago,your dog is so beautiful,你的狗是如此美丽
43153,UgxzoaWinsl6aD7x4_J4AaABAg,0,4 years ago,what a beautiful place.....it is heaven......,多么美丽的地方.....这是天堂……
44609,UgzmiPkp8iq37xL3muh4AaABAg,0,4 years ago,it's so beautiful to see you,能够见到你真是太美了
43280,UgwFlxBbuQLED6ggd7N4AaABAg,0,4 years ago,beautiful video,美丽的视频
43145,Ugxcsz6CSmwlH1jZe8h4AaABAg,0,4 years ago,"i love and envy her way of life, simple and beautiful, just like god intended it to be",我爱并羡慕她的生活方式，简单而美丽，就像上帝打算成为
43142,UgxFvneldlYHx8vPjIx4AaABAg,0,4 years ago,"she's so young and beautiful, yet working so hard. bless her",她是如此的年轻和美丽，但努力工作。祝福她
43125,UgxWgnhuAdweLG6J3QV4AaABAg,0,4 years ago,beautiful..❤❤,漂亮..❤❤
44610,UgzySoJVt_WmL2A_Odp4AaABAg,0,4 years ago,i would love to have that job in the midst of nature is beautiful,我很想在大自然中有这份工作很漂亮
43116,UgxY_3fQLGfn4CBPr014AaABAg,0,4 years ago,"i love you, congratulations, my friend, you are a beautiful woman, and you are also talented. i like your videos, from peru, american greetings.",我爱你，恭喜你，我的朋友，你是一个美丽的女人，你也很有才华，我喜欢你的视频，来自秘鲁，美国的问候。
43113,UgwyyLONsSzI4Iyw90h4AaABAg.8rRKab9BgbJ8rSra0riK0b,0,4 years ago,@ahee5527 it's so beautiful there i really wish i could live like this,@ahee5527在那里真漂亮，我真的希望我能这样生活
43092,Ugz8NZVboYH5ehdkAvl4AaABAg,0,4 years ago,chinese girls are good and beautiful,中国女孩很好
43089,UgzZLvTkqXjgBagl1494AaABAg,0,4 years ago (edited),"i think i can live my life without smartphone anymore there, so beautiful village",我想我可以在没有智能手机的情况下生活，如此美丽的村庄
43077,Ugy88zrvMSt4BV3OMct4AaABAg,0,4 years ago,"what a beautiful girl! 
how incredible and fantastic you are 
greetings from mexico
peace and blessings.","多么美丽的女孩！ 
你真是令人难以置信和奇妙。
来自墨西哥的问候
和平与祝福。"
43064,UgyILL78dONmkKyw88V4AaABAg,0,4 years ago,beautiful,美丽的
36143,Ugy1ZPwYNGvkGjky7nd4AaABAg,0,4 years ago,"that background music ,her hardworks,place and beautiful animals โค๏ธโค๏ธโค๏ธโค๏ธโค๏ธโค๏ธโค๏ธ",背景音乐，她的努力工作，地方和美丽的动物❤️❤️❤️❤️❤️❤早太郎茅qor
43267,Ugxx7FOMkaYzJyD9wvB4AaABAg,0,4 years ago,what a beautiful life.. most of us live in such desperate materialism!,多么美好的生活..我们大多数人都生活在如此绝望的唯物主义中！
43290,UgxDNuqczPxPzEPP4Z94AaABAg,0,4 years ago,your home is so beautiful!,你的家太漂亮了！
44344,UgysbpdAxAOPgFf9Z3J4AaABAg,0,4 years ago,so beautiful.. which place this.. really mezmering,如此美丽..哪个位置..真的
44441,UgyuqjPnn8nIDk1YXc94AaABAg,0,4 years ago,love your clips and the culture that simple but it’s beautiful.,喜欢您的剪辑和简单的文化，但它很美。
44346,UgyHu8opUWnVK_x5JXd4AaABAg,0,4 years ago,this is so beautiful to look at,这真是太漂亮了
43548,UgxSx1TPZ4zFdVJBVZd4AaABAg,0,4 years ago,"this is a beautiful video... as a pastry chef, i always want to do things (baking and cooking) in the most unadulterated and most basic method. i enjoyed watching this!",这是一个美丽的视频...作为糕点厨师，我总是想以最纯净，最基本的方法做事（烘烤和烹饪）。我喜欢看这个！
43531,Ugx1kwaw_z2B17uOVal4AaABAg,0,4 years ago,beautiful!!,美丽的！！
43520,UgwUiArlcRMGbv4an8Z4AaABAg,0,4 years ago,this is beautifull!!!!,这是美丽的！
43513,UgwaSn_-MA0jaSbTklB4AaABAg,0,4 years ago,beautiful .......,美丽的 .......
44354,Ugzwg7Rt2OXiGk06Ry54AaABAg,0,4 years ago,"wooow that rich food, and beautiful place, i loved their puppies and sheep",求爱那丰富的食物和美丽的地方，我爱他们的小狗和绵羊
44361,Ugx-oOkp_hwrDwo1B-54AaABAg.8rDphxU72z78rEBmsj5X6L,0,4 years ago,"she was working in the city, because her hometown only had grandma at home and no one took care of it (parents have left the world). grandma is old and can't take care of herself. ping and beautiful video",她本就是在城市中工作，因为老家只有奶奶在家没人照顾（父母先后都离开了人世），奶奶年纪大了没办法自己照顾好自己，回家照顾奶奶晚年生活，不然你也看不到这么平和美好的视频
43461,Ugxy5F_8cU82-ebIEs94AaABAg,0,4 years ago,beautiful natural beauty,美丽的自然美
43451,UgyiYfLkXZGSgp1uXZF4AaABAg,0,4 years ago,all beautiful!,一切都很漂亮！
44418,Ugxn09QTkms94ZkDRyt4AaABAg,0,4 years ago,how beautiful! this is art.,多么美丽！这是艺术。
44429,UgxwSeaA5ByDTKS6Z9x4AaABAg,0,4 years ago,c is so good and beautiful,c是如此美好
44445,Ugz98XChGeHReZjVpYR4AaABAg,0,4 years ago,it's so beautiful,这个很漂亮
43315,Ugy-pDAAIVplZ8sVT1R4AaABAg,0,4 years ago,beautiful.,美丽的。
44500,UgweD-AqsJwT_gZFbNx4AaABAg,0,4 years ago,"i like this video.. beautiful place
#imfrommalaysia","我喜欢这个视频..美丽的地方
＃imfromalaysia"
43425,UgxTbFTAuvDUD7IU9PZ4AaABAg,0,4 years ago,want to go there ... it's really beautiful,想去那里...真的很漂亮
44508,UgwWjgvMoGYCttWGRSd4AaABAg,0,4 years ago,how beautiful,多么美丽
43371,UgzunYPoXtkQmaQQsgB4AaABAg,0,4 years ago,those tiny babies with you are sooooo beautiful,那些小婴儿和你很漂亮
44510,UgxhikWL7AajUHHpah94AaABAg,0,4 years ago,mesmerising 's and dogs following her was so cute... superb video... she worked so hard with the beautiful smile on her face....,令人着迷的
44520,UgxmBdyytqt9g6CspsZ4AaABAg,0,4 years ago,no words.. so beautiful,没有话..如此美丽
43348,UgxfOmv-VGiRnMlvrm54AaABAg,0,4 years ago,"u r p e r f e c t !!! be blessed , beautiful and intelligent girl!",u r p e r f e c t ！！！祝福，美丽而聪明的女孩！
43326,UgwjgrVrD_7AYqtMgX54AaABAg,0,4 years ago,what a beautiful life ❤️,多么美好的生活❤️
44531,UgxtX0MaBqghBEHe4W94AaABAg,0,4 years ago,"your videos ar e great unless you don't kill animals. i hope you won't kill this sheep when it is grown up. he deserves to live like all living things. i don't like you kill animals like chickens or crabs ...the land gives you lots of things to eat , you don' need to kill those beautiful creatures.",除非您不杀死动物，否则您的视频很棒。希望您长大后不会杀死这种绵羊。他应该像所有生物一样生活。我不喜欢你杀死鸡或螃蟹等动物...这片土地给你很多东西要吃，你不需要杀死那些美丽的生物。
43320,UgxxaSztlW9gCEJZ4I94AaABAg,0,4 years ago,beautiful spending wu,美丽的支出Wu
44532,Ugy6TYiVUDn6K32fe-p4AaABAg,0,4 years ago,hii...beautiful lady.... u r so great.... u r the greatest women of the world,嗨...美丽的女士。。。。。。。。。。。。。。。。。。。 Yaifare
42049,UgxP_8XP96IT_Pf5eZN4AaABAg,0,4 years ago,"a talented beautiful young girl cooking& preparing marvellous things, they look so tasty",一个有才华的美丽的年轻女孩烹饪和准备奇妙的事情，它们看起来很美味。看着这件事时，我感到很放松，我希望我是隔壁的邻居，以便我可以品尝到他们的很多爱。
45475,Ugzf_UNY8aQb10ZTRkh4AaABAg,0,4 years ago,what a luga is this looks like a beautiful paradise,这看起来像一个美丽的天堂
47556,Ugyaqh_5Iy4cIZLFWEl4AaABAg,0,4 years ago,the kipz picture is beautiful.,Kipz的图片很美。
41052,UgxmDZWCRccV2RVpQXF4AaABAg,0,4 years ago (edited),what a beautiful chinita,多么美丽的奇妮塔
46757,UgxfJBmGIbQ4N0lha6N4AaABAg,0,4 years ago,beautiful video greetings to virtuous woman,对贤良女人的美丽视频问候
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,4 years ago,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
46780,UgzwleaVyo7zaZlxocR4AaABAg,0,4 years ago,what a beautiful video,多么美丽的视频
40821,Ugz-3BAQJobSD12uOnZ4AaABAg,0,4 years ago,what a beautiful life with many fruits and seeds,多么美好的生活，有许多水果和种子
40811,Ugx8DC-_Tr3bgaA1ELN4AaABAg,0,4 years ago,beautiful life ❣️,美丽的生活❣️
40807,UgzFxKVkTA39Xk9wPER4AaABAg,0,4 years ago,where can i find such a beautiful and capable daughter -in -law? intersection intersection i want one,这么漂亮能干的媳妇儿，哪里找啊？？？ 我想要一个
40777,UgzqzgFsOIA10Whk0_x4AaABAg,0,4 years ago,you are so beautiful❤ i love your videos gj,你真漂亮❤我爱你的视频gj
46782,UgzEnN7tHT9iACa6m2h4AaABAg,0,4 years ago,"so beautiful that almost makes you cry .. i think this video contains ""the meaning of life""
i loved every second of this work","如此美丽，几乎让你哭泣。我认为这部影片包含“生活的含义”
我喜欢这项工作的每一秒"
46813,UgzCnim5_uOiFd1MlHB4AaABAg,0,4 years ago,"from vietnam happy new year, you’re so beautiful <3, everything looks so perfect.",从越南新年快乐，您是如此美丽<3，一切看起来都很完美。
46825,UgwlM64QYyDd37KX5fp4AaABAg,0,4 years ago,how beautiful luga,Luga多么美丽
40700,UgyFMKljFpjmTvkIP2t4AaABAg.8sBMWkvCQCI8skxnJw5oWH,0,4 years ago,"i love this channel i love her
she is so sweet and beautiful
i want to live in the same place
from philadelphia pa u.s","我爱这个频道我爱她
她是如此甜美
我想住在同一个地方
来自费城PA U.S"
46846,UgyiPJT2hmnlLqhc1RN4AaABAg,0,4 years ago,you are so beautiful,你真美
40696,UgyDQ_DWLbnyhgiH1xt4AaABAg,0,4 years ago,"beautiful really they are helped we how we can live in nature without used technology
hat","真正的美丽，他们得到了帮助我们如何在没有二手技术的情况下如何生活
帽子"
46848,UgyTpwl3AxJ39avhMRJ4AaABAg,0,4 years ago,beautiful work made by beautiful girl.,美丽的女孩制作的美丽作品。
