,cid,votes,含beautiful,含beautiful中文翻译
24087,Ugw94mN_XHsDWrsrJBd4AaABAg,1,do you have instagram? your videos are beautiful,你有Instagram吗？您的视频很美
26589,UgzzP0OYs2E7NrpGz7N4AaABAg,1,"beautiful young lady leds a simple life with no electronic devices, she's in my dream.",美丽的小姐过着简单的生活，没有电子设备，她在我的梦中。
23701,UgwyIIBz3x1xZOAajYR4AaABAg,1,"i really can do housework, people are beautiful, just be my wife",真的很会做家务，人又漂亮，做我老婆就好了
9347,UgwRQhaAbzZgua-qHK14AaABAg,1,she is a cute and beautiful woman. it is delicious. if any one married her as wife to be good for his family,她是可爱美丽女人. 好吃. If any one married her as wife to be good for his family
11487,UgzwzDbBNt8z0xlfd_54AaABAg,1,"beautiful, beautiful. hermosa,. beautiful",美丽，美丽。赫莫萨（Hermosa）。美丽
16735,UgyWiHFN12Y0CMrNJl54AaABAg,1,where is this? it's too beautiful.,这是在哪啊。也太漂亮了。
11565,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw98GBqTcJC9J,1,shiva ediga yes its such beautiful video. i have visited this town once.,Shiva Ediga是的，它是如此美丽的视频。我曾经去过这个小镇。
26643,Ugw0wYie8-cgYcFId_94AaABAg,1,very beautiful video,非常漂亮的视频
26645,UgzS06kWPFl_gfzwTgF4AaABAg.8ymoowt3A3Y8yph7Dkop2O,1,"wonder when she had time to learn about editing and how to present things so beautifully. it doesn't strike me as a very rural chinese thing, to keep things uncluttered and fresh.",想知道她何时有时间学习编辑以及如何如此精美的内容。让我成为一个非常乡村的中国事物，使事情变得整洁和新鲜。
26662,UgzvszVDNmLbw6O09sJ4AaABAg,1,"the first time i watched your video, i liked it, mainly because people are too beautiful! intersection intersection love you 3000 !!! ... (つ • ̀ω • ́) つ",第一次看你的视频就喜欢上了，主要是人长的太美了！！！LOVE YOU 3000!!!...( つ•̀ω•́)つ
12315,Ugw-L81cEcjd1g1U7mZ4AaABAg,1,"ah, a beautiful life,",啊，真是美好的生活，
23995,Ugw04q57zf6Lq63yTFV4AaABAg,1,she is beautiful,她很漂亮
15752,Ugxyf5CmC59Ye6VvOYl4AaABAg,1,"you've created beauty. beautiful food, beautiful surroundings. good film, art and food combined.",您已经创造了美丽。美丽的食物，美丽的环境。好的电影，艺术和食物结合在一起。
15913,UgwD5qsyRjOpuzT8seh4AaABAg,1,very beautiful,很漂亮
11895,UgxI78EcbAcMxaF1r8B4AaABAg,1,so beautiful both people and scenery,如此美丽的人和风景
16036,UgyXafn9bVSZA4iMQ5J4AaABAg,1,"she's beautiful, i want to marry her.",她很漂亮，我想嫁给她。
23872,Ugy41n_6xvWJOo2VW5V4AaABAg,1,"how to find a wife, so beautiful and do you like, it's hard in indonesia to marry a girl like that sometimes when grooming looks like a barbie",如何找到一个妻子，如此美丽，您喜欢，在印度尼西亚很难嫁给一个像芭比娃娃一样的女孩
15953,UgyoI2TjME36VxpvHC54AaABAg,1,life is beautiful! =),生活是美好的！ =）
26315,Ugx_deUca36dtzLftBB4AaABAg,1,"not only beautiful, also good skills. wish you good health always",不仅美丽，也是好的技能。祝你永远健康
12862,UgxwuodpGweVxAqN5Yt4AaABAg,1,"delicious irresistible, all the popular dishes that have been eaten but cooked but cooked according to a special and beautiful food",美味不可抗拒的所有流行的菜肴都被食用但煮熟但用特殊而美丽的食物煮熟
26196,UgyNAC6Wj0SILG6nSep4AaABAg,1,cdahmah is beautiful dilemin smart cooking smart null u say that :(,cdahmah是美丽的Dilemin智能烹饪智能null u说:(
12884,UgwBavBgIWu4qQVCazd4AaABAg,1,are you the province?! i like the scenery of the landscape and vegetables that you live here! it's so beautiful!,妳是那省人吖?!喜欢你住在此的风景与种菜·作菜之顺手格调！太美啦!
10518,UgyH98IEJlwazVr76PN4AaABAg,1,"beautiful aunt people don't like chinese cook e why do you welly bound the fields of jungle cooked fucking cooking all the free people to do not get dwet for blonjo
- greetings to jowo, indonesia","美丽的姨妈人们不喜欢中国厨师e e为什么你为什么要束缚丛林烹饪的田野，煮熟的所有自由人都不会为布隆霍
- 给印度尼西亚乔沃的问候"
25920,UgxUcp483i0yNCWwhv54AaABAg,1,it's healed by watching it in a very beautiful and natural life ♡ but i'm really worried that i'm shooting and editing myself.,它通过在非常美丽而自然的生活中观看它可以治愈，但我真的很担心自己正在拍摄和编辑自己。
25992,UgxfmBrhnJ6Hp8XGbTt4AaABAg,1,"ii'm sorry i can't speak english. 
material 
of the video 
much 
with skills 
much 
with food 
much 
with charm 
the place 
beautiful 
life 
that is happy 
like heaven on earth.","我很抱歉，我不会说英语。
材料
视频
很多
有技能
很多
带着食物
很多
有魅力
这个地方
美丽的
生活
那很高兴
像地球上的天堂。"
27858,Ugw2x6_9O627CdtNecV4AaABAg,1,"ziyi, you are beautiful and temperament!",子柒妳很美、又有气质！
13269,Ugzwbs37JX3DsM1W29h4AaABAg.95pfR3UZRcW95ua844kLXU,1,"@kwan5740 if you have the chance, you can experience the basin climate of sichuan. especially spring and summer, it is very beautiful, and we are willing to share the beautiful nature. good night, friends living in thailand.",@kwan5740如果有机会，您可以体验四川的盆地气候。尤其是春季和夏季，它非常美丽，我们愿意分享美丽的天性。晚安，住在泰国的朋友。
24438,UgyI8NoCPH0vb1MxbkJ4AaABAg,1,"wow amazing cooking skills beautifull scenery
mouth water recipesthanks for shareing","哇惊人的烹饪技巧美丽的风景
口水食谱共享"
13245,UgwTmcPvp9pjdCl6PCd4AaABAg,1,wow is so beautiful,哇好漂亮
11740,UgxKP5VYJYBQ9Lfycf14AaABAg,1,"beautiful video! the most beautiful i saw, thanks for sharing it! i fell in love with the lady .saludos flash argentine",美丽的视频！我看到的最美丽，感谢您分享！我爱上了女士.Saludos Flash Argentine
10801,UgwruA9z-JLfPct-Qzp4AaABAg.98N2quvbM8k98QXljmCDqk,1,she's from sichuan province which is famous for beautiful girls,她来自四川省，以美丽的女孩而闻名
24352,UgxQnsfnJ51lRDjdifF4AaABAg,1,"you know what im thinking watching her. how great my life would be if i find someone like her as my wife. beautiful and can cook well, my heart is mealting just as watching her",你知道我在想着她的想法。如果我找到像她这样的妻子的人，我的生活会多么美好。美丽，可以做得很好，我的心在饭菜，就像看着她
13229,UgyEjj02AF1n5IC-Y554AaABAg,1,you are very beautiful and wonderful and adore the work you do every day,您非常美丽，很棒，喜欢每天所做的工作
24267,UgylFFxjSQizSBSjFap4AaABAg,1,such a beautiful culture,如此美丽的文化
13147,UgwvATWx5I2gvmWG1614AaABAg,1,very beautiful,很漂亮
13099,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96oeVKLUIYG,1,i really like the view of the sky there is very beautiful,我真的很喜欢天空的景色
23311,Ugxg2LnTL7GJW_6Gzp54AaABAg.8zmGxNJR1f88zuAnF7jnuc,1,northeast india is very beautiful. i saw a series on northeast india on tv a few months ago. they have great food there.,印度东北部非常美丽。几个月前，我在电视上看到了印度东北部的一系列。他们那里有很棒的食物。
13088,UgyiKZB3wcmmesObtd54AaABAg,1,beautifull 'm from poland,Beautifull
27673,UgzPNRF5D538JGqvRyF4AaABAg,1,everything is beautiful but i don't see myself spending the whole daily preparing 1 meal.,一切都很漂亮，但我看不到自己每天都在准备一顿一顿饭。
13063,UgxVDqz-xQj3O33nFuR4AaABAg,1,what an amazing woman what a beautiful place and the food looks 5 star,多么神奇的女人是一个美丽的地方和食物看起来5星
11032,UgzbiQqF-Uvo6CHKisl4AaABAg,1,beautiful girl,美丽的女孩
26095,Ugzc6r5ZrDyKpST75wR4AaABAg,1,you are looking beautiful and i can feel the innocence in you through your video,你看起来很漂亮，我可以通过视频感受到你的纯真
23444,Ugx_H15LMvuDq5G8Fgt4AaABAg,1,heck that beautiful woman,那美丽的女人
13053,UgxhM-K2C6ST9VfVI6p4AaABAg,1,"the name is very beautiful, do you know you do a cabbage",这个名字很漂亮，你知道你做白菜吗
11134,UgzDP-ECepWYZ5ZHAgl4AaABAg,1,so beautiful! so glad to discover this amazing channel!,如此美丽！很高兴发现这个惊人的频道！
26173,Ugy5oq8txqP8mN2DwNx4AaABAg,1,beautiful mbk,美丽的MBK
27444,Ugyr4S2gTfg1X-DOU2V4AaABAg,1,beautiful ... everything ...,美丽...一切...
8478,UgwVGIutXNdC6-q1af94AaABAg,1,beautiful videos! beautiful life. thank you for sharing.,美丽的视频！美丽的生活。感谢你的分享。
14271,UgxmN9EvTa7NVIzTh0J4AaABAg,1,"you have very beautiful videos,)))",您有非常漂亮的视频，））））
1694,UgzQ1IqcnzFaXgVFwdJ4AaABAg,1,hello very beautiful everything k show,你好，非常漂亮的一切K节目
30603,UgxyK8dRQ-HFZpzsIIF4AaABAg,1,can i come visit maybe stay for ever so i can enjoy all of ur wonderful cooking and all the beautiful surroundings u have i absolutely love ur videos and all of ur knowledge thank u so much,我可以来拜访，也许永远留下来，这样我可以享受所有美好的烹饪，而所有美丽的环境，我绝对喜欢您的视频，所有您的知识都非常感谢您
30608,UgxJl6bJcUaYTSmOJzF4AaABAg,1,"the snail noodle snack made by liziqi is a special dish in liuzhou city, guangxi province. i think it is very spicy and hot. if you come to liuzhou（柳州） or guilin（桂林）, you must not miss it. 
the two beautiful tourist cities are next to each other.","利兹奇（Liziqi）制作的蜗牛面条小吃是广西省刘大市的特殊菜。我认为这很辛辣和热。如果您来到Liuzhou（（（或Guilin（（），您一定不要错过它。
两个美丽的旅游城市彼此相邻。"
18497,UgwI13ufZjbDEFs610x4AaABAg,1,i really want to ask how he posted youtube. isn't it impossible to get on a foreign website? what is the purpose of the shooter? where to live? what kind of life? beautiful china has been lost.,我很想问他的视频怎么发上YouTube的。不是上不了国外网站吗？ 拍摄的人的目的是？住哪里？怎么样的生活？美好的中国已经遗失。
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
33373,Ugx8Ea04GRnV30oipaJ4AaABAg,1,"udh beautiful, good at cooking",UDH美丽，擅长烹饪
6435,Ugyg4tTODJKJaNhi6QV4AaABAg,1,oh no..! what a beautiful nature.im only interested the natural beauty people living there.,不好了..！多么美丽的大自然。
33158,UgzhDUCtJTtYElDRRoh4AaABAg,1,"these videos relaxed me too much, i would love to live in such a place ... everything is very beautiful.",这些视频让我感到非常放松，我很想住在这样的地方……一切都很漂亮。
6419,UgytZsuN8-lduvNnuCR4AaABAg,1,"u very hard working girl, i like your vedio, u so beautiful, love from india ๐’๐ค—๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘๐‘",你很努力地工作女孩，我喜欢你的吠陀，你是如此美丽，来自印度的爱
18686,UgzJlBp_STDwsRbHQ7J4AaABAg,1,it's so beautiful ❤,真的太美好了❤
33112,UgwZpQJ-CUXYbLLq0K94AaABAg,1,it's amazing really beautiful cute girl assume videos ❤,真是太漂亮了可爱的女孩，假设视频❤
6315,Ugys4MbIoDhV7tOwtx94AaABAg,1,where is this place it's so beautiful its like fantasy,这个地方在哪里美丽，就像幻想
18742,UgxUA75zdBPFvGMnVtR4AaABAg,1,"what a beautiful life, thank you",好美的生活谢谢你
2230,Ugw96r-aaP5Cm_nHL9V4AaABAg,1,"i really feel that such a virtuous woman is the most beautiful scenery in the world. looking at your busy look makes people feel calm. i don’t necessarily see your video next time, so i wish you a happy happiness first",真心觉得，这么贤惠的女子才是人世间最美的风景了吧。看着你忙忙碌碌的样子让人感到心情很平静。下次不一定会看到你的视频，所以先祝你美满幸福
6200,UgxQtCPZb64DunuDvjF4AaABAg,1,"so beautiful โบโบโบ

she seems so soft but the truth is she is so strong inside and outside i loved this..","如此美丽☺☺☺

她看起来很柔软，但事实是她在内外都很坚强，我喜欢这个。"
21191,UgxcQQ-uhzu41hl0EON4AaABAg,1,you are very beautiful !!,你很漂亮！
21198,UgwPdZeCUsR0n7j4WZt4AaABAg,1,the pretty environment of the house is more beautiful,屋靓环境靓人更靓
6077,UgxIdaD15-hqslYiMSx4AaABAg,1,"god willing, a very beautiful video created.",上帝愿意，创建了一个非常美丽的视频。
2298,Ugze2gExmJf0rX62YRp4AaABAg,1,"it seems an easy life but it is not in spain in many villages and villages that you lived with firewood and ate the harvest as my grandparents told me, life was very difficult and lasts both women and men with 40 years seemed old to work and living from the field this are actors and it seems so beautiful and easy but the real life of the peasant is totally everything counter",这似乎是一种轻松的生活，但在许多村庄和村庄中都不是在西班牙，您住在柴火中，并在我的祖父母告诉我的那样，吃了收获，生活非常艰难，持续了40岁的男人和男人，似乎都在工作和生活。从田野里，这是演员，看起来如此美丽和容易，但是农民的现实生活完全是一切反击
20046,Ugy6kc_P-tB_dRWnZdF4AaABAg,1,beautiful lady with a beautiful nature and,美丽的女士，具有美丽的自然和
30584,Ugz7R1O1D9Qrb7whI9x4AaABAg,1,beautiful place l loved,美丽的地方我爱
20226,UgzNWHNRZISiwNXtOCR4AaABAg,1,"☀️amazing very amazing but beautiful work... very nice video.
weldone good job. best of luck☀️","☀quingamiging非常令人惊奇，但很漂亮的作品...非常不错的视频。
Weldone好。最好的buck☀️"
18461,UgyVx39Os7odM1IsKuh4AaABAg,1,"beautiful bamboo forest, i love china",美丽的竹林，我爱中国
18179,UgwOstIFAW54bNTZSMh4AaABAg,1,"great, very beautiful your village.",太好了，非常美丽的村庄。
22053,UgxYt_jpGJvEKAUOAn94AaABAg,1,what a beautiful and skillful girl! she is just lovely!,多么美丽而熟练的女孩！她只是可爱！
22037,Ugw_ALxoZxltfzN_pUR4AaABAg,1,"thanks for video amazing, relax music.... and the beautiful girls very nice job",感谢您的视频令人惊叹，放松音乐....和美丽的女孩非常出色的工作
33948,Ugz2rCI3AFgdrpUzAg14AaABAg,1,your so amazing and beautiful inside and out. ❤,您的内在和外面如此神奇和美丽。 ❤
1617,UgyWqUAIjJQzXUjGRNt4AaABAg,1,where in china are you? so beautiful!,你在中国哪里？如此美丽！
1667,UgzU9BXvsELcPiskvHF4AaABAg,1,"it’s very beautiful to look, but i couldn’t eat, horror how it is possible to eat all fuu.",看起来很漂亮，但是我无法吃饭，恐怖如何吃所有的fuu。
7238,UgyDCLRsWPigz9c0YK14AaABAg,1,the most beautiful of what the eye sees with amazing honesty,眼睛最美丽的诚实看到的东西
19435,Ugxo3WCd5Y7ddp8BxV94AaABAg,1,"the video is so beautiful, learn from you",视频是如此美丽，向您学习
18370,Ugy5JHwW3ddYXGBFrGV4AaABAg,1,life is beautiful!,生活是美好的！
7028,Ugzgxg6MI2PJ73OCmZR4AaABAg,1,omg beautiful place ๐ญโฅ๏ธ,OMG美丽的地方
30183,UgySXhnUnepUVa8ggxF4AaABAg,1,think it's a tv production. the videos are shot so beautifully.,认为这是电视制作。视频拍摄得如此精美。
6923,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9F9iSDJuJtS,1,@milkknife you are thee perfect example of a person who hates life in general and hates themselves and takes it out on others. it's sad you're this way life is too beautiful and you haven't even discovered 1% of all the things to experience within it. hope you find some light in your life.,@milkknife，您是一个人的完美典范，他讨厌生活并讨厌自己并将其带到他人身上。这是可悲的，您的生活太美了，您甚至还没有发现其中有1％的人体验。希望您在生活中找到一些光明。
1797,Ugy_CrH3Fqv3LDPDtAd4AaABAg,1,so beautiful,如此美丽
6888,UgzPPVRsURp_TKXDRg14AaABAg,1,"the food looks great. she and her grandmother seem to have a beautiful life.
just remember, no criticizing the government, and don't be a uyghur, or it all goes away, and so do you.","食物看起来很棒。她和她的祖母似乎过着美好的生活。
请记住，没有批评政府，也不要成为一个Uyghur，否则一切都消失了，您也是如此。"
33597,UgynG2mw9UAokTtIspN4AaABAg,1,"love her life style, it’s a beautiful life to leave with natural, forest",喜欢她的生活方式，这是一段美好的生活
1884,UgxILF7hSbWC41RnV2V4AaABAg,1,beautiful natural resources vedios,美丽的自然资源Vedios
6805,Ugx3-0hbt0QZY10n_G14AaABAg,1,"very beautiful ๐
so miss the village atmosphere. pandemic period makes it difficult for me to go home.
gbu","非常漂亮
所以想念乡村气氛。大流行时期使我很难回家。
gbu"
5978,UgyA3frxw1HoNw0rtZt4AaABAg,1,i love that girl and place.. i hope someday i can leaving in beautiful place like be there ๐,我爱那个女孩和地方..我希望有一天我可以离开像在那里的美丽地方
21238,UgyMxVRrBQ-ZB43UCU94AaABAg,1,"wow, you're making beautiful and you deserve the support of 
music + photography + place 
✔️♥️","哇，你变得美丽，你应该得到
音乐 +摄影 +地方
✔️♥谢"
5722,UgwLuaRc1a2gBVVvB3F4AaABAg,1,"delicious food, beautiful people",美味的食物，美丽的人
5702,Ugw1DdxA_9LkG-phyZ14AaABAg,1,"many people now like li ziyi's videos, and even raise them to the level of cultural output. i oppose this approach. although i also like her videos, i think that excessive praise is to kill. her team needs to work hard on video creation, instead of rushing to bring goods. many of the products of li ziyi brand on the market now have nothing to do with her videos. they are processed by foundries. many people who do not know will definitely not buy it again. then her business model can only be just only stay on a gimmick. the advantage of the li ziyi team is that the video shows the beauty of the american rural life in a beautiful way. there are many places that can be deeply excavated in such the subject matter. putting energy on it will make them go further.",现在有很多人喜欢李子柒的视频，甚至将其抬高到了文化输出的层次，我反对这样的做法。我本人虽然也很喜欢她的视频，但我认为过度赞誉就是捧杀，她的团队需要进一步在视频创作上去努力，而不是急着去带货。现在市面上很多李子柒品牌的商品，其实和她的视频没有什么关系，都是代工厂加工的，很多不知道的人购买后肯定不会再次购买了，那么她的商业模式也就只能仅仅停留在一个噱头上。李子柒团队的优势在于视频以一种唯美的方式展示了中国乡村生活中美的一面，这样的题材还有很多可以深度挖掘的地方，把精力放在这上面会让她们走得更远。
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
19648,UgxWRHprZAd3eyLsEf54AaABAg,1,"you have to be a master cheef! just watching your beautiful video, your doing, i wanna go there to taste all your dishes!",您必须成为大师！只需观看您美丽的视频，您的工作，我想去那里品尝所有菜肴！
32357,UgxOGtePHOAQeCnXKJZ4AaABAg,1,i can only say: extraordinary. beautiful. thanks,我只能说：非凡。美丽的。谢谢
4162,UgzETZHZk4n2fRAa1yF4AaABAg,1,"beautiful meal dish,",美丽的餐菜，
3160,Ugxn2arQSWWifAHQTNR4AaABAg,1,so beautiful,如此美丽
4103,UgxFviCpHxfUO2ibY614AaABAg,1,beautiful,美丽
19393,UgygYJ-UKI8MgPfQ3dh4AaABAg,1,"not only are your videos interesting but beautifuly done, it's a pleasure to learn your culture with such good videos. thank you very much for that.",您的视频不仅有趣，而且完成了精美的效果，而且很高兴通过如此好的视频来学习您的文化。非常感谢你。
3992,UgxqILhVtRJauHphexB4AaABAg,1,i love your cooking.awesome cook.love the beauty of the country side.so beautiful.,我喜欢你的烹饪。
31993,UgwG9JuJixJY-Q0cN3R4AaABAg,1,"so beautiful, i mean the scenery and you",好美呀 我是说风景和你
21540,UgyvN1vtKQL5L9O2AiZ4AaABAg,1,beautiful girl.,美丽的女孩。
3817,UgwHR87aHIp-Y2mOES94AaABAg,1,"to the forest is beautiful, god",在森林里，上帝是美丽的
3782,Ugz-LT57TD2CvdSMxE14AaABAg,1,if my wife was as beautiful and smart,如果我的妻子像美丽而聪明
3770,Ugz-ANjwm3xSWTjwQN54AaABAg,1,beautiful,美丽的女孩
3675,Ugzxsjkop7XgB8gCakt4AaABAg,1,i like ying jin. i want to go there. the atmosphere is very beautiful.,我喜欢Ying Jin。我想去那边。气氛非常美丽。
19410,UgwcLBN5tJzKDmfUgD54AaABAg,1,the short film is very beautiful 非常️,短片拍的非常的漂亮☺️
32182,UgxAdovHWVT23RTo0s94AaABAg,1,you are staying here. you are places sooo beautiful nature,你住在这里。你是如此美丽的自然
19416,UgxvkpmcLQn3adAaaQJ4AaABAg,1,how beautiful! poetic!,多么美丽！诗意！
4730,UgxrnUMTCY8ZyKlIRMF4AaABAg,1,"a beautiful person, a beautiful life!",很美的人，很美的生活！
31665,Ugz17LPrqo_sOWMYo-J4AaABAg,1,why can you be so beautiful? i cracked,你为什么可以这么美？我裂开来
31653,UgwzeKSGTo4CDpbtbYh4AaABAg,1,"ziyi's cuisine video is my spiritual food, beautiful feast, enjoy ~",子柒的料理视频是我的精神粮食，美的飨宴，享受啊～
31408,UgzEZ3xDmGzUz46CcxB4AaABAg,1,"it's already beautiful, smart chef, greetings from indonesia",已经很漂亮，聪明的厨师，来自印度尼西亚的问候
5553,UgzkE6bMQVyAbMdmu6N4AaABAg,1,"people : her life is so beautiful
cameraman following her everywhere : neat
woman : neat
cameraman : wat ?
woman : wat ?


edit : if you can understand this joke you are ready for an episode of rick&morty","人：她的生活是如此美丽
摄影师在任何地方都跟随她：整洁
女人：整洁
摄影师：WAT？
女人：沃特？


编辑：如果您能理解这个笑话，您已经准备好参加Rick＆Morty的情节"
32857,Ugz9RRyVXLbE4zD5aax4AaABAg,1,"beautiful, talented and hard working.... somehow feel a bit sad for her. she deserves a loving man and have some little sunshines.",美丽，才华横溢且努力工作。...不知何故为她感到难过。她应该得到一个充满爱心的人，并有一些阳光。
31278,UgxtxJ_Jv4sjcyC0WW14AaABAg,1,beautiful.,美丽的。
31295,UgwZiFhuNV96fDiuBbF4AaABAg,1,lizigi beautiful,利兹吉美丽
5387,UgyrtJFc4TS5MjFNy0l4AaABAg,1,damn she is beautiful!,该死的她很漂亮！
19104,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392gcQkQVj2H,1,"@chicagodaisyflower china is a beautiful, diverse and vibrant country^ ^ especially the southern part such as shanghai, zhejiang, jiangsu and sichuan. people are very kind and considerate, they are genuinely inclusive and open. if you plan to travel in future i'd strongly recommend starting from shanghai and then go to zhejiang and sichuan--amazing scenery, city vibe and numerous cuisines~",@chicagodaisyflower中国是一个美丽，多元化和充满活力的国家 ^ ^，尤其是南部，例如上海，Zhejiang，Jiangsu和Sichuan。人们非常友善和体贴，他们真正具有包容性和开放性。如果您打算将来旅行，我强烈建议您从上海开始，然后前往Zhejiang和Sichuan - 令人惊奇的风景，城市氛围和许多美食〜
5369,UgzOl8eMHVeSXpNguct4AaABAg,1,beautiful nice,美丽漂亮
2418,UgyaSkVPYG2jdHmoXW54AaABAg,1,so beautiful,如此美丽
2941,UgxorLakSTaEU8SKRth4AaABAg,1,from indonesia is here to watch this beautiful sister uwu,来自印度尼西亚来观看这个美丽的姐姐Uwu
32841,UgwkLdktsVOKoQbPE994AaABAg,1,"you are just beautiful, inside and outside! ❤❤❤",你只是美丽的，内外！ ❤❤❤
2487,Ugw43SfV9af0GCGMDk14AaABAg,1,chinese rural areas are very beautiful,中国农村地区非常美丽
32728,Ugxe5mWOvV5i7jL2gD14AaABAg.8yUnqe6UC_Y8yVD4s6KaN0,1,asiaverity tv they say on the phase 3 of death you end up in a beautiful garden,他们在死亡的第三阶段说，亚洲电视你最终进入了一个美丽的花园
2802,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpqwEB2i2N,1,"@edwardwongliupepelutivrusk1262 you just said liziqi shows her mountain life ""in a beautiful way"". what else were you implying other than in real life life in the mountains is unattractive??? the problem is people come in the comments to appreciate her hard work, manual labor and the beauty of bein so close to nature but yall just looooove to go ahead and treat em like they're dumb saying ""that's fake"" we cant even appreciate her vlogs in peace without politically correct people like you coming in damn",@Edwardwongliupepelutivrusk1262您刚刚说Liziqi“以美丽的方式展示了她的山生活”。除了在山区的现实生活中，您还暗示什么是没有吸引力的？？？问题是人们会在评论中欣赏她的辛勤工作，体力劳动和Bein的美丽，但是你们只是loo looove继续前进，对待他们愚蠢地说“那是假的”，我们甚至不能欣赏她像你这样的政治上正确的人和平的视频博客，像你那样
19192,UgzNwJk0AjeUjecONQ14AaABAg,1,this video was sooo relaxing but i'm not gonna lie i stood to the end because man she was soo beautiful,这个视频很轻松，但我不会撒谎，我站在最后，因为她真漂亮
4910,UgzNuUAyL2rYZNYDwq94AaABAg,1,beautiful,美丽的
19722,Ugx6uoOriGmKkBrHT_94AaABAg,1,"beautiful rural atmosphere ..
vegetables, long beans, egg sauce ... suitable hahaha","美丽的乡村气氛..
蔬菜，长豆，蛋酱...合适的哈哈哈"
30025,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yhgGFF5LYp,1,"oh hell no i wonder where your from????flies and poo all over ahahahah i guess you are forgetting that everywhere in the damn world has poo and flies i guess you never ever heard of landfills't have any where i was from when we went to america they told me if i don't eat i might die. your one of those people who look at people and judge them i guess your forgetting that this isn't the 1900 and black people are free and not in chains you always think white people are ""beautiful"" im not saying they aren't but at least ""black don't crack"" im guessing your race is either asian or caucasian",哦，我想知道你来自哪里？？？国家您应该打开书/计算机，并了解您在说什么。首先，你不知道非洲去什么我在非洲生活，我的弟弟非常接近垂死的原因，没有食物不好的生活状况，我从不在非洲吃过豆子我们去了美国，他们告诉我，如果我不吃我可能会死。您一个看着人并判断他们的人中的一个我想您忘记了这不是1900年，黑人是自由的，而不是在链条中，您总是认为白人是“美丽的”，我不是在说他们不是在至少“黑色不要破解”我猜想你的比赛是亚洲人还是高加索人
21491,UgwlbhbCGwZteWrCv414AaABAg,1,look i live in brazil and watch all your videos and love what you do is beautiful !!!!!,看，我住在巴西，观看您的所有视频，热爱您所做的事情很漂亮！
8547,Ugw_N_k_uvso7XdYLUN4AaABAg,1,i listen that chinese eat insect and even dogs too but she have a dog as a pet so cute and the village is beautifullโค,我也听中国人也吃昆虫，甚至还有狗，但她有一只狗，就像宠物一样可爱，村庄很漂亮
8300,Ugw6BYx0oQENbWkcWUJ4AaABAg.9Bgrr8tCDN89Bl-p0zkseG,1,"i think she likes her lifestyle, and he is beautiful !!!",我认为她喜欢她的生活方式，他很漂亮！！！
22240,UgyLG5nQ2AFBNmJiovZ4AaABAg,1,beautiful ... remember when childhood all no one bought ... the only one who bought salt with micin,美丽...请记住，童年时代所有人都没有买...唯一一个用粉红色购买盐的人
10,UgygwyYbZIMBKh9QzxZ4AaABAg,1,ziyi is really a movie that is not only beautiful and more talented and versatile.,子柒真的是前无古人后无来者不但人美又多才多艺 看子柒的影片能使人愉悦放松心情 感觉与世无争 在世外桃源做着自己喜欢的事物这样的人生足矣❤❤❤
176,UgwUyZDViIPhFUe4LzV4AaABAg,1,"the more i watch your liziqui videos the more i would have liked to come to your country, in your region so beautiful and above all you meet and meet your grandmother she looks like my deceased mom
unfortunately it is only a dream because i will never have the opportunity to make such a good trip in your regions
i will continue to watch your videos thank you for the courage you send","我观看您的Liziqui视频的越多，我希望来到您所在的国家，在您的地区如此美丽，最重要的是，您看起来像我已故妈妈一样
不幸的是，这只是一个梦，因为我永远不会有机会在您的地区进行如此良好的旅行
我将继续观看您的视频，谢谢您的勇气"
184,UgyD7Fx312MGle7nB1B4AaABAg,1,"good afternoon, miss liziqi you are very beautiful, i can't see your video because i have my mommy, just as you attend your grandmother,",下午好，利兹奇小姐你很漂亮，我看不到你的视频，因为我有妈妈，就像你参加祖母一样，
