,cid,votes,含heaven,含heaven中文翻译
32817,UgxdTWXq3OBazhmVI9J4AaABAg,1,"all the supplications in the qurโ€an are also salary according to the arrangement of the honorable press. make it ongoing charity*

1- our lord accepts us that you are the hearing of the knowledge, and we have the right to the mercy.

2- our lord came to us in the world, and in the other, we are good, and we were tormented by the fire.

3- our lord, we have been patient, and we have proven to us and supported us on the infidels.

4- our lord, do not take us if we forget or sin, our lord, and do not carry us as an insignificant as you carried it over those before us.

5- our lord, and do not carry what we have no energy, and forgive us, and we forgive us, and may you be our money, and we will be pleased with the infidels.

6- our lord, we do not have our hearts after our gossip, and we are gave to us, with the mercy of you, you are the ghosts.

7- our lord, you are the people of the people for a day that there is no doubt that god does not leave the good.

8- our lord, we believed, so we forgive us, our sins, and we are the torment of the light.

9- rabbi, i have a good atmosphere, you will hear the supplication.

10- our lord, we believed in what i went down and followed the messenger, so we wrote with the two testimonies.

11- our lord forgive us, our sins, and our secrets in our matter, and we have proven our feet and supported us on the infidels.

12- our lord, as long as you created this, we have lost the torment of the fire.

13- our lord, you are the one who entered the fire, as you have been treacherous, and for those who are supporters.

14- our lord, that we have heard a call that calls for the days that they believe in your lord, our lord, our lord, forgive us, our sins, and disbelieve us, our misfortunes, and we will fulfill the righteous.

15- our lord has come to us and our promises to your messenger and do not store the day of the resurrection. you do not leave the customer.

16- our lord was brought out of this free village.

17- our lord, our souls, we have not forgiven us, and we have mercy on us.

18- our lord opens between us and our people in truth and you are the best of the sides

19- our lord, we have been patient, and we have fulfilled muslims.

20- our lord does not make us a fatwa for the people of the people, and we escaped from the infidels.

21- rabbi, i will seek you to ask you for what i do not have knowledge, and only forgive me, and may god bless me.

22- rabbi, you are the first of me in the world, and the other one will give me a muslim and my injecting is good.

23- our lord, you know what we hide, and what we declare, and what is hidden from god in the land, or in the heavens.

24- rabbi make me the place of prayer and from my atom, our lord, and accept a supplication, our lord, forgive me and the parent

25- rabbi enter me with a honesty, and i will be shocked by a shock, and make me from you.

26- our lord came to you from your soul, and we have a gift from us.

27- rabbi explain to me my chest, and i am pleased with my matter, and i will analyze a contract from sani who understand my saying, lord of my knowledge.

28- there is only god, but you are your grace that i was one of the oppressors.

29- rabbi, do not infer me, and you are the best of the two.

30- i am the harmful one and you are the most merciful.

31- the lord of mubbar, you are the best of the home.

32- rabbi, i will see you from the thunderbolts, and i will seek your lord to attend.

33- our lord, our safe, forgive us, and may you be merciful.

34- our lord, we have been tormented by the torment of its torture, that it was overwhelmed, as it was stable and stable.

35- our lord, we gave us from our grooves and our warnings, and we made us to the righteous in front.

2- others and make me from the heirs of the inauguration of the soul, and do not store me a day they send a day that does not benefit the money, and if only the one who will come to god with a sound heart.

37- lord of najji and my family from what they are doing.

38- rabbi, give me to thank you, which i have been blessed with my parents, and that i work as good as you satisfy it, and enter me with your mercy in your good worship.

39- lord, i wronged myself, forgive me, lord, i will support me, the people.

40- our lord expanded everything, and when he was forgiven to those who repented, they followed your way and their torture of hell

41- our lord and entered them with the ages of the one who are their promises and who reconciled their fathers and their grooves and their warning his merciful, and this is the greatest.

42- our lord revealed the torment that i am believers.

43.

44- our lord forgive us and our brothers who preceded us with faith and do not make in our hearts to the one who are in.

45- our lord, you see a mercy, may god bless you, and you, our prophet, and you, the destiny, our lord does not make us a girl to those who disbelieved, and forgive us, our lord, you are the dear, the government.

46- our lord, we are blessed with us, and we forgive us, that you are very rare.

47- rabbi, do not be at the ground from the infidels, you will be attempted to mislead your worship, and they will only be born with disbelief.

48- the lord of my father, and whoever enters our believer and the believers and the believers and does not increase the oppressors except to be confused.

the one who will know the supplications is because of you, ""you will be surprised, god willing, on the day of the mountains of good deeds ... and the world in the waterfall of the values โ€โ€that are fulfilled ... god willing.
.
and call on god, god bless you","《古兰经》中的所有恳求也根据荣誉新闻的安排而薪水。使其持续慈善机构*

1-我们的主接受您是您的知识听证会，我们有权享有怜悯。

2-我们的主来到世界上，另一方面，我们很好，我们被大火折磨。

3-我们的主，我们一直耐心，我们已经证明了我们并支持我们的异教徒。

4-我们的主，如果我们忘记或犯罪，我们的主，不要带我们去，不要像您将其携带到我们面前的那些人一样无关紧要。

5-我们的主，不要携带我们没有精力的东西，原谅我们，我们原谅我们，也许您是我们的钱，我们会对异教徒感到满意。

6-我们的主，我们在八卦之后没有我们的心，而我们被您的怜悯赐给了我们，您就是鬼魂。

7-我们的主，你是人民的人民，毫无疑问，上帝不会留下善。

8-我们的主，我们相信，所以我们原谅了我们，我们的罪，我们是光的折磨。

9-拉比，我的气氛很好，您会听到恳求。

10-我们的主，我们相信我走了下来并跟随Messenger，所以我们写了两个证词。

11-我们的主原谅我们，我们的罪过和我们的秘密，我们证明了我们的脚，并在异教徒身上支持我们。

12-我们的主，只要您创造了这一点，我们就失去了火灾的折磨。

13-我们的主，您是您一直在危险的人，也是那些是支持者的人。

14-我们的主，我们听到了一个呼吁，呼吁他们相信您的主，我们的主，我们的主，原谅我们，我们的罪过，不相信我们，我们的不幸，我们将实现义人。

15-我们的主来找我们和我们的信使的承诺，不存储复活的日子。您不会离开客户。

16-我们的主被带出这个自由的村庄。

17-我们的主，我们的灵魂，我们没有原谅我们，我们对我们有怜悯。

18-我们的主在我们和我们的人民之间以真理开放，而您是最好的一方

19-我们的主，我们已经耐心了，我们已经实现了穆斯林。

20-我们的主不会使我们成为人民的胖子，我们从异教徒逃脱了。

21-拉比，我会寻求您向您询问我没有知识，只原谅我，愿上帝保佑我。

22-拉比，你是我第一个世界上的第一个，另一个人会给我一个穆斯林，我的注射很好。

23-我们的主，你知道我们隐藏了什么，我们宣告了什么，以及在土地上或天堂中隐藏的是什么。

24-拉比使我成为祈祷的地方，并从我的原子，我们的主那里接受恳求，我们的主，原谅我和父母

25-拉比诚实地进入我，我会震惊的是，让我感到震惊。

26-我们的主从你的灵魂来到你身边，我们得到了我们的礼物。

27-拉比向我解释了我的胸部，我对我的事情感到满意，我将分析萨尼的合同，他理解我的意思，我的知识。

28-只有上帝，但是你是你的恩典，我是压迫者之一。

29-拉比，不要推断我，你是两者中最好的。

30-我是有害的人，你是最仁慈的。

31-穆巴尔之王，你是家中最好的。

32-拉比，我会从雷电上见到你，我会寻求你的主参加。

33-我们的主，我们的安全，原谅我们，愿你仁慈。

34-我们的主，我们因其酷刑的折磨而遭受了折磨，因为它是稳定且稳定的，因为它不知所措。

35-我们的主，我们从凹槽和警告中给了我们，我们把我们带到了前面的义人。

2-其他人，让我从灵魂就职典礼的继承人中学到我，不要将我存放一天，他们寄来的一天，这不会使金钱受益，如果只有那些愿意以声音的心来到上帝的人。

37-纳吉勋爵和我的家人从他们的工作中。

38-拉比，请感谢我，我对父母很幸运，我的工作和您满意的一样好，并在您的良好崇拜中怜悯我。

39-主，我委屈自己，原谅我，主，我会支持我，人民。

40-我们的主扩大了一切，当他被宽恕的人宽恕那些悔改的人时，他们跟随你的路和对地狱的折磨

41-我们的主与他们的年龄成为他们的诺言，和解父亲，凹槽和警告他仁慈的人的年龄，这是最伟大的。

42-我们的主透露了我信徒的折磨。

43。

44-我们的主原谅了我们和我们的兄弟，他们以信仰为先于我们的兄弟，并不是在我们的心中向所在的人做。

45-我们的主，你看到怜悯，愿上帝保佑你，你，我们，我们的先知，你，命运，我们的主不让我们成为那些不相信的人，原谅我们，我们的主，你是亲爱的，政府。

46-我们的主，我们很幸运，我们原谅您，您非常罕见。

47-拉比，不要从异教徒那里站在地面上，您将试图误导您的崇拜，而它们只会出生于怀疑。

48-我父亲的主，以及谁进入我们的信徒，信徒和信徒，除了感到困惑之外，没有增加压迫者。

一个会知道恳求的人是因为你，“在善行的山上，你会感到惊讶，上帝愿意……以及所实现的价值观的瀑布中的世界...天意。
。
并呼唤上帝，上帝保佑你"
21098,Ugz_FM-kFgYd73HGEIN4AaABAg,1,it's look like heaven,看起来像天堂
33732,UgzeByKaT6aj8RBJo094AaABAg,0,yet me makes my brother a cheese sandwich & thinking i'm going to heaven,但是我让我的兄弟是奶酪三明治，以为我要去天堂
39663,UgyDxd0v56avdUmHeZB4AaABAg,0,"this place is like heaven๐i love it 
i miss my grandma now๐","这个地方就像天堂
我现在想念我的祖母"
39519,UgwXpOuQGogFWXawmwx4AaABAg,0,"so,,,,,are in heaven? this was weird",那么，在天堂吗？这很奇怪
39603,Ugz6C7nIWilAizSi1vF4AaABAg,0,this place is a heaven,这个地方是天堂
33428,Ugw_BMGOpwEA5HjYqIx4AaABAg,0,does this girl live in actual literal heaven?,这个女孩生活在真实的天堂中吗？
34254,UgyHwWV9WvUlLYD6_ul4AaABAg,0,when i die and go to heaven...this will be my life. except i will have my husband with me...in addition to my grandma : ),当我死去去天堂时...这将是我的生活。除了我会和我的丈夫在一起...除了我的祖母:)
39747,Ugz6xM-7a4l6NmLdCX14AaABAg,0,"every time i see her make fresh food, i practically have smell-a-vision and my eyes make my stomach ravenously hungry! 
groan! 
this is heaven to live like this!","每当我看到她做新鲜食物时，我几乎都会闻起来，我的眼睛使我的肚子狂热地饿了！
呻吟！
这是这样的天堂！"
39408,UgxBxSV1X1hohvezKHN4AaABAg,0,heaven๐๐๐,天堂
33492,Ugzu2h_E7vP-vCbCa3R4AaABAg,0,absolutely heavenly. one day i wish to visit this place. thank you so much for sharing this amazing video and creating videos to be shared. so beautiful. not seen any thing like this.,绝对天堂。有一天，我想去这个地方。非常感谢您分享这个令人惊叹的视频并创建要分享的视频。如此美丽。没有看到这样的事情。
36662,UgxpQeLxx0Hs2MOuYKB4AaABAg,0,she lives in heaven,她住在天堂
39294,UgwpA6ZhIbOof6eq53d4AaABAg,0,omg like she is an angle and the place looks like heaven. sunflower seeds i love kuaci my all time favourite. and the way she cook was so simple and easy. i always wonder how they dry the mango now i know. thanks for sharing this wonderful video.,天哪，她是一个角度，这个地方看起来像天堂。葵花籽我爱kuaci我一直以来最喜欢的。她做饭的方式是如此简单和简单。我总是想知道他们现在知道它们如何干燥芒果。感谢您分享这个精彩的视频。
34311,UgxCA60bgjFUCZptrON4AaABAg,0,the harvest are so bountiful ๐ it's like god dropped a single heavenly water on that land,收获是如此丰富
36580,Ugy0n-crtG0bMxDacTV4AaABAg,0,us the camera they used to shoot this video from heaven??! wow!,我们用来从天堂拍摄此视频的相机？哇！
37171,UgxOHBjl8U1Dox7y2Il4AaABAg,0,live in the same time he is like heaven to eat really,住在同一时间他就像天堂真的要吃
37206,UgyIkoJhQTvOAUdn9k54AaABAg,0,o my gosh! at first i thought it's a scene from any heavenly movie โค... it was mesmerizing โค..she....the place...the background music..the puppies...the sheep...the foods she made....each and everything was sooooooo beautiful and peaceful... heavenly....o my gosh! i wish the whole world was like thisโคโคโคโคโคโค,我的天啊！起初，我以为这是任何天上电影的场景...令人着迷❤..她..... ....每件事都很美丽与宁静...天堂般的....哦，天哪！我希望整个世界都像这个
37209,Ugx2pSHQGgLS9QkSSjN4AaABAg,0,sheโ€s like living in heaven,她就像住在天堂
37215,UgzdqHMrPOAZWpfyofF4AaABAg,0,so beautiful life pure organic..... it's heaven on earth dear nature bless u........,如此美丽的生活纯净的有机.....这是地球上的天堂亲爱的自然祝福你........
37250,UgzYiUqCnmwULIyNW7Z4AaABAg,0,this place is heaven thegirl isprinces from south india tamilnadu,这个地方是来自南印度泰米尔纳德邦的天堂
36462,UgzD-j-kdAMSLQgr1Ep4AaABAg,0,don't get me wrong but hey if i would ever dream of a woman from heavens it would be like you <3,不要误会我的意思，但是嘿，如果我梦想着一个来自天堂的女人，那就像你<3
37368,UgwegZMXY3Qsm3NKrjJ4AaABAg,0,"may god bless us with heaven, lord",愿上帝保佑我们天上，主
36457,UgwjTL0Z91ZG03Ig7pB4AaABAg,0,is this heaven?,这是天堂吗？
37643,UgzhBz0qBH4z2C4sKl94AaABAg,0,she lives in heaven,她住在天堂
36253,Ugy9eovKVSDEfcoMPPp4AaABAg,0,i'm speechless. the heavens on earth are truly exist,我无语了。地球上的天堂确实存在
35769,UgyFqBPeCy6uTrndVDx4AaABAg,0,what kinda heaven is she living at?,她住在什么样的天堂？
35721,UgzqlV1PK-3HuBlqK5t4AaABAg,0,is this heaven or earth?,这是天地还是大地？
34803,Ugw6DrMFiIS2pbJh-Pl4AaABAg,0,heaven ๐ so peacefully,天堂
37904,UgwXoxsdDQQNmOlthDh4AaABAg,0,heavenly life probably but also we need to put effort in daily basis in order to obtain a greatful meal or decoration for the house i love this women ๐ and his history behind ...,天上的生活可能，但我们也需要每天付出努力，以便为房子买一顿美好的饭菜或装饰，我爱这个女人
38331,UgyCkqyk1v-ZGdUAUYp4AaABAg,0,the whole thing looks like heaven on earth,整个事物看起来像地球上的天堂
38379,UgyaNN79ISL4d6kqsy94AaABAg.8tZiJFh8-m08tZiLcDI50D,0,heaven,天堂
38463,Ugz43Q-bjpbOzDndlM54AaABAg,0,heavens,天
34705,UgyVDjRBR3KDleqoZNp4AaABAg,0,where is she?....in heaven!?,她在哪里？....在天堂！
38621,UgzEngF8bSoqiB7J76Z4AaABAg,0,"my god in heaven, she makes me hunger for witch i've never seen ...",我的上帝在天堂，让我渴望我从未见过的巫婆...
38732,UgzWtCeVGKQVz-TsL-N4AaABAg,0,"where is this, heaven?",这在哪里，天堂？
38894,Ugzb6lj04x01Sp60i-N4AaABAg,0,which place is dis..i wnt to go der....feel like a heaven....and the gurl is angel....nys....awsum......,哪个地方是..我要去....感觉像天堂。。。
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
39031,UgzGCgIxycXwymKm8wh4AaABAg,0,there is a little piece of heaven here on earth and this angel lives there...,地球上有一小块天堂，这个天使住在那里...
34636,Ugy8Pu6RiCuRDq-ajed4AaABAg,0,he lives in heaven and very resourceful,他住在天堂，很足智多谋
34341,UgwmP-p1mNSYnK0jDul4AaABAg,0,"were the fuck do you live, heaven?????",你他妈的你住吗，天堂？？？？
39261,Ugxsj-KgwRHX1mMRWF54AaABAg,0,"at night in a cold & dark room with brezeey air from windows you should sit & watch this video, that the real heaven",晚上，在一个寒冷的黑暗房间里，窗户上有布雷齐的空气
37772,Ugxk3rl099zawq8POaJ4AaABAg,0,"where to find such a woman, i really want one ... can i help me from heaven? i am a dwarf in life ...",这样的女人要哪里找，好想要一个呀…上天能帮帮我吗？我是生活上的侏儒…
41893,Ugyt5TM9AnDUEQ5aMAt4AaABAg,0,are u living in heaven??????,你住在天堂吗？
40125,UgyPVeFLy_ekaGiF-Wp4AaABAg,0,"u live in heaven, love it",你住在天堂，爱它
45802,UgxyF6EtxppIRP5tSul4AaABAg.8r-zcZtw6-O8rAd1zoXaHb,0,"this depends on whether you want to live in heaven, if you want, then you are already here",这得取决于你是否想活在天堂，如果想，那么你已经在了
47576,UgyEX3cU-VvRjJertpZ4AaABAg,0,i've so much respect for this kind of life. hard but heavenly,我非常尊重这种生活。艰难但天堂
47528,UgzGhcAzUNawsdiVQdJ4AaABAg,0,she lives in a heaven,她住在天堂
47348,UgzThhnDw67UC7y6D3J4AaABAg,0,"a lamb, two puppies, a big girl with a thief and a thief ~~~ emma, ​​isn't i already in heaven? intersection intersection intersection intersection intersection",一只小羊，两只小狗，一个贼俊贼俊的大闺女~~~艾玛，我莫不是已经身在天堂？？？！！！
46868,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28qyUVbEmv8N,0,"if i was you i’ll go back to my beautiful village as soon as i finish school, your village is heaven!!",如果我是你，我一完成上学后就回到我美丽的村庄，你的村庄就是天堂！
46765,UgzFy-LMiUze6y7ZOOd4AaABAg,0,is this heaven?,这是天堂吗？
46431,UgyfXjbxNlk2-28a6bl4AaABAg.8qu7gt3RNSB8r3IQIvyrGg,0,@tmmedia9600 thank you. i didn't and it left so great. i am sorry to hear about your loss. may she be placed in the highest place in heaven. ameen!,@tmmedia9600谢谢。我没有，它剩下很棒。很遗憾得知您的损失。愿她被安置在天堂的最高位置。艾恩！
45777,Ugwejixt1oOflWEPf-x4AaABAg,0,"what the hell is this place?? .... 
oh ,wait a minute..
is that heaven ?? ......dp...","这个地方到底是什么？ ...
哦，等一下。
那是天堂吗？ ...... DP ..."
47844,Ugwqtkn9bndG1iKlSRx4AaABAg,0,like as heaven,像天堂一样
45709,UgzWBktHHI-o2EG1x7J4AaABAg,0,here is heaven...,这是天堂...
45685,UgzBiFWpGC1x8hxawJh4AaABAg,0,oh my god.. its heaven,哦，我的上帝..它的天堂
45274,UgwU52AHSnlXw2xK1tx4AaABAg,0,"i feel like i'm in heaven! what a piece of work! dear, congratulations! u are amazing. greetings from brazil!",我觉得我在天堂！多么的工作！亲爱的，恭喜！你很棒。来自巴西的问候！
45273,UgxV-m46seCCpsUJKYB4AaABAg,0,"i love this place, i love this lady and her land.. sheep , dogs and all ..please don't ever change and let the so called civilized world in. this is truly the other side of heaven ❤️",我喜欢这个地方，我爱这个女士和她的土地。.绵羊，狗和所有人。请不要改变，让所谓的文明世界进入。这确实是天堂的另一面❤️
45229,Ugz9OIbFjNt5cjpdYPJ4AaABAg,0,"this woman is really in the heavens, there is no world. it is also",此女子真乃天上有，人间无。是也
45175,Ugzul0iv8QC0magvudp4AaABAg,0,is this what heaven is like?,这是天堂吗？
47828,Ugyar4w2SEBSneQNjW94AaABAg,0,my angel strikes again from heaven.,我的天使再次从天堂袭来。
47850,UgyHVRCrzZ12PmwM6g94AaABAg,0,it's like a fairy land... this video is a heaven,就像童话之地...这段视频是天堂
40264,Ugxb_Kt7zs3yGjPY38x4AaABAg,0,real heaven,真正的天堂
50025,UgxWL8f7Z-Lya8mOb1N4AaABAg,0,"life in heaven, no matter what there is.",无论有什么，天堂的生活。
51880,UgzqjJMBmuJBwEdPwhd4AaABAg,0,its heaven .love you,它的天堂。爱你
51249,UgzhjfSV5U-dfFEXdSF4AaABAg,0,y did d video end it's like heaven to watch,y做了视频结束，就像天堂一样
51224,UgwJugLv-xVVSrlbdT94AaABAg.8qlYTLV3Tce8yRjGYKUm8P,0,everyone deserve a like and i am still searching for heaven sword in er mei.,每个人都应该得到类似，我仍在寻找Er Mei的天堂剑。
51140,UgwyH-sUivtpQS9GYR14AaABAg,0,ooohhh heaven.,天堂。
51104,UgwwAXYxuL8G8Bh8FOp4AaABAg,0,where she is living must be heaven on earth.,她住的地方必须是地上的天堂。
50991,UgwyGY93SF0BJRl0WtR4AaABAg,0,10 minutes in heaven,天堂10分钟
49936,UgxIGSlLwqEi5IvOFkV4AaABAg,0,here he is where heaven,他在这里是天堂
