,cid,votes,time,含heaven,含heaven中文翻译
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,1 year ago,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
33213,UgyMo3kYPUtx_BZl2rl4AaABAg,0,3 years ago,i think u have jumped from heaven,我想你从天堂跳了
2196,UgxF-ynJ-rgPsz3PmbZ4AaABAg,0,1 year ago,i wanna go live with her and be her best friend shoot this is.heaven on earth.,我想和她一起生活，成为她最好的朋友拍摄的。
33073,UgyZO5vN0dOxyeRTNnB4AaABAg,0,3 years ago,"i very much love to come to your place, it's like heaven to.",我非常喜欢来到你的家，就像天堂一样。
32633,Ugxuwnn2gPKiZOa77gp4AaABAg,0,3 years ago,heaven,天堂
32425,Ugyjd6iqL-kd8nJIlgB4AaABAg,0,3 years ago,"simple life but it's gold,,,,for me this is heaven",简单的生活，但这是黄金，对我来说，这是天堂
32341,UgyT5YqHs_v8ffhNx6F4AaABAg.8yUveqa7FtE8yVPMf_JBDz,0,3 years ago,"it says ""a leaked footage from heaven""",它说“从天上泄漏的镜头”
31792,UgzNolcfbEHfch6ZbDt4AaABAg,0,3 years ago,"what do you want, the food that can't be eaten, heaven on earth",要什么有什么，吃不完的食物，人间天堂
31781,UgzLa58r5rJMf4Pl5yR4AaABAg,0,3 years ago,this is what i imagine heaven to be like.,这就是我想象的天堂。
31598,UgyB7tTvDtKcQrCscyZ4AaABAg,0,3 years ago,does she live in the heaven? i want to live in china lol,她住在天堂吗？我想住在中国
2433,Ugy81HjYJ-RufNAJo1Z4AaABAg,0,1 year ago (edited),do we chinese give glory to god? praise his name jesus christ and his father in heaven who created everything. god is so good.,我们中国人对上帝荣耀吗？赞美他的名字耶稣基督和他的父亲在天上创造了一切。上帝是如此的好。
25045,UgwYZJ1zrUjT4Lq3Vll4AaABAg,0,3 years ago,u should meet xioxi match in heavens!,你应该在天堂遇到xioxi比赛！
24870,Ugxklxco3cb8IW6pArZ4AaABAg,0,3 years ago,cook like a pork to eat heaven,像猪肉一样做饭
12181,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj97wkk__tVub,0,3 years ago,it should be everyone’s goal to live like this. heaven on earth.,这样的生活应该是每个人的目标。天上人间。
9645,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69Bb-q623nKa,0,2 years ago,"no acc yes, sichuan was called heaven because of its fertile land.",不，是的，四川因其肥沃的土地而被称为天堂。
16048,Ugy7tyYK0VrY1igJFlF4AaABAg,0,3 years ago (edited),"each of her videos is a portrait of simple but heavenly sensational life style. there's no glamorized outfit or makeups, no personal assistant helping with her hair, touching up her face or changing clothes. 
but her true life stories attract soooooo many millions of views and subbies! from different countries! even people don't speak or perhaps don't understood chinese!","她的每个视频都是简单但天堂般的轰动生活方式的肖像。没有迷人的服装或化妆，没有私人助理帮助她的头发，抚摸她的脸或换衣服。
但是她的真实生活故事吸引了数百万的观点和sibbies！来自不同国家！甚至人们不会说话，也许也不了解中国人！"
16001,Ugz3yU9iWR0cTZRWS754AaABAg,0,3 years ago,does she live in heaven?,她住在天堂吗？
9636,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69ANOHR63slo,0,2 years ago,"@titavaughns7698 not exactly, there are countless homonyms in chinese but not this one. ๅคฉๅบtianfu (means heaven in english) is just another way we call ๅๅทsichuan (a province in china), because people tend to live their lives with ease since ancient time.",@titavaughns7698并非完全，中文有无数的谐调。 tianfu（英语中的天堂）只是我们称之为四川（中国省的一个省）的另一种方式，因为人们自从远古时代以来倾向于轻松生活。
15763,UgxMG-ZfDWYJ245BTC54AaABAg,0,3 years ago,"there is a vegetable garden at home, eating heaven ~",家里有个菜园子，吃货天堂～
15630,UgzzJBH8yGH-r0CnZ9F4AaABAg,0,3 years ago,you're in heaven,你在天堂
15626,UgzNBv8nn82GX1rsfk54AaABAg,0,3 years ago,was this filmed in heaven?,这是在天堂拍摄的吗？
15183,Ugx7uxu4kY65k0Ks2Xp4AaABAg,0,3 years ago,"god, i am very sweet life, as if he were in heaven",天哪，我是非常甜蜜的生活，好像他在天堂
14954,UgzPLTNo3uW_F1n2SHN4AaABAg,0,3 years ago,"heaven and earth, seek place",天上人间，求地方
9643,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69BZHVjRVlCH,0,2 years ago,"yes, sichuan (ๅๅท๏ผhas the nickname of heaven, and its literal meaning is four rivers because si(ๅ๏ผis four and chuan(ๅท๏ผis river. liziqi and i share the same hometown, which is mianyang (็ปต้ณ๏ผand it means south of milan mountain because yang is south and yin is north.",是的，四川（（四川）有天堂的昵称，其字面意义是四河，因为Si（（四）是四河，而Chuan（川）是河流。Liziqi和我共享同一家乡意味着米兰山以南，因为杨在南方，Yin向北。
14543,UgzFdYpgLVdbKRgBWmR4AaABAg,0,3 years ago,"incredible! having unknown vegetables, extraordinary cooking tools, images and extraordinary quality music: everything is beautiful! heaven can ...
incroyable! une sorte de monde merveilleux avec des légumes inconus, des instruments de cuisine extraordinaires, des images + musique d'une qualité remar quable: tout est beau! le paradis peut être ...","难以置信！拥有未知蔬菜，非凡烹饪工具，图像和非凡品质的音乐的美好世界：一切都美好！天堂可以...
Incroyable! Une sorte de monde merveilleux avec des légumes inconnus, des instruments de cuisine extraordinaires, des images + musique d'une qualité remarquable: tout est beau! Le Paradis peut être..."
24854,Ugz1BmcEnXhr-sypoFF4AaABAg,0,3 years ago,its heaven ...love this type of life..metrocity life is soo boring.,它的天堂...喜欢这种生活。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
14129,Ugx3I3xz180q6TkGGKh4AaABAg,0,3 years ago,"with so many comments, what is the people of the great power of the heavenly dynasty?",这么多评论，我天朝大国之人何在
14033,UgxgP_PLQ-8jS2L_uDB4AaABAg,0,3 years ago,what a wonderful place to live with someone you love.. its like heaven.. you nid not to worry about what is happening in this world.,与您所爱的人一起生活的好地方。它就像天堂..您不必担心这个世界上正在发生的事情。
9833,UgywT_GMo0uQfbsNRT94AaABAg,0,3 years ago,is she living in heaven ๐,她住在天堂
13796,Ugz0Y2p06AeIsRovFCN4AaABAg,0,3 years ago,knya do the village sy masaanax..how to do it and the heaven almost sma good bgt definitely x ..,Knya做村庄Sy Masaanax ..如何做，天堂几乎是SMA好BGT肯定X ..
13712,UgzLTd1HMpwAs2y8SdJ4AaABAg,0,3 years ago,i live in heaven.,我住在天堂。
13639,UgwsNVP764HIV7YQg6F4AaABAg,0,3 years ago,your life is heaven,你的生活是天堂
13339,Ugw4uciVL3ahmMOqtlF4AaABAg,0,3 years ago (edited),"with that lady ! foods seemed to be like heaven . growth your own vegetable , raised your own livestock, cooked your food from your garden and farm. 
beautiful living .","和那个女士！食物似乎就像天堂。生长自己的蔬菜，饲养自己的牲畜，从花园和农场里煮食物。
美丽的生活。"
10267,Ugz1CApkJ8V-yhR2sJR4AaABAg,0,3 years ago,"my dear nymph lives in heaven, we ask you to shoot a video to explain how to make a stove.",我亲爱的若虫，住在天堂，我们请您拍摄一个视频，说明如何制作炉灶。
10863,UgzGEJhD_japRZSsbcd4AaABAg,0,3 years ago,sighit'slikeyouralreadylivinginheaven,sighit'slikeyouraldreadlivinginheaven
16230,UgzAaAML9y3kP2s-h5J4AaABAg,0,3 years ago,"what have i discovered, a crazy new place called hell on earth, really meaning heaven on earth.



this ladie, really knows how to live her life and take care of her grandma, dang bruh, these kids'l kill a bitch rather than taking some god damn, fucking leaves.



this ladie, is just so fucking dope bruh, i'm smacked, i've been smacked all day. ""ay bruh, what more can a man ask for"", you feel me.







but man, rip [juice wrld] - bruh, i wish u were still here, i was tryna hangout wit u, one day cuz ,'




nah, yeah, nd rip [xxxtentacion] - i hope hes doing good up in heaven, . they all died way too young and way before their time. some doing things that could've just been prevented.




but yeah bruh, i'm smacked, and i hope you have a good night.","我发现了什么，这个疯狂的新地方叫做地狱，确实意味着地球上的天堂。



这位女士，真的知道如何过上她的生活，并照顾她的祖母，Dang Bruh，这些孩子杀死了一个bit子，而不是拿起该死的神，他妈的叶子。



这个女士，真是太他妈的涂料了，我被打了，我整天都被打了。 “嗯，一个人还能要求什么”，你感觉到我。







但是，伙计，rip [juice wrld] - 布鲁，我希望你还在这里，我是tryna gotnagout wit u，有一天，因为




不，是的，nd rip [xxxtentacion] - 我希望他在天堂做得好。他们都死了太年轻，而且在他们的时间之前。有些人在做可以预防的事情。




但是，是的，布鲁，我被打了，希望你过夜。"
9635,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69AJntl2ITBc,0,2 years ago,tita vaughns no itโ€s not thing like that. we call there โ€heavenโ€ since ancient time just like someone said montreal is little paris,泰塔·沃恩斯（Tita Vaughns）不，不是那样的事情。我们称那里为“天堂”，因为远古时代就像有人说蒙特利尔是小巴黎
16402,Ugzh1lJ1iaoKvh0xrj94AaABAg.92voVh6WAp292wgF2aL99e,0,3 years ago,"brother taiwan hates the heavenly dynasty, so he hates everything in the dynasty, so his eyes are blinded, and you turn a blind eye to see beautiful things. don't you think it's sad to live in hatred?",兄台你痛恨天朝，所以痛恨天朝的一切，于是双眼被蒙蔽，对美好的事物视而不见。你不觉得一直活在憎恨中很可悲？
16571,UgxGikxEsSfdvAnnAXd4AaABAg,0,3 years ago,earth is the heaven that we overlooked.,地球是我们忽视的天堂。
24408,UgxWyDPCqqaNZu1AAPp4AaABAg,0,3 years ago,"really heaven of the earth your home town 
i also want to live this life","真的是地球上的天堂，您的家乡
我也想过这辈子"
24355,UgxiG_jsAaxiJW32hot4AaABAg,0,3 years ago,what is this right to heaven,天堂的权利是什么
24044,UgxG58v9EZs0pXbGrS54AaABAg,0,3 years ago,is she living in heaven garden....?where she can find all her cooking needs..... i jst luv.... and jst dream of living in that garden.... with fresh...... air...... food....,她住在天堂花园....？她在哪里可以找到她所有的烹饪需求.....我jst luv ....而JST梦想着住在那个花园里....新鲜.....空气...食物...
8674,Ugy30w5mEPwXmcgwWgV4AaABAg,0,2 years ago,"what a life, no degree race no job prob, no traffic issue, no late home coming tension, no cinema tickets queue, no zinger no big mack, no fries no artificial life, no tv no politics tensions, no satanic culture, just pure simple and tension free heaven's life. ahhh i can just imagine for me",多么多的生活，没有学位的没有工作概率，没有交通问题，没有晚期的紧张局势，没有电影票队列，没有Zinger没有大麦克，没有薯条，没有人造生活，没有电视政治紧张局势，没有撒旦文化，只是纯粹简单无力的天堂的生活。啊，我可以想象我
8829,UgzK4JmTmPFPTr8vPAF4AaABAg,0,2 years ago,heaven ! ! !,天堂！呢呢
23334,Ugy89zxW2gvVmN6Ispx4AaABAg.8zlq1w5JXOH8zpIxM70Z95,0,3 years ago,"so am i, feel like a heavenly art.",我也是，感觉就像是天上的艺术。
23094,UgyKFp7AQ7uqJ_3DcFR4AaABAg,0,3 years ago,this is heaven on earth.,这是地球上的天堂。
23081,UgwdMOfTAJ5rhpI10Vl4AaABAg,0,3 years ago,she does it again - sharing a window into heaven. what are we doing wasting our lives in the rat race - for nothing?,她再次做 - 分享进入天堂的窗户。我们在浪费我们的生活中的生活是什么 - 一无所有？
23007,Ugw3jbhmQHpou7dCCnB4AaABAg,0,3 years ago,where does she live? heaven?? it looks so beautiful and everything is around her,她住在哪里？天堂？？看起来很漂亮，一切都在她身边
22102,UgwD3WXsyODi5CIufm94AaABAg,0,3 years ago,you bring a heavenly feeling to the dining table...thank you for inspiring specially me!,您为餐桌带来了一种天堂般的感觉...谢谢您特别激发了我的启发！
21158,UgxF5RhAOKV2TqSjtVZ4AaABAg,0,3 years ago,amazing. so fantastic .like a heaven all u need's have,惊人的。太棒了。就像天堂一样，你需要的是
20645,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91BEHNZnsrE,0,3 years ago,"she is a fairy in heaven, no one is worthy of her",她是天上的仙女，没有哪个配得上她
19443,UgwfnCXYc9samOmZPpp4AaABAg,0,3 years ago,girls who are good at heaven,擅长天堂的女孩
8941,UgxS27vk1fiRbSzBU5N4AaABAg,0,2 years ago,truly heaven,真正的天堂
17910,UgwlMcPAIEKRT2Oygxp4AaABAg,0,3 years ago,that woman is a spiritual guide from heavens,那个女人是天上的精神向导
17853,UgykALmftToD6r-CuiB4AaABAg,0,3 years ago,how come this heavenly video got more than 10k dislike?! i mean... i believe even alien species would appreciate seeing a video contains so much nature inside.,这个天上的视频怎么会超过10k的不喜欢？我的意思是...我相信即使是外星物种也会喜欢看到一个视频中包含很多自然。
1312,Ugz02Qr92gHJ7F0eQAV4AaABAg,0,1 year ago,my god in heaven you are absolutely gorgeous,我在天堂的上帝，你绝对是华丽的
17346,UgxFJjCXk_uCv4Wzn3F4AaABAg,0,3 years ago,"chinese cuisine is a bridge between heaven and humans, and the world is alone.",中国美食，是上天与人类沟通的桥梁，独步天下。
