,cid,votes,含food,含food中文翻译
35194,Ugx2-HYWzxfl-E0Sqgt4AaABAg,5,"that’s the favorite food thai people 
love you from thailand","那是最喜欢的泰国人
从泰国爱你"
3949,Ugz1ONrvfBB3HgR_MoB4AaABAg,5,"b.e.s.t f'u'u'l'l d.a.t.i.n.n.g h.o.t g.i.ra.l's — o — e — e-x —— ❤️
hotslut.live/frenchteenxxx305see



in the history of human beings, strong people, rich and cunning people predatory tribes, clan, towns, cities, and villages in the weak people, without members of the poor and poor. however, people's willingness to survive forces those who are rejected, deprived or destroyed, and have found a lifestyle and continue to integrate their dna into the development of human society.
when it comes to food, don't think those who are rejected only eat garbage. instead, they learned to find nutrition in the neglected meat and vegetables. they learned to clean, cut pieces, seasoned and stewed wild vegetables and meat, some household vegetables and meats ignored in the food market, and learned to use aromatic wood cigarettes (such as mountain walnuts, walnuts and bean shrubs
when the food is cooked^.^.","B.e.S.T f'u''l'l D.a.T.i.n.G h.o.T G.i.r.L's —L—o—V—e—S—e-X———❤️
hotslut.live/frenchteenxxx305see



在整个人类历史上，强者，富人和具有狡猾特质的人捕食部落，氏族，城镇，城市和乡村中的弱者，无`'守和贫穷成员。然而，人类的生存意愿迫使那些被拒绝，被剥夺或摧毁的基本需求的人们找到了一种生活方式，并继续将其DNA融入不断发展的人类社会。
说到食物，不要以为那些被拒绝的人只吃垃圾。相反，他们学会了在被忽视的肉类和蔬菜中寻找营养。他们学会了清洁，切块，调味和慢炖慢炖的野菜和肉类，在食品市场上被忽略的部分家用蔬菜和肉类，并且学会了使用芳香的木烟（如山核桃，山核桃和豆科灌木
来调味食物煮的时候^.^."
33080,UgzgaggviqDA1JKZtnt4AaABAg,5,there's so much food for jst 2 people.can i hav some?,JST 2人有很多食物。我可以吗？
33117,Ugw9aKFd2yoU0UK_Q914AaABAg,5,"ziyi, envious you can live in nature, can absorb the energy of nature every day, eat organic food, thank you for sharing the beauty of nature with us.",子柒，好羡慕你能在大自然中生活，每天能吸收大自然的能量，吃有机食物，谢谢你分享给我们大自然的美。
26598,UgzY3ZM3mGlIYKP1FSN4AaABAg,5,iam glad see this video. need stay in there... a lots foods in garden...,我很高兴看到这段视频。需要呆在那里...花园里很多食物...
33295,UgxMR6LIbUgNgGCiaKR4AaABAg,5,"its astonishing how calming her videos are...simply amazing.... superb video quality all organic food... 
i wish i could live there...
great video. looking forward for the next upload","令人惊讶的是她的视频的平静……简直令人赞叹。
我希望我能住在那里...
很棒的视频。期待下一个上传"
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,"south korea has always been a colonial in history and ruled their clan (china, japan, japan, the united states). when they are in a good mood, they will give them some clothes and food. now, ridiculous and ignorant korean people claim that it is their culture. kimchi has always been the most inconspicuous low -grade food on the chinese dining table. if the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the korean nation. what you see now, koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly china, and japanese sushi has been stolen by koreans). i suggest that koreans apply for the inventor of the universe from the united nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
south korea has always ben a color in history, and their sovereign states (china, japan, and the united states) will give them some clothes and food when are in a good mood. now, ridiculously ignorant and inferior koreans claim that it is their culture. kimchi has always ben the most inconspicuous low-end the chinese table. it would be considered extremely impolite to let guests ear chi. poor koreans we like treason after receiving the donated kimchi, claiming that it is the guatest food food of the korean national. as you can see now, the clothes, food, architecture, festivals, etc. that koreans claim to be their own culture are basely f rom the sovereign country (mainly china, japanese sushi has also been stolen by koreans). i suggest that koreans apply to the united nations to become the inventor of the universe.
in the history of korean 歴 に は は であ であ り, the main nation of the main nation (china, japan, and mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. today, 知 て て っ っ っ korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” to. private 人 korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực phẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn của ngủi trung quốc. việc cho khách ăn kim chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ cề bản là t ướt nước có chủ chủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). queởc để trà thành nhà phát minh ra vũ trụ then, then

corea del siempre ha sido una colonia en la historia, y sus estados sobernos (china, japón, estados university) les darán algo de ropa yando estén de bu en humor. ahora, los coreanos ridículamente ignarantes e inferiores afirman que es su cultura el kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. se considraría extremadamene descortés dejar quel los invitados comten kimch kimch i.los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que el mejor aljor alimento de la nación coreana. como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultics el país soberano (principalmente china, el sushi japonés también ha sido robado por coreanos). sugiero que los coreanos soliciten a las naciones unidas convertering en los inventores del university.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
1909,UgyECEuDMfEOU1RIYUV4AaABAg,5,that food looks so delicious and she makes it look so easy to cook! but i could never do that here in the u.s.,这种食物看起来很美味，她看起来很容易做饭！但是我在美国永远做不到
5403,Ugyv5qcxdGrEmyunRE94AaABAg,4,this video is so magical. my god i wish i lived off more fresh food like this family. looks so delicious. what an incredible way of life.,该视频是如此神奇。我的上帝，我希望我像这个家庭一样生活在更多新鲜食物中。看起来很美味。多么令人难以置信的生活方式。
13600,UgzL7SDZT3dRWnVUwKd4AaABAg,4,i don’t enjoy cooking shows and i don’t eat weird food (i’m more of a steak-and-potatoes-kind-a-guy) but that river snail soup does look damn good!!,我不喜欢烹饪表演，也不喜欢吃奇怪的食物（我更像是牛排和果仁奶酪 - 葡萄酒），但是那条河蜗牛汤看起来确实很好！
31804,UgyfC_xImFz2jvp_0pJ4AaABAg,4,"i can see you love spicy food.
well i love the way you look great.","我可以看到你喜欢辛辣的食物。
好吧，我喜欢你看起来很棒的方式。"
29520,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Vp25IgEp,4,that thing from bamboo and all food....we eat that here in northeast india too♥️,竹子和所有食物的东西。
21591,UgzMa71y9qkDKsVnUXd4AaABAg,4,"she is like a fairy in the countryside of china. she can do lots of delicious food and inspire everyone, and me",她就像中国农村的童话。她可以做很多美味的食物，激发了所有人的灵感，我和我
6845,UgzLwASjPJ6o-tw46gx4AaABAg,4,"how beautiful! what a wonderful sound! what a beauty! please show the process of food longer! how beautifully they cook food, still show in more detail how they eat this food, it is very interesting!",多么美丽！多么美妙的声音！真漂亮！请显示食物的过程更长！他们烹饪食物的美味，仍然更详细地显示他们如何吃这种食物，这非常有趣！
222,UgwpAtBflsNp7wqgwKh4AaABAg,4,"i first watch the video, very nice video, very good and the food is great. thank you.",我首先观看视频，非常好的视频，非常好，食物很棒。谢谢。
16339,UgxPrKrwH4stz9nkAj54AaABAg,4,the food looks good,食物看起来不错
918,UgxgwgiMogfX_IdiwDx4AaABAg,4,her house are full of foods. wow. i hope i can transform my garden like this when go home.,她的房子里到处都是食物。哇。我希望回家时能像这样改变我的花园。
2460,UgxEssLRgO4gML-qjup4AaABAg,4,"chinese food culture is extensive and profound ❤ sichuan people said that people are in a foreign country, and the most nostalgic is the taste of rotten meat cowpeuts made by mothers when she was a child! intersection i miss it so much",中国食文化博大精深❤四川人表示，人在异乡，最怀念的还是小时候妈妈做的烂肉豇豆
32348,UgxqE9Nwo6qx2TDHnZd4AaABAg,4,"oh, it's slippery!
i knew it was a good food, but i saw it for the first time in cooking!","哦，这很滑！
我知道那是一种美味的食物，但我第一次在烹饪中看到了它！"
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
18232,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hpt4TuVUT,4,@sometimesitdown food of north is absolutely not what you called garbage.if you want respected then show your respect to other culture and different lifestyle.,@Sometimesitdown北部的食物绝对不是您所说的垃圾。如果您想受到尊重，然后表现出对其他文化和不同生活方式的尊重。
32756,UgwHEmsrIF3V-dmIWWB4AaABAg,4,"bamboo shoot is my favorite food. mouth watering. i wish i could visit your place someday. 
your videos inspire me so much","竹头是我最喜欢的食物。垂涎三尺。我希望我有一天能参观您的住所。
您的视频非常激发了我的灵感"
7144,Ugw-o282MUl61tO4u6N4AaABAg,4,"the one thing about various cultures and their traditional foods that i continue to not understand is how it ever really began in the first place. 

when you look at cultures that eat some rather unusual foods that for others seems ""gross"" or ""weird"" (snails, frogs, insects, etc) and they dont seemingly exist in a place where there exists a complete lack of options the question becomes ""why?"" 

i mean can you imagine the first guy who was sitting on a riverbank one day and said, either to himself or someone nearby, ""ya know what? i am gonna go eat that snail"" or the first person to say ""boy that frog looks yummy and i bet its legs would be tasty"". i should also point out that in chinese the word for frog (when you are using the term in the context of being a food, at least) basically translates into ""field chicken"". specified the context because it has other names just like most things do based on the context of the discussion.","我继续不了解各种文化及其传统食物的一件事是，它首先是如何真正开始的。

当您查看吃一些相当不寻常的食物的文化时，这些食物似乎“粗糙”或“怪异”（蜗牛，青蛙，昆虫等），它们似乎并不存在于存在完全缺乏选择的地方，问题就变成了问题。 “为什么？”

我的意思是，您能想象有一天坐在河岸上的第一个人对自己或附近的人说：“你知道吗？我要去吃那蜗牛了”或第一个说“青蛙看起来的男孩好吃，我敢打赌它的腿会很美味”。我还应该指出，在中文中，青蛙一词（至少在作为食物的背景下使用该术语时）基本上会转化为“野鸡”。指定上下文，因为它具有其他名称，就像大多数事情一样，基于讨论的上下文。"
28331,Ugy-UfRsD7_JQ46ukqx4AaABAg,4,"part of the reason why i enjoy watching these videos so much is that they remind me of how things used to be when i was little. granted, i am not a girl from china living on a vast farm like she does, but i did have a small place in kentucky where we took care of ourselves and harvested our own food like this. it's nice to see that there are some people out there who still take a moment to do things in a more old-fashioned kind of way.",我如此喜欢观看这些视频的部分原因是，它们使我想起了我小时候的情况。诚然，我不是一个像她那样生活在一个庞大的农场上的中国女孩，但是我确实在肯塔基州有一个很小的地方，我们在这里照顾自己并像这样收获了自己的食物。很高兴看到那里有些人仍然花点时间以一种更老式的方式做事。
24386,Ugxhz2Zqy0iR1NB0qQZ4AaABAg,4,"it makes me feel good that even if i live in a city i can grow wild purslane (a super food) and other wild herbs like, epazote, and estafiate. also what we call a malice weed, dandelion, in reality, one of the most misunderstood super food and medicinal plant.",即使我住在一个城市，我也可以种植野生的皮lane（一种超级食物）和其他野生草药，例如，epazote和estafiate，这让我感到很好。实际上，我们称之为恶意杂草，蒲公英，是最误解的超级食品和药用植物之一。
24998,Ugxh4an9n8vh-FXv-e94AaABAg,4,it's so amazing. these foods were also found in our small garden before. i really miss this simple life,太神奇了。这些食物也在我们的小花园中发现。我真的很想念这个简单的生活
4055,UgzF1UbnBOhsj9C5hwF4AaABAg,3,i always wonder why did she always cook in a big portion then it suddenly hit me..the crew! of course she would like to treat them delicious food for their work,我总是想知道为什么她总是在大部分地区做饭，然后突然打我。当然，她想为他们的工作待好美味的食物
15243,UgwB5qqUV1vNkNTQz7l4AaABAg,3,this is the stuff of studio ghibli food,这是吉卜力工作室的东西
21599,Ugxt50sc-69mMxbryxx4AaABAg,3,"hi, 
i just want to say that this week is “asia” week. me & my daughter get to discover & eat great “asia” food. like, “asian” sandwiches. (they are really good & my favorite), “asian” boaba tea. ..there’s this drive thru “asian” small restaurant called “chopsticks”, how pretty. it was a healthy plate from “chopsticks” restaurant. i love videos like this, very healthy & organic.","你好，
我只想说本周是“亚洲”周。我和我的女儿可以发现并吃得很棒的“亚洲”食物。就像“亚洲”三明治。 （他们真的很好，也是我的最爱），“亚洲” Boaba茶。 ..通过“亚洲”的小餐厅，这是一个名为“筷子”的小餐厅，多么漂亮。这是“筷子”餐厅的健康盘子。我喜欢这样的视频，非常健康且有机。"
8195,UgxGf1AqpM-LUUmY1_h4AaABAg,3,"it reminds me of my childhood, l like so much that kind of food .you cooking very well",这让我想起了我的童年，我很喜欢那种食物。你做得很好
6603,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EymaI2MMpU,3,"the nostalgia of urbans is funny, the question is would you want the amount of work involved in producing your own food... i don't think so :)",Urbans的怀旧很有趣，问题是您是否希望自己生产自己的食物的工作量...我不这么认为：）
17351,Ugz_7s6SA3hDL7Can_t4AaABAg.92l8B0Itr-992n-eyl4mZn,3,the thing is the chinese food you have is totally different in china,问题是您所拥有的中国食品在中国完全不同
23357,Ugy5za9syylAFV3JprR4AaABAg,3,we can't get these kind of healthy and pure food in any city... even not after paying a hefty amount .... she is an true inspiration for all us,我们在任何城市都无法获得这种健康而纯净的食物...即使在支付了大量金额之后。
11483,Ugw6XL-cuo0eX4BXpzN4AaABAg,3,"the land of my dreams... simple life, simple food i love that",我梦dream以求的土地...简单的生活，简单的食物，我喜欢
12285,UgwGKHdXaxgn3fpwnGh4AaABAg,3,"i didn't know her channel when i was living in china, now i'm in switzerland, living chinese food so much and wanna learn a few dishes myself, i discovered her channel. so amazing...thank you, ziqi :)",当我住在中国时，我不知道她的频道，现在我在瑞士，在中国食物中过得很愉快，想自己学习一些菜，我发现了她的频道。太棒了...谢谢Ziqi :)
24194,Ugz5zEh-f60meazAxZ94AaABAg,3,"aah delicious food . i can feel the aroma from my phone . 
nice channel . nice spirit.","aah美味的食物。我可以从手机上感觉到香气。
不错的频道。好精神。"
30902,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yumQZCYWaL,3,"bramha's astra if youre responsing to food network shows, your opinion doesnt even make sense because they dont cook from cans or boxes... second, wtf does storing ingredients have to do with cooking? so we need to pick tomatoes off our tomato vines rather than get them in a bag at the gricery store to actually cook them? lmao how stupid, but dw im done here. clearly you dont know what youre talking about but its okay, at least youre not a food critic...",Bramha的Astra如果您对食物网络的回应，您的意见甚至没有意义，因为它们不从罐头或盒子里做饭...其次，WTF储存成分是否与烹饪有关吗？因此，我们需要从我们的番茄葡萄藤上挑选西红柿，而不是把它们放在肉酱店里的袋子里来烹饪？ lmao多么愚蠢，但DW在这里完成了。显然，您不知道您在说什么，但是可以，至少您不是食物评论家...
21059,UgxQopPcRI0mJknEQYh4AaABAg,3,"if in indonesia this food is called ""rebung""",如果在印度尼西亚，这种食物被称为“重生”
11482,UgzR0OW8k9dCN0m1oNJ4AaABAg,3,wow...i'm new to this channel and you are so beautiful and talented. i enjoy your videos and food. i love your culture and country. so so beautiful !,哇...我是这个频道的新手，您是如此美丽和才华。我喜欢你的视频和食物。我爱你的文化和国家。如此美丽！
24316,Ugys0uBN-NXOjdqx8tB4AaABAg,3,"wow, spicy. essence essence essence i love spicy food, and my saliva has flowed out",哇，辣的。 。 。 。我超爱吃辣，口水都流出来了
20663,Ugww22ZBYMcFN2ne8CJ4AaABAg,3,i wanted to try her food,我想尝试她的食物
24155,Ugw7PMd34BlkxyOdepd4AaABAg,3,what a peaceful life they have...wish i could do the same and just cook food and enjoy life to the fullest!,他们拥有多么宁静的生活……希望我能做同样的事情，只烹饪食物，充实地享受生活！
29625,Ugz7DLJ5nS5SRRX5Qah4AaABAg,3,im i the only one who wants to see her cook food for her dog,我是我唯一想看到她为狗做饭的人
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
14244,UgwlbLN7mOcdhvxAw6p4AaABAg,3,that girl could be the perfect one for any man that love to eat warm food.,那个女孩可能是任何喜欢吃温暖食物的男人的理想选择。
10647,UgzwPrgav2gX-nw97C94AaABAg,3,"i wanna live a life like hers. i know it's gonna be hard but you know, who would not like to live a life eating only organic foods. it's healthy plus we can live a happy and a long life.",我想过像她一样的生活。我知道这会很难，但是你知道，谁不想过着只吃有机食物的生活。这是健康的，而且我们可以过着快乐和长寿。
