,cid,votes,time,含food,含food中文翻译
42877,UgzWYtKj4XAR4-20dy54AaABAg,2,4 years ago (edited),"8:27 - 8:47
am i the only one person here who takes one piece of food to eat it before i plan to arrange the food?","8：27-8：47
我是这里唯一一个在我打算安排食物之前拿一块食物食用的人吗？"
44056,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rT4rt_o7XF,2,4 years ago,marcia de paula every different food right,玛西娅·德·保拉（Marcia de Paula）
16527,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98qLG-DJ4Wr,2,3 years ago,"@wuxh2708 her head was throwed to bath full of water by her stepmother. liziqi strugle to get a job.... being a merchant, dj, and failed in food competition",@wuxh2708，她的继母将她的头扔到充满水的水浴时。利兹奇（Liziqi
16489,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l99ZRUNbFiAG,2,3 years ago,how the fuck is it better? you have to work all day to prepare a little bit of food. it's nonsense.,他妈的好吗？您必须整天工作才能准备一些食物。这是胡说八道。
43799,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rOq9ylGDGF,2,4 years ago,@aarlekz9778 she's a food blogger.... if it's a propaganda it's one to sell her food.,@aarlekz9778她是一个食品博客。
17521,UgxC0AyT9PU_ME2BPOd4AaABAg,2,3 years ago,"the fairy tale is simple |
everything is beautiful: girl, dogs, sheep, nature, jewelry, plants, sky, house, interior, stove, hearth, dishes, shooting is impeccable, cooking, not a single channel about food is nearby, granny, warming by the fire, like all this is all not enough in the gray jungle, the same type of days ..
i'm just in a wild aesthetic orgasm !!! low bow to the girl, for such hard work","童话很简单|
一切都很漂亮：女孩，狗，绵羊，自然，珠宝，植物，天空，房屋，内饰，炉子，炉灶，炉灶，射击，射击是无可挑剔的，烹饪，没有关于食物的单个渠道在附近，奶奶，在火上变暖，就像所有这些一样，在灰丛林中还不够，也是一样的。
我只是在狂野的美学性高潮中！！！低弓对女孩，这么辛苦"
14618,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Am5Lhx-c3A,2,2 years ago,"@jane-ni5qb, i ca n’t escape the wisdom of brother qiu! hey, i still wanted to give brother qiu some of the bottom. essence essence
haha, since brother qiu often visits the garden of ziyi, he will be entertaining by the food without a quasi.","@Jane-ni5qb 我这点小心思还是逃不过邱兄的慧眼呀！嘿嘿，本来我还想给邱兄剩点盘底儿呢。。。
哈哈，既然邱兄常去子柒的花园处拜访，没准儿会受到美食招待呢，静候佳音哟！"
44983,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rEPO6GHNrE,2,4 years ago,"faceache sweetie, those ""artificial lettuce"" were just made for display purposes. if you google it you are going to find out about that. and even if it was true, how on earth that would mean chinese food and cuisine is just plastic.",Faceache亲爱的，那些“人造生菜”只是为了展示目的而制造的。如果您的Google Google，您将了解这一点。即使是真的，这意味着中国食品和美食只是塑料。
10480,UgzsaWUUuahAexG72wF4AaABAg,2,2 years ago,i'm waiting liziqi gonna bake some cake or do some research of others country food. will be more instrested.,我正在等待liziqi烤一些蛋糕或对其他乡村食物进行一些研究。会更具工具性。
9049,UgwZtzaVjEXFjunv2ht4AaABAg.9HqN3ITnpX79JV2bCKrWpt,2,2 years ago,"@picestoes7535 and stuff to cooking, planting, buy food",@Picestoes7535和烹饪，种植，购买食物的东西
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
27262,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92762slAjnt,2,3 years ago (edited),"@maryna mnassa li ziqi doesnโ€t need to accept any help anymore, cause she is very famous in china and she has her own taobao shop. she sells food in taobao and she can earn millions money a year.",@Maryna Mnassa Li Ziqi不再需要接受任何帮助，因为她在中国很有名，并且拥有自己的淘宝商店。她在淘宝网出售食物，每年可以赚取数百万美元。
17330,Ugw_6AAkgbhCP0j1MFN4AaABAg,2,3 years ago (edited),"i'm hangry i want to eat your food lijiqi 
so funny when the cooking popcorn bomm
watching from philippines 
4/28/2020","我很饥饿，我想吃你的食物lijiqi
当烹饪爆米花bomm
从菲律宾观看
4/28/2020"
47142,UgwQiQdw4U_hDMhI-1p4AaABAg,2,4 years ago,pls gave some food for your small puppies,请为您的小幼犬提供一些食物
46965,UgyfDHNP22O0u_OlqgJ4AaABAg.8qqaE6jNVpL8qt7G68Xvq_,2,4 years ago,jyoti yomso because she cares about their health. dogs can’t eat human food. feeding them random human food that we eat may give them diarrhoea or even kill them. don’t be silly,Jyoti Yomso是因为她关心他们的健康。狗不能吃人类食物。喂他们我们吃的随机人类食物可能会给他们腹泻，甚至杀死它们。不要愚蠢
12545,UgxdqJGV-Pp5mmIIcI94AaABAg,2,2 years ago,every kind of food made is good. i want to eat it when i look at it,做的每一种食物都好看.看着就想吃
27777,UgwXNsoauxHCDOo7zAt4AaABAg,2,3 years ago,"i always watch videos on how to cook and prepare foods. but, when i watched the videos of liziqi i got more inspired. i even want to have a cooking pan like hers that is so multiused pan and the amazing oven.",我总是看有关如何做饭和准备食物的视频。但是，当我观看Liziqi的视频时，我受到了更多的启发。我什至想拥有一个像她这样的烹饪锅，它是如此多地使用的锅和令人惊叹的烤箱。
34515,UgzHv7OpWXLr-sveKRF4AaABAg,2,4 years ago,fresh air fresh foods fresh water,新鲜空气新鲜食品淡水
35125,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-90pOQfO9hne,2,3 years ago,this is food drama!,这是食品戏剧！
28265,UgxwOQqpkeX3F4zaFH54AaABAg,2,3 years ago (edited),"dear lizigi, i have been watching your video, i appreciate your respect for nature, because it brings you healthy food, and i will not speak chinese, i will focus on preparing your recipes to prepare your recipes above, whether food or food embroidery. although we all have problems, i think they are very happy. congratulations to your care and care for grandma. god bless you. by the way, i am from brazil. except for living in the uk for several years, i only know some countries from europe. forgive my chinese writing, it is my first time","亲爱的Lizigi，我一直在看你的视频，我很欣赏你对大自然的尊重，因为它为你带来健康的食物，而且我不会说中文，我会把注意力集中在准备你的食谱上，无论食物还是美食 刺绣。虽然我们都有问题，但我认为他们住的地方很开心。恭喜您对奶奶的关心和照顾。上帝保佑你。顺便说一句，我来自巴西，除了在英国生活了几年之外，我只认识一些来自欧洲的国家。 Forgive my chinese writing, it is my first time"
25583,UgzB-txb2XBhyckLNWd4AaABAg,2,3 years ago,"liziqi, your channel is just wonderful i truly love it the way you work and create such beauty with food and all almighty gods abundance just in awe of you praying blessings upon you n your family and animals so happy i found your channel",liziqi，您的频道真是太好了，我真的很喜欢您的工作方式，并用食物和所有全能的众神创造如此美丽的方式，只是您敬畏您向您的家人和动物祈祷祝福，所以我很高兴我找到了您的频道
45816,UgzHewVV9bamqgML3Jp4AaABAg,2,4 years ago,"ziyi is so hot in youtube! sure enough, food does not distinguish between borders, but american likes to eat sweets. experience the spicy deliciousness ~",子柒居然在YouTube这么火！果然美食不分国界，不过American喜欢吃甜食。体会不到辣的美味～
10313,Ugxdyfl_Y3pcJ-z3_Vh4AaABAg,2,2 years ago (edited),i think this is a disney princess who can cook... while i eat chipotle with my mouth drooling at this and not my food,我认为这是一位迪士尼公主，可以做饭...当我用嘴巴流口水而不是我的食物时，我可以做饭
28674,UgwWutvTruEbSXwtHjV4AaABAg,2,3 years ago,u work so hard sister... first when i was watching this video then was thinking that why so many dishes.. then saw u packing the food in nice manner for delivery... so much effort involving activities... love from india ๐ฎ๐ณ,你工作是如此努力的姐姐...首先，当我看这部视频时，当时就是在想为什么这么多菜。
11226,Ugy6UhDVa6q_Z_24YMd4AaABAg.9ErMD7cVAOz9F1AxaRnRcY,2,2 years ago,"@ethanjia6576 obviously itโ€s not the same thing. but this video was especially interesting to me because a lot of the food looked like something youโ€d see in the south us. especially the carmelized pork ribs. i just find it interesting when two completely different cultures intersect in unexpected places; in this case itโ€s because parts of china have very similar food resources as the us south, so the cuisine is different but still relatively similar. iโ€m not trying to say that theyโ€re exactly the same; far from it.",@Ethanjia6576显然不是同一回事。但是这段视频对我来说特别有趣，因为很多食物看起来像您在我们南部看到的东西。尤其是焦糖猪排骨。当两种完全不同的文化在意外的地方相交时，我只是发现很有趣。在这种情况下，这是因为中国的部分食品资源与美国南部非常相似，因此美食不同，但仍然相对相似。我不是要说它们完全一样。离得很远。
27272,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92HqS49mZx5,2,3 years ago,maryna mnassa she doesnโ€t need help. especially after she got famous through youtube she should be quite rich now. she just want to show people natural lifestyle and also telling people where the food came from. people feel relax after watching her videos. as you can see she is using a lot of old equipments but everything looks beautiful and organized. she is presenting old natural lifestyle by modern way. thatโ€s why people like it.,玛丽娜·姆纳萨（Maryna Mnassa）她不需要帮助。特别是在她通过YouTube出名之后，她现在应该很富有。她只想向人们展示自然的生活方式，还告诉人们食物的来源。观看视频后，人们会感到放松。如您所见，她正在使用很多旧设备，但一切看起来都很漂亮且井井有条。她正在以现代方式展示旧的自然生活方式。这就是为什么人们喜欢它。
24868,UgzN9e0rXnqIO3ogZQ94AaABAg,2,3 years ago,she is making some good food iโ€ll tell you that,她正在做一些美味的食物，我会告诉你
18913,UgyEBqKA26pTFpI5-2p4AaABAg.96RCeDrOO-f96W737KECT0,2,3 years ago,i know !! right?! the food looks so amazing!!!!!!!!!!!!!!!,我知道 ！！正确的？！食物看起来很棒!!!!!!!!!!!!!!!!
21391,Ugw3x6mFr1XH-LCNh1x4AaABAg,2,3 years ago,"there are a lot of chinese food, welcome to you!",中国美食很多，欢迎你们！
48577,UgxMWpP3ivDO-dYSvIZ4AaABAg,2,4 years ago,"season's greetings
food and sweets, not the most wonderful","季节的问候
食物和糖果，不是最美妙的"
39087,UgyYs3ElZuUL68hAiON4AaABAg,2,4 years ago,"omg so hard work for those healthy snacks๐๐ค—
and we are lazy to go and bye them in shop or microwave our food๐คฆโ€โ€๏ธ๐ญ","天哪，对于那些健康的零食，如此艰苦的工作
我们懒惰去商店或微波炉我们的食物"
39125,UgzQRl-Ctl87WxIyEzp4AaABAg,2,4 years ago,"i know this is the second comment i've made today, but i think your videos are very nice. they're very relaxing to watch, and the food in this one looks very good. your dogs (and your lamb) are cute too!",我知道这是我今天发表的第二个评论，但我认为您的视频非常好。他们非常放松，而且食物看起来非常好。您的狗（和羊羔）也很可爱！
32108,UgxQuMDHNHtVXSFvSCp4AaABAg,2,4 years ago,why all these foods she made looks tasty,为什么她制作的所有这些食物看起来很美味
7111,UgyaEU3osNM9en3_4OF4AaABAg.9KJdQgqPOWt9KfBrjIPm77,2,2 years ago,"this is not animal planet channel, she was busy filming video and prepare food, she only fed and play with pets off the screen,",这不是动物星球频道，她正忙于拍摄视频并准备食物，她只喂宠物，在屏幕上玩宠物，
51283,Ugy0aRgum8scuy1GE6t4AaABAg,2,4 years ago,i really want to taste your food,我真的很想品尝您的食物
7014,Ugy9uVDi6H60_hdCubl4AaABAg.9KaZW-MHwJp9Kf8Y47v3yQ,2,2 years ago,"no, all her pets get nothing, because we never see it, but those pets can actually live a few years without food, that's ai robot pets by huawei, these ai pets can self wireless charging when battery low, how convenient is it.",不，她所有的宠物都一无所获，因为我们从未看到过，但是这些宠物实际上可以在没有食物的情况下生存几年，这是华为的AI机器人宠物，这些AI宠物在电池低时可以自动充电，它的方便程度。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
18849,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97JOXmLOx12,2,3 years ago,"i think the dislikes come from an article which stated this girl's life is fake and it's a show. that she doesn't do everything on her own but there's a lot of props, people helping behind the scenes and camera crew. many people felt disenchanted her life wasn't accurate. i personally feel they were trying to portray a beautiful rural living of china. i don't see it the same way after i read the article but still enjoy watching because it's something we can all strive to have: our own land with food, resources.",我认为不喜欢的是一篇文章，说这个女孩的生活是假的，这是一场演出。她没有自己做所有事情，但是有很多道具，人们在幕后和摄制组中提供帮助。许多人感到自己的生活不准确。我个人觉得他们试图描绘中国美丽的乡村生活。在阅读文章后，我看不到相同的方式，但仍然喜欢观看，因为这是我们所有人都可以努力拥有的东西：我们自己的土地，带有食物，资源。
48901,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8rZn3xAGVrG,2,4 years ago,"@joseph4388 the life isnt easy overthere, ppl dont pet dog, they training dog as a guardian, they dont feed dog pet food, dogs eat whatever master offered. these dogs are very tought, they aer loyal to the master and aggressive to the outsiders.",@joseph4388生活并不容易，ppl d't tot pet狗，他们训练狗作为监护人，他们不喂狗宠物食品，狗吃任何师父。这些狗非常笨拙，它们忠于主人，并为局外人带来了积极的态度。
6759,UgyPAWGwE7k8hHZ5t7Z4AaABAg,2,2 years ago,i love how clean she about the food ! had to stop watching got really hungry!,我喜欢她对食物的干净！不得不停止观看真的很饿！
21536,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA9OBhWBoHZxg,2,2 years ago,"@sandralynn8177 this is not animal planet, she will give them foods after the filming between each shot",@sandralynn8177这不是动物星球，每次拍摄两次拍摄后，她会给他们食物
24161,Ugwxcvbbgg6rAgY8Zol4AaABAg,2,3 years ago (edited),the beautiful doguinhos ๐’•๐ถ๐•๐‘faz video food they ๐•๐ถ,美丽的doguinhos
3268,Ugy9SR_WIXZZ88SqbgR4AaABAg,2,1 year ago,sweet food that makes you drool .... greetings from indonesia,让您流口水的甜食。...来自印度尼西亚的问候
5830,UgzTFSLGgoLJwWrZZzN4AaABAg,2,2 years ago,wow! so much food! i'd love to eat them all!,哇！这么多食物！我很想吃全部！
31659,UgxoJ3LKcV-lAyEyPz54AaABAg.8w6EOq7RXc18wwtNHixC36,2,3 years ago,"@mrfake-bt5qp puppies and cats are also their normal diet. in the same chain of food as lambs, pigs, cows and etc. so, god save the lamb and those puppies.",@mrfake-bt5qp幼犬和猫也是他们的正常饮食。在与羔羊，猪，牛等的食物链中，上帝拯救了羔羊和那些小狗。
3837,UgwnZN6NmG4lSc7TjB14AaABAg,2,1 year ago,how can someone's life be so perfect? i mean they basically dont need to spend money on anything. i pray for this. eating natural food is life itself.,某人的生活如何如此完美？我的意思是，他们基本上不需要花钱。我为此祈祷。吃天然食物是生命本身。
33797,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48xXPGG3SnQH,2,3 years ago,"don't forget genesis 1:29 and god said, behold, i have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat (meat obviously meaning food here)",别忘了创世记1:29，上帝说，看哪，我给了你每种含有种子的草药，这是整个地上的脸，每棵树，这是一棵树的果实。对您来说，这是肉（肉显然是在这里的食物）
37431,Ugye5OteAFIDB5cQexF4AaABAg,2,4 years ago,"i could marry her... lol! 
the food is so amazing!!!","我可以嫁给她...大声笑！
食物真是太神奇了！！！"
3947,UgxN2MpsSzbcK8eSos54AaABAg,2,1 year ago,like a food fairy tale (passion),就像一个食物童话（激情）
40333,Ugyz7Op9iweN_AeAW3d4AaABAg,2,4 years ago,"seems very lonely place,,,otherwise you can live,because of foods everywhere.",似乎非常孤独的地方，否则您可以生活，因为那里的食物到处都是。
19611,Ugy2yHiwbn7w20m4KWR4AaABAg,2,3 years ago,dream life ..full stock of handmade food with lovely place and cute puppies,梦想生活..充满手工食品的库存，可爱的地方和可爱的小狗
39623,UgzWpA8DQp31ay3CjnB4AaABAg,2,4 years ago,the food at 4:50 looks great. would love to try this!,4:50的食物看起来很棒。很想尝试这个！
21417,UgxOo6eufk6vq_ZTbT94AaABAg,2,3 years ago,everything looks so visually appealing. the food looks fantastic! i would love to live like this it seems so peaceful,一切看起来都很吸引人。食物看起来很棒！我很想像这样生活
30415,UgyQEtpvXYdNO7AMLw94AaABAg,2,3 years ago,wow amazing and they prepared food was like indain,哇，太棒了，他们准备的食物就像indain
32751,UgyXwsAeYegCw1UAMqd4AaABAg,2,4 years ago (edited),"la, and to eat the sabachki? she herself only dates to throw everything into his mouth, poor dogs. only tears! i look there a closet clogged with food to the ceiling. here you have japan, people are of course insanely smart. even the girl is able to collect a bed of non -hijah! and what i like they live with nature, some kind of roots, bast shoes are edible. i watch a few videos, the first thing that she cares about her mother or grandmother is not important. it is just what kind of upbringing! and the second, how hardworking they are, now i understand why they are in such a small country, an order of magnitude higher than other countries live, their head works like a good swiss watch. surprised their work, and especially the mind",洛杉矶，吃萨巴奇（Sabachki）吗？我看着一个壁橱，上面堵塞了天花板上的食物。在这里，您有日本，人们当然是疯狂的。我喜欢他们与大自然生活在一起，根源，冰棍可以食用。我看了一些视频，她关心的母亲或祖母的第一件事并不重要。这就是什么样的成长！第二，他们的勤奋程度，现在我明白了为什么他们在如此小的国家，比其他国家生活高的数量级，他们的头部像一只好瑞士手表一样工作。使他们的工作感到惊讶，尤其是头脑
21720,Ugyeu7Rm1VaYbwdzDbF4AaABAg,2,3 years ago,"the dog is hungry, give him some food๐’”๐ข",狗饿了，给他一些食物
48134,Ugxsgf77Op-o-xNSbWh4AaABAg,2,4 years ago (edited),"so lovely craftsmanship of her food and lifestyle. i love the scenery and also love,care that is put in all of her food.",她的食物和生活方式是如此可爱的工艺。我喜欢风景，也喜欢爱，照顾她所有的食物。
30245,UgyAXQJP3eX7qLhW-9B4AaABAg,2,3 years ago,can you make more vegan (cruelty free) food? :) you have a lot of plants.. i would love to see you doing more no-meat dishes <3,您可以做更多的素食主义者（无残酷）食物吗？ :)你有很多植物..我很想看到你做更多的无肉菜<3
48313,UgzMTt2u_dCz_9Q1sWl4AaABAg,2,4 years ago,pls give food to,请给
48284,UgwBblU4QoNakBytV7p4AaABAg.8qnEvWoqSAp8qteXV0CBpY,2,4 years ago,"@heghqa i never engage myself in posting negative remarks on the internet. if that's the thought she gives me, why does it offend you so much that you would call it stupid? if you knew of the famine that's coming to the earth, you'd appreciate much more what she is showing us that's possible. she taps into the energy and gifts of mother earth that most of the world population has little knowledge and practice about. for that i say, yes, she brings hope to peace on earth. a world without pride, vicious competitions, wars, famine of food and spirit.",@heghqa我从不参与互联网上发表负面评论。如果这是她给我的想法，为什么它如此冒犯您，以至于您称其为愚蠢？如果您知道即将到达地球的饥荒，那么您将更加欣赏她向我们展示的可能。她利用了世界上大多数人口几乎没有知识和实践的地球母亲的能量和礼物。为此我说，是的，她带来了希望在地球上和平。一个没有骄傲，恶性比赛，战争，粮食和精神饥荒的世界。
8590,UgwYqCD2LygGCILClo14AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
48327,Ugym60kdcy5X3hciLL54AaABAg,2,4 years ago,she cooks like a pro....nice to watch her vid. and i always craving for food to eat....love from philippines,她像专业人士一样做饭。...很高兴看她的vid。而且我总是渴望吃食物。...来自菲律宾的爱
32648,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U9UWP0QC2P4F,2,1 year ago,"@bibit3856 i think she's giving them food off camera, maybe she just doesn't want them to bother her while she films and cooks, it's understandable",@bibit3856我认为她正在给他们食物，也许她只是不想让他们在拍摄和烹饪时打扰她，这是可以理解的
22427,UgzWB-UJXYq-oh2gWlR4AaABAg,2,3 years ago,"as a chinese, i feel so proud of our food๏ผ our unique culture๏ผ๏ผ",作为中国人，我为我们的食物，我们独特的文化感到骄傲！！
47821,UgwQGRMmZfVij7firKt4AaABAg,2,4 years ago (edited),love your puppy... plz give they some foods....,爱你的小狗...请给他们一些食物。
22702,UgwS9MEDCI6TXva7w6R4AaABAg.92ne56UVDc492wAWePxpdn,2,3 years ago,"because it's chinese spring festival.during that time, people will prepare many snacks and food to celebrate the spring festival. it calls โ€ๅนด่ดง๏ผnian huo๏ผโ€.you can learn about this custom from the wikipedia. https://en.wikipedia.org/wiki/chinese_new_year",因为这是中国春节。在那个时候，人们会准备许多小吃和食物来庆祝春节。它称为“ nian Huo）。您可以从Wikipedia了解此习惯。 https://en.wikipedia.org/wiki/chinese_new_year
8083,Ugz0IB1SCfm0NOludXV4AaABAg,2,2 years ago,my favorite snacks and foods! yum!,我最喜欢的小吃和食物！好！
37648,UgwSgWaAYnwe7pCpAMl4AaABAg.8tujY8ij7_M8tvl3tPRFld,1,4 years ago,"most of the food she made (beef jerky, roasted sunflower seeds, peanuts, candies, dry egg rolls) can be stored for a long time. all those food are the family's snacks for a year to come and it's called ๅนด่ดง in chinese. hope that answers your question!",她制作的大多数食物（牛肉干，烤葵花籽，花生，糖果，干鸡蛋卷）都可以储存很长时间。所有这些食物都是一年来的一年的小吃，在中文中称为年年。希望这能回答你的问题！
25940,Ugyw5Veb9-tenV8pJvx4AaABAg,1,3 years ago,i bet they don't worry about running out of food. โก,我敢打赌，他们不必担心食物用尽。 ♡
15340,UgxDIatcPY9hyT6LQFh4AaABAg,1,3 years ago,her grandmother is so lucky that she can always eat delicious food,她的祖母很幸运，她总是可以吃美味的食物
22035,UgwIK60LsBAiYFsmtTB4AaABAg,1,3 years ago,ohe you give food to dogs,哦，你给狗的食物
20663,UgyvKcrw8Kzz7DpTutZ4AaABAg,1,3 years ago,"siter every cooking than food 
cooking in grandma","每一个烹饪者都比食物
在奶奶做饭"
25944,Ugw93U0P1lvpwS5HmYp4AaABAg,1,3 years ago,wow ๐ฎi have to say sheโ€s so perfect talented girl. i love how she prepares her food looks so delicious yummy ๐ if i had a wish i would like that kind of simple life and be living in that time of era were no interference from the outside world. thank you for sharing your life with us che che ๐โ๏ธ๐,哇，我不得不说她是如此完美的才华横溢的女孩。我喜欢她准备食物的样子看起来如此美味的美味
22026,UgzWPG9iETeJ120svBp4AaABAg,1,3 years ago,amazing foods preparation,惊人的食物准备
21595,UgyqNQ2Zf2lNEgBxmxR4AaABAg,1,3 years ago,"hello, li ziqi, i must admit that the monkeys in the sand call the nut as a nut as a hot transfer medium :) all foods that look very delicious make my saliva and eyes bigger, haha โ€โ€:)
philip from cheshire, english, united kingdom,","你好，李子琪，我必须承认，在沙子中将猴子叫作坚果作为热传递介质非常聪明:)所有看起来非常美味的食物都使我的口水和眼睛变大了，呵呵:)
Philip from Cheshire, England, United Kingdom,"
25792,UgzNgLI3NsGXB292pZ14AaABAg,1,3 years ago,"generous nature, natural food, but what a hard work for this cane",慷慨的大自然，天然食物，但对于这个甘蔗来说是一件艰苦的工作
15312,UgzYIGL9eg0DxTVlHYp4AaABAg,1,3 years ago (edited),"i think she is rude because she never gives food or attention to the puppies....they looking thin ....,,she only scolds to puppies....",我认为她很粗鲁，因为她从不给食物或对幼犬的关注。...他们看起来很瘦。。。
23193,UgyYUDkdqepjSbNVXml4AaABAg,1,3 years ago,"i hope that one day can go home, cook delicious food for my parents, give them well, use well, accompany them.",盼望有天能回家，给我爸妈家人煮好吃的，给他们穿好的，用好的，陪伴他们。
22096,UgzJadiD7Ums9ee_zu54AaABAg,1,3 years ago (edited),"when i was a child, i would gather food for the chinese new year. after finishing, everyone took home each other. today, you do the oily horn and the neighbors will make a buckle tomorrow. our children surround them. the corners or the residual product solve the ๆ–่€… ๆ–่€… ๆ–่€…, good ones can only be eaten when they are chinese. although there was a shortage of life material at that time, it was a new year full of humanity. now the new year's required is purchased in the supermarket, and there is less fun. in the building, the neighbors in the building are closed to each door.",儿时左邻右里都会聚在一起制作过年的食品，做完后大家分了各自拿回家，今天你做油角明天邻居做扣肉，我们小孩围着馋得直流口水，最后分得一些边角料或者残次品解解馋，好的都等过年的时候才能吃。虽然那时生活物质短缺，但却是充满人情味的新年。现在过年所需都是在超市购买，少了制作的乐趣，在大楼里除了亲戚间拜年邻里都是关上门各过各的，少了年味。
