,cid,votes,含fuck,含fuck中文翻译
12142,UgxtHt7jkkqjrKQdbOd4AaABAg,0,whoever wrote the cc subtitles. that is not melon seeds. wtf? that's from a sunflower. those are not fried either. it's salted sunflower seeds. who the fuck wrote the subtitles. it's so poorly done.,谁写了CC字幕。那不是瓜子。 wtf？那是从葵花籽的。那些也不炸。它是咸向日葵种子。谁他妈的写了字幕。做得很差。
12135,Ugwi4-TjH3JiEJDMXYd4AaABAg,0,"did this butch just fry some peanuts in dry dirt
fuckin disgraceful","这个烤肉只是用干灰尘炸一些花生吗
他妈的可耻"
11785,Ugzq4rEItg9dGOAIQPx4AaABAg.9E4PcSh6f209E4n-ACCcAh,0,she can be scared... like shut the fuck up not everyone is cool badass bitch like you,她可能会很害怕...就像闭嘴那样，并不是每个人都像你一样酷bit子bit子
11111,UgxIDBxYjW5dZfG9vNB4AaABAg.9F0dEm-IrkH9FCEw2WbBX_,0,"s o 0010 
yep ๐‘ my life is stool do have a fucking problem??","S O 0010
是的"
10547,UgxDVVqNWenatjH6Hzt4AaABAg.9FrmVhp-M_s9HH5Kiosrr_,0,"itโ€s fucking amazing, and i want to too ๐ฅฒ",真是太神奇了，我也想
10449,UgwuPcFSrQtF-67rlNJ4AaABAg.9G03h15g3gY9HH6T0fiIP3,0,"@mazapanputrefacto3299 shut, the actual fuck up. people can praise women.",@mazapanputrefacto3299关闭，实际操。人们可以赞美女人。
10131,UgypuX89uZd_XOOmAll4AaABAg,0,i don't understand anything the fucking mother hahahahaha,我不明白他妈的母亲哈哈哈哈哈
8662,UgxNJgxHS0YdmcSkdYB4AaABAg,0,"what the fuck!!!
the mango is so big","什么他妈的！！！
芒果太大了"
8306,UgxXn__yuMDKSJ8dLCB4AaABAg.9IiqCcMNS5C9JVHY5_WUmR,0,"fuck
sheet","他妈的
床单"
7814,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JQDOmwDICV,0,"@12vtbfx37 i saw that you wrote down that you are our chinese, then how do you fucking do youtube? that's illegal..! in world war ii, we were dominated by japan, and we've never heard of anything related to china. it's all fake and the only real thing is the coronavirus in china. and there's a star pattern on the chinese flag, right? since the star shape started with egypt, you don't seem to deserve to say anything about the taegeukgi. and i just told you about kimchi, why is the story leaking to another place? do you have any evidence to say that you want to take away the kimchi culture? please don't think that china is the center of the world! the population is huge and the production per person is lower than that of korea",@12vtbfx37我看到你写下来说你是我们的中国人，那你怎么他妈的youtube？那是非法的..！在第二次世界大战中，我们被日本统治了，我们从未听说过与中国有关的任何事情。这都是假的，唯一的真实是中国的冠状病毒。而且中国国旗上有一个星形图案，对吗？由于明星形状始于埃及，因此您似乎不应该对Taegeukgi说任何话。我只是告诉您有关泡菜的情况，为什么这个故事泄漏到另一个地方？您是否有证据表明您想带走泡菜文化？请不要以为中国是世界的中心！人口庞大，人均产量低于韩国
7787,Ugzs4WXXc8sdSl0gsHp4AaABAg.9JQ8zPGq6ae9JyFvJFSS2c,0,"@shinkurosetta2157 the fuck did you get that from 
if you look at sichuan, yea, life is like this, i don’t know why y’all think it’s so hard to believe :|","@shinkurosetta2157他妈的你是从
如果您看着四川，是的，生活就是这样，我不知道为什么你们都认为很难相信：|"
7584,UgyG5AQcGQqDcFd9a5t4AaABAg,0,fuck you china,操你中国
20397,UgwCUKAclMTOpyBOAyJ4AaABAg,0,"fucking idiots keep on calling her disney princess? why?
her name is liziqi, and this is her life. she has her own identity. fuck your disney bullshit.","他妈的白痴继续打电话给她的迪士尼公主？为什么？
她的名字叫liziqi，这就是她的生活。她有自己的身份。操你的迪士尼废话。"
20467,UgwBEY2oRT7yFyTmFXl4AaABAg,0,fuck this bull shit!!! pretentious ass lifestyle ๐–•๐–•๐–•๐–•,他妈的这个公牛狗屎！！！自负的屁股生活方式
20745,UgxaV8tqhZFHPelgdvR4AaABAg,0,"why the fuck i wasted my whole time on those talkative influencers. thanks to yt's recommendation, i met you.",为什么我他妈的一直浪费了那些健谈的影响者。多亏了YT的建议，我遇到了您。
30161,UgzJIQLhWtvVXmhZZ_x4AaABAg,0,fuck china u r a dirty country,他妈的中国你一个肮脏的国家
31870,Ugz1oT_aDiLZ8ByCGNh4AaABAg,0,who the fuck is filming this looks to professional lol,谁他妈的正在拍摄这个外观专业大声笑
31612,UgzJAwhWTdscSxSQIH94AaABAg,0,fuck shes hot,他妈的她很热
31457,UgyPcR-7VlWmK97rCyZ4AaABAg,0,"not my life seem 90% more unsatisfied, 100% more fucked n 200% i feel a jerk! in what hell do i belong to?! wot mistakes i did in my past life jesus! ๐“๐“",我的生活似乎不满意90％，我感到100％搞砸了200％，我感到一个混蛋！我在什么地狱属于？我前世耶稣犯了错误！
31326,UgycbDBxfMOxcBavn7Z4AaABAg,0,what strikes me the most is that we western people are fucking up her climate as well.,最让我着迷的是，我们西方人也在他妈的她的气候。
31273,UgyGyZk8Qi_caVg5EJB4AaABAg,0,"fuckin globalization, destroy national culture and nature everywhere! nation culture itโ€s beautiful and people associated with nature...",他妈的全球化，到处摧毁民族文化和自然！民族文化是美丽的，与大自然相关的人...
30751,UgwJZdlpES0a7890c2B4AaABAg,0,sheโ€s like a fucking disney princess,她就像他妈的迪士尼公主
30597,UgyQsTnNz6JRQcVyByl4AaABAg,0,want to marry a girl like this..hardworking..matured and not a feminist fucktard...,想嫁给一个这样的女孩.. hardworking ..整理而不是女权主义的他妈的...
381,Ugz1iAItxgKhCwwyH-N4AaABAg,0,whomever decided to mess up her business needs some major karma. weinian company sucks buttmonkeys. down with corrupt stupid third party leches. i hope she is happy kicking lifes ass and surpassing everyone as she has always done. i'm glad she's done with being used by gross corrperations to make them money. be well princess. shes a fucking national treasure.,决定弄乱她的业务的人需要一些主要的业力。 Weinian Company糟透了Buttmonkeys。与腐败的愚蠢的第三方Leches一起。我希望她很高兴能像她一直这样做的那样踢生活屁股，并超越所有人。我很高兴她完成了被总体关联用来赚钱的工作。做好公主。她是一个他妈的国宝。
30557,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xqXxBtBrxm,0,"@yanggao4361 you should study english first, you dont understand anything of what i have writing...go to fuck yourself asshole!",@yanggao4361您应该先学习英语，您不了解我写的东西...去他妈的自己混蛋！
30478,UgzsO4JdBlfGOW7R6wl4AaABAg,0,sorry for the word that's what you call a fucking simple life all u need is right there,抱歉，您称之为他该死的简单生活，您所需要的就是在那里
30394,UgwjiZzG4UNTjX1qtwp4AaABAg.8x4QueTokJx8yRiS4Gmkoa,0,fuck terry ๐,他妈的特里
30339,Ugxo4N4TGTQU1EBa6td4AaABAg,0,"she knows how to fuck everything, i would have married",她知道怎么操，我会结婚
30240,UgyvRaRqh8ZPEFSUd-h4AaABAg,0,"what kind of words are fucking, but so quickly, if you can see what it is to get in",什么样的单词在他妈的，但是如果您能看到什么是什么，但是很快
29940,UgwIXpNIDAUtEu31V6V4AaABAg,0,"honestly my life is totally fuck in front of her. our life is busy to making a money in pvt sector but her life is with piece , enjoying nature. someday after breaking my rat race i live same life.",老实说，我的生活完全在她面前他妈的。我们的生活正忙于在Pvt领域赚钱，但她的生活与著名，享受大自然。总有一天，我的老鼠比赛过后，我过着同样的生活。
21078,UgydYlvYaIx-KESNRid4AaABAg,0,fucking exquisite,他妈的精致
28588,UgwtFY-AP-KfW2vn4Eh4AaABAg,0,"why the fuck those dogs and lamb follow her doing things, a dream to live life like this",为什么他妈的那些狗和羔羊跟随她做事，一个像这样生活的梦想
27844,UgzBdnCssn0nEH0Y8rd4AaABAg.8z1iLvaUDyu8z2pcYLEZRl,0,fuck off,滚开
27410,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB970YxFzcT5H,0,fuck u such a long story...i didnt even read.,他妈的你是一个长篇小说...我什至没有读过。
26845,UgxO-yAiUDgCeqgrwjR4AaABAg,0,daaaa - there was a beautiful manchuria _strane of white people .... and now fucked up - everyone was sitting on the sinai reptiles ...,daaaa-有一个美丽的满洲_白人的strane。
25886,UgwGeEQT6Hzx0Mf10AZ4AaABAg.8zwQswse-Z_9-N274BP0PH,0,"vanessa kennedy thatโ€s literally what being a farmer is. what, you want her just to say fuck it and have her family who is dependent on subsistence farming completely abandon one of the major aspects of that practice? come on now.",凡妮莎·肯尼迪（Vanessa Kennedy）实际上是农民的意思。什么，您希望她只是说他妈的，并让她的家人依赖生存耕种，这完全放弃了这种做法的主要方面之一？来吧。
24993,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW91gYdOecIEw,0,"@oc-cpa finally you came up with a good question in the last of your reply? yes, why a miserable chinese who doesn't have the freedom of speech or freedom of press could even show up in this website? shouldn't you questioning about what you have been told by the western media now? you are so self-righteous to say people are worldview distorted and brainwashed bla bla by only knowing that i'm a chinese and i speak for china. look who is brainwashed now? i think a mature adult should know to see things dialectically. we or i never say that xi made himself president for life is right or good. actually we were very upset with this even though we know that chinese political system is originally not democratic. but after thinking about the time when all my americans friends had to choose a worse president out of the worst, and the time when the british ordinary voted for brexit but was shocked by the result because they were suppose to vote it for fun, i do think that it might not be a bad thing. because ordinary people have no idea what and who they are voting(americans votes for what they have been promised by the candidates, but god knows if the promises can really became real. most of the time they are fulled by the candidates, or in the end the voted president didn't make his promise come true if though they might want to keep his promises). if xi is a good president and can lead the chinese to better economy and a more united country, why could let him be a life president? i know you would start your noble democracy literature like other westerners. but fuck off democracy! democracy is not the only right way to run a country. actually, is democracy a right way is a good question as well. look at how the democracy has decreased or stopped the economy in most western countries! even america, look at how old their highways are and the terrible road conditions; the average annually income hasn't change much in 10 years, not even mentioning other western countries. they are falling. i like what the former president of singapore lee kuan yew said: countries like us who need to catch up do not need democracy. we have to gather our resources and use it to one and only goal. that is what suitable for us. and now look at what a marvelous country he managed to build from nothing! no homeless, super safe society with diverse culture and people from different background. thus your democracy doesn't work and suits others. don't be bully judging others by thinking only your way is the right way. that is very immature thought. but you are not immature in only that aspect, look at how funny you said about nathan rich. he said things you didn't familiar but contradict to what you thought then you said this person has no integrity but just to please the chinese. why do you stop trying to be a truth-fighter now by criticizing about his content but instead to attack this person? cause you know you don't have the ability to say it out loud that what he had said was unreal. you want to but you cannot.only i and other who truly have ever lived in china can have that right to say if what he said is true or fake. we were arguing if the content in the western media is true or not right? why come to nathan rich's videos, you switched to just subjectively judging a person instead of arguing the objective video contents? so stop lecturing about your so called ""freedom of speech"" cause it's actually not existing in america either. youtube's algorithms has set limits to the reviews of videos which contents the authority don't want you to see. so don't be childish, believe what you have seen by your real eyes. that's why i recommend nathan rich's videos cause the chinese current situations described by him is the one i know of and experienced. i live outside china but i do go back every now and then. i worked and lived in the states from 2012-2018 in a world top tech company having top 5-10% american annually income, but i still feel the huge problems of american society. the extreme white left politicians, the stupid law of letting the criminals to go away if the assets amount they get from robbery or stealing is under $975, the unavoidable frequent car window broking robbery, the drug problem, the disgusting streets of sf with homeless and their shits. your democracy just don't work that well, ok? just accept the truth that not everyone want this and they can live a good life without this. after my american greencard application got current, i had to make a choice if i really wanted to live here and raised my child in a society like this. our answer was no and my family voted by our own feet--we moved out of the states. so all the above came from a person who had really lived in both china and america, sorry to let you down and snapped your face about your brainwashed and worldview distorted conclusion. but if you insist by saying this poor chinese is just so deeply brainwashed even your great truth teller western media couldn't save her back in 7 years, feel free to say so.",@oc-cpa终于在回复的最后一个回复中提出了一个很好的问题吗？是的，为什么一个没有言论自由或新闻自由的痛苦的中国人甚至会出现在本网站上？您现在不应该质疑西方媒体所告诉您的内容吗？您是如此自以为是，以至于人们只知道我是中国人，而我为中国说话，人们就被世界观扭曲和洗脑了。看谁现在被洗脑了？我认为一个成熟的成年人应该知道辩证的事情。我们或我从未说过习近平使自己终身总统是正确的。实际上，即使我们知道中国政治制度本来不是民主的，我们对此感到非常沮丧。但是，在考虑了我所有的美国人朋友都必须从最糟糕的情况下选择更糟糕的总统的时间，而英国普通人投票赞成英国脱欧，但对结果感到震惊，因为他们本来应该投票赞成娱乐，我确实如此认为这可能不是一件坏事。因为普通人不知道他们在投票的是什么（美国人都投票赞成候选人所承诺的东西，但上帝知道承诺是否真的可以变得真实。在大多数情况下，他们都被候选人或在结束选票的总统不会做出他的诺言，尽管他们可能想兑现他的诺言）。如果习近平是一名好总统，可以带领中国人走向更好的经济和更加统一的国家，为什么让他成为终身总统？我知道您会像其他西方人一样开始您的崇高民主文学。但是，滚蛋民主！民主并不是经营一个国家的唯一正确方法。实际上，民主是正确的方法也是一个很好的问题。看看大多数西方国家的民主如何减少或阻止经济！甚至美国，看看他们的高速公路年龄多大和可怕的道路状况。每年的平均收入在10年内没有变化太大，甚至没有提及其他西方国家。他们跌倒了。我喜欢新加坡前总统李·库恩（Lee Kuan Yew）所说的：像我们这样的国家，需要赶上的国家不需要民主。我们必须收集我们的资源，并将其用于一个唯一的目标。那就是适合我们的。现在看看他设法从一无所有地建立了一个奇妙的国家！没有各种文化和来自不同背景的人的无家可归，超级安全的社会。因此，您的民主不起作用并适合他人。不要通过仅思考自己的方式来欺负他人是正确的方法。那是非常不成熟的想法。但是，您并不是在这方面并不成熟，请看看您对Nathan Rich的说法有多有趣。他说您不熟悉的事情，但与您的想法相矛盾，然后您说这个人没有诚信，而只是为了取悦中国人。为什么您现在不再试图通过批评他的内容而试图成为真相战斗机，而要攻击这个人？因为您知道您没有能力大声说出他所说的是虚幻的。您想，但您不能。只有我和其他曾经住在中国的人可以说他说的是真的还是假的。我们在争论西方媒体中的内容是正确的吗？为什么要参加内森·里奇（Nathan Rich）的视频，您改用了主观评判一个人而不是争论客观视频内容？因此，不要再对您所谓的“言论自由”进行讲授，因为它实际上也不存在于美国。 YouTube的算法已设定了视频评论的限制，该视频内容不希望您看到。因此，不要幼稚，相信您的真实眼睛所看到的。这就是为什么我推荐内森·里奇（Nathan Rich）的视频，原因是他所描述的中国当前情况是我知道和经历的。我住在中国以外，但我不时地回去。从2012年至2018年，我在一家世界顶级科技公司中工作并居住在美国，每年获得5-10％的美国收入，但我仍然感到美国社会的巨大问题。极端白人左派政客，如果他们从抢劫或偷窃的资产金额不到975美元，那是让罪犯离开的愚蠢法律，这是不可避免的经常发生的车窗经纪抢劫，毒品问题，令人恶心他们的狗屎。您的民主制度不太好，好吗？只要接受并非每个人都想要这个的事实，没有这个，他们就可以过上美好的生活。在我的美国绿色申请中申请后，如果我真的想住在这里并在这样的社会中抚养我的孩子，我必须做出选择。我们的回答是否定的，我的家人用自己的脚投票 - 我们搬出了美国。因此，以上所有内容都来自一个真正生活在中国和美国的人，很抱歉让您失望，并为您的洗脑和世界观扭曲了结论。但是，如果您坚持说这个可怜的中国人被深深地洗脑了，即使您的伟大真相teller teller teller媒体无法在7年内拯救她，请随时这样说。
24230,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF9HH6nyCjeyz,0,@zavtradnem have you ever heard of a difference between people and government? open your fucking eyes. thereโ€s a world beyond the brim of your maga hat.,@zavtradnem您是否听说过人和政府之间的区别？睁开你的眼睛。除了您的杂志帽子外，还有一个世界。
24191,UgwOyKy10kpE6sP1bl14AaABAg,0,"everything is so clean and neat, and dogs, fucking, groomed",一切都很干净整洁，狗，他妈的，修饰
23804,UgyZWMmiQn4ZML3GoEp4AaABAg,0,imagine living in this place with no fucking wifi breathing air and drinking water and eating healthy,想象一下，住在这个地方，没有他妈的wifi呼吸空气和饮用水和健康饮食
22923,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg193CX4w80jTD,0,"i see many haters are barking here
i wish them to shut the fuck up","我看到很多仇恨者在这里吠叫
我希望他们闭嘴"
22685,UgwgapuKNS0fPjVnesl4AaABAg,0,fucking ahog,他妈的Ahog
22496,UgxVfwECUYJIPB3QNKF4AaABAg,0,10:00 does the fucking dog feel heat? i feel heat,10:00他妈的狗会感到热吗？我感到热
21902,UgwpczVT872qUPIHj2N4AaABAg,0,when you find out she made the fucking oven by herself a year ago,当您发现她一年前自己做烤箱
52751,UgxqDa8CwugoHVmEXJh4AaABAg,0,dogs are also a fuck,狗也是他妈的
