,cid,votes,含fruit,含fruit中文翻译
22170,UgxJYIeLxjOWw9KdOHt4AaABAg,0,"i love all your videos! ❤❤❤ i watch every video few times and i can't stop. you inspire me to do more, to prepare for winter. even if i have to buy some products, i went for farmer market and bought my fav vegetables and fruits and prepared my fav jams and other preserves and i will continue to do that. it's autumn right now in my country, time for pumpkins, apples, pears, nuts, carrots, potatoes and orher delicious food",我喜欢你所有的视频！ ❤❤❤我看了几次视频，我无法停止。您激励我做更多的事情，为冬天做准备。即使我必须购买一些产品，我也去了农贸市场，买了我最喜欢的蔬菜和水果，并准备了我最喜欢的果酱和其他果酱，我将继续这样做。现在是秋天在我的国家，是南瓜，苹果，梨，坚果，胡萝卜，土豆和Orher美味的食物的时间
17909,UgxfmMcczJF6IJMQAXl4AaABAg,0,"zi yan, hello, your movie is so good, especially your plant planting plants, all of which are beautiful, but there is one thing to ask you, you can use lotus root, bamboo shoots, as long as you step out of your home, all kinds of fruits you have picked up , it's all of your family, or it grows naturally. i think i feel that living there is so happy, and i also wish you a good success (from taiwan fans)",子柒妳好，妳的影片好好看，尤其是妳种的植物，都好漂亮，但有一事想请问你，妳采得莲藕，竹笋，只要是踏出妳的家园，妳所采的各种水果，都是妳家种的，还是自然生长的，我看ㄌ觉得住在那里好幸福喔，同时也祝福妳幸福成功，(来自台湾粉丝)
21846,UgxVXXZg-Tq1APo6eQ14AaABAg,0,what is the fruit,我知道什么是水果
4934,Ugyv3M-TjXHxpDdAgzR4AaABAg,0,cool farm ang fruit and your sweet grama,凉爽的农场果实和您的甜美grama
8140,Ugzu1ax0cm43g4jBZmB4AaABAg.9C3B1EaGOCo9C4ScdVoBar,0,@yunissilviana5612 spice sm ky use young jackfruit? bamboo shoots there is a bad smell,@yunissilviana5612香料sm ky使用年轻的菠萝蜜吗？竹芽有​​不好的气味
8138,Ugzu1ax0cm43g4jBZmB4AaABAg.9C3B1EaGOCo9C3j9y17DDV,0,@yunissilviana5612 megono instead of using young jackfruit,@yunissilviana5612兆诺，而不是使用年轻的菠萝蜜
6877,Ugzch0LX_vCRrAYXhoB4AaABAg,0,"a place that full of fruits, vegetables and smarty people is called liziqi's place ๐",一个充满水果，蔬菜和聪明人的地方被称为Liziqi的地方
6398,UgyD87_9HBdg4Z4agC94AaABAg,0,"feels like you are living in the heaven.. you are a product of film industry, your job is a natural actress.. sick of the same movies picking up veggies and fruits all over the world.. same movies every year..",感觉就像您住在天堂中。.您是电影业的产物，您的工作是一位天生的女演员。.厌倦了全世界的蔬菜和水果的相同电影。每年相同的电影。
6286,UgxVDnGz960f_NWmkKN4AaABAg,0,all fruits and vegetables are there in her garden,所有水果和蔬菜都在她的花园里
5129,UgyfMgBBr5vfj1FzjjZ4AaABAg,0,"11 benefits of bamboo shoots which turned out to have an extraordinary impact on health

bamboo shoots, in latin, are called dendrocalamus asper, are one of the food ingredients that we often encounter in indonesian cuisine. besides being made vegetables, bamboo shoots are also often made stuffing spring rolls.
hard bamboo shoots on the outside and soft, rather sweet and crisp inside. for centuries the asian people have processed it into various preparations.
according to research, bamboo shoots contain antioxidants, vitamins, minerals, fiber, protein, and low fat content.
fresh bamboo shoots have a large amount of vitamins a, b6, c, and e and calcium, potassium, niacin, iron, folate, copper, zinc, selenium, manganese, magnesium, phosphorus, and thiamine.
bamboo shoots also contain phytochemicals such as lignans and phenolic acids which have anti-cancer, anti-bacterial and anti-inflammatory effects.
bamboo shoots can be added to soup, dumplings, stir -fry, stews, and salads. bamboo shoots can be boiled and used in various dishes, can be served as a vegetable ingredient. we can also consume delicious pickles made from bamboo shoots.

this plant was not only delicious but also rich in benefits as summarized from the health line and digest;

1. low sugar
the amount of sugar found in bamboo shoots is about 2.5 grams per 100 grams. the amount is lower than the sugar content found in fruits and vegetables. thus bamboo shoots are good for diabetics.

2. source of protein
a thousand grams of bamboo shoots have about 2 to 2.5 grams of protein. the protein found in bamboo shoots consists of seventeen essential amino acids and two semi-essential amino acids.
protein is good for repairing cells and building, as well as maintaining body tissues. the amount of protein absorbed by the body for maintenance, depends on health conditions.
for example, people are undergoing recovery after surgery and accidents, requires higher protein intake than ordinary people. in addition, greater amounts of protein are also needed when sick, as well as for pregnant and breastfeeding women.

3. rich in vitamins and minerals
who would have thought if bamboo shoots turned out to be rich in vitamins and minerals you know. bamboo shoots contain vitamins such as vitamin a, vitamin b6, vitamin e, thiamine, riboflavin, niacin, folic acid and pantothenic acid.
then the minerals found in bamboo shoots include calcium, magnesium, phosphorus, potassium, sodium, zinc, copper, manganese, selenium and iron.

4. high fiber
bamboo shoots are also rich in fiber. the amount of food fiber contained in bamboo shoots is around 6-8 grams per 100 grams.
eating bamboo shoots can help improve the quality of intestinal movements that are healthier, so that we keep us protected from intestinal problems.

5. stimulates food lust
cellulose high bamboo shoots that can stimulate appetite. the taste and texture of bamboo shoots also makes it can be an appetizer.

6. control cholesterol
research conducted by washington state university shows that bamboo shoots have a beneficial effect on cholesterol, lipids and intestinal function.

7. strengthening the immune system
vitamins and minerals found in bamboo shoots can help improve the immune system.

8. regulates high blood pressure
because of its high level of potassium, bamboo shoots can help reduce blood pressure levels.
the study also found that potassium in bamboo shoots can strengthen our heartbeat, thereby improving heart health. a portion of bamboo shoots can give us one fifth of the recommended daily amount of potassium.
bamboo shoots contain lots of potassium. potassium can act as an electrolyte, and is also very good for lowering and maintaining blood pressure.

9. contains anticancer properties
this plant contains pitosterol which has effective anti-cancer properties that are effective against gastric cancer, lung cancer, breast cancer, and ovarian cancer.
flavones, chlorophyll, and amylase found in bamboo shoots are called phytosterols. in addition, bamboo shoots can also reduce the risk of colon or colorectal cancer.
this is according to a research paper published by vivek sharma and nirmala chongtham.
bamboo shoots also have antioxidant phenolic compounds that are preventive of cancer.

10. helps treat menstrual / menstrual problems
regular bamboo shoots can help various reproductive health problems in women.
this can help treat irregular menstrual cycles, infertility problems, and reduce labor pain and prevent too much blood loss after childbirth.

11. prevent respiratory problems
to use it in cases of respiratory disorders, we need to make bamboo shoots by boiling it twice.
the first stew for 5 minutes is followed by a second boil for about 10 minutes. for the best results, drink this water with honey.","11竹芽的好处，结果对健康产生了极大的影响

拉丁语中的竹芽被称为树突状阿斯伯，是我们在印尼美食中经常遇到的食品成分之一。除了制作蔬菜外，还经常制作梳子。
外面的硬竹芽，内部柔软，柔软，甜美而脆。几个世纪以来，亚洲人民将其处理为各种准备。
根据研究，竹芽含有抗氧化剂，维生素，矿物质，纤维，蛋白质和低脂肪含量。
新鲜的竹芽具有大量的维生素A，B6，C和E和钙，钾，烟酸，铁，叶酸，铜，锌，硒，硒，锰，镁，磷，磷和硫胺素。
竹芽还含有具有抗癌，抗细菌和抗炎作用的木糖和酚酸等植物化学物质。
可以将竹芽添加到汤，饺子，搅拌，炖菜和沙拉中。可以将竹芽煮沸并在各种菜肴中使用，可以用作蔬菜成分。我们还可以食用用竹芽制成的美味泡菜。

正如从健康线和消化中总结的那样，这种植物不仅很美味，而且还富裕。

1.低糖
竹芽中发现的糖量约为每100克2.5克。该量低于水果和蔬菜中发现的糖含量。因此，竹芽对糖尿病患者有益。

2.蛋白质来源
一千克的竹芽有大约2至2.5克蛋白质。竹芽中发现的蛋白质由十七个必需氨基酸和两个半必需氨基酸组成。
蛋白质非常适合修复细胞和建筑物以及维持身体组织。人体吸收的蛋白质量取决于健康状况。
例如，在手术和事故发生后，人们正在接受康复，需要比普通百姓更高的蛋白质摄入量。此外，生病以及孕妇和母乳喂养的妇女还需要更多的蛋白质。

3.富含维生素和矿物质
谁会想到竹芽是否富含您知道的维生素和矿物质。竹芽含有维生素A，例如维生素A，维生素B6，维生素E，硫胺素，核黄素，烟酸，叶酸和泛酸。
然后在竹芽中发现的矿物质包括钙，镁，磷，钾，钠，锌，铜，锰，硒和铁。

4.高纤维
竹芽也富含纤维。竹芽中含有的食物纤维量约为每100克6-8克。
吃竹芽可以帮助提高更健康的肠道运动的质量，从而使我们免受肠道问题的保护。

5.刺激食物欲望
纤维素高竹芽可以刺激食欲。竹芽的味道和质地也使它成为开胃菜。

6.控制胆固醇
华盛顿州立大学进行的研究表明，竹芽对胆固醇，脂质和肠功能具有有益的作用。

7.增强免疫系统
在竹芽中发现的维生素和矿物质可以帮助改善免疫系统。

8.调节高血压
由于其高水平的钾芽可以帮助降低血压水平。
该研究还发现，竹芽中的钾可以增强我们的心跳，从而改善心脏健康。一部分竹芽可以为我们提供建议的每日钾含量的五分之一。
竹芽中含有大量钾。钾可以充当电解质，也非常适合降低和维持血压。

9.包含抗癌特性
该植物中含有硫醇，具有有效的抗癌特性，可有效抗胃癌，肺癌，乳腺癌和卵巢癌。
在竹芽中发现的黄酮，叶绿素和淀粉酶称为植物固醇。此外，竹芽还可以降低结肠癌或结肠直肠癌的风险。
根据Vivek Sharma和Nirmala Chongtham发表的研究论文。
竹芽还具有预防癌症的抗氧化剂酚类化合物。

10.有助于治疗月经 /月经问题
定期的竹芽可以帮助女性的各种生殖健康问题。
这可以帮助治疗不规则的月经周期，不育问题，减轻劳动疼痛，并防止分娩后过多失血。

11.预防呼吸系统问题
要在呼吸系统疾病的情况下使用它，我们需要通过将其煮沸两次来进行竹芽。
第一次炖煮5分钟，然后再煮沸约10分钟。为了获得最佳效果，请与蜂蜜一起喝这种水。"
4647,UgwvASkrUS6aHl3t9_x4AaABAg,0,what kind of fruit is that in the last shot?,最后一镜头是什么样的水果？
8917,UgwerG-amTCFYYj-RMt4AaABAg,0,"you are the champion of the vegetable plant, teach them vegetables, the leaves are better than the fruit.",您是蔬菜植物的拥护者，教他们蔬菜，叶子比水果更好。
3607,UgxUrVchsZe8KvWVnjF4AaABAg,0,"those who are surprised to do the lisiqi alone and go to a turkish sheep and watch women for 1 day. my mother would get up like 4 5. cows, sheep used. he would boil the milk, he would separate a part for cheese. in the meantime, it would be 6 7, then hold on to the head ... 4 5 in separate places. he would collect the holdings, he would. in the meantime, ogle would also prepare the dinner. he nourished chickens, turkeys. the garden of the garden was three times the garden. there was a variety of vegetables, fruits, all of them sewing and large. he would raise the flour of the wheat, he would raise the aycicegini oil, he had a bostani, he had gone, he would go to the capalam, he would go to the capalam. and he would do it all alone. my grandfather would never help. there was no haasik mak, there was no camasir. he used to make the renovation job of the house, his paint, his whitewash, the roof ... so the peasant turkish woman is more difficult than the secret. it's not just photogenic like it. otherwise, the job load is more heavy. there is no child in this. my mother would also look at her 4 grandchildren.",那些惊讶地独自做Lisiqi并去土耳其绵羊看女人一天的人感到惊讶。我妈妈会起床大约4 5。牛，绵羊用了。他会煮牛奶，他会分开奶酪的零件。同时，它将是6 7，然后握在头上... 4 5在不同的地方。他会收集股份。同时，Ogle还将准备晚餐。他养育了鸡，火鸡。花园的花园是花园的三倍。有各种各样的蔬菜，水果，都缝制和大。他会抚养小麦的面粉，他会抚养艾西西吉油，他有一个波斯塔尼，他去了，他会去卡帕拉姆，他会去卡帕拉姆。他会独自做到这一点。我的祖父永远不会有帮助。没有Haasik Mak，没有Camasir。他曾经做过房屋的翻新工作，他的油漆，粉饰，屋顶……所以农民土耳其妇女比秘密要困难。不仅是上镜的。否则，工作负荷更为重。这没有孩子。我母亲还会看她的4个孙子。
3593,UgysH3gH9NXyKiAQvJF4AaABAg,0,hi liziqi - you are showing orchards with fruits flowers and vegetables. are these all from your garden and in one place. i’m quite curious to know so many varieties of vegetables and fruits growing in one plot of land.,嗨，liziqi-您正在展示带有水果花朵和蔬菜的果园。这些都是从您的花园和一个地方。我很想知道在一块土地上生长的蔬菜和水果这么多种。
1942,Ugx9_tU6RrHrEMyoz7F4AaABAg,0,"my grapefruit is so beautiful,",我的葡萄柚是如此美丽，
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
1696,Ugwfrw97FnKO6XSO10B4AaABAg,0,"god ▪ tao ▪ ran! fruit, vegetables and fish contaminated by industrialized pollution and is not contaminated with fertilizer pesticide hormones. the biggest failure of western industrial civilization, especially the british and american development industrial models, is here !!",天▪道▪自▪然!不受工业化污染的自然环境，不受化肥农药激素污染的瓜果蔬菜鱼肉。西方工业文明特别是英美发展工业模式最大失败正在于此!!
1553,UgxU9_Drud3RI51Ny3F4AaABAg,0,i often collected chestnuts and acorns with us. - but then i didn't know what to do with it. - don't just eat the deer and deer? ... - you have to learn it. - is there such a guide with european fruits?,我经常和我们一起收集栗子和橡子。 - 但是那时我不知道该怎么办。 - 不要只吃鹿和鹿吗？...-您必须学习它。 - 是否有欧洲水果的指南？
8595,Ugzti1Mik3zcj9rrCE14AaABAg,0,too much veg and fruits for 2 people,两个人的蔬菜和水果太多
9382,UgzKhFn_wS7yNE7E_KN4AaABAg,0,"i really like your kitchen, your vegetables, the fruits, you make them pushed to your home, your homemade shopping, i love it.",我真的很喜欢您的厨房，您的蔬菜，水果，您将它们推到家里，自制购物，我喜欢它。
21637,UgxEX5U8L5rwGJoz9Hp4AaABAg,0,why are the fruits and vegetables of ziyi very beautiful and there are no insect pests?,为什么子柒种的蔬果都很漂亮，没什么虫害？
