,cid,votes,含fruit,含fruit中文翻译
27689,UgyYEb9Zc4EknFqRl4B4AaABAg,3,"peanut melon seeds, sugar gourd, stems, churrous fruits, snowflakes crispy",花生瓜子糖葫芦，肉干果脯雪花酥
10531,UgzZ9A8K1dLgcQJpMtp4AaABAg,3,mmmm sugared up hawthorn fruit on a stick....good memories with my mum and sister. i miss china ๐คฉ,mmmm在棍子上加糖霍索恩水果。我想念中国
50355,UgyGjPoxiZOXLKFtojN4AaABAg,3,was this dry fruits edition???☺️☺️☺️,这是干果版吗？
6094,Ugy7-7XUg_03pMGLvSx4AaABAg.9MuG_7Zx7T29OqemJcCQzo,3,"watching her video is really brisk, the pastoral scenery, the mountains and rivers. hug nature and eat natural food. go to pick the fruits and vegetables you want to eat every morning. it's great to have a full sense of harvest. you are awesome. bleak",看她的视频真的心情很轻快，田园风光，山青水秀。拥抱大自然，吃的天然食物。每天早上去摘当天要吃的蔬果。有满满的收获感真好。你真棒。
25093,UgzOqu-sQieVq10xc2d4AaABAg.9-qAo41HJ_N9-tN4b2QBtR,3,"itโ€s grapefruit, but imagine if they were lemons ๐‘€",这是葡萄柚，但想象一下他们是否是柠檬
7546,UgwcAm4iOXVRSpbUYRJ4AaABAg,3,"wow what wonderful, i was delighted.
i would like to know that big fruit is that one that took from the tree.","哇，真是太好了，我很高兴。
我想知道那是从树上拿走的大果。"
15916,UgzG8-wZIxeBsNQYOXZ4AaABAg,2,i'm jealous! how can that fruits looks so stunning? feel like i smell fresh air from here....i love it..,我嫉妒！这些水果看起来如何如此迷人？感觉就像我从这里闻到新鲜空气。...我喜欢它..
12473,Ugxrp_aE34V42I7bpE94AaABAg,2,"this video reminded me the time when i was smaller and lived on the border with china, we used to go to china sometimes on the weekends in winter and have these traditional sweets, sold on the streets - fruits in caramel on a stick, and when i licked it in -30 degrees my tong glued to caramel...",这段视频让我想起了我小规模并住在中国边界的时间，我们曾经在冬天的周末去中国，并在街上卖出这些传统糖果 - 焦糖的水果在木棍上，以及我用-30度舔了它，我的钳子粘在焦糖上...
4949,UgwlIKsjU5dOFoPuVvd4AaABAg,2,"i am a strange fruit eater, i am not satisfied with some of them at all",我是一个奇怪的水果食者，我对其中的一些不满意
36177,Ugzwig0Cr7Xs0E6IVk14AaABAg,2,how do oranges and grapefruit grow in the cold?!,橘子和葡萄柚如何在寒冷中生长？
35831,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8upzQ5DAEew,2,"miranti dwi ikr heck im still takeing care of a garden in minecraft 


when i could move to japan or where ever she is and eat exotic fruits i have never tryedddd","miranti dwi ikr heck im仍在照顾我的世界花园


当我可以搬到日本或她所在的地方吃奇特的水果时，我从未尝试过"
35602,UgzMyeG6QfcfDz2tzj54AaABAg,2,"i admit i'm jealous of grandma, but what's that on her head?but seriously, thanks from missouri for the abundant ""eye-candy"". hawthorn fruits are huge there!--and what a clever way to get your heart tonic! โคyour sweet animal friends too!",我承认我嫉妒奶奶，但是她的头上是什么？霍索恩的水果在那里很大！ ❤你甜蜜的动物朋友！
20350,Ugz4RS0UNZALxraC1lZ4AaABAg,2,i had never seen such hardworking girl ever......she dont waste anything and use every part of fruit vegetable or anything else๐,我从未见过如此勤奋的女孩……她不浪费任何东西，使用水果蔬菜的每个部分或其他任何东西
16548,UgwkmtE1tfFUTE7yQZF4AaABAg,2,"there are so many chinese new year snacks, very rich! the couples have a total of 12 欵 数 数 数 数 数: rock sugar gourd, sesame peanut sugar, bird sugar, dried mango, beef jerky, rice, explosion, salt fried demon melon seeds, fried peanuts, chestnuts, egg rolls, grapefruit/ grapefruit/ grapefruit/ grapefruit/ grapefruit/ grapefruit/ grapefruit/ grapefruit/ big mandarin. bleak",过年小食原来咁多，很丯富啊！数过共12欵样样都好味道：冰糖葫芦、芝麻花生糖、鸟结糖、芒果干、牛肉干、米通、爆谷、盐炒魔登瓜子、炒花生、焗栗子、鸡蛋卷、柚子/大柑。
30876,Ugy3YolHHrz6BAq-1VV4AaABAg,2,"glory be to god, a paradise on the ground in which all fruits, vegetables, and girl are creative, and life is great in this spot of the earth.",荣耀归于上帝，在所有水果，蔬菜和女孩都有创造力的地面上的天堂，在地球这个地方的生活很棒。
5547,Ugw2GQGPRy0Xr2LAOQZ4AaABAg,2,"love your daily life lun, there are all kinds of fruits and vegetables",爱你的日常生活，有各种各样的水果和蔬菜
37127,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXx-UOKl6s,2,"@potatosalad3097 ahh that's sad 
why was it sold is it too personal you can answer if you want 

you could've made your own business selling fruits i do that with my grandma we make sweets to sell for the children","@potatosalad3097啊，这很可悲
为什么卖出它是个性化的，如果您愿意，您可以回答

您本来可以做自己的企业出售水果，我和我的奶奶一起做糖果，为孩子们出售"
30868,Ugy1-fv4zqvpMN91VRJ4AaABAg,2,in indonesian this fruit the name is berangan. at first minute,在印度尼西亚人，这个名字叫贝兰加。在第一分钟
30765,Ugxu_vDAl1HcDCmG18d4AaABAg,2,"you beyond beautiful and arrested+ princess !!!! give a very tasty hug in grandma ... i am delighted with so many beautiful roses and hot fruits..and the snacks and a delight only health
the meat was beautiful !!! then you all his.๐ท๐ฒโ๐ป๐’๐‘๐‘๐‘๐‘","您超越了美丽而被捕+公主！！！在奶奶中给一个非常美味的拥抱...我对这么多美丽的玫瑰和热水果感到高兴。
肉很漂亮！！！那你全都是他。"
30280,UgwDPkGQd0OEgrZTeih4AaABAg,2,i admire this kind of village.. everything u want is just available at ur home or garden.. no need to go fresh market or fruits stalls..aside from china where we will find this kind of place?,我欣赏这种村庄。.您想要的一切都可以在您的家中或花园里买到。.不需要去新的市场或水果摊位。在中国，我们会找到这样的地方吗？
24345,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92EX2iAowUa,2,"@softclouds123 i am sorry about my english if i did any mistake but.. can i really advice onething ; if you really want to learn this story you should read "" quran-i kerim"" with mean.. there explaining so perfect. they ate this fruit and allah make them out of heaven cos allah (cc) was told them "" dont eat. "" allah check them only.. but at end they ask forgiveness perfectly... talking about this like that is not good.. they are our "" mother and father "". they are father and mother for all muslims..",@softclouds123我对我的英语感到抱歉，如果我犯了任何错误，但是..我真的可以建议吗？如果您真的想学习这个故事，则应该以卑鄙的方式阅读“古兰经”。他们吃了这种水果，真主使他们离开天堂，cos cos cos Allah（CC）被告知他们“不要吃。他们是我们的“母亲和父亲”。他们是所有穆斯林的父亲和母亲。
28231,UgzYBQyV4sTpmLGVQUJ4AaABAg,2,"wow so incredible place, fruits and everything... i wish i can go there someday.๐‘๐ป๐‘๐ป",哇，如此令人难以置信的地方，水果和一切...我希望我有一天能去那里。
21146,UgyhjLJhEdsIX22MCtN4AaABAg,2,"omg the most beautiful video i've seen, it made want to get in the kitchen more and wished i had my own fruit trees.",天哪，我见过的最美丽的视频，它想进一步进入厨房，并希望我有自己的果树。
17383,UgywiAWjlW8fVpcNX4t4AaABAg,2,"picking grapefruit was really shocked to me! my hometown is a huge and difficult to use, so it looks so cool.",摘柚子真的惊到我了！我老家都是一个长勾子巨难用，这样看起来好爽啊
500,Ugwtv3KGvqjt0h4LxPB4AaABAg,2,i think 2/3years back am watching this women.... i feel she's in heaven of nature like all fruits veggies raw flesh i envy her's leàding it's so healthy it never look like she's one among us...... with all so much stuff around her.,我认为2/3年的回头看着这个女人。...我觉得她像所有水果一样在大自然中，就像所有的蔬菜生肉一样，我羡慕我的肉，但她的生活真是太健康了，看起来永远不会像我们中间一样。 .....周围有很多东西。
33797,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48xXPGG3SnQH,2,"don't forget genesis 1:29 and god said, behold, i have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat (meat obviously meaning food here)",别忘了创世记1:29，上帝说，看哪，我给了你每种含有种子的草药，这是整个地上的脸，每棵树，这是一棵树的果实。对您来说，这是肉（肉显然是在这里的食物）
6516,UgwIL4qmh9iK_JPuDGB4AaABAg,2,"my friend momo sent me link of this video. 

this video is really nostalgic. it reminds me of my grandma! these old tactics should be preserved; some are efficient and healthier. i never knew that nuts can be fried and eaten well. we have a big home in the village. sometimes i saw lots of nuts falling from trees but never ate because it has thorns. i never ate that big and yellow fruit. my grandma used to make something similar here, a bit dry mango jam.","我的朋友莫莫（Momo）向我发送了此视频的链接。

该视频确实是怀旧的。这让我想起了我的祖母！这些古老的策略应保留；有些是有效且更健康的。我从来不知道坚果会被炸和吃得好。我们在村里有一个大房子。有时我看到很多坚果从树上掉下来，但从未吃过，因为它有刺。我从来没有吃过那种大黄色的水果。我的祖母曾经在这里做类似的东西，有点干芒果果酱。"
37785,UgzeD28IOkDtqoDwBsB4AaABAg.8toCe6b3cfs8trdbi6ab4Z,2,"in china, that kind of fruit is called grapefruit or honey pomelo",在中国，这种水果被称为葡萄柚或蜂蜜Pomelo
52972,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlSCKghKOU,2,"afaf .m you can call it pomelo or grapefruit, its taste like orange.",AFAF .M您可以称其为Pomelo或葡萄柚，它的味道像橙色。
52958,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlMdfnTv9G,2,it's not small apple. it's 山楂 in chinese. i believe it is translated hawthorn fruit.,这不是小苹果。是中文。我相信它是翻译成霍桑的水果。
49767,UgwLd1C8ybas1fcIUnl4AaABAg.8qly1Wvpzzs8qmAIihzA8S,1,the smaller one is hawthorn fruit. this kind of candy hawapple is very popular in china.,较小的是山楂的水果。这种糖果鹰在中国非常受欢迎。
1680,UgyuLTDevU6S35iSopt4AaABAg,1,the land is fertile and they are pinter natural nature. keren banget until the fruit is falling all over,土地是肥沃的，它们是Pinter的自然性质。 Keren Banget，直到水果掉落到
50574,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qljrsFudhA,1,rong ai but what do you call those red and round tomato-like fruit thingys?,rong ai，但是您怎么称呼那些红色和圆形的番茄般的水果东西？
50554,UgygGrRN3QWKZRVU9lV4AaABAg,1,"many fruits in the this video i know very well, we have in here too delicious, just we cook a little different ways.... nice video byebye love from eu..y'..",我非常了解这段视频中的许多水果，我们在这里太美味了，只是我们做一些不同的方式。
1719,Ugz2G3L8sXoDdRvS4o94AaABAg,1,"all dishes, boilers, utensils from the natures. material, no stainless steel, it's so cool !!! and we are brought from plastic, bad steel, i recently bought chinese dishes, gilding immediately disappeared, and chips inside is crumbling, never before i have not seen this, here is the quality for us! such an abundance of vegetables, seasonings, fruits, we never dreamed",所有菜肴，锅炉，餐具都来自天性。材料，没有不锈钢，太酷了！！！我们是从塑料，坏钢带带来的，我最近购买了中国菜，镀金立即消失了，里面的薯条很崩溃，从来没有我还没有看到这一点，这是我们的质量！如此丰富的蔬菜，调味料，水果，我们从未梦想过
25383,UgyEBgW-fZx9gnmmCOh4AaABAg,1,omg so many fruits... ๐๐๐,天哪，很多水果...
1820,UgwHmHxLFeIu7DYKEEZ4AaABAg,1,wow! there are a lot of grapefruit in ziyi's yard*,哇！子柒的院子里好多柚子喔*
25819,Ugw1JBpC2jeJd16rzFZ4AaABAg,1,i go! is grapefruit really growing on the tree? intersection intersection,我去！柚子真的是长在树上的？？？
23916,UgzxrukpuR8GJsslIS94AaABAg,1,"ashamed, it was born to a sichuan person. she had eaten it. mango and apple sichuan were available, but it was not produced by her area. wild chestnut should not be so big. the bacon was hung too short and was stolen by a dog. last year, my sausage was stolen by the dog. the mud baked oven is not every family. it โ€s delicious for two months to dry the beef. if you go down the mountain, you have to be moldy. so many fruits should be placed in the cellar, and each household has a waste.",惭愧，生为一个四川人居然有没吃过的，芒果和苹果四川有，但不是她那个地区出产的，野生板栗应该没有那么大。腊肉挂得太矮了，要被狗偷，去年我家的香肠就被狗偷了，那个泥巴烤炉也不是每家都有，家里人口多，又有能做事的老人才行，下雨就坏了，牛肉干要晾两个月才好吃，下山就要发霉，蛋烘糕要趁热吃，不能放。那么多果子应该放地窖，每家每户都有，浪费了。
48534,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoZuSu7Zc7,1,"hahaha, your focus is on not spending money? this should be mutual. you can pick me two fruits. i give you a few cabbage. there must be a good thing to pay.",哈哈哈你的重点是在不花钱这件事吗 这应该是相互的吧 你摘我两个果子 我送你几颗白菜 肯定是有付出才有所得 天底下哪有不付出光收获的好事
47006,UgwJknNoOsPgf7Zt6UB4AaABAg,1,wow i want to experience to live in such place where you can just pick fruits straight from the trees. you don’t need to buy foods you can just get ‘em within your property and cook them. very soothing and amazing video,哇，我想体验到可以直接从树上挑选水果的地方生活。您不需要购买食物，您只需在您的财产中获得'Em即可烹饪。非常舒缓和惊人的视频
28061,UgxRCqNyAugB1eul1Np4AaABAg,1,"i envy ziqian's pastoral life is not only foreign friends, but i am also very envious of sichuan people like her. i also grew up in rural sichuan. she is mianyang, northeast of sichuan, and i am in southwestern sichuan. the green mountains and green water scenery are very good. although she is not as delicate and her lifestyle is not as traditional, it is naturally real. vegetables and some fruits (strawberries, apples, pears, plums ...) are really self -sufficient. essence nothing to live in my childhood life ~",羡慕子柒田园生活的不仅是各位外国朋友，和她一样同是四川人的我也非常羡慕。我也在四川农村长大，她是川东北绵阳，而我在川西南。青山绿水风景非常好，虽然吃的没有她精致，生活方式也没有她那么传统，但亲近自然是真的，蔬菜和部分水果（草莓、苹果、梨、李子...）真的能自给自足。怀恋一去不复返的童年生活了～
28212,UgxXYk16w9EAIpikXYh4AaABAg,1,"are there so many different types of fruits, veggies that can be found from the mountains where she live?",是否有许多不同类型的水果，可以从她居住的山脉中找到的蔬菜？
50971,UgyaU4wdgoKdmARGzXZ4AaABAg,1,"for the title and info in the description box
“peanut, sunflower seed and candied haws on a stick, jerky, dried fruit and snowy flaky cake—— stocking up on new year snacks 

“ another new year is approaching 
candied haws, tossed peanuts and sunflower seeds and all varieties of sweet deliciousness...
things i had always been looking forward to in my childhood.
this year i added an additional compilation of new year snacks,
which has a total length of 10 minutes~","对于描述框中的标题和信息
“花生，葵花籽和蜜蜂在棍子上，干果，干果和雪片蛋糕 - 储存新年小吃

“新的一年正在接近
蜜蜂，扔花生和葵花籽以及各种甜美的美味...
我一直期待着我童年时期的事情。
今年，我添加了新年小吃的额外汇编，
总长度为10分钟〜"
51559,UgxtmqbEuIAv_gqnf-t4AaABAg,1,"the long knowledge of stir -fry with stones of peanuts .. after growing up, i haven't eaten the fruits of ""yellow yellow""","花生 用石头炒的 长知识了.. 长大了之后 没吃过 ""再欉黄""的水果了"
23351,UgyiYrw1NFY6kzp74vN4AaABAg,1,"it is not easy to be moved to make this kind of picture. it is necessary to pack a mountain with various fruit trees and agricultural agriculture first, and then rent an old grandma with a rural sound. after the director of the photography artist is edited, these are also required.",感动感动，能拍出这种画面实属不易，要先包下一座有各种果树、农产的山，再租一个有乡音的老奶奶，导演摄影美工剪辑后制这些也是要请。
22247,UgzBntLf5jiThiaMo6t4AaABAg,1,sugar! okay ~ that grapefruit tool is like a blood drip,糖葫芦！好馋~ 那个摘柚子工具好像血滴子喔
28704,UgwBX_k5wnpqzP5Dt9J4AaABAg,1,grapefruit so much so much on the ground,地面上这么多的葡萄柚
52319,UgzoVFTcqe2ex4bEovB4AaABAg,1,my dream home is your place. lots of fresh fruits and vegetables around the house. the scenery is lovely too.,我梦dream以求的家是你的住所。房屋周围有许多新鲜的水果和蔬菜。风景也很可爱。
22050,UgzAxlwojcR3HGOmm9x4AaABAg,1,the plant biodiversity in sichuan is remarkably interesting. they both have fruits that grow in tropical regions as well as in temperate regions.,四川的植物生物多样性非常有趣。他们都有在热带地区以及温带地区生长的果实。
21475,UgztDIWgilnCF25XUhp4AaABAg,1,"i saw so many things i wanted to eat in one episode. it was so beautiful, rock sugar gourd, crispy snowflake, torn beef, popcorn, fried melon seeds, egg rolls, grilled chestnuts, and suddenly appeared in my mind. pick fruit in the stream, look for mushroom fungus, go home at night to see the stars and listen to the story",一集里面看到那么多想吃的东西，真美好，冰糖葫芦，雪花酥，手撕牛肉，爆米花，炒瓜子，蛋卷，烤板栗，脑海里突然浮现年幼时姥姥的小山村，过小溪摘果子，寻蘑菇木耳，夜晚回家看星星听故事
52961,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlP4TDOlz5,1,"kamaline isabella 
yes, hawthorn is what it’s called. it is sweet, crunchy but a little dry compared to apples. it’s been ages since i last had that fruit.","kamaline伊莎贝拉
是的，霍桑就是所谓的。与苹果相比，它甜美，松脆，但有点干。自从我上次有那种水果以来已经很久了。"
52967,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlQ6nEdrX5,1,and the big yellow fruit like a lemon ...what is it called please? thankyou,还有大黄色水果像柠檬一样...请问什么？谢谢
20861,UgwLEyOlDciPU6O7NNF4AaABAg,1,"oh my. how come she is so gorgeous doing all things by herself. also look at his homeyard and all the fruits plants, seems everything available. amazing, like a movie scene.",天啊。她怎么真是太漂亮了。还要看看他的家园和所有水果植物，似乎一切都可以使用。惊人，就像电影场景。
20533,UgwR9egSk9R8F_toDxR4AaABAg,1,"damn this really feels like the time when i was still living in a province with my grandmother. we pretty much lived in a mountain and we also do have different types of fruits and vegetables. in fruits we have mangoes, bananas, star apple, star fruit, cashew, rambutan, guavas, jackfruits, soursop, avocado, java plum, grapefruit (pomelo), cocoa (to those who might not know, the seeds is what the chocolate is. it tastes sweet and sour but i guess it depends on the type of cacao fruit since there's this orange(?), light violet(? don't know what the color was called) and green ones tho they all became yellow when ripe. and many more i can't type it all here since probably no one's gonna read this. but if you want to know more about my childhood i can tell you more about it just ask request in the reply sections. btw i'm 20 now and im not living in my grandmother anymore but there's a lot of good memories i could share๐",该死的感觉真的像是我仍然和祖母一起住在一个省的时候。我们几乎生活在山上，我们也有不同类型的水果和蔬菜。在水果中，我们有芒果，香蕉，星苹果，星级，腰果，腰果，番茄，千斤顶，豆腐，酸味，鳄梨，鳄梨，爪哇李子，葡萄柚（Pomelo），可可（Pomelo），可可。它的味道甜而酸，但我想这取决于可可果的类型，因为有这种橙色（？），轻紫罗兰色（？不知道该颜色叫什么），而绿色的果实变成了黄色，当成熟时它们都变成黄色。还有更多我不能在这里键入所有内容，因为可能没有人会读这篇文章。但是，如果您想了解更多有关我的童年的信息，我可以告诉您更多有关它的信息。我不再住在祖母里，但是我可以分享很多美好的回忆
52968,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlQDVRa4DO,1,and the big yellow fruit like a lemon ...what is it called please? thankyou,还有大黄色水果像柠檬一样...请问什么？谢谢
19818,Ugz5WdtS_8ejSAJ-2Q54AaABAg,1,3:25 what this fruit name is??? mango?,3:25这个水果名是什么？？？芒果？
19100,UgxyIW1LfE98uNuuREl4AaABAg.96EEVaT0NnJ97HhP56HgOy,1,"that's right. real chinese snacks do that
at first, i started with it, and then adds it in various fruits.","是的。真正的中国小吃做到了
起初，我从它开始，然后将其添加到各种水果中。"
18927,UgzPs-oPXjv3FJqA7lZ4AaABAg,1,no one wants grapefruit when it falls on the ground. it is envious and harmful. we have to sell grapefruit for a pound.,柚子掉地上都没有人要，好羡慕，害，我们吃柚子一斤得卖，
46541,UgzGG0I8efBwmZ5Q0Ut4AaABAg,1,"00:06 what is wrong, everyone, looks like cari 02:45 feel delicious! remember cashews, jackfruit seeds, durian .... baking -_--",00:06大家怎么了，看上去像卡里02:45很美味！记住腰果，菠萝蜜种子，榴莲....烘烤-_---------
37471,UgwN5-s-0VZSfkGhc5x4AaABAg,1,"it must have been season for the marshmallow trees to produce marshmallow fruits in the magical, mystical marshmallow forest. :p",棉花糖树在神奇的神秘棉花糖森林中生产棉花糖水果一定是季节。 ：p
3712,UgxOPNNuxUlaOuAtaVJ4AaABAg,1,do you pay for using farm's fruits or it's your own farm?,您是使用农场的水果付费还是您自己的农场？
33352,UgwPXXka_igDaDdD7Zh4AaABAg,1,"1:30 wiping each one of those tiny fruits, wow... i hadn't seen a hawthorn before.
5:55 oh, and using the cobs as fuel to pop the corn grains... i have to remember that.","1:30擦拭这些小水果中的每一个，哇...我以前从未见过山楂。
5:55哦，用玉米棒作为燃料弹出玉米谷物……我必须记住这一点。"
37160,UgyqL7uGsnGJv5psmMN4AaABAg,1,"nice video name the yellow fruit you plucked from that tree""",漂亮的视频名称您从那棵树上摘下的黄色水果”
37777,UgzeD28IOkDtqoDwBsB4AaABAg,1,what are those big yellow fruits she picks from the trees in the end there? giant lemons???,她最终从树上挑选的那些大黄色水果是什么？巨型柠檬？？？
36872,Ugw8D1JqA_ulBm8hq0p4AaABAg.8uMPiaqIMPI8uOy3tAQ7h0,1,"i know theres candied apples, and dried mango, and i just learned the stacked candied fruit on the stick is called tanghulu and made of hawthorn. i'm def not an authority and just did some googling, but i came down here hunting for the same thing lol",我知道有蜜饯的苹果和干芒果，我刚刚得知棍子上堆积的蜜饯被称为Tanghulu，由山楂制成。我不是权威，只是谷歌搜索，但我来这里寻找同一件事大声笑
37951,Ugy4fGssid0D6O4FdTJ4AaABAg,1,"an opportunity to see how farmers live from the abundance of nature and their wisdom created such wonderful delicacies. but, itโ€s very hard work. see how she carries those baskets of fruit on her shoulders after picking them from the trees,wow,",一个机会，可以看到农民如何从大自然及其智慧中生活产生如此美妙的美味。但是，这是非常艰苦的工作。看看她是如何从树上摘下肩上的那些水果篮子的，哇，
3365,UgzmH_8sEF5_Xhu4-S54AaABAg,1,beautiful and delicious dessert and fruits,美丽可口的甜点和水果
39391,UgyOPyQN-CjWEFWR_wV4AaABAg,1,what is the small fruit that makes the candy?,什么是糖果的小水果？
39679,UgzsNmI_tfETksXGLzB4AaABAg,1,paradise fruits and delicacies!),天堂水果和美味！）
34862,UgwP5FF76KuKUHPyWiJ4AaABAg.8uqyQmGVoGe8v7F-wGmDXu,1,"oh sorry, she actually states them as grapefruits in one of her videos. must be pomelos then. those grow very large",哦，对不起，她实际上将它们视为她的一个视频中的葡萄柚。那时必须是pomelos。这些长大很大
34668,UgyczkFNBUtUS3G6a1Z4AaABAg,1,"crazy dh fertile bngt tu fruit & vegetable ""y knpa g djualin c gsyng klo rotten nnti'y tu",疯狂的DH肥沃的BNGT TU水果和蔬菜
39988,UgwLGt3lHPwhFrAb_dh4AaABAg,1,what is that yellow giant fruit?,那黄色的巨果是什么？
18621,UgzEl0IGN53BtdVer6N4AaABAg.96fZQwcy3w996g0XMndniU,1,in china，we celled it：youzi，just like grapefruit,在中国，我们牢记了：Youzi，就像葡萄柚一样
41254,UgwyAORP_pLFKve07dN4AaABAg,1,dead early vs these fruits too!,早期死了这些水果！
33496,Ugw-c8XsHqsDWa3VKP14AaABAg,1,"for people envying her lifestyle, you can take a small step by learning how to cook. make some dried fruits, roast some nuts. you might not have her lifestyle but at least you cn be very sure you can feed yourself.",对于嫉妒她的生活方式的人们，您可以通过学习做饭来迈出一小步。制作一些干果，烤一些坚果。您可能没有她的生活方式，但至少您可以非常确定自己可以养活自己。
33421,UgwC6St0bOqXJhNW2u54AaABAg,1,she is soooo strong! she can carry 2 baskets full of fruit like it's nothing ๐ฑ,她太坚强了！她可以携带2个充满水果的篮子，就像没什么一样
33278,UgwsdHQcutXvvu7jHZR4AaABAg.8vMXwAgybcd8vV9atEtRO0,1,"i think that's a pomelo, they're like huge grapefruits but the skin is like an inch thick haha. you can peel them like those little oranges.",我认为那是pomelo，它们就像巨大的葡萄柚，但皮肤就像一英寸厚的哈哈。您可以像那些小橘子一样将它们剥离。
30218,UgwZBBmZziRCIUZs9wR4AaABAg,1,i used to eat that chestnut in my childhood ๐๐๐ the other fruit looks really tasty but i don't about their name ๐๐๐,我曾经在童年时代吃那栗子
33265,UgwsdHQcutXvvu7jHZR4AaABAg,1,8:56 was that a big grape fruit?! thatโ€s so huge i want one lol,8:56那是大葡萄果吗？太大了，我想要一个大声笑
43180,UgyDUpQne5jvOqXDypB4AaABAg,1,hello))) how good that i found you. you give such peace and harmony. what is this yellow huge fruit? what's your name?,您好）））我找到了你有多好。你给予和平与和谐。这个黄色的巨大水果是什么？你叫什么名字？
32049,UgyJF2zmPAjluOzvAQJ4AaABAg,1,"this is all i want to do in life. pick some fruits and make nice treats for people and myself. live a life like this. i know it can have its ups and downs, but thats okay with me.",这就是我一生中想要做的。选择一些水果，为人和我自己做好零食。过这样的生活。我知道它可以起伏不定，但是我可以。
31696,UgyyRNzZRPJtr12frSZ4AaABAg,1,"i always wondered how street vendors in china made candied fruits, it's a lot simpler than i thought",我一直想知道中国的街头小贩是如何制作蜜饯的，这比我想象的要简单得多
31189,UgyQGXjkHl-L6vxFEV94AaABAg,1,"lol when she takes the oranges and the big yellow fruit from the orchard, she looks like she's trying to run off before someone catches her stealing their fruit. also what was with the explosive popcorn?",大声笑时，当她从果园那里拿走橙子和大黄色水果时，她看起来好像在试图逃跑，然后有人抓住她偷走了他们的水果。还有爆炸性爆米花是什么？
31188,Ugz3cheYgbSxWtrRz1l4AaABAg,1,"sweets followed the work of the first ingredient unit, mar shamlou. flour . nuts. fruits.",糖果遵循了第一个成分单元Mar Shamlou的工作。面粉 。坚果。水果。
31170,UgxAUebBXMJfk69Xywx4AaABAg,1,"uhh, if i live there, it must be happy ๐ the fruit ""is abundant",嗯，如果我住在那里，那一定很开心
43200,UgyDUpQne5jvOqXDypB4AaABAg.8rPnCuvL8Sh8rWW1KWfoai,1,"мама и сын the fruit is pomelo, a large grapefruit, her name is right in the right bottom of the screen, called li zi qi.",lum的果实是pomelo，是一个大葡萄柚，她的名字就在屏幕的右下角，称为李Zi Qi。
43627,UgxUqVOo1cb6PZTiY594AaABAg,1,"she is so delicate but so strong, the baskets full of fruits look so heavy",她是如此细腻，但如此强壮，装满水果的篮子看起来很重
30819,UgypidIS1g9mKkibRUV4AaABAg,1,"what are all these fruits, not once i saw in my life ๐ฑ๐ฑ",这些水果是什么，我一生中都没有看到
3146,Ugyw1FxS8T-T9abo7zV4AaABAg,1,the grapefruit is full of root!,葡萄柚充满了根！
44067,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rT_8itbsqR,1,@joicecost185 very very fruits that i have never seen in the way how they do popcorn and gurding things and this paradise where they live a dream,@joicecost185非常非常成果，我从来没有以他们的方式爆米花和刺穿事物的方式以及他们实现梦想的天堂
30256,Ugw7YgqGYq1LP6iGAi14AaABAg,1,"girl, you are so beautiful, you can also eat so much, and your hometown is beautiful and there are many fruits. i hope to have the opportunity to go to your hometown. may i ask if you are from sichuan?",妹子你长得美，还那么会做吃的，而且你的家乡风景好美，水果也多，希望有机会去你家乡走走，请问你是四川的吗？
30219,UgyZ0k-k-1E1PmmGrjx4AaABAg,1,i used to eat that chestnut in my childhood ๐๐๐ the other fruit looks really tasty but i don't about their name ๐๐๐,我曾经在童年时代吃那栗子
44147,UgymUsyD_tmXlhnalMl4AaABAg,1,"gotta love how they got the great camera and lighting setup and it's a professionally produced video. perfect hair, clothing and makeup for a video like this. the small animals, the road full of fruit on the ground perfectly arranged, everything looks fake and staged. i bet they eat mcdonald's all the time and they don't even eat the stuff on these videos, it's just for the money. the only things they probably eat from this video are the puppies and baby sheep once they grow up and are no longer cute enough for the videos. i hope they upload the video when they eat those dogs.",要喜欢他们如何获得出色的相机和照明设置，这是一个专业制作的视频。完美的头发，衣服和化妆，用于这样的视频。小动物，地面上充满水果的道路完美排列，一切看起来都是假的和上演的。我敢打赌他们一直都在吃麦当劳，甚至都不在这些视频上吃东西，而是为了钱。他们可能会从这个视频中吃的唯一东西是一旦它们长大后，它们就不再足够可爱，无法使用这些视频。我希望他们在吃那些狗时上传视频。
