,cid,votes,含video,含video中文翻译
589,UgzPjU7L-q2aJcgbded4AaABAg,2,your videos are comforting like a warm blanket and a cup of tea...never fail to help me feel calm and remember to enjoy my moments...wish i could have spoiled my granny this way.,您的视频像温暖的毯子和一杯茶一样令人欣慰……永远不要让我感到镇定，并记住享受自己的时刻...希望我能以这种方式破坏我的奶奶。
10292,UgxwgJrIybOCrwN0s3Z4AaABAg,2,thank you!!! cool video!,谢谢你！！！很酷的视频！
10246,UgwGC9chk6F2AxlBJdh4AaABAg,2,"very old -fashioned film,
we are baked in the rotating pressure furnace in the video here.
jump rice flowers refer to roasted corn, which is grilled in ordinary pots.","很有年味的影片，
我们这里用影片中的旋转压力炉烤的叫爆米香，
爆米花则指烤玉米，是一般的锅子烤的，"
23746,UgwbUx6mSO2PZm3Iu854AaABAg,2,"after watching this video, there is a feeling of entering taohuayuan, guiyuan tianju",看了这个视频有种进入桃花源，归园田居的感觉
52618,Ugyl4asfIIhmYLWGkyl4AaABAg.8qlL7q3_uJQ8qlRu2PHjH9,2,njnanum ella videoum kanarund ...,Njnanum Ella Videoum Kanarund ...
756,UgyviAMnPZGcj4wa5qp4AaABAg,2,i really missed u & your videos,我真的很想念你和你的视频
24161,Ugwxcvbbgg6rAgY8Zol4AaABAg,2,the beautiful doguinhos ๐’•๐ถ๐•๐‘faz video food they ๐•๐ถ,美丽的doguinhos
10086,Ugwu4RsC5V9MJj9G--J4AaABAg,2,"the video is very good! my psychological video is also great, friends who are interested in psychology are welcome to subscribe to my channel. thank you",视频很好！我的心理学视频也很棒，对心理学有兴趣的朋友欢迎订阅我的频道谢谢
16447,UgzShS_TdCNk4AaiYZJ4AaABAg.98g2_m4a6ks99-bkEpb_vN,2,"i watched it now, what kind of video is this?",我现在看了看，这是什么样的视频？
49034,UgxySbdnyXE_npjGwrB4AaABAg.8qmFWkv7I5U8qn0AgFHist,2,"live @dl5066
i also know that the sunflower is dry, and the sunflower seeds are removed.
but i also watched the video before i knew ... oh ~~~ it turned out to be like this. xd","附议 @dl5066 
我也知道是花瓣干了的向日葵，所取下的葵花子。
但也是看了影片，才知道... 喔~~~ 原来是长这样。 XD"
20858,UgzUuv4wq4-uwWnBcc14AaABAg,2,"stunning photography, scenery (where is this filmed in china), and lovely young lady who is very talented. her grandmother is fortunate to have her. thank you for doing these videos.",令人惊叹的摄影，风景（这是在中国拍摄的地方）和很有才华的可爱小姐。她的祖母很幸运能拥有她。感谢您制作这些视频。
835,Ugwz7Rx_qqQMC0GM1G14AaABAg,2,the video feels so peaceful,视频感觉很宁静
871,UgzUbBhuVy5emo55GfN4AaABAg,2,we miss your new videos. can you again start giving videos? your content are really worthy of appreciation. respect you for being soo hard working. such a talented soul i have ever came across in my life. words are not enough to praise your talents and creativity.,我们想念您的新视频。您可以再次开始给视频吗？您的内容真的值得赞赏。尊重您的努力工作。我一生中遇到过的一个才华横溢的灵魂。言语不足以赞美您的才能和创造力。
24141,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92R9TThyF2-,2,@user-vy8dt6de7k silly silly silent smart smart smart smooth speaking under the rural video really hates that the party has become the streets that are crowded by the street.,@user-vy8dt6de7k 傻逼弱智东西 在人家田园视频下喷粉 果然恨国党现在都变成了过街老鼠人人喊打的玩意儿 素质极低 满嘴喷屎 呸 吐上一口口水再让老子踩上一脚
10170,UgyaTcZx2PFlv1cbjeV4AaABAg,2,li-we need to ask government leaders to watch your video when there is differences.,李-我们需要要求各地的政府领导人在出现分歧时观看您的视频。
26106,Ugwpn85MDNVkjReiQzV4AaABAg,2,i always find myself watching this particular video at least once or twice a day. itโ€s soothing to watch and keeps my mind at ease. ๐’–,我总是发现自己至少每天观看一次或两次。观看并让我放心的想法是舒缓的。
44028,Ugx7WxnNjmfZbXvmyqV4AaABAg,2,chinese creativity in everything ... jorafi video montage,中国的创造力在一切... Jorafi视频蒙太奇
13539,UgxtQt1dXbq5IwurUOR4AaABAg,2,how can ppl dislike the video she’s such a hard working person. how many dumbs up can i get,PPL如何不喜欢她如此努力工作的视频。我可以得到多少个傻瓜
27805,UgxrjsGem8WdqM-x-6F4AaABAg,2,give new video๐๐,给出新的视频
38409,UgzZF0r-EJ80vpiL7VB4AaABAg,2,i love so much the background music of this video !โค๏ธ๐น,我非常喜欢这个视频的背景音乐！❤️
2534,UgydJU9PYDpWmVktXPh4AaABAg,2,is this the most viewed liziqi video?,这是观看最多的Liziqi视频吗？
5541,Ugzxanv4CRDOpBlSB0N4AaABAg,2,great video,很棒的视频
27845,Ugxn7d9TPCHaajv0a3J4AaABAg.8z1fapLCk9Z8z3qbkiXWE7,2,you don't have one feeling alone))) very beautiful video,您没有一个人的感觉）））非常漂亮的视频
17634,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98RpLOPrgDw,2,"even if it's not 100% real as it is in rural areas (i mean, i think we all kind of know that living on the countryside and on a farm is a lot of work, come on guys), but people on the internet constantly show only the good side, show things that are aesthetically pleasing, etc. even cooking videos do that, it's always a mess in the kitchen when you cook but not in their videos, doesn't mean it's wrong and you should bash them. sometimes people want to show things in a good light, show their hard work as something beautiful. i don't really seem a problem with it being ""too perfect"", it's just a video on youtube",即使不是在农村地区不是100％真实的（我的意思是，我都知道我们都知道住在乡村和农场上是很多工作，而是互联网上的人们仅显示好的一面，显示出美学上令人愉悦的事物，等等。即使是烹饪视频也可以做到这一点，当您做饭但不在他们的视频中时，这总是一团糟，并不意味着这是错误的，您应该抨击他们。有时人们想以良好的光线展示事物，将辛勤的工作视为美丽的东西。我似乎并不是一个“太完美”，这只是YouTube上的视频
50646,Ugyb3aRxFxlUxsDRxud4AaABAg,2,wonders full video nice video,奇迹完整的视频不错的视频
45598,UgzFRxwShokkqfCeuDF4AaABAg,2,happy chinese new year!your videos are so beautiful and inspiring,农历新年快乐！您的视频是如此美丽而鼓舞人心
27884,UgwBeMMcDFneUrYGFT54AaABAg,2,"after watching the two episodes of li ziqi's video, it is really smart! intersection good woman here .....^_^",看了两集李子七的视屏，真是心慧手巧！ ！好女人来的.....^_^
2683,UgydrIQUWO2uoKxhOpR4AaABAg,2,the most relaxing video i have been able to see,我能够看到的最轻松的视频
51777,UgwcbjBSIcrxac0FQwh4AaABAg.8qlSByVRnOS8qlWIPuwRoZ,2,"munjid, her videos are fabricated",Munjid，她的视频是制作的
50683,UgwPbyBZxzeGVc1x5TR4AaABAg,2,i like in your video’s♥️. good luck and happy chinese new year. i from indonesia,我喜欢您的视频♥️。祝你好运和春节快乐。我来自印度尼西亚
40009,UgznhEJQYBDOR7od_rd4AaABAg,2,beautiful video,美丽的视频
39998,UgyRSlkUodrzmNbaabt4AaABAg,2,i think that video was the best thank you so much,我认为那段视频是最好的，非常感谢
5162,UgxBeD-_n_1MiMo_fKZ4AaABAg,2,i like your video hope you make more,我喜欢您的视频，希望您能做更多
30997,UgzaRsOSqWvs8aFG7u14AaABAg,2,this video is so clean omg,该视频是如此干净的OMG
30914,UgyWX3rX4u8bymKqaPZ4AaABAg,2,hi liziqi! keep watching your old videos over and over again... ๐’—๐,嗨，liziqi！一遍又一遍地观看旧视频...
39943,UgyMHUGc8ev8mIke0L54AaABAg,2,your videos have amazed me many times !! thank you :-) for what you're doing,您的视频让我惊讶很多次！谢谢:-)所做的事情
51713,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qldZ_Rk85a,2,"@d3x5t4r you really are delusional. do some research yourself from accredited historians and not some vietnamese conspiracy websites. i've seen those vietnamese articles try to assert that the vietnamese are still ""pure blooded"" (no such thing exists with any people) and not culturally influenced by china at all. there is always pseudo historical nonsense among the ultranationalists. it's a pity too because there are plenty of nice vietnamese people in the comments of this video who aren't like you. it was impossible for the ancient chinese to eat corn because corn was domesticated in mexico. corn only spread to asia after european colonization of the americas. rice was domesticated in the pearl river delta but those people were not vietnamese or even biayue as they were a prehistoric people that had left the area before the chinese - or any civilization for that matter - had formed. but yeah, keep reading your kooky stories. how about you tell me one about sumerian spaceships next?",@d3x5t4r你真的很妄想。从认可的历史学家而不是一些越南阴谋网站中进行一些研究。我已经看到那些越南文章试图断言越南人仍然是“纯净的血液”（没有任何人存在这样的东西），而不是在文化上受到中国的影响。超民族主义者中总是有伪历史废话。这也是可惜的，因为在这段视频的评论中，有很多不错的越南人不喜欢您。古代中国人不可能吃玉米，因为玉米在墨西哥被驯化。玉米仅在美洲欧洲殖民之后传播到亚洲。赖斯在珍珠河三角洲被驯化，但这些人不是越南人甚至比亚耶，因为他们是一个史前的人，他们已经在中国人（或任何有关此事的文明）之前离开了该地区。但是，是的，继续阅读您的怪异故事。接下来，您告诉我一个关于苏美尔飞船的信息？
18863,UgzKtMUUDBRw818B_xp4AaABAg.96TtXXOQAiv97RMy5rFvE_,2,the first time i saw a chinese video full of foreign language comments hahahaha,第一次看到一个中国人视频下边全是外语留言哈哈哈哈
30849,UgzipfQUFyMqZ5GWK-54AaABAg,2,i am new but i love her videos thus far..... and those adorable puppies!!!,我是新来的，但我爱她到目前为止的视频.....还有那些可爱的小狗！！！
4905,UgyRSq9VjqnMF0TQzhl4AaABAg,2,"am i addicted to her videos




ohhh hell yess.#love from tamilnadu","我沉迷于她的视频吗




哦，是的。＃来自泰米尔纳德邦的爱"
4904,Ugxj8PO5HpoDeCcgzIN4AaABAg,2,it is so relaxing to look at your videos,观看您的视频
27777,UgwXNsoauxHCDOo7zAt4AaABAg,2,"i always watch videos on how to cook and prepare foods. but, when i watched the videos of liziqi i got more inspired. i even want to have a cooking pan like hers that is so multiused pan and the amazing oven.",我总是看有关如何做饭和准备食物的视频。但是，当我观看Liziqi的视频时，我受到了更多的启发。我什至想拥有一个像她这样的烹饪锅，它是如此多地使用的锅和令人惊叹的烤箱。
27767,UgzXzoTX8nSuaErlWBt4AaABAg,2,"i always come back to watch videos, i like all your videos",我总是回来观看视频，我喜欢你的所有视频
4899,UgwdPNqpw8VZNZeyabZ4AaABAg,2,the skills and taste of the production team are the reason for the success of this video.,制作团队的技巧和品味是这部视频成功的原因。
5716,UgxBvyx2ZRh6iUf5yZ54AaABAg,2,"more than turkey's population, people watched the video. whoa!!",人们观看了视频，而不是土耳其的人口。哇！
6527,UgxqipOQyQ2IvnU0q2F4AaABAg,2,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
6516,UgwIL4qmh9iK_JPuDGB4AaABAg,2,"my friend momo sent me link of this video. 

this video is really nostalgic. it reminds me of my grandma! these old tactics should be preserved; some are efficient and healthier. i never knew that nuts can be fried and eaten well. we have a big home in the village. sometimes i saw lots of nuts falling from trees but never ate because it has thorns. i never ate that big and yellow fruit. my grandma used to make something similar here, a bit dry mango jam.","我的朋友莫莫（Momo）向我发送了此视频的链接。

该视频确实是怀旧的。这让我想起了我的祖母！这些古老的策略应保留；有些是有效且更健康的。我从来不知道坚果会被炸和吃得好。我们在村里有一个大房子。有时我看到很多坚果从树上掉下来，但从未吃过，因为它有刺。我从来没有吃过那种大黄色的水果。我的祖母曾经在这里做类似的东西，有点干芒果果酱。"
2193,UgxMKNK6i30tmWgCITR4AaABAg,2,"love watching ur video....
and also ur cooking skills...
❤️❤️❤️❤️❤️","喜欢看你的视频...
还有你的烹饪技巧...
❤️❤️❤️❤️❤️❤️"
27229,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zx18lA7eQo,2,"ae vietnam watch this video for me to ask for a single subscription, thank you",AE越南观看此视频让我要求一个订阅，谢谢
27264,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92BCc_HhQxc,2,i believe her story...she may have a pro team now but girls grew up in city (like me..) can hardly do or even learn to do what sheโ€s done in these videos. my mom is from sichuan rural areas as well...watching ziqiโ€s videos always reminds me of my mom <3,我相信她的故事...她现在可能有一个职业团队，但女孩在城市长大（像我一样）几乎无法做到甚至学会做她在这些视频中所做的事情。我妈妈也来自四川农村地区...观看Ziqi的视频总是让我想起妈妈<3
27272,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92HqS49mZx5,2,maryna mnassa she doesnโ€t need help. especially after she got famous through youtube she should be quite rich now. she just want to show people natural lifestyle and also telling people where the food came from. people feel relax after watching her videos. as you can see she is using a lot of old equipments but everything looks beautiful and organized. she is presenting old natural lifestyle by modern way. thatโ€s why people like it.,玛丽娜·姆纳萨（Maryna Mnassa）她不需要帮助。特别是在她通过YouTube出名之后，她现在应该很富有。她只想向人们展示自然的生活方式，还告诉人们食物的来源。观看视频后，人们会感到放松。如您所见，她正在使用很多旧设备，但一切看起来都很漂亮且井井有条。她正在以现代方式展示旧的自然生活方式。这就是为什么人们喜欢它。
27276,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92JpcTG_MhE,2,"@oshadiamarak0on237 its true. she talked about her childhood and experience 3 years ago via weibo(a chinese media). and the videos in early is finished by herself alone, now she has a team which can help her take videos.",@oshadiamarak0on237是真的。她谈到了自己的童年和3年前通过微博（中国媒体）的经验。而且，早期的视频独自完成，现在她拥有一支可以帮助她拍摄视频的团队。
6181,Ugxuh2pQl_VnBRtqiQ94AaABAg,2,this is my first ever video that i have watched without skipping,这是我没有跳过的第一个视频
40312,UgxceaugYytbh4yXFll4AaABAg,2,"awesome video ever i see about chinese snacks, so happy to watch it,",很棒的视频，我都会看到中文小吃，很高兴观看它，
38150,Ugzl-FJSyivF_7lJxyh4AaABAg,2,i love your videos!there all so beautifully made!โคโค๐,我爱你的视频！所有这些都制作得如此精美！❤❤
6122,UgyGbCpoHDsf7iEylSR4AaABAg,2,"your videos are very inspiring, thank you very much for getting the time to share them",您的视频非常鼓舞人心，非常感谢您有时间分享它们
40310,UgzdhX3kcD2NbREBaF94AaABAg,2,im from việt nam. i likes your videos products,我来自việtnam。我喜欢你的视频产品
31549,Ugy0Soktz65AvEab7Oh4AaABAg,2,"normal human being watching this video: very satisfying and warming.



13 year old girls: she made edible slime with marshmillows.","正常的人观看这段视频：非常令人满意和变暖。



13岁的女孩：她用棉花糖制作了可食用的史莱姆。"
40296,UgxIwUwjqJRbzLMQMIZ4AaABAg,2,love love this video,爱这个视频
40238,UgxWaegrJWOhP1TzZV54AaABAg,2,4900 stupid and dessalik for the most beautiful videos in the world,4900愚蠢和Dessalik世界上最美丽的视频
50498,Ugxe9P8sOZga-XsIGLF4AaABAg,2,wow nice video nd nice girl.......,哇，不错的视频nd好女孩........
50513,Ugx0xH4Vl4zRrCi-F-t4AaABAg,2,"i was waiting for your videos, i feel like it's worth waiting",我在等您的视频，我觉得值得等待
5867,UgyUHVC0rtxBPaf64TV4AaABAg,2,"dearest liziqi......really do enjoyed your u tube videos ....the recipes look so yummy, please is there any chance to translated the information from chinese into english-language, greatly appreciated your kindness....",亲爱的liziqi ......真的很喜欢您的U管视频。...食谱看起来很美味，请有机会将信息从中文翻译成英语，非常感谢您的好意。
8328,Ugy1vKeLwtOrwBy6iqp4AaABAg,2,why does this video have 81 million views?,为什么此视频有8100万次观看次数？
2420,UgwYa0hppfUBvmleVDB4AaABAg,2,this was one of the first videos i saw at the time ... the mouth filled with water ...,这是我当时看到的第一个视频之一……嘴里充满了水...
46793,UgzGnqnLBmDj6FsqNtB4AaABAg.8qrKkwgxQ7F8qrqZsz3CRd,2,"yes, she has her brand and business now. she made those videos to promote her business, as well as to educate people about traditions.",是的，她现在拥有自己的品牌和业务。她制作了这些视频，以促进自己的业务，并教育人们有关传统的知识。
5741,UgxPn8LTtzNxcESk4SV4AaABAg,2,hii i am from india odisha state i always se your video it's very nice evry things natural face cream n natural fooln gardening also superb..,嗨，我是来自印度奥里萨州的我总是看到你的视频，这是非常不错的事物天然面霜n天然愚蠢的园艺也很棒。
27692,UgwPAKCmGVg0v5PM-_l4AaABAg,2,this video can see my heart so warm ...,这个视频看得我的心好暖……
4903,UgxmVDvp39adO581EJJ4AaABAg,2,every frame of the video can be used as wallpaper,视频的每个帧都可以用作墙纸
50777,Ugzcqchr-owIlsGwoB54AaABAg,2,"love u sooooo much and love ur all videos,from afghanistan",爱你太多了，爱你的所有视频，来自阿富汗
40383,UgxYeFM_RF1OVNcuzap4AaABAg,2,i love to watched her videos..so inspiring!,我喜欢看她的视频。
3119,Ugx_uQ6BP0WXCjqNIEZ4AaABAg,2,the 61k people who dislike wanted to like but were so amazed by video they couldn’t look away and they misclick☺️,那些不喜欢喜欢喜欢但对视频感到惊讶的61k人，他们无法移开视线，他们错误地关闭了☺️
28699,Ugy7eERnDP0wkMF0y0N4AaABAg,2,very beautiful videos.how will take this much effort in each videos.god bless you because of ur gand mother,非常漂亮的视频。如何在每个视频中付出很多努力。上帝保佑您的母亲
3185,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9XXQqt5n15_,2,your video information is greater. i like,您的视频信息量更大。我喜欢
3186,UgzXmeQ8i554i1o0WLV4AaABAg.9UW7fZgS7dQ9XXQt9jU239,2,@yamunahv9182 your video information is greater. i like,@yamunahv9182 您的视频信息量更大。我喜欢
28762,UgywNhh4e6c8y9ObUTR4AaABAg,2,watching this video is a lot better than the asmr,观看此视频比ASMR好得多
14136,Ugy_gYg8WuwUFxSR0nJ4AaABAg,2,i feel useless and failed as a man watching her videos...,当男人看着她的视频时，我感到毫无用处，失败了...
18029,Ugy3LMgRRuVFh81SUkR4AaABAg.97OctMRyFnB97UHlsMOckT,2,zabrdast video subscribe mian khuram vlogs https://youtu.be/c3nbz47e33w,Zabrdast视频订阅Mian Khuram Vlogs https://youtu.be/c3nbz47e33w
45055,UgxPcdbTHsFCZSafXAl4AaABAg.8r8BHPJ-nZi8rGESiAeMh3,2,"hahaha, japanese creativity in everything ... editing video once khorafi",哈哈哈，日本的创造力...霍拉菲曾经编辑视频
28923,Ugyyt8k-p4D21Lj0atV4AaABAg,2,"i've watched all the videos, i think this video is the best version and inspired me
i really like the video greetings from indonesia like the likes","我看了所有视频，我认为这是最好的版本，并启发了我
我真的很喜欢印度尼西亚的视频问候"
30207,UgxAbO9DNwt5ABSZxoZ4AaABAg,2,what is she cooking on at 2:29 ? what kind of portable stove is that? is looks like a pottery device. does anyone know? (side note: liziqi videos are incredible),她在2:29做什么？那是什么样的便携式炉子？看起来像陶器装置。有人知道吗？ （旁注：Liziqi视频令人难以置信）
29005,UgxxJ7lF_a8nRQpEokd4AaABAg,2,"her video makes me want to be a better person... btw, her grandma is my most admired ppl in the world now :)",她的视频让我想成为一个更好的人...顺便说一句，她的祖母是我现在最钦佩的PPL :)
18119,UgwEm-XHwx4OQE1worR4AaABAg,2,i always repeating your videos so that i can sleep.. i m so bored because of lockdown,我总是重复您的视频，以便我可以入睡。.我很无聊，因为锁定
29079,UgzJtfYrIHTcPcoI0xx4AaABAg,2,"i enjoy watching this video. the atmosphere is very beautiful and living there seems calm, far from the pollution of a big city. i also like gardening, i have a small garden on two balconies, the limited place is not an obstacle for gardening. liziqi videos really inspired me. happy gardening form germany ๐๐๐๐๐๐ .",我喜欢看这个视频。气氛非常美丽，住在那里似乎很平静，远非大城市的污染。我也喜欢园艺，我在两个阳台上有一个小花园，有限的地方不是园艺的障碍。 Liziqi视频确实启发了我。园艺快乐的德国形式。
39572,UgwzyrqGHT7HbPTymEB4AaABAg,2,your videos are amazing!! what a beautiful place you live! โค๏ธ,您的视频很棒！你住的多么美丽的地方！ ❤️
39125,UgzQRl-Ctl87WxIyEzp4AaABAg,2,"i know this is the second comment i've made today, but i think your videos are very nice. they're very relaxing to watch, and the food in this one looks very good. your dogs (and your lamb) are cute too!",我知道这是我今天发表的第二个评论，但我认为您的视频非常好。他们非常放松，而且食物看起来非常好。您的狗（和羊羔）也很可爱！
14023,UgxRRuowpqrZNxZ9_6l4AaABAg.9B9lP_EwxPJ9CaIi6ZkxKB,2,@amazingideas7823 her animals eat at 1:09 the lamb is eating. none of her other animals look skinny. plus in other videos she's also fed her dogs.,@AmazingIdeas7823她的动物在1:09吃羊肉正在吃。她的其他动物看上去都不瘦。另外，在其他视频中，她还喂了她的狗。
18195,UgyEBdXCouT8JdFwq0d4AaABAg,2,even rich people will think less of themselves by watching liziqi's videos.❤,即使是有钱人也会通过观看Liziqi的视频来思考自己。
3861,Ugy_ivCgsPEhIc15Bol4AaABAg,2,"it was attracted for the first time, and the video was too quality !!!",第一次看就被吸引了，视频太有质量了!!!
3822,UgxTht-DKo19kifQl2h4AaABAg,2,my admire. still watching all the video of liziqi. it's very deep and relaxing me. i hope 1 day i will do the same way like you. am also from the countryside but invironment not support. not easy to get the material.,我钦佩。仍在观看Liziqi的所有视频。这是非常深的，让我放松。我希望我能像你一样做同样的方式。我也来自农村，但不支持。获取材料并不容易。
3790,Ugzk5Gs4cgK9VV9R-rx4AaABAg,2,"wow, the video has reached 100m view, congratulations",哇，视频已达到100m的视图，恭喜
3786,UgySDVr0-w-k7HuKxdp4AaABAg,2,"out of the 100 million views, at least 10 million are mine :d one of my fav liziqi videos.",在1亿次观看中，至少有1000万是我的：D我最喜欢的Liziqi视频之一。
29637,UgwfmAbyoIDDGERSMH14AaABAg,2,are there any hong kong people watching this video?,有香港人在看这个video吗？
29436,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8xtwEtqcbOd,2,"i donโ€t know if it was really uploaded by li ziqi by himself, or the video stolen by others passed to youtobe",不知道是不是真的李子七自己上传的，还是别人盗的视频传到youtobe
3743,Ugw5tkZ5nDqFY33dRGJ4AaABAg,2,omg this video hit 100 million .,天哪，这段视频达到了1亿次。
51438,UgxLLvPCAy_-4jHZ7x54AaABAg,2,i love your videos ... greetings from mexico,我爱你的视频...来自墨西哥的问候
30477,Ugx-KcnvN56x6ZECu3J4AaABAg,2,i love this video i love the things ๐๐๐คฃ,我喜欢这个视频，我喜欢事物
50782,Ugw4C7fHHngBGQvKi2x4AaABAg,2,video is very very beautiful and i love you so much,视频非常非常漂亮，我非常爱你
28684,UgxksTE9wGiyI2pFMTh4AaABAg,2,this video creative and really-really amazing โจโจโจโจ๐‘‘,这个视频创意，非常非常惊人✨✨✨✨
28129,UgyeMWuilMXt9NXERQp4AaABAg,2,"after watching li ziyi's video, i really miss me",看了李子柒的视频，超级想我姥姥
50788,UgyWUZU-aSjGUZ82w154AaABAg,2,i love your videos. happy lunar new year❤,我爱你的视频。快乐的农历新年❤
4798,UgymDxaoHJICY09BGNd4AaABAg,2,i like this video so much,好喜爱这条影片
28142,UgwOaLVcKK0TtiK2qel4AaABAg,2,"after watchinh her videos, i want to move around and do things",观看她的视频后，我想四处走动
17813,Ugz0kIB34lX2bVRQWbJ4AaABAg,2,"oh my god! youtube recommended your video and i loved it, it's the kind of video that i need in this moments all videos talking about the virus sick my mind! :(.. meanwhile your videos bring me the peace that i needed. thank you",我的天啊！ YouTube推荐了您的视频，我喜欢它，这是我在这一刻所需的那种视频，所有关于病毒病我的想法的视频！ :( ..与此同时，您的视频带给我我需要的和平。谢谢
28201,Ugw-rDDnLdtGKWUCVcR4AaABAg,2,this is my favorite video of hers. next would be the wheat beer. itโ€s so calming,这是我最喜欢的视频。接下来是小麦啤酒。太平静了
51639,Ugwb-_8gsLh7cfhDQ914AaABAg,2,"waiting for your videos looking forward. it's very beautiful! thank you and your shooting group, especially the operator, is a very professional shooting. i am an artist myself and every time i am in your work. warm greetings from distant ukraine.",等待您的视频期待。非常漂亮！谢谢您，您的射击小组，尤其是操作员，是非常专业的射击。我本人是一名艺术家，每次我在您的工作中。乌克兰的热烈问候。
2849,UgxXqT4vR_nZHnCTPnB4AaABAg,2,bring these videos a good energy!,给这些视频带来良好的能量！
28265,UgxwOQqpkeX3F4zaFH54AaABAg,2,"dear lizigi, i have been watching your video, i appreciate your respect for nature, because it brings you healthy food, and i will not speak chinese, i will focus on preparing your recipes to prepare your recipes above, whether food or food embroidery. although we all have problems, i think they are very happy. congratulations to your care and care for grandma. god bless you. by the way, i am from brazil. except for living in the uk for several years, i only know some countries from europe. forgive my chinese writing, it is my first time","亲爱的Lizigi，我一直在看你的视频，我很欣赏你对大自然的尊重，因为它为你带来健康的食物，而且我不会说中文，我会把注意力集中在准备你的食谱上，无论食物还是美食 刺绣。虽然我们都有问题，但我认为他们住的地方很开心。恭喜您对奶奶的关心和照顾。上帝保佑你。顺便说一句，我来自巴西，除了在英国生活了几年之外，我只认识一些来自欧洲的国家。 Forgive my chinese writing, it is my first time"
28282,UgyLzBo8FPNPl71cyPx4AaABAg,2,i like your video very much,我很喜欢你的 video
2874,UgytQpRe7DwJXQygyAB4AaABAg,2,missing u my queen liziqi. hoping gor a new video.,想念你我的女王利兹奇。希望GOR一个新视频。
4513,UgyMGMG5_9R3FiJIURV4AaABAg,2,"it is a really nice life, i follow you and watch all the videos",这是一个非常美好的生活，我关注您并观看所有视频
2898,UgyYrtNyhipDrNMf_5Z4AaABAg,2,why isn't she uploading any videos i miss her,她为什么不上传任何我想念她的视频
28358,UgzKhC45H4weq5MwpKR4AaABAg,2,"great cameraman, great sound technicien, great video editor technicien, good video storyline writters, amazing team behind the beautiful recepies, amazing new traditional tools in every video, and good beautiful actress lisiqi mastering her angles. huge production. hat off to using vlogging to promote chinese culture.",Great Cameraman，Great Sound Technicien，出色的视频编辑Technicien，出色的视频故事情节编写者，美丽的Recepies背后的出色团队，每个视频中令人惊叹的新传统工具以及优秀的漂亮女演员Lisiqi掌握了她的角度。巨大的生产。使用视频博物馆来促进中国文化。
30530,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHzXwQXur0,2,"supported by goverment or not, this video is a beauty by itself. i came for the aesthetic, not for fighting about some shitty propaganda, and the truth is its a beauty
i like this","无论是否在政府的支持下，该视频本身就是美女。我是为了美学而来的，不是为了争取一些卑鄙的宣传，事实是它的美
我喜欢这个"
