,cid,votes,time,含video,含video中文翻译
15949,UgygE8WIABCx8lI4oB94AaABAg.931UYOHTdP6935roZp4CLA,1,3 years ago,@jefftan2859 her goal was to show chinese youngsters that rural life isn't boring. she never had a goal to showing about her life to you and i. but god definitely open the way if people works hard. this is why today you and i can watch her videos on youtube. she don't have anyway to interact with foreigners she only post on weibo lol. keep your negativity to yourself.,@jefftan2859她的目标是向中国年轻人展示乡村生活并不无聊。她从来没有目标向您和我展示自己的生活。这就是为什么今天您和我可以在YouTube上观看她的视频的原因。无论如何，她都没有与外国人互动，她只会在微博上发布。保持对自己的消极情绪。
26560,Ugw8F0sOSqSLO-5hbnp4AaABAg,1,3 years ago,this is the life ive been wishing for.. thanks for making this video..,这是我一直希望的生活..感谢您制作此视频。
15981,UgyFOUwgiz2yLv37wb94AaABAg,1,3 years ago,this is the most beautiful video i have seen in a long time,这是我很长时间以来见过的最美丽的视频
19340,UgwWMWX7Iks51p8fLIJ4AaABAg,1,3 years ago,watching her video will always make people calm down,看她的视频总会让人宁静下来
11740,UgxKP5VYJYBQ9Lfycf14AaABAg,1,3 years ago,"beautiful video! the most beautiful i saw, thanks for sharing it! i fell in love with the lady .saludos flash argentine",美丽的视频！我看到的最美丽，感谢您分享！我爱上了女士.Saludos Flash Argentine
31071,UgzkDk6Dql0BfZpxDrp4AaABAg,1,3 years ago,"i like your video very much, i watched it at night very hungry",非常喜欢你的影片，晚上看了很饿
28575,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zzSSBho2lr,1,3 years ago,"i am very sure she been help, and is plan before video made... upload on youtube.",我非常确定她得到了帮助，并且在制作视频之前是计划...上传YouTube。
16008,UgyCNlvkgnwsUlQYEPt4AaABAg,1,3 years ago,healing video dealing with wisdom in nature ah ~~~ i am also healing.,治愈自然界涉及智慧的视频啊~~~我也正在康复。
11603,UgxYvQ_WZafa5tkgcAB4AaABAg,1,3 years ago,damn i didnt know i had soft heart till i watched this video...its peaceful,该死
19347,UgzEkgrnLszQj5tIMKx4AaABAg,1,3 years ago,"i like this new concept of cooking video, so calming, got a bit of story too",我喜欢这个新的烹饪视频概念，所以平静，也有一些故事
30853,Ugwhf2_AKCcvhfBjAwl4AaABAg,1,3 years ago,hello your video is very good i'm a vietnams fan,你好，你的视频很好，我是越南粉丝
19192,UgzNwJk0AjeUjecONQ14AaABAg,1,3 years ago,this video was sooo relaxing but i'm not gonna lie i stood to the end because man she was soo beautiful,这个视频很轻松，但我不会撒谎，我站在最后，因为她真漂亮
29364,Ugw8hddxuORCXTGk1vd4AaABAg,1,3 years ago,i have been showing all ur video to my mom n sis. both loves your videos very much. n u r beautiful.,我一直在向我的妈妈n sis展示所有视频。两者都非常喜欢您的视频。不美丽。
15540,UgycChJkGhQihDEaTX94AaABAg,1,3 years ago,"wow, everything is comfortable video.
","哇，一切都是舒适的视频。
"
29363,UgzBCETLKkpjr6Uk0GV4AaABAg,1,3 years ago,beautiful face and very nice video,美丽的脸和非常漂亮的视频
17830,UgwJagZ-z85lafWXY-94AaABAg,1,3 years ago,"my hometown came out of zigong in sichuan. the video of this beauty was first watched for the first time. it was really a sense of substitution. i was a child memories, thank you for making a team.",老家四川自贡农村出来的，这美女的视频第一次看，真的很有代入感，小时候的回忆，谢谢制作团队。
17804,UgyRROJtFbEXrLujpVd4AaABAg,1,3 years ago,"when a promotional video can be seen, it is that kind of attractive travel",当个宣传片看看得了，就是那种吸引旅游的
30603,UgxyK8dRQ-HFZpzsIIF4AaABAg,1,3 years ago,can i come visit maybe stay for ever so i can enjoy all of ur wonderful cooking and all the beautiful surroundings u have i absolutely love ur videos and all of ur knowledge thank u so much,我可以来拜访，也许永远留下来，这样我可以享受所有美好的烹饪，而所有美丽的环境，我绝对喜欢您的视频，所有您的知识都非常感谢您
15046,Ugz1ZYEn3MTpuCTEgCt4AaABAg.93cI5jciYTO94-C1P5zqDC,1,3 years ago,did you teach people to make western food at station b? i have watched your video!,你是在B站教人做西餐的么？我看过你视频！
18924,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92TeU-s1hVj,1,3 years ago,@cyan8406 can make money by shooting videos like her. essence,@cyan8406 像她这样还能靠拍视频赚钱才行。。
30646,UgzOqw4BuuW3agmuD8B4AaABAg,1,3 years ago,great video!,很棒的视频！
15104,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q94JJ2DvtMdW,1,3 years ago,ken rascon right?? where does she keep the computer to upload her youtube videos. which isp does she use?,肯·拉斯肯（Ken Rascon）对吗？她在哪里保留计算机上传她的YouTube视频。她使用哪个ISP？
26662,UgzvszVDNmLbw6O09sJ4AaABAg,1,3 years ago,"the first time i watched your video, i liked it, mainly because people are too beautiful! intersection intersection love you 3000 !!! ... (つ • ̀ω • ́) つ",第一次看你的视频就喜欢上了，主要是人长的太美了！！！LOVE YOU 3000!!!...( つ•̀ω•́)つ
30651,UgyYVczrRtkVWapS0cN4AaABAg,1,3 years ago,"very good video. but i have a few suggestions. as for viet sub. i feel a bit excess. the verses worship, then oh delicious noodles, or scrub ... nonsense. it is enough to understand the action. vietnamese sub verses show up not 1 seconds and then switch to other actions already. the content of vietnamese sub sentences does not have investment. if necessary, you should viet sub part, the ingredients of the dish are enough. :)",很好的视频。但是我有一些建议。至于越南。我感到有些多余。经文崇拜，然后是美味的面条或擦洗……胡说八道。足以理解动作。越南语的诗句出现了1秒钟，然后切换到其他动作。越南子句子的内容没有投资。如有必要，您应该越越南部分，菜的成分就足够了。 :)
15107,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q95XgbiEbWd7,1,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
15121,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD949IXpyxgSE,1,3 years ago,isabella woods then dont start watching the video. either deal with the ads or shut up.,伊莎贝拉·伍兹（Isabella Woods）然后不要开始观看视频。要么处理广告，要么关闭。
15218,UgzrHZj1GJg5Yn2XCn94AaABAg,1,3 years ago,"pine anu in a production company on the topic
generally, the videos are very sweet","在该主题的生产公司中的派恩·阿努（Pine Anu）
通常，视频非常甜蜜"
15283,Ugyb2fyu9_yjdJXAXT54AaABAg,1,3 years ago,"after watching the videos you made in the annoying social environment, i feel very relaxed, thank you",在烦厌的社会环境下看完你拍的影片，令我心情很放松，谢谢你
26643,Ugw0wYie8-cgYcFId_94AaABAg,1,3 years ago,very beautiful video,非常漂亮的视频
17651,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92svkDlGVgG,1,3 years ago (edited),how interesting i use the philippine network to watch a person who uses a canadian network to leave a message to see a person who uses a german network to watch a message using a us network to watch a message on a video published on the us website. i do not know either,how interesting我用菲律宾网络正在看一个用加拿大网络的人留言看一个用德国网络的人留言看一个用美国网络的人留言在看一个中国人发布在美国网站上的视频的留言，到底谁看谁我自己也不知道
17646,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92sOd8hqr2M,1,3 years ago,"when i met me, i watched a message on a message on a video of a video published by the chinese website with a german network to watch the us network using the german network.",遇见 我用加拿大的网络看一个用德国网络看一个用美国网络看中国人发布在国外网站的视频的人的留言的留言。
26619,UgxI7K9WUToTuV3rr2l4AaABAg,1,3 years ago,i love your videos! so much tradition and culture to see and appreciate. thank you!,我爱你的视频！如此多的传统和文化，可以看到和欣赏。谢谢你！
15399,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97Nk_ihnR8Z,1,3 years ago,morag tong a lie is still a lie even if the intention is pure. i love watching these videos and the truth is if she’s getting paid to produce videos by the chinese government then that’s fine i’d just like to know how many other individuals of the total live this was in rural china and not in jammed highly advanced by polluted mega city’s?,即使意图是纯洁的，莫拉格·汤汤仍然是谎言。我喜欢观看这些视频，事实是，如果她获得了中国政府制作视频的报酬，那么我很想知道，这是中国农村地区的其他人，而不是高度先进的污染了巨型城市？
29044,UgxrxlDmInXxSqPwncJ4AaABAg.8yXxwnokw6P8yeZeHuJ1td,1,3 years ago,"@user-ye9jx1lh6y lisiqi channel, the girl grew up with her grandmother, left for the city, returned because the grandmother was bored, the girl returned, but shooting the video and video beautiful, i would be able to do everything, i would be glad !!!",@user-ye9jx1lh6y lisiqi频道，女孩和她的祖母一起长大，离开了这座城市，因为祖母很无聊，女孩回来了，但是拍摄了视频和视频美丽，我会做的一切，我会做的一切，我会是我高兴的 ！！！
30717,UgwJYt3JATVSI0JWY_14AaABAg,1,3 years ago,"it's a bit uncomfortable for vietsub! thank you very much for your sub for us, but sometimes you are subdue and think that it is funny, you can translate normally, it's okay? sometimes a few more sentences make the video happy but don't overdo it. thank you!",对于Vietsub来说，这有点不舒服！非常感谢您为我们提供的潜艇，但是有时您会属于您，并认为它很有趣，您可以正常翻译，没关系吗？有时，还有几句话会让视频开心，但不要过度。谢谢你！
18303,UgwIj2wcfKOzxsLEsA14AaABAg,1,3 years ago,love her video so much!,非常喜欢她的视频！
12288,UgwuAZ5QdEsrKjbyMI94AaABAg,1,3 years ago,what is the background noise? i have heard it in two videos. one with cotton blankets being made and this one?,背景噪音是什么？我已经在两个视频中听到了。一个用棉花毯制作的，这是吗？
19161,UgxjSfV6dGnBVdUWGJR4AaABAg,1,3 years ago (edited),please give me a link of the music when the video begin. i very like it please please please,视频开始时，请给我音乐的链接。我非常喜欢它，请
29033,UgyESDbJD32KjnrPOZ14AaABAg,1,3 years ago,"oh my good
nice video","哦，我很好
不错的视频"
18305,Ugzyk0WS-2gLnsHROER4AaABAg,1,3 years ago,"if you ever wonder why chinese people are slim, look how much works they do and how much meat they eat every day... amazing video",如果您想知道为什么中国人为什么苗条，看看他们每天做多少工作以及他们吃多少肉...很棒的视频
27860,UgwFORV0OWZ1_ayC1H14AaABAg,1,3 years ago,"in a wonderful place, i can feel that the verse of ""linjiangxian"" written by yang shen ""shan shan is still there"".
pick bamboo shoots and find fungus.
wash your feet in the clear stream and find shellfish.
naturally, it is very rich, and there is no waste at work.
i want you to cherish naturally the treasure of china.
thank you for your good video. i will also watch the past videos.","一个美妙的地方,我可以感受到杨慎写的“临江仙”的诗句”靑山依旧在”.
采摘竹笋,找到木耳.
在清澈的溪水中洗脚,找到贝类.
自然是非常丰富的，工作中没有浪费.
我要你珍惜自然是中国的宝藏.
谢谢你的好视频.我还会观看过去的视频."
4291,UgzjEmXA736sGuzW7vh4AaABAg,1,2 years ago,"i like the video of li ziyi making vegetables, each episode is delicious.",喜欢李子柒作菜的视频，每集都好吃。
21763,UgwuJfXah6OkmxEXiFd4AaABAg.9-X2lhwPmrD9-XJia2Rzhb,1,3 years ago,"li ziyi should have earlier than hua nong. besides, hua nong also has a team, but the video style is different. you said that a bit funny. what white lotus is hua nong?",李子柒应该比华农早吧，再说华农也有团队，只是视频风格不一样。你这么说就有点搞笑了。华农是什么白莲花吗？
21715,Ugx9n_xAWR6DXDwclVB4AaABAg.9-ZKzpkpPAb9-_Ul-qStMu,1,3 years ago,"she boils clean water in it to get rid of the scum after cooking, then uses a pan to scoop out the hot dirty water and wipes it clean with a hand towel. these are just my speculation as you can see her doing it in a few of her videos for a few seconds.",她将干净的水煮沸以在烹饪后摆脱浮渣，然后用锅挖出热的脏水，然后用毛巾擦拭干净。这些只是我的猜测，因为您可以在几秒钟内看到她在她的几个视频中做到这一点。
5565,UgzSQHAuIG5-Fw-BV0V4AaABAg,1,2 years ago,such atmospheric video and music ... just bliss,这样的大气视频和音乐...只是幸福
21711,UgwS81or8jdcpkhIGrJ4AaABAg.9-Zsvcbe8F390gvx0V07E0,1,3 years ago,you mean her baby lamb? he's all grown up now! in on e of the spring videos she sheared him for the first time.,你的意思是她的宝贝羔羊？他现在已经长大了！在春季视频中，她第一次剪了他。
5604,UgxaDNP4Hy5yv5gAyEt4AaABAg,1,2 years ago,always enjoy watching the video ^^,总是喜欢观看视频^^
5702,Ugw1DdxA_9LkG-phyZ14AaABAg,1,2 years ago,"many people now like li ziyi's videos, and even raise them to the level of cultural output. i oppose this approach. although i also like her videos, i think that excessive praise is to kill. her team needs to work hard on video creation, instead of rushing to bring goods. many of the products of li ziyi brand on the market now have nothing to do with her videos. they are processed by foundries. many people who do not know will definitely not buy it again. then her business model can only be just only stay on a gimmick. the advantage of the li ziyi team is that the video shows the beauty of the american rural life in a beautiful way. there are many places that can be deeply excavated in such the subject matter. putting energy on it will make them go further.",现在有很多人喜欢李子柒的视频，甚至将其抬高到了文化输出的层次，我反对这样的做法。我本人虽然也很喜欢她的视频，但我认为过度赞誉就是捧杀，她的团队需要进一步在视频创作上去努力，而不是急着去带货。现在市面上很多李子柒品牌的商品，其实和她的视频没有什么关系，都是代工厂加工的，很多不知道的人购买后肯定不会再次购买了，那么她的商业模式也就只能仅仅停留在一个噱头上。李子柒团队的优势在于视频以一种唯美的方式展示了中国乡村生活中美的一面，这样的题材还有很多可以深度挖掘的地方，把精力放在这上面会让她们走得更远。
1341,UgwzPqmoegQUMBr3e954AaABAg.9_rL2RqxKRm9_sr_q_e7PP,1,1 year ago,you mean at the beginning of the video? those are bamboo shoots. i haven't tried hearts of palm though so i can't compare.,您的意思是在视频开始时？那是竹芽。我没有尝试过手掌的心，所以我无法比较。
5723,UgxwnPjgNo_i1g2fDhF4AaABAg,1,2 years ago,"nature tourism of the swift currents of pariangan village, loksaso, upstream of the southern river of south kalimantan, visiting cousins โ€โ€in the upstream of the central river, we are served. fire wood, it feels maknyoooss๐ and this only exists in the village, let's watch out the excitement of the latest fnt fams video, don't forget to like, share, comment and subscribe, free, free

https://youtu.be/13zzieywmsk","Loksaso帕里安根村（Pariangan Village）的迅速潮流的自然旅游，让我们注意最新的FNT FAMS视频的兴奋，别忘了喜欢，分享，评论和订阅，免费，免费

https://youtu.be/13zzieywmsk"
1332,Ugwlinm_E_BXD2BOVxh4AaABAg,1,1 year ago,"i don't know if it's okay, be harvested by capital. while the video itlet is really great. i like the way.",不知道是否还好，被资本收割掠夺。While the video itself is really great. I like the way.
5780,Ugya9Pon61oQjonTOBh4AaABAg.9Fhz7qN5fiT9GHQuT2EKhb,1,2 years ago,"your videos are good as well, keep it up!!",您的视频也不错，请继续努力！！
5891,UgyuxDp9Jg_bu3mgryN4AaABAg,1,2 years ago,sister li ziyi can learn the video that likes you to support you โค๏ธ๐’ช,李子柒姐姐能学习喜欢你的视频 支持你❤️
5897,Ugxzw7a4e9amPV9oPtl4AaABAg,1,2 years ago,"hello!, my name is ariel, i am from mexico. i am trying to raise funds to be able to return to university since i had to abandon it to help my mother and my brother, i currently work repairing clothes, and i do some work such as rehearsals or crafts but i cannot go back to school, i am trying to develop bags for myself, my idea is to incorporate organic materials that do not pollute the planet, so i can help myself to work and thus be able to go back to school, i want to study architecture, please take the time to read my story and my idea to get ahead, if you can help me by donating or sharing my message to more people i would appreciate it, if you have questions ask me, the least i want is for them to think that i want to scam them when all i am looking for is to achieve my dream of being an architect.
this is my campaign where i explain my situation and my idea i hope you can help me:
https://www.airfunding.net/project/173862?hl=es&utm_source=copied_url&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_173862
i also made a video that is on youtube if you want to see it:
https://youtu.be/e6xn4etzc5k
you can also make a direct donation in paypal which is linked to my fundraising campaign:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=sxu2euq899gqu&source=url
with all my heart thank you for taking the time to read my situation, thank you very much, blessings!!.","您好！，我叫Ariel，我来自墨西哥。我试图筹集资金以便能够返回大学，因为我不得不放弃它来帮助母亲和兄弟，我目前正在修理衣服，我做了一些工作，例如排练或手工艺品，但我不能回到学校，我正在尝试为自己开发袋子，我的想法是纳入不污染地球的有机材料，以便我可以帮助自己工作，因此能够回到学校，我想学习建筑，请进行是时候阅读我的故事和我的想法来取得成功，如果您可以通过向更多的人捐款或分享我的信息来帮助我，如果您有问题问我，我最不想要的就是让他们认为我想要当我想要的只是实现成为建筑师的梦想时，骗它们。
这是我的竞选活动，我在这里解释我的情况，我的想法希望您能帮助我：
https://www.airfunding.net/project/173862？hl = es＆utm_source = copied_url＆utm_medium = social＆campaign = proaign=proight = proign = proign_first_first_sshares&utm_content = prodeject=proteject_proteject_id_id_173838888882
如果您想看到的话，我还制作了一个视频：
https://youtu.be/e6xn4etzc5k
您还可以在PayPal中直接捐款，这与我的筹款活动有关：
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id = sxu2euq899gqu&source=url
全心全意，感谢您抽出宝贵的时间阅读我的情况，非常感谢，祝福！"
5909,UgxSyRdk9kjSTDhIzqR4AaABAg,1,2 years ago,"i am from india ,tamilnadu.i am a great great crazy fan of u, i mostly seen all u r videos and daily searching for more and more .please upload more videos .love and u r grandma. take care of her. u r garden and mainly u r roses made me fresh. great work. always praying for u r great future. don ""t feel ,we r so many for u-,u r well wishers .love u .waiting for ur new videos",我来自印度，泰米尔纳德邦。照顾她。花园和主要的玫瑰使我新鲜。做得好。一直为您的美好未来祈祷。 “感觉，我们为U-，u r w and whorders rove u。
25281,UgyTx2vLQnwJfijHlrJ4AaABAg,1,3 years ago,this video was posted 11 days ago and it already has over 8 million views. i guess i'm certainly not the only one who is fascinated by liziqi.,该视频于11天前发布，已经有超过800万的观看次数。我想我当然不是唯一一个被利兹奇着迷的人。
5926,UgyF5OPZ55-XS7ErU094AaABAg,1,2 years ago,i'm so hungry while watching this video๏ผ๏ผ๏ผ๏ผ,看这部视频时，我很饿！！！！
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,3 years ago,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
33039,Ugzmmp3o1lsdeUKdZih4AaABAg,1,3 years ago,i already fell in love with your videos and i can’t even describe how much i love seeing them. they are calming me down even today when i have to go somewhere that i hate visiting. thank you!,我已经爱上了您的视频，我什至无法描述我有多喜欢看到它们。即使在今天我不得不去我讨厌来访的地方，他们也使我平静下来。谢谢你！
5365,UgymhD5xLKlRazqaNaF4AaABAg,1,2 years ago,i love watching your videos!,我喜欢看你的视频！
32885,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8ya0iU-HJpa,1,3 years ago,you are addicted to her videos. get help and consult a psychiatrist.,您沉迷于她的视频。寻求帮助并咨询精神科医生。
5318,UgzJBxkIpWxnNnuCw054AaABAg,1,2 years ago,"this woman is the epitome of hard work, creativity and filial piety for her grandmother and community. the grandmothers laughter in this video says it all. joyous to watch!
from new zealand.","这个女人是她祖母和社区的辛勤工作，创造力和孝顺的缩影。这部影片中的祖母笑声说明了一切。很高兴观看！
来自新西兰。"
24375,UgwCFf5ejDR7qagp-j54AaABAg,1,3 years ago,absolutely satisfied video.......,绝对满意的视频.......
33211,UgytMn1zGqUoahk86KN4AaABAg,1,3 years ago (edited),i can't stop myself watching your videos. lots of love ❤️❤️❤️❤️,我不能停止观看您的视频。很多爱❤️❤️❤️❤️❤️
33198,Ugz-qCF7c3CmBVEACkp4AaABAg,1,3 years ago,watching this video make me sad. i missing my past when i stayed in village. i did same thing like you. almost every vegetables i took from my own farm. now... i live in capital city. and everything need to buy. nothing is natural. good luck for you.,观看这段视频让我很难过。当我住在村庄时，我想念我的过去。我做的像你一样。我从自己的农场里拿走的几乎所有蔬菜。现在...我住在首都。一切都需要购买。没有什么是自然的。祝你好运。
4918,UgzDGig2nRmII3g0Utp4AaABAg,1,2 years ago,this video is so peaceful,这个视频是如此和平
4998,Ugyze5LgAqKD0yt_7e14AaABAg,1,2 years ago,"why could someone ๐‘๐ผ this video, let alone 29,000 someoneโ€s? whatโ€s wrong with you? you know what the video is going to be about if youโ€re not into this type of thing donโ€t watch it.",为什么有人可以
5028,UgzNqvBWu6LgE9rq6Rp4AaABAg.9HwTh4DjVZe9I0hTyGxQsF,1,2 years ago,"encourage me for more nature videos like, share, subscribe to my channel friends .. natural bird sounds https://youtu.be/ezfmbkjcevy",鼓励我制作更多自然视频，例如，分享，订阅我的频道朋友。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
33176,UgxO2rwP5lSoOewT8YV4AaABAg.8yUew2AAAcS8yUvgV2ecqL,1,3 years ago,"@keittobanaani8508 before it was just her, but now she has a production team :) (also i think she still edits her own videos)",@keittobanaani8508在她只是她之前，但现在她有一个制作团队:)（我认为她仍然编辑自己的视频）
33172,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV3euQaKOY,1,3 years ago,"@lilyherbal2262 yup, shes chinese! but the way she live, the scenery around her looks like in vietnam! anw, really love her videos",@lilyherbal2262是的，她是中文！但是她的生活方式，她周围的风景在越南！ anw，真的很喜欢她的视频
33158,UgzhDUCtJTtYElDRRoh4AaABAg,1,3 years ago,"these videos relaxed me too much, i would love to live in such a place ... everything is very beautiful.",这些视频让我感到非常放松，我很想住在这样的地方……一切都很漂亮。
34598,Ugx-brgwUZp_8mY2CvJ4AaABAg,1,3 years ago,i love all you video,我爱你所有的视频
5204,UgxINGUG7O4gWaNwxLt4AaABAg,1,2 years ago,hi im from philippines...i really admire ur cooking skills and i love watching ur videos.,嗨，我来自菲律宾...我真的很佩服您的烹饪技巧，我喜欢看您的视频。
33146,UgyoZ2Zl0o37WzhRdiF4AaABAg.8yUfNvpBMUH8yUg5RFRBzo,1,3 years ago,i like your video very much,我非常喜欢你的视频
33140,UgzEQirUfYai_Rpn3cp4AaABAg,1,3 years ago,i make interesting videos,我制作有趣的视频
24295,UgyF-98QHbMsMY1oWFV4AaABAg,1,3 years ago,"such a good video,love alway from kimthu le life in norway",如此出色的视频，挪威的Kimthu Le Life的Love Elway
33112,UgwZpQJ-CUXYbLLq0K94AaABAg,1,3 years ago,it's amazing really beautiful cute girl assume videos ❤,真是太漂亮了可爱的女孩，假设视频❤
32886,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8zCqFaYlcN6,1,3 years ago,it feels so relax watching her videos,看着她的视频感觉很放松
6064,Ugw0iuB86cjaeuO9T7p4AaABAg,1,2 years ago,watching again this video during my quarantine day,在我隔离的一天再次观看此视频
7299,UgxUrem6aCIDSeGhFvx4AaABAg.9D13tNsaGdw9D90Y6lm1uk,1,2 years ago,"i watched an interview of her she told that people are stressed living in town and all that stuff, so i make videos to relax them. so basically i guess it is satisfying! sorry if i misunderstood anything!",我看着她的一次采访，她告诉人们，人们在城镇和所有这些东西上感到压力很大，所以我制作视频以放松他们。所以我基本上想这很令人满意！对不起，如果我误解了任何东西！
25392,UgweyVs95084idGo0gp4AaABAg,1,3 years ago,"it is ashamed. as a native of guangxi, i am still only at the level of snail powder. ziyi, you are so praised! each video is very pleasing to the eye, and it is full of energy for me, because every time i watched the video, i will become slightly diligent. hahaha, i will be ashamed to let myself be paralyzed again.",好忏愧，作为广西人，在螺蛳粉方面我还在只停留在到螺蛳粉店嗦粉或者网购速嗦螺蛳粉的水平。子柒妳真的太赞了！每期视频都很赏心悦目，而且对我来说还正能量满满，因为每次看过视频我都会变得稍微勤快那么一些哈哈哈，看见妳，我就耻于让自己再葛优瘫了
980,UgwlCaUn0GUK9CSYNS54AaABAg,1,1 year ago,it's been 10 months since your last upload. waiting for your new videos. or do you have a new channel?,自您上次上传以来已经有10个月了。等待您的新视频。还是您有新频道？
32658,UgxUKUQ9qn6Fg0P7Yld4AaABAg,1,3 years ago,this video is enough to make the whole liuzhou man fall in love with you,这个视频足以让全柳州男人爱上你了
32639,UgykgekZTW7T3hAAhvR4AaABAg,1,3 years ago,good morning li its currently 6:41am in the caribbean.im enjoying your video as uausl,早上好李，目前在加勒比海的上午6:41。
6902,UgwNqF87gZGOTipBRW94AaABAg,1,2 years ago,"my hope is every video ๐ฅ, how many of your videos, you can make up for it, i can't regret it. you live out of the people's longing and continue to be happy",我的希望就在妳每个视频
21434,Ugxe0JIy7hGYMHkCckN4AaABAg,1,3 years ago,nyc video,纽约视频
973,Ugy_5aR9v-g-yeRYrdF4AaABAg,1,1 year ago,anyone is full of peace when watching this beautiful video,观看这个美丽的视频时，任何人都充满了和平
32600,Ugy3JoJvK3tJqvkzAod4AaABAg,1,3 years ago,liziqi... i love you... your video very nice... love from indonesia,liziqi ...我爱你...你的视频非常好...来自印度尼西亚的爱。
7128,UgwOjmct6L_MXjctAmJ4AaABAg,1,2 years ago,hello ๐‘ i really like your food video blessings for your whole family greetings ๐๐๐๐๐,您好
23287,Ugxe5e3fIautK1xmID14AaABAg.8zmp2MZnUA68zu3KxwKuJb,1,3 years ago,she is the director. she has an assistant and videographer but she calls the shots with the choreography and framing of each shot. she used to shoot by herself with just a tripod.,她是导演。她有一位助理和摄影师，但她用每张镜头的编舞和框架来命名。她曾经只用三脚架自己射击。
34869,UgyQ1umbae3nWC-oGFd4AaABAg.8yUSnw6UL8F8yUTz_U4vQm,1,3 years ago,"@galuhkartika2456 the video on weibo has not been deleted, so there is no need to modify it.",@galuhkartika2456微博上的视频尚未删除，因此无需修改它。
34873,UgyQ1umbae3nWC-oGFd4AaABAg.8yUSnw6UL8F8yUZ0FgPuut,1,3 years ago,@galuhkartika2456 what was deleted from the video and why? thanks,@galuhkartika2456视频中删除了什么，为什么？谢谢
34875,UgyQ1umbae3nWC-oGFd4AaABAg.8yUSnw6UL8F8yUftFwL1sA,1,3 years ago,why the original video deleted?,为什么删除了原始视频？
32588,UgwKFVxy7y5vL1-5VU14AaABAg,1,3 years ago,i thought the video lagged @0:02,我以为视频滞后 @0：02
7242,Ugwn75RJqOhnL55peit4AaABAg,1,2 years ago (edited),"plz dont kill them plz๐ฅบ๐ฅบ๐ฅบ๐ฅบโน๏ธโน๏ธ
love your videos from india๐ฎ๐ณ๐ฎ๐ณ
you can eat more vegetables and fruits๐“๐“๐ฅฌ๐ฅ’๐ฅฌ๐ฅฆ๐ฐ๐‘๐๐๐๐๐","请不要杀死他们plz
爱印度的视频
您可以吃更多的蔬菜和水果"
23352,UgzSwJhOC51E-WPbMv54AaABAg,1,3 years ago,watching li ziyi's video feels distressing,看了李子柒的视频感觉让人心疼
6812,UgwsFsyLn9C0rx_rRwV4AaABAg,1,2 years ago,"indeed a great video
it's cool ~ ^^ ๐‘๐’•","确实是一个很棒的视频
很酷〜^^"
1057,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9nnG3gyWkww,1,2 months ago,"when you come back for a long time, you don't see your video",当您长时间回来时，您看不到视频
32877,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8yV1It_kySH,1,3 years ago,"i think everyone who follow her videos,get same feelings.",我认为每个关注她的视频的人都会得到同样的感觉。
21471,UgyWZ2Lv_zhAAxq5rkN4AaABAg,1,3 years ago,i am so tired to watch your video and feel more comfortable,心好累 看了你的这个视频 感觉让人舒服多了
1275,UgyjSaFaKjcf7jLf8UJ4AaABAg,1,1 year ago,it's been a long time since you see the video!,自从您看到视频以来已经很长时间了！
6077,UgxIdaD15-hqslYiMSx4AaABAg,1,2 years ago,"god willing, a very beautiful video created.",上帝愿意，创建了一个非常美丽的视频。
1272,UgyyuvNpmAnIHJ61wO94AaABAg,1,1 year ago,where is the new videos?,新视频在哪里？
