,cid,votes,time,含wow,含wow中文翻译
15316,UgytwhpgrNAi4rwxUgV4AaABAg,1,3 years ago,wow she could do just about anything. she’s very special from god.,哇，她几乎可以做任何事情。她很特别。
5718,UgwoTrvvK26htlvJu814AaABAg.9Fu3341j1w69FxMbg8ij0t,1,2 years ago,wow there are indonesians,哇，有印尼人
447,Ugx4nfNOUM9sNODnzb14AaABAg,1,5 months ago,"wow, a great video, i am an indian, but i like china, i want to go to china, this is my dream",哇，多棒的视频啊，我是印度人，但我喜欢中国，我想去中国，这是我的梦想
5264,UgwFsLxwtqMEMi8urzh4AaABAg,1,2 years ago,wow this food so yummy. thank you for sharing,哇，这食物好吃。感谢你的分享
18765,Ugzyxhs3ZGr_q7smYUl4AaABAg,1,3 years ago,wow this lady is amazing,哇，这位女士很棒
21677,UgzH7hHmV2sHnzP_OxB4AaABAg,1,3 years ago,wow...amazing...,哇...太棒了...
20197,UgwSRCt7SIMPK_GrSNZ4AaABAg,1,3 years ago,you cook like a great artician. wow. i can learn alot of recipe where no oil is used on your channel.,你像一个伟大的艺术家一样做饭。哇。我可以学习很多食谱，其中您的频道上不使用油。
556,UgzCn7OFggjbCzGe0dF4AaABAg,1,7 months ago,"wow, this is great",哇，这太好了
20100,UgzTWqogsDDKI3w9kdp4AaABAg,0,3 years ago,wow,哇
20055,UgyerFSZ72rTcF9ENY94AaABAg,0,3 years ago,"wow! that bamboo shoots are too big, it's old!",哇！那笋子太大了吧，已经老了！
23473,Ugxqu-kyUI8C7zrW_4x4AaABAg,0,3 years ago,wow nice,喔不错哟
23437,UgwUsKZMeSFSpv0d5JV4AaABAg,0,3 years ago,wow bamboo shoots i just love it,哇竹芽，我只是喜欢它
23381,Ugzk8dqR97hOjMd0wy54AaABAg,0,3 years ago,"wow,,,,,,,i am in indian.",哇，我在印度人。
24255,Ugw79YjVJ5Od5dQbrtJ4AaABAg,0,3 years ago,"wow,awesome!",哇，真棒！
23378,UgwALNgodNu6jdYMmJd4AaABAg,0,3 years ago,"nice......so relaxed


another wow ! video here...watch till end...


https://www.youtube.com/watch?v=4mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa","很好......很放松


另一个哇！视频在这里...观看直到结束...


https://www.youtube.com/watch?v=4Mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa"
23331,Ugw6XDbdvcZclo2TpWh4AaABAg,0,3 years ago,"the channel where a chubby woman is food is eaten by the whole family
is this man mother? wow, i think you're living alone.
i also watched a video taken by thailand, but there were too many insects flies there.
but their dwellings seem to be really clean and healed because they can't see bugs
and that woman is pretty and pretty, but i think it's really in love to see that food and do it alone
and there are about 6 million subscribers
i think i've been doing it since ancient times and it has been upgraded.
whether you have a lot of income, it is why everyone is watching this video.
it's a filial piety
i can't believe it is really that i edit that video in that residence.
i want to go to experience there","全家人吃食物的胖女人的频道
这个男人妈妈吗？哇，我想你一个人住。
我还观看了泰国拍摄的视频，但是那里有太多的昆虫飞了。
但是他们的住宅似乎真的很干净和治愈，因为他们看不到虫子
那个女人漂亮又漂亮，但我认为看到那种食物并独自做到
大约有600万订户
我认为我从远古时代开始就这样做了，并且已经升级了。
无论您是否有很多收入，这就是每个人都在观看此视频的原因。
这是一个虔诚的虔诚
我不敢相信我真的在那个住所中编辑了该视频。
我想去那里体验"
23505,Ugy0MKB5VITnJ4qsTnZ4AaABAg,0,3 years ago,"wow, simply beautiful.... all of it..",哇，简直美丽....所有这些..
23324,UgyIoDe16Mhr-uFbhMV4AaABAg,0,3 years ago,if this girl isn't married. i just wanna know why the hell not. cause...wow. complete 10 all around,如果这个女孩没有结婚。我只想知道为什么不是地狱。原因...哇。在周围完成10个
23316,UgzApZnThT8RFufPP8d4AaABAg,0,3 years ago,"wow, what a woman.",哇，真是个女人。
20546,UgwazUdf2Zh9EaQoF2Z4AaABAg,0,3 years ago,wow so good,哇这么好
20554,Ugz9YCZl-1TyAsNpCu54AaABAg,0,3 years ago,wow... she can do anything. handy and gentle at the same time.,哇...她可以做任何事情。同时方便而温柔。
20656,UgwSH5w6BnzJw8da5Yd4AaABAg,0,3 years ago,wow liken,哇
20459,Ugz6GDQJ9Sfinn-Vykx4AaABAg,0,3 years ago,18m views? wow,18m的观点？哇
23629,Ugwlu4Mk7uv63viVIy54AaABAg,0,3 years ago,wow bamboo shoots are very thin,哇竹芽很薄
23527,Ugy9o292cLzuJsjKldh4AaABAg,0,3 years ago,"wow kangkung, it's my favorite food",哇，这是我最喜欢的食物
20415,Ugw8wb1lE-y0msJw8N14AaABAg,0,3 years ago,wow. if i live there i ll be 100 years old n healthy,哇。如果我住在那儿，我将有100岁的健康
23765,UgwNSLfTsEwe5NHpD914AaABAg,0,3 years ago,"wow very hard working ,,i remember my province ,",哇，非常努力，我记得我的省，
23809,Ugw_qowguHLrCIsEC994AaABAg,0,3 years ago,wow,哇
23819,Ugxb26bNDnJ_q6B4fHR4AaABAg,0,3 years ago,woww,哇
20402,UgyBFGXOxn_B1sGh-1d4AaABAg,0,3 years ago,wow snail powder!,哇螺蛳粉！
20273,UgyHf5Q40-z8893IWCV4AaABAg,0,3 years ago,wow chinese girls irajin and very creative enterprise,中国女孩伊拉金和非常有创造力的企业
20193,UgwTaSE14V9dDB9CMit4AaABAg,0,3 years ago,wow,哇
23244,UgzlFEM0P6XTJEyVBdt4AaABAg,0,3 years ago,wow what a beauty of nature ........and almost its food items really yummy yummy .......,哇，多么美好的大自然........几乎它的食物真的很好吃。
20228,UgxVd-lNOLk3qIKqfAd4AaABAg,0,3 years ago,kaise kar leto ho!? ... wow ✊,Kaise Kar Kar Leto Ho！？ ...哇✊
20198,Ugwd1Bba8mulXQndFoV4AaABAg,0,3 years ago,wow thing,哇的东西
24014,Ugy0ktlis_C-bjivXtR4AaABAg,0,3 years ago,this channel is amaizing. just wow.,这个频道正在amaizing。哇。
24031,UgxGXAOu3EcsTfENtQh4AaABAg,0,3 years ago,wowwww,哇
24158,UgzVj6bueuKzvaljWdN4AaABAg,0,3 years ago,wow your place is so beautiful and you're so kind to your grandma,哇，你的地方是如此美丽，你对奶奶很友善
24236,UgxUQ3JBrdK5FGmKlYl4AaABAg,0,3 years ago,wow .... her farm full of fruit n plant...,哇....她的农场里到处都是水果n植物...
20686,UgzalNXFdzz5HngVF9V4AaABAg.90d-vjJja70919CI_boXQv,0,3 years ago,wow. your dad is smart. i'm gonna do this starting today,哇。你爸爸很聪明。我今天要从今天开始。
23120,UgxviW_DmXswIhD85WF4AaABAg,0,3 years ago,"wow ! liziqi, you are really fhfl (fast hand fast leg). everything you do just chop chop done !..",哇 ！ liziqi，您真的是FHFL（快速快速腿）。您所做的一切都完成了切碎！..
23231,UgxqaTogvet-fBuamYR4AaABAg,0,3 years ago,"these are so gorgeous, wowwww <3 can you please upload versions of these videos without music? the sounds are so soothing and it would be perfect to watch without the music :3 <3",这些是如此华丽，WOWWWW <3您能否请您上传这些视频的版本，而没有音乐？声音是如此舒缓，没有音乐的观看非常完美：3 <3
22375,UgwJYdwSE5mle6sA6uV4AaABAg,0,3 years ago,so beautiful wow. she deserves to live beautifully like that.,如此美丽的哇。她应该像这样美丽地生活。
22779,UgxnfhF1DAqXxkH_wrR4AaABAg,0,3 years ago,wow i'm really amazed with your food congratula.,哇，我对您的食物感到非常惊讶。
22641,UgxYajkTDgGwZRWw8lF4AaABAg,0,3 years ago,wow i love this video. ..,哇，我喜欢这个视频。 ..
21256,UgxQlurNvMuePVOa1vd4AaABAg,0,3 years ago,wow what a beautiful woman making the best out of her surroundings,哇，一个美丽的女人在周围的环境中尽力而为
22381,UgwxffrvnZoApDNVmNB4AaABAg,0,3 years ago,"wow! everything is so fresh and also a whole days of work/prepping!! simple and yet delicate in a way....so mesmerizing watching video, i had to subscribe for more!!",哇！一切都是如此新鲜，也整整几天的工作/预备！！简单而又细腻的方式...................观看视频令人着迷，我不得不订阅更多！
21294,UgzlEKbedIKPKDuHRVd4AaABAg,0,3 years ago,wow perfect for lunch.,哇，非常适合午餐。
21331,UgydRi_HOMOEXGe6zcR4AaABAg,0,3 years ago,wow haha,哇哈哈
21438,Ugz0Ied0jxc0fnfg8wF4AaABAg,0,3 years ago,wow,哇
21543,UgzQyYnfIRq3DiOCg7V4AaABAg,0,3 years ago,"wow how i wish i can live here.. your place is very peaceful, the vagetables are all fresh.. i really love this place..",哇，我希望我能住在这里..您的住所非常和平，偏ingables都是新鲜的..我真的很喜欢这个地方。
21572,UgwEbjJF1Qy1g_DcUSV4AaABAg,0,3 years ago,wow...how rich she is,哇...她有多富裕
21230,Ugxp6ljtLFtu8svatVN4AaABAg,0,3 years ago,"wow so yammy .
give me plz i have hungry","哇，雅米。
给我我饿了"
21665,UgzhzOaLjsFTBXshDGZ4AaABAg,0,3 years ago,wow,哇
21722,UgxxGGZz1rkfwoZoQgV4AaABAg,0,3 years ago,wow bamboo shoots northeast food,哇竹芽东北食品
21891,UgxENoZHRuB2YxQd2_J4AaABAg,0,3 years ago,wow,哇
21898,UgxQYnF768OLL2PaNiB4AaABAg,0,3 years ago,"wow how beautiful and delicious it looks, i would love to try.",哇，看起来多么美丽，美味，我很想尝试。
22060,UgyGGRxlA2u2qga-17d4AaABAg,0,3 years ago,i am amazed at your skills and life. i wish that i could learn from you. it's what i can only dream of. living from the produce of the land and being able to make all the things you do is amazing. wish i could taste what you make and learn to make it myself. wow!!!!!,我对您的技能和生活感到惊讶。我希望我能向您学习。这就是我只能梦dream以求的。从土地的农产品中生活并能够制造出您做的所有事情真是太神奇了。希望我可以品尝您的制作并学会自己制作的东西。哇！！！！！
22073,UgzcZvYJmDpSxuUcDfp4AaABAg.9-Fe5Kk-yfW9-VjznTkwBt,0,3 years ago,"wow same here, i also use my right hand to eat and the left to wipe my ass! thats great!",哇，这里一样，我也用右手吃饭，左手擦屁股！那太棒了！
22298,UgxQJOQHKfS6wooilx94AaABAg,0,3 years ago,"again wow, those were some long beans. what kind of beans. the ""long"" beans most people grow in the us are not like that.",哇，那些是一些长豆。什么样的豆。大多数人在美国种植的“长豆”不是那样。
22280,Ugwn0IC4YP9RmELf_Xh4AaABAg,0,3 years ago,wow,哇
22864,UgwCew82UhCQ4RQaGnp4AaABAg,0,3 years ago,"no measuring cups, spoons, etc...ever...not one. true food artistry generation after generation, wow.",没有量子杯，汤匙等...没有一个。一代真正的粮食艺术，哇。
22999,Ugz97UCQTNC9LWWaR9x4AaABAg,0,3 years ago,wow,哇
20696,UgygQQaUlCXlHaGhQsB4AaABAg,0,3 years ago,"wow, who is this republic of four is very good. this",哇谁这共和四幅很好此
23105,UgyomfSe9v-C3HyTel14AaABAg,0,3 years ago,thanks for sharing video wow like 's support each other♻️♻️,感谢您分享视频WOW，例如Connect My NewFriend
23229,Ugw3ZyXTYLqJc0eij914AaABAg,0,3 years ago,"wow, the bamboo shoots are usually used as vegetables. i like to eat that",哇，竹芽通常用作蔬菜。我喜欢吃那个
20703,Ugyn-Noj7v87tPg0XlN4AaABAg,0,3 years ago,wow delicious,哇好吃
20726,Ugxnwv5bVQ3QEw_BLBV4AaABAg,0,3 years ago,wow,哇
23164,Ugwa0m9tjjJZQ04t_5l4AaABAg,0,3 years ago,wowww ❤❤,哇
22244,Ugz4LC23PwoUJuNlMHR4AaABAg,0,3 years ago (edited),"wow fresh ingredients alongwith that countryside is a picture perfect (video perfect) 
such a joy to watch the days' proceedings go by.
i wish i could still find such simple days","哇，新鲜食材与乡村是一幅完美的图片（视频完美）
观看日子的诉讼经历的乐趣。
我希望我仍然可以找到如此简单的日子"
20744,Ugz9_5gp4kJ3UhG-oUt4AaABAg,0,3 years ago,wow really awesome dear,哇，真是太棒了
23108,Ugx_VWqA4ugIEGsnXzR4AaABAg,0,3 years ago,wow amazing place to live.,哇，居住的地方。
20821,UgykXJgUNUO5oCNOB8R4AaABAg,0,3 years ago,wow,哇
20848,Ugz_-NVwDeyXQpez1DF4AaABAg,0,3 years ago,wow thats bambo so yuumy to cook and so delisious,哇，那是班博，所以煮熟了
23004,Ugwx5unlXYFfa7VWpZ14AaABAg,0,3 years ago (edited),"wow so nice and beautiful 
watch my channel please","哇好漂亮
请观看我的频道"
20950,UgzACeQj1ES2heN844R4AaABAg,0,3 years ago,wow,哇
21021,UgwHn3prBALZlBKlpap4AaABAg.90KR-uh-1DY90UorQyFbRa,0,3 years ago,tiffany yeo wow. youtube is banned in china right? how can they upload her videos on yt?,蒂芙尼Yeo哇。 YouTube在中国被禁止吗？他们如何将她的视频上传到YT上？
23078,UgwXZxosZE5E09tK6rt4AaABAg,0,3 years ago,wow! just read about liziqi. at first i thought she's a beautiful actress who's showing off her talents which she's learned but i'am pleasantly surprised to read she's a real farm girl. love how her clips are made and this clip has definately shown what a lot of work cooking can be at times and has made me hungry.,哇！只需阅读有关Liziqi的信息。起初，我以为她是一位漂亮的女演员，她正在炫耀自己学到的才华，但我很惊讶地读到她是一个真正的农场女孩。喜欢她的剪辑的制作方式，并且该剪辑肯定表明了有时可以做很多工作的烹饪，并且使我饿了。
23072,UgzS8IRh4Hv8qwUnnVR4AaABAg,0,3 years ago,wow what a beautiful lady,哇，多么美丽的女士
23053,UgyONTPN-0My5Ooi0Hl4AaABAg,0,3 years ago,wow i love this lady.,哇，我爱这个女士。
21186,UgwKVGNAVyYFNI9Bpa54AaABAg,0,3 years ago,"wow, look at the views ㅡ ㅡ i will spend any money ..",哇，看看观点ㅡㅡㅡ我会花任何钱。
21189,UgxaWdJM1462ufSknwR4AaABAg,0,3 years ago,wow.. she more attractive then dionxie,哇..她比Dionxie更具吸引力
21192,UgywAN8gP3DaoIxHF0B4AaABAg,0,3 years ago,wow,哇
22162,UgxYzt3VwL0OLAxHeJV4AaABAg,0,3 years ago,wow. lough!,哇。湖！
25456,UgzyUdVX-DwfXJ4dtzV4AaABAg,0,3 years ago,wow i love every video it teaches me so much thank you very much.,哇，我喜欢它教我非常感谢的每个视频。
24409,UgxIENJodq9G7sVeswp4AaABAg,0,3 years ago,wow,哇
31245,Ugx-8WtLsls3pQtI8Vt4AaABAg,0,3 years ago,wow. ...wonderful. ....very interesting & different cooking. ...amazing,哇。 ...精彩的。 ....非常有趣和不同的烹饪。 ...惊人的
32394,UgzVVXIZLhSJwYrf2yt4AaABAg,0,3 years ago,"ohh wow liziqui... thanks so much for giving us continuous blogs, but today's there is no english subtitles,",哦，哇丽兹基...非常感谢您给我们连续的博客，但是今天没有英文字幕，
32366,Ugw0LqRtsXHpWV5O7NJ4AaABAg,0,3 years ago,wow my fave viane u have a lots of menu u can make in this bamboo shoot.thank liziqi for sharing knowledge how to cook bamboo shoot..i luv u grandma mwah!,哇，我最喜欢的viane，你有很多菜单，你可以在这张竹脚射击中做很多菜单。
32356,UgxiCbu2riY1MzPTph54AaABAg,0,3 years ago,"woww baby bamboo,this is my favourite food. i'm from indonesia",哇，竹子，这是我最喜欢的食物。我来自印度尼西亚
32252,UgyLH7b1NO3qYx29trd4AaABAg,0,3 years ago,"wow , look so good noodles",哇，看起来很好的面条
32190,UgxceMIS3ltTS52AzoR4AaABAg,0,3 years ago,"wowwww
very good","哇
非常好"
32022,Ugzy7b5rxh8_gX2zbfB4AaABAg,0,3 years ago,wow,哇
31919,Ugznk9dXxqzd8GOQuSp4AaABAg,0,3 years ago,wow your place there looks like a paradise... its very clean,哇，你在那里的地方看起来像个天堂...它很干净
31909,UgxhjA7Qi4ro5SOnWcB4AaABAg,0,3 years ago,"wow is great! ❤️
i'm from vietnam","哇很棒！❤️
我来自越南"
31745,UgwgekricGGom_H7ycZ4AaABAg,0,3 years ago,wow!! just wow!!,哇！！哇！
31548,Ugw1dJBzv7GrHNAaaot4AaABAg,0,3 years ago,"woww ...
so grade ...
","哇...
所以等级...
"
31453,UgwrdnucVQVOO7TNtjB4AaABAg,0,3 years ago,1mllion views wtin 6 hrs wow..,1Mllion视图WTIN 6 HRS WOW ..
31413,UgzwizYUEO_yRXQOOLR4AaABAg,0,3 years ago,2 or 3 videos this week? wow i am spoiled. can't complain,本周2或3个视频？哇，我被宠坏了。不能抱怨
31357,UgzLB5gHQibTQ00V6gF4AaABAg,0,3 years ago,"wow, you can really do it",哇塞 你真的能干
31300,UgwVyr4HgxjJxgiX3w54AaABAg,0,3 years ago,"wow, it was strange how i stumbled upon your channel but i am thankful i did. you have such a calmness and tranquility to you. whatever you were eating looked amazing! now i am starving and i know where i live i could never find what you just cooked",哇，我偶然发现了你的频道很奇怪，但我很感激我做到了。您对您有如此镇定和宁静。无论您吃什么，看起来都很棒！现在我饿了，我知道我住在哪里，我永远找不到你刚煮的东西
31215,UgwnR02FIBycUSDLkr94AaABAg,0,3 years ago,wow i like bamboo...... n i'm your big fan from,哇，我喜欢竹子......我是你的大粉丝。
29961,UgzCKZgOtkscykm75-R4AaABAg,0,3 years ago,looks like the most peaceful place on earth! wow,看起来像是地球上最宁静的地方！哇
31165,Ugxw2oVeJUskGrjWksZ4AaABAg,0,3 years ago,"everything she's cooks always looks tasty. i know her grandma thinks in her her mind, wow i have a really talented granddaughter.",她厨师的一切总是看起来很美味。我知道她的祖母在她的脑海中思考，哇，我有一个很有才华的孙女。
31139,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-8_e0uiWLF,0,3 years ago,"i am alang wow, very cool. i do n’t have any software like that.","我就是阿浪 Wow, very cool. I don’t have any software like that."
31132,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWgkuuWI77,0,3 years ago,wow,哇
31084,UgwLZLcFTtKphFSWIjx4AaABAg,0,3 years ago,just now i had my dinner with bamboo with and pork.wow it's amazing,刚才我用竹子和猪肉共进晚餐。哇，真是太神奇了
30932,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ981AH_8gLIx,0,3 years ago,"五叶 wow, and now i’m wondering how good would the ranking no.1 author’s videos looks like",wow wow，现在我想知道排名第一的作者的视频将有多好
30818,UgzqjO9R-5y_Y9halwp4AaABAg,0,3 years ago,"wow it´s truly beautiful where you live, and you seem to be a awesome cook <3",哇，这是您居住的真正美丽，您似乎是一个很棒的厨师<3
30412,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39IVb70aba20,0,2 years ago,wow delicious,哇好吃
30248,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zNpoCG_jxZ,0,3 years ago,wow,哇
30152,UgyXR-GW7fmYFHTkdql4AaABAg,0,3 years ago,wow.. liziqi thank u so much for adding back to back video of your..❤❤❤,哇.. liziqi非常感谢您添加了您的背部视频..
30150,UgxUV4r4ByxTqXmeoh54AaABAg,0,3 years ago,"wait,she also cook? wow wife material.",等等，她还做饭吗？哇妻子的材料。
30115,Ugx9FfkqtQRAN1KjpW94AaABAg.8yVjX92hb-k8yZeR4Aaz6E,0,3 years ago,"micro mi liuzhou wow, where is it? my geography is poor ... don't mind",微米米 柳州哇，在哪里
30096,UgxO8Dq59X8fd3VdfQJ4AaABAg,0,3 years ago (edited),wow what a talent. what are the ingredients? can you buy in brazil? the names of the ingredients? doesn't this animal of the disease?,哇，真是个才华。有哪些成分？你可以在巴西买吗？成分的名称？这种疾病的动物不是吗？
30089,Ugwdw6eZt4VdAe27R1x4AaABAg,0,3 years ago,wow wow our snail lion fans,哇哇哇 我们的螺狮粉
30039,Ugw1gT_-jvNSctqc-Kt4AaABAg,0,3 years ago,wow... so peaceful,哇...如此和平
32414,UgzPriEerWkOhA4pecl4AaABAg,0,3 years ago,wow it's delicious .. cook fat,哇好吃..煮脂肪
32426,UgzUpnIHCSFmQ3iJcSJ4AaABAg,0,3 years ago,"wow, those ominous cicadas are really loud.",哇，那些不祥的蝉真的很大。
32575,UgyZzCRtOSKZe0Q-MXR4AaABAg,0,3 years ago,the utter beauty of the place she lives in ... wow,她住在这个地方的完全美丽...哇
32615,UgyEpphKpv9aetgiecV4AaABAg,0,3 years ago,assalamu anykum. i'm from uzbekistan. wow eating food without walking.,Assalamu Anykum。我来自乌兹别克斯坦。哇，吃食物而不走路。
35347,Ugw_fAE6aAgKmM7UiRZ4AaABAg,0,3 years ago,wow,哇
35222,UgwVGaUOtTMZGhYW9xd4AaABAg,0,3 years ago,wow,哇
35174,UgwoMfWrSzqD1IENz_t4AaABAg,0,3 years ago,wow,哇
35117,UgxYkj-O8FWGrLe_ob94AaABAg,0,3 years ago (edited),wow watched it 3 minutes after upload,哇，上传3分钟后观看了它，很高兴看到奶奶
35085,Ugy8E4m16sU8XR7ntUZ4AaABAg,0,3 years ago,wow video so soon??? i love you so much,哇，这么快的视频？？？我真的很爱你
34906,UgwCDXKiVLDVa8w3tMh4AaABAg,0,3 years ago,wow bamboo shoot! my favorite.,哇竹子！我最喜欢的。
34890,Ugx-TUeieiZQt-UTqzB4AaABAg,0,3 years ago,wow,哇
34883,UgxumWqy_wT6_cVJkPt4AaABAg,0,3 years ago,wow i love bamboo shoot,哇，我爱竹芽
34632,Ugwe3DwSLfeK5pDgA2Z4AaABAg,0,3 years ago,wow,哇
34603,UgyGjW0CwU8VTa8tpsN4AaABAg,0,3 years ago,"wow when i see ur video 
i fell happy","哇，当我看到你的视频时
我很高兴"
34508,Ugw00nrVbte10sA4zoh4AaABAg,0,3 years ago,wow!! so fast! i didn't expect you upload this early..,哇！！很快！我没想到你会尽早上传。
34492,UgwjlnVeYjAkHOQenut4AaABAg,0,3 years ago,wow,哇
34402,UgzEInoYNMFr26D87Fh4AaABAg,0,3 years ago,wow,哇
34398,Ugzc1yed0LbG9kkgZvp4AaABAg,0,3 years ago (edited),"her food always looks so good, wow just wow she is amazing",她的食物总是很好，哇，哇，她真了不起
34200,UgwU9m7pzEbiKvVMjhN4AaABAg,0,3 years ago,"wow, amazing",哇，很棒
33894,UgwF8lz9k7IS7vxvbed4AaABAg,0,3 years ago,wowwww liziqi,wowwwwliziqi
33670,Ugz0flYBXUGL_pIuPjx4AaABAg,0,3 years ago,wow just can’t take off eyes from anything,哇只是无法从任何事物中脱下眼睛
33445,UgwpB4pidpakHViIqBt4AaABAg,0,3 years ago,"wow.. what a beautiful life, beautiful woman, hard working woman, full of dedication and determination. her husband will be so lucky. she deserves to get paradise where she lives. btw it's young bamboo. in indonesia language we call rebung. my greeting from indonesia. perfect life style.",哇..多么美好的生活，美丽的女人，勤奋的女人，充满奉献和决心。她的丈夫会很幸运。她应该得到天堂的住所。顺便说一句，这是年轻的竹子。在印度尼西亚语言中，我们称之为rebung。我来自印度尼西亚的问候。完美的生活方式。
33390,UgxQbCCJU6cniYD14Jd4AaABAg,0,3 years ago,wow,哇
33236,UgxHA7-WPr8zkvKn7YR4AaABAg,0,3 years ago,wow ur the best,哇，你最好的
33217,UgyhCmDazwpUjiFxf3R4AaABAg,0,3 years ago,wow nice,喔不错哟
33204,UgxLu5CYxlunTbe9kLl4AaABAg,0,3 years ago,ayiiiooo wow beautiful,ayiiiooo哇美丽
33192,Ugw4-XUCGr-3KodrMBp4AaABAg,0,3 years ago,wow....,哇....
33149,UgzXCadyd2V9MID5nON4AaABAg,0,3 years ago,wow very nice,哇，很棒
33047,UgxWrsDFfqt0pW4qeMF4AaABAg,0,3 years ago,wow those bamboo shoots are huuuuggggeee,哇，那些竹芽是huuuuggggeee
32923,UgwbQUBd5K6qAkTVTL94AaABAg,0,3 years ago,wow,哇
32873,UgxHUa6WwbWj_nRE9_x4AaABAg,0,3 years ago,"wow, the sky is very beautiful.",哇，天空非常美丽。
32705,UgxUtSwU9_KO1McG9st4AaABAg,0,3 years ago,"wow, our snail powder in guangxi",哇 我们广西的螺蛳粉
32646,UgxI7_wl7C_bmnfTQmx4AaABAg,0,3 years ago,wow! stir-fry bamboo shoots is the dish that i cooked for today's lunch. :) but i guess your stir-fry bamboo shoots is way more delicious.,哇！炒竹芽是我在今天的午餐中烹制的菜。 :)但是我想你的炒竹芽更美味。
29969,UgzjeLlrAaaQ6yO1zjd4AaABAg,0,3 years ago,wow snail powder! i want to go to liuzhou,哇 螺蛳粉！看了想去一趟柳州
29899,UgwTbB_Fo22uCdTzPEJ4AaABAg,0,3 years ago,wow sis bembo tarkari... very nice trik i like it...,哇，sis bembo tarkari ...非常好，我喜欢...
24458,UgySrzyUPnHwc8NC-OZ4AaABAg,0,3 years ago,wow ...nice cooking and using huge indigenous knowledge,哇...烹饪不错，并使用庞大的土著知识
25276,Ugx_m5n5PvylCXGjX4B4AaABAg,0,3 years ago,so organic wow ...love this video,如此有机哇...喜欢这个视频
25894,UgwHh_VjVqg-EXzaCRV4AaABAg,0,3 years ago,wow,哇
25870,UgybvK3HTZSoF8pnbcJ4AaABAg,0,3 years ago,just wow,哇
25706,UgxkAweWNGiSXq3b-U14AaABAg,0,3 years ago,wow we are so similar in everything you do.the way you cook and living style.love you from north east india.,哇，您所做的一切都是如此相似。您做饭和生活方式的方式。
25644,Ugzhewv_GSXG2okPhll4AaABAg,0,3 years ago,wow ... what's so big?!?!?,哇...有什么大的？！？！？
25567,Ugw0FuQ10cwyDsqxoJV4AaABAg,0,3 years ago,"wow magnificence of a lot of love for the chinese i liked, but to cultivate kalchizarneh",哇，对我喜欢的中国人有很多爱的壮丽，但是要培养kalchizarneh
25555,UgxdCfi2WdLfvwLqHAF4AaABAg,0,3 years ago,"wow,",哇，蔬菜的lots，我也想拥有一个像那样的花园
25475,UgygL7fcC15pXd3qs0Z4AaABAg,0,3 years ago,this is very wow,这很哇
19549,UgzAy41F5ipj6d3_jfJ4AaABAg,0,3 years ago,wow she's sooooooooo beautiful,哇，她真漂亮
25384,UgxBLWp7wKuwF2cvDLd4AaABAg,0,3 years ago,.wow,.wow
25357,Ugwig8N4NYhvlxjYNBZ4AaABAg,0,3 years ago,wowwww! so satisfying & loved it,哇！如此满意和喜欢它
25354,Ugw8OZocdxd7zZGLWQZ4AaABAg,0,3 years ago,wow,哇
25309,Ugwe1gmYWMqeVhcaG6R4AaABAg,0,3 years ago,everything is fresh wow,一切都是新鲜的哇
25306,UgzJQapnr6-Px0c75_54AaABAg,0,3 years ago,"wow amazing, i like it",哇，太棒了，我喜欢
25292,UgxV3cEp82HvOtZox0d4AaABAg,0,3 years ago,woww ... really,哇...真的
25224,UgyYlOg7n87VjAMsSvx4AaABAg,0,3 years ago,wow so cool and independent ❤️,哇，如此酷，独立❤️
29862,Ugw0nj7YEFLLPl8T3hl4AaABAg,0,3 years ago,"wow, almost two million views after 14 hours! she deserves it. but let's not forget the skilled camera operator behind the scenes. greetings and thank you from new zealand.",哇，14个小时后，近200万次观看！她应得的。但是，不要忘记幕后熟练的相机操作员。问候，谢谢新西兰。
25216,UgzYgS6MnKslZwFEGzp4AaABAg,0,3 years ago,wow you places waa awesome.....,哇，你的地方很棒.....
25161,UgwHXXpwh5TITRLYhRJ4AaABAg,0,3 years ago,wow amazing and simple life province,哇惊人而简单的生活省
25134,UgxPehRRU89ZhOLNtLR4AaABAg,0,3 years ago,"wow, the best life. this kind of life would be very happy.",哇，最好的生活。这种生活会非常幸福。
25077,UgzGxTH3Qj1tUwo8BVV4AaABAg,0,3 years ago,wow. ❤️❤️,哇。 ❤️❤️
24847,UgwJOeu-Xdmvps5RjsJ4AaABAg,0,3 years ago,wow amazing place..full of greenary..u are really lucky so close and living with nature...,哇惊人的地方..充满了Greenary .. U真的很幸运，如此亲密，与自然生活在一起...
24769,Ugyfjn68vC7ld_duY5Z4AaABAg,0,3 years ago,wow same like nepalese,哇，像尼泊尔人一样
24644,Ugw1ydLc93SBrqKgQRV4AaABAg,0,3 years ago,just wow,哇
24612,Ugw6UZciwN4DCPhyK9t4AaABAg,0,3 years ago,wow you are great cook i love your cooking.,哇，你是很棒的厨师，我喜欢你的烹饪。
