,cid,votes,含princess,含princess中文翻译
15837,UgxCOQnJSgMCSVmejOh4AaABAg,0,i’d take this kinda life over luxury idc. disney plz make a princess movie about her cause we cant help but stan,我会通过豪华IDC享受这种生活。迪士尼PLZ制作了一部公主电影，因为她忍不住，但斯坦
15814,Ugyh8ONs4KVkEScWIGh4AaABAg,0,"lizqi is a modern princess with a touch of simplicity, very smart on what she do. she can whipped up of things like it is her life. i would love to be her neighbor her place and sorroundings are spectacular... nature as its finest!! who is with me and make our lizqi a disney modern chinese princess",利兹奇（Lizqi）是一位现代公主，对她的工作非常聪明，非常聪明。她可以像她的生活那样鞭打。我很想成为她的邻居，她的住所和梦round奇非常壮观……自然是最好的！谁和我在一起，让我们的利兹成为迪斯尼现代中国公主
15802,UgyBApU5CU1JtqElPhN4AaABAg,0,"yee, liziqi really hawe princess stofa.",Yee，Liziqi确实是Hawe Prins Stofa。
15748,Ugyaa1zVfdKvwKBvBNl4AaABAg,0,this is story like princess you're the real princess in the world,这是像公主一样的故事，你是世界上真正的公主
14270,UgxwbwL8jcxDdlLA-aN4AaABAg,0,bruh she’s literally like a disney princess,布鲁（Bruh）她真的像迪斯尼公主
13632,UgxWqGGXNPmkHqXWW-94AaABAg,0,hellow wonder land princess,Hellow Wonder Land Princess
13577,Ugw10Gbk_MIpTNQwZRd4AaABAg,0,"hello, how is my pretty princess, you are as pleasant to my eyes as if god had put an angel to know that there is hope to reflect in your eyes my heart",你好，我漂亮的公主怎么样，你对我的眼睛愉快
12887,UgxFWm-44G4PmDY3zNx4AaABAg.9CdwK7sIXZo9E6dWBo39ux,0,"she is far too industrious to be a disney princesses, she is like a main character from a miyazaki movie.",她太勤奋了，无法成为迪士尼公主，她就像宫崎骏电影中的主要角色。
12882,UgxFWm-44G4PmDY3zNx4AaABAg.9CdwK7sIXZo9Dvp2EWtzXF,0,disney princesses wishes they were her......... :),迪士尼公主希望他们是她......... :)
12764,Ugysl0vNyetlSeYjenR4AaABAg,0,she is the closest thing in this world to a disney princess,她是这个世界上最接近迪士尼公主
17952,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9KeozZcfxjZ,0,@user-ju2gm5cf6m hayao miyazaki animation princess is more suitable for her,@user-ju2gm5cf6m 宫崎骏动画般的公主更适合她
12650,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DVTHOl3Ql3,0,princess mae my government? bro i don’t even live in china.,梅公主我的政府？兄弟，我什至不住在中国。
11848,UgzApdoCywa8bTnduxp4AaABAg,0,very cute princess in disguise,伪装很可爱的公主
10274,UgyU0alKWOdsP-2-LJl4AaABAg,0,disney princessโค,迪士尼公主
9949,UgzxPoq4vw6Sozthhr54AaABAg,0,she is like a princess in real life and im living for it,她就像现实生活中的公主，我为此而活
9227,UgzlTam86aolg0lqN5B4AaABAg,0,"guys, it’s a disney princess",伙计们，这是迪士尼公主
8242,UgztExLGpo9kqXItcLl4AaABAg,0,"wooow, she’s looks like a disney princess",哇，她看起来像迪士尼公主
7297,UgzbvNwREhfP_C952R94AaABAg,0,"hello my love, how are you taking a lot my beautiful princess i love you very much you are very special",你好，我的爱人，你怎么样我美丽的公主，我非常爱你，你很特别
7157,UgzdDLXBgtLJTFaetC14AaABAg.9KE6sKRqOTh9LgIxpSMN9y,0,@albaoneill9867 she is a princess,@albaoneill9867她是公主
5340,UgymrXblqY0ONYHk4RR4AaABAg,0,there must be a delight this food. made by the delicate hands of an oriental princess,这种食物一定很高兴。由东方公主的精致手制成
3007,Ugz4QfW-D1TwfRwdHMN4AaABAg,0,she is a princess and she work hard i love her hard works,她是公主，她努力工作，我爱她的努力工作
2863,UgzP-QgVfRnjpAK0hxl4AaABAg,0,is she a lost princess or what?,她是失落的公主还是什么？
2799,UgxOFF8BU82MskXEzwJ4AaABAg,0,she is a chineses girl but she no is everything a princess girle,她是一个钦斯的女孩，但她不是公主吉尔的一切
2374,UgxKVRJ-3cHmemTTfQJ4AaABAg,0,where is the princess i live i want to marry her,我住的公主在哪里，我想嫁给她
2269,UgyC1BEVpvOOjkBDDlt4AaABAg,0,she is a princess and i learn from you thank you,她是公主，我向你学习，谢谢你
17949,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9GiU354riou,0,she's a princess by herself,她独自一人是公主
17968,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9l56k8OUQZJ,0,"@coagulatedsalts4711 nah mulan is a general, definitely not a princess",@CogulatedSalts4711 Nah Mulan是一般，绝对不是公主
27345,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB948KsZYjgYh,0,she is a princess,她是公主
20927,Ugy_8Co9ZZU7jy75X1d4AaABAg,0,she is just amazing! how big is your kingdom princess? : ),她真是太神奇了！您的王国公主有多大？ ：））
27174,UgykP9Gzl9XOQBfCIE94AaABAg,0,you are a princess and live in a paradise and you are a love with your grandmother,你是公主，住在天堂里，你是与祖母的爱
27155,UgymTbnV1vI5GlGohrN4AaABAg,0,"she's a real princess because she can do anything...
i wish my nieces can realize this","她是一个真正的公主，因为她可以做任何事情...
我希望我的侄女能意识到这一点"
25976,UgwsA849Vi4UrJMHWRx4AaABAg,0,wow that princess lives in a beautiful paradise,哇，那个公主生活在一个美丽的天堂里
25964,UgwxwBC9ckkGBzF-IPZ4AaABAg,0,"first of all she is naturally beautiful. she has a lot of skills. she is strong too lol she can carry heavy loads of fruits. she has two assistants yes but she directs most of her videos. i just love how she can just cook anything or do anything like make her dye her dress, embroided clothing or pillowcases. and how she handles things with care. people in her town said she is a very hardworking person. intelligent and has talent. she is just amazing. makes me wanna plant and make a beautiful garden. she inspires millions of people around the world. she is a real life amazing princess.",首先，她天生美丽。她有很多技能。她太坚强了，大声笑她可以携带大量的水果。她有两个助手是，但她指导了大多数视频。我只是喜欢她如何做任何东西或做任何事情，例如使她的衣服，绣花衣或枕套染色。以及她如何小心处理事情。她镇上的人说她是一个非常勤奋的人。聪明并且有才华。她真是太神奇了。让我想种植一个美丽的花园。她激发了世界各地数百万的人。她是一个现实生活中令人惊叹的公主。
25294,UgxATta9-gf3zGiWdVh4AaABAg,0,modern day princess.,现代公主。
25139,Ugwi5RaGD_16R8Y40d54AaABAg,0,princess to ziqi ..,Ziqi公主..
24488,UgxNtcCpiUCzoR3w-GJ4AaABAg,0,princess,公主
24451,UgzwvMv3P5RgWOqkSeJ4AaABAg,0,she is a real life disney princess,她是现实生活中的迪士尼公主
22656,UgxtvED9cK1buPe8c4R4AaABAg,0,hello princess good night,你好公主晚安
22065,UgxNG3n_xxdO6362iad4AaABAg.935swTrFovz93TZUcKMdPK,0,no๏ผshe's chinese princess,不，她是中国公主
21069,UgzOAqaNJX16aZB8vct4AaABAg,0,sheโ€s like a princess<333,她就像公主<333
21011,Ugx_L70BHTvKzN5qhhh4AaABAg,0,"she is like a princess :,)",她就像公主：，）
20945,UgzfkW8q5S9HWER_8iN4AaABAg,0,"okay. i'll be honest but i really like this kind of life where there's a simpleness and such a beautiful quite place with that little cutie patootie puppy. but guess what, people likes to have a huge house and live like a princess. i salute to this girl who literally lives like a normal life.",好的。老实说，但是我真的很喜欢这种简单性和如此美丽的地方，带着那种小小的可爱的patootie小狗。但是猜猜是什么，人们喜欢拥有一个巨大的房子，像公主一样生活。我向这个女孩致敬，她的生活就像正常的生活一样。
20943,UgzQvy_PUqoYv-gDhJt4AaABAg,0,i m from leh ladakh i love my little princess๐‘ธ๐‘‘,我来自列拉达克（Leh Ladakh），我爱我的小公主
20760,Ugyp7hvkDwVklxJNT7J4AaABAg,0,princess ๐ฅฐ๐,公主
18316,UgxjmA7l7H-RKWKlnFp4AaABAg,0,you are very pretty you seem like a disney princess who is difficult to believe what you do all that job a lot of respect looks delicious.,你很漂亮，你看起来像个迪斯尼公主，很难相信自己做的所有工作看起来很美味。
20731,UgwQWAe3_m8iWX8pBet4AaABAg,0,she is very hard working....i loved to watch her...the real princess โฅ๏ธ...,她很努力地工作....我喜欢看着她...真正的公主♥️...
20723,UgxTio2VLQ-Fdk6eeWF4AaABAg,0,"a life which was given by god to aden and eve and which we lost because of technology, and now everyone is looking back to live happily with nature like this...i too ....i believe anyone day will try to live like this princess...if you try u can....i believe.... anyone day those who see these videos let all their dreams come true which is also god's wish.....
by feel the joy of peace 
channel","上帝赐给亚丁和夏娃的生活，我们因技术而迷失了，现在每个人都回想起像这样的大自然的幸福生活...我也……我相信任何人都会尝试像这位公主...如果您尝试您可以。...我相信....任何看到这些视频的人都会让他们所有的梦想成真，这也是上帝的愿望.....
通过感受和平的喜悦
渠道"
20563,UgxR1t5-JPGxle_8kah4AaABAg,0,"she is a real princess. so naive and petite and seems like fairy. works like a hercules. amazing ๐‘๐ have never seen such a beautiful person. she looks so loving and caring. i loved how her animals followed her . she really know everything about her culture and traditions. a rare thing,where wester world has captured us by awe and wonder. i so want to visit her and her place. what a life , she is following her dreams , mesmerizes us with her magic of simplicity and beaury. stunning videography. not a single word yet everything is communicated.",她是一个真正的公主。如此幼稚和娇小，看起来像童话。像大力神一样工作。惊人的
20437,Ugwze0GhXrXeveYUpCF4AaABAg,0,fairytale princess is cooking,童话公主正在烹饪
20397,UgwCUKAclMTOpyBOAyJ4AaABAg,0,"fucking idiots keep on calling her disney princess? why?
her name is liziqi, and this is her life. she has her own identity. fuck your disney bullshit.","他妈的白痴继续打电话给她的迪士尼公主？为什么？
她的名字叫liziqi，这就是她的生活。她有自己的身份。操你的迪士尼废话。"
20392,UgzC81JEifa5vAobK1J4AaABAg,0,liziqi business ??????? beautiful princess blessings mexico,liziqi业务????????美丽的公主祝福墨西哥
20303,Ugw1Ey4Ye6_mG3KNxjd4AaABAg,0,princess of the forest ๐ป๐ป๐ป๐ป๐ป๐ป,森林公主
20035,UgzbFiamheQ9fPpKahR4AaABAg,0,she respect love care nature .... nature gives back evrything to her ...happy valentine's princess liqizi ๐’,她尊重爱心自然。
20003,UgxWF3SKO9OBj1vIETN4AaABAg,0,great princess,伟大的公主
19853,Ugw5-WU1XzadI-CJyS54AaABAg,0,you are the real disney princess,你是真正的迪士尼公主
19524,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96W3_lpO3uF,0,yes she is a disney princesses reality princesses,是的，她是迪士尼公主现实公主
19221,UgwGFQaf9QLBrjYwuAR4AaABAg,0,""" princess "" beautiful and talent. this is an influencer , thank you from colombia",“公主”美丽而才华。这是一个有影响力的人，谢谢哥伦比亚
18552,Ugy5DtcWrJ8THsKRt-F4AaABAg,0,"who wouldn't want a girl like her to be his wife??
she is like the disney princesses.
she deserves all the hardwork done by her
she is really amazing.
it gives me a lot of pleasure while watching her videos ♥️
leave a life if u do too!!
","谁不想像她这样的女孩成为他的妻子？
她就像迪士尼公主。
她应该得到她所做的所有辛勤工作
她真的很棒。
观看她的视频时，这给了我很多乐趣♥️
如果你也这样做，就会留下生活！！
"
18542,Ugyakm1483FXviQ5sBN4AaABAg,0,"she is like a true disney princess, not in some beautiful gown that has an unreal ending... a beautiful young lady who works for herself and is one with nature.",她就像一位真正的迪士尼公主，不是穿着不真实的结局的美丽礼服……一个美丽的小姐，为自己工作，是一个大自然的人。
48236,UgzeMQwclxhPrzcLYz94AaABAg,0,hard working princess! hehehe... all the love from brazil! xz,努力工作的公主！呵呵呵...来自巴西的所有爱！ xz
