,cid,votes,time,含thank,含thank中文翻译
25884,Ugzgofyk0MyZ-WC2GMp4AaABAg,2,3 years ago,thank you game grumps.,谢谢游戏脾气暴躁。
31769,UgxWpYcXSNIh7WVNNuF4AaABAg,2,3 years ago,this video conveys peace! thank you for sharing,该视频传达了和平！感谢你的分享
11240,Ugz3_DaFjfi64PrOkP54AaABAg,2,3 years ago,everytime they eat together her grandma admires her and is thankful to have such a great granddaughter,每当他们一起吃饭时
26817,Ugwng0IXP60KXKDmYTR4AaABAg,2,3 years ago,i'm glad your putting more subtitles in your videos! thank you for making my day with these awesome vids,我很高兴您在视频中添加更多字幕！感谢您与这些很棒的视频一起度过我的一天
22209,UgzhSrR0rIJxXuNhgZN4AaABAg,2,3 years ago,love to you and grandma with well wishes and many many successes. thank you for everything.,爱你和奶奶，并获得了良好的祝愿和许多成功。谢谢你的一切。
20585,UgzLUilyLeIsdaBuvFV4AaABAg,2,3 years ago,"thank you, for the first time, i realized that the rural areas from childhood were so beautiful.",谢谢你，让我第一次认识到从小离开的农村原来是这么美丽。
4220,Ugz3awuBkd7Q4yftcK94AaABAg,2,2 years ago,you are super ! ! ! good luck ! ! ! thank you very much for this video ! ! ! ❤️,你很棒 ！呢呢祝你好运 ！呢呢非常感谢您的视频！呢呢❤️
27508,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8yiB3B6d4RI,2,3 years ago,leviathan i see...thank you,Leviathan我看到...谢谢
4174,UgwdRGZq-DbAQnSmP8J4AaABAg,2,2 years ago,thank you for the beautiful video!,谢谢您的美丽视频！
29473,Ugy5rFXMCgk-3KQP9o94AaABAg,2,3 years ago,every day i check for new videos from you. i wish i could go outside and have everything i need to make beautiful meals... i would be lying if i said i wasn’t a bit jealous. thank you so much for sharing this part of your life with us. also your grandmother makes me so happy!,每天我都会检查您的新视频。我希望我可以出去吃美食所需的一切……如果我说我有点嫉妒，我会撒谎。非常感谢您与我们分享生活的这一部分。您的祖母也让我很高兴！
20877,Ugw6BrmR8HouM_p-7Cd4AaABAg,2,3 years ago,everything done with care. i'll eat your food any day because of the respect you show it. thanks for sharing.,一切都要谨慎。由于您表现出的尊重，我每天都会吃您的食物。感谢分享。
33480,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUrh9AWCnn,2,3 years ago,@superpayaseria ok thank you,@superpayaseria好的，谢谢
13891,UgytBtt-nBlPi-dWxqh4AaABAg.94ohHB1Cd8y94uVqCEVZm4,2,3 years ago,@stephaniehirai4469 thank you,@stephaniehirai4469谢谢
2625,UgwrETUOcPfI-a0vdrJ4AaABAg,2,1 year ago,please leave the descriptions on a few seconds longer to read. i love watching her. as life should be. thank you,请在几秒钟内将描述留出更长的阅读。我喜欢看着她。就像生活一样。谢谢
3487,Ugx9MLwJZ7UFoOk1M6B4AaABAg,2,2 years ago,"i was often busy or engaged in other things! 
yet, whenener i come here, it is so soothing and calm!
thanks ziqi...","我经常忙或从事其他事情！
但是，当我来这里时，它是如此舒缓和镇定！
谢谢Ziqi ..."
31127,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWU0ZFiMx3,2,3 years ago,stanley franco thank you. i will see if i can figure out how to do that!,斯坦利·佛朗哥（Stanley Franco）谢谢。我会看看我是否能弄清楚如何做！
14663,Ugxhc8sbgDpmMi7T8Dl4AaABAg,2,3 years ago,gorgeous and talented..... thank you to the youtube algorithm!,华丽而有才华的.....谢谢YouTube算法！
33873,UgxOKBL9T5k9ln9ZQ4l4AaABAg,2,3 years ago,"beautiful food as always liziqi! 

the camera angles, quality and focus are excellent! 
thank you!","一如既往的美食！

相机角度，质量和聚焦非常好！ 
谢谢你！"
3091,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9S2X2s3CDVG,2,1 year ago,thank you for the insights and for sharing your story!!! ❤️,感谢您的见解并分享您的故事！！！ ❤️
14522,UgyF-D9AnOxO8v4JpZJ4AaABAg,2,3 years ago,"my fave - noodles & veggies! thank you, li!",我的最爱 - 面条和蔬菜！谢谢你，李！
31128,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWU9kpHyNX,2,3 years ago,designq q thank you!! i’ve been cooking a lot of thai food lately but would love to try making many of the things i see here as well. i’ll look into that channel. thank you very much!,Designq Q谢谢！我最近一直在烹饪很多泰国食品，但很想尝试制作我在这里看到的许多东西。我将研究该频道。非常感谢！
34000,Ugz7SwfbL34LYUPGXNt4AaABAg,2,3 years ago,"the first time in my life to see, how to cook professionally snails. thank you :-)",我一生中的第一次看如何专业蜗牛。谢谢 ：-）
14567,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2R97Lp6y,2,3 years ago,"tala taptap i humbly appreciate you giving your time explaining your perspective of heaven, so thank you (: however that is not the case for others. while you strongly believe about your ""heaven"" i believe its only fair to respect others beliefs, whatever it may be. everyone goes through different types of unfortunate circumstances, and everyone goes through depression differently. while it may have worked on you, may not work on others.",tala tappap我谦虚地感谢您给您的时间解释您对天堂的看法，所以谢谢（：但是，对别人而言并非如此。虽然您坚信自己的“天堂”，但我相信尊重他人信仰的唯一公平可能是。每个人都经历了不同类型的不幸情况，每个人都以不同的方式经历抑郁症。尽管它可能对您有用，但可能对他人不起作用。
27512,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8ykvb4qNnkA,2,3 years ago,"@vashthestampede007 yes that's what i meant by ""non-official ways"", thank you for the more precise infos ! i don't really know how easy and common it is to use vpn for people in china. interesting subject",@vashthestampede007是的，这就是我的意思是“非官方方式”，谢谢您的精确信息！我真的不知道在中国使用VPN多么容易和普遍。有趣的主题
29289,UgwdnbdnQOsBbGXRuDN4AaABAg,2,3 years ago,"you can live happily next to nature that seems to love you, not damage the earth in any way, be thankful girl..",您可以幸福地生活在似乎爱您的大自然旁边，而不是以任何方式损害地球，要感谢您。
10099,Ugx2Vh8UBoQsUBoyJJN4AaABAg,2,3 years ago,"hi, i'm alex, i am sick and i don't go to work, so i decided to create a youtube channel. i know i am not good at providing content, but i hope to get your support subscription channel, thank you",嗨，我是亚历克斯 我生病了并且不上班，所以我决定创建一个YouTube频道 我知道我也不擅长提供内容，但我希望得到您的支持 订阅频道，谢谢
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
15539,UgxNyjjavjQctyku0zN4AaABAg,2,3 years ago,"the photography and editing is beautiful, thanks for sharing",摄影和编辑很漂亮，感谢您的分享
22371,UgxaM_0wHJwmPrlFmFZ4AaABAg,2,3 years ago,i love all your videos. i watch them at the end of my long day as it helps me relax and de-stress. thank you for sharing your life with the world. i'd love to come visit!,我喜欢你所有的视频。我在漫长的一天结束时看着它们，因为它可以帮助我放松和减轻压力。感谢您与世界分享生活。我很想来参观！
19125,UgxqKGCp80V6zbdnys94AaABAg.9268Q1-hNy492CuCp65skp,2,3 years ago,"hi richard, thank you for praising li ziqi's loving care for the granny. from the perspective of many asians, the granny now is reaping the fruit of loving care for liziqi who was suffering in the abusive hands of the stepmother back then. i guess granny brought up and educated ms. li well, resulting in ms. li being knowledgeable, honourable, adorable, generous and benevolent. what goes around comes around.",嗨，理查德，谢谢您称赞李Ziqi对奶奶的关爱。从许多亚洲人的角度来看，奶奶现在正在为利兹奇（Liziqi）收获爱心的果实，他当时在继母的虐待手中遭受痛苦。我猜奶奶长大并对李女士进行了教育，导致李女士知识渊博，光荣，可爱，慷慨和仁慈。善有善报恶有恶报。
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,3 years ago,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
209,UgxsAWxx-f0Q7oJMgV14AaABAg,2,2 months ago,thanks for the nice art,感谢您的美好艺术
32821,Ugz3wSiuNu2iWAiw80B4AaABAg,2,3 years ago,"i bet her life is so peaceful... yet again she is a great role model for all of us in this materialistic world...
proud of her..... i thank youtube for recommending this channel to me..","我敢打赌，她的生活是如此和平...在这个唯物主义世界中，她对我们所有人都是一个很好的榜样...
为她感到骄傲.....我感谢YouTube向我推荐此频道。"
32916,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV6r-icv4R,2,3 years ago,@leahly3755 you ~ don't dislike it !! thank you ~,@leahly3755 您~不嫌弃!! 感谢~
9354,Ugz5zzcMWwqyb9ox5sp4AaABAg,2,2 years ago,"the beans you picked up you put them in an earth pot to preserve, tip to share?. thanks in advance. an admirer of paea tahiti polynesia french",您捡起的豆子将它们放在地球锅中保存，提示分享？提前致谢。 Paea tahiti Polynesia法国的仰慕者
6023,Ugz_EGAhpDoQTcyVPS14AaABAg,2,2 years ago,"wow, well, i have seen a few.of your videos, i am utterly stunned at your skill, and beauty. thank you very much for sharing with the world.",哇，好吧，我看过几个视频，我对您的技巧和美丽完全震惊。非常感谢您与世界分享。
26619,UgxI7K9WUToTuV3rr2l4AaABAg,1,3 years ago,i love your videos! so much tradition and culture to see and appreciate. thank you!,我爱你的视频！如此多的传统和文化，可以看到和欣赏。谢谢你！
28406,UgyjHPuS0rV1N6E30bJ4AaABAg,1,3 years ago,"""we don't want chopped fermented fingers"" 

....okay, thank you for noticing how average your subscribers' cooking skill","“我们不想切碎发酵的手指”

....好吧，谢谢您注意到您的订户烹饪技巧的平均水平"
16278,UgwsPwFlu7QXKNdvYPR4AaABAg,1,3 years ago,"wow , thank you youtube algorithm",哇，谢谢YouTube算法
9926,UgwteHmw0LbCFzcSUl14AaABAg.99Mnoz3QIU69A05tHsI3de,1,2 years ago (edited),@mandy-ue5yz thank you so much,@mandy-ue5yz非常感谢
30603,UgxyK8dRQ-HFZpzsIIF4AaABAg,1,3 years ago,can i come visit maybe stay for ever so i can enjoy all of ur wonderful cooking and all the beautiful surroundings u have i absolutely love ur videos and all of ur knowledge thank u so much,我可以来拜访，也许永远留下来，这样我可以享受所有美好的烹饪，而所有美丽的环境，我绝对喜欢您的视频，所有您的知识都非常感谢您
30717,UgwJYt3JATVSI0JWY_14AaABAg,1,3 years ago,"it's a bit uncomfortable for vietsub! thank you very much for your sub for us, but sometimes you are subdue and think that it is funny, you can translate normally, it's okay? sometimes a few more sentences make the video happy but don't overdo it. thank you!",对于Vietsub来说，这有点不舒服！非常感谢您为我们提供的潜艇，但是有时您会属于您，并认为它很有趣，您可以正常翻译，没关系吗？有时，还有几句话会让视频开心，但不要过度。谢谢你！
19980,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92VkbAQsW6z,1,3 years ago,@ashoretoo agree with you.thanks you,@ashoretoo同意你的看法。谢谢你
9977,UgzlrtPfOFJXID4BVYN4AaABAg,1,3 years ago,who is your name girl? please send me your name .. thanks,你叫谁的女孩？请给我你的名字..谢谢
16620,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H934TQfhwabN,1,3 years ago,thanks all for the reply. some are so funny. her video just makes me hungry every time ^_^,谢谢大家的答复。有些很有趣。她的视频每次都会让我饿 ^_ ^
30754,Ugz-t7X20T_3fi6G9v14AaABAg,1,3 years ago,"hello, i am a vietnamese, thank you for translation into vietnam, your youtube channel is very easy to use
i register and like it","你好，我是越南人，谢谢你翻译成越南语，你的youtube频道非常好用 
我注册并喜欢"
14532,Ugyn6chBkgsa4vf-vaF4AaABAg,1,3 years ago,my days are just bunch of stress and anxiety. this makes me forgot that. thank you,我的日子只是压力和焦虑。这让我忘记了。谢谢
11174,UgzUVB8vI2wBd2A43_h4AaABAg.97v2B2mRWdF97zXosnv1D1,1,3 years ago,@user-ze6fo2bl6y thank you! this sounds lovely!,@user-ze6fo2bl6y谢谢！这听起来很可爱！
29839,UgxUXvTlOvZOkFyubr54AaABAg.8yW6ctvvqpe8yX3cgkSja1,1,3 years ago,"@daniel-dc1cy 

thank you for your message!
i'm looking forward to going to china!","@daniel-dc1cy

感谢您的留言！
我期待着去中国！"
15283,Ugyb2fyu9_yjdJXAXT54AaABAg,1,3 years ago,"after watching the videos you made in the annoying social environment, i feel very relaxed, thank you",在烦厌的社会环境下看完你拍的影片，令我心情很放松，谢谢你
29991,Ugy33iblKoew4MoiYBN4AaABAg,1,3 years ago,whoever makes funny max subtitles. thanks and good job guys !!!,谁制作有趣的最大字幕。谢谢，好事！！！
27351,Ugx5LPE64Kt-dovk5Bl4AaABAg,1,3 years ago,please put you vegetables used on screen for everyone to see because some of them is unfamiliar to americans. thank you,请把用蔬菜放在屏幕上供所有人查看，因为其中一些是美国人不熟悉的。谢谢
13318,UgxOGBnYeyq1nh202d14AaABAg,1,3 years ago,i really love all your videos. how i wish i can also live in a place like this with my mom. thank you for being my inspiration,我真的很喜欢你的所有视频。我希望我也能和妈妈一起住在这样的地方。感谢您成为我的灵感
27380,UgxUKzEbI6f5N7KBy254AaABAg.8yfDXjk7MVx8yfFPwJkly1,1,3 years ago,"she is chinese, thanks",她是中国人，谢谢
13377,UgxVYwRAYlNJYKCWqRV4AaABAg,1,3 years ago,thank yuo,谢谢你
18742,UgxUA75zdBPFvGMnVtR4AaABAg,1,3 years ago,"what a beautiful life, thank you",好美的生活谢谢你
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,3 years ago,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
16141,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u939SJgPVfD0,1,3 years ago,thank everyone love china,谢谢大家爱中国
14745,UgwzEHqgrZMDUhltGB14AaABAg.94-iqKmL1Vj949ulDyW-L5,1,3 years ago,oh that sounds amazing. thank you for recommending.,哦，这听起来很棒。谢谢您的推荐。
14744,UgwzEHqgrZMDUhltGB14AaABAg.94-iqKmL1Vj949Oa13kYCr,1,3 years ago,thanks for the recommrndation,感谢您的推荐
18177,UgyGNOeNj4QVDKZxYJF4AaABAg.92ZeoRX897K930Pv03v-MP,1,3 years ago,@reirei3756 thanks for the insight. i must not have gone to the typical restaurants where they eat. what country are you in? i'm in the united states where the portions are huge and the food is extra fattening. on a positive side is that you do notice that diet plays a huge part in how big people grow since you see lots of us asians who grew up eating a western diet end up much taller than our parents.,@Reirei3756感谢您的见解。我一定不能去他们吃的典型餐厅。你在哪个国家？我在美国的份量很大，食物又有肥大。在积极的一面是，您确实注意到饮食在大人物的成长中起着重要作用，因为您看到很多长大的亚洲人吃西方饮食的亚洲人最终比我们的父母高得多。
14072,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895p0bl10x0f,1,3 years ago,"i felt bad for what was mentioned in the video. i’m a chinese and honestly i love philippine cuz they got so many delicious tropical fruit and they keep their environment well

but pls don’t be racist to chinese or filipino cuz its just a part of the people’s fault but not all 
thanks","我对视频中提到的内容感到难过。我是中国人，老实说，我爱菲律宾，因为他们得到了很多美味的热带水果，并且保持环境良好

但是请不要对中国人或菲律宾人种族主义者，因为它只是人民错的一部分，但不是全部
谢谢"
27860,UgwFORV0OWZ1_ayC1H14AaABAg,1,3 years ago,"in a wonderful place, i can feel that the verse of ""linjiangxian"" written by yang shen ""shan shan is still there"".
pick bamboo shoots and find fungus.
wash your feet in the clear stream and find shellfish.
naturally, it is very rich, and there is no waste at work.
i want you to cherish naturally the treasure of china.
thank you for your good video. i will also watch the past videos.","一个美妙的地方,我可以感受到杨慎写的“临江仙”的诗句”靑山依旧在”.
采摘竹笋,找到木耳.
在清澈的溪水中洗脚,找到贝类.
自然是非常丰富的，工作中没有浪费.
我要你珍惜自然是中国的宝藏.
谢谢你的好视频.我还会观看过去的视频."
14513,Ugzxnu1J3YGRzMKDSyZ4AaABAg,1,3 years ago,this is so relaxing...thank you,这太放松了...谢谢
14569,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l39MckuPg,1,3 years ago,@kofintea1736 thank you! very well said.,@kofintea1736谢谢！说得好。
12888,Ugw5VrRGjscw-VcVjL54AaABAg,1,3 years ago (edited),wow!!! it is delicious to dry it. thank you for the video,哇！！！干燥它很美味。谢谢你的视频
29243,UgwSn_QpNwKVK2_a-VJ4AaABAg,1,3 years ago,"liziqi i admire and adore you for what you are! many blessings from corfu greece! 
you are such an inspiring human being❤️
one small detail.. please could you put the subtitles in english stay a little bit longer? thank you very much","liziqi我很欣赏和崇拜你的身份！科富希腊的许多祝福！
你真是个鼓舞人心的人❤️
一个小细节..请您将英文字幕放在英语中停留更长的时间吗？非常感谢"
19367,UgxWWLZSky29EJsezpp4AaABAg.91x8OZLdB6P92HxemMRyWc,1,3 years ago,"@ryange6900 cool, thanks for letting me know. :)",@ryange6900很酷，谢谢你让我知道。 :)
19393,UgygYJ-UKI8MgPfQ3dh4AaABAg,1,3 years ago,"not only are your videos interesting but beautifuly done, it's a pleasure to learn your culture with such good videos. thank you very much for that.",您的视频不仅有趣，而且完成了精美的效果，而且很高兴通过如此好的视频来学习您的文化。非常感谢你。
11516,UgzMt6-DfBmTzT8OQix4AaABAg,1,3 years ago,only vietnamese people will be happy like this. thank you for seeing video works like this,只有越南人会这样快乐。谢谢您看到这样的视频作品
17830,UgwJagZ-z85lafWXY-94AaABAg,1,3 years ago,"my hometown came out of zigong in sichuan. the video of this beauty was first watched for the first time. it was really a sense of substitution. i was a child memories, thank you for making a team.",老家四川自贡农村出来的，这美女的视频第一次看，真的很有代入感，小时候的回忆，谢谢制作团队。
11670,Ugz4v3NDvFwbqZAlNrd4AaABAg.97MWmJxtxx_97QMWDK_iAI,1,3 years ago,"@user-fw7ep5ve9r hello sania, thanks for answering! if this is an artistic one, then this is a wonderful work full of relaxation when you look!",@user-fw7ep5ve9r hello sania，感谢您的回答！如果这是一种艺术，那么当您看时，这是一件很棒的工作！
11740,UgxKP5VYJYBQ9Lfycf14AaABAg,1,3 years ago,"beautiful video! the most beautiful i saw, thanks for sharing it! i fell in love with the lady .saludos flash argentine",美丽的视频！我看到的最美丽，感谢您分享！我爱上了女士.Saludos Flash Argentine
19690,UgyCmxslq3IjvQiMmZ94AaABAg.91b9Iwityop92P77-r0UdY,1,3 years ago,sugi surya thanks girl，just few people still living in this original way，most people are living in the city and living in digital world，so she is special. this girl became famous in china，now she has 5 million usd revenue per year，but good for her，i am going to buy her hand made source online ：）,Sugi Surya感谢Girl，只有很少的人仍然生活在这种原始方式中，大多数人居住在城市中，生活在数字世界中，所以她很特别。这个女孩在中国闻名，现在她每年有500万美元的收入，但对她有好处，我要在线购买她的手工来源：
29036,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8ybCLHMOgOU,1,3 years ago,"@martishakryll4937 i, honestly, did not think about it, do you think they eat them all the same ??? i don't want to think about it, but still the video is beautiful, thanks for the clarification !!! it was nice to talk, good luck !!",@martishakryll4937 i，老实说，我没有考虑过，你认为他们都吃了一样吗？？？我不想考虑它，但是视频仍然很漂亮，谢谢您的澄清！
15759,UgxK49VoMs3PrmNW7MN4AaABAg,1,3 years ago,thank you for promoting the liuzhou snail powder of our hometown,感谢你宣传我家乡柳州螺蛳粉
11913,UgySjG6ZTfduvjMMgM94AaABAg,1,3 years ago,"use youtobe to learn about foreign culture, thank you",用一下youtobe了解一下外国文化， thank you
30348,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw398R-XLUKBdT,1,3 years ago,"thank you so much my friend verygood watching video, ok",非常感谢我的朋友非常好看的视频，OK
12045,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9EqpPoHo8J4,1,2 years ago,a video investment company we must cherish ...thank you chanell,我们必须珍惜的视频投资公司...谢谢Chanell
15722,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L946f4X0z78_,1,3 years ago,ken rascon please get better at being a human thanks,肯·rascon（Ken Rascon
12188,Ugwe2fsKWeEO0_IqqPF4AaABAg.96yzeW4WWTM97ufNkeB0bc,1,3 years ago,@thebirdiebunch2956 thanks for caring me,@thebirdiebunch2956感谢您关心Me
29183,Ugyjb8J7_EIB6XfPR5d4AaABAg.8yXcBCRx4zY8y_iNjJg8xx,1,3 years ago,thank you.,谢谢。
28135,UgxFE3hfl0iNTd205554AaABAg,1,3 years ago,thank you for promoting chinese culture; it is difficult to find a chinese comments,谢谢你推广中华文化；找个中文评论好难
15459,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9RLpCBWVIfq,1,1 year ago,"@straitarrow5784 best joke ever, you made my day, thank you",@straitarrow5784有史以来最好的笑话，你做了我的一天，谢谢你
12322,UgwUy8F3VMx4M3fPDBJ4AaABAg.96nUIublvIS96qHrCSgl2K,1,3 years ago,https://youtu.be/2vycytfhef4look neha thank you,https://youtu.be/2vycytfhef4look neha谢谢
24515,UgynZy3bOekTYg4a8YZ4AaABAg,1,3 years ago,"after seeing this video, i became diligent at home, my mother was so neatly tidy today? thank you for your inspiration. i like your channel",看完这段视频后，我在家里变得勤奋，今天我的母亲整齐整洁了吗？谢谢您的灵感。我喜欢你的频道
7549,Ugw6n_5nYTu0DlliMQt4AaABAg,1,2 years ago,"thank you, i love you and bless you ~ ๐‘๐ท",谢谢你，我爱你，祝福你〜
6896,UgwT_6SRUvfiLeAK_J94AaABAg,1,2 years ago,"food like these always makes me think ""thank goodness i'm asian"".",像这样的食物总是让我认为“感谢我是亚洲人”。
25718,Ugy3U8K_492tRmR6mit4AaABAg,1,3 years ago,i can’t say how much i happy when i see when i listen you .thank you,当我听你听你时，我不能说我有多快乐。谢谢你
5897,Ugxzw7a4e9amPV9oPtl4AaABAg,1,2 years ago,"hello!, my name is ariel, i am from mexico. i am trying to raise funds to be able to return to university since i had to abandon it to help my mother and my brother, i currently work repairing clothes, and i do some work such as rehearsals or crafts but i cannot go back to school, i am trying to develop bags for myself, my idea is to incorporate organic materials that do not pollute the planet, so i can help myself to work and thus be able to go back to school, i want to study architecture, please take the time to read my story and my idea to get ahead, if you can help me by donating or sharing my message to more people i would appreciate it, if you have questions ask me, the least i want is for them to think that i want to scam them when all i am looking for is to achieve my dream of being an architect.
this is my campaign where i explain my situation and my idea i hope you can help me:
https://www.airfunding.net/project/173862?hl=es&utm_source=copied_url&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_173862
i also made a video that is on youtube if you want to see it:
https://youtu.be/e6xn4etzc5k
you can also make a direct donation in paypal which is linked to my fundraising campaign:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=sxu2euq899gqu&source=url
with all my heart thank you for taking the time to read my situation, thank you very much, blessings!!.","您好！，我叫Ariel，我来自墨西哥。我试图筹集资金以便能够返回大学，因为我不得不放弃它来帮助母亲和兄弟，我目前正在修理衣服，我做了一些工作，例如排练或手工艺品，但我不能回到学校，我正在尝试为自己开发袋子，我的想法是纳入不污染地球的有机材料，以便我可以帮助自己工作，因此能够回到学校，我想学习建筑，请进行是时候阅读我的故事和我的想法来取得成功，如果您可以通过向更多的人捐款或分享我的信息来帮助我，如果您有问题问我，我最不想要的就是让他们认为我想要当我想要的只是实现成为建筑师的梦想时，骗它们。
这是我的竞选活动，我在这里解释我的情况，我的想法希望您能帮助我：
https://www.airfunding.net/project/173862？hl = es＆utm_source = copied_url＆utm_medium = social＆campaign = proaign=proight = proign = proign_first_first_sshares&utm_content = prodeject=proteject_proteject_id_id_173838888882
如果您想看到的话，我还制作了一个视频：
https://youtu.be/e6xn4etzc5k
您还可以在PayPal中直接捐款，这与我的筹款活动有关：
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id = sxu2euq899gqu&source=url
全心全意，感谢您抽出宝贵的时间阅读我的情况，非常感谢，祝福！"
33052,Ugwbq6sJ-mAR2gbcvIl4AaABAg,1,3 years ago (edited),"wow, liziqi i love that recipe, thanks!
you know what we also have that here in the pilippines which we call tabagwang in the bicol region.
but in tagalog it's called susò.
we normally cook it with coconut milk and other green leaves (could be ferns, and many others which are compatible with coconut milk.)
raw jackfruit, green papaya, and string beans. hope you try these ones and let us know how much you enjoyed it. :)
be blessed!","哇，liziqi我喜欢那个食谱，谢谢！
您知道我们在Pilippines的这里也有什么，我们称之为BICOL地区的Tabagwang。
但是在他加禄语中，这就是苏苏。
通常，我们用椰奶和其他绿叶（可能是蕨类植物，还有许多与椰奶兼容的其他叶子。）
生菠萝蜜，绿色木瓜和血豆。希望您尝试这些，并让我们知道您有多喜欢。 :)
祝福！"
