,cid,votes,time,含thank,含thank中文翻译
19506,UgykYpUIJEizi3rt_Q54AaABAg,3,3 years ago,"dear liziqi, thankyou for making videos, thankyou for your hard work, thankyou for beeing you, thankyou for your existence, thankyou for everything.",亲爱的liziqi，谢谢您制作的视频，谢谢您的辛勤工作，谢谢您为您提供的努力，谢谢您的存在，谢谢您的一切。
34171,Ugyneks5uAWtWPcM1eh4AaABAg,3,4 years ago,"i enjoy watching you accomplish so much then share with your family. especially with your grandparents. the joy in their faces. i also like seeing how differently you do things like the popcorn. we don't have spring festivals here so its great to see it celebrated else where. you're going to have to do another video explaining why you put all that delicious food in boxes? are they stored for later? or are the boxes gifts or donations or maybe offerings?
keep the videos coming . we enjoy them. thank you for sharing with us","我喜欢看着你完成这么多，然后与家人分享。特别是与祖父母在一起。他们脸上的喜悦。我也喜欢看到您做爆米花之类的事情的不同。我们在这里没有春节，所以很高兴看到它在其他地方庆祝。您将不得不做另一个视频，解释为什么您将所有这些美味的食物都放在盒子里？他们存储以后吗？还是盒子的礼物，捐赠或可能的产品？
保持视频的到来。我们喜欢他们。多谢与我们分享"
46844,UgypAbv7l1IGSkj6aS14AaABAg,3,4 years ago (edited),"happy chinese new year to you and your grandma. you do so many things yourself it is truly amazing and inspiring. my favourite part was the popcorn one and specially the end. your reaction during the popcorn machine was opened was too cute, it is the first time i saw popcorn being made like that. and grandma looked absolutely adorable. and thank you for the english subtitles. me and my mother simply love watching your videos.",春节快乐，祝您和您的祖母。您自己做很多事情，真是太神奇和鼓舞人心。我最喜欢的部分是爆米花，尤其是结尾。您在爆米花机上打开的反应太可爱了，这是我第一次看到爆米花是这样做的。奶奶看起来绝对可爱。并感谢您的英文字幕。我和我的母亲只是喜欢看你的视频。
17081,UgyzyjTe0wUmC5pDBX94AaABAg,3,3 years ago,thanks liziqi for bringing chinese traditional nature to the world,感谢Liziqi将中国传统本性带到世界上
18989,UgxKt0oeOUEfZ3TbA1B4AaABAg,3,3 years ago,"i heard from a japanese girl that his favorite star, named li ziyi, almost laughed, thought it was an internet celebrity. after watching the video, it was out of control and could not extricate itself. from questioning to admiration, you have lived the life we ​​want to live for us, and there will be the crafts we can't. everything that is attentive and exquisite, including the editing of video, admires the heart. how can such excellent everything unsuccessful? so a year, i silently enjoyed the visual and spiritual feast. thank you from the heart, born as a person, and make people think about the way of living. on this planet, your eyes and a smile all affect the heartstrings of millions of people, and happiness is full of happiness. speak, so small and narrow, will eventually annihilate. come on.",从一位日本女孩那里听说，他最喜欢的明星，叫李子柒，差点笑出声，本以为是个网红。看了视频，一发不可收拾，不能自拔。由质疑到敬佩，您替我们过了我们想过的生活，还会着我们不会的手艺。用心、精致的一切，包括视频的剪辑，由心的敬佩。这么优秀的一切怎么会不成功呢？于是一年了，默默的享受着视觉以及精神上的盛宴。由心的感谢你，生而为人，让人对活着的方式有所思考，这星球上，你的一眸一笑都牵动着千万人的心弦，幸福撒满人间，仅此，令所有的流言蜚语，那么渺小狭隘、也终将泯灭。加油。
1085,UgzIIK-X_iyKq_WxkOJ4AaABAg.9gb1-xGxSoJ9gdW_WITAVn,3,8 months ago,thanks for letting us know. hope she comes back soon. the world needs her videos sm.,感谢您让我们知道。希望她很快回来。世界需要她的视频SM。
36916,Ugz9JF6GZG22h5y7xrt4AaABAg,3,4 years ago,"i love this. i would love to harsvest my own food and have many cooking supplies. i love the cute baby animals too! one day, maybe do a video on each animal? so cute! cute! cold? very good! thank you sister! sorry my chinese is bad. sorry!!","I love this. I would love to harvest my own food and have many cooking supplies. I love the cute baby animals too! One day, maybe do a video on each animal? So cute! 可爱! 冷? 很好! 谢谢 姐姐! 对不起我的中文不好。对不起!!"
19350,Ugwjy2wmVkRAs5D8TaV4AaABAg,3,3 years ago,"i wish i can hug her and say thank you for this video, nothing i watch in these days that interest me. this videos of her, i could watch forever. her videos makes me forget from all of my problems. it touches my soul. god bless her!",我希望我能拥抱她，并说谢谢你的视频，这几天我没有看过我。她的视频，我可以永远看。她的视频使我忘记了所有问题。它触动了我的灵魂。上帝保佑她！
46613,UgzH-hjTuTq7rkTARzV4AaABAg,3,4 years ago,"from your video, i see the spirit and the bright side of life. thanks ziqi, you are an angel! and a real sample for us on how to treat family and live! love from hk",从您的视频中，我看到了生活的精神和光明的一面。谢谢Ziqi，你是天使！以及我们如何对待家庭和生活的真实样本！来自香港的爱
50899,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnIOD4ZEuW,3,4 years ago,"@dontmindmeimjusteverywhere2236 now i'm currently handling with sky castle, but i also make other videos about dramas, movies or korean issues. thank you!",@dontmindmeimjusteverywhere2236现在我目前正在使用Sky Castle，但我也制作了有关戏剧，电影或韩国问题的其他视频。谢谢你！
50579,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qlyRLJkuqj,3,4 years ago,thank you!,谢谢你！
33414,UgwD7zHOG1MNPqkoJFp4AaABAg,3,4 years ago,"founding this channel is the best thing in my life, thank you such a soothing and beautiful content",建立这个频道是我一生中最好的事情，谢谢您如此舒缓和美丽的内容
3123,Ugx-FusuhEN-x-_RiL94AaABAg,3,1 year ago,"love from russia! liziqi, thank you for all your videos!",来自俄罗斯的爱！ Liziqi，谢谢您的所有视频！
2986,UgxNvbg3jVHWU7L27AB4AaABAg.9VNt_6ullwN9a_yW-vDLaU,3,1 year ago,@amyjsue thank you very much,@amyjsue非常感谢你
30452,UgwUQZx5eHYobgsgMLt4AaABAg,3,3 years ago,"hey i use to play this video when i am drunk , and i want peace in my life

thanks for such beautiful video","嘿，当我喝醉时，我曾经播放这个视频，我想要一生中的和平

感谢您如此美丽的视频"
30225,UgyWnOWXMPVguMYGHCV4AaABAg,3,3 years ago,"such a pure and precious video... and here i am, feeling proud for making a single chocolate cake... from a boxed mix.

thank you for this","如此纯净而珍贵的视频...我在这里，为制作一个巧克力蛋糕而感到自豪……从盒装混合物中。

这次真是万分感谢"
3618,UgzFscPGSEyqUTdYngt4AaABAg,3,1 year ago (edited),"thank you for the wonderful video. ^_^
when i was little, i read in some article that i had a hard time.
but now i have become such a wonderful woman. ✨
thanks to the grandfather and the grandmother. surely.
it is always healed.","谢谢您的精彩视频。 ^_^
小时候，我在一篇文章中读到我很难。
但是现在我已经变成了一个很棒的女人。 ✨
感谢祖父和祖母。一定。
它总是被治愈。"
3809,UgwUhCnQ_llAmdM9WLx4AaABAg,3,1 year ago,"i love these videos, thank you for making them",我喜欢这些视频，谢谢您制作的视频
29844,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xZxK1fMBPs,3,3 years ago,thanks chinese.,谢谢中文。
29843,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xZxCt5AYQ0,3,3 years ago,@jenmraz7371 thank you.,@jenmraz7371谢谢。
28765,UgwdkW3Rt9bCX3NklfZ4AaABAg,3,3 years ago,"i love this video, i love the way you make candy, food, so thank you for making a great videos",我喜欢这个视频，我喜欢您制作糖果，食物的方式，所以谢谢您制作了很棒的视频
5129,Ugw9zY_rn7gqC-jQ-e94AaABAg,3,1 year ago,"thank you very much to the author for these films! amazing !!! .. all !!! what a beautiful girl, and what a clever man-master !!! i am delighted !!! .. i subscribe and watch all your films ... i get great pleasure from views and, of course, i discovered a lot for myself, spied on .. and this girl of happiness, a good husband and children ... my respect ...",非常感谢作者的这些电影！太棒了！！！！！电影...我从景色中得到了极大的荣幸，当然，我为自己发现了很多，窥视了。
39864,UgyO3Z2tzQA_VEFvmVN4AaABAg.8shk39nVVMk8smI0yvQ3Mw,3,4 years ago,thank you so much! i really like chinese culture and study a year of chinese. greetings!,太感谢了！我真的很喜欢中国文化，学习一年的中文。问候！
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,2 years ago,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
27249,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-H1fdL3An3,3,3 years ago,"thanks for sharing, i think she is adorable and a strong woman and soul. god bless her and her grandma in all things.",感谢您的分享，我认为她很可爱，是一个坚强的女人和灵魂。上帝保佑她和她的祖母在万物中。
27223,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zuV4wqoExT,3,3 years ago,thanks a lot for sharing.,非常感谢分享。
5925,Ugy2Cds2LKCCBMak9wp4AaABAg,3,2 years ago,"thank you for 90!❤️
ab 100 karado! 
love you all!","谢谢你90！❤️
AB 100卡拉多！ 
爱你们！"
5926,UgxcTp67_-iyOTvRX_R4AaABAg,3,2 years ago,"thank you for 90!❤️
ab 100 karado! 
love you all!","谢谢你90！❤️
AB 100卡拉多！ 
爱你们！"
37853,Ugz3Dao7oieewTxO1614AaABAg,3,4 years ago,beautiful vรญdeos! thank you so much my dear .,美丽的vídeos！非常感谢你亲爱的 。
25705,Ugxwxl0rWPEg8TGb1Gd4AaABAg.9-5A_4K3TF2901vmTGRPwi,3,3 years ago,thanks!,谢谢！
50962,UgxXdfdUk1tAYvVhPwJ4AaABAg,3,4 years ago,"your videos are a pleasure that i enjoy very much, thanks for showing us the incredible of great chinese culture.",您非常喜欢您的视频，非常感谢您向我们展示中国文化的难以置信。
25012,Ugyvb9Or9onsafDZ5Mt4AaABAg,3,3 years ago,"hello everyone, liziqi, i really like your channel and your lifestyle. do you want to know what you put in front of marshmallow? thank you",大家好，liziqi，我真的很喜欢您的频道和您的生活方式，您想知道在棉花糖前面放什么吗？谢谢啦
50902,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnjK1ckhJz,3,4 years ago,@dontmindmeimjusteverywhere2236 thanks! have a nice day!,@dontmindmeimjusteverywhere2236谢谢！祝你今天过得愉快！
42893,Ugyt449DLqqX6MGF5IJ4AaABAg,3,4 years ago,thank you for the beautiful video!,谢谢您的美丽视频！
37765,UgwRF45F0NQ2VoUiM6h4AaABAg,3,4 years ago,"wait , oh ok thank you so much youtube! i love this channel so much <3",等等，哦，好的，非常感谢YouTube！我非常喜欢这个频道<3
33053,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8vyAei3aH2I,3,4 years ago,suzy wrobel i learned new word- infatuated- thanks,Suzy Wrobel我学到了新的词 - 痴迷 - 谢谢
15727,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS99ilG8V1jPM,3,3 years ago,@travelwithher thank youu♥,@travelwithher谢谢你♥
22860,Ugz0NZSVHswpfGThJRl4AaABAg,3,3 years ago,"i do nโ€t know if this is your real life, but thank you for giving me a tranquility, a yearning, and a hope. good luck.",不知道这是不是你真实的生活，但谢谢你给了我一份宁静，一种向往，一个希望。祝，好。
43384,UgwmxmKBaIuQB8S-VR94AaABAg,3,4 years ago,very beautiful!!! thank you! you are super mega cool !!!,很漂亮！！！谢谢你！你很酷！！！
1716,UgzwrKoErd3s6e0nAwN4AaABAg,3,1 year ago,thanks you liziqi i wil always love u big vriend happy,谢谢你liziqi我将永远爱你
15731,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS9A0QyeFNLAo,3,2 years ago,@virginiamwende1076 :0 thank you,@Virginiamwende1076：0谢谢
47948,UgzqwvJrBtg7qUag16V4AaABAg,3,4 years ago,"happy chinese new year ms. li, year of the pig so many beautiful snacks .... (thanks to mrs. annastacia fang translation)",李的一年李女士​​李女士，这么多美丽的零食。
30833,UgyEoA5KDhAxqBjR7dN4AaABAg,2,3 years ago,"i just love this channel, it makes me feel so peaceful, thank you",我只是喜欢这个频道，这让我感到很宁静，谢谢
15163,UgysLWlxB873dMuoWMB4AaABAg.99oso2fN6zy9ADB-A2NCv-,2,2 years ago,"@mnyu3354 thank you, and share too my channel",@mnyu3354谢谢你，也分享我的频道
35602,UgzMyeG6QfcfDz2tzj54AaABAg,2,4 years ago,"i admit i'm jealous of grandma, but what's that on her head?but seriously, thanks from missouri for the abundant ""eye-candy"". hawthorn fruits are huge there!--and what a clever way to get your heart tonic! โคyour sweet animal friends too!",我承认我嫉妒奶奶，但是她的头上是什么？霍索恩的水果在那里很大！ ❤你甜蜜的动物朋友！
48704,Ugyb91Rrnw8cYF0te3F4AaABAg,2,4 years ago,thank you for all the amazing videos,谢谢您的所有精彩视频
14636,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9B82gRrjuZB,2,2 years ago,"@bourdeauxvenetta9524 thank you for your likes for me, and thank you for your recommendation! i have received it very enthusiastic, please do not recommend it in each of my comments. i recommend a sentence for you: you send a comment and directly recommend it to li ziyi. the effect will be more than 10,000 times more than you are working hard on a message one by one.",@bourdeauxvenetta9524 谢谢你为我点赞，也谢谢你的推荐！ 你的非常热情我已收到，请不用在我的每个评论上推荐了。 我就为你推荐一句话： 你发个评论直接推荐给李子柒，那效果会比你现在辛辛苦苦一条一条的留言上推荐强万倍哟。
14635,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9B8-XBZEULn,2,2 years ago,@julialiu4205 thank you for your warmth! i sent it from the computer. i might use my mobile phone to see it. the order will be a bit messy.,@julialiu4205 谢谢你的暖心指正！我是从电脑上发出来的，可能用手机看，字序会有点乱吧
14613,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AggIfguKF8,2,2 years ago,@saeeds9969 hello! thank you!,@saeeds9969你好！谢谢你！
14611,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Agf9ptzm0n,2,2 years ago,"@user-ro5ew8np9f thank you for your encouragement! the prize, the prize is just a smooth one.",@user-ro5ew8np9f 谢谢您的鼓励！ 过奖，过奖，仅仅是一首顺口溜而已啦。
14609,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Agegvku21u,2,2 years ago,@user-sq2ql9gp8u hello! thank you!,@user-sq2ql9gp8u你好！谢谢你！
35830,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8upvJ3wtpdE,2,4 years ago,thank you for your attention guys :) i'll do my best,谢谢你的关注伙计:)我会尽力而为
14634,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9B7zpfVS4OJ,2,2 years ago,"@nounse7800 hello, thank you!",@nounse7800你好，谢谢！
21540,UgxYbWchgfMWL5ctM4N4AaABAg.93YmAecpgt-93kcAqZhFnd,2,3 years ago,thank you for the suggestion. i live in japan but in a big city so always wanted to travel somewhere more quiet and free from stress,感谢您的建议。我住在日本，但在一个大城市，所以总是想在更安静和摆脱压力的地方旅行
15725,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS99een540I0U,2,3 years ago,@applejuiceblair9699 oh thank you♥,@AppleJuiceBlair9699哦，谢谢♥
32674,UgxUbOdX9Jrf1Yry8Rd4AaABAg,2,4 years ago,"i always feel comfortable whenever i watch your videos, sis! thank you for making such amazing videos <3",每当我观看您的视频时，我总是会感到舒适！感谢您制作如此惊人的视频<3
38862,Ugz-0uI3j33DOgR0v9x4AaABAg,2,4 years ago,"o beauty of colors and brilliant hands
i loved it ๐โค๏ธ
you are awesome .. thank you๐บ","o颜色的美和聪明的手
我喜欢它
你很棒..谢谢你"
39107,UgxrV6SG-eb7KGiinp94AaABAg,2,4 years ago,"5:15 shouri zen no theme!!
bcs u use that bgm, i know the song again, thank you!! it remind me of my childhood. ๐ฃ๐ญ","5:15 Shouri Zen没有主题！
bcs你使用那个bgm，我又知道这首歌，谢谢！这让我想起了我的童年。"
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
29854,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xc2JksPbwf,2,3 years ago,thank you,谢谢你
29229,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yVVyZyiThW,2,3 years ago,thanks about you want to know us,谢谢你想认识我们
28921,Ugzu6Vbr-x9FcChXogJ4AaABAg,2,3 years ago,"ever 17 was my shit, thanks for the nostalgie <3",17岁是我的狗屎，感谢怀旧<3
39943,UgyMHUGc8ev8mIke0L54AaABAg,2,4 years ago,your videos have amazed me many times !! thank you :-) for what you're doing,您的视频让我惊讶很多次！谢谢:-)所做的事情
39998,UgyRSlkUodrzmNbaabt4AaABAg,2,4 years ago,i think that video was the best thank you so much,我认为那段视频是最好的，非常感谢
27229,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zx18lA7eQo,2,3 years ago,"ae vietnam watch this video for me to ask for a single subscription, thank you",AE越南观看此视频让我要求一个订阅，谢谢
26778,UgyB0PaQTMSOuLectl94AaABAg,2,3 years ago,"i've been watching ur video every lunch break for relaxing. 
i lived a similar life when i was young in china, but i was bored of that, i was always unwilling to do farming, labour, and i was jealous of those kids living in cities. now, i am living in city and realised how beautiful life it was during my childhood.
thank you ziqi.","我在每个午餐休息时间都在观看您的视频，以放松身心。
我在中国年轻时过着相似的生活，但我对此感到无聊，我总是不愿意做农业，劳动，我嫉妒那些住在城市的孩子。现在，我住在城市，意识到我童年时代的生活多么美好。
谢谢Ziqi。"
26319,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92afa-fAnkA,2,3 years ago,"thanks for your message! same here. i am not depressed though. but literally ziqi is changing my life. she is much younger than my child and i feel she is teaching me so much. i am going to be a much better cook. to start with. and i spent few hours today cleaning refrigerator, mopping the floor and clean my bathroom. felt like having a new life ahead of me.",感谢您的消息！同样在这里。我并不沮丧。但是从字面上看，Ziqi正在改变我的生活。她比我的孩子年轻得多，我觉得她在教我很多。我将成为一个更好的厨师。首先。今天我花了几个小时清洁冰箱，擦地板并清洁浴室。感觉就像是我前面的新生活。
41540,UgzoLJAgtlQrkgrY1mF4AaABAg,2,4 years ago,thanks for your videos it’s really soothing and interesting,感谢您的视频，这确实很舒缓和有趣
25560,Ugy3GEoyqZdDBwAiRQV4AaABAg,2,3 years ago,"i love too live like this, everything from nature, thank you god!!!",我也喜欢这样的生活，大自然的一切，谢谢上帝！！！
42095,UgxYp3dKi5j5eEdn0994AaABAg,2,4 years ago,you really inspire me to do new things! thank you very much! and your grandma!,你真的激励我做新事物！非常感谢你！而你的奶奶！
24255,Ugw8wMb6QqIMf_hQVI14AaABAg.91Hax-AGicS91JL68l6x24,2,3 years ago,"haha... thanks 
i totally missed it.","哈哈谢谢
我完全错过了它。"
17336,UgwS10nlCzbym5SOUax4AaABAg,2,3 years ago,"the girl is such a clever man, i wonder how old she is and where she lives, in the sense of those places where we see on the video? i myself lived in the village and i know what rural labor is where there is practically nothing that we see now in modern form. so much works, and even tidy and cheerful owing owing ours, and by the way, i would like to know who removes and mounts her work, thanks to this person. the video is just incomparable!",这个女孩真是个聪明的男人，我想知道她几岁和她的住所，从我们在视频中看到的那些地方？我本人住在村庄，我知道什么是乡村劳动，现在几乎没有现代形式看到的东西。由于我们的欠款，欠我们的欠款如此之多，甚至整洁而开朗，我想知道谁撤职并载入了她的工作，这要归功于这个人。该视频只是无与伦比的！
23285,UgxpFwzYHhBV_4WKAd54AaABAg,2,3 years ago,thank you all for your favorite ziyi! intersection thank you for your attention and support! intersection thanks u ~~~,谢谢大家喜欢我们家的子柒！！谢谢大家的关注和支持！！Thank u~~~
33054,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8vyCRAZCEOL,2,4 years ago,@chhuang6278 lol ๐thanks! i just saw what i spelt,@chhuang6278大声笑
22190,Ugyehpm6WYaRRaPthnp4AaABAg.932TFd4Bma793JNbHxOSAc,2,3 years ago (edited),el bottoo well thanks for the tip. appreciate it.,El Bottoo非常感谢您的提示。感谢它。
22105,UgxwVbCONClJmLiYzbp4AaABAg,2,3 years ago,"thank you, the video makes me feel peace and relaxed. the life was supposed to be like this",谢谢，视频使我感到和平与放松。生活应该是这样
33458,UgxFx6YsKpm-3R7RJ6d4AaABAg,2,4 years ago,you're quite lovely and your videos are very relaxing and enjoyable. thank you!,您非常可爱，您的视频非常放松和愉快。谢谢你！
21392,UgyYRqV81DskY3lZiuh4AaABAg,2,3 years ago,thanks now i want a pet sheep ๐ฅบ,谢谢现在我想要一只宠物绵羊
21337,UgxWx_x_Buj5IwSab1l4AaABAg,2,3 years ago,"we represent all indonesian people ... thanks to all japanese soldiers who want to help us.
indonesia, japan.","我们代表所有印尼人民...感谢所有希望帮助我们的日本士兵。
日本印度尼西亚。"
20858,UgzUuv4wq4-uwWnBcc14AaABAg,2,3 years ago,"stunning photography, scenery (where is this filmed in china), and lovely young lady who is very talented. her grandmother is fortunate to have her. thank you for doing these videos.",令人惊叹的摄影，风景（这是在中国拍摄的地方）和很有才华的可爱小姐。她的祖母很幸运能拥有她。感谢您制作这些视频。
44904,UgwvadNSiPiMMzuZfJV4AaABAg.8r9joQbP8RC8rAulSTzfp8,2,4 years ago (edited),"i thought it was just a project like a film. thank you, everything is tasty, probably. and so it was shot beautifully and tasty, professionally 11",我认为这只是一个像电影一样的项目。谢谢，一切都很好吃。因此，它的拍摄精美而美味，专业11
37505,UgxQKLZeNmGNHiUtNNh4AaABAg,2,4 years ago,"it is a pride to see a young woman simply and wisely showing the hard work in the countryside, to value the old knowledge and techniques so little cultivated among new generations, but extremely necessary ...
we hope that these knowledge will not be lost in time ...
this is a wonderful example of how to use technology in favor of spreading an extremely noble cause: the continuity of the precious knowledge of the old people ...
thank you ๐
it is a pride to you a young lady showing in simple and wise way the hard work in the field, to value the ancient knowledge and techniques not often cultivated among the new generations, but extremรฉly necessary ... we hope this knowledge wont be lost in time ...
this is a wonderful example of how to use technology in favor of the dissemination of an extremรฉly noble cause: the continance of the precious knowledge of ancient people.
thank's for share with us.๐ง๐ทโ๐ผโ๐ผ","看到一个年轻女子简单明智地展示了农村的辛勤工作，这是一种自豪，以珍视旧的知识和技术在新一代中耕种的少量，但极为必要...
我们希望这些知识不会及时迷失...
这是一个很好的例子，说明如何使用技术来传播一个极为崇高的事业：老年人的宝贵知识的连续性...
谢谢
这对您来说是一个以简单明了的方式展示的年轻女士的自豪及时...
这是一个很好的例子，说明如何利用技术来传播极端贵族的原因：古代人民的宝贵知识的胜任。
感谢与我们分享。"
45390,UgyTOwr4Q45r45UaXDB4AaABAg,2,4 years ago,"wow, you can still find this kind of popcorn master too much, look and cry, thank you ziyi",哇 现在还能找到这种爆米花师傅 太怀念了 看哭了 谢谢子柒
33821,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yU4xRTBlBG,2,3 years ago,"sahara dessert - hi , thank you for sharing your story with me. your goals are admirable and i am sure both your mother and father are extremely proud of both you and your sister. it is nice to hear that young people care about the elderly and those who do not have as many advantages in life as they did . it makes me very happy and i canโ€t help smiling because of how you are willing to share the rewards you have worked for with others that work hard and suffer for so little pay and no relief from the harsh realities of life. you are a blessing in a world where kindness and goodness is harder and harder to find at times. you are so sweet and i will never forget what you took the time to write me.",撒哈拉甜点 - 嗨，谢谢您与我分享您的故事。您的目标令人钦佩，我敢肯定，您的母亲和父亲都为您和您的姐姐都感到自豪。很高兴听到年轻人关心老年人和那些在生活中没有那么多优势的人。这让我感到非常高兴，我不禁微笑，因为您愿意与其他努力工作，付出这么小的薪水且无法摆脱生活中严峻的现实的苦难和苦难的人分享您的回报。在这个世界中，您是一个祝福，在这个世界中，善良和善良有时越来越难以找到。你真可爱，我永远不会忘记你花时间给我写信。
17813,Ugz0kIB34lX2bVRQWbJ4AaABAg,2,3 years ago,"oh my god! youtube recommended your video and i loved it, it's the kind of video that i need in this moments all videos talking about the virus sick my mind! :(.. meanwhile your videos bring me the peace that i needed. thank you",我的天啊！ YouTube推荐了您的视频，我喜欢它，这是我在这一刻所需的那种视频，所有关于病毒病我的想法的视频！ :( ..与此同时，您的视频带给我我需要的和平。谢谢
17482,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa981mxdIQgLK,2,3 years ago,hahaha thank you for your love of china,哈哈哈谢谢你对中国的热爱
53064,Ugxy4weUigl7BpZ1LFl4AaABAg.8qlJNiijARo8qlTNRXSax4,2,4 years ago,@conanfanfanshinran782 where nb thanks: 3,@conanfanfanshinran782 nb谢谢：3
36046,UgwBquzysNJMbbtxH-B4AaABAg,2,4 years ago,"without words...like life not exist like that๐โค๐
so am new subscriber, thank for this chanel๐","没有言语...就像生活不存在的那样
新订户也是如此，感谢这个香奈儿"
5924,Ugw_80gsfB_H6z5gN_d4AaABAg,2,2 years ago,"thank you for 90!❤️
ab 100 karado! 
love you all!","谢谢你90！❤️
AB 100卡拉多！ 
爱你们！"
5759,Ugy0B9JMBLpTPJ9v2XR4AaABAg,2,2 years ago,"how beautiful it is!
i just tried to find recipes of chinese cuisine and found this beauty!
thank you!!!!","它有多美丽！
我只是试图找到中国美食的食谱，并找到了这种美！
谢谢你！！！！"
49543,UgxKGc98LbV5EVRPIqh4AaABAg.8qm48lucM6t8qn2W4f8jlH,2,4 years ago,a t thank you so much,非常感谢你
10086,Ugwu4RsC5V9MJj9G--J4AaABAg,2,2 years ago,"the video is very good! my psychological video is also great, friends who are interested in psychology are welcome to subscribe to my channel. thank you",视频很好！我的心理学视频也很棒，对心理学有兴趣的朋友欢迎订阅我的频道谢谢
10094,Ugz9teFE6G-_fbzLTEV4AaABAg.9GS8QbE7mJ29H0t6PVEw11,2,2 years ago,@tubaamirichannel6890 actually she used to film things by herself but thank god she have a person who can help her now,@tubaamirichannel6890实际上她曾经自己拍摄事物，但感谢上帝，她有一个可以帮助她的人
2955,UgxD7F9KyfkABgJfcJR4AaABAg,2,1 year ago,thank you for the video! you and your operator are just wonderful! i am very glad that now i know you.,谢谢您的视频！您和您的操作员很棒！我很高兴现在我认识你。
