,cid,votes,time,含family,含family中文翻译
5929,UgwJcwx-JzLheCCtaDF4AaABAg,2,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
5946,UgwU66laJlR65br34pB4AaABAg,2,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
6575,UgzZD3E2I3UUy3WnK5R4AaABAg,2,2 years ago,a nice landscape! nice dish! a nice family โช,一个不错的风景！不错的菜！一个不错的家庭♪
13437,UgxTFgXRxn7MuOxmWCx4AaABAg,2,3 years ago,"

good news for every muslim and muslim

by the grace of god alone, a book was published

the abbreviation of islamic jurisprudence
eighteenth edition

this book contains

on more than thirty thousand legal rulings in
monotheism and faith

virtues and literature


family provisions




the book is easy to browse, easy to download, and easy to send



http://hatha-alisam.com/books/list/80

• ❁❁ •• ❁❁ •

abbreviation of islamic jurisprudence in chinese 

link

https://hatha-alisam.com/books/list/65

• ❁❁ •• ❁❁ •

this is the location of this islam

http://hatha-alislam.com/

","

每个穆斯林和穆斯林的好消息

仅靠上帝的恩典，一本书出版了

伊斯兰法学的缩写
第十八版

这本书包含

在超过三万的法律裁决中
一神教和信仰

美德和文学


家庭规定




这本书易于浏览，易于下载且易于发送



http://hatha-alisam.com/books/list/80

•❁❁••❁❁•

中国伊斯兰法学的缩写

关联

https://hatha-alisam.com/books/list/65

•❁❁••❁❁•

这是这个伊斯兰教的位置

http://hatha-alislam.com/

"
22184,Ugzt5VGHr6znPhq6-k14AaABAg.9-AalxXxrkw9-u30NLG9pA,2,3 years ago,"wrong, people who live in the mountains in china are still very happy. my family is also in the countryside, the small mountain ditch. if the mountains are deep, the self -sufficient sunset and the sunset should be good.",错了，中国有隐居在深山里的人还是很幸福的，我家也在农村，小山沟子，如果大山深处的话，自给自足日出而作日落而息应该也还不错
13109,UgyAyWYwXKiBgC9l3M14AaABAg,2,3 years ago,so cool how she pics all her own food and makes beautiful recipes from the ingredients.. amazing how she takes such good care of her family as well. they will be devastated when she finds a man lmao,她如何为自己的食物拍照，并从食材中制作出美丽的食谱。当她找到一个男人lmao时，他们将被摧毁
21999,Ugx1S3F_HcEVF0Xfeox4AaABAg.9-JqhM84H-m904JxwyNd_F,2,3 years ago,"her grandmother planted the wonderful garden years ago on a family farm. such a wonderful gift that the children have kept the love for it. they are wealthy enough to abandon that life, but so much would be lost, no?",几年前，她的祖母在一个家庭农场种植了美妙的花园。如此奇妙的礼物，孩子们对此保持了热爱。他们足够富有，可以放弃那种生命，但会丢失很多东西，不是吗？
33289,UgzvCaTt2-wcQd9gASd4AaABAg,2,3 years ago,my family also has the old altar brought back by two altars in sichuan.,我家人也是有两坛四川带回来的老坛，泡出来的泡菜非常好吃~
4204,Ugz0fOYcp3pdjVTAsdt4AaABAg.9KRqwc8P-PW9KepoG7fAAd,2,2 years ago,"greetings from the motherland, i hope you and your family are all good, often go home and see ~~",来自祖国的问候，希望你和你家人一切安好，常回家看看 ~~
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,3 years ago,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
21356,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90ryDqXxCT0,1,3 years ago,"what you miss is not just rural areas, but those who love you to accompany you to grow up, and when you are a child, he hates to go to the rural grandma's family to celebrate the new year. fantashan runs around, but now more memories are still inexplicable malicious",你怀念的并不是仅仅是农村 而是那些爱护你陪伴你成长的人和事 相反小时候最讨厌去农村奶奶家过年 他老人家重男轻女 我这个独生女简直是她眼中钉肉中刺 虽然堂哥堂妹都会带我满山跑到处玩 但是如今更多回忆起来的还是长辈莫名的恶意
12646,UgxpBrD1zfYf9xMBHjR4AaABAg,1,3 years ago,"hi, i am a chinese, see everyone in the comments to you in english speech, that i can not help but use english to speak to you oh, our family appreciate your attitude to the village life, i hope you can get better and better.❤️",嗨，我是中国人，在英语演讲中对您的评论中看到每个人，我忍不住用英语对你说话哦，我们的家人感谢您对乡村生活的态度，希望您能变得越来越好.❤️
13236,UgzU2AaO0fW7WreVKfx4AaABAg,1,3 years ago,"your videos are pretty awesome, so ive subscribe to your channel miss/mrs lizigi.. i love to plant vegestable also even in a tiny space area of our backyard
wish to go home to our province, to do like what youve been doing in ur farm, its so relaxing, and i love the montage video nice place you have there lizigi family","您的视频非常棒，所以我订阅了您的频道小姐/Lizigi夫人。.我也喜欢在我们的后院的一个小空间区域种植vistable。
希望回到我们省，喜欢您在Ur农场所做的事情，它是如此放松，我喜欢您在那里有Lizigi Family的Montage Video的好地方"
18947,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92g6vCO6e02,1,3 years ago,"those who are tired of living are yearning for li ziyi's life, but it is too difficult. people are living animals. the children and elderly people need to raise them. they need a stable and rich job to ensure the normal life of the family. just look at it, after all, most of the financial resources can't live such a life! it's difficult!",奔波劳累讨生活的人，都向往李子柒的这种生活，但是太难了，人是群居动物，孩子老人要养，需要一份稳定有钱的工作，才能保证家人正常生活。看看就好，毕竟以大多数的财力还过不了这样的生活！难啊！
20944,UgxNXMZVlxdIoqG38mp4AaABAg,1,3 years ago,"your beauty, skills and wisdom surprise me. you, family and friends' health.",你的美丽，技巧和智慧令我惊讶。您，家人和朋友的健康。
26896,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208ytWfziNgSK,1,3 years ago,"you think it doesnt cost alot to own so much land? to plant and manage so many resources? that stuff is all faaaar more expensive then what wed play for organic food. tho, its very possible that land is passed down from her family, so thats lucky. but starting on your own... hah. i mean its totally possible, but its not as easy at it looks, youd need to be dedicated",您认为拥有这么多土地并不花很多钱吗？种植和管理这么多资源？这些东西的faaaar都比Wed Wed玩有机食品更昂贵。这很有可能是从她的家人那里传下来的，所以很幸运。但是一个人开始...哈。我的意思是完全有可能，但看起来并不那么容易，您需要专门
15554,UgwX3RzAVnP5k92NSO54AaABAg,1,3 years ago,"the seven of li zi's family have mountains and water, and the big rich. there is no one acre in reality rural areas.",李子七家有山有水有地，大财主呀。现实农村人均土地连一亩都没有。
25613,UgxcyMsCj0QK7hb7gQN4AaABAg,1,3 years ago,"liziqi -

you must have countless men asking to marry you? 

you preserve a way of life that fades rapidly like a winter sunset but a way of life which must be preserved, honored, and taught to each new generation to ensure the survival of the ways of you and your people.

you are a princess in my eyes - we are a world away, but i honor you. you are a gem among your family and name, and among your people you should be considered a teacher and guru.

raymond d. d.","liziqi-

你一定有无数的男人要求嫁给你？

您保留一种生活方式，它像冬季的日落一样迅速淡化，但必须保留，尊重和教导每一代的生活方式，以确保您和您的人的方式生存。

在我眼中，你是公主 - 我们是一个世界，但我向您致敬。您是家人和名字中的宝石，在您的人民中，您应该被视为老师和上师。

雷蒙德D. D."
19144,Ugyg-BpX8XbSNcOywlp4AaABAg,1,3 years ago,your food looks so good. it looks like you cook enough in a day for my family to eat all week.,你的食物看起来很好。看来您一天在我的家人整周做饭。
18660,Ugzji7WoQS6IgFJIOvh4AaABAg.92QI8efM4zn92Xk79HXdrt,1,3 years ago,"it is good for kun ai to pursue true, but you can't deny that this is not existed. my family is in sichuan, and someone around me is tired of urban life. live such a life in the countryside.",Kun Ai 追求真实固然是好，但你不能否认这是不存在的.我家在四川，身边有人就是厌烦了城市生活，在乡村过这样的生活，简单纯朴也美好
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,3 years ago,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
162,UgzdIkoP46C8O4qxlQ54AaABAg,1,1 month ago,ziyi family often meat bamboo shoots are really delicious!,子柒家常肉笋真的很好吃喔！
23157,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ9-3a2LqTDyH,1,3 years ago,"that is a traditional built-in wok. it is hard to control the heat and you have to adapt your methods to the heat below. it can be hard to master. i see some traditional cooking methods from sichuan like the boiling oil over cold foods to cook. but the mountain streams of my family are no-where near that clean. brown or yellow, even the snows of the sichuan mountains are yellow.",那是传统的内置炒锅。很难控制热量，您必须将方法调整到下面的热量中。可能很难掌握。我看到了四川的一些传统烹饪方法，例如冷食上的沸腾油做饭。但是我家人的山溪流在那条干净的地方没有。棕色或黄色，甚至四川山的雪也是黄色。
22639,UgyASWejBaqg5M32ITB4AaABAg,1,3 years ago,"who can find the wife of xiande? her value is far better than jewelry. her husband trusted her and lacked anything. she was beneficial to her husband in her life. she was looking for wool and fine numbness, and she made his own clothes happily. she seemed to be a merchant ship, which was transported from a distance. tian weibai got up, prepared food for the whole family, and assigned maids to do housework. she chose nakada to buy it and make money to plant vineyards. she is energetic and her arms are powerful. she is well versed in business, and her lights will not turn off at night. she holds a roller and holds a spinning hammer. she is happy to help the poor and reach out to help the hardships. she is not worried about her family because of snow, because the whole family is wearing zhu hong warm clothes. she sews embroidered blankets for herself and made clothes with fine numbness and purple cloth. her husband sat with the local elders at the gate of the city and was respected. she sewed thin hemp clothes for sale, and made a belt to a businessman. she was full of power and honor, and she greeted the future with a smile. what she said was wisdom, and her training was full of love. she cooks all the housework and never eats her leisure. her children stood up and blessed her. her husband also praised her, saying, ""there are many women in the world, only you are unparalleled."" gorgeous is false, beauty is short, only women who fear the lord are worthy of praise essence
proverbs 31: 10-30 ccb
https://bible.com/bible/36/pro.31.10-30.ccb","谁能找到贤德之妻？ 她的价值远胜过珠宝。 她丈夫信赖她， 什么也不缺乏。 她一生对丈夫有益无损。 她寻找羊毛和细麻， 愉快地亲手做衣。 她好像商船， 从远方运来粮食。 天未亮她就起床， 为全家预备食物， 分派女仆做家事。 她选中田地便买下来， 亲手赚钱栽种葡萄园。 她精力充沛， 双臂有力。 她深谙经营之道， 她的灯彻夜不熄。 她手拿卷线杆， 手握纺线锤。 她乐于周济穷人， 伸手帮助困苦者。 她不因下雪而为家人担心， 因为全家都穿着朱红暖衣。 她为自己缝制绣花毯， 用细麻和紫布做衣服。 她丈夫在城门口与当地长老同坐， 受人尊重。 她缝制细麻衣裳出售， 又制作腰带卖给商人。 她充满力量和尊荣， 她以笑颜迎接未来。 她说的话带着智慧， 她的训言充满慈爱。 她料理一切家务， 从不偷懒吃闲饭。 她的儿女肃立， 为她祝福， 她的丈夫也称赞她， 说：“世上贤德的女子很多， 唯有你无与伦比。” 艳丽是虚假的， 美貌是短暂的， 唯有敬畏耶和华的女子配得称赞。 
箴言 31:10‭-‬30 CCB 
https://bible.com/bible/36/pro.31.10-30.CCB"
18242,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92p4bU1ZxJO,1,3 years ago,@lucychan2822 food from the north are usually more hearty and dense so if you happen to have super wasp/vietnam-southasian-ish taste you prob won't enjoy those. but she cooks for her family--and what's the point of making modified pho or some psuedo og superfood bamboo salad when one could appreciate a good slurp of good ol' mifen? it's never about the food,@lucychan2822来自北方的食物通常会更加丰盛和稠密，因此，如果您碰巧拥有超级黄蜂/越南 - 南方风味，那么您可能会喜欢这些。但是她为家人做饭 - 当人们能欣赏好善良的好ol'Mifen时，做改良的pho或一些Superfood竹沙拉有什么意义？从来都不是关于食物的
80,UgyLmaByuMxpH9YfDDJ4AaABAg,1,2 weeks ago,wow girl you are really cute marry me i'll take care of your family too,哇，你真的很可爱嫁给我，我也照顾你的家人
11721,UgzASLlODo8WXZ-OQIx4AaABAg,1,3 years ago (edited),"i love her,,,, very creative,,,, truely a housewife material.... god bless her and family",我爱她，非常有创造力，
31610,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVsT2jKsgx,1,3 years ago,"@authenictruthoid thanks for your support of this very fine young woman and her wonderfully made videos. her videos help people in so many ways that i could not list them all. i wish you and all the members of your family , love , joy and peace. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",@authenictruthoid感谢您对这个非常好的年轻女子和她精彩的视频的支持。她的视频以多种方式帮助人们，以至于我无法列出所有这些。祝您和家人的所有成员，爱与和平。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
35120,Ugz2Hx3GBSUn6Uig5Nl4AaABAg,1,3 years ago,"amaizing good you shomad beautiful family
indonesia is present greeting","amaizing好你，你shomad美丽的家庭
印度尼西亚在场问候"
34144,Ugyoq6VAGb5zaN04bcN4AaABAg,1,3 years ago,"my liziqiii...l am very happy ur notification& my family,my frnds are u big fans",我的liziqiii ...我很高兴通知我和我的家人，我的frnds是你很大的粉丝。
2327,UgyiTl-xApceGiUMDxJ4AaABAg,1,1 year ago,i have eaten so many screw fans and feel that the screw powder of li zi dana family is best to eat without accepting any refutation of li ziran yyds!,吃过这么多的螺丝粉 觉得李子染家的螺丝粉最好吃 不接受任何反驳 李子染yyds!
32941,UgzmmIIw4adIBP34Kjt4AaABAg,1,3 years ago,i hope this young woman and her family have this site well monetised and are not being ripped off by any of the thieving bastards that are likely to steal their hard work from under them.,我希望这个年轻女子和她的家人拥有这个网站的货币货币货币赛，并不会被任何可能从他们的艰苦工作中窃取辛勤工作的盗贼骗子。
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,3 years ago,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
5902,Ugwo9ZQpLHLPx5Nr8A14AaABAg,1,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
5970,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5VGF81CM,1,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
6633,UgxHbloe9COPqheHdot4AaABAg,1,2 years ago,"one of the greatest religious duties is to enjoin good and forbidding what is evil.
it was narrated on the authority of the prophet (may god bless him and his family) that he said: (how is you if your women are corrupted, and your youth are immoral, and you did not order the good and you did not forbid evil) and he was told: and that is, o messenger of god? he, may godโ€s prayers and peace be upon him, said: (yes). he said: (how is you if you are commanded by evil, and you are forbidden for the known) and he was told: o messenger of god and that is that? he said: (yes, and the evil of that, how is you if you see the well -known and denial is known?)
it was narrated from them (peace be upon them): that it is known that the obligatory prayers are established and the doctrines are safe al -barakat and put each other on each other, and they had no nasser in the earth or in the sky ..","最大的宗教职责之一是禁止善，并禁止什么是邪恶。
他说的是关于先知的权威（愿上帝保佑他和他的家人）的叙述：（如果您的妇女腐败，您的青春是不道德的，您没有命令好事，而您也没有禁止邪恶）被告知：那就是上帝的使者吗？他，愿上帝的祈祷与和平在他身上，说：（是的）。他说：（如果您被邪恶指挥，而您被禁止以众所周知被禁止），他被告知：上​​帝的使者，那就是呢？他说：（是的，这是邪恶的，如果您看到众所周知的否认和否认是什么？）
这是从他们那里叙述的（愿他们安息）：众所周知，必须建立强制性的祈祷，而这些教义是安全的 - 巴拉卡特，彼此彼此相处，他们在地球或天空中没有纳赛尔.."
6699,UgyPuLp0IBSDJaBEW-t4AaABAg.9EYdkYYWjC99EhdmB4F_0a,1,2 years ago,"li is her family name. in china, we usually call her ziqi.",李是她的姓。在中国，我们通常称她为Ziqi。
7128,UgwOjmct6L_MXjctAmJ4AaABAg,1,2 years ago,hello ๐‘ i really like your food video blessings for your whole family greetings ๐๐๐๐๐,您好
7729,UgwG2YsvuIN4jlWbKCN4AaABAg,1,2 years ago,is that the only family member u have?,那是你唯一的家庭成员吗？
9347,UgwRQhaAbzZgua-qHK14AaABAg,1,2 years ago (edited),she is a cute and beautiful woman. it is delicious. if any one married her as wife to be good for his family,她是可爱美丽女人. 好吃. If any one married her as wife to be good for his family
31611,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVsjgBqcHh,1,3 years ago,"@windaadiffa7626 thanks for the like of my comments for this wonderful lady and her videos. i wish you and your family a great day , your friend from canada!!!!!!!!!!!!!!!!!!!!!!",@windaadiffa7626感谢您对这位出色的女士和她的视频的评论。祝您和您的家人美好的一天，您来自加拿大的朋友！！！！！！！！！！！！！！！！
7419,UgxCxaOk9hM0mF0Lmih4AaABAg,1,2 years ago,i bought the snail powder of the ziyi family! the taste is very good ๅฅฝ,买到了子柒家的螺蛳粉！味道很好
22025,UgyNznBkcEkdjIm0MHF4AaABAg.9-I7M9BVLBX9-YxKUIuOet,1,3 years ago,"sharon thomas after all, all that's left of her family is her grandmother.and take good care of the elderly, is our chinese from ancient times to develop a habit. we are proud of it.",毕竟，莎朗·托马斯（Sharon Thomas），她的家人剩下的就是她的祖母，而且要照顾老人，这是我们从远古时代开始养成习惯的中国人。我们为此感到自豪。
11648,Ugz4v3NDvFwbqZAlNrd4AaABAg,1,3 years ago,"someone, tell who is this woman, where are men in this family, why alone?",有人，告诉这个女人是谁，这个家庭中的男人在哪里，为什么一个人呢？
33458,Ugy7J5OmHPhyNhSeK-Z4AaABAg,0,3 years ago,what is the name of the whole family,整个家庭的名字是什么
30460,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39TkuuD9YDVK,0,1 year ago,@colinseet7710 there’s some deviation in our province with hakka cantonese getting mixed in. several million people in the province are of hakka descent. my maternal side of family can speak and understand some cantonese. and my hakka side of the family used a mixture of cantonese and mandarin in how we referred to each other. especially the older generations.,@colinseet7710在我们省有些偏差，哈卡广东话混合在一​​起。该省的数百万人是哈卡的下降。我的母亲的家人可以说话并理解一些广东话。我家庭的哈卡（Hakka）一面使用了粤语和普通话的混合物，我们彼此之间的称呼。尤其是老一辈。
22831,UgwR_sKP28rQppEeUUJ4AaABAg,0,3 years ago,wish to come and visit your family and village,希望来拜访您的家人和村庄
30436,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39PTM3ry9Gyw,0,1 year ago,"fate... fate is arbitrary of the system itself. and most likely it is an integral and important part of it. basically, a person can't make critical decisions. which could change his fate. or glabalno change it. a person is allowed only to change the scenery in his home. but neither as nor the place of residence itself. or your final destination address. the starting and ending points are already predestined by fate itself. a person, if desired, can only change his path the path along which he goes to the end point. yes, of course, there are exceptions, but they occur very rarely and only with the consent of all parties involved in this change. next, i'll give you some examples. as i told you earlier, all the important and key decisions have already been made. we do not choose the time and place of our birth. we do not choose our future family and parents. we don't choose our gender or race. our diseases and predispositions are already sewn into us. further. educational institution. it has already been chosen based on the knowledge already formed and invested in you, as well as your desires dictated by fate itself. and everything is fine-tuned so that you yourself would say that this is my choice. and i decided so .all actions thoughts and desires of a person are dictated by the conditions and the framework in which fate and the system put him. and almost always only fate decides who will rule the world and who will be a homeless person from the garbage dump",命运...命运是系统本身的任意。而且很可能是其中不可或缺的一部分。基本上，一个人不能做出关键决定。这可能会改变他的命运。或Glabalno更改它。一个人只能改变自己家中的风景。但是既不是居住地本身。或您的最终目标地址。命运本身已经预定了起点和终点。一个人，如果需要的话，只能改变他到达终点的道路。是的，当然，有例外，但是它们很少发生，并且仅在参与此变更的各方的同意下。接下来，我给你一些例子。正如我之前告诉您的那样，已经做出了所有重要和关键的决定。我们没有选择出生的时间和地点。我们不选择未来的家庭和父母。我们不选择我们的性别或种族。我们的疾病和易感性已经缝在我们身上。更远。教育机构。已经根据已经形成和投资于您的知识以及您的欲望由命运本身所决定的。一切都是微调的，因此您自己会说这是我的选择。我决定这样。一个人的所有行动和欲望都是由命运和制度赋予他的条件和框架所决定的。几乎总是只有命运决定谁将统治世界，谁将成为垃圾场的无家可归者
30381,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39B-OSvm4x9T,0,2 years ago,"for those who are more incline to the westernised way of addressing the elders, siblings and juniors in the family tree but would be interested to know the accurate way the chinese would addess each other in the family tree, you can refer to this link for more information:
http://blog.tutorming.com/mandarin-chinese-learning-tips/family-tree-relatives-in-chinese

@mimo tree, whatever it is, i didn't step on your tail before, so you better refrain from using vulgarity on your comments. if you do not understand my earlier mesaage, you have 3 choices, (1) forget about it totally, (2) ask and learn trom those who know, or (3) dig a 6 foot hole and bury yourself.","对于那些更倾向于在家谱中解决长者，兄弟姐妹和大三学生的人，但有兴趣了解中国人在家谱中彼此相关的准确方式，您可以参考此链接以获取更多信息信息：
http://blog.tutorming.com/mandarin-chinese-learning-tips/family-tree-relations-in-------in--in--inese

@mimo树，无论是什么，我以前没有踩到你的尾巴，所以最好不要在评论中使用粗俗。如果您不了解我较早的介质，您有3个选择，（1）完全忘记它，（2）询问并学习那些认识的人，或（3）挖一个6英尺洞并埋葬自己。"
29158,Ugw6rOdNw7Y8mBWTOw14AaABAg,0,3 years ago,"the strength of this little angel is amazing! the weight she carries around would be impossible for many western women. her beautiful spirit is really unique. calm, peace, love for her beloved family/granny and for nature around her. a blend of what we humans should all have. just another 1000 of her would make our world a better place. i am sure she touches deeply all that watch her videos. such a blessing to have this channel!",这个小天使的力量很棒！对于许多西方妇女来说，她所携带的体重是不可能的。她美丽的精神确实是独一无二的。平静，和平，对她心爱的家庭/奶奶的爱以及周围的大自然。融合了我们人类应该拥有的一切。她只有1000人将使我们的世界变得更美好。我相信她会深入观看她的视频。拥有这个频道真是太幸运了！
30373,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AMKtBS3o_1,0,2 years ago,her grandma is her only family in the world,她的祖母是她唯一的家庭
32998,UgwJBpYZLfZiAPQi1Op4AaABAg,0,3 years ago,"her family has the whole world
everything has this","她的家人有整个世界
一切都有"
22573,UgwqjsYmy0Zg8zENo8N4AaABAg,0,3 years ago,"i subscribed like a day ago, downloaded a whole lot of her videos and had my family watch. we all fell in love with her hardworking spirit. my mom kept wondering where she gets her strength and how dedicated she is for a young woman. truly motivational.",我像一天前一样订阅，下载了她的大量视频，并有家人观看。我们都爱上了她勤奋的精神。我妈妈一直想知道她在哪里得到自己的力量，以及她对一个年轻女子的奉献精神。真正的励志。
