,cid,votes,含family,含family中文翻译
23916,UgzxrukpuR8GJsslIS94AaABAg,1,"ashamed, it was born to a sichuan person. she had eaten it. mango and apple sichuan were available, but it was not produced by her area. wild chestnut should not be so big. the bacon was hung too short and was stolen by a dog. last year, my sausage was stolen by the dog. the mud baked oven is not every family. it โ€s delicious for two months to dry the beef. if you go down the mountain, you have to be moldy. so many fruits should be placed in the cellar, and each household has a waste.",惭愧，生为一个四川人居然有没吃过的，芒果和苹果四川有，但不是她那个地区出产的，野生板栗应该没有那么大。腊肉挂得太矮了，要被狗偷，去年我家的香肠就被狗偷了，那个泥巴烤炉也不是每家都有，家里人口多，又有能做事的老人才行，下雨就坏了，牛肉干要晾两个月才好吃，下山就要发霉，蛋烘糕要趁热吃，不能放。那么多果子应该放地窖，每家每户都有，浪费了。
21761,Ugzwx-4196hFJxN3ceJ4AaABAg,1,"it is hard to imagine that this is mianyang, china. is it a fake china? my family is only 100 kilometers away from mianyang? where is the place where the time is quiet? our rural areas are definitely not like this, absolutely",难以想象这是在中国绵阳，难道我呆的是假中国吗？我家离绵阳也就百公里而已啊？如此岁月静好的地方到底会是在何处呢？我们的农村绝对不是这个样子，绝对
22103,UgyQKd332qwT5YLzL9p4AaABAg,1,family warmth,家庭温暖
25366,UgwRz6BM4pGy6fstYnV4AaABAg.9-Qvi_qVYSB90X0UQPfmDA,1,"i love my room but i wish everytime i stepped out of it instead of cars,nosy people and traffic it was this peaceful country life with nature and animals and my family only the supportive ones",我爱我的房间，但我希望每当我走出它时，而不是汽车，管辖人和交通，这就是这种宁静的乡村生活，自然与动物，我的家人只有支持者
49425,Ugx1n3L04FEaXokcE1V4AaABAg,1,"i wish there could be more english translations...she made all these treats for ...i'm guessing new year? but who are they all for ...friends, family??? i just love all these video's they are so beautiful and beautifully filmed...",我希望可以有更多的英文翻译...她为新年做了所有这些零食吗？但是他们都是谁...朋友，家人？？？我只是喜欢所有这些视频，它们是如此美丽，拍摄精美...
50600,UgwQQrzcufere3JJXaF4AaABAg,1,"this is one way to wake up in the morning and start a new day. great video and the work you had to do to produce this is awesome. 
may this new year be better than the last for you and your family.","这是早晨醒来并开始新的一天的一种方法。精彩的视频和您必须做的工作很棒。
愿新的一年比您和您的家人要好。"
49917,UgxcdnWkTKC3eTX3IqB4AaABAg,1,happy new year! healthy and longevity gives you and your family.,新年快乐！ 健康长寿给你和你的家人。
24148,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92S7WHr62mE,1,"irritable little pink diss, rather than patriotism, do nโ€t say that people who are patriotic are small pink. i said that you will be happy if your traitors walk away from dogs? people and people do nโ€t understand basic respect. do you still want others to listen to you? there should also be patriotism that should not be scolded. if you have a country, you should not use chinese characters if you don't like your country. don't live in this land. if you have the ability, you can leave china in the whole family, learn more english, remove chinese characters, and be your slave sex.",暴躁小粉红diss 宁不爱国就不要说人家爱国的人是小粉红，我说你汉奸走狗你会开心吗？人和人基本尊重都不懂，你还想别人听你的话？还有爱国不应该被骂，有国才有家，你要是不喜欢你的国家就不要用中国字，不要在这片土地生活。有本事你就全家移民离开中国，多学英语，把中文字去掉，做你的奴性爱外国就可以了。
26751,UgxyRk0FFM99h3RTUPJ4AaABAg,1,this is just so amazing goodness i donโ€t think my family even knows the true meaning of hard work and we work everyday then also work our farm. this girl never stops she does back breaking work like all freaking day it amazes me,这真是太神奇了，我认为我的家人甚至都不知道辛勤工作的真正含义，我们每天都在工作。这个女孩永远不会停止，她像所有怪异的日子一样向后摔断工作，这让我惊讶
33956,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49BATMwSZCTC,1,"@adarshpp9165 - hi, my parents moved from california to washington state to give my siblings and i a better future. i loved working on our family farm and at the age of 12 my parents gave me an acre of strawberries to work and all the money from it was mine.
i know that farming life is a good life, but as an adult planning om having children, i knew that life in america was centered around education and i didn't want my children missing out on a good education because i liked farming. so deep down i know that is how only my life should be in order to absolutely happy. my youngest child started his adult life about a year and a half ago. watching the video reminded me of my very happy childhood and how much i missed it.","@adarshpp9165-嗨，我的父母从加利福尼亚搬到华盛顿州，给我的兄弟姐妹和我的未来更美好。我喜欢在我们的家庭农场工作，在12岁那年，我的父母给了我一英亩的草莓工作，所有的钱都是我的。
我知道耕种生活是美好的生活，但是作为一个成人计划，有孩子，我知道美国的生活围绕教育为中心，我不希望我的孩子错过良好的教育，因为我喜欢耕种。深入了解，我知道那是我的生活才能绝对幸福的方式。我最小的孩子大约一年半前就开始了他的成年生活。观看视频使我想起了我非常快乐的童年以及我错过了多少。"
45450,UgwC3REY8LJIdL0t-yx4AaABAg,1,i went out of #digimon my childhood. i never thought i heard that melody here in this beautiful video. how is asian culture among many ingredients and as always the warm family love excellent video,我童年时代就离开了#digimon。我从没想过我在这个美丽的视频中听说过旋律。亚洲文化在许多成分中如何以及温暖的家庭喜欢出色的视频
47655,Ugxk_1x4OmYGFKBG8ZZ4AaABAg,1,i would love to know how to read your name. love watching your videos with my young girls. teach them indirectly girls can do everything like you do. we are a korean family living in australia.,我很想知道如何阅读您的名字。喜欢和我的年轻女孩一起观看您的视频。间接地教他们的女孩可以像您一样做所有事情。我们是居住在澳大利亚的韩国家庭。
31927,UgwkNB79kD87gl2qFrh4AaABAg,1,this woman and her family are a goddamn national treasur. never change,这个女人和她的家人是一个该死的国家财政部。从不改变
33807,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y0ld3t1kgX,1,"@ingestrauss3826 that's very true.. but if not for some of the hardships that have been created from development.. we wouldn't have the immense pleasure of watching and being inspired by this lovely family on an electronic device.. so , there is that.",@ingestrauss3826是真的。但是，如果不是因为开发产生的一些困难。.我们不会在电子设备上观看和受到这个可爱的家庭的启发。那。
33669,Ugy503effzet3gJqB5V4AaABAg,1,what family can you marry you home? intersection,要什么家庭才可以娶你回家？！
33122,UgzM9UAodd8uconTXUR4AaABAg,1,i simply love these vids. they show an appreciation of food and family that we lost a long time ago. i would like more subtitles so i dont have to guess what i'm seeing. i love it,我只是喜欢这些视频。他们对我们很久以前失去的食物和家庭表示赞赏。我想要更多的字幕，所以我不必猜测自己看到的东西。我喜欢它
32984,UgxxOUkIOi6ps9xpIfB4AaABAg,1,"i wanna introduce some background of ziqi for people to know better about her. she was born in sichuan province in china. she actually suffered a lot of difficulties while she was a child, her father died early and her mother left her, she was raised up by her grandma. since her family was pretty poor, she dropped off from school since she can't afford the money. she went to cities and did a lot of hard jobs but when her grandma's health went bad, she quit the jobs and decided to move back to the village her grandma. she started to do self-online business to make money but it was not successful at first, but while chinese short-video industry developing, she started to make the first chinese ancient food cuisine and that video attracted a lot of people to watch. while she got more successful, it appeared a lot of against voices online, they assumed she used different people to act and she had a huge team to edit these videos. the worst thing is that some people even set up cameras in her house to see the shooting process whether it is fake or not.


under so many pressure, she had to move with her grandma to a much more remote place so that people can not find them. she suffered so many difficulties and finally achieved success but she still continues living and surviving, try to express the most beautiful scenery for us to watch. i really wanna appreciate all the hard work you did and every updated video represents an increasing quality. 


don't get injured, take care of yourself, you already did good enough, your videos motivated so many people all around the world, you overcome the language barrier and show the world the best of your life and china. as a chinese person, i really wanna say thank you.","我想介绍Ziqi的一些背景，让人们对她的了解得更好。她出生于中国四川省。实际上，她小时候遇到了很多困难，父亲早就死了，母亲离开了她，她的祖母长大了。由于她的家人非常贫穷，因此由于她负担不起钱，因此她离开了学校。她去了城市，做了很多艰苦的工作，但是当奶奶的健康状况不佳时，她辞去了工作，决定搬回祖母的村庄。她开始从事自我键盘的业务来赚钱，但起初这并没有成功，但是当中国短视频行业发展时，她开始制作第一家中国古老的食品美食，该视频吸引了很多人值得关注。尽管她取得了更大的成功，但似乎在网上反对声音，但他们认为她用不同的人表演，并且有一支庞大的团队来编辑这些视频。最糟糕的是，有些人甚至在她的房子里设置了相机，以查看射击过程是否是假的。


在这么多的压力下，她不得不和祖母一起搬到一个更偏远的地方，以便人们找不到它们。她遇到了很多困难，并最终取得了成功，但她仍然继续生活和生存，试图表达我们最美丽的风景。我真的很想欣赏您所做的所有辛勤工作，每个更新的视频都代表着质量的提高。


不要受伤，照顾好自己，您已经做得足够好了，您的视频激发了世界各地的许多人，您克服了语言障碍，并向世界展示了您的生活和中国。作为一个中国人，我真的想说谢谢。"
32817,UgxdTWXq3OBazhmVI9J4AaABAg,1,"all the supplications in the qurโ€an are also salary according to the arrangement of the honorable press. make it ongoing charity*

1- our lord accepts us that you are the hearing of the knowledge, and we have the right to the mercy.

2- our lord came to us in the world, and in the other, we are good, and we were tormented by the fire.

3- our lord, we have been patient, and we have proven to us and supported us on the infidels.

4- our lord, do not take us if we forget or sin, our lord, and do not carry us as an insignificant as you carried it over those before us.

5- our lord, and do not carry what we have no energy, and forgive us, and we forgive us, and may you be our money, and we will be pleased with the infidels.

6- our lord, we do not have our hearts after our gossip, and we are gave to us, with the mercy of you, you are the ghosts.

7- our lord, you are the people of the people for a day that there is no doubt that god does not leave the good.

8- our lord, we believed, so we forgive us, our sins, and we are the torment of the light.

9- rabbi, i have a good atmosphere, you will hear the supplication.

10- our lord, we believed in what i went down and followed the messenger, so we wrote with the two testimonies.

11- our lord forgive us, our sins, and our secrets in our matter, and we have proven our feet and supported us on the infidels.

12- our lord, as long as you created this, we have lost the torment of the fire.

13- our lord, you are the one who entered the fire, as you have been treacherous, and for those who are supporters.

14- our lord, that we have heard a call that calls for the days that they believe in your lord, our lord, our lord, forgive us, our sins, and disbelieve us, our misfortunes, and we will fulfill the righteous.

15- our lord has come to us and our promises to your messenger and do not store the day of the resurrection. you do not leave the customer.

16- our lord was brought out of this free village.

17- our lord, our souls, we have not forgiven us, and we have mercy on us.

18- our lord opens between us and our people in truth and you are the best of the sides

19- our lord, we have been patient, and we have fulfilled muslims.

20- our lord does not make us a fatwa for the people of the people, and we escaped from the infidels.

21- rabbi, i will seek you to ask you for what i do not have knowledge, and only forgive me, and may god bless me.

22- rabbi, you are the first of me in the world, and the other one will give me a muslim and my injecting is good.

23- our lord, you know what we hide, and what we declare, and what is hidden from god in the land, or in the heavens.

24- rabbi make me the place of prayer and from my atom, our lord, and accept a supplication, our lord, forgive me and the parent

25- rabbi enter me with a honesty, and i will be shocked by a shock, and make me from you.

26- our lord came to you from your soul, and we have a gift from us.

27- rabbi explain to me my chest, and i am pleased with my matter, and i will analyze a contract from sani who understand my saying, lord of my knowledge.

28- there is only god, but you are your grace that i was one of the oppressors.

29- rabbi, do not infer me, and you are the best of the two.

30- i am the harmful one and you are the most merciful.

31- the lord of mubbar, you are the best of the home.

32- rabbi, i will see you from the thunderbolts, and i will seek your lord to attend.

33- our lord, our safe, forgive us, and may you be merciful.

34- our lord, we have been tormented by the torment of its torture, that it was overwhelmed, as it was stable and stable.

35- our lord, we gave us from our grooves and our warnings, and we made us to the righteous in front.

2- others and make me from the heirs of the inauguration of the soul, and do not store me a day they send a day that does not benefit the money, and if only the one who will come to god with a sound heart.

37- lord of najji and my family from what they are doing.

38- rabbi, give me to thank you, which i have been blessed with my parents, and that i work as good as you satisfy it, and enter me with your mercy in your good worship.

39- lord, i wronged myself, forgive me, lord, i will support me, the people.

40- our lord expanded everything, and when he was forgiven to those who repented, they followed your way and their torture of hell

41- our lord and entered them with the ages of the one who are their promises and who reconciled their fathers and their grooves and their warning his merciful, and this is the greatest.

42- our lord revealed the torment that i am believers.

43.

44- our lord forgive us and our brothers who preceded us with faith and do not make in our hearts to the one who are in.

45- our lord, you see a mercy, may god bless you, and you, our prophet, and you, the destiny, our lord does not make us a girl to those who disbelieved, and forgive us, our lord, you are the dear, the government.

46- our lord, we are blessed with us, and we forgive us, that you are very rare.

47- rabbi, do not be at the ground from the infidels, you will be attempted to mislead your worship, and they will only be born with disbelief.

48- the lord of my father, and whoever enters our believer and the believers and the believers and does not increase the oppressors except to be confused.

the one who will know the supplications is because of you, ""you will be surprised, god willing, on the day of the mountains of good deeds ... and the world in the waterfall of the values โ€โ€that are fulfilled ... god willing.
.
and call on god, god bless you","《古兰经》中的所有恳求也根据荣誉新闻的安排而薪水。使其持续慈善机构*

1-我们的主接受您是您的知识听证会，我们有权享有怜悯。

2-我们的主来到世界上，另一方面，我们很好，我们被大火折磨。

3-我们的主，我们一直耐心，我们已经证明了我们并支持我们的异教徒。

4-我们的主，如果我们忘记或犯罪，我们的主，不要带我们去，不要像您将其携带到我们面前的那些人一样无关紧要。

5-我们的主，不要携带我们没有精力的东西，原谅我们，我们原谅我们，也许您是我们的钱，我们会对异教徒感到满意。

6-我们的主，我们在八卦之后没有我们的心，而我们被您的怜悯赐给了我们，您就是鬼魂。

7-我们的主，你是人民的人民，毫无疑问，上帝不会留下善。

8-我们的主，我们相信，所以我们原谅了我们，我们的罪，我们是光的折磨。

9-拉比，我的气氛很好，您会听到恳求。

10-我们的主，我们相信我走了下来并跟随Messenger，所以我们写了两个证词。

11-我们的主原谅我们，我们的罪过和我们的秘密，我们证明了我们的脚，并在异教徒身上支持我们。

12-我们的主，只要您创造了这一点，我们就失去了火灾的折磨。

13-我们的主，您是您一直在危险的人，也是那些是支持者的人。

14-我们的主，我们听到了一个呼吁，呼吁他们相信您的主，我们的主，我们的主，原谅我们，我们的罪过，不相信我们，我们的不幸，我们将实现义人。

15-我们的主来找我们和我们的信使的承诺，不存储复活的日子。您不会离开客户。

16-我们的主被带出这个自由的村庄。

17-我们的主，我们的灵魂，我们没有原谅我们，我们对我们有怜悯。

18-我们的主在我们和我们的人民之间以真理开放，而您是最好的一方

19-我们的主，我们已经耐心了，我们已经实现了穆斯林。

20-我们的主不会使我们成为人民的胖子，我们从异教徒逃脱了。

21-拉比，我会寻求您向您询问我没有知识，只原谅我，愿上帝保佑我。

22-拉比，你是我第一个世界上的第一个，另一个人会给我一个穆斯林，我的注射很好。

23-我们的主，你知道我们隐藏了什么，我们宣告了什么，以及在土地上或天堂中隐藏的是什么。

24-拉比使我成为祈祷的地方，并从我的原子，我们的主那里接受恳求，我们的主，原谅我和父母

25-拉比诚实地进入我，我会震惊的是，让我感到震惊。

26-我们的主从你的灵魂来到你身边，我们得到了我们的礼物。

27-拉比向我解释了我的胸部，我对我的事情感到满意，我将分析萨尼的合同，他理解我的意思，我的知识。

28-只有上帝，但是你是你的恩典，我是压迫者之一。

29-拉比，不要推断我，你是两者中最好的。

30-我是有害的人，你是最仁慈的。

31-穆巴尔之王，你是家中最好的。

32-拉比，我会从雷电上见到你，我会寻求你的主参加。

33-我们的主，我们的安全，原谅我们，愿你仁慈。

34-我们的主，我们因其酷刑的折磨而遭受了折磨，因为它是稳定且稳定的，因为它不知所措。

35-我们的主，我们从凹槽和警告中给了我们，我们把我们带到了前面的义人。

2-其他人，让我从灵魂就职典礼的继承人中学到我，不要将我存放一天，他们寄来的一天，这不会使金钱受益，如果只有那些愿意以声音的心来到上帝的人。

37-纳吉勋爵和我的家人从他们的工作中。

38-拉比，请感谢我，我对父母很幸运，我的工作和您满意的一样好，并在您的良好崇拜中怜悯我。

39-主，我委屈自己，原谅我，主，我会支持我，人民。

40-我们的主扩大了一切，当他被宽恕的人宽恕那些悔改的人时，他们跟随你的路和对地狱的折磨

41-我们的主与他们的年龄成为他们的诺言，和解父亲，凹槽和警告他仁慈的人的年龄，这是最伟大的。

42-我们的主透露了我信徒的折磨。

43。

44-我们的主原谅了我们和我们的兄弟，他们以信仰为先于我们的兄弟，并不是在我们的心中向所在的人做。

45-我们的主，你看到怜悯，愿上帝保佑你，你，我们，我们的先知，你，命运，我们的主不让我们成为那些不相信的人，原谅我们，我们的主，你是亲爱的，政府。

46-我们的主，我们很幸运，我们原谅您，您非常罕见。

47-拉比，不要从异教徒那里站在地面上，您将试图误导您的崇拜，而它们只会出生于怀疑。

48-我父亲的主，以及谁进入我们的信徒，信徒和信徒，除了感到困惑之外，没有增加压迫者。

一个会知道恳求的人是因为你，“在善行的山上，你会感到惊讶，上帝愿意……以及所实现的价值观的瀑布中的世界...天意。
。
并呼唤上帝，上帝保佑你"
32647,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U9UWI8qdgKzC,1,"i never see her give some food to the dogs. always pushing them away. i feel terrible for those puppies. some of the food we eat are ok for dogsโ€ฆplusโ€ฆwith all that cookingโ€ฆ.i find it easy to just make a little something on the side for the dogs to eat. i do it everydayโ€ฆ i cook for my family and i cook something safe for my dogs. there is nothing more sad than to see humans enjoying food and innocent, hungry, begging dogs just watching the humans eating in delight. so sad. i seriously donโ€t understand how some people can do that. in my homeโ€ฆwhen we eat our dogs eat. we all eat together.",我从未见过她给狗的食物。总是把它们推开。我对那些小狗感到很糟糕。我们吃的一些食物适合狗……再加上所有的烹饪……。我每天都这样做……我为家人做饭，并为狗做安全的东西。没有什么比看到人类享受食物和无辜，饥饿，乞求狗的狗只是看着人类的饮食而感到难过的。好难过。我真的不明白有些人如何做到这一点。在我家里……当我们吃狗时。我们都一起吃饭。
36948,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8zTxGXH8vWA,1,"i feel jealous. i am convinced that the majority of human beings should live this way. then we wouldn't be fat, filled with sickness, loneliness and western malaise. i see she has more family than her grandmother and that gives me some relief. i thought she just has grandma and the cameraman in her life.",我嫉妒。我坚信，大多数人应该以这种方式生活。然后，我们不会胖，充满疾病，孤独和西方不适。我看到她的家庭比祖母更多，这给了我一些解脱。我以为她一生中只是奶奶和摄影师。
37450,Ugzv1Myw1uIoyeXuKPx4AaABAg,1,back in the day these were the types of women emperors of china and asian countries would try to find and marry into the family.,过去，这些是中国和亚洲国家的女皇的类型，将试图找到并嫁给家庭。
31995,UgyWuuii7dDdzgHgKzN4AaABAg,1,i wish my family also had such a garden,我希望我的家人也有这样的花园
31880,Ugy8Qtz4xSKoJvcLr0h4AaABAg,1,that oven was a shiba inu. this girl's family are a bunch of geniuses oh my god.,那个烤箱是志愿品。这个女孩的家人是一群天才，天哪。
28389,UgwAmh9mwbsNn2MrK6F4AaABAg.8y_gWQmCqaX9H5QdepekWT,1,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
37648,UgwSgWaAYnwe7pCpAMl4AaABAg.8tujY8ij7_M8tvl3tPRFld,1,"most of the food she made (beef jerky, roasted sunflower seeds, peanuts, candies, dry egg rolls) can be stored for a long time. all those food are the family's snacks for a year to come and it's called ๅนด่ดง in chinese. hope that answers your question!",她制作的大多数食物（牛肉干，烤葵花籽，花生，糖果，干鸡蛋卷）都可以储存很长时间。所有这些食物都是一年来的一年的小吃，在中文中称为年年。希望这能回答你的问题！
40680,Ugybb3HB2kYY9Y-Npot4AaABAg,1,"i know a good family you can marry into...
great video keep it up...","我知道一个好家庭，你可以结婚...
很棒的视频继续..."
30896,Ugz7yzyMwI-bvSBkjP94AaABAg,1,"smart in making foods for family, thanks for share.",聪明地为家庭制作食物，感谢分享。
42009,UgzdQyLeA0gj7Pd4SQZ4AaABAg,1,"in addition to food and oriental aesthetics, ziyi's video also has a strong chinese family! big love!",子柒的视频除了美食和东方美学 还有浓浓的中国亲情！大爱！
44623,UgxH0rSuTqxdWpplwk14AaABAg,1,"so awesome, wish we could all live like this....at least me and my family.",太棒了，希望我们所有人都能这样生活。...至少我和我的家人。
29371,UgyRLDiJEYrn7CHsoJF4AaABAg,1,"and then in this house in this family only who works is this girl? the others is all idle? do nothing? beautiful but it will be too old. seu beautiful maozinhas a certain age start getting tired vao hurts. your beautiful face is the heat of the fire of the stove or something else to make the food, you'll get older quickly. cade the other people who do not appear to do things with her.",然后在这个家庭的这所房子里，只有这个女孩是这个女孩？其他人都是闲置的？没做什么？美丽，但它太老了。 SEU美丽的Maozinhas一个年龄开始变得疲倦的VAO受伤。您美丽的脸是火炉的火或其他东西来制作食物的热量，您会很快变老。挑战其他似乎没有和她做事的人。
21047,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9H5Qfz9TsOK,1,support this humble family have talent! https://www.youtube.com/watch?v=e19lg2cwmts&t=484s greetings from peru,支持这个谦虚的家庭有才华！ https://www.youtube.com/watch?v=e19lg2cwmts&t=484s问候
28707,UgxNXHrw8hPl2WvGNvt4AaABAg,1,food tastes more good with family. people who are working in different countries far from their home know the value of a single meal eaten with family.,食物的味道更加美好。在远离家园的不同国家工作的人知道与家人一起吃的一顿饭的价值。
45764,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r702GDSpLV,1,"this is the most family family society poem that perfectly illustrates what chinese are inspired for life (there are ton of them). if you undertong this poem you units why ziqi's video looks the way it looks. the poet lifed design 365-427ad, and let me remind you agan, that is before carl marx was born.
planting dounan mountain, cao sheng dou seedlings are sparse.
chenxing was deserted and returned with yuehe.
the road is narrow, and xilu is covered with my clothes.
the clothes are not hesitant, and there is no violation of the wishes.

the knot is in the people's realm without the noise.
ask jun he nenger? the heart is far away.
under the east fence of cai ju, see nanshan leisurely.
the mountains and winds are good, and the birds are paid back.
there is a true meaning, and you have forgotten the words.","This is the most famous Chinese poem that perfectly illustrates what Chinese are inspired for life ( there are ton of them). If you understand this poem you understand why Ziqi’s video looks the way it looks. The poet lived around 365-427AD , and let me remind you again, that is before Carl Marx was born. 
种豆南山下，草盛豆苗稀。
晨兴理荒秽，带月荷锄归。
道狭草木长，夕露沾我衣。
衣沾不足惜，但使愿无违。

结庐在人境，而无车马喧。
问君何能尔？心远地自偏。
采菊东篱下，悠然见南山。
山气日夕佳，飞鸟相与还。
此中有真意，欲辨已忘言。"
530,UgzDqjHWn_CIzWxsFCx4AaABAg,1,"hello, our name is cathy and thelma, we are in french middle school.
li ziyi, we love you, we think you are very interesting. you do everything, so you are very inspiring to young people. you divide your experience with his family. more, the dishes you make and your video are very beautiful!","您好，我们叫CATHY 和 THELMA，我们是法国中学上。
李子柒，我们爱你，我们觉得你很有意思。你什么都会做，所以你对年轻人很有启发。你跟他家分项你的经验。更，你做的菜和你的视频很好看!"
52970,UgxmIR5buVHcjEeFB_B4AaABAg.8qlJU1gyc6t8qlRqQIFZzS,1,"@lamarocaine249 
it's pomelo.....i think is orange family but not very sweet.....","@lamarocaine249
是pomelo .....我认为是橙色的家庭，但不是很甜蜜....."
11549,UgxmpATRadQUSXbkt_B4AaABAg,1,"wow! super woman... so efficient... she and her family will never go ๐ hungry!
does she ever stop๐ค”. i get tired just watching her preparing and prepping food 
all day long๐…. the food always looks so delicious and professionally prepared. 
thankyou for inviting us into your living space๐๐ป","哇！超级女人...如此高效...她和她的家人永远不会饿！
她曾经停下来吗？我只是看着她准备和准备食物就很累
一整天。食物总是看起来很美味和专业准备。
谢谢您邀请我们进入您的生活空间"
2833,UgwpOC_PbiZm7JmJEu14AaABAg,1,much respect to a person who knows the meaning of life is in the family and friends in your life not money not gold or silver but love,非常尊重一个知道生命意义的人在您一生中的家人和朋友而不是金钱或银色，而是爱
6595,UgzTlQfqEGyINDBLCxF4AaABAg,1,the blessings of god to muhammad and his family,上帝对穆罕默德和他的家人的祝福
16727,UgxKTlCAdOs4VwXmy414AaABAg.98ULgDRBjBw98_pGcyqkS1,1,my family is rich,我的家人很富有
