,cid,votes,time,含simple,含simple中文翻译
32158,UgzbsaPnYmc0Xs04G-d4AaABAg,1,4 years ago,it's actually not a simple but an abundant life she has.,实际上，这不是一个简单的生活，而是她拥有丰富的生活。
32615,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wHDYQZ5tXR,1,3 years ago,simple? oh no no no no,简单的？哦，不，不，不
10569,Ugxw6PFRMfWnNhAzGmh4AaABAg,1,2 years ago,"why are looking for the perfect thing if the simple one can make us happy by fnt fams channel ""beauty of bromo mountain of east java"" history of the sea of โ€โ€mount bromo sand, help like, share and subscribe yes friends, greetings fnt fams kapuas central borneo, thank you have stopped by our channel itself

https://youtu.be/3hxoozic3w4","如果简单的人可以通过FNT FAMS频道“ East Java的Beauty Of Bromo Mountain”的历史，为什么要寻找完美的事情Fams Kapuas Central Borneo，谢谢您在我们的频道本身停下来

https://youtu.be/3hxoozic3w4"
40334,UgzTNOeophkJCvY0Clp4AaABAg,1,4 years ago,what beautiful simple life far away from technoligie what beautiful chinese woman in this beautiful nature omg i want chinese wife,远离技术的美丽的简单生活，在这个美丽的大自然中，什么美丽的中国女人我想要中国妻子
16603,Ugw0HKfZE_TUwN1DZE54AaABAg,1,3 years ago,"this is the life i dream of.. simple and fulfilling.. close to nature, calm, and silent.. i love the feeling of living like this.. i wanna be simple and content like her too",这是我梦dream以求的生活..简单而充实..接近自然，镇定和沉默..我喜欢这样的生活的感觉。.我也想像她一样简单而满足
30378,UgzuUz5RV3IZExdig2R4AaABAg,1,3 years ago,love her videos so simple and pure,爱她的视频是如此简单和纯净
22755,Ugx90JyzIGG7a2FFMT54AaABAg,1,3 years ago,"i used to be in my heart,
there is a home,
it is quiet, peaceful, simple and beautiful.
but then i lost it,
trave all thousands of mountains and rivers,
i failed to find it.","曾经在我心中， 
有一个家园， 
它宁静、祥和、简单而美丽。 
但后来我失去了它， 
走遍千山万水， 
也未能找回它。"
22751,UgxowXfSqLbJltbNRo54AaABAg,1,3 years ago,simple from luxury,由奢入简难
13813,UgxzeEJVXRlZ5nk0MhF4AaABAg,1,2 years ago,simple life and high quality life at the same time,简单的生活和高质量的生活同时
39731,Ugz7jZTGvnlkB_rhPq94AaABAg.8slSxGTrJb38sr4ZFLl_ny,1,4 years ago,"well, this is the project, the same commercial. smart people do. this is not a way of life now. everything is staged. but with such respect for the traditions, skills of ancestors and nature. well done and they themselves earn money and people are the pleasure of only every minute of viewing. well, you carefully look at every frame, everything is thought out both a bouquet and dogs and cleanliness from snow -white napkins for a simple stove ... but do not tear the eye .... charm. these are specially re -tinkers. i am also delighted with their work.",好吧，这是一个项目，同一广告。聪明的人做。这不是现在的生活方式。一切都上演了。但是，尊重祖先和自然的传统，技能。做得好，他们自己赚钱，人们只是每分钟观看的乐趣。好吧，您仔细查看每个框架，一切都被认为是一束花束和狗，以及雪 - 白色餐巾纸的清洁度，用于简单的炉子...但是不要撕开眼睛....魅力。这些是特别的调整器。我也对他们的工作感到高兴。
37059,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8vMns7LHrx4,1,4 years ago (edited),this is suppose to show the simple and beautiful also hardworking lifestyle of a village life,这应该表明乡村生活的简单而美丽的生活方式
32157,Ugyn4XfV3Ri63UBB6ZV4AaABAg,1,4 years ago,it's actually not a simple but an abundant life she has.,实际上，这不是一个简单的生活，而是她拥有丰富的生活。
30404,UgwrEczPUZBqxaW3nJt4AaABAg,1,3 years ago,"this is the ideal wife in history ๐๐๐๏ธโค๏ธโค๏ธrajin, beautiful, good at cooking, neat, simple, ๐๐๐๐ ike, husband can be obese",这是历史上理想的妻子
30654,Ugz3Ma6RURMjefnDXoF4AaABAg,1,3 years ago,so simple...so serene....๐๐๐,如此简单...如此宁静....
37511,Ugy-Cll7nOHP9j65Ult4AaABAg,1,4 years ago,"i am so good scared by the video... when i saw it in recommendations, i was just expecting some of those clichรฉ things made for european youngers (haha), but in fact it is simple, and even holding this nostalgic feeling of do the things in a traditional way, it is still looking like something that we, me, could do once. it's inspirational because everything seems to be done in the correct time, the way she broke the wood stick, the candies package...",我对视频感到非常害怕...当我在建议中看到它时，我只是期待一些陈词滥调的东西是为欧洲少年制造的（哈哈），但实际上很简单，甚至保持这种怀旧的感觉以传统方式的事情，它仍然看起来像我们一次可以做的事情。这是鼓舞人心的，因为一切似乎都在正确的时间完成，就像她打破木棍的方式，糖果包装...
2917,UgzjvxsO6aBtTuxodO14AaABAg,1,1 year ago,"simple dishes, simple but beautiful life",简单的菜肴，简单但美丽的生活
29659,UgzUWDXs4DJQzvFZYjJ4AaABAg,1,3 years ago,"this is what simple life is all about, stressless and cancerless...",这就是简单生活的全部内容，无压力和无癌...
12681,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EUFbVAzpZC,1,2 years ago,@cutecat3087 its governmet is kinda....how do i put it in simple words? like....nazi germany mixed with stalin's soviet union,@cutecat3087它的指控是有点....我如何用简单的话插入它？喜欢....纳粹德国与斯大林的苏联混合
48256,UgzDnKAIY__yD4Ep_sB4AaABAg.8qnGJkEFGhq8qoG7_nLDl7,1,4 years ago,circle crop turned out to be so simple. i used to think that the above layer was maltose?,Circle Crop 原来冰糖葫芦这么简单。 我以前还以为上面那一层是麦芽糖呢
28945,UgwBVfqxOlRK4Uuhbv54AaABAg.8yCcI5xgJ078yp4FCme7nv,1,3 years ago,i reckon it's just... everything is too beautiful and simple,我认为这只是...一切都太漂亮和简单了
11626,UgxEu0gqHx1TRv-cjqR4AaABAg.9EMsibQM4aZ9EPm2xY7Fxx,1,2 years ago,"i wouldnt call this life simple, its a lot of work to live like that too...there goes a lot of work and time into a life like that...",我不会简单地称这种生活，这也是如此的工作……在这样的生活中很多工作和时间...
28441,UgwqQHTiRvnC-FE8eJJ4AaABAg,1,3 years ago,"such a calm, amazing simple and happy life of her",她如此平静，惊人的简单和幸福的生活
11618,UgwjHNmOAxKCrVLvz-R4AaABAg,1,2 years ago,"some kind of sorceress right ... of simple things, miracles are obtained ... beauty",某种巫术是正确的...简单的东西，获得了奇迹...美丽
31696,UgyyRNzZRPJtr12frSZ4AaABAg,1,4 years ago,"i always wondered how street vendors in china made candied fruits, it's a lot simpler than i thought",我一直想知道中国的街头小贩是如何制作蜜饯的，这比我想象的要简单得多
31700,Ugz2pwkBICXdTbZHa2x4AaABAg,1,4 years ago,"this always reminds me of studio ghibli in a lot of ways. the simple life, the calming music, the day to day interactions with people. this is how i imagine ghibli movies to be like after the โ€movieโ€ part. happily ever after.",这总是让我在很多方面让我想起吉卜力工作室。简单的生活，平静的音乐，与人的日常互动。这就是我想象吉卜力电影之后的电影。从此以后快乐地生活着。
8087,Ugykmd54_jyV8lACcQd4AaABAg,1,2 years ago,"hi lizigi ,love your chanel and everything you do .so simple but very good,very talent and delicate love it",嗨，利兹吉，爱你的香奈儿和你所做的一切。这么简单，但非常好，才华横溢和精致的爱
31950,UgzjOnHOgfjboRurIIl4AaABAg,1,4 years ago,"gave me peace and tranquility, simple and beautiful!๐ป๐ป",给了我和平与安宁，简单而美丽！
32044,Ugypj7RPWtt2ITzMR-x4AaABAg,1,4 years ago,i want this kind of life simple and contented๐–ค๐ป,我希望这种生活简单而满足
32045,UgwNE1MCgF8UfZ5gHXd4AaABAg,1,4 years ago (edited),"i think this is the kind of life that everyone yearns for deep down.

its so simple, but u would feel a great sense of acomplishment after the days done, ur surrounded by ppl who are present and engaged, ud be going on adventures everyday and ur waking with the sun and sleeping with the stars, as it should be.

not to mention how healthy this all is, physically and mentally.

gosh what a peaceful way of living. obviously it would get tyring at times, but man would it be worth it.","我认为这是每个人都渴望深处的生活。

它是如此的简单，但是您会在完成的日子后感觉到一种很大的兴趣感，被PPL包围着，他们每天都在冒险，并与阳光醒来并与星星一起睡觉，因为应该是。

更不用说这一切在身体和精神上有多健康。

天哪，这是一种和平的生活方式。显然，这有时会变得更加倾向，但是人是值得的。"
32699,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF092QKL44pChA,1,3 years ago,"yeah... 200% of chinese propaganda! just look how wonderful, beatiful, natural and real the simple life of chinese traditional values is.
kill me right now!","是的...中国宣传中有200％！只要看看中国传统价值观的简单生活是多么美妙，美丽，自然和真实。
立即杀了我！"
7403,UgwN_TXfoISYpNTTojl4AaABAg,1,2 years ago,"this was the very first video i stumbled upon accidentally while watching noughat recipes. ever since then, i've watched all her videos and am always updated when she drops a new one. i got my family hooked on her aesthetically pleasing and classic jrpg-esque way of living. it's been two years now, approximately, that i've been watching her videos. love her whole vibe. i hope to live like her one day. simple living but still a daily grind that i wouldn't mind doing until i die. very fantastical.",这是我在观看Noughat食谱时偶然偶然发现的第一个视频。从那时起，我看了她所有的视频，当她放下新视频时，我总是会更新。我让家人迷上了她的美学愉悦和经典的JRPG风格的生活方式。大约已经两年了，我一直在观看她的视频。爱她的整个氛围。我希望有一天能像她一样生活。简单的生活，但仍然是每天的磨碎，直到我死后，我才介意这样做。非常梦幻。
30371,Ugxyu-aUsqdI8Q8mj6J4AaABAg,1,3 years ago (edited),"beauty with grace and smartness
simple life style . everything from nature .it's soo beautiful
everything it's like programmed
but nicely done๐‘","恩典和聪明的美丽
简单的生活方式。大自然的一切。
一切都像编程
但是做得很好"
21385,UgyfDnaFSANVHTSeeRx4AaABAg,1,3 years ago,what a beautiful life.. i really love this video so inspiring..i want to live a place like that where everything u need to have a simple yet contented life is there....,多么美好的生活..我真的很喜欢这个视频。
19910,Ugzsu3HjsJdDh4OmlKh4AaABAg,1,3 years ago,"simple and simple and happy, isn't this something that everyone is expected and can not reach.",简单纯朴幸福，这不是每个忙碌的人所期望而又不可及的事情吗。
33907,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd496aFL-D9L6H,1,3 years ago,"@ingestrauss3826 ngl, i'd love to have a life that she's experiencing. people in this day and age in america for example; we're told that as long as we work hard in life then we can be successful. that's not true at all. these days, even if you work hard toward something, you still have tests or requirements you have to have for a certain job you may want, maybe you have to be a certain age, etc. what honestly defines how successful you're in america now is based on how smart you're. if you're smart and get a good education which is sometimes hard even for people who are actually smart, then you will more than likely get a good high paying job and be set in life. if you're not that smart, struggle with a physical or mental disability, or you're smart, but something in life is setting you back to fail in life, then you're basically fucked. what i can at least tell from our life in the us, you're entire life depends on 2 pieces of paper.... your high school diploma and then a college degree. if you have both of those papers in life then you're set, if you only have one, you might be able to get a job, but it will be hard. if you have neither, then have fun working at mcdonalds for your entire life. the life that this chick has though, is honest hard work. it's not work that requires you to be something you're not or whatever. she's living a nice hard working life. it's simple sometimes, satisfying, honest, maybe it's a struggle sometimes, but it's not a pain to where you want to have a mental breakdown or it's gonna make you fail in life. her life is what i think everyone wishes they can have. that's why her vids are addicting to at least me since i long for a life like that.",@Ingestrauss3826 NGL，我很想拥有她正在经历的生活。例如，在美国这个时代的人们；我们被告知，只要我们在生活中努力工作，我们就可以成功。完全不是真的。如今，即使您努力努力工作，您仍然需要您想要的一定工作，也许您必须要年龄在一定年龄等。现在是基于您的聪明程度。如果您聪明并接受良好的教育，即使对于那些真正聪明的人来说，有时甚至很难，那么您很可能会获得一份高薪工作并在生活中得到一份良好的工作。如果您不那么聪明，与身体或精神残疾斗争，或者您聪明，但是生活中的某些东西使您重新失败了，那么您基本上就被操了。我至少可以从我们在美国的生活中看出，您的一生都取决于2张纸。...您的高中文凭，然后是大学学位。如果您在生活中都有这两个论文，那么您已经准备好了，如果您只有一篇论文，那么您也许可以找到一份工作，但这很难。如果您都没有，那么一生都在麦当劳工作。但是，这只小鸡的生活是诚实的努力。不需要您成为您不是或其他任何事情的工作。她过着美好的工作生活。有时候很简单，令人满意，诚实，也许有时是一场挣扎，但这并不是您想要进行精神崩溃的地方或会使您的生活失败的痛苦。我认为每个人都希望自己能拥有的生活。这就是为什么她的视频至少让我上瘾，因为我渴望过这样的生活。
22231,UgyS0QJ6dOIbn4mdSxd4AaABAg,1,3 years ago,she lives such a beautiful and simple life.,她过着如此美丽而简单的生活。
46258,UgzIPVLe_-TegushP9R4AaABAg,1,4 years ago,"the baby is so cute. i first went to incheon car or town for the first time and tasted it for the first time. it was so delicious and my favorite snack. i only saw what was made with strawberries, but i first knew that i had a big apology. in the video, she shows a simple life of making, chopped, fried, and stirring. however, with her background of her nature, she is as impressed as watching a beautiful poem with her eyes. this is because she reproduces the beautiful traditional way of life that is no longer found in korea, which is used to smartphones and the internet and lost the beauty of tradition. seeing the process of making something that she can't guess at all, she gets peace and rest of her mind. i love this china.",婴儿是如此可爱。我第一次第一次去仁川汽车或小镇，第一次品尝了它。它是如此美味，我最喜欢的小吃。我只看到了草莓制成的东西，但我首先知道我道歉。在视频中，她展示了制作，切碎，炸和搅拌的简单生活。然而，凭借她的天性背景，她印象深刻，就像用眼睛看一首美丽的诗一样。这是因为她重现了韩国不再发现的美丽传统生活方式，该方式习惯于智能手机和互联网，并失去了传统之美。看到做一些她根本无法猜到的过程，她得到了安宁和安息。我喜欢这个中国。
20730,Ugzq7purTtNMCcSP_M14AaABAg,1,3 years ago,such a simple life but full if color.,如此简单的生活，但如果颜色饱满。
20914,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu95Az35X9lJp,1,3 years ago (edited),"i hate living in the cities. both my parents grew up on the countryside and got to grown their own food. i'm tired of this fake, ultra-processed food and the constant noise and pollution (light pollution too). from the summers i spent in my grandmother's village, life was so simple and calm. we got to eat real food and spend time in nature. i wish i could move out to the countryside. i want to have my own garden and maybe some chickens. i'm too young and don't have much money now, but one day in the future i will. i've noticed many people my age wanting to reconnect with nature again. i hope this becomes a revolution for our generation",我讨厌住在城市。我的父母都在乡村长大，并自己种植了自己的食物。我厌倦了这种假的，超级加工的食物以及持续的噪音和污染（也是光污染）。从我在祖母的村庄度过的夏天，生活是如此简单和平静。我们必须吃真正的食物，并花时间在大自然中。我希望我可以搬到乡村。我想拥有自己的花园，也许还有一些鸡。我太年轻，现在没有太多钱，但是将来有一天我会。我注意到许多我这个年龄的人都想再次与自然重新建立联系。我希望这成为我们这一代的革命
19379,Ugwnhsk0nc1YuQwMTed4AaABAg,1,3 years ago,a simple but wonderful life,简单但美好的生活
36212,UgxXi5A6q1MVMlh7BCp4AaABAg,1,4 years ago,learned some new things while watching this video. i feel as though i could possiblly do some of these things. goes to show that things are not as hard as they seem. simple living.,观看此视频时学会了一些新事物。我觉得我可能会做一些这些事情。表明事情并不像看起来那样难。简单的生活。
21225,Ugy07G6DoQ08P36Hf0p4AaABAg,1,3 years ago,like the simple clothes of zi qi,喜欢子七朴实的衣服
10375,Ugz5zgF6oKvzEn1Xlxl4AaABAg,1,2 years ago,it looks very simple and natural,看着就是很朴实自然
21273,UgxhZrz2GWUvsMGaPXZ4AaABAg,1,3 years ago,is there a thailand? we are following her. life is very simple and natural.,有泰国吗？我们正在关注她。生活非常简单和自然。
17360,UgzgRwQO0XJIeDX_Ax54AaABAg,1,3 years ago,i want a simple life like this ☹️,我想要这样的简单生活☹️
21384,UgwEcqsqu9uimfd7eEp4AaABAg,1,3 years ago,i love this video and i like her so much. she seems happy in her simple life and she can do everything !!!๐‘๐‘๐‘๐‘๐‘๐‘๐๐๐๐’—๐’—๐’—,我喜欢这个视频，我非常喜欢她。她在简单的生活中似乎很高兴，并且可以做所有的事情！！
36806,UgxH6PxbBzVUDyWV_At4AaABAg.8uP-PKra3Ud8uTd-vQLMYY,1,4 years ago,dresden and cheaper than to be glad that we could go to 5steamans and i can't be simpler and cheaper than to be glad that we managed to soften a little more sound,德累斯顿又便宜，比我们高兴地去5steamans，我不能比以求更简单，更便宜
22022,Ugyei_iDpKv1Gn4pvH94AaABAg,1,3 years ago,now im inlove with this girl living in a simple life but precious,现在我爱上了这个女孩过着简单的生活，但很珍贵
46542,UgyJRUt_7eAAN5_bssN4AaABAg,1,4 years ago,the video influence me to appreciate the simple life of countryside and genuine home cooked snacks & food.,该视频会影响我欣赏乡村的简单生活以及真正的家庭烹饪小吃和食物。
6739,UgyRoCfxQyBB9MHK2Hx4AaABAg,1,2 years ago,they earn so much from youtube but live a simple life,他们从YouTube中赚了很多钱，但过着简单的生活
34930,Ugwq_tzdgvEpeVw9OiF4AaABAg,1,4 years ago,"i was shocked when i saw the comment in english,the foreigners are too simple,sometimes naive.
obviously a big and professional team behind her and help she prepare anything.i have to say this is a fabulous video,close to perfect,but the real live in the place which is far away from the city must be very tough and is hard to be accepted.
anywhere i feel happy that so many people enjoy the video.","当我看到英语评论时，我感到震惊，外国人太简单了，有时是天真的。
显然，她背后的一支大型专业团队，并帮助她准备任何事情。被接受。
在我感到很多人都喜欢的视频中，我感到很高兴。"
21896,UgzZPZdFSJLHKZ1MRdh4AaABAg,1,3 years ago,wearing very simple cute and looking gorgous,穿着非常简单的可爱又看起来像
32900,Ugzds4pkxkZd8GZmZw54AaABAg,1,4 years ago,"this girl is beautiful and working hard !
how beautiful the life of the countryside life is simple and wonderful i hope to try this life someday because i prefer the simple life our lives today is useless to wake up we eat harmful food and then go to electronic devices and then sleep ........ where fun and wayne it is a healthy and quiet life?","这个女孩很漂亮，努力工作！
我希望有一天能尝试这个生活的乡村生活多么美好，因为我更喜欢当今的简单生活，我们的生活是毫无用处的，可以醒来我们吃有害食物，然后去电子设备，然后睡觉。 ....在哪里有趣而韦恩，这是一种健康而安静的生活？"
34007,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49IWyhWdaEbU,1,2 years ago,"tell me why, when im here i feel free, and simple. i like it over here ๐",告诉我为什么，当我在这里时，我感到自由而简单。我喜欢这里
5183,Ugx3qdS6XXJ7HnKSPk14AaABAg,1,1 year ago,"i'm a simple woman, i saw the sheep so i clicked",我是一个简单的女人，我看到了绵羊，所以我点击了
35150,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-92yndhwnUzu,1,3 years ago (edited),"this comment is a crystal clear example of the existential realization that modernity sucks. simple is better in so many ways for human beings because without the handicaps of modern life we are forced to learn, forced to adapted and forced to appreciate what we have created and built for ourselves. modernity disconnects us form the reality of life in so many ways.",此评论是现代性糟透了的存在的明确例子。对于人类而言，简单在很多方面都更好，因为没有现代生活的障碍，我们被迫学习，被迫适应和被迫欣赏我们为自己创造和建立的东西。现代性使我们在许多方面构成了生活的现实。
18515,UgxTedUPJuo8wpG6aax4AaABAg,1,3 years ago,and also simple and easy,而且也简单简单
48648,UgxyEQzHA0ACV2K9T-J4AaABAg,0,4 years ago (edited),"it feels like my grandparents and nurses of the new year. at that time, hou had no money and a lot of things. i rarely went out to buy it! simple",给我的感觉就像是爷爷奶妈那辈人过年的气氛，那时侯没钱好多东西都是自己弄很少出去买！简简单单的
35878,UgzXUkY4YIpsA0X3zwp4AaABAg,0,4 years ago,everything is so simple and beautiful,一切都是如此简单和美丽
45820,UgzPx79AbbvXM6ydHQd4AaABAg,0,4 years ago,"simple, nice & brilliant...gong xi fa chai...(:- remember my childhood...*skr#",简单，漂亮且出色...锣Xi fa chai ...（： - 记住我的童年...*SKR＃
37839,UgxpocmQuxIhBrTc4gJ4AaABAg,0,4 years ago,you look and simple not to tear the eyes of the young man.,您看起来很简单，不要撕开年轻人的眼睛。
37847,Ugw9kz3QQcHKggafwWN4AaABAg,0,4 years ago,love all the snacks she made. looks so simple... must be nice.,爱她做的所有小吃。看起来很简单...一定很好。
37484,UgxAlkbldrL4nAT-_gh4AaABAg,0,4 years ago,i wish i had a simple life like her ๐,我希望我过着像她一样简单的生活
48932,Ugw5H5irIt-y5Jc0QpR4AaABAg,0,4 years ago,omg looks so simple to do...but it is not..amazing girl...,OMG看起来很简单...但是不是..杰出的女孩...
49494,Ugz6_vwohrCQDygJujB4AaABAg,0,4 years ago,"be careful, you do it very simple, many relatives and friends have done it yourself ~",小心烫手阿，妳做的都很朴实，很多亲朋好友都有自己做喔～
36322,UgwvRYso59Zz1tCONzx4AaABAg,0,4 years ago,"this is the real and normal life.....no many dollars,no very expensive cars ,no jewelry ,no big house!!!!!!!just simple and very nice people.along time ago in roumania people lived like in this video.i wish you this life in this moment.patryk from roumania",这是真实而正常的生活.....没有多少美元，没有非常昂贵的汽车，没有珠宝，没有大房子！这个视频。祝您这一生，这一刻。来自Roumania的Patryk
37227,UgyjVd4rlJJAgGjUsYB4AaABAg,0,4 years ago,"how beautiful it is to have a simple and happy life โจ i must say, i really admire the people behind this beautiful content",拥有简单幸福的生活是多么美丽✨我必须说，我真的很佩服这个美丽内容背后的人
46527,UgxZ3ir2VMjBO7ahtjV4AaABAg,0,4 years ago,this lady is awesome... i kept thinking to myself i was like looking at a character straight out of a story book about a country girl from decades ago when the life was more simple.,这位女士很棒...我一直在思考自己，我就像是在一个故事书中直接看着一个关于几十年前生活更简单的乡村女孩的故事。
35753,Ugy6qNbSFd6gOIwwTVN4AaABAg,0,4 years ago,this girl is so hard working! her videos look like scenes from an ang lee movie. thank you for sharing your simple but awesome life to us.,这个女孩是如此努力！她的视频看起来像是一部Ang Lee电影中的场景。感谢您向我们分享您简单但很棒的生活。
36997,UgzT7_5rOtbh8_8IkWZ4AaABAg,0,4 years ago,"tbh, i love being connected with my computer and everything, especially to see this type of content, but i feel like we should go way more outside and earth should look way more like in the video: original and beautiful nature! not pollution made by tons of cars and huge sky crappers hiding the horizon... the way this young lady showed us how creative you can be with so many things nature gives us legit got me in tears... we're here trying to fight for environmental changes while she's living what i'd call a true and simple life. that's what we all should try to reach, simple and pure happiness, made from little things of the daily life.",tbh，我喜欢与我的计算机和所有内容联系在一起，尤其是看到这种类型的内容，但是我觉得我们应该在外界更像，地球应该更像是视频中的：原创和美丽的自然！这不是大量的汽车和巨大的天空cr险污染，隐藏着地平线...这位年轻女士向我们展示了您对大自然的多种事物的创造力，使我们感到哭泣……我们在这里试图在这里试图为环境变化而战，而她过着我所说的真实和简单的生活。这就是我们所有人都应该尝试到的，简单而纯洁的幸福，这些幸福是由日常生活的小东西制成的。
37175,UgwmAF865MQjIMyNApB4AaABAg,0,4 years ago,it all seems so simple but im kind of wondering about the behind the scenes. she has some beautiful shots in there obviously shot by a drone and s high quality camera. want to know about the setup and all the work that goes into there as well!,这一切似乎都很简单，但我想知道幕后。她在那里有一些漂亮的镜头，显然是由无人机和S高质量相机拍摄的。想知道设置以及所有进入那里的工作！
52396,UgwA9ZgW5dFthcf0MIl4AaABAg,0,4 years ago,"love from turkey, i love the way you live. is just simple and peace full. ❤️",来自土耳其的爱，我爱你的生活方式。只是简单而和平充满。 ❤️
52264,Ugzhn-aMCxjeBasGI0t4AaABAg,0,4 years ago,simple and cute,简单可爱
36869,Ugxo3ujkdRw-Qd1GUUt4AaABAg.8uMnZiLCrTi8uTcoakt74_,0,4 years ago,edinburgh furbud on which 5 simple and cheaper millions than to be glad that we could call me that will have a simple and 54 million and 54,爱丁堡·弗拉布（Edinburgh Furbud
52278,UgxtUn7iyyWTInZbVf14AaABAg,0,4 years ago,"i feel nostalgic when watching the video, i miss my simple life in my country, my village our life was simple like this....",观看视频时，我感到怀旧，我想念我在我的国家中的简单生活，我的村庄我们的生活很简单。
36864,Ugxo3ujkdRw-Qd1GUUt4AaABAg,0,4 years ago,i really love this channel. simple but very beautiful.๐๐๐๐๐๐,我真的很喜欢这个频道。简单但非常漂亮。
46018,UgzlB95TV2uUQGQisOd4AaABAg,0,4 years ago,i wish to live life like she did not compete materially without running after the simple and peaceful currency.,我希望像她没有经过简单且和平的货币那样奔跑的生活，就像她没有实质性的竞争一样。
50687,Ugxpl8eWvJoPhfhDpCt4AaABAg,0,4 years ago,"i like flower vase on the table where she cooks, they are simple, wild, natural but very beautiful",我喜欢她做饭的桌子上的花瓶，它们很简单，野性，自然但很漂亮
50254,UgySAr_FtDfFehSMVmZ4AaABAg,0,4 years ago,you make everything you do look so simple to make ! awesome,您使您看起来如此简单的一切！很棒的
37121,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVfHjJT-Vd,0,4 years ago,and she and her life is so simple.,她和她的生活是如此简单。
37148,UgxORhT1_QbBEOydIM14AaABAg,0,4 years ago,what a peace in a simple life style!,在简单的生活方式中多么平静！
36847,UgwLPLonzxM1BjfMJOp4AaABAg,0,4 years ago,having such a simple but well worth it life is what we need today... this makes me wish technology ie machines... and mass production didn't exist as much...,我们今天需要的是如此简单但值得的生活……这使我希望技术IE机器……而且大规模生产并不那么多...
36557,Ugz7QTrkonOZqD7C39d4AaABAg.8uTAAVLpjQW8uTcfjfJZcZ,0,4 years ago,fufsaqvxuvgvbvknxuvcyb7 with it and it can not be simpler and cheaper than 6milion can not be done for jbfushhusvhuvishshshshshqavcygvgivhvsyvs uvfbvc1๐,fufsaqvxuvgvbvknxuvcyb7 with it and it can not be simpler and cheaper than 6Milion can not be done for Jbfushhusvhuvishshshshshqavcygvgivhvsyvs uvfbvc1
46063,UgwsCNWF62WUWYe8VQt4AaABAg,0,4 years ago,i would love to spend my time over there ! such a simple life yet such a wonderful life ! please invite me :),我很想花时间在那儿！如此简单的生活，却如此美好的生活！请邀请我:)
52544,UgzaB-PEgA0QhFATpPF4AaABAg,0,4 years ago,"hey viewers
assalaamualaikum
see my channel too... i'm making traditional authentic dishes in simple and easy way... subscribe to my channel too.. 
made with ease served with pride alhamdulillah mashaallah...","嘿，观众
Assalaamualaikum
也可以看到我的频道...我正在以简单简便的方式制作传统的真实菜肴...也订阅我的频道。
轻松地搭配骄傲的Alhamdulillah Mashaallah ..."
36433,UgzNk2P7ygnAYm9fHs14AaABAg,0,4 years ago,"wow, what a wonderful life she is living! kudos to her, including the one whoever handles the camera and editing! it is amazing how she does all these things! i don't knnow if she does it all by herself, but all this preparation must take a long time! love the little animals that surround her, she is a real life princess living the simple life!",哇，她过着多么美好的生活！对她的敬意，包括处理相机和编辑的人！她如何做所有这些事情真是太神奇了！如果她自己做所有的事情，我不会知道她的一切，但是所有这些准备都必须花很长时间！爱她周围的小动物，她是一个现实生活中的公主，过着简单的生活！
36400,UgxXNXa7XMuYvqU6OMp4AaABAg,0,4 years ago,"i think what i like about this is that she doesn't live like one of those people who try to travel back in time, only using technology from this time period or only wearing clothes of this fashion. she uses modern tools and methods all the time. but this isn't about traveling back in time, it's about keeping her culture a living culture, and i guess reminding me at least, that a simple life is not a bad life.",我认为我喜欢的是，她不像那些试图回到过去的人一样生活，只能使用这段时期的技术或仅穿这种时尚的衣服。她一直使用现代工具和方法。但这并不是要回到过去，而是要让她的文化成为一种活着的文化，我想至少提醒我，简单的生活并不是一生。
36353,Ugw0vh03FgxLem9D22F4AaABAg,0,4 years ago,"i want to live s life like her. no technology, simple peaceful life with nature โค๏ธ",我想像她一样过上的生活。没有技术，简单的和平生活与自然
36542,UgyzWftfxsT1zb2rV1l4AaABAg,0,4 years ago,"whar a simple, but very nice lifestyle she has! she is so hardworking ๐๐ค—",她的生活方式很简单，但非常美好！她是如此努力
43848,UgzMHuwW3pllQShkloN4AaABAg,0,4 years ago,"inspiring video for simpler, healthier and happier lifestyle",鼓舞人心的视频，以更简单，更健康，更快乐的生活方式
