,cid,votes,time,含cook,含cook中文翻译
17624,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh984ALJlxKMs,5,3 years ago,"@yao zuo really envious of your english and german. in fact, there is no need to argue with foreigners. after all, it is not compatriots. there are more people who look down on us, not to him. i hope all the people can be as comfortable as the girl in the video. there are beautiful scenery in front of you, there are foods on the table, and there are loved ones around you. there are both cooking smoke and poetry and far away. he is in this situation and disdains people.",@Yao Zuo 真羡慕你英语和德语都那么棒。其实没必要和外国人争论什么，毕竟不是同胞，多说无益。看不上咱们的人多了，不差他一个。希望所有的老百姓都能像视频里的姑娘那样自在快活。眼前有美景，桌上有美食，身边有亲人，心里既有生活的炊烟也有诗和远方，身处此境，不屑与人争。
50149,UgyXNhVoHDFBF9ravMJ4AaABAg,5,4 years ago,"wow, you can do it at all, i love her cooking",哇，你几乎可以做到，我喜欢她的烹饪
15681,Ugyy9cdkMN8zg57KPyV4AaABAg,4,3 years ago,i’m glad i watched this in the morning and not before bed because watching her cook made me so hungry...,我很高兴我早上看着这个，而不是在睡觉前看了，因为看着她的厨师让我如此饿了...
2317,UgzzEwW3MYhSldtAxyB4AaABAg,4,1 year ago,"i love to cook too, and the thing i found so wholesome about how she cook is how she doesnt have to worried about the gas ahahah",我也喜欢做饭，我发现的东西很健康，因为她的烹饪方式就是她不必担心煤气的方式
29813,UgygIa79VU2vgKBzdyd4AaABAg.8xTvD0vzAJp8xclSy5XBSP,4,3 years ago,"hello i form in bangladesh welcome to my cooking channel,",您好，我在孟加拉国形成，欢迎来到我的烹饪频道，
17826,Ugx7wi8WQ3cnv7uGApl4AaABAg,4,3 years ago,"first scene...liziqi, ewe, and two puppies, foraging in the woods. i'm so in love. her kitchen, her preparation, and her dedication are so inspiring to me. i want to learn about the cookware and the different stoves and woks.",第一个场景... Liziqi，Ewe和两只小狗在树林里觅食。我是如此恋爱。她的厨房，准备工作以及她的奉献精神对我来说是如此鼓舞人心。我想了解炊具以及不同的炉灶和锅。
20859,Ugx5EI4b7nOgiqj8wC94AaABAg,4,3 years ago,intead of being a good cooker and a baker she's gorgeous <3,成为一个好的炊具和面包师，她很漂亮<3
30630,UgwBxxvSNnIa4c9cBxh4AaABAg,4,3 years ago,"oh god what a climate, her cooking simply super",哦，天哪，她的烹饪只是超级
49243,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8rLXwIcUHWW,4,4 years ago,she needs to open a b&b id definitely go stay for a couple weeks. and she'd make me a meat eater again! her cooking looks amazing,她需要打开B＆B ID肯定会停留几周。她会再让我成为一个食肉者！她的烹饪看起来很棒
45663,Ugw9x3zcjNxRvLt2aVh4AaABAg,4,4 years ago,"i would like to watch on the way to cooking non -arabs for his culture, but",我想在为他的文化烹饪非阿拉伯的路上看，但是
12899,Ugw_x_-SG-UCXNC2fHt4AaABAg,4,2 years ago,"this reminds me"" the village food channel""
they do similar traditional cook of south india","这使我想起了“乡村食品频道”
他们在印度南部做类似的传统厨师。"
32063,UgwmZzAHQCIzCmC_cFZ4AaABAg,4,4 years ago,"this woman is an engineer, a woodworker, a cook, an artist, a cinematographer, a video editor, and now she's snow white with those little puppies and a lamb like are you serious??",这个女人是一名工程师，木工，厨师，一名艺术家，摄影师，视频编辑，现在她是白雪公主，与那些小幼犬和羔羊一样，像你是认真的？
22587,Ugyj2E4_XI7nHeOrGyZ4AaABAg,4,3 years ago,"that is chestnut, the one she pick-up from the start of the video - right? you'e really a good chef, and got a lot of cooking talent and pretty face too, but i'm missing to see those beautiful smile from your lovely face... more power to you blog cause it helping a lot of people to understand the real fashion of cooking...",那是栗子，她从视频开始时就拿起了栗子 - 对吗？您真的是一个好厨师，也有很多烹饪才华和漂亮的脸蛋，但是我想念那些美丽的脸上的笑容。了解烹饪的真正方式...
8586,UgwiC7cQ7F1hFtiYW-l4AaABAg,4,2 years ago,"i love her place , her cooking , and the main part is she can go to different places and pluck all the fruits this is nature",我爱她的住所，她的烹饪，主要部分是她可以去不同的地方摘下所有的水果，这就是自然
32544,UgxOLEDy3Zru6XfOBRp4AaABAg,4,4 years ago,thank you for sharing your story. i love to see the traditional way of cooking. teaches me a lot.,谢谢你分享你的故事。我喜欢看到传统的烹饪方式。教我很多。
1290,Ugw6mFu2kOGEhIgA-LZ4AaABAg,4,10 months ago,i really like how she cooks !!! and in general everything is so beautiful๐,我真的很喜欢她的烹饪方式！！！总的来说，一切都是如此美丽
34203,UgxWdrtVCY3TO2pXJ354AaABAg,3,4 years ago,"beautiful china, different fruits & cooking ๐‘๐‘๐‘",美丽的中国，不同的水果和烹饪
33055,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8w1-s_Y7pL2,3,4 years ago,i think she was cooking up lamb meat in the vid..,我认为她在vid中烹饪羊肉。
32616,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wx8ju7uqYK,3,3 years ago,"frydac definitely bot simple, you are right. this lady saying it's simple, must be crazy๐ i don't find anything simple, everything has a level of complexity in it, the video making, and not to mention all the cooking, and every day chores. it might look like a simple country life, not fancy, but yet so busy life, they don't go to the super market and buy almost anything. they make it. god bless those people and the girl for taking the time in making this video. that's the life i aim to live in few years.",Frydac绝对简单，您是对的。这位女士说这很简单，一定是疯狂的。它看起来像是一种简单的乡村生活，而不是花哨的生活，但是如此繁忙的生活，他们并没有去超级市场购买几乎任何东西。他们做到了。上帝保佑那些人和女孩花时间制作这部视频。那是我打算在几年中生活的生活。
32451,UgyX1udEsbOGstSL1LV4AaABAg,3,4 years ago,multitalented girl...i don't kw how she is cooking these items bt it's making me hungry....i would like to come that place bt there is no chance fa me really feeling sad while seeing that place.....,多元化的女孩...我不kw她如何烹饪这些物品，这让我饿了。...我想来的那个地方Bt没有机会在看到那个地方时感到非常难过。 。
36676,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8uWWmYzdo9B,3,4 years ago,gacha cookie she looks like heybin from momoland,Gacha Cookie她看起来像来自Momoland的Heybin
27903,Ugz5tzEEZiv4YyU4RyJ4AaABAg,3,3 years ago,"this music made me cry
even tho the video was like about 3 happy people cooking","这种音乐让我哭泣
甚至视频都像3个快乐的人做饭"
36916,Ugz9JF6GZG22h5y7xrt4AaABAg,3,4 years ago,"i love this. i would love to harsvest my own food and have many cooking supplies. i love the cute baby animals too! one day, maybe do a video on each animal? so cute! cute! cold? very good! thank you sister! sorry my chinese is bad. sorry!!","I love this. I would love to harvest my own food and have many cooking supplies. I love the cute baby animals too! One day, maybe do a video on each animal? So cute! 可爱! 冷? 很好! 谢谢 姐姐! 对不起我的中文不好。对不起!!"
37179,UgyvCidxiaIGbS2xDJ54AaABAg.8uHXtFpKUWb8uOKftQtqyT,3,4 years ago,she didnโ€t kill it if thatโ€s what you were thinking. the meat she cooked was beef/cow,如果那是你在想的话，她不会杀死它。她煮的肉是牛肉/牛
18580,UgzDLXBBVbrqzb3BgpR4AaABAg,3,3 years ago,"it is possible for the first arab youth comment, but god willing, you will do what i do not describe, because now women are modern things, most of them do not know cooking and you do not work for them.",第一个阿拉伯青年评论可能是可能的，但是上帝愿意，您会做我不描述的事情，因为现在女性是现代事物，大多数人不知道烹饪，而您不为他们工作。
38918,UgzaXiSdXlj-zXxpMEV4AaABAg,3,4 years ago,"i love how she does all the gathering, cleaning, cooking, tending, creating, all the while looking perfectly dainty as a princess and cute as a pea, with her beautiful hair and face, and nimble hands! watching this girl go about her day is almost therapeutic! โค๏ธ",我喜欢她如何完成所有聚会，清洁，烹饪，养育，创造，同时看起来像公主一样精致，像豌豆一样可爱，拥有美丽的头发和脸，还有敏捷的手！看着这个女孩去看她的一天几乎是治疗性的！ ❤️
22491,UgwpDxSltANjBCp2KfR4AaABAg,3,3 years ago (edited),"loving the whole atmosphere. i wasn't really a chinese cuisine fan but seeing this i really crave your cooking. a new perspective to chinese cuisine. truly inspiring.
i wish you open a guest house if you haven't. it would be my family vacation destination!!","热爱整个气氛。我并不是真正的中国美食迷，但是看到这一点我真的很想做饭。中国美食的新观点。真正鼓舞人心。
我希望您没有开设一个旅馆。这将是我的家庭度假胜地！"
8184,Ugw_KU_a7ajT_Kymvoh4AaABAg,3,2 years ago,"why is no one saying, ""what is the recipe so i can make this, too?""
81 million views, 45000 comments, and no one is saying, ""i can learn how to make food like this"" ?????
no one is saying, ""i can learn how to cook like this? i can learn how to do things like this, too?

is everyone else in the world completely helpless and mindless??","为什么没有人说：“食谱是什么，所以我也可以做这个？”
8100万观看次数，45000条评论，没有人说：“我可以学习如何制作这样的食物”？
没有人说：“我可以学习如何做饭？我也可以学习如何做这样的事情吗？

世界上的其他每个人都完全无助和无意识吗？"
21109,Ugy1h4cZ-wcVU9NeypR4AaABAg.93zj_9LhTny94FseVqNBKo,3,3 years ago,"no, this cooking show is funded by the chinese government and this is just a setup. this is not ""their life"" or ""how they live"", far from.",不，这个烹饪节目由中国政府资助，这只是一个设置。这不是远非“他们的生活”或“他们的生活”。
16904,UgyIBXJOj3Th9AOuGT54AaABAg,3,3 years ago,after days of cooking she still has the energy to make everything pretty... ill be like: nup i’m not moving anymore,经过几天的烹饪，她仍然有能力使一切变得漂亮...病好：NUP我不再搬家了
52943,UgwbGLUXiZVl2-40vlB4AaABAg,3,4 years ago,do chestnuts pop like popcorn if you don't crack them? i've never cooked them...,如果您不破裂，栗子会像爆米花一样弹出吗？我从来没有煮过...
4024,Ugz1RATowAR2gDQp3ZJ4AaABAg,3,1 year ago,it's so delicous! also want to eat delicious dishes you cook and enjoy the scenery here. how wonderful!,太美味了！还想吃您烹饪的美味菜，并在这里欣赏风景。多么美妙！
757,UgxVmdF4rIWyLY_pm4J4AaABAg,3,5 months ago,kk is good at cooking the cooking is very good,KK擅长烹饪烹饪非常好
4734,UgzStha_p5in7xY-9Fl4AaABAg,3,1 year ago,i always loved her cooking and of course her!,我一直喜欢她的烹饪，当然还有她！
48710,UgxADJtMUj5AMgR8Fh54AaABAg,3,4 years ago,amazing cooking style i like it,我喜欢的惊人烹饪风格
5336,UgzEKIby2XG1wwZRmIp4AaABAg,3,1 year ago,"she is looking very beautiful, her cooking is amazing",她看起来很漂亮，她的烹饪真是太神奇了。
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,2 years ago,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
39489,UgxjfURUD54bctxPPmp4AaABAg,2,4 years ago,its such a modest and lovely way of living and cooking.,它是一种适度而可爱的生活和烹饪方式。
1727,UgyPBtl1WQcovNWYrzV4AaABAg.9bSj7v8JG7c9hjwO6G2B8C,2,7 months ago,yes same here....the music and her cooking makes my mind relax ....❤️,在这里是一样的。。。音乐和她的烹饪使我的想法放松。
4266,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UfyFmwf9Me,2,1 year ago,"so if she gets rich before this and her point is to show people the rural life which she chose so whats the problem you said it yourself there alot of millionaires out of poverty so whats the difference with her videos. her videos showing culture, old style cooking a lifestyle. lol... fake? why would you call fake if she can really do all those things you said it yourself even if you did not finish highschool you can still be millionaire and she did that",因此，如果她在此之前变得富有，而她的观点是向人们展示她选择的乡村生活，那么您自己说的问题是什么，这是有贫穷的很多百万富翁，所以与她的视频有何不同。她的视频显示文化，旧式烹饪生活方式。大声笑...假吗？如果她真的可以做所有这些事情，即使您没有完成高中，为什么还可以打电话给假货，您仍然可以成为百万富翁
21267,UgxlpPpZHhad9z0wpiR4AaABAg,2,3 years ago,great cook .. delicious ๐๐,很棒的厨师..美味
28525,UgwBR8h7mrjZgoKD_PV4AaABAg,2,3 years ago,"this rural girl is beautiful, hard -working, and the ""craftsmanship"" of the chinese traditional gourmet cooking ""craftsmanship"".","这个农村姑娘样貌漂亮， 克苦耐劳，还有一手中国传统已绝迹的美食烹调""手艺"" 已时下 年青新一代已绝无仅有""加油""漂亮的姑娘继续 将中国传统美食一直延续下去喔"
28536,Ugwk2DlghIo3FINzOcp4AaABAg,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
2432,UgzCxkeJthWWa25eWER4AaABAg,2,1 year ago,"this woman is very hardworking, good at cooking, and also beautiful
","这个女人非常努力，擅长烹饪，而且很漂亮
"
6429,Ugx1d3mTJCV_RHubbqp4AaABAg,2,2 years ago,"5 ⭐ for asmr!
5 ⭐for the incredible cooking!

someone give her an award for those amazing and delicious things!!! <3","5⭐对于ASMR！
5⭐令人难以置信的烹饪！

有人给她一个令人惊叹又美味的东西的奖项！！！ <3"
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
29457,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8ySUSZM2lCi,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
13038,UgycyTPtT7cD70YCnWl4AaABAg,2,2 years ago,i find that she ran her story with a madness and her life is wonderful and showed her with the cooking and the work that she used to do with what god willing.,我发现她疯狂地播放了自己的故事，她的生活也很棒，而且她在烹饪以及她过去与上帝愿意做的工作非常艰难。
33590,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-9S1rKu5pj,2,3 years ago,"just found this channel, love it!! that lamb was definitely cooked ๐๐",刚刚找到了这个频道，喜欢它！那只羔羊肯定是煮的
30207,UgxAbO9DNwt5ABSZxoZ4AaABAg,2,3 years ago,what is she cooking on at 2:29 ? what kind of portable stove is that? is looks like a pottery device. does anyone know? (side note: liziqi videos are incredible),她在2:29做什么？那是什么样的便携式炉子？看起来像陶器装置。有人知道吗？ （旁注：Liziqi视频令人难以置信）
22034,Ugzc9c945tRndwoQh1B4AaABAg,2,3 years ago,she has like a cookbook that is as big as a dictionary in her head,她喜欢一本像脑部词典一样大的食谱
22098,UgyyFd7L3PllQX9i5pN4AaABAg,2,3 years ago,"i donโ€t know, i will say, i see in the chinese, but i loved the girl, this is a simple person and the best thing is that she does not depend on technology, she does every need a carpentry that you meet a cook that she meets with separation and sews her meeting with a farmer. nature, masterpiece, this is not possible for beauty. glory be to god. life is like this, and all girls and sixties remain.",我不知道，我会说，我在中文中看到，但我爱这个女孩，这是一个简单的人，最好的是她不依赖技术，她确实需要您遇到的木工厨师她会遇到分离，并缝制了与农民的会面。大自然，杰作，这是不可能的美丽。荣耀归于上帝。生活就是这样，所有女孩和六十年代都保留下来。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
27777,UgwXNsoauxHCDOo7zAt4AaABAg,2,3 years ago,"i always watch videos on how to cook and prepare foods. but, when i watched the videos of liziqi i got more inspired. i even want to have a cooking pan like hers that is so multiused pan and the amazing oven.",我总是看有关如何做饭和准备食物的视频。但是，当我观看Liziqi的视频时，我受到了更多的启发。我什至想拥有一个像她这样的烹饪锅，它是如此多地使用的锅和令人惊叹的烤箱。
49269,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9DmEtK2MHJe,2,2 years ago,"@allisgoodallisbad why not. the european luxury products prices are so exorbitant. the mjr costs derived from astronomical pay to media ads, super models & celebs endorsements. while the products made in bangladesh, india, cambodia ...
her products, design, ingredients are made in china. she's a super model & celeb herself, trained & paid by herself. let say how much some pr companies would pay her to influence voters with chinese heritage in australia, america, canada, uk, ... election campaigns. in fact, the conservative parties deployed chinese speakers to carry the battle on tweeter, fb, instagram, wechat social media in recent australian federal election late last yr. she may wield tremendous power to boycott certain product sales in china & perhaps beyond china. 
what would louis vuiton share price would be if she wears its product while cooking & caring her nana. china is the greatest nation as louis vuiton. asia excluding japan account for 29% louis vuiton market & growing fast.
somebody pls advice liziqi do not wear or show any brand lightly. tiger wood could earn billion usd just for endorsement on nike.","@allisgoodallisbad为什么不。欧洲奢侈品价格如此高昂。 MJR成本来自天文工资，媒体广告，超级模特和名人代言。虽然产品在印度孟加拉国生产的柬埔寨...
她的产品，设计，成分是在中国生产的。她自己是一个超级模特与名人，自己受过训练和付款。假设有多少公关公司会付钱给她，以在澳大利亚，美国，加拿大，英国，...竞选活动中使用中国遗产来影响选民。实际上，保守党部署了中国发言人，在最近一年后期最近的澳大利亚联邦大选中，在高音扬声器，FB，Instagram，微信社交媒体上进行战斗。她可能会发挥巨大的权力来抵制中国乃至中国以外的某些产品销售。
如果路易斯·维顿（Louis Vuiton）的股价在烹饪和关心娜娜（Nana）时享用其产品。中国是路易·维顿（Louis Vuiton）的最伟大国家。亚洲不包括日本的路易·维顿市场29％，并迅速增长。
有人建议Liziqi不会佩戴或轻轻地显示任何品牌。老虎伍德可能会赚取10亿美元，仅仅是为了认可耐克。"
10313,Ugxdyfl_Y3pcJ-z3_Vh4AaABAg,2,2 years ago (edited),i think this is a disney princess who can cook... while i eat chipotle with my mouth drooling at this and not my food,我认为这是一位迪士尼公主，可以做饭...当我用嘴巴流口水而不是我的食物时，我可以做饭
17017,UgwBTuX4TtgjOj10-2B4AaABAg,2,3 years ago,"all of the videos are always watching well ♥ ️ you are good at cooking
the face is pretty, and the grandmother is so good.
pretty ♥ ️","所有的视频总是看得很好♥♥您擅长烹饪
脸很漂亮，祖母真是太好了。
漂亮♥谢"
19527,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96kuWVCyr4V,2,3 years ago,princesses don't cook.,公主不做饭。
19077,Ugy090p17WvdgETeGSp4AaABAg,2,3 years ago,i remember my young cousin cried when his mom use sand in cooking peanut and he ask why she putting sand and his mom said .. we gonna eat it.,我记得我年轻的堂兄在妈妈用沙子做饭花生时哭了，他问她为什么要放沙子，他的妈妈说..我们要吃。
2193,UgxMKNK6i30tmWgCITR4AaABAg,2,1 year ago,"love watching ur video....
and also ur cooking skills...
❤️❤️❤️❤️❤️","喜欢看你的视频...
还有你的烹饪技巧...
❤️❤️❤️❤️❤️❤️"
25107,UgynBU4IlDpcwXPfX6R4AaABAg,2,3 years ago,amazed of how the pop corn was cooked.,惊奇的是流行玉米的烹饪方式。
18329,UgzRKs4d9NmwMOL5lQx4AaABAg.97427EejB2G97RMkPByDwq,2,3 years ago,we used to bring our own corn or rice to the guy and waited very impatiently while it was cooking in that thing... and that big sound waooo just like the music from heaven to the kids,我们曾经把自己的玉米或米饭带到那个家伙，在那件事做饭的时候非常不耐烦……就像从天堂到孩子们的音乐一样，声音很大
37288,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa9WCENIZzaww,2,1 year ago,"~* chinese vloggers similar to liziqi:
dianxi xiaoge little brother | anxiaolu an xiaolu | longmeimei longmei |
grandpa amu grandpa amu | laotai arui old tai arui | summer kitchen xia kitchen chen 20 |
ermichuiyan two -meter cooking smoke | ms miao office channel miaomei jiu yang official channel

~* liziqi's popular background music:
cloud blow | april sakura | sakura march | begonia sleep | august 23 | always with me |
lovesickness ocarina | accel world bye bye | lough leane | sudden
it's better not to read | cicada banxia | huai ancient legacy | hometown story | tao lin | new year's eve | in the past | mo yu","~* Chinese vloggers similar to Liziqi: 
Dianxi Xiaoge 滇西小哥 | AnXiaoLu 安小鹿 | LongMeiMei 龙梅梅 | 
Grandpa Amu 阿木爷爷 | Laotai Arui 老台阿瑞 | Summer Kitchen 夏厨陈二十 | 
ErmiChuiyan 二米炊烟 | Ms Miao Official Channel 苗妹九秧官方频道 

~* Liziqi's popular background music: 
云吹动 | 四月樱花 | 樱花三月 | 海棠未眠 | August 23 | Always with Me | 
Lovesickness Ocarina | Accel World Bye Bye | Lough Leane | 忽如一夜梨花开 | 
不如不念 | 蝉鸣半夏 | 淮古遗殇 | 故乡物语 | 桃林 | 除夕 | 昔年 | 墨雨"
17932,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv98B67uaEOb6,2,3 years ago,"@cookinlikeachefima5starmic747 ummm... i was complementing them? bada** is a compliment, and i was saying how they're different but still amazing. i wasn't throwing a tantrum lol nor was i disagreeing with angelica. i was just providing an alternative explanation. also if you have a problem with swearing then maybe you should go to youtube kids? this site is for 13 y/olds and older so content on here can include cuss words lol. and when i do swear i never do so to insult others. :) 


also i'm personally a felix stan lol.","@cookinlikeacheachefima5starmic747嗯...我在补充它们吗？ Bada **是一种称赞，我是在说它们与众不同，但仍然很棒。我没有发脾气大声笑，也不同意当归。我只是提供另一种解释。另外，如果您对宣誓有问题，那么也许您应该去YouTube孩子们？该网站适用于13 Y/OLDS及以上的年龄较大，因此这里的内容可以包含Cuss Words大声笑。当我发誓时，我从不侮辱他人。 :)


我个人也是Felix Stan Lol。"
26302,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-qcJD019Vr,2,3 years ago,good for you this is one step of everyday but am inspired to clean my room to and more i would love to cook like this having a farm having lots to pick and thinking what to make i love this channel!!!,对您有好处，这是每天的一步，但受到启发，可以清理我的房间，还有更多我愿意像这样做一个农场，有很多挑选，想什么让我爱这个频道！！！
26319,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92afa-fAnkA,2,3 years ago,"thanks for your message! same here. i am not depressed though. but literally ziqi is changing my life. she is much younger than my child and i feel she is teaching me so much. i am going to be a much better cook. to start with. and i spent few hours today cleaning refrigerator, mopping the floor and clean my bathroom. felt like having a new life ahead of me.",感谢您的消息！同样在这里。我并不沮丧。但是从字面上看，Ziqi正在改变我的生活。她比我的孩子年轻得多，我觉得她在教我很多。我将成为一个更好的厨师。首先。今天我花了几个小时清洁冰箱，擦地板并清洁浴室。感觉就像是我前面的新生活。
40584,Ugy9hIfVYANKS6enqBd4AaABAg.8sFoZOZW2Hz8sL-4wjuEIF,2,4 years ago,they do not cook in mulan movie,他们不在木兰电影中做饭
17676,UgzYIiodQyHTPuLLnat4AaABAg,2,3 years ago,"the way she cooks i love it and i remembered my past used to cut grass, picked rhododendron from the forest of my village and picked vegetables with my relatives❤❤",她做饭的方式，我喜欢它，我想起了我过去曾经割草，从村庄的森林中摘下杜鹃花，与亲戚一起挑选蔬菜❤❤
35756,UgzUk3PA71ypx16dBZZ4AaABAg,2,4 years ago,i like this very much am from india and i love china and chinese culture very much its wonderful and i like also chinese dish and method of cooking beautiful๐โบ,我非常喜欢来自印度的人，我非常喜欢中国和中国文化，它也很棒，我也喜欢中国菜肴和烹饪的烹饪方法
17634,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98RpLOPrgDw,2,3 years ago,"even if it's not 100% real as it is in rural areas (i mean, i think we all kind of know that living on the countryside and on a farm is a lot of work, come on guys), but people on the internet constantly show only the good side, show things that are aesthetically pleasing, etc. even cooking videos do that, it's always a mess in the kitchen when you cook but not in their videos, doesn't mean it's wrong and you should bash them. sometimes people want to show things in a good light, show their hard work as something beautiful. i don't really seem a problem with it being ""too perfect"", it's just a video on youtube",即使不是在农村地区不是100％真实的（我的意思是，我都知道我们都知道住在乡村和农场上是很多工作，而是互联网上的人们仅显示好的一面，显示出美学上令人愉悦的事物，等等。即使是烹饪视频也可以做到这一点，当您做饭但不在他们的视频中时，这总是一团糟，并不意味着这是错误的，您应该抨击他们。有时人们想以良好的光线展示事物，将辛勤的工作视为美丽的东西。我似乎并不是一个“太完美”，这只是YouTube上的视频
