,cid,votes,含cook,含cook中文翻译
27071,Ugzk5CVFWh2Rl4CX5VN4AaABAg,2,"if you're getting married with me, we will cooking with together everyday because i'm a cooker too. ☺",如果您要和我结婚，我们每天都会一起做饭，因为我也是炊具。 ☺☺
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
6887,Ugx-gw9hRnHA_fAvllJ4AaABAg,2,"i appreciate her cooking skills n work ethics. it's not an easy way for her, yet i see how it can be a blessing.",我感谢她的烹饪技巧和职业道德。这对她来说不是一个简单的方法，但是我看到这是一种祝福。
27413,Ugyp98V4ewmct70GbYR4AaABAg,2,"so fresh..
after work all day..then our wives cook like this..heaven..","好新鲜..
整天下班后..然后我们的妻子这样做。"
31092,UgxD4M4eN8wTeVGPihB4AaABAg,2,love your cooking and wonderful culture love from the philippines,爱你的烹饪和菲律宾的美妙文化爱情
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
15912,UgzVqPigM6ybho-0FcN4AaABAg,2,watching her cook is so relaxing,看着她的厨师是如此放松
185,UgweR-xDykIZutFfjrl4AaABAg,2,"i love all the liziqi video cooking,amazing,interesting,talented",我喜欢所有的Liziqi视频烹饪，很棒，有趣，才华横溢
10105,UgzB1QRcM_ne3hs0jk94AaABAg,2,"i love that she can cook and take care of her grandma, i would like to see her show some passion for her dogs and cats too.",我爱她可以做饭并照顾祖母，我也希望她对狗和猫也表现出一些热情。
34000,Ugz7SwfbL34LYUPGXNt4AaABAg,2,"the first time in my life to see, how to cook professionally snails. thank you :-)",我一生中的第一次看如何专业蜗牛。谢谢 ：-）
269,UgxJIeRwu49m2KTUZml4AaABAg,2,it is great you are good at cooking. i like this rustic countryside,很好，你擅长烹饪。我喜欢这个质朴的乡村
10046,UgzLsJGiry0dWwH7Crd4AaABAg,2,"wonderful, tasty, healthy food.. so eyecatching... love every single food she cooks..",美味，美味，健康的食物。
11355,UgwwZ86h9muDh7Dnm8N4AaABAg,2,that grandma is living the life. i want to spend my time on swing and eat food cooked by liziqi,那个奶奶正在生活。我想花时间在秋千上吃liziqi烹制的食物
33701,UgzrqFOEY6fRRvU0G_B4AaABAg,2,who watches this because of the way she cooks? who watches this because it brings relaxing feelings to you?,谁是因为她的烹饪方式观看了这一点？谁看这是因为它给您带来了轻松的感觉？
11634,Ugw-HUVaZ5tpv0k1Xpp4AaABAg,2,all she cooks looks delicious and very organic.,她所有的烹饪看起来都很美味，而且非常有机。
471,UgyKzqtTNob1_j5eCQt4AaABAg,2,surely the cooking is really delicious.,烹饪肯定真的很美味。
12182,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj97zBs1rUxOG,2,"i used to live like that, i miss climbing trees to get fruits to eat and collecting spices and veggies for my mom to cook. good times.",我曾经这样生活，我想念爬树去吃水果吃饭，并收集香料和蔬菜供我妈妈做饭。美好时光。
33079,UgweRq2qsqqC7uIoVNN4AaABAg,2,"watching this video : i have to eat healthy foods
the real : i don""t have time to cook, i want to eat junk food :-)","观看此视频：我必须吃健康食品
真实：我没有时间做饭，我想吃垃圾食品:-)"
13422,UgwkIaSwezAbMibO7Td4AaABAg,2,2:50 awww kitties! and this is a wonderful eeeeeee!!!!!!! this is the traditional way to cook and how to live in the countryside. so relaxing!,2:50 awww kitties！这是一个很棒的eeeeeee !!!!!!!这是传统的烹饪方式以及如何在农村生活。如此放松！
14053,Ugx7pTCMhr-JavHpJcd4AaABAg,2,"she qualifies for the best cook in china. every dish, even the most simple one, is so elaborated prepared. out of this world.",她有资格获得中国最好的厨师。每道菜，甚至是最简单的菜，都是准备好准备的。离开这个世界。
14757,Ugx1GnDcN21WHq6q5lh4AaABAg,2,"i like calmness 
another thing ..
all plants and planting, and everything around you make something strange from it 
as for the cooking issue, this is another research

my question is reasonable in the year 2020
ako hig shi

can i ask for resorting to you","我喜欢平静
另一件事 ..
所有的植物和种植，周​​围的一切都使它变得很奇怪
至于烹饪问题，这是另一项研究

我的问题在2020年是合理的
ako hig shi

我可以要求你求你吗"
32110,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yVImePdAfj,2,indian people cook it with pork? pork? are you sure?,印度人用猪肉做饭？猪肉？你确定吗？
8803,UgyTRz1YrHNDd8JvRoV4AaABAg,2,constantly preparing and cooking. no other purpose in life. this so perfect life. just like a movie.,不断准备和烹饪。人生中没有其他目的。这种完美的生活。就像电影一样。
31131,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWdYBQJJ6S,2,i think a good cook can make up a beautiful dish of any ingredients in your surrounding or at that moment/season,我认为一个好的厨师可以构成周围或那个时刻/季节中任何食材的美丽菜肴
31128,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWU9kpHyNX,2,designq q thank you!! i’ve been cooking a lot of thai food lately but would love to try making many of the things i see here as well. i’ll look into that channel. thank you very much!,Designq Q谢谢！我最近一直在烹饪很多泰国食品，但很想尝试制作我在这里看到的许多东西。我将研究该频道。非常感谢！
8711,UgyeY57HdVld43d6X-p4AaABAg,2,i really love your cooking and i want you to be ๐’ฏ myself,我真的很喜欢你的烹饪，我希望你成为我自己
15405,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss982VirQPphx,2,she is working very hard. walking in the woods without shoes. cutting bamboo shoots without electric cutter. cooking without ventilation. i see peace but also hardship,她正在努力工作。在没有鞋子的树林里行走。切成薄片，没有电动切割器。烹饪没有通风。我看到和平，但也很艰辛
3495,UgxLUCSuhBK-7PodE1J4AaABAg,2,why are there no subtitles? i really want to understand what and how it cooks and what spices adds! otherwise you have to guess :(,为什么没有字幕？我真的很想了解它的烹饪方式和方式以及香料添加了什么！否则您必须猜测:(
26846,Ugztr1K7azmiUkhpOC54AaABAg,2,"liziqi you should come to england and show our so called celebrity television chefs how to cook, love you videos you are so good looking and talented in many many ways",Liziqi您应该来英国，向我们所谓的名人电视厨师展示如何做饭，爱您的视频，您在很多方面都很漂亮和才华横溢
10637,UgxpGcg5sTb9Uju0HwN4AaABAg,2,"man how do you have the motivation to cook like this every day? i would die of starvation because i wouldn’t be able to make myself forage, cook, and prep for hours it seems like. i wouldn’t care enough about living to do so because i struggle to do menial shit constantly. props to you",男人，您如何有动力每天这样做饭？我会死于饥饿，因为我无法使自己觅食，做饭和准备好几个小时。我不太在乎生活，因为我努力不断地做些糟糕的事情。向您提供道具
23440,UgwftyKqTDe0DueRywt4AaABAg,2,now that's cooking! only in the outback,现在是烹饪！仅在内陆
24625,UgzjI7GY4mj2mIHCVeZ4AaABAg,2,"is the smell of snail powder or sour bamboo shoots? brother feels that it is the cooking stink, and most of them think it is sour bamboo shoots, but the snail powder tastes delicious.",螺蛳粉的臭究竟是螺蛳还是酸笋？哥感觉是煮的螺蛳臭，大多认为是酸笋，不过螺蛳粉味道还是很好吃的。
6042,Ugy9VqH5uUoz8nRCtFl4AaABAg,2,this is just the ordinary countryside life in china. and the food she cooked very common as well. chinese people donโ€t think itโ€s very special actually. but she made these videos so good! and let the rest of the world know how we live. sheโ€s wonderful! :)) btw welcome to china! to see what the real life is like here in person.,这只是中国普通的乡村生活。她烹制的食物也很普遍。中国人实际上并不特别。但是她使这些视频很好！并让世界其他地方知道我们的生活。她很棒！ :)）顺便欢迎来到中国！看看现实的现实生活。
21728,Ugw1Ao7-MT46mEoTcJJ4AaABAg,2,"my question is, does the staffs also eat what liziqi cook?if yes they're so lucky! i'm drooling coz' the food looks delicious.",我的问题是，工作人员还吃什么liziqi厨师？如果是的话，他们很幸运！我在流口水，因为食物看起来很美味。
26224,UgyZb8kCOL9qBR67lDd4AaABAg,2,"i love watch this channel 
everything she cook looks delicious","我喜欢看这个频道
她煮的一切看起来很美味"
26249,UgxKWWZbbB4WJ2vMFsp4AaABAg,2,"im so sorry, but i cant marry you, because you cook everything too spicy, sorry... :)))",我很抱歉，但我不能嫁给你，因为你太辣，对不起... :)）））
21321,Ugwc2yIHSMR4iCIoW2V4AaABAg,2,while cooking she is so aggressive..... don't know why.....!,做饭时，她是如此激进.....不知道为什么.....！
22017,UgxUXSYmkPSpsKhT3V14AaABAg,2,"already pretty smart cook again, i want to have a wife like you.
i'm from indonesia.","再次很聪明的厨师，我想有一个像你这样的妻子。
我来自印度尼西亚。"
4144,UgxwsjD0HeqFZRRKORp4AaABAg,2,"young bamboo ntu if here is the name of a bamboo shoots)) used to be cooked by my mom using santen so there are tasty sauce, just see siiih sauce like this as interesting to try ,,",年轻的竹ntu，如果这是竹芽的名字））曾经由我妈妈用桑登煮熟，以便有美味的酱汁，只需看到像这样的siiih酱
25488,UgyQ7V9k4yRRiJ7Ynxd4AaABAg,2,"such a fake and romanticized image of countryside life! grandma, traditional means of cooking, growing all ingredients, always clean and wearing make up... your team is professional!",如此伪造的乡村生活形象！奶奶，烹饪的传统手段，种植所有食材，总是干净且穿着化妆...您的团队是专业的！
24964,UgyargrgEMdK1S3NI1R4AaABAg,2,i thought she was going to pick and cook the frog as well,我以为她也要挑选青蛙
23919,UgyTYTiQ_9w46NMVZj94AaABAg.8zZwiZjkDDK8zgYmDY8LrC,2,"hsin yoofwu hahahafunny. every time cook luosifen, my roommate wanna kill me.",hsin yoofwu haha​​hafunny。每次库克·卢西芬（Cook Luosifen），我的室友想杀了我。
6262,Ugz0TUnBV4RoNIRmUQl4AaABAg,2,how to wash such a large pot after cooking?,这么大的锅子煮完菜怎么洗？
5984,UgxkTI4XZDH1im4hCRt4AaABAg,2,one of the reasons why i sooo love this channel is because it reminds me of my childhood. i remember we had bamboo plants in our backyard and my parents would cook the best bamboo shoot in coconut milk on earth! ๐ฅฐ,我如此喜欢这个频道的原因之一是因为它使我想起了我的童年。我记得我们的后院有竹植物，我的父母会在地球上用椰奶烹饪最好的竹芽！
26448,Ugw_jrzPSWa7kM4cpJd4AaABAg,2,"every time i watch her cook, i fall in love with her 
then reality wakes me up
#feelsbadman","每当我看她做饭时，我都爱上了她
然后现实唤醒我
#feelsbadman"
3537,Ugy5eGUZU9RJvMazudF4AaABAg.9NvtqVXNXHX9NwcEQTN3Yl,2,"the one you said is industrial thinking. people are gourmet bloggers, but they are not started. her videos are more unique. one of the characteristics is everything, and everything is good. every time i do it, i will spend a lot of time learning to learn the production process, so the video quality of the video will be done. they are all excellent.
in addition, saying a question, i am also in rural sichuan. twenty years ago, before everyone went out to work, the uncle and aunt in the countryside were basically everything, especially when cooking and some simple crafts. these are really really not really not. disaster. now that time has moved, everyone has been working, and rarely stays in the countryside. now young people will basically not be these.","你说的那个是工业化思维。人家是美食博主，又不是开工厂的，她的视频比较有特色，特色之一就是啥都会，而且做的都还不错，每做一期视频都会花很多时间去学习制作过程，所以视频质量都比较过硬。
另外，说个题外话，我也是四川农村的，二十年前，大家还没出门打工之前，在农村的大叔大妈也是基本啥都会，尤其是做菜和一些简单的工艺品，这些其实真的不难。现在时过境迁，大家出门工作了，也基本很少待在农村了，现在的年轻人也基本不会这些了"
3952,Ugx_6mP00CBZ0dxuVkR4AaABAg,2,hi lizipi .. i am in love with your cooking ... you enjoy everything ... the leaves and roots ... the stalks the barks .. you don’t throw anything away ... i am loving and learning a lot from your videos .. .you .,嗨，利奇皮..我爱上了你的烹饪...你喜欢一切...叶子和根...缠着树皮..你不会扔掉任何东西...我爱和学习很多从您的视频..。您。
20269,Ugyqllio6wJBgGkAakJ4AaABAg,2,so many ingredients for one dish.. and each is carefully cooked and prepared.. amazing,一道菜的许多成分。每盘都经过精心烹饪和准备。
24412,UgwntCJ2uJU13ac-h_N4AaABAg,2,"amen... liziqi is amazing and awesome, so beautiful and sexy!!! the best cooking on yt and may god continue to bless you and your grandma!!!",阿们...利兹奇很棒，很棒，如此美丽和性感！！！在YT上最好的烹饪，愿上帝继续祝福您和您的祖母！！！！！！！！！！！！！！！！！！
3534,UgyEI2Sf0FUBE5oqc4h4AaABAg,2,i would love to live in such a place. i don't cook because no mg but living there. how gorgeous!!!,我很想住在这样的地方。我不做饭，因为没有毫克，但住在那里。多么华丽！！！
4658,UgzNvI5NBZw0wi3Bjp54AaABAg,2,"in my city we call it rebung, but at my place we cook and call ""jangan bung""",在我的城市中，我们称其为重生，但在我的位置，我们做饭，称其为“ Jangan Bung”
5424,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9I_xEwz6-BH,2,"im from the philippines and we still have that kind of knife in out house its from my grandpa,i remember thats my favorite knife to use when my mom asks me to cook or help her cook using that kind of knife has this feeling that your chopping is done faster idk why but thats how i feel ,we also used too cooked in clay pots just like her and istg everything that was cooked in a clay pot is 10x more tastier and also if u store water in a clay jog it always takes so sweet and idk know why but putting it in a jog pot the water becomes cold even if the place isnt cold or you didnโ€t put any ice,i miss drinking water from it and eating foods that was cooked in clay pot.also the knife i miss using we dont use it anymore since it not sharp anymore and its hard to make it sharp again they say it uses a diff method on sharpening it,only my granda knows how to but he is years dead already",我来自菲律宾，我们仍然有那种刀从我的爷爷那里放在外面，我记得那是我最喜欢使用的刀完成了更快的速度IDK为什么为什么我的感觉，我们还使用过像她一样在粘土锅中煮过甜美而idk知道为什么，但是将其放在慢跑锅中，即使这个地方不冷或您没有放冰也变冷，我想念喝水，吃在粘土锅中煮熟的食物。我想念使用我们不再使用它，因为它不再锋利了，很难再次使它再次尖锐
13786,UgwjVPb7r_ckIZr_z_h4AaABAg,1,"wow i love that in my country we called that tambo. i cook that with saluyot and coconut milk. with shrimp...

","哇，我喜欢在我的国家，我们称之为Tambo。我用saluyot和椰奶做饭。用虾...

"
25608,UgyhXwMCkAt-Q2ApWvB4AaABAg,1,this woman knows how to make use of nature and her skills. id love to live with her for a week and eat her cooking using only fresh ingredients! it’s so different from the life in sf!,这个女人知道如何利用自然和她的技能。我喜欢和她一起生活一个星期，只使用新鲜食材吃饭！它与SF的生活如此不同！
25079,Ugz5qjdw15y9WFwruYF4AaABAg,1,"i really like to watch this girl, and people look good to cook. i want to marry such a wife.",这女孩我真喜欢看啊，人也好看厨艺真好啊，我想娶个这样的老婆呵呵，
33003,UgweTN5lZEduK1s-jzR4AaABAg,1,hi very nice cooking lovely hours,嗨，非常好烹饪美好的时光
13518,UgzG7pkLjmINEGdf9i94AaABAg,1,super cooking,超级烹饪
13457,UgxxnuGyh2RAxOWJArN4AaABAg,1,"who would think, bring home some logs and prepare your meal, amazing, the prepping and cooking of those dishes, looks good",谁会想，带回家的原木并准备您的饭菜，令人惊叹，这些菜肴的准备和烹饪，看起来不错
33010,UgwtK-MElL4xTlCm6lZ4AaABAg,1,i love those clay pots and earthen jars she use. your food liziqi is so tempting to eat.. how i wish i can do that(cook). would you share some recipes?,我喜欢她使用的那些粘土锅和土罐。您的食物Liziqi很诱人。我希望我能做到这一点（做饭）。您会分享一些食谱吗？
15363,UgxeJV91rOEzvKEvAFR4AaABAg,1,"i would love to try her cooking. please come to san francisco 
i really enjoy your vlogs♥️","我很想尝试她的烹饪。请来旧金山
我真的很喜欢您的视频博客♥️"
13853,UgxHpF21yEtg-LXaB7F4AaABAg,1,"this is a smart wrawn boy cooking, smart chair from bamboo. the boy who works !!
it has beautiful bodies fresh sagins.
i don't know but enjoy the one.

greeting from","这是一个聪明的旺克男孩烹饪，竹子的智能椅子。工作的男孩！
它有美丽的身体新鲜的萨金斯。
我不知道，但喜欢那个。

来自"
31140,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-BdGz17bfM,1,@marshabarnes5935 you can make it less spicy if you want if you're the one cooking you can control the heat,@Marshabarnes5935，如果您愿意的话，您可以减少辣味
10518,UgyH98IEJlwazVr76PN4AaABAg,1,"beautiful aunt people don't like chinese cook e why do you welly bound the fields of jungle cooked fucking cooking all the free people to do not get dwet for blonjo
- greetings to jowo, indonesia","美丽的姨妈人们不喜欢中国厨师e e为什么你为什么要束缚丛林烹饪的田野，煮熟的所有自由人都不会为布隆霍
- 给印度尼西亚乔沃的问候"
23256,Ugx5VsnUwvV3aih37h14AaABAg.8znT4HyokJX9-CtktC7neU,1,hawk8414 then a man can cook his own damn food then. not all women are maids,Hawk8414然后一个男人可以自己做自己该死的食物。并非所有妇女都是女仆
32792,UgzU8mI0-maTigJiPBl4AaABAg,1,"drooling. i think you run an airbnb, then we can go for a retreat and enjoy your cooking too",流口水。我认为您经营Airbnb，然后我们也可以撤退并享受您的烹饪
14511,UgzdfDMv04FzO_VvhRd4AaABAg,1,i so yummy cooking siter,我好吃的烹饪现场者
32392,Ugyu9ehnshlFhT3o2kx4AaABAg,1,"those food look tasty, but there are several dishes with lots of ingredients, and that she cooks them at the same time makes me a little bit confused. i think if she can let one dish finish then move to another one, it will be easier to follow",这些食物看起来很美味，但是有几种菜肴有很多成分，她同时烹饪它们会让我有些困惑。我认为，如果她可以让一道菜完成，然后移至另一盘，将更容易跟随
23157,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ9-3a2LqTDyH,1,"that is a traditional built-in wok. it is hard to control the heat and you have to adapt your methods to the heat below. it can be hard to master. i see some traditional cooking methods from sichuan like the boiling oil over cold foods to cook. but the mountain streams of my family are no-where near that clean. brown or yellow, even the snows of the sichuan mountains are yellow.",那是传统的内置炒锅。很难控制热量，您必须将方法调整到下面的热量中。可能很难掌握。我看到了四川的一些传统烹饪方法，例如冷食上的沸腾油做饭。但是我家人的山溪流在那条干净的地方没有。棕色或黄色，甚至四川山的雪也是黄色。
14927,UgwH9f0TFkCS1ypqfKd4AaABAg,1,your grandma is you lucky to have you!! i wish i could learn how to cook from you!,你的奶奶你很幸运！我希望我可以学习如何向您做饭！
14949,UgwUBeJ3P0hhDcsr2El4AaABAg,1,three moments. first. the sorroundings that she's in. second. the food she is cooking. third and the greatest is the way she care of her granny. that was great. really great.,三个时刻。第一的。她所在的欲望。第二。她正在烹饪的食物。第三，最大的是她照顾奶奶的方式。那很棒。非常好。
23350,Ugys3fVw99zvv6ThBfV4AaABAg,1,respect to this great chief.. natural cooking!,尊重这个伟大的酋长..自然烹饪！
31662,UgyXWtnOzIA9wOzVbsB4AaABAg,1,"it's time to eat a dog, otherwise he cooks all kinds of crap",是时候吃狗了，否则他会煮各种废话
31339,Ugyh-M8i-cQ29Fx8FIx4AaABAg,1,"i once lived in guangxi & ate luosifen alot, very delicious
liziqi cooks luosifen in sichuan style, look more reddish & with much more ingredients
definitely love this channel
greetings from indonesia","我曾经住在广西和吃饭，非常美味
liziqi以四川风格的luosifen厨师，看起来更红色，更重要的成分
绝对喜欢这个频道
来自印度尼西亚的问候"
20086,UgyoDg-bqje9ONumD_54AaABAg.91BRe7KdXWC91RnmwAGkda,1,you can also get lots of skiis of cook from 美食作家王刚 in youtube if u can understand chinese,如果您能理解中文
12862,UgxwuodpGweVxAqN5Yt4AaABAg,1,"delicious irresistible, all the popular dishes that have been eaten but cooked but cooked according to a special and beautiful food",美味不可抗拒的所有流行的菜肴都被食用但煮熟但用特殊而美丽的食物煮熟
13410,UgxMXkuBablEccMaNR54AaABAg,1,"now, i want to live with her on that farm..al veggies are organic . shes not only a farm girl but a great cook to teach me how it's done very easily.",现在，我想和她一起生活在那个农场上。.蔬菜是有机的。她不仅是一个农场女孩，而且是一个很棒的厨师，可以教我如何很容易做到这一点。
33018,Ugzfi1oK85FDwiUjp7Z4AaABAg,1,your channel is so efficency with your cooking we can love vegetables,您的频道对您的烹饪非常有效，我们可以爱蔬菜
24438,UgyI8NoCPH0vb1MxbkJ4AaABAg,1,"wow amazing cooking skills beautifull scenery
mouth water recipesthanks for shareing","哇惊人的烹饪技巧美丽的风景
口水食谱共享"
34859,UgyGYdwb1dqvWbvcFcx4AaABAg.8yUSoxyEviX95mYQNHXv9i,1,"i cooked a snail lion powder in the apartment kitchen, and the taste was not disappeared for a long time, and i went down 3 days later. fortunately, fortunately the roommate was chinese, otherwise it would be complained hahaha",我在公寓厨房煮过一次螺狮粉，味道久久不散，3天后才下去。当时庆幸幸好室友是中国人，不然会被投诉吧哈哈哈
34064,Ugw3e0IH3HvhmjgZbfp4AaABAg,1,rebung? i'm indonesian and my mom used to cook it,重新居住？我是印尼人，我妈妈曾经做饭
34001,UgyqNWQWEiTqYHBOni54AaABAg,1,"she builds, she cooks and a real beauty. she is a real life superwoman",她建造，做饭和真实的美。她是一个现实生活中的超级女性
10976,UgysxbJY-Q5PSbEMk3x4AaABAg,1,i love your garden and the way you cook! you’re a gem,我爱你的花园和你做饭的方式！你是宝石
11062,UgxruKSHZaKy67OCvLJ4AaABAg,1,"i'm so speechless. she is so talented. she is a master of gardening, cooking, sewing, making furniture such as bamboo sofa's. superb..",我很无语。她是如此有才华。她是园艺，烹饪，缝纫，制作竹沙发等家具的大师。超级..
24352,UgxQnsfnJ51lRDjdifF4AaABAg,1,"you know what im thinking watching her. how great my life would be if i find someone like her as my wife. beautiful and can cook well, my heart is mealting just as watching her",你知道我在想着她的想法。如果我找到像她这样的妻子的人，我的生活会多么美好。美丽，可以做得很好，我的心在饭菜，就像看着她
24318,Ugwf4IAlJ-1mmcxoyG54AaABAg,1,^^ you are good at cooking ~,^^你擅长烹饪〜
33769,UgwCJNhRHVU1I7skuyF4AaABAg,1,nice cooking,不错的烹饪
11332,Ugz-mSWg1rD27k81VMh4AaABAg,1,"grandmother always eats all that she cooks and fuckers, why is it all tanned ?? ,,",祖母总是吃她做饭和混蛋的所有东西，为什么要晒黑？
24703,UgwhqaPUUYQrLiUgGC94AaABAg,1,snail n pork cooking together is my favourite dish....nothin beats them...,蜗牛n猪肉一起烹饪是我最喜欢的菜。
24861,UgwJUh4-zrSpuaBG0Nd4AaABAg,1,"its pretty, it's a smart cooking, smartly .. this idaman ..",它很漂亮，这是一种聪明的烹饪，聪明。
33664,UgxW5YWW2BsT4g9OzTh4AaABAg,1,"if you manage to estimate you near the house, and she will find you, then she will come up with 16 dishes, drag you home in a basket behind her back and cook 30 dishes",如果您设法在房子附近估算您，她会找到您，那么她会想出16道菜，将您拖到后面的篮子里，煮30盘菜肴
24128,UgylMuG8dI-iP7bHz8B4AaABAg,1,and cooks and crafts - just a miracle -woman,和厨师和手工艺品 - 只是一个奇迹 - 妇女
33373,Ugx8Ea04GRnV30oipaJ4AaABAg,1,"udh beautiful, good at cooking",UDH美丽，擅长烹饪
24001,UgwM4kS8dzjDC7WVVWN4AaABAg,1,i wish you were my wife. because. i love tge way you cook. hope we will be. lovers in next generation if we r born again,我希望你是我的妻子。因为。我喜欢你做饭的tge方式。希望我们会。下一代的恋人如果我们重生
12252,Ugyzg-bVS3f9ixIeP9F4AaABAg,1,"she cooks well
look craving","她做得很好
渴望"
12299,UgwGKHdXaxgn3fpwnGh4AaABAg.96orMLFlec996piO_wz45b,1,"before you learn how to cook chinese food ,learn some english .loving,not living, learn the difference bewteen the words find and discover",在学习如何烹饪中国菜之前，学习一些英语。loveing，不生活，学习差异，以发现并发现
12655,UgyoPS7TGtupa5uyS_l4AaABAg,1,everyday she cook very well.,她每天都做得很好。
33113,UgyQFEfYPeOwhxv-rjl4AaABAg,1,if you're selling your cooking than we also we can buy n enjoy your food,如果您要出售烹饪
23925,UgwnFjZR-vlD4hLHOJ14AaABAg,1,cook all that dish until noon,煮所有的菜直到中午
12778,UgxuKpn6MeGJB2VchL14AaABAg.96M6U9v0MLP96pm2E2Yd2I,1,"1000years back ？i am so sorry to know that we chinese havent made any progress in the way of cooking after a millennium while the crematories were invented decades ago ，a lot of villagers in china are still cooking this way ,okay?",1000年后回来？我很遗憾地知道，几十年前发明了火葬场的千年后，我们中国人还没有取得任何进展，中国的许多村民仍在这种方式做饭，好吗？
12852,UgwyyDADOnlFaoDhDFR4AaABAg,1,i really wish these didn't have music. i really enjoy how peace just the sound of her working and cooking can be.,我真的希望这些没有音乐。我真的很喜欢她的工作和烹饪声音和平。
25931,UgxDDqbewBEVqPFraQl4AaABAg.8ywsIU928nF8z2LPB56W0u,1,i'm vegan but i love seeing people cook nonvegan meals. either way it's nice to watch people put so much care into simple things like cooking.,我是素食主义者，但我喜欢看到人们煮不素食的饭菜。无论哪种方式，都可以看到人们将这么多照顾到诸如烹饪之类的简单事物中。
12890,Ugwd08uQex0O_9GoSVd4AaABAg,1,"like a little girl, but cooks like an army",像一个小女孩，但像军队一样做饭
33052,Ugwbq6sJ-mAR2gbcvIl4AaABAg,1,"wow, liziqi i love that recipe, thanks!
you know what we also have that here in the pilippines which we call tabagwang in the bicol region.
but in tagalog it's called susò.
we normally cook it with coconut milk and other green leaves (could be ferns, and many others which are compatible with coconut milk.)
raw jackfruit, green papaya, and string beans. hope you try these ones and let us know how much you enjoyed it. :)
be blessed!","哇，liziqi我喜欢那个食谱，谢谢！
您知道我们在Pilippines的这里也有什么，我们称之为BICOL地区的Tabagwang。
但是在他加禄语中，这就是苏苏。
通常，我们用椰奶和其他绿叶（可能是蕨类植物，还有许多与椰奶兼容的其他叶子。）
生菠萝蜜，绿色木瓜和血豆。希望您尝试这些，并让我们知道您有多喜欢。 :)
祝福！"
13078,UgyD4lWhvXUWNA0pJTR4AaABAg,1,"i like her.. multi talenta.. cooking, planting, harvesting, all of life skill she has",我喜欢她..多才华..烹饪，种植，收获，她拥有的所有生活技能
25752,UgyqByNfriu5rRhxiZh4AaABAg,1,i wish i could cook that well,我希望我能做得很好
