,cid,votes,time,含hope,含hope中文翻译
33832,Ugz3gdJmPBQbpHK4RLZ4AaABAg,1,3 years ago,"hi from indonesia! i want to be there soon, i hope! love you!!! ❤️❤️❤️",来自印度尼西亚！我希望很快就在那里！爱你！！！ ❤️❤️❤️
535,UgwHqTK-AkD_cmkK3TF4AaABAg,1,7 months ago,i miss her video. hope she upload soon.,我想念她的视频。希望她能尽快上传。
521,UgyWiSbY1uezdUiFzsp4AaABAg,1,6 months ago,"unfortunately why liziqi does not produce youtube content in 2022, although everything she does is very inspiring and highly creative. hopefully liziqi can recreate content on her youtube channel. amen",不幸的是，为什么Liziqi在2022年不生产YouTube内容，尽管她所做的一切都非常鼓舞人心且具有很高的创造力。希望Liziqi可以在她的YouTube频道上重新创建内容。阿门
470,Ugy8kP21UhjPAoQu5ht4AaABAg,1,5 months ago,hi liziqi ! i am so proud of you and i am extremely admire you because your videos bring about pleasure and peace feeling for me. i am so miss youuu and i hope you will go back in one day. take care! love youuu,嗨，liziqi！我为您感到骄傲，我非常佩服您，因为您的视频给我带来了快乐与和平的感觉。我非常想念你，希望你有一天能回去。小心！爱你
20070,UgyoDg-bqje9ONumD_54AaABAg,1,3 years ago,"liziqi, i love your channel, and all the knowledge that you share with all of us.
one day i hope to find a woman like you to marry 
keep all the great content coming!","Liziqi，我喜欢您的频道，以及您与我们所有人分享的所有知识。
有一天，我希望找到一个像你这样的女人嫁给
保持所有伟大的内容！"
20785,UgwvmQf79KllhLVs-Ex4AaABAg,1,3 years ago,i hope there is a wife ❤️,我希望有一个妻子❤️
34523,Ugy_6JImQNPgRuRq2T54AaABAg,1,3 years ago,"my lord, i want to go. i hope i hope for iraq.",我的主，我想去。我希望我希望伊拉克。
196,UgwTQxZ-keXcR0plzuN4AaABAg,1,1 month ago,knowing her because this video then becomes a fan of chi. the meal now goes to watch the old video of the only. hope you will come back soon,认识她，因为此视频然后成为Chi的粉丝。这顿饭现在可以观看唯一的旧视频。希望你很快回来
20666,Ugxe3zz0nsJJq96kDi54AaABAg,1,3 years ago,"you are a magical existence. i yearn for nature, but now i have to fight for the future. how i hope that the future can be as ordinary and rich as you. come on!",你是个神奇的存在。我向往大自然，可现在得为未来所拼搏，多么希望未来可以像你一样平凡而丰富的生活。 加油！
35198,Ugw841UJ83pw3SFTpgd4AaABAg,1,3 years ago,"im your number 1 fan❤️

i hope my channel grow as yours","我是你的数字1粉丝❤️

我希望我的频道随着你的频道而增长"
2194,UgxcKotOulNa5ZH5OBh4AaABAg,1,1 year ago,hope she will settle the dispute with her manager soon.,希望她能尽快与经理解决争端。
31138,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-7ydicJJwk,1,3 years ago,pamela bellesen i also hope to read your comments. i read them with translation software.,帕梅拉·贝雷森（Pamela Bellesen）我也希望阅读您的评论。我使用翻译软件阅读它们。
5897,Ugxzw7a4e9amPV9oPtl4AaABAg,1,2 years ago,"hello!, my name is ariel, i am from mexico. i am trying to raise funds to be able to return to university since i had to abandon it to help my mother and my brother, i currently work repairing clothes, and i do some work such as rehearsals or crafts but i cannot go back to school, i am trying to develop bags for myself, my idea is to incorporate organic materials that do not pollute the planet, so i can help myself to work and thus be able to go back to school, i want to study architecture, please take the time to read my story and my idea to get ahead, if you can help me by donating or sharing my message to more people i would appreciate it, if you have questions ask me, the least i want is for them to think that i want to scam them when all i am looking for is to achieve my dream of being an architect.
this is my campaign where i explain my situation and my idea i hope you can help me:
https://www.airfunding.net/project/173862?hl=es&utm_source=copied_url&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_173862
i also made a video that is on youtube if you want to see it:
https://youtu.be/e6xn4etzc5k
you can also make a direct donation in paypal which is linked to my fundraising campaign:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=sxu2euq899gqu&source=url
with all my heart thank you for taking the time to read my situation, thank you very much, blessings!!.","您好！，我叫Ariel，我来自墨西哥。我试图筹集资金以便能够返回大学，因为我不得不放弃它来帮助母亲和兄弟，我目前正在修理衣服，我做了一些工作，例如排练或手工艺品，但我不能回到学校，我正在尝试为自己开发袋子，我的想法是纳入不污染地球的有机材料，以便我可以帮助自己工作，因此能够回到学校，我想学习建筑，请进行是时候阅读我的故事和我的想法来取得成功，如果您可以通过向更多的人捐款或分享我的信息来帮助我，如果您有问题问我，我最不想要的就是让他们认为我想要当我想要的只是实现成为建筑师的梦想时，骗它们。
这是我的竞选活动，我在这里解释我的情况，我的想法希望您能帮助我：
https://www.airfunding.net/project/173862？hl = es＆utm_source = copied_url＆utm_medium = social＆campaign = proaign=proight = proign = proign_first_first_sshares&utm_content = prodeject=proteject_proteject_id_id_173838888882
如果您想看到的话，我还制作了一个视频：
https://youtu.be/e6xn4etzc5k
您还可以在PayPal中直接捐款，这与我的筹款活动有关：
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id = sxu2euq899gqu&source=url
全心全意，感谢您抽出宝贵的时间阅读我的情况，非常感谢，祝福！"
5978,UgyA3frxw1HoNw0rtZt4AaABAg,1,2 years ago,i love that girl and place.. i hope someday i can leaving in beautiful place like be there ๐,我爱那个女孩和地方..我希望有一天我可以离开像在那里的美丽地方
31656,UgyU8lQ3_HWOAi9OAyd4AaABAg,1,3 years ago,"can i give you a suggestion to you a little sub? thank you for the sub, but can you only sub the words or dialogue in the video? sub is sometimes too personal and inserted with unnecessary words. liziqi's video is very peaceful and peaceful to see the scene mainly, sometimes curious liziqi and what she says to each other, the conversations are not sub. sometimes there are sub friends also insert sub ads for her channel, so it is very difficult to understand and uncomfortable. i said frankly, i hope you are sympathetic.",我可以向您提供一些建议吗？谢谢您的潜艇，但是您只能在视频中删除单词或对话吗？ Sub有时太个人化，并用不必要的单词插入。 Liziqi的录像带非常和平，很安静地看到现场，有时是好奇的Liziqi以及她彼此所说的话，对话不是sub。有时，有子朋友还为她的频道插入子广告，因此很难理解和不舒服。坦率地说，我希望你很同情。
4229,Ugz9Ei7Rjvl8f75nO-54AaABAg,1,2 years ago,"she is a lagend.i hope, oneday her viewers will cross billion viewers.",她是个野蛮人。我希望，她的观众将跨越数十亿的观众。
2425,Ugx9V95RGuWqinusZMN4AaABAg.9U5xl4LhdXf9UoPoO5zwKZ,1,1 year ago,same here. i hope you enjoy your life wherever you are.,同样在这里。希望您无论身在何处都过上自己的生活。
4675,UgzuLmX3f7G-Fxk0ERl4AaABAg,1,2 years ago (edited),soo excellent content and video making it's a master piece i hope i could get to this level of excellence,如此出色的内容和视频使它成为一件大师，我希望我能达到这一卓越水平
30586,Ugx0QYxH7qRBCOG7xXl4AaABAg,1,3 years ago,subscribe to the channel of the billion from the time when the billion has 300k sub until now without giving up a video. i just hope the facebook and group on facebook to support the billion -qaq,从十亿美元的渠道订阅十亿美元的渠道，直到现在到目前为止没有放弃视频。我只是希望Facebook和Facebook上的小组支持十亿-QAQ
22407,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi92LVlZs2ivn,1,3 years ago,jacky phantom i hope you always live in your delusion,Jacky Phantom我希望您永远生活在自己的妄想中
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,3 years ago,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
5968,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5T0TISDm,1,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
22430,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UoSpCto1wv,1,1 year ago,"what is wrong with all you guys? her video is simple. she just want to show that even in this modern world, we should appreciate the coulture, the nature without technology. so her video is just like tutorial and she want to show the lifestyle. simple. i hope all of you enjoy your lifetimes.",你们所有人怎么了？她的视频很简单。她只想表明，即使在这个现代世界中，我们也应该欣赏没有技术的库尔特，大自然。因此，她的视频就像教程一样，她想展示生活方式。简单的。希望大家都喜欢您的一生。
17762,Ugx9Q2tr8-wCzJJinfZ4AaABAg.92gw10MKfvC92lpZ-eBtJq,1,3 years ago,in fact. in china. female always cook with her ownself. so chinese women much good at cooking. i sincerely hope that you could taste chinese food by hand-making,实际上。在中国。女总是自己做饭。因此中国女性擅长烹饪。我衷心希望您可以手工品尝中国菜
24595,Ugz3gX9aDoZ7srSmI9J4AaABAg.8zIIUFW9BRe8zKZoTQ91tO,0,3 years ago,"it seems the brand was not directed mentioned。but you might check 9‘51 below, hope it helps
https://www.youtube.com/watch?v=ovoslq-aep8&t=410s","看来该品牌没有被指定为提及。，但您可以在下面检查9'51，希望它有帮助
https://www.youtube.com/watch?v=ovoslq-aep8&t=410s"
24637,UgzjI7GY4mj2mIHCVeZ4AaABAg.8zGiDawdmiN8zMmMEXljC1,0,3 years ago,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
22463,Ugw43-0690IyGT4UasF4AaABAg,0,3 years ago,i hope ellen interviews her,我希望艾伦采访她
20906,Ugy4bSnKsprJjR2cSeV4AaABAg,0,3 years ago,i hope you can see the channel of e.,希望您能看到E的渠道。
25090,Ugxx19Ia0ByhC1paplt4AaABAg.8z8FXQ1aC7C8zMmG_6gn0X,0,3 years ago,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
22738,UgzlgC7NwWQ7aEU1F1N4AaABAg,0,3 years ago,i loved the peaceful natural ambience and the way she cooks variety hope to try sumtime lyk dis wen we give back to nature nature gives back to us,我喜欢和平的自然氛围以及她烹饪的方式，希望尝试sumtime lyk wen我们回馈自然自然回馈我们
24698,UgyZkcFGipSyJOrU4kV4AaABAg,0,3 years ago,i hope you go to vietnam and my home,我希望你去越南和我的家
22998,UgzneLt3WxCXd_RNp3J4AaABAg,0,3 years ago,god how i hope she opens a restaurant someday...,上帝，我希望她有一天能开一家餐厅..​​.
25091,Ugxx19Ia0ByhC1paplt4AaABAg.8z8FXQ1aC7C8zMmHrkAEJ-,0,3 years ago,@vicw1189 i hope you subscribe to my channel on chile's channel,@vicw1189 我希望你订阅了我在智利的频道问候
20655,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91p3aTk0EKF,0,3 years ago,"ooi yew sing thanks for science. in fact, including many countries including this brother, unless they are chinese, they seem to have rarely a natural favor for the chinese ... so i especially hope that more cultural output about china has more cultural output. ziyi happened to play this role by chance, but the world is big, this is not enough, alas.",Ooi Yew Sing 感谢科普。其实包括这位兄弟在内好多各国的网民，除非自己是华人，否则似乎很少有对中国人有天然的好感的……所以我特别希望关于中国的有感染力的文化输出更多一些。子柒偶然之中起到了这样的作用，但世界之大，这点还不够吧，唉。
25451,UgytcLUwUWgtJRMo3v14AaABAg,0,3 years ago,"grandma is so cute, i hope you can be healthy!",奶奶太可爱了，希望你们都能健健康康！
22597,Ugw5OHgkf0Ll5ErkzeZ4AaABAg,0,3 years ago,foods culture art the new era is coming... i hope. thx for sharing beautiful!,食品文化艺术新时代即将到来...我希望。 THX分享美丽！
22832,UgyLsNIQDUxcTUv05Px4AaABAg,0,3 years ago,i hope there is a wife like you,我希望有一个像你这样的妻子
21782,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9W5iNY2Sj4v,0,1 year ago (edited),you can check out gayyem benben channel. he is making contents like this too. he cooks filipino food too. i hope this helps.,您可以查看Gayyem Benben频道。他也是这样的内容。他也煮菲律宾食物。我希望这有帮助。
24533,UgxRYjUQAvJckq8cRWh4AaABAg,0,3 years ago,"this is my favorite, thank you for sharing this video, hope you visit also in my small channel,",这是我的最爱，谢谢您分享此视频，希望您也会在我的小频道中访问
24387,UgzAPZq0paiT2tAi-cN4AaABAg,0,3 years ago,i hope you subscribe to my channel on chile,我希望你订阅了我在智利的频道问候
21629,UgyqyBZJ74KwxSUpNdd4AaABAg,0,3 years ago,"lizig's video is shocking, but some interesting people like to interfere with our comments and lack the processing ability of indian men. in my comments, i hope that the link can be used to make a stove (clown)",lizig的视频令人震惊，但一些有趣的人喜欢干扰我们的评论，缺乏印度裔男子的处理能力，在我的评论中希望链接可以用来做火炉（小丑）
22026,UgyNznBkcEkdjIm0MHF4AaABAg.9-I7M9BVLBX9-ZEtyWtJse,0,3 years ago,@meichan9572 yes i completely understand i'm a native american from the navajo tribe i hope this young lady if she doesn't already have childrenhas children and teach her children the tradition so they can keep it up for myself i feel bad that i am not practicing my native culture for one i don't speak fluent navajo i also do not practice many of the traditional ways although i can cook some of the food but i can see that she is carrying on from the old ways i love that i'm proud of her,是的我不会说流利的纳瓦霍人，但我也不会练习许多传统的方式，尽管我可以烹饪一些食物，但我可以看到她正在从我喜欢的旧方式中继续前进，我为她感到骄傲
22109,UgySsyc2h3a4TKQJe294AaABAg,0,3 years ago,i hope when she gets married (ofc if she wants to) that her husband isnt a lazy sack of shi~....*coughs* you know what i mean,我希望当她结婚时（如果愿意的话），她的丈夫不是一个懒惰的什叶派〜....*咳嗽*你知道我的意思
23983,UgzTNolArRmdRk-mA8d4AaABAg,0,3 years ago,i hope god will grant me enough money. ill buy lot in the country side and have this kind of life.,我希望上帝能给我足够的钱。生病在乡下买了很多东西，并拥有这种生活。
22588,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-YzmNR63N4,0,3 years ago,"she has talked about her future plans, she is not against marriage, but she hopes to meet someone she really loves, so she is not in a hurry to get married. she is a very independent girl and i believe she knows what she wants.",她谈到了自己的未来计划，她不反对婚姻，但她希望见到她真正爱的人，所以她不急于结婚。她是一个非常独立的女孩，我相信她知道自己想要什么。
21416,UgzRij23w0dZKdeLsX54AaABAg,0,3 years ago,i hope li-ziqi uploads 4x videos every month ... because i want to see it every week ...,我希望li-Ziqi每月上传4倍视频...因为我想每周都能看到它...
23669,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX9CQ3CNC66lx,0,2 years ago,hope you didn't take a sip too. did you ?,希望你也不要喝一口。你是否 ？
21236,Ugx2a8hKY57-LRwBHOt4AaABAg,0,3 years ago,i love all your videos liziqi and now finally found you on youtube. i hope this is your real channel.,我喜欢您所有的视频Liziqi，现在终于在YouTube上找到了您。我希望这是您的真正频道。
24040,UgzPWc8Sn4iqvPPd2Cx4AaABAg,0,3 years ago,"god is a sweet life, i hope i live in",上帝是一种甜蜜的生活，我希望我住在
24191,UgzD1AOKWs3JTeLjgid4AaABAg,0,3 years ago,u hope she is my wife :),你希望她是我的妻子:)
24288,UgwWPdrazAiT8I9ZfCh4AaABAg,0,3 years ago,hi queen liziqi . you still amazing me . how is your grandma ? l hope she is well and you too . i wish to have your address in china if it possible . please accept my best wishes .,嗨，liziqi女王。你仍然很棒。你的祖母怎么样？我希望她也很好，你也是。如果可能的话，我希望在中国有您的地址。请接受我的最良好的祝愿。
21177,UgzTisD1_Jdm_QrhIsp4AaABAg,0,3 years ago,hope you will take more care of your hands,希望您能更多地照顾您的手
24373,UgxHG7EkjVPS7FA43qV4AaABAg,0,3 years ago,"very nice 't eat poke it's not good for human being 
hope you don't mind and english language also use for us we not much new what you making food and what you added in the cooking 
please do easy for us thanks","非常好
希望您不介意和英语也用于我们，我们没有什么新鲜的东西，您在做饭和烹饪中添加的东西
请为我们做轻松，谢谢"
22450,UgwHxU7a_4e2cN8qAtB4AaABAg,0,3 years ago,life is so peacefully away from the noisy lifestyle in the lavish cities that are increasingly expanding to return to a quiet countryside to live a peaceful simple life that is the dream of many people. hope you can produce many meaningful videos like this so that everyone can feel. good luck,生活如此和平地远离奢侈城市中繁华的生活方式，这些生活方式越来越不断扩大，以返回一个安静的乡村，过着和平而简单的生活，这是许多人的梦想。希望您可以制作许多这样的有意义的视频，以便每个人都能感觉到。祝你好运
25677,Ugx0NvvpDB96-0Pn7gl4AaABAg,0,3 years ago,"do you have to breathe exhaust fumes because you cook on fire? does the furnace has a good ventilation? if you have to breathe exhaust fumes(i hope you don't have to):
to improve the ventilation you can put a self-turning fan on the chimney. the smoke which rise through the chimney makes the ventilator turm. the turning of the ventilator sucks all the other smoke into the chimney like a vacuum cleaner so you don't have to breathe unhealthy smoke.
i am sorry for my bad english.","因为您着火而必须呼吸排气烟吗？炉有良好的通风吗？如果您必须呼吸排气烟雾（我希望您不必这样）：
为了改善通风，您可以在烟囱上放置一个自动转变的风扇。通过烟囱升起的烟雾使呼吸机Turm。呼吸机的转动将所有其他烟雾吸收到烟囱中，就像真空吸尘器一样，因此您不必呼吸不健康的烟雾。
对我的英语不好，我很抱歉。"
22585,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BSx9A7UbL,0,3 years ago,"@choink2558 i am just human...not the best one because i need to learn to really love myself more so i can love the others in the way they deserve but i think i am progressing...i hope women can have more respect,freedom and more opportunities in this planet...we know how is hard to be woman...
but my respect goes to woman,man,child,babies,animals,for the ones who is really trying to make these world better somehow... like liziqi i am becoming so calm after her videos and i was so stressed ,so negative...but after her i feel piece in my mind because she make us feel a lot feelings by her videos...i am glad about it ❤","@choink2558我只是人类...不是最好的人，自由和在这个星球上更多的机会...我们知道很难成为女人...
但是我的尊重是对女人，男人，孩子，婴儿，动物的敬意，那些真正试图使这些世界变得更好的人……就像Liziqi一样，我的视频后，我变得如此镇定，我感到非常压力，如此负面。 。"
79,UgwTfXh_rIp72NkjESh4AaABAg,0,2 weeks ago,i miss you liziqi. i miss seeing your beautiful calming videos. its been a while and there's no new notification pop up on my phone. hope everything goes well. god bless you dear,我想念你liziqi。我想念您美丽的平静视频。已经有一段时间了，我的手机上没有弹出新的通知。希望一切顺利。上帝保佑你亲爱的
25678,UgwrbnGg6v0iaPKwIHJ4AaABAg,0,3 years ago,hope ges long te eats for the way,希望Ges Long Te可以用途
31398,UgylAYnQnGNj8IdNnvV4AaABAg,0,3 years ago,dear liziqi and brother... thank you so much for listen our hope and request to make and share your video more often,亲爱的liziqi和兄弟...非常感谢您倾听我们的希望，并要求更经常制作和分享您的视频。
31967,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e9EugaNBlJDf,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
31661,Ugz6kkw4oM4_fmjlF4l4AaABAg,0,3 years ago,"very good ☺
hope you will always be successful ❤","很好☺
希望您将永远取得成功❤"
31639,UgynKl5VCcoWuiupNZF4AaABAg,0,3 years ago,"hi
my mandarin vocabulary is not good
i hope you can speak indonesian
i really like your videos","你好
我的普通话词汇不好
我希望你能说印尼语
我真的很喜欢你的视频"
31615,UgyDVIjHjHcW2lw_F-p4AaABAg,0,3 years ago,"china is very poor and backward. we can't afford to bring packaging mustard and tea eggs, and we can only make it by ourselves. i hope that developed countries will give more economic support!",中国非常贫穷落后，我们吃不起带包装的榨菜和茶叶蛋，只能自己手工制作。希望发达国家多给予我国经济支援！
31530,UgxyEORnn2s8SpxTLbV4AaABAg.8yVC98Mn7iZ8yVRx3jLF6q,0,3 years ago,"with economic support, it will be better! i also hope that she will do better and better!",有经济作支撑，会做得更好而已！也希望她越做越好！
31503,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19EugD0t1XPY,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
31143,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO892YkuQp-HP8,0,3 years ago,sam zhai thank you very much. one day i hope to visit!,Sam Zhai非常感谢您。有一天，我希望参观！
32155,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV9EugEiDU1he,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
31059,UgzRakTdWJL_jXEU0S14AaABAg,0,3 years ago,i hope ramsay can try these~,我希望拉姆齐能尝试这些〜
30971,Ugx7GD9YnjWxwp-D_cl4AaABAg,0,3 years ago,i hope you still live there so that i can travel and meet you one day. just hoping.,我希望您仍然住在那里，以便有一天我可以旅行并与您见面。只是希望。
30943,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ9EufwuoRUhG,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个"
30404,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Eufr9aZTWi,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个"
30374,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AQshhwfEvY,0,2 years ago,"xuebaru is not black taiwan. i believe most mainlanders have not had maliciousness to taiwan. we have educated in taiwan from childhood to childhood. it is not real to black the continent, what can not afford tea eggs, anywhere, etc., are not true. i hope everyone can understand more about communication and eliminate prejudice. welcome to the mainland to learn about the real mainland.",雪中云雀 并没有黑台湾，我相信绝大多数大陆人本来没有对台湾有恶意，我们从小到大受的教育关于台湾的风土人情都是正面的，只不过长大看到太多台湾那边不切实际地黑大陆，什么买不起茶叶蛋、随地大小之类的，其实都不是真的，希望大家能多多了解交流消除偏见，欢迎台湾朋友来大陆了解真正的大陆
30335,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw395XgMp1Pk-X,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
32081,UgyC5DmFEUlwLA01ouh4AaABAg,0,3 years ago,"i love how you get right to the video, no intro and nothin' i hope you will continue to make a lot videos in the future ❤❤❤ i want to visit you so bad",我喜欢您如何正确地观看视频，没有介绍，也没有'我希望您将来会继续制作很多视频。
32378,UgwyRQ693nHE35MEL494AaABAg,0,3 years ago,"i hope to visit there for a while, see and learn a lot from it
from indonesia","我希望在那里访问一段时间，见到并从中学到很多东西
from indonesia"
30285,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw391rF6QaX5-S,0,3 years ago,we all do hope she is well...and i am sure li ziqi takes best care of her❤,我们都希望她一切都好...而且我相信李Ziqi会尽力照顾她。
34049,UgzMyL0UzaOjA7ejzkp4AaABAg,0,3 years ago,"so i am a huge fan of super-woman li ziqi, i've managed to get my parents addicted, also. this episode, again so beautiful, and i'm watching as i'm eating a slightly burned hotdog that started a small fire in my toaster oven tonight. so. that. every episode i am so fixated on the pummelo tree right by the house. where i live these are imported and was only get them in the winter, only a couple stores carry them, do it's just hard to find them, and often they are old, and dried out, or they were picked too soon and just don't ripen the way i like best. at best i might get 6 or so in a year. and they are no where near as big as the ones growing outside the front door. i hope no one is standing there if one falls, it looks like it would knock you out, cold. are there others that like this fruit and have a hard time finding them?",因此，我是超级女性Li Ziqi的忠实拥护者，我也设法使我的父母上瘾了。这一集又是如此美丽，我正在看着我吃了一个有点燃烧的热狗，今晚在我的烤箱里开始了小火。所以。那。我的每一集都被固定在房子的Pummelo树上。我住的地方是进口的，只有在冬天才能将它们拿到，只有几家商店携带它们，很难找到它们，而且常常是老的，又干了，或者被挑选得太早了，只是不穿' T以我最喜欢的方式成熟。充其量我可能会在一年内得到6个左右。而且，它们的大小不像前门外面的那样大。我希望没有人站在那儿，如果一个人跌倒，看起来它会把你撞倒，冷。还有其他喜欢这种水果并且很难找到它们吗？
35112,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUX7Pf57Mk,0,3 years ago,hope oil is inspiring haahah,希望石油鼓舞人心哈哈
34674,Ugxzy6MAl-butT40_ix4AaABAg.8yUTUIyLaPC9EugUc4N7_u,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
34550,UgyEhAdhjaRCCuDy82V4AaABAg,0,3 years ago (edited),"i hope everyone in china acts like her.... 

damn... china eats everything nowadays.... 

no offense but... if they ever see anything alive... they will put it in a pan...","我希望中国的每个人都像她一样行事。

该死的...中国如今吃的一切...

没有冒犯，但是...如果他们看到任何活着的东西...他们会把它放在锅里..."
34238,UgzkqMsIl4DsCcgEilt4AaABAg,0,3 years ago,"her videos are promoting peace, soothness, treatment for depressive ones & hope that you can do anything. love you lizqi. thank you ❣️",她的视频正在促进和平，舒缓，对抑郁症患者的待遇，并希望您能做任何事情。爱你利兹。谢谢你❣️
34138,UgzCHxRxrBLYKnuYxIJ4AaABAg,0,3 years ago,"bamboo bamboo shoots are large, fresh ingredients are taken from nature. they can enjoy such a life. i hope they will make some good videos in a healthy life. if the mother -in -law will leave in the future, there will be no regrets. modern young people have time to accompany the elderly more. , don’t just take care of work entertainment, go home and take a look at it together. eating together is also a kind of happiness.",竹笋大大的，新鲜食材都取自大自然，她们好享受这样的生活，希望她们健康生活下去再做一些好视频，如果未来婆婆走了也不会留下遗憾，现代年轻人有时间多陪伴老人家，不要只顾工作应酬，常回家看看，一起吃饭谈谈也是一种幸福快乐
