,cid,votes,time,含amazing,含amazing中文翻译
21808,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-w8XKhIoy-,2,3 years ago,jacob rios no china is an amazing place trust me.,雅各布·里奥斯（Jacob Rios No China）是一个了不起的地方，相信我。
185,UgweR-xDykIZutFfjrl4AaABAg,2,1 month ago,"i love all the liziqi video cooking,amazing,interesting,talented",我喜欢所有的Liziqi视频烹饪，很棒，有趣，才华横溢
24966,UgyWJyuYDdLJPtXSW0V4AaABAg,2,3 years ago,"this is an angle, living in heaven. amazing....",这是一个生活在天堂的角度。惊人的....
6417,UgzgF1xkhroFoJjei054AaABAg,2,2 years ago,"you have such a oneness with nature and life,my god bless you and your household. i would love to visit you and maybe get first hand knowledge from you your amazing",您与自然和生命有如此统一，我的上帝保佑您和您的家人。我很想拜访您，也许从您那里获得第一手知识
31723,UgzXGcQUxZHhzvFjDeR4AaABAg.8yV6J2m_P458yVMn4vVXwV,2,3 years ago,@sietohojoin yes... me too..its so amazing what you can discover here in youtube by accident ..makes you wonder ..,@sietohojoin是的...我也..太神奇了，您可以在YouTube中发现的东西。
9241,UgyiNUY9ElRSNXAR4_x4AaABAg,2,2 years ago,amazing beautiful nature living bamboo very famous in thailand too some of thai cuisine also the same as chinese cuisine and we have also china town in thailand alot of chinese people live in thailand i really love your video and it look so beautiful nature living god bless you,令人惊叹的美丽大自然活着的竹子在泰国也很有名的泰国美食也与中国美食相同，我们在泰国也有中国小镇，很多中国人都住在泰国
26913,UgyLFwvsP3cYafS57w54AaABAg,2,3 years ago,"damn... not gonna lie that place is amazing

while in my place (which no one asked for) looks complete garbage","该死的...不会撒谎的地方很棒

而我在我的位置（没人要求）看起来很完整垃圾"
13109,UgyAyWYwXKiBgC9l3M14AaABAg,2,3 years ago,so cool how she pics all her own food and makes beautiful recipes from the ingredients.. amazing how she takes such good care of her family as well. they will be devastated when she finds a man lmao,她如何为自己的食物拍照，并从食材中制作出美丽的食谱。当她找到一个男人lmao时，他们将被摧毁
33430,Ugy03CkKsPIFS7k_9nV4AaABAg.8yUbaCQrcWw8yUoU33xsVo,2,3 years ago,"it's just a show with amazing team work for making money, but they are very talented.",这只是一场令人惊叹的团队赚钱的表演，但他们很有才华。
20269,Ugyqllio6wJBgGkAakJ4AaABAg,2,3 years ago,so many ingredients for one dish.. and each is carefully cooked and prepared.. amazing,一道菜的许多成分。每盘都经过精心烹饪和准备。
3474,UgxpvHiJlyxoU-CdJsd4AaABAg,2,2 years ago,"hello i am brazilian and i really like your channel but i would love to understand what you are doing, the name of the food, i find it amazing how you do everything as if it were art",你好，我是巴西人，我真的很喜欢您的频道，但我很想了解您在做什么，食物的名字，我发现您如何做所有事情，好像是艺术
7680,UgySRDc3K_wBYeTYAo54AaABAg,2,2 years ago,it's can be stored for future used . that was so amazing..we used it that was part of our culture,它可以存储以供将来使用。真是太神奇了..我们用它是我们文化的一部分
9602,Ugy3iird3YeUrhfEGBd4AaABAg,2,3 years ago,what a amazing chinese. i'm proud of you.,多么了不起的中国人。我以你为荣。
26638,UgzS06kWPFl_gfzwTgF4AaABAg,2,3 years ago,"omg.... this is paradise.
totally enamored with this spirit.
amazing imagery and editing.

i think i am in love!","天哪。这是天堂。
完全被这种精神迷住了。
惊人的图像和编辑。

我想我恋爱了！"
33817,UgyeamwHSeP40m6sQFd4AaABAg,2,3 years ago (edited),"a while ago, the grandma was the one who was used to do all of this, and now her granddaughter is carrying on. that's so amazing",不久前，奶奶是曾经用来做所有这一切的人，现在她的孙女正在继续。真是太神奇了
4263,Ugx8-LL9EVufNw0uMvt4AaABAg,2,2 years ago,these videos are amazing. i would give anything for a woman like her.,这些视频很棒。我会给像她这样的女人提供任何东西。
22787,Ugy94eKmyhYG2tn1qGB4AaABAg,2,3 years ago,how does she manage to look so put together while doing all these? amazing,她在做所有这些时如何设法将其放在一起？惊人的
27919,UgybNr0RnhhNq5pdzAd4AaABAg,2,3 years ago,"someone please tell me where this amazing woman is so i can put a ring on her finger. you can have your model girlfriend, you can have your trophy wife i'll take liziqi cuz when i come home from work i know i'll have a great home cooked meal waiting for me and won't starve or go out to eat everyday.",有人请告诉我这个了不起的女人在哪里，这样我就可以在她的手指上戴上戒指。您可以有模特女友，您可以有奖杯妻子，我下班回家时，我会带Liziqi Cuz，我知道我会有一顿很棒的家庭烹饪餐，等待我，不会饿死或每天出去吃饭。
24412,UgwntCJ2uJU13ac-h_N4AaABAg,2,3 years ago,"amen... liziqi is amazing and awesome, so beautiful and sexy!!! the best cooking on yt and may god continue to bless you and your grandma!!!",阿们...利兹奇很棒，很棒，如此美丽和性感！！！在YT上最好的烹饪，愿上帝继续祝福您和您的祖母！！！！！！！！！！！！！！！！！！
28205,Ugw86V_c-K2geqRg8Zt4AaABAg,2,3 years ago,amazing delicious food,美味的美味
19487,Ugzpf0qsovtVOOYiFZF4AaABAg,2,3 years ago,it's amazing to take this and edit it (^○^),将其进行编辑真是太神奇了（^○^）
24472,Ugz5MJbtiJHR-tKGOQB4AaABAg,2,3 years ago,"i can't believe everything here is natural, so down to earth...amazing.!!!",我不敢相信这里的一切都是自然的，所以脚踏实地...太神奇了。
15312,Ugz_OHop8UiSQha9_ZB4AaABAg,2,3 years ago,she is just so amazing with her range of skills. i'd put rings on her fingers,她的技能系列真是太神奇了。我把戒指放在她的手指上
31448,UgzUhy0ArkMmX7hrJix4AaABAg,2,3 years ago,you are truly amazing! ❤,你真的很棒！ ❤
28614,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g90HTtd5dRkl,2,3 years ago,she is super amazing... “i,她非常了不起...
24656,UgwselWmk2_2mtGLqWF4AaABAg,2,3 years ago,love from pakistan're doing absolutely amazing work!,来自巴基斯坦的爱，您的工作绝对了不起！
9930,Ugz7nqMl2Z4akpECoAh4AaABAg.99M9Z9YChfd9AMXIqB61W7,1,2 years ago,"iโ€m so sorry if anyone feels offended. i think iโ€ve chosen the wrong emoji. what i meant was โ€wow sheโ€s tough and amazing ๐คฉโ€ 
while the 2nd line means i am not used being barefoot like that i donโ€t know what i step on iโ€m afraid of worms or something like that and it would feel a little uncomfortable at first.","如果有人感到生气，我很抱歉。我认为我选择了错误的表情符号。我的意思是“哇，她坚强而令人惊叹
虽然第二行意味着我不像那样赤脚，但我不知道自己踩什么，但我害怕蠕虫或类似的东西，一开始会感到有些不舒服。"
8925,UgwT8El9WDjIpzRbPBR4AaABAg,1,2 years ago,"amazing video, thank you and be well.",令人惊叹的视频，谢谢，要好。
9978,UgxHcX9pGWbaU6W7vhx4AaABAg,1,3 years ago,"that looks amazing!!! why can't my chinese restaurant offer that?? tired of the same crap pork, pork, pork, chicken, beef,....bats,, cats....",看起来很棒！！！为什么我的中国餐厅不能提供？厌倦了同样的废话猪肉，猪肉，猪肉，鸡肉，牛肉，....蝙蝠，猫....
9116,Ugy5NlJebTYB-gXw_rR4AaABAg,1,2 years ago,"she is so nice, so great...amazing ladyโค",她真好，真是太好了...神奇的女士❤
9464,UgwVthmqOSHZqtB5m314AaABAg,1,2 years ago,"wow you are very great and amazing, you can make very delicious food, you eat with your parents, in my place young bamboo is called rebung, on the second day you also make food that is no less delicious and you serve it to your parents, me really really like your video, greetings from indonesia, i like 477, i pray that your mother is always healthy",哇，你很棒和很棒，你可以做非常美味的食物，你和父母一起吃饭，在我的家中，年轻的竹子叫雷恩，第二天你也做的食物也很美味，我真的很喜欢你的视频，印度尼西亚的问候，我喜欢477，我祈祷你的母亲总是健康的
9307,UgxkVpMql_3v5vxe-Bh4AaABAg,1,2 years ago,amazing place ๐,惊人的地方
8956,UgxL-cIMl7mtOuGyGqF4AaABAg,1,2 years ago,amazing,惊人的
8942,UgzZU7tfbk151moQ98F4AaABAg,1,2 years ago,amazing lady.๐’–๐’–๐’–..love love from sabah๐’–๐’–๐’–,神奇的女士。
1,UgxoA52jn60A6W3mEnJ4AaABAg,1,1 day ago,"she is an amazing woman. she tends her food, animals, and takes care of her grandmother! she fixes things around the farm as well! you would have to run to keep up with her!",她是一个了不起的女人。她抚养自己的食物，动物，并照顾祖母！她也修理了农场周围的东西！您必须跑步才能跟上她！
23761,UgyHNtND2dUgQ1TIHIJ4AaABAg,1,3 years ago,thankyou for this amazing video of your knowledge and skills,谢谢您的知识和技能的惊人视频
26100,Ugx_Fmj3mBTTzh0mmiF4AaABAg,1,3 years ago,i don't know why but i'm glad i found this channel..amazing..,我不知道为什么，但是我很高兴我找到了这个频道。
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
15059,UgyXX_xjoXT1JqFellJ4AaABAg,1,3 years ago,"such an amazing place to live, and the knowledge to make everything she does.",如此出色的生活场所，以及使她所做的一切的知识。
15229,Ugx_7nktOohPVXofr9d4AaABAg.93P9AlUjoi293WO3P-ZYdF,1,3 years ago,"liuzhou ""luosifen"" is amazing food. it's smells bad which has the taste of fermented bamboo shoots. but when you eat it ,it tastes delicious.",Liuzhou“ Luosifen”是很棒的食物。闻起来很糟糕，它具有发酵竹芽的味道。但是当您吃它时，它的味道很美味。
24691,Ugz446NyP1CN-3BNo4F4AaABAg,1,3 years ago,this would be amazing in anime graphics!!!,在动漫图形中，这将是惊人的！！！
14142,UgwdCOlW5kz0lHK8v8Z4AaABAg,1,3 years ago (edited),"oh my god... this chinese woman is more than the wonder woman cuz this is real. and she is my inspiration for my daily life. oh god, please bless this amazing and beautiful/pretty chinese woman....",哦，天哪...这个中国女人不仅仅是神奇女侠，因为这是真实的。她是我日常生活的灵感。哦，天哪，请祝福这个神奇而美丽/漂亮的中国女人。
25118,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zHQtBGRS1S,1,3 years ago,"in vietnam, bamboo shoot stew with pork is amazing too",在越南，用猪肉炖竹子也很棒
24541,Ugwhm7DbQ8sFdd492ul4AaABAg,1,3 years ago,all i can say is amazing..,我只能说太神奇了。
15356,UgwOAlLYD2QItN3zL6d4AaABAg,1,3 years ago,the food looks amazing and i would've never thought to use bamboo shoots for food,食物看起来很棒，我从来没有想过要用竹芽作为食物
24438,UgyI8NoCPH0vb1MxbkJ4AaABAg,1,3 years ago,"wow amazing cooking skills beautifull scenery
mouth water recipesthanks for shareing","哇惊人的烹饪技巧美丽的风景
口水食谱共享"
13457,UgxxnuGyh2RAxOWJArN4AaABAg,1,3 years ago,"who would think, bring home some logs and prepare your meal, amazing, the prepping and cooking of those dishes, looks good",谁会想，带回家的原木并准备您的饭菜，令人惊叹，这些菜肴的准备和烹饪，看起来不错
26080,Ugz18w-c0HZv-OqtPEt4AaABAg,1,3 years ago,"is there not anything liziqi can't do?
she is absolutely amazing with everything she does.
i love her skills","Liziqi不能做任何事情吗？
她所做的一切绝对令人惊讶。
我爱她的技能"
13063,UgxVDqz-xQj3O33nFuR4AaABAg,1,3 years ago,what an amazing woman what a beautiful place and the food looks 5 star,多么神奇的女人是一个美丽的地方和食物看起来5星
26111,Ugzse7WnbbERNebxaY54AaABAg,1,3 years ago,amazing women...,惊人的女人...
10049,Ugzs5GeTNUcT0vo2mhZ4AaABAg,1,3 years ago (edited),"bamboo is amazing. it provides food, it can be used to make pipes, build shelters, make rugs, furniture, baskets, etc... and it grows super quickly, so if collected in reasonable amounts, its supply will never end.",竹子很棒。它提供食物，可用于制造管道，建造避难所，制作地毯，家具，篮子等...并且它会迅速增长，因此，如果以合理的数量收集，其供应将永远不会结束。
15803,UgyT2omFLQas4Qsz1Zd4AaABAg,1,3 years ago,this is amazing.,这真太了不起了。
26222,Ugw7-GlQq6jT0Spu0wl4AaABAg,1,3 years ago,amazing . i like to eat all of that.. i love it from cebu.,惊人的 。我喜欢吃所有这些。我喜欢宿雾。
26587,UgziE-m4IRw9Y4FoWBl4AaABAg,1,3 years ago,"amazing, ghibli feeling",惊人的，吉卜力的感觉
12028,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s99oj7Zr83fp,1,3 years ago,she is very amazing girl. clever. every things,她是非常了不起的女孩。聪明的。所有事情
15932,Ugx_KEuuB0D-JAYdaS54AaABAg,1,3 years ago,"as a chinese, i really appreciate what you do. your videos are just amazing, i feel so proud",作为中国人，我非常感谢您的工作。您的视频真是太神奇了，我感到非常自豪
8784,UgxYprYQ6OuZjAJaG854AaABAg,1,2 years ago,"what wonderful women !!! as a fairy tale, i look, amazing! !! sincerely!!! happiness, health to you !!!",我看，真是个童话，真是个童话！ !!真挚地！！！幸福，健康！！！
11364,UgyllmIePerguujNMe54AaABAg,1,3 years ago,amazing,惊人的
11299,UgxLV5tVWrtmLFEDU1R4AaABAg,1,3 years ago,wonderful garden with magic growing vegetables and amazing hardworking lady with wonderful talent!,奇妙的花园与魔术种植蔬菜和令人惊叹的勤奋女士，具有出色的才华！
27242,UgxTCR3--SLug76coB94AaABAg,1,3 years ago,your lifestyle is amazing.. .. from saudi arabia,您的生活方式很棒.. ..来自沙特阿拉伯
11134,UgzDP-ECepWYZ5ZHAgl4AaABAg,1,3 years ago,so beautiful! so glad to discover this amazing channel!,如此美丽！很高兴发现这个惊人的频道！
11090,Ugzqg9lpBM2IHyyYA7Z4AaABAg,1,3 years ago (edited),don't know why i'm so relaxed by watching someone doing her things. it's weird feeling but amazing.,不知道为什么我看着有人在做她的事情而感到放松。这很奇怪，但很棒。
10705,UgxUqAD8gta9hcq1jXl4AaABAg,1,3 years ago,"you are an amazing and very hard working person. growing up in rural areas, i can relate to your experiences and these videos brings so much nostalgia to me",您是一个了不起又非常努力的人。在农村地区长大，我可以与您的经历有关，这些视频给我带来了很多怀旧
8833,UgyApMIoZmjCchKEu2B4AaABAg,1,2 years ago,how amazing everything is found within her bounds and in unending abundance,在她的范围和无休止的丰富之中，一切都令人惊奇
18677,UgzwK3aC6QxMxSFb5Gh4AaABAg,1,3 years ago,amazing plastic free life！,惊人的塑料免费生活！
14673,Ugz7PX9AJNb5sx7IQrN4AaABAg,1,3 years ago,what if i could go back to the days when my grandmother was alive...liziqi's life is amazing,如果我可以回到祖母还活着的日子... Liziqi的生活真是太神奇了
33786,UgyU5MROYR7cKNtsUgx4AaABAg,1,3 years ago,you are really amazing woman ✋,你真的很棒的女人✋
20226,UgzNWHNRZISiwNXtOCR4AaABAg,1,3 years ago,"☀️amazing very amazing but beautiful work... very nice video.
weldone good job. best of luck☀️","☀quingamiging非常令人惊奇，但很漂亮的作品...非常不错的视频。
Weldone好。最好的buck☀️"
5840,UgxvU6KR2D8WrsYYdV14AaABAg,1,2 years ago,you are amazing,你很棒
5741,Ugz6oELsKifbsshb5Kl4AaABAg,1,2 years ago,amazing lifstyle...,惊人的Lifstyle ...
19104,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392gcQkQVj2H,1,3 years ago,"@chicagodaisyflower china is a beautiful, diverse and vibrant country^ ^ especially the southern part such as shanghai, zhejiang, jiangsu and sichuan. people are very kind and considerate, they are genuinely inclusive and open. if you plan to travel in future i'd strongly recommend starting from shanghai and then go to zhejiang and sichuan--amazing scenery, city vibe and numerous cuisines~",@chicagodaisyflower中国是一个美丽，多元化和充满活力的国家 ^ ^，尤其是南部，例如上海，Zhejiang，Jiangsu和Sichuan。人们非常友善和体贴，他们真正具有包容性和开放性。如果您打算将来旅行，我强烈建议您从上海开始，然后前往Zhejiang和Sichuan - 令人惊奇的风景，城市氛围和许多美食〜
31088,Ugyw-ST4oiN3iipDZ4l4AaABAg,1,3 years ago (edited),8:24 layers of flavors that she put in that noodle soup is amazing . 8:49 temperature management.,她在那个面条汤中涂上的8:24风味真是太神奇了。 8:49温度管理。
5260,UgywrYEbifBNxf3QiCd4AaABAg,1,2 years ago,i love your channel itโ€s amazing it actually puts in perspective of how people actually used to live love u from michigan,我喜欢您的频道，这真是太神奇了，它实际上使人们真正地从密歇根州生活过Love U
33948,Ugz2rCI3AFgdrpUzAg14AaABAg,1,3 years ago,your so amazing and beautiful inside and out. ❤,您的内在和外面如此神奇和美丽。 ❤
19234,Ugw-yUeh9r6FK4AdHRl4AaABAg,1,3 years ago,the food looks so amazing!,食物看起来很棒！
33933,UgwWzHvkZtzjRE4rhb94AaABAg.8yUXDRIrP908yUkDigVmT9,1,3 years ago,@preetyrecklessyim7106 actually if you check her web page she wrote on it that she now has a team on 3 people filming. i still think she is amazing.,@preetyrecklessyim7106实际上，如果您查看她在此上写的网页，她现在有一个在3个人拍摄的团队。我仍然认为她很棒。
33932,UgwWzHvkZtzjRE4rhb94AaABAg.8yUXDRIrP908yUhpgxRIJX,1,3 years ago,"娥惠陳 dear , theres is ni team or production, liziqi do all the video by her own . how amazing she is.",娥惠娥惠亲爱的，有NI团队或制作，Liziqi自己制作了所有视频。她有多神奇。
19311,UgzeenfE_JNgKAz48xt4AaABAg,1,3 years ago (edited),she goes everywhere barefoot? amazing,她赤脚到处走吗？惊人的
4818,UgxEEx3Gz_EroJs4U7V4AaABAg,1,2 years ago,amazing life with natural.,与自然的惊人生活。
22583,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BRhULN5JA,1,3 years ago,"@kateydid18 she can be whatever she want,she is li ziqi...for me she is amazing ...even if she is bi,gay,or straight she could have the possibility to be mother in the way she want to be by natural way,or adoption ...we have so much love and admiration for her that we dont want her amazing skills to be forgotten or stop with her...just that...we just want more from her...
she is free and wise...and we need to respect who she is,and her choices... no matter what...
(sorry about my bad english :) )","@kateydid18她可以成为自己想要的一切，她是李齐（Li Ziqi）...对我来说，她很棒...即使她是双性恋，同性恋或直率，她也可以像她想成为母亲一样成为母亲自然的方式或收养...我们对她充满爱心和钦佩，我们不希望她的惊人技能被遗忘或与她停下来...只是……我们只希望从她那里得到更多...
她是自由和明智的...我们需要尊重她是谁，以及她的选择...无论如何...
（对不起，我的英语不好:)）"
31877,Ugx2IHGWkbzidfYHZDx4AaABAg,1,3 years ago,another amazing video liziqi. i love this!,另一个令人惊叹的视频liziqi。我喜欢这个！
4380,UgwcvrKHy4u5ExZB-uJ4AaABAg,1,2 years ago,this is amazing video,这是很棒的视频
6715,Ugyt7bQjILbSTnEwmTN4AaABAg,1,2 years ago,amazing garden i wonder what kind of climate there is and the type of soil. must be very productive. does she grow peanuts there?,令人惊叹的花园，我想知道有什么样的气候和土壤类型。必须非常有生产力。她在那里种植花生吗？
4336,Ugx6BveLaPR3hedB8Kh4AaABAg,1,2 years ago,amazing cinematography. clear concept. some1 is thinking outside the box!!,惊人的摄影。清晰的概念。 Some1在盒子外面思考！！
32060,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yWAQ6S0Crm,1,3 years ago,"pysvtfa4 this is the first comment i have ever gotten a reply to haha! i totally get what you mean, she’s an amazing hardworking goddess. even though she wasn’t super rich, i’m pretty sure that she was decently well off in terms of finance in order to even own this much land anyways. thanks for educating me more about her!",pysvtfa4这是我对哈哈的回复的第一条评论！我完全明白你的意思，她是一个了不起的勤奋女神。即使她不是超级富裕，我也很确定她在金融方面表现不错，以便无论如何都拥有这么多土地。感谢您对我进行更多有关她的教育！
4270,Ugw666kH9E61AQ9WB9J4AaABAg,1,2 years ago,oh my god! amazing!❤❤❤,我的天啊！惊人！❤❤❤
4185,UgzOk1bOCzKbWR7jmMt4AaABAg,1,2 years ago,amazing,惊人的
19572,UgxM1DApm_GMbl_POw54AaABAg,1,3 years ago,"it turns out that 7⃣️ sister is so hot here! the attention of more than 7 million, it's amazing","原来7⃣️姐在这里这么火的呀！7百多万的关注,厉害了"
32409,Ugyckvqd2X-8XrWPFT14AaABAg,1,3 years ago,ziyi is so amazing in taiwan is out of print,子柒好厉害在台湾已经绝版了
4098,UgwONdZYcRO2_e58NzB4AaABAg,1,2 years ago,amazing,惊人的
33589,UgzkwVkd6qE8f_lGX3V4AaABAg,1,3 years ago,as always amazing vlog thanks,一如既往的令人惊叹的视频博客谢谢！
2563,UgyXvq0tiVgho-Z2u014AaABAg,1,1 year ago,"it's a elegant and gorgeous lady
the scenes of the videos are so amazing and incredible
really like the country side's life and the hard working lady you are 
thanks for your sharing","这是一位优雅而华丽的女士
视频的场景是如此的惊人和不可思议
真的很喜欢乡下的生活和努力工作的女士
感谢您的分享"
2587,Ugw2BflNGRGx9vTnVrR4AaABAg,1,1 year ago,i love liziqi channel her cooking videos really amazing,我爱liziqi频道她的烹饪视频真的很棒
22435,Ugx0y03yQ2qO15UdrSR4AaABAg,1,3 years ago,oh my god it's really really amazing and your place wow wow wow wow,哦，天哪，这真是太神奇了，你的地方哇，哇哇
32849,UgwPsGz4eHif7YcJXdR4AaABAg,1,3 years ago,you’re amazing,你很棒
32902,UgyCmizRb4bOTTx4oLV4AaABAg,1,3 years ago,really love this channel the dishes and food ingredients are amazing x,真的很喜欢这个频道的菜肴和食物成分很棒x
33112,UgwZpQJ-CUXYbLLq0K94AaABAg,1,3 years ago,it's amazing really beautiful cute girl assume videos ❤,真是太漂亮了可爱的女孩，假设视频❤
21006,UgxIs9OXSVxqQBrNujR4AaABAg,1,3 years ago,amazing. if life was simply like this it would be wonderful.,惊人的。如果生活就是这样，那将是很棒的。
3084,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9R8z8b7otUL,1,1 year ago,sounds amazing,听起来很棒
7396,UgwGse6omrRZQnHGAcN4AaABAg,1,2 years ago,amazing.,惊人的。
8346,Ugy8WRtCZR24uPT6FkR4AaABAg,1,2 years ago,you are really amazing.. always take care and keep smiling..god bless you,你真的很棒..总是照顾并继续微笑..上帝保佑你
21368,UgwdkLgmoHycXe2ajyl4AaABAg,1,3 years ago,"it,s amazing",太奇妙了
29488,UgwBJL_9kO2KOXB6ZKt4AaABAg,1,3 years ago (edited),"i just don’t get the people...more like trolls that comes in here and say liziqi is an actress, her channel is chinese propaganda, etc.

i don’t believe liziqi is an actress or that her channel is chinese propaganda. but even if liziqi is an actress or her channel is chinese propaganda, so what? that does not change the fact that liziqi is an amazing woman and her show is a super top quality show that’s informative, educational, mesmerizing, interesting, and highly entertaining.","我只是没有吸引人们...更像是在这里进来的巨魔，说Liziqi是一名女演员，她的频道是中国的宣传，等等。

我不认为利兹奇是一名女演员，也不认为她的频道是中国宣传。但是，即使利兹奇是女演员，还是她的频道是中国的宣传，那又如何呢？这并没有改变Liziqi是一位了不起的女人，她的表演是一场超级质量的表演，内容丰富，教育意义，令人着迷，有趣且非常有趣。"
617,UgwcxrK9g-NfVdgv5Dp4AaABAg,1,8 months ago,"very beautiful and interesting video, thank you for this amazing share, truly beautiful video",非常美丽和有趣的视频，谢谢您的惊人分享，真正美丽的视频
18215,UgzO9RReP89Kg9NVxVF4AaABAg,1,3 years ago (edited),i always wonder... grandma is so so so so so lucky to have such an amazing grandchild.,我总是想知道...奶奶真是如此幸运，能拥有一个如此惊人的孙子。
18305,Ugzyk0WS-2gLnsHROER4AaABAg,1,3 years ago,"if you ever wonder why chinese people are slim, look how much works they do and how much meat they eat every day... amazing video",如果您想知道为什么中国人为什么苗条，看看他们每天做多少工作以及他们吃多少肉...很棒的视频
18765,Ugzyxhs3ZGr_q7smYUl4AaABAg,1,3 years ago,wow this lady is amazing,哇，这位女士很棒
21677,UgzH7hHmV2sHnzP_OxB4AaABAg,1,3 years ago,wow...amazing...,哇...太棒了...
7373,UgxUsTIdvskYcjiupl54AaABAg,1,2 years ago,omg this woman is amazing!ยฐ,天哪，这个女人很棒！°
747,UgwEuTQQvjv-lg0b3iF4AaABAg,1,10 months ago,your videos are amazing,您的视频很棒
21800,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-a8uGL-rGw,1,3 years ago,so amazing,如此惊人
239,UgwinLcyTc_IB2rvbpx4AaABAg,1,2 months ago,"amazing cooking, i like your video",很棒的烹饪，我喜欢你的视频
37,UgyKnfIOmLcJLLUUbKt4AaABAg,1,2 weeks ago,good amazing,很好的神奇
21162,Ugx7hqC9sqO3z_HxCF14AaABAg,1,3 years ago (edited),ziyi is very amazing,子柒很了不起
34363,UgxmXqmXAbdGj9UaDXl4AaABAg,1,3 years ago,there's no way of saying how amazing this is! i highly highly appreciate you making these videos for us. please don't stop. love you ❤️,没有办法说这有多神奇！非常感谢您为我们制作这些视频。请不要停止。爱你❤️
29797,UgwRwuzV8oZuklD7B0l4AaABAg,1,3 years ago (edited),americans have a hard time making macaroni and cheese haha this woman blows my mind... we all can learn from her. just amazing,美国人很难做到通心粉和奶酪哈哈这个女人让我震惊……我们都可以向她学习。太神奇了
8361,UgxyJRCt5fpU7WldnTt4AaABAg,1,2 years ago,jesus i find this amazing. inspired me more and more,耶稣，我觉得这很棒。越来越启发我
18571,UgwOUb_hho4h6RuU8Xl4AaABAg,1,3 years ago,"i just got to know her today. i watched a few today. she is so amazing. at first, i have so many questions i cannot believe she can shot a movie like this all by herself!!! it is better than anything i watched before, even from many well funded organizations and commercials. but later i got to hear her story from another sources, i am so admire her! her parents divorced and she lived with her daddy, but her daddy passed away when she was five. she then was raised by her grandparents in countryside. at 14, she had to leave for city to make a living. learned many skills and chose back home to take care of her only grandma. shot the movie by herself alone, very difficult but first few nobody noticed her until one. now she hired camera man shot for her... i have to say her food must be better than any michelin’s restaurant. she is the best chef, artist, farmers, movie director!!",我今天只认识她。我今天看了几个。她真是太神奇了。起初，我有很多问题，我不敢相信她可以自己拍摄这样的电影！！！它比我以前看过的任何东西都要好，甚至来自许多资金丰富的组织和广告。但是后来我听到了她的故事，我很佩服她！她的父母离婚了，她和爸爸住在一起，但爸爸五岁时就去世了。然后，她由祖父母在农村长大。 14岁时，她不得不离开曼城谋生。学习了许多技能，然后选择回到家来照顾她唯一的祖母。独自拍摄电影，非常困难，但前几个人直到一部都没有注意到她。现在，她雇用了摄影师为她开枪...我不得不说她的食物一定比任何米其林的餐厅都要好。她是最好的厨师，艺术家，农民，电影导演！
7238,UgyDCLRsWPigz9c0YK14AaABAg,1,2 years ago,the most beautiful of what the eye sees with amazing honesty,眼睛最美丽的诚实看到的东西
22037,Ugw_ALxoZxltfzN_pUR4AaABAg,1,3 years ago,"thanks for video amazing, relax music.... and the beautiful girls very nice job",感谢您的视频令人惊叹，放松音乐....和美丽的女孩非常出色的工作
29958,UgxT8YNVf6OA0Oqm2Dl4AaABAg,1,3 years ago,amazing and calming,惊人而平静
14745,UgwzEHqgrZMDUhltGB14AaABAg.94-iqKmL1Vj949ulDyW-L5,1,3 years ago,oh that sounds amazing. thank you for recommending.,哦，这听起来很棒。谢谢您的推荐。
35109,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUWGP7mftw,1,3 years ago,luh !!! me too!!!! she's amazing very talented pa love her!,Luh ！！！我也是！！！！她很有才华的PA爱她！
8644,Ugx4JM24Z6NGkQiO-CN4AaABAg,1,2 years ago,"i'm so proud of this girl, amazing",我为这个女孩感到骄傲，很棒
105,UgwpYeJ8Kmpo1zlar_l4AaABAg,1,3 weeks ago,missing your amazing videos,错过了您惊人的视频
21583,UgxN-v8VuLO9BuOO_2V4AaABAg,1,3 years ago,dear liziqi . you are amazing❤,亲爱的liziqi。你很棒
22250,UgyitEMrTG8ZjJkFgjR4AaABAg,0,3 years ago,my sister is really amazing,姐姐真的好厉害 什么都会
21989,UgwKENDbkG2K1I5RV2p4AaABAg,0,3 years ago,amazing!!! what a beautiful way of life!!,惊人的！！！多么美好的生活方式！
