,cid,votes,含like,含like中文翻译
25944,Ugw93U0P1lvpwS5HmYp4AaABAg,1,wow ๐ฎi have to say sheโ€s so perfect talented girl. i love how she prepares her food looks so delicious yummy ๐ if i had a wish i would like that kind of simple life and be living in that time of era were no interference from the outside world. thank you for sharing your life with us che che ๐โ๏ธ๐,哇，我不得不说她是如此完美的才华横溢的女孩。我喜欢她准备食物的样子看起来如此美味的美味
29745,UgxsAXukkZWfP-nZlZB4AaABAg,1,has anyone like it? โบ,有人喜欢吗？
25943,UgzWd9nZ1DdYYwDjwHB4AaABAg,1,you donโ€t even realise how much i want to live like you๐,您甚至都不意识到我想像你一样生活
25867,UgxWSHRti37eojlIxqd4AaABAg,1,"liziqi i like youu๐๐
๐ฎ๐ฉ๐ฎ๐ฉ๐ฎ๐ฉ","liziqi我喜欢你
"
29680,UgyVEe5HuRYjR7WmFqt4AaABAg,1,your video is calming me. i love the nature around you. i have a dream to live in this kind of place. i like planting and i love vegetables than meat. i'm so glad i found your channel youtube. i agreed with all the people's comments. you're deserve when we call you princess. stay healthy and you can continue making videos for us.,你的视频使我平静。我爱你周围的大自然。我有一个梦想在这种地方生活。我喜欢种植，我喜欢蔬菜，而不是肉。我很高兴找到您的YouTube频道。我同意所有人的评论。当我们称您为公主时，您应该得到。保持健康，您可以继续为我们制作视频。
37511,Ugy-Cll7nOHP9j65Ult4AaABAg,1,"i am so good scared by the video... when i saw it in recommendations, i was just expecting some of those clichรฉ things made for european youngers (haha), but in fact it is simple, and even holding this nostalgic feeling of do the things in a traditional way, it is still looking like something that we, me, could do once. it's inspirational because everything seems to be done in the correct time, the way she broke the wood stick, the candies package...",我对视频感到非常害怕...当我在建议中看到它时，我只是期待一些陈词滥调的东西是为欧洲少年制造的（哈哈），但实际上很简单，甚至保持这种怀旧的感觉以传统方式的事情，它仍然看起来像我们一次可以做的事情。这是鼓舞人心的，因为一切似乎都在正确的时间完成，就像她打破木棍的方式，糖果包装...
29886,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8yALo6xZ3lF,1,do you like chinese girls?,你喜欢中国女孩么？
25794,UgzcP7WNhgPrFn-J4qJ4AaABAg,1,i like you pets a lot and your cooking skills,我非常喜欢你的宠物和你的烹饪技巧
25774,UgwkjpN7kQkxRtfXaJR4AaABAg,1,a lot of vietnamese people like your videos and so do i. you are famous enough to be the most prestigious newspaper in vietnam. i wish you and grandma good health ๐ป๐ณ,许多越南人喜欢您的视频，我也是我的视频。我希望你和奶奶身体健康
25757,UgwQPSLL3y4zcHIjZc94AaABAg,1,"you're a wonderful human being. i would like to make a video about you where you are specifically, what age you are and your family environment. i see your videos very joy. god bless you",你是一个很棒的人。我想制作一个有关您的视频，具体来说，您的年龄以及您的家庭环境。我看到您的视频非常高兴。上帝祝福你
25748,UgzuB5Lt2_09YsegfjJ4AaABAg,1,i absolutely love these videos like everyone else i get so motivated to get things accomplished.,我绝对喜欢这些视频，就像其他所有人一样，我很有动力使事情完成。
35074,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vwkK8bbAen,1,therewasnochill i donโ€t know what makes you thinks you know china mare than the chinese themselves. there is an english saying in china that who give you confidence to say like that,我不知道是什么让您认为自己知道中国母马比中国人本身。在中国有一个英语的说法，他让你有信心这样说
26042,UgwcKKCaErnslhCc0uZ4AaABAg,1,you are amazing..i like what you doing..i love how and were you live..i wish to live there too๐,你很棒..我喜欢你在做什么..我爱你的生活。我也想住在那里
30017,Ugy1tpEUl6clNilr9hV4AaABAg,1,malayalami ..... is there? plies like,Malayalami .....在那里吗？喜欢
26142,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-NZapZ2nam,1,those who dont have confident to try one of her activities in her videos can dislike easily and simply... lol.,那些没有自信的人在视频中尝试其中一项活动的人很容易不喜欢……大声笑。
29466,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yojVT_eoiA,1,"@paulchen1067 i don't know if it is your understanding of your understanding or not to see it carefully. what i said is ""actually protecting taiwanese netizens and beneficial to taiwan"", not ""to protect taiwan"". although the research and development of firewalls, although it is not subjective to protect taiwan, it objectively protects taiwan and protects taiwan. as for the reasons for the research and development of firewalls, many domestic forums have discussions, which are mainly summarized as:
first, because there are many yellow adult websites outside the wall, these pornographic websites do not have any protection, and children can open it at will. these primary school students who are still studying are not seen. the two children should see these pornographic adult websites when they should not see these things, so it protects my children at least. i am very grateful;
second, many fake news of rumoring and discredited chinese demons outside the wall flies. some people who are not mature are not enough to distinguish. it is easy to be misleading. it is the same as the brainwashing sun flowers in taiwan. the united states. the country is very good at using tools such as the internet and traditional media to combine the right to speak and subvert other countries in combination with the right to speak in the hand. the spring of arabia, which occurred in a series of countries in a series of countries in the middle east, is the united states and other use of the internet hegemony to incite and subvert other countries. the big ""masterpiece"", the current violent turmoil that occurs in hong kong is the same. as long as those who have a little mind and a little international insight can see clearly. assuming that the middle east countries also had comprehensive internet protection measures at that time, they would not be by the united states. using social media such as the internet to easily incite their domestic fighting and turmoil, it ultimately leads to the tragic situation of war, the people's non -talk, refugee flowing, and economic collapse. the history of traditional colonial countries such as the united states and britain used the internet to infiltrate and subvert the country in one day or two. the intelligence department uses the internet and other tools to conduct as many as 39 countries that have infiltrated and subverted other countries. this is what the united states is said in hillary's mouth. china's firewall to a certain extent has a certain blocking effect on this intelligence agency using the internet to incite public opinion and cause social turmoil to ultimately achieve the ""ingenious strength"" of subverting the country's regime. the entire exposure of the eyelids of the anti -chinese countries will be manipulated by the information departments such as the united states, which leads to the chaos in hong kong today. the purpose of trump is to use hong kong as a bargaining chip to the extreme of china to pressure china. in order to eventually occupy more cheap china in the trade war negotiations.
third, in fact, for the consideration of national security, many countries have walls, south korea, and germany, usa, and germany. india envy china to have bat, and it is ready to engage in the wall. after all foreigners, snowden exposed the prism door, especially after the german chancellor merkel's mobile phone was listened to the cia, germany was also building a wall. it seems that this is a trend. the internet has now become a new battlefield. the major countries are developing network troops and building walls crazy, but the forms are different. the united states has long been set off the world in the world. in addition to prism doors, there are also five -eye alliances. the internet world has long been reduced to the colonies in the united states without knowing it. the ability to be capable of capable of has a wall. only those who are unable to build it are going. the american wall is much more advanced than the chinese wall technology. it is difficult to find that this is really a bit embarrassing. in fact, the background is also recording cross -border traffic and even secretly analyzing the content of the mail package. similar words such as ""production"" and ""buying suicide bombs"", and soon, fbi agents came to your house to search. these are keywords and sensitive words monitoring techniques. obviously haha, the chinese wall is a pediatric department compared to the american wall. chinese technology can only monitor itself, and even the technology can not completely make it unable to turn the wall. however, lao and american technology can monitor the world. the gap is really not a little or two, but a generation and two generations.
some people say that china is engaged in net walls to be afraid that domestic people will know what the so -called truth, and the actual situation is exactly the opposite. if you are really afraid of people in the country to know what the so -called ""truth"" and why do you put so more than 100 million domestic in china a year people go out to see ""truth""? can you stop it? are you afraid that more than 100 million people will go out to see the ""truth""? obviously this is conflict. china has more than 150 million people every year, and 130 million foreigners entering china have become the world's largest in the world. one of the tourist destinations, as many as 10 million foreigners living in china, as many as 60 million chinese people living abroad, hundreds of foreign embassies and consulates in china, more than 100,000 foreign media resident reporters, there are more than 10 million international multinational companies and foreign trade companies are held in hundreds of international conferences and large -scale activities in china each year. after 40 years of opening up, china has already been integrated into the world in all aspects. in the era of information such in information, everyone can spread through the global era when everyone picks up a mobile phone, saying that the idea of โ€โ€being afraid of people know what ""truth"" is really naive, and it also proves how ridiculous the guessing people who want to eat melon for granted. essence
the fourth is to protect the growth and growth of its own internet industry. do not want to be occupied by american companies like the same domestic internet as the world. the top ten important network industries in the world are either the united states or in mainland china, and they have begun to enter the global market. the top ten internet companies in the world, each of which each country and the united states are half. other countries are zero. some people once said that there are only two world internet countries. the united states and china (this is permanently set in wuzhen, zhejiang, zhejiang, china. to. mainland china โ€s internet strength is second in the world. although the overall strength is still far behind the united states, it is the only country that is comparable to the united states in the internet field. the european union, india, russia, canada, japan, australia cannot do it, because of the degree of pain, the market, the market, the population, the population, the funds, the language, the policy, the technology, culture, etc. when we laughed at this firewall, we did not know that only from politics, the vision of thinking was so narrow, and the sour people's vision was like a rat, foolish. the internet achievement of the walls of the wall in china is: we have created a set of our own network industry chain, the second largest in the world. and when netizens all over the world brush fb and yt every day, when google's hou, they did not realize that their countries, including some european countries, have become ""colonies"" in the united states of the united states, not only the online market and public opinion were facebook, but they were facebook. foreign network power control dominates other foreign network power control, and the people of their domestic companies must also pay expensive advertising fees and usage fees. and all the personal data of their national and enterprises, all of which are stored in the server of the us internet company giants, have long been safe. in the past two years, fackbook has repeatedly gone out the incidents of leakage of their personal information information and selling. it is one of the proof.
the fifth is to facilitate the management of the network and crack down on cyber crimes. the internet is the same as a real society. every day, a lot of criminal activities are filled with criminal activities. some of them have subverted the country, illegal operations, and criminal criminals, such as online fraud, money laundering, online gambling, mlm, cult transmission ... and police officers in a country it can only be enforced in its own country because of the multinational nature of the internet. if criminals set up the server abroad, and criminal activities such as fraud on ordinary people in the country, the police can only watch them implement criminal crimes against domestic abroad. there is no way to manage it. this is not a good thing for the interests of ordinary people. this wall can filter most of this kind of overseas fraud, gambling, money laundering, etc. most filtering can increase the difficulty of crime of overseas criminal criminals, which is valuable. ordinary people do nโ€t care about turning over the wall, and they do nโ€t touch the law. for example, college students write papers to check foreign language information, etc., and 99%of chinese resources are on the internet in the country. the chinese content outside the wall is added. there are more than 1%. compared to those who do not understand foreign languages, the wall is the real sea. it is just a small puddle on the wall. i am not proficient in foreign languages. individuals are proficient in a foreign language, so there is no great impact on the wall. besides, this firewall does not block all foreign websites outside, but just block part of the content of the country and the people. many foreign websites can be accessed directly. domestic ipv6 users, and some campus networks. education network can directly access foreign websites. many domestic websites, including apps, can also be accessed directly from abroad, such as weibo, douyin, and douyin, douyin, douyin, and douyin, douyin, and douyin, douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin, and douyin. douban ... you can access it directly from abroad, and the firewall is not intercepted by a knife. there are so many embassies, multinational companies, foreign trade companies, foreign -related institutions, universities, and research institutions. this number is an astronomical figure. so many people are legally used to use external networks for daily work and business. even the official cctv in china is on yt. with the official channel, it can be seen that the role of the firewall is not to block the network and outside the network. the function is obviously filtering, filtering out those things that are harmful to national security and the interests of the people, and retaining beneficial things. a person is sick alone. everyone knows to go to the hospital to see a doctor. when you take medicine and take medicine, you have to remove the germs that endanger your body to keep your body healthy. why can't the internet be filtered out of those bad things and keep the internet be healthy. in short, weighing the advantages and disadvantages and comprehensive considerations, li yuan is more than disadvantaged.
the above just means that i am not ""refuted for refutation."" everyoneโ€s iq, eq, experience, observation, and international vision are different. the depth and breadth of thinking are different, but one thing must be remembered. that is, don't float in the appearance, don't want to be cloudy, but get rid of prejudice and settings, think independently, and approach the essence and truth. in this way, you can truly achieve ""not confused"" without being stupid. break and use.","@paulchen1067 不知道是你的理解力问题还是看得不仔细，我说的是“实际上保护了台湾网民，对台湾有利”，不是说“为了保护台湾”。研发防火墙，主观上虽然不是为了保护台湾，但客观上保护了台湾，既“实际上”保护了台湾。 至于研发防火墙的原因，国内很多论坛上都有讨论，主要归纳为几点： 
一是因为墙外很多黄色成人网站，这些色情网站没有任何防护，小朋友都可以随意点开，这些总不能让那些还在念书的小学生初中生等小朋友看到才对吧，反正我是不希望我家的两个小朋友在不该看到这些东西的年龄看到这些色情成人网站的，所以它至少保护了我家的小孩，我是很感激的； 
第二，墙外很多造谣抹黑妖魔化中国的假新闻满天飞，有些年纪不大还不成熟的人思考力分辨力还不够，很容易被误导就跟台湾那些被洗脑的太阳花觉青一样，美国等国家非常擅长利用互联网和传统媒体等工具结合手中控制的舆论话语权对他国进行意识形态的渗透和颠覆，发生在中东一系列国家的阿拉伯之春就是美国等利用互联网霸权煽动颠覆它国的一大“杰作”，目前发生在香港的暴力动乱也是如此，只要稍微有点脑子有点国际洞察力的人都看得一清二楚，假设当时中东国家也拥有完善的互联网保护措施，也就不会被美国等利用互联网等社交媒体轻易就煽动其国内的内斗和动乱，最终导致如今这些国家战火纷飞、民不聊生、难民流离、经济崩溃的惨状。美英等传统殖民国家利用互联网对它国进行渗透颠覆的历史可不是一天两天了，从乌克兰到摩洛哥，从利比亚到叙利亚，从埃及再到委内瑞拉，据维基解密统计，冷战结束后，美国CIA等情报部门利用互联网等工具对它国进行渗透颠覆搞掉的国家多达39个，这就是希拉里口中所说的美国的“巧实力""吧，毕竟美国掌握着全球互联网霸权和舆论话语权，而中国的防火墙在一定程度上对这种情报机关利用网络进行舆论煽动和造成社会动荡最终达到颠覆别国政权的“巧实力”有一定的阻挡作用，而香港正是因为互联网过于开放，毫不设防，整个暴露在反中国家的眼皮底下，才会被美国等情报部门随意操弄，导致今日香港乱局，而特朗普的目的正是要将香港搞乱作为向中国极限施压的一个筹码，以便于最终在贸易战谈判中占到中国更多便宜。 
第三，实际上出于国家安全的考虑，很多国家都有墻，韩国有，美国俄国德国都有，印度羡慕中国有BAT，也准备要搞墙了，泰国防部建立“天网” 追踪境内全部外国人，斯诺登曝光棱镜门后，尤其是德国总理默克尔的手机被美国中情局监听后，德国也在筑墙，看来这是趋势，网路现在已经成了一个全新的战场，各大国都在发展网络部队，疯狂筑墙，只是形式不一样而已，而美国，早就在全世界布下了天罗地网，除了棱镜门，还有五眼联盟，监视全世界，完全没设防的国家，网络世界早就沦为了美国的殖民地而不自知，有能力的国家基本都有墻，没能力建设的就只有随它去了，而美国的墻比中国的墻技术先进多了，一般人都很难发现，这个确实有点屌，其实后台一样在记录跨境流量甚至暗中抓取邮件包内容自动分析，发邮件人一点感觉都没有，在美国境内上网发表“刺杀特朗普”""轰炸白宫""或“制作”“购买自杀式炸弹”等类似字眼，很快就有FBI的探员来你家敲门搜查了，这些都是关键词、敏感词的监听技术，不像中国的墙简单粗暴，太明显了哈哈，中国墻跟美国墻相比就是小儿科，中国的技术只能监控自己，甚至技术还达不到完全让网民无法翻墙哈，但老美的技术却能监控全世界，中美的技术水平差距真的不是一点两点，而是一代两代。 
有人说中国搞网墙是为了怕国内的人知道什么所谓的真相，实际情况正好相反，如果真是怕国内的人知道什么所谓的“真相”，那干嘛每年还放那么多一亿多国内的人出去看“真相""？挡得住么？不怕这一亿多人出去看到“真相”么，显然这是自相矛盾的，中国每年出国人数一亿五千多万人次，入境中国的外国人1.2亿人次，中国已成为全球最大的旅游目的国之一，在中国生活的外国人高达一千多万，居住在国外的华人高达六千多万，中国常驻有数百个外国使领馆，十多万国外媒体常驻记者，有一千多万家国际跨国公司和外贸公司，每年在中国有数百场国际会议和大型活动召开，历经40年的开放，中国早已全方位深度融入了全球，每年这么多与世界的联系与互动，在资讯这么发达，人人拿起手机随手一拍就能传遍全球的时代，说怕人知道什么“真相”的想法真的极其幼稚，也证明国内那些想当然的吃瓜群众的猜测显得多么荒谬。 
第四，是为了保护国内自己的互联网產业的成长壮大，不希望跟全世界一样国内的互联网全被美国公司佔领。全世界排名前十的重要网络产业，不是美国的就是中国大陆的，而且开始进军全球市场。全球十大互联网公司，中美各占一半，其它国家为零，有人曾言，世界互联网大国只有两个，美国和中国（这点从世界互联网大会会址永久定在中国浙江乌镇就不难看出）。中国大陆互联网实力全球第二，虽然整体实力仍远远落后于美国，却是唯一在互联网领域有机会媲美美国的国家。欧盟，印度，俄罗斯，加拿大，日本，澳大利亚都做不到，因为痛合度，市场，幅员，人口，资金，语言，政策，技术，文化，等等各种因素。当我们在嘲笑这个防火墙的时候，殊不知，只从政治看问题，眼界思维如此之狭隘，酸民眼光如鼠、愚不可及。在中国这设墙的二十多年的互联网成果是：我们打造了一套属于自己的网络产业链，全球第二大。而当全世界的网民每天在刷着FB、YT，谷歌的时侯，他们完全没有意识到自己国家包括一些欧洲国家已经沦为网络经济强国美国的“殖民地”，不仅网络市场和舆论被Facebook、Yahoo、Google等外来网络强权控制主导，其本国企业要接触自己的民众还必须支付昂贵的广告费和使用费等等费用。而把自己国家国民和企业的个人资料，隐私等全部储存在美国互联网公司巨头的服务器里，早已毫无安全可言，过去两年Fackbook公司多次暴出将其用户个人信息资料泄漏出卖的事件便是明证之一。 
第五，是为了便于网络的管理，打击网络犯罪。网络和现实社会一样，每天充斥着大量的犯罪活动，有颠覆国家的，非法营运的，还有刑事犯罪的，比如网络诈骗，洗钱，网络赌博，传销，邪教传播这些……而一个国家的警察只能在其本国境内执法，因为网络的跨国性，如果刑事犯罪分子把服务器架设在国外，而对国内的普通民众进行诈骗等犯罪活动，警察只能眼睁睁看着他们在境外实施对国内的犯罪，却没办法管得到，这对普通百姓的利益绝非好事，而这堵墙能过滤掉大部分这种境外诈骗、赌博、洗钱等针对国内民众的犯罪，虽然不能完全百分百过滤，但过滤大部分，能增加境外跨境刑事犯罪分子的犯罪难度，已经难能可贵了。普通人没事翻翻墙不会管，而且也不触法，比如 大学生写论文翻墙查外文资料等，而99%的中文资源都在境内的互联网上，墻外的中文內容加起來也沒有墻內的1%多，相對于不懂外语的人來說，墻內才是真正的大海，墻上只是一個小水坑而已，不熟练掌握外语，你翻出來也是來到了一片沙漠，因为并不是每个人都精通一门外语的，所以翻不了墙并没有什么太大的影响，况且这个防火墙并不是把所有外国网站全部挡在外面，而只是把一部分的对国家和百姓利益有害的内容拦在外面，国外很多网站是可以直接访问的，国内IPV6用户，还有一些校园网，教育网都是可以直接访问国外网站的，国内很多网站包括APP也可以从国外直接访问，比如微博、抖音、豆瓣......等都可以从国外直接访问，防火墙并没有一刀切地拦截。国内那么多大使馆、跨国公司、外贸公司，涉外机构、高校、研究机构，这数字是个天文数字，这么多人都在合法地使用外网进行日常工作和业务，连国内官方的央视都在YT上开了官方频道，可见防火墙的作用并不是要阻断网内和网外，其功能显然在于过滤，过滤掉了那些对国家安全和百姓利益有害的东西，保留了有益的东西，一个人生病了都知道去医院看医生，打针吃药甚至做手术都要除掉危害身体的病菌让身体保持健康，为什么互联网就不能过滤掉那些坏的东西让网络保持良性健康呢。 总之，权衡利弊，综合考虑的话，利远大于弊。 
以上，只是说明我并不是“为反驳而反驳”，每个人的智商、情商、阅历、观察力、国际视野都不一样，思维的深度、广度也不一样，但有一点是必须记住的，即不要浮于表象，不要人云亦云，而是摆脱成见和定势，独立思考，接近本质与真相，这样，才能真正达到“不惑”，且不会被愚蠢的自以为是绑架，更不会被他人的言辞蛊惑和利用。"
35237,UgzJd5p5gTsWkaf9TGR4AaABAg,1,indonesian people who see this video like it !!!! ๐,印尼人看到这样的视频!!!!
26166,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-nHc2swqE2,1,"xie wuyan really can't stand you, hey, are you like this at work?",谢无言 真受不了你，哎，你在工作中是不是也是这么杠？
26159,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-UhpEbGzdp,1,"@user-sc8cy5qc6e will deeply sympathize with you again, evil humans. i just saw this video that was like qingliu yesterday, and you were so malicious. there is nothing but sympathy. bleak",@user-sc8cy5qc6e 再次深深同情你，邪恶的人类。我只是昨天偶尔看到这个像清流一般的视频，你就这么恶意踹测。除了同情没有其他的了。
29514,UgwQMAeC1-3gNHRGawR4AaABAg,1,you're so good ๐’๐’๐’๐’๐’ like you,你真好
29515,UgxOowRjxY0Hht_i_aB4AaABAg,1,"i like li ziyi, living in the world's most tense cities, and living towards your quiet mountain village",李子柒我喜欢，生活在世界最紧张的都市、好向往你宁静的山村生活
29529,Ugwx-fM7mOj-YAcDPLV4AaABAg,1,she looks like mina from twice.,她看起来像是两次的Mina。
26071,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ8zuozXVXgqy,1,i was just kidding lol :d iโ€d sure like to have one like this that follows me around and is also cute and cuddly but idk if iโ€m responsible enough. i used to keep a pet rabbit and it pooped so much and i hated to having to clean it up. so pets are out of the question for me! xd,我只是在开玩笑：D：D我肯定会有这样的人跟随我，也很可爱，也很可爱，但如果我足够责任，则IDK。我曾经保留一只宠物兔子，它大便了很多，我讨厌必须清理它。所以宠物对我来说是不可能的！ XD
35188,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97TrYOT6czX,1,"@therewasnochill8997 sorry, but you have a typical misunderstanding of modern china. here we all need to get 9 years education, yes every single kids(boys &girls ).and after the 9years senior free-charge national education, we all have options to choose a university or go abroad or learn a lifetime skill . i am a freshman of a university, a chinese gril myself,and grils like me can all get very well education . and modern china is an interesting place very welcome for you to explore. liziqi 'vlog is unrealstic even in china now , although i had to say it is beautiful.",@thenwasnochill8997对不起，但是您对现代中国有典型的误解。在这里，我们都需要接受9年的教育，是的，每个孩子（男孩和女孩）。在9年的高级自由收费全国教育之后，我们所有人都有选择大学或出国或学习终身技能的选择。我是一所大学的新生，我本人是中国人，像我这样的疯狂都可以接受很好的教育。现代中国是一个有趣的地方，非常欢迎您探索。 Liziqi的视频博客即使在中国也是不切实际的，尽管我不得不说它很漂亮。
26119,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zwJiiiPqvE,1,@yankeelion3805 just like m e,@yankeelion3805就像m e
35147,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-92uACtyU4Mx,1,"that's what the chinese pc wants you to think. they're trying hard to make china look good to the rest of the world. with those videos, you're tempted to believe that they somehow got things right in their country. absolutely no hard working farmer / country man looks like this in real life, it's a though job where you scratch - cut yourself - get injured every week and you most definitely have no time for make up & stuff like that... china is well aware that western people are feeling like shit because of various problems in our society and will exploit those weaknesses to their advantage. simply too good to be true this whole thing. sorry.",这就是中国电脑希望您想的。他们正在努力使中国对世界其他地区看起来不错。有了这些视频，您很想相信他们在自己的国家有些正确。绝对没有努力工作的农民 /乡村男人在现实生活中看起来像这样，这是一项工作，您从头开始 - 割伤自己 - 每周受伤，您绝对没有时间进行化妆和类似的东西...中国很好意识到，由于我们社会中的各种问题，西方人感觉就像是狗屎，并且会利用这些弱点来发挥自己的优势。太好了，无法成为整个事情。对不起。
29589,UgyKN0ISef09R1TlJdJ4AaABAg,1,"hii i like your vidios and, u food and place iam from kerala",嗨，我喜欢你的vidios，你是喀拉拉邦的食物和iam
29643,UgwPoCP9K2k7VVMj9qd4AaABAg,1,good morning dear li i turned your fan n1 of heart i would like to meet you princess beautiful hug jรขnio luiz botucatu sp interior brazil,早上好，亲爱的李，我转过你的粉丝n1，我想见你公主美丽的拥抱jânioluiz botucatu s s s s s s s s s in trag
26079,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ9-0pCsiwE0g,1,those animals look like brothers an sisters. you have look hard to distinguish the lamb from the dogs.,这些动物看起来像兄弟姐妹。您看起来很难区分羔羊和狗。
25744,UgwVvi6VMvloIniszht4AaABAg,1,"wow! your awesome, all of your videos i watching because your so beautiful and i like you. i am beginner vlogger her in the philippines, i have 2 subscriber only for 1month but i still fighting and i always filming my videos to upload in my youtube channel.
good job li ziqi your the best cooking master woman..i love you ๐","哇！您很棒的所有视频，我看的所有视频是如此美丽，我喜欢您。我是菲律宾的初学者vlogger，我只有2个订户，但我仍然战斗，我总是在拍摄视频以在我的YouTube频道上载。
好工作李Ziqi你最好的烹饪大师女人..我爱你"
37586,UgzQKGBoEXbiRgt5ftx4AaABAg,1,its like harvestmoon ๐,就像Harvestmoon
26187,UgyqdP5tIi8LxrVoEl94AaABAg,1,she look like iu(korean singer),她看起来像IU（韩国歌手）
24989,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW91UCISh4ORm,1,"dude, we can afford such a life but we canโ€t lead our life just like this. ziqi herself is a vlog producer and an actress and an editor but not a farmer.",杜德，我们可以负担得起这样的生活，但我们不能像这样过上生活。 Ziqi本人是Vlog的制作人，女演员和编辑，但不是农民。
25194,Ugz0U3Kok-EDUD5kEmB4AaABAg,1,"this helps with my depression alot i am someone who loves nature and wants nothing more but to live the simple life. i'm stuck in a city with very few trees and forests. i haven't seen a full sky of stars in years or even a butterfly and deer for a long time. i work nonstop and married someone whom i love very much but dosen't appreciate nature or anything to do with simple living. he never wants to leave the city and live a simple life. so i watch these to help me feel like i'm at home and get to see forests, plants and a peaceful life. i can see lots of people feeling the same way wishing we all could go back to this way of liveing.",这有助于我的抑郁症，我是一个热爱自然的人，只想要过简单的生活。我被困在一个有很少的树木和森林的城市中。我已经好几年了，甚至很长一段时间都没有看到蝴蝶和鹿。我不停地工作，嫁给了一个我非常爱的人，但不喜欢自然或与简单生活有关的任何事情。他永远不想离开这座城市，过着简单的生活。因此，我看着这些，以帮助我感觉自己在家，看到森林，植物和宁静的生活。我可以看到很多人都有同样的方式，希望我们所有人都可以回到这种生活方式。
25181,Ugw8g5NA05GPhqKIhKR4AaABAg.9-hZLzA6V_590-7qWM9O5H,1,egamfle but u like a angel in my heart๐ฌ,egamfle，但你喜欢我心中的天使
37991,Ugwwa4KFBboCW_WnRpB4AaABAg,1,and why are you such a stirring hardships preparing like that.,以及为什么这样做的艰辛。
30298,UgyynuFWd3Y9OO8mLgp4AaABAg,1,i especially like this episode (โ€ข ไธ€ โ€ข ฬ)),特别喜欢这一集(•̀⌄•́)
25037,UgzFhq1rSSCp4VAI-t14AaABAg,1,"from vietnamese, i like video.",我喜欢越南人，我喜欢视频。
30299,UgxZtYTLo528Luehoyh4AaABAg,1,"this is so ghibli-like, love it!",这真是吉卜力，喜欢它！
24976,Ugz41PZvqHulfZZv0T14AaABAg,1,i like the video,我喜欢视频
25230,UgzgYm5066LdARdxrF54AaABAg.9-a0BhVFfBP90Vw87HPBMw,1,i wish i had lived there. i like chinese and japanese countryside life.,我希望我住在那儿。我喜欢中国和日本的乡村生活。
24962,Ugx44ywEgAzTJEmlJgt4AaABAg,1,"so, i've been wondering about that 3:48 portable traditional stove thingy, like what is that and how does that work? anyone knows?",因此，我一直想知道3:48便携式传统炉子Thingy，例如那是什么，它如何工作？有谁知道？
30316,Ugx0QwqbCjJ-WbGqtFV4AaABAg,1,i like you very much โฅ ๏ธ ๏ธ,我很喜欢你♥️
30349,UgwW65gc9htLXHwGoeN4AaABAg,1,it is hard to describe this video too in general but i still do not believe where i stayed like that,总体上也很难描述这个视频，但我仍然不相信我那样留在那里
24911,UgxeCYZz3oEAKOgUwDV4AaABAg,1,i only just found out about her and binged watched like 40 videos,我只是发现了她，而宾德（Binged）看着40个视频
38177,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08trVKDWrqSV,1,your interpretation of my comment is so irrelevant.. you might wanna read it again and see that what it really means is that even without technology we would still live a happy life like a fairytale.. dumb asf,您对我的评论的解释是如此无关。您可能想再次阅读它，并看到真正的含义是，即使没有技术，我们仍然会像童话一样过上幸福的生活。
30352,UgwYGgVTpVURD-B8VU54AaABAg,1,"can i live with you for like 1 month? 
pleaseeee","我可以和你住一个月吗？
请"
30248,Ugwsy5WyoW2rWRyJyfR4AaABAg,1,very very good video ..... i like ...,非常非常好的视频.....我喜欢...
25232,UgzgYm5066LdARdxrF54AaABAg.9-a0BhVFfBP90XdIkzbyCu,1,"watching his video, the whole person felt relaxed. when he was a child, he was like this. it was really envious of her. the pace of life is too fast now!",看他的视频，整个人都感觉放松了，小时候就是这样的生活，真的好羡慕她，现在的生活节奏太快了！
37602,UgxI5mT8FMYhLLV-ZlB4AaABAg,1,"i'm watching her video first time i love her video and i click like button and subscriber this channel





๐‘5.9k plz","我第一次看她的视频，我喜欢她的视频，然后点击按钮和订阅此频道





"
