,cid,votes,time,含like,含like中文翻译
12470,UgyyRTNY67Wl1LxSdIB4AaABAg.96bypELNq-V97dwvm6fkUV,1,3 years ago,those who work in farms like these usually live until 70+ and can still carry heavy loads. our tenant is old but still works in the farm because he think not doing anything can kill him.,那些在这样的农场工作的人通常会活到70岁以上，并且仍然可以承受重负荷。我们的房客很老，但仍然在农场工作，因为他认为不做任何事情可以杀死他。
26617,UgzwU8tMhTUeCVww7NJ4AaABAg,1,3 years ago,"is the thousands of people who like it, can't you eat it?",几千个按倒赞的是不是吃不到馋的
12890,Ugwd08uQex0O_9GoSVd4AaABAg,1,3 years ago,"like a little girl, but cooks like an army",像一个小女孩，但像军队一样做饭
26608,UgxBXEaFmaXT6e8_ejV4AaABAg,1,3 years ago,"i'm her husband, anybody want to meet her please like this comment.",我是她的丈夫，任何人都想见她，请像这个评论一样。
26592,UgyI8HWxlHECb4iPv6N4AaABAg,1,3 years ago,"if each snail lion powder is so ingredient like you, i will not eat rice every day.",要是每家 螺狮粉都跟你一样用料这么足，我也不会天天吃米饭了
12598,UgwfQzSv2iGG5pSDEOJ4AaABAg,1,3 years ago,nice work i like it,很好，我喜欢它
12650,UgwiiXLGHbq6TCZwIrd4AaABAg,1,3 years ago,your work is beautiful as like you.,你的工作就像你一样美丽。
26510,UgxrY1aBsry8fQ-xjG94AaABAg,1,3 years ago,she’s gorgeous and very talented. i wish i could find a woman like her.,她很漂亮，很有才华。我希望我能找到一个像她这样的女人。
12721,UgzdLhIQERVFocZuUgp4AaABAg,1,3 years ago,"a good mistress, a cadia normal person would like such a wife for himself! looks delicious!",一个好情妇，一个cadia普通人想要这样的妻子！看起来很美味！
12733,UgyoZpsVYJSGAm-a-0d4AaABAg,1,3 years ago,blessed grandma to have grandchildren like you,祝福奶奶有像你这样的孙子
26362,UgyAj6G-tFz5F5D86h54AaABAg,1,3 years ago,"i just hope to have a beautiful, beautiful wife like you is enough, nothing more ^^",我只是希望像你一样拥有一个美丽，美丽的妻子，没什么了^^
12884,UgwBavBgIWu4qQVCazd4AaABAg,1,3 years ago,are you the province?! i like the scenery of the landscape and vegetables that you live here! it's so beautiful!,妳是那省人吖?!喜欢你住在此的风景与种菜·作菜之顺手格调！太美啦!
25822,UgzfgmQCSc23c-D9Qqt4AaABAg,1,3 years ago,"i want to live like this. off the land, self sufficient, peaceful",我想这样生活。在土地上，自给自足，和平
25808,Ugx6-_CYdAI1vzDXr2t4AaABAg,1,3 years ago,"i want my future wife 2 b like her
m just hungry now","我想要我未来的妻子2 B喜欢她
我现在饿了"
25740,Ugxu-m0uN952WQXtZe54AaABAg,1,3 years ago,"i would like to be live with you.
it's like a brother or care taker or your cameraman or what ever it be. omg you're so good. i'm addicted to watch your videos.","我想和你一起生活。
就像一个兄弟或照料者或您的摄影师或那样。天哪，你真好。我沉迷于观看您的视频。"
15399,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97Nk_ihnR8Z,1,3 years ago,morag tong a lie is still a lie even if the intention is pure. i love watching these videos and the truth is if she’s getting paid to produce videos by the chinese government then that’s fine i’d just like to know how many other individuals of the total live this was in rural china and not in jammed highly advanced by polluted mega city’s?,即使意图是纯洁的，莫拉格·汤汤仍然是谎言。我喜欢观看这些视频，事实是，如果她获得了中国政府制作视频的报酬，那么我很想知道，这是中国农村地区的其他人，而不是高度先进的污染了巨型城市？
15038,UgxhSFf1x4XTTcgz-bl4AaABAg,1,3 years ago,if in indonesia the name.a snail is tutut in sundanese .. hehe like it ☺️☺️☺️,如果在印度尼西亚这个名字。
24352,UgxQnsfnJ51lRDjdifF4AaABAg,1,3 years ago (edited),"you know what im thinking watching her. how great my life would be if i find someone like her as my wife. beautiful and can cook well, my heart is mealting just as watching her",你知道我在想着她的想法。如果我找到像她这样的妻子的人，我的生活会多么美好。美丽，可以做得很好，我的心在饭菜，就像看着她
24339,UgxYsHWSRB7sLRWknxR4AaABAg,1,3 years ago,"i really like to see him doing his job, relax alert quickly",我真的很喜欢看到他在做自己的工作，快速放松警报
24269,UgwRE6sBjmw6C_2OZMp4AaABAg,1,3 years ago,i also want a wife like this,我也想要这样的妻子
15217,Ugx_7nktOohPVXofr9d4AaABAg,1,3 years ago,i wonder what it's taste like...looks so good and yummy...,我想知道它的味道是什么样的...看起来很好和美味...
15222,Ugy3RG2xmyhqRLmjx_t4AaABAg,1,3 years ago,like the vlog,喜欢vlog
24208,Ugw1mOce_kSWyUlWSXJ4AaABAg,1,3 years ago,hello i am vietnamese but i really like china,你好，我是越南人，但我真的很喜欢中国
15297,UgyC09qDfhHGYPkRa3l4AaABAg,1,3 years ago,vietnam leave a like (leaving 1 like),越南留下类似（留下1个）
24069,UgxJyfEAav9RMes4mAN4AaABAg,1,3 years ago,i really like all the videos,我真的很喜欢所有的视频
15423,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9A_fob9THy-,1,2 years ago,"strait arrow 
i welcome your ideas. just prove what you said. so far it sounds like wild dogs barking.","海峡箭头
我欢迎您的想法。只是证明你说的话。到目前为止，听起来像是野狗吠叫。"
13525,UgzJt6uBsJul8eraSXd4AaABAg,1,3 years ago,like this...trim's,像这样...装饰
23929,UgyEgJCrjtmA3AWT7ed4AaABAg,1,3 years ago,i don't like it.,我不喜欢它。
15537,UgwclMUBouE3gIMZjzN4AaABAg,1,3 years ago,"i avoided this lifestyle my whole life. now i can't go back...





still avoid it, i'm pretty fine like this.","我一生都避免了这种生活方式。现在我不能回去...





仍然避免它，我很好。"
23895,Ugwt9Ds67upDV4bz9st4AaABAg,1,3 years ago,this looks like a movie,这看起来像电影
23872,Ugy41n_6xvWJOo2VW5V4AaABAg,1,3 years ago,"how to find a wife, so beautiful and do you like, it's hard in indonesia to marry a girl like that sometimes when grooming looks like a barbie",如何找到一个妻子，如此美丽，您喜欢，在印度尼西亚很难嫁给一个像芭比娃娃一样的女孩
23869,UgyMDAJtSPVzKc1jMUV4AaABAg,1,3 years ago,there women is like this now??,现在有这样的女人吗？
23867,UgxwmfeqUK8pHnciBCp4AaABAg,1,3 years ago,to an arab lands like,到像阿拉伯土地
23741,UgwlkY57u2MV4r94UDt4AaABAg.8zcP9FTcwFE8zpHC144t54,1,3 years ago,"its name is ""like old time"" ""","Its name is ""得似旧时"""
15732,Ugzw1p41Ub83K918mgV4AaABAg.936EdNo1lPl936m97MIAUL,1,3 years ago,"eat and live like her :) .. sorry, not her advice, but my guess.",像她一样吃东西:) ..对不起，不是她的建议，而是我的猜测。
23675,UgwUwpLFnyGeUSq_pjl4AaABAg.8zeB1KT7K148zeIPq6bZiL,1,3 years ago,i'm her neighbor our place is like garden of eden hope you can visit here someday so that you will see in that video clearly,我是她的邻居，我们的住所就像伊甸园一样，希望您有一天可以在这里访问，这样您就可以清楚地看到该视频
15002,Ugxz-4m7bahFQcOUYvF4AaABAg,1,3 years ago,meaning full live that live should like this... like live have purpose,意思是现场直播应该像这样的充实……就像现场有目的
14995,UgxBEHMc_q-D54j7qzV4AaABAg,1,3 years ago,i wanna live like this. maybe find a place in my 30s and then start living there from mid 40s onwards,我想这样生活。也许在我30多岁的时候找到一个地方，然后从40多岁开始就开始住在那里
14944,UgxbrAaht3Z9cv1-jrR4AaABAg,1,3 years ago,like,喜欢
14914,UgzF2kPwfA__LSjbzrB4AaABAg,1,3 years ago,she looks like mina from twice,她看起来像米娜两次
25623,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zFBYyPrf4f,1,3 years ago,"it may look peaceful, i lived w my grandma in a somewhat similar place like this for 4 days and i just wasn’t very comfortable there, it was a lot of work to do things since they didn’t have electricity.",它看起来可能很宁静，我在像这样的地方住了四天，我在奶奶里住了4天，而我在那里并不舒服，因为他们没有电，这是很多工作要做的事情。
25613,UgxcyMsCj0QK7hb7gQN4AaABAg,1,3 years ago,"liziqi -

you must have countless men asking to marry you? 

you preserve a way of life that fades rapidly like a winter sunset but a way of life which must be preserved, honored, and taught to each new generation to ensure the survival of the ways of you and your people.

you are a princess in my eyes - we are a world away, but i honor you. you are a gem among your family and name, and among your people you should be considered a teacher and guru.

raymond d. d.","liziqi-

你一定有无数的男人要求嫁给你？

您保留一种生活方式，它像冬季的日落一样迅速淡化，但必须保留，尊重和教导每一代的生活方式，以确保您和您的人的方式生存。

在我眼中，你是公主 - 我们是一个世界，但我向您致敬。您是家人和名字中的宝石，在您的人民中，您应该被视为老师和上师。

雷蒙德D. D."
13683,UgzpMc6k1oNS2MMHnMd4AaABAg,1,3 years ago,that look on her face when she smelled the fermented bamboo shoot. the camera didn't cut soon enough and looked like it was the grossest thing she's ever smelled.,当她闻到发酵竹芽的味道时，她的脸上看着。相机还不够快，看起来这是她闻到的最严重的东西。
13727,UgxsnAnyMvm8QznO1VZ4AaABAg,1,3 years ago,your life is filled with seriousness and perseverance ... i think it has a wonderful taste that is not like our empty life that turned us to consumers,您的生活充满了严肃和毅力...我认为它具有美好的味道，不像我们的空虚生活，使我们变成了消费者
25476,Ugw6hdQnmQ8KRUrDe3N4AaABAg,1,3 years ago,i would like to try what this girl has prepared! smart! #=,我想尝试这个女孩准备的一切！聪明的！ ＃=
25395,UgwaxD2G66wPzIwDmWB4AaABAg,1,3 years ago,i like bamboo from indonesia,我喜欢印度尼西亚的竹子
13909,Ugzn5jAwPlsgz0PeTbx4AaABAg,1,3 years ago,"she is so beautiful and hardworking, a lovely young lady. would have loved to have a daughter like that!",她是如此美丽而勤奋，是一个可爱的小姐。本来很想有这样的女儿！
25288,Ugz5Uzo_kzEtnwBFiwt4AaABAg,1,3 years ago,"oh my goodness, chinese are so much like naga tribe people from nagaland. wish you visit nagaland, n enjoy naga biggest festival (hornbill festival).",哦，天哪，中国人非常像纳加兰的纳迦部落人。希望您访问纳加兰，享受纳迦最大的节日（Hornbill Festival）。
14070,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895jDN1fgSBY,1,3 years ago,"galadreana lopez i dont know people here on the philippiness (not all but majority) has this crab mentality they tend to think they are better than others, they mock people as if they are perfect, they dont seem to know how to give credit when it's due. this mentality it's like cancer",Galadreana Lopez，我不认识philipminess上的人（并非全部，但多数）具有这种螃蟹的心态，他们倾向于认为自己比其他人更好，他们嘲笑人们，好像他们是完美的，他们似乎不知道如何在当时给予信用到期的。这种心态就像癌症
25079,Ugz5qjdw15y9WFwruYF4AaABAg,1,3 years ago,"i really like to watch this girl, and people look good to cook. i want to marry such a wife.",这女孩我真喜欢看啊，人也好看厨艺真好啊，我想娶个这样的老婆呵呵，
24953,UgzCH7qPDNJesziMP9x4AaABAg,1,3 years ago,"she was just like my mother, her age...orphan at 3, and she use to do that all her teenage life...god bless your channel..",她就像我的母亲一样，她的年龄...孤儿3岁，她曾经做过她所有的十几岁的生活...上帝保佑您的频道..
24889,UgxpqmGeLzb_C6aZyB14AaABAg,1,3 years ago,"hi, you are overburdened 

ako #arab_like","嗨，你负担沉重

ako #arab_like"
14359,UgzYHury2mA4yVtrZMl4AaABAg.94Fh6gqwLT794MktyVAQTC,1,3 years ago,i like this kind of a girl,我喜欢这个女孩
14392,Ugw5Uii8F7m94SmDaG14AaABAg,1,3 years ago,"i love this home, utensil , stove ,nature. i wish my place was like that",我喜欢这个家，餐具，火炉，自然。我希望我的位置就是这样
24603,UgzLnzbX2uNY8X4nl5F4AaABAg,1,3 years ago,like if you believe k they are very beautiful the korean,就像您相信K非常漂亮的韩国
14787,UgzezVrePGjsqiR79D14AaABAg,1,3 years ago,thnknyou for the english subtitles. they could stay up for a couple second longer. you all do like hot,Thnknyou的英语字幕。他们可以呆得更长几秒钟。你们都喜欢热的东西！
24538,UgxZzaxd3-ncxQH2oP54AaABAg,1,3 years ago (edited),"what is name of this tree madam?and plaese all of here... plaes comon to see my vedios in ""https://youtu.be/8wnluyigtz0"".and like , subscribt it...plaese.",这棵树女士的名字是什么？
14862,Ugzi37afo0MtEpMxMfh4AaABAg,1,3 years ago (edited),she makes food look so beautiful. her videos like a beautiful short movie,她使食物看起来如此美丽。她的视频就像一部美丽的短片
24515,UgynZy3bOekTYg4a8YZ4AaABAg,1,3 years ago,"after seeing this video, i became diligent at home, my mother was so neatly tidy today? thank you for your inspiration. i like your channel",看完这段视频后，我在家里变得勤奋，今天我的母亲整齐整洁了吗？谢谢您的灵感。我喜欢你的频道
28335,Ugy9L154vKY2LUgdUkF4AaABAg,1,3 years ago (edited),"hey guys, i just found the recent interview of li ziqi with her embroidery dress. unfortunately, it is all in chinese. at least you get to see her in real life.
i wish somebody would have asked her about her team (reason for that is because there are ppl think it is a government sponsored promotion film which i doubt)
at least she answered one technical question regarding the editing program, apparently she did the editing herself. one more thing, she did say something regarding problem with the weather causing problems such as exposure with color shift. all these don't sound like one would have to worry about if the production team were from the government.
https://www.youtube.com/watch?v=rxsya_xh-0m","大家好，我刚刚发现了李齐齐（Li Ziqi）的刺绣连衣裙。不幸的是，这全是中文。至少您可以在现实生活中见到她。
我希望有人会问她有关她的团队的问题（这是因为有PPL认为这是一部政府赞助的促销电影，我怀疑这是一部）
至少她回答了一个有关编辑计划的技术问题，显然她自己进行了编辑。还有一件事，她确实说了一些关于天气问题的问题，导致问题，例如随着颜色转移的曝光。所有这些听起来都不需要担心生产团队是否来自政府。
https://www.youtube.com/watch?v=rxsya_xh-0m"
11277,UgwL9WaCtXkvXdnCqAd4AaABAg,1,3 years ago,"if i can find the same girls like you, how happy you should be happy",如果我能找到你一样的女孩子该多幸福快乐
7891,UgwXvwYbi6BnuOLeA2R4AaABAg,1,2 years ago,wow ! i feel like i've been in medieval china.,哇 ！我觉得我去过中世纪的中国。
33172,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV3euQaKOY,1,3 years ago,"@lilyherbal2262 yup, shes chinese! but the way she live, the scenery around her looks like in vietnam! anw, really love her videos",@lilyherbal2262是的，她是中文！但是她的生活方式，她周围的风景在越南！ anw，真的很喜欢她的视频
34413,UgzZ1vJHJd60Qv-IfOF4AaABAg.8yUUNuCDszt8yUVSMuFFKv,1,3 years ago,"the marinated altar water is used repeatedly, just like wine songs, the older the lactic acid bacteria, the better, the better the flavor",腌制的坛水是反复使用的，就像酒曲一样，越老乳酸菌等越好，风味也越好
5831,Ugzb269XuK03ADFIAFt4AaABAg,1,2 years ago,"i am a simple and a loving man. with the qualifying attitude that everyone will like. loving, honest and understanding. i am not perfect. but i am ready to compromise, with full understanding!",我是一个简单而充满爱心的人。以每个人都喜欢的合格态度。充满爱心，诚实和理解。我并不完美。但是我准备好妥协，并充分理解！
5834,UgzNxJt4f-vUBIBHlhR4AaABAg,1,2 years ago,"hello, nice to meet you, i like your profile. i am interested in serious relationships. i would be very happy to hear from you. my name is timmy",您好，很高兴认识您，我喜欢您的个人资料。我对认真的关系感兴趣。我很高兴收到您的来信。我叫蒂米
31274,UgycenCyweI2sjHBhIN4AaABAg,1,3 years ago,"i really like your video, please make a video twice a week",我真的很喜欢您的视频，请每周两次进行视频
8903,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BcM2bRKnwJ,1,2 years ago,"@yonglu5864 why are you like you everywhere? please roll out. this channel is not welcome to brainwashing every day, cults, i see you really should see the doctor in your heart.",@yonglu5864 怎么哪里都有你这种人，请你滚出去，这个频道不欢迎你，天天就是洗脑，邪教，我看你自己真的该去看心里医生了
29615,UgxbKkWicYmSd3tAoEp4AaABAg,1,3 years ago,like if you talk spanish hahaha,就像你说西班牙哈哈哈
5891,UgyuxDp9Jg_bu3mgryN4AaABAg,1,2 years ago,sister li ziyi can learn the video that likes you to support you โค๏ธ๐’ช,李子柒姐姐能学习喜欢你的视频 支持你❤️
8886,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BAboSvHq3O,1,2 years ago,"in fact, i think her original intention is not afraid of plagiarism at all. she just spreads a culture. and the production of the show can also be done by a team. like chinese programs on the tip of the tongue. it is another kind of brainwashing show, just to promote the mountains and the countryside.",其实我觉得她的本意根本不怕别人抄袭。她只是传播一种文化。而且节目的制作也可得出是一个团队在做。就像舌尖上的中国一样的节目。是另一种洗脑节目，宣传上山下乡而已。
5899,UgyHtSs5XclKY9XfGAJ4AaABAg,1,2 years ago,i like you food because very neuter for people for all peoples an your i have to big respect for your personality and your food. my name is timmy form germany city cologne.,我喜欢您的食物，因为对所有人的人来说，非常中性，我必须非常尊重您的个性和食物。我叫蒂米（Timmy）形成德国城市科隆（Cologne）。
34388,UgyKE4znH_a0HD8qERp4AaABAg,1,3 years ago,its look like the whole mountain is her garden.,看起来整个山是她的花园。
33869,Ugzko5e-aq7O2fmSQW94AaABAg,1,3 years ago,"i really like eating bamboo shoots. its unique texture besides that it is good to be stir-fried. and i usually eat it during chinese new year. 
in indonesia it is called ""rebung"". love from indonesia ❤","我真的很喜欢吃竹芽。它的独特质地除了被炒还很好。我通常在农历新年吃。
在印度尼西亚，它被称为“ rebung”。来自印度尼西亚的爱❤"
5902,Ugwo9ZQpLHLPx5Nr8A14AaABAg,1,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
30081,UgzShmrxL19ZeFQwgM54AaABAg,1,3 years ago,"i want a woman like you in my life, greetings. from the united states new mexico",我想要一个像你这样的女人，问候。来自美国新墨西哥州
31263,UgxIZZ_fqYWmR2uUxex4AaABAg,1,3 years ago,"i am vietnamese but i don't like vietnamese subtitles at all. the subtitles have been the young buffalo language, naturally lost the temperament of the video. if the subtitles are just simple and rustic as the life of tu that.",我是越南人，但我根本不喜欢越南字幕。字幕是年轻的布法罗语，自然会失去视频的气质。如果字幕像Tu的生命一样简单而质朴。
8790,UgwF7HKuwUE8JOLeh0x4AaABAg,1,2 years ago,who shoots these videos?perfect timing! and she has everything nearby! just a smart marketing gimmik . this liziqi. for online brand! no woman is a superwoman like her!,谁拍摄这些视频？完美的时机！她附近有一切！只是一个明智的营销gimmik。这个liziqi。对于在线品牌！没有女人是像她这样的超人！
33198,Ugz-qCF7c3CmBVEACkp4AaABAg,1,3 years ago,watching this video make me sad. i missing my past when i stayed in village. i did same thing like you. almost every vegetables i took from my own farm. now... i live in capital city. and everything need to buy. nothing is natural. good luck for you.,观看这段视频让我很难过。当我住在村庄时，我想念我的过去。我做的像你一样。我从自己的农场里拿走的几乎所有蔬菜。现在...我住在首都。一切都需要购买。没有什么是自然的。祝你好运。
1740,UgzkJGPaUOjOehXOZ8F4AaABAg,1,1 year ago,my life likes ❤️,我的生活喜欢❤️
34295,UgxExN_WCFEIiNx_poF4AaABAg,1,3 years ago,"i am only indonesian who likes to see the yutub content, neng liziqi?",我只是喜欢看到yutub内容的印度尼西亚人，Neng Liziqi？
6799,UgwQX9dNn97yqthZ6YB4AaABAg,1,2 years ago,if an arab is here like โปโ,如果阿拉伯人像☻✌
8162,UgyIAlgwO3GMgQwfhb54AaABAg,1,2 years ago,i like ๐ ๐ถ ๐ฐ and u,我喜欢
7473,Ugyww1meBJTNTWiqjUd4AaABAg,1,2 years ago,i like you,我喜欢你
30768,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yX4X5ziLTF,1,3 years ago,bamboo is everywhere and pandas don't like this breed of bamboo but the truth is pandas not to far from where she lives.,竹子无处不在，大熊猫不喜欢这种竹子，但事实是熊猫离她所居住的地方不远。
34275,UgysXa-O9fugGg7On-x4AaABAg,1,3 years ago,"fc thai people, would like to have some thai subtitles",FC泰国人，想拥有一些泰语字幕
5970,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5VGF81CM,1,2 years ago,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
3588,UgztEKr4vKVfz_t1-Ft4AaABAg,1,2 years ago,like you mam,像你妈妈
7835,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CXoDqPrziI,1,2 years ago,pls listen my indian classical music.if u like my music so pls subscribe like and share my videos.,请听我的印度古典音乐。如果你喜欢我的音乐，请订阅并分享我的视频。
5814,Ugy-Yb5fC8p4Tzv3PHd4AaABAg,1,2 years ago,it looks like palm,看起来像棕榈
30011,UgwQGDbQ7iQE5bt7yQ54AaABAg,1,3 years ago,your videos feel like a warm hug for my soul,您的视频对我的灵魂感到温暖的拥抱
3568,UgzNGcYq4M6nHenkh8x4AaABAg,1,2 years ago,i like to watch this channel very much.,我喜欢看这个频道。
30754,Ugz-t7X20T_3fi6G9v14AaABAg,1,3 years ago,"hello, i am a vietnamese, thank you for translation into vietnam, your youtube channel is very easy to use
i register and like it","你好，我是越南人，谢谢你翻译成越南语，你的youtube频道非常好用 
我注册并喜欢"
4549,UgyuFMhTxS6AlRNtUwl4AaABAg,1,2 years ago,i'm from indonesia i like,我来自印度尼西亚，我喜欢
1332,Ugwlinm_E_BXD2BOVxh4AaABAg,1,1 year ago,"i don't know if it's okay, be harvested by capital. while the video itlet is really great. i like the way.",不知道是否还好，被资本收割掠夺。While the video itself is really great. I like the way.
30580,UgyhPtplFJDRHW_aP154AaABAg,1,3 years ago,"i have watched your every videos coz i like it. but you should show the eating of snail. in my knowledge we need to chop the snail tail part & have to remove the front cover, so that we can eat the meat. the way you have cooked i don't think you will able to eat the snail. make the videos with perfection coz viewers can find the error. we do eat snail & we know it well. no abuse..!!",我看过您的所有视频，我喜欢它。但是您应该表明蜗牛的饮食。据我所知，我们需要切碎蜗牛尾部部分并必须取下前盖，以便我们可以吃肉。您煮熟的方式，我认为您无法吃蜗牛。与完美的视频一起制作视频，可以查看该错误。我们确实吃蜗牛，我们很了解。没有虐待.. !!
31358,Ugxah8Tad8id3Qx5qet4AaABAg,1,3 years ago,bamboo shoots are so big. 55 i like it.,竹芽是如此大。55我喜欢它。
29078,UgyDxmWZpeOOwHcbKAJ4AaABAg,1,3 years ago,like this lifestyle!,喜欢这种生活方式！
9060,Ugx-vzXwvmlLaEGQ8Q94AaABAg.9AVgEqHoFqK9AVpExdfM-k,1,2 years ago (edited),"because in a previous video, she mistranslated chinese pickle as ""kimchi"" which is a kind of korean pickled vegetable that some of korean think it is unique. so some korean users called her ""thief"" and lauched the dislike action.",因为在以前的视频中，她将中国泡菜误认为是“泡菜”，这是一种韩国腌制的蔬菜，其中一些韩国人认为它是独一无二的。因此，一些韩国用户称她为“小偷”，并采取了不喜欢的行动。
30038,UgzTOuMaNSbT0q9xTBd4AaABAg,1,3 years ago,just who can dislike your videos....?!!! those who did ever are just jealous,谁能不喜欢您的视频....？那些曾经嫉妒的人
5702,Ugw1DdxA_9LkG-phyZ14AaABAg,1,2 years ago,"many people now like li ziyi's videos, and even raise them to the level of cultural output. i oppose this approach. although i also like her videos, i think that excessive praise is to kill. her team needs to work hard on video creation, instead of rushing to bring goods. many of the products of li ziyi brand on the market now have nothing to do with her videos. they are processed by foundries. many people who do not know will definitely not buy it again. then her business model can only be just only stay on a gimmick. the advantage of the li ziyi team is that the video shows the beauty of the american rural life in a beautiful way. there are many places that can be deeply excavated in such the subject matter. putting energy on it will make them go further.",现在有很多人喜欢李子柒的视频，甚至将其抬高到了文化输出的层次，我反对这样的做法。我本人虽然也很喜欢她的视频，但我认为过度赞誉就是捧杀，她的团队需要进一步在视频创作上去努力，而不是急着去带货。现在市面上很多李子柒品牌的商品，其实和她的视频没有什么关系，都是代工厂加工的，很多不知道的人购买后肯定不会再次购买了，那么她的商业模式也就只能仅仅停留在一个噱头上。李子柒团队的优势在于视频以一种唯美的方式展示了中国乡村生活中美的一面，这样的题材还有很多可以深度挖掘的地方，把精力放在这上面会让她们走得更远。
5723,UgxwnPjgNo_i1g2fDhF4AaABAg,1,2 years ago,"nature tourism of the swift currents of pariangan village, loksaso, upstream of the southern river of south kalimantan, visiting cousins โ€โ€in the upstream of the central river, we are served. fire wood, it feels maknyoooss๐ and this only exists in the village, let's watch out the excitement of the latest fnt fams video, don't forget to like, share, comment and subscribe, free, free

https://youtu.be/13zzieywmsk","Loksaso帕里安根村（Pariangan Village）的迅速潮流的自然旅游，让我们注意最新的FNT FAMS视频的兴奋，别忘了喜欢，分享，评论和订阅，免费，免费

https://youtu.be/13zzieywmsk"
5726,UgypqkG4l6jFfpfID1t4AaABAg,1,2 years ago,i like the channel. best,我喜欢频道。最好的
33146,UgyoZ2Zl0o37WzhRdiF4AaABAg.8yUfNvpBMUH8yUg5RFRBzo,1,3 years ago,i like your video very much,我非常喜欢你的视频
9034,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9Akd6Fd9s8I,1,2 years ago,"emily c 
yeah i guess itโ€s also different from place to place. i feel itโ€s not like gardening is not as valued in the west; it is more like people have different philosophy of life and it is reflected through different gardening styles. just personal views. appreciate different opinions.","艾米丽c
是的，我想在某个地方也有所不同。我觉得这并不像西方的园艺不那么重视。这更像是人们具有不同的生活哲学，它通过不同的园艺风格反映了。只是个人观点。感谢不同的意见。"
4489,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9NOZXmPGRcf,1,2 years ago,i like it ...,我喜欢 ...
30030,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yk6M4zXLzS,1,3 years ago,oh hell no in guessing your a trump support i know lol i guess you don't like lizi qi shes not white but asian anyways like i said have nice rascit life,哦，在猜测你的特朗普支持时，我知道你知道你不喜欢lizi qi不是白人，而是像我所说的那样的亚洲人。
33526,UgzTOh4iikFll-fIuoF4AaABAg,1,3 years ago,she is so pretty i want to look like that,她是如此漂亮，我想看起来像
7752,UgydnFMzNzUPwpGEKaV4AaABAg,1,2 years ago,i ate this sweet bamboo soot ...it's common in our area. ....but not like the way she cooked. ..,我吃了这个甜竹烟灰...在我们地区很常见。 ....但不喜欢她烹饪的方式。 ..
3835,UgwwqU9uHGsoITN3VH94AaABAg,1,2 years ago,i really like the cuisine brother,我真的很喜欢美食兄弟
4439,UgzMqkWoocmovZ9N7vF4AaABAg,1,2 years ago,really like,好喜欢
8967,Ugzy71xA3TnZDA46BtJ4AaABAg,1,2 years ago,"oh my god, like this lady must be fat",哦，天哪，就像这个女士必须胖
4429,UgyIrHASz9E8JvFIgw14AaABAg,1,2 years ago,please subscribe and like after watchingy channel. thanks!,请在观看频道之后订阅并喜欢。谢谢！
5784,Ugy5JmlyP78m22q0qx14AaABAg,1,2 years ago,"everything what we need to survive is here , i'm lucky i onced experienced this as a kid ,i'd like to go back & experience this again but our place is not like this anymore, one day i will find a place like this again & leave peacefully with nature until i die โค",我们需要生存的一切都在这里，我很幸运，我小时候就经历过这种经历，我想回去再体验一下，但是我们的地方不再像这样了，有一天我会找到这样的地方再次和和平地与大自然离开，直到我死了❤
2971,Ugy2ainHxB8OXIpkPDd4AaABAg.9QMbOciZTv89QQ6s1rWsgY,1,1 year ago,"hello dear taylor~i am a big fan of liziqi, too. i'm from china. recently, we are preparing a present for ziqi, a fan video from all of the world. would you like to join us and shoot a video for ziqi, she can see your wishes directly in the video. please kindly contact me if you are interested, we will send you the detailed information~here is my email: emilylee1005@163.com",您好，亲爱的泰勒〜我也是Liziqi的忠实拥护者。我来自中国。最近，我们正在为来自世界各地的粉丝视频Ziqi准备礼物。您想加入我们并为Ziqi拍摄视频吗，她可以直接在视频中看到您的愿望。如果您有兴趣，请与我联系，我们将向您发送详细信息〜这是我的电子邮件：emilylee1005@163.com
