,cid,votes,time,含music ,含music 中文翻译
17913,UgzGONfO1kPOULlaOUt4AaABAg,1,3 years ago,this is not music of karma,这不是业力的音乐
34818,Ugx9MyqjSHy1vXe01814AaABAg,1,4 years ago,"this video uses the title screen music from the visual novel ""ever 17: the out of infinity"", titled ""karma"", composed by takeshi abo. i find this very surprising for a chinese production, and it's sad that it isn't noted anywhere in the description.",该视频使用视觉小说“ Ever 17：Out Infinity”中的标题屏幕音乐，标题为“ Karma”，由Takeshi Abo组成。我发现这对于中国的作品来说非常令人惊讶，令人遗憾的是，它在描述中没有注意到它。
32102,UgyCChAq1jg5eymF2Cl4AaABAg,1,4 years ago,i like your videos better without music. the sound is so crisp and clear and lovely all on its own. the music distracts from it,我没有音乐，更喜欢您的视频。声音本身就是如此清晰，清晰可爱。音乐使它分心
32959,UgzDGYwh7bUfEO9Dizd4AaABAg,1,4 years ago,"high resolution!
it looks like you're watching some drama.
the music is good. healed with an attractive video.","高分辨率！
看来您正在看一些戏剧。
音乐很好。用迷人的视频治愈。"
32435,UgyMTOU2n8DAVv17pIB4AaABAg,1,4 years ago,wt an ideal women she is!! am jst imprsd ๐’ bckgrnd music was amazing hv a great future go aheadโ๐‘๐,她是理想的女人！ Am JST Revsd
35330,UgwD9pCbSlp2gOPb2jF4AaABAg,1,4 years ago,music please?,音乐吗？
33829,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48z9kpnW3mnQ,1,3 years ago,"how can people get almost 10k likes for a comment while it's not a music video or a streamer video like pewdiepie, and it will reach 10k soon, i can't believe it!!!",人们怎么能在不是音乐视频或Pewdiepie之类的彩带视频时获得近10k的评论，而它很快就会达到10K，我简直不敢相信！！！
34543,Ugw5s9z3MVHWUuAa_XR4AaABAg.8uztCsvLOer8vU8s6pSoWb,1,4 years ago,"i was thinking the same thing how could you capture that on camera this channel obviously has a talented and creative camera man director and editor

the music and audio that's also perfectly tailored to the scene","我在想同样的事情，你怎么能在相机上捕捉到这个频道显然有才华横溢且创意的摄影师导演和编辑

音乐和音频也非常适合现场"
22154,UgycvjPEXjQAXqvKpuJ4AaABAg,1,3 years ago,the background music though... demon slayer??,虽然背景音乐...恶魔杀手？
22208,UgyUrS9bttBdsamnGFh4AaABAg,1,3 years ago,music is very hisaishi-esque,音乐是非常史上的风格的
18579,UgweceIlhVSkdmJL0dN4AaABAg,1,3 years ago (edited),"li ziqi, that is what i call natural. you are a natural beautiful woman who does natural things from the scratch. i also like the relaxing music which even makes your videos extra special and more enjoyable. thanks",李齐（Li Ziqi），这就是我所说的自然。您是一个天生美丽的女人，她从头开始做自然的事情。我也喜欢轻松的音乐，甚至使您的视频更加特别，更有趣。谢谢
19256,UgwZWJiVywojhkCXU6t4AaABAg,1,3 years ago,the music she uses always reminds me of studio ghibli and everything she does just radiates pureness and hardwork and its just really inspiring,她使用的音乐总是让我想起吉卜力工作室，而她所做的一切都散发出纯净和努力，而且它真的很鼓舞
40793,UgwMJ83s51RToocxG9h4AaABAg,1,4 years ago,i can do the magical woman who exists at the same time as wen qing. i like background music nicely,能干跟文青同时存在的神奇女子 我喜欢 背景音乐好听
25518,Ugyee6ZEWsl9eISxssx4AaABAg,1,3 years ago,ummmm i wanna be in that safe loving place with the peaceful music and good food and good vibes ๐ญ๐ธ๐โ๏ธ๐ฑ๐๐ฅ๐ญ๐ฅฎ๐ง,嗯，我想和宁静的音乐，美好的食物和美好的共鸣
19632,Ugw9iY16QncZIQQdAGp4AaABAg,1,3 years ago,5:15 am i the only one who recalls the music from my childhood? shouri zen no theme from digimons? :p,5:15我是唯一回想起我童年音乐的人吗？ Shouri Zen来自Digimons没有主题？ ：p
20991,UgyBX3NcbBa3eiWEzYd4AaABAg,1,3 years ago,"2nd music play
me: ""numemooooon!!!"" cri twt","第二音乐播放
我：“ numemooooon !!!” CRI TWT"
39996,UgwnpCvlvt2g-prBp6h4AaABAg,1,4 years ago,why i try to find the background music from the video start that i canโ€t find it on youtube..that background music i have been listen before so much longer,为什么我尝试从YouTube上找不到视频开始的背景音乐。
24173,Ugx960Y0aWQObPWVcQd4AaABAg,1,3 years ago,music used in the beginning?,一开始使用的音乐？
39559,Ugyq0UjeWhSBQgi7luV4AaABAg.8spU6MGGnmN8tQ42etg-Oq,1,4 years ago,"znyl nj found the song, it's called shouri zen no
https://www.youtube.com/watch?v=150xu2bhwqy
i was really surprised to see her use digimon music :d","ZNYL NJ找到了这首歌，叫做Shouri Zen no
https://www.youtube.com/watch?v=150xU2bhwqy
看到她使用Digimon Music：D我真的很惊讶"
17631,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98P9rE3NaF6,1,3 years ago,"@royaltyfreeonlineanimemusic thanks. most people are not ready for the truth. living in phantasies like this here, created by someone artificially. this help them to escape frome reality. so i understand they hate against me.",@RoyaltyFreeonlinAneAnimemusic谢谢。大多数人还没有为真相做好准备。在这里生活在像这样的人人为地创建的幻想中。这有助于他们逃避弗罗姆的现实。所以我知道他们讨厌我。
22698,Ugygtyyn9CdcIyN9PG14AaABAg,1,3 years ago,did you realize that the music is digimon ost? ๐,您是否意识到音乐是Digimon Ost？
21898,Ugyoi9FjY3RI450GB0J4AaABAg,1,3 years ago,"nature is also beautiful
the cooking skill is great
beauty is ฯ (^_^;)? โค
i want to live in nature
even if you look at the e -mail, it is new
i love music too
ฮฃ (^_^;)? โค","大自然也很漂亮
烹饪技巧很棒
美是σ（^_^;）？❤
我想生活在大自然中
即使您查看e -mail，也是新的
我也喜欢音乐
σ（^_^;）？❤"
22222,Ugz2SEc757W6E4P-MIx4AaABAg,1,3 years ago,"wow always making food or forging for food,do you feed a whole village of people?i feel really odd now eating once a day when i see how much food you produce,i donโ€t know how you do it but your food looks over the top delicious,you need a vacation itโ€s seems you never stop working to gather food and such!!!you make amazing videos,i love your puppies as well they are super cute and the background music was very tranquil and soothing to listen to as wellโ๐ป&โค๏ธ from me and my wife in ๐จ๐ฆ canada!!!",哇，总是在做食物或锻造食物，你喂整个人吗？现在每天吃一次食物，我真的很奇怪，我不知道你怎么做最美味，您需要度假，看来您永远不会停止工作来收集食物等等！！您制作了令人惊叹的视频，我也爱您的小狗，它们非常可爱，背景音乐非常宁静，舒缓地听了well✌
17675,UgzssXd27uOwHGqTsFl4AaABAg,1,3 years ago,why this background music has a feeling of watching the city of the sky.,为何这背景音乐有一种看天空之城的感觉。
21,UgwnVcGUluJx1pSVDL54AaABAg,1,4 days ago,the backround music is distracting me from my parents yelling and planning to have a divorce........,背面的音乐使我分心父母大喊大叫，并计划离婚........
3660,Ugw6X32gqbIBnya_TYt4AaABAg,1,1 year ago,video music is so peaceful :),视频音乐是如此宁静:)
15794,UgxwKIV0De2oIseO9m54AaABAg,1,3 years ago (edited),"watch these videos is so relaxing but i noted that the music from this sounds like a song from digimon, or is it just my imagination?",观看这些视频是如此放松，但我指出，这听起来像Digimon的歌，还是我的想象力？
13623,UgzGZh5BgFIWNT1jwGJ4AaABAg,1,2 years ago,the music is so satisfying...,音乐是如此令人满意...
47907,UgzJpuu-XSJ1xIWX3mF4AaABAg,1,4 years ago,"fyi indonesia has music, music dangdut original from indonesia and bali part of indonesia because many people don't know bali in indonesia. lombok, raja ampat, borobudur, prambanan is also good not only bali",FYI印度尼西亚有音乐，来自印度尼西亚和印度尼西亚的巴厘岛的音乐原创音乐，因为许多人在印度尼西亚不认识巴厘岛。伦波克，拉贾·安帕特，鲍罗布杜尔，普兰巴南也很好，不仅是巴利
4757,UgxTs818UEHfP3uSzXV4AaABAg,1,1 year ago,background music is awesome,背景音乐很棒
5594,UgxSuR--G38SEyeih9p4AaABAg,1,2 years ago,music was so soothing❤️❤️,音乐是如此舒缓❤️❤️
2409,Ugz1HjOtrSRxxbO4QHZ4AaABAg,1,1 year ago (edited),you made me went through a digimon nostalgia because of the music 5:16,您让我经历了Digimon的怀旧之情，因为音乐5:16
2403,Ugzq5h6YGQIBmiO55oJ4AaABAg,1,1 year ago,what are the names of the music tracks used in this video?,该视频中使用的音乐曲目的名称是什么？
6472,UgwYTen4dpdfrP7ot9V4AaABAg,1,2 years ago,how can i get the music of this video? please help me,如何获得此视频的音乐？请帮我
47293,UgwnWlfNnuEOWmO1QDN4AaABAg,1,4 years ago,"https://youtu.be/egunzqrbh1k
back ground music similar to this..","https://youtu.be/egunzqrbh1k
与此类似的背景音乐。"
43572,Ugw4NI9lJrWZ-_GYq_h4AaABAg,1,4 years ago,"the quality of the video, the cinematography, the music scoring, the scenery and the cute kid was so amazing",视频，摄影，音乐得分，风景和可爱的孩子的质量真是太神奇了
15374,Ugz9QYnWXPXvkfZOtRB4AaABAg,1,3 years ago,the background music just healed me,背景音乐刚刚治愈了我
43615,Ugysf2QApkpyk2-1syZ4AaABAg,1,4 years ago,feels like i’m watching a cooking scene from a feudal era anime especially with the music very cool video,感觉就像我正在看封建时代动漫的烹饪场景，尤其是音乐很酷的视频
49791,UgxYLjNZHC2ZCH5UdHt4AaABAg.8qlxceUHjsP8qprAr9qjns,1,4 years ago,"this channel has delected several videos because of back ground music copyright, you can find them on her facebook page.",由于背景音乐版权，该频道已删除了几个视频，您可以在她的Facebook页面上找到它们。
7636,UgxTsNNf9pLZExY8Abt4AaABAg,1,2 years ago,amazing editing music so calm,惊人的编辑音乐如此平静
16599,UgyyLPPuhAMBfIAAzxd4AaABAg,1,3 years ago (edited),"i like her video clips, but the same music throughout the whole video time bothers me so much. 

please don't insert any music, or insert different music!!!

i really don't like to hear the same music throughout most of her video clips. 

i do not like to hear the same music over and over again.","我喜欢她的视频剪辑，但是在整个视频中，相同的音乐也很困扰我。

请不要插入任何音乐，也不要插入其他音乐！！！

我真的不喜欢在她的大多数视频片段中听到相同的音乐。

我不喜欢一遍又一遍地听到同样的音乐。"
8335,Ugx1-_gcyGbG5Bkubv54AaABAg,1,2 years ago,music is healed,音乐已治愈
4083,Ugw3GFi8tnJDEtnSS4V4AaABAg,1,1 year ago,"everything is perfect view ,music ,food",一切都是完美的视野，音乐，食物
15865,UgziNDy6vDJITY4TPo14AaABAg,1,3 years ago,"love the music from ""digimon"" in the background ❤❤❤",喜欢背景中“ Digimon”的音乐
46776,UgySWYePLUO-DASVs3B4AaABAg,1,4 years ago,"who can give me the music website of 5:17, please! intersection intersection",谁可把5:17的音乐网址给我，拜托！ ！ ！
37362,Ugw3uadb-eaF6Bk2Ci94AaABAg,0,4 years ago,isn't the first music 'karma' by takeshi abo ?,Takeshi Abo的第一首音乐“业力”不是吗？
39039,UgyKYHsD72PdtRu5C0d4AaABAg,0,4 years ago,"sacrifice the video a.the 2.38 to say that it is perfect ... it causes a sense of beautiful peace ... and the music ... the work of the lady, the movements.
everything is perfect","牺牲视频A. 2.38说它是完美的……它会引起美丽的和平感...和音乐……女士的作品，动作。
一切都是完美的"
36352,Ugwn3fF39ElQ_u_fCEJ4AaABAg,0,4 years ago,am i the only one noticed that background music is ever17 ost?,我是唯一注意到背景音乐是​​曾经有17年OST的人吗？
36398,Ugx9tg5r0V6Ki8nSztZ4AaABAg,0,4 years ago,the castle in the sky (?) music in the background is perfect โก,天空中的城堡（？）音乐中的音乐是完美的♡
46636,UgxHr5eZ41Gqz26E9bd4AaABAg,0,4 years ago,your videos are beauiful and you are a very beautiful lady .i love the way you take good care of your animals very healthy i can not wach videos when the animals are skinny you can see they are not well care for ..your music is very nice ..,您的视频是美好的，您是一个非常漂亮的女士。我喜欢您很好地照顾动物非常健康的方式，当动物很瘦时，我无法播放视频，您可以看到它们不太照顾好..您的音乐非常非常好的 ..
38852,UgwjZFzVwUOT7m4HCMZ4AaABAg,0,4 years ago,no music is better! it's so much more peaceful!,没有音乐更好！这是更加和平的！
47816,UgxCbcmw0jqoBQg0Tr94AaABAg,0,4 years ago,"a great movie is to hope that this background music is authorized, otherwise the copyright party will find it, and it will be sad to eat three times.",很棒的影片，就是希望这背景音乐是拿过授权的，不然版权方找上来，吃三次strike就很悲凉了
36285,Ugz3YxqE3umD5SK_d5t4AaABAg,0,4 years ago,how can i find this music please help me,我怎么能找到这种音乐，请帮助我
37885,UgxwKrNcEQBVkbZI-GR4AaABAg,0,4 years ago,"what a music on background.anyone know ?..i try this keyword ""ั ัะตะทะถะฐั"" .but still i cnnot find this instrumental song",背景上的音乐是什么。
47369,UgykZtkVBYZ3_Pf_AI94AaABAg,0,4 years ago (edited),is this music from a galgame called ever 17: the out of infinity?,这是来自Galgame的音乐，称为Ever 17：Out Infinity？
37578,Ugy45ooghddjVSo5rPB4AaABAg,0,4 years ago,what is the name if music in bigining???,如果顽固的音乐叫什么名字？？？
46831,UgzLvwJ7ClM7BPSBBBB4AaABAg,0,4 years ago,"have you heard the background music of digimon in the second half? wow, full of memories.",有听出后半段的数码宝贝背景音乐的吗？哇，满满的回忆。
37097,Ugzko59dVa83oEYIeCp4AaABAg,0,4 years ago,"although it is rude, can you know what the background music of this image is?
(use a translator)","虽然是失礼的话,但是能知道这个影像的背景音乐是什么吗? 
(使用了翻译器)"
37213,Ugx7DpklMwa-BUREHCF4AaABAg,0,4 years ago,how do i find the piano sheet music to this song?,我如何找到这首歌的钢琴乐谱？
37773,Ugw7QmiTZd16OQI3duR4AaABAg,0,4 years ago,why you put sad music over those sweet candy?,为什么您将悲伤的音乐放在那些甜蜜的糖果上？
36788,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9-AnCw90nFq,0,3 years ago,"omg. your comment reminds me of that game. hahaha..the festival, 4 seasons, the calm music and everything !. reminiscing the child hood day with the ps2/1. hope to play that game again in android version.",我的天啊。您的评论使我想起了那场比赛。哈哈哈..节日，四个季节，平静的音乐和一切！用PS2/1回忆起儿童罩日。希望能在Android版本中再次玩该游戏。
42768,Ugzl8IUqgejJVn7jFE54AaABAg,0,4 years ago,why is the music so sad?,音乐为什么这么悲伤？
36143,Ugy1ZPwYNGvkGjky7nd4AaABAg,0,4 years ago,"that background music ,her hardworks,place and beautiful animals โค๏ธโค๏ธโค๏ธโค๏ธโค๏ธโค๏ธโค๏ธ",背景音乐，她的努力工作，地方和美丽的动物❤️❤️❤️❤️❤️❤早太郎茅qor
49654,UgwjzmKMFNYj9itZ5jR4AaABAg,0,4 years ago,background music digital baby,背景音乐数码宝贝
33120,Ugx0bpRmIX5Sa0iZFzJ4AaABAg,0,4 years ago,i didn't like the music ... i don't hear the sound of nature.,我不喜欢音乐...我听不到大自然的声音。
51219,UgwFUysqGpiyo3sp5cZ4AaABAg,0,4 years ago,i even heard the background music of digital tyrannosaurus! intersection,我竟然听到数码暴龙的背景音乐！ ！
33491,UgxtWJnqmuQNkzUrG4V4AaABAg,0,4 years ago,"i know this stuff is not a competition but this looks like a carbon copy of ""dianxi xiaoge"" theme. same style of music and the same basic country life living. i'll admit this has more diy clothing and dianxi xiaoge is more cooking.",我知道这不是一场比赛，但这看起来像是“ Dianxi Xiaoge”主题的碳副本。相同的音乐风格和同样的基本乡村生活。我承认这有更多的DIY服装，而Dianxi Xiaoge正在做更多的烹饪。
33543,Ugx04eEjyCyFKBbA9xd4AaABAg,0,4 years ago,the digimon music in the background was kinda off for me lol,背景中的Digimon音乐对我来说有点不满意
33550,UgwbIX-zvpcJoFvJ5hx4AaABAg,0,4 years ago,is the music at 3:57 from a studio ghibli movie?,音乐是吉卜力工作室电影的3:57吗？
51043,Ugwr3OipGPcYap2yblx4AaABAg,0,4 years ago,this episode is full of amazing things and beautiful music with a pretty young lady,这一集充满了令人惊叹的事物和美丽的音乐，一位漂亮的小姐
50874,Ugy4s0V3Ar3DZK7Tn114AaABAg.8qlcByhcJHZ8qlvsM_nkxd,0,4 years ago,deleted due to yoitube music copyright issue. u can still find it on her facebook page,由于Yoitube音乐版权问题被删除。你仍然可以在她的Facebook页面上找到它
49885,UgxM6L7-sp3fKaTu05h4AaABAg,0,4 years ago,find background music as usual,照例求背景音乐
49700,Ugy8JOjGDBSdHiJR_Ct4AaABAg,0,4 years ago,"love the video !!! , but music too high pitch , hurts my ears.",喜欢视频！！！ ，但是音乐的音调太高会伤害我的耳朵。
34300,Ugyg3OX8VceEi2mzEad4AaABAg,0,4 years ago,5:15 is that digimon music i hear?,5:15我听到的是Digimon音乐吗？
49151,UgwiTHf2EX74IDznJoJ4AaABAg,0,4 years ago,music please,请音乐
35782,UgyIfBk8qx6P5HiRsBt4AaABAg.8u_sUavT-BB8uboxouasLW,0,4 years ago,this music from digimon anime,Digimon动漫的音乐
34582,UgyhEbGFrMOd9I9dtQN4AaABAg,0,4 years ago,does at 5:16 really starts playing some digimon music ? ... -,5:16真的开始播放一些Digimon音乐吗？ ... -
48974,Ugx5EXkkL-T-Oc-XDiJ4AaABAg,0,4 years ago,5:30 --digimon music <3 shouri (zen no theme),5：30-二氧音乐<3 shouri（Zen No The Thee Theme）
34909,UgzFRWYWtBhNn3DaDxp4AaABAg,0,4 years ago,video: 100%. music -100%.,视频：100％。音乐-100％。
48656,Ugyh-KobVRmJLW8THN54AaABAg,0,4 years ago,wow how i like to see this girl working conveys a peace i don't know the music harmony as she does me,哇，我喜欢看到这个工作的女孩传达了一个和平，我不知道音乐和谐
48077,UgzkFH8YfGzIcTI7w6R4AaABAg,0,4 years ago,i love the music background,我喜欢音乐背景
35380,UgwRjPJILNuD8-wfWl54AaABAg,0,4 years ago,"that music background remind me of digimon adventure hahaha 
btw the video is very nice","音乐背景使我想起了Digimon冒险哈哈哈
顺便说一句，视频非常好"
47983,UgxrOp0mgwqOtHnzLFN4AaABAg.8qnbjBQOkTH8qnceTk_P8M,0,4 years ago,maybe it's because of the back ground music copyright. you can still find it on her facebook page.,也许是因为背景音乐版权。您仍然可以在她的Facebook页面上找到它。
35711,Ugwwr1QOsuQaK98_5tN4AaABAg,0,4 years ago,pls do a no music ver too,PLS也没有音乐
46624,UgyhfBYRLeqizutpyQJ4AaABAg.8qsn4WRLK0T8qsqm0uKcTm,0,4 years ago,deleted due to music copyright but you can still find it on facebook on li zi qi page with the same avatar as on youtube.,由于音乐版权而被删除，但您仍然可以在Li Zi Qi页面上的Facebook上找到与YouTube相同的头像。
35764,UgyIfBk8qx6P5HiRsBt4AaABAg,0,4 years ago,whats the name of the music playing in the background?,音乐在后台播放的名字是什么？
39047,UgwllBjiubFHHddBmQF4AaABAg,0,4 years ago,digimon music <3,Digimon音乐<3
46201,UgzMO8Gm6Lpj8CMIbyR4AaABAg,0,4 years ago (edited),digimon music background in this video was really soothing my mind.,该视频中的Digimon音乐背景确实让我舒缓了我的脑海。
39049,Ugzio6nPoNf1aPVrkMl4AaABAg,0,4 years ago (edited),that music is from digimon 01 track 27 i believe. and when i heard that i screamed (the second music) when she started making popcorn,我相信那种音乐来自Digimon 01曲目27。当我听到我开始制作爆米花时尖叫（第二首音乐）
41701,UgxFioSTI68TF4d-XeF4AaABAg,0,4 years ago,doesn not anyone find the background music is ever17,没有人会发现背景音乐是​​永远的17
40993,UgwUJFZLoX5C9c-BJ_B4AaABAg,0,4 years ago,"i don't think i'll ever get bored watching your videos. the food you make just looks too good, and the music is very calming.",我认为我不会无聊地观看您的视频。您制作的食物看起来太好了，音乐也很平静。
43891,UgxmiGVvctv89LCE7gl4AaABAg,0,4 years ago,li ziyi's video and jiushi lang’s music are simply a perfect match,李子柒的视频跟久石让的音乐简直是绝配
41036,UgxmJWTht6Z2w2gzzEV4AaABAg,0,4 years ago,the music just goes so well with this...,音乐对此很好。
41100,Ugxz4KPiYt5q4znjscB4AaABAg,0,4 years ago,what is music of first part?,第一部分的音乐是什么？
41107,UgxdV5PElLFP1hZhMut4AaABAg,0,4 years ago,the music on half ending remind me of digimon adv,一半结尾的音乐让我想起了Digimon Adv
41249,Ugzi6mJgqq3r-p9lukl4AaABAg,0,4 years ago,"look at it ... wait. why is this background music so familiar ... the first one does not remember, is the second one digital baby?",好好看哦……等等。这个背景音乐怎么那么耳熟...... 第一个不记得，第二个是不是数码宝贝啊？
43731,UgzNaBIxMm3kP30PexF4AaABAg,0,4 years ago,waaau i don't know how i end up watching this video but i loved it ... i think music and food etc.,waaau我不知道我最终如何看这部视频，但我喜欢它...我认为音乐和食物等。
41313,UgwGnL_PhBQ0EXH2WDF4AaABAg,0,4 years ago,"and now with that music of the first season of digimon
i like this channel even more","现在有了Digimon第一季的音乐
我更喜欢这个频道"
41336,UgzijMLvZxWVecjK9mR4AaABAg,0,4 years ago,"this video makes me feel peaceful, calm and relaxed because of the music and views that are served are extraordinary .. keep up to make more videos like this girl ...",这段视频使我感到和平，镇定和放松，因为音乐和景色是非凡的。。。。。。。。。。。。。。。。。。。。。。
43621,UgyF2MzukG6WbYJ1voF4AaABAg,0,4 years ago,why the background music is so sad,为什么背景音乐如此悲伤
41563,UgwRvPfIJAvg1Ae0m-t4AaABAg,0,4 years ago (edited),lol am i the only one thinking that it’s the music from digimon at 5:16,大声笑我是唯一一个认为这是Digimon在5:16的音乐
41774,UgyybTkeZZ8mespFzG54AaABAg,0,4 years ago (edited),is the music from digimon 01? <3,是Digimon 01的音乐吗？ <3
39103,Ugz9piOGZmmRZcHLX0l4AaABAg,0,4 years ago (edited),"this is by far the best 10 minutes i have ever spent on youtube ,lovely , calmfull and peacefull music .i am amazed with the way most recepies are done here but regarding the way the popcorn is made ..waaw ,never seen anything like it ... what is the name of the baric chamber where you pour the corn pips in ? anyone ?",这是我在YouTube上度过的最好的10分钟，可爱，冷静和和平的音乐。我对大多数回收的方式感到惊讶，但是关于爆米花的制作方式。.Waaw，从未见过这样的东西...倒入玉米的Baric室的名字是什么？任何人 ？
41881,UgyWCWM6b9hB8utB0DZ4AaABAg,0,4 years ago,change music pls,更改音乐请求
43547,UgyZf11mVrIGYZuDV2p4AaABAg,0,4 years ago,i love the music very much,我非常喜欢音乐
43483,Ugy2PuTJ-xL_iStRQ_B4AaABAg,0,4 years ago,the woman seems depressed by the sound of the music she's playing,女人似乎对她播放的音乐的声音感到沮丧
42180,UgwCEGTdFr83IH0c0X54AaABAg,0,4 years ago,what a beautiful video with happy background music ! can we have a short video from chinese spring festival !!! what a fantastic place ! :),带有快乐的背景音乐的美丽视频！我们可以在中国春节有一个简短的视频！！！真是一个很棒的地方！ :)
42566,UgzCQFoNyJ4NKb6AKg54AaABAg,0,4 years ago,can we talk about the digimon music at 5:15?,我们可以在5:15谈论Digimon音乐吗？
43238,UgxwlVKwC5CeZnB76w14AaABAg,0,4 years ago,the music at 5:23 or 24.. that was used in digimon!,音乐在5:23或24 ..是在Digimon使用的！
43182,UgyBibSjmQmdZdLCYp14AaABAg,0,4 years ago,this really good video .. i love the food and music digimon,这个非常好的视频..我喜欢食物和音乐digimon
42700,UgxXpGjtKWq_TFaujxx4AaABAg,0,4 years ago,the music is so satisfying,音乐是如此令人满意
43158,Ugx8zZd6T8jNjyK2QLV4AaABAg,0,4 years ago,background music is amazing...........its soothing... keep on doing hard work plus keep on choosing nice music too,背景音乐很棒...........................................................................................................................................................................................................................................................................................................................................................................
43152,UgwanqiR4uu1fRsHJPV4AaABAg,0,4 years ago,the second background music is from digimon adventure ost #27,第二个背景音乐来自Digimon Adventure OST＃27
42788,UgzBUl89s-grt8bUj4p4AaABAg,0,4 years ago,why the music is so sad,为什么音乐如此悲伤
40832,UgzU1fRFenq0ujdJfi94AaABAg,0,4 years ago,anyone notice the background music of this video in the first digimon series? lol starting from 5:17,有人在第一个Digimon系列中注意到该视频的背景音乐吗？大声笑从5:17开始
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,4 years ago,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
40720,UgzCq4omFSzKwzmOLdB4AaABAg,0,4 years ago,can anyone please tell me the music that is playing in the later part of the video.,任何人都可以告诉我视频后期播放的音乐吗？
44255,Ugx8lxYCdZfRAaEQnCl4AaABAg,0,4 years ago,the background music sounds kinda familiar... i think it's from digimon or another anime..,背景音乐听起来有点熟悉...我认为这是来自Digimon或其他动漫的。
46605,UgzhsiJpkbuLlA71eSF4AaABAg,0,4 years ago,the music of the 31 january video is so distracting - love the video though especially the english captions.,1月31日视频的音乐非常分散 - 喜欢视频，尤其是英文字幕。
42765,UgxEKzAuUA6ugnr3MmZ4AaABAg,0,4 years ago,the music of the korean drama drama,韩国戏剧的音乐
45929,UgyXSDPg5eib_uTB33h4AaABAg,0,4 years ago,5:16 music of ikari de digimon: d,5:16 Ikari de digimon的音乐：D
45928,UgwV5wtkmUMFu1_H0qB4AaABAg,0,4 years ago,"always enjoy her beautiful video... i've been watching do many of them.... she 
had so much knowledge ,,she can fix anything ....?music is so soothing.... thank u","总是喜欢她美丽的视频...我一直在看很多。
有很多知识，她可以修复任何东西。...音乐如此舒缓....谢谢你"
45879,UgymZKcTK_XBYlnjb2F4AaABAg,0,4 years ago,the second background music sounds like it was from digimon. and the first reminded me of the music from laputa,第二个背景音乐听起来像是来自Digimon。第一次让我想起了拉普塔的音乐
45863,Ugy2RKZRdceab_bb6JN4AaABAg,0,4 years ago,"originally, i was very emotional that the music of the digimon was burst into tears when i came out o (╥﹏╥) o",本来挺感慨 数码宝贝的音乐一出来瞬间泪目了 o(╥﹏╥)o
45659,UgzkJwobXQqr_ZoIpkd4AaABAg,0,4 years ago,more i see more i fall in love with ur show . ..simply love your show .music is so soft n peaceful..and food u cook looks so yummy,我看到更多我爱上了你的表演。 。
39405,UgzMnPmvP9MDP3rrOs54AaABAg,0,4 years ago,digimon music 6.00??,Digimon Music 6.00 ??
45604,UgxqbQ3kOfPNk9xMr6B4AaABAg,0,4 years ago,greetings from chile pucha how sad music i liked everything and the puppies also all the animals,智利Pucha的问候我多么悲伤的音乐，我喜欢一切，幼犬也是所有的动物
45465,Ugy6EjRF5q3vCoENf714AaABAg,0,4 years ago,hey the music of digimon,嘿，Digimon的音乐
45298,UgwnbTmQaZJlZoG7Vb14AaABAg,0,4 years ago,"could you please tell me who's the music from??
im from argentina. love what you do. thank you","你能告诉我谁是音乐吗？
我来自阿根廷。热爱你所做的事。谢谢"
45192,Ugy2GUvQtljdaYznPlp4AaABAg,0,4 years ago,5:17 ?? music digimon ?,5:17 ??音乐Digimon？
39995,Ugzbp9AkadTOQg97Ze54AaABAg,0,4 years ago,idk how i feel about this music >> seems too sad.,我对这首音乐的感觉>>似乎太伤心了。
44713,Ugw_ItBdxT4yfhkbVep4AaABAg,0,4 years ago,background music is the first season of digital tyrannosaurus! intersection nostalgia,背景乐是数码暴龙第一季的！！好怀念
44707,UgypxJABRDvi8lqk-aR4AaABAg,0,4 years ago,digimon's music is sentimental after hearing it,数码宝贝的音乐听了很感伤呢
40199,UgwZgbIh6VUB9mZzzZl4AaABAg,0,4 years ago,everything is beautiful and music as always poetry,一切都很美丽，音乐一如既往
40250,UgwvJ3Tr4uTIFc4HBU54AaABAg,0,4 years ago,what is the music name in the minute 5:17,5:17的音乐名称是什么
40280,UgyZX8wMmUiETfo1pih4AaABAg,0,4 years ago,please someone tell me who else recognizes the music at 5:17??,请有人告诉我还有谁在5:17认识音乐？
40342,UgwP7iJ_XWBWY5xLOEV4AaABAg,0,4 years ago,whats the music name starting at 5:16?,从5:16开始的音乐名称是什么？
40448,UgxJE57aYchjxl-rLe54AaABAg,0,4 years ago,why is the latter half of music in digimon?,后半段音乐怎么是数码宝贝里面的
