,cid,votes,含music ,含music 中文翻译
7806,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CRJuhV-4mD,0,@aravindnxmusic thai culture and indic cultures do have cultural similarities.,@aravindnxmusic泰语文化和表明文化确实具有文化相似之处。
5822,Ugy3zmGtiajtRbJWAzN4AaABAg,0,background music is very sweet love from india.....,背景音乐是​​来自印度的非常甜蜜的爱.....
4905,UgwkjDKREJTGwRCWFvp4AaABAg,0,"background music is very satisfying, it helps to reduce stress and liziqi your work gives us energy. when i see your vedioes i forgot all my worries and tension. i feel relaxing after saw your all vedioes. thanks.",背景音乐非常令人满意，有助于减轻压力，而您的工作为我们带来了精力。当我看到你的吠陀时，我忘记了我所有的烦恼和紧张。看到您所有的吠陀经之后，我感到放松。谢谢。
4302,UgyF0NBibtPGRAtML9N4AaABAg,0,god i love the music to this chanel,上帝，我爱这个香奈儿的音乐
3996,UgyywHlJ1MA3JYMuWUF4AaABAg,0,"please tell me what the background music is called!!! artist, track??",请告诉我背景音乐叫什么！！！艺术家，轨道??
3918,UgzLGcs5mjGPNFt_4Pt4AaABAg,0,"love too chill out with u on ya farm ,but i am about too start a music career, yeah hanging out with rock chick and guys yuk",在YA Farm上与您一起放松，但我也要开始音乐事业，是的，与摇滚小鸡和伙计们一起闲逛
3809,Ugx6W1MFynTz424SUkB4AaABAg,0,"let me know, what the title of the music u play for this video?.. i love and like it. tq",让我知道，您为此视频播放的音乐标题是什么？..我喜欢并喜欢它。 TQ
3158,UgzWYEbQxwYoQMAp5O14AaABAg,0,what is the background music when picking up the screw?,请问捡螺丝的时候的背景音乐？
2650,Ugw4e9gxIc3SJ0ZcWOZ4AaABAg,0,can someone link the bg music to me? they just beautiful especially from min 6:00 forward. just like an rpg from back when.,有人可以将BG音乐链接到我吗？他们只是很漂亮，尤其是从6:00前进。就像从背面的RPG一样。
7805,Ugx6sVyKbx_lKLs_OzR4AaABAg.9COMX-1pHNr9CRJu3YGiCe,0,@aravindnxmusic thai culture and indic cultures do have cultural similarities.,@aravindnxmusic泰语文化和表明文化确实具有文化相似之处。
8934,UgztSBaqnZDj9fLlPU14AaABAg,0,"what is cool is that throughout the video you can see such a delicate and fine girl, with a very relaxing music an idyllic tranquility and elegance and at eating some noise that scares ๐คฃ๐คฃ๐คฃ๐คฃ",很酷的是，在整个视频中，您都可以看到一个如此细腻而细腻的女孩，带有非常轻松的音乐一种田园诗般的宁静和优雅，并且吃一些恐惧的噪音
17207,UgzT_efSLFpt5TqqA1p4AaABAg,0,"your picture and music are beautiful, making me feel that this powder is sweet rather than smelly. bad review.",你的画面和音乐优美了，让我觉得这个粉是甜的而不是臭的了。差评。
14131,UgyqPC3HmVh1ec2sRGt4AaABAg,0,anyone knows the name of the music in the background?,有人知道背景中音乐的名字吗？
17086,Ugz9y5friEaSfX5iZ2R4AaABAg,0,"organic is an understatement here. took her lots of work but very healthy and interesting! 

edit: remove the background music and i'll be perfect","有机是在这里轻描淡写。带她很多工作，但非常健康和有趣！

编辑：删除背景音乐，我将是完美的"
16418,UgxypUgya87blD7OTaF4AaABAg,0,"daym videography, clarity and music is so on point",Daym摄影，清晰度和音乐是如此
15582,Ugz_gEKLmDzD7IkLt_N4AaABAg,0,the higher view of the music video is popular :)),音乐视频的更高视图很受欢迎:)）
15477,UgxSX_ENTy8Uv1Vz7e54AaABAg,0,anyone know the music tracks she uses?,有人知道她使用的音乐曲目吗？
15235,Ugxf__ljv5hTFp1LVSt4AaABAg,0,seeking background music (; ༎ ༎ ຶ д༎ `),求背景音乐(;´༎ຶД༎ຶ`)
1570,UgyQVgR31YSoiaiqBDB4AaABAg,0,"if there is really a language in the world that can be understood regardless of time and space, regardless of race and regardless of national boundaries, there is no doubt that it is music. zhou qiang music is committed to creating a channel for music dissemination and music exchange, to deliver the sound of true beauty to the world. if it appeals to you, please subscribe to our channel and leave positive comments. we will update our works from time to time, may the world be peaceful, may your world be full of laughter and song.",如果世界上确实有一种可以理解的语言，而不论种族和民族边界如何，毫无疑问，它是音乐。 Zhou Qiang Music致力于创建音乐传播和音乐交流的频道，以向世界传播真正的美丽声音。如果吸引您，请订阅我们的渠道并发表积极的评论。我们将不时更新我们的作品，愿世界和平，愿您的世界充满欢笑和歌曲。
14818,UgyK3ysgEEZor6a5x1t4AaABAg,0,"this woman lives in the woods with a professional camera crew following her? professional video/music editors take the videos and edit them to make tv quality episodes of her life, why exactly? this seems like a chinese tv show espousing an idyllic version of its culture.",这个女人和她跟随她的专业相机船员住在树林里？专业的视频/音乐编辑会将视频录制并编辑以制作她一生的电视质量情节，为什么呢？这似乎是一部中国电视节目，支持其文化的田园诗般的版本。
14527,UgyqmqG_ZLlu1u2e1F54AaABAg,0,can you please put the music in the description.,您能把音乐放在描述中吗？
13480,UgyF9tEuMsV68gW_9F14AaABAg.95O4S11kPAl95f8T72n5jI,0,"j meng, i mean that your comments do not match the prelude. 1 first of all, you comment, so that li ziyi should not eat meat and vegetarian, because it destroys the peace. 2 then you comment again, saying that if she let her eat dog meat, it will destroy the peace and no one likes her. the point i refuted was that she didn't eat dog meat. she was eating pork and fish, but others still liked her. conclusion, this is not the main reason why you can get the likes by others. it is because li ziyi's content, shooting method and background music are very good, so you can get the recognition of so many people. so i said that you have no logic.",J Meng 我是说你评论前言不搭后语。1首先你评论，让李子柒不要吃肉吃素，因为破坏祥和。2接着你又评论，说如果让她改吃狗肉，就破坏祥和，无人给她点赞了。我反驳的点是她没有吃狗肉，她吃的就是猪肉鱼肉等，但别人照样给她点赞了。结论，这不是吃不吃肉就能得到别人的点赞的主要原因。是因为李子柒的内容、拍摄手法和背景音乐非常优秀，所以才能得到那么多人的认可点赞。所以我说你讲话没有逻辑。
9584,UgxdetwkiVdbMZOFiCR4AaABAg,0,what your music name,你的音乐名称是什么
13420,UgyktBcrTFINVRpyjhJ4AaABAg,0,anyone know the music in her videos?,有人知道她的视频中的音乐吗？
13052,UgyCLjK7ucTn1mMFarV4AaABAg,0,music brought to you by kingdom hearts. i swear it's so reminiscent of that series.,王国之心带给您的音乐。我发誓这让人想起那个系列。
12787,UgzMAylhJrBsbBsSbnB4AaABAg,0,4:25 music name ? plz,4:25音乐名称？ plz
12664,Ugy1OdSzBdG-WeTEBF94AaABAg,0,can anyone tell me from where i can get the background piano music ? its so soothing,谁能告诉我从哪里获得背景钢琴音乐？它是如此舒缓
10910,UgxKbK7JHDea1wg2i-p4AaABAg,0,3:16 how do you call this kind of music ??,3:16您如何称呼这种音乐？
10856,UgxrwanMFWqwsRkcxQJ4AaABAg,0,i wish you would not put music in the background,我希望你不会把音乐放在后台
10855,Ugx_FmdmvO6tx0tsjtF4AaABAg,0,please don't put any music in your videos,请不要在视频中放任何音乐
9777,Ugxzw4R7lrlVjWPbjzR4AaABAg,0,i love to go home again in forest i love it all music the girl the way she work and cooking in the place so peacefull thanks for the video ๐๐๐,我喜欢在森林里再次回家，我喜欢这一切音乐，就像她在这个地方工作和做饭的女孩一样，非常感谢您的视频
33953,Ugz_HFeIhRcrpk4doXl4AaABAg,0,"the music is so distracting. i love her videos, but please stop with the music, it takes away from the video.",音乐是如此分散注意力。我喜欢她的视频，但请停下来音乐，它可以摆脱视频。
