,cid,votes,含strong,含strong中文翻译
42009,UgzdQyLeA0gj7Pd4SQZ4AaABAg,1,"in addition to food and oriental aesthetics, ziyi's video also has a strong chinese family! big love!",子柒的视频除了美食和东方美学 还有浓浓的中国亲情！大爱！
41953,UgxsxB_lOvJKKfLU9Jx4AaABAg,1,too strong,太强了
40090,UgxbIRhTCkfT_-XoLxV4AaABAg,1,too strong!,太强大了！
39839,UgzRzXMbcz0dD9iwFyF4AaABAg,1,she's cute and strong ๐,她很可爱又坚强
37277,UgzsOJw5oLPhjWGBUuR4AaABAg.8uCns5ObPCa8vSeCfQ0Q3H,1,"@karaquick395 i dont know where you are from lady bug un ""south"" amรฉrica se didnt forget hoy to live of the land, how to grow our own food, spiritual conection with mother earth here in latรญn amรฉrica is so strong and we are proud of it",@karaquick395我不知道您来自Lady Bug un“ South”AméricaSe的位置，并没有忘记Hoy居住在土地上，如何种植我们自己的食物，与LatínAmérica的地球母亲的精神构成非常强大，我们为我们感到自豪，我们为此感到自豪它
28251,UgzpIcFsFhTH0oNlW7l4AaABAg,1,very hard to find woman like liziqi who are smart strong clever,很难找到像Liziqi这样聪明聪明的女人
37248,UgygMSTQBnXp684BPQJ4AaABAg,1,"it is strongly recommended that youtube can increase the comment translation function. as soon as i come in, i find chinese reviews ๐",强烈建议YouTube能增加评论翻译功能，我tm一进来就先找中文评论
33421,UgwC6St0bOqXJhNW2u54AaABAg,1,she is soooo strong! she can carry 2 baskets full of fruit like it's nothing ๐ฑ,她太坚强了！她可以携带2个充满水果的篮子，就像没什么一样
32669,UgxDFJLkUHGjyBE3be94AaABAg,1,she's really strong!!,她真的很坚强！
31768,UgwJaF0Q0vYIG11tYRl4AaABAg,1,look at this young lady so hard working so strong!!! most girls of this generation only care about makeup,看看这个如此努力工作的年轻女士！！！这一代的大多数女孩只关心化妆
31497,Ugwa1DK3sVLQAxhsSFF4AaABAg,1,5:55 i find it adorable that someone as strong as her gets scared of popcorns.,5:55我发现像她那样坚强的人会害怕爆米花。
29894,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8yI8BbKBnWd,1,"@abcb0210cag during the three kingdoms of the three kingdoms, it was a three -strong regime in china. now it is also a chinese regime. thank you. which regime is more orthodox and is recognized by the world, do you not know? since you think the mainland is not free, why do you go to so many cities in the mainland?",​ @abcb0210cag 三国时期那是一个中国三个鼎力的政权。现在也是一个中国两个政权谢谢。哪个政权更正统更被世界认可你不知道吗？既然你认为大陆不自由你干嘛去大陆那么多城市呢，自相矛盾？
19115,Ugz1A5Lt2GsLD9vLW3x4AaABAg,1,"what other traditional snacks are you not making? it's too strong, it's just a genius 太",还有什么传统小吃是你不会做的？太强了，简直就是天才
29431,UgwMsrm02oM6s9fXpGZ4AaABAg.8xk_DZpgfpN8xw-CxAHpWd,1,"me too, output chinese culture, strong in china",我也是，输出中华文化，壮哉我大中国
29808,UgxlsikHCJJgxmw-l1J4AaABAg,1,she is a very strong girl,她是一个非常坚强的女孩
26488,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy99JmyqYTsOV,1,"so proud, stay strong and stay safe โค๏ธ",如此自豪，保持坚强并保持安全❤️
12660,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DhTbIAwYKO,1,"the typical chinese critic only regurgitates what he/she hears. there's never any research, let alone factual information. there is no evidence about covid 19 having been a huge manufactured bio terror created by china. the vast majority of people don't know 1% of chinese culture, myself included. but the little i know i love through and through! much love to you all and stay strong. brazil is with you.",典型的中国评论家只会反省他/她听到的声音。从来没有任何研究，更不用说事实信息了。没有证据表明Covid 19是中国造成的巨大生物恐怖。绝大多数人不知道中国文化的1％，包括我本人。但是我知道的一点我一直爱！非常爱你们，保持坚强。巴西与你同在。
4672,Ugy85yiUqDInLpwiTOd4AaABAg,1,"hi! ziyi your favorite homemade nougat! i really like! there are popcorn! thinking of the time after childhood to remember beautiful time, we all know how to fly away! can stand on their own! i learned a strong mentality! facing the current reality experience!",嗨！子柒妳心喜欢的自制牛轧糖！我好喜欢！还有爆米花！想起小时后童年回忆美好的时光飞逝我们都懂事乐！可以自立更生！我学会了坚强的心态！面对现在现实的体验！
4202,UgyFbFsYti10-cpHIJF4AaABAg,1,it's really strong!,真的太强了！
13492,UgyngAoa4R29vrzV1ll4AaABAg,1,the video is much stronger than those who chewed chicken heads,视频比那些啃猪头嚼鸡爪真是强太多
13943,Ugws8OCYLfXe-ytDW3R4AaABAg,1,today i first time joined your channel nice work and strong woman,今天，我第一次加入您的频道出色的工作和坚强的女人
7884,Ugw1TZW-s8jgOQWNj854AaABAg,1,"li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to show his personal talent as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi as a branch owner or a member of the branches under the strong political umbrella or a member of the strong political forces behind it. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director organizes an excellent team. the official pen and pen of the people who buy the water and margin society are all capable. ordinary people live in china, you put a small stall on the street, and you must also be very knowledgeable. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue. li ziyi, the social system of the communist wife, is very lucky.

before the reform and opening up after the cultural revolution, the urban and rural areas of china always retained the buildings and production and living models and status left by manqing. deng xiaoping sent water ghosts to taiwan's lianlian lin yifu from golden gate, and lin yifu broke the trick to subvert the world. since then, the chinese government has printed banknotes to exchange banknotes day and night. foreign trade subsidies are lower than cost -effective global economic aggression to destroy the european and american family industry light industry and become the world's richest ruling group. the dictatorship of 1.4 billion people has become the world hegemon. europe has been controlled by china today. the united states has died. china has been allowed to enter the city for a meager income forty years ago from forty years ago. the government ’s intentional day and night tofu residue project has accumulated the original agricultural workers’ blood -sweat. by now, the stock market housing market controlled by zhu rongji ’s son has repeatedly absorbed the hard -sweat of the national slave! high -speed transportation throughout the high -speed building everywhere, flicker inexplicable high -end consumption! excuse me, which brick tile belongs to you? you are just alive!

li ziyi is a lucky person. fortunately, it encountered the protection of strong political forces. that is to be discovered by bole. otherwise, li ziyi has genius acting skills, and it is impossible for a long time to play the personal talent as freely as a documentary. li ziyi has actually become a hard work that has finally become the protagonist who belongs to a company's performance team. you can position li ziyi to become a branch owner of the branch under the strong political umbrella or a member of the strong political forces behind it. it is really fate. therefore, the local bully hooligan did not dare to bully her. as soon as the chinese state policy is now like a social custom environment, once it is aimed at by the bad guys and gangsters, it will have been difficult to be plundered and destroyed until they die until they die. li ziyi was not guilty, and many democratic movements overseas scolded li ziyi to be fair. which star must not be obedient after a cannon to keep his life be obedient? are you talented? it is the boss or the director, and the investment boss by your stage! otherwise, your shit is not! after you occasionally appealing in the water margin society, you are a little bit ignorant, and you wo n’t go to the dock to invest in the bully hooligan and corrupt officials in various industries in various regions of various classes. one thousand -child wife ion sanbilin is still miserable! it's lucky to live in china. the bad guys are painful without doing bad things. but the bad guys are happy to do bad things. this is china's folk customs and folk customs, and people who are simple in china are painful. the person who saw the unharmed helping hands belonged to the government's severe blow. a good man who cares about it is the target of destroying social stability. therefore, people who are simple and kind have to do bad things and have to lack virtue, so they blame their regrets daily and suffer from endocrine disorders to die early. after the death of chinese mao, the winner of the cultural revolution incidentiality determined the theory of destiny. you are killed by the revolutionary people, and you have a bad personality. your family is beaten as an anti -revolution. you are hateful. you can not be used by me. if you have money without giving me a little money, i will make trouble. this is china's national conditions, and it is also the revolutionary strategic deployment of china ’s triad to spread the world. li ziyi is just a strange product that was excavated by the big boss. the warring states ceremony lu buwei was a model and learning in the bones of the chinese. this also belongs to the use of chinese characteristics. the chinese have not invented and created since ancient times. there are always shortcuts speculative. stealing and imitation of turmoil is used. it is found that talent is the first object to get rich. lu bowei found that it was not what ordinary people could do. the people who found that li ziyi could not protect li ziyi. a rich boss holds a red actor, finds a good script, screenwriter, and the director's excellent team, and officials who buy all aspects of the society of the water and margin are all the skills. ordinary people, you have a small stall on the street, and you must also be very conscious. buy the street bully and local industrial and commercial tax urban management underworld. if you miss a link, you ca n’t make it! don't bully li ziqi overseas. there is a ability to go with the chinese government to ask an official hat. the june 4th riots were a group of red guards yu ni, who failed to speculate in the cultural revolution. this is the characteristic of chinese culture. no rescue.","李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒天具有天才演技，也不可能长久地这样如纪录片展示自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演组织优秀的团队，恰到好处的买通水浒社会各环节的官吏笔笔都是大本领。普通人活在中国，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。共产共妻的社会制度李子柒是很幸运的。

文革后改革开放之前，中国城乡始终保留停留在满清留下来的建筑以及生产生活模式以及状态。邓小平派水鬼从金门接来台湾连长林毅夫，林毅夫一语道破颠覆世界的诀窍。从此中国政府日夜印刷钞票兑换欧元美金。外贸补贴低于成本全球经济侵略摧毁欧美家族工业轻工业从而成为世界最富有的统治集团。独裁集中十四亿人的血汗成为世界霸主。如今欧洲早已经被中国控制。美国已经亡国。中国遍地从四十年前开始，许可农奴进城用命换取微薄的收入。政府故意日夜豆腐渣工程积累最初的农工血汗，到如今朱镕基儿子管控的股市房市，反复猛烈吸纳国奴的血汗！遍地高楼大厦高速交通，忽悠莫名其妙的各类高端消费！试问，哪一块砖瓦属于你的呢？你仅仅是苟活而已！

李子柒是很幸运的人。很幸运的遇到了强大的政治势力的保护。也就是被伯乐发现。不然，李子柒具有天才演技，也不可能长久地这样如纪录片展示的那样自由自在的发挥个人的天分。李子柒实际已经被成为一个辛勤努力终于强大到了属于某企业演出团队的主角。可以定位李子柒成为一个在强大政治保护伞之下的分公司老板或者是背后强大政治势力的一员，真的是命运使然。因此当地恶霸流氓也不敢欺负她。在中国国策现在那样的水浒一摸一样社会风俗的环境，一旦被坏人歹徒瞄准，那就被掠夺被摧残早就寸步难行，直至死亡。李子柒无罪，海外许多民运分子骂李子柒实在有失公允。试问哪一个明星不是在一炮打响之后必须乖乖依靠贿赂保住性命的呢？你有天份？是老板是导演，是投资老大被你的舞台！不然，你狗屁不是！你在水浒社会偶然机会暂露头角之后，稍微不懂事，不会拜码头投靠各个阶层的各个地区的各个行业的恶霸流氓以及贪官污吏，分分钟把你弄进监狱害死你。一落千丈妻离子散比林冲还要凄惨！在中国能活下去已经很幸运。坏人不做坏事心里很痛苦。但是坏人干坏事才快乐。这是中国的民风民俗，在中国单纯心善的人很痛苦。路见不平施予援手的人属于政府严厉打击对象。好管闲事的人属于破坏社会稳定的打击对象。因此单纯心善的人不得不干坏事不得不缺德，因此每日自责悔恨而罹患内分泌失调得怪病早死。中国毛死以后，文革利益获得者发明性格决定命运理论。你被革命群众弄死，是你性格不好。你全家被打成反革命是你有可恨之处。你有才能不被我所用，你有钱不给我一点钱，我就给你捣乱。这是中国国情，也是中国千方百计传播世界的革命战略部署。李子柒不过是一个被大老板挖掘囤积培育的奇货而已。战国策吕不韦是中国人骨头里的楷模和学问。这也属于中国特色的拿来主义。中国人自古不发明创造。投机取巧总有捷径。偷窃仿造捣乱为己所用。发现人才是第一可以拿来发财的物件。吕不韦发现嬴政那可不是一般人能做到的。发现李子柒的人非大鳄也做不到保护李子柒。一个有钱老板捧红一个演员，找好的剧本，编剧，导演优秀的团队，买通水浒社会各环节的官吏都是大本领。普通人，你就在街边摆一个小摊子，也必须很识相，买通街道恶霸，当地工商税务城管黑社会。缺一个环节就搞不成器！海外民运不要欺负李子柒了。有本事去和中国政府要官帽去。六四暴动就是文革余孽投机中国政治要官失败的一群红卫兵余孽。这是中国文化的特色。没救。"
3919,UgzXr8sG4K7EZR91uld4AaABAg,1,"a year ago i wrote the following:

7800000 omg! will see 8000000 today! the history is in the making. the art of making money. the history of personal media.

今天是2021年9月21日

ziqi doubled the number of her fans in less than 12 months, now at 16000000 strong, and continues her happy life with her dearest grandma . 

ziqi, please don’t bother yourself with any bad comment or negative media reports and just continue what you did in the past few years. 

work out one video each month or so is working very well for everyone and don’t work too hard 

you are so loved, admired, jealously envied but most importantly, you are so needed by this crazy world that is struggling with the pandemic for almost two years now. 

your efforts are helping millions and millions of people each day around the globe. 

i can hardly believe this but i just can’t help admitting it because it is a fact! 

just read the millions of comments from every corner of this world and you see what i am talking about. 

子柒","一年前，我写了以下内容：

7800000 OMG！今天将看到8000000！历史正在创造。赚钱的艺术。个人媒体的历史。

今天2021年9月21日

Ziqi在不到12个月的时间内，现在达到了16000000的Strong，她的粉丝人数翻了一番，并与她最亲爱的奶奶一起延续了幸福的生活。

Ziqi，请不要为任何不好的评论或负面媒体报道打扰自己，只是继续您在过去几年中所做的事情。

每个月左右制定一个视频对每个人都非常有效，并且不要太努力

您是如此的被爱，敬佩，嫉妒，但最重要的是，这个疯狂的世界非常需要您在大流行中已经近两年了。

您的努力每天都在帮助全球数百万人。

我几乎不敢相信这一点，但我只是不禁承认，因为这是事实！

只需阅读这个世界各个角落的数百万条评论，您就会看到我在说什么。

子柒"
15804,Ugwa4NB6pJuHLou_bah4AaABAg,1,wowwww im soo jealous all the work to do and stills she's happy. i've never seen or tasted any of the food she prepares still im satisfied just watching her strong fun personality.this is what i call life.,wowwww im soo嫉妒所有要做的工作，她很高兴。我从未见过或品尝过她准备的任何食物，但我仍然很满意，只是看着她强烈的有趣个性。这就是我所说的生活。
10414,UgwWvPWTl3PrN8W8P8t4AaABAg,1,beautiful place beautiful your videos. i wanted to realize how this stove on the bench. i loved your oven you look fragile but very strong ๐๐,美丽的地方美丽的视频。我想意识到这个炉子是如何在长凳上的。我爱你的烤箱，你看起来很脆弱，但很坚固
6369,UgzQ8C5sFO53i61srB14AaABAg,1,"youtube is officially banned in mainland china by the government. the fact that she is able to access youtube with this many subscribers is the pure fact that chinese government is backing her to promote wrong cultural facts to spread the fault idea of 'everything is from china'.
so sad that chinese in china does not have right to say to no to the government.
chinese in other countries opened their eyes that chinese government is oppressing their citizens to manipulate their mind about china number 1, china strong, china everything, but the fact is chinese in china is just blinded by their own government.
don't get me wrong. one of my best friend is chinese and he is in usa. he clearly does not think like chinese in china. ask chinese outside of china. most who lived long enough away from china will say the true. those who still say china is everything is the sad reality that people still under no total govern control, culture, media, education and most importantly the truth.","YouTube在中国大陆被政府正式禁止。她能够与许多订户一起访问YouTube的事实是，中国政府支持她促进错误的文化事实，以传播“一切都来自中国”的错误思想。
如此遗憾的是，中国的中国人无权对政府拒绝。
其他国家的中国人睁开眼睛，即中国政府压迫他们的公民操纵他们对中国1，中国强，中国一切的想法，但事实在中国是中国的，只是被自己的政府蒙蔽了。
不要误会我的意思。我最好的朋友之一是中国人，他在美国。他显然在中国不像中国人那样思考。在中国境外问中国人。大多数距离中国足够长的人都会说真实。那些仍然说中国的人就是一个可悲的现实，即人们仍然没有完全控制控制，文化，媒体，教育，最重要的是真理。"
41382,UgyJYaXXg-7Irw3TQ614AaABAg,0,i love watching your video you are beautiful strong and very smart may god continue to give you strength keep doing what you are doing my family and i love watching your show,我喜欢看你的视频，你很漂亮，很聪明，愿上帝继续给你力量继续做你的家人，我喜欢看你的节目
5740,UgxOuhqiDstbmvW9i-l4AaABAg,0,"welcome to hottest dating sweety ___ ❤ p-r-i-v-t-e-- s-e-e-x-. lfinlandsex793xxx
! 
#in the history of individual humanity 歷 in the history,#strong, #fjin japanese proserous characteristic characteristic characteristic buraku, #chang,#castle city waga village middle village, #less `''#morawa poor. #shinshin, #stophy of human survival 垃圾 uraho, a trivial refusal,#deprivation and basics basic demand 們 找 種 種 種 種 種 種 種 種 種#other 們 kokai ryo, #cuts,#seasoning wako -puy -like vegetable japanese meat, #sdatistic food market for home -based households 蔬 蔬 蔬 蔬 蔬 蔬 蔬 蔬 會 會 會 會 且 且 且 且 且#stan nei peach powdering shiroki #shinical food boiled weather^|","欢迎来到最热门的约会甜心___ p-r-i-i-v-t-e - s-e-e-x-。lfinlandsex793xxx
！
＃在个人人类历史上，历史上的＃＃strong，#fjin日本的典型特征特征buraku，＃chang，＃城堡城市瓦加村中间村，#less #morawa #morawa可怜。 #Shinshin，#Stophy of Human Survival垃圾uraho，一个琐碎的拒绝，＃剥夺和基础知识基本需求们们找种种种种种＃其他们kokai ryo，＃剪切，＃调味wako -puy -like蔬菜日本肉，#Sdatistic for Home -Bate -Bate -Bate -Bate -Bate -Bate -Bate -Bate -Bate Houseps蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬粉末状#shiroki #shinical Food沸腾天气^|"
5693,Ugz-9zwP9MQOmBPeVtd4AaABAg,0,"china china coward china you look strong because we muslims sleep. the chinese communist party will be destroyed together. but now god is setting a trap for you, god is the best of those who set up the trap",中国中国胆小鬼你看起来很强壮，因为我们穆斯林睡觉。中国共产党将共同摧毁。但是现在上帝正在为您设定陷阱，上帝是建立陷阱的人中最好的
40916,UgzBvM1PEPGR-Y4CNBJ4AaABAg,0,after watching your videos my love towards mother nature has become even stronger .... love you,观看了您的视频后，我对大自然的爱变得更加强大。...爱你
41721,UgzLE9x-zDJJCYT_VR14AaABAg,0,she is so strong and smart.,她是如此坚强和聪明。
41471,Ugyil1FwoCwdAwGmkgR4AaABAg,0,"wow!!! i love you , you are very strong ,but are you beautiful !!you are really !!! you are wonder woman thank for you videos!!!!",哇！！！我爱你，你很坚强，但是你是美丽的！你真的是！！！你是神奇女侠，谢谢你的视频！
41607,Ugxj4SZRfBwppVdGkqh4AaABAg.8rvvPo5YD1U8s5CNWD6gGg,0,she's damn strong too.. look at her carrying baskets of pomelo & tangerines.,她也很强壮。看着她的波梅洛和橘子篮子。
39102,UgzxSAMz_XsmHZjl5_B4AaABAg,0,"u recommend youtube ""li ziyi"" ๐’ please remember to subscribe and share
really records your life and feel ""strong vitality"" with you ~ come on! bleak","
真实记录下自己人生"
41801,UgyWdyvBvPpchO5Qnwx4AaABAg,0,"she is a strong and powerful girl! she can support herself and take care of her grandmother, do the heavy farm tasks, furniture, food without help from any man!",她是一个强大而强大的女孩！她可以养活自己，照顾祖母，在没有任何男人帮助的情况下完成重型农场任务，家具和食物！
4735,UgzRDUyEx5lFc9Dssqd4AaABAg,0,"you are soooos strong ،
woman you are amazing 
i hope i could live your life","你太强壮了，，
女人你很棒
我希望我能过你的生活"
5801,Ugyglnoj521rZrU4iup4AaABAg,0,"so funny! more than 90 million people, this woman is too strong",太扯了！ 9000多万人次，这女人太强
38932,UgyWbgNsCr-JXHlTH0V4AaABAg,0,omg ๐ what a miracle place ๐’–๐’–๐’–๐ and a beautiful and strong woman ๐,天哪
5802,UgzY4We3T-EHrrIwkeh4AaABAg.9NdAfCfAjwt9QFlMZaj8ZR,0,"don't bury yourself, keep your heart far away from yourself. 
although the environment has a great impact on people, what really needs to be strong is your heart. you don't need to be like li ziqi, but you can change yourself little by little. 
don't pay too much attention to the eyes of others, and try to be your truest self without offending others,have a good day.","不要埋葬自己，让自己的心远离自己。
尽管环境对人们有很大的影响，但真正需要坚强的是您的心。您不需要像Li Ziqi一样，但是您可以一点一点地改变自己。
不要过分关注他人的眼睛，而是尝试在不冒犯别人的情况下成为您最真实的自我，祝您有美好的一天。"
35479,UgwVNMEh9nYgKLaMjB94AaABAg,0,"this lady is strongโ๏ธ
. i wish you happiness๐’•","这个女士很强✌️
。祝你幸福"
34517,Ugy-0Stn7pFgsLSgApZ4AaABAg,0,fairy to teach humans how to live (too strong),仙女下凡间 教导人类如何 生活 ( 太强辣)
34635,UgxjeBCjS8RDKtwKSzF4AaABAg,0,"and this is where one realizes that the woman is strong and knows how to do many things, that she is full of many knowledge",这就是人们意识到女人坚强并且知道如何做很多事情的地方，她充满了许多知识
34696,UgxDPmSWd1W7zufU7kV4AaABAg,0,"she's skillfull, strong, looks intelligent and looks good. how isn't she married ? t_t",她很熟练，坚强，看起来很聪明并且看起来不错。她不结婚？ T_T
34819,UgwmWxq7Zz_hNHivBip4AaABAg,0,too strong! i can't see half of my stomach so hungry,太强了！看到一半肚子饿到不行
34912,UgwNeeAtWBxO9XjAzul4AaABAg,0,"she is the definition of feminism....strong, independent, and bountiful.",她是女权主义的定义。
35160,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9459YfSgGIq,0,"katia g a a i completely agree. my whole point was that itโ€s completely different, and in other countries people have strong opportunities for education first. i never said thereโ€s anything wrong with her life, just that people should be grateful for what they have :)",我完全同意katia g a a。我的重点是，这是完全不同的，在其他国家，人们首先有强大的教育机会。我从来没有说过她的生活有任何问题，只是人们应该感激自己的东西:)
35370,Ugxxx5Bb9PYQkSmPq_h4AaABAg,0,"no words , she's strong super supper talented girl .. god bless you always girl .โค๏ธ",没说，她是坚强的超级晚餐才华。上帝保佑你永远是女孩。
36803,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9QKr4qSL3GY,0,"1, ๐ฅ my private g to video here ๐‘
https://ok.me/qhil?nanoko official service
๐’ i am a naked baby (ยฐ _ ยฐ) ๐€

#thank you for pointing out everyone am!
thank you for the reorganization of the live distribution! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was also exciting that i forgot to cut the camera and did one! i have to be careful in the future ...

! ๐–ค โค โค#in the future, there will be a live distribution reorganization
it is! #live distribution on this day was#very ridiculous! #more than 10,000 people were watching (#laughs)#after all the ginseng is the best! #it was exciting to have forgotten to cut the camera,#in the history of the person,#strong,#strong, #shinjin japanese ingredients ๅ…ท ๅ…ท ๅ…ท ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆฐ ๆ— ๆฐmid -vulnerable, #less `'#morawa poverty. #shinsei, #survanity of human beings, a trivial refusal,#deprivation, a basic basic demand ๅ€‘ ๅ€‘ ็จฎ ็จฎ ็จฎ ็จฎ ็จฎ ็จฎ.#่ชช food, #stiflers, so refusal people. #contrary, #asshikai kai -kai, a quick -sighted meat, a nuakenhiro ๆพ ๆพ ๆพ ๆพ ๆพ ๆพ#other ๅ€‘ kokai ryo, #cuts,#seasoning wako -puy -like vegetable japanese meat, #sdatistic food market for home -based households ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ่”ฌ ๆ ๆ ๆ ๆ ไธ” ไธ” ไธ” ไธ” ไธ”#malph peach powdering shiroki #shinical food stewed weather","1，
https://ok.me/qhil?nanoko正式服务


＃感谢您指出所有人！
感谢您对现场发行的重组！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并做一台相机也很令人兴奋！我将来必须小心...

！
这是！ ＃这一天的活力分布非常荒谬！ ＃超过10,000人正在观看（#laughs）＃在所有人之后，所有人参是最好的！ ＃在人的历史上忘记剪相机非常令人兴奋， #less`'#Morawa贫困。 #shinsei，#survanity of humans，一个琐碎的拒绝，＃剥夺，基本的基本需求们们种种种种。 #contrary，#asshikai kai -kai，快速壮观的肉，nuakenhiro找找找找找找＃其他们kokai ryo，＃剪切，＃调味wako -puy -puy -like菜日本肉，#Sdatistic Food Market for Home -Bate -Bate -Bate -Bate -Bate -Bate -Bate Highths蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬蔬Shiroki #shinical Food炖天气"
42542,UgxnSslXZ6WF3j8IvRJ4AaABAg,0,you are so strong,你太坚强了
7076,Ugw7nb-Apvt5Z138T054AaABAg,0,you are very strong women. :),你是非常坚强的女人。 :)
