,cid,votes,time,含strong,含strong中文翻译
19394,Ugw83Rl_KWiSyc3L3Dt4AaABAg,0,3 years ago,"warning !
watching these videos can cause calmness, joyfulness, lower blood pressure and a strong urges to meditate. 
thank you .","警告 ！
观看这些视频会导致镇定，快乐，降低血压以及冥想的强烈冲动。 
谢谢"
33336,UgzyGYZ_J4uiU1zF2AF4AaABAg,0,3 years ago,"when you think you grew up in a healthy, much stronger, symbiosis with the natural habitat than other people... this is to good to be real?! just amazing",当您认为自己与自然栖息地更加健康，更强大，更强大，比其他人长大时……这是真的吗？太棒了
21080,UgxOVwyG337H9fKl0EV4AaABAg,0,3 years ago,strong woman,女强人
20935,Ugy4bQQd6lPNZ3L3DXV4AaABAg,0,3 years ago,"she is strong, natural, smart. a perfect woman.",她坚强，自然，聪明。一个完美的女人。
20916,Ugx-d7yF1ufKXDUu3mB4AaABAg,0,3 years ago,good women.. so strong,好女人..如此坚强
34969,UgzcjLovUs_jquyKftJ4AaABAg,0,3 years ago,she has become strong these days,这些天她已经变得坚强
32890,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC95Xg_UwuyeX,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
32458,Ugw92VRnnevre125HFl4AaABAg,0,3 years ago,you are such a simple woman) but strong))),你是一个简单的女人），但很强壮））））
28189,UgzZ495HFjnPv5_0CxV4AaABAg,0,3 years ago,very small body strong,身体很小
22213,UgyJ0WAIXrXQwTGnYmd4AaABAg.9-9z5z0dct39-DsMjYRLeE,0,3 years ago (edited),@spacebluemoth8320 there are men out there who would value and respect her properly and would love to have a talented partner like her to work through life with. i understand that most men aren't strong enough to be her partner. but some are.,@SpaceBluemoth8320有些人会适当地珍视和尊重她，并希望有一个有才华的伴侣像她这样的生活。我知道大多数男人不足以成为她的伴侣。但是有些是。
23907,Ugzn8Xnndfc3MXVzaPF4AaABAg,0,3 years ago,"it turns out that you are an actor, and there is a strong team support in the back!",原来你是演员，后面有支强大的队伍支持！
28244,Ugzpak2xq2lg9YykXTh4AaABAg,0,3 years ago (edited),we used get those bamboo roots with my aunt and cousins and we cook it pair it up with sardines. it's kinda hard getting those stuff cause we need to cross over the river wherein the current is really strong but it's fun though i really don't like the taste of it,我们用我的姑姑和堂兄弟拿着那些竹根，然后将其与沙丁鱼搭配。有点困难的东西，因为我们需要越过河流，那里的电流真的很强，但是很有趣，尽管我真的不喜欢它的味道
26548,Ugz5ZdZOtxvzX7uUwgp4AaABAg,0,3 years ago,strong,坚强
18881,UgwxVjudZKBWhgUtEmd4AaABAg.92F5sPhdykG92F6MugAx53,0,3 years ago,shoot bamboo in my languange is rebung. in semarang city there is a food filled with that called lumpia. it is very tasty but have a strong smell.,在我的语言中拍摄竹子是重新的。在Semarang City，有一种装满了lumpia的食物。它非常好吃，但闻起来很浓。
26287,UgxRjLs2LT5Zba0G0vl4AaABAg,0,3 years ago,she is one strong gal,她是一个强壮的女孩
26007,UgwBD7720-4WC8I14KB4AaABAg,0,3 years ago,"i am strong in sichuan, 大",壮哉我大四川，
25794,UgxQcqHfXvK3O3lV6VF4AaABAg,0,3 years ago,"i like it very much. you are a woman, both talented and strong, beautiful. i like it very well.",我非常喜欢它。你是一个才华横溢，坚强，美丽的女人。我非常喜欢它。
28339,Ugx11eBBi0ixwdlqwIh4AaABAg,0,3 years ago,many people cannot eat bamboo shoots because of the strong smell. always support her videos faster,许多人由于气味而无法吃竹芽。总是更快地支持她的视频
29361,UgzGGG5E0yeW3QndvNV4AaABAg,0,3 years ago,she is really strong.,她真的很坚强。
24689,UgxpRuQhT1Wdundsj-N4AaABAg,0,3 years ago,"you are so petit, yet so strong. i love all your videos.",你是如此的小巧，却如此坚强。我喜欢你所有的视频。
29443,UgxPJV5oD4VIaD37BXF4AaABAg,0,3 years ago,"i love to watch her as a strong, inspiring and intelligent woman and her village is very beautiful",我喜欢看着她是一个坚强，鼓舞人心和聪明的女人，她的村庄很漂亮
28108,UgxqinQbJb3DoWqVvux4AaABAg,0,3 years ago,"beautiful, smart, strong! god bless you, liziqi!",美丽，聪明，坚强！上帝保佑你，利兹基！
29535,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yeAcz862kq,0,3 years ago,"@user-ke5rz1cw5d if you're humiliated to be a race that you lineage was born into you might as well end your family's line at yours because you are not grateful at all for being brought into this world. first of all, god allowed you to be birthed into this world. second of all, do you blame your parents to be chinese? if you do you are pitiful. the chinese is a noble and strong race worthy of every envy that comes their way just like how you envy those americans and europeans you so greatly wish to be. but let me tell you this. if you look down on your own race and yourself and belittle your own race, you are not making yourself look better because in the end you are still a chinese and you can never change that even in death. you are trampling yourself and belittling yourself in the end and the others will merely laugh at you pitiable state. you are the type of person whom everyone looks down on even more than how the 'whites' look down on the asians.",@user-ke5rz1cw5d如果您羞辱自己是一场您的血统诞生的种族，那么您也可能会结束家人的界限，因为您根本不感激被带入这个世界。首先，上帝允许您生育这个世界。其次，您责怪父母是中国人吗？如果你这样做，你很可怜。中国人是一个值得每一个嫉妒的贵族种族，就像您羡慕那些非常希望成为的美国人和欧洲人一样。但是让我告诉你。如果您看不起自己的比赛和自己贬低自己的种族，那么您并不会使自己看起来更好，因为最终您仍然是中国人，即使在死亡中，您也永远无法改变这种情况。您正在践踏自己，最终轻视自己，其他人只会嘲笑您可怜的状态。您是每个人都看不见的人，而不是“白人”看着亚洲人的方式。
23382,UgzV-GNotIrfBoqDoVh4AaABAg,0,3 years ago,the fine tradition of chinese culture can only be deeply appreciated by the chinese people of the mainland. we must be more prosperous and strong.,中华文化的优良传统，只有大陆中国人民才可以深刻体会，加油中国人我们一定会更加繁荣富强。
29694,UgxhTPBJ4QklzhUqI7x4AaABAg,0,3 years ago,"this is actually the everyday life of people living in rural areas in asia. my grandparents who live in a rural town have rarely been to supermarket. they cultivate the land and grow their own food. they drink rain water. go to bed at 7 pm and wake up at 4 am everyday. no tv. no social media. they have been strong and rarely got sick. sometimes, i just can’t help thinking if that is what life supposed to be. you live close to nature and eats what mother earth feeds you.",这实际上是居住在亚洲农村地区的人们的日常生活。我住在乡村小镇的祖父母很少去超市。他们耕种土地并种植自己的食物。他们喝雨水。晚上7点上床睡觉，每天凌晨4点醒来。没有电视。没有社交媒体。他们很坚强，很少生病。有时，我只是不禁要思考这是否应该是生活。您生活在大自然附近，吃了大地母亲养活的东西。
23306,UgzociheclQX-aN1bXd4AaABAg,0,3 years ago,she is so beautiful and strong,她是如此美丽和坚强
30335,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw395XgMp1Pk-X,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
30485,UgySRYIiiaDMaWuwNSd4AaABAg.8yVeUtwvIO98yVyXHnvyAn,0,3 years ago,women are not strong enough for hard work.,女性对辛勤工作不够强大。
22534,UgzIo_ekc9SZiRWY-Fx4AaABAg,0,3 years ago,"thanks to girl li for their sharing, and the photographer's shooting technique. very comfortable film makes people look strong. great sharing! keep it up",感谢李姑娘的分享，还有摄影师的拍摄手法。非常舒服的影片让人看起来思乡味浓。好棒的分享！继续努力
31289,Ugx4kuAOHSM5iet1H2J4AaABAg,0,3 years ago,so strong,好强
22382,UgxUg55UWIxJM4m_Tad4AaABAg,0,3 years ago,she is so strong,她是如此坚强
18936,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92as3opUyrK,0,3 years ago,@cyan8406 is actually yes. everyone has children and needs strong economic strength,@cyan8406 其实是的，大家都是拥有孩子，需要有强大的经济实力
15936,Ugx0SgUwJuU0yn9ZAU94AaABAg,0,3 years ago,it's a beautiful woman ~ the life power is strong ~,这是一个美丽的女人〜生活力量很强〜
18678,Ugw4cmct7aTzZN-yW2p4AaABAg,0,3 years ago,this has a strong fake countryside vibe . . .,这具有强烈的假乡村氛围。 。 。
6838,UgwBk4KshD0lkMkd_p14AaABAg,0,2 years ago,"china to europe and the united states double clear taxpayment to the door, operate independently throughout the process, have strong customs clearance capabilities, and sign for the fastest 3-4 working days!
can be connected to the first and second -tier brands (shoe and clothing bags), epidemic prevention materials, food, cosmetics, masks, beverages, adult products, cat sand pots, bluetooth headsets, electric vehicles, bonded cars, bicycles, pure battery, wigs, mask machines, massage chairs, massage chairs, massage chairs, massage chairs, massage chairs , oversized and so on!

welcome to the contact number or wechat: 18926468965 qq: 409372643 jack","中国到欧洲、美国
可接一二线品牌（鞋衣包手表）、防疫物资、食品、化妆品、面膜、饮料、成人用品、猫砂盆、蓝牙耳机、电动车，平衡车、自行车、纯电池、假发、口罩机器、按摩椅、超大件等等！

欢迎联系电话或WeChat ：18926468965 QQ：409372643 Jack"
10831,Ugwfdubj8s1lOFWT5UJ4AaABAg,0,3 years ago,she’s the real strong women,她是真正的坚强女人
10636,Ugw9d8__C7aruIZGLGJ4AaABAg,0,3 years ago,"beautiful although i'd rather let that big bamboo grow up into ""good strong building materials"" - with which to build a very green and very ecologically conscientious - (3) story greenhouse/home.",尽管我宁愿让那大竹子成长为“良好的坚固建筑材料”，但它很漂亮，可以建立一个非常绿色且非常生态的认真认真的人 - （3）故事温室/家庭。
10592,UgxLte90zy-IGwbZn6Z4AaABAg,0,3 years ago,you are a very talented and strong woman. very proud of you to be able to live off the land that way. amazing!! thank you for sharing,你是一个很有才华和坚强的女人。为您能够以这种方式生活在土地上而感到自豪。惊人的！！感谢你的分享
10237,Ugwzfs9zEqVmmJ9rtLZ4AaABAg,0,3 years ago,"very strong and beautiful girl, her cooking is truly inviting and good. compliments",非常坚强和美丽的女孩，她的烹饪确实诱人而良好。赞美
10026,UgzQCOxW12N2-wNw9vF4AaABAg,0,3 years ago,"who think her face is like twice mina?. she is so pretty, soft but strong❤",谁认为她的脸就像是两次？她是如此漂亮，柔软但很强壮
9479,UgwCAo_fDe7hJpOaMZ54AaABAg,0,2 years ago,"obesity? dieting? what are they? in my opinion she is skinny. little more weight will be ok. even though she is very healthy and strong, i want her to put on like 4 or 5 pounds more. biiig fan",肥胖？节食？这些是什么？我认为她很瘦。重量更大的人还可以。即使她非常健康和坚强，我还是希望她再增加4或5磅。 Biiig粉丝
9401,Ugzv7liEOC3A3dVEpXV4AaABAg,0,2 years ago,"beautiful, strong, can you enlighten my humble channel",美丽，坚强，你能启发我谦虚的频道吗
9079,UgyJ5lC88j9SFAP2Llh4AaABAg,0,2 years ago,"how can it be a foreign language? watching the video, the strong woman who can work hard",怎么是外文，看视频，很能干活的女强人
8774,Ugy8L908wTm72iE9lJ54AaABAg,0,2 years ago,her grandmother is a little bit strong and young in this video unlike in her recent vids. grandma is aged so fast.๐”,她的祖母在这段视频中有点强壮，年轻，与她最近的视频不同。奶奶年龄如此之快。
8693,UgxbQNuvWk_2p96XOCF4AaABAg.9B1t7pcqM_W9B3-TJGzZCA,0,2 years ago,"yes, and the chinese economy is preparing to collapse for 30 years, the people at the bottom are miserable, and the power government ignore human rights. please do not believe that china is a big country, and the strongest country in asia is india.",是的，而且中国经济准备再崩溃三十年了，底层人民苦不堪言，强权政府罔顾人权，请不要相信中国是个大国，亚洲最强的国家是印度。
8634,UgxPkRag-KZ56hiipwh4AaABAg,0,2 years ago,strong independent woman,坚强的独立女人
7874,UgycSSOtoBzYXD5bnnZ4AaABAg,0,2 years ago,his hands are strong. what's the gx gate? got feathers in its stumps,他的手很强。什么是GX门？树桩上有羽毛
7192,UgwonvTt8lLwD4NubLd4AaABAg,0,2 years ago,"wow i like vidio u๐๐‘, strong woman",哇，我喜欢vidiou
6403,Ugx-nkXFA6HGyi2Adnx4AaABAg,0,2 years ago,"my channel, god willing, will reach the strongest challenge channel. the world needs a visionary or constructive criticism, but your vision is important to me. i can be one of the celebrities, and i will not be a follower.",我的频道，上帝愿意，将达到最强大的挑战渠道。世界需要有远见或建设性的批评，但您的愿景对我来说很重要。我可以成为名人之一，我不会成为追随者。
17928,UgxozlRxWi6uL5qVlLh4AaABAg,0,3 years ago,"this woman goes up the mountain to pick vegetables, grab snails, cook firewood and cook, and the movements are light and skilled. at first glance, they often do these living people, but she can't see any traces of labor on her. her temperament is quiet and gentle. , hands and feet are also white and tender like a rich lady. this has a strong sense of picture. i have to say that she and her team are really powerful. i think this is the appearance of the poet's life. the poem, from today, is a happy person, feeds the horse to split firewood, and travel around the world.",这个女人上山采菜，下河抓螺蛳，烧柴煮饭，动作轻盈又熟练，一看就是经常干这些活的人，但是在她身上却看不到任何劳动的痕迹，她的气质安静温婉，手脚也白白嫩嫩的像个富家小姐，这造就了很强的画面感，不得不说她和她的团队真的很厉害，我想这就是诗人笔下归隐田园的生活样貌，就像海子的那句诗，从今天起，做个幸福的人，喂马劈柴，环游世界。
6304,UgyFdhbWHCZe1PyLh2V4AaABAg.9Eu8AizLBF89Ewylel8wVK,0,2 years ago,i think we all hope that for her grandma <3 may she live to a strong and vigorous eleventy-one!,我认为我们都希望她的祖母<3愿她活着一个强大而有力的高度！
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
5937,Ugx6cHfWmVuqMOFlkX54AaABAg,0,2 years ago,beautiful and strong,美丽而坚强
5579,UgxbtZ8TLLYaOIou_2J4AaABAg,0,2 years ago,she's so strong๐’ช๐’ช๐’ช,她很坚强
4726,UgwjJMJF4X27Sartz-94AaABAg,0,2 years ago (edited),hey china~~ dont steal other countries’ culture... plz... korean soft power is much stronger than any other country in asia... and most western countries know that these days..,嘿，中国~~不要窃取其他国家的文化... plz ...韩国软实力比亚洲的任何其他国家都强得多……而且大多数西方国家都知道这几天。
4049,UgyzovVgbw7_Zuw9NTt4AaABAg,0,2 years ago,"she is phenomenal girl. nice, gentle , strong, industries. she can do everything!! i love her very much.",她是惊人的女孩。好，温柔，坚强，行业。她可以做一切！我非常爱她。
2919,UgxPvOvojwHVt-OJyaB4AaABAg,0,1 year ago,"ziyi, you are the favorite dish of chong min, taiwan pingtung chongmin, taiwan pingtung! ！! cute woman! qingmei bamboo horse inner heart! jun is strong! i am on this island in taiwan! waiting for you! wait for the rain! wait for a god -secret fairy to come to taiwan to pick up people!",子柒妳山上采竹笋子台湾屏东崇闵最喜欢的这道菜了！柒爱儿！可爱的女人！青梅竹马内心！骏强起来！我在台湾本岛！等妳！等雨停！等一个神密的仙女下凡来台湾接人！
2771,Ugy5bO-MD5EOp0PO9O94AaABAg,0,1 year ago,"hello.
my wife likes noodles with local specialties.
i hate the taste too strong
video is very interesting","你好。
我妻子喜欢有当地特产味道的面条。
我讨厌味道太浓
视频很有趣"
2197,UgxGMmszQ0lIYcGd7lh4AaABAg,0,1 year ago,this is a very strong witch! she fascinated me through a computer monitor! being a few thousand kilometers from me,这是一个非常强大的女巫！她通过计算机监视器着迷于我！离我几千公里
2035,UgwQ4JPjb-OrmbxTX6R4AaABAg,0,1 year ago,"snail powder, smell the smell, eat fragrance, strongly ask everyone to try it, it is endless",螺蛳粉，闻着臭，吃着香，强烈要求大家试一下，令人回味无穷
1821,Ugym8khijo6XfeVoR7B4AaABAg,0,1 year ago,"your hometown is so beautiful, wish you a strong joy in life",你的家乡是如此美丽，祝你生活充满乐趣
