,cid,votes,time,含sichuan,含sichuan中文翻译
20781,UgyKOZIN2ILVmhMJ1kJ4AaABAg.90YDgUocg_790gJUb3giMM,0,3 years ago,"the offices are from sichuan, and there are not many domestic millions of youtuber in china. sichuan accounts for three.",办公室野子和山药都是四川的，国内百万级youtuber都没多少，四川就占三个了
19878,UgyH2bILC0gfyCAXf4B4AaABAg.91HLaDvbrYn91NO4svgnvb,0,3 years ago,"mianyang, sichuan",四川绵阳
20173,Ugx61LzeeiD_-USeHBB4AaABAg.9192Zx9t7oo91CYB8WvAQX,0,3 years ago,feyza ozcan sichuan dialect,Feyza Ozcan 四川话
23225,UgwcCXj11gxDlTVcJmJ4AaABAg.8zoVIjdxlWQ8zoVVawqRhV,0,3 years ago (edited),sichuan province of china,中国四川省
23227,UgwcCXj11gxDlTVcJmJ4AaABAg.8zoVIjdxlWQ8zqbCTHviFn,0,3 years ago,home of panda----sichuan province,熊猫的家----四川省
19831,UgzZN09P57h-VkYs6pF4AaABAg,0,3 years ago,chuanmei is very capable [sichuan sisters are very capable],川妹儿都挺能干[Sichuan sisters are very capable]
20933,Ugxa6c1wBPSizd6BXiB4AaABAg.90Nc8xycO8y90QQxGORjaQ,0,3 years ago,she is from sichuan,她是四川人
21277,UgyECyfm8bE7WRxAuLJ4AaABAg,0,3 years ago,li ziyi sichuan native,李子柒 四川人
20553,UgwYD58Qteqsg9ElQC54AaABAg,0,3 years ago,"look at the local and ingredients, she should be from hunan or sichuan",看地方和食材她应该是湖南或四川人
21738,UgyVBlQM4sxsM7vPVJd4AaABAg.9-YdnRsVLp-9-Z2XCoDfHX,0,3 years ago,sichuan china,Sichuan China
21364,UgxqrG942_08QxyARhp4AaABAg.9-xcBfQI0jd9043acocw7z,0,3 years ago,"saw yeng chew is not. later i checked it, and i was the village with me, mianyang, sichuan","Saw Yeng Chew 不是,后来我查了,和我是老乡,四川绵阳的"
22198,UgxGS70tCnRyBYXt96x4AaABAg,0,3 years ago,"it turns out that there are so many procedures for snail powder, and you keep looking at it! ziyi is a sichuan girl? i heard my hometown very kind and proud!",原来螺蛳粉要这么多道工序，看的一直咽口水！子柒是四川姑娘吧？听到家乡话很亲切，而且很自豪！
22138,UgzY6KWahdHPjgIbq4l4AaABAg.9-C5DqLUm5G9-D1kJymJ61,0,3 years ago,"most of the dishes are sichuan cuisine，the noodle in this video is a guangxi cuisine，sichuan and guangxi are provinces located in the southwest of china, and near guangdong province (where cantonese live)",大多数菜肴都是四川美食，该视频中的面条是广西美食，四川和广西是中国西南部和广东省附近（Cantonese Live）的省份
22054,UgwgZQRxYYkF9EVxsyV4AaABAg,0,3 years ago,"the place where ziyi is located is her hometown. in sichuan, china, friends from all over the world are welcome to travel.",子柒所在的地方是她的家乡，在中国四川，欢迎世界各地的朋友来旅行。
20324,Ugycz7dyGKmMG9vfdHN4AaABAg.91-BpF25-7O916r7QvjPcE,0,3 years ago,sichuan,四川
20351,UgxYesoD3KIL41HGiNx4AaABAg.90y8SvWpCBU911cBKKUyk3,0,3 years ago,sichuan province,四川
22023,Ugy7o_6R0ulcCR5BUnN4AaABAg.9-I_8RLF9zl9-OYLhFMk7D,0,3 years ago,sichuan,四川
20567,Ugwal9h_MLX7miQnIKV4AaABAg,0,3 years ago,"it's so beautiful to shoot sichuan, the locals haven’t found it so beautiful, it's great",把四川拍的真美啊，本地人都没发现这么好看，太棒啦
21854,UgyoLq_sYvpK9f9C0Sl4AaABAg.9-TRlDSn1kx9-ZrtuabGK5,0,3 years ago,china sichuan,China 四川
21456,UgxMMCYGvciG3ARh0YV4AaABAg.9-qawvKRKJq9-u3DJfBWaS,0,3 years ago,"sichuan ... that place is full of rainwater, heavy moisture, and purple land, rich in products",四川吧…那地方雨水足，湿气重，又是紫土地，物产丰富
21501,UgwMU3G_2sIB7BeSlrx4AaABAg.9-nXKgpW0_R9-ov-QBf5NA,0,3 years ago,"mianyang, sichuan; mianyang city, sichuan province","四川绵阳; Mianyang City, Sichuan Province"
21522,UgxfAWAWL3aX_7uDWjB4AaABAg,0,3 years ago,authentic sichuan cuisine,地道的川菜
20502,Ugy2PqrpDjfPGF4ClPB4AaABAg,0,3 years ago,sichuan is really a good place,四川真是个好地方
27036,Ugws5iW_j11A3eDKGjh4AaABAg,0,3 years ago,"li ziyi, from sichuan, douyin understands.",李子柒，四川人，抖音了解下。
23696,Ugyu1I04YlEXvK8iB8B4AaABAg.8zdtQE5Trmq8zeYYRWsQ2K,0,3 years ago,china，sichuan province,中国，四川省
30616,UgwlVof6cf2M_uk3-_14AaABAg,0,3 years ago,"i want to say that you are awesome, the tone of listening to you should be sichuan or yunnan, i watched your video this day.",我想说你好棒、听你说话的语气你应该是四川人或者云南人哦、我今天一天都在看你的视频。
27988,UgyqnUN-lwwP43wyEMV4AaABAg,0,3 years ago,"ziqi’s hometown is in sichuan （szechwan), china, which is also the habitat of pandas, that’s why there are so many bamboos.",Ziqi的家乡位于中国的四川（Szechwan），这也是熊猫的栖息地，这就是为什么有这么多竹子的原因。
28067,UgyweJFk6MW20Jk-2F54AaABAg,0,3 years ago,"mazhu grows in south asia, and the great wall of sichuan also grows.","麻竹生长在南亚地区,四川省长城也生长着。"
28075,Ugygri8VBmNbOQfKrkh4AaABAg,0,3 years ago,"loan beans are the characteristics of sichuan. when i was young, my mother's taste",泡豇豆是四川的特色，小时候妈妈的味道
28436,UgyQLjGbIGASdSfmPRZ4AaABAg.8yYULkbmkuP8yYYdyX9gyx,0,3 years ago,"@gla41904 yes! interestingly, giant pandas only understand sichuan accent rather than mandarin chinese",@gla41904是的！有趣的是，巨型熊猫只能理解四川口音，而不是普通话中文
29533,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ydFqh398t_,0,3 years ago,"@shiminli3966 is she from sichuan? many of her foods i eat at home too, and my family is from sichuan as well, but i cant tell if the similarly in dishes is because theyre sichuanese or if they're just common dishes in china.",@shiminli3966她来自四川吗？我在家里也吃过的许多食物，我的家人也来自四川，但我不能说同样的菜是因为他们有四川人，还是他们只是在中国的普通菜肴。
29534,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ydK435ei4e,0,3 years ago,"@shiminli3966 liziqi is from pingwu, sichuan, which is pretty far away from nepal....2000 km",@Shiminli3966 Liziqi来自Sichuan的Pingwu，距离尼泊尔很远。...2000 km
29937,UgxIAZUxhM0QZ6l8VV54AaABAg,0,3 years ago,"both the bean bean vines and purslane are our sichuan -chongqing specialty dishes, so i want to go back to eat",泡豇豆 藤藤菜和马齿苋都是我们川渝特色小菜 好想回去吃啊
30064,UgzkWjFKEzhvJhGj4Bp4AaABAg.8yVnzvNCVJh8yZDWErpJsv,0,3 years ago,@nenk8750 hahaha if you go to sichuan in future，i can help you and become your direction. so，come on,@nenk8750哈哈哈，如果您将来去四川，我可以帮助您并成为您的方向。所以，来吧
30070,UgylRiFzwPFV2BUEC2t4AaABAg,0,3 years ago,"two women, grandmother and grand daughter are bringing traditional sichuan life to the entire world. i hope the chinese people are aware and recognise the great contribution women and girls have made for their families and their nation throughout their history, because there has been appalling disrespect for girls during the one child policy. this is why 30 million men cannot find a wife, due to the widespread selective abortion of infant girls. can the chinese people now see the value of women?",两个女人，祖母和大女儿正在为整个世界带来传统的四川生活。我希望中国人民意识到并认识到妇女和女孩在整个历史上为自己的家人和国家做出的巨大贡献，因为在一个儿童政策中，人们一直对女孩感到不尊重。这就是为什么3000万男人由于堕胎的婴儿堕胎而找不到妻子的原因。中国人现在可以看到女性的价值吗？
30461,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Tkv0Sxf7L-,0,1 year ago,@eyetoobur4387 unless your sichuan hakka like myself and then you get cantonese mixed in with mandarin.,@eyetoobur4387，除非您的四川哈卡（Hakka）像我一样，然后将广东话与普通话混合在一​​起。
30634,UgysVzdxl9emHs_mwl94AaABAg,0,3 years ago,the snail powder you made is not right! guangxi liuzhou snail pink is the most positive. what snail powder will sichuan people do.,你做的螺蛳粉不正！广西柳州螺蛳粉才是最正的。四川人会做啥螺蛳粉哦。
27809,UgxDFk-A99zrW8NpR2J4AaABAg,0,3 years ago (edited),"long beans (豇豆稀饭）porridge and spicy salard with long beans is very porpular in the sichuan province ,every family in the countryside of sichuan province like cooking at the summer day. wtach ziqis film, mmmm,let me recall those good memory of childhood time .",长豆（（（（port）和长豆的辣味和辛辣的沙拉酱在四川省，四川省的每个家庭都像夏日一样做饭。WtachZiqis电影，mmmm，让我回想起那些良好的童年记忆时间 。
30636,UgwlVof6cf2M_uk3-_14AaABAg.8yVZXS9r0eB8yVvakK5JMY,0,3 years ago,"mianyang, sichuan",四川绵阳
30691,UgzCEVJVVjRoujHL4GZ4AaABAg.8yVWltiKMj48yVhZH1rLMK,0,3 years ago,sichuan province,四川
30838,Ugxrli_GqS-riTjg1Zp4AaABAg,0,3 years ago,"this scenery in sichuan is too beautiful, isn't there a lot of poisonous snakes and animals in the mountains?",四川这风景太美了，很好奇山里不是有很多毒蛇一些动物嘛不害怕吗
30983,UgwGX1sHl7MMpdVWlXx4AaABAg.8yVP9dkn4lF8yVX3XdFFes,0,3 years ago,her sichuan mianyang,她四川绵阳的
31584,UgxlILdmzbxiV5ym-wd4AaABAg.8yVB5d4VVTF8yVr3U3ZypM,0,3 years ago,"sichuan dialect, ""it's a bit spicy, you can't eat it""",四川话，“有点辣，你吃不得”
32063,Ugz0CxDZDQSwjR3y8j94AaABAg.8yV05YDvGFb8yVMerCgC71,0,3 years ago,"eclecticlove 

she is in a village in sichuan province. her city name “mian yang”, which is 20 minutes away from my own hometown.","折衷的

她在四川省的一个村庄。她的城市名称“ Mian Yang”，距离我自己的家乡20分钟路程。"
32678,UgwKwmSZ90oC2YNT0l94AaABAg,0,3 years ago,then he listened to you and thought of my ex -girlfriend and sichuan native. she also likes to eat snail powder.,然后听你说话又想起我前女友，也是四川人，她也爱吃螺蛳粉。
33436,UgwfNOgnwwNEwA1xMPJ4AaABAg,0,3 years ago,this is our sister in sichuan 川love you,这是我们四川的妹子
33500,UgzWYHwMn3CdOUtxHHl4AaABAg,0,3 years ago (edited),"sichuan bamboo shoots are very different from zhejiang. sichuan is bitter and zhejiang bamboo shoots are sweet. sichuan and guizhou, yunnan, the same kind of bamboo. zhejiang bamboo is from bamboo whip. sichuan bamboo is the root, clusters of clusters. i have seen tropical areas such as indonesia bamboo, which is similar to sichuan, but cannot be eaten.",四川的竹笋和浙江的差很大，四川是苦的，浙江笋是甜的。四川和云南贵州同一种竹子，浙江竹子是竹鞭来的，四川竹子是根生，一簇一簇，人为不干预会太密。我看过热带地区如印尼竹子，也是类似四川，但不能食用。
33540,UgyL5kpb4OEEgO2FgzR4AaABAg.8yUaO7ii_UU8yUjY8UlYHa,0,3 years ago,"she is okay. after all, she is mainly familiar with sichuan cuisine and sichuan cuisine.
another one who cooks yunnan cuisine is strange and strange","她的还好。毕竟她主要是做川菜而且川菜全中国都挺熟悉的。
另一个做云南菜的才是千奇百怪"
27821,Ugxuzo_Y3KJ9CL5yynd4AaABAg,0,3 years ago (edited),"li ziqi lives with her grandmother in the countryside of mianyang in southwest china’s sichuan province.she was orphaned at a very young age. as a young adult she lived in the city, but when her grandfather passed away, she moved back to take care of her grandmother. respect her a lot from pakistan",李齐（Li Ziqi）与她的祖母住在中国西南四川省的米扬阳（Mianyang）乡村。她年轻的成年人住在这座城市，但是当祖父去世时，她搬回去照顾祖母。从巴基斯坦尊重她
27731,Ugw-L63J_o6FbA4lILJ4AaABAg.8yc0dkPxEcm8ygmLMnpomN,0,3 years ago,"the young man's mainland, if sichuan! it's a pity that i didn't see ziyi",小伙子大陆的，曾经如果四川！可惜没见到子柒
23762,Ugyy7SBVSyKMz-FHxbV4AaABAg.8zc8wTrJ44_8zfsWpIwnpF,0,3 years ago,"mianyang, sichuan",四川绵阳
26105,UgzpEjf1gt58Qur0YGN4AaABAg,0,3 years ago,"i ca n’t see it, i want to return to my hometown in sichuan immediately at a glance",简直不能看，一看就想马上回四川老家
24220,UgxZ09qJc7Su-VPSRB14AaABAg.8zQhBQZ18Ry8zXcSA98ZJo,0,3 years ago,"she in mianyang, sichuan",她在四川绵阳
24405,UgwqzQ_HhQzs3W6k1vp4AaABAg.8zM0-uTVfvy8zNBHMl3eP1,0,3 years ago,"mianyang, sichuan",四川绵阳
24798,UgwXD7c_9eiiyIdLwIx4AaABAg.8zD__u4sgTv8zOTPmTn_pt,0,3 years ago,gerd meier yeah. it does look spicy but that’s also what sichuan is famous for.,Gerd Meier是的。它看起来确实很辣，但这也是四川著名的。
24986,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zHxVbVQZB0,0,3 years ago,"@user-pk2uv1nz4c, you can pull it! i am wondering. if you think you can see the truth when you are sitting next to the computer, the truth will not have the meaning of existence. go and see! go to the mountainous area of ​​sichuan to see and travel. you are almost dying, and you can understand the world by watching videos. if you have n’t experienced it, do n’t say it yourself. people who have never planted the land told people how to plant land? you are so bullish!",​ @user-pk2uv1nz4c 你快拉到吧！我很纳闷，如果你认为自己坐在电脑旁就能看倒真相的话，那真相就没有存在的意义了。去看下喽！去四川山区看看、旅旅游。你都快宅死了，通过看视频来了解世界这本身就很有问题。如果没去切身体验过，没有亲自见证过就别说的那么肯定。连地都没种过的人告诉种地的人怎么种地？你真扯蛋！
24987,UgykG-Yypb4EG6iBiI54AaABAg.8zA389pIhAV8zNtKToqWEi,0,3 years ago,"chinese zai, you can pull down, i am from sichuan",中华仔 你快拉倒吧，我就是四川的
25002,UgyuIFF8Jo3mgHY3Mb14AaABAg,0,3 years ago,sichuan people?,四川人？
25016,UgxlOCFBpElb4EV22Ax4AaABAg,0,3 years ago,sichuan girl,四川妹子
25571,UgwwSSXzpmaDu9wR1wd4AaABAg.8z0Trh8_JHd8z0UuWbvUQc,0,3 years ago,china. sichuan.,China. Sichuan.
25957,Ugx7BjELb6yzbdL0f0t4AaABAg,0,3 years ago,"as a sichuan native, seeing sichuan people cooking is simply! the saliva flows out! i haven't eaten cowpea porridge for several years!",作为一个在外的四川人，看到四川人做饭，简直莫摆了！口水流出来了！好几年没吃到豇豆稀饭了！
26007,UgwBD7720-4WC8I14KB4AaABAg,0,3 years ago,"i am strong in sichuan, 大",壮哉我大四川，
26123,Ugw5eBM4j_zuzSEflhx4AaABAg,0,3 years ago,"listening to the news reports of the earth and stone flow in wenchuan county, sichuan, it seems to be your neighboring county. i hope everyone is good.","听新闻报导四川汶川县土石流,好像是妳们邻县,希望大家一切安好。"
27600,UgynqNWO7BojQw7rABZ4AaABAg.8ydVuxpZy-Z8yj3OA55x6m,0,3 years ago,"@hqb4344 sichuan province, china",@HQB4344中国四川省
26340,UgzwMxVRgDVz6jfntfZ4AaABAg,0,3 years ago,"sichuan, go to play if you have a chance",四川，有机会的话就去玩一下
26499,UgyIABV1wCLJOkH337p4AaABAg,0,3 years ago,sichuan,四川人
26597,UgwhL01VaDscIlXiNY14AaABAg,0,3 years ago,i am very impressed with the girls in sichuan.,对四川女孩儿印象特别好，勤快，持家，能干。
26952,Ugz07hHJyylRjhYP3YV4AaABAg.8yjmJcAgveW8yk3_MLdxHK,0,3 years ago,you don't seem like sichuan people,你似不似四川人噻
19566,Ugz7Q1JeCfwvuS81r3x4AaABAg.91oPIV4VkT791pJ9yRr5X1,0,3 years ago,"this is the home of grandpa li ziyi ---- mianyang county, sichuan province",这是李子柒爷爷奶奶的家----四川省绵阳县
27079,UgyGLcuwDlKvaC7pqcZ4AaABAg,0,3 years ago,"i married a sichuan daughter -in -law happily, and i felt so happy when i heard you say sichuan dialect",我幸福的娶了一个四川媳妇，听你们说四川话时候我感觉好幸福
27221,UgzyK0rw1VxjXSpxtz94AaABAg.8yh63alQtD48ymHdo_f8DD,0,3 years ago,"djt leitho maybe there is wild panda in that mountain,because the hometown of panda is sichuan ,the same as liziqi",DJT Leitho也许在那座山上有野生熊猫，因为熊猫的家乡是四川，与liziqi一样
27254,Ugx559REYrsuK76HWnR4AaABAg,0,3 years ago,"it deserves the name of the kingdom of tianfu, sichuan is really a good place (li ziyi is really a good girl)",真不愧天府之国的名号，四川真是个好地方（李子柒真是个好姑娘）
27537,UgymPE4cLg0Zr97-O6Z4AaABAg.8ydvp7rrS9r8yhee2lrSlr,0,3 years ago,china sichuan province,中国四川省
27546,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqT7jHNOGw,0,3 years ago,"@melissabrownapt215 sorry,my english is poor.but welcome to china,to see truth china.out of west media.i am from sichuan,liziqi's province,chengdu.panda's home of world.welcom to china.contact me ,i will show you real panda photo",@melissabrownapt215对不起，我的英语很差。但欢迎来到中国，看到真相中国。真正的熊猫照片
19576,Ugx3D5e8e7fpKPsrHQt4AaABAg,0,3 years ago,"li ziyi is great, is this sichuan?",李子柒好棒，这是四川吗？
443,UgzzMr-nvDWRbE9NQwN4AaABAg.9kLoZv_h5iG9l6iYwfZ9aP,0,4 months ago,"li ziyi is a sichuan native in central china, but snail powder is bordering guangxi and vietnam in guangxi products",李子柒是四川人 在中国中部地区但螺蛳粉是广西产品 广西和越南接壤
19471,UgzDajUibPSACplbIX54AaABAg,0,3 years ago,are you from sichuan? how can i speak sichuan dialect?,你是四川人？怎么会说四川话？
11366,UgydXzHpuwcMdO3JSnl4AaABAg,0,3 years ago,sichuan people?,四川人？
9547,UgyJbdjjnq4etTE_50h4AaABAg.99wRLyOTzUJ99wTKPSYrZc,0,3 years ago (edited),"you can go to the li ziyi channel on the bilibili website. the screen will be out of the sichuan dialect in the screen over there, and there are more videos than yt. https://www.bilibili.com/video/bv1st411k7tf",您可以到bilibili网站的李子柒频道看，那边屏幕会将里面的四川方言即时po出，而且影片比yt多。 https://www.bilibili.com/video/BV1St411K7TF
9631,Ugw87WF7dIUWk66L5L14AaABAg.99nMipTlaSv99s1a1_aXoz,0,3 years ago,sichuan province in china,中国四川省
9636,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69ANOHR63slo,0,2 years ago,"@titavaughns7698 not exactly, there are countless homonyms in chinese but not this one. ๅคฉๅบtianfu (means heaven in english) is just another way we call ๅๅทsichuan (a province in china), because people tend to live their lives with ease since ancient time.",@titavaughns7698并非完全，中文有无数的谐调。 tianfu（英语中的天堂）只是我们称之为四川（中国省的一个省）的另一种方式，因为人们自从远古时代以来倾向于轻松生活。
9640,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69AiU_bPwzr0,0,2 years ago,sichuan is a basin so its full of life and abundat in nature's produce. ๐,四川是一个盆地，因此在大自然的农产品中充满了生命和丰富的生命。
9642,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69BK2clffgfs,0,2 years ago,but the dish is not sichuanese. it's from liuzhou in guangxi.,但是这道菜不是四川。它来自广西的Liuzhou。
9643,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69BZHVjRVlCH,0,2 years ago,"yes, sichuan (ๅๅท๏ผhas the nickname of heaven, and its literal meaning is four rivers because si(ๅ๏ผis four and chuan(ๅท๏ผis river. liziqi and i share the same hometown, which is mianyang (็ปต้ณ๏ผand it means south of milan mountain because yang is south and yin is north.",是的，四川（（四川）有天堂的昵称，其字面意义是四河，因为Si（（四）是四河，而Chuan（川）是河流。Liziqi和我共享同一家乡意味着米兰山以南，因为杨在南方，Yin向北。
9644,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69BazZAvTLxR,0,2 years ago,@blizzardahm9745 liziqi lives in sichuan too? wow. so that is why there are varieties of vegetables and fruits she can gather. ๐,@Blizzardahm9745 Liziqi也住在四川吗？哇。因此，这就是为什么她可以收集的各种蔬菜和水果的原因。
9645,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69Bb-q623nKa,0,2 years ago,"no acc yes, sichuan was called heaven because of its fertile land.",不，是的，四川因其肥沃的土地而被称为天堂。
9803,UgwTfSlA9ubKjnxGcCV4AaABAg,0,3 years ago,lovely sichuan dialect! i like sichuan dialect the most,Lovely Sichuan dialect！最喜欢四川方言啦
10170,UgxqoU23ghoQnybcep94AaABAg.99-EiSUpbwX9AWvbE5OL_i,0,2 years ago,"of course, sichuan people can't understand!",不是四川人当然听不懂啦！
10414,Ugye-7GToib6H0L5sHh4AaABAg,0,3 years ago,nostalgia in northwest sichuan,川西北的浓浓乡愁
11373,Ugwt7aTLE9sd0bA9ejd4AaABAg.97bgUoLndTh97dDILB1oqd,0,3 years ago,dreaming is domineering that the rural girls in sichuan in the countryside are not good.,梦霸道 他就是农村的 四川的农村姑娘也好看不行啊
9244,Ugw75Fn_eFnOMZGkqhB4AaABAg,0,2 years ago,"after marathoning all her videos,
me on google: how to go to sichuan","在马拉松比赛之后，她的所有视频，
我在Google上：如何去四川"
12107,UgzwsxkMOASf-eFPe5t4AaABAg,0,3 years ago,"when i was a kid, the appearance of sichuan hometown.",小时候四川老家的模样。
12397,UgxXNqJJuTZdvRb4Vk94AaABAg,0,3 years ago,"ziyi, my grandfather is that sichuan people saw that your marinated pickled jar specially evoked the memories of his childhood. my mother always told me that the grandfather's sauce can no longer be copied. i wonder if there is a chance to understand the way your pickles are?","子柒 我的外公是四川人 看到你腌酱菜的坛子特别勾起了小时候的回忆,妈妈总跟我说外公的酱菜已经无法复制了,我一直想着如何可以让妈妈与外婆回味外公的味道,不知道有没有机会可以了解你腌菜的坛子跟方式呢?"
12417,UgxXNqJJuTZdvRb4Vk94AaABAg.96fV77e-JUU96gw7DuzfN7,0,3 years ago,"there will be bias in the taste of lu george sichuan province. you can learn from the grandfather's birthplace, so that the taste may be authentic. welcome to the mainland",吕乔治 四川省内口味都会有偏差的，你可以到外公出生地去学习，这样味道也许会正宗很多。欢迎来大陆
12418,UgwGsUGLDOxHW25a63p4AaABAg.96f8MJhv4rq97ZrEvRvooq,0,3 years ago,li xin sichuan mianyang,Li Xin 四川绵阳
12613,UgywKMtGbrCxa1SPZNV4AaABAg.96W5n0dK65Q96_nuUB0yBs,0,3 years ago,sichuan in china,四川在中国
12762,UgyvTvGGPXqB9hKc76F4AaABAg,0,3 years ago,"our sister in mianyang, sichuan, china",我们中国四川绵阳的妹子哈
12892,UgwBavBgIWu4qQVCazd4AaABAg.96BYyTnvjAO96J0TwPbi4L,0,3 years ago,sichuan,四川的
13201,UgwyIZJTQfi-eoyeS354AaABAg.95vZ2LeJpAP96aQapoH0bI,0,3 years ago,@user-pj3ld8fh7l sichuan sichuan sichuan,@user-pj3ld8fh7l 四川 sichuan
13260,UgyjYdWgG0mDCHg4M3t4AaABAg,0,3 years ago,"li ziyi and i count half a fellow, both from sichuan. watching her video is particularly comfortable ah haha",李子柒和我算半个老乡吧，都是四川人。看她的视频特别舒服啊哈哈
13344,UgyYfrTTpKvXtUWD_Yl4AaABAg,0,3 years ago,sichuan people must not have pepper 能️,四川人不能没有辣椒
13383,UgzPwWBOamIkAIJaPDV4AaABAg.95dHgvWtRTZ95h-svxaOTk,0,3 years ago,china sichuan,China SiChuan
9523,Ugya2UviT7fIgUH5OiZ4AaABAg.99zN6hPu5Oi9Bc4AeJejvx,0,2 years ago,sichuan? i always thought that little 7 was from hunan,四川？我一直以为小7是湖南的
8943,UgyjEVvF_ixuUasVhvh4AaABAg,0,2 years ago,"li ziyi is indeed a native of sichuan, and can make the snail lion powder so delicious and delicious",李子柒不愧是我们四川人，能把螺狮粉做成如此鲜香美味
19201,UgzJSaGs55yqMqe3ACZ4AaABAg.921-MV-x5Yh926DkQy22sT,0,3 years ago,"i like to eat, sichuan people said that it is very good for my stomach",我喜欢吃，四川人表示很合我胃口
3926,UgzL8KrmMeCjSXHsCs54AaABAg.9LicT_rORKf9LpqhDH_Zpg,0,2 years ago,@jhhhkjhbkhjh3563 this is the life brother dei. how do i speak sichuan dialect in traditional chinese characters?,@jhhhkjhbkhjh3563 这就是生活兄dei，怎么用繁体字说四川话？
708,Ugx7UGXbJcHKYeeWPzF4AaABAg,0,9 months ago,"this is one of the cultural essences of my greater china. essence essence hahaha, our sichuan sister is good.",这就是我大中华的文化精髓之一。。。哈哈哈，我们四川妹儿就是好。
863,UgzArB3jNvffl2YKLk94AaABAg,0,11 months ago,give us sichuan sister long face,给我们四川妹儿长脸了
1070,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9qImXaMCokq,0,2 weeks ago,"@sais55 this is hard to say, because we are not clear about income distribution. however, ziyi once said on weibo that the account of all social platforms was owned by guizi.

in fact, the biggest reason for ziyi to sue the original company was that the original company secretly registered the trademark of ""li ziyi"", which means that if zi yi sat and ignored, the ownership of the ""li ziyi"" related trademarks will not be owned by her, so back to the company, how do you do this? li ziyi, this ip was before the cooperation with ""weisun"", and the behavior of ""micro -minded"" was too moral.

and the most profitable is the peripheral foods launched by the ""li ziyi"" trademark, such as ""snail powder"" and ""moon cakes"". ""the cooperation model is"" ziyi is responsible for video content creation, and the promotion of social media is subtle "", that is, so many years of ziyi only have only rely on the works taken by himself to obtain the income, but wei nian really relies on the signboard of"" li ziyi "" when the most beautiful scenery, a snail powder can sell for more than 2 billion years. ziyi can't get money, and even the three words ""li ziyi"" will be taken away. in the event that the brand ip of ""li ziyi"" is messed up, the most affected is ziyi himself. because the capital can be found to find other people. but such a good image ip cannot fall into the hands of ""capital"".

fortunately, ziyi regained all the relevant trademark ownership of ""li ziyi"", and the ratio of ziyi in the ""sichuan ziyi cultural company"" also had the previous 49 %, which became 99 %. basically, zi zi has been fighting the ownership of his ""name"" in the past two years.

it turns out that capital can really be so terrible. utilizing people √ business does not understand the law, it can be ""legal"" to swallow her ""intellectual property rights"" in disguise.","@SAiS55 这个不好说，因为收入分配的问题我们也不清楚。但是子柒曾在微博上说过，所有社交平台的账号都是归子柒所有。

其实，子柒告原公司最大的原因就是，原公司偷偷把“李子柒”注册商标，也就是说如果子柒坐而不管，以后“李子柒”相关的商标所有权就不归她所拥有，是归公司的，这怎么行呢？李子柒这个ip是子柒在和“微念”合作之前就有的，“微念”的行为太不道德了。

并且最赚钱的是“微念”利用“李子柒”商标推出的周边食品，像“螺蛳粉”“月饼”等等，“子柒”几乎分不到什么钱，“子柒”和“微念”的合作模式是“子柒负责视频内容创作，微妙负责社交媒体的推广”，也就是说这么多年子柒只有靠自己拍摄的作品来获取收益，然而微念确靠着“李子柒”这个招牌，最风光的时候单单一个螺蛳粉就能卖出20多亿一年的销售额。子柒分不到钱也就罢了，连“李子柒”这三个字也要被夺走，万一以后微念搞砸了“李子柒”这个品牌ip，最受影响的是子柒本人，因为资本吸完血可以找其他人。但是“李子柒”这么好的形象ip是不能落入“资本”的手里。

很庆幸，子柒夺回了“李子柒”所有相关的商标所有权，并且子柒在“四川子柒文化公司”中的股权比例也有之前的49％，变为99％，微念只持有1％，基本上子柒过去2年都是在争夺自己“名字”的所有权。

原来资本真的可以这么可怕，利用人们√商业对法律的不了解，可以“合法”的变相侵吞她人的“知识产权”简直是让人后备发凉"
1221,UgzeA9cQsHQKzFYYbsN4AaABAg,0,1 year ago,share new ways of gourmet food in sichuan taoist township! a moment!,家乡四川道地美食新做法分享！一下贝！
1423,Ugx3RcoYKvbos5nlWSd4AaABAg.9_Rdms532j-9_Vfi2DuBkB,0,1 year ago,sichuan china,sichuan China
1444,UgxfJ4coUz1zI-UC2SN4AaABAg.9_OaZ4dG4Xr9_Vg7Dqm0Bx,0,1 year ago,sichuan,四川
1446,UgxfJ4coUz1zI-UC2SN4AaABAg.9_OaZ4dG4Xr9_Wh5UCE2f1,0,1 year ago,@ supryaraajput8178 china sichuan,@ supryaraajput8178中国四川
