,cid,votes,time,含sichuan,含sichuan中文翻译
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
21044,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO97UzcMjUp1u,4,3 years ago,nolan beatrolyn she is chinese in sichuan provinceโ€ฆโ€ฆ,Nolan Beatrolyn她是四川省的中国人……
25658,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-aIt34Xrll,4,3 years ago,lol welcome to sichuan province of china. sheโ€s here.btw pandas here too!!,大声笑欢迎来到中国四川省。她在这里。
25022,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890_Ta8I0qfm,4,3 years ago,"welcome sichuan, china. also welcome to my hometown ningxia yinchuan.",欢迎中国四川。也欢迎来到我的家乡宁族。
50596,Ugz2oafS-6575cQ2VyN4AaABAg,4,4 years ago,"i am in deyang, sichuan, so hahaha",我是四川德阳的好近啊哈哈哈
25657,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-a0osbUyim,4,3 years ago,"welcome to china, her parents are in sichuan countryside, at present, china widespread urbanization, this natural landscape is actually rare.",欢迎来到中国，她的父母在四川乡村，目前，中国广泛的城市化，这种自然景观实际上很少见。
25025,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v891HoV30nl1T,4,3 years ago,"i love how beautiful this place is, but it makes me sad at the same time. china built so many factories around the east coast, severely affecting air quality of neighborhood asian countries. as a person living in one of these countries, i can hardly see a clear air in my town. it is very sad. if you really value the nature, i hope you all would think about the world rather than promoting sichuan.",我喜欢这个地方有多美丽，但这让我同时难过。中国在东海岸周围建立了许多工厂，严重影响了亚洲国家的空气质量。作为一个居住在这些国家之一的人，我几乎看不到我镇上的空气。这是非常可悲的。如果您真的重视自然，我希望大家都会考虑世界而不是促进四川。
33591,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-ALZGVL7np,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
29237,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yjb-PMBNzH,3,3 years ago,"@echocui3177 that comment above by yakouta hayder, left me scratching my head. wikipedia says she's chinese and she uses chinese traditional methods - ""li ziqi is a chinese food blogger and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques."" - her caption even says chinese festival too. ๐คท๐ฝโ€โ€๏ธ๐คฆ๐ฝโ€โ€๏ธ",@echocui3177上面的评论Yakouta Hayder，让我挠头。 Wikipedia说她是中国人，她使用了中国传统方法 - “李齐（Li Ziqi中国技术。” - 她的标题甚至也说中国节。
3628,UgxBAWnduyrKBfNPB0t4AaABAg.9TZB63cH9z69aHvJI78n2l,3,1 year ago,"sichuan is noted as the ""land of abundance"".",四川被认为是“丰富的土地”。
51731,UgypjSg4Q8BQXR-thnN4AaABAg.8qlSti3S7YL8qldwkIHa4b,3,4 years ago,china. the province of sichuan,中国。四川省
23033,UgxrfKUw4S1nzLc9Gvt4AaABAg,3,3 years ago,"when i was young, my mother (sichuan) also started preparing dry goods in the new year for a long time, but now i bought it in the supermarket.",小的时候我妈妈在家（四川）也是过年提前好久就开始准备干货，不过现在都在超市买的
29236,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yjXRR3vJtN,3,3 years ago,"yakouta hayder she lives in sichuan. she is from sichuan, china. please don't mislead others.",雅库塔·海德（Yakouta Hayder）她住在四川。她来自中国四川。请不要误导别人。
27247,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-ALeRnaC-V,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
42638,Ugy_ezpwtY6MPw42vD54AaABAg.8r_bBUsXssH8rgskLRwJ8W,3,4 years ago,this is sichuan province，china,这是四川省，中国
25655,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-REKc89fxK,3,3 years ago,"she is in sichuan,",她在四川，
27264,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92BCc_HhQxc,2,3 years ago,i believe her story...she may have a pro team now but girls grew up in city (like me..) can hardly do or even learn to do what sheโ€s done in these videos. my mom is from sichuan rural areas as well...watching ziqiโ€s videos always reminds me of my mom <3,我相信她的故事...她现在可能有一个职业团队，但女孩在城市长大（像我一样）几乎无法做到甚至学会做她在这些视频中所做的事情。我妈妈也来自四川农村地区...观看Ziqi的视频总是让我想起妈妈<3
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
25696,Ugy6RKxBfIBxOuWcg9B4AaABAg.9-5cTrMPiM29-ALhslcmCV,2,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
22941,UgxWaarE7EG5ScLjCPJ4AaABAg,2,3 years ago,there are chestnuts in sichuan!,四川有栗子呀！
23792,Ugy6hqymeIahZWdoeUl4AaABAg.928SiA88y6b92C5NKcv0tt,2,3 years ago,"diana felix in sichuan province, there are a city called panzhihua, where products very delicious mango",戴安娜·费利克斯（Diana Felix
35625,Ugxq5AogYh16tQtSC-x4AaABAg.8ubk02XO75B8uqNXwFoJpI,2,4 years ago,"@fenghongkai, sichuan,",@fenghongkai 四川的吧
31208,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8x2hm01BPWt,2,3 years ago,@dhanyaroy9086 sichuan province,@dhanyaroy9086四川省
25362,UgwRz6BM4pGy6fstYnV4AaABAg.9-Qvi_qVYSB9-x1W7355vW,2,3 years ago,fly to china pingwu county mianyang city sichuan province china ใ€chengdu land inใ€ใ€by bus go thereใ€ใ€ใ€you can live with her,飞往中国平武县Mianyang City Sichuan Province中国。ChengduLandin。。byBus去那里。。。您可以和她住在一起
52992,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708rVBn13dvVv,2,4 years ago,"one day in the morning and evening, i must go to sichuan next to sichuan. regardless of travel, work or settlement.",早晚
43659,UgwTc_fI7gQHGRqoV-F4AaABAg.8rJh5hdNwin8rag0O2iDr6,2,4 years ago,"sichuan province, china.",中国四川省。
9579,Ugxv1BeTXRzUC-ej7oh4AaABAg.9H4PahxTxp29HD4wqVb5Hr,2,2 years ago (edited),"christian? might be not. sichuan, the province she lives in is influenced by daoism and buddhism, but most people are very secular and tolerant.",基督教？可能不是。她所居住的省的四川受到道教和佛教的影响，但大多数人都非常世俗和宽容。
47512,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qpcCAj3uKO,2,4 years ago,"mianyang in sichuan province, near the panda reserve.",熊猫保护区附近的四川省的米扬。
8590,UgwYqCD2LygGCILClo14AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
46579,UgyZKLANMDq2uctGTll4AaABAg.8qt6fMEP0wz8qvBZB_ZYee,2,4 years ago,sichuan girl is a model of hard work of traditional chinese children,四川姑娘是传统中华儿女的勤劳典范
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
46865,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28qvgynH3dvT,2,4 years ago,@liza14344 sichuan,@liza14344 sichuan
46871,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28r81cpaFXSp,2,4 years ago,me too. my hometown is exactly where she is living now mianyang sichuan. i miss my hometown and my grandpa. it has been almost two years since i left china.,我也是。我的家乡正是她现在住的米扬扬四川。我想念我的家乡和爷爷。自从我离开中国已经快两年了。
42331,UgxdL7j29i6v0rIsZ9d4AaABAg.8rh2BNyjHdc8ri9n8weN7w,1,4 years ago,"purba paul 
mianyang, in sichuan province china. pandas home province","Purba Paul
Mianyang，中国四川省。 Pandas Home省"
40162,UgxgHQDmOQyE8VWZjUx4AaABAg,1,4 years ago,"after searching the information, she was from mianyang, sichuan. i am also mianyang. i am my fellow. welcome people from all over the world to visit us!",搜了下资料原来她是四川绵阳人，我也是绵阳的是我的老乡，欢迎世界各地的人来我们这游玩！
39421,UgwZc0pAZhq3BlF1F6p4AaABAg.8srHYjn9ViG8swtpeH75VH,1,4 years ago,"her hometown is sichuan, which is famous for its ""land of abundance"" since 2000 years ago, no wonder there are everything outta there",她的家乡是四川，自2000年前以来以其“丰富的土地”而闻名，难怪那里有一切
39928,UgxpOrskOi1VrWp9is14AaABAg,1,4 years ago,loved this video. i miss so much sichuan,喜欢这个视频。我很想念四川
9437,UgzROWw8fLNwHGFd1i94AaABAg.9HAblFvV34E9HH5d9Iwize,1,2 years ago,"sichuan is a very dense and moist area, so the food tends to be spicy",四川是一个非常密集且潮湿的区域，因此食物往往很辣
9436,UgzROWw8fLNwHGFd1i94AaABAg.9HAblFvV34E9HD4dLHfz0A,1,2 years ago,"she is from sichuan, where food is mostly spicy :d",她来自四川，那里的食物大多是辣：D
27093,UgzU0WlGqRzFu4RgMD14AaABAg,1,3 years ago,miss sichuan?,小姐姐四川人？
14914,Ugy6lEH6fxSiWTmnTO54AaABAg.9A99sXmX1QL9AC3R2Kt5tN,1,2 years ago,"sichuan province, mian yang.",sichuan province，mian yang。
48922,UgxFNvPsbj8yUcmiOB94AaABAg.8qmKeSF4ovo8qmN7jMlJfX,1,4 years ago,"she is just a chinese content creator. her name is li ziqi. her early videos are all made by herself, only one person. then when she got a lot followers, lots of people accused of her having a production company, then she put out a debunk video showing that all the videos are made by herself, but still people don't believe it, so she said screw this and hired a camera man and an assistant. so later videos until now are made by 3 people. she does not manage this youtube channel, it is reposted by fan who get her permission. she mainly posted on all the chinese video site, and make money mainly by selling merch on taobao, that's why there is a lot of food video. she lives in sichuan province of china, and have moved house multiple times now, because fans found previous houses location and that could be really annoying.",她只是中国内容的创造者。她的名字叫李齐。她的早期视频都是自己制作的，只有一个人。然后，当她有很多追随者时，很多人被指控她拥有一家制作公司，然后她放出了一个揭穿视频，显示所有视频都是她自己制作的，但仍然有人不相信，所以她说这件事并雇用了一个摄影师和一个助手。因此，以后到目前为止的视频由3个人制作。她没有管理这个YouTube频道，它是由获得许可的粉丝重新发布的。她主要在所有中国视频网站上发布，并主要通过在淘宝上出售商品赚钱，这就是为什么有很多美食视频的原因。她住在中国四川省，现在已经多次搬家了，因为球迷们找到了以前的房屋地点，这真的很烦人。
