,cid,votes,含dislike,含dislike中文翻译
8125,Ugz5mLQ5jhmyR6ws62F4AaABAg,0,"ziyi, you are great! don't care about those ""don't like"". not because these people don't like you, they don't like themselves deep inside. i hope that one day they can start learning to appreciate beauty, and then you can experience happiness. make sure yourself!
(you are! please ignore this who give your video ""dislike"". it's not before the people are not happy with you, deep double because the thes y are not happy with themselves. hopefully one day, they will start learning to enjoy beauty , they will start enjoying happiness!)","子柒，你很棒！不要在意那些“不喜欢”。不是因为这些人不喜欢你，内心深处他们是不喜欢他们自己。希望有一天他们能够开始学着欣赏美丽，然后就可以体会到幸福。保重自己! 
(you are great! Please ignore those who give your video ""dislike"". It's not because these people are not happy with you, deep down it's all because they are not happy with themselves. Hopefully one day, they will start learning to enjoy beauty, then they will start enjoying happiness! )"
20007,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9_Jt5NDSlap,0,"i know this is an old comment, but i'm sure a certain amount of dislikes happens by accident. sometimes when i wanna scroll down to the comments i accidentally hit like or dislike as well, and i don't always notice",我知道这是一个古老的评论，但我敢肯定，偶然发生了一定数量的不喜欢。有时，当我想向下滚动到意外击中或不喜欢的评论时，我并不总是注意到
7638,Ugx9-TQvP-wo-JaC2zZ4AaABAg,0,"the only reason for dislike your video is
you using red meat
๐’ข๐’ข๐’ข๐’ข๐ ๐ ","不喜欢视频的唯一原因是
你用红肉
"
7544,UgwB-edWEIitCJVCSJV4AaABAg,0,who in the world would dislike this video?? ๐ค”,世界上谁会不喜欢这段视频？
5548,UgxEobZ5nbWDPcY4Ic94AaABAg,0,"i don't know why i recommend her video to me. i have never paid attention to her or clicked on any video related to her, and i also particularly dislike this feeling of work. the leisure and hype of guiyuan tianju are completely antonyms. you, you have defiled the spirit of the spirit that the seclusion brings to me. instead, i hate this vlog.",我不知道为什么会给我推荐她的视频我也从来没关注过她或者点击过任何和她有关的视频，而且我还特别反感这种做作的感觉。归园田居的闲适和炒作完全是反义词，你，玷污了隐居给我带来的精神上遐想的惬意感反而让我更厌恶这种造作的VLOG。
4298,UgwT4LvPwKWXhi1zmgJ4AaABAg,0,i got to go straight to the comments. 31000 dislikes? wtf???,我必须直接去评论。 31000不喜欢？ wtf ???
4038,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9Ofta-ywo_1,0,i always see around 32k dislikes in her videos. i think they are the same people disliking everytime she uploads haha,在她的视频中，我总是看到大约32k的不喜欢。我认为他们每当她上传哈哈时都不喜欢同一个人
4035,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9LwqAJ__SD9,0,@amlesh8638 nope， i think it's korean people who dislike this video instead of chinese,@amlesh8638 nope，我认为是韩国人不喜欢这个视频，而不是中文
3558,UgyPBKcx6GfxfctMVQl4AaABAg,0,"slot fan fan likes to eat special love or dislike the taste, it is disgusted.",螺蛳粉喜欢吃的特爱 不喜欢的闻到味都反感 我属于前者
3302,UgyZrPi2jQU4Q_UP3Xx4AaABAg,0,whoever disliked her video they are just jealous and lazy people simple as that!!,谁不喜欢她的视频，他们只是嫉妒和懒惰的人简单！
2852,Ugz-9D-AvTFwW54sMMB4AaABAg,0,why people dislike this video ?,为什么人们不喜欢这个视频？
15115,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD93f2kTmGth4,0,dislike,不喜欢
15338,UgwBHDDIOldy1DqCGY14AaABAg,0,how do you happen to dislike such beautiful video?! amazingly inspirational and tasty,您如何不喜欢如此美丽的视频？令人惊讶的鼓舞人心和美味
15521,UgxNq_y70V8RnVrE9KN4AaABAg,0,i have something to say to the 12k that dislike this video. fuck you.,我对12k不喜欢这段视频有话要说。去你的。
15565,Ugyo2wdsvpCuE_WjrNt4AaABAg,0,i don't understand why people are give dislike .....,我不明白为什么人们会不喜欢.....
19270,UgxS2VZg5TEcH2H8R-d4AaABAg,0,"no way it's one person shooting it. must be a whole movie crew. i bet they have a producer, budget and all other stuff like in a movie. too pretty for a farm girl. deceiving people. that's why so many dislikes. it's hidden propaganda. only a blind person would believe how good of life in a village in china. there are a bunch of documentaries showing otherwise.",这是一个人射击它。一定是整个电影团队。我敢打赌，他们有制片人，预算以及电影中的所有其他内容。对于一个农场女孩来说太漂亮了。欺骗人们。这就是为什么这么多不喜欢的原因。这是隐藏的宣传。只有一个盲人会相信中国一个村庄的生活良好。有很多纪录片显示。
18823,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792VkzKI9Vty,0,i dislike it cause i found dianxi xiaoge cooking is more cleaner that this one!!! lol,我不喜欢它，因为我发现dianxi xiaoge烹饪比这更干净！！！哈哈
2679,UgzYKT6kNbdwb0CQgo94AaABAg,0,i dont know what is wrong with those 34k people who disliked it! i mean why?,我不知道那些不喜欢它的34K人怎么了！我的意思是为什么？
18706,UgyOYAgAfXHVyNMuTol4AaABAg,0,"because google and youtube will block good news about china, there are so many 'dislike' in every video of liziqi. same situation as nathan rich's video and so on. hoping there are more and more people around the world come to china and seeking truth from fact, instead of believing western media without and doubt, world peace!",由于Google和YouTube将阻止有关中国的好消息，因此在Liziqi的每个视频中都有很多“不喜欢”。与内森·里奇（Nathan Rich）的视频相同的情况。希望世界上越来越多的人来中国，从事实中寻求真理，而不是毫无疑问地相信西方媒体，而是世界和平！
18330,UgxnnWrVfPeaRXPYWud4AaABAg,0,where is that 11k dislike come from,11k不喜欢的地方在哪里
18250,UgzvA8nKEoWRLZQlqaZ4AaABAg,0,11k dislikes... i am genuinely curious as to why? i mean... i guess it's not exactly a tutorial? lol,11k不喜欢...我真的很好奇为什么？我的意思是...我想这不是一个教程吗？哈哈
18159,Ugz4JNhRyACpN8YGWup4AaABAg,0,"i know why there has 10k dislikes, because other youtubers wearing miniskirts can't attract everyone's attention.",我知道为什么有10k不喜欢的人，因为其他穿着迷你裙的YouTuber无法吸引所有人的注意力。
18141,UgwFFHbGBnpCqZxUaYx4AaABAg.92_4c6Udh6k930MS1ey2id,0,"@xiaolanglin9487 is sorry, i drank too much that night, hahaha, in fact, the snail powder is the same as stinky tofu, but i think it tastes good, just dislikes it, but my girlfriend loves it. i open the window every time he eats!",@xiaolanglin9487 不好意思，那天晚上喝多了，哈哈哈，其实螺蛳粉和臭豆腐一样，但是我觉得味道好大，就有点不喜欢，但是我女朋友特爱，他每次吃我都开窗户！
17853,UgykALmftToD6r-CuiB4AaABAg,0,how come this heavenly video got more than 10k dislike?! i mean... i believe even alien species would appreciate seeing a video contains so much nature inside.,这个天上的视频怎么会超过10k的不喜欢？我的意思是...我相信即使是外星物种也会喜欢看到一个视频中包含很多自然。
17538,UgxM78bP3-zAgnwfrPR4AaABAg,0,"ziqi is making great videos. she spreads to the world a great way of living. but there are dislikes. some ask why. i’ll tell you why: the video seems untrue for a real villager. in china, it is almost impossible to live delicately like this if you live in suburbs. people struggle for a living: they do very hard physical works, to plow the soil, spread seeds and water on several acres of land almost totally physically and individually every day, in order to earn no more than $10,000 every year. every year! and also subject to uncertain climate conditions. some can only get half of that. farmers are playing hard mode in china. most of them need to feed themselves, their parents and their children attending school. so for them, the video may make them uncomfortable because they are not authorized by the world to live like this. and since the video does not reflect so much reality of suburban china, some people may feel that inconsistency and express it. of course there are also haters without reason. that’s it. there are different people in the world, and they cannot be all satisfied, which is also unnecessary. i like her video because the food seems so good. however i lived in village when i was a child, so i know to some extent her video differs from what i see there. i also sometimes think things like “well if she has expensive professional photography device like that, maybe she needs not walk without shoes in her video to pretend to be indigenous.” but those are only thoughts, i still love her videos.","Ziqi正在制作出色的视频。她传播到世界的好方法。但是有不喜欢的人。有人问为什么。我会告诉你原因：这段视频对于真正的村民来说似乎是不正确的。在中国，如果您住在郊区，几乎不可能像这样巧妙地生活。人们为谋生而挣扎：他们做非常艰苦的体力劳动，几乎每天几乎完全是身体和单独的几英亩土地上撒上种子和水，以每年的赚取不超过10,000美元。每年！并遇到不确定的气候条件。有些只能得到一半。农民在中国玩艰难的模式。他们中的大多数人需要养活自己，父母和孩子上学。因此，对于他们来说，视频可能会使他们感到不舒服，因为世界没有这样的生活授权。而且，由于该视频并不能反映中国郊区的太多现实，因此有些人可能会觉得这是不一致的并表达了它。当然，也没有理由的仇恨者。就是这样。世界上有不同的人，他们都不能满足，这也是不必要的。我喜欢她的视频，因为食物似乎很好。但是，我小时候住在村里，所以我在某种程度上知道她的视频与我看到的视频有所不同。我有时也会认为“好吧，如果她拥有这样的昂贵的专业摄影设备，也许她在视频中不需要走路就可以假装是土著的。”但是这些只是想法，我仍然喜欢她的视频。"
17406,UgxDbxjIyzmj4tBISs94AaABAg,0,so beautiful. i don’t understand why someone presses dislike,太美了。不懂为什么会有人按dislike
16820,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939Gboitk49,0,my 9 year old disliked one of her videos because i was watching it instead of playing with him....,我9岁的孩子不喜欢她的一个视频，因为我在看着它而不是和他一起玩。
16805,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI937eV6JIkS4,0,xuzheng zhang so what? great video makes money! she should be rich cuz she deserves it. you guys dislike the video just because she’s rich now? unbelievable.,Xuzheng Zhang那又如何呢？很棒的视频赚钱！她应该是富有的，因为她应得的。你们不喜欢视频，只是因为她现在很富有吗？难以置信。
16652,UgxyzVSpxmUVVr1lSfB4AaABAg,0,"i like li ziyi's show, but i especially dislike cctv with her to stick to her face. cctv is a mouse shit, which can destroy everything with beauty.",喜欢李子柒的节目，但是特别反感央视拿她来为自己脸上贴金，央视是颗老鼠屎，能破坏一切具有美感的东西
16469,UgyrGGwB8sgxKpQUFgN4AaABAg,0,"i have my moments of depression, but who the heck dislikes a video like this? what has went wrong in your life that you'd dislike a video that has no hint of malice or anything?????",我有沮丧的时刻，但是谁不喜欢这样的视频？您一生中出了什么问题，您不喜欢一个没有恶意或任何事物的视频？
16346,Ugzazl5yt1jvfafBbhV4AaABAg.92wKrwOh9Mm92wb5_CT4n6,0,"i'm a normal person in china, there are many ways to access youtube.
youtube is forbidden in china, the same way huawei is banned in the us. huawei is accused for no evident reasons, however, there are indeed many political forces on ytb expressing biased/fake news about china.
politics are everywhere, i don't like any of them. in politics, nobody represent justice, they only represent interests of respective forces. my choice is to ignore them, searching for happiness and good wills. i found them in li's videos, and dislike those relate them to politics.","我是中国的普通人，有很多访问YouTube的方法。
YouTube在中国被禁止，与美国禁止华为一样。华为被指控没有明显的原因，但是，YTB上确实有许多政治力量对中国表示有偏见/假新闻。
政治无处不在，我不喜欢他们中的任何一个。在政治上，没有人代表正义，他们仅代表各自力量的利益。我的选择是忽略他们，寻找幸福和善意。我在李的视频中找到了它们，并且不喜欢那些将它们与政治联系起来。"
16233,UgxZO9dpMrXExwIGUxR4AaABAg,0,many are thinking that the dislike button of this video is for downloading the recipes of what she is cooking.,许多人认为该视频的不喜欢按钮是为了下载她正在烹饪的食谱。
15750,UgyMI7BdAQtcIFmFAYd4AaABAg,0,number of dislikes = sick peoples,不喜欢的人数=病人
15675,UgzspjPp0vlSlVtdHAB4AaABAg,0,12k fans disliked cos they can't eat it,12K粉丝不喜欢他们不能吃的cos
34448,UgxoQgg6byV6ju5qD0J4AaABAg,0,boo to all the dislikers... you guys need to have a look at your own life...,嘘所有不喜欢的人...你们需要看看自己的生活...
