,cid,votes,time,含dislike,含dislike中文翻译
12396,UgyuDAwUOTBp3b7JIud4AaABAg,0,2 years ago,"while i was all set to like this because of her hard work ideal rural living beautiful kitchen set up etc the fact that she didn't give a damn even a wee bit of love (even if it were fake for atleast video purposes) to those adorable pups, i ll be one of those dislikers!! i am convinced she raises those lamb and dogs and others animals for food",虽然我全都喜欢这样，因为她的辛勤工作理想的乡村生活美丽的厨房设置等等，她甚至没有给那些人该死的一点点爱（即使是为了至少是为了至关重要的视频目的是假的）可爱的幼犬，我将成为那些不喜欢的人之一！我坚信她抚养了那些羔羊，狗和其他动物作为食物
12616,UgxsHrD-AlYJng0ytlh4AaABAg,0,2 years ago,youtube law: you will get a lot of dislikes no matter how good the video is when the viewing count is huge.,YouTube Law：无论视频在观看量很大时，您都会感到非常不喜欢。
13251,Ugw-9UDNZCtEFMkvEc54AaABAg,0,2 years ago,"ziyi, you are great! don't care about those ""don't like"". not because these people don't like you, they don't like themselves deep inside. i hope that one day they can start learning to appreciate beauty, and then you can experience happiness. make sure yourself!
(you are! please ignore this who give your video ""dislike"". it's not before the people are not happy with you, deep double because the thes y are not happy with themselves. hopefully one day, they will start learning to enjoy beauty , they will start enjoying happiness!)","子柒，你很棒！不要在意那些“不喜欢”。不是因为这些人不喜欢你，内心深处他们是不喜欢他们自己。希望有一天他们能够开始学着欣赏美丽，然后就可以体会到幸福。保重自己! 
(you are great! Please ignore those who give your video ""dislike"". It's not because these people are not happy with you, deep down it's all because they are not happy with themselves. Hopefully one day, they will start learning to enjoy beauty, then they will start enjoying happiness! )"
13288,Ugzn9z4s79zT_kAyVs14AaABAg,0,2 years ago,"you need to be retarted to dislike this video , this video is wonderful",您需要重新选择不喜欢此视频，这段视频很棒
13728,UgynU1v05UWykcksApt4AaABAg,0,2 years ago,u r chinese....and i hate chinese...only not me all over world hates u...dislike dislike dislike...vdo,中国
14256,Ugw9KU9_5qXdYaUNr-14AaABAg,0,2 years ago,"i disliked this video:)
there's a huge team of ppl who make all these snacks and grow the vegetables and fruits for her. which she never mentions in her video.
she makes everyone think this is the life that you can have in the countryside, when the truth is, your probably gonna need 20 slaves if you want the life in the video.(or if your rich enough to afford 20 servants)
anyways, it's the very common way of getting famous on the internet, by making fake videos. she's fooling everyone but hardly anyone can see it. 
hands down to the 28k dislikers","我不喜欢这个视频:)
有一支庞大的PPL团队，为她制作所有这些小吃，并为她种植蔬菜和水果。她从未在视频中提到过。
她让每个人都认为这是您在乡村拥有的生活，当真相是，如果您想要视频中的生活，您可能需要20个奴隶。
无论如何，这是通过制作虚假视频在互联网上闻名的非常普遍的方式。她在欺骗所有人，但几乎没有人看到它。
动手28k的不喜欢人"
14346,UgzjcygIbJ7nb8CsEEd4AaABAg,0,2 years ago,how can some stupid people dislike videos like this？crap,有些愚蠢的人如何不喜欢这样的视频？废话
14672,UgxQfgPxLB4jUcBD9sd4AaABAg,0,2 years ago,this is so beautiful...why are there so many dislikes?,这是如此美丽...为什么有这么多的不喜欢？
14776,UgzHnqrYcy5SofxYct14AaABAg,0,2 years ago,why there's 2.7m dislikes??!!,为什么有270万不喜欢？!!
15071,UgxHD0T0FQzv_WzvGqx4AaABAg,0,3 years ago,"26k dislikes seriously , people who dont like to do household works..",26K认真地不喜欢，不喜欢做家居工作的人。
15367,UgzHRzUayLQjMeVbAOp4AaABAg,0,3 years ago,"why are there 25k dislikes? me think, those are master chefs around the world or at least wannabe, that are not as popular as her. whats more she got more than 10 millions followers. even the most famous master chef tv show are not as popular as her. that is one big reason to dislike.",为什么有25k的不喜欢？我认为，这些是世界各地的厨师，或者至少是想成为她的人。她有什么是1000万以上的追随者。甚至最著名的大师厨师电视节目也不像她那样受欢迎。那是不喜欢的一个重要原因。
15540,UgxznnLslf-SjS-yoMR4AaABAg,0,3 years ago,"people certainly click the dislike button inadvertently, because i don't understand,",人们当然会无意中单击“不喜欢”按钮，因为我不明白，
16088,UgzjrertVLuJMWHR_9p4AaABAg,0,3 years ago,why would anyone dislike this video??,为什么有人不喜欢这个视频？
16388,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G99d4tutFWOa,0,3 years ago,"me think, those 24k dislikes are master chefs around the world or at least wannabe, that are not as popular as her. whats more she got more than 10 millions followers. even the most famous master chef tv show are not as popular as her. that is one big reason to dislike.","我认为，那些24,000的不喜欢的人是世界各地的厨师，或者至少是想成为她的最受欢迎的人。她有什么是1000万以上的追随者。甚至最著名的大师厨师电视节目也不像她那样受欢迎。那是不喜欢的一个重要原因。"
16638,UgwC5JuWJFOVIQDCAtB4AaABAg.98YP3M1hKpR99ECIrCfso4,0,3 years ago,@mswinds did you dislike?,@mswinds您不喜欢吗？
16812,UgzAlqVFRtQK4NsAMjh4AaABAg,0,3 years ago,why so many dislikes,为什么这么多不喜欢
12403,UgyvTShunQOvPgH8xD94AaABAg,0,2 years ago,the dislikers will be met with fire and fury like the world has never seen before,不喜欢的人会像世界从未见过的那样遇到火和愤怒
12361,UgyvgznKzdXq6ZwhCEp4AaABAg,0,2 years ago (edited),"i don't understand what's wrong in this video? 
why 32k dislikes? 
what should i call them? dislikers
are just an assholes???","我不明白这段视频中有什么问题？
为什么32k不喜欢？
我应该叫什么？不喜欢的人
只是一个混蛋吗？？？"
29340,Ugye8cHRyk0HHnxQVf94AaABAg,0,3 years ago,the biggest mystery in this universe is who are those did a dislike ? and whyy ??,这个宇宙中最大的奥秘是谁是不喜欢的？为什么？
12140,UgyQG8YbUE6nCa7sncl4AaABAg,0,2 years ago,"32k dislikes, for what. hello what is in there for dislike?",32k不喜欢什么。你好，那里有什么不喜欢的？
5188,UgykYRm0VAAs2L1t6KN4AaABAg,0,1 year ago,54k dislikes,54k不喜欢
5414,UgwPeMuG_zoUHKgyYW94AaABAg,0,1 year ago,who's people dislike this,谁不喜欢这个
6463,UgwK0slb05GSPzL42Bx4AaABAg,0,2 years ago,idk how people can dislike this,idk人们如何不喜欢这个
7208,Ugz3UpCbQbuG09n_9It4AaABAg,0,2 years ago,"after seeing a peaceful video like this, don't plan to waste time to think why there are dislikes. just want to say, i like it",在看到这样的和平视频之后，不要打算浪费时间思考为什么不喜欢。只想说，我喜欢它
7288,UgwM1U95auiklK3hrPt4AaABAg,0,2 years ago,"question for the haters:
why do you hate the video/her? give reasons. why need to dislike? 
ps: haters can only reply <3","仇恨者的问题：
你为什么讨厌视频/她？说明原因。为什么需要不喜欢？
PS：仇恨者只能回复<3"
7944,UgzuR9yK_6Lo_wOFtUd4AaABAg,0,2 years ago,"dear people from all nations,
we are very sorry if it is disturbing you. but we really need help to protect our rights. 
#wevotednld and always disliked both the speech and act of the military. we people have been against the despicable acts of the military and this time we think they(the military leaders) get what they deserve. they are not getting away with everything they have done over the years. 
#helpus
#helpmyanmar
#savepeace
we truly appreciate your help.","亲爱的所有国家的人，
如果打扰您，我们感到非常抱歉。但是我们确实需要帮助来保护我们的权利。
#wevotednld，总是不喜欢军队的演讲和行为。我们人民反对军方的卑鄙行为，这次我们认为他们（军事领导人）得到了应有的一切。他们多年来没有摆脱他们所做的一切。
＃帮助我们
＃helpmyanmar
＃Save -peace
我们非常感谢您的帮助。"
8413,UgxtPwaY34SwCvQRHU54AaABAg,0,2 years ago,the 43 k who dislike this video are muslims!,不喜欢这段视频的43 K是穆斯林！
8423,UgxdXHMuPDXYPbLNnrp4AaABAg,0,2 years ago,who tf would dislike this vid??,谁会不喜欢这个vid？
8489,Ugx5xLbjRQRlAzuodVh4AaABAg,0,2 years ago,mesmerizing as always❤️ ... don’t understand the 43k dislikes though,一如既往地迷人的❤️...虽然不理解43k的不喜欢
8838,Ugx6T-fqO5HAlSHaJ0N4AaABAg,0,2 years ago (edited),who even puts dislikes??,谁甚至不喜欢？
9298,Ugy9IEMww7W6OiKwMzl4AaABAg,0,2 years ago,"77m views, 1m likes, 40k dislike. 1year ago.",77m的观点，1M喜欢，40k不喜欢。 1年以前。
9967,UgzyDue3vWayfUe9w7F4AaABAg,0,2 years ago,why so much dislikes on this video? people are jealous?,为什么在这段视频上如此不喜欢？人们嫉妒吗？
10434,Ugw7Ress6zVw_sWUhHJ4AaABAg,0,2 years ago,i don't understand because someone would give dislike nima so beautiful,我不明白，因为有人会让尼玛如此美丽
11252,UgzdsEXLYGmaDPgvXdJ4AaABAg,0,2 years ago,can't understand how these videos get dislikes.. love all of them! she's naturally talented!,无法理解这些视频是如何不喜欢的..爱所有视频！她很有才华！
11947,Ugzjf9YP6YKKMlMclbB4AaABAg,0,2 years ago,why so many dislikes ?,为什么这么多不喜欢？
16819,UgyNvONg_ueKwd1OoHh4AaABAg,0,3 years ago,where did those dislikes come from???,这些不喜欢的来自哪里？？？
17430,Ugzy9-gZyLTrtSiVi0F4AaABAg,0,3 years ago,"23k dislikes, you guys have done nothing in life.",23K不喜欢，你们在生活中什么也没做。
17687,Ugy2aN4HWooEpRgdgaN4AaABAg,0,3 years ago,"~ hey disliker give me j
ust one reason why.¿","〜嘿，不喜欢的人给我J
原因是为什么"
18439,UgzXtzbWyD7_ACExJtF4AaABAg,0,3 years ago,the fuck are the dislikes for???,他妈的是不喜欢的？？？
24599,UgwMZzETWPXQgcGP05V4AaABAg,0,3 years ago,iโ€m guessing the 16k that disliked this are ai bots,我猜想不喜欢这是AI机器人的16K
25193,UgzCg5in0AdKqhdo6fl4AaABAg,0,3 years ago,"why the hell so many dislikes ??? that hurts, she's such an angel๏ผ",为什么这么多不喜欢？？？很痛，她真是天使！
25716,UgyYaE-nswV5B7Vdm3x4AaABAg,0,3 years ago,i can't believe people are still disliking her videos. i mean.. what the heck is your problem? you don't like the video than don't watch! why dislike it? can't you see the hardwork she's doing for this single video?,我不敢相信人们仍然不喜欢她的视频。我的意思是..您的问题是什么？您不喜欢视频，而不是不观看！为什么不喜欢它？您看不到她为这个视频所做的艰苦工作吗？
25756,UgyOdkyQi7-IMw22_9N4AaABAg,0,3 years ago,14k dislikes for never petting the puppies haha,14k不喜欢永远不会抚摸小狗哈哈
3096,Ugw2stzwDseSmoYP59J4AaABAg,0,1 year ago,how people disliked this awesome masterpiece video...?,人们如何不喜欢这个很棒的杰作视频...？
26141,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-DB6_XuSW1,0,3 years ago,why are you lost faith in humanity? 14k dislikes only mean most of us liked that.,你为什么对人类失去信心？ 14k不喜欢的只是我们大多数人都喜欢这一点。
26147,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-RlR-hFqv0,0,3 years ago,the fact that 14k dislikes is enough to make to lose faith in humanity is disappointing in itself,14k不喜欢的事实足以使对人类失去信心，这本身就是令人失望的
26148,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-ShZdoVz5w,0,3 years ago,"amy gao it is beautiful but fake, and even dirty and ugly behind the scene, just like most things in chinese these days. expressing dislike is far not enough but feel shame. i am not hater but just tell people the truth that this video is a not (her) real (life). the haters who hate telling the true please leave me alone otherwise i will only speak louder.",艾米高（Amy Gao）很漂亮，但是假货，甚至在现场的肮脏和丑陋，就像如今中文中的大多数事情一样。表达的不满是不够的，但会感到羞耻。我不是仇恨者，而只是告诉人们这个视频不是（她）真实的（生活）的真相。讨厌说真的的仇恨者，请让我一个人呆着，否则我只会大声说话。
26182,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9_nYLjbc_r6,0,1 year ago,now youtube have no dislike bar anymore. so my comment probably useful now.,现在，YouTube不再不喜欢酒吧了。因此，我的评论现在可能有用。
26887,Ugy8-uf3EhBD66r9Jox4AaABAg,0,3 years ago,those who press the dislike button are only those who are jealous and have the soul of a loser,那些按下不喜欢按钮的人只是嫉妒并拥有失败者灵魂的人
28516,UgzlrNY3X_g_LciK_pN4AaABAg,0,3 years ago,i dislike this because she never touch her dogs...and maybe just little jealous of her...,我不喜欢这个，因为她从不碰她的狗...也许只是嫉妒她...
28519,UgxXsnFb10p1tVLy3uN4AaABAg,0,3 years ago,ppl who dislike this video is envy ๐๐๐....,不喜欢这段视频的人很羡慕...。
28882,UgwJzlhKDKt_OY-R93B4AaABAg,0,3 years ago,i don't understand why so many dislikes,我不明白为什么这么多不喜欢
28979,UgyV7lYrAjtRdnuSfz94AaABAg,0,3 years ago,those who dislikes this video has a miserable life,那些不喜欢这部影片的人过着悲惨的生活
29281,UgwzW3wQ6Cx6yukK1UF4AaABAg,0,3 years ago,11k dislikes? what the heck. maybe these people are just jealous hahahaah,11k不喜欢？有没有搞错。也许这些人只是嫉妒哈哈哈
24521,UgxR0s9WtsT1PnAQH8p4AaABAg,0,3 years ago,"those who give the dislike, do not know how rich and how natural these artisanal products are. now nothing is bought the same.",那些不喜欢的人，不知道这些手工产品有多富有和自然。现在什么都没有买。
23799,Ugz7L9lNIsjRD3-Q3c14AaABAg,0,3 years ago,dislike for malnutrition puppies.,不喜欢营养不良的小狗。
23293,UgwaBJAb7w7gHCc91Sp4AaABAg,0,3 years ago,17k people dislike this video?????,17k的人不喜欢这段视频？？？？
19041,UgwrWEc94eLQE9558M54AaABAg,0,3 years ago (edited),those dislike are from people who never work or move even a finger... lazy people only knows how to dislike,那些不喜欢
18464,UgxgtBxxEtxZFBUlBzV4AaABAg,0,3 years ago,plss you tube remove the dislike botton for this kind of video,请You Tube删除这种视频的不喜欢Botton
18486,UgwaG5-T8RevIWHCz3x4AaABAg,0,3 years ago,i swear people who disliked this video has serious mentàl issues.,我发誓那些不喜欢这段视频的人有严重的问题。
18632,UgxGvLR_AC5sfKQfB6V4AaABAg,0,3 years ago,why would any sane person dislike her videos!!!??? she is an amazing peaceful person !,为什么任何理智的人都不喜欢她的视频！她是一个了不起的和平的人！
18648,UgxGvLR_AC5sfKQfB6V4AaABAg.96edMCYDeRf96exuM-XWaG,0,3 years ago,"asda obydi maybe is not dislike her, that's dislike china",阿斯达·奥比迪（Asda Obydi）也许不是不喜欢她，那是不喜欢的中国
18850,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97SqjfY50ER,0,3 years ago,there are people who doesn’t know you tube and accidentally touch dislike button or kids also does too who are innocent,有些人不认识你管，不小心触摸不喜欢按钮或孩子也是无辜的
18991,UgzTZPGOAhE7CSQSI3R4AaABAg,0,3 years ago,i wonder why 20 thousand people disliked this video.,"我想知道为什么有20,000人不喜欢这段视频。"
19572,UgwDH4BCD5KHmYKB4uZ4AaABAg,0,3 years ago,how can anybody dislike these videos?,任何人如何不喜欢这些视频？
22782,Ugz_WSphR2i9wfmlw-14AaABAg,0,3 years ago,17k dislikes???,17k不喜欢？？？
19604,UgyreY4XX1PgnTNf6DZ4AaABAg,0,3 years ago,why there so many dislike？？,为什么有这么多的不喜欢？？
20088,UgyHKO6wfQCWLVarFf54AaABAg,0,3 years ago,i cant believe someone disliked this,我不敢相信有人不喜欢这个
20544,UgzzTYB28eb6b278Bbl4AaABAg,0,3 years ago,the dislikes are from girls only who are jealous of her beautyness and talent,不喜欢的女孩只嫉妒她的美丽和才华
20770,UgzZLgVHvfWEAbDDnB14AaABAg,0,3 years ago,19k dislikes ? why?,19k不喜欢？为什么？
20974,Ugw5-ideDnBAHmzkh4V4AaABAg,0,3 years ago,i am curious why would you dislike this?!,我很好奇你为什么不喜欢这个？
21418,UgyxuNG0jmmRFEd0AK94AaABAg,0,3 years ago,how does this have 18k dislikes?,这如何不喜欢18k？
52091,Ugxld2scnrs9j0qMdkJ4AaABAg,0,4 years ago,how can some one dislike such a beautiful video..,有人怎么会不喜欢如此美丽的视频。
