,cid,votes,含lifestyle,含lifestyle中文翻译
13019,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96R5Qel8-8d,1,"@soccrdud77 ahh yes if you want the world to revert to a lawless every man for himself feel free to go live in a jungle.
the reality is that people living in desert areas, places of extreme climate in any form would be unable to sustain themselves without a lot of intervention, hence its is not a viable option to throw the world into chaos to produce this faux reality you may have of what people have been doing for millions of years. this lifestyle can't suit everyone and you know what, modern technology is not the monster its made out to be. she's using a lot of modern ideas too so to conclude your argument is deeply flawed","@soccrdud77啊，是的，如果您希望世界恢复为一个无与伦比的人，每个人都可以随意在丛林中生活。
现实情况是，生活在沙漠地区的人们，任何形式的极端气候的地方都将无法维持自己，因此，如果没有大量干预人们已经做了数百万年的事情。这种生活方式不能适合所有人，您知道什么，现代技术并不是它所做的怪物。她也在使用很多现代想法"
29078,UgyDxmWZpeOOwHcbKAJ4AaABAg,1,like this lifestyle!,喜欢这种生活方式！
1829,Ugz1dEMTL4ZxRZIgroB4AaABAg,0,i'm actually more amazed that there is so much land to have a lifestyle like that. in this day and age to have that much land isn't easy.,实际上，我更加惊讶的是，拥有这样的生活方式有很多土地。在这个时代，拥有那么多土地并不容易。
28186,UgzUHiN45_O8eEoj7PJ4AaABAg,0,"i really love her lifestyle,who can tell me this is what country ?",我真的很喜欢她的生活方式，谁能告诉我这是哪个国家？
31899,UgwisE4fmphBXzIFc2Z4AaABAg,0,"i came from the same region where she is, same kitchen, same way of life. i will never forget this lifestyle. now i'm gonna rebuild the old house for that.",我来自她所在的同一地区，同一厨房，同样的生活方式。我永远不会忘记这种生活方式。现在，我要为此重建旧房子。
29429,Ugz6nXkTpjeLR1zxQ-Z4AaABAg,0,very healthy lifestyle indeed! splendid!,确实非常健康的生活方式！灿烂！
21104,Ugxx-CYwvu0Grqoq2kN4AaABAg,0,i like ur lifestyle,我喜欢你的生活方式
2870,UgzlklBUo0QIht1-LTp4AaABAg,0,"are you into marry and divorce? then you are a sinner. are you married to more than one person? repent!! marriage is between a man and a woman. marriage is for better and for worse until death separates (matthew 19:3-6). ‘wherefore they are no more two but one flesh. what therefore god has joined together let no man put asunder (separate)’. cheating on your wife or husband is sin. proverbs 28: 13 says, ‘‘he that covers his sins shall not prosper...you must repent of them, confess and forsake them (1 john 1:9). 
are you into worldliness? don’t you know that friendship with the world is enmity with god? (james 4:4; ii john2:15-17). so, you must stop bleaching your body or painting your mouth, eyes, hands and legs or fixing attachments, weave-on, earrings (genesis 35:2-4), bangles, chains and frying or perming your hair. tattooing your body is satanic. are you one of those that put on nude dresses, short skirts, transparent dresses to seduce men or women (a seducer or a promoter of lust is a sinner – mathew 5:28) 

perhaps you wear trousers as a woman? (read deuteronomy 22:5), that is an abomination (revelation 21:8, 27). therefore, make up your mind, repent and give your life to jesus christ. are you spoilt? jeremiah 4:30 says, ‘‘and when thou art spoiled, what wilt thou do? though thou clothest thyself with crimson, though thou deckest thee with ornaments of gold, though thou rentest thy face with painting, in vain shalt thou make thyself fair; thy lovers will despise thee. they will seek thy life’’. (2 kings 9:30; hosea 2:13; exodus 33:1-6) 
a christian is not a sinner and a sinner is not a christian (i john 3:9). if you must be a blessed child of god, then you must repent of your sins and give your life to jesus christ. if you believe jesus christ today, righteousness of god will come into your life and abundant life will be your portion (1 john 11-12). if you neglect this call to repentance and salvation and die, you will not escape fire of hell (hebrews 2:3). it is foolishness and sin to say or think that there is no god (psalm 14:1; 9:17). luke 13:3, jesus said, ‘i tell you, nay: but except ye repent, ye shall all likewise perish’. cut off every besetting sin (hebrew 12:1-2; mark 9:43-48). 

if you have decided now (2 corinthians 6:2) to give your life to jesus christ and to forsake your sinful lifestyle, please say this prayer: 
almighty god, i come unto you in the name of jesus. father i confess that i am a sinner. all my sins i confess to you. 
i am very sorry for all my sins (mention those you can remember). lord i promise you that from today i will never continue in them anymore. i believe that jesus christ died and rose again on the third day for my justification. 
almighty god, use the blood of jesus to wash my sins away. lord jesus, come into my heart, be my lord and personal saviour. i surrender my life to you. cancel my name from the books of death and write it in the book of life. give me power to sin no more. in jesus name i pray. amen!! 
'the lord's chosen charismatic revival movement'. 
www.tlccrm.org or www.tlccrm.org/chosentv 
https://www.youtube.com/user/iamachosen1 
1john 1","您是结婚和离婚吗？那你是一个罪人。您与一个以上的人结婚了吗？悔改！！婚姻是男人和女人之间的。婚姻是更好，更糟的，直到死亡分开为止（马太福音19：3-6）。 ‘因此，除了一个肉之外，它们不再是两个。因此，上帝加在一起的是什么，没有人将其放在（分开）”。欺骗你的妻子或丈夫是罪。箴言28：13说：‘掩盖他的罪过的人不会繁荣……你必须悔改他们，承认并抛弃它们（约翰一书1：9）。
你是世俗的吗？您不知道与世界的友谊与上帝仇恨吗？ （James 4：4; II John2：15-17）。因此，您必须停止漂白身体或绘画嘴巴，眼睛，手和腿，或固定附件，编织，耳环（创世记35：2-4），手镯，链条以及煎炸或刺穿头发。纹身你的身体是撒旦的。您是穿上裸色连衣裙，短裙，透明的连衣裙引诱男人或女人的人之一（诱惑者或欲望的促进者是罪人 - 马修5:28）

也许你像女人一样穿裤子？ （阅读申命记22：5），这是一种可憎的（启示录21：8，27）。因此，下定决心，悔改，将您的生命献给耶稣基督。你被宠坏了吗？耶利米书4:30说：‘‘当你宠坏时，你做什么？尽管您用深红色给您带来最大的衣服，尽管您用黄金装饰着您的最大饰物，尽管您用绘画租了脸，但您徒劳地让您公平地让自己公平。你的恋人会鄙视你。他们会寻求你的生活’。 （2 Kings 9:30; Hosea 2:13;出埃及记33：1-6）
基督徒不是罪人，罪人不是基督徒（约翰一书3：9）。如果您必须是上帝的幸福孩子，那么您必须悔改自己的罪，并将生命献给耶稣基督。如果您相信今天的耶稣基督，上帝的公义就会进入您的生活，那么丰富的生活将是您的一部分（约翰一书11-12）。如果您忽略了悔改，救赎和死亡的呼吁，您将不会逃脱地狱之火（希伯来书2：3）。说或认为没有上帝是愚蠢和罪（诗篇14：1; 9:17）。路加福音13：3，耶稣说，‘我告诉你，不：但是，除了你们悔改，你们都会同样灭亡。”切断所有困扰的罪（希伯来语12：1-2；马可福音9：43-48）。

如果您现在决定（2哥林多前书6：2）将您的生命献给耶稣基督，并放弃您的罪恶生活方式，请说出这种祈祷：
全能的上帝，我以耶稣的名来给你。父亲我承认我是罪人。我向你认罪的所有罪过。
我为自己的所有罪恶感到非常抱歉（提及您记得的那些）。上帝，我向你保证，从今天开始，我将永远不再继续前进。我相信耶稣基督在第三天为我的理由而死。
全能的上帝，用耶稣的宝血将我的罪恶洗净。主耶稣，进入我的内心，成为我的主和个人救主。我向你投降。从死亡书中取消我的名字，然后在生命书中写下它。不再赋予我罪的力量。我以耶稣的名祈祷。阿们！
“主选择的魅力复兴运动”。
www.tlccrm.org或www.tlccrm.org/chosentv
https://www.youtube.com/user/iamachosen1
1john 1"
2814,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9eMBpacOQKO,0,"exactly but gov wont allow u such lifestyle
gov wan u pax taxes
create societies that wan things like apple","确切但政府不允许你这样的生活方式
政府Wan U Pax税
创建像苹果这样的事物的社会"
29598,UgxWZ5JexArt6_q65nd4AaABAg,0,cool of this lifestyle,这种生活方式很酷
30313,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw392vAawheT4W,0,"@xaofaye5603 asian men do live longer because of their lifestyle however the women live much longer because they're always active all the damn time rest home for them, there's no senior citizen care center none of that nonsense. oh and the elderly are respected in asia",@xaofaye5603亚洲男人的生活更长，因为她们的生活方式更长，但是妇女的寿命更长，因为她们总是活跃在该死的时间里为她们静止不动，没有老年人公民护理中心，没有任何废话。哦，老年人在亚洲受到尊重
20564,UgyaP-qKvSVmQM2CSR14AaABAg,0,"beautiful place and lifestyle. i wish i live there too, im fascinated with your nature..",美丽的地方和生活方式。我希望我也住在那儿，我对你的天性着迷。
30759,Ugy5fO6qAfvP2slU5Qt4AaABAg,0,"nature , the process of cooking and the human touch all are the elements that capture viewers interest, and the professional production behind is a big drive. ms li's casual dress and lifestyle is also a make believe that this is not a set stage in studio.",大自然，烹饪过程和人类的感觉都是吸引观众感兴趣的要素，而背后的专业制作是一个很大的动力。李女士的休闲着装和生活方式也相信这不是工作室中的设定阶段。
2795,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9Up_55cjkKC,0,@edwardwongliupepelutivrusk1262 and you assumed the lifestyle op was talking about was complete with the pretty dresses and sh t. how are you any different? unless clearly stated why are you assuming they're dumb enough to not know that?,@Edwardwongliupepepelutivrusk1262，您认为生活方式OP在谈论的是漂亮的礼服和Sh t。你有什么不同？除非明确说明您为什么假设他们愚蠢到不知道？
27944,UgwHF3iuK6BQgwS858J4AaABAg,0,"she reminds us the simple but healthy lifestyle of our past. ''grow your own food and respect the earth that created you.'' everyone went to the cities but they forgot that the true meaning of life, is back to their roots.",她提醒我们过去简单但健康的生活方式。 “种植自己的食物，尊重创造你的地球。”每个人都去了城市，但他们忘记了生活的真正含义又回到了他们的根源。
25673,Ugw3Sy04QMhAlrlkxNl4AaABAg.8z-Jevpgkdp8z6rv9ceq0F,0,i wanted this lifestyle,我想要这种生活方式
2813,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9a5SORzYUv6,0,@edwardwongliupepelutivrusk1262 in my place people have the same lifestyle though.,@Edwardwongliupepepelutivrusk1262在我这里，人们的生活方式相同。
25768,UgyRNvqEodyL7aCKEzZ4AaABAg,0,"really it is a wonderful lifestyle 
which country it is?","真的是一种美好的生活方式
它是哪个国家？"
27033,UgwGlXbdzgnihHJfG094AaABAg.8yixt2ZyQb28ypgK0yyjZx,0,"tell me please. when you say ""there,"" do you mean to say there is a region in china this pretty, so clean, very natural, lacking congested roads and filled with fresh air? i don't see her using plastics or wearing disposable clothing. her skin is white and clear. her world is too nice. not even martha stewart could present like this and ms. 
stewart had a team of helpers off camera. tell me this is very real. i would love to go to china and live like that. i don't care about religion and could give up discussing politics for that lifestyle. of course, it would take me a few years to learn the basics of chinese language.","请告诉我。当您说“那里”时，您是说中国有一个美丽，如此干净，非常自然的，缺乏拥挤的道路并且充满新鲜空气的地区？我看不到她使用塑料或穿着一次性服装。她的皮肤是白色的。她的世界太好了。甚至玛莎·斯图尔特（Martha Stewart）也无法像这样呈现。
斯图尔特（Stewart）有一个助手团队。告诉我这是非常真实的。我很想去中国生活。我不在乎宗教，可以放弃讨论这种生活方式的政治。当然，我花了几年的时间才能学习中文的基础知识。"
22450,UgwHxU7a_4e2cN8qAtB4AaABAg,0,life is so peacefully away from the noisy lifestyle in the lavish cities that are increasingly expanding to return to a quiet countryside to live a peaceful simple life that is the dream of many people. hope you can produce many meaningful videos like this so that everyone can feel. good luck,生活如此和平地远离奢侈城市中繁华的生活方式，这些生活方式越来越不断扩大，以返回一个安静的乡村，过着和平而简单的生活，这是许多人的梦想。希望您可以制作许多这样的有意义的视频，以便每个人都能感觉到。祝你好运
22622,UgwlzBpE_xOMWmBwvPh4AaABAg,0,your beautiful lifestyle and cooking!! :) :),您美丽的生活方式和烹饪！ :) :)
22824,UgyD9r-pmeIPjcjKjzx4AaABAg,0,it's wonderful to see that she has all the foods close to home and she pays nothing for it. this lifestyle is beautiful,很高兴看到她将所有食物都靠近家，而她却一无所获。这种生活方式很美
27016,UgwaEVoxExY-KzNIvlx4AaABAg,0,likes the lifestyle,喜欢生活方式
23029,UgyRHMdkg6XPvv6eVnF4AaABAg,0,i can't believe how amazing she is! i don't know anyone who is like her and i love her lifestyle and the beauty of where she is fortunate to live.,我简直不敢相信她有多神奇！我不认识任何像她这样的人，我喜欢她的生活方式和她幸运的生活的美丽。
26974,UgwI6g-T6-kPVz9EJQB4AaABAg,0,"such a great lifestyle, never have nothing to do, and its purely surviving elegantly",如此伟大
26551,Ugy6JJ1SntrlhwChdhR4AaABAg,0,"traditional lifestyle, relaxed",传统生活方式，怡然自得
23417,UgyKbo53ewRALP7p2up4AaABAg,0,"i'd like to know what monsters disliked this?
was it some sort of idiot vegan greenies that felt sad for a water snail or something?
seriously, thiese vids are nothing short of magical, and those that live like this are destined to have long and healthy lives.
grandma is probably 110 or something insane. she must feel like the luckiest woman on the planet to have someone so skilled looking after her.
such an idyllic lifestyle!
i love this videos more than you'd believe!
i'm gonna be so sad the day that the vid just shows the young girl.....know what i mean?","我想知道什么怪物不喜欢这个？
是某种白痴纯素食绿色的蜗牛或其他东西感到难过吗？
认真地说，Thiese Vids无非是神奇的，那些像这样生活的人注定要有长期健康的生活。
奶奶大概是110岁，也可能是疯狂的。她必须觉得自己是地球上最幸运的女人，才能让某人如此熟练地照顾她。
这样的田园诗般的生活方式！
我比您相信的更喜欢这段视频！
我会很难过的那一天，以至于vid只是向年轻女孩展示.....知道我的意思吗？"
26430,UgwEpiiGcZ9dZBJeLNt4AaABAg,0,i am immensely envious of your lifestyle. this is how the human race was meant to live. no tyrants. no poison. wholesome living.,我非常羡慕您的生活方式。这就是人类的生活。没有暴君。没有毒药。有益健康的生活。
23686,UgyzSWdVrY2sVVisaKV4AaABAg,0,these kind of videos are so in line with our times. fake videos showing unattainable lifestyles. the truth is she is probably an actress with a huge crew behind this production. she probably doesn't even live like this.,这些视频与我们时代是如此。虚假视频显示无法实现的生活方式。事实是，她可能是一位女演员，这部作品背后有庞大的工作人员。她甚至可能都没有这样的生活。
27544,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8ypddu4AAB1,0,"please tell me. i didn't think chinese could own enough land to live this lifestyle. her place is so clean, pretty and fresh. how can she live this way? she has resources all around her. is she working for the chinese elite at some grand resort? do such expansive places and people with so much domestic talent and beauty (all-in-one) exist on their own in china?",请告诉我。我认为中国人没有足够的土地来过这种生活方式。她的地方是如此干净，漂亮和新鲜。她怎么能这样生活？她周围有资源。她在一些大度假胜地为中国精英工作吗？如此广阔的地方和拥有如此多的国内人才和美丽（多合一）的人们在中国是否存在？
4062,UgwZdGvWVb2xtGSBsrJ4AaABAg,0,"i m happy that i m living life like you. 
i m also trying to make some new lifestyle videos.।","我很高兴我像你一样过着生活。
我还试图制作一些新的生活方式视频。"
19915,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx92E97OqG3pT,0,"david hutchins there are still many people living similar lifestyle like she does in china. one point i really like about ziqi is that she has a dedication and passion of sharing chinese culture to the world. it’s something that many people would like to do but somehow lack of ability or determination. we should all believe her because as audiences, we feel it. we should offer more encouragement and appreciation. what’s most important that she really delivers peace and calmness to audiences and we all receive positive influences or energy from her videos. and i reallyyyy like her temperament.",大卫·哈钦斯（David Hutchins）仍然有许多人过着与中国相似的生活方式。我真的很喜欢Ziqi的一点是，她对与世界分享中国文化的奉献精神和热情。这是许多人想做的事情，但某种程度上缺乏能力或决心。我们都应该相信她，因为作为观众，我们感受到了。我们应该提供更多的鼓励和赞赏。最重要的是，她真正为观众提供和平与平静，我们都从她的视频中获得了积极的影响或精力。我真的很喜欢她的气质。
19246,Ugx4en9tHEBhCuuVnH94AaABAg.92-WulDMxta928LXQFKZEZ,0,"this kind of lifestyle can be acceptable in the short term, and it will be suffocated in the long run.",这种生活方式短期可以接受，长期这样就会闷死了
3453,Ugxyoov5gG0EbmZ2fyp4AaABAg,0,"with lifestyle, you will survive up to one hundred and twenty years ...",有了生活方式，您将最多生存一百二十年...
12987,Ugw-hJSswD4RDq3P8bF4AaABAg,0,"i found that people from all countries leave a message ~
this is the freedom of humans yearning
farming and noble lifestyle.","发现各国人民都留言赞 ~
这是人类都向往的自由自在
俭朴而高贵的生活方式。"
12569,Ugy9i-hwFIVkDw6gxxN4AaABAg,0,"wow, i want to have a simple lifestyle like this.",哇，我想拥有这样简单的生活方式。
12374,UgygGphu6PgOX7YaItl4AaABAg.96jNsXWiWzz97jDTm6lK6e,0,"@logicone5667 i mean, the scenery and some of her lifestyle is highly romaticized but this is literally how my relatives in jiangxi live",@logicone5667我的意思是，风景和她的某些生活方式被高度浪漫化，但这实际上是我的江西亲戚的生活
12300,UgxEf2W6qCKyesITYDZ4AaABAg,0,i love this lifestyle. i love this young lady. lucky is the one she marries. healthy good food everyday!!,我喜欢这种生活方式。我爱这个小姐。幸运的是她结婚的人。每天健康的美食！！
12066,UgyBooe5bM5GJAGAM794AaABAg,0,you know what? she is like a king in the woods.. its like the whole jungle belongs to her.. i really want to living a lifestyle like her..,你知道吗？她就像树林里的国王..就像整个丛林属于她。.我真的很想像她一样过着生活方式。
12059,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9T7ExlLXJ97,0,"@mahie56 she is showing her lifestyle more, i think.",@mahie56她认为她的生活方式更多。
11957,UgxRBVY3F7P4gBmvKh94AaABAg,0,"hi liziqi, can you adopt me please? would take this life over any billion dollar lifestyle!",嗨，利兹奇，你能收养我吗？将夺走任何十亿美元的生活方式！
11214,UgwrKiRZ5PRTwiD3YpB4AaABAg,0,am envious of this kind of lifestyle❤️❤️❤️,我羡慕这种生活方式❤️❤️❤️
2706,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9qKwNervA0W,0,"hay day/ nayekgaming 
youtube -https://youtu.be/b8figsqfgo0
atoplay-https://atoplay.com/videos/163eb6f43d4de41676373827
______
earn money/part time job 
modicare direct selling company or network marketing 
joining time use 
sponsored mca no -76222019
joining link -https://www.modicare.com
atoplay-https://atoplay.com/videos/16430275717ac11680877399
youtube -https://youtu.be/dwmyegmjo-q
______
asclepius wellness private limited
become a direct seller
direct selling or network marketing
if you join 
register time use
sponsored i'd -28f281e
name-debojyoti nayek 
joinlink-https://asclepiuswellness.com/login.aspx
atoplay-https://atoplay.com/videos/1639cc099a7d771671217305
youtube - https://youtu.be/dcwzucpyauu
_________
mi lifestyle marketing pvt ltd
direct selling/network marketing 
joining time use
sponsored i'd -4419335214
joining link- https://www.milifestylemarketing.com/
youtube -https://youtu.be/zvgh3zi6cn0
atoplay-https://atoplay.com/videos/1643b8b5428d2e1681623892
_________
4) vestige marketing pvt ltd
sponsored i'd -49777081
_________
5)rcm marketing pvt ltd
sponsored i'd -39470226
________
nayekfashion
shop link-
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory 
#nayekblogschannel #nayekfashion 
#debojyotinayek","干草日/ nayekgaming
youtube -https：//youtu.be/b8figsqfgo0
atoplay-https：//atoplay.com/videos/163eb6f43d4de41676373827
______
赚钱/兼职工作
Modicare Direct Selling Company或网络营销
加入时间使用
赞助MCA No -76222019
加入链接-https：//www.modicare.com
atoplay-https：//atoplay.com/videos/16430275717AC11680877399
youtube -https：//youtu.be/dwmyegmjo-q
______
Asclepius Wellness Private Limited
成为直接卖家
直接销售或网络营销
如果您加入
注册时间使用
赞助我是-28F281E
名称debojyoti nayek
joinlink-https：//asclepiuswellness.com/login.aspx
atoplay-https：//atoplay.com/videos/1639cc099a7d771671217305
YouTube -https：//youtu.be/dcwzucpyauu
_________
MI生活方式营销Pvt Ltd
直接销售/网络营销
加入时间使用
赞助我是-4419335214
加入Link- https://www.milifestymarketing.com/
youtube -https：//youtu.be/zvgh3zi6cn0
atoplay-https：//atoplay.com/videos/1643b8b5428d2e1681623892
_________
4）Vestige Marketing Pvt Ltd
赞助-49777081
_________
5）RCM Marketing Pvt Ltd
赞助我是-39470226
________
Nayekfashion
商店链接 - 
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory
#nayekblogschannel #nayekfashion
#debojyotinayek"
10365,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rxCryxw3i,0,there is vast difference between her working all day and eating whole pot and not getting fat whereas us our unhealthy lifestyle,她整天的工作与吃整盆，不胖，而我们的生活方式不健康，这是巨大的差异
9597,UgyPNAq1mlrFWMDz6ih4AaABAg,0,i like her lifestyle but sometimes i i feel that she cooks too much for two persons,我喜欢她的生活方式，但有时我觉得她为两个人做得太多
4017,UgyQrfuVr58IePb0w_N4AaABAg,0,"she didn't have time for herself at all ... i want this lifestyle but....








i want some time for myself too....","她根本没有时间...我想要这种生活方式，但是...。








我也想要一些时间..."
9031,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVms8RgbE,0,"ira k 
good points thank you. honestly i havenโ€t been to india or russia and my observations were totally based on my personal impressions. what i really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional chinese lifestyle. and i understand there are such differences and similarities between every two cultures. thank you for pointing out.","艾拉·K
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
8891,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BHWkOUQVWc,0,"@yonglu5864 is not. everyone has everyone's lifestyle. i do not yearn for this life, but does not affect my appreciation. how can i understand? whoever lets you go down to the field, everyone has their own lifestyle, just do it yourself. i yearn for the kind of quiet and indifferent mood in the video, but the way is secondary.",@yonglu5864 并不是，每个人有每个人的生活方式，我并不向往这种生活，但并不影响我欣赏，这样说可懂？谁让你下田种地了，每个人都有自己的生活方式，做好自己即可，我向往的是视频里那种宁静淡然的心境，方式反而是次要的。
8841,Ugz155ulCsI6rTV9VWJ4AaABAg.9AmOhyDP_E69BK5Tt-kcyG,0,"she may be cooking without electricity in her videos, but how do you think the cameras work and how does she edit and upload them to youtube which is blocked in china? not quite the romantic lifestyle you see to imagine.",她可能在视频中没有电力做饭，但是您如何看待相机工作，以及她如何编辑和上传它们到中国被阻止的YouTube？您可以想象到的浪漫生活方式。
8685,UgytbBlG8PDh6ax_RX94AaABAg,0,"wow!!!! what a more natural lifestyle .... impossible .... taking advantage of everything you have, wisely usufructing nature ... and the work and care that is seen in each of its movements ..... truly wonderful !!! they raise the category of goddess ... and by the way its beauty is the most beautiful thing one can imagine, i was speechless to describe it .... simply presents ...
ja, and here, we, among cheef masters and high -tech kitchens and books and recipe books .... among the voragines of light and overabundance, between the reflectors of the cameras and the flashes of fame ..... we do not self -prove to the category of cheef hight, because we cook some potatoes and some green in a soy sauce or some morondanga mejunje ...
that absolutely far we are from simplicity, humility and wisdom ....","哇！！！！多么自然的生活方式....不可能。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。他们提高了女神的类别……而且它的美丽是人们可以想象的最美丽的东西，我无语地描述了它。
JA，在这里，我们在Cheef Masters和高科技厨房，书籍和食谱书中。。。不是自我居住在cheef hight的类别中，因为我们在酱油或一些莫伦达加·梅朱杰（Morondanga Mejunje）中煮一些土豆和一些绿色...
我们与简单，谦卑和智慧绝对远。"
8410,Ugy9YUhj5FAfWG7B3Yl4AaABAg,0,canโ€t believe how they eat their food. all that slurping. love the lifestyle but the manners on eating is a little too much.,不敢相信他们如何吃食物。所有的湿透了。热爱生活方式，但饮食的举止有点太多了。
7349,UgzGNLuJdaGbO-TCdyx4AaABAg,0,i don't know and don't understand language.. don't know what's she cooking and eating .. but only reason i came to this channel for the green ness and the beauty of nature . i aslo love her lifestyle โค๏ธโค๏ธ,我不知道和不了解语言。.不知道她在做饭和吃什么。但是，我来到这个频道的绿色和自然之美的唯一原因。我爱她的生活方式❤️❤️
7050,Ugy6uUPMD1i_9wjQEV54AaABAg,0,i always like the way you cook and lifestyle,我总是喜欢你做饭和生活方式的方式
6108,UgxNbbDWAuewZPm9hg54AaABAg,0,they came up with very smartly)) just take off their usual lifestyle and all the veils of myilions subscribers,他们想出了非常聪明的）））只需脱离他们通常的生活方式和所有Myilions订阅者的面纱
5669,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9JeBjQgUlbL,0,"@tomrauhe you either kill plants or kill animals. you also kill millions of microorganism every minute. if you are vegan, then please respect others. it's your lifestyle, keep it to yourself.",@Tomrauhe您要么杀死植物，要么杀死动物。您还每分钟杀死数百万微生物。如果您是素食主义者，请尊重他人。这是您的生活方式，请保留自己。
5459,UgzMDr7nYlpsI652cIp4AaABAg,0,"as a city girl, now i pay attention to nature and rural lifestyle by watching your youtube. thanks and send love to you and your grandmother. bleak
being city girl, now i value nature and village โ€s life style by watching your you tube.","作为城市女孩，现在我通过观看您的Youtube来重视自然和乡村生活方式。感谢并向您和您的祖母发送爱意。 
Being city girl, now I value nature and village’s life style by watching your You Tube. Thanks and sending love to you and your grandma."
13024,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96YQGK8uJ3d,0,ya it kept healthy to our body fresh and simple cook same as our lifestyle we use to eat our own veg which we grow so......we are healthy,是的，它使我们的身体保持健康新鲜和简单的厨师，就像我们用来吃自己种植的蔬菜一样的生活方式，所以……我们很健康
13563,UgyhztwSD5lMgdyHaER4AaABAg,0,i love your lifestyle. can i come live with you,我爱你的生活方式。我可以和你一起生活吗
13874,UgzIGr93BTagnSGpe4N4AaABAg,0,"simple, easy, peaceful, and beautiful lifestyle",简单，简单，和平，美丽的生活方式
1336,UgxT_u02QknRQszhBiF4AaABAg,0,i really like your lifestyle.,我好喜欢妳们的生活方式 真是闭关好地方 愿真神爱妳们全家。
18938,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92bCic4OrwW,0,"but you are just living in a big city now. a small number of people have a quality life, and most of them still survive, so they are different from the different lifestyles that they choose. i am from the countryside and stayed in the big city for ten years. rural life.",但你在大城市现在也只是活着而已，小部分人是有品质的生活，大部分还是生存，所以都是各自选择的生活方式不同而已，我来自农村，在大城市呆了十年，我羡慕农村的生活。
18409,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92pgDnqZlYA,0,"my point stands. it's a lifestyle that few people can afford because they don't live in an area like that and to do so would require a great expense in purchasing land and tools. if she wasn't raised there and she wanted to live that lifestyle, then she would not have a grandmother to allow her to simply live there.",我的观点是。这种生活方式很少有人能负担得起，因为他们不住在这样的地区，并且需要在购买土地和工具上付出巨大的费用。如果她没有在那里长大，并且想过这种生活方式，那么她就不会有祖母让她简单地住在那里。
18407,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92d4tDgGeO5,0,"it's an arbitrary large number to reflect a lifestyle that the typical viewer cannot afford. she's living in china on a mountain with a river and enough land to grow and harvest all of those ingredients. she has a farm with enough field land to grow rice, prawns, corn, and uses oxen.",这是一个任意的大量数量，可以反映典型观众负担不起的生活方式。她住在中国，山上有一条河流和足够的土地，可以生长和收获所有这些成分。她有一个农场，有足够的田间土地，可以种植大米，虾，玉米和使用牛。
17922,UgxOQ7tbSxcDaMNvza94AaABAg,0,i think is one of most happy ladies. i like this lifestyle .,我认为是最快乐的女士之一。我喜欢这种生活方式。
17867,Ugz2_27GZeZRrLMcr1t4AaABAg,0,"while i don't think i could live this type of lifestyle, i am very grateful to have this channel to watch, learn from, and enjoy!",虽然我认为我无法过这种生活方式，但我很高兴能够观看，学习和享受这个频道！
17488,UgzYg9lV4WPYoS1mPOd4AaABAg.92jkWAaeg_e92tyXOkkWkY,0,yes it must be nice to be a billionaire in china by making fake lifestyle videos for western audiences who take it for real,是的，通过为西方观众制作虚假的生活方式视频，成为中国的亿万富翁一定很高兴
17053,UgxgFMq1q0DpYAHjisp4AaABAg,0,funny how capitalism has crushed most of this type of lifestyle in america. there is so much beauty in the simplicity of living like this. oh yeah!!...she just happens to be beautiful too.,有趣的是，资本主义如何压制美国大部分这种生活方式。像这样的生活的简单性如此之多。哦，是的！...她也恰好很漂亮。
16936,UgyguDZp7wEgdERiSs54AaABAg,0,crave. food and lifestyle.,渴望。食物和生活方式。
