,cid,votes,time,含peaceful,含peaceful中文翻译
835,Ugwz7Rx_qqQMC0GM1G14AaABAg,2,6 months ago,the video feels so peaceful,视频感觉很宁静
35859,UgzWwWzleAhhvPo5Ty14AaABAg,2,4 years ago,videos are very peaceful.. and mind blowingโบ๏ธ๐,视频非常和平..而且大脑吹拂☺️
9795,UgyNhPAbJEkTnl0rGtp4AaABAg,2,2 years ago,"so peaceful.....i'm really jealous 
what a beautiful life.","如此和平.....我真的很嫉妒
多么美好的生活。"
22461,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93dSshvGTE-,2,3 years ago,"@sourbitters glad to know it. it's an organic living style, providing high quality videos freely and in the same make money to support her and her family, producing more videos and helps make a peaceful world. i will watch the ads on her videos to the end to let her getting more sharing of ads proceeds.",@sourbitters很高兴知道。这是一种有机的生活方式，可以自由地提供高质量的视频，并以同样的赚钱来支持她和她的家人，制作更多的视频并帮助创造一个和平的世界。我将在她的视频中观看广告，以便让她获得更多的广告收益分享。
40371,UgzIlPRCNhMAosDO47l4AaABAg,2,4 years ago,so peaceful i envy your life❤❤❤,如此和平，我羡慕你的生活❤❤❤
21647,Ugw3xASut1jUTXaFI-N4AaABAg,1,3 years ago,"is this heaven.... i want to be your partner, i have lot of energy and stamina can work with you and lead a peaceful life...",这是天堂。。。我想成为你的伴侣，我有很多精力，耐力可以与您合作，过着和平的生活...
22755,Ugx90JyzIGG7a2FFMT54AaABAg,1,3 years ago,"i used to be in my heart,
there is a home,
it is quiet, peaceful, simple and beautiful.
but then i lost it,
trave all thousands of mountains and rivers,
i failed to find it.","曾经在我心中， 
有一个家园， 
它宁静、祥和、简单而美丽。 
但后来我失去了它， 
走遍千山万水， 
也未能找回它。"
25194,Ugz0U3Kok-EDUD5kEmB4AaABAg,1,3 years ago (edited),"this helps with my depression alot i am someone who loves nature and wants nothing more but to live the simple life. i'm stuck in a city with very few trees and forests. i haven't seen a full sky of stars in years or even a butterfly and deer for a long time. i work nonstop and married someone whom i love very much but dosen't appreciate nature or anything to do with simple living. he never wants to leave the city and live a simple life. so i watch these to help me feel like i'm at home and get to see forests, plants and a peaceful life. i can see lots of people feeling the same way wishing we all could go back to this way of liveing.",这有助于我的抑郁症，我是一个热爱自然的人，只想要过简单的生活。我被困在一个有很少的树木和森林的城市中。我已经好几年了，甚至很长一段时间都没有看到蝴蝶和鹿。我不停地工作，嫁给了一个我非常爱的人，但不喜欢自然或与简单生活有关的任何事情。他永远不想离开这座城市，过着简单的生活。因此，我看着这些，以帮助我感觉自己在家，看到森林，植物和宁静的生活。我可以看到很多人都有同样的方式，希望我们所有人都可以回到这种生活方式。
21096,UgxmURxAefkaPCXJhFp4AaABAg,1,3 years ago,love this peaceful life.,爱这个和平的生活。
21160,UgzzB-bIrHD5NLTIJBt4AaABAg,1,3 years ago,these videos of yours are so satisfying....i watch all your cooking skills...the freshness and the beauty of nature....i was suffering from sleep disorders but now i watch these videos and sleep peacefully....god knows why they make me feel so relaxed.....,您的这些视频是如此令人满意。...我看着您所有的烹饪技巧...自然的新鲜感和美丽。...我患有睡眠障碍，但现在我看了这些视频并安静地睡觉。上帝知道为什么他们让我感到如此放松.....
48051,UgzvfVJmbio-sxiLY8p4AaABAg,1,4 years ago (edited),"never get bored watch her videos. now i wish to live at countryside too 
soo peaceful","永远不要无聊观看她的视频。现在我也想住在乡村
SOO和平"
21173,Ugz9jEsL8Kk3exVVMa94AaABAg,1,3 years ago,"i admire you so much, my dream of living such a peaceful place",我非常佩服你，我的梦想是一个如此宁静的地方
43409,Ugyw_bXiguCq3CxAu6x4AaABAg,1,4 years ago,so peaceful ❤️,如此和平的❤️
22451,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN937FBu1iDB7,1,3 years ago,i am also aiming at the goal of a relaxed and peaceful life like her.,我还旨在像她这样的放松和和平生活的目标。
43468,Ugxuysrkik3uCk_wegV4AaABAg,1,4 years ago,omg..i wish i could live like you it seems so..peaceful and beautiful,天哪。我希望我能像你一样生活，看起来如此..和平而美丽
22330,Ugw5x23FlbT54TpAIfp4AaABAg,1,3 years ago,what if we all live like this? isn't it more peaceful? and more helpful for the planet earth and the animals will be friends to us :(,如果我们都这样生活怎么办？不是更和平吗？对地球和动物的帮助更有帮助，对我们来说是朋友:(
51074,UgwD-qFD_qQ6akA5DJN4AaABAg,1,4 years ago,your videos always gave me peaceful feeling. thank you for sharing with us. happy chinese new year.,您的视频总是给我和平的感觉。多谢与我们分享。农历新年快乐。
52932,UgwHTfgI2KDCfC3tHwV4AaABAg.8qlJWxRpsFj8qlQitV7SXO,1,4 years ago,"hello..i have been watching your videos from last year and each video is a masterpiece..i respect you,i love your channel..daily before going to bed i use to watch your videos so that i get a peaceful sleep..your videos had inspired me in many ways..as i am from india..i don't understand your language,so if you don't mind please add a subtitles in english...
can you or anyone translate her message in english..??","你好..我一直在看你去年的视频，每个视频都是杰作。我尊重你，我爱你的频道..每天睡觉前，我都用来观看你的视频，以便我宁静的睡眠。您的视频在许多方面都启发了我。
您或任何人都可以用英语翻译她的信息.. ??"
25252,Ugy_SMNoGqhbAgUx7354AaABAg,1,3 years ago,i cried after watching this video love all of ur videos and most of them i watched two or three times because they made me feel so peaceful and natural,我看这部视频喜欢所有的视频后哭了
30356,UgzEIJZLrCkCWN7FLd14AaABAg,1,3 years ago,what a peaceful living,多么宁静的生活
25366,UgwRz6BM4pGy6fstYnV4AaABAg.9-Qvi_qVYSB90X0UQPfmDA,1,3 years ago (edited),"i love my room but i wish everytime i stepped out of it instead of cars,nosy people and traffic it was this peaceful country life with nature and animals and my family only the supportive ones",我爱我的房间，但我希望每当我走出它时，而不是汽车，管辖人和交通，这就是这种宁静的乡村生活，自然与动物，我的家人只有支持者
35705,UgxWxvGAx-4Ti65FNkN4AaABAg,1,4 years ago,the candy and all snak were peacefully n ๐’•๐amazingly made.,糖果和所有的蛇都是和平地制作的。
33841,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49-g4e_vTnZd,1,3 years ago,kathaleen wood because it is . but we can never live like that for ever with out gods intervention. she does it because she lives in a very beautiful and peaceful place but no one guarantees that any place could stay that peaceful for ever only god is going to make that possible . he will give her and everyone of us a life with a future a forever future .,凯瑟琳·伍德是因为是。但是，我们永远无法像神的干预那样生活。她之所以这样做，是因为她住在一个非常美丽和宁静的地方，但没有人保证任何地方都能保持和平，只有上帝才能实现这一目标。他将为她和我们每个人的生活带来永远的未来。
34275,UgzwhqKgzBSjtDpTSdV4AaABAg,1,4 years ago,such a peaceful life..away from technology shit,如此和平的生活..远离技术
19368,UgyUkdyuBEo3FucqQBh4AaABAg,1,3 years ago,this channel i am very impressed with the rural scene is very peaceful,我对乡村场景印象深刻的频道非常和平
34508,Ugx0EwbNW8qK60YpZCt4AaABAg,1,4 years ago,how peaceful this place is !,这个地方有多和平！
40048,UgzeS6umUcOASE_6V1p4AaABAg,1,4 years ago,you make living a simple life look so damn good and peaceful,您使过一个简单的生活看起来如此该死的美好而宁静
35519,Ugx5bjoiJ8znp7q-BQN4AaABAg,1,4 years ago,this is a common life in china for a lot people if the 8 western countries did not evade china and had wars against. problems of post-colonization with materialism and capitalism. wish we could all go back and have some peaceful life.,如果8个西方国家没有逃避中国并反对战争，那么在很多人来说，这是中国的普遍生活。与唯物主义和资本主义有关后殖民化的问题。希望我们所有人都可以回去并过一些和平的生活。
35790,UgwT56OK8wi80wwJTQt4AaABAg,1,4 years ago,i became you fan. your videos are so beautiful and peaceful. โค๐,我成为你的粉丝。您的视频是如此美丽和和平。 ❤
25518,Ugyee6ZEWsl9eISxssx4AaABAg,1,3 years ago,ummmm i wanna be in that safe loving place with the peaceful music and good food and good vibes ๐ญ๐ธ๐โ๏ธ๐ฑ๐๐ฅ๐ญ๐ฅฎ๐ง,嗯，我想和宁静的音乐，美好的食物和美好的共鸣
36553,UgzGFiCWclJJ6Nh1ei54AaABAg,1,4 years ago,"where u come from. 
i dont know what r u doing 
n wht is ur language but watching u is peaceful dear. 
love u sister","你来自哪里。
我不知道你在做什么
n是你的语言，但看着你是和平的亲爱的。
爱你姐姐"
37451,Ugx_gHs6-axbG-79wgJ4AaABAg,1,4 years ago,"whereโ€s she live? paradise ? itโ€s such a wonderful ,peaceful in the world that i havenโ€t seen this before. and you are so strong and hardworking and beautiful . im a fan from thailand.",她住在哪里？天堂？在世界上，这是一个很棒，和平的，我以前从未见过。而且您是如此坚强，勤奋和美丽。我是泰国的粉丝。
37498,UgxGX4fnrinmft1RG_x4AaABAg,1,4 years ago,how peaceful life!i wann live in such kind of place.,有多和平的生活！我蒙受着这样的地方。
38520,UgyAP2SL1FwjgXSJyWV4AaABAg,1,4 years ago,"i want to live with her,,,everything looks peaceful the food looks good and life would be great!!",我想和她一起生活，一切看起来和平，食物看起来不错，生活会很棒！
38546,UgySOR4dvdfi9CvW7nJ4AaABAg,1,4 years ago,wow i wanna live in a countryside ๐ such a happy peaceful life.,哇，我想住在一个乡村
38722,UgzJDEbL5BXsiAgZoZd4AaABAg,1,4 years ago,if only us americans could live this peaceful. even in the country there's still modern technology frustrating us. this is so zen all day long. โ๐‘๐‘,如果只有美国美国人能够过这种和平。即使在该国，仍然有现代技术使我们沮丧。整天都如此。 ✌
33715,UgyNWggRpv9bc_1838B4AaABAg,1,4 years ago,wow i like the atmosphere!! the way of living is very nice and peaceful! ๐๐๐,哇，我喜欢气氛！生活方式非常友善和和平！
33557,Ugxc-bPT7NxqdtV3T8Z4AaABAg,1,4 years ago,"the only thing keeping me from intense envy is the peaceful realization that a lot of time went into making this video. nobody's life is that perfect 24-7. still magnificent to watch, though. thank you for sharing this jewel with the world.",让我不受激烈嫉妒的唯一一件事是和平意识到制作这部视频花了很多时间。没有人的生活就是那个完美的24-7。不过，仍然很宏伟。感谢您与世界分享这款珠宝。
32797,UgyOLfLZx6EHc4dN6Jp4AaABAg,1,4 years ago,very nice n peaceful video ๐๐๐๐€๐๐๐๐๐€๐ฒ๐ณ๐ฑ๐ฟโ๐พ,非常好的n和平视频
32045,UgwNE1MCgF8UfZ5gHXd4AaABAg,1,4 years ago (edited),"i think this is the kind of life that everyone yearns for deep down.

its so simple, but u would feel a great sense of acomplishment after the days done, ur surrounded by ppl who are present and engaged, ud be going on adventures everyday and ur waking with the sun and sleeping with the stars, as it should be.

not to mention how healthy this all is, physically and mentally.

gosh what a peaceful way of living. obviously it would get tyring at times, but man would it be worth it.","我认为这是每个人都渴望深处的生活。

它是如此的简单，但是您会在完成的日子后感觉到一种很大的兴趣感，被PPL包围着，他们每天都在冒险，并与阳光醒来并与星星一起睡觉，因为应该是。

更不用说这一切在身体和精神上有多健康。

天哪，这是一种和平的生活方式。显然，这有时会变得更加倾向，但是人是值得的。"
31834,UgxmqtcTdb-XpsSYWp94AaABAg,1,4 years ago,very peaceful,非常和平
31493,Ugw_7ndNQWkoRdRwS7t4AaABAg,1,4 years ago,"watching these videos is like a therapy for the mind. i'm so stressed out, but feel so peaceful. bg music, the colours, everything. so close to nature. this is how it should be. peaceful. loving each other, the nature and animals. in harmony :) efforts are there behind each video. great..",观看这些视频就像是一种心灵的疗法。我很紧张，但感到很安静。 BG音乐，颜色，一切。如此接近自然。这就是应该的。平静的。彼此相爱，大自然和动物。和谐:)每个视频背后都有努力。伟大的..
40706,UgyA-tQSS6sT-Ng-JRZ4AaABAg,1,4 years ago,every time i watch her videos just make me imagine i can live in such a beautiful place like hers.. so peaceful ❤️,每当我看她的视频时，都会让我想象我可以住在像她这样美丽的地方。
41517,UgyxLHSN04Bo4o_Uo6x4AaABAg,1,4 years ago (edited),i love the peaceful and beautiful views in this video . i love the nature itself . i always dream to live at place like that . please do more video like this,我喜欢这部影片中宁静而美丽的景色。我爱大自然本身。我总是梦想着这样的地方。请做更多这样的视频
30872,UgyLxCumYS8iWMLds5Z4AaABAg,1,3 years ago,i want to live a life as peaceful as this,我想过上这样和平的生活
29400,Ugy_eR1lgqg4cf0eXmF4AaABAg,1,3 years ago,most peaceful life i've ever seen,我见过的最和平的生活
28706,UgyXPT5KjE-n1XQA60N4AaABAg,1,3 years ago,watching her video makes my soul lighter and peaceful. i loved ..<3,观看她的视频使我的灵魂更加轻松和宁静。我爱.. <3
27817,Ugzbz1z94LELNEYpQXV4AaABAg,1,3 years ago,this is so peaceful,这是如此和平
27691,UgzV_xmsifTLNr08iit4AaABAg,1,3 years ago,the place where you live looks peaceful ... i really like,你住的地方看起来很宁静...我真的很喜欢
27271,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92FBpT7jEGk,1,3 years ago,"it is true. i am chinese, i just watch her tv today and read her news on chinese news website. she is so real, she did made money for the videos in china, but she care more about the peaceful life with her grandma. (there is a story about she stopped posting the videos because her grandmaโ€ little concern) i need start to clean my house now. i have vacuum, dishwasher and use kitchen aid stoves and oven and range hood either, but compared with her house, mine is like animal cave. ๏ผ ็—็ช๏ผ",是真的。我是中国人，我今天只是看她的电视，然后在中国新闻网站上阅读她的新闻。她是如此真实，她确实为中国的视频赚钱，但她更关心与奶奶的和平生活。 （有一个关于她不再担心的，她停止发布视频的故事）我现在需要开始清理我的房子。我有吸尘器，洗碗机，并使用厨房援助炉，烤箱和套头衫，但是与她的房子相比，我的房子就像动物洞穴一样。 （（）
41942,UgyCY-WEQVubveEkaUB4AaABAg,1,4 years ago,"my goodness !!
what a rich culture !!! 
so peaceful and pleasant .
i just loved it . 
i would love to live such a life .","我的天啊 ！！
多么丰富的文化！！！
如此和平与愉快。
我只是喜欢它。
我很想过上这样的生活。"
26439,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy97z2WqiyRoA,1,3 years ago,"good job, friend. keep fighting and working hard. i hope you live a happy and peaceful life.
seeing all these positive replies brought me so much happiness :)","好，朋友。继续战斗和努力。希望您过上幸福快乐的生活。
看到所有这些积极的答复给我带来了很多幸福:)"
26224,UgzajsTEzAVrFaHnSt94AaABAg,1,3 years ago,"very calming and peaceful to watch,",非常平静和宁静，观看，
8,Ugz-VmbBay0bnHR4yWF4AaABAg,1,1 day ago,peaceful...,平静的...
53093,Ugyf1rwrIlIYi5kwnqp4AaABAg,1,4 years ago,peaceful,安安
3693,UgySsu5dCQUTgoTxf7R4AaABAg,1,1 year ago,peaceful area..the most is here,和平地区..最多在这里
16221,UgzvwEp9oVZJ5giUjuZ4AaABAg,1,3 years ago,"awesome,what a peaceful life",太棒了，多么宁静的生活
17553,Ugx5fwd1Lx343nwlqO94AaABAg,1,3 years ago,looks peaceful,看起来和平
12059,UgzUQiRfalSMHAk6GbN4AaABAg.9DjjoaJ4Xdn9F4247cakRU,1,2 years ago,"yes!!

imagine if we all live such peaceful lives!!
and maybe rely on nature!
its would be so pretty, not really easy, but calm and happy","是的！！

想象一下，如果我们都过上如此和平的生活！！
也许依靠大自然！
它是如此漂亮，并不是很容易，但是平静而快乐"
4769,UgzaPa1001SjSe3IG6d4AaABAg,1,1 year ago,how peaceful this is,这是多么和平的
17110,Ugx2Aqsy5qjxLC1EAUZ4AaABAg,1,3 years ago,she 's like girl from fairy tale..living at decent beauty place and live happy and peacefully,她喜欢童话中的女孩。
7130,UgzYm57znoY5acTxOmJ4AaABAg,1,2 years ago,it's very peaceful,这是非常和平的
17060,Ugx2-jcOkMD57ng7k7Z4AaABAg,1,3 years ago,peaceful,平静的
6822,UgwRxS8T9r2HmLTmWcd4AaABAg,1,2 years ago,your videos make me love nature more...so peaceful and satisfying...,您的视频使我更加爱大自然...如此宁静和令人满意...
7544,Ugx1KahwDL_HP9_jAg54AaABAg,1,2 years ago,i feel peacefully while watching this video,看这部影片时，我感到和平
6343,UgwH0fzfKDx0P-MjgOB4AaABAg,1,2 years ago,"something wrong with those who dislike this kind of video!! i can't understand why!!?? 
i love allllll the videos she makes...so peaceful and inspiring!! thank you for making them! ignore all haters....they are from lower realms!","那些不喜欢这种视频的人出了问题！！我不明白为什么！
我喜欢Allllll她制作的视频...如此宁静和鼓舞人心！谢谢您制作它们！忽略所有仇恨者。...他们来自下层领域！"
15064,Ugwwx2ZDpKiwEWTVUwJ4AaABAg,1,3 years ago,the best and peaceful life.,最好和和平的生活。
2404,UgxoPAIbKrwmj4X93H54AaABAg,1,1 year ago,so peaceful !!,很平静 ！！
14396,UgyebiSzSRzWTRoGhgN4AaABAg,1,2 years ago,"just found this channel. then, i really gain peacefulness. this content cool off my mind and soul. thank you",刚刚找到了这个频道。然后，我真的得到了和平。这个内容使我的思想和灵魂凉爽。谢谢
5836,Ugy1nBFREz_YBmiOYC54AaABAg,1,2 years ago,"i feel like this is how mankind should be. not this modernized, stressful world. where we already have everything planed out, school, college, work, marriage, retirement. in this society where everything runs in a system.

i fell like this is how we're supposed to be. working hard everyday, taking what we need from nature and preserving it. this is how it should be,not this crime filled world, where everyone just hates each other. it should us just spending our whole day fulfilling the basic necessities, but enjoying how peaceful it is. it's probably a lot harder than it seems. but it's seems much better than what we are living in now.","我觉得这就是人类应该的样子。不是这个现代化的，压力很大的世界。在我们已经计划的一切，学校，大学，工作，婚姻，退休的地方。在这个社会中，一切都在系统中运行。

我像这样跌倒了。每天努力工作，从大自然中获得我们需要的东西并保存它。这就是应该的方式，而不是这个充满犯罪的世界，每个人都彼此讨厌。它应该花一整天的时间来满足基本必需品，但要享受它的和平。这可能比看起来要困难得多。但这似乎比我们现在所居住的东西要好得多。"
14968,UgwtSRxngECjx9i_tXh4AaABAg,1,2 years ago,"you are so good at cooking, creative, neat and clean... you live so peaceful in that place with nature around. i love it",您是如此擅长烹饪，富有创造力，整洁和清洁...您在那个地方生活如此宁静。我喜欢它
17820,Ugw6UFx9nM8VzzCYp2V4AaABAg,1,3 years ago,"wow i really love the music that's being played on this video it just feels so peaceful and loving, this music makes me want to open up to the world more has me thanking the universe",哇，我真的很喜欢这个视频中正在播放的音乐，感觉如此和平与爱心，这种音乐使我想更多地向世界开放，这让我感谢宇宙
17138,UgxI6uwYQj3fVCakdNR4AaABAg,1,3 years ago,feels like i am watching eternal love drama. everything looks so beautiful. the food looks yummy. i just love the music. it's so peaceful.,感觉就像我在看永恒的爱情戏。一切看起来都很漂亮。食物看起来很好吃。我只是喜欢音乐。这是如此和平。
14749,UgzAh4JqVcEo9-l5rel4AaABAg,1,2 years ago,this fuck is the most peaceful comment area i have ever seen !!,这他妈是我见过最和平的评论区!!
7975,Ugw1w9Pub7leppuTkt14AaABAg,1,2 years ago,the scenery is too peaceful 平,风景太和平了
12735,UgyhR3mSSzpyOiFHC_J4AaABAg,1,2 years ago,"good life, good food , good healthy , so nature, like in heaven , peacefully...i love it",美好的生活，美味的食物，健康，所以自然，就像天堂一样，和平...我喜欢它
18457,UgxjCF28mlZkUZAOkqR4AaABAg,1,3 years ago,she always makes me feel peaceful,她总是让我感到和平
18438,Ugx7_jw_xk8i7kSIBC54AaABAg,1,3 years ago,"this is just amazing. ma sha allah... so peaceful, relaxing and calming to watch. ❤️❤️",这真是太神奇了。马沙·阿拉（Ma Sha Allah）...如此宁静，放松和平静。 ❤️❤️
12961,UgzLbSvINghbFquoRVR4AaABAg,1,2 years ago,"love you liziqi....
a very big fan from kerala , india....
a peaceful mind.....","爱你liziqi ....
来自印度喀拉拉邦的非常忠实的粉丝。
和平的头脑....."
3660,Ugw6X32gqbIBnya_TYt4AaABAg,1,1 year ago,video music is so peaceful :),视频音乐是如此宁静:)
3553,Ugxz6lsf14gNIXc9yf94AaABAg,1,1 year ago,peaceful,和平
4341,UgyYC5t33br_XRzFlnR4AaABAg,1,1 year ago,peacefull world always give happiness and it also give a creative idea,和平世界总是给予幸福，这也给了一个创意的想法
876,Ugw6Vbi_iOxZ9CORU_R4AaABAg,1,6 months ago,so relaxing and peaceful,如此放松和和平
3744,UgzYUhku5ira1ue2C9x4AaABAg,1,1 year ago,"it was wonderful, i could watch many of your videos but not bored, feeling my soul was relaxed. how peaceful this life is.",真是太好了，我可以观看您的许多视频，但并不感到无聊，感到我的灵魂很放松。这一生有多和平。
12405,Ugxpwk7vZZDA0EbnL6V4AaABAg,1,2 years ago,"i am inspired by your love for nature. how you look within to find joy and peace. i am glad to stumble across such beautiful, peaceful video. thank you sister, and much blessings to you.",我受到您对自然的热爱的启发。您如何看待内心寻找快乐与和平。我很高兴偶然发现如此美丽，和平的视频。谢谢姐姐，祝福你。
502,UgyeIH1tKTvQXpqwKz54AaABAg,1,4 months ago,peacefully ☺️,和平地☺️
8642,UgxDDV0YHO1yjucqOkB4AaABAg,1,2 years ago,"i too want to join this world. 
it's too peaceful","我也想加入这个世界。
太平了"
38972,UgwHKjfAAmGKO1MULZ94AaABAg,0,4 years ago (edited),"this is so peaceful to watch. and the food must be delicious.i would like to live a life like that, without all the anxiety, the streets full of trash, the danger and the suffer, the gas smell, the killing,the money awareness, i just want to live a life that i will enjoy and make my soul calm and happy.",这真是太平了。食物必须很美味。我想过这样的生活，而没有所有的焦虑，街道上充满垃圾，危险和受苦的街道，气味，杀人，杀人，金钱意识，我只想生活我会享受的生活，使我的灵魂平静而快乐。
39021,UgyFDPJ_RfsrsBLjFEt4AaABAg,0,4 years ago,nice video so peaceful,不错的视频如此和平
5298,UgxC3scPq3ks6I5J8zt4AaABAg,0,1 year ago,"what a beautiful woman she is damn, may she always be healthy and happy and peaceful",她该死的多么美丽的女人，愿她永远健康，快乐与和平
38852,UgwjZFzVwUOT7m4HCMZ4AaABAg,0,4 years ago,no music is better! it's so much more peaceful!,没有音乐更好！这是更加和平的！
39103,Ugz9piOGZmmRZcHLX0l4AaABAg,0,4 years ago (edited),"this is by far the best 10 minutes i have ever spent on youtube ,lovely , calmfull and peacefull music .i am amazed with the way most recepies are done here but regarding the way the popcorn is made ..waaw ,never seen anything like it ... what is the name of the baric chamber where you pour the corn pips in ? anyone ?",这是我在YouTube上度过的最好的10分钟，可爱，冷静和和平的音乐。我对大多数回收的方式感到惊讶，但是关于爆米花的制作方式。.Waaw，从未见过这样的东西...倒入玉米的Baric室的名字是什么？任何人 ？
5617,Ugz6r4MBLrFQrgzFWQ54AaABAg,0,2 years ago,"you know, when i watch these videos, i wish we were all immortal, no diseases, no crime, all happy, no human trafficking or slavery, no death, forever young, no problems - and humans can do whatever they want, pursue their passion, learn, improve and hone their skills, live peacefully in the mountains, grow vegetables, build a house, maybe a few league games, and there'd be no need for doctors or police. a perfect society. even without immortality, i'd be satisfied as long as people don't die before 80.",您知道，当我观看这些视频时，我希望我们都是不朽的，没有疾病，没有犯罪，所有幸福，没有人口贩运或奴隶制，没有死亡，永远年轻，没有问题 - 人类可以做任何他们想做的事，追求他们激情，学习，提高和磨练自己的技能，在山上和平生活，种植蔬菜，建造房屋，也许是几场联赛比赛，并且不需要医生或警察。一个完美的社会。即使没有永生，只要人们在80岁之前不死，我也会满意。
38763,UgzpX-xVvvtNh6Xmf814AaABAg,0,4 years ago,such a peaceful life.,如此和平的生活。
39203,UgybMsCYjctJ3NlCbBl4AaABAg,0,4 years ago,"amazing, beautiful, peaceful",惊人，美丽，和平
39285,UgyiiesMXHZkQLuj1QN4AaABAg,0,4 years ago,it looks so peacefull and relaxing there...,它看起来如此宁静，在那里放松...
5438,UgxdmpJUj7sLQ81ZEjd4AaABAg,0,1 year ago,so peaceful,如此和平
40517,UgzwjMhgj4jdT0dkNdV4AaABAg,0,4 years ago,"it's beautifully peaceful. the environment, cooking. dreamy...",它是美丽的和平。环境，烹饪。梦幻...
39563,Ugy5ztREl8L_FM48cAN4AaABAg,0,4 years ago,the peaceful and comfortable little day is cute everywhere.,平静舒坦的小日子呐，朴素中又处处可爱。
5195,UgyQpq2IFvO0et7xwVV4AaABAg,0,1 year ago,life but also peaceful like this is fun,生活，但像这样的和平很有趣
4742,Ugwwc2nBnjxLVG6OlY94AaABAg,0,1 year ago,so peaceful place ever,如此和平的地方
39853,Ugzw5oSPUQODWa9yaol4AaABAg,0,4 years ago,so peacefull when i am whatching her video,当我把她的视频吸引时，太平了
39932,UgxczcR9lgAfHMmtouB4AaABAg,0,4 years ago,"hello dear,,,where is the place?? its so peaceful and beautiful...love u so much...plz share the location...",你好，亲爱的，，这个地方在哪里？它是如此的和平与美丽...非常爱你... PLZ共享位置...
40026,UgylLlO0cvA65_o81Px4AaABAg,0,4 years ago,"i still watch the video of ziyi when i come out of the wall, which makes people feel very peaceful",翻墙出来还是看子柒的视频，让人心境很平和
40547,UgzflwaFcnO4nxzquLN4AaABAg,0,4 years ago,how much luck they have granted a peaceful life to the gin of the hand,他们给手杜松子酒带来了多少运气
38748,UgwdHhV-Hb6p2AAJtGF4AaABAg,0,4 years ago,it is peaceful and peaceful.๐,这是和平与和平的。
40141,UgwRNq8Tja0Ee_mrgcx4AaABAg,0,4 years ago,i fell in love with this channel i mean specially her. i always imagine life like this somewhere in china or japan but i am in southeast asia. always feel peaceful thinking and see how great old generation live without modernization still happy and comfortable and have everything they need. i hope someday when technology reach its peak we will be back in old generation again but this time more traditional modern way. balance between real life and tech. i will supprt this channel watch her videos and also the ads,我爱上了这个频道，我的意思是特别是她。我总是想像中国或日本某个地方这样的生活，但我在东南亚。始终感到和平思考，看看没有现代化的伟大的老一代仍然幸福而舒适，并拥有他们需要的一切。我希望有一天，当技术达到顶峰时，我们将再次回到老一代，但是这次更传统的现代方式。现实生活与技术之间的平衡。我会建议您观看她的视频和广告
40163,UgzfPRywKjnyz98qeZx4AaABAg,0,4 years ago,they're life seems simple yet peaceful been watching their videos i love it,他们的生活似乎很简单，但是和平看着他们的视频，我喜欢它
4578,Ugzdlqd2X-jwtt68GoZ4AaABAg,0,1 year ago (edited),i used to watch with someone. rmb this relaxing sound and peaceful view,我曾经和某人一起看。 rmb这种轻松的声音和和​​平的景色
40224,UgxrA8U9akRcblODKN14AaABAg,0,4 years ago,her life seems productive and peaceful.,她的生活似乎富有成效与和平。
40261,UgyD8qgeBxwys-qyj054AaABAg,0,4 years ago,this simple and peaceful life & this pretty girl doesn't know where ??,这种简单，和平的生活和这个漂亮的女孩不知道在哪里？
40524,Ugwvh0NRsr2Rv_odwdd4AaABAg,0,4 years ago,that's so peaceful.,那太和平了。
39843,Ugzl_j1FI-RF5D_GVQl4AaABAg,0,4 years ago,i have d feeling dat she may be having d most peaceful life in d world.....i hope so too.....awsome video....๐๐๐๐,我觉得她可能会在世界上过着最和平的生活.....我也希望.....太棒了。
18632,UgxGvLR_AC5sfKQfB6V4AaABAg,0,3 years ago,why would any sane person dislike her videos!!!??? she is an amazing peaceful person !,为什么任何理智的人都不喜欢她的视频！她是一个了不起的和平的人！
5796,UgzY6KK_ewzt5VqV0OZ4AaABAg,0,2 years ago,u have a peaceful life and sweet u will having fun with grandma and grandpa,你有一个和平的生活，甜蜜的你会和奶奶和爷爷
36915,UgxIjurTDerbv1Cz07l4AaABAg,0,4 years ago,i really like to see this girl .. she's very good .. the countryside is very peaceful,我真的很喜欢看到这个女孩..她很好..乡村很宁静
7453,UgwkJWWDx4BQ9x0wWUt4AaABAg,0,2 years ago,"when you make a magnificent village life, there is everything abundance natural all villages, no matter which country is just body strength and work after working peaceful sleep",当您过着宏伟的乡村生活时，所有村庄都有丰富的自然自然，无论哪个国家都只是身体力量和工作，在宁静的睡眠后工作
36750,UgyI7JvH-Zd6OGDiLLZ4AaABAg,0,4 years ago,this feels like it should be in a ghibli movie sksjskjs that seems like such a nice peaceful life,感觉应该是在吉卜力电影中
36630,UgzvMG9fxvH-FWW2hmB4AaABAg,0,4 years ago,"i live in a city where you can't have a normal peaceful day and i always wanted to live like her, hard work, peace, little house, happyness",我住在一个您不能过着正常和平的一天的城市，我一直想像她一样生活，辛勤工作，和平，小房子，快乐
