,cid,votes,含bamboo,含bamboo中文翻译
27299,UgwZVsNSbd8zDCMC3nV4AaABAg,2,in indonesia that's calling bamboo shoots,在印度尼西亚，正在称竹芽
34641,Ugxzy6MAl-butT40_ix4AaABAg.8yUTUIyLaPC8yUUpQL-KpG,1,"yes, indonesia is also the name of bamboo shoots",是的，印度尼西亚也是竹芽的名称
25835,UgyciucJucE0H4pXOJ14AaABAg,1,please don't cut bamboo ☹️,请不要切竹☹️
9569,UgzwN0e4ew_3f838jTZ4AaABAg,1,"it's too good, and when she took out the sour bamboo shoots and the pickled bean drum from the tank, i seemed to think of that taste, and the root of the teeth was soft.",太牛了，她从缸里拿出酸笋和腌豆鼓的一瞬间我就好像想起了那个味儿似的，突然牙根酸软
1086,Ugw2z5X-ZTM8FkmM_AV4AaABAg,1,爱! i like to eat bamboo shoots the most!,柒爱的！我最喜欢吃竹笋了！
15885,UgzYcVemUaBiwVdObT94AaABAg,1,small bamboo,小竹
8930,UgwSBXhFIp-XzCSWP254AaABAg,1,"there are snails, fungus, sour bamboo shoots, sour beans, and a bowl of snail powder with good soul",有螺蛳，有木耳，有酸笋，有酸豆角，不错 很有灵魂的一碗螺蛳粉
9384,UgziaP6-EcntwPfMTFd4AaABAg,1,๐ง๐ทname bamboo they do not forgive!,他们不原谅的竹子！
30685,UgxPSsxq0IKGefbXq-Z4AaABAg,1,"if everyone starts harvesting and cooking bamboo shoots in the quantity you are doing, there will be no bamboo left.

irresponsible way of harvesting things.

kindly promote living in sync with nature and growing your own food.","如果每个人都开始以您所做的数量收获和烹饪竹芽，那将不剩下竹子。

不负责任的收获方式。

请促进与自然同步的生活并种植自己的食物。"
9238,UgwTwk8gxrb3kKRydlN4AaABAg,1,is this sour bamboo shoot the main source of the smell in the snail lion powder?,这个酸笋是不是就是螺狮粉里臭味的主要来源？
30629,UgxGOimLQx4hSU_RHeZ4AaABAg,1,that looks really good makes me want to cook bamboo for supper but i have to wait another 6 months before the bamboo starts to shoot.,看起来真的很好，我想煮竹子吃晚饭，但是我必须再等6个月才能开始射击。
968,UgzbxAnm2XdZTg9TdG14AaABAg,1,organic timber bamboo shoots are huge...,有机木竹芽很大...
9464,UgwVthmqOSHZqtB5m314AaABAg,1,"wow you are very great and amazing, you can make very delicious food, you eat with your parents, in my place young bamboo is called rebung, on the second day you also make food that is no less delicious and you serve it to your parents, me really really like your video, greetings from indonesia, i like 477, i pray that your mother is always healthy",哇，你很棒和很棒，你可以做非常美味的食物，你和父母一起吃饭，在我的家中，年轻的竹子叫雷恩，第二天你也做的食物也很美味，我真的很喜欢你的视频，印度尼西亚的问候，我喜欢477，我祈祷你的母亲总是健康的
16027,UgzxG5v1u7YW4Uu3iBt4AaABAg,1,"i absolutely love bamboo shoot♥️

from assam, india","我绝对喜欢竹芽♥️

来自印度阿萨姆邦"
9339,Ugym3XE_2NHGA2IJWw94AaABAg,1,"i started wondering... perhaps she was born from a bamboo, maybe the princess kaguya is real. (i know the tale of the princess kaguya is japanese, it's just that this girl is like a princess)",我开始想知道...也许她是从竹子出生的，也许是Kaguya公主是真实的。 （我知道Kaguya公主的故事是日语，只是这个女孩就像公主）
9343,UgynZQSZTEXRkRB-L8l4AaABAg,1,"what a bamboo shoot is big, bamboo shoots look delicious",竹芽是大的，竹芽看起来很美味
1114,UgwjnqzJMjkokabqW9N4AaABAg,1,i love to see this chinese do things on youtube makes bamboo sofa makes food congratulations i'm your fan number one,我喜欢看到这个中国人在YouTube上做的事情使竹沙发做饭祝贺我是您的粉丝第一
30825,UgwfsrdC1H-wFFD2I194AaABAg,1,the asian bamboo are way bigger than the one in the usa,亚洲竹子比美国的竹子大
16176,UgxzimcwLm6t9bV7X_V4AaABAg,1,"it turns out that the bamboo shoots are really tip of the mouth, thick abdomen and hollow",原来笋子真是嘴尖皮厚腹中空啊
8041,UgwtMn7V7r9HgcMrUTl4AaABAg,1,"this bamboo called ""tama "" and it is very tasty with rice ๐๐",这个叫做“ tama”的竹子非常好吃米
25117,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zGGaiyjCAb,1,omg pork with fermented bamboo right!? i hav tried it n i love it!!,天哪，猪肉用发酵竹对右！？我尝试过，我喜欢它！
17177,UgxqhuRlwIKxW8rVUg54AaABAg,1,"the bamboo shoots are very heavy, and she could pick them up like nothing.",竹芽非常沉重，她可以一无所获。
25118,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zHQtBGRS1S,1,"in vietnam, bamboo shoot stew with pork is amazing too",在越南，用猪肉炖竹子也很棒
25119,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zIJZY3Y5pc,1,"mixture of smoke pork bamboo shoot n a lil fermented beans...
feels heaven","烟猪竹子的混合物n lil发酵豆...
感觉到天堂"
31358,Ugxah8Tad8id3Qx5qet4AaABAg,1,bamboo shoots are so big. 55 i like it.,竹芽是如此大。55我喜欢它。
31327,Ugx-ksj0X9DZhqo_BYZ4AaABAg,1,my favourite bamboo shoot,我最喜欢的竹芽
31308,Ugz_ReKVKfPJGD3GQ7Z4AaABAg,1,"as soon as the fake shot, the bamboo shoots were too heavy to move the lens",拍的假的一逼，笋太重了背不动就转移了镜头
7752,UgydnFMzNzUPwpGEKaV4AaABAg,1,i ate this sweet bamboo soot ...it's common in our area. ....but not like the way she cooked. ..,我吃了这个甜竹烟灰...在我们地区很常见。 ....但不喜欢她烹饪的方式。 ..
31179,Ugy3AjXDJOM5_Yxy7z94AaABAg,1,how she carry that heavy bamboo shooooooot wooooow she's wonder woman or wife of superman (lol),她如何携带那个沉重的竹子shoooooot wooooow，她是《神奇女侠》或《超人的妻子》（大声笑）
1341,UgwzPqmoegQUMBr3e954AaABAg.9_rL2RqxKRm9_sr_q_e7PP,1,you mean at the beginning of the video? those are bamboo shoots. i haven't tried hearts of palm though so i can't compare.,您的意思是在视频开始时？那是竹芽。我没有尝试过手掌的心，所以我无法比较。
7883,UgzASp4tdZje4V_ygth4AaABAg,1,in my area it is called bamboo shoots,在我所在的地区被称为竹芽
7912,Ugz48DDXghQ6pIVA17V4AaABAg,1,this small bamboo used as a food is banded in india,这个用作食物的小竹子在印度带
25395,UgwaxD2G66wPzIwDmWB4AaABAg,1,i like bamboo from indonesia,我喜欢印度尼西亚的竹子
25438,Ugwik4fhPtXoNqtWVER4AaABAg,1,"oh, looking at the bamboo forest. i wish i could be there once",哦，看着竹林。我希望我可以在那里
1190,UgzeTLxLLBRfCuqWSKl4AaABAg,1,"unfortunately in indonesia, especially central java, the community damaged the bamboo habitat for abrasion and riverbanks.",不幸的是，在印度尼西亚，尤其是爪哇中部，社区损害了竹栖息地进行磨损和河岸。
19478,UgzhO6ffDDI-3tec5O54AaABAg,1,bamboo shoot. harvest moon ps 1,笋。收获月亮PS 1
30986,UgwGX1sHl7MMpdVWlXx4AaABAg.8yVP9dkn4lF8yVgqiDM59b,1,"@suilongchan3557 is not so smelly, the packaging sells is indeed more flavorful ... but guangxi people should be immune, sour bamboo shoots from snacks",@suilongchan3557 店里面的并没有那么臭，包装卖的确实更有味道一点……不过广西人应该都免疫了吧，酸笋从小吃到大的
25568,UgxxP9xKQwAshEJ4HvR4AaABAg,1,this is very very deelicious! intersection intersection intersection intersection i'm eating right now! intersection intersection my love is really my love! intersection sour bamboo shoots are so delicious!,This is very very very delicious！！！！！I'm eating right now！！！螺蛳粉真的我的挚爱！！酸笋超好吃！
30830,UgzqEgJcid6Z_Gjozqh4AaABAg.8yVRepcljpl8yWfmB4tyXi,1,in tripura also its best food bamboo shot now its the seoson and we get alott,在Tripura中，也是它最好的食物竹子，现在是Seoson，我们得到了Alott
30828,UgzqEgJcid6Z_Gjozqh4AaABAg.8yVRepcljpl8yW2GzOXCmk,1,i have never had bamboo shoots. someday i will come to nagaland and have it. love and peace from telangana.,我从来没有竹枪。总有一天，我会来纳加兰并拥有它。 Telangana的爱与和平。
8399,UgwyOdnLn7HW10hE-i94AaABAg,1,"in indonesia, we called bamboo shoots",在印度尼西亚，我们称竹芽
8445,Ugz8z8pIKQZUy9atLL14AaABAg,1,this name bamboo shoots in indonesia,这个名字在印度尼西亚拍摄
8485,UgxysHEoI1hBIa42P-F4AaABAg,1,"we indonesians, especially in kalimantan, call it bamboo shoots",我们的印尼人，尤其是在卡利曼丹人
8495,UgzgnAb3ZmM2VT9Kcw14AaABAg,1,we also have this bambooshot as a vegetable๐it is really my grandma used to go and search this๐ค—,我们也有这个竹子booshot作为蔬菜
16293,UgzGo8lfYU11R34rFF54AaABAg.92wzyoDy2Ws936vFy8lufM,1,hell where the kill the bamboo and boil some snails. hear people screaming.,地狱杀死竹子，煮一些蜗牛。听到人们尖叫。
30768,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yX4X5ziLTF,1,bamboo is everywhere and pandas don't like this breed of bamboo but the truth is pandas not to far from where she lives.,竹子无处不在，大熊猫不喜欢这种竹子，但事实是熊猫离她所居住的地方不远。
8554,Ugw_H1gD5o2izlaS4dR4AaABAg,1,this is the name of a bamboo shoot if in indonesia,如果在印度尼西亚
8571,UgwaV-7drv24zLWVCL14AaABAg,1,bamboo forest bamboo culture chinese national treasure edible available for tree environmental protection health https://youtu.be/pbzwtezd6vu,竹林 竹文化 中国国宝 可食可用 节省树木 环保健康https://youtu.be/pBzWTEZD6VU
9578,Ugzrwj1jTOYVHGYLWQV4AaABAg,1,my favourite foods bamboo and snail,我最喜欢的食物竹子和蜗牛
33734,UgyaIagsp-nrirjL-kZ4AaABAg,1,i really want to try bamboo after watching her videos. i'm not sure i could find it anywhere though lol!,看她的视频后，我真的很想尝试竹子。我不确定我可以在任何地方找到它！
30548,UgxQemKgbvD4B-n_X8J4AaABAg.8yVcysOnAIo8yVeAFc4-z_,1,she said:this bamboo shoot is bigger than ma head.,她说：这张竹芽比马头大。
21934,UgztWXQSn1SMsCgDATt4AaABAg,1,watching this video over and over all i can think about is the collective sigh of relief that the bamboo shoots at 0:58 give when she walks away,观看这部视频一遍又一遍地，我能想到的是竹子在0:58射击时的集体松了一口气。
14398,UgwWUbLefQRlorL5ded4AaABAg,1,"this is similar to my food that’s naga food
we all do the same in our village too
n our delicacy is smoked pork with bamboo shoot 
place : nagaland (india)","这与我的食物类似
我们都在我们的村庄也做同样的事情
我们的美味佳肴是烟熏猪肉
地点：纳加兰（印度）"
11306,UgxzgcqW7sYpzRPbgch4AaABAg,1,"her: i'll just go ahead and add everything in this forest as an ingredient, including some things that aren't actually food like bamboo, fungus, and snails. me: okay!",她：我只是继续，将所有东西都作为一种成分加入，包括一些实际上不是竹子，真菌和蜗牛等食物的东西。我：好吧！
14269,Ugx9scXIVeGR00l-hFN4AaABAg.94KdLZ7CMpN95Hv8byY6SB,1,"@mandlikprajwal466 bamboo can grow 1 meter a day and it is literally a giant grass ,not tree.",@mandlikprajwal466竹子每天可以生长1米，这实际上是一只巨大的草，而不是树。
28235,Ugy5s2YAMtFXah2-WQp4AaABAg,1,"i've been craving bamboo shoots these past few days. not fair!
those freshwater snails too. they are so good!","在过去的几天里，我一直渴望竹芽。不公平！
那些淡水蜗牛也是如此。他们真好！"
14084,UgwBKgrO_81zWwSyF_54AaABAg,1,wow i’ve never seen a bamboo that huge in my life....,哇，我一生中从未见过竹子。
330,UgybqVpKu8H3dQIJPuV4AaABAg,1,"112, 2, and 25 recall that you look at bamboo shoots in the mountains really beautiful! i have been in pingtung, taiwan for some time in pingtung! the house is sawing trees! organized! factory! sell ​​some scrap iron to organize!",112、2、25回忆妳在山里采竹笋的样子真的很好看！我这几天休假一段时日在台湾屏东整理了！房院子锯树木！整理了！厂房！卖一些废铁整理整理！
11714,UgzJBX10zNucM5CpBYJ4AaABAg,1,"i heard that she was very red. i came in and took a look. i was still dealing with bamboo shoots in the spring in the last second, and the next second went to pick the long beans in the summer, looked at a few, picked the peaches in the south on the left, turned my head to pick the northern part of the north. apple, she should be filming all over the country and then editing. what she has daily life with her mother -in -law, don’t bully me without culture",听人说她很红，进来看看，上一秒还在春天处理竹笋，下一秒就去了夏天摘长豆角，看了几条，左边摘着南方的桃子，转头又去摘北方的苹果，她应该是全国各地去拍片然后剪辑，什么她跟婆婆的日常生活，不要欺负我没文化
28132,UgzJhIxuSseIeQfA8tl4AaABAg,1,"in indonesia, young bamboo is rebung.....",在印度尼西亚，年轻的竹子正在恢复.....
247,UgwBVUZ8dCzXVJoiRqZ4AaABAg,1,i like bamboo shoots,我喜欢竹芽
11974,Ugwfey99Wio1mZdIcmF4AaABAg,1,"i also like bamboo shoots, but taste",我也喜欢竹芽，但是品尝
27089,UgwJiVMvwJb2JukqHcV4AaABAg,1,"that soft bamboo was familiar here in cebu philippines, that was my mother sailing at public market. 
so proud.
i love the way u cooked.","那个软竹在菲律宾宿雾很熟悉，那是我的母亲在公共市场上航行。 
如此自豪。
我喜欢你烹饪的方式。"
12136,UgxRHZoZDA_Z9uvCyYF4AaABAg,1,"i really learned a lot. when i was a kid, i went to dufu cottage to play a picnic and pulled a lot of bamboo shoots. the small ones were small. at that time, i thought it was young and tender. as a result, the whole schoolbag was all stabbing. since then, i have no longer believed in the wild bamboo shoots that i see.
today i really saw the processing process of bamboo shoots. open the horizon and solve my questions for decades.","真的学到了很多东西。我小时候去杜甫草堂打野餐，拔了很多竹笋，小的，我当时以为小的就嫩，结果搞得整个书包里全是刺。从那以后，我就再也不相信看见的野生竹笋和外面卖的是一样的了。
今天我才真的看见竹笋的加工过程。打开眼界，而且解开了我几十年的疑问。"
13890,UgytBtt-nBlPi-dWxqh4AaABAg.94ohHB1Cd8y94uU3PcSKix,1,bamboo shoots,竹芽
200,UgxzslfKIMQhK4W6n8Z4AaABAg,1,bamboo and duck cooking very yummmm,竹子和鸭子烹饪非常美味
21608,UgxGYRxeMd-XnSi-r394AaABAg,1,cutting the bamboos felt like,切割竹子就像
13853,UgxHpF21yEtg-LXaB7F4AaABAg,1,"this is a smart wrawn boy cooking, smart chair from bamboo. the boy who works !!
it has beautiful bodies fresh sagins.
i don't know but enjoy the one.

greeting from","这是一个聪明的旺克男孩烹饪，竹子的智能椅子。工作的男孩！
它有美丽的身体新鲜的萨金斯。
我不知道，但喜欢那个。

来自"
27860,UgwFORV0OWZ1_ayC1H14AaABAg,1,"in a wonderful place, i can feel that the verse of ""linjiangxian"" written by yang shen ""shan shan is still there"".
pick bamboo shoots and find fungus.
wash your feet in the clear stream and find shellfish.
naturally, it is very rich, and there is no waste at work.
i want you to cherish naturally the treasure of china.
thank you for your good video. i will also watch the past videos.","一个美妙的地方,我可以感受到杨慎写的“临江仙”的诗句”靑山依旧在”.
采摘竹笋,找到木耳.
在清澈的溪水中洗脚,找到贝类.
自然是非常丰富的，工作中没有浪费.
我要你珍惜自然是中国的宝藏.
谢谢你的好视频.我还会观看过去的视频."
13683,UgzpMc6k1oNS2MMHnMd4AaABAg,1,that look on her face when she smelled the fermented bamboo shoot. the camera didn't cut soon enough and looked like it was the grossest thing she's ever smelled.,当她闻到发酵竹芽的味道时，她的脸上看着。相机还不够快，看起来这是她闻到的最严重的东西。
27786,Ugyw-fhlgDq36G2KO3h4AaABAg,1,in indonesia we also eat bamboo shoots ... heheh jafi is still the same as the same food ...,在印度尼西亚，我们还吃竹芽...呵呵jafi仍然与同样的食物相同。
27309,UgxQ_BG8SoTDiVxpogR4AaABAg,1,"i love to eat sweet bamboo shoots (rebung) with coconut milk..so yummy... 

we called sayur lodeh hehehehehe","我喜欢用椰奶吃甜的竹芽（重新）。

我们打电话给Sayur Lodeh Hehehehehe"
162,UgzdIkoP46C8O4qxlQ54AaABAg,1,ziyi family often meat bamboo shoots are really delicious!,子柒家常肉笋真的很好吃喔！
13127,UgxmKLcyyIh-GzU0yK14AaABAg,1,this bamboo shoot is really delicious and envious of your life.,这笋长的真棒
22070,UgzcZvYJmDpSxuUcDfp4AaABAg.9-Fe5Kk-yfW9-JHGTK4Fb0,1,we have also bamboo trees in the philippines ans snail.,我们在菲律宾还有竹树Ans蜗牛。
22072,UgzcZvYJmDpSxuUcDfp4AaABAg.9-Fe5Kk-yfW9-UFD3vCfUW,1,same here in philippines we also eat bamboo shoot really good,在菲律宾，我们也吃竹芽非常好
27606,Ugzw78p_8MH4QIENE_l4AaABAg,1,"looking at the real ingredients, the fresh ingredients feel that different bamboo shoots can be made from dry goods.",看着真馋人啊 新鲜的食材做出来的感觉就是不一样 笋衣原来可以做干货的 学到了一手 小姐姐啥时候做个干豇豆烧肉让我们过过眼瘾就好了
50,UgyoMINXAjqiz6iy4Nx4AaABAg,1,"i have never eaten bamboo shoots in shandong, don’t know what taste",我山东的，没吃过竹笋，不知道啥味的
27441,UgyEhZEgQxPfTCB-WXh4AaABAg,1,sound of cutting bamboo shoot is so satisfying,剪裁的声音是如此令人满意
27463,UgxgQwLLxNw9NgVkT4B4AaABAg,1,oooohhhh i also love bamboo. as pickle. love from india,哦，我也喜欢竹子。作为泡菜。来自印度的爱
21754,UgyskMdXOUhB54U_b_t4AaABAg,1,giant bamboo grows so damn fast you could chop the same branch every other day. it is supposed to grow a metre a day.,巨型竹子成长得如此之快，您可以每隔一天切碎相同的树枝。它应该每天生长一米。
14465,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ94kG72NxAxo,1,if anyone has seen princess kaguya it reminds me of that :) the bamboo and all,如果有人看过Kaguya公主，那就让我想起了:)竹子和所有人
9654,UgwQob_TuO2QQMi0wfd4AaABAg,1,so big bamboo shoots. essence,好大的笋。。
29541,Ugz_ycaTZMZCyTtReeh4AaABAg.8yWhBE0quJI8yWl9G07JRO,1,fantasia wolf yes fresh bamboo shoots are a bit sweet,Fantasia Wolf是新鲜的竹芽有点甜
9667,UgyAMauYtmW2AQbo3eJ4AaABAg,1,when she twists the bamboo shots the slurky sound is like satisfying and unsatisfying at the same time,当她扭动竹子时，乏味的声音就像同时令人满意和不满意
30149,UgyqnKHBRHS_FJzY3Hh4AaABAg,1,"i love bamboo shoots for their versatile property for cooking. blanche it first to get rid of bitterness and do your cooking magic just like that of ziqi. honestly, i have never seen this massive size of bamboo shoots. they are heavy but worth carrying it back from the forest. ziqi was so good - very good at shoots handling.",我喜欢竹芽，以供他们烹饪的多功能属性。首先要摆脱苦味，并像Ziqi一样做烹饪魔术。老实说，我从未见过如此巨大的竹芽。他们很重，但值得从森林中带回它。 Ziqi太好了 - 非常擅长拍摄处理。
9944,Ugx0L-ifQduxJcvhbtB4AaABAg,1,i am from indonesia ... i really like bamboo shoots very much,我来自印度尼西亚...我真的很喜欢笋
15356,UgwOAlLYD2QItN3zL6d4AaABAg,1,the food looks amazing and i would've never thought to use bamboo shoots for food,食物看起来很棒，我从来没有想过要用竹芽作为食物
10049,Ugzs5GeTNUcT0vo2mhZ4AaABAg,1,"bamboo is amazing. it provides food, it can be used to make pipes, build shelters, make rugs, furniture, baskets, etc... and it grows super quickly, so if collected in reasonable amounts, its supply will never end.",竹子很棒。它提供食物，可用于制造管道，建造避难所，制作地毯，家具，篮子等...并且它会迅速增长，因此，如果以合理的数量收集，其供应将永远不会结束。
21193,UgxbsLrqkrbFFHVrsdJ4AaABAg,1,"well......bamboo shoot is our traditional and also the snails
from northeast india 
and really loved this video","好......竹拍是我们的传统，也是蜗牛
来自印度东北部
真的很喜欢这个视频"
10102,Ugzno4EjJOAN41yCT-54AaABAg,1,like in indonesia specifically rural areas. bamboo shoots and long beans,像印度尼西亚特别是农村地区。 bamboo
20378,UgyUPIrvJwJ_2XL71XB4AaABAg,1,i like this bamboo vage.. missing my mom to see this..,我喜欢这个竹瓶..想念我妈妈看到这个..
15233,UgxZgYSHM_8sp4MC4_B4AaABAg,1,"can you eat such a big bamboo shoot? bleak
very old -fashioned","这么大的竹笋可以吃？ 
很老也"
15229,Ugx_7nktOohPVXofr9d4AaABAg.93P9AlUjoi293WO3P-ZYdF,1,"liuzhou ""luosifen"" is amazing food. it's smells bad which has the taste of fermented bamboo shoots. but when you eat it ,it tastes delicious.",Liuzhou“ Luosifen”是很棒的食物。闻起来很糟糕，它具有发酵竹芽的味道。但是当您吃它时，它的味道很美味。
833,UgxdAu67ISTNDjbRb2R4AaABAg,1,"2022, 7, and 15 ziyi now pick up bamboo shoots in the mountains!",2022、7、15子柒在山里现采竹笋奶奶陪着！
29646,Ugw4dAmbT6-HgmD77t54AaABAg,1,young bamboo,年轻的竹子
29589,UgzhulLoGRmOM-g262l4AaABAg,1,that bamboo shoots and snails is the best with squash!,那只竹芽和蜗牛是南瓜最好的！
770,UgyH48Helsd0fHX_nBh4AaABAg,1,there is no good explanation of the little brother in western yunnan. why is such a high scoring and even sour bamboo shoots that you can't see how to do it and get such a high evaluation.,还没有滇西小哥做菜讲解的好，为什么这么高评分，甚至做酸笋等都忽略掉也看不到怎么做还能得到这么高的评价，似乎越来越没有以前做的好
490,UgwgnGh5ESGGXt6Mkwh4AaABAg.9jEwmAtEHjH9jUoDKQHJNh,1,in kalimantan many bamboo shoots of various types of bamboo shoots.,在卡利门坦（Kalimantan）中，许多各种竹芽的竹芽。
29505,Ugz_ycaTZMZCyTtReeh4AaABAg,1,"ok so can some one answer my question?
i thought bamboo was poisonous, is it just certain types that are or was i just told wrong?","好的，有人可以回答我的问题吗？
我以为竹子有毒，是某些类型的竹子还是我只是说错了？"
10703,UgxR9du_dy9e6fsNeLF4AaABAg,1,i don't get much bamboo shoots in japan,我在日本没有太多的竹芽
21314,Ugz2DrWr7IGKrK-Id6p4AaABAg.90-H9DeEGEQ9046jQfDUcD,1,but baby bamboo is one of the most famous traditional chinese food☺,但是竹子是最著名的传统中国食品之一
759,UgzfrPfUIKg3rrNsTW94AaABAg,1,"the same as in my country indonesia. there are bamboo shoots, there are water snails, there are brown mushrooms that are delicious to eat",与我国印度尼西亚一样。有竹芽，有水蜗牛，有棕色蘑菇可吃的美味
10764,Ugzl50uLxzw_UGPFJiN4AaABAg,1,my mother’s dream is to harvest these fresh bamboo...the ones she gets from the supermarket smells and taste funny,我妈妈的梦想是收获这些新鲜的竹子……她从超市闻到的竹子和味道很有趣
15029,Ugwja3CZEKTC6ZuAK254AaABAg,1,this bamboo shoot is really too good! hungry,这个笋我真的太可了！饿了
733,Ugyz2OBHsKsUrNqUfKF4AaABAg,1,li ziyi old bamboo bamboo shoots,李Ziyi旧竹芽
572,UgzqAiB-1khOs9Rqtr14AaABAg,1,"if here, in indonesia the basic ingredients of young bamboo are called bamboo shoots. thank you cici for inspiring me",如果在这里，在印度尼西亚，年轻竹子的基本成分称为竹芽。谢谢CICI启发我
10866,UgwNigOuGxhIfE9wyK54AaABAg.98EcHV3vQII98JAmrKCkSo,1,donna keen is it possible for you to own a land for bamboo ?,唐娜·基恩（Donna Keen）有可能拥有竹子的土地吗？
34807,Ugx29m4i949lCr7dWhl4AaABAg.8yUSxGSbGfl8yUY5V2UGBG,1,"@dixiwonderlandyoutube that's bamboo sprout in the beginning of the video . 
yes chinese eat bamboo like panda","@dixiwonderlandyoutube在视频开始时是竹芽。
是的，中国吃竹子像熊猫"
10942,Ugx0axY58ya_hzRbCgx4AaABAg,1,great euy bamboo shoots :),伟大的Euy竹芽:)
21587,UgwXLdrMZx2HwffQ3_R4AaABAg,1,i understand the young bamboo shoots prepare,我了解年轻的竹芽准备
11062,UgxruKSHZaKy67OCvLJ4AaABAg,1,"i'm so speechless. she is so talented. she is a master of gardening, cooking, sewing, making furniture such as bamboo sofa's. superb..",我很无语。她是如此有才华。她是园艺，烹饪，缝纫，制作竹沙发等家具的大师。超级..
7316,UgyxwcjfN3ryzRJt7Xh4AaABAg,1,"bamboo ๅฎ is all the bamboo culture of bamboo cultural and environmental protection โป๏ธ healthy and long foods can be made countless things, solid, durable, insects, https://youtu.be/tzm6lhao2h8",竹芛浑身是宝 中国的竹文化 环保 ♻️ 健康 易长 可食 可做无数东西 坚固耐用 不长虫https://youtu.be/TzM6lhaO2H8
8118,Ugzu1ax0cm43g4jBZmB4AaABAg,1,"this is called bamboo shoots in indonesia mah ... it's good to make lunpia
in indonesia its calling ""bamboo shoot"" very delicious to make spring roll named ""lunpia"" traditional snack","这被称为印度尼西亚的竹芽...很好地做lunpia是很好的
在印度尼西亚，其称为“竹芽”非常美味，可以使弹簧卷被称为“ lunpia”传统小吃"
18876,UgyyGRuwGxxLb-FSLBN4AaABAg,1,if in indonesia the name is bamboo shoots,如果在印度尼西亚，名字就是竹芽
33968,UgzDOSAgcrG4_CXZ0a14AaABAg.8yUWzO8k0yg8yUl5HbsppB,1,george costarica like depriving pandas of their fav bamboo shoots? lol,乔治·科斯塔里卡（George Costarica）喜欢剥夺大熊猫最喜欢的竹芽吗？哈哈
3923,Ugz-gGwsHR5Ds8fj8P94AaABAg,1,those bamboo shoots are massive!!,那些竹芽是巨大的！
24294,UgwjL6LQ5cLY1tToEjl4AaABAg,1,pity that in brazil we do not have this edible bamboo,可惜在巴西我们没有这种可食用的竹子
20221,UgzwKfxMpleeg-D4S0h4AaABAg,1,bamboo shoot is delicious.,竹头很美味。
34302,UgxMz-P2FPnKIpYyI2h4AaABAg,1,wow giant big bamboo shoots,哇巨型大竹芽
3093,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9Tovjm0ewdV,1,@seleniumsel hi i believe its called winter bamboo shoots 冬笋,@Seleniumsel嗨，我相信它叫冬季竹芽冬笋
18461,UgyVx39Os7odM1IsKuh4AaABAg,1,"beautiful bamboo forest, i love china",美丽的竹林，我爱中国
3095,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9U-9T0ZLs-k,1,@sleniumsel bamboo shoot. bamboo shoots,@SeleniumSel bamboo shoot. 竹笋
32543,UgwUCy1Q3w4d2HF3QPp4AaABAg.8yUrwM7wn338yVBcCGhCVl,1,bamboo is the best gift form nature mother～,竹子是自然母亲最好的礼物。
5182,UgwyitKvC9DHWar5T0J4AaABAg,1,"bamboo is the most beneficial plant, ranging from roots, stems, leaves, twigs, and even bamboo shoots.",竹子是最有益的植物，范围从根，茎，叶子，树枝，甚至竹芽。
32567,UgwPZ4NfmPlYefDHQd94AaABAg,1,"english is good, so subtitles are good ㅠㅠ
i thought it was so cute that it looked like a bamboo shoot, but it's very thin","英语很好，所以字幕很好ㅠㅠ
我以为它是如此可爱，看起来像竹拍，但是很薄"
2666,UgwvDhw9DWryItY0wIJ4AaABAg,1,reminds me of grandmas pickled bamboo shoot (˶˙ᵕ˙˶),让我想起奶奶腌制的竹芽（˶˶κ˶）
31937,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVbckpYp0r,1,@walterwen8686 sour bamboo shoots can not become sour in a few days! it is estimated that it is recorded in spring,@walterwen8686 酸笋也不是几天就能变酸的呀！ 估计春天录的吧
5187,Ugx9ycqsOUZ0JCjA_x54AaABAg,1,if in indonesia it is bamboo shoots.,如果在印度尼西亚，那就是竹芽。
6849,Ugx-qpfI20eZk1X17XV4AaABAg,1,miss the younger sister picking bamboo shoots alone,想念一个妹妹独自挑选竹芽
3783,UgzYLpFJciQaVOAsKUB4AaABAg,1,"if in indonesia playing in bamboo trees home, definitely stuck or possessed",如果在印度尼西亚在竹树中玩耍，肯定会卡住或拥有
31926,UgxHswCuuKwJsggHIKF4AaABAg,1,"asians consume a lot of bamboo sprout, one of the reasons of being thin.",亚洲人消耗了很多竹芽，这是瘦的原因之一。
20204,Ugy3fG3XKDP0d5Lq4Ut4AaABAg,1,in nepal the river snail is called gongi and bamboo 'tama',在尼泊尔，蜗牛被称为Gongi和Bamboo'tama'
32074,Ugxm-M_xCwLpe0s9Kd54AaABAg,1,"sure enough, starting from pickled bamboo shoots, hard -core players",果然是从腌笋开始做，硬核玩家
