,cid,votes,time,含cute,含cute中文翻译
30431,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39OCzO4KQICL,0,2 years ago,that is cute,那很可爱
30845,UgwwmLZN35BdkinPBOh4AaABAg,0,3 years ago,"grandma is so cute, i also want to eat snail powder! but i think purslane is the best. the action of your tweets is really chic, and my grandpa is surprised!",奶奶好可爱，也想吃螺蛳粉！不过我觉得马齿苋最好吃。你扯马齿苋的动作是真的潇洒，我一老爷们也大吃一惊！
22088,UgxlmJaHk4AcHt_aN_14AaABAg,0,3 years ago,cute kb b,可爱的KB b
20839,Ugz4M2_-dRD_kNebhCV4AaABAg,0,3 years ago,there are subtitles is vietnamese. i think it is youtuber vn. so cute,有字幕是越南语。我认为这是YouTuber VN。太可爱了
21956,UgzQM3zphxUizT3ag7p4AaABAg,0,3 years ago,vietsub cute,vietsub可爱
8122,Ugzq1uOpJd9H5rqCA8V4AaABAg,0,2 years ago,"oh my, people say she is so cute",哦，我，人们说她真可爱
6413,UgzDyzWwReYnXHUv66R4AaABAg,0,2 years ago,"i'm from vietnam: ""you are so cute, your video is meaningful and attractive, i love you!""",我来自越南：“你真可爱，你的视频有意义且吸引人，我爱你！”
6450,Ugyg4tTODJKJaNhi6QV4AaABAg.9En5j0qmCFT9Eo9TVUblbr,0,2 years ago,@conruoicute219 ๐๐’๐’๐’๐‘๐,@conruoicute219
6519,UgzzsVUysPuBdVIdK5V4AaABAg,0,2 years ago,you are so cute,你太可爱了
6640,UgyoW-bz5Bm50x5xdGp4AaABAg,0,2 years ago,aaaaaaaa is so cute ๐๐๐,aaaaaaaa是如此可爱
6777,UgzjOOZxn3-iqmLWh554AaABAg,0,2 years ago,i'm so cute,我真可爱
6999,Ugz5E8OCwEO2a86gr514AaABAg,0,2 years ago,this girl is so cute,这个女孩是如此可爱
7022,Ugyet6aw9j3GAkyRh3l4AaABAg,0,2 years ago,very cute girl idol๐ฅฐ,非常可爱的女孩偶像
7051,Ugy6F-UzsN32TvVvIbR4AaABAg,0,2 years ago,she is so cute ๐๐’,她是如此可爱
7422,UgzMtfF4jTzXXs0Re_J4AaABAg,0,2 years ago,they have a cute relationship,他们有一个可爱的关系
7449,UgzaMWXXWNI-AkOt4ix4AaABAg,0,2 years ago,you are so cute,你太可爱了
7983,UgxTzM0zwZ6MNCpLhWF4AaABAg,0,2 years ago,"who transalates vietnam is so cute
vietnamese people do not raise my hand, don't let me alone (old video on the old video)","越南透射的人是如此可爱
越南人不会举手，不要让我一个人（旧视频上的旧视频）"
8084,UgxT4g-T_edQsH-0bJd4AaABAg.9C6HRyh6j849DWIk9FuJda,0,2 years ago,@cutegrill6444 vcccvccccccรงรงcccccccรงccรงccccccรงรงcccccccvcccvccรงvcccccccccccccccvcccccccccccccccccvcccvccccvvccccccรงcccvvvvvvcvccccccvvc,@cutegrill6444 vccccvccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccedcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccedcccccc一下一下一下
8108,Ugw8dPoULJQiviy2zLZ4AaABAg,0,2 years ago,cute and hardworking girl,可爱而勤奋的女孩
8174,UgwrQ5lvwJmntqAEYjB4AaABAg,0,2 years ago (edited),soo cute and ..ur worksโบ๏ธโบ๏ธโบ๏ธ๐‘๐ป,Soo可爱和..
10802,UgxOV7A_8H230KzorBR4AaABAg,0,3 years ago,she is the cutest person in china,她是中国最可爱的人
8273,UgxDZpIw7_kj0CJ7o2B4AaABAg,0,2 years ago,cute,可爱的
8315,UgxWm-d9pyxJBdL7EdJ4AaABAg,0,2 years ago,you are so cute,你太可爱了
8520,UgxIQVzjiTmhi4BkIbp4AaABAg,0,2 years ago,do they give food to that cute dogs๐”๐”๐”,他们给那个可爱的狗提供食物吗？
8785,UgzXt_6SqJ1btEmjzth4AaABAg,0,2 years ago,cute,可爱的
9203,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BcimVygqTf,0,2 years ago,"@user-rw2vi3ev6q of course, it is reported and it is still cute. we all saw it.",@user-rw2vi3ev6q 当然报道了而且还很萌。我们都看到了。
9281,UgxdOWpXTsk5EemdZf94AaABAg,0,2 years ago,damn she is very cute,该死的她很可爱
9282,UgyjfUIfPCDUsgm0OLB4AaABAg,0,2 years ago,you are so cuteee,你真可爱
9507,UgwoVM5KAqZLZrVrCLx4AaABAg,0,2 years ago,this girl looks cute,这个女孩看起来很可爱
9696,Ugwtu0E_Knx1KAmNoxl4AaABAg.99j0i39jGV69AbVBUcYLl_,0,2 years ago,๊ผฌ๋ง ๐youโ€re so cute,꼬링你好可爱
9742,Ugxjd9wY0g1xaIx58oF4AaABAg,0,3 years ago,"wash your feet first and then grab the snails, hahaha, cute",先洗脚再抓螺，哈哈哈，可爱
9791,Ugym61uVNuukGHuX6Nt4AaABAg,0,3 years ago,may i ask how many dogs you have? all cute.,我可以问你有几只狗吗？都可爱。
9963,UgxnmbkGtrYtEwklGXt4AaABAg,0,3 years ago,how cute n tailent ๐นโค๏ธโค๏ธ,多么可爱的n时候出
10615,UgwIMTmuviDfKc3uxmF4AaABAg,0,3 years ago,she is so cute,她太可爱了
6295,UgyUv8lgRKkIMsSk91N4AaABAg,0,2 years ago,u are soo cute and beautiful awesome video,你是个可爱又美丽的真棒视频
6239,Ugyi4OqeWfTyVXbWpf14AaABAg,0,2 years ago,any cheeks vietnamese are so cute,任何脸颊越南人都很可爱
6211,UgwDq556yyzjMUxKAoR4AaABAg,0,2 years ago,so cute,太可爱了
6093,UgwVPnhW-3yJOQB7boJ4AaABAg,0,2 years ago,her grandma is sooooo cute.. the cutest ๐”โค๏ธโค๏ธ!! do u like her??,她的祖母太可爱了..最可爱的
265,Ugw3QtcCB0PE7hn_SoZ4AaABAg,0,2 months ago,she is always cute,她总是很可爱
349,UgxG6A9OpN2bosvSyh94AaABAg,0,3 months ago,you are cute,你好可爱
593,Ugwa76WZUg6dDHLaJgZ4AaABAg,0,8 months ago,such a cute girl and lucy,如此可爱的女孩和露西
1223,Ugykg_GclGsO8d_T1PJ4AaABAg,0,1 year ago,"i like! bamboo! editor back basket! for the first time, i saw ziyi aizi who taught the very cute video in person!",我喜欢！竹子！编著背篮子！我第一次看到子柒爱子亲自传授真的很可爱的视频喔！
1407,UgzIbQe8hGXvMOi1QI14AaABAg,0,1 year ago,so creative cute girl,如此创意可爱的女孩
1464,UgyaD_YtiCbHdRs6MvF4AaABAg,0,1 year ago,cute like ❤❤❤❤,像❤❤❤❤一样可爱
1568,UgxwGpkIbKJpBH8VdzZ4AaABAg,0,1 year ago,"awh, i get that you've gotta eat but why the cute lil snaiiils ;-;",噢，我知道你要吃了，但是为什么可爱的小snaiiils; - ;
2174,Ugx3lidKnrevwmjJ4Zt4AaABAg,0,1 year ago,so cute all background real life i like so much ziqi...,如此可爱的所有背景现实生活，我非常喜欢ziqi ...
2202,UgyRBpTUYKRR4KXyRZp4AaABAg,0,1 year ago,"i don't know what to say, but it's cute",我不知道该说些什么，但是很可爱
2226,UgxE_vOluR8ZzDZctld4AaABAg,0,1 year ago,"she is so cute, gentle",她是如此可爱，温柔
2378,UgzxV8KcevOnK_1vgNZ4AaABAg,0,1 year ago,beautiful cute sweet,美丽的可爱甜蜜
2556,UgwyuTS0-1xj58FlrEB4AaABAg,0,1 year ago,so cuteee,所以可爱
2597,UgxgbePuMyUpJ4dUWDp4AaABAg,0,1 year ago,2:50 the pictures of beautiful women and cute kittens are happy,2:50 美丽的女人和可爱的小猫在一起的画面让人心怡
2919,UgxPvOvojwHVt-OJyaB4AaABAg,0,1 year ago,"ziyi, you are the favorite dish of chong min, taiwan pingtung chongmin, taiwan pingtung! ！! cute woman! qingmei bamboo horse inner heart! jun is strong! i am on this island in taiwan! waiting for you! wait for the rain! wait for a god -secret fairy to come to taiwan to pick up people!",子柒妳山上采竹笋子台湾屏东崇闵最喜欢的这道菜了！柒爱儿！可爱的女人！青梅竹马内心！骏强起来！我在台湾本岛！等妳！等雨停！等一个神密的仙女下凡来台湾接人！
3294,UgzE_WDXhlQymcfMR4Z4AaABAg,0,1 year ago,the dog is sooo cute,狗太可爱了
3530,UgyN1dKSkfRE1dLIzT14AaABAg,0,2 years ago,"what are you cute? but chao or hokkien. sorry for asking you really good.
after watching it, i would like to ask a little more. at any time, at the time of the price","你很可爱吗？但是Chao或Hokkien。对不起，问您真的很好。
看完之后，我想再问一点。"
3631,Ugx2D1mxnbj5CAcV1LJ4AaABAg,0,2 years ago,ritsuchi is cute,Ritsuchi很可爱
4235,Ugy8nw_9JlBvSrV1uzR4AaABAg,0,2 years ago,so cute,太可爱了
4304,UgzPOy8N3I2bRfOiG4h4AaABAg,0,2 years ago,nature at its best.cute girl.,大自然最好的女孩。
4911,UgxD0L0_8VPfK8zOpUx4AaABAg,0,2 years ago,"encourage me for more nature videos like, share, subscribe to my channel friends..cute snail https://youtu.be/l9bsx7vfcdo",鼓励我进行更多的自然视频，例如，分享，订阅我的频道朋友。
4917,UgyJLWUwnIWH5wC9wVN4AaABAg,0,2 years ago,liziqi. soo. cute. and. pretty,liziqi。 SOO。可爱的。和。漂亮的
5265,UgzmvN0sPA36WBjZcKN4AaABAg,0,2 years ago,very cute video ๐‘,非常可爱的视频
5298,UgznyXN_TJglRMqndWB4AaABAg,0,2 years ago,cute girl with lovey nature when i see like that feel so fresh,当我看到那样新鲜的可爱女孩，​​有爱的天性
5383,Ugyq6VuL9Qs60ear4DB4AaABAg,0,2 years ago,"i look for hours ... i like to look so much. after work i lie rest and look .. it soothes so, looking at how they work and prepare something very tasty and beautiful. there is no translation, i try to understand so. i find a useful one for myself .. i am also interested in the garden and landing ... i really want to learn something to cook something else .. the girl is very cute and beautiful, hardworking .. it is very nice to look at her labors . everything is very beautiful, and i really like that they love my grandmother so .. i donโ€t even know .. i wonโ€t be young with a young one .. but i would like at least a little, such care in old age .. thank you! your videos let your soul enjoy and rest.",我看几个小时...我喜欢看很多。下班后，我躺在休息和看。没有翻译，我试图理解。我为自己找到了一个有用的。我也对花园和着陆感兴趣...我真的很想学习一些东西来烹饪其他东西。美丽，勤奋..看着她的劳动真是太好了。一切都很漂亮，我真的很喜欢他们爱我的祖母，所以..我什至不知道..我不会和一个年轻的人在一起..但是，我至少想要一点点，这样的照顾。.谢谢！您的视频让您的灵魂享受和休息。
5514,UgzLa6nMOeF2v8ocLXZ4AaABAg,0,2 years ago,i am not able to see her previous dogs. they were all cute,我看不到她以前的狗。他们都很可爱
5696,Ugw8JalgKn_CWa4foeR4AaABAg,0,2 years ago,you dog is cute liziqi i like dog,你狗是可爱的liziqi我喜欢狗
5845,UgxOsG8bjp-szA55HbJ4AaABAg,0,2 years ago,cute blonde,可爱的金发
10794,Ugwy9gbqpdtu8bNcgGV4AaABAg,0,3 years ago,you er so cute and smart girl ❤️,你是如此可爱又聪明的女孩❤️
10916,Ugw4DV7mgMMZc7acLat4AaABAg,0,3 years ago (edited),"it feels very spicy, the heroine is simple and cute, i like it",感觉很能吃辣，女主单纯可爱，喜欢
21910,UgwX5vJUzE_VqegLaGx4AaABAg,0,3 years ago,i think i watched every video we need a new one! i feel you should add more of your farm animals its cute and take a break on the camera from working so hard have fun !,我想我观看了我们需要一个新视频！我觉得您应该添加更多的农场动物，它很可爱，并从相机上休息一下，从而努力工作！
20141,UgxIVaBbEfGDmAg_gst4AaABAg,0,3 years ago,"how cute bamboo, i love it, i would like to do so many things with el",多么可爱的竹子，我喜欢它，我想和el
17834,UgyGRafbscw26QOjFKB4AaABAg.92fl-udgELU92hqvwYXndL,0,3 years ago,haha that must be funny your neighbor is way too cute,哈哈一定很有趣，你的邻居太可爱了
17856,UgxJo_rwLO4lmVlSaK14AaABAg,0,3 years ago,cute,可爱的
17954,Ugx0jLwMXdsc1DPSnwB4AaABAg,0,3 years ago,"li ziqi is amazing! i enjoy watching her videos. by the way, am i the only one who noticed the little dog in the video ? it’s so cute.",李齐（Li Ziqi）很棒！我喜欢看她的视频。顺便说一句，我是唯一注意到视频中那只小狗的人吗？它真可爱。
18183,UgwBzL0vSgwRQE91se14AaABAg,0,3 years ago,cute right,可爱的对
18743,UgyV7-3h-Z0UaLu1uI14AaABAg,0,3 years ago,"cute, i like your chanel",可爱，我喜欢你的香奈儿
19097,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392Y30FqewrI,0,3 years ago,salmiah salleh hahaha you are so cute,Salmiah Salleh haha​​ha，你真可爱
19309,UgxC7Lec62gJir9iH-V4AaABAg,0,3 years ago,cute and good,可爱又好
19379,UgzvWZ2mRX-qu7jegzF4AaABAg,0,3 years ago,she is so cute <3,她是如此可爱<3
19577,UgzN-JGGENLxawG6ID94AaABAg,0,3 years ago,cute,可爱的
19680,UgypqFhBb9hH_xUTpEJ4AaABAg,0,3 years ago,"i love the most in her videos is that cute,happy doggy",我在她的视频中最喜欢那个可爱，快乐的狗狗
19865,UgwdlIjifZ-jCl0RKRR4AaABAg,0,3 years ago,"hello from what i know, life propagated by this charming woman does not look so cute in the chinese countryside. the expansion of cities makes beautiful and peaceful villages turn into stinking and complained gutters, with highly processed food, and people eat it. and about such food that this beautiful lady presents, they can only dream about ... and this is sad. fate has prepared",您好，据我所知，这个迷人的女人在中国乡村看起来并不那么可爱。城市的扩张使美丽且宁静的村庄变成了臭味，并抱怨沟槽，用高度加工的食物和人们食用。关于这位美丽的女士展示的这种食物，他们只能梦想……这很可悲。命运已经准备好了
19892,UgyZfpplGFGkEdV5FVh4AaABAg,0,3 years ago,i will marry you you are so cute and cooking so delicious food i like it love from nepal,我会嫁给你你真可爱，烹饪如此美味的食物，我喜欢尼泊尔的爱
19924,UgwMsdR-43Km779QfH14AaABAg,0,3 years ago,shes so cute,她是如此可爱
20216,UgxaU-LuR13SdBQzjE94AaABAg,0,3 years ago,dog so cute,狗好可爱
10948,UgyuyndmbFmTApUuN514AaABAg,0,3 years ago,cute,可爱的
20218,UgxOKF6JIZsAw8bapox4AaABAg,0,3 years ago,she actually wore a regular modern shirt in this video.. so cute!! and i love her grandma so much!,她实际上在这段视频中穿了普通的现代衬衫..太可爱了！我非常爱她的祖母！
20382,UgwpJ0JQQ4UdfS2sz-N4AaABAg,0,3 years ago,dammit u r so so so cute,该死的你好可爱
20484,UgxGaVRIx3Qu2qq0jdp4AaABAg,0,3 years ago,"so cute, so cooking. i want this mother.",好可爱，所以做饭。我想要这个母亲。
20865,Ugy5_1o2S80FUIQ4qj54AaABAg,0,3 years ago,"i love your grandma, is she alone with you? she is so cute",我爱你的祖母，她一个人和你在一起吗？她太可爱了
20879,Ugw5HrH6YXgHy0bcN3h4AaABAg,0,3 years ago,"the doggy,,,so cute",狗，太可爱了
21064,UgxZ0rQpYM2naj7IX9p4AaABAg,0,3 years ago,very cute,非常可爱
21182,Ugzh_mX3cYi4z-pwjc94AaABAg.909eCNdlWgq90GnTjIP-Jp,0,3 years ago,"yes, she is very cute.",是的，她很可爱。
21374,UgxuFCbdcbXpJ-FeYZ94AaABAg,0,3 years ago,"it looks like crush
cute","看起来像是暗恋
可爱的"
21461,Ugy8RFmWKqgyguP9yZN4AaABAg,0,3 years ago,so cute,太可爱了
21484,Ugxo1FXpQX1JSBHjp1p4AaABAg,0,3 years ago,"bruh fr, like is anyone can say it or not, she’s cute as hell like fuck",Bruh fr，就像任何人都能说的那样，她像他妈的一样可爱
21760,UgxkWl-8pshX7__Vu-V4AaABAg,0,3 years ago,"cooking and looking for food like this, i love to work, fight to death, so very cute.",烹饪和寻找这样的食物，我喜欢工作，战斗死亡，非常可爱。
21820,Ugyn8mrfS_u3x0H4mJ94AaABAg,0,3 years ago,your sweet little doggies are so cute,你甜美的小狗真可爱
21904,Ugz-S8QZKfyzmYBtlLV4AaABAg,0,3 years ago,her dog is really cute,她的狗真的很可爱
17747,UgyXkZzw0iw_I7gH9T14AaABAg,0,3 years ago,she's very cute!!,她很可爱！
16863,Ugx5yaRY7WYh2v-A5al4AaABAg,0,3 years ago,bamboo shoots cute,竹芽可爱
16531,UgxA3GL6OYDFAmfbi914AaABAg,0,3 years ago,cute strong girl.. i wish i can marry her,可爱的坚强女孩..我希望我能嫁给她
16140,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u939FgyQ50rk,0,3 years ago,she also has a very cute assistant named minguo,她还有一个非常可爱的助手
11049,UgyV_7Yaps04Z9he-LV4AaABAg,0,3 years ago,why you so cute ?,你为什么这么可爱？
11227,Ugz_0T8l_CHOdjiPdot4AaABAg,0,3 years ago,the cute hostess will marry me well,可爱的会嫁给我做得好的女主人
11474,Ugzlb7Rd0cICK_hgw0V4AaABAg,0,3 years ago,"that is so cute, cute ,,",真可爱，可爱，
11507,Ugy1KGHSxEj1ZboL-A54AaABAg.97VIv7Cq5HJ98qCMcwlEIn,0,3 years ago,so cute worry,太可爱了
11950,UgyP-k-ZW2M881qIwBV4AaABAg,0,3 years ago,cool and very cute！,酷很可爱！
12164,UgyoswESTJYXIr8PpFF4AaABAg,0,3 years ago,"so cute aunt, eat a noodle to eat",好可爱的阿姨，捞一根面来吃
12359,UgzzjWt_85U_h49FNwF4AaABAg,0,3 years ago,i would kill for a woman like her a big to far but u get what i mean i would help her out with the cooking and gardening she cute af,我会为像她这样的女人杀死一个大而远，但你明白了我的意思我会帮助她做饭和园艺，她可爱的AF
12478,UgzUa7DPDviR5kxdtG94AaABAg,0,3 years ago,the translater this video who so cute :3 i like this :v,这部视频是如此可爱的译者：3我喜欢：v
12499,Ugxx2bFd0B1nlsuJ5yh4AaABAg,0,3 years ago,pretty cute,漂亮可爱
12679,UgybylhDlzqdGb0CaPp4AaABAg,0,3 years ago,she's cute! i wonder if she likes monster truck rally's?,她很可爱！我想知道她是否喜欢Monster Truck Rally？
12759,Ugw39L5nsNrciYxc7Sd4AaABAg,0,3 years ago,i really hate the vietsubs and then jostle the cute. but fucking cheeks is disgusting. each time i have to turn off vietsub. proposal next time vietsub is normal,我真的很讨厌vietsubs，然后徘徊可爱。但是他妈的脸颊令人恶心。每次我都必须关闭Vietsub。下次vietsub的提案正常
12851,UgwYj9fUjcI_jjOkWgl4AaABAg,0,3 years ago,she's cute,她很可爱
13070,UgztfihRhvG7vD1eCc14AaABAg.960qIFe3tEo96LP2W8i1V5,0,3 years ago,"the microwave look so cute , right?",微波炉看起来很可爱，对吗？
13224,UgyhzZRPdC1j8CJKn9t4AaABAg,0,3 years ago,beautiful scenery and girl cute ...,美丽的风景和女孩可爱...
13487,UgySa0LSoJLYcazKpCp4AaABAg,0,3 years ago,"i have a small question... 
how do she finds every ingredient she needs within her yard or what ever btw she is cute t^t i love this channel","我有一个小问题...
她如何找到她在院子里需要的每种成分或顺便说一句，她很可爱，我喜欢这个频道"
13560,UgwhAuG0BK7R1ge2XCt4AaABAg,0,3 years ago,who makes a cute subtitle,谁制作了可爱的字幕
13603,UgxsWCLwPQCihfx1i7d4AaABAg,0,3 years ago,sub cute :>,sub可爱：>
13736,UgzQyXy2wFHxHJoqbmF4AaABAg,0,3 years ago,she is so cute. super good video recording,她太可爱了。超级好视频录制
13747,Ugw_Kx-QZ5JXfS6YGTB4AaABAg,0,3 years ago,"very good, cute too",很好，也很可爱
14254,UgzaJ-dkPNm7l_Tgjsl4AaABAg,0,3 years ago,miss sister is so cute,小姐姐好可爱
14688,UgxhDmqCrB2mUy3Rq3Z4AaABAg,0,3 years ago,wonderful videos very cute her and grandma..,精彩的视频非常可爱她和奶奶。
14891,UgwAzohqY1kq_xrSAaZ4AaABAg,0,3 years ago,you are incredibly cute ❤,你非常可爱❤
14916,Ugxo2FnE_Nio-fGCrM94AaABAg,0,3 years ago,"hello lady
i am from algeria
very cute vidio.... can you help me in m'y new chanal please.... i need some subscrib !!

https://www.youtube.com/playlist?list=plkfbeloihhja_tlxwdol7ifxubnumb_8t","你好女士
我是来自阿尔及利亚
非常可爱的vidio ....您能帮我在新的chanal中。。。我需要一些订阅！

https://www.youtube.com/playlist?list=plkfbeloihhja_tlxwdol7ifxubnumb_8t"
15424,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AcgzG41_4d,0,2 years ago,"@jeffcohens1563 , you make acute and acurate observation.",@jeffcohens1563，您进行急性和过度观察。
15506,UgzNw9XmEteKKPJv8Ox4AaABAg,0,3 years ago,vietsup cute,vietsup可爱
15514,UgwfinMgprX-UOkFYRJ4AaABAg,0,3 years ago (edited),"i thought that big bowl of noodles is for her dan grandma, but it is just for her! and look at that big spoon she used wkwkw omg this is so cuteee",我以为大碗面向她的丹奶奶，但这只是给她！看看她用wkwkw omg的那汤匙，这真是太可爱了
16042,UgzOvyV3g4jVHl0CLD94AaABAg,0,3 years ago,cute,可爱的
35164,UgwDG0MDSRJxW5OF8NJ4AaABAg,0,3 years ago,she is cute...who who believes....give like,她很可爱...谁相信...。
