,cid,votes,time,含pretty,含pretty中文翻译
28725,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94Tg2hvVFKx,0,3 years ago,she is pretty and like a wonder women.,她很漂亮，就像一个神奇的女人。
28706,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g93rEJ6hHKUT,0,3 years ago,@vinithav7605 i like the pretty nice income,@vinithav7605我喜欢相当不错的收入
27033,UgwGlXbdzgnihHJfG094AaABAg.8yixt2ZyQb28ypgK0yyjZx,0,3 years ago,"tell me please. when you say ""there,"" do you mean to say there is a region in china this pretty, so clean, very natural, lacking congested roads and filled with fresh air? i don't see her using plastics or wearing disposable clothing. her skin is white and clear. her world is too nice. not even martha stewart could present like this and ms. 
stewart had a team of helpers off camera. tell me this is very real. i would love to go to china and live like that. i don't care about religion and could give up discussing politics for that lifestyle. of course, it would take me a few years to learn the basics of chinese language.","请告诉我。当您说“那里”时，您是说中国有一个美丽，如此干净，非常自然的，缺乏拥挤的道路并且充满新鲜空气的地区？我看不到她使用塑料或穿着一次性服装。她的皮肤是白色的。她的世界太好了。甚至玛莎·斯图尔特（Martha Stewart）也无法像这样呈现。
斯图尔特（Stewart）有一个助手团队。告诉我这是非常真实的。我很想去中国生活。我不在乎宗教，可以放弃讨论这种生活方式的政治。当然，我花了几年的时间才能学习中文的基础知识。"
26708,UgwTdYlTOfHvuwYMBUx4AaABAg,0,3 years ago,"it's like a pretty countryside, but the dishes are fashionable. i always harvest vegetables and fruits, but there are no videos to plant. many crops are planted on a vast site. who earns cash income and buy these seedlings and fertilizers? the more you watch the video, the deeper the question.",这就像一个漂亮的乡村，但是菜很时尚。我总是收获蔬菜和水果，但是没有播放视频。许多农作物被种植在庞大的地点。谁赚取现金收入并购买这些幼苗和肥料？您观看视频的越多，问题就越深。
32238,UgykAdHiBm_4GOIQDd94AaABAg,0,3 years ago,pretty vl,漂亮的VL
26669,UgwPMbbR57qIv2Ufo0R4AaABAg,0,3 years ago,she is pretty. good. i like the food she makes.,她很漂亮。很好。我喜欢她做的食物。
32080,UgyPETcnzwzc7nPQ-Jt4AaABAg,0,3 years ago,do you wear pretty black boots?,你穿漂亮的黑色靴子吗？
28421,UgzsKAZ0WQoruuEPQPR4AaABAg,0,3 years ago,0:55 that was a pretty hot moan,0:55那是一个非常热的mo吟声
25109,Ugyeod5djY6B2QAoVl14AaABAg,0,3 years ago,"sister, sister so pretty",姐姐，姐姐好漂亮
25145,Ugy-noVUwtWNSB2U9cd4AaABAg,0,3 years ago,https://youtu.be/nmkoi8mc_zo pretty chinese girl dance,https://youtu.be/nmkoi8mc_zo
25194,UgzoPwpCEmrwMHVHISx4AaABAg,0,3 years ago,"the face is pretty, but the dishes are good",脸很漂亮，但是菜肴很好
25212,UgzacxgoyEQTtIuY9OR4AaABAg,0,3 years ago,it seems pretty delicious,好像蛮好吃的
25694,UgwSOqIj3yN1NFJUY7d4AaABAg,0,3 years ago,she is pretty like my sister,她很像我姐姐
25864,UgyNKj-3ZOTibwS_v9h4AaABAg,0,3 years ago (edited),"multi talented. and shes so pretty too. most women as pretty as she is, wouldn't come close to getting their hands dirty like her. whoever her husband is, hes a very lucky guy. cherish her.",多才华。她也很漂亮。大多数女人都像她一样漂亮，不会像她一样肮脏。无论她的丈夫是谁，他是一个非常幸运的人。珍惜她。
25944,UgxBsztybtV9hwif3Jh4AaABAg.8yws93FKWqS8z7_CtvNRmS,0,3 years ago,https://youtu.be/nmkoi8mc_zo pretty chinese girl dance,https://youtu.be/nmkoi8mc_zo
25969,UgwNNdjuUjH0v_kJ05B4AaABAg.8ywcwacVqCa8yzFRQ__k3p,0,3 years ago,"she just life with her granny and take care granny. she used to live in city. 


she was dj or something, pretty metal.","她只是和奶奶一起生活，照顾奶奶。她曾经住在城市。


她是DJ之类的东西，很漂亮。"
26014,UgzwNVQ-MpHFIo_TBhl4AaABAg,0,3 years ago,pretty and talented like her must be very rare,像她这样漂亮又有才华必须非常罕见
31908,UgykVtY9nybktHrxabV4AaABAg,0,3 years ago,"i don't know who translated the english subtitles, but it's pretty funny that it's in caps with a bunch of exclamation points. 2:30 ""keep in the drop!!! happy!""",我不知道是谁翻译了英语字幕，但是很有趣的是，它的帽子有很多感叹号。 2:30“保持滴头！快乐！”
26344,UgxbUjj705WuUOiNtoN4AaABAg,0,3 years ago,she is so pretty,她是如此漂亮
31879,UgzWI-aUGAEfVRDmz2h4AaABAg,0,3 years ago,such a peaceful life of living .. the chief is so pretty and cooking skill is so professional ...,如此宁静的生活。酋长是如此漂亮，烹饪技巧是如此专业...
31802,UgwCR3mvjQ6MjT3E0VR4AaABAg,0,3 years ago,it is so pretty but also pretty slim.,它是如此漂亮，但也很苗条。
26369,UgwD-6XzRMUMvjtY5h14AaABAg,0,3 years ago,"video beauty is really pretty, but what is the province of china? yunnan?",视频美景真的很漂亮，但是中国省是什么？云南？
31767,UgzO7Cr-Fo96IVj2YsV4AaABAg,0,3 years ago,smart bns ... geh ttp we are pretty,聪明的BNS ... geh ttp我们很漂亮
20729,UgxcMhOdWX7f-7-m7ox4AaABAg,0,3 years ago,pretty )),漂亮的 ））
17840,Ugy4Sclm1cTeDJnmfKN4AaABAg,0,3 years ago,"the taste of snail powder is probably not used to smell, but it is pretty good to eat",螺蛳粉的味道外乡人大概都闻不惯吧，不过吃倒是蛮好的
20631,Ugxr40ayQNvCokjHNRZ4AaABAg,0,3 years ago,"vk mik is pretty, guys",VK Mik很漂亮，伙计们
10393,UgxgVfuyKq1td1msIR54AaABAg,0,3 years ago,who else thinks it looks good but pretty sure they won’t like it xd,还有谁认为它看起来不错，但很确定他们不喜欢xD
5529,UgzBrQXEeQXxrd1sou54AaABAg,0,2 years ago,wow thats so nice and pretty the place you live in so many food grown i like thats cool,哇，真是太好了，漂亮的地方，你住在很多食物中，我喜欢那很酷
6240,UgxlVxd8E0GpWGIrmfd4AaABAg,0,2 years ago,"pretty, bro",漂亮，兄弟
6395,UgwqZs3ra700jiD_9Sd4AaABAg,0,2 years ago,she is so pretty. do you know vietnamese?,她真的好漂亮。你知道越南人吗？
6436,UgxzoaPr9xsR2IHZxnF4AaABAg,0,2 years ago,pretty beautiful girl๐‘,非常漂亮的女孩
6461,UgxdnrFxLG35dnWbeGl4AaABAg,0,2 years ago,pretty good cinematography.,很好的摄影。
7416,UgzZZlPZfjSniEL_Q094AaABAg,0,2 years ago,it's pretty smart cooking again ๐ฅฐ,又是非常聪明的烹饪
7744,UgyEJGJGkG4zG046UG14AaABAg,0,2 years ago,pretty girl,漂亮的女孩
8627,UgzU_qVdVv0Sr7q4-YB4AaABAg,0,2 years ago,sister so pretty,姐姐好漂亮
8729,UgwTH4nm2Or4ciKt74B4AaABAg,0,2 years ago,you look so pretty,你很漂亮
10026,UgzQCOxW12N2-wNw9vF4AaABAg,0,3 years ago,"who think her face is like twice mina?. she is so pretty, soft but strong❤",谁认为她的脸就像是两次？她是如此漂亮，柔软但很强壮
10380,UgyFInlGAoRkMFV42Ih4AaABAg,0,3 years ago,pretty too fairy billion,十亿
10424,UgzLWHlZKTWXf1pDAcp4AaABAg,0,3 years ago,pretty hard core gardens you have there,你在那里有很硬的核心花园
5292,Ugx66NDiSVvecEh9y954AaABAg,0,2 years ago,the workforce is a pretty hard worker.,劳动力是一个非常勤奋的人。
10462,UgxUoGSDyfta_p6lH194AaABAg,0,3 years ago,pretty,漂亮
10617,UgxLYgaaEV6H1QhUGQF4AaABAg,0,3 years ago,your so pretty,你这么漂亮
10752,Ugxj-2PoLXsba-CKyeF4AaABAg,0,3 years ago,the pretty king of the king,国王的漂亮国王
10992,UgwmTGhEcMdUndtQvcp4AaABAg,0,3 years ago,go to see mainly because of the pretty girl!,去看主要是因为漂亮的女孩！
11059,UgweetUnmxYDjS1sJ_V4AaABAg.9836H75Au8T983QMzDiO1f,0,3 years ago,those snails are different from the snails we see crawling on the ground. they are the eatable kind and its actually pretty good but i wouldn't eat it. lol,这些蜗牛与我们看到的蜗牛在地面上爬行的蜗牛不同。它们是可食用的种类，实际上很好，但我不会吃。哈哈
11349,UgzSzI4SZyWoyYv64854AaABAg,0,3 years ago,"great wife material and she's pretty too, but sadly i know i'm not worthy for her. 's way too capable than me. i can't do almost everything she can. sigh....",伟大的妻子材料，她也很漂亮，但可悲的是我知道我不值得她。
11415,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD98z13o-2VC2,0,3 years ago,@logicone5667 she didn't start out that way. find her bio. it's out there. she's worked pretty hard for that $$ and god only knows how much her gov't takes. she started out doing everything herself and learning along the way. probably much more than you or i have ever achieved. she lives there with her grandma and needed a way to produce an income after she came home to take care of her grandmother after her grandfather passed. her bro was making videos online in china and she thought she would and that was the start. but she did it all herself for a long time.,@logicone5667她没有那样开始。找到她的简历。它在那里。她为$$工作很努力，上帝只知道她的政府没有多少。她开始自己做所有事情，并在此过程中学习。可能比您或我所取得的成就要多得多。她和祖母一起住在那里，在祖父通过后，她回家后需要一种收入来照顾祖母的方法。她的兄弟在中国在线制作视频，她认为自己会的，这就是开始。但是她自己做了很长时间。
11587,UgzFiCKDQIkCMKBDYQZ4AaABAg,0,3 years ago,"i have lived in rural liuzhou, and the dishes look pretty good, as well as snail powder, the collection and processing of ingredients are relatively real, and it is true that this is right; but where is there such antique kitchen and rural areas! intersection",我在柳州农村生活过，做的菜看起来蛮不错的，螺蛳粉也是，食材的收集以及处理也比较真实，确实是这样处理没错；但是哪里有这样古色古香的厨房和农村啦！？
11782,Ugz0pVKmfpT5nvlrAM94AaABAg,0,3 years ago,that's why i'm looking for a girlfriend like that pretty woman who delicious prepares the food,这就是为什么我正在寻找一个像那个漂亮女人的女朋友，她准备食物
11949,UgxYd-3B2rz13GHSemN4AaABAg,0,3 years ago,so pretty for you 1 sub,对你来说很漂亮1个
12003,UgxjUX3cFYy5ZD2zyPt4AaABAg,0,3 years ago,pretty. biyutiful,漂亮的。 Biyutiful
5349,UgwhNUMDXHVhnJorygl4AaABAg,0,2 years ago,"chinese girls are so pretty, the scenery is also poetic",中国女孩是如此漂亮，风景也是诗意的
5167,UgyVVsLx7nZ2JLun1MN4AaABAg,0,2 years ago,i'm not sure. he will answer us. this is the clip because the house view is pretty good.,我不确定。他会回答我们。这是剪辑，因为房屋的视野非常好。
20537,UgywpbKo-UJCgL31Zu54AaABAg,0,3 years ago,pretty,漂亮的
2227,Ugx19gCkTFDq47CK6cl4AaABAg,0,1 year ago,this is a new one ... it's cooked ... it's pretty ...,这是一个新的...煮熟了...很漂亮...
173,Ugy7oCMs89mkEmYkMx54AaABAg,0,1 month ago,this girl is so pretty ❤❤,这个女孩是如此漂亮❤❤
914,UgzfBSlFiapNmtUTUqR4AaABAg,0,11 months ago,"the scenery is so beautiful, you are also very pretty, the food is amazing",风景是如此美丽，你也很漂亮，食物很棒
1285,UgwPNU2UDfUZqCc-m_54AaABAg,0,1 year ago,pretty fhat,漂亮的
1303,UgxwhevPagfNlt3dCXR4AaABAg,0,1 year ago,prettyeeee moth,Pretyeeee飞蛾
1480,UgySfeki_yM2Miw4i6t4AaABAg,0,1 year ago,"this girl is so pretty, honey",这个女孩是如此漂亮，亲爱的
1515,UgxlOfrAkI296pS3fPZ4AaABAg,0,1 year ago,"i just wanna said, u are soo pretty,even there has no beatiful clothes,u just pretty",我只是想说，你太漂亮了，即使没有美丽的衣服，你也很漂亮
1750,UgwYfjWTff1LL2xONBd4AaABAg,0,1 year ago,she is so pretty,她真的好漂亮
1786,UgwnOLHxaWllwiieEKZ4AaABAg,0,1 year ago,"this is the first time i watch your video. you are very pretty and also cook very well, peaceful villages, fresh air",这是我第一次观看您的视频。您非常漂亮，也很好做饭，宁静的村庄，新鲜空气
1828,UgxFeIVHiih978qvl8R4AaABAg,0,1 year ago,china has so pretty girl ..,中国有那么漂亮的女孩。
1837,UgwNXN7GSpjiR3WpCvd4AaABAg,0,1 year ago,wow so pretty,哇好漂亮
2098,Ugwa1uT1MbF50vqgwrF4AaABAg,0,1 year ago,so pretty :),好漂亮 ：）
2297,UgzCjSv6TBNDC9X098F4AaABAg,0,1 year ago,it is pretty to live the month of vacation as soon as,在度假的一个月中，很漂亮
4917,UgyJLWUwnIWH5wC9wVN4AaABAg,0,2 years ago,liziqi. soo. cute. and. pretty,liziqi。 SOO。可爱的。和。漂亮的
2300,UgwkokJL_XnIeLrP-Wd4AaABAg.9UdU840_FyM9Udzjb3orsR,0,1 year ago (edited),"you're like the equivalent of explaining to people why disney princesses and happy endings aren't real. like, dude, everyone knows. but life in the countryside can also be very relaxing for some people. i've lived in the countryside and my people do as much work as liziqi shows in her videos. sure life in the countryside isn't as pretty as she makes it look, but it's achievable and a dream for some people. some of yall are so bitter and for what.",您就像向人们解释为什么迪士尼公主和幸福的结局不是真实的。就像，伙计，每个人都知道。但是，对于某些人来说，乡村生活也很放松。我住在乡村，我的人民做的工作与Liziqi在她的视频中所显示的一样多。当然，乡村的生活并不像她看起来那样漂亮，但是对于某些人来说，这是可以实现的和梦想。你们的一些人是如此的痛苦，并且是什么。
2301,UgyjaIALOOIaV4NV51J4AaABAg.9Uc5WshfoF39UdzBjqE9OR,0,1 year ago,"err what. sure liziqi's vlogs are prettying up and romanticizing life in the mountains, but all of it is real. i've lived in the countryside and i can confirm that what is shown in the video is real. of course she don't do all that by herself every single day and gets plenty of help, but it's obvious that she's very adept at the skills it takes to survive in mountains without the help of technology. is it as pretty as it looks? no. is it achievable? yes.",犯什么。当然，Liziqi的视频博客在山区的生活正在融为一体，但所有这些都是真实的。我住在乡村，可以确认视频中显示的内容是真实的。当然，她并不是每天都自己做所有的事情，并获得了很多帮助，但是很明显，她非常擅长在没有技术帮助的情况下在山上生存所需的技能。看起来很漂亮吗？否。它可以实现吗？是的。
2309,UgzT_5lrDukML0xxbZB4AaABAg,0,1 year ago,"she's so pretty, she's a great housewife",她是如此漂亮，她是一个很棒的家庭主妇
2478,UgzYkC5Bwq8NLMhYwEZ4AaABAg,0,1 year ago,very pretty girl,很漂亮的女孩
2795,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9Up_55cjkKC,0,1 year ago,@edwardwongliupepelutivrusk1262 and you assumed the lifestyle op was talking about was complete with the pretty dresses and sh t. how are you any different? unless clearly stated why are you assuming they're dumb enough to not know that?,@Edwardwongliupepepelutivrusk1262，您认为生活方式OP在谈论的是漂亮的礼服和Sh t。你有什么不同？除非明确说明您为什么假设他们愚蠢到不知道？
3279,UgyBMWMQiSG34rzeb_l4AaABAg,0,1 year ago,pretty and skillful,漂亮而熟练
3602,UgwLaHitXdDOOo2Kn4x4AaABAg,0,2 years ago,"what a pretty hardworking girl. she is also very good at cooking. a dream woman, right?",多么勤奋的女孩。她也很擅长烹饪。一个梦dream以求的女人，对吗？
4091,Ugxcy0tExEZ-0s5Jekt4AaABAg.9L0BTTF2ncW9MMtX7wXzOF,0,2 years ago,"it’s pretty obvious she didn’t add that since there is no chinese text on the screen. it’s clear she can’t speak english, genius.",很明显，她没有补充说，因为屏幕上没有中文文字。很明显，她不会说英语，天才。
4092,Ugxcy0tExEZ-0s5Jekt4AaABAg.9L0BTTF2ncW9MMuraMfXpD,0,2 years ago,@jameswent48 and its also pretty clear that im commenting a joke,@jameswent48，而且很明显，我在发笑
4392,Ugy865RENzwCPHWbNNV4AaABAg,0,2 years ago,"a pretty show of how to cook in a peculiar way,using peculiar utensils and having strange and pretty recipes in mind",一个很好的表演，讲述了如何以特殊的餐具和奇怪而漂亮的食谱
4685,UgzhU3JVMTXh2Q7D9k54AaABAg,0,2 years ago,how pretty,多么可爱
12070,UgyE4y0LYkcHWKNFdwB4AaABAg,0,3 years ago,pretty ge ❤️❤️❤️,漂亮的ge❤️❤️❤️
12119,UgzA5sTQlbHTlpdYhGN4AaABAg,0,3 years ago,"his face
it's pretty
you have a lot of talent ~","他的脸
好漂亮啊
你有很多才华〜"
12160,UgwBpfriFWLp_x4VQDx4AaABAg,0,3 years ago,pretty,漂亮的
18567,UgyeUV4rjkytUoFivJp4AaABAg,0,3 years ago,you are so pretty ~~ ♡♡,你真漂亮~~♡♡
15650,Ugysh-gJqnAf2gGzBlN4AaABAg,0,3 years ago,this kind of life is pretty good,这样的生活挺好的
16480,UgyS_eXUHWOUd7w_zjh4AaABAg,0,3 years ago,"dam ! it dont take much to make her happy... i'm sold ! she is worth her weight in gold , low maintenance and very pretty , i dont see one electric powerline anywhere. my kinda girl , shes an asian pearl ♡ ... i think i'm in love lol !",dam！让她开心并不需要太多...我卖了！她值得以黄金，低维护和非常漂亮的重量，在任何地方我都看不到一个电力线。我的女孩，她是亚洲珍珠...我想我恋爱了大声笑！
16509,UgyWQgRgDjgaXF7v2MV4AaABAg,0,3 years ago,man i can't get over how pretty she is,伙计，我无法克服她有多漂亮
16614,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933O16SXyfh,0,3 years ago,bluefox11 pretty sure you are being fooled. she is being directed by a whole production company.,Bluefox11可以肯定您被愚弄了。她是由整个制作公司指导的。
16769,UgylweSoKPookEcP3gN4AaABAg,0,3 years ago,"this girl looks pretty, everyone is not beautiful and smooth",这个女孩看起来很漂亮，每个人都不漂亮又光滑
17001,UgxVxnkYgyf-uu7B3IJ4AaABAg,0,3 years ago,sooooo prettyyy,太漂亮了
17075,Ugx3QQwZlgPcRGISJrt4AaABAg,0,3 years ago,she is so pretty,她真的好漂亮
17772,UgwCAg04X_QRz4ce-9R4AaABAg,0,3 years ago,you are so pretty,你真漂亮
142,UgzWxlVTid3JblVYvIt4AaABAg,0,1 month ago,sister is really pretty,姐姐真的很漂亮
17888,Ugz-Y_pHMMBIGmQNsPt4AaABAg.92em8dCV1e592i9bITzC1w,0,3 years ago,randomtechs@#t pretty sure it isnt,RandomTechs@＃t可以肯定它不是
18191,Ugz9PVR7vEpOXuI7G0Z4AaABAg,0,3 years ago,"the face is pretty, the dexterity is good, the cooking is good, and it is an army beauty.",脸很漂亮，敏捷性很好，烹饪很好，它是军队的美女。
19083,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392Gy47HE484,0,3 years ago,"well if you're born asian and have chinese parents...

other than that though, asia's pretty chill.","好吧，如果您出生的亚洲人并有中国父母...

除此之外，亚洲还很寒意。"
12384,Ugwxun5eT4YqRzRQ47J4AaABAg,0,3 years ago,pretty girl,漂亮的女孩
19151,UgxJXPLzo3RLTeO_0zt4AaABAg,0,3 years ago,pretty,漂亮
19270,UgxS2VZg5TEcH2H8R-d4AaABAg,0,3 years ago,"no way it's one person shooting it. must be a whole movie crew. i bet they have a producer, budget and all other stuff like in a movie. too pretty for a farm girl. deceiving people. that's why so many dislikes. it's hidden propaganda. only a blind person would believe how good of life in a village in china. there are a bunch of documentaries showing otherwise.",这是一个人射击它。一定是整个电影团队。我敢打赌，他们有制片人，预算以及电影中的所有其他内容。对于一个农场女孩来说太漂亮了。欺骗人们。这就是为什么这么多不喜欢的原因。这是隐藏的宣传。只有一个盲人会相信中国一个村庄的生活良好。有很多纪录片显示。
19276,Ugy91SG5l-BW3Hx762J4AaABAg,0,3 years ago,"for those who doesn't know luosifen actually smells pretty bad for a lot of people, basically because of the bamboo shoots. i like it tho, just bought a few from the chinese grocery store",对于那些不知道Luosifen的人实际上对很多人来说闻起来很难，基本上是因为竹芽。我喜欢它，刚从中国杂货店买了一些
19305,UgxwdMnj5VLGfQq5LmR4AaABAg,0,3 years ago,she looks so pretty,她看起来很漂亮
19753,UgwMSW1Oq_pXVNCHqSp4AaABAg,0,3 years ago,"you are so pretty, sister",你真漂亮，姐姐
19780,UgzOlcB2oblfvOiu-Ut4AaABAg,0,3 years ago,hi pretty girl,嗨，漂亮的女孩
19881,Ugx5k4pKl8NommiHmZR4AaABAg,0,3 years ago,pretty but also good,漂亮，但也很好
20096,Ugwa6rhpluUw9LTjFkx4AaABAg,0,3 years ago,you are a pretty householder,你是一个漂亮的住户
20236,UgziQPVQGw28An5cfB14AaABAg,0,3 years ago,she is so pretty,她真的好漂亮
20243,UgySCZKXCQ1I7wrI2rt4AaABAg,0,3 years ago,so pretty: 3,太漂亮了：3
20293,Ugyywe33WxwmLjz6FK14AaABAg,0,3 years ago,pretty,漂亮
15529,UgxFdmd0DScMUezAIYp4AaABAg,0,3 years ago,"thank you for sharing. i am seller, sell hairstyle and household products on amzon. it is really pretty and quality. now i need some people to help me test my quality hair flat iron and share your experience(you will get free product). if anyone see this post and is interested. please send me email for further information. ipromise you will get a quality flat iron. email: masonzheng220@gmail. thank you.",感谢你的分享。我是卖家，在Amzon上出售发型和家用产品。它真的很漂亮和质量。现在，我需要一些人来帮助我测试我的优质头发扁铁并分享您的经验（您将获得免费产品）。如果有人看到这篇文章并有兴趣。请给我发送电子邮件以获取更多信息。 ipromise您将获得优质的扁铁。电子邮件：Masonzheng220@gmail。谢谢。
15496,UgxfIX9KSXMGtaohwQ14AaABAg,0,3 years ago,you are such an awsome pretty lady. you man ist a lucky man to get you.,你真是个漂亮的女士。你是一个幸运的人，可以得到你。
15436,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9C907Wq0VEY,0,2 years ago (edited),"@bozhoujin5925 , you are enchanted by liziqi . i can appreciate that . she is very pretty.",@bozhoujin5925，您被Liziqi迷住了。我可以欣赏。她很漂亮。
15421,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AZxOk5KJAl,0,2 years ago,"@bozhoujin5925 , you are smitten by her pretty face . what a fool you are to believe all that you wrote. get real bozo.",@bozhoujin5925，你被她漂亮的脸庞迷住了。您要相信您写的所有内容真是个傻瓜。获取真正的Bozo。
12499,Ugxx2bFd0B1nlsuJ5yh4AaABAg,0,3 years ago,pretty cute,漂亮可爱
12597,UgxtWCqMB4FfVntbFCR4AaABAg,0,3 years ago,omg-so pretty all,天哪，这一切都很棒
12676,Ugxz_vI6HJf3ZkDv78B4AaABAg,0,3 years ago,"wow, she's very pretty",哇，她很漂亮
12719,Ugyjc5xBUnMEyLUVfVV4AaABAg,0,3 years ago,"not sure i have ever seen anything so yummy before..my mouth is literally watering...
ps.. her food looks pretty good also.","不确定我以前曾经见过如此美味。.我的嘴实际上是在浇水...
PS ..她的食物看起来也不错。"
12841,UgyjQQEL5vt4CSc5Yyt4AaABAg,0,3 years ago,don't you ever come across any wild animals...snakes...or any scary things ?? you are pretty much all by yourself.,您是否曾经遇到过任何野生动物...蛇...或任何可怕的东西？你一个人几乎是全部。
13436,UgwPie_i8hDk1MFTLkp4AaABAg,0,3 years ago,apart you are very pretty,除了你很漂亮
13592,UgwMbWJk63XuV6Vfkwt4AaABAg,0,3 years ago,"well, so pretty.",好吧，太漂亮了。
13754,UgxGp7TkdZ1yGSPpmlt4AaABAg,0,3 years ago,pretty.,漂亮的。
13939,UgwoffUYPtoa93fwLNJ4AaABAg,0,3 years ago,how come sometimes we don’t see your grandma she’s so pretty,有时候我们怎么看不到你的祖母这么漂亮
13981,Ugz-VKCG7OUdLgpsuOZ4AaABAg,0,3 years ago,you are so pretty and kind,你真漂亮
14075,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895pUh5lJAVY,0,3 years ago,manok l cuz i went to philippines and their water r pretty clean ( at least more clean than my city lol),Manok L Cuz我去了菲律宾，他们的水很干净（至少比我的城市更干净）
14352,UgxCSmrQ6fj5qdK745l4AaABAg,0,3 years ago,i think it's so pretty. i think i'm watching a movie ㅠㅠㅠ,我觉得这太漂亮了。我想我正在看电影ㅠㅠㅠ
14444,UgzdcqUK56AHJCAMd154AaABAg,0,3 years ago,she is so pretty!,她真的好漂亮！
14498,UgxCH5toeWyW9R_WPKR4AaABAg,0,3 years ago,"this young and pretty woman just makes good food, but also shows how to make solid everyday objects from natural recurs! my respect! greetings from switzerland ...",这个年轻而漂亮的女人只是做好食物，但也展示了如何从自然复发中制成坚固的日常物体！我的尊敬！来自瑞士的问候...
14526,Ugz2r8asfn7L3leDMDh4AaABAg,0,3 years ago,i wonder what they call those mushrooms that where growing on the side of the bamboo shoot we have them in america and i have heard some pretty interesting names for it ( at least i think they are the same thing lol),我想知道他们称这些蘑菇是什么，在竹芽侧面生长，我们在美国拥有它们，我听到了一些非常有趣的名字（至少我认为它们是同一件事，大声笑）
14623,UgzW-7S7WW2ihKhSRVt4AaABAg,0,3 years ago (edited),really pretty goddess,长得真漂亮 根本女神
14717,UgzIzFVnQz1vcvLlWyV4AaABAg,0,3 years ago,it's so pretty ^^,太漂亮了^^
14727,Ugyx5aUIcfFsl6F7tAt4AaABAg,0,3 years ago,she’s pretty amazing,她很棒
14781,Ugww3xr3V2qRxqznKWV4AaABAg,0,3 years ago (edited),"if you compare it with a japanese bamboo shoot ... it's pretty big, but it's too hard or there is no ex -flavor ...

a beautiful woman ... i work a lot

i guess i'm good at cooking.

tsukutsukuboushi ...? the sound is the same, isn't it?","如果您将其与日本竹芽进行比较……它很大，但是太难了，或者没有前味...

一个美丽的女人...我工作很多

我想我擅长做饭。

tsukutsukuboushi ...？声音是一样的，不是吗？"
14921,UgzBud-1Cr5Ck8AwKbt4AaABAg,0,3 years ago,"pretty . in vietnam, the block he raised",漂亮的 。在越南，他举起的街区
14942,UgxuRs7W5UtU3LVl4tp4AaABAg,0,3 years ago,"the beauty of nature is ... 
maybe it's a feeling of washing pupils ...
it's so pretty","大自然的美丽是...
也许这是一种洗学生的感觉...
它是如此美丽"
14964,Ugws-pjwIIDXw8OK30B4AaABAg,0,3 years ago,hmm .. very pretty. wakes someone up as a beautiful wife.,嗯..非常漂亮。唤醒某人是一个美丽的妻子。
15124,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD94V5SdyKXuP,0,3 years ago,"some (who claim to be her classmates in highschool or so) say that this girl doesn't really live this lifestyle, it is all fake, and that she is actually pretty rich.

but i wouldn't really care, whether it's real or fake. her videos calm me before sleep and i enjoy it. that's all. even if it's a show, it is certainly a great show.","有些人（自称是高中生的同学）说，这个女孩并没有真正过这种生活方式，这都是假的，她实际上很富有。

但是我真的不在乎，无论是真实的还是假的。她的视频在睡觉前让我平静下来，我喜欢它。就这样。即使这是一场演出，这肯定是一个很棒的表演。"
35234,UgzwzWNfk7v9C-6Q45Z4AaABAg,0,3 years ago,pretty girl,漂亮的女孩
