,cid,votes,time,含pretty,含pretty中文翻译
33959,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49BQt92kGu1W,1,2 years ago,"@warpnin3 
it is mind-boggling how so many have decided to air grievances because of this video, which shows how these people gather and prepare foods, which cost a pretty penny in health food stores.
the very ones throwing darts back and forth either have to pay the high cost of natural nutritious food or ""junk it"".
no one asked them nor expects them to give up their high mortgages and credit card debts.
it is some other ones lifestyle, not for all, but nevertheless, an excellent one.
(i think it's the sugar or something in the water being out all that anger.)
i am 70, living in a bit of not too rural area, but away from the town in my homeland.
finally, i am planting food and more ""overjoyed"" than stevie because it's a truly lovely experience, after years in the corporate world.
i never wanted it, but my mother impressed upon me that going to school, then getting a good job and hopefully, a pension, was necessary.
no!
i wanted to draw, sketch, paint, design!
i did some, and custom make my clothes all of my life.
but, i never continued with that part of my desires.
so, this skinny grandmother is learning five languages and gardening.
i'm not done living yet!","@warpnin3
令人难以置信的是，由于这段视频，有多少人决定宣布申诉，这显示了这些人如何收集和准备食物，这在健康食品商店中花费了一分钱。
那些来回扔飞镖的人要么必须支付自然营养食品的高昂费用，要么必须“垃圾”。
没有人要求他们也没有期望他们放弃他们的高抵押贷款和信用卡债务。
它是其他一些生活方式，不是所有的生活方式，但仍然是一种出色的生活方式。
（我认为这是糖或水中的某些愤怒。）
我今年70岁，住在不太农村地区，而是远离我家乡的小镇。
最后，我正在种植食物，比Stevie更“高兴”，因为这是一次真正可爱的经历，经过多年的企业世界。
我从来没有想要它，但是我母亲给我留下了深刻的印象，那就是上学，得到一份好工作，希望退休金是必要的。
不！
我想画，素描，绘画，设计！
我做了一些，并习惯了一生。
但是，我从未继续遵守自己的欲望。
因此，这个瘦的祖母正在学习五种语言和园艺。
我还没有生活！"
9736,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9IC7O7fJOjG,1,2 years ago,cause humans were meant to live amongst nature itself. but also because she edits out the hard and not so pretty parts of farming.,因为人类本身本身就是生活。而且还因为她编写了艰苦的耕作，而不是那么漂亮的部分。
7602,UgyOCEJfZ4r2OU3e04h4AaABAg,1,2 years ago,"wow!
pretty","Wow!
漂亮"
5487,Ugy0yfX15oyiXJjNZpJ4AaABAg,1,2 years ago,you are quite pretty,你很漂亮
49159,Ugyu_uSjIZBgbQA4igN4AaABAg,1,4 years ago,you are like those pretty good girls in fairytales i am waiting i guess we all..... when the prince come for you,你就像那些在童话中的好女孩，我正在等待我想我们所有人.....王子来找你
12059,UgzUQiRfalSMHAk6GbN4AaABAg.9DjjoaJ4Xdn9F4247cakRU,1,2 years ago,"yes!!

imagine if we all live such peaceful lives!!
and maybe rely on nature!
its would be so pretty, not really easy, but calm and happy","是的！！

想象一下，如果我们都过上如此和平的生活！！
也许依靠大自然！
它是如此漂亮，并不是很容易，但是平静而快乐"
7638,UgxB3VIm5H8HDAJrqhB4AaABAg,1,2 years ago,both pretty and good,漂亮和好
8469,UgxUnutDBCiAAcRDaqt4AaABAg,1,2 years ago,"dear ziqi, hope you can publish a recipe book with pretty pictures in it ❤️",亲爱的Ziqi，希望您可以在其中出版一本带有漂亮图片的食谱书❤️
4151,UgzwVRDoxsvsT6ux5dZ4AaABAg,1,1 year ago,"hello, you are very pretty !!",你好，你很漂亮！
8592,Ugx4hRno9RKdpmZWo-x4AaABAg,1,2 years ago (edited),she's so pretty! ...and talented! <3 your place is beautiful!,她很漂亮！ ...才华横溢！ <3您的位置很美！
1018,Ugy5eMWwuYnXwstKC6R4AaABAg,1,8 months ago,you make so pretty beautiful video leziki,你制作如此漂亮的视频leziki
38804,UgyWhEfN4VHLvnT_JS14AaABAg,0,4 years ago,ok but she's so pretty โค๐’ช๐‘,好的，但是她好漂亮❤
39241,Ugzs7fZSNjmhhxoo5ud4AaABAg,0,4 years ago,pretty qe,漂亮的量子
47485,UgwD3jKI1EPZnZxeFSR4AaABAg,0,4 years ago (edited),"hey guyz i don't understand her chennel name plz suggest to me... i'm new viewer in here.. i'm from india, manipur... you are amazing person.. so pretty and hard working.. i'm so pleasure to watch your videos... please upload a video to daily... i'm waiting for your new videos",嘿，盖伊斯，我不明白她的Chennel Name plz向我建议...我是这里的新观众..我来自印度，曼尼普尔...你是很棒的人..太漂亮而努力了..我'我很高兴观看您的视频...请每天上传视频...我正在等待您的新视频
37569,Ugzb8zkbZn73Hnj7qIp4AaABAg,0,4 years ago,"i hope you all know that this is a set and that everyone is an actor. i grew up on a real farm in the mountains. no farm is this clean, pretty and cute.",我希望大家都知道这是一套，每个人都是演员。我在山上的一个真正的农场里长大。没有这个干净，漂亮可爱的农场。
37691,UgyfQt936B8LuLys8z54AaABAg,0,4 years ago,pretty ~~,漂亮~~
39674,Ugy8JrOfnAXhjoMxeLJ4AaABAg.8smvMBgNR-o8t9fTXByfMm,0,4 years ago (edited),"i like to see almost everything from chinese culture from their movies, meals, customs their place will see some their songs for a child who sings a song to his mother is very pretty sure he will take a tender video and udam child who is crying everyone looks like ๐๐‘๐‘๐‘",我喜欢看电影，餐点，习俗的几乎所有内容都会为一个孩子看一些歌曲，他对母亲唱歌很肯定，他会拍摄一个温柔的视频和乌达姆的孩子，他们在哭泣所有人看起来像
39252,UgxzGcOFySofbgs7uqN4AaABAg,0,4 years ago,"oh my god, chinese thousand years cuisine. pretty yummy foods.",哦，天哪，中国千年的美食。漂亮美味的食物。
46913,UgyZnU-K18Oh3sxYn-t4AaABAg,0,4 years ago,you are so pretty and smart girl. . so much love from india. .,你是如此漂亮和聪明的女孩。 。来自印度的爱。 。
47366,Ugx3csY48TzLH4E60Ul4AaABAg,0,4 years ago,she's so pretty.. omg,她真漂亮..天哪
47172,UgzlrO_lEykaHhgtZ6d4AaABAg,0,4 years ago,all you do. all the hard work look easy and pretty. hi from uruguay.,你所做的。所有的辛勤工作看起来都很容易漂亮。嗨，乌拉圭。
38100,UgwbSaDDgxO-4wSc78F4AaABAg,0,4 years ago,"so pretty and talented.
love this woman๐๐๐","如此漂亮和有才华。
爱这个女人"
39234,Ugx8s1sUZUMgzPBSSQ54AaABAg,0,4 years ago,"i happened to see, and love it, it is true that you are pretty and good",我碰巧看到并喜欢它，你真漂亮
38891,Ugx_R61aDFue2YljMdl4AaABAg,0,4 years ago (edited),"hello, i dont know your name or your channels as it is written in chinese.
you seem living a beautiful life, how old are you?
you are pretty btwโบ","您好，我不知道您的名字或用中文写的频道。
您似乎过着美好的生活，你几岁？
你很漂亮"
38455,UgxusJ5QpmFzc-lJoAd4AaABAg,0,4 years ago,everything is so pretty~!,一切都很漂亮〜！
47690,UgwTPDrwxOA-L9A2Xxp4AaABAg,0,4 years ago,so pretty but also too good.,太漂亮了，但也太好了。
38563,Ugy-utd4r31BxAAsd314AaABAg,0,4 years ago,pretty,美啊
47336,UgwOokGv-PYtH2CQAGZ4AaABAg,0,4 years ago,"you are very pretty when you present your great and delicious delicacies that you prepare, i really do not understand your language but thank you for sharing your videos",当您展示您准备的精美美味佳肴时，您真的很漂亮，我真的不理解您的语言，但感谢您分享您的视频
47659,Ugzz3UuuEZmleaLSCRl4AaABAg,0,4 years ago,oh both pretty and clever <3,哦，漂亮又聪明<3
48629,UgxPTz6k3itjaK6o3Fh4AaABAg,0,4 years ago,"amazing,quite oooh sooo quite and pretty,now i wanna eat!!!!",太神奇了，真是太漂亮了，现在我想吃！
37133,UgxXM5NJVZJ7VsCD-OZ4AaABAg,0,4 years ago,"could you adopt me, pretty please?",你能收养我吗？
50379,UgzS3dbpedDkcxttRdF4AaABAg,0,4 years ago,how do u wash those heavy woks? pretty heavy,您如何洗这些重炒？很重
34536,UgysxVBB15vy7Vz-C-54AaABAg,0,4 years ago,even the heads that have been busy moving are lovely and pretty.,即使是忙于移动的头部也很漂亮。
51959,UgytvjNo92BGNm_Zja54AaABAg,0,4 years ago,pretty,漂亮
51936,Ugy8U1In9ozBlYnIuuF4AaABAg,0,4 years ago,"it's pretty, it's cute. it's cute ~~ ^^ ♡♡",很漂亮，很可爱。很可爱~~ ^^♡♡
51206,UgwKSC5wBLV9oozRa5p4AaABAg,0,4 years ago,"if you watch the video, you will be motivated to make the housekeeping. thank you for the pretty video ~",如果您观看视频，您将有动力进行管家。谢谢你的漂亮视频〜
51043,Ugwr3OipGPcYap2yblx4AaABAg,0,4 years ago,this episode is full of amazing things and beautiful music with a pretty young lady,这一集充满了令人惊叹的事物和美丽的音乐，一位漂亮的小姐
34786,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8w3WcJrZwxM,0,4 years ago,"@ninjaananas she got cameraman and assistant after her video became popular. she used to doing everything on her own which is pretty hard work (like all day until late night). even with helpers now, there is still a lot of work behind the scene. she grew up there, had worked in the city night club before went back for her eldly grandma and simple life style. as long as she can make living with her videos, it is perfect life for her, especially the precise time with her grandma.",@Ninjaananas她的视频流行后，她得到了摄影师和助手。她曾经自己做所有事情，这是非常艰苦的工作（就像整天直到深夜）一样。即使现在有了帮助者，现场仍然有很多工作。她在那里长大，曾在城市夜总会工作，然后回去为她的祖母奶奶和简单的生活方式。只要她能与自己的视频一起生活，这对她来说是完美的生活，尤其是与奶奶的精确时间。
51033,Ugyqm3WeQGNOvFdOAPV4AaABAg,0,4 years ago,she is so pretty and talented i wish i could meet her,她是如此漂亮和才华，我希望我能见到她
35142,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-92UkQ5saQp0,0,3 years ago,@therewasnochill8997 i'm pretty sure you know nothing about china.,@thenwasnochill8997我敢肯定，您对中国一无所知。
35253,UgzcDjQ4OFhnfliyefh4AaABAg,0,4 years ago,so beautiful you are very pretty and it is always a pleasure to see more videos i love this in particular !!!!,太漂亮了，你很漂亮，很高兴看到更多的视频，我特别喜欢这个！！！！
35544,UgwQqfa2zTxCK2a11sN4AaABAg,0,4 years ago,what a pretty girl and what a wonderful life !,多么漂亮的女孩，多么美好的生活！
35707,Ugz0r8HCuSjtrWHzpBZ4AaABAg,0,4 years ago,"it's a pretty girl
what teaches us ... what she
different meals, desserts
and some activities ....
would like to be in place
it is a pride and joy of having
examples ... how is video
my thousand congratulations ๐’๐’๐’๐’","这是一个漂亮的女孩
什么教我们...她
不同的饭菜，甜点
还有一些活动...
想到位
这是一种骄傲和喜悦
示例...视频如何
我一千个祝贺"
48153,UgzbCxmEKlDDbaoIOnR4AaABAg,0,4 years ago,"hello , i am not good to much good in english but i want to tell you something : your video really pretty , but i want to tell you about my reagin and it’s the islam , i just want you read about it and maybe allah help you to find the way , its not like isis but its about the one god 

my allah help me and i feel , and when i read quran sometime i feel like it read my mind and i feel its good for my hart 

so if you want you can search about it and now the truth 

allah help you","您好，我的英语不好，但我想告诉您一些事情：您的视频真的很漂亮，但我想告诉您我的理由，这是伊斯兰要找到道路，它不像ISIS，而是关于一个神的

我的真主帮助我，我觉得，当我阅读古兰经时，我觉得它读了我的想法，我觉得它对我的hart有好处

因此，如果您愿意，您可以搜索它，现在是事实

真主帮助你"
35843,Ugxjd-MnTNKLCvfUQ_J4AaABAg,0,4 years ago,this is so peaceful. and sheโ€s so pretty ๐ญ,这是如此和平。她真漂亮
50069,UgwxhzdglHWqUKvKDmh4AaABAg.8qlqEUv124L8qlrb6Y0QRt,0,4 years ago,thank you miss pretty women li ziqi very very nice village as well as your house too,谢谢你想念漂亮的女人李Ziqi，也非常漂亮的村庄以及你的房子
36141,UgzweAfnGKpjeLdvnyV4AaABAg,0,4 years ago,that mango looks delicious and she is literally so pretty ๐ซ i wish i looked as pretty as her.,那个芒果看起来很美味，她真的很漂亮。我希望我看起来和她一样漂亮。
36324,Ugzi-7MGJZGAoxmUnlp4AaABAg,0,4 years ago,6:47 i'm pretty sure those are sunflower seeds...,6:47我很确定那些是葵花籽...
36371,UgxRkN6tb0hRLZxqPNV4AaABAg,0,4 years ago,very creative and talented...and pretty too,非常有创造力和才华...而且也很漂亮
50049,UgwxhzdglHWqUKvKDmh4AaABAg,0,4 years ago,"can i plz know your name miss pretty women 
bcoz i don't know chinese","我可以知道你的名字想念漂亮的女人吗
我不知道中文语言"
36903,UgyWNb5dzn72P2KIY_F4AaABAg,0,4 years ago,she pretty rich,她很富有
49048,Ugyc_ddvdkG69Hr7w7B4AaABAg,0,4 years ago,"blue curtain wing local resisting resources idin, warm, warm gear, love beautiful in all fields, lights, and sounds shady and comfortable falling beautiful rice, beautiful lotus flowers, fragrant, old -fashioned beautiful cold wind, dew, dripping, love phu san yod, wave, wave phu san, beautiful fog, petals, clouds beautiful stripes scoop the weaving, wealth, wealth, happy, love, love, grow as you wish. the scent of idin suk rueang hundreds of water, good perfume, beautiful perfume tulip ngamakura, bua lotus surrounded by bueng chu spear, beautiful love everyone is pretty good, hahahaha.",蓝色窗帘翼当地的抵制资源idin，温暖，温暖的装备，爱在所有领域，灯光和声音中美丽阴暗和舒适跌落美丽的米饭，美丽的莲花花，香，老式美丽的冷风，露水，滴水，爱Phu San Yod，Wave，Wave phu san，美丽的雾，花瓣，云美丽的条纹铲起编织，财富，财富，幸福，爱，爱，根据您的意愿成长。 Idin Suk Rueang的气味数百种水，优质的香水，美丽的香水郁金香ngamakura，bua莲花，被布伦楚矛包围着美丽的爱每个人都很好，哈哈哈哈。
48823,UgwDFR-p0h_KvZHA1oN4AaABAg,0,4 years ago,you are very pretty i want to learn to cook like you why i live from feels chinese 4 daughters and a son send you a big hug god bless you a lot,你很漂亮，我想学会像你一样做饭
39963,UgwRj8S5Of4q_g_lol94AaABAg,0,4 years ago,it's pretty smart cooking again,又是非常聪明的烹饪
46626,Ugxl9WEWqA7S92y3zdR4AaABAg,0,4 years ago,"strong women ... creative ... pretty ...
his life is very good ...","坚强的女人...创意...漂亮...
他的生活很好..."
44537,UgxPpjw-5xhSiWMKnjp4AaABAg,0,4 years ago,"i don't know what it is, but the woman is pretty
♡","我不知道那是什么，但是女人很漂亮
♡"
44483,UgwVU7yQZgXNC9n_mhZ4AaABAg.8rD0Vsly1qk8rM8XZQ8Mr3,0,4 years ago,pretty kipgen this was made in 2019 (this year),这是2019年（今年）
42953,UgxBgIkKlYu75Wf6Z6R4AaABAg,0,4 years ago,i am in love with you marry me pls pretty lady,我爱上了你嫁给我
43081,Ugzy1rlAHSeJTou1QRJ4AaABAg,0,4 years ago,she is so pretty,她真的好漂亮
45542,Ugy6lgfdbt8y-iQbyS14AaABAg,0,4 years ago,"what can he not do? cooking, chewing, sewing all she was smart, she was cute, pretty. papepon, all his videos are best. i like it.",他不能做什么？烹饪，咀嚼，缝制所有她很聪明，她很可爱，漂亮。 Papepon，他所有的视频都是最好的。我喜欢。
45537,UgwOYxIFNhDftIQxz8B4AaABAg,0,4 years ago,pretty girl love you so much,漂亮的女孩非常爱你
43401,Ugw7H0whSEOQHa301354AaABAg,0,4 years ago,"miss, i'm ready to leave my city lifestyle and live there with you, i love gardening too and been doing it since i was little and i'm a pretty good cook too, dunno if i fit to be your husband.",小姐，我准备离开我的城市生活方式，和你住在一起，我也喜欢园艺，因为我很小，而且我也很不错，如果我适合你的丈夫，我也很不错。
45522,UgyiF_gZlC5eEUdV-614AaABAg,0,4 years ago,so pretty,太漂亮了
45489,UgyaddgaSPoxU26yt-14AaABAg,0,4 years ago,"you're actual heaps pretty, also, that stone oven is lit as f, realised its a dog and the wooden door has a handle shaped like a bone. 10/10 8)",您实际上很漂亮，那个石烤箱被照亮，f f，意识到它的狗，木门的手柄形状像骨头一样。 10/10 8）
45291,Ugx_vSs71xHOjJAXACV4AaABAg,0,4 years ago,"8:49 what a beautiful scene.....
extremely pretty","8:49多么美丽的场景.....
非常漂亮"
43597,UgyvFpLXnCh-iPU99Od4AaABAg,0,4 years ago,"pretty, work hard, talented chef. beautiful combination!!",漂亮，努力工作，才华横溢。美丽的组合！
45277,Ugz5fK5KAdYQtk8Vt0x4AaABAg,0,4 years ago,pretty place.,漂亮的地方。
43651,Ugy5ZpxdhnavaPbAbGd4AaABAg,0,4 years ago,pretty pretty pertty,非常漂亮
45087,UgyL8jGwFOCZQhdALpl4AaABAg,0,4 years ago,who says girls need to wear nice clothes to look pretty? shes already pretty with that cooking skills and kind heart.,谁说女孩需要穿漂亮的衣服看起来漂亮？她的烹饪技巧和善良的心已经很漂亮。
43755,UgwKXvrkoe3XZbQKdV54AaABAg,0,4 years ago,you better not eat those fucking dogs. and no this comment isn't racist and don't talk to me about how americans eat chickens. foh americans also don't drag them behind trucks or put them in bags and beat the with bats while they're alive. eating all meat is pretty bad on our health but bitch u better not eat those dogs no matter what ur grandma wants for dinner,你最好不要吃那些他妈的狗。而且没有这种评论不是种族主义者，也不要和我谈论美国人如何吃鸡。 Foh American也不会将它们拖到卡车上，也不会将它们放入袋子里，并在还活着的时候用蝙蝠击败。吃所有肉在我们的健康状态下非常糟糕，但是bit子你最好不要吃那些狗，无论你奶奶想要什么吃晚饭
43760,UgxyIp136Vi6LcHLZct4AaABAg,0,4 years ago,she is so pretty i like the video,她真漂亮，我喜欢视频
44994,UgxALUSfM9VnmDfnB7Z4AaABAg,0,4 years ago,it's really pretty the way she works. i would be satisfied everyday watching her cook.,她的工作方式真的很漂亮。我每天都在看着她做饭会感到满意。
43956,UgzLRpTcA-5vbOQ-3Cp4AaABAg,0,4 years ago,"she is so pretty and talented, that’s a wife material",她是如此漂亮和有才华，那是妻子的材料
44936,Ugz7s52zKHhxYdDHWeR4AaABAg,0,4 years ago,she is so pretty !,她真的好漂亮 ！
44088,UgyvPxlVWkOAAe7gPxR4AaABAg,0,4 years ago,astonised... truely... shes so pretty too. hope shes not doing it all by herself tho. high grade wife material ✨,惊讶...真实...她也很漂亮。希望她不是自己做的。高级妻子材料✨
44272,UgxHkjW_4qqrAt3VIix4AaABAg,0,4 years ago,natural living - so pretty. time we followed this lady's example.,自然生活 - 太漂亮了。我们遵循这位女士的榜样了。
44919,Ugzq5PRuTnhDr4yd2Rl4AaABAg,0,4 years ago,"pretty, shiny, perfect. hm. like hollywood, isn't it?",漂亮，闪亮，完美。嗯。像好莱坞，不是吗？
44720,Ugx_YIkeimUN49jEuP54AaABAg,0,4 years ago,wow your look so pretty,哇，你的外观真漂亮
44629,Ugx7QMIX_wmJr1cKL0R4AaABAg,0,4 years ago,what a pretty what a nice video,多么漂亮的视频
44339,Ugz0dsYwXalcP_GtdP94AaABAg,0,4 years ago,"china so pretty, i wanna visit",中国真漂亮，我想参观
44396,Ugw4deBazQF9G6gziZZ4AaABAg,0,4 years ago,"waaa so pretty, thank you for sharing this with us!",Waaa非常漂亮，谢谢您与我们分享！
42993,UgzzIUUgvDoWBBDi1Ul4AaABAg,0,4 years ago,"she's so pretty!!~

i'm jealous t^t","她真漂亮！

我嫉妒"
45603,UgymqtlQ1tBOlXbFOqJ4AaABAg,0,4 years ago,some of that looks good. some of it looks pretty gross,其中一些看起来不错。其中一些看起来很粗糙
46598,UgwKGB-AW5pLT4nfPC54AaABAg,0,4 years ago,totally loved it. i am now big fan of the pretty lady. india china behen behen.,完全喜欢它。我现在是漂亮女士的忠实粉丝。印度中国贝恩。
42761,Ugw6n16xKI6Qw_TiH6J4AaABAg,0,4 years ago,pretty,漂亮的
40261,UgyD8qgeBxwys-qyj054AaABAg,0,4 years ago,this simple and peaceful life & this pretty girl doesn't know where ??,这种简单，和平的生活和这个漂亮的女孩不知道在哪里？
40510,Ugz284kDpjqsLgoWpOd4AaABAg,0,4 years ago,oh now i see they had bussiness thats why they had a farm im amazed she is a pretty good girl,哦，现在我看到他们有忙碌这就是为什么他们有一个农场，我惊讶她是一个非常好的女孩
40613,UgxB4glX4Zi315bmUM54AaABAg,0,4 years ago,she was so pretty,她好漂亮
40677,UgzIbGU43ibq-xBanod4AaABAg.8sCIa54Bdf18sLPLogFeMs,0,4 years ago,@nearby4539 that's pretty cool actually.,@附近4539实际上很酷。
46569,UgwkxH7BcbjrvFTef4N4AaABAg,0,4 years ago,"she is pretty n cute.
cooking is cleanly done.
all are natural food.
mouth watering.
happy chinese new year.","她很可爱。
烹饪干净完成。
所有都是天然食品。
垂涎三尺。
农历新年快乐。"
46559,UgzalSiVRDryBw3_SbJ4AaABAg,0,4 years ago,where is china? really pretty.,中国在哪里？真的很漂亮。
40792,UgwajJxtS4NFaXgTxT54AaABAg,0,4 years ago,a handy and pretty girl. great mistress.,一个方便而漂亮的女孩。伟大的情妇。
40861,UgyjkyjbB72tA0Enqlh4AaABAg,0,4 years ago,pretty cannot help u get up or suvive unless u do the surviving illegal u inspired me madam,漂亮不能帮助您起床或Suvive，除非您做幸存的非法启发了我女士
40898,UgzoHlUwGIMs0TAJSCB4AaABAg,0,4 years ago,"is that a woman in the world?
my face is pretty, good life, and my fingertips
in my view, there is no woman like that in korea","那是世界上的女人吗？
我的脸很漂亮，美好的生活，指尖
我认为，在韩国没有这样的女人"
40919,UgyUo90KFlbU_h4sZQ94AaABAg,0,4 years ago,"realy i love the vedio,she is pretty,wonderful girl......realy no words to say. it is wonderful place .",真是我爱吠陀，她是漂亮，很棒的女孩……真是没说。这是很棒的地方。
40937,UgyUZxSGEifiLqmJvOR4AaABAg,0,4 years ago,"so sweet beautiful cute pretty ,,lovely very good job,,best off luck gd bless you,,,,",如此甜美美丽的可爱漂亮
41304,Ugxpb226PdyTg6YDGfh4AaABAg,0,4 years ago,she can do so much! is she married? i would be surprised if she was not. so pretty and skilled at many things,她可以做很多！她结婚了吗？如果她不是，我会感到惊讶。在很多事情上都很漂亮
46485,Ugx24j0g5Xv_oJB6Zd94AaABAg,0,4 years ago,"beautiful i think this chennel is goodest chennel for food video .,everything so pretty so cleeen beautiful place ..and this girl very hardworking",美丽，我认为这个小型唱片是食品视频的最好的Chennel。
41431,Ugz0naOdVAw3mxvXW8J4AaABAg,0,4 years ago,pretty,漂亮的
41494,UgwumDRs751lBYVAqut4AaABAg,0,4 years ago,very pretty. you are wonderful greetings,非常漂亮。你是很棒的问候
41862,UgwJHzNoImvUE3yaV394AaABAg,0,4 years ago,pretty,漂亮
46369,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qvm0R9898n,0,4 years ago (edited),"@mjt4789 it's dragged, not lifted, way less effort. it's not a mountain, more like a mound or small hill. plus, for all we know, the hill could be just beside her house. but yeah, she has an assistant and a cameraman that she hire herself (originally it's just her and tripod). pretty sure they help her. that video itself took her almost two weeks to make.

youtube visitors isn't even her main target audience. her main channel is on weibo. she started this ""show"" to promote her online store. but it's really her home and her life, only stylized. so, she's not an actress. she has 15 million followers on her weibo account. with such fame, somebody is bound to recognize her. only takes one person that she has had contact with in her entire life to come out and exposes her and it's game over.

but all in all, a little bit of skepticism is fine. we're not supposed to believe everything on the internet. me personally, i'm just enjoying the cinematografi.","@mjt4789它被拖动而不是抬起，更少的努力。这不是山，更像是土墩或小山。另外，据我们所知，山丘可能就在她的房子旁边。但是，是的，她有一个助手和一个摄影师，她自己雇用了自己（最初只是她和三脚架）。很确定他们会帮助她。该视频本身花了她将近两个星期的时间。

YouTube访客甚至都不是她的主要目标受众。她的主要频道在微博上。她开始了这个“表演”来推广她的在线商店。但这确实是她的家和她的生活，只有风格化。所以，她不是女演员。她的微博帐户有1500万关注者。有了这样的名声，有人一定会认出她。她一生中只需要一个与她接触的人，可以揭露她，这是一场比赛。

但总的来说，一点怀疑是很好的。我们不应该相信互联网上的一切。我个人，我只是喜欢Cinematografi。"
41977,UgzPWbjbPN10rT2wbzl4AaABAg,0,4 years ago,"i was like why's she cooking in such large amount, ah now i get it, she's a business woman, and it is such good way to live life, in farms. and i was pretty bumped that it only had 200k views until i saw the subscribers number.",我就像她为什么要大量做饭，啊，现在我明白了，她是一个女商人，这是在农场里生活的好方法。我很震惊，直到我看到订户编号为止，它只有200k的观看次数。
42073,UgwpUbG3wO5ZNqpTwiJ4AaABAg,0,4 years ago,it's like a fairy tale. one cut is so pretty.,这就像一个童话。一个剪裁是如此漂亮。
42314,UgyH0nK7aSU2mRWUamx4AaABAg,0,4 years ago,"i am in love with this woman so pretty and cooks so well, and the oven with ears haha ​​very nice, very nice culture, here women are complicated all to prepare simple things and if they do not have comforts just do not prepare anything, the culture is so pretty oriental greetings from chile",我爱上了这个女人如此漂亮，做饭很好，耳朵的烤箱哈哈非常好，非常好的文化，在这里，女人都很复杂，可以准备简单的东西，如果他们没有舒适感， ，这种文化是智利如此漂亮的东方问候
42439,UgxMc3v_jwse7RhccpR4AaABAg,0,4 years ago,girl is so pretty !!!!,女孩真漂亮！
42465,Ugwd6no1xfG-9-Qj1_R4AaABAg,0,4 years ago,shes so pretty,她是如此漂亮
45806,UgwuiOrEXLg8XyhME5V4AaABAg,0,4 years ago,what kind of camera should i shoot with this picture? the screen is really pretty.,我应该用这张照片拍摄什么样的相机？屏幕真的很漂亮。
40041,UgzFx5oDZJ5f5s09R914AaABAg,0,4 years ago,pretty,漂亮的
514,UgyoNy7A8454USfktJZ4AaABAg,0,4 months ago,"look at li ziyi's video, pretty good, drooling",看看李子柒的视频，蛮好的，流口水了
33341,UgzO4kc-PjfznHf2CVx4AaABAg,0,4 years ago,"honestly, i dont know what to feel about this video... like gurl ive all sorts of feelings from watching ur videos, its so admiring its so cute, so pretty so amazing n kinda confusing on how strong u are mann u carried two baskets filleddd with fruits with those tiny body hdhshshsjsjskrkrkdn you. are.amazing.",老实说，我不知道该视频有什么感觉……就像观看您的视频中的各种各样的感觉一样，它如此欣赏它是如此可爱，如此令人惊奇的n，令人困惑，因为您携带了两个篮子，用果实填充那些微小的身体hdhshsjsjskrkrkrkdn。是惊人的。
17055,UgxXeDzQoVTY7AV_lPR4AaABAg,0,3 years ago,"you realize, she’s like a barbie doll version of a woman from the bible. she’s a propaganda version of what men want. i mean someone had to teach her all that stuff. it’s really a nice short film about a wholesome girl that just great, clean, pretty, can cook anything and never looks tired.",您意识到，她就像圣经中的女人的芭比娃娃版本。她是男人想要的宣传版本。我的意思是有人必须教她所有这些东西。这确实是一部很好的短片，讲述了一个有益健康的女孩，这个女孩很棒，干净，漂亮，可以做任何东西，而且永远不会疲倦。
13540,UgzpXooXwE7X8wMZWw54AaABAg,0,2 years ago,hai iam sapna from india first of all u r soo pretty. whenever i saw your vedios it feels like alice in wonderland .i also want to learn your dishes.plzz make more nd more vedios tht we can enjoy u r cooking talent.❤❤❤❤❤❤❤,印度的hai iam sapna首先很漂亮。每当我看到您的Vedios时，感觉就像是爱丽丝梦游仙境。我也想学习您的菜肴。
13577,Ugw10Gbk_MIpTNQwZRd4AaABAg,0,2 years ago,"hello, how is my pretty princess, you are as pleasant to my eyes as if god had put an angel to know that there is hope to reflect in your eyes my heart",你好，我漂亮的公主怎么样，你对我的眼睛愉快
13996,UgyCGECwC1yPLYJN4sx4AaABAg,0,2 years ago,so pretty_chee over and over again is not boring,所以pretty_chee一遍又一遍地并不无聊
14544,Ugz-5ZC7kWI4qNt7kkt4AaABAg,0,2 years ago,"she is so good, always pretty",她是如此的好，总是很漂亮
14692,UgwwEvvxKE9_0iXYS7F4AaABAg,0,2 years ago,please can we see a video of her going to the market. pretty please...!,请我们可以看到她去市场的视频。请漂亮...！
14836,Ugxsr_OcW6kIT8U4dDV4AaABAg,0,2 years ago,so pretty,太漂亮了
15409,Ugxac2m7rfJutVZSKaV4AaABAg,0,3 years ago,king of pretty king,王
15536,UgwAmfZF8C33LDWSmtx4AaABAg,0,3 years ago,"i change the actor a little. there are a lot of pretty kids. it's not ugly, but i have a bit of a body ...
it's poor .. 57 million youtube will have money. it's a problem ...

a little in shape ...","我改变了演员。有很多漂亮的孩子。这并不丑陋，但是我有点身体...
很差.. 5700万YouTube将有钱。这是一个问题...

有点形状..."
