,cid,votes,含china,含china中文翻译
17135,UgyTRI0spDFjmAXU5N94AaABAg.92nbZezvUnI92w5LY9MXwp,4,there are such kind of landscape in sw china everywhere,到处都是西南部的景观
29514,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yZOYoW3qZP,4,nepal and china is not the same,尼泊尔和中国不一样
28331,Ugy-UfRsD7_JQ46ukqx4AaABAg,4,"part of the reason why i enjoy watching these videos so much is that they remind me of how things used to be when i was little. granted, i am not a girl from china living on a vast farm like she does, but i did have a small place in kentucky where we took care of ourselves and harvested our own food like this. it's nice to see that there are some people out there who still take a moment to do things in a more old-fashioned kind of way.",我如此喜欢观看这些视频的部分原因是，它们使我想起了我小时候的情况。诚然，我不是一个像她那样生活在一个庞大的农场上的中国女孩，但是我确实在肯塔基州有一个很小的地方，我们在这里照顾自己并像这样收获了自己的食物。很高兴看到那里有些人仍然花点时间以一种更老式的方式做事。
18400,UgwdzQh2Ul3-G5iLe_F4AaABAg.92VpQGNVRRm92kkDc_QAQB,3,"i knew at a glance that this must be a very professional team, but it still does not affect my view of her video. can you ask a small fresh meat or a traffic star in china, can you shoot this effect? ​​ziyi is obviously really very powerful in these traditional techniques.",我一看就知道这肯定是有很专业的团队，但仍然不影响我对她视频的看法。试问你在国内请个小鲜肉或者流量明星能拍出这种效果吗? 子柒很明显是真的在这些传统技艺上特别厉害
18809,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792TktQWaA7x,3,i mean has nobody wondered how this woman is uploading videos to youtube which is banned in china and uses professional film equipment in a village in the middle of nowhere? ffs,我的意思是，没有人想知道这个女人是如何将视频上传到YouTube的，该视频在中国被禁止并在无处的村庄使用专业电影设备？ FFS
17384,UgzpONnO8ysIUopexzB4AaABAg.92knIKq5sJf92myMfVHydV,3,"china government is suck, but the chinese people and culture is great.",中国政府很糟糕，但中国人民和文化很棒。
13970,UgwuGIgZ8GAs40iZjiF4AaABAg,3,"how does she even get on youtube
it's banned in china*
i guess she knows how to use a vpn?","她甚至如何进入YouTube
它在中国被禁止*
我想她知道如何使用VPN？"
10898,Ugwuo9ZvdA39ONQ2enl4AaABAg.98CTy_kIniZ99_bYhSLpbK,3,"we all live on the earth. although the language is not unreasonable, we are welcome to play in china at any time. we will welcome you very warmly","我们都是住在一个地球上，虽然语言不通，但随时欢迎您来我们中国玩,我们会很热情的欢迎您"
21014,UgwHn3prBALZlBKlpap4AaABAg,3,"she has one of the biggest fan base in china, across all platforms it amounts to 50 million fans!!!!!",她拥有中国最大的粉丝群之一，在所有平台上，均拥有5000万个粉丝！！！！
18333,Ugyx6K5-MFt8_NXZsDx4AaABAg,3,i'm confused about why some people always think that everything from china is related to communist? even a video that has no talk?,我对为什么有些人总是认为来自中国的一切都与共产主义者有关？甚至没有说话的视频？
17459,UgyxjCNw7PcHy00mFTh4AaABAg.92kFCYuSK5v92qdsCt_p5H,3,"come to china then,you will feel differently",那时来中国，你会有不同的感觉
17351,Ugz_7s6SA3hDL7Can_t4AaABAg.92l8B0Itr-992n-eyl4mZn,3,the thing is the chinese food you have is totally different in china,问题是您所拥有的中国食品在中国完全不同
6602,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EiLR8OFVHU,3,"live in asia mr. this is what our life is alhamdulillah ๐๐...fresh fruits, fresh vegetables, fresh cut animals, fresh air....and beautiful nature...at least try to go visit asia...like philippines, china, thailand, taiwan, singapore, malaysia, cambodia and vietnam...this is mostly the life we have......... especially in provinces....๐‘โ๐๐",住在亚洲先生。这就是我们的生活是Alhamdulillah
15538,Ugym95lIZzwQdXifoVh4AaABAg,3,that amazing and beautiful to see this it's like watching the old school moives of china the ancestors would be proud and happy to see this would bring tears,看到这一点的令人惊叹和美丽
19710,UgzURqhDbsxJKB4DKSF4AaABAg,3,"the scenery is very beautiful. there are a few vegetables. my sister is very good at it looks delicious.
bleak
bleak
blessings from taiwan, china","风景很优美

☕☕☕☕☕☕☕☕
来自中国台湾的祝福"
19978,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92TP0tybcJj,3,@craneywang2584 but most people in china is so kind,@craneywang2584，但中国的大多数人都很友善
6680,Ugx6Rdcniw59ysjZ1nZ4AaABAg,3,"on average, i will buy 90 from china, and bao snails will return to malaysia",平均一年我会从中国淘90，包螺蛳粉回马来西亚
12285,UgwGKHdXaxgn3fpwnGh4AaABAg,3,"i didn't know her channel when i was living in china, now i'm in switzerland, living chinese food so much and wanna learn a few dishes myself, i discovered her channel. so amazing...thank you, ziqi :)",当我住在中国时，我不知道她的频道，现在我在瑞士，在中国食物中过得很愉快，想自己学习一些菜，我发现了她的频道。太棒了...谢谢Ziqi :)
19973,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92Ozvwo_Cck,3,"@aimeem9566 in china, there are more than 200 million pepole who support li, i also support her. of course, someone dislikes her due to some reason, but please do not say most of dislikes from china. this saying does not respect china.",@aimeem9566在中国，有超过2亿pepole支持李，我也支持她。当然，由于某种原因，有人不喜欢她，但请不要说来自中国的大多数不喜欢。这句话不尊重中国。
18833,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792bZsSLf3V_,3,"maybe hongkong criminals, they attack everything in china",也许香港罪犯，他们攻击了中国的一切
11404,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97v2SPLv3d2,3,"also, there are already lots of chinese youtubers online, not just her. the service of youtube is off limits in china for sure. there are gray areas via vpn. ok? lol",另外，在线上已经有很多中国YouTuber，而不仅仅是她。 YouTube的服务肯定在中国不受限制。通过VPN有灰色区域。好的？哈哈
16789,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93-cb5k4Rcl,3,@tehkettybear you are not chinese and never went to china you know noting about china now. you are talking about the past.,@tehkettybear你不是中国人，从来没有去过中国，你现在知道中国。你在谈论过去。
19968,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92MTu-hV5wT,3,"@ashoretoo many foreign countries like america always say something bad or false about china, but in fact china is very good. if you come to china, you will like china. in recent 20 years, china develops very fast, foreign countries now think china is a threathen for them and do some ugly things to china. i hope, foreign people should deal with china objectively and do not believe what the media says or some governments say, especially america.",@ashoretoo等许多外国像美国这样的外国总是对中国说坏话，但实际上中国非常好。如果您来中国，您会喜欢中国。在最近的20年中，中国发展非常快，外国现在认为中国对他们来说是一种折磨，对中国做了一些丑陋的事情。我希望，外国人民应该客观地与中国打交道，不要相信媒体所说的话或一些政府所说的话，尤其是美国。
11691,Ugx1u0V5Uz2ND58GxSZ4AaABAg,3,i like the countryside in china and japan.,我喜欢中国和日本的乡村。
10677,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_8zJZc5TY,3,"@mohammedharoon8453 china has existed for 5.000 years. loooong before marxis lenin was even born...
telling that all chinese r ccp is simply idiot !","@Mohammedharoon8453中国已经存在了5。000年。马克思·列宁（Marxis Lenin）甚至出生之前。
告诉所有中国R CCP都是白痴！"
100,UgzIX6v6qNFz5C4zBx94AaABAg.9qE0PYZQ1zp9qHvyoC-3vA,3,"she has terminated her contract with her company due to some issues. they took too much of the royalties out of her videos when she did all the job. they couldn't convinced her anymore so she just stop making any videos. i heard she's now doing some tour around other countries to demonstrate china's culture. she pretty much doing fine. i miss her videos as well, but she had chose her right. i always come back to her old videos whenever i feel pretty stress out. probably hope one day she'll come back again .",由于某些问题，她已终止与公司的合同。当她完成所有工作时，他们从她的视频中取出了太多的特许权使用费。他们再也无法说服她了，所以她停止制作任何视频。我听说她现在正在其他国家进行一些巡回演出，以展示中国的文化。她几乎很好。我也想念她的视频，但她选择了她的正确性。每当我感到非常压力时，我总是回到她的旧视频。可能希望有一天她会再次回来。
31485,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW38EDtg3m,3,@lasergames1798 actually you cant watch youtube in china you cant access google at all in china,@lasergames1798实际上您无法在中国观看YouTube您在中国根本无法访问Google
33511,Ugxzr2qQOspcD9LbGiB4AaABAg.8yUafEOIJ_w8yUrN3-WzDU,3,"she lives in sichuan, the place people like spicy food most. not every part of china eat spicy food",她住在四川，人们最喜欢辛辣食物。并非中国的每个部分都吃辛辣食物
22919,UgymdEVX_unx0VIS_Rl4AaABAg,3,i love china . from vietnam,我爱中国 。来自越南
31490,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18ymHz51PJbo,3,"franz peters the videos are also uploaded on many china website,such as bilibili and weibo, there are also many chinese viewers to watch her video.",弗朗兹·彼得斯（Franz Peters）也将视频上传到了许多中国网站，例如比利比利（Bilibili）和微博（Weibo），也有许多中国观众可以观看她的视频。
32775,Ugy_hv9x1j8WcLgZnNF4AaABAg,3,"is it china and moso bamboo? _ (: 3 ""∠) _
the bamboo shoots are delicious. i cook and eat when i have a bamboo bamboo in my house. ume
however, the situation is quite different from the bamboo bamboo shoots ('・ ω ・ ｀) the density seems to be high.","是中国和莫索竹子吗？ _（：3“∂）_
竹芽很美味。当我家里有竹子时，我做饭和吃饭。梅
但是，情况与竹竹芽（'・ω・）完全不同，密度似乎很高。"
28217,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yhM8M9i6UG,3,"those who believe in disney princesses gonna tell you that she's doing all by herself and a borther and an assistant; but the truth is, this is the tourism department of the gvt of china producing high quality vlogs to promote its culture. its monitized with a huge production team behind it.",那些相信迪士尼公主的人会告诉你，她自己是自己做的，一个鲍瑟和助手。但事实是，这是中国GVT的旅游局，生产高质量的视频博客来促进其文化。它在其背后的一支庞大的生产团队中进行了监视。
4788,Ugz-9AfuXVyzFJJ4yi54AaABAg.9IcflViauGt9KCwSiEd5wU,3,@user-dk8ix8dn1z everything come from china actually,@user-dk8ix8dn1z实际上一切都来自中国
2700,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9feBeXzlqxb,3,"@lizhao4061 even if this is just a commercial show, it still very chill, relaxing, positive energy... much better than some drama shows, stupid prank content...etc...etc... on internet. 

btw, i don't know about china, but my mom live in a small village in vietnam wear something similar, different design but the same metarial.","@lizhao4061即使这只是一场商业表演，它仍然非常寒意，放松，积极的能量……比某些戏剧表演，愚蠢的恶作剧内容...等等要好得多。

顺便说一句，我不知道中国，但我妈妈住在越南的一个小村庄里，穿着类似的设计，不同的设计，但具有相同的元。"
4405,UgzXT7AM2U6u_E9jHPd4AaABAg,3,it is definitely necessary to go to china.,绝对有必要去中国。
29525,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ybM4ervqkj,3,"you are right. actually, it's a place close to nepal and northeastern part of india compared to other places in china.",你是对的。实际上，与中国其他地方相比，这是一个靠近尼泊尔和印度东北部的地方。
28679,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g92mKnzDRp-e,3,"aaron zhang, so why do she live in china why she wants to speak english, just upload the video here for more people to see it. if you like it, you do n’t need to watch it silently. you do n’t need to laugh at others. essence",Aaron Zhang 是的 她生活在中国为什么要讲英文，只是把视频上传到这里给更多人看到罢了，喜欢的自然喜欢不喜欢就无需看默默走开就好，没必要嘲笑人家不会讲英文。
19085,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392JpCCN2UwL,2,welcome to travel in china.,欢迎在中国旅行。
27159,UgztyCBWaNMU6t4gPCB4AaABAg.8yhaIPdMJuc8yiv8GGWs4R,2,some of them are natural haters. and some of them are paid anti-china trolls.,他们中的一些是自然的仇恨者。其中一些是付费的反中国巨魔。
7854,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9DywGBXEKcb,2,i guess we the north east indians inherits the same culture as china...esp. food habits....,我猜我们东北印度人继承了与中国相同的文化...尤其是。食物习惯...
18830,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792Wlr3CdyOF,2,maybe those who anti everything that from china,也许那些反对中国一切的人
3335,Ugyow-ovMPINGOX0OAV4AaABAg,2,"1) she should teach all these recipes to millions and millions of chinese girls.

2) they should farm all these products all over china.

3) they should open millions and millions of restaurants all over china.","1）她应该向数百万中国女孩教授所有这些食谱。

2）他们应该在整个中国种植所有这些产品。

3）他们应该在中国各地开设数百万餐厅。"
31372,Ugz1I8IVDaSZ28ZBANJ4AaABAg.8yVFWEkdlqa8yVi754j66W,2,"@user-sr5kg5gd3x taiwan's mentally retarded program host, saying that most people in mainland china can't afford tea eggs poorly",@user-sr5kg5gd3x 台湾弱智节目主持人的一个梗，说中国大陆大部分人穷的吃不起茶叶蛋
18834,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792cIiWL4h2Y,2,"@oriolopocholo lol, vpn costs just for 10$ a month, but we don't use youtube too oft, we have big video portals inside china and liziqi has therer more followers. china has millions of video bloggers, you think we don't have proffesional fim equipment? the village of liziqi is not very far from city away, and yes we chinese are not living in caves, we have cars! i think you get too much western propaganda.",@oriolopocholo LOL，VPN的成本仅为每月10美元，但我们不太使用YouTube，我们在中国内有大型视频门户，Liziqi有更多的追随者。中国有数百万个视频博客作者，您认为我们没有专业的FIM设备吗？ Liziqi村离城市不远，是的，我们中国人没有住在洞穴中，我们有汽车！我认为您得到了太多西方宣传。
9163,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9AV6-g2-DFs,2,"welcome to china, but china is not an immigrant country, it is difficult to stay, and it is easier to stay with the chinese to stay.",欢迎来中国，只是中国不是移民国家，留下来很难，需要和中国人结婚
30713,UgyLzQxSX-Xr9lsYQYB4AaABAg.8yVVAc4Dbyh8yWhHbJkaE3,2,"china is the most populous country in the world and everything is tumultuous, nothing quiet",中国是世界上人口最多的国家，一切都在动荡，没有安静
26885,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yqhiYnBhiy,2,john smith haha，i don’t know you know now in china many mountains or cultivated land or a house in the country can be rent by private person to do what you want (legal things) for 22 years in the first tenancy term.you can plant trees or raise animals or reconstruct the house to live by yourself or as a homestay in the area. many chinese people have rent them to create their own beautiful life.,约翰·史密斯·哈哈（John Smith Haha），我不知道您现在在中国知道许多山脉或耕地或该国的房屋可以由私人人士租用，以便在第一个租赁期限内做您想做的22年（合法的事情）。可以种植树木，养育动物，或重建房屋以自己或该地区的寄宿家庭生活。许多中国人有租金来创造自己的美丽生活。
1715,UgwHRgW_qT_mU1HU2Ud4AaABAg,2,china must stop genocide against the uyghurs,中国必须阻止种族灭绝对抗乌格尔人
30766,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yWl7PLCo1U,2,life in china is beautiful ❤️,中国的生活是美丽的❤️
19001,Ugw1cZqeV_fUti3ordl4AaABAg.92C9VVriOb_92KTgaz4xa9,2,china is getting better!,中国越来越好！
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
9241,UgyiNUY9ElRSNXAR4_x4AaABAg,2,amazing beautiful nature living bamboo very famous in thailand too some of thai cuisine also the same as chinese cuisine and we have also china town in thailand alot of chinese people live in thailand i really love your video and it look so beautiful nature living god bless you,令人惊叹的美丽大自然活着的竹子在泰国也很有名的泰国美食也与中国美食相同，我们在泰国也有中国小镇，很多中国人都住在泰国
8653,UgxVCcqFu2Amz8bKnf94AaABAg,2,"who took this? the near -view vision plus editing, i thought it was china on the tip of the tongue. essence essence",请问这是谁拍的啊？近景远景加剪辑，我还以为是舌尖上的中国呢。。。
30982,UgyO8280ftF4Qn5JOIt4AaABAg.8yVPSboV9tf8yWh-GpJno5,2,"@christinec6533 yes, that's just my opinion. i know that those guys will fight everything that shows china's good side. of course, that is only a small number of people.",@Christinec6533是的，这只是我的看法。我知道那些家伙会与显示中国良好一面的一切作斗争。当然，那只是少数人。
16623,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H936j7Gvmec4,2,"i am sure there is a team, probably set up by china government to help her. planning, videos and editing are all done professionally",我相信有一个团队，可能是由中国政府建立的，以帮助她。计划，视频和编辑都在专业上完成
3251,UgzfOK91y6MNCIzCmrd4AaABAg.9PK_Kx7sXwa9PNvFu501Ba,2,"wrong, there are many foods in china.",错，国内这样的美食自媒体很多。
4887,UgwBdL8RFnlKoh0KJ0V4AaABAg.9INZ0ibBT3R9LPLlQAdpov,2,"china ruled korea for some years, so the chinese culture and food must have influenced the korean culture and food too. but they refuse to admit it",中国统治了韩国多年，因此中国文化和食品也一定也影响了韩国文化和食物。但是他们拒绝承认
27512,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8ykvb4qNnkA,2,"@vashthestampede007 yes that's what i meant by ""non-official ways"", thank you for the more precise infos ! i don't really know how easy and common it is to use vpn for people in china. interesting subject",@vashthestampede007是的，这就是我的意思是“非官方方式”，谢谢您的精确信息！我真的不知道在中国使用VPN多么容易和普遍。有趣的主题
27547,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqYaQoVvKL,2,"@melissabrownapt215 your thinking of what they show, which is crowded cities.. but most of china is rural

while ive never seen one myself, i know part of its that its a generational homestead, she mentions learning from her grandparents, her grandmother is in the videos, she says her grandmother planted the gardens 

i think she went to the city 
and returned to the country because it is better","@melissabrownapt215您对自己所展示的东西的思考，哪个是拥挤的城市..但大多数中国是乡村

虽然我从未见过自己，但我知道这是一个世代相传的宅基地，她提到了祖父母学习，祖母在视频中，她说她的祖母种了花园

我认为她去了这座城市
并返回国家，因为它更好"
28788,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97Sr7M7uNl8,2,@franzpeters3824 china’s culture is profound! why learn english? hehe,@franzpeters3824 中国的文化博大精深！为什么学英文？呵呵
28734,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g954XVx_cVCs,2,@franzpeters3824 people who always associate something with politics are very disgusting. you hate her because you can't be like her. u dont have culture like china.,@franzpeters3824始终将某件事与政治联系在一起的人非常令人恶心。你恨她，因为你不能像她一样。你没有像中国这样的文化。
17712,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92kP07k7GBx,2,kyleinstraya 11 you are too ignorant. there are so many beautiful places in china. welcome to china.,Kyleinstraya 11你太无知了。中国有很多美丽的地方。欢迎来到中国
18131,UgwFFHbGBnpCqZxUaYx4AaABAg.92_4c6Udh6k92i8gyE4XBu,2,"some people really don't like xiaolang lin. they will feel unpleasant. there are still many people in china that i like to eat with my mother. my dad will not be able to bear it. when you go home, you will open the window. what you say is too ... you can't describe snail lion powder with nausea, after all, one of chinese food.",Xiaolang Lin 有的人确实不喜欢，他们会觉得味道难闻，国内还是有挺多人讨厌的，我跟我妈爱吃，我爸就受不了，回家就会开窗户
29532,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc05Qz4AXj,2,"actually this place she is in is likely somewhat similar to the terrains you speak of. it is the rural part of china where everything is still rather underdeveloped. but if its the cities, i'm sure you've seen pictures of beijing and shanghai. it is quite different so it actually ranges from place to place. every city has its own culture. forgive the rude asshats above.",实际上，她所在的地方可能与您所说的地形有些相似。它是中国的农村地区，那里的一切仍然不发达。但是，如果是城市，我敢肯定，您已经看过北京和上海的照片。它完全不同，因此实际上范围从地点到地点不等。每个城市都有自己的文化。原谅上面的粗鲁混蛋。
18233,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92iKsl8hxIr,2,"@lucychan2822 if you do not like spicy food, i suggest you to try the food of guangdong or shanghai. china has so many great food, but as a chinese, i cant get used to some of them too. you need to find your love one.",@lucychan2822如果您不喜欢辛辣食物，我建议您尝试广东或上海的食物。中国有很多美味的食物，但作为中国人，我也不能习惯其中一些食物。您需要找到自己的爱。
30255,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zdDzwPWDpL,2,are you too stupid this channel is communist china produced propaganda? wakeup!,您太愚蠢了这个渠道是共产主义中国引起的宣传吗？醒来！
30256,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zdEC-m5yJX,2,"yeah, good to see comunist china propaganda is so wholesome. idiot fool that you are.",是的，很高兴看到共同的中国宣传是如此有益。白痴你是。
17134,UgyTRI0spDFjmAXU5N94AaABAg.92nbZezvUnI92vrDEAunxD,2,sichuang china,sichuang China
18472,UgzHJuIV1WC65Sf_dTl4AaABAg,2,"in terms of food no.1, it must be china",论美食NO.1必须是 China
30258,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zdETV45Gva,2,yeah c ommumist china propaganda is so warm.,是的，中国宣传是如此温暖。
18525,UgwFsgKBe50sBFkQ9xF4AaABAg.92TZpu48m6092_kl483hi0,2,"how to say, boring or not, the most important thing is your mood.
behind li ziyi's video is definitely a very professional video team. it can have more than 7 million fans on overseas media, which has always been revenge, and most of them are foreigners. i think this is enough, which is worthy of our support. the most lacking in china is more cultural exporters, allowing more foreigners to understand chinese culture instead of being guided by false negative reports of anti -chinese media all day. by this point alone, it is worth supporting! intersection intersection","怎么说呢，枯燥与否，最重要的是你的心境。
李子柒的视频背后肯定是一个相当专业的视频团队来做的。能在一向仇华的海外媒体上拥有七百多万粉丝，而且大部分是外国人。我觉得这就够了，这就非常值得我们去支持她。当前的中国最缺少的就是更多的文化输出者，让更多的外国人了解中国文化，而不是整天被反华媒体的虚假负面报道所引导。单凭这一点，就值得支持！！！"
18611,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92cbocOpMqD,2,"nationalism always finds its place and pride in patriotism, i may love china, but never because of communism or some certain regime, and the so-called great political leaders only exist in highlighted profile on tv or in books with perfect iamges, while in fact most chinese even don't know who are in charger as their local chief government ofiicers, let alone meeting them face to face, and everything about great leaders are from the elaborated official publicity, since no one is allowed to comment on them in a negative tone in china publicly. anyway, it's my personal experience, observation and perspectives based on my current decades of life in china. the point is that you can love or be in favor of some politicians or political ideology, but you can't represent all the population or force others to believe in only one political doctrine, for you can only stand for your ownself, while other people should have their rights to have their own sayings and stances at their free will.",民族主义总是找到自己对爱国主义的地位和自豪感，我可能爱中国，但从来没有因为共产主义或某些政权，而所谓的伟大的政治领导人只有在电视上或具有完美iamges的书籍中存在于强调的个人资料中，而实际上大多数中国人甚至都不知道谁是当地的首席政府，更不用说面对面与他们会面，而关于伟大领导人的一切都来自详细的官方宣传公开中国的语气。无论如何，这是我的个人经验，观察和观点，基于我目前在中国的生命。关键是您可以爱或赞成某些政治家或政治意识形态，但是您不能代表所有人口，也不能强迫他人仅相信一种政治学说，因为您只能代表自己，而其他人应该有权自由意志拥有自己的言论和立场。
18614,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92fo0ZCAEYa,2,"pedro c western countries tried hundreds of years to launch wars against china, colonize china and tear china apart, but mao made china united again. now you know why mao is devil in your books.",佩德罗（Pedro C）西方国家（Pedro c Pedro C）尝试了数百年来对中国发动战争，殖民中国并撕裂中国，但毛泽东再次使中国团结一致。现在您知道为什么毛在书中是魔鬼。
2773,UgyiXWTQEnoEZHORRy14AaABAg,2,everything she does makes me want to live in china...and i've never lived anywhere but my hometown.,她所做的一切都让我想住在中国...除了家乡以外，我从未住过任何地方。
2789,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UKiID4ZLJh,2,then come to china,然后来中国
16794,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI933vO0NAXgo,2,@tehkettybear we have been to china seven times from australia mostly on land tours since 2006. there are tourists from all over the world. china has developed very rapidly and it is currently the second largest economy in the world. frogs live in a well and haven't been to china.,@tehkettybear自2006年以来，我们从澳大利亚七次去了中国。中国发展非常迅速，目前是世界第二大经济体。青蛙住在井里，还没有去过中国。
30490,UgzNguPINaQxJA8jtWN4AaABAg.8yVeMJpA51Y8yWW8ATbR50,2,isn't this china?,这不是中国吗？
31280,UgzKbjbciWq_U6Pq7yF4AaABAg,2,"after watching this episode, my tears are almost falling. i was also a person who could eat snail powder before! however, after moving abroad, the appetite gradually faded due to conditions and environmental reasons. a year ago, i flew back to china while holidays, thinking about eating snail powder, but once, i was spicy enough to use half of the box to draw paper + diarrhea. now there is no condition to eat (whether it is objective or subjective). wow wow wow wow, making sad crying.",看完这一集我眼泪都快落下来，之前我也是能吃螺蛳粉的人！但在搬到国外后因为条件和环境原因胃口渐渐变淡，现在连辛拉面(方便面)都吃不了。一年前趁放假飞回中国，心心念念想着要吃螺蛳粉，结果就那么一次，我被辣到用完大半盒抽纸＋拉肚子。现在想吃也没条件了(不管是客观还是主观的原因)。呜哇哇哇哇哇，发出悲痛的哭嚎声。
16291,UgzGo8lfYU11R34rFF54AaABAg.92wzyoDy2Ws935UPRBpspQ,2,in southern china actually,实际上在中国南部
13625,UgyAHWYXZDE7ESsCd9l4AaABAg.95685tw3s9P957KNR9a8PS,2,"that's a friend of rapeseed oil. the snail powder can be bought online (taobao). li ziyi also has its own brand snail powder. there are also many well -known brands in china, such as snail overlords.",那是菜籽油朋友，螺蛳粉在网上可以买到（淘宝），李子柒也有自己的品牌螺蛳粉，国内也有很多知名品牌，比如螺霸王，好欢螺，都可以通过淘宝购买到
23124,Ugx36mmuXyMakzfJm954AaABAg,2,happy mid -autumn festival ~ people watching your videos overseas are really a kind of enjoyment and want to return to china to eat chinese food,中秋节快乐呀～人在海外看你的视频真的是种享受 好想回国吃中国美食
16280,Ugy0kCO-C8c4ew6Z5aZ4AaABAg,2,"when you watch this video its like your in a haze, so relaxing and calm. good break from the hustle and bustle of working in the city! gotta visit china soon and learn about my cultural heritage, right now my perspective is muddled by western culture, so harsh and abbrrasive specially for my children. keep up the videos!",当您观看此视频时，它就像您的阴霾一样，令人放松和镇定。从城市工作的喧嚣中度过了良好的休息！要尽快参观中国并了解我的文化遗产，现在我的观点被西方文化所困扰，这对我的孩子们来说是如此苛刻和宽容。保持视频！
4718,Ugx_jMHljWCnO-PM0-x4AaABAg,2,because of liziqi i am saving money for plane ticket to china and to rural china to buy a property,由于Liziqi，我正在为中国的机票和中国农村购买财产省钱
22410,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi95JYxojFjus,2,@lichina5639 may i ask if you are saying that your own quality and inferiority should be changed? i am sure that only what i pointed out is her life style and reality on the film. what is the inferior root nature? is your own quality and inferiority? maybe your english level cannot understand what i mean?,​ @lichina5639 请问你是在说你自己的素质和劣根性该改改了吗? 我非常确定我指出的只有她在影片上的生活风格和现实应该有很大的分别想问一下你说的素质和劣根性到底是什么?你自己的素质和劣根性还是? 可能你的英语水平无法理解我所表达的意思吗?
15403,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97i7obrONsn,2,"yes its a show, idealizing country life in china. in reality the women are portly and missing teeth and the food is rice with whatever else you can scrounge up.",是的，这是一个节目，在中国理想化的乡村生活。实际上，妇女是矮胖的牙齿，食物是大米，还有其他您可以抓住的东西。
