,cid,votes,time,含china,含china中文翻译
37921,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8uJLSDRDITT,2,4 years ago,no it's called china,不，这就是中国
29083,Ugyn3iO19nduRXScMyR4AaABAg,2,3 years ago,9:13 took me back to a mulan scene where a little girl was carrying water just like her. rural china is so beautiful!,9:13带我回到了一个木兰的场景，一个小女孩像她一样拿着水。中国农村是如此美丽！
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
21796,UgxikUmjo1ld7JrYdcl4AaABAg.93KWcR8bZTq93PC6T8Gibx,2,3 years ago,she distribted to some fans(by lucky draw) as she said on china's social media,正如她在中国的社交媒体上所说的那样，她向一些粉丝分发了
23196,Ugx8W3zq1Z6h78EiOaN4AaABAg,2,3 years ago,"my childhood is as same as it. really miss my hometown and my grandpa .he passed away last year, on the day i was on the flight back to china .",我的童年和它一样。真的很想念我的家乡和我的爷爷。去年，他去年去了飞往中国的那一天。
13190,UgzGTGnIyu8rpnxgdIV4AaABAg.9C9qthCZ61x9CSpJreINaM,2,2 years ago,this is how popcorn was made in rural china about 30 years ago. then i watched open-air movies. i ate it when i was a kid. it was scary when it exploded...,这就是大约30年前在中国农村制作的爆米花的方式。然后我看了露天电影。我小时候吃了。当它爆炸时，这很可怕...
46323,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r06GEVUhUO,2,4 years ago,"what is good for china to fight against china? the bad things are done by the communist party, so you must fight against the party. the brain like you is only suitable for picking dung. it's okay to see the hotline, so you don't need to pick a big dung in the future.",华有什么好反华的，坏事是共产党做的，所以一定要反党，像你这种脑子只适合挑粪打杂。没事去看看妄议热线，以后就可以不用挑大粪。
46871,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28r81cpaFXSp,2,4 years ago,me too. my hometown is exactly where she is living now mianyang sichuan. i miss my hometown and my grandpa. it has been almost two years since i left china.,我也是。我的家乡正是她现在住的米扬扬四川。我想念我的家乡和爷爷。自从我离开中国已经快两年了。
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,4 years ago,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
6873,UgyreNtMVZQeXrquvRZ4AaABAg.9Kum6K17yQD9LEQZWIa3o5,2,2 years ago,"@crabvakho i am chinese and i go back to china to visit my family almost every single year... i have visited rural areas in my city... i have to say that the living condition has improved a lot, and is getting better and better, for these, you can’t just research about, you will have to see them with ur own eyes.",@crabvakho我是中国人，几乎每年都回到中国探望我的家人...我访问了我城市的农村地区...我必须说，生活状况有所改善，并且正在越来越好更好的是，对于这些，您不能只是研究，您将不得不用自己的眼睛看到它们。
40699,UgyTV3dpGxKQ08_3gaF4AaABAg.8sBWDKtOJAm8sMgXvJTsYL,2,4 years ago,"that is a grain amplifier, the greatest invention of china, must not let foreigners learn from",那个是粮食放大器，中国最伟大的发明，千万不能让老外偷学到
26167,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qCmxcQqcN,2,3 years ago,"่ฐขๆ— ่จ€ so๏ผyour point is she doesnโ€t live in the life showed in the video? the truth is she experienced the village life in china and she is showing a positive living attitude, that what made she popular, she started from nowhere, no team, no company.
it is undeniable that the real rural life is rough and there are many disappointing problems as well, but there are many people live with positivity in face of difficulties. 
the farmers in china now living in a life much better than the past thousands year, no tax, no worries about war and starving, free education, medical insurance, encouraging well-educated students to develop the deprived areas, funds for the poverty, internet, electricity and signal almost everywhere, paved roads to every villages, most of farmers are able to build a house if they work hard.","谢无言那么，您的意思是她不生活在视频中的生活中吗？事实是，她在中国经历了乡村生活，并且表现出积极的生活态度，使她受欢迎的是从无处开始，没有团队，没有陪伴的原因。
不可否认的是，真正的乡村生活是艰难的，也有许多令人失望的问题，但是面对困难，有很多人生活在积极上。
中国的农民现在生活在生活中的生活要比过去一千年好得多，没有税收，不用担心战争和饥饿，免费教育，医疗保险，鼓励受过良好教育的学生发展贫困地区，贫困的资金，互联网，几乎到处都是电力和信号，通往每个村庄的道路，大多数农民都可以在努力工作的情况下建造房屋。"
26778,UgyB0PaQTMSOuLectl94AaABAg,2,3 years ago,"i've been watching ur video every lunch break for relaxing. 
i lived a similar life when i was young in china, but i was bored of that, i was always unwilling to do farming, labour, and i was jealous of those kids living in cities. now, i am living in city and realised how beautiful life it was during my childhood.
thank you ziqi.","我在每个午餐休息时间都在观看您的视频，以放松身心。
我在中国年轻时过着相似的生活，但我对此感到无聊，我总是不愿意做农业，劳动，我嫉妒那些住在城市的孩子。现在，我住在城市，意识到我童年时代的生活多么美好。
谢谢Ziqi。"
3501,UgzVDNc9uZFpddKKimV4AaABAg.9TmuCPkQnPn9TpjfpgqcAP,2,1 year ago,@mee7033 it's not illegal actually. it's in gray area. china actually somehow allows people to use vpn.it's main goal is to protect its own business.,@mee7033实际上并非违法。它在灰色区域。中国实际上以某种方式允许人们使用VPN。它的主要目标是保护自己的业务。
43806,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rUcGgtijdz,2,4 years ago,"jon ridgeon let me tell you something: 1. using youtube or posting on youtube is not illegal in china. 2. there are so many chinese youtubers, i mean those still living in china. they post stuffs in chinese media and youtube.most of them just talk about some random stuffs in chinese. you don't know the languages so they are not on your list. 3. there are also so many foreign expats living in mainland china and they post videos on youtube as well. 
btw, if she is funded by the government to prompt china, she will add official english subtitles on her videos! 
conclusion: i know western media often demonize chinese government. living under this influence makes you sometimes a bit dumb.","乔恩·里奇恩（Jon Ridgeon）让我告诉您一些事情：1。在中国使用YouTube或在YouTube上发布的发布不是非法的。 2.有很多中国的YouTuber，我的意思是那些仍住在中国的人。他们在中国媒体和YouTube上发布内容。其中大多数只是在谈论中文的一些随机内容。您不知道这些语言，因此它们不在您的列表中。 3.中国大陆也有很多外国外籍人士，他们也在YouTube上发布视频。
顺便说一句，如果她由政府资助促使中国，她将在视频中添加官方的英语字幕！
结论：我知道西方媒体经常妖魔化中国政府。在这种影响下生活会让您有时有些愚蠢。"
25957,UgzHEPuSPH1f83Z4cBZ4AaABAg.8ztack82egj8zuU3QNgUIh,2,3 years ago,"animeguts _ online shopping is very popular and normal in china. as well as the logistic business, it is pretty well developed. basically you can get anything you want wherever you are in china.(tho xinjiang and tibet might take more shipping cost because of the geographical difficulty. )",Animeguts _在线购物在中国非常受欢迎且正常。除了逻辑业务外，它还发达了。基本上，无论您在中国的任何地方，您都可以得到任何想要的东西。
43804,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rTm4gMnhjr,2,4 years ago,"jon ridgeon you can just google how to get access to youtube in china. please, don't be too dumb.",乔恩·里奇恩（Jon Ridgeon）您只能使用Google如何访问中国的YouTube。拜托，不要太愚蠢。
12658,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9Db5YvqBbBD,2,2 years ago,"zen zen i don’t think you really understand what he meant. blame the government, don’t blame the people. the people have done nothing wrong. but btw, china does not have a dictator. china had a dictator in the 20th century but not anymore.",Zen Zen我不认为您真的理解他的意思。责怪政府，不要怪人们。人们没有做错任何事情。但是顺便说一句，中国没有独裁者。中国在20世纪有一个独裁者，但不再是独裁者。
25660,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-x1I7Uucw3,2,3 years ago,world oา“ ส€ึ…สษplay whatโ€s wrong with you.i think the government and media of china are much better than american or ... they just will not resort the truth like western country.,我认为中国的政府和媒体比美国人要好得多，或者……他们不会像西方国家那样采取真相。
7274,UgwCnFQhIGt1iHFF_854AaABAg,2,2 years ago,lovely china~ ♡,可爱的中国〜♡
35756,UgzUk3PA71ypx16dBZZ4AaABAg,2,4 years ago,i like this very much am from india and i love china and chinese culture very much its wonderful and i like also chinese dish and method of cooking beautiful๐โบ,我非常喜欢来自印度的人，我非常喜欢中国和中国文化，它也很棒，我也喜欢中国菜肴和烹饪的烹饪方法
24218,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92QyAYpMHiU,2,3 years ago,china is heaven for life,中国是生命的天堂
21826,Ugw-F-shjgU-WPsUWKJ4AaABAg,2,3 years ago,the korean stick in china will never be absent,恶心中国的韩国棒子，从来不会缺席
27262,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92762slAjnt,2,3 years ago (edited),"@maryna mnassa li ziqi doesnโ€t need to accept any help anymore, cause she is very famous in china and she has her own taobao shop. she sells food in taobao and she can earn millions money a year.",@Maryna Mnassa Li Ziqi不再需要接受任何帮助，因为她在中国很有名，并且拥有自己的淘宝商店。她在淘宝网出售食物，每年可以赚取数百万美元。
5234,Ugy1K-urkNpSaSYx6KN4AaABAg,2,1 year ago,china’s superwoman,中国的超级女性
11806,UgwIKFHqsTfOvMrAAvp4AaABAg.9E2vTm5skGO9E4WXMJ3JxE,2,2 years ago,you must had left china for so many years...your memories about china is just too old,您必须离开中国这么多年...您对中国的回忆太老了
20858,UgzUuv4wq4-uwWnBcc14AaABAg,2,3 years ago,"stunning photography, scenery (where is this filmed in china), and lovely young lady who is very talented. her grandmother is fortunate to have her. thank you for doing these videos.",令人惊叹的摄影，风景（这是在中国拍摄的地方）和很有才华的可爱小姐。她的祖母很幸运能拥有她。感谢您制作这些视频。
30520,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHAcZOSxPn,2,3 years ago,"v
i won't stop using vpn. as i said, the police don't care about me if i don't do wrong things, see videos on youtube isn't wrong thing, so i'm safe in china. i want to know how people from all the word look at china, and what viewpoints do they have.","v
我不会停止使用VPN。正如我所说，如果我不做错事，警察不在乎我，请在YouTube上看到视频没有错的事情，所以我在中国很安全。我想知道所有单词的人们如何看中国，以及他们的观点。"
34188,UgysSQ43ZOAPGxXhzQN4AaABAg.8v99s_EOMMw8vA-1hHlQBJ,2,4 years ago,"china has never killed muslims. china has gathered uyghurs from remote rural areas to schools to teach them how to read and write, to learn some skills and to pay them monthly wages. these have spread to the west and become prisons, saying that china imprisons uyghurs. china kills uyghurs. it's ridiculous. why does the chinese government do this because many people in remote villages are illiterate all their lives? having never been out of their villages, brainwashed and blindly hated by extremist terrorists crossing the border, attacking local police stations and governments. although i don't agree with this compulsory learning practice, ordinary chinese people can't help it. i just tell you the truth is not the western media, falungong propaganda is just that. as a chinese in the west, i can only say about china reported by the western media. news, three points are true, seven points are rumors and slander",中国从未杀死穆斯林。中国将Uyghurs从偏远的农村地区聚集到学校，教他们如何读写，学习一些技能并每月支付工资。这些已经蔓延到西方并成为监狱，说中国被抹去了乌格尔人。中国杀死了乌格尔人。这太荒谬了。中国政府为什么这样做是因为偏远村庄的许多人都是文盲的一生？从来没有离开过村庄，被极端恐怖分子越过边界，攻击当地警察局和政府的极端恐怖分子。尽管我不同意这种强制性学习实践，但普通的中国人却无济于事。我只是告诉你，事实不是西方媒体，法伦隆宣传就是这样。作为西方的中国人，我只能说西方媒体报道中国。新闻，三分是真的，七分是谣言和诽谤
41135,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8TkvbaRRd,2,4 years ago,"you are not a real chinese, you still save it. watching this video is superfluous for you. in addition, you don't need to turn it over, is there any pride? for us, looking at the u.s. oil pipes, china ’s youku is just a switch between the two civilizations. look at yourself to observe others, just a personal taste. it's really impossible to chew the roots of the tongue.",你不是真正的中国人，你还是省省吧，看这个视频对你来说都是多余的。另外，你不用翻，有什么自豪的吗？对我们来说，看美国的油管，中国的优酷，不过是两个文明之间的切换，看看自己再观察下别人，一种个人趣味而已。实在轮不到你来嚼舌根。
4254,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UMREBvjKe-,2,1 year ago,"@user-dw4hf7gh2m china is not so rich in rural areas, right?",@user-dw4hf7gh2m 中国还没有这么富裕的农村吧
24986,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW90_mH0EekVI,2,3 years ago,"matt schwartz western media hates china without doubt, so why u still believe that? u will never know truth unless u touch it! come to china and u will know the truth!!",马特·施瓦茨（Matt Schwartz）西方媒体毫无疑问地讨厌中国，所以你为什么仍然相信呢？除非您触摸它，否则您将永远不会知道真相！来中国，你会知道真相！！
15649,UgyXRaztSJ9IRryX5hp4AaABAg.99PWfKOr39Z9ASA1WIuzq4,2,2 years ago,i'm a chinese i can tell you it's normal in china country,我是中国人，我可以告诉你这在中国国家很正常
20433,Ugw-yXWHCd-PwfvFmhZ4AaABAg.94X_eRfhfkQ95jbqZGKXX1,2,3 years ago,"i have a suggestion, when you plan to go to sleep . lie on the bed , deep breath with your stomach for the first 2 minitute. image the nagitive and dirty things slip out from your feet and hands. and your breath shall get smooth automaticlly and you shall feel relax. hope it is helpful for you. i am from china.",当您打算入睡时，我有一个建议。躺在床上，深吸一口气，肚子上前2个矿物。图片从您的脚和手中溜走了肮脏和肮脏的东西。而且您的呼吸将自动光滑，您将感到放松。希望这对您有帮助。我来自中国。
52333,UgxfJDJvTpAxl-BK2jN4AaABAg.8qlNOcV5LDT8qlTcFWQpy5,2,4 years ago,it is china,这是中国
42975,UgwAj8uciEHxoCx5Afd4AaABAg.8rTSJlySc2P8ri8Q7W7z-k,2,4 years ago,she is one of the most popular bloggers in china. she had over 10 million fans.,她是中国最受欢迎的博客作者之一。她有超过1000万球迷。
19775,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095ixavB5jol,2,3 years ago,actually it is hard to find such a lifestyle in china now.,实际上，现在很难在中国找到这种生活方式。
19373,Ugw52GdBCGM2CWO4e6V4AaABAg.95r6v-hOJoC95rq3ZDlung,2,3 years ago,maharani china,马哈拉尼中国
33323,UgyEwos0ASnQEQNphYV4AaABAg,2,4 years ago,"such a perfect life. just wondering, is youtube allowed in china? i thought chinese government has banned youtube in their country?",如此完美的生活。只是想知道，中国是否允许YouTube？我以为中国政府禁止在他们的国家使用YouTube？
24847,UgyiDDa6tlz69ZPD3u94AaABAg.90BWA-ivq-7928ajKYMz3N,2,3 years ago,"there is a saying in china that you have to work very hard to look effortless. we watch videos to relax, but it's really hard to do.",在中国有一个俗话说，您必须非常努力地工作才能轻松。我们观看视频放松，但这真的很难做。
8710,UgxTrdQpB5pxOySrAHt4AaABAg.9IK5l71vneV9JagvlxrjZc,2,2 years ago,"@windychung can't have a great impact on the chinese cultural circle. moreover, china's volume is so large, and other small countries similar to chinese culture will naturally want to preach their cultural independence, otherwise it is easy to be annexed by culture. but i just can't see that the whole world is the people of their family ...",@WINDYCHUNG 没办法中华文化圈的影响太大了。而且中国体量那么大，其他和中国文化相似的小国家自然会想要宣扬自己的文化独立性，不然很容易就被文化吞并。但是我就是看不惯说全世界都是他们家的人…
33060,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8wbuMpibDLS,2,3 years ago,"rat people do not really hunt these days since wild animals are rare and most of them are protected. very likely she buys the meat from the farmers in her village who keeps the livestocks like cows and pigs; usually in rural china, farmers will kill some livestocks they have been raising the whole year just before chinese new year, keep the meat and maybe sell them if there is extra.",如今，老鼠人并不是真正的狩猎，因为野生动物很少见，大多数人都受到保护。她很可能从村庄的农民那里购买肉，这些农民保留了牛和猪等牲畜。通常在中国农村地区，农民会杀死他们在农历新年之前养育整整一年的一些牲畜，保留肉，如果有额外的话，也许会出售它们。
18849,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97JOXmLOx12,2,3 years ago,"i think the dislikes come from an article which stated this girl's life is fake and it's a show. that she doesn't do everything on her own but there's a lot of props, people helping behind the scenes and camera crew. many people felt disenchanted her life wasn't accurate. i personally feel they were trying to portray a beautiful rural living of china. i don't see it the same way after i read the article but still enjoy watching because it's something we can all strive to have: our own land with food, resources.",我认为不喜欢的是一篇文章，说这个女孩的生活是假的，这是一场演出。她没有自己做所有事情，但是有很多道具，人们在幕后和摄制组中提供帮助。许多人感到自己的生活不准确。我个人觉得他们试图描绘中国美丽的乡村生活。在阅读文章后，我看不到相同的方式，但仍然喜欢观看，因为这是我们所有人都可以努力拥有的东西：我们自己的土地，带有食物，资源。
32745,UgyUicHBUzMUuuQMl754AaABAg,2,4 years ago,welcome to china๐,欢迎来到中国
53041,Ugw0nRtPV2JZB2Hayed4AaABAg.8qlJOW-Y_X-8qlQLOZNic8,2,4 years ago,chuc mung nam moi ky-hoi .chao ban viet-nam. welcome to china to have a happy new year.,Chuc mung nam moi Ky-Hoi .Chao Ban Viet-Nam。欢迎来中国过一个欢乐己亥新年。
32237,Ugx1LXTsr5AkRIsGb_p4AaABAg.8vxXfi2tVWf8wCqjrhvAj9,2,4 years ago,china has most beautiful places & culture in the world. damn i love ittw,中国在世界上拥有最美丽的地方和文化。该死的我爱ittw
8531,UgzUBw6ORQfOBsfLFe94AaABAg,2,2 years ago,"as a korean, i feel so sorry. we shall not steal things from china.please forgive us ???? kimchi is from china~ we korean steal everything from china because we love china so much~ i love china. koreans love china ???",作为韩国人，我感到很抱歉。我们不会从中国偷东西。请原谅我们？？？？泡菜来自中国〜我们韩国人从中国偷走了一切，因为我们非常爱中国〜我爱中国。韩国人爱中国？？？
8532,Ugzi0bTk1IZUkFPY0LN4AaABAg,2,2 years ago,"as a korean, i feel so sorry. we shall not steal things from china.please forgive us ???? kimchi is from china~ we korean steal everything from china because we love china so much~ i love china. koreans love china ???? we are shit",作为韩国人，我感到很抱歉。我们不会从中国偷东西。请原谅我们？？？？泡菜来自中国〜我们韩国人从中国偷走了一切，因为我们非常爱中国〜我爱中国。韩国人爱中国？？？？我们很烂
8590,UgwYqCD2LygGCILClo14AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
24120,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92KBDF9SQrI,2,3 years ago,"@user-vy8dt6de7k straight, this is the oil pipe, not in china, donโ€t shame your eyes",@user-vy8dt6de7k 直说吧，这是油管，不是国内，别丢人现眼
23135,UgztKD3QY8jtcl9-GwN4AaABAg,2,3 years ago,"what if chinese people are like some people in china? isn't it good to show people all over the world? is it possible to show the spraying skills unique to the chinese people? the attention of more than 7 million is not easy, and some people in china are too disappointing. beautiful things are scolded, and bad ones must be scolded",如果中国人都像国内那有一部分人那样中国该如何是好？把美好的东西展示给全世界人看难道不好吗？难道要展示中国人特有的喷子技巧才是可以的？700多万的关注来之不易，国内一些人太让人失望了。美好的东西要被骂，不好的也要被骂
15956,Ugy8Uw6Od4_Wr7nvFkR4AaABAg.9937OJigGY599y0coCa1QJ,2,2 years ago,i definitely see that it is really speechless if i didn't even read it in china ...,肯定都是看到是跟中国有关的 连内容都没看就点踩了 真的令人无语……
8218,Ugw4nvLMTCmmpCUlq0l4AaABAg,2,2 years ago,"covid19 is made in china.
kimchi is made in korea.","Covid19是在中国制造的。
泡菜是在韩国制造的。"
42280,Ugz1IYrjJR8HlFCquwJ4AaABAg.8rhy45SStsD8ri9PbPXTiS,2,4 years ago,"geisteswissenschaft 
no, her parents passed away. she was raised by her grandparents in rural china. she went to work in cities but returned to the village to take care of her grandma after her grandpa passed away.","Geisteswissenschaft
不，她的父母去世了。她的祖父母在中国农村抚养长大。她在城市上班，但在爷爷去世后回到村庄照顾祖母。"
30280,UgwDPkGQd0OEgrZTeih4AaABAg,2,3 years ago,i admire this kind of village.. everything u want is just available at ur home or garden.. no need to go fresh market or fruits stalls..aside from china where we will find this kind of place?,我欣赏这种村庄。.您想要的一切都可以在您的家中或花园里买到。.不需要去新的市场或水果摊位。在中国，我们会找到这样的地方吗？
30518,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xGXGMcWbIg,2,3 years ago,"v you used too many short words, so i don't know what do you mean. yes in china many people run red lights, that's a bad behavious. but we are changing that.",v您使用了太多的简短单词，所以我不知道您是什么意思。是的，在中国，许多人都跑红灯，这是一个不好的行为。但是我们正在改变这一点。
51713,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qldZ_Rk85a,2,4 years ago (edited),"@d3x5t4r you really are delusional. do some research yourself from accredited historians and not some vietnamese conspiracy websites. i've seen those vietnamese articles try to assert that the vietnamese are still ""pure blooded"" (no such thing exists with any people) and not culturally influenced by china at all. there is always pseudo historical nonsense among the ultranationalists. it's a pity too because there are plenty of nice vietnamese people in the comments of this video who aren't like you. it was impossible for the ancient chinese to eat corn because corn was domesticated in mexico. corn only spread to asia after european colonization of the americas. rice was domesticated in the pearl river delta but those people were not vietnamese or even biayue as they were a prehistoric people that had left the area before the chinese - or any civilization for that matter - had formed. but yeah, keep reading your kooky stories. how about you tell me one about sumerian spaceships next?",@d3x5t4r你真的很妄想。从认可的历史学家而不是一些越南阴谋网站中进行一些研究。我已经看到那些越南文章试图断言越南人仍然是“纯净的血液”（没有任何人存在这样的东西），而不是在文化上受到中国的影响。超民族主义者中总是有伪历史废话。这也是可惜的，因为在这段视频的评论中，有很多不错的越南人不喜欢您。古代中国人不可能吃玉米，因为玉米在墨西哥被驯化。玉米仅在美洲欧洲殖民之后传播到亚洲。赖斯在珍珠河三角洲被驯化，但这些人不是越南人甚至比亚耶，因为他们是一个史前的人，他们已经在中国人（或任何有关此事的文明）之前离开了该地区。但是，是的，继续阅读您的怪异故事。接下来，您告诉我一个关于苏美尔飞船的信息？
25362,UgwRz6BM4pGy6fstYnV4AaABAg.9-Qvi_qVYSB9-x1W7355vW,2,3 years ago,fly to china pingwu county mianyang city sichuan province china ใ€chengdu land inใ€ใ€by bus go thereใ€ใ€ใ€you can live with her,飞往中国平武县Mianyang City Sichuan Province中国。ChengduLandin。。byBus去那里。。。您可以和她住在一起
11586,UgwIUB1dMhomwlM5dKt4AaABAg.9EPh4bm-9QR9Fl1H0qlwGc,2,2 years ago,"i know. i stopped watching her videos after reading all the ""oh, i love china, wished i lived there"" comments. i also saw the ccp doing a spill on one of her videos. then i realized she is just one of there puppets to brainwash america ""china good"" ""america bad"".",我知道。在阅读所有“哦，我爱中国，希望我住在那里”的所有“哦，我爱中国”的评论后，我停止观看她的视频。我还看到CCP对她的一个视频泄漏。然后，我意识到她只是木偶之一，洗脑美国“中国好”“美国坏”。
29908,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_975nv3yWHUt,2,3 years ago,"greeting from guangzhou china, hope you will visit china someday soon",来自广州中国的问候，希望您有一天能参观中国
11226,Ugy6UhDVa6q_Z_24YMd4AaABAg.9ErMD7cVAOz9F1AxaRnRcY,2,2 years ago,"@ethanjia6576 obviously itโ€s not the same thing. but this video was especially interesting to me because a lot of the food looked like something youโ€d see in the south us. especially the carmelized pork ribs. i just find it interesting when two completely different cultures intersect in unexpected places; in this case itโ€s because parts of china have very similar food resources as the us south, so the cuisine is different but still relatively similar. iโ€m not trying to say that theyโ€re exactly the same; far from it.",@Ethanjia6576显然不是同一回事。但是这段视频对我来说特别有趣，因为很多食物看起来像您在我们南部看到的东西。尤其是焦糖猪排骨。当两种完全不同的文化在意外的地方相交时，我只是发现很有趣。在这种情况下，这是因为中国的部分食品资源与美国南部非常相似，因此美食不同，但仍然相对相似。我不是要说它们完全一样。离得很远。
