,cid,votes,time,含god,含god中文翻译
1457,UgyPrOlGHmHrRQeMEZl4AaABAg,1,1 year ago,"at first glance, the thin skin tender meat is not often done in front of the lens, and a bunch of otaku is a goddess who can do things with the brain.",细皮嫩肉一看就不常做事 镜头前录影摆摆样子而已一堆宅男就捧成会做事的女神 用大脑思考对宅男来说真滴困难= =
34154,Ugyz-5WDktCOvNFLaI14AaABAg,1,3 years ago,"god willing, nature takes the mind",上帝愿意，大自然
34043,UgyNKNQNBhIp8R3DdyR4AaABAg,1,3 years ago,i see goddess,我看到女神
30566,UgxFh1tqYcRrCnZr0LZ4AaABAg,1,3 years ago (edited),god bless you..i like your vides,上帝保佑你..我喜欢你的vides
19104,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392gcQkQVj2H,1,3 years ago,"@chicagodaisyflower china is a beautiful, diverse and vibrant country^ ^ especially the southern part such as shanghai, zhejiang, jiangsu and sichuan. people are very kind and considerate, they are genuinely inclusive and open. if you plan to travel in future i'd strongly recommend starting from shanghai and then go to zhejiang and sichuan--amazing scenery, city vibe and numerous cuisines~",@chicagodaisyflower中国是一个美丽，多元化和充满活力的国家 ^ ^，尤其是南部，例如上海，Zhejiang，Jiangsu和Sichuan。人们非常友善和体贴，他们真正具有包容性和开放性。如果您打算将来旅行，我强烈建议您从上海开始，然后前往Zhejiang和Sichuan - 令人惊奇的风景，城市氛围和许多美食〜
32459,Ugx6nwHpPUYoTH-XnVN4AaABAg,1,3 years ago,"oh god, i am affirmed by the soul that relaxes the soul and the mind i hope to live and they are",哦，天哪，我被放松的灵魂和我希望活着的灵魂的灵魂肯定了，他们是
23983,UgzTNolArRmdRk-mA8d4AaABAg,0,3 years ago,i hope god will grant me enough money. ill buy lot in the country side and have this kind of life.,我希望上帝能给我足够的钱。生病在乡下买了很多东西，并拥有这种生活。
24017,UgwI1xagO3dmaPzOrEx4AaABAg,0,3 years ago,lizqi i am a working lady had to do lot of hard work for my daughter doing medicen i get up pray to my lord.see u . ...u r my inspiration... god bless u and ur granny,利兹奇（Lizqi）我是一位工作的女士，必须为我的女儿做很多辛苦的工作，我起床向我的主祈祷。 ...你的灵感...上帝保佑你和你的奶奶
20649,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91Ti699v0ft,0,3 years ago,"jacky phantom when you refer to chinese people as a group and accusing everyone entitled to this identity with things done by a portion of this group, you are discriminating like no other. god bless you with your double standard towards yourself.",Jacky Phantom将中国人称为一群人，并指责每个人都有该小组中一部分人所做的事情有权获得这种身份时，您会像其他人一样歧视。上帝保佑您对自己的双重标准。
21927,UgxFDtkdZedIvAmpcBd4AaABAg.9-OCwZ0JhDQ90A5k2pTdSc,0,3 years ago,"god, buddha, bless you,","上帝，佛陀，保佑你,"
24037,UgxjAxTLedZYFjOqIO54AaABAg,0,3 years ago,"by god, i love and die, i will follow from iraq",靠上帝，我爱与死，我将从伊拉克跟随
20489,Ugy6FF01ADSwDcNe6bF4AaABAg,0,3 years ago,what a goddess is the face value.,小姐姐什么神仙颜值啊。
24040,UgzPWc8Sn4iqvPPd2Cx4AaABAg,0,3 years ago,"god is a sweet life, i hope i live in",上帝是一种甜蜜的生活，我希望我住在
20440,Ugyyya9H7QTTedOaql14AaABAg.90sW5w5mbqW917BGC7CCIT,0,3 years ago,"i think her grandparents, especially her grandma, built and tended to that amazing garden. so yes, god's gift would be grandma's hard work and gardening talents",我认为她的祖父母，尤其是她的祖母，建造并倾向于那个惊人的花园。是的，上帝的礼物将是奶奶的辛勤工作和园艺才华
23773,UgyUDn6v45_Xr_ctKqt4AaABAg,0,3 years ago,"goddess, when will you wipe your cupboard, and every time you look at you cut vegetables there!",女神，啥时候把你的碗柜擦一擦呀，每次看你在那里切菜都有点毛毛的！
20439,Ugyyya9H7QTTedOaql14AaABAg.90sW5w5mbqW913AwyhoPZn,0,3 years ago,gods gift to her,上帝礼物给她
24072,UgwjQLI_M1QbaXxCRKd4AaABAg,0,3 years ago,"an artist, and god is very wonderful despite your young age, may god grant you success",艺术家，尽管您很小，但上帝还是很美好的，愿上帝赋予您成功
24152,UgyOR8MFhL3m_F4Yiz54AaABAg,0,3 years ago,"may the peace, blessings, and mercy of god be upon you
you are creative and everything is fun and we love to communicate with you and is this lady who accompanies you is your mother, your mother, mama, and the name of your city is the most beautiful place around you is normal and cooking you","愿上帝的和平，祝福和怜悯落在你身上
您很有创造力，一切都很有趣，我们喜欢与您交流，这位女士陪伴您是您的母亲，您的母亲，妈妈，您的城市的名字是您周围最美丽的地方"
24358,UgzBL0TEvaZn9b42IyR4AaABAg,0,3 years ago,"too powerful, and comfortable to see. goddess",太厉害了，看得也舒服。女神
20685,UgzalNXFdzz5HngVF9V4AaABAg.90d-vjJja709179SVh0ySV,0,3 years ago,"@besuplayer383 oh my god, that is disgusting but funny af",@besuplayer383哦，天哪，这令人作呕，但有趣的是
23038,Ugyjqcg4IWS3VMICfIZ4AaABAg.8zryAjA2w8i8zyGHPFyNLe,0,3 years ago (edited),"lzz hzz, my god is so afraid of foreigners? are you unhappy? i can’t get up for a long time. i understand all kinds of foreigners, and be a double standard.",LZZ Hzz 我的天那么怕洋人？你洋大人不高兴了？真是跪久了起不来，对洋人万般理解，做人别双标
23510,UgwWSOH0Y7Zyn1c12v14AaABAg,0,3 years ago,"whoever lives in these gardens, whoever harnesses the rivers, who made all these blessings in your hands ... do not think about the creation of god. in the name of god, god willing, and god is the greatest of my lord and your lord, who is good.",无论居住在这些花园中的人，无论谁利用河流，他们都掌握了所有这些祝福……不要考虑创造上帝的创造。以上帝的名义，上帝愿意，上帝是我的主和你的主，是善良的。
23367,Ugz9HI_zDPTo0uC3k5J4AaABAg.8zkmBMExoCA9LY7wjLoIGG,0,2 years ago,"your'e right god bless her so much,because she knows how to love everything in life.thank you so much.",你的对上帝的态度是如此，因为她知道如何热爱生活中的一切。谢谢你。
21971,UgynQ_sRx3wGcchFZMl4AaABAg.9-Lwp0qdyGs9-WZYuIQFL3,0,3 years ago,"@nna_123 may god bless your head, o zahra, my country",@nna_123愿上帝保佑你的头，Zahra，我的国家
22010,UgzWxd8OsFLYw3904GR4AaABAg,0,3 years ago,oh god...i want to go there,哦，天哪...我想去那里
21785,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9WlzEa04A90,0,1 year ago,"where is god, can i see and hear him? https://youtu.be/2omlkx-pee",上帝在哪里，我能看到和听到他吗？ https://youtu.be/2omlkX--PeE
21647,UgzoPXlO8XeassqFseR4AaABAg,0,3 years ago,super.u r multitalented. god bless u!,Super.u r多元化。上帝保佑你！
22069,UgzyeQsOWjpR83Bvxvt4AaABAg,0,3 years ago,"oh my god,,i want to eat that noodless cs noodess is my favorite food",哦，天哪
22092,UgzsmJdY10EZ1cSq73V4AaABAg,0,3 years ago,goddess,女神
21588,UgwJ8LBE5WATIx_KHS14AaABAg,0,3 years ago,i’m very happy to know how popular these videos are!! it tells me there are a lot of wonderful people out there! god bless them all !!,我很高兴知道这些视频有多受欢迎！！它告诉我那里有很多很棒的人！上帝保佑他们！
24559,UgwdBhn1UWnRppDQ_SF4AaABAg,0,3 years ago,"salwa on the prophet muhammad, may god bless him and grant him peace",萨尔瓦在先知穆罕默德上，愿上帝保佑他并给予他和平
22242,UgyXTS0CRWwvfrHvct54AaABAg,0,3 years ago,very great woman god bless you,非常伟大的女人上帝保佑你
22472,UgzbCUjTz38lPF2_vGl4AaABAg,0,3 years ago,my god food is all around you.,我的上帝食物在你周围。
22696,UgwcajtoDMpROjIF1Jh4AaABAg,0,3 years ago (edited),"thats a lot of food fir an tiny gurl and grandma
god bless their garden!! they have all kind of vegetables and fruits there","多数民众赞成在很多食物中，小家伙和奶奶...
上帝保佑他们的花园！他们那里有各种蔬菜和水果"
21521,UgzwqUpoYPQVX9OzCIB4AaABAg,0,3 years ago,you must have done a lot of good things in your last life. god is here to repay you in this life,你一定是上辈子做了很多好事，这辈子老天是来报答你的
21474,Ugw-GLq0rYCUBqW15nJ4AaABAg,0,3 years ago,really a goddess! ?,真的是一个女神！ ？
22737,UgwVFoxuqpSLkJR4w6J4AaABAg,0,3 years ago,loadss of love to u dearrr god blesss youuuu,对你的爱，亲爱的上帝保佑你
21459,Ugz0jQG_1Tm5yXOge554AaABAg,0,3 years ago,god bless you,上帝保佑你
21301,UgwUw8imd4RHlHJx0fh4AaABAg,0,3 years ago,oh my god i love this chanel,哦，天哪，我爱这个香奈儿
21298,Ugwx3GQo31c07toWXKZ4AaABAg,0,3 years ago,god loves us that much,上帝如此爱我们
22998,UgzneLt3WxCXd_RNp3J4AaABAg,0,3 years ago,god how i hope she opens a restaurant someday...,上帝，我希望她有一天能开一家餐厅..​​.
23005,UgwrdqETcIpp7Gv9Zcl4AaABAg,0,3 years ago,"my god. this woman works like an ox and doesn’t even break out in a sweat, with makeup and all.",我的上帝。这个女人的工作就像牛一样，甚至都没有汗水，化妆和所有东西。
21235,UgzC79Z78jTaX5GO11t4AaABAg,0,3 years ago (edited),very beautiful this place because it was our god who created and everything he does is perfect jesus christ is coming back he loves you and calls you ... to all who is reading at this moment and you also liziqi is all your family ..,这个地方非常美丽，因为是我们的上帝创造的，而他所做的一切都是完美的耶稣基督回来了，他爱你，给你打电话给你……目前正在阅读的所有人，你也是你的家人。
23071,UgyAYmwAbJHmJ4ei7D54AaABAg,0,3 years ago,"i did not witness normal human beings, but i saw god adima know the present and the past really that you are adamma in all your creativity",我没有目睹正常的人类，但我看到上帝阿迪玛知道现在和过去，你在所有的创造力中都是阿达玛
21069,UgxTWIqq4RNzwOQDBQp4AaABAg,0,3 years ago,god so peaceful and happy,上帝如此和平与快乐
23137,UgyMEepkG3Djb15GfuF4AaABAg,0,3 years ago,god this looks so good xux,上帝，这看起来很棒xux
23194,UgyrcU-Q5GpOkjRmAZB4AaABAg,0,3 years ago,"oh god
im so ready to be youre husband","天啊
我准备成为你的丈夫"
23329,Ugye2_3JmGV5TsIP2Bd4AaABAg,0,3 years ago,very good food !!! ... god gives fair and necessary i congratulate you !!! from argentina jujuy i send you greetings .. that macdonll or go to eat at the shoopiing.,很好的食物！！！ ...上帝给予公平而必要的我，我祝贺你！！！来自阿根廷Jujuy，我向您发送问候。
21552,UgwSpRLzMBGnDHPkdDJ4AaABAg,0,3 years ago,god,上帝
79,UgwTfXh_rIp72NkjESh4AaABAg,0,2 weeks ago,i miss you liziqi. i miss seeing your beautiful calming videos. its been a while and there's no new notification pop up on my phone. hope everything goes well. god bless you dear,我想念你liziqi。我想念您美丽的平静视频。已经有一段时间了，我的手机上没有弹出新的通知。希望一切顺利。上帝保佑你亲爱的
24585,UgxTLE9TXXi7mpxFNkp4AaABAg,0,3 years ago,oh god how can shallls be eaten,哦，天哪，如何吃shallls
31070,UgyffAZaNwDrbC-8aAx4AaABAg,0,3 years ago,all her videos are beautiful. this way of life is what god has planned for all obedient humanity. jehovah is wonderful and kind.,她所有的视频都很漂亮。这种生活方式是上帝为所有听话人类计划的计划。耶和华很棒善良。
32154,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV951DmFvke9j,0,3 years ago,@user-hv8fw1hb1n no that's not true. one thing is true that hinduism people hate beef cause they pray cow as god lakshmi! but muslim and christians are allowed.,@user-hv8fw1hb1n不正确。一件事是，印度教讨厌牛肉，因为他们像上帝lakshmi一样祈祷牛！但是允许穆斯林和基督徒。
32142,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8ylaDpoVQCa,0,3 years ago,@waifgodie4516 the majority of indians are non-vegetarians.,@waifgodie4516大多数印第安人是非素食主义者。
32137,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yX4TBZZbEP,0,3 years ago,"@waifgodie4516 india is very diverse country. south indians and northeast indians are hardcore non vegetarians. and people in northeast india are lookwise and culturally more close to china and south east asian countries like thailand,myanmar, indonesia etc.",@waifgodie4516印度是非常多样化的国家。南印第安人和东北印第安人是顽固的非素食主义者。印度东北部的人们在依靠和文化上更靠近中国和东南亚国家，例如泰国，缅甸，印度尼西亚等。
32129,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yVSZ-mtiDa,0,3 years ago,"@waifgodie4516 no official survey has been conducted by the indian gov on this yet. however , i can tell you from my experience that most of my fellow indians i know are non vegetarians.",@waifgodie4516印度政府尚未对此进行官方调查。但是，我可以根据自己的经验告诉您，我认识的大多数印第安人都是非素食主义者。
31772,UgxHi2B-z3xSPXkudiJ4AaABAg,0,3 years ago,oh god! this is surreal.,天啊！这是超现实的。
31681,UgwZy_alm-XYyUCmirl4AaABAg,0,3 years ago,she is blessed by god....liziqi always rocks,她得到了上帝的祝福。
31674,UgwYJw5RBBpsyL480194AaABAg,0,3 years ago,very sustainable place.. god is very good,非常可持续的地方..上帝非常好
31531,UgxyEORnn2s8SpxTLbV4AaABAg.8yVC98Mn7iZ8yWvcXNqmF6,0,3 years ago,"god dear dad, she is actually living, i just live, she is really rich",天亲爱的老爸 是啊，她其实是真的在生活，我只是活着而已，她真的很富有
30964,UgyhUf_uAHLcQF6mThJ4AaABAg,0,3 years ago,goddess,女神
29906,UgyjReryw_miRbwRFSh4AaABAg,0,3 years ago,"about the grandfather of shabikud, the mind, your life, i will live, god willing, you will say, may god bless you, o lord",关于Shabikud的祖父，思想，您的生活，我将生活，上帝愿意，您会说，愿上帝保佑您，主啊
30583,UgwKM6eK6R3KYs2n_yl4AaABAg,0,3 years ago,wwaaww nice video..god bless you ☺️,wwaaww不错的视频..上帝保佑你☺️
30430,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Nd9RCMrYA4,0,2 years ago,"@godisoneandislamistruthrel2190 so, what do you wants to say? shortly",@godisoneandislamistruthrel2190那么，您想说什么？不久
30321,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw3947jMFXPaIJ,0,3 years ago,@colinseet7710 oh my god there's too much to be remembered fine i'll just stick with english hahahshs,@colinseet7711
30201,UgxRZVYv2mpT_pHEdYh4AaABAg,0,3 years ago,"thank you for the sub titles. you must have a lot more people there to eat other than the 2 of you. who all lives with you? i read somewhere that your brother does all the camera work now, so that is 3 of you i guess. love all the videos and hope you are enjoying doing them. may god bless you and help you to continue to be a success making your videos.",谢谢您的子标题。除了你们两个人以外，您必须有更多的人吃饭。谁和你一起生活？我在某个地方读到您的兄弟现在都可以完成所有相机的工作，所以我想是3个。热爱所有视频，希望您喜欢做。愿上帝保佑您，并帮助您继续成功制作视频。
30177,Ugz-6bcccDupxgrTtNh4AaABAg,0,3 years ago,my god is real and very beautiful,我的上帝是真实的，非常美丽
30143,UgybOqc1pKlMLAQvBZx4AaABAg,0,3 years ago,may god bless you,愿上帝保佑你
30021,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yY3LQQ4tX4,0,3 years ago,"i'm actually full.
but those goddamn noodles!","我实际上很满。
但是那些该死的面条！"
29972,Ugwah7zJf1PmioFvkdV4AaABAg,0,3 years ago,"angelita, it was all as if they were there, heard the fire of the fire, the spoon by felling the water falling, beautiful, everything you need has planted as it is wonderful, see you cooking, and savoring the company desa lady so soft god bless you",安吉丽塔（Angelita），好像他们在那儿一样，听到了火的火，勺子倒下，美丽，您需要的一切都种植了，因为它很棒，见到您做饭，并品尝到公司Desa Lady如此柔软上帝祝福你
32499,UgypGoMIEGy-cqNFG994AaABAg,0,3 years ago,"i forget my cooking , i started to watch her whole day. nature sounds and food ! god bless you",我忘了做饭，我开始整天看着她。大自然的声音和食物！上帝祝福你
32509,UgyJlM0Vpj5cd8nwkfV4AaABAg,0,3 years ago,"you're so awesome in everything you do, specially in taking caring of your grandma. god bless you more...",您在所做的每一件事上都很出色，特别是在照顾奶奶。上帝保佑你更多...
32577,Ugyy5RauuyH_HwINXTZ4AaABAg,0,3 years ago,another relaxing and inspiring video before going to bed... take care of yourself baby girl and god bless you more and more... hug and kiss to granny... love lots from the philippines...,上床睡觉前，另一个放松而鼓舞人心的视频...照顾好自己的女婴，上帝越来越祝福您...拥抱和亲吻奶奶...爱菲律宾的很多...
32640,UgzT52bypdyvocjZIbV4AaABAg,0,3 years ago,"lizi you have all the vegetables,fruits, flowers etc..
great job...
may god bless you","lizi你有所有的蔬菜，水果，鲜花等。
做得好...
愿上帝保佑你"
35168,UgyTPSCu7Qa5zu5Kp0x4AaABAg,0,3 years ago,"god 1 minute 1.1k likes,great",上帝1分钟1.1k喜欢，很棒
34846,UgzyJCRW5a43Bp3Ko7p4AaABAg,0,3 years ago,chinese goddessssss i love your videos. kisses from brazil,中国女神我喜欢你的视频。巴西的吻
34503,Ugz0cZpOijFaZnoq2VV4AaABAg,0,3 years ago,she is a goddess from china .,她是来自中国的女神。
34241,UgxGuDECn7UDlkYdRuh4AaABAg,0,3 years ago,"seeing you is worth anything i may be going through, either happy or sad, if ( god forbid) something were to take you away from us we would lose all joy.... thank you sweet liziqi, peace and love to you from the belly of the beast los angeles, california, usa",看到您值得我可能经历的任何事情，要么幸福或悲伤，如果（上帝禁止）某件事将您带离我们，我们将失去所有的快乐。...谢谢您，甜蜜的Liziqi，和平与爱。美国加利福尼亚野兽洛杉矶的肚子
34042,UgxS_kMKNslHal43z0J4AaABAg,0,3 years ago,god bless you,上帝祝福你
34033,UgxJZGcmT8HWIIyVEm94AaABAg,0,3 years ago,the goddess actually made a snail powder,女神居然做起螺蛳粉了
33920,Ugzu-8lLeVZqIBUTzzl4AaABAg,0,3 years ago,"you have chosen a beautiful life ~
you are full of special talents that make your life worth it, and god has given you a great blessing ♡","你选择了美好的生活〜
您充满了使您的生活值得的特殊才能，上帝给了您一个巨大的祝福♡♡"
33913,UgwTtPf6ow10Oi_Is1l4AaABAg,0,3 years ago,"hi liziqui, i love your videos and the way of life you carry, i love your grandmother, you are a very good girl, i like your meals and how you prepare them with so much love, thank you very much i give you, for teaching us so much, i wish you a lot of success in your life, may god bless you liziqui, i send you my love from my distant land in south america, from chile a greeting and hug of peace for you ....",嗨，丽兹基，我爱你的视频和你的生活方式，我爱你的祖母，你是一个非常好的女孩，我喜欢你的饭菜，以及你如何用如此多的爱做准备，谢谢你，我非常感谢你，我给你这么多教我们，祝您生命取得很多成功，愿上帝保佑您Liziqui，我从我遥远的南美遥远的土地上寄给您我的爱，从智利向您致意和和平拥抱。
33902,UgwuqHml_0hKRLbSGDB4AaABAg,0,3 years ago (edited),"hi beautrful,, not only god given you beauty and talent has also blessed your serrounding with goodness of nature wich you use....lots of love & xxx",嗨，美丽，不仅上帝赐给您的美丽和才华，还以自然的善良祝福您的曲折。
33852,Ugz7TEST_iO4X81NxLl4AaABAg,0,3 years ago,hi liziqi am also ur big fan god bless you,嗨，liziqi也是你的大粉丝上帝保佑你
33789,UgzFoUh9sgoQ6X_UYnN4AaABAg,0,3 years ago,"am big fan of ur channel,god bless u",我是乌尔频道的忠实粉丝，上帝保佑你
33604,UgwgOxDr5fNFBj11CQx4AaABAg,0,3 years ago,i love you in god,我爱你在上帝里
33574,UgyrPTuJDZY9N0IaR8p4AaABAg,0,3 years ago,god bless,上帝保佑
33485,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yW1yuAb_Ty,0,3 years ago,thank you. i love you so much more. lol. also god bless. and also if you're interested check out my new project i'm singing like michael jackson. u don't have to. ok take care sister!! :) god bless you. https://www.youtube.com/watch?v=t4kqfqwjkpc,谢谢。我爱你更多。哈哈。也是上帝保佑。而且，如果您有兴趣查看我的新项目，我将像迈克尔·杰克逊（Michael Jackson）一样唱歌。你不必。好的，照顾姐姐！ ：） 上帝祝福你。 https://www.youtube.com/watch?v=t4kqfqwjkpc
33232,UgyR0dL4lUk8mpmzt4p4AaABAg,0,3 years ago,liziqi...i dont know if you know this....you ve been doing great service to depressed people through your ever so calming videos...your life surrounded by nature..family bond...and so much hardwork adds beauty to everything you do...god bless u and grandma.,liziqi ...我不知道您是否知道这一点。...您所做的一切的美...上帝保佑你和奶奶。
32994,UgzpvPISJLVCvkhB1GZ4AaABAg,0,3 years ago,"forgive my superficial goddess, goddess",原谅我的肤浅 子柒女神
32903,Ugxtx7SjFAyobp69uh54AaABAg,0,3 years ago,"vidatj is all useful, may god help you",Vidatj都是有用的，愿上帝帮助您
29963,UgwP7YTDGVzTUjA-6qN4AaABAg,0,3 years ago,i watch your videos every day .... a spectacle of nature that god created for us! very handsome,我每天都观看您的视频。...上帝为我们创造的自然景象！很英俊
29844,UgwJ_8FzALOKcuXGcPJ4AaABAg.8yW4hWvo9PV8yW9HRlcns2,0,3 years ago,"@user-rac8qs3bb2e, may you be with you, a girl, can we speak, and god does not speak to him",@user-rac8qs3bb2e，愿你和你在一起，一个女孩，我们可以说话，上帝不跟他说话
24922,UgxfYNR1Cgqur2Fqr7R4AaABAg,0,3 years ago,oh my god its awesome,哦，天哪，真棒
25529,UgyBTaMwF5ezqQhpzct4AaABAg,0,3 years ago,oh my god..this is my first watch.and i'm loving it.why are you so talented and beautiful.im sure im gana give this vedio a like and subscribe too.love it,哦，我的上帝..这是我的第一台手表。我爱它。为什么你是如此才华横溢和美丽。
26969,UgxSVTaId2sve1chOQJ4AaABAg,0,3 years ago,my mom also cook this o my god,我妈妈也做这个我的上帝
26934,Ugx4UfzwCo1bciWkQ194AaABAg,0,3 years ago,"oh my god, i love this bowl of snail powder, it looks so delicious! it's painful if you can't eat it",天呐，这碗螺蛳粉我爱了，看上去太好吃了！吃不到是痛苦啊
26613,Ugx0LQzidmvNV0Gub0d4AaABAg,0,3 years ago,"anyone else notice that the interior of her house would be cause for condemned living conditions here in the west. and yet, here we sit, marveling at how nice and quaint this is. she washes her feet in a pond and yet we pay out thousands of dollars to have treated water pumped into our houses. 
her clothes appear to be less than thrift store cast offs and yet she can make a woman look beautiful and feminine in them. 
what a messed up world this is. 
her neighbors probably slave 17 hours a day to make our shoes of which we have several. 
my god, what has this world come too.","其他人注意到，她房屋的内部将导致西方遭到谴责的生活条件。然而，在这里，我们坐在这里，惊叹这是多么美好和古朴。她在一个池塘里洗脚，但我们付出了数千美元，以处理水中的水。
她的衣服似乎不比旧货店脱颖而出，但她可以使女人在其中看起来美丽而女性化。
这是一个混乱的世界。
她的邻居可能每天17个小时奴隶，让我们的鞋子有几个小时。
我的上帝，这个世界也发生了什么。"
26446,Ugy8thF6hz3EoQ6pVaV4AaABAg,0,3 years ago,god is our one great creator. god alone created all these beautiful things. always praise god and thank him. also it is not allowed by god to eat pork. god has blessed us with so many delicious foods. please abstain from eating pig products. i ask god humbly to bless you.,上帝是我们的一位伟大的创造者。仅上帝创造了所有这些美丽的事物。总是赞美上帝，感谢他。上帝也不允许吃猪肉。上帝为我们祝福了许多美味的食物。请放弃吃猪产品。我谦卑地要求上帝祝福你。
26142,Ugy7m86R17B9nxBVSP14AaABAg,0,3 years ago,"wow, great job well done, god blessed take care sooooooo sweet",哇，做得很好，上帝祝福了
26005,UgydTzhAMRsKebuDrnd4AaABAg,0,3 years ago,"god, send one like this for me ... haha",上帝，给我这样的人...哈哈
25731,Ugz3mDsDUDyT13GyXM14AaABAg,0,3 years ago,oh my god i am,哦，天哪，我是
25601,UgyF0JiqHBG3034jAaV4AaABAg.8z03Sj63BZJ8z4ms0Pg1T2,0,3 years ago,kim taehyung kim taehyung officiel imm god (taehyung reference,Kim Taehyung Kim Taehyung officiel I'God（Taehyung参考）
25426,UgzO1LbVGKGwLxaIigp4AaABAg,0,3 years ago,praise be to god for the grace of the kabsa,赞美上帝为Kabsa的恩典
29806,Ugw64EAJsIiLE3XhLzp4AaABAg,0,3 years ago,sweet girl . blagodariu.,甜美的女孩 。 Blagodariu。
25413,Ugx-p38rV0KKgSAgig14AaABAg,0,3 years ago,"this is really a god -like day, but the vulgar red dust is involved in the world.",这个真的是神仙般的日子啊，不过问世俗红尘，世外桃源
25178,UgwDApB3VzBKgFD3rUJ4AaABAg,0,3 years ago,may god give you health my sister,愿上帝给你健康我的妹妹
25172,Ugyyl_7RA-A09MlDc914AaABAg,0,3 years ago,"it is active, god willing, and the sweetest thing when you did not want to be picked up",当您不想被接送时，它是活跃的，愿意的，是最甜蜜的东西
25095,UgxuD0ytS0Qk38Ic7wR4AaABAg,0,3 years ago,"this is really amazing& u wanna just let everything behind & go to live there with her & taking care of her mom or grandma i don't know.it makes me feel sorry about losing my life & time without spending more time with my mom 
god bless you girl","这真是太神奇了。这让您感到很开心，您想让一切都在后面，与她住在一起。这让我对失去生活和时间感到难过，而不必花更多的时间与妈妈在一起
上帝保佑你女孩"
25031,UgwebWtLHGZf0gxZnyZ4AaABAg,0,3 years ago,"grandmother merry always laughs, god forbid you health",祖母快乐总是笑，上帝禁止你健康
25005,UgzX6RSF810m_IGEfw54AaABAg,0,3 years ago,"god's kitchen, why do you feel good for cooking!",神厨ㄇ，为什么感觉煮的好下饭喔！
24974,UgyrRBBmMIPBuMiSdxV4AaABAg,0,3 years ago,my god how much subtlety and softness,我的上帝多少微妙和柔软
24930,UgzKvBo7v_74b7x8EeJ4AaABAg,0,3 years ago,xiomi on the way god morning my love,xiomi在上帝的途中，我的爱
26976,Ugwq_jgdyG-yFma-t7x4AaABAg,0,3 years ago,that is so good. this is a god of heaven.,太好了。这是天堂的神。
27048,UgwhceNZEhRwGZi0w8h4AaABAg,0,3 years ago,hi li ziqi.thanks for sharing ur videos.i really love it.so natural full of plants...god bless you☺️,嗨，李Ziqi。感谢分享您的视频。我真的很喜欢它。如此自然的植物...上帝保佑你☺️
27179,Ugxd1AgwU7wLI2KCPqx4AaABAg,0,3 years ago,"how much talent do you wanna put in li ziqi?

god : yes!!!!","您想投入多少才能？

上帝：是的！"
27332,UgyfHosg6VSISSO3spB4AaABAg,0,3 years ago,what else can you do? what do you think of your gods and horses? intersection,你还有什么不会的嘛？感觉你神马都会呢？！
29703,UgzpH3BE2koNS4RrEgp4AaABAg.8yWSez1D5Ga8yZUd7OELN2,0,3 years ago,"anne godwin 
ive just subscribed to your channel
happy day's anne! 
i agree, with your comment wonderful that she provides english subtitles isn't.
i just love this channel! 
and all the people, who take the time to give a comment, l just enjoy reading them all. 
have a nice day! everybody.♥
moira 
from england.","安妮·戈德温
我刚刚订阅了您的频道
快乐的一天的安妮！
我同意，您的评论很棒，她提供的英语字幕不是。
我只是喜欢这个频道！
所有的人都花时间发表评论，我只是喜欢阅读所有内容。
祝你今天过得愉快！大家。♥
莫伊拉
来自英国。"
29535,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yeAcz862kq,0,3 years ago,"@user-ke5rz1cw5d if you're humiliated to be a race that you lineage was born into you might as well end your family's line at yours because you are not grateful at all for being brought into this world. first of all, god allowed you to be birthed into this world. second of all, do you blame your parents to be chinese? if you do you are pitiful. the chinese is a noble and strong race worthy of every envy that comes their way just like how you envy those americans and europeans you so greatly wish to be. but let me tell you this. if you look down on your own race and yourself and belittle your own race, you are not making yourself look better because in the end you are still a chinese and you can never change that even in death. you are trampling yourself and belittling yourself in the end and the others will merely laugh at you pitiable state. you are the type of person whom everyone looks down on even more than how the 'whites' look down on the asians.",@user-ke5rz1cw5d如果您羞辱自己是一场您的血统诞生的种族，那么您也可能会结束家人的界限，因为您根本不感激被带入这个世界。首先，上帝允许您生育这个世界。其次，您责怪父母是中国人吗？如果你这样做，你很可怜。中国人是一个值得每一个嫉妒的贵族种族，就像您羡慕那些非常希望成为的美国人和欧洲人一样。但是让我告诉你。如果您看不起自己的比赛和自己贬低自己的种族，那么您并不会使自己看起来更好，因为最终您仍然是中国人，即使在死亡中，您也永远无法改变这种情况。您正在践踏自己，最终轻视自己，其他人只会嘲笑您可怜的状态。您是每个人都看不见的人，而不是“白人”看着亚洲人的方式。
