,cid,votes,time,含god,含god中文翻译
40925,UgzvyPfZLTabzDSJWTR4AaABAg,0,4 years ago,"by god, i did not understand anything",上帝，我什么都不了解
43334,Ugw7EfmPsf-EscgbYKF4AaABAg,0,4 years ago,that music...your life style feeling good....oh my god i want to see you... love from india,那种音乐...你的生活风格感觉很好。。。哦，天哪，我想见你...来自印度的爱
37688,UgzUv1QVX9RRAtKrkbZ4AaABAg,0,4 years ago,"and the sweet life of life, o god, paradise ๐’",上帝，天堂啊，生活的甜蜜生活
43309,UgxXzIIs6oxFp1gmNHt4AaABAg,0,4 years ago,god bless,上帝保佑
42557,UgwriVNgX2AkyhBWMPt4AaABAg,0,4 years ago,is this real? i want this life! god its so beautiful! she does everything so effortlessly!,这是真的吗？我想要这一生！上帝是如此美丽！她毫不费力地做了一切！
42382,UgyjXoR_jUBSisbTG614AaABAg,0,4 years ago,"oooo. god, what a tasty. i want such sweets.",哦。上帝，真好吃。我想要这样的甜食。
42714,UgyNzw2te2Lhv3bZjnd4AaABAg,0,4 years ago,"quran, god bless you",古兰经，上帝保佑你
42304,Ugx8j4SnV2eX-OiuW5N4AaABAg,0,4 years ago,"oh my god, the snowflakes look delicious, please do it",天哪，雪花酥看上去好好吃喔，求做法
42277,UgxwMDfvJBdCpNnzfEV4AaABAg,0,4 years ago (edited),god bless,上帝保佑
42743,UgwEWHGZR1w0UatQggB4AaABAg,0,4 years ago (edited),"thats background song make me remember about harvest moon :d oh god, please sends me a friend like this.",那是背景歌让我记住关于收获月亮的记忆：D哦，上帝，请给我一个这样的朋友。
42192,UgwKDrjKoQWZY-fIGtF4AaABAg,0,4 years ago,oh my god! in starving,我的天啊！挨饿
42856,Ugw-M243RL0S3b7z8Vp4AaABAg,0,4 years ago,oooh my god that little little cutie,哦，我的上帝，那个小的可爱
42097,UgxP_OtfhfENPIZMTyh4AaABAg,0,4 years ago,"wow, god willing",哇，上帝愿意
42068,Ugz40MRHWedAzKUaRxF4AaABAg,0,4 years ago,"that's so pure, god she's so dedicated and talented, and the food looks so yummy, thanks youtube for make me hungry.. i want those candy t-t",那太纯洁了，上帝是如此敬业和才华
42063,UgwHwKmCClAKob25EMt4AaABAg,0,4 years ago,oh my god everything about this video is so beautiful..why did i just find out her?,哦，天哪，关于这段视频的一切都是如此美丽..为什么我只是找到她？
42894,Ugx_SVc6lqJJAIUFTj14AaABAg,0,4 years ago,may god alway's bless you..tq for give me one lovely joy..tq again..,愿上帝一直祝福你..
41890,UgxNsE_sJCZN6zT5u6J4AaABAg,0,4 years ago,how beautiful you take care of your grandmother god loves you for that,你有多美丽照顾你的祖母上帝爱你
42925,UgwLmWfFhELEUY8-uWB4AaABAg,0,4 years ago,what did i just watch?? oh my god looks so peacefully theree!! i wanna go there if i had more money :)),我只是看什么？哦，我的上帝看起来如此和平！如果我有更多的钱，我想去那里:)）
32434,Ugy9hi5y64ph9cFgugN4AaABAg,0,4 years ago,this life is not an easy one.. really she is a hardworking one..oh my god i can't live like this in any single day...hats off to you,这个生活并不容易。
41640,UgxYiGjrhxQmkN3VY6J4AaABAg,0,4 years ago,"glory be to god and praise be to him, glory be to god almighty
no god except allah","荣耀归于上帝，赞美他，荣耀是全能的上帝
除了真主，没有上帝"
41483,UgxibIwbOlUQQWE3cmd4AaABAg,0,4 years ago,this was god's plan for humanity.,这是上帝的人类计划。
41415,UgxDplfTMuLZynE_SiN4AaABAg,0,4 years ago,is she god,她是上帝
41409,UgzStdb5P65tkqmyskp4AaABAg,0,4 years ago,god am i ever lazy.,上帝，我曾经懒惰。
41382,UgyJYaXXg-7Irw3TQ614AaABAg,0,4 years ago,i love watching your video you are beautiful strong and very smart may god continue to give you strength keep doing what you are doing my family and i love watching your show,我喜欢看你的视频，你很漂亮，很聪明，愿上帝继续给你力量继续做你的家人，我喜欢看你的节目
43025,UgxC7-zLTaJFfMYuadJ4AaABAg.8rSUbMMwIZs8rT2u-bv9Dl,0,4 years ago,thank godxd @user-vf9uc5zl3m,感谢godxd @user-vf9uc5zl3m
43076,UgyLi1wY7FgD-F-zbIl4AaABAg,0,4 years ago,"it is pleasant also to discover your neighbours. they do help much in chinese village. when he build house, or need help for the pears season, or wrapping of fruits for when the buyers come to the village, the neighbours help my father in law very much. and he helps a lot in return also . when i arrived 17 years ago , i was astonished by even the well drilling process, i loved being carted away in a tricycle, must have been because i had only lived in france or london or munich . god , i love sichuan food, more recipes please! vegetarian ones please! vegetarian hotpot? with tofu pi, kailan, and mushroom.lots of mushroom. much love from beijing!",发现您的邻居也很愉快。他们在中国村庄确实有很多帮助。当他建造房屋，或者需要在梨季的帮助，或为买家来村庄的水果包装时，邻居会非常帮助我的岳父。而且他也有很多回报。当我17年前到达时，即使是井井有条的过程，我也感到惊讶，我喜欢在三轮车上搬走，这一定是因为我只住在法国，伦敦或慕尼黑。天哪，我爱四川食物，请更多食谱！请素食！素食热锅？与豆腐，凯兰和蘑菇一起使用蘑菇。来自北京的爱！
41237,UgzyPAm5B4mSq2eRLo14AaABAg,0,4 years ago,ohhh my godd the puppies,哦，我的该死的小狗
43127,UgyTZP2YBvB0L7HUCYV4AaABAg,0,4 years ago,how much hard working.... god bless you,有多努力的工作....上帝保佑你
43145,Ugxcsz6CSmwlH1jZe8h4AaABAg,0,4 years ago,"i love and envy her way of life, simple and beautiful, just like god intended it to be",我爱并羡慕她的生活方式，简单而美丽，就像上帝打算成为
43221,UgzfrHpkwrz9p6yh2jZ4AaABAg,0,4 years ago,god bless you girl,上帝保佑你的女孩
41121,UgxA0jGpLY4I9AsMYyl4AaABAg,0,4 years ago,and god is seven,上帝是七个
41049,UgzZUaHWi2P6p4e8bOd4AaABAg,0,4 years ago (edited),"ohh god, u don't need to do like this ..bb!",哦，天哪，你不需要这样做..bb！
43229,UgwjR-BgB95IL62bURJ4AaABAg,0,4 years ago,"what a girl she is, there is no pain on her face while doing his work, she is loving it, god bless u",她是个女孩，做他的工作时脸上没有痛苦，她爱它，上帝保佑你
39571,UgxTbQcqmTy2apnRFRh4AaABAg,0,4 years ago,"i want to visit you one day. just want to work with you and understand your life style. we have cut our relation with nature. when i watch you, i can clearly see that you still keep this relationship very closely and wisely which makes me adore you like almost everyone who watches you. god bless you, your family, your animals and your home ๐๐ผ",我想有一天拜访你。只想与您合作并了解自己的生活方式。我们已经削减了与自然的关系。当我看着您时，我可以清楚地看到您仍然非常紧密而明智地保持这种关系，这使我喜欢您几乎所有观看您的人。上帝保佑你，你的家人，你的动物和你的家
39507,UgxL2cAsDSvMXDB-V9R4AaABAg,0,4 years ago,send your gods to mexico,将您的神发送给墨西哥
39504,Ugwv3c7rH2zYgw31LDh4AaABAg,0,4 years ago,i imagine thus live in the kingdom of jehovah god ...,我想这因此生活在耶和华神的王国中...
44735,UgxzjA78tk2QQgIqqvd4AaABAg,0,4 years ago,"o allah, bless our prophet muhammad and his family and companions all, o god, have mercy on every muslim in the earth and in his poison, and may god reward you with the best reward.",哦，真主，祝福我们的先知穆罕默德和他的家人和同伴，上帝啊，怜悯地球上的每个穆斯林和他的毒药，愿上帝奖励您的最佳回报。
38503,UgxaqWFJmkTVOJ7Vasl4AaABAg,0,4 years ago,"wow, i saw the goddess of ziran!",哇，看到了子染女神！
46493,Ugz1kCyglV7-3bwau6J4AaABAg,0,4 years ago (edited),"god. i want to marry her.
happy lunar new year.","上帝。我想嫁给她。
农历新年快乐。"
46582,UgyZKLANMDq2uctGTll4AaABAg.8qt6fMEP0wz8qx2jwmQ4Fb,0,4 years ago (edited),"@scarredvanishings 5654 is only available, ... well, the only person who can marry such a girl, the only person who seems to be into the gods. the owner ~ no matter who is a person who is like such a virtuous show, we are the only one: bless you, amitabha ~ let's continue hiring professionals",@scarredvanishingstars5654 天上才有，……好吧，能娶到像如此女孩的，唯一看来只有入神格的人了。施主呀～无论娶到像如此贤慧秀外中一的人是谁，我们唯一只有:祝福你了，阿弥陀佛~我们还是继续聘请专业人员就好
46680,UgydwApYap5BNMa7mPN4AaABAg,0,4 years ago,"full of happiness, i wish god to bless you",满满的幸福，愿神赐福与你
38355,UgzOd9KEe1ilU2vY-AB4AaABAg,0,4 years ago,this wonderful girl this loyal girl really deserves support guys she's an angel i can tell she has a pure heart just by looking at her god bless her,这个很棒的女孩这个忠实的女孩真的应该得到支持，她是一个天使，我可以告诉她只要看着她的上帝保佑她就有纯洁的心
46852,UgwIY_4i7SJtUtl1f1F4AaABAg,0,4 years ago,"god bless you dear, really hard work you have done",上帝保佑你亲爱的，你做的非常辛苦
38311,Ugx49ztHgD5kV468iCN4AaABAg,0,4 years ago,god bless u,上帝保佑你
38298,UgwR18PAFGwI-8da_C94AaABAg,0,4 years ago,god you are beautiful....,上帝，你很漂亮...
38233,Ugx9aUIxMyqo3-ArQw14AaABAg,0,4 years ago,"may god bless me, and i will come, as well as your count, work, but i take me
professional marry and comfort me from my life๐ข๐ญ๐’”","愿上帝保佑我，我和你的伯爵会来工作，但我带我去
专业结婚并安慰我一生"
38229,Ugz-xZGHpXPi6tbpSgV4AaABAg,0,4 years ago,ma god beauty girl (l),MA神的美女女孩（L）
47009,UgziptQlKaBLm3uSbDR4AaABAg.8qqNIf0kCYf8qqguCb912U,0,4 years ago,@christiannugraha1011 thanks friend for the info...i'm from the philippines we don't grow apples here because we are a tropical country ...i love to eat apples its good for my health since i'm a post operative patient...thanks again godbless!,@ChristianNugraha1011感谢朋友提供的信息...我来自菲律宾，我们在这里不种苹果，因为我们是一个热带国家...我喜欢吃苹果对我的健康有益...再次感谢Godbles！
47035,Ugxb2S_8gDOGE4-9Q_F4AaABAg,0,4 years ago,"oh my god, these are really things that i have to eat when i was a kid",天哪，这些真的是小时候过年才有得吃的东西
47087,Ugy_eiysacnugTIi-kx4AaABAg,0,4 years ago,"actor and model, haneesya hanee acknowledged, when the title of the 2018/2019 youth goddess, which was crowned on sunday, was withdrawn.
http://7wn3sl.ieyo1zae.xyz/j5rhprdt/26ra5kyridg.aspx?vas=2917","Haneesya Hanee的演员和模特承认，当撤回了2018/2019青年女神的头衔，该女神于周日加冕为加冕。
http://7wn3sl.ieyo1zae.xyz/j5rhprdt/26ra5kyridg.aspx?vas = 2917"
47115,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qrN6T_HaOR,0,4 years ago (edited),"@christiannugraha1011 dude, look at the almazankitchen channel in bilibili. they have video that has half a million views. how is that unpopular?
no, you weren't offering your opinion. you were defending your goddess.","@christiannugraha1011家伙，看看比利比利的Almazankitchen频道。他们的视频有50万观看次数。那不受欢迎？
不，您没有发表意见。你在捍卫你的女神。"
38153,UgxdsZKFzDaKv-n1uuh4AaABAg,0,4 years ago,"i hope she single, cause she wifey material ๐’ she a goddess ๐",我希望她单身，因为她的妻子材料
47116,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qrPsF4nCx8,0,4 years ago,"@smartpants6 i did look at them and now i know. in fact, i am subscribing to them on youtube right now, their channel is good. ""you were defending your goddess."" and that is your assumption. like i said, don't put ""feelings in my brain"". i like zi qi, sure, but i don't worship her.",@smartpants6我确实看着它们，现在我知道了。实际上，我现在正在YouTube上订阅它们，它们的频道很好。 “你在捍卫你的女神。”这就是您的假设。就像我说的那样，不要把“在我的大脑中”放置。当然，我喜欢Zi Qi，但我不崇拜她。
47117,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qsARV8N9UX,0,4 years ago,"426firefly bilibili is one of the top video sharing sites in china. you saying that is kinda proving my point. plus, what does it matter? i'm not saying almazankitchen is super popular necessarily. it's already been shown that she started posting videos on weibo in 2016, while they started in 2015. it may also be that she and almazankitchen got their style from some other channel or she got her style from someone copying almazankitchen. it doesn't matter. i'm just saying that it looks really similar, so i wanted to ask her if she was inspired by almazankitchen. not as an insult, but simply as a way of sharing in the joy over the style. now, i'm sorry that you feel i offended the dignity of your goddess.",426firefly bilibili是中国顶级视频共享网站之一。你说这有点证明了我的观点。另外，这有什么关系？我并不是说Almazankitchen一定是超级受欢迎的。已经显示出她于2016年开始在微博上发布视频，而他们于2015年开始。这也可能是她和Almazankitchen从其他一些频道中获得了他们的风格，或者她从复制Almazankitchen的人那里获得了风格。没关系。我只是说它看起来真的很相似，所以我想问她是否受到Almazankitchen的启发。不是作为侮辱，而只是作为分享风格的喜悦的一种方式。现在，很抱歉您感到我冒犯了您女神的尊严。
38047,UgxbnX-mV907EtDljIF4AaABAg,0,4 years ago,"god, what a yummy",天哪，真是美味
38023,Ugx2IM7GecmROFoWkg94AaABAg,0,4 years ago,congratulations! god bless you.,恭喜！上帝祝福你。
42489,Ugxq78C8ich2ziSkY154AaABAg.8rdOJ-4z6dI8rg1OC5XU_A,0,4 years ago,you guys have amazing food too. i love love italian food and as a business every thing from italy. god bless,你们也有很棒的食物。我喜欢意大利美食，作为意大利的所有事情。上帝保佑
37898,Ugyv3k3-2w9dvcJenD94AaABAg,0,4 years ago,hi l am god l from galaxy,嗨，我是银河系的上帝
47352,Ugy1ze76xPytjD0HEvZ4AaABAg,0,4 years ago,"god willing,",天意，
37896,UgyoqBU6YSSNmkjdma14AaABAg.8tkdwgdBQDj8tmpLq5HxNU,0,4 years ago,"that is, god is true",也就是说，上帝是真的
47372,UgzYYn0pmTFnSrrHLvR4AaABAg,0,4 years ago,glory be to god ❤️,荣耀归于上帝❤️
37877,UgxgggrAuUUDJ_iavPl4AaABAg,0,4 years ago,"the best of god's gift
it's a talent that can do well
the best among human talents
it seems to be the best who knows how to cook.
it was a long time since i felt a precious gift.","上帝最好的礼物
这是一个可以做得很好的才能
人才中最好的
这似乎是知道如何做饭的最好的人。
自从我感觉到宝贵的礼物以来已经很长时间了。"
47392,UgwtG1EF37TB_8s7GRt4AaABAg,0,4 years ago,god how beautiful it is,上帝有多美丽
47560,Ugwl5Dd15Bn-YBtiIk14AaABAg,0,4 years ago,"shamsi love, hijj jana naswa, at home, and god is memories",Shamsi Love，Hijj Jana Naswa，在家，上帝是回忆
37732,Ugw5qoQtXQoM9xUy8bd4AaABAg,0,4 years ago,you are to good dear cause of doing hard working god bless you,你要善待努力工作的好理由上帝保佑你
47602,Ugw_t_An5aUfFqpnOWx4AaABAg,0,4 years ago,"your are so sweet to your grandmother❤️❤️,❤️ god bless you",你对你的祖母很甜蜜❤️❤️，❤️上帝保佑你
46401,UgzQyn69nIxYFPpUo7Z4AaABAg,0,4 years ago (edited),god,上帝
38540,UgxFtcpfYiM29Emi6Rt4AaABAg,0,4 years ago,oh my god/how wonderful you are/i wish to get lord wife ู…ุซููู๐,哦，我的上帝/你多么美好/我想让妻子妻子差一点
38621,UgzEngF8bSoqiB7J76Z4AaABAg,0,4 years ago,"my god in heaven, she makes me hunger for witch i've never seen ...",我的上帝在天堂，让我渴望我从未见过的巫婆...
38921,Ugy2JWwoFMS7Mu8Od0V4AaABAg,0,4 years ago,"god, my dream is my life, i cannot descend ... ๐๐",上帝，我的梦想是我的生活，我无法下降...
44782,UgzB1jkKfziIULs0uY14AaABAg,0,4 years ago,god be upon you,上帝在你身边
39476,UgxLk7OnhRbLQtO7f4l4AaABAg,0,4 years ago,you would be the luckiest man. if you have married someone like this goddess.,你将是最幸运的人。如果您嫁给了这样的女神。
44793,Ugz_m13lvqhKYfPFS_x4AaABAg,0,4 years ago,"god, what is she smart !!!",天哪，她聪明什么！！！
44828,UgxUYeAHjCdtfxYwCzJ4AaABAg,0,4 years ago,oh.... my god i can't express my feeling... i really wants to this place.,哦。。。我的上帝，我无法表达我的感觉...我真的很想去这个地方。
39358,UgyoAybGdMGS1fXGH5p4AaABAg.8ss4jJHp9am8svLuk8Keyb,0,4 years ago,"hehe,it's hard to not agreed , she is beautiful indeed. but ur praises would be too much for her. she will rejected it rightaway, she was so down to earth as a living goddes, she lived in sichuan province with her grandma as a simply cute village girl and grand doughter , left behind her job as dj for grandma,start her own product and mark on taobao mall, lets see more her other videos on her channel ,so we'll gain comforts once get to know her",呵呵，很难不同意，她确实很漂亮。但是您的赞美对她来说太多了。她会拒绝它，她像一个活着的女神一样脚踏实地，她和祖母一起住在四川省，是一个简单可爱的乡村女孩和大doughter，留下了她作为DJ的工作，开始了自己的产品，开始了自己的产品和马克在淘ao购物中
45003,UgybtkdaY2p9AA9td914AaABAg,0,4 years ago,oh my god the puppers,哦，天哪，幼犬
45023,Ugw8k9mZlfr-Pki6NRd4AaABAg,0,4 years ago,"god, what is it that you can't, too powerful",天阿，到底有什么是妳不会的，太厉害了
45249,Ugzo-hcrqHirgGhLMFR4AaABAg,0,4 years ago,god bless,上帝保佑
45327,UgwYO8N_FrvwOHo8fPJ4AaABAg,0,4 years ago,may god bless me,愿上帝保佑我
39302,Ugz4VNxro270WqCBDz54AaABAg,0,4 years ago,"god bless you, the true meaning of a happy life",上帝保佑你，幸福生活的真正含义
39270,UgwZ5c-YWuChG3Q5EdZ4AaABAg,0,4 years ago,"god ... i am impressed by this girl, i would like to know her ๐ฎ he leaves me speechless with his videos",天哪...我对这个女孩印象深刻，我想知道她
39252,UgxzGcOFySofbgs7uqN4AaABAg,0,4 years ago,"oh my god, chinese thousand years cuisine. pretty yummy foods.",哦，天哪，中国千年的美食。漂亮美味的食物。
39059,UgxvsiMjuJLvOdrMk8p4AaABAg,0,4 years ago,god bless,上帝保佑
38905,UgxOqWcCP9ANHogw_eF4AaABAg,0,4 years ago,"what is islam?
can we find an explanation of the great universe? is there any convincing interpretation of the secret of existence? we realize that no family can function properly without a responsible head, that no city can prosperously exist without sound administration, and that no state can survive without a leader of some kind. we also realize that nothing comes into being on its own. moreover, we observe that the universe exists and functions in the most orderly manner, and that it has survived for hundreds of thousand of years. can we then say that all this is accidental and haphazard? can we attribute the existence of man and the whole world to mere chance. โ€ man represents only a very small portion of the great universe. and if he can make plans and appreciate the merits of planning, then his own existence and the survival of the universe must also be a planned policy. this means that there is an extraordinary power to bring things into being and keep them moving in order.in the world then must be a great force in action to keep everything in order. in the beautiful nature there must be a great creator who creates the most charming pieces of art produces every thing for a special purpose in life. the deeply enlightened people recognize this creator and call him allah ""god"". he is not a man because no man can create or make another man. he is not an animal, nor he is a plant. he is neither an idol nor is he a statue of any kind because non of these things can make itself or create anything else. he is different from all these things because he is the maker and keeper of them all. the maker of anything must be different from and greater than things which he makes.โ€ there are various ways to know god ""allah'' and there are many things to tell about him. the great wonders and impressive marvels of the world are like open books in which we can read about god. besides, god himself comes to our aid through the many messengers and revelations he has sent down to man. these messengers and revelations tell us everything we need to know about god. โ€ the complete acceptance of the teachings and guidance of god 'allah' as revealed to his messengers muhammad is the religion of islam. islam enjoins faith in the oneness and sovereignty of allah, which makes man aware of meaningfulness of the universe and of his place in it. this belief frees him from all fears and superstitions by making him conscious of the presence of the almighty allah and of man's obligations towards him. this faith must be expressed and tested in actions, faith alone is not enough. belief in one god requires that we look upon all humanity as one family under the universal omnipotence of god the creator and nourisher of all. islam rejects the idea of chosen people, making belief in god and good actions the only way to heaven. thus, a direct relationship in established with god, without any intercessor.โ€ islam is not a new religion. it is, in essence, the same message and guidance which allah revealed to all prophets. adam, noah, abraham, ismael, david, moses and jesus (pbut). but the message which was revealed to prophet mohammed (pbut) is islam in its comprehensive, complete and final form.the quran is the last revealed word of allah and the basic source of islamic teachings and laws. the quran deals with the basis of creeds, morality, history of humanity, worship, knowledge, wisdom, god-man relationship, and human relationship in all aspects. comprehensive teaching on which, can be built sound systems of social justice, economics, politics, legislation, jurisprudence, law and international relations, are important contents of the quran. hadith, the teachings, sayings and actions of prophet mohammed (pbut), meticulously reported and collected by his devoted companions. explained and elaborated the quranic verses.โ€ the fundamental articles of faith in islam the true faithful muslim believes in the following principal articles of faith:- โ€ he believes in one god 'allah', supreme and eternal, infinite and mighty, merciful and compassionate, creator and provider. he believes in all messengers of god without any discrimination among them. every known nation had a warner or messenger from god. they were chosen by god to teach mankind and deliver his divine message. the quran mentions the name of twenty five of them. among them mohammad stands as the last messenger and the crowning glory of the foundation of prophethood. muslin believes in all scriptures and revelations of god. they were the guiding light which the messengers received to show their respected peoples the right path of god. in the quran a special reference is made to the books of abraham, moses, david and jesus. but long before the revelations has been lost or corrupted. the only authentic and complete book of god in existence in the quran. the true muslim believes in the angels of allah. they are purely spiritual and splendid beings whose nature requires on food, drink or sleep. they spend their days and nights in the worship of god. muslim believes in the last day of judgement. this world will come to an end someday, and the dead will rise to stand for their final and fair trial. people with good records will be generously, rewarded and warmly welcomed to the heaven of allah, and those with bad records will be punished and cast into hell. muslim believes in the timeless knowledge of god and his power to plan and execute his planes and nothing could happen in his kingdom against his will. his knowledge and power are in action at all times and command over his creation. he is wise and merciful, and whatever he does must have a meaningful purpose. if this is established in our mind and hearts, we should accept with good faith all that he does, although we may fail to under stand it fully, or think it is bad. the five pillars of islamโ€ faith without actions arid practice is a dead end, as far as islam is concerned. faith by nature is very sensitive and can be most effective. when it is not out of practice or out of use, it quickly loses its liveliness and motivation power. there are five pillars of islam:โ€ the declaration of faith: to bear witness that there is none worthy of worship except allah, and that mohammad (pbuh) is his messenger to all human beings till the day of judgment. the prophethood of mohammad obliges the muslims to follow, his exemplary life as a model. prayers: daily, prayers are offered five times a day as a duty towards allah. they strengthen and enliven the belief in allah and inspire man to a higher morality. they purify the heart and prevent temptation towards wrong - doings and evil. fasting the month of ramadan. the muslims during the month of ramadan not only abstain from food, drink and sexual intercourse from dawn to sunset but also sincerity and devotion. it develops a sound social conscience, patience, unselfishness and will - power. zakkah: the literal and simple meaning of zakkah is purity. the technical meaning of this word designates the annual amount in kind or coin which a muslim with means must distribute among the rightful beneficiaries. but the religious and spiritual significance of zakkah is much deeper and more lively. so it has humanitarian and sociopolitical values. hajj (pilgrimage to makkah): it is to be performed once in a lifetime, if one can afford it financially and physically","什么是伊斯兰教？
我们可以找到大宇宙的解释吗？对存在秘密有令人信服的解释吗？我们意识到，没有负责任的头脑，没有一个家庭可以正常运作，没有任何城市就可以在没有合理的管理的情况下繁荣，没有某种领导者就无法生存。我们还意识到，没有任何东西可以自己。此外，我们观察到宇宙以最有序的方式存在和功能，并且它已经幸存了数十万年。然后，我们可以说所有这些都是偶然而偶然的吗？我们可以将人和整个世界的存在归因于机会吗？人只代表大宇宙的一小部分。而且，如果他可以制定计划并欣赏计划的优点，那么他自己的存在和宇宙的生存也必须是计划的政策。这意味着有非凡的力量将事物带入生存并保持它们的秩序。在世界上，必须是使一切保持秩序的重要力量。在美丽的大自然中，必须有一个伟大的创造者，他创造了最迷人的艺术作品，为人生的特殊目的而产生了所有东西。深深的人认识到这个创造者，并将他称为“上帝”。他不是一个男人，因为没有人可以创造或创造另一个男人。他不是动物，也不是植物。他既不是偶像，也不是任何形式的雕像，因为这些事情中的任何东西都能使自己造就或创造其他任何东西。他与所有这些事情有所不同，因为他是所有人的制造商和守护者。任何事物的创造者都必须与他所做的事情不同。有多种认识上帝的方式“真主”，还有很多关于他的事情要说的事情。世界上的奇迹和令人印象深刻的奇迹就像开放我们可以阅读关于上帝的书籍。此外，上帝本人通过他寄给人的许多使者和启示来援助我们的援助。这些使者和启示告诉我们我们需要了解的关于上帝的一切。完全接受向他的使者穆罕默德揭示的上帝“真主”的教义和指导是伊斯兰教的宗教。伊斯兰教禁止对真主的统一和主权信仰，这使得人意识到宇宙的有意义和他在其中的意义。这种信仰自由。他从所有的恐惧和迷信中意识到全能真主的存在以及人对他的义务的存在。人类是一个家庭，在上帝的普遍无所不能下，都是所有人的创造者和滋养者。伊斯兰教拒绝选择人民的想法，使对上帝的信仰和善行的信仰成为通往天堂的唯一途径。因此，在没有任何代祷者的情况下与上帝建立的直接关系。伊斯兰教不是一种新宗教。从本质上讲，这是真主向所有先知透露的相同的信息和指导。亚当，诺亚，亚伯拉罕，伊斯梅尔，大卫，摩西和耶稣（pbut）。但是向先知穆罕默德（PBUT）揭示的信息是伊斯兰教的全面，完整和最终的形式。《古兰经》是安拉的最后一个揭示的话，也是伊斯兰教义和法律的基本来源。古兰经涉及信条，道德，人类历史，崇拜，知识，智慧，神人的关系和人类关系的基础。可以在其中构建社会正义，经济学，政治，法学，法律和国际关系的全面教学，这是古兰经的重要内容。圣训，先知穆罕默德（PBUT）的教义，俗语和行为，由他的虔诚同伴精心报告和收集。解释并阐述了古兰经诗句。伊斯兰教信仰的基本文章真正忠实的穆斯林相信以下主要的信仰文章： - 他相信一个神的“阿拉”，至高无上，永恒，无限，无限，强大，仁慈，慈悲，富有同情心，创建者和提供商。他相信上帝的所有使者，而没有任何歧视。每个已知的国家都有来自上帝的华纳或信使。上帝被上帝选中教人类并传达他的神圣信息。古兰经提到了其中25个名称。其中，穆罕默德（Mohammad）站在了最后一个使者和预言基础的荣耀。平纹细布相信上帝的所有经文和启示。他们是使者收到的指导光，向他们尊敬的民族展示了上帝的正确道路。在古兰经中，特别提到了亚伯拉罕，摩西，大卫和耶稣的书。但是很久以前，启示已经丢失或腐败。古兰经中唯一的真实而完整的上帝。真正的穆斯林相信真主的天使。它们纯粹是精神和灿烂的生物，其性质需要食物，饮料或睡眠。他们白天和黑夜都在敬拜上帝上。穆斯林相信审判的最后一天。这个世界将有一天结束，死者将为他们的最后和公正的审判而崛起。拥有良好记录的人将受到慷慨，回报和热烈欢迎真主的天堂，那些记录不良的人将受到惩罚并陷入地狱。穆斯林相信对上帝的永恒知识以及他计划和执行他的飞机的能力，他的王国在他的意愿中没有任何事情发生。他的知识和力量在任何时候都在行动，并为他的创造而指挥。他是明智而仁慈的，他所做的一切都必须具有有意义的目的。如果在我们的思想和心灵中建立这一点，我们应该真诚地接受他所做的一切，尽管我们可能无法完全站立，或者认为这是不好的。就伊斯兰教而言，伊斯兰信仰的五个支柱无需采取行动。信仰天生非常敏感，可以最有效。当它不执行或无法使用时，它很快就会失去活力和动力。伊斯兰教有五个支柱：信仰宣言：见证，除了阿拉以外，没有什么值得敬拜的，而穆罕默德（pbuh）是他在审判日之前向所有人传播的使者。穆罕默德（Mohammad）的预言使穆斯林不得不遵循他的模范生活。祈祷：每天，每天祈祷五次作为对真主的责任。他们加强并充实了对真主的信仰，并激发了人类更高的道德。他们净化心脏并防止对错误的诱惑 - 行为和邪恶。禁食斋月月。在斋月月，穆斯林不仅避免了从黎明到日落的食物，饮料和性交，而且还要诚意和奉献。它发展出合理的社会良心，耐心，无私和意志 - 力量。 Zakkah：Zakkah的文字和简单含义是纯度。这个词的技术含义指定了穆斯林必须在应有的受益人中分配的年度金额或硬币。但是Zakkah的宗教和精神意义更加深入，更加生动。因此，它具有人道主义和社会政治价值观。朝j（前往麦加朝圣）：一生将进行一次，如果可以在财务上和身体上负担得起"
38625,UgxKcW6BHA9ry3pIeo14AaABAg.8tQlz8JhhG98tn7pS6pznF,0,4 years ago,@bonasser6561 is true and god,@bonasser6561是真的，上帝
38889,Ugy2ohEFONqwsDkunvV4AaABAg,0,4 years ago,"god, how delicious it looks like ๐",上帝，看起来多么美味
45481,Ugx8E1mv-craf51hIH54AaABAg,0,4 years ago,my god she is amazing,天哪，她很棒
45487,UgxVvSXLUH_jtxLKrxd4AaABAg,0,4 years ago,"ako arabs, if only, i will not, god willing",ako阿拉伯人，如果仅仅，我不会，上帝愿意
45635,UgyetQd3M6dfH7atILR4AaABAg,0,4 years ago,hi goddess of the vocina,嗨，vocina的女神
45685,UgzBiFWpGC1x8hxawJh4AaABAg,0,4 years ago,oh my god.. its heaven,哦，我的上帝..它的天堂
46121,UgzrrpmBoOTc6NiT8Cp4AaABAg,0,4 years ago,"wow, goddess!",哇，女神！
38749,UgwUoLXuc_B5BebIikh4AaABAg,0,4 years ago,"god willing, it does not get tired of it",上帝愿意，它不会厌倦
38727,UgzLVJEs68-nLVZGvGh4AaABAg,0,4 years ago,god is the beauty of the picturesque nature,上帝是风景如画的大自然的美丽
