,cid,votes,time,含best,含best中文翻译
12643,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D7iwLVXmDz,4,2 years ago,i wish the chinese community the best. you sweet people deserve none of the hate you receive. much love,我希望中国社区最好。你们可爱的人不应该得到你所得到的仇恨。非常喜欢
8661,Ugzdxe_mFMAwvKE9tid4AaABAg,4,2 years ago,her covering her gma only to jump back in fright from the popcorn 'splosion is the absolute most adorable thing i have ever witnessed lol she's the best.,她掩盖了她的GMA，只是从爆米花的“碎片”中惊恐地跳回去，这绝对是我见过的最可爱的东西，她是最好的。
34418,Ugwg5n_d7MfddANepFV4AaABAg,3,4 years ago,she is living her best stardew valley life!!!!!,她过着最好的星尘谷的生活！
13865,UgyWD7nQQq7CzLMfgaN4AaABAg,3,2 years ago,one of the best videos i have ever seen,我见过的最好的视频之一是
14131,UgxQIgANHb8hw5nVR_R4AaABAg,3,2 years ago,i like to watch liziqi on the weekends with a beer. best thing ever. i'd love to have a woman like that. she's so pretty in every way.,我喜欢在周末用啤酒看Liziqi。有史以来最好的事情。我很想有一个这样的女人。她在各个方面都很漂亮。
38014,Ugzv_QgOkO67obC3C2h4AaABAg,3,4 years ago (edited),your video are so relaxing. youโ€re videos is our favorite to watch when weโ€re relaxing in the living room. its the best! the good that you make looks amazing.,您的视频是如此放松。当我们在客厅放松时，您是我们最喜欢观看的视频。这是最好的！您使您看起来很棒的好处。
29743,UgxKTztHWKWnVyQiaYd4AaABAg,3,3 years ago,"natural and simple foods are environmentally friendly, fresh and quiet ... there are elements that urban people have gained and pursuing. it is the best publicity regardless of skin color religion.",天然 朴素 食物 环保 清新 清静...城市人所放弃又在追求的元素都有，不分国借肤色宗教，是最好的宣传了。
14617,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AjNJ36cLXw,3,2 years ago,"@user-ce5xg9ko6m can no longer agree. the film releases the feelings of life, kindness and beauty, and the positive energy of natural harmony and love ... peace! (she has also released a small snake, and recently persuaded the two puppies not to fight 
7 brother's wenyu is obvious to everyone, and it is no problem to be in charge of copywriting, but ziyi is afraid to find someone to help the plate ... in the end, she will have no food products to shoot ending
come and come to find a few best photography and editing masterpieces to make an appreciation, 7 brothers dream of good night dreams!","@user-ce5xg9ko6m 再同意不过了，片中处处释放出真善美的生活情怀，自然和谐充满爱的正向能量…peace！ (她还放生过小蛇，最近劝两小狗别打架
7兄的文釆大家有目共睹，负责文案没问题的啦，可是子柒怕找人帮端盘子…最后她会没有食物成品可拍ending
睡前来找几部最佳摄影、剪辑大作拜赏一下，7兄晚安好梦！"
48763,Ugz5JRfL2rkVRHEe77Z4AaABAg,3,4 years ago,the best girl,最好的女孩
14623,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AsPJRf7vfq,3,2 years ago,"@user-ce5xg9ko6m haha! can be able to support the best works with the enthusiastic 7 brothers and tens of millions of loves. together with the support of appreciation, it is really honorable.",@user-ce5xg9ko6m 哈哈！能跟热诚的7兄以及上千万喜爱子柒的同好…一起支持欣赏优秀的作品，真是与有荣焉呀
13425,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CvihCbrCa7,3,2 years ago,"kai kujawa you are idiot brainwashed asshole . china government is the best in the world, shut up",kai kujawa你是白痴洗脑混蛋。中国政府是世界上最好的，闭嘴
34420,Ugy2UKqwwp6K5z0stfx4AaABAg,3,4 years ago,the best 10 minutes of my day :d,我一天中最好的10分钟：D
45494,UgxglR6Jm_CUvQrL5T94AaABAg.8r3ZX_2tI028rB9IHjRixw,3,4 years ago,"@user-vo9ny2ym8n, may god reward you with the best of my brother. his shape will be given their paradise.",@user-vo9ny2ym8n，愿上帝用我兄弟的最好的奖励你。他的形状将得到他们的天堂。
25000,UgwmjhqDOl03XTVzo554AaABAg,3,3 years ago,the best channel in the world,世界上最好的频道
16385,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G99NobvOV2A5,3,3 years ago (edited),"@angelina_allanson8759 world is becoming increasingly polarised. china-india relations are not the best. there are always scuffles in the border (but this has gone on for decades, so it's not exactly ""news""). also tiktok is being blamed in indian media for promoting acid attacks because some idiot user made a video. and tiktok is founded by chinese. it's very sad. i can't look at anything in this world anymore without some kind of political suggestion popping in my head. not to mention covid? a lot of indian media is also hyping up the fact that nobody wants to do business in china anymore, and everyone is moving to india. again, a huge exaggeration, but the damage is done. 

hindutva ideology (hindu nationalism) is also causing tensions against muslims and kashmiris, whom some hindu extremists think are spies for pakistan. and they see pakistan as china's dog (not true).

you see what i mean? i'm sure i'm just scratching the surface here. i hope i'm not offending any indians.","@angelina_allanson8759世界变得越来越两极化。中国关系不是最好的。边界总是有混战（但这已经持续了数十年，所以这并不是“新闻”）。由于一些白痴用户制作了视频，因此在印度媒体中，Tiktok也被指责在印度媒体上促进酸性攻击。 Tiktok由中国人建立。这很令人悲伤。没有某种政治建议突然出现，我再也看不到这个世界上的任何东西了。更不用说Covid了吗？许多印度媒体也大肆宣传这样一个事实，即没有人愿意在中国开展业务，每个人都搬到印度。同样，夸大了，但损坏已经造成。

印度教意识形态（印度民族主义）也引起了对穆斯林和克什米尔人的紧张局势，一些印度极端主义者认为这是巴基斯坦的间谍。他们将巴基斯坦视为中国的狗（不是真的）。

你明白我的意思吗？我敢肯定我只是在这里刮擦表面。我希望我不要冒犯任何印第安人。"
42658,UgxnbhWtD8x5eTg19fR4AaABAg,3,4 years ago,"you are one of the best people who could ever exist on this earth :) you are beautiful, so hardworking, so skilled so amazing in everything.....

your videos are like medicine to me.... what a lifestyle","您是地球上有史以来最好的人之一：)您很漂亮，如此勤奋，如此熟练的一切都如此惊人.....

你的视频对我来说就像药一样。"
33414,UgwD7zHOG1MNPqkoJFp4AaABAg,3,4 years ago,"founding this channel is the best thing in my life, thank you such a soothing and beautiful content",建立这个频道是我一生中最好的事情，谢谢您如此舒缓和美丽的内容
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,2 years ago,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
25811,UgxqI_vacbqeEftpf-14AaABAg,3,3 years ago,hands down the best channel on youtube! <3 this has to be such a fulfilling life i can't even imagine if only we were all this hard working and humble,将YouTube上最好的频道放下！ <3这必须是如此充实
26309,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy908mXnwcnMf,3,3 years ago,thats wonderful!!!! please keep on doing your best even if its little by little! even if i dont know you please know a random persom on the internet cares about you! keep going!!!! never giveup!!!,那好极了！！！！即使一点一点一点地，请继续尽力而为！即使我不知道您，请在互联网上知道一个随机的镜头！继续前进！！！！永不放弃！！！
49040,Ugx8rUHd2PrRmqdUtXh4AaABAg,3,4 years ago,best diy videos,最好的DIY视频
16478,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l98w5nPDQrk6,3,3 years ago,"exactly, your using hard work to live which makes everything better. 
also living like this is the best for kids who are using technology 24/7, and you get to bond with your family more","确切地说，您正在努力工作，这使一切变得更好。
同样，像这样的生活也是最适合24/7技术的孩子，您可以与家人建立更多的联系"
5150,UgwcwGDC9zmwNnj5Qx14AaABAg,3,1 year ago,i’d be interested in a commission to document my future wedding or first born’s birthday. she has a great eye for bringing out the best visuals in any setting. beyond satisfying.,我会对委托记录我未来的婚礼或First Born的生日感兴趣。在任何环境中，她都非常注视着最好的视觉效果。不满意。
31431,Ugzn2TvpqOiqIBoe2NJ4AaABAg,3,4 years ago,"i love chinese food itโ€s the best. i have never gotten sick or ill whilst eating chinese unlike indian, mexican etc. ๐จ๐ณ ๐’“",我喜欢中国菜，这是最好的。与印度，墨西哥人不同，我从来没有生病或生病。
6871,UgyreNtMVZQeXrquvRZ4AaABAg.9Kum6K17yQD9LBJb_ybRIM,3,2 years ago,"@crabvakho lol 'explained'?you were just talking sh*t about her and don't even dare to admit it,that's the truth.shame on you loser,your entire life is worthless.just keep on being a shameless rumourmonger ,that's what you do best in your pathetic life.",@crabvakho lol'解释'？您在可悲的生活中所做的最擅长的事情。
48904,UgwRaOvzBHMlGMyzKqd4AaABAg,2,4 years ago,happy chinese year! all my best wishes!,中国年快乐！我所有的祝福！
35830,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8upvJ3wtpdE,2,4 years ago,thank you for your attention guys :) i'll do my best,谢谢你的关注伙计:)我会尽力而为
29451,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yMmospferB,2,3 years ago,"hahahahahahahahahahahaha, the best stalk! intersection intersection intersection",哈哈哈哈哈哈哈哈哈哈哈哈，最佳梗！！！！
35445,UgzQpMjn-x2hsQDFFN54AaABAg,2,4 years ago,"simple life i admire so much, she is definitely my best mate to live & work with.
i love your gud work, your so amazing dear keep up the gud work. the best i have seen","我非常佩服的简单生活，她绝对是我与生活与工作的最佳伴侣。
我喜欢您的工作，您真是太棒了，亲爱的，请继续工作。我见过的最好的"
28923,Ugyyt8k-p4D21Lj0atV4AaABAg,2,3 years ago,"i've watched all the videos, i think this video is the best version and inspired me
i really like the video greetings from indonesia like the likes","我看了所有视频，我认为这是最好的版本，并启发了我
我真的很喜欢印度尼西亚的视频问候"
21829,UgxGqYYmAY6AVidfvsN4AaABAg,2,3 years ago,"best.. l want life like this
ohh my god","最好..我想要这样的生活
哦，我的上帝"
22098,UgyyFd7L3PllQX9i5pN4AaABAg,2,3 years ago,"i donโ€t know, i will say, i see in the chinese, but i loved the girl, this is a simple person and the best thing is that she does not depend on technology, she does every need a carpentry that you meet a cook that she meets with separation and sews her meeting with a farmer. nature, masterpiece, this is not possible for beauty. glory be to god. life is like this, and all girls and sixties remain.",我不知道，我会说，我在中文中看到，但我爱这个女孩，这是一个简单的人，最好的是她不依赖技术，她确实需要您遇到的木工厨师她会遇到分离，并缝制了与农民的会面。大自然，杰作，这是不可能的美丽。荣耀归于上帝。生活就是这样，所有女孩和六十年代都保留下来。
3659,UgxYDCq1Zm232_2uyGJ4AaABAg,2,1 year ago,a hundred million already. the best. look!,已经一亿。最好的。看！
27131,Ugwo6PjPkYxpx_duMbl4AaABAg,2,3 years ago,the world's best video to be the sweetest channel in the world,世界上最好的视频是世界上最甜蜜的频道
12708,UgyM0tbBYYWc00MBYzB4AaABAg,2,2 years ago (edited),"her candy is known as panjiri in india trust me it is best sweet 
look at her grandmaa she is very adorable","她的糖果在印度被称为Panjiri，相信我是最好的甜蜜
看看她的奶奶，她非常可爱"
27054,UgwBggAMiJmsKrGJpl54AaABAg,2,3 years ago,the best content on youtube,YouTube上最好的内容
6130,Ugyw-7-3hGGqz9Fq3Mp4AaABAg,2,2 years ago,5:54 best part,5:54最好的部分
28510,UgzVXcV1_D1t8Zi286h4AaABAg,2,3 years ago,"sahara dessert - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","撒哈拉甜点 - 嗨，对不起，这让你哭了。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
38754,UgxocOFuOiLAmtR0gS94AaABAg,2,4 years ago,china is the best,中国是最好的
32197,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8yA-xfe7eBa,2,3 years ago,brother just be the best of yourself,兄弟只是自己最好的
39998,UgyRSlkUodrzmNbaabt4AaABAg,2,4 years ago,i think that video was the best thank you so much,我认为那段视频是最好的，非常感谢
45014,UgwEEapI6j8oj07P14B4AaABAg,2,4 years ago,this channel has one of the best aesthetic,该频道是最好的美学之一
25188,Ugws1DpbYG9dYTKQRkV4AaABAg,2,3 years ago,"sister seven, it is best to use a vacuum packaging in that beef jerky, so that it can be stored for a long time.",七姐啊，那个牛肉干最好使用真空包装，这样可以储存的比较久哦。
21751,UgxUOCMq_DK13zxsYUh4AaABAg,2,3 years ago,this ainty is my inspiration. i will make recipes in my chanel like her. she is best,这是我的灵感。我会像她一样在香奈儿做食谱。她是最好的
16726,UgxKTlCAdOs4VwXmy414AaABAg.98ULgDRBjBw98_naCKRyCn,2,3 years ago,"@fourscoresevenyearsago nah she or he is straight up bragging lmfao, i have met rich people and they are usuaally like this, i dont think they notice but meh, wish them the best tho",@fourscoresevenyearsago nah nah tha ah the He或他正吹牛，我遇到了有钱人，他们是这样的，我不认为他们注意到了，但是嗯，祝他们最好
24803,UgzqQyOKzxpUoCIUzD54AaABAg,2,3 years ago,she lives the best life love her โค๏ธ,她过着最好的生活爱她❤️
30088,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xbGe2EQHJ1,2,3 years ago,@janicetarot the best,@janicetarot最好
48212,UgzNw6Y1wzNfmmWZ16R4AaABAg.8qnIxuoIiqi8qoFlSYa-BS,2,4 years ago,"remember to prepare a fresh red vegetable head, it is best to squeeze juice with the noodles. the steamed bun guarantees a big red envelope.",记得准备新鲜的红菜头，最好是和
24232,UgxmuQQxiCeRDU_pOrZ4AaABAg,2,3 years ago,i see this video minimum 50times.....how much i love this video i don't express that love you liziqi you are the best,我看到这个视频至少50次.....我多么爱这个视频，我不表达爱你liziqi你是最好的
2443,UgzODh-lytOxKBaY7mB4AaABAg,2,1 year ago,"liziqi vlog 
such an inspiration to many
missing u and ur vlogs
from philippines here so proud 
ur one of the best","liziqi vlog
这是许多人的灵感
缺少你和你的vlogs
来自菲律宾的来自这里的骄傲
你最好的"
16084,UgzGPfoVcKyf7YZbhcN4AaABAg,2,3 years ago,it is similar to the rural landscape of korea. the night is the best.,它类似于韩国的农村景观。夜晚是最好的。
39756,Ugy6GDl_h0INZ5DZra94AaABAg,2,4 years ago,i love you and all the best from bavaria ๐๐๐๐๐๐โค๐’๐’,我爱你，来自巴伐利亚的最好
29767,Ugz4uV6RbbHfsXJ93G94AaABAg,2,3 years ago,i swear nature at its best.breathtaking,我最好发誓自然。
40704,UgwTKhSoH8S384SgOkl4AaABAg,1,4 years ago,awww!!.❤❤❤❤❤❤the lamb and the puppies grow so fast i really love your videos this is the best youtube video i ever see ❤❤❤,awww ！！。
17511,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa98YnPwAKmjO,1,3 years ago,"@shaikhzamir5455 china's animal welfare law has been established through expert review several years ago. and do you know china? most chinese people around me don't eat dog meat. they even think it's a disgusting thing to eat dog meat.western media try their best to smear china, only report the negative news of china, and let the outside world lose their good feeling for china. this is their purpose.if you only know china from western media, you will only be one of those brainwashed by western media.",@shaikhzamir5455几年前通过专家审查制定了中国的动物福利法。你知道中国吗？我周围的大多数中国人都不吃狗肉。他们甚至认为吃狗肉是一件令人恶心的事情。西方媒体尽力抹黑中国，只报道中国的负面消息，让外界失去对中国的良好感觉。这是他们的目的。如果您只知道中国来自西方媒体，那么您将只是西方媒体洗脑的人之一。
25265,UgxCw52iF4VEX9mpd4Z4AaABAg,1,3 years ago (edited),"i love your crew!!! hanging with lambies, puppies and grannies! best of the best xoxoxo
also, you are the perfect combination of adorable and kick-a__!!! soooo amazing","我爱你的船员！！！与兰比斯，小狗和奶奶一起悬挂！最好的最好的xoxoxo
另外，您是可爱和踢脚的完美组合！！！太神奇了"
16643,UgwC5JuWJFOVIQDCAtB4AaABAg.98YP3M1hKpR99Zvdu4npMJ,1,3 years ago,"exactly i don't get it but whether you do good or bad there will always be people who don't appreciate, see the good,be positive or want the best for you or to even learn from it. but if that's what they saw best to them anyway....",确实，我不明白，但是无论您做得好还是坏事，总会有人不欣赏，看到好东西，积极或想要最好的人，甚至不愿意从中学习。但是，如果那是他们对他们最能看到的。
21407,Ugygpnq6Wmr0lnEaSUt4AaABAg,1,3 years ago,li ziyi the best,李子柒最棒
41291,Ugyl7VYfUKbEoO2DdUh4AaABAg,1,4 years ago,"oh peace, the best life, the best food, and the best organization of my beloved, and god",哦，和平，最好的生活，最好的食物和我心爱的最好的组织，上帝
17297,UgyrJ0H7KN1JD167rT94AaABAg,1,3 years ago,this is the best video ever! i want to be invited to her house for the snacks!,这是有史以来最好的视频！我想被邀请到她的家吃小吃！
45415,UgzSpQsmgiZeAPE2RZ94AaABAg,1,4 years ago,my best boss,我最好的老板
25567,Ugx4RYbJWB2v3G5QKMh4AaABAg,1,3 years ago (edited),so i am a newbie to liziqi and out of all the people i know in the world it was my swedish work colleague who recommended me to this amazing and rare young women and now i am a big fan :) all the best and good health to grandma from tommy in mansfield uk,因此，我是Liziqi的新手，在我认识的所有人中，这是我的瑞典工作同事，向我推荐了这个令人惊叹的稀有年轻女性，现在我是一个忠实的粉丝:)来自英国曼斯菲尔德汤米的奶奶
17149,UgzPpNULJ3ZtgYT1XAF4AaABAg,1,3 years ago (edited),"the puppies and the lamb love li ziqi as if she were their mom...maybe adopted mom...i would follow her around if i could, chestnuts roasting on a kitty fire....:) wow, so many healthy snacks..amazing princess! god bless you and your grandmom...from texas ...usa.ni shi hen hao...:) in 14 years in china, i never trust those popping machines...dangerous...for ears...best spring festival food in the world...done by li ziqi....so great!",小狗和羔羊爱李齐qi好像她是他们的妈妈...也许是收养的妈妈...如果可以的话，我会跟着她，栗子在小猫的火上烤... :)哇，哇，很多健康的零食..杰出的公主！上帝保佑你和你的祖母...来自德克萨斯州...美国。世界上春节的食物...由李Ziqi完成。。。太棒了！
25590,UgyWPcdmlJBhj6T9AeB4AaABAg,1,3 years ago,she is the best girl i have ever seen,她是我见过的最好的女孩
22682,UgwgJ2qbEbQLZdATFpR4AaABAg,1,3 years ago,"chinese food maybe not the best,but cooking culture is longest of human history",中国食品也许不是最好的，但是烹饪文化是人类历史上最长的
44982,UgxF6fHp5nG5Nh5CLnp4AaABAg.8r9-keU1qqd8rDyGgOA4oj,1,4 years ago,"@jz4774 wine too yes. but i believe wine competition is very tight and frenchies arent that much on top anymore. might be wrong about it, not an expert.
i mentionned pastries (patisseries) just above, i agree they re best in that specific category, and by far.","@JZ4774葡萄酒也是。但是我相信葡萄酒比赛非常紧密，法国人不再领先了。可能是错误的，而不是专家。
我在上面提到了糕点（糕点店），我同意他们在该特定类别中也是最好的。"
23886,Ugwft9A0eY0FhaPE0hV4AaABAg,1,3 years ago,really addicted to urs video โฅ๏ธโค๏ธ u r the best,真的沉迷于urs视频♥♥¶2
17781,Ugw97hNuDj3iZ1ixeXF4AaABAg,1,3 years ago,got best recommend video today,今天有最好的推荐视频
20567,UgwgXzAc1AwQ6EyFqRN4AaABAg,1,3 years ago (edited),no more meat and animal cruelty. enjoy your coronavรญrus now from your cooked dogs and bat soup. nature is the best revenge for this cruel society.,没有更多的肉和动物残酷。现在可以从熟食狗和蝙蝠汤中享受冠心大战。大自然是这个残酷社会的最佳报仇。
19681,UgzvdO1VPELDXVNbWXN4AaABAg,1,3 years ago,your the most awesomest girl ...wish people in america were like you! you have the best videos on the planet and i know you are my sister … much love!,您是最棒的女孩...希望美国的人们像您一样！您拥有地球上最好的视频，我知道您是我的姐姐……非常爱！
26402,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy95yic1BYtUF,1,3 years ago,"good for you i hope you are still fighting,best wishes from china",对您有好处，我希望您仍在战斗，来自中国的良好祝愿
26452,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98JdD4N-oO2,1,3 years ago,bug bug best wishes๏ผ,bug bug最好的祝福！
20274,UgyvNTjgk-sFsQyRBUp4AaABAg,1,3 years ago,this girl is one of the world's best cookers,这个女孩是世界上最好的炊具之一
26460,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98cqrkAtyQW,1,3 years ago,i'm glad u found some light. fighting depression is hard especially right now. i wish you all the best.,我很高兴您找到了一些光。战斗抑郁症尤其是目前很难。祝你一切顺利。
43845,UgxKiLZ7LEGFveQJh9N4AaABAg,1,4 years ago,you are the best wild cooking channel i have ever seen.,你是我见过最棒的野外煮食频道。
38673,UgzeGFAknOGr8ZIYxBZ4AaABAg,1,4 years ago,you're the best among the others. support from indonesia. ๐,你是其他人最好的。印度尼西亚的支持。
18982,UgzDtF2RDTIBUrzTPox4AaABAg,1,3 years ago,"the food of those restaurants on the street has no soul, and the best food is inherited from the older generation. i hope that the gourmet culture in every area of ​​china in the future will continue to be passed on! i can see me so hungry, but unfortunately the food is food, not food",街头那些饭店的食物都是没有灵魂的，最好吃的食物是来自老一辈传承下来的。我希望未来中国每一个区域的美食文化能继续传承下去！ 看得我好饿
25083,UgxP5f5iTIx1oWXsI7l4AaABAg,1,3 years ago,"everything i did is very beautiful, she presented her work with the best of my best, girl",我所做的一切都很漂亮，她用我最好的，女孩展示了自己的作品
40381,UgziO1W8M_JUs_IWWVN4AaABAg,1,4 years ago,"good life. i wana be your life. it's the best life. you are good luck girl. if i have opportunity, i want to know you. and have a good friend as same as you.",美好生活。我想成为你的生活。这是最好的生活。你是好运的女孩。如果我有机会，我想认识你。并有一个和你一样的好朋友。
20568,UgxGrgRlrG1zo8LhNg14AaABAg,1,3 years ago,i'm really lost of words it's just amazing i will try my best to live like her because i want to,我真的失去了话，这真是太神奇了，我会尽力像她一样生活，因为我想
25744,UgwVvi6VMvloIniszht4AaABAg,1,3 years ago,"wow! your awesome, all of your videos i watching because your so beautiful and i like you. i am beginner vlogger her in the philippines, i have 2 subscriber only for 1month but i still fighting and i always filming my videos to upload in my youtube channel.
good job li ziqi your the best cooking master woman..i love you ๐","哇！您很棒的所有视频，我看的所有视频是如此美丽，我喜欢您。我是菲律宾的初学者vlogger，我只有2个订户，但我仍然战斗，我总是在拍摄视频以在我的YouTube频道上载。
好工作李Ziqi你最好的烹饪大师女人..我爱你"
24048,Ugw4n8sur346iV9OQRZ4AaABAg,1,3 years ago,"that popcorn machine! i used to eat that when i was young, the explosion is the best advertisement that popcorn man is in the neighborhood",那台爆米花机！我曾经吃过那个小时候，爆炸是爆米花男子在附近的最好的广告
20599,Ugy3eidsiT4UCPV17l94AaABAg,1,3 years ago,3:11 is the best part of the video,3:11是视频中最好的部分
26798,UgypGUcue_YxCoTWvNd4AaABAg,1,3 years ago,"this is so interesting and cool to see, someone else's life! i hope you the best from here on out!",看到别人的生活真是太有趣了！希望您能从这里开始最好！
42076,UgzzGd-k2dDvIbJhh854AaABAg,1,4 years ago,"the way this video showed the rawest food making from scratch to finish in such a beautiful way is astounding, not just the cinematography, the sound is great too, best of all, it's such a beautiful way of preserving the culture",这段视频显示以一种如此美丽的方式从头开始制作最原始的食物，这令人震惊，不仅是摄影，而且声音也很棒，最重要的是，它是一种保留文化的美好方式
42014,UgzANalmKJKPrlM1WRJ4AaABAg,1,4 years ago,this​ is​ the​ best​ video​ i​ have​ ever seen.,这是我见过的最好的视频。
26917,UgxbuNNOgMjCPw_kkjR4AaABAg,1,3 years ago,i love liziqi. you live my dream. you are the best ๐’๐’๐’,我爱liziqi。你实现我的梦想。你是最好的
41997,Ugz-xLsy8SD4USbIDWF4AaABAg,1,4 years ago,best youtuber ever i have seen,我见过的最好的YouTuber
20764,UgwWQAmp3Xe4eGy0Jxp4AaABAg,1,3 years ago,best videoโฆ๐๐๐,最好的视频
26352,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy93xRgK4qjcy,1,3 years ago,bug bug . thank you for sharing. welcome back. i am sure you were missed.i wish you all the best. you have made a difference in so many peoples life. thank you,错误错误。感谢你的分享。欢迎回来。我确定您会很想念。我祝您一切顺利。您在许多民族的生活中有所作为。谢谢
21284,Ugy3XCUgVit2hL0_J394AaABAg,1,3 years ago,"i really don't know what to say.

i saw almost all your movies.
when you work with a knife or a dangerous tool you always worry about hurting your hand, or when i see you doing hard work i tell myself i wish i was there and doing the hard work for you.

you are very diligent and hard working and i think you are very kind just like your grandmother.

may god bless you all the best.๐โค๐ท","我真的不知道该说些什么。

我看了几乎所有的电影。
当您使用刀子或危险工具工作时，您总是担心会伤害您的手，或者当我看到您做辛勤工作时，我告诉自己我希望我在那里并为您做艰苦的工作。

您非常勤奋和努力工作，我认为您就像您的祖母一样善良。

愿上帝保佑你们一切顺利。"
41877,UgxTIL3d0Izt-N2OVnJ4AaABAg,1,4 years ago,the food looks absolutely delicious. i will try to make the snowflake crisp. this is by far one the best videos i've seen and love all your videos. the treats you made look so good,食物看起来绝对美味。我将尝试使雪花酥脆。到目前为止，这是我看过的最好的视频，并且喜欢您所有的视频。您做的零食看起来很好。我非常感谢您与世界分享。对您和您的家人的和平与爱很多。
27562,UgxkTHYCkse2dc42jJl4AaABAg,1,3 years ago,she deserves the title of best woman โค๏ธ,她应该得到最好的女人的头衔❤️
7128,UgxKKgLO_Aj5S5XVhu14AaABAg,1,2 years ago,the traditional way is the best,传统的方式是最好的
27625,UgzXoELjMOMO5uluE7p4AaABAg,1,3 years ago,best life,最好的生活
5579,Ugzbwkb-7ANpzoC6bZR4AaABAg,1,2 years ago,gurl keep trying your best your really good at it ♥️♥️♥️,Gurl继续尽力而为，您真的很擅长♥♥♥资产
32143,UgxPQZQgLnoyX8V5MG54AaABAg,1,4 years ago,i swear that grandma is living the best life,我发誓奶奶过着最好的生活
36145,UgzNrRFf3VzthhtF9Dp4AaABAg,1,4 years ago,wow yammy best channel ever i love it keep it up your grand mother is very lovely too๐.,哇，Yammy最好的频道，我喜欢它，请继续保持您的大母亲也很可爱。
31946,Ugxt1DuVvy0UV5YNPZl4AaABAg,1,4 years ago,literally best asmr,从字面上看最好的ASMR
