,cid,votes,含best,含best中文翻译
2047,UgwTthPmPfp0bgpqMJJ4AaABAg,0,"1
while the word nature in the soul transmits the impression of stability and non -change, man appears in general, and the contemporary person in particular, a historical and variable being, his changes are accelerated in our time. is it possible to say that a person is unique to the rest of the neighborhoods that he has no nature, or that every perception of human nature is a historical perception, which condemns his time more than what is supposed to be our mountain or our fixed formation? and when we look around us, we see that our partners in life, including animals and plants, seem programmers on the same deeds and interactions throughout their lives, unlike us. singer does not have a date, it does the same things every year in a cycle ... normal. senjab has a nature, although we do not know what is going on in the head of the squirrel, and what does the neighborhood mean that the neighborhood is a bond. man has a history in return, and it seems that we have a history because we have no nature.

but it seems that a person has no clear nature. we are distributed over two sexes, and we multiply with reproduction, and the young people are breastfed by mothers milk, and we need us in general and more so that we can walk, we walk on legs like birds but we do not fly like them, and if you did not sleep in an accident or kill each other for each other, we die a ""natural"" death of old age, it is rare for one or one of us to live a century. but we speak after two or three years, alone about other animals in the language. despite the multiplicity of our languages, it is not among us who are without a language, and the speaker of any language can multiply by intermarriage from the speaker of any other language, which means that we are similar biological, that is, we have one ""nature"". this is important against the ""racists"" of human beings. they deny the natural unity of humans, that is, the unity of the human element, but rather decide the large number of human elements and their salary as fixed, or natural data. in fact, the concept of nature that can be based on refuting racist claims can also be reassured to defend them.

moreover, a person is a product of a development of a life on the planet of about four billion years old, which means that the potential distinction of his nature is one of the possibilities of this life, through the process of ""natural election"" in which the best and the most able to inherit its preferences win, and it comes out of the weakest race. with these images, what seems to be out of nature is the same as natural data.

2
it seems that our current formation is fixed for hundreds of thousands of years and more, and that we have passed millions of years ago with stages during which our stature erected and our skulls expanded, and we took a symbol and made tools.

for thousands of years our history seems to be the history of what we do and create, not a natural development history, such as our development in the times of the foot. is this a short separation, which leads us to something after it? after thousands or tens of thousands of years, is it possible that our capabilities are being seen today, based on language and thought, as natural evolutionary features, which led to widespread destruction of the planet, and perhaps to delete the being who possessed these features and restore the planet and life on them? we will have a possibility of nature, destroying himself according to what might be called the natural principle of cunning. this does not seem completely excluded. it may not happen by the action of the nuclear bomb, but rather the genetic bomb, interference in the human genetic record, that is, in the ""nature"" of man in a way that produces different natures or ""elements"", the difference between us is close to us and chimpanzees, for example, and mating and reproduction may refrain from arrival to this threshold. in other words, the true racism in front of us, whether by manufacturing human beings, may not be rebellious or protected, slaves in their nature, as if they are useful pets, which are beneficial to them that they speak and reason; or through the production of superheroes who use us, we are ordinary, as slaves to them, and they see them crowding out for them on the planet and there is nothing wrong with killing hundreds of millions or billions of us, and perhaps in this they are armed with force and capabilities that we do not kiss to confront them.

3
this brings us back to the question about the human nature: what is the nature of the living being who seems able to change its nature? does the concept of nature remain good when it seems that it does not refrain from changing it, who are supposed to change it? to make new natures for themselves or others? when the organism has natures instead of one nature? or when it is possible that it is distinguished for organisms, each of which is its nature? the change of man to the ""mind"" of the language of the language (speaking with others, and the soul, from the world), and as a social evolutionary production. this ability has evolved historically, and just a few centuries ago, it presented itself the possibility of ""sovereignty"" on the nature and ""ownership"". ""sovereign"" progress has been achieved at specific levels, but its price was exorbitant as it was presented: the extinction of many neighborhood partners for us, the heating of the planet, and the threat of life on it, as well as the severe forms of discrimination between the human beings themselves, including extension of the indigenous population in two continents by the european controlles. and among them is an intercontinental commercial slavery, which blacks suffered more than others. this is at a time when perceptions such as man, his rights and humanity were heard more than ever.

is it possible that we are wondering today about the nature of man because we are touching something unnatural in ourselves, threatening the nature from which we descend?

what is this abnormal thing? perhaps a special ability for our brain and nervous system, is evolutionary (expanding the skull and the erection of the list) and socially (through language and a broader groups) on the rationality and obstruction of other beings, and ""arrest"" - they, including some people or many of them or more, are what we call the mind . man is a ""speaking animal"" in the sense of sane. perhaps the social person invented or developed cultures and religions as a matter of ""mind"" himself in particular, and from them in particular his developing nervous system anxious. the social person has produced these beliefs and rules, or ""culture"", in order to be an external mind that controls his inner, extremely internal mind, giving him customs and traditions, repetitive paths that help him have a continent's nature, or compensate him for the loss of his animal. a form of a ""detainee"" of this abnormal, natural object.","1
尽管灵魂中的大自然一词传递了稳定和不变的印象，但人类总体而言，尤其是当代人，一个历史和变量，他的变化在我们时代加速了。是否可以说，一个人是其余社区独有的，他没有天性，或者对人性的每一种看法都是一种历史感，这谴责了他的时间，而不是应该是我们的山上或我们的固定的时间编队？当我们环顾四周时，我们会看到生活中的伴侣，包括动物和植物，看上去像我们一生都在相同的行为和互动上的程序员，与我们不同。歌手没有约会，它每年在周期中做同样的事情……正常。 Senjab具有性质，尽管我们不知道松鼠的负责人正在发生什么，而该社区意味着该社区是一种纽带。人有回报的历史，而且似乎我们有历史，因为我们没有天性。

但是看来一个人没有明确的本性。我们分布在两个性别上，我们会随繁殖而繁殖，年轻人被母亲牛奶母乳喂养，我们通常需要我们，以便我们可以走路，我们可以像鸟一样走路，但我们不会像它们那样飞翔，如果您不在事故中睡觉或彼此杀死，我们将死于老年人的“自然”死亡，我们中的一个或一个世纪很少生活。但是我们在两三年之后讲话，独自一人谈论其他语言的动物。尽管我们的语言有多种多样，但我们中没有任何语言，任何语言的说话者都可以通过任何其他语言的说话者过婚，这意味着我们是相似的生物学，也就是说，我们有一种“自然”。这对人类的“种族主义者”很重要。他们否认人类的自然统一，即人的元素的统一，而是将大量人类因素及其工资确定为固定或自然数据。实际上，也可以放心可以基于反驳种族主义主张的自然概念来捍卫它们。

此外，一个人是大约40亿年历史的地球上生命发展的产物，这意味着他的本性的潜在区别是通过“自然选举”的过程之一最好和最能够继承其偏好的能力，这是最弱的种族。有了这些图像，似乎出于自然的图像与自然数据相同。

2
似乎我们目前的形成固定了数十万年以上，并且我们已经通过了数百万年前的阶段，在此期间，我们的身材竖立了，我们的头骨扩大了，我们采用了符号并制造了工具。

数千年来，我们的历史似乎是我们所做和创造的历史，而不是自然发展历史，例如我们脚时代的发展。这是一个短暂的分离，这使我们陷入了困境吗？经过数千年或数十千年的历史，今天，我们的能力可能是基于语言和思想，作为自然进化特征，这导致了地球的广泛破坏，也许是删除拥有这些特征的存在的人并恢复地球和生命吗？我们将有大自然的可能性，根据所谓的狡猾的自然原则摧毁自己。这似乎并没有完全排除。它可能不是通过核弹的作用而发生的，而是遗传炸弹的干预，即人类遗传记录，即人的“自然”，以产生不同的本质或“元素”，这之间的差异例如，我们与我们接近，黑猩猩，交配和繁殖可能避免到达这个门槛。换句话说，我们面前的真正种族主义，无论是通过制造人类而不是叛逆或受到保护的奴隶，就好像它们是有用的宠物一样，对他们说话和理性有益的宠物；或通过使用我们的超级英雄的生产，我们是普通的，是他们的奴隶，他们看到他们在地球上为他们拥挤，杀死我们数亿或数十亿或数十亿美元，也许在这方面没有错武装的力量和能力我们不会亲吻与他们面对。

3
这使我们回到了关于人本性的问题：似乎能够改变其性质的生物的本质是什么？自然的概念似乎不避免改变它，谁应该改变它？为自己或他人创造新的本性？当有机体具有天性而不是一种性质时？或者，当它有可能以生物为特色时，每种都是它的本质？人的语言（与他人，灵魂，来自世界）的语言的“思想”和社会进化论的变化。这种能力从历史上发展了，就在几个世纪前，它表明了对性质和“所有权”的“主权”的可能性。 “主权”在特定层面取得了进步，但其价格却高昂：许多邻里合作伙伴的灭绝，地球的供暖以及生命的威胁以及严重的形式人类本身之间的歧视，包括欧洲控制局在两个大陆上扩大土著人口。其中是洲际商业奴隶制，黑人比其他人遭受的苦难更大。在这个时候，诸如人类，他的权利和人性之类的观念比以往任何时候都更加听到。

今天，我们有可能想知道人的本性，因为我们在自己触摸了自己的不自然事物，威胁到我们下降的本性？

这是什么异常的事情？对于我们的大脑和神经系统来说，也许是一种特殊的能力，它是进化（扩大头骨和清单的架设）以及在社会上（通过语言和更广泛的群体）在其他生物的理性和妨碍方面（通过语言和更广泛的群体），以及“逮捕”包括某些人或许多人或更多人或更多人是我们所说的思想。从理智的意义上讲，人是一种“说话的动物”。也许社会人士特别是“思想”本人，特别是从他们发明或发展的文化和宗教，尤其是从他们发展的神经系统焦虑中。社会人士制定了这些信念和规则或“文化”，以成为一个外部思想，可以控制他内在的，极其内在的思想，给他习俗和传统，重复的道路，可以帮助他拥有大陆的本性或补偿他因为失去了动物。这种异常自然物体的“拘留者”形式。"
24908,Ugx0_TBlhDcbRk2zJ6J4AaABAg,0,you're so skinny.. best wish for you.,你是如此瘦..祝你好运。
25450,UgwWNFCqNSrneu8TXaN4AaABAg,0,upload more easy cooking tips specially vegetables. i'm trying my best to cook here same as like you. thank you so much.,上传更多简单的烹饪技巧，特别是蔬菜。我正在尽力在这里和像你一样做饭。太感谢了。
25688,UgwnaF5RyWsmEp3KAiV4AaABAg,0,i do eat non veg but your video which shows fresh veggies from your farm making me think i should quit non veg food ... its slow process but i m sure i ll be pure vegetarian... love from me .. this is gentle way to show world how one can live in country side in cool calm way ... best way of life,我确实吃了非蔬菜，但是您的视频显示了您农场的新鲜蔬菜，使我认为我应该放弃非素食食品...这很慢，但我敢肯定我会纯粹是素食主义者...这是我的爱。展示世界如何以凉爽平静的方式生活在乡村方面...最佳生活方式
25398,UgyyAOxw-Rp9ahpcHg14AaABAg,0,the best li ziyi in the world,全世界最好的李子柒
23392,Ugy8NakTFx7bMlT_FKt4AaABAg,0,"amazing channel, professional video editing. best traditional food culture. if in indonesia the name is stir -fried bamboo shoots, many gluguts.",惊人的频道，专业视频编辑。最好的传统饮食文化。如果在印度尼西亚，该名称是搅动的，则有许多格鲁格特。
24435,UgxhNQZ20LcdDKayBIp4AaABAg,0,"i don’t like the best, i don’t love it instantly. i eat a large pot of powder by myself. grandma eats bamboo shoots.",看到最尾不喜欢了，瞬间没爱，自己吃一大锅粉，奶奶吃笋，真的够损，
1525,UgwRcSZHjxqAuatEPkR4AaABAg,0,"the best chinese up master, none of them!",最好的中国UP主，没有之一！
1769,Ugyu9SEH9fBolMR7NxZ4AaABAg,0,i like your video very much. i wish you and your grandma all the best. i'm fine.,我非常喜欢你的视频。祝您和您的祖母一切顺利。我很好。
22962,Ugx5mbQnDGHYPnVxktt4AaABAg,0,the best season for bamboo shoots is to stay in the soil like this,笋最好吃的一节就这样留在土里了
22854,UgykTV3T-pA-mR_0QIt4AaABAg,0,she and chef ramsey need to have a competition on who makes the best food. this woman always looks like she's making enough food for an army but just her and grandma eat. o.o,她和厨师拉姆齐需要就谁做最好的食物进行竞争。这个女人看起来总是像她为军队做足够的食物，但她和奶奶吃了。 O.O
22700,UgxaekDshZTisQ-fKBl4AaABAg,0,the best bamboo shoots in the tops that peeled away so much,顶部最好的竹芽剥去了很多
23532,UgzC4A3mG6zJDsSJZzh4AaABAg,0,the best ingredient is doing it with heart and soul . she does that. beautiful !,最好的成分是用心灵和灵魂做到这一点。她这样做。美丽的 ！
23624,UgwVYmthQxuTCzzNzGh4AaABAg,0,i am the best fantasy of real women,算是我对现实女性最美好的幻想了
22684,Ugwzk_8MKI6GNvdQUHl4AaABAg,0,the best ! thank you for that,最好的 ！谢谢你
26541,UgzGAFdbJDTEbffyvhF4AaABAg,0,"i jus love how this woman shows that not all instagram beach, resturant, resorts and city life is the best life and it is not for all of us....",我喜欢这个女人如何表明并非所有的Instagram海滩，餐厅，度假胜地和城市生活都是最好的生活，这并不适合我们所有人。
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
22585,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BSx9A7UbL,0,"@choink2558 i am just human...not the best one because i need to learn to really love myself more so i can love the others in the way they deserve but i think i am progressing...i hope women can have more respect,freedom and more opportunities in this planet...we know how is hard to be woman...
but my respect goes to woman,man,child,babies,animals,for the ones who is really trying to make these world better somehow... like liziqi i am becoming so calm after her videos and i was so stressed ,so negative...but after her i feel piece in my mind because she make us feel a lot feelings by her videos...i am glad about it ❤","@choink2558我只是人类...不是最好的人，自由和在这个星球上更多的机会...我们知道很难成为女人...
但是我的尊重是对女人，男人，孩子，婴儿，动物的敬意，那些真正试图使这些世界变得更好的人……就像Liziqi一样，我的视频后，我变得如此镇定，我感到非常压力，如此负面。 。"
23321,Ugxkn75j506Nn5VvVAl4AaABAg,0,beautiful dishes love to taste them..beauty with a best in class cooking..,美丽的菜肴喜欢品尝它们。。。
22514,Ugzu2FHF3dNKJjQcb_p4AaABAg,0,natural life is the best.,自然生活是最好的。
24023,UgwK6Bw5dAQgR9PTCpJ4AaABAg,0,the best chef,最好的厨师
24180,UgxnCykNW464vZoHWVx4AaABAg,0,she is that obedient adventurous girl who lives in the best natural environment n does everything which i can never do :(,她是一个生活在最好的自然环境中的服从冒险的女孩，做我永远做不到的一切:(
1978,UgyB88XU6e2W6NzZ03B4AaABAg,0,love to eat this..the best is just steam & deep in the peanut (salt),喜欢吃这个..最好的只是蒸汽和深处的花生（盐）
24251,UgzQz75v6H7djxgpqn54AaABAg,0,y r my best qking,我最好的Qking
22180,Ugz9QHN8jb4s-JoZQfd4AaABAg,0,the best snapshot of her and her grandmother,她和她的祖母最好的快照
