,cid,votes,time,含chinese,含chinese中文翻译
19366,UgxWWLZSky29EJsezpp4AaABAg.91x8OZLdB6P92EhCx2zPsU,1,3 years ago,no，its not ghibli，its chinese traditional culture,不，它不是吉卜力，它的中国传统文化
19057,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92NI4zlMBGP,1,3 years ago,yeah as a chinese i really love it! however my friends would think i smell like shit after eating it. not joking at all. tastes good but smells like,是的，作为中国人，我真的很喜欢它！但是，我的朋友们会认为我吃了狗屎。根本不开玩笑。味道很好，但闻起来像
18653,UgypQZCQXma8Eja0LMh4AaABAg,1,3 years ago,"oh，her videos are the best of chinese traditional food ，i promise.not only because of her beauty,but also her videos let me know so much about traditional food and traditional culture in countryside,which i hardly heard before.as you can see im a chinese.",哦，她的视频是中国传统食物中最好的，我保证。不仅是因为她的美丽，而且她的视频也让我知道了很多关于乡村的传统食物和传统文化的信息，我以前几乎听不到。我是中国人。
19065,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92diK85rJXt,1,3 years ago,"as a chinese, canned catfish can be unpalatable!","As a Chinese , 鲱鱼罐头贼难吃！"
18629,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92j2hR88Y2b,1,3 years ago,pedro c you never know it was mao who led chinese women to work and have the equal right as men. he is neither god nor satan. he is a leader with good side and bad side just like everyone else.,佩德罗·C（Pedro C），您永远不知道是毛泽东（Mao）带领中国妇女工作，并且拥有与男性平等的权利。他既不是上帝也不是撒旦。他是像其他所有人一样的领导者，一面良好，一面不好。
21497,Ugxg8ejEllanC9NzZRx4AaABAg,1,3 years ago,"why is the garden weed, the chinese take all the weeds, insects, all",为什么花园杂草，中国人拿走所有的杂草，昆虫等
18621,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92gZPGiTWKh,1,3 years ago,"@alexandernorrie, you have talked about chinese history after a few years, and history requires horizontal and vertical comparison. your understanding of western history is a bit. talking about history before history, you can learn mathematics well. if you have no logical ability, you can easily wash it into brain disability by the hypocritical western ideology.",@alexandernorrie 你念过几年书就妄谈中国历史，而且历史需要横向纵向对比，你对西方历史的了解又有几分。谈历史之前麻烦把数学也学好，没有逻辑能力就容易被伪善的西方意识形态洗成脑残。
20086,UgyoDg-bqje9ONumD_54AaABAg.91BRe7KdXWC91RnmwAGkda,1,3 years ago,you can also get lots of skiis of cook from 美食作家王刚 in youtube if u can understand chinese,如果您能理解中文
18605,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92bekdR8VWl,1,3 years ago,"pedro c brother, whatever mao did is fine, other ways , im japanese now or something but not chinese anymore .... maybe working for white and no pay all life like blacks ~~",佩德罗·兄弟（Pedro C Brother），毛泽东做的一切都很好，其他方式，现在是日语，但不再是中国人。...也许是为白人工作，不像黑人那样付出所有的生命~~
27380,UgxUKzEbI6f5N7KBy254AaABAg.8yfDXjk7MVx8yfFPwJkly1,1,3 years ago,"she is chinese, thanks",她是中国人，谢谢
18600,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WP11-2TpC,1,3 years ago,"@weisong4402 the good poems written by mao zedong are all a cultural symbol. the original intention of breaking the old four is good, but there is indeed a disadvantage of a knife. also, they know the good side of chinese culture, and the bad side has not been manifested.",@weisong4402 毛泽东写的一手好诗，全是一种文化符号吧。破除四旧的初衷是好的，但确实有一刀切的弊端。还有，他们了解的是中国文化好的一面，坏的一面并没有得到表现。
19556,UgwWWMB39Cw9O-eCNYt4AaABAg,1,3 years ago,the dislikes are from the chinese government,不喜欢的人来自中国政府
13557,UgyGAmkXwbEknF7ADKB4AaABAg,1,3 years ago (edited),i love the fact that i don't speak chinese so i never know what she would do until the end of the video,我喜欢我不会说中文的事实，所以我永远不知道她在视频结束之前会做什么
13384,UgwnLuxTVFStfbkxItJ4AaABAg.95cvePeL5J695tNQPdpRK-,1,3 years ago,old chinese gastronomy,古老的中国美食
20761,UgyKOZIN2ILVmhMJ1kJ4AaABAg,1,3 years ago,"li ziyi is chinese, mianyang, sichuan, china, ao jiao",李子柒是中国人，中国四川绵阳的，傲娇
27732,Ugw-L63J_o6FbA4lILJ4AaABAg.8yc0dkPxEcm8yktaC_TE3U,1,3 years ago,"@user-ul8do8uf5z, i didn't understand your chinese, are you from the mainland?",@user-ul8do8uf5z 你的中文我竟然没看懂，你是大陆的？
18831,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792XUeNKIuwp,1,3 years ago,"@oriolopocholo if it's really chinese communist propaganda.... shit, please do more ccp!",@oriolopocholo如果真的是中国共产主义者的宣传。...该死，请做更多的CCP！
14142,UgwdCOlW5kz0lHK8v8Z4AaABAg,1,3 years ago (edited),"oh my god... this chinese woman is more than the wonder woman cuz this is real. and she is my inspiration for my daily life. oh god, please bless this amazing and beautiful/pretty chinese woman....",哦，天哪...这个中国女人不仅仅是神奇女侠，因为这是真实的。她是我日常生活的灵感。哦，天哪，请祝福这个神奇而美丽/漂亮的中国女人。
27002,Ugx1vd4I7sIVUjYr0wd4AaABAg.8yjTVxq3smA8ynUZuu6TNY,1,3 years ago,she is chinese， not japanese,她是中国人，不是日语
18305,Ugzyk0WS-2gLnsHROER4AaABAg,1,3 years ago,"if you ever wonder why chinese people are slim, look how much works they do and how much meat they eat every day... amazing video",如果您想知道为什么中国人为什么苗条，看看他们每天做多少工作以及他们吃多少肉...很棒的视频
23107,Ugzu86cOfVQiDeNyfF94AaABAg,1,3 years ago,come on chinese,加油中国人
15949,UgygE8WIABCx8lI4oB94AaABAg.931UYOHTdP6935roZp4CLA,1,3 years ago,@jefftan2859 her goal was to show chinese youngsters that rural life isn't boring. she never had a goal to showing about her life to you and i. but god definitely open the way if people works hard. this is why today you and i can watch her videos on youtube. she don't have anyway to interact with foreigners she only post on weibo lol. keep your negativity to yourself.,@jefftan2859她的目标是向中国年轻人展示乡村生活并不无聊。她从来没有目标向您和我展示自己的生活。这就是为什么今天您和我可以在YouTube上观看她的视频的原因。无论如何，她都没有与外国人互动，她只会在微博上发布。保持对自己的消极情绪。
16129,UgzQMNZRyGXkF5PlOT94AaABAg,1,3 years ago,this is the real chinese food unlike the american made chinese food.,这是与美国制造的中国食品不同的真正中国食品。
25462,UgzuLZq936O3CCFN6n54AaABAg,1,3 years ago,"when i am watching this videio, i just want to go to a chinese supermarket and buy a luosifen.",当我观看此视频时，我只想去一家中国超市购买luosifen。
17672,UgwmK2CE-ut17z9dL7N4AaABAg,1,3 years ago,english would be nice to know what that all is i really enjoy watching channel but i can not read chinese wish i could ti find out just curious,英语很高兴知道我真的很喜欢看频道，但我不能读中文，希望我能发现好奇
16289,UgzGo8lfYU11R34rFF54AaABAg.92wzyoDy2Ws93-C5S52dPc,1,3 years ago,even the place where i am a chinese,连我这个中国人都向往的地方
17646,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92sOd8hqr2M,1,3 years ago,"when i met me, i watched a message on a message on a video of a video published by the chinese website with a german network to watch the us network using the german network.",遇见 我用加拿大的网络看一个用德国网络看一个用美国网络看中国人发布在国外网站的视频的人的留言的留言。
17637,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92qDv4sXKlp,1,3 years ago,i use the us internet to watch the chinese people posted on the us website. the chinese posted a reply on the us website,我用美国的网络看中国人发布在美国网站上的视频下面的中国人发布在美国网站上的回复
25288,Ugz5Uzo_kzEtnwBFiwt4AaABAg,1,3 years ago,"oh my goodness, chinese are so much like naga tribe people from nagaland. wish you visit nagaland, n enjoy naga biggest festival (hornbill festival).",哦，天哪，中国人非常像纳加兰的纳迦部落人。希望您访问纳加兰，享受纳迦最大的节日（Hornbill Festival）。
28220,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yiMraPlMKb,1,3 years ago,"@stargirl-up2zr i didn't say it wasn't beautiful, otherwise i would have stoped watching these videos. but i love them. 

i love chinese i culture, and i love the idea of using vloging in this smart sharp way to promote it, i hope my country does the same.","@stargirl-up2zr我不是说它不是美丽的，否则我会停止观看这些视频。但是我爱他们。

我喜欢中国文化，我喜欢以这种聪明的敏锐方式使用视频博客来推广它的想法，我希望我的国家也这样做。"
16360,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2938sNJ2JQ6s,1,3 years ago,mujkocka —stop bullshitting plz..u a chinese farmers wife know english ..lol..i am sure this youtuber has big team and ppl who write pait i’ve comments for her ..regardless production is top notch ..i did not care if she is not real ...she is a good actress,Mujkocka - Stop Bullshitting plz..u中国农民的妻子知道英语.. lol ..我确定这个YouTuber有大团队和PPL，他们写了我为她评论的Pait。如果她不是真实的...她是一个好女演员
23309,UgzIaXkAAlmYHpDHZrV4AaABAg.8zmPtILpokq8zuL_zPn78W,1,3 years ago,"that's not normal snail we saw on the side walk. they only live on the rocks in the water. and as a chinese myself i don't know how to ate them as well, and i think that's ok. the snail always go with",这不是我们在侧面步行中看到的正常蜗牛。他们只生活在水中的岩石上。作为中国人，我也不知道如何吃它们，我认为没关系。蜗牛总是在中国夏季与
23405,UgwMfFJ0q-FKtOBcBDt4AaABAg,1,3 years ago,this woman should be a chinese national treasure,这个女人应该是中国国宝
17391,UgyqW0ud_ZaypVUXvQF4AaABAg,1,3 years ago,"it is hard to visit youtube for chinese,i am here",很难访问YouTube中文，我在这里
17360,Ugz_7s6SA3hDL7Can_t4AaABAg.92l8B0Itr-992ukP0Qv9nt,1,3 years ago,chinese food is healthy and delicious,中国食品健康可口
17213,Ugybwi4j6cGsx_h1-qF4AaABAg,1,3 years ago,are we seriously pretending she's not a chinese plant?,我们是否认真假装她不是中国植物？
17112,UgyxdVTnPLg4wepYyIh4AaABAg.92neTIsnRfr92s65n9Cfqh,1,3 years ago,"tanbojun tan yeah！she is way above the living standard of most of rural areas in china.and actually a lot of people are criticizing her presenting chinese styles like that way . but i think it is still cool to watch (btw,i am a chinese girl)",Tanbojun Tan是的，她远远超过了中国大多数农村地区的生活水平。实际上，许多人批评她的中文风格。但是我认为看着仍然很酷（顺便说一句，我是一个中国女孩）
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,3 years ago,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
16390,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244933tNgr2WbW,1,3 years ago,"@ethantrie9793 sorry, i don't know how to read chinese. is that sichuan?",@ethantrie9793对不起，我不知道该如何阅读中文。那是四川吗？
25102,UgwfTomdte1aHjt_VPJ4AaABAg,1,3 years ago,chinese girl leverage 55+,中国女孩杠杆55+
16544,UgyF6JI_6tFUTv274vB4AaABAg,1,3 years ago,i always liked to marry such chinese girl... ^_^,我一直喜欢嫁给这样的中国女孩... ^_ ^
24938,UgyVQpBfByZnqVTFz6l4AaABAg.8zAredNcoy28zGL9U7yQ_W,1,3 years ago,purslane i think. typical herb or veg for chinese,我认为马在平台。中文的典型草药或蔬菜
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
16813,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI938YUgmfeWY,1,3 years ago (edited),"@tehkettybear oh, yeah? you can live in your ikea apartment still live like a pig house if you don't clean and tidy, the life is controlled by yourself, btw, you must not been to new type of chinese countryside, make sure you visit first before you leave so stupid comments here. cannot stop laughing at you.",@tehkettybear哦，是吗？如果您不干净和整洁，您可以住在宜家的公寓里，仍然像猪屋一样生活，生活是由自己控制的，顺便说一句，您一定不能去过新型的中国乡村，请确保您在离开之前先访问如此愚蠢的评论在这里。不能停止嘲笑你。
15932,Ugx_KEuuB0D-JAYdaS54AaABAg,1,3 years ago,"as a chinese, i really appreciate what you do. your videos are just amazing, i feel so proud",作为中国人，我非常感谢您的工作。您的视频真是太神奇了，我感到非常自豪
25788,UgyRNvqEodyL7aCKEzZ4AaABAg.8yymTf66ipw8z059iRap0c,1,3 years ago,"she is chinese（ mianyang city, sichuan province, china.）",她是中国（米扬市，中国四川省。）
27057,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yot7gZfWDJ,1,3 years ago,"it's about nature, traditional ! plz don't mention the fucking country or policy ! (i'm chinese)",这是关于自然的，传统的！请不要提及他妈的国家或政策！ （我是中国人）
22915,UgyeGiStPYAH_3nGHGZ4AaABAg,1,3 years ago,i love chinese people!!!,我爱中国人！！！
18239,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92oCuPjG7gh,1,3 years ago,"@sometimesitdown hold on a sec, what you called the garbage? we do have good food in the north, do you know the lu of the four styles of chinese cook? have you even tried some real good restaurant in the north? duck of beijing, hot pot of north muslim, noodle in variable north style, the four northeastern simmerings ... not like those shitty recent restaurant you can find everywhere, those real traditional restaurants are always stay where they were, waiting for their regular clients",@SometimesItdown在SEC上保留，您称之为垃圾？我们在北部确实有美味的食物，您知道四种中国厨师的lu吗？您甚至在北部尝试过一些真正的好餐厅吗？北京的鸭子，北穆斯林的火锅，北方风格的面条，东北四个小火……不像那些近乎糟糕的餐厅，您可以在任何地方找到，那些真正的传统餐厅总是留在他们所在的地方，等待他们的常规客户
18236,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92jNYltOSfP,1,3 years ago,lucy chan chinese foods have so many flavors. the ones li ziqi made are mostly spicy. but that only makes up 1/4 of chinese cuisines,露西陈中国食品有很多口味。李齐（Li Ziqi）制作的大部分是辣。但这仅构成1/4的中国美食
14313,UgwLSHs9jUdUWwdc6op4AaABAg.94IDXLEBuv_94NLZAMPFrw,1,3 years ago (edited),"according to the chinese media report， she has donated more than 20000 n95 masks and thousands of protective clothing to the disaster area，wuhan. now wuhan has a lot of donations money, but there is lack of mask, so she used her personal relationship and money to raise masks and protective clothing for the disaster area.",根据中国媒体的报告，她已向沃汉（Wuhan）捐赠了20000多个N95口罩和数千件防护服。现在，武汉有很多捐款的钱，但是缺少面具，因此她用自己的个人关系和金钱来抚养面具和防护服为灾区。
14428,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR94TlYOEmxCM,1,3 years ago,"she does speak but in another language, you could say is a type of chinese. :)",她确实说话，但用另一种语言说，您可以说是一种中文。 :)
14624,UgynuRCNtRvb5cOeW5V4AaABAg,1,3 years ago,"these videos had taken me to a whole new level of a long lost world that i'm longing to live in and experience its peacefulness...the beautiful scenery, the sounds of insects and birds chirping away and running water and seeing you li ziqi gathering food from the garden and in the wild makes me wonder what have we been living in...stressing ourselves 's chinese new year",这些视频使我进入了一个渴望生活并体验和平的漫长世界的全新水平...美丽的风景，昆虫和鸟儿的声音在吹口水，流水，看到你李Ziqi从花园里收集食物和野外，让我想知道我们一直在生活...强调自己
21806,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-nGF52vY0S,1,3 years ago,@aoshuangyi5403 are you a chinese ?,@aoshuangyi5403你是中国人吗？
16655,UgxPW_WUK0AlHuf8sq54AaABAg,1,3 years ago,"she is very famous now, we all like her videos even we are chinese.",她现在很有名，我们都喜欢她的视频，即使我们是中国人。
18227,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gE58Xy5cD,1,3 years ago,"have you ever tried chinese food? i visited china, actually i can not eat almost their food, excluding dimsum. too much oil and too spicy. before i visited there, i had watched every video of this chanel and thought, wow look so delicous. but reality....",你曾经尝试过中国菜吗？我去了中国，实际上我几乎不能吃他们的食物，不包括迪姆斯。油太多，太辣。在我访问那里之前，我已经观看了这个香奈儿的每一个视频，并想到了，哇看起来很美味。但是现实...
22001,UgwttpE0B0mYIFAjFoV4AaABAg.9-Jp6PQsckX9-Q3dX1nJaX,1,3 years ago,that was kinda snails who live in water. u still can eat that eventho u r not chinese. there are many types of snails. the one that plays on the ground is no good.,那是住在水中的蜗牛。你仍然可以吃那个事件，而不是中国人。蜗牛有很多类型。在地面上玩的那个是不好的。
22025,UgyNznBkcEkdjIm0MHF4AaABAg.9-I7M9BVLBX9-YxKUIuOet,1,3 years ago,"sharon thomas after all, all that's left of her family is her grandmother.and take good care of the elderly, is our chinese from ancient times to develop a habit. we are proud of it.",毕竟，莎朗·托马斯（Sharon Thomas），她的家人剩下的就是她的祖母，而且要照顾老人，这是我们从远古时代开始养成习惯的中国人。我们为此感到自豪。
26852,UgzhNlrDPJDTK1oBTjB4AaABAg.8ykiyFXigiv8yl1XdOJ9n7,1,3 years ago,"haha of the sea, i'm sorry, people are patriotic! intersection intersection people have a happy life, but to experience the american shooting every day? intersection intersection stupid, don't use chinese, look at nausea, love your foreign dad, just play english.",海色之月 哈哈，真不好意思，人家很爱国呢！！！人家放着幸福的生活不过，去体验美国的枪击每一天？？？蠢货，别用中文，看着恶心，爱你外国爸爸，就打英文啊。
22117,UgyEoB_3u-u2gu5hxwB4AaABAg.9-DULagrwm89-kNd6zSqRF,1,3 years ago,laoziagainstthemachine wow! it's moon represents my heart. very famous chinese song!,LaoziAgainstTheMachine wow!It's 月亮代表我的心. Very famous Chinese song!
181,UgzPw85DFjB9_11Aqtd4AaABAg,1,1 month ago,"liqizi when to return, i miss you very much, no one can match ziqi in making videos even though many chinese creators make similar videos",Liqizi何时回来，我非常想念您，即使许多中国创作者制作类似的视频，也没有人能匹配Ziqi
17975,Ugw6czK9Xf25b4E83At4AaABAg.92ddrN0ohs592nZRLl_PUP,1,3 years ago,"that is not real chinese stuff. could be kinda rural, but actually dramatized most of the shots. not even traditional.",那不是真正的中国东西。可能是乡村，但实际上是戏剧化的大多数镜头。甚至不传统。
22336,UgwRIKP8m8KqoxusPWZ4AaABAg,1,3 years ago (edited),"good video, too beautiful

actually im not a chinese","好视频，太美了

Actually im not a Chinesse"
26645,UgzS06kWPFl_gfzwTgF4AaABAg.8ymoowt3A3Y8yph7Dkop2O,1,3 years ago,"wonder when she had time to learn about editing and how to present things so beautifully. it doesn't strike me as a very rural chinese thing, to keep things uncluttered and fresh.",想知道她何时有时间学习编辑以及如何如此精美的内容。让我成为一个非常乡村的中国事物，使事情变得整洁和新鲜。
17936,UgwjnMK5FF3RTD_992V4AaABAg,1,3 years ago,"chinese culture, vast and profound, especially for thousands of years, have never stopped studying",中国文化，博大精深，特别是在吃的方面几千年来，从未停过钻研
15399,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97Nk_ihnR8Z,1,3 years ago,morag tong a lie is still a lie even if the intention is pure. i love watching these videos and the truth is if she’s getting paid to produce videos by the chinese government then that’s fine i’d just like to know how many other individuals of the total live this was in rural china and not in jammed highly advanced by polluted mega city’s?,即使意图是纯洁的，莫拉格·汤汤仍然是谎言。我喜欢观看这些视频，事实是，如果她获得了中国政府制作视频的报酬，那么我很想知道，这是中国农村地区的其他人，而不是高度先进的污染了巨型城市？
17917,UgwunEBEht1UwcutFGt4AaABAg.92eJivXhhyf92tAKvrhyKN,1,3 years ago,in chinese cultures there is no apoclypse. everything will be balanced by yin and yang,在中国文化中，没有启示录。一切都会与阳和阳平衡
26228,UgwhUJ_OZgEyjOIx3pV4AaABAg,1,3 years ago,"as a chinese, you must subscribe to a wave to support you",作为中国人，必须订阅走一波，支持你
26145,Ugy8yjYPXD0aaMiFqCl4AaABAg,1,3 years ago,the chinese top up! intersection intersection,华人顶起来！！！
22476,Ugy6xGs_at7jjeyL7Q94AaABAg.9-25zaF06Vc9-2bP351sU7,1,3 years ago (edited),there are also those anti -chinese people who met a person yesterday and hurt me ...,还有那些反华的华人，昨天碰见一个人，把我气坏了……
17762,Ugx9Q2tr8-wCzJJinfZ4AaABAg.92gw10MKfvC92lpZ-eBtJq,1,3 years ago,in fact. in china. female always cook with her ownself. so chinese women much good at cooking. i sincerely hope that you could taste chinese food by hand-making,实际上。在中国。女总是自己做饭。因此中国女性擅长烹饪。我衷心希望您可以手工品尝中国菜
12646,UgxpBrD1zfYf9xMBHjR4AaABAg,1,3 years ago,"hi, i am a chinese, see everyone in the comments to you in english speech, that i can not help but use english to speak to you oh, our family appreciate your attitude to the village life, i hope you can get better and better.❤️",嗨，我是中国人，在英语演讲中对您的评论中看到每个人，我忍不住用英语对你说话哦，我们的家人感谢您对乡村生活的态度，希望您能变得越来越好.❤️
12778,UgxuKpn6MeGJB2VchL14AaABAg.96M6U9v0MLP96pm2E2Yd2I,1,3 years ago (edited),"1000years back ？i am so sorry to know that we chinese havent made any progress in the way of cooking after a millennium while the crematories were invented decades ago ，a lot of villagers in china are still cooking this way ,okay?",1000年后回来？我很遗憾地知道，几十年前发明了火葬场的千年后，我们中国人还没有取得任何进展，中国的许多村民仍在这种方式做饭，好吗？
28797,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97aDih86fTm,1,3 years ago,"@franzpeters3824 why should she speak english ? as she is chinese. do you speak chinese or russian ? and btw, she even does not speak mandarin in the video. she speaks local sichuan dialect.",@franzpeters3824她为什么要说英语？因为她是中国人。你说中文还是俄语？顺便说一句，她甚至在视频中都不会说普通话。她讲当地的四川方言。
8402,Ugzot5vEnMnwLJQdYAd4AaABAg,1,2 years ago,chinese people are banned from using youtube but why are they still able to make videos?,禁止中国人使用YouTube，但是为什么他们仍然可以制作视频？
33537,UgwCkRBSA76qYtfWXo14AaABAg,1,3 years ago,"ziyi, i usually do n’t leave a message, i help science science under the comments of international friends. now i am here, because this food may not be understood by foreigners, there are some fools to step on it, but the snail powder is our big big. some chinese people have a good mind, call you, give you popularity, roar roar","子柒,平时我也没怎么留言,都是在国际友人的评论下帮助科普.现在我来了,因为这道美食可能外国人理解不了,还有部分傻逼恶意点踩,但是螺蛳粉是我们大部分中国人的心头好,给你打Call,给你增人气,吼吼吼"
8571,UgwaV-7drv24zLWVCL14AaABAg,1,2 years ago,bamboo forest bamboo culture chinese national treasure edible available for tree environmental protection health https://youtu.be/pbzwtezd6vu,竹林 竹文化 中国国宝 可食可用 节省树木 环保健康https://youtu.be/pBzWTEZD6VU
33641,Ugx5AA0ahm_fK4wqCH54AaABAg,1,3 years ago,i wish chinese resturants served food like this in the u.s. it makes you miss out of true culture.,我希望中国餐馆在美国提供这样的食物它使您错过了真正的文化。
8547,Ugw_N_k_uvso7XdYLUN4AaABAg,1,2 years ago (edited),i listen that chinese eat insect and even dogs too but she have a dog as a pet so cute and the village is beautifullโค,我也听中国人也吃昆虫，甚至还有狗，但她有一只狗，就像宠物一样可爱，村庄很漂亮
2057,UgxqX1-TMTeEE0lL2iB4AaABAg,1,1 year ago,"hypocritical chinese. li ziyi can get angry, the first relying on his second team. but good times are not long. whenever the interests are, the chinese always like to fight in the nest and be intimidating. the chinese are too fake!",虚伪的中国人。李子柒能火起来，第一靠自己第二靠团队。可好景不长，每当利益关系的时候，中国人总是喜欢窝里斗，勾心斗角。中国人太假了！
2046,Ugw9vGy6HAWWwk6jU3J4AaABAg,1,1 year ago,"communist chives cannon fodder
evil evil contempt democracy
slave culture creates tyrants
the chinese communist party has continued disaster
communist slave history common business
appeasement of the ccp human disaster! intersection intersection intersection intersection ""","共产极权 韭菜炮灰
秉性邪恶 轻蔑民主
奴性文化 造就暴君
中共存在 灾难不断
共产民奴 历史共业
绥靖中共 人类灾难！ ！ ！ ！ ！ !"
28842,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g994pJ_tRweZ,1,3 years ago,"@franzpeters3824 so? can you speak proper chinese? proper french? proper spanish? proper arab? proper japanese, korean, or any language that's other than english? i guess not because even in english you are talking trash.",@franzpeters3824是吗？你能说适当的中文吗？适当的法语？适当的西班牙语？适当的阿拉伯人？适当的日语，韩语或任何其他语言？我想不是因为即使在英语中，您也在谈论垃圾。
28817,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g988vfoeTSSp,1,3 years ago (edited),"90% of this comment is hate comments about franz peters

oh yeah.. @franz peters just shut up. you cant even speak proper chinese. idiot","这些评论中有90％是关于弗朗兹·彼得斯的仇恨评论

哦，是的.. @franz Peters刚闭嘴。你甚至不能说适当的中文。笨蛋"
33869,Ugzko5e-aq7O2fmSQW94AaABAg,1,3 years ago,"i really like eating bamboo shoots. its unique texture besides that it is good to be stir-fried. and i usually eat it during chinese new year. 
in indonesia it is called ""rebung"". love from indonesia ❤","我真的很喜欢吃竹芽。它的独特质地除了被炒还很好。我通常在农历新年吃。
在印度尼西亚，它被称为“ rebung”。来自印度尼西亚的爱❤"
1625,Ugxzg1mJ61Lvhqsfoch4AaABAg,1,1 year ago,youtube i can't use it because this person can only send this person because it is a chinese hand w,YouTube我无法使用它，因为这个人只能发送此人，因为它是中文的手
31359,Ugz5Jd8DkC7vmU128sh4AaABAg.8yVFcAEwEcK8yVnulLUIU1,1,3 years ago,taiwanese are chinese,台湾人就是中国人哦
10411,UgytLpBDfBTJgT6FGq14AaABAg.98mYduyRHel9ABa9xMFKSB,1,2 years ago,"you can buy ""luosifen"" on every chinese shopping website",您可以在每个中国购物网站上购买“ luosifen”
