,cid,votes,含chinese,含chinese中文翻译
19663,UgySx0Pfrkf7sB9k-914AaABAg.95SlwKCChPm95YM7B3Jndk,4,that thing is kind of popcorn machine that often used in traditional chinese culture.,那东西是一种爆米花机，经常在中国传统文化中使用。
21044,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO97UzcMjUp1u,4,nolan beatrolyn she is chinese in sichuan provinceโ€ฆโ€ฆ,Nolan Beatrolyn她是四川省的中国人……
19405,UgyL4btV4k9B8FdZcEB4AaABAg,4,"as a non chinese national, i never knew how these traditional snacks were made. i got a chance to do so through such a beautiful video. thank you! :)",作为一个非中国国民，我从来不知道这些传统小吃是如何制作的。我有机会通过如此美丽的视频来做到这一点。谢谢你！ :)
23212,UgzFvxptKRucnF0Q3M54AaABAg,4,"why americans hate chinese, i don't understand,she is chinese and the place is also china",为什么美国人讨厌中文，我不明白，她是中国人，这个地方也是中国
23618,UgxjxVjzKUEdlMiEhu94AaABAg.92G0pI78he292ZQZyBDnJ8,4,"melon=็“๏ผseed=ๅญ. melon seeds(็“ๅญ)is a joint name for the kind of chinese snacks that are made of seeds, including baked sunflower seeds, baked pumpkin seeds, watermelon seeds etc.",瓜=瓜，种子=子。瓜子（瓜子）是由种子制成的中国小吃的联合名称，包括烤葵花籽，烤南瓜种子，西瓜种子等。
23844,Ugx0c1L9CyDS9_gJJYl4AaABAg.922WzcJG9aj92UeSjVmI85,4,the chinese have special emotions for the land,中国人对土地有着特殊的情感
17623,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9848IskKRjd,4,"heardistance you have been mentioned so many times that “you should”, “you must”...hmm, why would i follow that? i feel offended by the unfriendly words and bad attitude you had before, if you wrote down comment like this and make it more clearly i may even not argue at all. in addition, german and english are also pretty hard for chinese as they are completely different language system to us but many of us at least make it works. german is also not a global language but it does bring convenience to study, work and travel in german speaking area and help to understand germans better. but of course, if your life has no any relations with china, that’s indeed not necessary to learn chinese at all. but it would be also cool to be able to speak chinese as nowadays so many chinese are around. no matter you hate it or love it, they are there.",听到您已经被提到了很多次，以至于“你应该”，“你必须” ...嗯，我为什么要遵循呢？如果您写下这样的评论并使之更加清楚地说，我什至根本没有争论。此外，对于中文而言，德语和英语也很难，因为它们与我们完全不同，但我们中的许多人至少使它起作用。德语也不是一种全球语言，但它确实带来了在德语讲话地区学习，工作和旅行的便利，并帮助更好地了解德国人。但是，当然，如果您的生活与中国没有任何关系，那确实没有必要学习中文。但是，能够说中文会很酷，因为如今有很多中国人在周围。无论您讨厌或喜欢它，他们都在那里。
24558,Ugw4rDDKMbA16xkYbfJ4AaABAg,4,"i think you can serve as ""the art director of movies"", or ""gift box packaging designer"", because your videos and gift box packaging are very ""beautiful""!
you inject the elements of traditional chinese culture into it! it is an alternative self -media performance!","我觉得妳可担任「电影的艺术指导」，或「礼盒包装设计师」，因为妳的视频及礼盒包装都很“唯美”!
妳将中国传统文化的元素，注入于其中!是另类的自媒体表现!"
17618,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh984-NGomXZU,4,"heardistance, you don't look like the germans at all. you look like the dutch ok. maybe you are the germans. freeuden kann mich gut verstehen, das is isspenug für mich. und. since you are so interested in china, like to comment on why china does not learn chinese? otherwise, you really can't understand us. we also feel difficult to communicate with you blindly with your own values ​​and backgrounds to comment on others or even rise to the national level. even if this is just a video, i think your behavior is really disgusted. when you come up, you will have an invincible educated in educating you to educate your educated world.","heardistance 你看起来根本就不像德国人 你看起来像荷兰人 ok 可能你就是德国人 毕竟这里是欧洲 还有 谢谢你对我德语的赞赏 我的德语不完美因为我是中国人 natürlich~aber meinen Deutschen Freuden kann mich gut verstehen, das ist genug für mich. Und 既然你对中国那么感兴趣 喜欢评论中国 为什么不学习中文呢？不然你真的理解不了我们 我们也感觉很难跟你沟通 一味的用自己的价值观和背景去对别人评头论足 甚至上升到国家水平 即便这只是一个视频而已 我觉得你这样的行为真的非常让人反感 上来就对别人以没受过教育来攻击别人 ok 就你受过教育 你受过的教育天下无敌"
24981,UgzQHb8Vd1gmVltXuix4AaABAg,4,"in ancient chinese traditional small snacks, after seeing that i think about it, the new year's new year's dumplings, dumplings, and fried soybeans",中国古代传统小零嘴，看的我回想小时后，过年的翻饺，馓子，炸黄豆
24982,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW9038KRBilEH,4,what๏ผthis is my younger life in ten years ago in chinese rural area with my grandma !,这是我十年前与祖母在中国农村地区的年轻生活！
25009,Ugzxsz8U3Um5BdSEnrh4AaABAg,4,"yes it's sunflower seeds not melon seeds,in chinese they have the same name,i think ziqi just used google translation.",是的，它是向日葵种子而不是瓜子种子，用中文有相同的名字，我认为Ziqi只是使用了Google翻译。
46225,UgxAKMgKyiOr8q7mxe54AaABAg,4,happy chinese new year,农历新年快乐
49115,Ugw6XAj85jmCblNqQyt4AaABAg,4,happy chinese new year. love from bangladesh.,农历新年快乐。来自孟加拉国的爱。
45907,Ugw2VyZtqBYVldqYIuV4AaABAg,4,happy chinese new year,农历新年快乐
45758,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2wengZKx3,4,"@legoflamp488 you don't understand scarcasm ? 
so what if there is a crew working with her ? you can leave the hell alone with this channel and do your own thing, why bother yourself ?
let me give you the breakdown, she doesn't give a shit about youtube, her fans posting her videos here to share with oversea chinese. her main platform is on weibo. where she post videos and share with her followers ! and moreover, not everything is political, don't blame this girl, she does not force you to watch.
your comment “propaganda”, is simply ignorant, skeptical, shameless, selfish, and pathetic.whatever the problem you have with the chinese government, don't bring those issues onto this girl. she made millions by shooting videos and clearly doesn't give a ** about it.","@legoflamp488您不了解疤痕吗？
那么，如果有船员和她一起工作怎么办？您可以在这个频道上独自一人，做自己的事情，为什么要打扰自己呢？
让我给您分解，她没有对YouTube的烦恼，她的粉丝在这里发布了她的视频，以与海外中文分享。她的主要平台在微博上。她在哪里发布视频并与她的追随者分享！而且，并非一切都是政治性的，不要怪这个女孩，她不会强迫您观看。
您的评论“宣传”简直是无知，持怀疑态度，无耻，自私和可悲。无论您在中国政府面临什么问题，都不要将这些问题带入这个女孩。她通过拍摄视频制作了数百万美元，显然没有给它**。"
45515,UgyHfXXPMxZW-7i-YXl4AaABAg,4,love chestnuts and hawthorn so much. also the spicy jerky. im glad some of my ancestors are chinese so i have eaten all she prepared. except for the sunflower seeds. dunno why they wrote melon seeds. i may need to buy sunflower seeds to try it.,非常喜欢栗子和山楂。也是辛辣的生病。我很高兴我的一些祖先是中国人，所以我吃了她准备的所有东西。除了向日葵种子。不知道为什么他们写瓜子。我可能需要购买葵花籽来尝试。
29235,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yhu_YnHdud,4,"@pancakesworld410 it's not vietnam it's chinese ugh, shut up.",@pancakesworld410不是越南，它是中国人，闭嘴。
29441,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8y8Ma-xvU02,4,"paddy li hhhhha is a real wheel video. in fact, it is actually ridiculed by chinese people to laugh and die.",Paddy Li hhhhha 是真的 轮子视频下面其实也是国人嘲讽居多 笑死
49526,UgzNxqz0i6vfOVzXxT54AaABAg,4,i really want to return to china for chinese new year,好想回国过年呀
30197,UgyI_ZUS1BzNdmSL_w14AaABAg,4,"the dreamed home of ancient chinese, never hungry, never cold and never lonely.",梦dream以求的古代中国人的家，从不饿，从不冷，也从不孤独。
23437,UgyvehVl1Bz7FmJSUGR4AaABAg,4,"i eventually know why american families like to adopt chinese girls ,who will become angels when you get old",我最终知道为什么美国家庭喜欢收养中国女孩，他们变老会成为天使
53017,UgzwTG6LcIrab-_SP954AaABAg,4,happy chinese new year! love lots,农历新年快乐！爱很多来自菲律宾的
38959,Ugw54BP5Gj2eYRyqzHB4AaABAg,4,i love these videos. i am chinese but i left china at a very young age. these videos help me feel closer to my homeland,我喜欢这些视频。我是中国人，但我很小的时候就离开了中国。这些视频可以帮助我更接近我的家园
12675,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EHTIp9uRIe,4,even tho i watch chinese drama i don't like china because they don't respect the muslims.,即使是我看中国戏剧，我也不喜欢中国，因为他们不尊重穆斯林。
50845,UgxR1L5TXa47EtTWLlB4AaABAg,4,happy new chinese year dear li zi qi,新中国新年快乐亲爱的李Zi qi
50890,UgzQXZYZDt2_SE_NSUt4AaABAg,4,hello ms. lizi i love all of your videos. hope to see you soon. happy chinese new year. love from philippines.,您好MS。 Lizi我喜欢您所有的视频。希望很快能见到你。农历新年快乐。来自菲律宾的爱。
51188,UgzMAjAbeNrP7isNqRx4AaABAg,4,happy chinese new year! for you and grandma.. ❤❤❤❤,农历新年快乐！为你和奶奶..❤❤❤❤
51239,UgxoV7vixv0xKr3FYpJ4AaABAg,4,happy chinese and vietnam,快乐中国和越南
50327,UgxZqJRu9m9MizjmKhB4AaABAg,4,"i love you so much. happy chinese new year,",我真的很爱你。农历新年快乐，
12638,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D4re0HK1O8,4,"@hayleyhyj525 didn't i tell you to shut the fuck up? first you assumed i was hating on chinese people and being racist against them. and when i put you in your place for being a fucking racist to me who is by the fucking way! of chinese descent you are now attacking someone else who is speaking the same message against the government. the chinese government is suppressing it's people. stop playing the fucking victim and shut the fuck up. you think i don't go through the same racist shit people are throwing at me for looking asian in an american country? sit the fuck down, cause you are the problem.",@hayleyhyj525我不是告诉你闭嘴吗？首先，您认为我讨厌中国人，并对他们进行种族主义。当我把你放在你的位置时，你是个他妈的种族主义者，他是他妈的的方式！在中国血统中，您现在正在攻击其他人对政府发出相同信息的人。中国政府正在压制人民。停止玩他妈的受害者，闭嘴。您认为我不会因为在一个美国国家寻找亚洲人而扔给我的种族主义狗屎吗？坐下，因为你是问题所在。
12643,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D7iwLVXmDz,4,i wish the chinese community the best. you sweet people deserve none of the hate you receive. much love,我希望中国社区最好。你们可爱的人不应该得到你所得到的仇恨。非常喜欢
7470,Ugwc2EAmYRZhq2kUdLt4AaABAg,4,"happy chinese new year 
xin nian kuai le

gong xi fa cai ❤️❤️❤️ ❤️","Happy Chinese New Year 
Xin Nian Kuai Le

Gong Xi Fa Cai ❤️❤️❤️"
7468,Ugx7mEKfSmgc1eAzr-t4AaABAg,4,"happy chinese new year 
xin nian kuai le

❤️ gong xi fa cai ❤️","Happy Chinese New Year 
Xin Nian Kuai Le

❤️ Gong Xi Fa Cai ❤️"
51759,UgzUb31BSa3TA-6p_TJ4AaABAg,4,chinese fan report,中国粉丝报道
51761,UgybbNnVYyBiRxGjwDV4AaABAg,4,"they have been occupied by foreigners, and chinese people leave a message",都被外国人占领啦，国人多留言啊
51926,UgwxLN5XBWkgkivIwhZ4AaABAg,4,happy chinese year li zi qi,李齐中国年快乐
51391,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlnv-im8H0,4,"oh my god, i used to take a screenshot of li ziyi's video to the wechat circle of friends, saying that this is the cleanest place in youtube. you can see the praise of many languages ​​in the world. in such a good place, it was finally polluted. it doesn't matter. a certain island, i have sent screenshots of the vicious comments under the dai ziying incident to weibo/post bar/friend's circle, so that more kind chinese people can see hate, visualize it, see what a treasure method is alishan sun moon lan treasure island in textbooks. dai ziying's incident has an islander commented: the woman is a bad kind and other races. the world only has confinement to stretch. if they do not sit, they will die. japan and south korea do not need to applaud the cow fork! haha, in the past few years, i have worked hard to promote friendship between the two sides of the strait in my life and youtube, and i have no longer worked hard since september 18. now i often send a comment on a certain island in youtube to the circle of friends. hehe, and personally persuaded a few elderly relatives and friends who want to travel to a certain island, let them go to new matthew, support our friendship and overseas chinese, ha ha","我的天啊，我之前把李子柒视频下的评论截屏发到微信朋友圈，说这是YouTube里面最干净的地方，你可以看到全世界很多语言的赞美之词。这么好的地方，最终还是被污染了一下下，没关系啦，某岛，我已经把戴资颖事件下的恶毒评论截图发到微博/贴吧/朋友圈，让更多善良的中国人民看到仇恨，visualize it, 看看教科书里的阿里山日月潭宝岛是怎么个宝法。戴资颖事件有个岛民评论: 支那女人是劣等人种，全世界只有他们坐月子来苟延残喘，如果不坐，就会死，日韩就不需要坐 鼓掌"
1750,UgzCN108n6UDRKoGK8t4AaABAg,4,"my favorite chinese cinderella, everything continues to amaze what kind of hard worker she is and which lambs are cute",我最喜欢的中国灰姑娘，一切继续惊叹于她是什么样的努力工作，哪些羔羊很可爱
50223,UgzC_AYMc9iKQDw54AR4AaABAg.8qlnUqpB5Ko8qyABjtoABf,4,"@myle-fo6pu the lunar calendar is only 354 days a year, which is 11 days less than the solar calendar. this means that every three years, the lunar new year and the solar calendar are one month apart, so the pure lunar new year will appear in various seasons, and the chinese new year always appears in in winter in china, this is because china uses a combination of lunar calendar and solar calendar, and uses solar terms（节气jieqi） to guide agricultural production.chinese calendar is a mixed calendar.
google translate","@myle-fo6pu每年只有354天，比太阳日历少11天。这意味着每三年，农历新年和太阳日历相距一个月，因此纯净的农历新年将出现在各个季节中，而农历新年总是出现在中国冬季，这是因为中国使用LUNAR日历和太阳日历的组合，并使用太阳术语（Jieqi）指导农业生产。中国日历是混合日历。
谷歌翻译"
44048,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rLxK56fity,3,@ygfalcao2570 poxa :( the deed must be in japanese/chinese ... which i give totally layman,@ygfalcao2570 poxa :(契据必须是日语/中文...我完全给外行
50962,UgxXdfdUk1tAYvVhPwJ4AaABAg,3,"your videos are a pleasure that i enjoy very much, thanks for showing us the incredible of great chinese culture.",您非常喜欢您的视频，非常感谢您向我们展示中国文化的难以置信。
51389,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlePamSdgQ,3,chinese new year !,中国新年 ！
23095,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92tYVPhznYE,3,"@gtp1542 haha there are so many democracy coutries in the world, but most of them are not in a good state of economy, apart from those western coutry which had conquered other coutries.chinese don't need to learn from democracy coutries about history and other aspects,chinese (include people live in hongkong)need a good state of economy and political stability.",@gtp1542哈哈，世界上有太多的民主阶层，但是除了那些征服了其他库特里的西方苏联外，他们中的大多数人都不处于良好的经济状态。其他方面，中国人（包括居住在香港的人）需要良好的经济状态和政治稳定。
36916,Ugz9JF6GZG22h5y7xrt4AaABAg,3,"i love this. i would love to harsvest my own food and have many cooking supplies. i love the cute baby animals too! one day, maybe do a video on each animal? so cute! cute! cold? very good! thank you sister! sorry my chinese is bad. sorry!!","I love this. I would love to harvest my own food and have many cooking supplies. I love the cute baby animals too! One day, maybe do a video on each animal? So cute! 可爱! 冷? 很好! 谢谢 姐姐! 对不起我的中文不好。对不起!!"
22861,UgxdLnK5TNFY5ZXsUvt4AaABAg,3,"very well described the traditional chinese culture, traditional food, zhanzi",很好的阐述了中国的传统文化，传统美食，赞子柒
22491,UgwpDxSltANjBCp2KfR4AaABAg,3,"loving the whole atmosphere. i wasn't really a chinese cuisine fan but seeing this i really crave your cooking. a new perspective to chinese cuisine. truly inspiring.
i wish you open a guest house if you haven't. it would be my family vacation destination!!","热爱整个气氛。我并不是真正的中国美食迷，但是看到这一点我真的很想做饭。中国美食的新观点。真正鼓舞人心。
我希望您没有开设一个旅馆。这将是我的家庭度假胜地！"
22265,Ugy7T44RjrnVq9GIL1t4AaABAg,3,"zi yan's video was very good, and it was also the envious life of many people in china. after all, hundreds of millions of people in china have to leave their hometown for life. behind the chinese spring festival is the true portrayal of ordinary people.",子柒的视频拍的非常好，也是中国很多人羡慕的生活。毕竟在中国有上亿的人为了生活，不得不背井离乡。中国春运的背后才是老百姓的真实写照。
47396,Ugz-nOnIvznU0flFJth4AaABAg,3,did anyone else look at that and think that the slab of meat was that poor little lamb? until it said beef jerky in the subtitles.. but was it beef? the lamb didn't come back after that scene! happy chinese new year!,还有其他人看过那个，并认为肉的平板是那个可怜的小羔羊吗？直到它在字幕上说牛肉干性..但是是牛肉吗？羔羊之后没有回来！农历新年快乐！
593,UgyJvuz6D9qpzlt2YpR4AaABAg,3,"guys, she has been in a 2 year court battle with the production team and the latter’s greedy business. she’s fighting for the right to own her own image and brand. -says my chinese gf, who is on the ground in hangzhou atm.

edit: syntax","伙计们，她已经与生产团队和后者的贪婪业务进行了为期两年的法庭斗争。她正在争取拥有自己的形象和品牌的权利。 - 我的中国女友，他在杭州atm的地面上。

编辑：语法"
21570,Ugw_DXjma5WNplQpCUd4AaABAg,3,chinese living at the reunion island come from this town of china,住在聚会岛的中国来自中国镇
21109,Ugy1h4cZ-wcVU9NeypR4AaABAg.93zj_9LhTny94FseVqNBKo,3,"no, this cooking show is funded by the chinese government and this is just a setup. this is not ""their life"" or ""how they live"", far from.",不，这个烹饪节目由中国政府资助，这只是一个设置。这不是远非“他们的生活”或“他们的生活”。
47948,UgzqwvJrBtg7qUag16V4AaABAg,3,"happy chinese new year ms. li, year of the pig so many beautiful snacks .... (thanks to mrs. annastacia fang translation)",李的一年李女士​​李女士，这么多美丽的零食。
8544,Ugx40GICVBVkwteYONV4AaABAg.9IRg90eEmpV9IRsOxoVBE8,3,"the chinese and the koreans are really relatives, and the cyber hooligans are so similar. i believe most korean people are rational.",中国人和韩国人确实是亲戚，网络流氓是如此相似。我相信大多数韩国人都是理性的。
7797,UgykxnwFHQcNdtcTpVF4AaABAg,3,"she is a culture thief
to those who don't know her true self, she described kimchi, which is actually korean, as chinese, in her kimchi making video. china is now trying to take away all of korea's unique cultures. some even claim that bts is chinese. please don't stand up for cultural thieves like this.
her channel is very nice but she did a bad behavior please dont watch her videos..","她是一个文化小偷
对于那些不知道自己的真实自我的人，她在泡菜制作视频中描述了实际上是韩语的泡菜。中国现在正试图夺走韩国的所有独特文化。有些人甚至声称BTS是中国人。请不要像这样的文化小偷站起来。
她的频道非常好，但她的行为不好，请不要看她的视频。"
19424,Ugy1hPuM37VuBnt5r-R4AaABAg.95mdItLTgeO96PUkeTxND7,3,"make user of ur reply,
if chinese officials are smart enough, they should combine the confucius institute overseas and li ziyi instead of engaging in cultural formalism or sour li ziyi. jealous of li ziyi is very stupid and extremely regrettable.","Make use of ur reply, 
如果中国官方足够聪明，应该把海外的孔子学院和李子柒做一个结合，而不是搞文化形式主义或者酸李子柒，嫉妒李子柒是十分愚蠢且极度令人遗憾的。"
50908,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qtokmQHExe,3,@sparklelee4368 she prepared for traditional chinese new year. this is a festival that all chinese people will celebrate.chinese people usually prepare some traditional food and snacks at this festival.,@Sparklee4368她为传统的农历新年做准备。这是所有中国人都会庆祝的节日。中国人通常在这个节日上准备一些传统的食物和小吃。
50900,UgwgdxkzLocvnrsCmMF4AaABAg.8qlbwQdOZYk8qnIZPeck97,3,@echosu5793 there are some similar food. but most of korean food are totally different from china's. i'm sure that i like chinese food more than korean. lol,@echosu5793有一些类似的食物。但是大多数韩国食品与中国完全不同。我敢肯定，我比韩国更喜欢中国菜。哈哈
39864,UgyO3Z2tzQA_VEFvmVN4AaABAg.8shk39nVVMk8smI0yvQ3Mw,3,thank you so much! i really like chinese culture and study a year of chinese. greetings!,太感谢了！我真的很喜欢中国文化，学习一年的中文。问候！
48505,Ugya1P70nRnkq5ecAJd4AaABAg,3,chinese new year foodies love it,农历新年美食家喜欢它
18583,UgwC-ixwL8cDIh--eol4AaABAg,3,when the coronavirus ends i’m going to go to china and i want to eat some crabs chinese cramps like those ones that was so yummy i am here on the sofa look in his videos on the quarantine,当冠状病毒结束时，我要去中国，我想吃一些螃蟹中国抽筋，就像那些非常好吃的螃蟹，我在隔离的视频中在沙发上看着沙发上
52982,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlN7pUe2Rv,3,taiwan independence party workers upstairs are chinese tumors,楼上的台独党工是华人毒瘤
48835,Ugw2-Xp2ZfiQ9uX6m494AaABAg.8qmPugkUfoc8qmXHVQ4WwR,3,"she was making snacks for celebrating chinese new year, it's a tradition for every family to prepare different kind of snacks for the new year",她正在为庆祝农历新年做零食，这是每个家庭为新年准备不同种类零食的传统
9421,Ugzi2KGFJng9hw-14Sh4AaABAg,3,"i am an arab, i love chinese, but i don’t know why ❤️",我是阿拉伯人，我爱中国人，但我不知道为什么❤️
17081,UgyzyjTe0wUmC5pDBX94AaABAg,3,thanks liziqi for bringing chinese traditional nature to the world,感谢Liziqi将中国传统本性带到世界上
50720,UgxRnpFl689hBAbfU7p4AaABAg,3,happy chinese new year sis,春节快乐sis
16385,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G99NobvOV2A5,3,"@angelina_allanson8759 world is becoming increasingly polarised. china-india relations are not the best. there are always scuffles in the border (but this has gone on for decades, so it's not exactly ""news""). also tiktok is being blamed in indian media for promoting acid attacks because some idiot user made a video. and tiktok is founded by chinese. it's very sad. i can't look at anything in this world anymore without some kind of political suggestion popping in my head. not to mention covid? a lot of indian media is also hyping up the fact that nobody wants to do business in china anymore, and everyone is moving to india. again, a huge exaggeration, but the damage is done. 

hindutva ideology (hindu nationalism) is also causing tensions against muslims and kashmiris, whom some hindu extremists think are spies for pakistan. and they see pakistan as china's dog (not true).

you see what i mean? i'm sure i'm just scratching the surface here. i hope i'm not offending any indians.","@angelina_allanson8759世界变得越来越两极化。中国关系不是最好的。边界总是有混战（但这已经持续了数十年，所以这并不是“新闻”）。由于一些白痴用户制作了视频，因此在印度媒体中，Tiktok也被指责在印度媒体上促进酸性攻击。 Tiktok由中国人建立。这很令人悲伤。没有某种政治建议突然出现，我再也看不到这个世界上的任何东西了。更不用说Covid了吗？许多印度媒体也大肆宣传这样一个事实，即没有人愿意在中国开展业务，每个人都搬到印度。同样，夸大了，但损坏已经造成。

印度教意识形态（印度民族主义）也引起了对穆斯林和克什米尔人的紧张局势，一些印度极端主义者认为这是巴基斯坦的间谍。他们将巴基斯坦视为中国的狗（不是真的）。

你明白我的意思吗？我敢肯定我只是在这里刮擦表面。我希望我不要冒犯任何印第安人。"
40560,UgyUVF-ukZhG5S_N7a54AaABAg.8sGqD5kSBQb8scMDRR7vZm,3,catlady 0803 she has 13608000 + chinese fans,Catlady 0803她有13608000 +中国粉丝
51390,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qll8spbSIz,3,"island branch, welcome to help our chinese video increase the click volume",岛支，欢迎来帮我们中国的视频增加点击量哦
31431,Ugzn2TvpqOiqIBoe2NJ4AaABAg,3,"i love chinese food itโ€s the best. i have never gotten sick or ill whilst eating chinese unlike indian, mexican etc. ๐จ๐ณ ๐’“",我喜欢中国菜，这是最好的。与印度，墨西哥人不同，我从来没有生病或生病。
52778,UgxDQw63FkoJc0G3tp54AaABAg.8qlKBKCNurb8qlS4ycTZfm,3,"happy new year, l come from hongkong, i'm chinese。",新年快乐，我来自香港，我是中国人。
3377,Ugz7IgBPpvOrv81Ksfl4AaABAg.9U0_xd609Tm9U7b3dnDWt_,3,"at the end of your hand, i can see the desire of the south korean people to escape from the evil american colonial regime, and the chinese people support your ""independence.""",在您手的最后，我可以看到韩国人民逃离邪恶的美国殖民政权的愿望，中国人民支持您的“独立”。
51930,UgyGgPTEn6ni6pQOjFJ4AaABAg,3,happy chinese new year from malaysia,马来西亚的农历新年快乐
2459,UgxF-eebrw_qfc9lDTR4AaABAg,3,wow... this video was posted 3 years ago... right around chinese new year. i certainly miss the days when we can have festive celebration without worry and mask.,哇...这段视频是在3年前发布的...在农历新年附近。我当然会想念我们可以不用担心和面具的节日庆祝活动的日子。
29844,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xZxK1fMBPs,3,thanks chinese.,谢谢中文。
29237,UgxcycgGm6xZj9t-Pqt4AaABAg.8xyPsO771ym8yjb-PMBNzH,3,"@echocui3177 that comment above by yakouta hayder, left me scratching my head. wikipedia says she's chinese and she uses chinese traditional methods - ""li ziqi is a chinese food blogger and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques."" - her caption even says chinese festival too. ๐คท๐ฝโ€โ€๏ธ๐คฆ๐ฝโ€โ€๏ธ",@echocui3177上面的评论Yakouta Hayder，让我挠头。 Wikipedia说她是中国人，她使用了中国传统方法 - “李齐（Li Ziqi中国技术。” - 她的标题甚至也说中国节。
45645,Ugxc116lv0oj8UGd_u14AaABAg.8r1_0tDXddZ8rASO6cG0RV,3,this video is about some snacks we will eat in chinese new year,该视频是关于我们在农历新年吃的一些小吃
45720,UgxDoNYWfGb_JnABqfZ4AaABAg,3,i always wanted to grow up doing cool stuff like that! i love nature and whatnot. i hope you and your grandmother (and uncle) are blessed this year!!happy chinese new year!!,我一直想长大，这样的很酷的事情！我爱大自然等。希望您和您的祖母（和叔叔）今年有福！
33591,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-ALZGVL7np,3,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
45978,UgxQ6NzGBMWclSWcB2l4AaABAg,3,happy chinese new year,春节快乐
27247,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-ALeRnaC-V,3,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
5163,UgzjNVMnOPQFvuE1_rF4AaABAg,3,"i didn't know that chinese village 
life is so creative god bless you and good luck fore your future","我不知道那个中国村庄
生活是如此有创造力的上帝保佑你，祝你好运，在你的未来 -"
26121,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zxxvfAs33O,3,"this is not real chinese country life, or not real life at all. apart from advertising income from rating she is making millions from selling personal brand food, very fancy and pricey . there is a whole team involved free hundreds people working behind her. that is her real life and business not the simple county girl at all.",这不是真正的中国乡村生活，也不是现实生活。除了获得评级收入外，她还通过出售个人品牌食品而赚了数百万美元，这非常奇特和昂贵。整个团队涉及在她身后免费工作的人。那是她的现实生活和生意，根本不是一个简单的县女孩。
46322,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r05csoamA3,3,male sao sao anti -party does not mean that anti -chinese children have a bad mind and have a bad mind.,男闷骚 反党不等于反华 孩子出了墙 脑子还不好使 没得救了。
25524,UgyW1H10cqwUSOiNTEd4AaABAg,3,"cool, they probably probably have to live there, you can prepare everything for many years, this is what smart chinese mean !!!",很酷，他们可能必须住在那儿，您可以准备很多年，这是智能中文的意思！！！
6275,UgxdNb0giq1OOR1f3vt4AaABAg,3,i look at what she's making and i'm hungry~.chinese food is so profound!!!,我看着她在做什么，我饿了。
