,cid,votes,time,含good,含good中文翻译
39383,UgzB7RCawzJC6Qipb8Z4AaABAg,3,4 years ago,you are gorgeous!! and your channel is soo good!! love the photography and the film is well directed,你太美了！！而且您的频道太好了！！喜欢摄影，这部电影是很好的指导
24569,UgyIuRE-lYICB4H-lqN4AaABAg,3,3 years ago,good professional split mirrors and editing are first -class levels,好专业 分镜跟剪辑都是一流水平
24548,Ugw3l_y4EUwu4RRkNX14AaABAg,3,3 years ago,did anyone remember ' good earth' novel while seeing these videos?,有人在看这些视频时记得“好地球”小说？
27220,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8ztNNuDCYQx,3,3 years ago,"@huy4ngaming568 you are vietnamese ak, i just watch this channel, the star kai chi in the video is both beautiful and good and good",@huy4ngaming568你是越南AK，我只是看这个频道，视频中的明星kai chi既美丽又好，好
4327,UgzXWNUUdeh3pfujnMZ4AaABAg,3,1 year ago,so peaceful and relaxing to watch your videos! good job!,如此宁静和放松，可以观看您的视频！好工作！
26301,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-pukyeSmJd,3,3 years ago,"good very good!! so change everything travel, get away !live and please be happy maybe you need to be in a place like this",好，很好！！因此，更改一切旅行，逃脱！生活，请快乐，也许您需要在这样的地方
9027,UgzB9Z7lLmsVa2VpbVp4AaABAg,3,2 years ago (edited),"good year, li ziqi.
fabre-brasil.","GOOD YEAR, LI ZIQI.
Fabre-Brasil."
35832,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8uqHxbcWDuB,3,4 years ago,we should all feel ashamed for losing most of these good skills in the west,我们都应该因为在西方失去大多数好技能而感到羞耻
24127,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92MyVSywqw1,3,3 years ago,is the person underneath b? cultural output is what china should be improved. what china is very lacking is a media that tells a good story.,底下的人是憨b吗？文化输出就是中国应该改善的，中国很好缺的是一个会讲好故事的媒体
9810,UgxQ3cgn0vmiMs4vGFZ4AaABAg,3,2 years ago,"good morning. how wonderful. i love that life, i love nature, i love the countryside, i love your grandparents, i love you, i love all the people around you, i love animals, in short, i love everything you do",早上好。多么美妙。我爱那种生活，我爱大自然，我爱乡村，我爱你的祖父母，我爱你，我爱你周围的所有人，我爱动物，简而言之，我爱你所做的一切
24126,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92MpMoDPRV7,3,3 years ago,"it is convenient to go out of the city now, and it โ€s just as convenient to turn a wall as a book. do you think it is good outside the wall? hehe",现在出个国跟出城方便，翻个墙跟翻个书一样方便，你以为墙外很好吗？呵呵
15724,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS99edEa_c96K,3,3 years ago,"no, your english is very good",不，你的英语很好
25204,UgxA8U8oTykGIzbkwz94AaABAg,3,3 years ago,"it's so good to do anything, so delicious",好厉害 做什么都好好吃感觉
9561,Ugxv1BeTXRzUC-ej7oh4AaABAg,3,2 years ago,"this lady is an altruistic, hard-working, and honorable person. i do not know if she is a christian or not, but i do know that she is showing the world how good life can be out in the countryside and away from worldly distractions.",这位女士是一个无私，勤奋和光荣的人。我不知道她是否是基督徒，但我确实知道她正在向世界展示世界如何在乡村和远离世俗的分心。
27760,UgwgXinspMyNYXTPz0t4AaABAg,3,3 years ago,good job girlsโฅโจ,好的女孩♥✨
35669,Ugxn9w3OtZI8TfBGB-F4AaABAg,3,4 years ago,i feel like i've discovered a hidden treasure! good job on recomending me this video youtube!,我觉得我发现了一个隐藏的宝藏！在推荐我的视频YouTube上做得很好！
21523,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA94aaiSkQ4pi,3,3 years ago,"msgerberra well, she takes care of them well. her good nature shows that โ๏ธ๐",MSGerberra很好，她很好地照顾了他们。她的良好天性表明✌️
14617,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AjNJ36cLXw,3,2 years ago,"@user-ce5xg9ko6m can no longer agree. the film releases the feelings of life, kindness and beauty, and the positive energy of natural harmony and love ... peace! (she has also released a small snake, and recently persuaded the two puppies not to fight 
7 brother's wenyu is obvious to everyone, and it is no problem to be in charge of copywriting, but ziyi is afraid to find someone to help the plate ... in the end, she will have no food products to shoot ending
come and come to find a few best photography and editing masterpieces to make an appreciation, 7 brothers dream of good night dreams!","@user-ce5xg9ko6m 再同意不过了，片中处处释放出真善美的生活情怀，自然和谐充满爱的正向能量…peace！ (她还放生过小蛇，最近劝两小狗别打架
7兄的文釆大家有目共睹，负责文案没问题的啦，可是子柒怕找人帮端盘子…最后她会没有食物成品可拍ending
睡前来找几部最佳摄影、剪辑大作拜赏一下，7兄晚安好梦！"
23095,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92tYVPhznYE,3,3 years ago,"@gtp1542 haha there are so many democracy coutries in the world, but most of them are not in a good state of economy, apart from those western coutry which had conquered other coutries.chinese don't need to learn from democracy coutries about history and other aspects,chinese (include people live in hongkong)need a good state of economy and political stability.",@gtp1542哈哈，世界上有太多的民主阶层，但是除了那些征服了其他库特里的西方苏联外，他们中的大多数人都不处于良好的经济状态。其他方面，中国人（包括居住在香港的人）需要良好的经济状态和政治稳定。
22169,UgwOcS8g-lU-s9jvd7V4AaABAg,3,3 years ago,she is so good to her mother or grandmother,她对母亲或祖母真好
7207,UgzjC4obp5nsEciKYit4AaABAg,3,2 years ago,so good the atmosphere makes me homesick,太好了，气氛让我想家
7043,UgzlNZBVJDcoFK5LV3R4AaABAg,3,2 years ago,"i've been doing anything so far, so i wasn't good at eating the last time, lol",到目前为止，我一直在做任何事情，所以我上一次不擅长吃东西，大声笑
20716,UgzUCPLTl3GkYuwi9Ip4AaABAg,3,3 years ago (edited),"you know what? i've watched this video uncountable times. i'm so in love with this video. and a video completes when you have not only skills but you have a good camera man, a good editor and that's make a video complete. this video film so beautifully and edit very beautifully and of course your work, your skills are perfect not everyone can do all these things. you are a very hard working person. and the efforts of your camera man and your editor are also praiseworthy. keep it up guys. you all are working perfectly. ๐‘ love from pakistan ๐ต๐ฐ",你知道吗？我看了这个视频无数的时间。我很喜欢这个视频。当您拥有技能，而且有一个好的相机人，一个好的编辑器，这是一个完整的视频，视频就完成了。这部视频电影如此精美，非常漂亮，当然您的作品是完美的，并不是每个人都可以做所有这些事情。你是一个非常勤奋的人。相机人和编辑的努力也值得称赞。保持伙计们。你们都工作得很好。
22860,Ugz0NZSVHswpfGThJRl4AaABAg,3,3 years ago,"i do nโ€t know if this is your real life, but thank you for giving me a tranquility, a yearning, and a hope. good luck.",不知道这是不是你真实的生活，但谢谢你给了我一份宁静，一种向往，一个希望。祝，好。
22265,Ugy7T44RjrnVq9GIL1t4AaABAg,3,3 years ago,"zi yan's video was very good, and it was also the envious life of many people in china. after all, hundreds of millions of people in china have to leave their hometown for life. behind the chinese spring festival is the true portrayal of ordinary people.",子柒的视频拍的非常好，也是中国很多人羡慕的生活。毕竟在中国有上亿的人为了生活，不得不背井离乡。中国春运的背后才是老百姓的真实写照。
40094,Ugy0ApgdRp06CzBHsD14AaABAg,3,4 years ago,"very good video great compositions lighting and beautiful story. i admire your works. she is very talented, i would like to see your video behind the sense",很好的视频很棒的作品灯光和美丽的故事。我很佩服你的作品。她很有才华，我想看看您的视频背后的视频
3785,UgzbzRKw9KRMWlx0BtJ4AaABAg,3,1 year ago,"the long -awaited view of 100 million times is finally coming. single -term life videos can reach such a high click rate. throughout the world, few people can do it. ziyi created a miracle again. the achievements and income she reached on youtu be could not be stained in hangzhou weisus. the latter regards ziyi as a migrant worker, and there is no right to dividends. this is the ""good means of capital"" that ziyi said. hangzhou wei nian could not damage ziyi's international image and lofty status in the oil pipe.","期待已久的一亿次观看终于来临，单期生活类视频能达到如此高的点击率，纵观全世界也没有几个人能做到。子柒再次创造了奇迹。她在YouTu be上所达到的成就和收益是杭州微念所染指不了的，后者把子柒当成打工仔，无权分红， 这就是子柒说的""资本的好手段""。杭州微念根本损害不了子柒在油管中的国际形象和崇高地位。"
32783,UgwvT_IF7QndMnbJEYt4AaABAg.8vfyHziHd138vjNSXOjFvk,3,4 years ago,@annan2890 ๐€๐good idea....๐ค—,@annan2890
48531,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qniTsUaSV3,3,4 years ago,"seeing the little brother, i only knew that she was going to take care of her grandma, so she stayed at home, and she went to work when she graduated from junior high school. shooting a video should also want to make some money! the effect is very good, many fans, there are more than 50 million on -demand volume of more than 20 videos in the past twenty videos",看小哥哥 我只知道她要照顾她奶奶所以就留在了家里，初中毕业就去工作了。拍视频应该也是想赚点钱吧！效果很不错很多粉丝，以前二十几个视频就有五千多万的点播量
22503,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92wyaqBhJg0,3,3 years ago,"tian right. watching this makes me want to farm lol. i hope i could. anyway, good for china developing their culture",天右。看着这个让我想耕种。我希望我可以。无论如何，对中国发展他们的文化有益
39845,UgwrrdIqNOx551Tf3254AaABAg,3,4 years ago,who in their right mind dislikes the video... this is so good.. i felt like i was with her in that beautiful place ๐๐๐,谁在他们的右脑中不喜欢视频...这太好了..我觉得自己和她在一起，在那个美丽的地方
20100,UgwPTNqru8CHWbeCyA54AaABAg,3,3 years ago,iโ€m blown away by that mango! where was the seed? it looked so good,我被那个芒果震撼了！种子在哪里？看起来很好
20515,UgywBQKFq7-Ev_gdsPF4AaABAg,3,3 years ago,"don't always have a childhood. she doesn't have to live tragic, she is very good now. the 2020 spring festival li ziyi has not been updated in the new year. someone may be wondering because li ziyi has been busy buying medical supplies to support the prevention of epidemic prevention in major hospitals in china. mask, protective clothing, goggles, she has been donating a lot. i believe many domestic netizens know. which english friend, translated to foreigners, let them know that li ziyi is really exporting china's positive energy. ziyi is a fairy! intersection intersection intersection intersection",不要总提子柒的童年了。她不必靠卖惨活着，她现在好得很。2020春节李子柒新年并没更新，可能会有人纳闷，是因为李子柒一直在忙着购买医疗物资支援中国各大医院防疫工作。口罩，防护服，护目镜，她一直在捐，捐了很多了。相信很多国内网友都知道了。哪个英文好的朋友，翻译给外国人看看，让他们知道李子柒是真正的在输出中国的正能量。子柒是仙女！！！！！
33295,UgwxpJhpJmJlCRAYU8Z4AaABAg,2,4 years ago,"i don't understand the language, but the video and very good congratulations ๐‘๐‘๐‘",我不了解这种语言，但是视频和很好的祝贺
12545,UgxdqJGV-Pp5mmIIcI94AaABAg,2,2 years ago,every kind of food made is good. i want to eat it when i look at it,做的每一种食物都好看.看着就想吃
39125,UgzQRl-Ctl87WxIyEzp4AaABAg,2,4 years ago,"i know this is the second comment i've made today, but i think your videos are very nice. they're very relaxing to watch, and the food in this one looks very good. your dogs (and your lamb) are cute too!",我知道这是我今天发表的第二个评论，但我认为您的视频非常好。他们非常放松，而且食物看起来非常好。您的狗（和羊羔）也很可爱！
9610,UgzGFMOK2Ee71r-p4kl4AaABAg,2,2 years ago,i don't even see like this girl is live is good form my self i say god bless you,我什至没有看到这个女孩是活的，我是我的自我，我说上帝保佑你
17634,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98RpLOPrgDw,2,3 years ago,"even if it's not 100% real as it is in rural areas (i mean, i think we all kind of know that living on the countryside and on a farm is a lot of work, come on guys), but people on the internet constantly show only the good side, show things that are aesthetically pleasing, etc. even cooking videos do that, it's always a mess in the kitchen when you cook but not in their videos, doesn't mean it's wrong and you should bash them. sometimes people want to show things in a good light, show their hard work as something beautiful. i don't really seem a problem with it being ""too perfect"", it's just a video on youtube",即使不是在农村地区不是100％真实的（我的意思是，我都知道我们都知道住在乡村和农场上是很多工作，而是互联网上的人们仅显示好的一面，显示出美学上令人愉悦的事物，等等。即使是烹饪视频也可以做到这一点，当您做饭但不在他们的视频中时，这总是一团糟，并不意味着这是错误的，您应该抨击他们。有时人们想以良好的光线展示事物，将辛勤的工作视为美丽的东西。我似乎并不是一个“太完美”，这只是YouTube上的视频
15654,Ugx-g9oMvzL6uXHI0TV4AaABAg,2,3 years ago,"the popcorn was seen at the grandma's house when she was a child, and the snow rice grains next to them were too greedy! as soon as the new year's goods are ready, the festival atmosphere begins",那个爆米花的机子小时候在奶奶家见过，还有旁边的雪米粒太馋了！年货一备齐，节日氛围就开始啦
4835,UgyBayM2d-4zeoOiRfd4AaABAg,2,1 year ago,"4:46 this looks so good
5:01 noooooo, i want my vegetables and source tooo","4:46这看起来很好
5:01不，我想要我的蔬菜和来源"
6527,UgxqipOQyQ2IvnU0q2F4AaABAg,2,2 years ago,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
11586,UgwIUB1dMhomwlM5dKt4AaABAg.9EPh4bm-9QR9Fl1H0qlwGc,2,2 years ago,"i know. i stopped watching her videos after reading all the ""oh, i love china, wished i lived there"" comments. i also saw the ccp doing a spill on one of her videos. then i realized she is just one of there puppets to brainwash america ""china good"" ""america bad"".",我知道。在阅读所有“哦，我爱中国，希望我住在那里”的所有“哦，我爱中国”的评论后，我停止观看她的视频。我还看到CCP对她的一个视频泄漏。然后，我意识到她只是木偶之一，洗脑美国“中国好”“美国坏”。
17860,UgxZKF6jGg3JqrU4sIp4AaABAg,2,3 years ago (edited),"i have a chestnut tree in my yard! we collect and roast them every year. ~ good choice to use a tong type tool to get them out of the shell, those things are super prickly!",我的院子里有一棵栗树！我们每年都会收集和烤。 〜最好选择使用Tong型工具将它们从外壳中取出，这些东西超级刺！
40043,UgwgAyB3iuhr3V_sX2l4AaABAg,2,4 years ago,stardew valley's graphics became hella good wtf,星德谷的图形变成了好wtf
22210,UgwQaocFlaHI5Uqkm-B4AaABAg,2,3 years ago,"healing film, good",治愈的片子，不错哦
12822,UgzbjDArdiPCJXdsb0l4AaABAg,2,2 years ago,i’m telling you this i watch this everyday because of how good and aesthetic this is,我告诉你这个我每天都在看这个，因为这有多好和审美
27884,UgwBeMMcDFneUrYGFT54AaABAg,2,3 years ago,"after watching the two episodes of li ziqi's video, it is really smart! intersection good woman here .....^_^",看了两集李子七的视屏，真是心慧手巧！ ！好女人来的.....^_^
4818,Ugz0XNYKF3FyB9GnthJ4AaABAg,2,1 year ago,"zi yan, good morning! taiwan pingfang chongmin will go to class a today to get dressed in dresses! talk about the current dynamics after get off work at night! continue!",子柒妳好早安！台湾屏东方崇闵今天要去排 A班待会儿穿好衣服要去执勤了！晚上下班后再聊聊近况动态！再续！
26314,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92PZzHx3kH2,2,3 years ago,"good for you, so proud of you!",对您有好处，为您感到骄傲！
26431,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy97j-5mgJpQ0,2,3 years ago,good job. just do a lil bit every day. don't push yourself too hard because you might undo all your hard work. i was depressed for more than 10 years and i slowly figured things out with any help. this is a problem many people go though and hide it.,好工作。每天只做一点。不要太努力地推动自己，因为您可能会撤销所有辛勤工作。我沮丧了十多年，我在任何帮助下慢慢地弄清楚了事情。这是许多人去隐藏的问题。
2849,UgxXqT4vR_nZHnCTPnB4AaABAg,2,1 year ago,bring these videos a good energy!,给这些视频带来良好的能量！
46323,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418r06GEVUhUO,2,4 years ago,"what is good for china to fight against china? the bad things are done by the communist party, so you must fight against the party. the brain like you is only suitable for picking dung. it's okay to see the hotline, so you don't need to pick a big dung in the future.",华有什么好反华的，坏事是共产党做的，所以一定要反党，像你这种脑子只适合挑粪打杂。没事去看看妄议热线，以后就可以不用挑大粪。
21223,Ugxc2UyDLqlmeGzRSjJ4AaABAg,2,3 years ago,i'm so proud with you your such a good girl,我为你感到骄傲，你是一个好女孩
15726,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS99iYkEAS37K,2,3 years ago,good english,好的英语
22441,UgyqKauAAZRkyW6NhbJ4AaABAg.92vux6GPqPJ93PcFdEK4fz,2,3 years ago,"it's a good life to be sure, but what you don't see is the massive amounts of hard work and labor that goes behind it. farming is much more difficult then it looks. but to those with the true passion, it becomes easier.",可以肯定的是，这是美好的生活，但是您看不到的是落后的大量辛勤工作和劳动。耕种比看起来要困难得多。但是对于那些充满激情的人来说，变得更加容易。
4068,Ugz3o11BchNghJOmuMl4AaABAg,2,1 year ago,honestly she is good at cooking her cooking skills are amazing,老实说，她擅长烹饪她的烹饪技巧很棒
5820,UgwYguB2IxuCXlyNvUd4AaABAg,2,2 years ago,the videos i sawn from previous day's .......i learned a good thing from u....and the one wish to see u ....siss but the nature the way of doing agriculture...is osmmmmm. there is no social networks there awesome ....my mom is die hard fan of u..... plz reply me akka,我从前一天中锯了的视频.......我从你那里学到了一件好事。 。那里没有社交网络很棒。...我妈妈是你的狂热粉丝..... plz回答我akka
16321,Ugyl6BAyt6f-kggeWyh4AaABAg.98llsjx6THb99vLaEJJ39b,2,3 years ago,"@tiara ackerman
there is no problem, there is no problem.
good luck! good luck!","@Tiara Ackerman
没有问题，没有问题。
祝你好运！祝你好运！"
39291,UgxZURkwePIPZgmseqZ4AaABAg,2,4 years ago,her family have done a good job with this young lady๐‘ having said that if she has as much energy as this film suggests sheโ€d drive me crazy ๐ณ,她的家人在这位年轻女士那里做得很好，说，如果她的精力与这部电影一样多的精力表明她会让我发疯
24868,UgzN9e0rXnqIO3ogZQ94AaABAg,2,3 years ago,she is making some good food iโ€ll tell you that,她正在做一些美味的食物，我会告诉你
37880,UgxmyDjkHpW6ysQGfEx4AaABAg,2,4 years ago,looks very tasty! greetings from russia. good luck,看起来很美味！来自俄罗斯的问候。祝你好运
49193,UgzZ9oyj8LQwJQxAtGl4AaABAg,2,4 years ago,i really admire you you make wonderful videos colors incredibly you are very good thumbs up of greek,我真的很佩服您，您制作了精美的视频颜色，您非常拇指希腊
16911,Ugyw1IsmTP_Y2dDu2c54AaABAg.98IS_iizoLw98TCn-_dgNW,2,3 years ago,"@aika anali
digimon's ""victory -good theme-"".
it was in the content of this video.","@Aika Anali
Digimon的“胜利 - 好主题 - ”。
它是在此视频的内容中。"
17017,UgwBTuX4TtgjOj10-2B4AaABAg,2,3 years ago,"all of the videos are always watching well ♥ ️ you are good at cooking
the face is pretty, and the grandmother is so good.
pretty ♥ ️","所有的视频总是看得很好♥♥您擅长烹饪
脸很漂亮，祖母真是太好了。
漂亮♥谢"
37878,UgzKJt7_xRE4V0tLdVp4AaABAg,2,4 years ago,"the simplest good life!
it is good for health and to mind! i need it.","最简单的美好生活！
这对健康和脑海有好处！我需要它。"
22023,UgxKEdXS2MZ-23Qdu7l4AaABAg,2,3 years ago,i love love those innocent puppies... need more attention and cuddles i feel... nice vdo. great team work. good luck. keep the kindness and dont let normal world make you tough n rough. lots of kisses ๐ฅฐโค,我爱那些无辜的小狗...需要更多的关注和拥抱，我感到...不错。出色的团队合作。祝你好运。保持友善，不要让正常的世界使您变得艰难。很多吻
24345,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92EX2iAowUa,2,3 years ago,"@softclouds123 i am sorry about my english if i did any mistake but.. can i really advice onething ; if you really want to learn this story you should read "" quran-i kerim"" with mean.. there explaining so perfect. they ate this fruit and allah make them out of heaven cos allah (cc) was told them "" dont eat. "" allah check them only.. but at end they ask forgiveness perfectly... talking about this like that is not good.. they are our "" mother and father "". they are father and mother for all muslims..",@softclouds123我对我的英语感到抱歉，如果我犯了任何错误，但是..我真的可以建议吗？如果您真的想学习这个故事，则应该以卑鄙的方式阅读“古兰经”。他们吃了这种水果，真主使他们离开天堂，cos cos cos Allah（CC）被告知他们“不要吃。他们是我们的“母亲和父亲”。他们是所有穆斯林的父亲和母亲。
32751,UgyXwsAeYegCw1UAMqd4AaABAg,2,4 years ago (edited),"la, and to eat the sabachki? she herself only dates to throw everything into his mouth, poor dogs. only tears! i look there a closet clogged with food to the ceiling. here you have japan, people are of course insanely smart. even the girl is able to collect a bed of non -hijah! and what i like they live with nature, some kind of roots, bast shoes are edible. i watch a few videos, the first thing that she cares about her mother or grandmother is not important. it is just what kind of upbringing! and the second, how hardworking they are, now i understand why they are in such a small country, an order of magnitude higher than other countries live, their head works like a good swiss watch. surprised their work, and especially the mind",洛杉矶，吃萨巴奇（Sabachki）吗？我看着一个壁橱，上面堵塞了天花板上的食物。在这里，您有日本，人们当然是疯狂的。我喜欢他们与大自然生活在一起，根源，冰棍可以食用。我看了一些视频，她关心的母亲或祖母的第一件事并不重要。这就是什么样的成长！第二，他们的勤奋程度，现在我明白了为什么他们在如此小的国家，比其他国家生活高的数量级，他们的头部像一只好瑞士手表一样工作。使他们的工作感到惊讶，尤其是头脑
10086,Ugwu4RsC5V9MJj9G--J4AaABAg,2,2 years ago,"the video is very good! my psychological video is also great, friends who are interested in psychology are welcome to subscribe to my channel. thank you",视频很好！我的心理学视频也很棒，对心理学有兴趣的朋友欢迎订阅我的频道谢谢
10053,UgxsOujY7gGBtiENFKF4AaABAg,2,2 years ago,good idea! an interesting cooking method!,好主意！一个有趣的烹饪方式！
6352,UgztRfl6KPSQcjJXHw94AaABAg,2,2 years ago,can i come and stay there with you? life feels so good at that place,我可以和你一起呆在那里吗？生活在那个地方感觉很好
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
26302,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-qcJD019Vr,2,3 years ago,good for you this is one step of everyday but am inspired to clean my room to and more i would love to cook like this having a farm having lots to pick and thinking what to make i love this channel!!!,对您有好处，这是每天的一步，但受到启发，可以清理我的房间，还有更多我愿意像这样做一个农场，有很多挑选，想什么让我爱这个频道！！！
33821,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yU4xRTBlBG,2,3 years ago,"sahara dessert - hi , thank you for sharing your story with me. your goals are admirable and i am sure both your mother and father are extremely proud of both you and your sister. it is nice to hear that young people care about the elderly and those who do not have as many advantages in life as they did . it makes me very happy and i canโ€t help smiling because of how you are willing to share the rewards you have worked for with others that work hard and suffer for so little pay and no relief from the harsh realities of life. you are a blessing in a world where kindness and goodness is harder and harder to find at times. you are so sweet and i will never forget what you took the time to write me.",撒哈拉甜点 - 嗨，谢谢您与我分享您的故事。您的目标令人钦佩，我敢肯定，您的母亲和父亲都为您和您的姐姐都感到自豪。很高兴听到年轻人关心老年人和那些在生活中没有那么多优势的人。这让我感到非常高兴，我不禁微笑，因为您愿意与其他努力工作，付出这么小的薪水且无法摆脱生活中严峻的现实的苦难和苦难的人分享您的回报。在这个世界中，您是一个祝福，在这个世界中，善良和善良有时越来越难以找到。你真可爱，我永远不会忘记你花时间给我写信。
15728,Ugxp2AETn10a-1LHj0t4AaABAg.99Iu-wWnXSS99lMbRzwqWZ,2,3 years ago,no sweetie you're english is good,没有亲爱的你英语很好
29369,Ugxg_ZqZYOIfDGVsg5F4AaABAg,2,3 years ago,chinese pastoral feminism should take a good look. what is a woman who can top half of the sky.,中国田园女权应该好好看看，什么叫女人能顶半边天。
49269,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9DmEtK2MHJe,2,2 years ago,"@allisgoodallisbad why not. the european luxury products prices are so exorbitant. the mjr costs derived from astronomical pay to media ads, super models & celebs endorsements. while the products made in bangladesh, india, cambodia ...
her products, design, ingredients are made in china. she's a super model & celeb herself, trained & paid by herself. let say how much some pr companies would pay her to influence voters with chinese heritage in australia, america, canada, uk, ... election campaigns. in fact, the conservative parties deployed chinese speakers to carry the battle on tweeter, fb, instagram, wechat social media in recent australian federal election late last yr. she may wield tremendous power to boycott certain product sales in china & perhaps beyond china. 
what would louis vuiton share price would be if she wears its product while cooking & caring her nana. china is the greatest nation as louis vuiton. asia excluding japan account for 29% louis vuiton market & growing fast.
somebody pls advice liziqi do not wear or show any brand lightly. tiger wood could earn billion usd just for endorsement on nike.","@allisgoodallisbad为什么不。欧洲奢侈品价格如此高昂。 MJR成本来自天文工资，媒体广告，超级模特和名人代言。虽然产品在印度孟加拉国生产的柬埔寨...
她的产品，设计，成分是在中国生产的。她自己是一个超级模特与名人，自己受过训练和付款。假设有多少公关公司会付钱给她，以在澳大利亚，美国，加拿大，英国，...竞选活动中使用中国遗产来影响选民。实际上，保守党部署了中国发言人，在最近一年后期最近的澳大利亚联邦大选中，在高音扬声器，FB，Instagram，微信社交媒体上进行战斗。她可能会发挥巨大的权力来抵制中国乃至中国以外的某些产品销售。
如果路易斯·维顿（Louis Vuiton）的股价在烹饪和关心娜娜（Nana）时享用其产品。中国是路易·维顿（Louis Vuiton）的最伟大国家。亚洲不包括日本的路易·维顿市场29％，并迅速增长。
有人建议Liziqi不会佩戴或轻轻地显示任何品牌。老虎伍德可能会赚取10亿美元，仅仅是为了认可耐克。"
22235,Ugy916AFHLBRYyynKYZ4AaABAg,2,3 years ago,"this girl knows a lot of things. i have a lot of thoughts, very high -resolution and english subtitles. it is so good and such a high click rate and subscriber, which is too powerful.","这位姑娘懂的事真多. 拍这片的心思不少, 很高解像而且有英文字幕. 很出色的生活片段而那么高的点击率和订阅者, 太厉害啦."
36685,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ucLHxBdAji,2,4 years ago,tianxing yuan she is just take more cares about hers skin and good culture๏ผactually she shows how a perfect traditional chinese girl should be,天王者她只是对她的皮肤和良好的文化更加关心，实际上她展示了一个完美的传统中国女孩应该是什么
26368,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy94LZtgBi4x6,2,3 years ago,hope you're still doing well! i also watch these videos when i'm having a depressive episode because they inspire me. keep up the good work! <3,希望你还好！当我有抑郁症的情节时，我还会观看这些视频，因为它们激发了我的灵感。保持良好的工作！ <3
