,cid,votes,含good,含good中文翻译
12721,UgzdLhIQERVFocZuUgp4AaABAg,1,"a good mistress, a cadia normal person would like such a wife for himself! looks delicious!",一个好情妇，一个cadia普通人想要这样的妻子！看起来很美味！
29279,UgwrUAmDSDSVgEomKzt4AaABAg,1,good cooking,好烹饪
29637,UgzQWSvBfhPtwvRJFC54AaABAg,1,"in sabah we call it soko,or rebung, one of my favourite food..good job liz qi....",在沙巴，我们称其为Soko，或Rebung，是我最喜欢的食物之一。
29870,UgzpV_N0vGyDjbCYaxt4AaABAg.8yW2GYdgDuC8yW4qY_iUXG,1,"if the spices are correct, plus good cooking techniques, the taste is very good. this is the snail（田螺） is not a snail(蜗牛)",如果香料正确，加上好的烹饪技术，味道非常好。这是蜗牛（（不是蜗牛）（蜗蜗）
12165,UgxHWJpAgeuLCTsN3Pp4AaABAg,1,"relaxing life there, no rat race, no politics etc super good and healthy life living off the forest, coolest :d ""d 
what do you think?","在那里放松生活，没有老鼠种族，没有政治等，超级健康的生活，生活在森林旁，最酷：D” D
你怎么认为？"
12161,UgxOjkuJh0-ldMMrG694AaABAg,1,"this girl is so good, whoever takes a great wife or knows how much, likes this girl, she talks to her, i don't understand, i love you",这个女孩是如此的好，谁拿着一个伟大的妻子或知道多少，喜欢这个女孩，她和她说话，我不明白，我爱你
12043,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s9Eh3f1Hq3_4,1,good lady,好女士
29926,UgwXRqEEOe7eVt4RXxZ4AaABAg,1,"i feel like the carpenters’ song is playing in the background: ”why do birds suddenly appear...every time you are near. just like me, they long to be...close to you.” that is when my heart aches even though seeing you makes me happy, too.

back to the foods...after all this is your food channel...they all look so good, i wish i’d get to have some. and when you slurp on the noodle soup and suck on that snail, i can only","我觉得木匠的歌在背景中播放：“为什么鸟突然出现……每次您都在附近。就像我一样，他们渴望……靠近你。”那是我心脏疼痛的时候，即使看到你也让我开心。

回到食物...毕竟是您的食物频道...他们看起来都很好，我希望我能拥有一些。当您在面条汤上lurop并吮吸那个蜗牛时，我只能在观看时"
10454,UgyiRwpDgRJEfq19LXV4AaABAg,1,nothing but pretty is still good,没什么，漂亮还是不错
10722,UgxR9du_dy9e6fsNeLF4AaABAg.98Udn6-ocYs98WzDFO1ZXn,1,"it's a good song for ""flowers"".",这是“花”的好歌。
33869,Ugzko5e-aq7O2fmSQW94AaABAg,1,"i really like eating bamboo shoots. its unique texture besides that it is good to be stir-fried. and i usually eat it during chinese new year. 
in indonesia it is called ""rebung"". love from indonesia ❤","我真的很喜欢吃竹芽。它的独特质地除了被炒还很好。我通常在农历新年吃。
在印度尼西亚，它被称为“ rebung”。来自印度尼西亚的爱❤"
9414,Ugyh890cFf3I7xoYwqN4AaABAg,1,good,好
9349,UgwnsOhbrkdYncp7IQB4AaABAg,1,i wish i have a good life like that you free and you just have a normal life,我希望我过着像你自由的美好生活，你只有正常的生活
9347,UgwRQhaAbzZgua-qHK14AaABAg,1,she is a cute and beautiful woman. it is delicious. if any one married her as wife to be good for his family,她是可爱美丽女人. 好吃. If any one married her as wife to be good for his family
9310,UgzbTn9NIc_6aqZVrS14AaABAg,1,way to be free if you got good heart,如果你有好处，可以自由的方式
9276,Ugyecbhoh7RJUj9nrCp4AaABAg,1,"i wish to try doing everything like she does...it's so good to watch your channel.
god bless you ๐๐โ€โ€๏ธ๐’—","我想尝试像她一样做所有事情……看着您的频道真是太好了。
上帝保佑你"
9184,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BRDGdKwKXh,1,the mongolian navy should not face the chinese. we welcome everyone with goodwill. whether it is muslims or not.,蒙古海军 不要给中国人丢脸。我们欢迎所有心怀善意的人。不管是不是穆斯林。
33537,UgwCkRBSA76qYtfWXo14AaABAg,1,"ziyi, i usually do n’t leave a message, i help science science under the comments of international friends. now i am here, because this food may not be understood by foreigners, there are some fools to step on it, but the snail powder is our big big. some chinese people have a good mind, call you, give you popularity, roar roar","子柒,平时我也没怎么留言,都是在国际友人的评论下帮助科普.现在我来了,因为这道美食可能外国人理解不了,还有部分傻逼恶意点踩,但是螺蛳粉是我们大部分中国人的心头好,给你打Call,给你增人气,吼吼吼"
9165,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9AeC52bdu4e,1,is chinese so good? good,中文这么好吗？good
34007,UgxN4xMoPhDEzraXLX94AaABAg,1,"receiving a notification coming from her channel makes me happy. finishing a new video with her never-ending skills just made my day so good!!! kudos to you, girl!",收到她的频道的通知使我感到高兴。用她的永无止境的技能完成了新视频，这使我的一天变得如此美好！！！对你的敬意，女孩！
10690,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799pneizUXb6,1,so true ..hw i wish to be like her life .so peaceful and full of love ..shes such a good example of a loving and contented fine lady ...,如此真实。
8930,UgwSBXhFIp-XzCSWP254AaABAg,1,"there are snails, fungus, sour bamboo shoots, sour beans, and a bowl of snail powder with good soul",有螺蛳，有木耳，有酸笋，有酸豆角，不错 很有灵魂的一碗螺蛳粉
34111,UgyRixCw3XOwTCi95Xt4AaABAg,1,i love this girl. beautiful and good at cork,我爱这个女孩。美丽而擅长软木
8904,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BcM8LWn_a6,1,@yonglu5864 either good -looking videos or rolling out,@yonglu5864 要么好好看视频，要么滚出去
34208,UgzMOUVTAzNUSWIpaVN4AaABAg,1,"⚠️ prophet
example of muhammad's speech

间 {love, compassion and kindness between believers are like a body: if any part of the illness, the entire body will have a fever and difficult to sleep. }

的 {the most devout believers will have the highest morality. and the best among them is the best person to the wife's room. }

钟 {until you love yourself, you love yourself as if you love yourself. }

怜 {the mercy shown is no reserved pity. show compassion to people on the planet, and allah will show you compassion. }

弟 {smile to your brother is loving ...}

好 {love is a good word. }

主 {fanxinzhu, the day (trial day) will be beneficial to its neighbors. }

根据 {allah will not judge you according to your appearance and wealth, but will examine your heart and behavior. }

{pay its salary before the workers sweat. }

小 {a man walking on the path feels very thirsty. at a bite, he climbed down the well, drank, and climbed up. then he saw a dog vomiting outside his tongue, trying to lick dry and wet mud to stop quenching thirst. the man said, ""this dog feels thirsty like me."" so he climbed down the well again, filled his shoes with water, and gave the dog. therefore, allah thank him and forgive his sin. the prophet was asked: ""allah, will we be rewarded because of being kind to animals?"" he said: {treat every living animal or humans to be rewarded. }","⚠️ 先知
穆罕默德的 言论范例 



















"
34507,Ugy4EWTX3mSnWTF3OBt4AaABAg,1,good evening chinese girl❤,晚上好，中国女孩❤
34708,UgzY7D87DSSlVgPicvx4AaABAg.8yUTLK-vrAU8yUad_bUNDl,1,"even though it doesn't has a good looking, but it still taste good",即使它的外观不佳，但仍然味道很好
35120,Ugz2Hx3GBSUn6Uig5Nl4AaABAg,1,"amaizing good you shomad beautiful family
indonesia is present greeting","amaizing好你，你shomad美丽的家庭
印度尼西亚在场问候"
8118,Ugzu1ax0cm43g4jBZmB4AaABAg,1,"this is called bamboo shoots in indonesia mah ... it's good to make lunpia
in indonesia its calling ""bamboo shoot"" very delicious to make spring roll named ""lunpia"" traditional snack","这被称为印度尼西亚的竹芽...很好地做lunpia是很好的
在印度尼西亚，其称为“竹芽”非常美味，可以使弹簧卷被称为“ lunpia”传统小吃"
33373,Ugx8Ea04GRnV30oipaJ4AaABAg,1,"udh beautiful, good at cooking",UDH美丽，擅长烹饪
33334,UgyNN8v9QbqVhAzinNd4AaABAg,1,is the good wife model picture 1 xiuwai huizhong? get the kitchen in the hall,好老婆典范图1 秀外慧中是不是就这样的？上得厅堂下得厨房
33198,Ugz-qCF7c3CmBVEACkp4AaABAg,1,watching this video make me sad. i missing my past when i stayed in village. i did same thing like you. almost every vegetables i took from my own farm. now... i live in capital city. and everything need to buy. nothing is natural. good luck for you.,观看这段视频让我很难过。当我住在村庄时，我想念我的过去。我做的像你一样。我从自己的农场里拿走的几乎所有蔬菜。现在...我住在首都。一切都需要购买。没有什么是自然的。祝你好运。
9569,UgzwN0e4ew_3f838jTZ4AaABAg,1,"it's too good, and when she took out the sour bamboo shoots and the pickled bean drum from the tank, i seemed to think of that taste, and the root of the teeth was soft.",太牛了，她从缸里拿出酸笋和腌豆鼓的一瞬间我就好像想起了那个味儿似的，突然牙根酸软
10669,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799Zm50h8h8r,1,@mango_kerapu and how does that discredit anything i said? she is a propaganda. was or is or her own belief were never part of my statement. so much assumption. the fact is: she is a ccp star. good day sir.,@mango_kerapu，这如何抹黑我说的话？她是宣传。是或或她自己的信念从来都不是我声明的一部分。如此多的假设。事实是：她是CCP明星。先生，美好的一天。
31170,UgzHLhEsTMGDPTPQUfd4AaABAg.8yVKj-sQ5iK8yVVhQ3UAIk,1,"@user-sz3ng5ib2w yeah, every video can be watched back and forth. and wait for the next work. watch her assistant weibo and say that ziyi's eyes have some problems. as a fan, i worry about her. i am afraid that she is too tired. if i get sick, it will not be good. so i have to talk about it here.","@user-sz3ng5ib2w 是啊, 每一个视频可以来回的看. 而且痴痴的等下个作品. 看她助理的微博写说子柒的眼睛出了些问题. 为了出视频饭也不好好吃. 做为粉丝的我都替她担心. 怕她太劳累. 要是病了就不好了. 所以要在这儿唠叨一下."
31220,UgwlOT3zwKuP6VrdSeF4AaABAg.8yVJU3PTvl18yVwOTHMPsW,1,"@ccchiu357 this is a good thing, it is also a cultural output, right?",@ccchiu357 这是好事啊，也算文化输出吧
10495,UgzseFyh-jdKD06T1_N4AaABAg,1,good,好的
28064,UgzL1w5c8PVL6z1N3mp4AaABAg,1,"sometimes i just see dislikes on such good videos
which forces me to think that what could be the serious reason for the dislike
like what i atleast want to know one reason..","有时我只是在如此好的视频上看到不喜欢
这迫使我认为可能是不喜欢的严重原因
就像我至少想知道一个原因。"
10449,Ugwg9J_iRED-FXHF4U94AaABAg,1,good,好的
31515,UgzlMEvmaze5CYOaFlt4AaABAg,1,who can record the video for you? it's so good to record,谁帮你录视频？录得真不错
10389,UgzFWWF6eQTL03wL0KR4AaABAg.98nk8EyIX6D98nk9woTYJG,1,the beautiful lady is so good,美丽的女士真好
10372,UgzFWWF6eQTL03wL0KR4AaABAg,1,too good,太好了
32065,Ugx1UsvDHxBCfmYep5J4AaABAg.8yV-x5Mbc6f8yVPY2Cd8pt,1,they are that good? guess i will need to try them out,他们很好吗？猜猜我需要尝试一下
10100,Ugwck8bTmhrnl1KdrhJ4AaABAg,1,"congratulations for the quality of his films and choosing his music. everything she does, is real sequences. i love to look at her i have tears in the eyes of pleasures by her kindness and sweetness. she is a beautiful and good person! very patient here is her secret?!",恭喜他的电影质量并选择了他的音乐。她所做的一切都是真实的序列。我喜欢看着她，我的仁慈和甜蜜的眼中在愉悦的眼中含着眼泪。她是一个美丽而好人！这是她的秘密吗？
32361,UgxTdjMxw2tfW2TPJU14AaABAg,1,i've always watch ur video omg sooo good to feel relaxing i alwsys waiting your next video,我总是看你的视频omg sooo sooe感到放松，我alwsys等你的下一个视频
32416,UgwYRx0L1Om1zBjCNah4AaABAg,1,i love you very much because you tired very much all today's but you always happy and food very good but l don't now this food because lam from in arabic and thank you very much,我非常爱你，因为你非常疲倦，但是你总是快乐，食物非常好，但是我现在不要吃这种食物，因为lam in阿拉伯语，非常感谢你
32567,UgwPZ4NfmPlYefDHQd94AaABAg,1,"english is good, so subtitles are good ㅠㅠ
i thought it was so cute that it looked like a bamboo shoot, but it's very thin","英语很好，所以字幕很好ㅠㅠ
我以为它是如此可爱，看起来像竹拍，但是很薄"
9931,Ugz7nqMl2Z4akpECoAh4AaABAg.99M9Z9YChfd9AMYIbRQ1so,1,"i donโ€t mean to downgrade or underestimate anyone iโ€m not saying i am better or worse than anyone 
have a good day ๐","我并不是要降级或低估任何人，我并不是说我比任何人都好或更糟
祝你有美好的一天"
32639,UgykgekZTW7T3hAAhvR4AaABAg,1,good morning li its currently 6:41am in the caribbean.im enjoying your video as uausl,早上好李，目前在加勒比海的上午6:41。
32915,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV6SE-GCsO,1,@jan9036 is very good,@Jan9036 说的很好
28235,Ugy5s2YAMtFXah2-WQp4AaABAg,1,"i've been craving bamboo shoots these past few days. not fair!
those freshwater snails too. they are so good!","在过去的几天里，我一直渴望竹芽。不公平！
那些淡水蜗牛也是如此。他们真好！"
27166,UgyRv5uEXzE0WSsa04x4AaABAg.8yhVtwY-4oB8yoSZBpGfv5,1,"when i was a kid, i grew up like this, but the dishes i made are not as good as her. bleak",我小时候就这么长大的，只不过做的菜没有她的好看好吃而已。
27860,UgwFORV0OWZ1_ayC1H14AaABAg,1,"in a wonderful place, i can feel that the verse of ""linjiangxian"" written by yang shen ""shan shan is still there"".
pick bamboo shoots and find fungus.
wash your feet in the clear stream and find shellfish.
naturally, it is very rich, and there is no waste at work.
i want you to cherish naturally the treasure of china.
thank you for your good video. i will also watch the past videos.","一个美妙的地方,我可以感受到杨慎写的“临江仙”的诗句”靑山依旧在”.
采摘竹笋,找到木耳.
在清澈的溪水中洗脚,找到贝类.
自然是非常丰富的，工作中没有浪费.
我要你珍惜自然是中国的宝藏.
谢谢你的好视频.我还会观看过去的视频."
19445,UgwIcH91zd0ouDASEG14AaABAg,1,she are very good,她很好
23918,UgyTYTiQ_9w46NMVZj94AaABAg.8zZwiZjkDDK8ze3MMyp8Vz,1,"would i eat some? yes, i would; it looks fantastic. i have eaten things that made old sweat socks smell good and found them to be delicious.",我会吃点吗？是的，我会;看起来很棒。我吃了使旧汗袜子闻起来很香的东西，发现它们很美味。
24112,Ugxt-RZOfZ5UdauB_oh4AaABAg,1,"pretty princess, those dishes surely do look good to eat.

wish you'd list down the ingredients and the steps to make those tasty dishes. thanks, pretty princess.","漂亮的公主，这些菜肯定看起来很不错。

希望您列出制作这些美味菜肴的成分和步骤。谢谢，漂亮的公主。"
24201,UgyYu4m1DpxPw2zqH2h4AaABAg,1,good job from,从
24295,UgyF-98QHbMsMY1oWFV4AaABAg,1,"such a good video,love alway from kimthu le life in norway",如此出色的视频，挪威的Kimthu Le Life的Love Elway
19524,UgwcCteS1V6Pqy5Dyyh4AaABAg,1,so good. cooking everything.,太好了。烹饪一切。
24318,Ugwf4IAlJ-1mmcxoyG54AaABAg,1,^^ you are good at cooking ~,^^你擅长烹饪〜
19509,UgxAqqv1oVTlSdwOTjl4AaABAg,1,good video!,好视频！
24393,UgwKFUhuhpzhU-an0wZ4AaABAg,1,she is so good at what they are,她是如此擅长
19393,UgygYJ-UKI8MgPfQ3dh4AaABAg,1,"not only are your videos interesting but beautifuly done, it's a pleasure to learn your culture with such good videos. thank you very much for that.",您的视频不仅有趣，而且完成了精美的效果，而且很高兴通过如此好的视频来学习您的文化。非常感谢你。
13819,UgwzEu7pbuLCUtcJLA94AaABAg,1,"you are a super woman amiga !!!!. your videos chapó. this specifically has wonderful music. thank you. a hug for you and your family from spain. how happy there in nature, how good !!!!!",你是一个超级女人的amiga !!!!您的视频Chapó。这特别有很棒的音乐。谢谢。从西班牙和您的家人拥抱。大自然有多幸福，有多好!!!!!
19260,UgxD0jSJ-DgLheGSE014AaABAg,1,"very good your videos.
i am amazed at god video.
congratulations.","很好的视频。
我对上帝的视频感到惊讶。
恭喜。"
19144,Ugyg-BpX8XbSNcOywlp4AaABAg,1,your food looks so good. it looks like you cook enough in a day for my family to eat all week.,你的食物看起来很好。看来您一天在我的家人整周做饭。
19057,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92NI4zlMBGP,1,yeah as a chinese i really love it! however my friends would think i smell like shit after eating it. not joking at all. tastes good but smells like,是的，作为中国人，我真的很喜欢它！但是，我的朋友们会认为我吃了狗屎。根本不开玩笑。味道很好，但闻起来像
24795,UgyC7S9rpsxdFcjUyWJ4AaABAg,1,good girls,好女孩
24850,Ugyt2ChOd652Sd5SuNh4AaABAg,1,wow...so damn good...love from india,哇...真是太好了...来自印度的爱
24948,Ugy1yZVif83Hq1oTPIl4AaABAg,1,verry good,很好
18660,Ugzji7WoQS6IgFJIOvh4AaABAg.92QI8efM4zn92Xk79HXdrt,1,"it is good for kun ai to pursue true, but you can't deny that this is not existed. my family is in sichuan, and someone around me is tired of urban life. live such a life in the countryside.",Kun Ai 追求真实固然是好，但你不能否认这是不存在的.我家在四川，身边有人就是厌烦了城市生活，在乡村过这样的生活，简单纯朴也美好
18629,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92j2hR88Y2b,1,pedro c you never know it was mao who led chinese women to work and have the equal right as men. he is neither god nor satan. he is a leader with good side and bad side just like everyone else.,佩德罗·C（Pedro C），您永远不知道是毛泽东（Mao）带领中国妇女工作，并且拥有与男性平等的权利。他既不是上帝也不是撒旦。他是像其他所有人一样的领导者，一面良好，一面不好。
19690,UgyCmxslq3IjvQiMmZ94AaABAg.91b9Iwityop92P77-r0UdY,1,sugi surya thanks girl，just few people still living in this original way，most people are living in the city and living in digital world，so she is special. this girl became famous in china，now she has 5 million usd revenue per year，but good for her，i am going to buy her hand made source online ：）,Sugi Surya感谢Girl，只有很少的人仍然生活在这种原始方式中，大多数人居住在城市中，生活在数字世界中，所以她很特别。这个女孩在中国闻名，现在她每年有500万美元的收入，但对她有好处，我要在线购买她的手工来源：
19740,Ugx7kKCwotxRgr0JRPJ4AaABAg.91ST0LU-y2D91ZM1msyB6F,1,good luck,祝你好运
23738,UgyqUeuRUDJEXzEM4dV4AaABAg,1,you're good at food. i'll be loved.,你擅长食物。我会被爱。
23376,UgyH8B4qmBisIlPgo3t4AaABAg,1,"oh i wanted to live there, there is all good !!!",哦，我想住在那儿，一切都很好！！！
20665,UgyfU6Qqz5W2xbfGSiF4AaABAg,1,"it's the happy life. 
very goog. very mush good. 
thanks.","这是幸福的生活。
非常GOOG。非常好。
谢谢。"
21042,UgxkrObHOijL99TcRXV4AaABAg,1,"i want to marry this fairy as a wife, how good should it be haha",我要能娶这位仙子做妻子该多好 哈哈
21319,UgxqdkMOshtjNn7x6hh4AaABAg,1,"eat everything that grows and everything that moves. like nature, and the fact that you are not dependent on europe. the dishes are natural and it is not enough. good luck in your work!",吃一切生长和移动的一切。像大自然一样，以及您不依赖欧洲的事实。这些菜是自然的，还不够。祝您工作好运！
20325,Ugz5j3EO-Yn9B5CMeZZ4AaABAg.90zuLyNp-_4914zKzhJX1K,1,remember she has lots of good natural lighting too,请记住，她也有很多良好的自然灯光
21841,Ugy_0hxcIt0Jx7ML4Pl4AaABAg,1,audio quality is good. captures the reality,音频质量很好。捕捉现实
22001,UgwttpE0B0mYIFAjFoV4AaABAg.9-Jp6PQsckX9-Q3dX1nJaX,1,that was kinda snails who live in water. u still can eat that eventho u r not chinese. there are many types of snails. the one that plays on the ground is no good.,那是住在水中的蜗牛。你仍然可以吃那个事件，而不是中国人。蜗牛有很多类型。在地面上玩的那个是不好的。
22025,UgyNznBkcEkdjIm0MHF4AaABAg.9-I7M9BVLBX9-YxKUIuOet,1,"sharon thomas after all, all that's left of her family is her grandmother.and take good care of the elderly, is our chinese from ancient times to develop a habit. we are proud of it.",毕竟，莎朗·托马斯（Sharon Thomas），她的家人剩下的就是她的祖母，而且要照顾老人，这是我们从远古时代开始养成习惯的中国人。我们为此感到自豪。
22068,UgzdPryOunYEfWhZFIp4AaABAg,1,good job mrss,夫人好
22072,UgzcZvYJmDpSxuUcDfp4AaABAg.9-Fe5Kk-yfW9-UFD3vCfUW,1,same here in philippines we also eat bamboo shoot really good,在菲律宾，我们也吃竹芽非常好
20229,Ugyhm8zzFKO2mUsXnyR4AaABAg,1,i keep seeing it. i feel like looking at a documentary. good quality.,我一直看到它。我想看一部纪录片。高品质。
20226,UgzNWHNRZISiwNXtOCR4AaABAg,1,"☀️amazing very amazing but beautiful work... very nice video.
weldone good job. best of luck☀️","☀quingamiging非常令人惊奇，但很漂亮的作品...非常不错的视频。
Weldone好。最好的buck☀️"
22336,UgwRIKP8m8KqoxusPWZ4AaABAg,1,"good video, too beautiful

actually im not a chinese","好视频，太美了

Actually im not a Chinesse"
22600,UgxmG5_qE6IsGJr1-694AaABAg,1,"helo very good 
https://www.youtube.com/channel/uc3bqw8oi-mcj822uusjzxla?app=desktop","Helo非常好
https://www.youtube.com/channel/uc3bqw8oi-mcj8222uusjzxla?app=desktop"
22789,Ugx5jBcf3F0_wjJra5p4AaABAg,1,good crafts,手艺不错
22869,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst58zxTmOekAkD,1,"@maritomesquita6719 ask the director of the multiple series movie, good actor.",@Maritomesquita6719询问多个系列电影的导演好演员。
23041,Ugyjqcg4IWS3VMICfIZ4AaABAg.8zryAjA2w8i8zyHQII0bTv,1,"@li6135 i don’t know if you are over the wall or abroad. you hope that someone else is a bad thing for your good words. if it is good, close your mouth",@li6135 我不知道你是不是翻墙的还是在国外，你希望别的人说你国家的好话还是坏话，如果是好话就闭上你的嘴吧
19992,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9P2Z1V2Xuy5,1,"@user-qr1zk1kn5z i disagree, but even if it was fake, it’s still really good content?",@user-qr1zk1kn5z我不同意，但是即使是假的，它仍然非常好？
18600,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WP11-2TpC,1,"@weisong4402 the good poems written by mao zedong are all a cultural symbol. the original intention of breaking the old four is good, but there is indeed a disadvantage of a knife. also, they know the good side of chinese culture, and the bad side has not been manifested.",@weisong4402 毛泽东写的一手好诗，全是一种文化符号吧。破除四旧的初衷是好的，但确实有一刀切的弊端。还有，他们了解的是中国文化好的一面，坏的一面并没有得到表现。
18394,Ugz8tuXhjuv5wvdYY714AaABAg,1,this lady originally had these videos made to promote her online store - which is a good thing. but it reminds me why many ancient chinese scholars and politicians chose to live in the outside world to get away from politics and reality.,这位女士最初制作了这些视频来推广她的在线商店 - 这是一件好事。但这让我想起了为什么许多古代中国学者和政客选择生活在外界，以摆脱政治和现实。
18381,UgyMqb7NW4U_JHkGVIp4AaABAg,1,"come back, the countryside will wuhu not return? not only for self -service, 心 而 而? enlightenment has been unhappy, and the person who knows can be chased. it is not far away, but i feel today and yesterday. zhou was far away with light, the wind fluttered and blowing clothes. ask the husband's road before, hating the morning light.
nai zhan hengyu, zai xinzai runs. children are welcomed, and the child is waiting for the door. three paths are deserted, and pine chrysanthemums still exist. enter the room with the young, there is a wine profit bottle. the leddy pot is used for self -discretion. leaning to the south window to make pride and tolerate the yi'an of the knee. the garden day is involved in fun, although the door is set and it is often closed. cereate the elderly to rest, and look at it from time to time. yun qinxin was in order to come out, and the birds were tired of flying. jing yan entered, stroking gu gan and pushed up.
come back, please make a trip. the world violates me, and repeats the words? the love of the relatives, le qin shu to eliminate worry. the farmers sued yu yichun, and there would be something in xichou. or a napkin car, or lonely boat. both are looking for gangsters, but also rugged and passing the hills. mu xinxin started flowing with glory, quanjuan. when the good things are good, feel the rest of my life.
already! what time does it take? ？？ 留 曷 任 任? what is hu wei? rich and wealthy is not my wish, emperor hometown is not available. huai liangchen was lonely, or he was soaring. ascending the east with shu xiao, lin qingliu and poetry. talking to the ride to return, lefu's destiny is doubtful!","归去来兮，田园将芜胡不归？既自以心为形役，奚惆怅而独悲？悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。舟遥遥以轻飏，风飘飘而吹衣。问征夫以前路，恨晨光之熹微。
乃瞻衡宇，载欣载奔。童仆欢迎，稚子候门。三径就荒，松菊犹存。携幼入室，有酒盈樽。引壶觞以自酌，眄庭柯以怡颜。倚南窗以寄傲，审容膝之易安。园日涉以成趣，门虽设而常关。策扶老以流憩，时矫首而遐观。云无心以出岫，鸟倦飞而知还。景翳翳以将入，抚孤松而盘桓。
归去来兮，请息交以绝游。世与我而相违，复驾言兮焉求？悦亲戚之情话，乐琴书以消忧。农人告余以春及，将有事于西畴。或命巾车，或棹孤舟。既窈窕以寻壑，亦崎岖而经丘。木欣欣以向荣，泉涓涓而始流。善万物之得时，感吾生之行休。
已矣乎！寓形宇内复几时？曷不委心任去留？胡为乎遑遑欲何之？富贵非吾愿，帝乡不可期。怀良辰以孤往，或植杖而耘耔。登东皋以舒啸，临清流而赋诗。聊乘化以归尽，乐夫天命复奚疑！"
15779,UgybHhTG9zDr1OhWNXx4AaABAg,1,"jieyu is in the people, but no car and horse noise
ask jun he nenger, he is far away from his heart
under the east fence of cai ju, see nanshan leisurely
the mountains and the day are good, and the birds are still
there is a true meaning here, forgot to say that you want to distinguish

living in the world, but with the noise of horses and chariots. ask me why i can be so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so, the is long as the high-minded, naturally will feel that the places select d. under the east hedge picking chrysanthemum, leisurely, that distant nanshan into view. the size of the mountains and the science is very good, with birds, with a companion to return. this contains the true of life , want to identify, but do not know how to express.","结庐在人境，而无车马喧
问君何能尔，心远地自偏
采菊东篱下，悠然见南山
山气日夕佳，飞鸟相与还
此中有真意，欲辨已忘言

Living in the world, but without the noise of horses and chariots. Ask me why I can be so, as long as the high-minded, naturally will feel that the place is secluded. Under the east hedge picking chrysanthemum, leisurely, that distant Nanshan into view. The smell of the mountains and the scenery of the evening is very good, with birds, with a companion to return. This contains the true meaning of life, want to identify, but do not know how to express."
15752,Ugxyf5CmC59Ye6VvOYl4AaABAg,1,"you've created beauty. beautiful food, beautiful surroundings. good film, art and food combined.",您已经创造了美丽。美丽的食物，美丽的环境。好的电影，艺术和食物结合在一起。
26590,Ugy3OTyYcCb3wAV9Yjl4AaABAg,1,"you guys do you know ,how does she so good even she has a brand with her name which sell many good product without additives such as spicy sauce or handmade folding fan etc ...it is so impressive !!!!",你们知道，即使她拥有一个名字的品牌，她怎么会如此出色，这些品牌销售了许多不错的产品，而没有辣酱或手工折叠风扇等添加剂……真是令人印象深刻！！！！
15293,UgzzqsSFOJHpfQPo9JF4AaABAg,1,i am one of those who search for good comment but never write one,我是那些寻求好评论但从未写过的人之一
15217,Ugx_7nktOohPVXofr9d4AaABAg,1,i wonder what it's taste like...looks so good and yummy...,我想知道它的味道是什么样的...看起来很好和美味...
15181,Ugy3U-gGiL1C0TtnRm14AaABAg.93ULr6X7Gdu93cvWYqCpu-,1,"@taetaeahgase7137 just to add to the other good answers, in a nutshell, ikigai means to find one's niche in life. it measures success by joy/inner-peace/wellbeing and not by the materialistic status symbols of foolish, shallow society.",@taetaeahgase7137只是为了添加其他良好的答案，简而言之，ikigai意味着在生活中找到自己的利基市场。它通过欢乐/内心/健康/福祉来衡量成功，而不是通过愚蠢，浅薄社会的唯物主义地位象征来衡量成功。
15105,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q94O4syTKfna,1,ken rascon it doesn’t matter!!! she makes so many people feel good!,肯·拉斯孔（Ken Rascon）没关系！！！她让很多人感觉很好！
15029,Ugwja3CZEKTC6ZuAK254AaABAg,1,this bamboo shoot is really too good! hungry,这个笋我真的太可了！饿了
27017,UgyjCKoY-I2kVN2b1rV4AaABAg,1,looks good!!,看起来不错！！
14947,Ugz5TBDWt8zUwrPnPJF4AaABAg,1,the good image is vivid and vivid,嗦字用的好 形象又生动
20897,Ugwr2cnr3OMfk_f3BIR4AaABAg,1,she cooks these dishes solemnly ... but this is a good video.,她煮这些菜太重调味吧...但这是一个很好的视频。
14800,UgxXgRvVv6x1uCGZ4sR4AaABAg.93wLuLlhp8f9400_GFg5en,1,"they are so good at making the earth provide their groceries for free. it must rain a lot there, so green.",他们非常擅长使地球免费提供杂货。它必须在那里下雨很多，所以绿色。
27188,Ugz2TFw1TyLKT5ck9DB4AaABAg,1,you really have good time management when you're cooking,做饭时，您确实有很多时间管理
