,cid,votes,time,含awesome,含awesome中文翻译
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,1 year ago,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
2494,UgwatwZ0LXbcs1yKT-N4AaABAg,0,1 year ago,awesome,惊人的
2607,Ugw_MzpcPGCK7RwNFeV4AaABAg,0,1 year ago,what is the meaning of liziqi can any one tell me buy the way you are truly awesome i love your all videos keep going,Liziqi的含义是什么，有人告诉我以您的真正出色的方式购买我爱您所有视频的方式
3184,Ugxu5Fbgq8BsReUK8e94AaABAg,0,1 year ago,awesome,惊人的
3262,Ugwis7bdpsmaBD0eCFh4AaABAg,0,1 year ago,awesome!,惊人的！
3661,UgxSUaR7wI2Liq2dtwF4AaABAg,0,2 years ago,so awesome!!,好棒！！
6295,UgyUv8lgRKkIMsSk91N4AaABAg,0,2 years ago,u are soo cute and beautiful awesome video,你是个可爱又美丽的真棒视频
4054,UgwMljk4-zUf-ZUTOsJ4AaABAg,0,2 years ago,"awesome, like so beautiful",太棒了，就像如此美丽
4191,Ugy9KFpeG-eRxy72NS14AaABAg,0,2 years ago,your foods are awesome ☺️,你的食物很棒☺️
4255,UgxouJw7ioXEBQarlzJ4AaABAg,0,2 years ago,"my favorite bamboo. what kind of foods in it!
awesome! cinema and cinematography. live for decades.","我最喜欢的竹子。里面有什么样的食物！
惊人的！电影和摄影。活了几十年。"
4420,UgyxLWz9M7t-BifyAWN4AaABAg,0,2 years ago,this is awesome ...,这太棒了 ...
4604,UgzdzhzjnRLTDqBLvjh4AaABAg,0,2 years ago,"awesome, love it",太棒了，喜欢它
5172,UgzH44JeqN2DyBMETop4AaABAg,0,2 years ago,the video you share is awesome...like,您分享的视频很棒...喜欢
6024,Ugwn7Dy3pHCf0ZP_Vjd4AaABAg,0,2 years ago,wow that's awesome,哇，真棒
11730,Ugy-Xr0zjs__5KatWwF4AaABAg,0,3 years ago,it's awesome!,这很棒！
12342,UgzEUdKweRDA7vWuT614AaABAg,0,3 years ago,lady you are awesome.,女士，你很棒。
12479,UgyfkCygdv4zrKqds-h4AaABAg,0,3 years ago,she's really awesome 's very responsible girl i've ever seen.,她真的很棒。她是我见过的非常负责任的女孩。
20067,Ugx8UV7_OH49_P7etnl4AaABAg,0,3 years ago,awesome channel,很棒的频道
18203,UgzuliXofNY_2PtMuI14AaABAg,0,3 years ago,this snail powder is so awesome,这螺蛳粉做的太牛逼了
18734,Ugw9ll07pcQFf21f_T14AaABAg,0,3 years ago,ziyi is awesome,子柒真棒
19120,Ugy0N0yeJxwRKpNElgF4AaABAg,0,3 years ago,awesome,很棒的
19384,UgzUNqfY51bX6w_lf494AaABAg,0,3 years ago,awesome.,惊人的。
19430,UgznjGfyZ0DJPfz1jPh4AaABAg,0,3 years ago,"loving nature and her cooking style is awesome,i love it i want to have a wife like her.tq for sharing with us,may god bless you...",爱的大自然和她的烹饪风格很棒，​​我喜欢它，我想和她这样的妻子与我们分享，愿上帝保佑你...
19514,Ugy2k73x-QC0NkpZw894AaABAg,0,3 years ago,awesome,很棒的
19683,UgzO_WGl1UvOTQle80d4AaABAg,0,3 years ago (edited),"zhi chi, a young woman who is kind, cooks, telling recipes and methods. for the general public good luck and happiness. today, stir -fried bamboo shoots, long beans, donated with the remaining grandmother to eat the next day or sell to earn money. the future is hoping to be rich, the little girl this is a genuine chinese, fruit plant. dry, pickled, pickled, branches, weeds, as fuel, raising animals for self -use, self -use, sell, sell, make it to see as well. do only do not talk people in and abroad like therefore have ten million fans to follow really awesome, the little and pathetic little girl her history is very attractive. right now, the little girl beside the bridge that she used to be famous is her life. history is in the clip that she spoke alone, answering with the fan club who was with two grandmother. near the bridge there are village headmen to help parents and grandfather at a young age. looks very difficult. wish you good health and good luck, both grandchildren, talented people 写给 泰国 看 看",智奇（Zhi Chi）是一个善良的年轻女子，烹饪，讲食谱和方法。对于公众祝你好运和幸福。今天，搅拌竹芽，长豆，与剩下的祖母捐赠第二天或卖钱。未来希望有钱，小女孩这是一个真正的中国水果植物。干燥，腌制，腌制，树枝，杂草作为燃料，饲养动物以自我使用，自我使用，出售，出售，也可以看到。只能不说话国外的人喜欢因此有一千万的粉丝要跟随真的很棒，小而可悲的小女孩她的历史非常吸引人。现在，她曾经出名的桥旁边的小女孩是她的生活。她独自讲话的历史是在剪辑中，与两个祖母的粉丝俱乐部回答。在桥附近有村长在很小的时候帮助父母和祖父。看起来很困难。祝您身体健康，祝您好运，两个孙子，才华横溢的人写写看看
20477,UgxemapbAoMJzcc_zMZ4AaABAg,0,3 years ago,really awesome ...so refreshing to watch dear,真的很棒...令人耳目一新，看亲爱的
17381,UgyyuyE0_LiVQbCJnCF4AaABAg,0,3 years ago (edited),are you into a 90 day fiancé type situation or is your husband the cameraman? you are awesome and if you have a husband he is lucky. i love your cooking speed and aggression.,您是否陷入了90天的未婚夫型情况，还是您的丈夫是摄影师？你很棒，如果你有丈夫，他很幸运。我喜欢你的烹饪速度和侵略性。
20524,UgzSccA3YjMShQIuZnZ4AaABAg,0,3 years ago,hi... liziqi u r making awesome cooking and making very very yummy videos......thank u..,嗨... liziqi u r做令人敬畏的烹饪，制作非常美味的视频……谢谢..
20744,Ugz9_5gp4kJ3UhG-oUt4AaABAg,0,3 years ago,wow really awesome dear,哇，真是太棒了
20800,UgxeSb5P8jx8YGxvNIJ4AaABAg,0,3 years ago,she is awesome...,她很棒...
20850,UgwYLW--7hfCuBB_INJ4AaABAg,0,3 years ago,"man, i want that awesome do it all knife that she cooks with! it looks so convenient for prepping ingredients",伙计，我想让她与她一起烹饪的所有刀！对于准备成分来说，它看起来很方便
20940,UgyBZv5rSKN5swgENid4AaABAg,0,3 years ago,you are awesome,你太棒了
21511,Ugz7aQGNBz-fpjuPa-l4AaABAg,0,3 years ago,just awesome,太棒了
21639,Ugxt4SZoY_LnGm6zy994AaABAg,0,3 years ago,background music awesome,背景音乐很棒
17544,Ugy86FcBNTVfSy5QCzF4AaABAg,0,3 years ago,"it's great, xanadu. thank you for shooting. that ’s awesome, it’ s utopia, thanks for shooting this video","太棒了吧，世外桃源。感谢拍摄。that’s awesome, it’s utopia, thanks for shooting this video"
16884,UgwsCGSsEfzL1I-l69N4AaABAg,0,3 years ago,simply awesome,简直太棒了
12715,UgzFglNpCYz8WSl9iD94AaABAg,0,3 years ago,"your videos are awesome, but it's very rustic, but i really love such things",您的视频很棒，但是非常质朴，但我真的很喜欢这样的东西
14276,Ugx9D8Tr9aFMQcGolAJ4AaABAg,0,3 years ago,i would love to take care of a garden like that. this lady is awesome and i love how she takes care of her elders.,我很想照顾这样的花园。这位女士很棒，我喜欢她如何照顾长者。
12720,UgxuBMG_q7ipV81wieF4AaABAg,0,3 years ago,awesome girl,很棒的女孩
12964,UgxN9ZX0gywWZEymJL14AaABAg,0,3 years ago,u are just awesome..,你真棒..
13602,UgxuJKZAlSHTli8kCNx4AaABAg,0,3 years ago,awesome!,真棒！
13753,Ugz3ziF8Keqk2jnr3fF4AaABAg,0,3 years ago,absolutely beautiful and awesome!!!,绝对美丽而令人敬畏！！！
13864,UgzUjL9cPwjorT67gDh4AaABAg,0,3 years ago,"li zi is awesome, the pride of the chinese",李子柒牛逼，华人的骄傲
13892,Ugz6GXKhjxJ8CHteMRJ4AaABAg,0,3 years ago,whatever it is but awesome,不管是不可思议的
14216,UgxnluhpyJ2DNu2h5VN4AaABAg,0,3 years ago,"it looks well produced, so i think there is a whole team behind this. it's so awesome to have a the ingredients fresh .",它看起来很好，所以我认为这背后有一个团队。新鲜的成分真是太棒了。
14284,UgyGgWlSkq2TtDLz9bR4AaABAg,0,3 years ago,"she's an awesome woman, and may the universe continue to give her and her family exactly what they have now a simpler way of life it just keeps them happy awesome. and i will continue to watch her videos",她是一个很棒的女人，愿宇宙继续为她和她的家人提供他们现在拥有更简单的生活方式，这使他们快乐。我将继续观看她的视频
16864,UgwPDZmmiuVpVLSMTH54AaABAg,0,3 years ago,awesome place,很棒的地方
14679,Ugz1H9Oj78xZWP0MTGl4AaABAg,0,3 years ago (edited),this is awesome. that's really hard to make our life like her life. i wanna back to natural life. love u,这太棒了。这真的很难使我们的生活像她的生活一样。我想回到自然生活。爱你
14715,UgzpL9DDIFDeQHvQdSx4AaABAg,0,3 years ago,is this place is real!..if it is...simply awesome.,这个地方是真实的！..如果是……真是太棒了。
14785,UgwdmJRj1DfY6TOiI0d4AaABAg,0,3 years ago,"i am from vancouver island canada and have so enjoyed your videos . i have great respect for your hard work and the beautiful nation of china and the first time i watched a video from your channel it brought tears of joy to my eyes i was quite surprised by that ☺️
we have places on the island that could be great places for a show styled after yours . i am a man and not near as beautiful or graceful as you so i don’t think filming myself would be as popular as if maybe you were to come and do some special episodes here in canada .
well please be careful and keep making these gorgeous videos for the world , it’s truly admirable and does so much good for people it is awesome ! thank you very much","我来自加拿大温哥华岛，非常喜欢您的视频。我非常尊重您的辛勤工作和美丽的中国国家，并且第一次看您的频道视频时，这给我带来了喜悦的眼泪，我对那个☺️
我们在岛上有一个地方，可能是您以您的表演方式进行表演的好地方。我是一个男人，不像你那样美丽或优雅，所以我认为自己拍摄不会像您要来在加拿大做一些特别的情节一样受欢迎。
好吧，请小心，并继续为世界制作这些华丽的视频，它确实令人钦佩，对人的好处真是太棒了！非常感谢"
15702,Ugz_7xM6MQmMVJVtE7d4AaABAg,0,3 years ago,awesome!!!! now i am hungry!!!,惊人的！！！！现在我饿了！！！
16162,UgyVtpVM9aOoADoGAeh4AaABAg,0,3 years ago,awesome food looks delicious!!!!!!!!!,很棒的食物看起来很美味!!!!!!!!!
16262,Ugw2akJQ8OuEGqwHluN4AaABAg,0,3 years ago,"it's awesome, this is really good, the girl is also good",给力 这个看着是真不错 啊 妹子也不错
16851,UgyerxfEPfPZF5PERvt4AaABAg,0,3 years ago,wow! awesome!!!,哇！惊人的！！！
35271,Ugz1saQYG9C0SUUi5BZ4AaABAg.8yURoPrINdo8yUV81b7scz,0,3 years ago,@syahrulra3303 yes i agree with u .. editor is awesome. ...,@syahrulra3303是的，我同意你。编辑很棒。 ...
