,cid,votes,time,含dream,含dream中文翻译
42255,Ugx7hJEEDv-54jxneWd4AaABAg,0,4 years ago,my dream wife,我梦dream以求的妻子
41856,UgyCY-kje83e55StkiV4AaABAg,0,4 years ago,this is perfect women....a dream women for avery man.,这是完美的女人。...艾弗里男人的梦想女人。
45360,UgxMTmCqVuAppxzseH14AaABAg,0,4 years ago,"hello, this is a very good video, the puppy is really cute. her work is also very beautiful, so in nature. many people dream of this. thank you, and keep a good job! greetings from switzerland!
nǐ hǎo, zhè shì yīgè fēicháng hǎo de shìpín, xiǎo gǒu zhēn de hěn kě'ài. tā de zuòpǐn yě fēicháng piàoliang, suǒy pirate rén dōu mèngxiǎngzhe zhè yīdiǎn. xièxiè, bìng bǎochí liánghǎo de gōngzuò! láizì ruìshì dì dì dì dì dì dì dì wènhòu!","你好，这是一个非常好的视频，小狗真的很可爱。 她的作品也非常漂亮，所以在性质上。 很多人都梦想着这一点。 谢谢，并保持良好的工作！ 来自瑞士的问候！
Nǐ hǎo, zhè shì yīgè fēicháng hǎo de shìpín, xiǎo gǒu zhēn de hěn kě'ài. Tā de zuòpǐn yě fēicháng piàoliang, suǒyǐ zài xìngzhì shàng. Hěnduō rén dōu mèngxiǎngzhe zhè yīdiǎn. Xièxiè, bìng bǎochí liánghǎo de gōngzuò! Láizì ruìshì dì wènhòu!"
41724,UgxmvzZQcWRNJR7Ta3d4AaABAg,0,4 years ago,the woman of my dream,我梦dream以求的女人
41717,UgwF2-th7fkzpIJSbkl4AaABAg,0,4 years ago,sit and dream of such a wife,坐着梦见这样的妻子
41692,UgxcWhxNmtECA6NTBGp4AaABAg,0,4 years ago,dream girl.you are very lucky. i wish you will be always happy. god bless you.,梦想中的女孩。你很幸运。我希望你永远快乐。上帝祝福你。
41423,Ugx2VqWzrNCAWP7728J4AaABAg,0,4 years ago,"i want to be this type of a woman. so elegant, so talented....she's like a dream",我想成为这个女人。如此优雅，如此才华...她就像一个梦
41422,UgzNWiGycFOaKt9Ry8x4AaABAg,0,4 years ago,dream wife,梦想的妻子
41381,UgwsdwdoItQHPxoSzv94AaABAg,0,4 years ago,she is my dream girl,她是我梦dream以求的女孩
43110,UgzDt-glGN4FrvV6Hwx4AaABAg,0,4 years ago,my dream house is really planted by all types of vegetables plus there is a favorite flower i can be for relaxation,我梦dream以求的房子真的被所有类型的蔬菜种植，还有我可以放松的最喜欢的花朵
43128,Ugx9qGGTLB-vbccPn4x4AaABAg,0,4 years ago,it's was a dream????,这是一个梦？？？？
43194,UgwdTgZIerJXpABk1HR4AaABAg,0,4 years ago,the dream girl,梦想中的女孩
34577,UgxtMqYXNf6MsDlboo94AaABAg,0,4 years ago,"after seeing this video, i felt i had to get out of my college, and grow crops on the mountain,

harvest moon, i am coooomiiing.....my childhood dream's come true....","看完这段视频后，我觉得我必须离开大学，在山上种庄稼，

收获月亮，我很努力.....我的童年梦想成真..."
43676,UgxVU82hP_LHi18APvB4AaABAg,0,4 years ago,a dream of life ... can i come to you?,生活的梦想...我可以来找你吗？
43699,Ugxdm11YQg7nVsyqZtZ4AaABAg,0,4 years ago,it seems to me a dream ..,在我看来，一个梦。
44357,Ugxrx9Sqq4S9FjDm2BR4AaABAg,0,4 years ago,i love the sweet dreaminess of this channel but i'm really disconcerted by reading the comments as to how many people seem to this this is real,我喜欢这个频道的甜蜜梦，但我通过阅读有关有多少人的评论而感到不安，这是真实的
44401,UgwpL4_svP-kOKNDwUB4AaABAg,0,4 years ago,amazing... it's dreamland,太神奇了...这是梦境
44440,UgyWQeuyLtJK5W0gmBl4AaABAg,0,4 years ago,this is dream land,这是梦想之地
44519,Ugw9zetkZzGl_DfmggF4AaABAg,0,4 years ago,my wife in dream,我的妻子在梦中
44696,UgzIO6bQYCoEIKnMuJx4AaABAg,0,4 years ago,what you’ve been doing and the places your staying now is my longtime dream since childhood i never think it could happen but i see with my two eye... i really envy your simple lifestyle with all the nature beauty around you. i wish i could be at least your sister coz u have all my imagination dream,您一直在做的事情以及您现在住的地方是我的长期梦想，因为童年以来我从不认为会发生，但我两只眼睛看到了……我真的很羡慕您对周围所有自然美景的简单生活方式。我希望我至少可以成为你的姐姐，因为你有我所有的想象梦想
44789,UgwhZ194Hy4-KhP44Ex4AaABAg,0,4 years ago,a life like you has a lot of people dreaming.,像您这样的生活有很多人在做梦。
44804,UgyF1A7Gr_zqUqIQkGB4AaABAg,0,4 years ago,"real life harvestmoon girl!

i'd always dream having a life like harvestmoon
so happy to found you","现实生活中的Harvestmoon女孩！

我总是梦想过像Harvestmoon这样的生活
很高兴找到你"
45124,Ugx20UZvkNZHwgaX9Ht4AaABAg,0,4 years ago,"winter in sichuan is a feeling of mixing autumn and winter in the north. it looks like autumn is not autumn, and it is like winter. very dreamy.",四川的冬天是北方的秋天和冬天混在一起的感觉。似秋非秋，也似冬非冬。 很有梦幻感。
45244,Ugw0VaqgC9Kk33OkkFZ4AaABAg,0,4 years ago,"another dream wife, marry me..",另一个梦想中的妻子嫁给我..
45279,UgyNDQzNJBQQeh1SEMJ4AaABAg,0,4 years ago,my life style dream,我的人生梦想
45352,UgzQRLmQEl-Mxz_2bgh4AaABAg,0,4 years ago,this is my dream life.,这是我的梦想生活。
34791,UgzDn9GNgHsWYwOfG314AaABAg.8usnfCu0ou98vPi1gLwtdf,0,4 years ago,sichuan my dream destination for nature and food,四川我梦dream以求的大自然和食物目的地
28588,UgwtFY-AP-KfW2vn4Eh4AaABAg,0,3 years ago,"why the fuck those dogs and lamb follow her doing things, a dream to live life like this",为什么他妈的那些狗和羔羊跟随她做事，一个像这样生活的梦想
34466,Ugwkjzzl7AU9dZdngE94AaABAg,0,4 years ago,6:28 that big wok is what dreams are made of,6:28那个大炒饭是梦想是由
34314,Ugz2bZ2r0PFKyVVdG6R4AaABAg,0,4 years ago,"iโ€ve only ever had dreams about fruit thatโ€s big! ๐คฉ wow! 

(no literally i had a dream about humongous fruits and vegetables in a garden... they were beautiful... โค๏ธ","我只有关于水果大的梦想！ 

（从字面上看，我梦dream以求的是花园里的水果和蔬菜...它们很漂亮...❤️"
18549,Ugx9Ez846QLIpwUmHKJ4AaABAg,0,3 years ago,"this is the video that i saw inadvertently today. i rarely watch short videos, and i always feel too exaggerated, although there are many good works! and now that the new crowns have been isolated around the world, it has been paying attention to the domestic and foreign report videos about the new crown in recent days. i have to say that i like this video. it has created a lot of life that many people yearn for, but those who dare not or are unwilling to live in this life. helplessly shouting. i grew up in the countryside since i was a child, and naturally i knew the hardships of rural life, and not exactly as comfortable as the show in the video, but this did not affect the desire for the ectopic mood i brought to us in the video. essence just as life is not necessarily perfect, but there is no dream life is the end of everything!",这是今天无意中看到的视频，平时极少看短视频，总感觉太浮夸，尽管不乏有好的作品！而由于现在新冠在全球不断蔓延而进行了隔离，才于近几日开始关注国内外关于新冠的报道视频，这才有了无意中看到这个视频的原因。不得不说，我喜欢这个视频，它营造了很多人心中所向往的生活，而又不敢或者不愿在这种生活中生活的人们，那种被现代文明所侵蚀的灵魂所发出来低沉而又无奈的呐喊。对于从小在农村长大的我，自然知道农村生活的艰辛，而不完全如视频中所展现的那般惬意，但这并不影响我对视频中所带给我们的那种世外意境的向往。正如生活不一定是完美的，但没有了梦的生活才是一切的终结！
18672,UgwheYr2M_pf9dvxmHB4AaABAg,0,3 years ago (edited),this video made me cry so much my dream is to live like this with my daughter and my mother i only ask my god to grant us that desire,这段视频使我哭了很多，我的梦想是与女儿和母亲这样生活，我只要求我的上帝赐予我们渴望
18673,UgxjTjZRbY_wXKXlfxd4AaABAg,0,3 years ago,"can i come a live there? i grew up on a farm and can pull my weight, this is just such a wonderful place there and my dream to just live uncomplicated life.
lol i know it is far fetched but one can always dream","我可以在那里住吗？我在农场长大，可以拉大自己的体重，这真是一个很棒的地方，我的梦想只是过着简单的生活。
大声笑我知道这是遥不可及的，但是人们总是可以做梦"
19008,Ugy4Th28UkzGHoao-HZ4AaABAg,0,3 years ago,"to be able to have a set up like this along with the energy, wisdom and health would be a dream!",能够将这样的设置与能量，智慧和健康一起进行，这将是一个梦想！
19218,UgxKz2bhb72rm3OMxix4AaABAg,0,3 years ago,fuck! this woman is a serious angel my dream live there,他妈的！这个女人是一个严肃的天使我的梦想。
19266,UgxQ5X4ib5WIO0MU08N4AaABAg,0,3 years ago,this girl is living the studio ghibli life every wooluwoo dreams of,这个女孩过着吉卜力工作室的生活
19328,Ugws87xSP1nQx9OcBWV4AaABAg,0,3 years ago (edited),"i am wonder at this lady how everything is well organized, looks like dreaming.",我想知道这位女士的一切都井井有条，看起来像是做梦。
19342,Ugw732O6DeA3Ht0ywVB4AaABAg,0,3 years ago,my dream girl!!!!!!,我的梦中情人！！！！！！
19563,UgxiTXvgLOOaQIdaPfl4AaABAg,0,3 years ago,this amazing playback! i want to know which civilian youtuber's dream has reached!,这惊人的播放量！我想知道还有哪个平民youtuber梦达到！
19723,UgwlltCLoiCLmsguNBN4AaABAg,0,3 years ago,i always dreamed like this.i want my life like this.,我总是这样梦见。我想要这样的生活。
19752,UgzjuY_lFTXiTG2FQR94AaABAg,0,3 years ago,i'm in love with your videos i love nature my dream is one day to meet you personally and learn from you how to do all these hot things you do,我爱上了你的视频，我爱大自然我的梦想是有一天与您见面并向您学习如何做所有这些热门事物
19886,UgwnCrCyU_3o9MzAKG54AaABAg,0,3 years ago,you are an african parents dream child!!!,你是一个非洲父母梦的孩子！！！
19887,UgyF9g6735O0Kt3r2p54AaABAg,0,3 years ago,"it seems like you are out of this world... i am addicted to your videos... wish i could have chance to spend time with you 
you really touch our souls
you are so naiff and beautiful on the contrary very strong!
best best wishes for your dreams to come true","看来您不在这个世界上...我沉迷于您的视频...希望我有机会与您共度时光。
你真的触摸我们的灵魂
相反，您是如此的naiff和美丽！
为您的梦想实现的最佳祝愿"
20002,UgxxQsxzpH0QGgKOZQ54AaABAg,0,3 years ago,i don't know what comment l should give...l hv used most of d best human language inside me to appreciate her...she is like my dream girl...even though in reality..l will never came across like her,我不知道我应该发表什么评论。像她这样的
20055,UgwXXp5SInCajqgzg9R4AaABAg,0,3 years ago,wow....like a dream life๐,哇....就像梦想生活
20322,UgxM1L4nKWzTN5iEIkl4AaABAg,0,3 years ago,"this is like a dreamland every one wants to be apart of but most of you are just ignorant fools. all her talents take time to possess just like any job, all her knowledge just didnโ€t magically come. the area she lives in is obviously abundant in nutrients and 99% of you donโ€t live in an area like that. so itโ€s cute that all of you go โ€ i wish i wishโ€ but get over it. lol",这就像一个梦境，每个人都想分开，但你们中的大多数人只是无知的傻瓜。她所有的才能都像任何工作一样需要花时间才能拥有，她所有的知识都没有神奇地来。她所居住的地区显然在营养中很丰富，你们中有99％的人不住在这样的地区。因此，你们所有人都“我希望我希望”，但要克服它很可爱。哈哈
20327,Ugwg5xu8KgskN4v-pYh4AaABAg,0,3 years ago,"my dream lives like it and in the same place
modern life is full of tension, pressure and demanding
we have become like a machine that has a meaningful life
๐ฅฐ oh its luck","我的梦想生活就像它一样
现代生活充满了紧张，压力和要求
我们已经变得像一台具有有意义生活的机器
"
20423,UgxWdsnDRVOgMz__xLR4AaABAg,0,3 years ago (edited),wanitai men's dream,瓦尼泰男子的梦想
20563,UgxR1t5-JPGxle_8kah4AaABAg,0,3 years ago,"she is a real princess. so naive and petite and seems like fairy. works like a hercules. amazing ๐‘๐ have never seen such a beautiful person. she looks so loving and caring. i loved how her animals followed her . she really know everything about her culture and traditions. a rare thing,where wester world has captured us by awe and wonder. i so want to visit her and her place. what a life , she is following her dreams , mesmerizes us with her magic of simplicity and beaury. stunning videography. not a single word yet everything is communicated.",她是一个真正的公主。如此幼稚和娇小，看起来像童话。像大力神一样工作。惊人的
20597,Ugym670cZRxROHAUzdZ4AaABAg,0,3 years ago,"amazing girl you are.
on my way this seems to dream 
i want to live like you one day .","你是个了不起的女孩。
在我的途中，这似乎是梦想的
我想有一天像你一样生活。"
20622,UgwUe77lbM6av_C-KZR4AaABAg,0,3 years ago,such a wonderful view nd dish like dream world i want to go there nd i want to meet u,如此美妙的菜肴，例如梦想世界，我想去那儿，我想见你
20723,UgxTio2VLQ-Fdk6eeWF4AaABAg,0,3 years ago,"a life which was given by god to aden and eve and which we lost because of technology, and now everyone is looking back to live happily with nature like this...i too ....i believe anyone day will try to live like this princess...if you try u can....i believe.... anyone day those who see these videos let all their dreams come true which is also god's wish.....
by feel the joy of peace 
channel","上帝赐给亚丁和夏娃的生活，我们因技术而迷失了，现在每个人都回想起像这样的大自然的幸福生活...我也……我相信任何人都会尝试像这位公主...如果您尝试您可以。...我相信....任何看到这些视频的人都会让他们所有的梦想成真，这也是上帝的愿望.....
通过感受和平的喜悦
渠道"
20767,UgzmAawr4NvVnf6mDbx4AaABAg,0,3 years ago,you're living a dream.,你在做梦。
20892,Ugx9auuiL0YQpEVo_XV4AaABAg,0,3 years ago,ohhh... that is such a peaceful and happy life....our lives is but a product of this system of stressed and nothing more. she's living the dream.,哦...那是一种如此和平与幸福的生活。...我们的生活不过是这种压力系统的产物，仅此而已。她正在实现梦想。
21092,UgydnkhDXSKWhsMP6jh4AaABAg,0,3 years ago,the dream girl of so many boys ๐,这么多男孩的梦dream以求的女孩
21113,Ugy1h4cZ-wcVU9NeypR4AaABAg.93zj_9LhTny94VfN1779lk,0,3 years ago,"floating dream wow, thank you for the explanation, but i didnโ€t say that i know her lmao",浮动的梦想哇，谢谢你的解释，但我没有说我知道她的lmao
21281,Ugwtdi8KojaGBn7cbqx4AaABAg,0,3 years ago,"this brings conflicting feelings. ive lived and been to areas like this, and as nice as the video looks, it doesnt represent the poverty in these regions. when i talked with the kids from these places, they always dreamed of the city life and making a thousand dollars a month (which is like, a quarter of the price of the house...) the first time i went to such place i just couldnt bring myself to tell them 'people in city actually dream of your life'. incredible video. i really like it.",这带来了冲突的感觉。香港专业教育学院（Ive）生活并去过这样的地区，就像视频外观一样好，它并不代表这些地区的贫困。当我与这些地方的孩子们交谈时，他们总是梦想着城市生活，每月赚到一千美元（就像房子价格的四分之一...）我第一次去这样的地方只是无法让自己告诉他们“城市中的人们实际上梦想着您的生活”。令人难以置信的视频。我很喜欢。
21672,UgzRLwvp-dJ5Ci4hJZJ4AaABAg,0,3 years ago,dream lifeโฅ๏ธ,梦想生活♥️
21679,UgyBkCzfB8Dqq0wDVu94AaABAg,0,3 years ago,"omg, look like a dream villages",天哪，看起来像一个梦想中的村庄
17824,UgxYJCWITMsCloBt-yF4AaABAg,0,3 years ago,"guys, lets support gira for his dream. https://youtu.be/ofogwecoi2m
we just have to help people who are in need and deserves to be subbed.","伙计们，让我们支持吉拉（Gira）的梦想。 https://youtu.be/ofogwecoi2m
我们只需要帮助有需要的人并应得的人。"
17690,Ugx4pVcPAcRe3qK7DWF4AaABAg,0,3 years ago,your life is dreamy,你的生活是梦幻的
17475,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa97wVgpnHzUQ,0,3 years ago,i wished you were a pretty chinese woman...!? what happened with our dreams nithin raj???,我希望你是一个漂亮的中国女人...！？我们的梦想Nithin Raj发生了什么？？？
9740,Ugxp8IwiX_yjUPV67hV4AaABAg,0,2 years ago (edited),"i have a distraction, and i am pleased with a communication and correspondence, and his love increased more, but so far i have confessed to something. today, my family, they decided to go to the sermon, rawan, to mortada, and this is the biggest joy of the line. we take off my dog ​​every hour.
mother: i am a lofty with a wage, when i am tired and my fatigue today.
hoda: there is no rug with the possibility of his neighborhoods.
mother: fadwwah for the dawn of the house of the house
hoda: i do not want to want to keep me.
ahmed: what is a rising boss, with a righteous, hahaha
he ruined his day, forgive me from this
hoda: ha -ha -ha -ha, no darling,
ahmed: by god, you are the girls, they are darkened after you dream of a horse
hoda: my darling, complete your way and his dreams with his dreams
ahmed: i swear by god, i will repel you
i went to my mother, and i went to sleep.
yasser: the day of the time, god willing
hoda:......
yasser: hoda, i love and address to me
hoda: yasser
yasser: his eyes
hoda: i love you
yasser: here is my shape
hoda: hahahahahahahahaha
yasser: my form
hoda: i did not
yasser: attractive, and god heard
hoda: what i heard
yasser: hoda, to let my dog, eidi al -hajjiti, before shui, because he heard
hoda: if you hear what she walked, why do you ask hahaha
yasser: he destroyed it with his horses
hoda: hahaha
yasser: if it is not a horse on her feast
hoda: maaanah hahaha
yasser: haha, ok, with a need, is the well -being
hoda: aaaaaa. i love you and become good, hahahaha
yasser: lacofi. his closure was broken
hahahaha
yasser""
simple hadawi, my dog ​​will be stingy on him with this word, hahaha, ashamed of me, my love, i called her mother, my mother
mother: alo, hala yam, yousouri
yasser: all al hala big
mother: how are you, your brother, mohamed shalonah
yasser: thank god, you are fine, how are you?
mother: praise be to god, fine. its time
yasser: how many days and naji, god willing
mother: god willing
yasser: eat his mother
mother: hajji, hear you
yasser:
mother: oh, this is the blessed hour
yasser: hahaha
mother: but, where is her for her to know her, her people know you, how are you?
yasser: .......
mother: oh, hey, and yes, the choice is forgiven, and my hand is the girl of origin
yasser: god is generous, but he is the father of the father, and keshi is easy, god willing
mother: olide spoiled
yasser: let's take his mother
mother: god and you are safe
i forbade the contact, my mother, and i am more happy, but the tact of her argument with a reasonable head, what is it.
i went to abraham for his pill as a d'or who will be on the only one on the mobile and laughs.
ibrahim: draw baba, you are after you
yasser: hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
ibrahim: and god has the right that i am a young man and my head is sixty luck ... after him he performs hajj and raised his eyes on him
ibrahim: what is the daughter of muhammad. you all love you .... i shook my head
yasser: hi, the daughter of my dog
ibrahim: hahaha, may god grant you success, and you will be your share that i did not bear your luck and his bloc.
yasser: receive your eyes, dear, but you see that i am afraid, and they do not reject its people, and god is the one who turns the world on them if they do not want it
ibrahim: ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser: ha -ha -ha -ha -ha, i will go to it, i will cook it
ibrahim: get up your house from the growth of yesterday. listen to you, you will be slaughtered.
yasser: ha -ha -ha -ha
ibrahim: ambine and laughter
his chastity completes his correspondence and i slept. to complete the story, subscribe to my channel and continue the events","我分心，我对交流和信件感到满意，他的爱增加了，但是到目前为止，我已经承认了一些事情。今天，我的家人决定去讲道，罗丹（Rawan）去莫特达（Mortada），这是界限中最大的快乐。我们每小时都会脱下我的狗。
母亲：当我疲倦和今天的疲劳时，我很崇高。
霍达：他的邻居的可能性没有地毯。
母亲：fadwwah是房子房子的曙光
霍达：我不想留住我。
艾哈迈德（Ahmed：
他毁了自己的一天，从中原谅我
霍达：哈哈-ha -ha -ha，不亲爱的，
艾哈迈德：上帝，你是女孩，梦见一匹马后，她们变黑了
Hoda：亲爱的，通过梦想完成您的方式和他的梦想
艾哈迈德：我是上帝发誓，我会击退你
我去找妈妈，然后去睡觉。
Yasser：当时的那一天，上帝愿意
霍达：......
Yasser：Hoda，我爱我
霍达：Yasser
亚瑟：他的眼睛
霍达：我爱你
Yasser：这是我的形状
霍达：哈哈哈哈哈哈哈哈哈
Yasser：我的形式
霍达：我没有
Yasser：有吸引力，上帝听到了
霍达：我听到的
Yasser：Hoda，让我的狗，Eidi al -hajiti，在Shui之前，因为他听到了
霍达：如果您听到她走了什么，为什么要问哈哈哈
亚瑟：他用马摧毁了它
霍达：哈哈哈
Yasser：如果不是她的盛宴上的马
Hoda：Maaanah Hahaha
Yasser：哈哈，好的，有需要的是井
Hoda：Aaaaaa。我爱你，变得很好，哈哈哈哈
Yasser：Lacofi。他的关闭被打破了
哈哈哈哈
Yasser”
简单的哈达维，我的狗会用这个词对他来说，哈哈哈，我的爱感到羞耻，我叫她的母亲，我的母亲
母亲：Alo，Hala Yam，Yousouri
Yasser：All Al Hala Big
母亲：你好吗，你的兄弟，穆罕默德·沙洛那
亚瑟：谢谢上帝，你很好，你好吗？
母亲：赞美上帝，很好。是时候了
Yasser：几天和纳吉，上帝愿意
母亲：上帝愿意
Yasser：吃他的母亲
母亲：哈吉，听到你
Yasser：
母亲：哦，这是有福的时刻
Yasser：哈哈哈
母亲：但是，她在哪里认识她，她的人民认识你，你好吗？
Yasser：.......
母亲：哦，嘿，是的，选择是原谅的，我的手是原籍女孩
Yasser：上帝很慷慨，但他是父的父亲，Keshi很容易，上帝愿意
母亲：olide宠坏了
Yasser：让他的母亲
母亲：上帝，你很安全
我禁止接触，我的母亲，我更加高兴，但是她以合理的头脑争论的技巧是什么。
我去亚伯拉罕（Abraham）作为D'或将在手机上唯一的笑声并笑的人。
易卜拉欣：画巴巴，你在追随你
Yasser：Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah，Ah，
易卜拉欣：上帝有我是一个年轻人，我的头是六十个运气...在他之后，他表演了朝j，并向他抬起眼睛
易卜拉欣：穆罕默德的女儿是什么。你们都爱你...我摇了摇头
Yasser：嗨，我的狗的女儿
易卜拉欣：哈哈哈，愿上帝赐予你成功，您将是您的分享，我不承担您的运气和他的众多。
Yasser：亲爱的，您会收到您的眼睛，但您会看到我害怕，他们不拒绝其人民，而上帝是那个在他们不想要它的世界上转向世界的人
易卜拉欣：ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser：ha -ha -ha -ha -ha -ha，我会去，我会做饭
易卜拉欣：从昨天的成长中起床。听你说，你会被屠杀。
Yasser：ha -ha -ha -ha -ha
易卜拉欣：男生和笑声
他的贞操完成了他的信件，我睡了。要完成故事，请订阅我的频道并继续活动"
1087,UgymX35nFIuZccorN2B4AaABAg,0,8 months ago,how do i dream of living somewhere in the mountains of china,我如何梦想住在中国山区的某个地方
2728,UgzJy69zf1U2QYnCPX14AaABAg,0,1 year ago,a dream life!,梦想的生活！
2797,UgyW3TzgDHrWwo2kBUR4AaABAg,0,1 year ago,this is my dream life,这是我的梦想生活
3153,UgyTH5djRCCPEkwrPAF4AaABAg,0,1 year ago (edited),"i understand the appeal of her videos because they portray an idealized version of a life that stopped existing for most of us generations ago. especially in china where so many have moved from these settings to cities where the jobs are. i can appreciate it while also realizing she is a multimillionaire with a production team behind her to make these things. they are far too professional for a rural woman with an iphone. just because she isn't some simple country girl and this is all staged doesn't mean it isn't wonderful to watch as long as you can separate the fantasy from the reality. the reality of rural life isn't a lovely dream; it's a hard life that most of us wouldn't prefer if we had to live it on a daily basis. she shows an idealized version of the good parts, which is fine for what it is: a fantasy for the cameras. american media does this, too. we elected a fool for president because of a reality show that portrayed him as something he is not.",我了解她的视频的吸引力，因为他们描绘了一种理想化的生活，这在我们大多数人几代之前都停止了。特别是在中国，许多人已经从这些环境转移到工作所在的城市。我可以欣赏它，同时也意识到她是一名千万富翁，在她身后有一个制作团队来制作这些东西。对于拥有iPhone的农村妇女来说，他们太专业了。仅仅因为她不是一个简单的乡村女孩，这一切都在上演并不意味着只要您可以将幻想与现实区分开来，这并不是一件好事。乡村生活的现实不是一个可爱的梦。如果我们每天必须过上它，这是我们大多数人不喜欢的艰难生活。她展示了优质零件的理想化版本，这对它的本质很好：摄像机的幻想。美国媒体也这样做。我们当选为总统的傻瓜，因为真人秀将他描绘成他不是的东西。
3356,UgwCVLh2wZ51dTaEJIF4AaABAg,0,1 year ago,"the dream is diyala, we live, so you have a simple, pure life in the arms of nature, lord, lord",梦是迪亚拉，我们活着，所以你在自然的怀抱中拥有简单，纯洁的生活
4786,UgzEnDkWA5nFFmBLZ7p4AaABAg,0,1 year ago,she lives our dreams with the woman sisi :),她与女人sisi一起实现我们的梦想:)
5379,Ugyu3-Up2hL3g-COfOJ4AaABAg.9OnzOkMC9qc9P50GST1HhD,0,1 year ago,hope your dream will come true in the future❤️,希望您的梦想在未来会成真❤️
5982,Ugyr_C7LNCtkM5fhWWl4AaABAg,0,2 years ago,girl of my dreams.,我梦dream以求的女孩。
5998,UgzM4ZVywINqA8lDGAV4AaABAg,0,2 years ago,no body is there only me with nature and animals that will be my dream,没有身体只有我的大自然和动物才能成为我的梦想
6655,Ugyc7JUBZyjuM-AnhGN4AaABAg,0,2 years ago,"this is really like a dream just try and compare how a real farmer's 
life really looks in china nothing like that in reality but yes it is a 
nice dream :)","这真的就像一个梦，只是尝试比较真正的农民的
实际上，生活在中国确实没有什么像这样的事实，但是是的，这是一个
好梦 ：）"
7620,UgzgTqP-mDGd0TFa2fR4AaABAg,0,2 years ago,why i watch your videos. it is very feel and nice dream .good luck,为什么我观看您的视频。这是非常感觉和美好的梦想。运气好
8964,UgzDAwjBngMMDOza7pl4AaABAg,0,2 years ago,"girl i really envy u... your home is like a dreamland for me... 
the life i always wanted to live, u live that life.","女孩，我真的很羡慕你...你的家对我来说就像一个梦之地...
我一直想生活的生活，你过着那个生活。"
9399,UgwzCfhI50YYNvIBilJ4AaABAg,0,2 years ago,seems like u live in a dreamland❤️,好像你住在梦境中
10353,UgxnBeRmUMNtCEcKUGN4AaABAg.9G9Lw4ZoXlu9HH5FBFBr92,0,2 years ago,"letโ€s hope :c
living in the countryside of china is a literal dream","希望：c
生活在中国的乡村是一个真实的梦想"
16249,UgzdRWrzFCfe1atDNsl4AaABAg,0,3 years ago,so life! like in a dream,所以生活！就像在梦中一样，一切都很完美！
10354,UgxjGX6w5_3JpJ9V1nF4AaABAg.9G8fTVXG7GD9GKTIPGMzbm,0,2 years ago,@abba092 let me have a dream again,@abba092 再让我做一会儿梦
10737,UgzhhWFOkpAgudpZiG54AaABAg,0,2 years ago,a dream coming true,梦想成真
10738,UgzhzkGkG4PsdGbxar54AaABAg,0,2 years ago,i always wanted to live there itโ€s like a dream,我一直想住在那里，就像一个梦
10862,Ugwi3bTl-4SBZbXD9VJ4AaABAg,0,2 years ago,my new dream is to see her and taste her food.,我的新梦想是见她并品尝她的食物。
11423,Ugx-16jALy2o9OTTwJp4AaABAg.9Ed5FwDIUeF9EkgkVAdqXx,0,2 years ago,"sorry if she offends, but she does not know english. but i can help you, write better: iโ€m dreaming from these videos, your the best, maybe you donโ€t read comments ... but your the back ...",抱歉，如果她得罪，但她不知道英语。但是我可以帮助您，写得更好：我正在从这些视频中做梦，您最好的，也许您是Donolt阅读评论...但是您是最好的...
11996,Ugw16XI1fn5tbDnqN3x4AaABAg,0,2 years ago,"you have my dream life,watching your videos is like meditation for me๐น",你有我梦dream以求的生活，看你的视频就像我的冥想
12418,UgzBEtlNfPw0dgLSmHV4AaABAg,0,2 years ago,"you are really good, your life a lot of people dream. and i also wish to have life like you, simple and happy.",您真的很好，您的生活很多人都梦想着。我也希望像您一样过着简单而快乐的生活。
12900,UgzEP0dSi9fYvR8tXCR4AaABAg,0,2 years ago,my dream place to visit:liziqui's hometown,我梦dream以求的地方：丽兹基的家乡
14052,Ugy1BoLREgDnic_ECd54AaABAg,0,2 years ago,whats so unusual is to watch her cook and she does the same reciepes that we do and it being a different country it's amazing and i absolutely love the animal involvenent. this is just a dream vacation ( in the mind),看到她的厨师和我们做的相同的收获，这是一个不寻常的事，而且它是一个不同的国家，这真是太神奇了，我绝对喜欢动物所涉及的动物。这只是一个梦想的假期（在脑海中）
14970,UgzWPDlqWWQI1GmDyaV4AaABAg,0,2 years ago,"this is a dream, if it is true",如果这是真的，这是一个梦
