,cid,votes,time,含woman,含woman中文翻译
37639,UgwGR_0YaXTf76rv9nJ4AaABAg,2,4 years ago,"o my god, everything is so so so so perfect this woman are amazing",天哪，一切都如此完美
51268,UgzI831i3irtE8a4DJl4AaABAg.8qlXz0bsujW8qliN8ZRFUk,2,4 years ago,she is such an amazing woman! the man who marries her will be as lucky as a whole field of four leaf clovers!,她真是个了不起的女人！结婚的人将像四叶草的整个田野一样幸运！
49011,UgxEsk6FRnKVRFLQgc54AaABAg,2,4 years ago,"happy chinese new year from the florida keys!!!!'m a rooster...lol...you are a superwoman, preparing all that!!!",佛罗里达钥匙的农历新年快乐！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！候）
31902,UgwZKEuHzxgaoh1Wfex4AaABAg,2,4 years ago,everything this woman does is art! love all the multigenerational love too! amazing,这个女人所做的一切都是艺术！也爱所有多代的爱！惊人的
24614,UgwySOhBpxPearyX4d94AaABAg,2,3 years ago,"if you marry a woman like that, my life is already successful.",如果您嫁给一个这样的女人，我的生活已经成功。
31881,UgwgryUlTCZvVSp2RAh4AaABAg,2,4 years ago,a woman who can do it!,能干慨女人!
31752,Ugzed-M2hjC-6YZSZPB4AaABAg.8w4oDA-v0Vt8wk6K9ypdT_,2,3 years ago,jovani kimble iโ€m saying!!!! i need me a woman such as her. lol absolutely my favorite place on youtube also.,Jovani Kimble我说的！我需要一个像她这样的女人。大声笑也绝对是我在YouTube上最喜欢的地方。
43259,UgyH4EJzua1DPw0EQeh4AaABAg,2,4 years ago,she makes her own snacks and jerky like talented can this woman get!?,她自己做零食，就像才华横溢的那个女人能得到！？
48662,UgxO5xURd6JZzLOpPBN4AaABAg.8qmeC3Lx1YV8tpZPxzoQB3,2,4 years ago,because of this im married with an oriental woman. ocidental women are lazy and want only money and easy life. also wants to compete with men. not women anymore,因为我已经与一个东方女人结婚。杀人妇女懒惰，只想要钱和轻松的生活。也想与男人竞争。不再是女人了
31734,UgwbFf7PAPBePkqL4Xx4AaABAg,2,4 years ago,when woman start cooking they look more beautiful๐๐’“,女人开始烹饪时看起来更漂亮
31485,Ugx45WaUplnOKtWmMUt4AaABAg,2,4 years ago,"this woman is hard working.
#respect","这个女人很努力。
＃尊重"
43344,UgxylvOA7yK-yug573R4AaABAg,2,4 years ago,"wonderful video you are a very diligent woman, all your products look delicious, i entrust all my respects to you.",精彩视频你是一个非常勤奋的女人，你所有的产品看起来都很美味，我把所有的敬意都委托给你。
23292,Ugxs5FkAwG-wq3532b14AaABAg,1,3 years ago,the perfect woman exists โฅ๏ธโฅ๏ธโฅ๏ธ,完美的女人存在♥谢♥谢♥♥
21673,Ugw8s75bMHfgmoYSs294AaABAg,1,3 years ago,i'll definitely like to spend most of my life with this woman,我一定想和这个女人一起度过一生
22228,UgwEOx3Kjm0cj-gzKB54AaABAg,1,3 years ago,a real woman right there. not going to lie it looks amazing over there,一个真正的女人就在那里。不撒谎，那边看起来很棒
21368,UgzUGC_CTl1yXYODrxN4AaABAg,1,3 years ago,the hard -working and kind woman is the most beautiful! guiqiu: please be my wife!,勤劳善良的女人最美！跪求：请你成为我的妻子！
21296,UgysWojmq681xn7XVZx4AaABAg,1,3 years ago,oh! i really love this woman,哦！我真的爱这个女人
26000,Ugzx7gCYTJk9HbyWGHp4AaABAg,1,3 years ago,"if this woman ever makes a cookbook, i would be one of the first ones to buy it. so relaxing ๐",如果这个女人曾经制作一本食谱，我将是最早购买它的食谱之一。所以放松
25744,UgwVvi6VMvloIniszht4AaABAg,1,3 years ago,"wow! your awesome, all of your videos i watching because your so beautiful and i like you. i am beginner vlogger her in the philippines, i have 2 subscriber only for 1month but i still fighting and i always filming my videos to upload in my youtube channel.
good job li ziqi your the best cooking master woman..i love you ๐","哇！您很棒的所有视频，我看的所有视频是如此美丽，我喜欢您。我是菲律宾的初学者vlogger，我只有2个订户，但我仍然战斗，我总是在拍摄视频以在我的YouTube频道上载。
好工作李Ziqi你最好的烹饪大师女人..我爱你"
22120,UgxBVh5GSTzJnepl3MB4AaABAg.9349BorE-pI934L2Ew7sz-,1,3 years ago,arthur huynh lol! i was thinking the same thing. she seems to be a master crafts woman in many fields!,Arthur Huynh哈哈！我在想同样的事。在许多领域，她似乎是一名大师手工艺女人！
48086,UgwW-H5HIU1agEdAJUh4AaABAg,1,4 years ago,this woman is perfect,这个女人很完美
22933,UgyANqJLB--OjMXYyPR4AaABAg,1,3 years ago,it's a wonderful woman!,真乃奇女子！
25034,UgziSZM7GgwO6EPOWQl4AaABAg,1,3 years ago,she is the real chinese woman,她是真正的中国女人
27105,Ugy47nhqEG9OBr-jHXB4AaABAg,1,3 years ago (edited),"i feel alive watching your videos, whenever i'm off mood..โบ๏ธ you are a perfect woman when compared to the girls of this generation...",每当我心情不好时，我都会活着观看您的视频。
52070,Ugz40hmZjKn5S7XSh6F4AaABAg.8qlPPBK_nqb8qlZngpesZq,1,4 years ago,"yes, if it was a muslim woman. the china government is very unjust to muslims in china.",是的，如果是穆斯林妇女。中国政府对中国的穆斯林非常不公正。
31601,UgzBnSBo2fLsu-wiri94AaABAg,1,4 years ago,i love your videos so much!!!๐ฅฐ๐ค— you are so beautiful chinees woman.,我非常爱你的视频！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！则
27559,Ugy4rrKHmsbODkmnBBR4AaABAg,1,3 years ago,"the man who marries this woman wins the lottery. he knows how to do everything, i have seen another video of her making a formidable bamboo furniture. i'm going to live in china, i find her and i do my wife, ha ha ha .....
(barranquilla - colombia / friday, august 30, 2019).
--------------------------------------
the man who marries this woman wins the lottery. she knows how to do everything, there i have seen another video of her making a formidable bamboo furniture. i am going to live in china if i have found it and i make it my wife, ha .....
(barranquilla - colombia / friday, august 30, 2019).","与这个女人结婚的男人赢得了彩票。他知道如何做一切，我看过她制作强大的竹具的另一个视频。我要住在中国，我找到了她，我做我的妻子哈哈哈.....
（Barranquilla-哥伦比亚 / 2019年8月30日，星期五）。
------------------------------------------------------
与这个女人结婚的男人赢得了彩票。她知道如何做所有事情，在那里，我看过另一个她制作了强大的竹作家具的视频。如果我找到了它，我将住在中国，而我成为我的妻子，哈.....
（Barranquilla-哥伦比亚 / 2019年8月30日，星期五）。"
36155,UgwqUEN0V_LEFyN5PZl4AaABAg,1,4 years ago,"who is rodrigo hilbert near this woman, guys?! wonderful!!!!! โคโคโค",伙计们，罗德里戈·希尔伯特（Rodrigo Hilbert）是谁？精彩的！！！！！ ❤❤❤
37736,Ugz64I9W6xhIGTuTN_94AaABAg,1,4 years ago (edited),a woman for marry,一个女人结婚
37864,UgwTWRrJuZOWCAKDBFp4AaABAg,1,4 years ago,"holy shittttt, what kind of a charmed life does this woman lead and how do i join in",神圣的shitttt，这个女人带领什么样的迷人生活以及我如何加入
38058,Ugxt6bTga-46jUULIU14AaABAg,1,4 years ago,this woman is absolutely amazing,这个女人绝对很棒
38157,UgyP-8vBvOXFka_-kRN4AaABAg,1,4 years ago,does this amazing woman ever relax?,这个了不起的女人会放松吗？
38161,Ugyy3dyAkZD2HUHwyHh4AaABAg,1,4 years ago,the perfect woman does not exis... wait.,完美的女人不易于体现...等等。
38627,UgzLsfWhfAh-os8v8Jt4AaABAg.8tQgtT-5X9m8twmc6Tz9nw,1,4 years ago,maybe the downvoters are people who just realised what a miserable life they are leading compared to this amazing woman.,也许下降者是那些刚刚意识到与这个神奇的女人相比，他们所过的悲惨生活。
44065,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rTZzPXNE3S,1,4 years ago,@nataliatano also woman,@nataliatano也是女人
39086,UgxLAdBCd4vLH3g9MGl4AaABAg,1,4 years ago,what a beautiful supermaric woman ๐’“,多么美丽的超级女士
39855,UgxJCCO2ZuHYuOJdZQ14AaABAg,1,4 years ago,"such a talented and hard working woman, i hope your passion for all that you do never fades",如此有才华和努力的女人，我希望您对自己永远不会消失的一切热情
39870,UgyO3Z2tzQA_VEFvmVN4AaABAg.8shk39nVVMk8st-hYOplu2,1,4 years ago,"i love this woman, she is worthy of admiration. i call that female empowerment !!!",我爱这个女人，她值得钦佩。我称那个女性赋权！！！
43649,UgyVlgIWjqoF7xWlCGp4AaABAg,1,4 years ago,"you are a very beautiful and diligent woman, i hope there is a wife like you.",你是一个非常漂亮和勤奋的女人，我希望有一个像你这样的妻子。
40088,UgymkvrfMZtWtgpSMK54AaABAg,1,4 years ago,such a hardworking young woman! i admire her. and all those food she cooked looked amazing! drooled for the snowflake squares :-p~,如此勤奋的年轻女子！我钦佩她。她煮熟的所有食物看起来很棒！为雪花正方形流口水：-p〜
40234,Ugz5_enWWZcGow8de4R4AaABAg,1,4 years ago,a beautiful hard working woman i stan,我Stan的一个美丽的勤奋女人
40334,UgzTNOeophkJCvY0Clp4AaABAg,1,4 years ago,what beautiful simple life far away from technoligie what beautiful chinese woman in this beautiful nature omg i want chinese wife,远离技术的美丽的简单生活，在这个美丽的大自然中，什么美丽的中国女人我想要中国妻子
43399,Ugyxoj3DjvZutsvv_494AaABAg,1,4 years ago,"if ever get married, i'm like something like her. haha. i can't be the only one.
miss li, if i want to find an object one day, i want a woman like you. ha ha","If ever I get married, I'd like someone like her. Haha. I can't be the only one.
李小姐，如果我有一天要找到对象，我要一位像妳那样的女人。哈哈"
40793,UgwMJ83s51RToocxG9h4AaABAg,1,4 years ago,i can do the magical woman who exists at the same time as wen qing. i like background music nicely,能干跟文青同时存在的神奇女子 我喜欢 背景音乐好听
40800,Ugwr9Jc1Tsk2rS4mRDB4AaABAg,1,4 years ago,reminds me of when i used to cook with and have snacks with my grandma. she was always a sweet loving woman.,让我想起我何时和奶奶一起做饭并吃零食。她一直是一个可爱的女人。
42072,UgyJaSt5aC9KuAGL79N4AaABAg,1,4 years ago (edited),"never seen such a cute, focused, capable and determined woman before.. i've been watching several of these videos now and every one she is just nonstop and efficient. doing everything with expert skill and speed",从来没有见过如此可爱，专注，能力和坚定的女人。.我现在一直在观看其中几个视频，而她只是不停和高效的每个视频。以专家技能和速度来做一切
42242,UgxflpL3Sked7zJDYYx4AaABAg,1,4 years ago,real woman,真正的女人
37367,UgxYaYuVplenZA3rlLp4AaABAg,1,4 years ago,the nerve of this woman to make me feel so useless lol,这个女人的神经让我感到如此无用的哈哈
35738,UgyieLSkPn1PIdUBTl94AaABAg,1,4 years ago,"woman fire everything is in her hands
every man is glad of such a mistress
have a capital letter in wives
and if in years then in the daughter -in -law or daughters","女人解雇一切都在她手中
每个人都为这样的情妇感到高兴
有一个妻子的大写字母
如果在几年里，那么在女儿-in -law或女儿"
27562,UgxkTHYCkse2dc42jJl4AaABAg,1,3 years ago,she deserves the title of best woman โค๏ธ,她应该得到最好的女人的头衔❤️
35652,UgyQDtuoq3N9RQ1FGBh4AaABAg,1,4 years ago (edited),"how did i even got here, and why is this woman living the perfect life?",我什至是怎么来到这里的，为什么这个女人过着完美的生活？
48070,Ugz0GqsjDSCkozgV8uh4AaABAg,1,4 years ago,i like this video because she is a good woman.,我喜欢这个视频，因为她是个好女人。
28251,UgzpIcFsFhTH0oNlW7l4AaABAg,1,3 years ago,very hard to find woman like liziqi who are smart strong clever,很难找到像Liziqi这样聪明聪明的女人
28429,Ugx4g5TfUZwvR0uc4lJ4AaABAg,1,3 years ago,i really 1 such a type of woman as my wife,我真的1这样的女人像我的妻子
28656,Ugz3e-YjpIGTZiNTD194AaABAg,1,3 years ago,u r a superwoman,你是一个超人
29028,UgzvJtXD0BH3nFwcgrV4AaABAg,1,3 years ago,"what a smart woman! and the handles are gold. i have cooked so many goodies .๐๐๐. it was very interesting to watch. the products are all familiar, but the dishes are very beautiful and, i am sure that tasty. far from the beauty, success to you in everything. ๐๐โคices. greetings from moscow, from russia.",多么聪明的女人！手柄是黄金。我煮了很多好东西。观看非常有趣。这些产品都很熟悉，但是菜肴非常漂亮，我敢肯定那很美味。远离美的美丽，在所有事物中取得成功。来自莫斯科的问候，俄罗斯。
30271,UgwvIhokiNz7B4Q8FrZ4AaABAg,1,3 years ago,"thatโ€s it iโ€m moving to china. chestnuts and mango in winter? iโ€m missing out!!!!!! beautiful woman too, hard work always gets the best results. amen ๐๐ป.",就是这样，我要搬到中国。冬季栗子和芒果？我错过了！美丽的女人也是如此，辛勤工作总是会取得最好的成绩。阿们
30598,UgxZRGEUfCHlRdf3EvJ4AaABAg,1,3 years ago,this woman is so skilled at everything~,这个女人在一切方面都很熟练〜
30837,UgylXPyeoRTCbd6Ga2V4AaABAg,1,3 years ago,the stonger woman,stonger的女人
30897,UgyNtshbYHrFlQhBsEd4AaABAg,1,3 years ago,....this woman is amazing beyond belief....,....这个女人令人惊奇地信仰....
31038,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLiaUhOiPo,1,3 years ago,"@mergistribu like i said you don't see everything and she's obviously a busy woman. i am just stating what is right. also if you are indeed older, well that'd be awkward. i guess some people mature much later than others ๐คทโ€โ๏ธ the unnecessary hate you give won't make a difference but will just backfire on you later on... just saying. anyways, have a nice day! โบ๏ธ๐",@mergistribu就像我说的那样，您看不到一切，她显然是一个忙碌的女人。我只是在说什么是正确的。另外，如果您确实年纪大了，那会很尴尬。我想有些人比其他人晚得多
31368,UgyhQkzRL39RY3Yh-Tl4AaABAg,1,3 years ago,yalky of a wonderful woman,一个很棒的女人的Yalky
31853,UgzCnEqb5ZzM_uAYjLB4AaABAg,1,4 years ago,you are such a hardworking beautiful woman.,你真是个勤奋的美丽女人。
31927,UgwkNB79kD87gl2qFrh4AaABAg,1,4 years ago (edited),this woman and her family are a goddamn national treasur. never change,这个女人和她的家人是一个该死的国家财政部。从不改变
46581,UgyZKLANMDq2uctGTll4AaABAg.8qt6fMEP0wz8qwtyk6A9yO,1,4 years ago,such a woman is only available in heaven. few worldly men are worthy. even if you.,这样的女子天上才有。没几个世俗男人配得上。你就算了。
33883,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd494alYp1fjzc,1,3 years ago,"i want to be that woman
to have that farm 
and to do my own things 
but i have extreme phobia of bugs 
but learning how to do the foods and the clothes/warm thingys that she makes would be amazing","我想成为那个女人
拥有那个农场
并做我自己的事情
但是我有虫子极端的恐惧症
但是学习如何做食物以及她所做的衣服/温暖的东西会很棒"
45831,UgyB3SHbqs3cDlFo59R4AaABAg,1,4 years ago,need to date a chinese woman asap ...food is the best way to enter a man's heart .... :),需要尽快和一个中国女人约会...食物是进入男人心脏的最佳方法.... :)
45592,UgwOWD5_vlN6rEfuBKV4AaABAg,1,4 years ago,"i actually saw xiao yan here, an omnipotent woman, my idol",居然在这里看到小柒，一个无所不能的女子，我偶像啊
34519,Ugw5_bubFr3hq2_FwLp4AaABAg,1,4 years ago,"if i got this woman as a girlfriend, i love to die.",如果我把这个女人作为女朋友，我喜欢死。
35156,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-93XpGTxSAla,1,3 years ago,@therewasnochill8997 i think you need to watch more of her videos. she is a very educated woman and a filmmaker. but instead she chose to live this life where she can do everything she wants to do and for free. that's how life suppose to be freedom not indebt for the rest of your life.,@the When Waywasnochill8997我认为您需要观看更多她的视频。她是一个受过良好教育的女人，也是电影制片人。但是，相反，她选择过这种生活，在那里她可以做自己想做的一切和自由。这就是生活应该成为自由的方式，而不是您一生的余生。
30491,Ugy3FH8j7uSnflmGM5F4AaABAg,1,3 years ago,already pretty good at cooking a woman's ideal woman really,真的很擅长烹饪一个女人的理想女人
52979,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlKR449uLw,1,4 years ago,"i want to live with her in the past. i am a woman, but i am much larger than her.",我是想过去和她一起生活，我是女的，只是比她大很多。
14111,UgwADWeYDU3usj8YpzR4AaABAg.9B2oZO_mhJG9B6LWkIgmgk,1,2 years ago,"whoever she marries, woman or man, i simply hope they treat her right.",无论她结婚，女人还是男人，我都希望他们对待她的权利。
4250,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9U8jP6i1CK9,1,1 year ago,"she and the super woman.
you can believe it.","她和超级女人。
你可以相信。"
13726,UgwSoh2j6w6UWyDkP_h4AaABAg,1,2 years ago (edited),"you are so busy making f00d for yourself and granny......
but your puppy has his bones sticking out on his rib-cage.
take better care of your animals, woman.
feed them more!","您是如此忙于为自己和奶奶制作F00D ......
但是你的小狗把他的骨头伸到肋骨上。
更好地照顾您的动物，女人。
喂他们更多！"
5183,Ugx3qdS6XXJ7HnKSPk14AaABAg,1,1 year ago,"i'm a simple woman, i saw the sheep so i clicked",我是一个简单的女人，我看到了绵羊，所以我点击了
1870,UgwubblQRUIRTzOMa6x4AaABAg,1,1 year ago,"i would like to go and see her and help her in these days. for example, i would just like to stay behind her to carry her bag. frankly, i will be able to leave everything in france for this girl, and it's rare that i say that. but his way of life and his sweetness, it would put any man. above all, that she does not change like the women we have here. with us, they prefer rich men, even if they get hit on the mouth every night. as long as they have the banking card of the rich guy to make the big shops and spend their money, they would even be ready to accept the worst. serious, this kind of woman really has all my respect.",我想去看她并在这些日子里帮助她。例如，我只想留在她身后携带她的书包。坦白说，我将能够将所有东西留给法国，为这个女孩，我很少这样说。但是他的生活方式和甜蜜的方式将使任何男人都放在。最重要的是，她不会像我们在这里拥有的女人那样改变。即使他们每天晚上都会被撞到嘴，他们也喜欢有钱人。只要他们拥有有钱人的银行卡来赚大商店并花钱，他们甚至准备好接受最坏的情况。认真的，这种女人确实得到了我的全部尊重。
18294,Ugx6pB3uDvfnbv51ka54AaABAg,1,3 years ago,super woman,超级女人
18139,UgyKM3U0u1XGiTGefNd4AaABAg.97Hqv7SaFeC981jTqTumVB,1,3 years ago,some perfect woman! it happens?,一些完美的女人！它发生了吗？
5314,UgwHpgVVfWxNz8ZhuEF4AaABAg,1,1 year ago,you are amazing woman,你是很棒的女人
1932,UgyNhBs5IgBoxc_K0wp4AaABAg,1,1 year ago,what a smart woman! what a wonderful girl !!! ❤,多么聪明的女人！多么美好的女孩！！！
13943,Ugws8OCYLfXe-ytDW3R4AaABAg,1,2 years ago,today i first time joined your channel nice work and strong woman,今天，我第一次加入您的频道出色的工作和坚强的女人
15805,UgwgOcWN8agPdd7diAJ4AaABAg,1,3 years ago,the perfect woman doesnt exis...,完美的女人没有exis ...
6066,UgyXB8jHD6D2LYEos414AaABAg.9N0-MBCzQbv9OydAoSw9rg,1,1 year ago,"i'm happy too, giorgio! this woman is fantastic!",我也很高兴，乔治！这个女人很棒！
11549,UgxmpATRadQUSXbkt_B4AaABAg,1,2 years ago,"wow! super woman... so efficient... she and her family will never go ๐ hungry!
does she ever stop๐ค”. i get tired just watching her preparing and prepping food 
all day long๐…. the food always looks so delicious and professionally prepared. 
thankyou for inviting us into your living space๐๐ป","哇！超级女人...如此高效...她和她的家人永远不会饿！
她曾经停下来吗？我只是看着她准备和准备食物就很累
一整天。食物总是看起来很美味和专业准备。
谢谢您邀请我们进入您的生活空间"
12041,UgzJZG2vLybJQpMD6BZ4AaABAg,1,2 years ago,"luiz, you are a well -working young woman, i like what you do, great teaching i take with your videos.",路易斯，您是一个工作良好的年轻女子，我喜欢您的工作，我在您的视频中进行的教学很棒。
14151,Ugx3qBABVgN73wLxwNt4AaABAg,1,2 years ago,"unexpectedly, the all -round talent is a woman ... in a picture -like landscape ... cute dogs ...",在不切实际的情况下，全能的天才是一个女人...在图片中 - 像景观一样...可爱的狗...
11892,Ugz9Sc2y743L3QlFA7l4AaABAg,1,2 years ago,a woman full of positive energy!,充满正能量的女人！
18579,UgweceIlhVSkdmJL0dN4AaABAg,1,3 years ago (edited),"li ziqi, that is what i call natural. you are a natural beautiful woman who does natural things from the scratch. i also like the relaxing music which even makes your videos extra special and more enjoyable. thanks",李齐（Li Ziqi），这就是我所说的自然。您是一个天生美丽的女人，她从头开始做自然的事情。我也喜欢轻松的音乐，甚至使您的视频更加特别，更有趣。谢谢
7644,UgyAMAXFdtOGZ-YAXyV4AaABAg,1,2 years ago,a truly magnificent woman,一个真正宏伟的女人
5126,UgytiP5gBZ8xuhA-tEB4AaABAg,1,1 year ago,"restaurants of the party are resting 
how much i watch her videos, as a documentary 8, and i think this is the real woman, well, just perfect .... everything can or almost everything","聚会的餐馆休息
我看着她的视频有多少，作为纪录片8，我认为这是真正的女人，好吧，完美。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ♥这是应该给予奥斯卡的人。"
8334,Ugx5qzuk13pwyPvvWGZ4AaABAg,1,2 years ago,wow 81million views and counting....no doubt and we'll deserved..she's a superwoman,哇8100万的观看次数和计数....毫无疑问，我们应得的。
346,Ugwur2bywipERwRZnZB4AaABAg,1,2 months ago,a woman with a thousand men,一个有一千个男人的女人
8555,UgxVxMEw5udMSCRWOa94AaABAg,1,2 years ago,the universal woman <3,普遍的女人<3
14391,UgxvyMSzge8FOcBmUmt4AaABAg,1,2 years ago,i don't really like to cook but i like watching this young woman. her work ethic is inspiring. i hope that she gives all that food away and not trash it. it's not possible that she and her grandma eat all that. lol but i really enjoy li's videos.,我真的不喜欢做饭，但我喜欢看这个年轻的女人。她的职业道德令人鼓舞。我希望她把所有的食物都放弃，不要垃圾。她和她的祖母不可能吃掉所有这些。大声笑，但我真的很喜欢李的视频。
10093,Ugz9teFE6G-_fbzLTEV4AaABAg.9GS8QbE7mJ29GnVhRB-WHD,1,2 years ago,@tubaamirichannel6890 you obviously didn't follow her when she was starting. pathetic jealous woman.,@tubaamirichannel6890您显然在她开始时没有跟随她。可悲的嫉妒女人。
3035,Ugy3yQB7oBJMqxILu-d4AaABAg,1,1 year ago,the most beautiful woman i've seen.,我见过的最美丽的女人。
41443,Ugw0hiL7B1S79TA_N0p4AaABAg,0,4 years ago (edited),"once a young peasant woman with her sheep and wolfhound rangers gathered snails and shaggy zholudi in a bamboo forest, to make a stew with cakes and zifir and chopped with pastille .. then praised the whores with butter, weld and i realized that she was cool finally ..",曾经是一个年轻的农民女人和她的绵羊和狼狗游骑兵在竹林里聚集了蜗牛和蓬松的Zholudi，用蛋糕和Zifir炖了炖肉，并用俗气切碎。最后 ..
40192,UgzsHhJWV9r2ZOR48yV4AaABAg,0,4 years ago,i admire you a lot. you are an extremely talented woman. i love watching your videos. your country is very blessed there are many fruits. and they have large crops.,我非常佩服你。你是一个非常有才华的女人。我喜欢看你的视频。您的国家非常幸运，有很多水果。他们有大农作物。
40038,UgxG80g5j5HZZeg2wxZ4AaABAg,0,4 years ago,dude... this woman is so... wow,杜德...这个女人是如此...哇
40013,UgxtOm8RhB_VW-WMOZN4AaABAg,0,4 years ago,thailand has complained like a woman.,泰国像一个女人一样抱怨。
6047,UgytdVkZlZoC5McDRbp4AaABAg,0,2 years ago,i think that the a legacy is the most beautiful woman in the world because it was so peace. so warm and so beautiful.,我认为遗产是世界上最美丽的女人，因为它是如此和平。如此温暖，如此美丽。
39989,Ugwhx2zUfQNm853QvPt4AaABAg,0,4 years ago,real woman here...the other they only how to post pictures,真正的女人在这里...另一个他们只是如何发布图片
41484,Ugwp8yVi363GkEk96r54AaABAg,0,4 years ago,this woman is impressive. my admiration has it.,这个女人令人印象深刻。我的钦佩有。
6363,UgyEefz8-WqGd8f-fyR4AaABAg,0,2 years ago,ayyy what did this woman do?,ayyy这个女人做了什么？
39965,UgzZZkKm_8qa9Je2h094AaABAg,0,4 years ago,this woman could feed you almost everything even though she lives very far from the cities.,即使她远离城市，这个女人也可以养活几乎所有东西。
39964,UgwZUrRqKZYj4fejDMh4AaABAg,0,4 years ago,"wow, you are a hard working woman",哇，你是一个勤奋的女人
39946,UgwmcjQqwx9sYKoymQB4AaABAg,0,4 years ago,i like your video your hardworking woman i like your puppy ๐ถ โค๏ธ๐,我喜欢你的视频你勤奋的女人，我喜欢你的小狗
41492,UgwjfyCwlxlwm72LzMZ4AaABAg,0,4 years ago,she’s superwoman,她是女超人
6430,UgxZhWahXDhEER51WAt4AaABAg,0,2 years ago,she very inspirational living in country side and very creative woman. now a day.not many women can work in a farm and climbing up hill.,她生活在乡村方面和非常有创造力的女人。现在一天。没有许多妇女可以在农场工作并爬上山上。
6473,Ugyb_2h_8-rycltmnYF4AaABAg,0,2 years ago,the woman is very amazing ♥♥,女人非常了不起♥♥
6514,UgyJyyKcgJp_QHpdfxx4AaABAg,0,2 years ago,"common
although he knows that he is chinese culture, history, characters
actually not china

confucius-not han but dongyi people
start with the name of my father
mongolian
the landlord of lu was also a country of dongyi people.

2. chinese characters -the initial yin dynasty period
the dongyi ethnic group created.
and in the history of mainland china
is used by the ruling class
most of the ruling class
the dai/northern ethnic series,
most of the han nationality
he is the ruling class and does not know chinese characters.
so compared to chinese characters
oriental text is more suitable for this sentence.

3. invention of paper
dongyi

4. gariotherapy
jin chao zhen

5. milan -northern wei dynasty
beiwei is the country of xianbei.
now the mongolians may
the ancestors of indigenous people.
original woman
those archery of archery riding archery
the culture that the han people can't see,
evidence of the northern nation.

6. mutton skewers
northern nation catching goat,
sometimes holding the sheep on the sign
the culture of being eaten is also culture
it is not the culture of the han nationality of the farming nation.

7. hot pot
the northern nation is riding on horseback,
to quickly solve the problem of eating
pickled the pickled lamb slices
in the community soup called dongfu
the influential culture,
not han culture.

8. fried sauce noodles, sweet and sour meat
food produced by the qing dynasty.
therefore, it is manchu culture,
not han culture.

9. cheongsam
qing dynasty culture. not han culture.

10. origin of pasta
the yuan dynasty's uygur
seeing ragman's italian
learn to use them to use them
after seeing chinese pasta in italian noodles
said it, but fabricated.

11. qin shihuang
northern nation

dumpling -originated in central asia

pass the country of buddhism
-it is the northern wei dynasty of the xianbei people, not china.

then, then
real chinese culture
1. pool oil
2. fake milk powder
3. fake squid
4. chemicals eggs
5. can inhale particulate matter
6. coronary virus
7. mouse shit pepper noodles","常见 
虽然知道他是中国文化，历史，人物 
其实不是中国的东西 

孔子-不是汉族而是东夷族
从父亲的名字开始 
蒙古裔 
出身地鲁国也是东夷族的国家。

2. 汉字 - 最初的殷朝时期 
东夷族所造就的。
而且在大陆历史上 
是统治阶级使用的文字
统治阶级大部分 
侗族/北方民族系列， 
汉族大部分 
他是被统治阶级，不知道汉字。
所以比起汉字 
东方文字更适合这句话。

3.纸的发明
东夷 

4. 火药
金朝女真 

5. 米兰 - 北魏出身
北纬是鲜卑族的国家。
现在蒙古人或
土著人的祖先。
当初女人 
骑马射箭的那些射箭的
汉族身上看不到的文化， 
北方民族的证据。

6. 羊肉串
北方民族赶羊群，
有时抓着羊在签子上
被串着吃的文化也是文化
不是农耕民族汉族的文化。

7. 火锅
北方民族骑马行走，
为了快速解决吃饭问题
把腌制的羊肉片儿 
在叫做冬福的小区汤里
被浸润的文化，
不是汉族文化。

8.炸酱面，糖醋肉
清代出品的食物。
故是满族文化， 
不是汉族文化。

9.旗袍
清朝文化。不是汉族文化。

10.意大利面的起源
元朝维吾尔族的 
看到拉格曼的意大利人
学着学着用他们地方式
是意大利面 看到中国的面食后 
说是做的，却捏造了。

11. 秦始皇
北方民族出身 

饺子 - 起源于中亚 

传播佛教地国家
-是鲜卑族的北魏，不是中国。

.
真正的中国文化
1. 便便油
2. 假奶粉
3. 假鱿鱼
4. 化学物质鸡蛋
5. 可吸入颗粒物
6. 冠状病毒
7. 老鼠屎辣椒面"
