,cid,votes,time,含feel,含feel中文翻译
22894,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-YRBpSxpjg,1,3 years ago,i was so happy and motivated watching her videos and everything got ruined reading the comments because some people feel the urges to offend for free...as always. i just don't understand you people...relax please.,我很高兴和有动力观看她的视频，所有的事情都被毁了，因为有些人觉得自己像往常一样觉得自己要免费冒犯。我只是不了解你们的人...请放松。
14919,UgwlAl3Qa6O9oVwLo5N4AaABAg,1,3 years ago,she makes us all feel so inadequate..who agrees,她让我们所有人感到如此不足..谁同意
22587,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-CXcZGWE-z,1,3 years ago,"@choink2558 yes indeed...you know as brazilian is really complicated...i. remember when i went to college by walking in manaus/amazonas i used to have my earphones as louder as possible just to not listen disrespectful words towards me, we feel like an object ...some men talk like we are rude if we don't pay attention to their stupid words,here in north brazil the most part of men are really rude,disrespectful,stupid about the way they treat women...brazil has a long way to change many things in our society... we have many rights which is nice... but we need more we deserve more! ❤",@choink2558是的，确实...你知道巴西人真的很复杂...我。请记住，当我上大学时，我曾经在马纳斯/亚马逊群岛上行走时，我曾经让我的耳机尽可能响，只是不听我的不尊重的话，我们觉得自己像个对象……有些人说话，就像我们不去的话一样粗鲁t注意他们愚蠢的话，在北巴西，男人的大部分人真的很粗鲁，不尊重，愚蠢的对待女人的方式……巴西有很长的路要改变我们社会的许多事情……我们有许多很好的权利...但是我们需要更多我们应该得到更多的权利！ ❤
29926,UgwXRqEEOe7eVt4RXxZ4AaABAg,1,3 years ago (edited),"i feel like the carpenters’ song is playing in the background: ”why do birds suddenly appear...every time you are near. just like me, they long to be...close to you.” that is when my heart aches even though seeing you makes me happy, too.

back to the foods...after all this is your food channel...they all look so good, i wish i’d get to have some. and when you slurp on the noodle soup and suck on that snail, i can only","我觉得木匠的歌在背景中播放：“为什么鸟突然出现……每次您都在附近。就像我一样，他们渴望……靠近你。”那是我心脏疼痛的时候，即使看到你也让我开心。

回到食物...毕竟是您的食物频道...他们看起来都很好，我希望我能拥有一些。当您在面条汤上lurop并吮吸那个蜗牛时，我只能在观看时"
29935,UgxpJ_6VpkoiWpxAnUp4AaABAg,1,3 years ago (edited),when l see your viedo i feel full rest,当我看到你的viedo时，我感到很满意
22424,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UYfqx-K-7X,1,1 year ago,@felixl1865 i feel the second hand embarrassment from this,@felixl1865我感到二手尴尬
30011,UgwQGDbQ7iQE5bt7yQ54AaABAg,1,3 years ago,your videos feel like a warm hug for my soul,您的视频对我的灵魂感到温暖的拥抱
2327,UgyiTl-xApceGiUMDxJ4AaABAg,1,1 year ago,i have eaten so many screw fans and feel that the screw powder of li zi dana family is best to eat without accepting any refutation of li ziran yyds!,吃过这么多的螺丝粉 觉得李子染家的螺丝粉最好吃 不接受任何反驳 李子染yyds!
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,3 years ago,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
16501,UgxIG3fYzbHdN6VBcf94AaABAg,1,3 years ago,dont know why but seeing her feels so peaceful.,不知道为什么，但是看到她感到如此和平。
30252,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zb7wc9eE5p,1,3 years ago,your comment makes me feel warm，too,你的评论也让我感到温暖
19148,UgxAj1vIZ39a487i8dF4AaABAg,1,3 years ago,the photographer is so powerful that watching tv feels. this is where?,摄影师好厉害，看电视的感觉。这是哪里？
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
25027,UgwbSEDSABVMhO2fb0l4AaABAg,1,3 years ago,love ❤. m feel very similar to vietnam. similar vietnam. feeling so close,爱。我感觉与越南非常相似。类似的越南。感觉如此亲密
25119,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zIJZY3Y5pc,1,3 years ago,"mixture of smoke pork bamboo shoot n a lil fermented beans...
feels heaven","烟猪竹子的混合物n lil发酵豆...
感觉到天堂"
20029,UgzesOY9m4nBBWpOWiB4AaABAg,1,3 years ago,whenever i see ur videos i feel very calm n pleasant ...,每当我看到您的视频时，我都会感到非常平静，很愉快...
18381,UgyMqb7NW4U_JHkGVIp4AaABAg,1,3 years ago,"come back, the countryside will wuhu not return? not only for self -service, 心 而 而? enlightenment has been unhappy, and the person who knows can be chased. it is not far away, but i feel today and yesterday. zhou was far away with light, the wind fluttered and blowing clothes. ask the husband's road before, hating the morning light.
nai zhan hengyu, zai xinzai runs. children are welcomed, and the child is waiting for the door. three paths are deserted, and pine chrysanthemums still exist. enter the room with the young, there is a wine profit bottle. the leddy pot is used for self -discretion. leaning to the south window to make pride and tolerate the yi'an of the knee. the garden day is involved in fun, although the door is set and it is often closed. cereate the elderly to rest, and look at it from time to time. yun qinxin was in order to come out, and the birds were tired of flying. jing yan entered, stroking gu gan and pushed up.
come back, please make a trip. the world violates me, and repeats the words? the love of the relatives, le qin shu to eliminate worry. the farmers sued yu yichun, and there would be something in xichou. or a napkin car, or lonely boat. both are looking for gangsters, but also rugged and passing the hills. mu xinxin started flowing with glory, quanjuan. when the good things are good, feel the rest of my life.
already! what time does it take? ？？ 留 曷 任 任? what is hu wei? rich and wealthy is not my wish, emperor hometown is not available. huai liangchen was lonely, or he was soaring. ascending the east with shu xiao, lin qingliu and poetry. talking to the ride to return, lefu's destiny is doubtful!","归去来兮，田园将芜胡不归？既自以心为形役，奚惆怅而独悲？悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。舟遥遥以轻飏，风飘飘而吹衣。问征夫以前路，恨晨光之熹微。
乃瞻衡宇，载欣载奔。童仆欢迎，稚子候门。三径就荒，松菊犹存。携幼入室，有酒盈樽。引壶觞以自酌，眄庭柯以怡颜。倚南窗以寄傲，审容膝之易安。园日涉以成趣，门虽设而常关。策扶老以流憩，时矫首而遐观。云无心以出岫，鸟倦飞而知还。景翳翳以将入，抚孤松而盘桓。
归去来兮，请息交以绝游。世与我而相违，复驾言兮焉求？悦亲戚之情话，乐琴书以消忧。农人告余以春及，将有事于西畴。或命巾车，或棹孤舟。既窈窕以寻壑，亦崎岖而经丘。木欣欣以向荣，泉涓涓而始流。善万物之得时，感吾生之行休。
已矣乎！寓形宇内复几时？曷不委心任去留？胡为乎遑遑欲何之？富贵非吾愿，帝乡不可期。怀良辰以孤往，或植杖而耘耔。登东皋以舒啸，临清流而赋诗。聊乘化以归尽，乐夫天命复奚疑！"
2469,UgxCWqFL0L-ybPMHDs14AaABAg,1,1 year ago,when i watch your video's i feel relax love from bangladesh ❤❤❤,当我观看您的视频时，我感到孟加拉国的放松爱情❤❤❤
20229,Ugyhm8zzFKO2mUsXnyR4AaABAg,1,3 years ago,i keep seeing it. i feel like looking at a documentary. good quality.,我一直看到它。我想看一部纪录片。高品质。
25908,UgxL7wxM8AJKc3Eid654AaABAg,1,3 years ago (edited),i feel refreshed while watching that video and all of their food is just picked around the area no money needed.,在观看该视频和他们所有的食物时，我感到很清爽，只是在该地区无需钱。
26095,Ugzc6r5ZrDyKpST75wR4AaABAg,1,3 years ago,you are looking beautiful and i can feel the innocence in you through your video,你看起来很漂亮，我可以通过视频感受到你的纯真
17942,UgxVd4SOGXAYOUDQbkJ4AaABAg.92e6BsyVPrJ92n0xF5geyq,1,3 years ago,"same feel. in fact, the entrance is the most important, and directly determines our health. without health, what else can there be ...",同感。其实入口的东西是最重要的，直接决定我们的健康。没有了健康，还能有什么……
24020,UgzZUnnQ3rPAzP6r9jd4AaABAg,1,3 years ago,she reminds me that my grandma is very lovely person. she raised me from 6 months when my parents couldn't take care of me because of something. o feel i love my grandma then my parents,她提醒我，我的祖母是非常可爱的人。她从6个月开始抚养我，因为我的父母因某件事而无法照顾我。 o觉得我爱我的祖母，然后我的父母
27766,UgxIa1ukI5Wf3KheS_Z4AaABAg,1,3 years ago,like the feeling of such peace,像这样的和平的感觉
3368,Ugytp4AExNyRix8dGbJ4AaABAg,1,1 year ago,thanks your video it's make me feel relaxed,谢谢你的视频，这让我感到放松
26159,Ugy6_LoD3yhLUZB1F554AaABAg,1,3 years ago,it is much better than meow a duo. feel more hygienic and quality,比喵阿朵的好看多了。感觉比较卫生和有素质
26231,UgzO9r_h48q_tZMlA694AaABAg,1,3 years ago,"i feel like u guys live just on the other side of the mountains man, lol which u do. i am from one of the himalayan states of india. i enjoy watching these video there are so peaceful. thank you.",我觉得你们生活在山的另一侧，大声笑。我来自印度的喜马拉雅州之一。我喜欢观看这些视频是如此宁静。谢谢。
20654,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91Vx2o-v-Vr,1,3 years ago,jacky phantom you are so funny. sure i feel sad then. and i feel sad for you. hope that makes you feel complete.,Jacky Phantom，你真有趣。当然，我感到难过。我为你感到难过。希望您会感到完整。
26477,Ugw8gelqMPrD9ttpoSV4AaABAg,1,3 years ago,"i am vietnamese, i feel very relaxed when watching your video, it's really peaceful, really peaceful, i love this channel ...",我是越南人，观看您的视频时，我感到非常放松，它真的很宁静，非常和平，我喜欢这个频道...
17593,UgyCe6ouhf9RYhQAJrZ4AaABAg.92ifb9pcRNP92u_ufkfGea,1,3 years ago,"joey josef see but to me, it doesn’t matter if it’s real or faked. as long as it makes me feel happy and peaceful, who cares if it’s real or not.",乔伊·约瑟夫（Joey Josef）看，但对我来说，这是真实的还是伪造的。只要这让我感到快乐与和平，谁会在乎它是否真实。
26587,UgziE-m4IRw9Y4FoWBl4AaABAg,1,3 years ago,"amazing, ghibli feeling",惊人的，吉卜力的感觉
2765,UgxsigB57nPou-E6l3x4AaABAg,1,1 year ago,when i watching your video i feel relaxed,当我观看您的视频时，我感到放松
3246,UgzEp0FVwYGUxD5OU-J4AaABAg.9PMwMuFsvmp9Vz0y3bFW7Z,1,1 year ago,"hello, i also feel a bit lonely, but i watched these videos, and they relaxed a lot: d",你好，我也觉得有点孤独，但我看了这些视频，它们让我放松了很多：D
27606,Ugzw78p_8MH4QIENE_l4AaABAg,1,3 years ago,"looking at the real ingredients, the fresh ingredients feel that different bamboo shoots can be made from dry goods.",看着真馋人啊 新鲜的食材做出来的感觉就是不一样 笋衣原来可以做干货的 学到了一手 小姐姐啥时候做个干豇豆烧肉让我们过过眼瘾就好了
23352,UgzSwJhOC51E-WPbMv54AaABAg,1,3 years ago,watching li ziyi's video feels distressing,看了李子柒的视频感觉让人心疼
7891,UgwXvwYbi6BnuOLeA2R4AaABAg,1,2 years ago,wow ! i feel like i've been in medieval china.,哇 ！我觉得我去过中世纪的中国。
15584,UgzyGssLUrvj7Cm3Vbp4AaABAg,1,3 years ago,i always feel peaceful after watching the channel,观看频道
30575,UgxSOGQnEkxeAjZk2YB4AaABAg,1,3 years ago,"i adore you!!! watching your life, i have the feeling that i lived in vietnam in the mountains in a past life !!!",我崇拜你！！！看着你的生活，我感觉到我在过去的山上住在越南！！！
32886,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8zCqFaYlcN6,1,3 years ago,it feels so relax watching her videos,看着她的视频感觉很放松
12308,UgzKsPzrLvfaUbCs6614AaABAg,1,3 years ago,"i feel like this film is exquisite from the details of the action details (the lens screen is not as many details of ink, and the movements are more casual), and ziyi is wearing, (compared with modern fashion daily costumes), it feels that she is recently in the same one. people look at the more casual period 随","觉得像这支影片从动作细节的拍摄精致度 (镜头画面没有着墨那么多细节 , 动作也比较随性, ) , 还有子柒的穿着 , (比较现代 时装 日常装束) , 感觉她最近处于一个以外人来看比较随性的时期"
11490,UgzPozA0oahCsZqz54l4AaABAg,1,3 years ago,"that life is enviable !!
(in the best sense of the word)
i would like to live there 
i love that woman!!
it is admirable!!
he is my favorite person in the world !!
i'm impressed!
i have spent hours seeing and i don't feel the time","这种生活令人羡慕！
（从最佳意义上讲）
我想住在那里
我爱那个女人！
这是令人钦佩的！
他是我最喜欢的人！
我留下了深刻的印象！
我花了几个小时的时间看，我没有时间"
11090,Ugzqg9lpBM2IHyyYA7Z4AaABAg,1,3 years ago (edited),don't know why i'm so relaxed by watching someone doing her things. it's weird feeling but amazing.,不知道为什么我看着有人在做她的事情而感到放松。这很奇怪，但很棒。
32361,UgxTdjMxw2tfW2TPJU14AaABAg,1,3 years ago,i've always watch ur video omg sooo good to feel relaxing i alwsys waiting your next video,我总是看你的视频omg sooo sooe感到放松，我alwsys等你的下一个视频
10809,UgwlCZW2gd-NYZQd6d54AaABAg,1,3 years ago,saw first time ... watching her vdo’s non stop now ... before watching feeling not good upset and after her vdo’s am feeling sooo good and thinking yes i can do my household work am energetic now ... lethargic to energetic wowww.....,第一次看到...现在看着她的vdo现在不停了...然后看着感觉不好，在她的Vdo感觉很好，并认为是的，我可以做家务活动，现在可以做到……昏迷的wowww .. ...
10735,UgwRARf6l0C1lMx_FlN4AaABAg,1,3 years ago,i'm pretty sure this is what feeling smitten is like. i'm absolutely in love and i want to live there and help her with all the things she does <3,我很确定这就是感觉的感觉。我绝对恋爱了，我想住在那里，并帮助她做她所做的所有事情<3
7295,Ugxjw2_A1Wg_gPmil1N4AaABAg,1,2 years ago,feel so good <3,感觉很好<3
32857,Ugz9RRyVXLbE4zD5aax4AaABAg,1,3 years ago,"beautiful, talented and hard working.... somehow feel a bit sad for her. she deserves a loving man and have some little sunshines.",美丽，才华横溢且努力工作。...不知何故为她感到难过。她应该得到一个充满爱心的人，并有一些阳光。
10210,UgzpY4EjaG5z3GebX3V4AaABAg,1,3 years ago,"what caused my admiration is that it gives food all the feeling, as if it was in a romantic dialogue with him, as she also feels that he whispered to her even for water and he is pouring his voice relaxes the nerves.",引起我钦佩的是，它给人一种感觉，好像是在与他进行浪漫的对话一样，因为她也觉得他甚至是因为水小声说，而且他正在倾倒他的声音使神经放松。
32877,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8yV1It_kySH,1,3 years ago,"i think everyone who follow her videos,get same feelings.",我认为每个关注她的视频的人都会得到同样的感觉。
9930,Ugz7nqMl2Z4akpECoAh4AaABAg.99M9Z9YChfd9AMXIqB61W7,1,2 years ago,"iโ€m so sorry if anyone feels offended. i think iโ€ve chosen the wrong emoji. what i meant was โ€wow sheโ€s tough and amazing ๐คฉโ€ 
while the 2nd line means i am not used being barefoot like that i donโ€t know what i step on iโ€m afraid of worms or something like that and it would feel a little uncomfortable at first.","如果有人感到生气，我很抱歉。我认为我选择了错误的表情符号。我的意思是“哇，她坚强而令人惊叹
虽然第二行意味着我不像那样赤脚，但我不知道自己踩什么，但我害怕蠕虫或类似的东西，一开始会感到有些不舒服。"
13019,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96R5Qel8-8d,1,3 years ago,"@soccrdud77 ahh yes if you want the world to revert to a lawless every man for himself feel free to go live in a jungle.
the reality is that people living in desert areas, places of extreme climate in any form would be unable to sustain themselves without a lot of intervention, hence its is not a viable option to throw the world into chaos to produce this faux reality you may have of what people have been doing for millions of years. this lifestyle can't suit everyone and you know what, modern technology is not the monster its made out to be. she's using a lot of modern ideas too so to conclude your argument is deeply flawed","@soccrdud77啊，是的，如果您希望世界恢复为一个无与伦比的人，每个人都可以随意在丛林中生活。
现实情况是，生活在沙漠地区的人们，任何形式的极端气候的地方都将无法维持自己，因此，如果没有大量干预人们已经做了数百万年的事情。这种生活方式不能适合所有人，您知道什么，现代技术并不是它所做的怪物。她也在使用很多现代想法"
9454,Ugz4SbjMsUuAJBd7AE94AaABAg,1,2 years ago,"just watching the videos of this lovely girl get me out of stress and fatigue, i feel like i have moved in my soul to this wonderful and quiet place",只是看这个可爱的女孩的视频使我摆脱了压力和疲劳，我觉得自己已经搬到了这个奇妙而安静的地方
9059,UgwUMvdNuovQeW3Z0rN4AaABAg.9AWrca44ayZ9B1mNPqWXgg,1,2 years ago,"fuck12
acab
blm
dump trump 2020
๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐
there are your feelings hurt yet?","他妈的12
Acab
BLM
垃圾场特朗普2020

有你的感受伤害了吗？"
9034,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9Akd6Fd9s8I,1,2 years ago,"emily c 
yeah i guess itโ€s also different from place to place. i feel itโ€s not like gardening is not as valued in the west; it is more like people have different philosophy of life and it is reflected through different gardening styles. just personal views. appreciate different opinions.","艾米丽c
是的，我想在某个地方也有所不同。我觉得这并不像西方的园艺不那么重视。这更像是人们具有不同的生活哲学，它通过不同的园艺风格反映了。只是个人观点。感谢不同的意见。"
8939,UgwnX0tWzTRal52BbHJ4AaABAg,1,2 years ago,"i was feeling really sad for grandma, always having to wait til after dark to eat, but now i know that sunset is kind of early in mianyang.",我对奶奶感到非常难过，总是必须等到天黑后才吃饭，但是现在我知道日落在米扬的早期。
34208,UgzMOUVTAzNUSWIpaVN4AaABAg,1,3 years ago,"⚠️ prophet
example of muhammad's speech

间 {love, compassion and kindness between believers are like a body: if any part of the illness, the entire body will have a fever and difficult to sleep. }

的 {the most devout believers will have the highest morality. and the best among them is the best person to the wife's room. }

钟 {until you love yourself, you love yourself as if you love yourself. }

怜 {the mercy shown is no reserved pity. show compassion to people on the planet, and allah will show you compassion. }

弟 {smile to your brother is loving ...}

好 {love is a good word. }

主 {fanxinzhu, the day (trial day) will be beneficial to its neighbors. }

根据 {allah will not judge you according to your appearance and wealth, but will examine your heart and behavior. }

{pay its salary before the workers sweat. }

小 {a man walking on the path feels very thirsty. at a bite, he climbed down the well, drank, and climbed up. then he saw a dog vomiting outside his tongue, trying to lick dry and wet mud to stop quenching thirst. the man said, ""this dog feels thirsty like me."" so he climbed down the well again, filled his shoes with water, and gave the dog. therefore, allah thank him and forgive his sin. the prophet was asked: ""allah, will we be rewarded because of being kind to animals?"" he said: {treat every living animal or humans to be rewarded. }","⚠️ 先知
穆罕默德的 言论范例 



















"
34704,UgzY7D87DSSlVgPicvx4AaABAg.8yUTLK-vrAU8yUYm8Ihpdf,1,3 years ago,yup! my mom & aunts feel strange about the flavour but i adore it!!,是的！我妈妈和阿姨对味道感到奇怪，但我很喜欢！
470,Ugy8kP21UhjPAoQu5ht4AaABAg,1,5 months ago,hi liziqi ! i am so proud of you and i am extremely admire you because your videos bring about pleasure and peace feeling for me. i am so miss youuu and i hope you will go back in one day. take care! love youuu,嗨，liziqi！我为您感到骄傲，我非常佩服您，因为您的视频给我带来了快乐与和平的感觉。我非常想念你，希望你有一天能回去。小心！爱你
8258,Ugw-W_EueDzZagq-qMV4AaABAg.9BnZ6JLoWxG9CmI5PsEmt4,1,2 years ago,"children, your strength makes me feel bad ... i just found her video and cannot stop watching this little girl, and my tears keep falling! distressed!","孩子你的坚强让我心疼...I just found her video and cannot stop watching this little girl, and my tears keep falling! 心疼!"
8252,Ugw-W_EueDzZagq-qMV4AaABAg,1,2 years ago,"watching the video over and over again, your child's strength makes me feel bad.",一遍又一遍看着视频，孩子你的坚强让我心疼。
8089,UgxIa2BUK26ZkulsMjx4AaABAg.9C5tUVkt_U99CHyFb9GyGT,1,2 years ago,@raine__dear5914 what would it really feels if we kinda have this behind our houses ๐…๐๐๐,@raine__dear5914如果我们有点在房屋后面有什么感觉
12398,UgxkxVZEAXYsA0c68x94AaABAg,1,3 years ago,"i want to take care of her and make babies with her and do the hard work for her, im not a creep, all you guys probably feel this way too lol",我想照顾她，和她一起生婴儿，为她做艰苦的工作，我不是一个小事，你们所有人都可能会感到这种感觉
2843,UgyvHehMN-k-yUj8PQ14AaABAg,1,1 year ago,it feels good to watch your videos. i wish you more success. good luck. thank you very much,观看视频感觉很好。祝您成功。祝你好运。非常感谢
30651,UgyYVczrRtkVWapS0cN4AaABAg,1,3 years ago,"very good video. but i have a few suggestions. as for viet sub. i feel a bit excess. the verses worship, then oh delicious noodles, or scrub ... nonsense. it is enough to understand the action. vietnamese sub verses show up not 1 seconds and then switch to other actions already. the content of vietnamese sub sentences does not have investment. if necessary, you should viet sub part, the ingredients of the dish are enough. :)",很好的视频。但是我有一些建议。至于越南。我感到有些多余。经文崇拜，然后是美味的面条或擦洗……胡说八道。足以理解动作。越南语的诗句出现了1秒钟，然后切换到其他动作。越南子句子的内容没有投资。如有必要，您应该越越南部分，菜的成分就足够了。 :)
