,cid,votes,含feel,含feel中文翻译
43039,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8riHqr863Hm,3,@ifeelslovenia9336 i think it all comes down to the simple yet highly important thing: money. yessica xoritee would probably be able to take better care of herself if she didn't have to have two jobs to be even able to afford living in ny. healthy food is also very expensive in certain areas in the usa and not all people can afford to live healthy. the same goes with taking a vacation.,@ifeelslovenia9336我认为这一切都归结为简单但非常重要的事情：金钱。 Yessica Xoritee如果她不必有两份工作即可能够负担得起在纽约生活，那么她可能会更好地照顾自己。在美国某些地区，健康食品也非常昂贵，并不是所有人都能负担得起健康的生活。休假也是如此。
15355,Ugzo8sGHwq3E8H770nV4AaABAg,3,"i feel like, i want to live there with my family..",我觉得，我想和家人一起住在那里。
24547,UgwNLUOiDIxsEtId4CZ4AaABAg,3,"1st time while i am watching this video i hope thereโ€s some ads then i can contribute a little bit to this beautiful girl, you make me feel peaceful",第一次我观看此视频时，我希望有一些广告，然后我可以为这个美丽的女孩做出一些贡献，你让我感到和平
40775,UgxhCudU5MVBibMOcTp4AaABAg,3,when i watch your videos i feel so good,当我观看您的视频时，我感觉很好
25004,UgwoFYJP-TGl8OMTXQR4AaABAg,3,i feel so happy to see my sister so happy ๐’๐ฅฐ,看着姐姐这么开心 我也觉得好幸福
46665,UgznRayRv0aCLiZInI54AaABAg.8qs_TK17Zu78qsckUcmDJN,3,"for those who say li ziqi fake at the little brother channel of western yunnan, i want to add a few words. first of all, starting from a large level, they made excellent videos to share with people who love food culture around the world, so that more people understand the beauty of chinese culture. do you have done it? just vomit the sputum of other people's works in a casual sentence, and feel that some cooperation with the merchant defile your eyes? then, take a step back to talk about video production. which one should not take care of the mirror editing in the later stage? critics, do you spend money to watch the video? no. did you participate in the video production? no. you respect the efforts and choices of others. not only are there no, but you are also whispering, yin and yang weird, where can people do not do well, go to weibo to give opinions! didn't you change your opinion? take your own business! have nothing to do? brother, so many traitors around them, hurt the world, care about them! intersection intersection take a step back, these critics have not criticized the ideas at all, many of them are still catching the wind, and the clouds are also cloudy. when you make a criticism next time, you ask yourself a word. what do i make in my own criticism? i said in this way, what does it mean for others? did i have a negative impact on the perception experience of others (those who want to be calm and cured)? it's all adults, so mature, please! intersection intersection intersection intersection",针对在滇西小哥频道底下说李子柒假的人我想特别补充几句。首先，从大的层面开始讲，她们做出了优秀的视频与全世界热爱美食文化的人们分享，让更多的人了解了中华文化的美好。批评者们你们做到了吗？随随便便一句话就吐别人作品一口痰，觉得和商家的一些合作玷污你们的眼了？然后，退一步说视频制作，讲究值得赞叹的分镜剪辑后期哪个不要花心思？批评者们你们花钱看视频了吗？没有吧。你们参与视频制作了吗？没有吧。你们尊重别人的努力和选择了，不仅没有，还窃窃私语，阴阳怪气，人家哪里有做的不好的，去weibo提意见啊！提意见了没改？取关做自己的事去啊！没事情做？大哥，周围那么多作奸犯科的，伤天害理的，管他们去呀！！！再退一步说，这些批评者完全就没批评到点子上，很多还是捕风捉影，人云亦云，你们下次再提出批评的时候问自己一句话，我在批评的过程中我自己做出的贡献是啥？我这样在下面说别人的不是意义何在？我有没有给别人（那些希望得到平静与治愈的人们）的观感体验带来负面影响？都是大人了，成熟一点拜托了！！！！！
35832,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8uqHxbcWDuB,3,we should all feel ashamed for losing most of these good skills in the west,我们都应该因为在西方失去大多数好技能而感到羞耻
30225,UgyWnOWXMPVguMYGHCV4AaABAg,3,"such a pure and precious video... and here i am, feeling proud for making a single chocolate cake... from a boxed mix.

thank you for this","如此纯净而珍贵的视频...我在这里，为制作一个巧克力蛋糕而感到自豪……从盒装混合物中。

这次真是万分感谢"
48584,Ugz15IPOsf6ZsMTf43R4AaABAg,3,"happy new year ! the taste of the year is getting lighter now. after watching this film, i feel that there is an atmosphere of the new year.",新年快乐 ！现在的年味愈来愈淡了，看了这影片，就觉得年节有气氛了
10005,UgyV1fsGmxaqKOfLg7d4AaABAg,3,feeling the camera man heart and his perfection viewโค๏ธ peaceful to watchโค๏ธ,感觉到相机的人的心和他的完美视野❤️宁静观看❤️
8859,Ugw0h0ejChQB03SBdA14AaABAg,3,man as a food channel myself. i feel ashamed putting my videos next to her,我自己是一个食物频道。我as愧地把视频放在她旁边
33835,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48zaYEdugCmA,3,"we all do. deep down we feel guilty and some of us even envious, because we know we live in a rotten system that only benefits those with. we are part of nature, we should aspire for this peace and harmony!!",大家都这样做。内心深处，我们感到内gui，我们中的一些人甚至羡慕不已，因为我们知道我们生活在一个只受益于那些人的烂体系中。我们是自然的一部分，我们应该为这种和平与和谐而渴望！
36436,UgyjnvW0oHb7SgMX8dx4AaABAg,3,"i feel exhausted watching this video, props to her ๐‘๐ป",看这部视频，我筋疲力尽，向她提供道具。
49478,Ugy-CaMLUbdVL6M-VJB4AaABAg,3,feels like i don't blink my eyes !! amazing,感觉我不眨眼我的眼睛！惊人的
31795,UgxL-fjCbDcECDnrR6N4AaABAg.8w3uKmhPnnN9GxCczVgXfy,3,@lolaveneziana6999 i noticed it too a while ago. i also noticed how she treats the pups and cats at times. i saw a recent video with an injured dog โน๏ธ. i like her other content but what you said is always in the back of my mind while watching her videos. i hadn't watched for a while until today and what you said confirms my suspicion. i feel concerned about the animals when i see them๐”.,@lolaveneziana6999我也有一段时间。我还注意到她有时如何对待幼犬和猫。我看了最近有一只受伤的狗☹️的视频。我喜欢她的其他内容，但是您所说的总是在观看她的视频时在我的脑海中。直到今天我还没有看过一段时间，您说的话证实了我的怀疑。当我看到动物时，我会担心这些动物。
31061,UgxThh_Giifw0Q1lDSV4AaABAg,3,"i feel so cleansed after watching this.
like my eyes have been blessed","看完这件事后，我感到很干净。
就像我的眼睛被祝福"
7628,UgxJLiBjohVhPqa7W714AaABAg,3,"not sure how and why i got here. but like many, i walked away feeling good!",不确定我如何以及为什么到达这里。但是像许多人一样，我走开了！
14617,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AjNJ36cLXw,3,"@user-ce5xg9ko6m can no longer agree. the film releases the feelings of life, kindness and beauty, and the positive energy of natural harmony and love ... peace! (she has also released a small snake, and recently persuaded the two puppies not to fight 
7 brother's wenyu is obvious to everyone, and it is no problem to be in charge of copywriting, but ziyi is afraid to find someone to help the plate ... in the end, she will have no food products to shoot ending
come and come to find a few best photography and editing masterpieces to make an appreciation, 7 brothers dream of good night dreams!","@user-ce5xg9ko6m 再同意不过了，片中处处释放出真善美的生活情怀，自然和谐充满爱的正向能量…peace！ (她还放生过小蛇，最近劝两小狗别打架
7兄的文釆大家有目共睹，负责文案没问题的啦，可是子柒怕找人帮端盘子…最后她会没有食物成品可拍ending
睡前来找几部最佳摄影、剪辑大作拜赏一下，7兄晚安好梦！"
35477,UgwJcmYEuXgeJXIoE-t4AaABAg,3,"if love was a person, i feel like it would be this girl.",如果爱是一个人，我觉得那是这个女孩。
32054,UgzIDuaHOFJNUxwh86V4AaABAg,3,watching 10 minutes of this video feels like a day,观看10分钟的视频就像一天
35669,Ugxn9w3OtZI8TfBGB-F4AaABAg,3,i feel like i've discovered a hidden treasure! good job on recomending me this video youtube!,我觉得我发现了一个隐藏的宝藏！在推荐我的视频YouTube上做得很好！
32023,UgyPRRsN_AevpRFnxf54AaABAg,3,anyone else feel like they just want to cry watching these videos? so beautiful and pure. x,还有其他人觉得他们只是想哭泣观看这些视频吗？如此美丽和纯净。 X
35755,UgzSCwOEQFPffFb_RdN4AaABAg,3,it feels delicious ~ dog and lamb are very cute ห ห ห,感觉好好吃喔~狗狗小羊很可爱˙ˇ˙
36938,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8v1_vQjtrCF,3,shes too pretty to feel at peace,她太漂亮了，无法感觉和平
32949,Ugzbh-qGs_-LpfAqmfl4AaABAg,3,anyone else feels like their watchibg an intro from an anime they've watched... this is so amazing๐ฒ๐ฒ,任何人都觉得自己看过的动漫介绍了他们的观看...这真是太神奇了。
3281,UgzEdqP2Aqbk-t_9rGV4AaABAg,3,i can't ignore this girl's hard working...huge applause for making feel us so easy to do everything. it was so satisfying,我不能忽略这个女孩的努力工作……让我们感到非常容易做所有事情的掌声。太满意了
32451,UgyX1udEsbOGstSL1LV4AaABAg,3,multitalented girl...i don't kw how she is cooking these items bt it's making me hungry....i would like to come that place bt there is no chance fa me really feeling sad while seeing that place.....,多元化的女孩...我不kw她如何烹饪这些物品，这让我饿了。...我想来的那个地方Bt没有机会在看到那个地方时感到非常难过。 。
36933,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn8uf0KiofGtw,3,funny cus i feel hungry......,有趣的是我感到饿了……
52309,Ugyu73oZN_GAUvoekf14AaABAg,3,"poor dogs, i feel like they arent being fed properly",可怜的狗，我觉得他们会得到适当的喂养
13414,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CTV7zgQszE,3,feels like i’m gonna cry,感觉我要哭了
18849,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97JOXmLOx12,2,"i think the dislikes come from an article which stated this girl's life is fake and it's a show. that she doesn't do everything on her own but there's a lot of props, people helping behind the scenes and camera crew. many people felt disenchanted her life wasn't accurate. i personally feel they were trying to portray a beautiful rural living of china. i don't see it the same way after i read the article but still enjoy watching because it's something we can all strive to have: our own land with food, resources.",我认为不喜欢的是一篇文章，说这个女孩的生活是假的，这是一场演出。她没有自己做所有事情，但是有很多道具，人们在幕后和摄制组中提供帮助。许多人感到自己的生活不准确。我个人觉得他们试图描绘中国美丽的乡村生活。在阅读文章后，我看不到相同的方式，但仍然喜欢观看，因为这是我们所有人都可以努力拥有的东西：我们自己的土地，带有食物，资源。
20433,Ugw-yXWHCd-PwfvFmhZ4AaABAg.94X_eRfhfkQ95jbqZGKXX1,2,"i have a suggestion, when you plan to go to sleep . lie on the bed , deep breath with your stomach for the first 2 minitute. image the nagitive and dirty things slip out from your feet and hands. and your breath shall get smooth automaticlly and you shall feel relax. hope it is helpful for you. i am from china.",当您打算入睡时，我有一个建议。躺在床上，深吸一口气，肚子上前2个矿物。图片从您的脚和手中溜走了肮脏和肮脏的东西。而且您的呼吸将自动光滑，您将感到放松。希望这对您有帮助。我来自中国。
835,Ugwz7Rx_qqQMC0GM1G14AaABAg,2,the video feels so peaceful,视频感觉很宁静
32674,UgxUbOdX9Jrf1Yry8Rd4AaABAg,2,"i always feel comfortable whenever i watch your videos, sis! thank you for making such amazing videos <3",每当我观看您的视频时，我总是会感到舒适！感谢您制作如此惊人的视频<3
5523,UgxdKQ-ERMIpDKBaupZ4AaABAg,2,i feel so refreshing after watching this,看完这个后，我感到非常清爽
50513,Ugx0xH4Vl4zRrCi-F-t4AaABAg,2,"i was waiting for your videos, i feel like it's worth waiting",我在等您的视频，我觉得值得等待
8772,UgzsVEAfVc-0rcAV3m54AaABAg,2,"where are you, arabs, i feel that i am alone",阿拉伯人，你在哪里，我觉得我一个人
23469,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92apzA4usVd,2,"the wall feels better in station b (there are also many sprays), li ziyi is still very popular at station b.",墙内感觉就b站好一点（现在也有不少喷子），李子柒在b站还是很受欢迎的
26319,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92afa-fAnkA,2,"thanks for your message! same here. i am not depressed though. but literally ziqi is changing my life. she is much younger than my child and i feel she is teaching me so much. i am going to be a much better cook. to start with. and i spent few hours today cleaning refrigerator, mopping the floor and clean my bathroom. felt like having a new life ahead of me.",感谢您的消息！同样在这里。我并不沮丧。但是从字面上看，Ziqi正在改变我的生活。她比我的孩子年轻得多，我觉得她在教我很多。我将成为一个更好的厨师。首先。今天我花了几个小时清洁冰箱，擦地板并清洁浴室。感觉就像是我前面的新生活。
19677,UgwiUfkLkz-Onomd8-14AaABAg,2,occasionally i saw your channel. the content feels comfortable and very much. i like three puppies and one sheep.,偶然看到了你的频道，内容感觉好舒服又实在十分喜欢，三只小狗和一只绵羊也是我喜爱的，可以的话给它门拍摄多一些镜头
8532,Ugzi0bTk1IZUkFPY0LN4AaABAg,2,"as a korean, i feel so sorry. we shall not steal things from china.please forgive us ???? kimchi is from china~ we korean steal everything from china because we love china so much~ i love china. koreans love china ???? we are shit",作为韩国人，我感到很抱歉。我们不会从中国偷东西。请原谅我们？？？？泡菜来自中国〜我们韩国人从中国偷走了一切，因为我们非常爱中国〜我爱中国。韩国人爱中国？？？？我们很烂
8531,UgzUBw6ORQfOBsfLFe94AaABAg,2,"as a korean, i feel so sorry. we shall not steal things from china.please forgive us ???? kimchi is from china~ we korean steal everything from china because we love china so much~ i love china. koreans love china ???",作为韩国人，我感到很抱歉。我们不会从中国偷东西。请原谅我们？？？？泡菜来自中国〜我们韩国人从中国偷走了一切，因为我们非常爱中国〜我爱中国。韩国人爱中国？？？
31760,Ugzkj2Yx4hcL_hNPJrF4AaABAg,2,i feel like iโ€m watching someone play harvest moon. โค๏ธ,我觉得我在看着有人在玩收获月。 ❤️
6352,UgztRfl6KPSQcjJXHw94AaABAg,2,can i come and stay there with you? life feels so good at that place,我可以和你一起呆在那里吗？生活在那个地方感觉很好
20550,UgwG550b1FQjcwAcAuN4AaABAg,2,i feel bad for the puppies at the end ๐ญ,我对幼犬感到难过
50561,UgzwBO7wTbnzWOLO2qp4AaABAg,2,i feel for the dogs,我觉得狗
18952,UgxExBuLZG_8QnjAucB4AaABAg.96Od-ur6jbq96b-kAGuTVr,2,you exactly said the feeling i'm looking for!,您确切地说了我想要的感觉！
4509,Ugw7i_Wn8ULOE-qbKcJ4AaABAg,2,"idk why but this vid make me feel calm whenever i watch it… 
edit: all her vids actually","idk为什么，但是每当我看它时，这个vid都会让我感到镇定……
编辑：她所有的视频实际上"
26138,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-B4JuSknig,2,"maybe those who are too commercial or even deceived are not what she really wants to do, but i believe that those beautiful hard work and brave life is her favorite. we can't look at her with her worst aspects. maybe this is like this. i can feel more beautiful there will be less dislike",也许那些过于商业化的甚至是欺骗性的产品不是她真正想要做的，可是我相信那些美好的勤劳勇敢的生活是她喜爱的，我们不能以她最坏的方面去看待她，也许这样就能感受到更多的美好Then there will be less dislike
23746,UgwbUx6mSO2PZm3Iu854AaABAg,2,"after watching this video, there is a feeling of entering taohuayuan, guiyuan tianju",看了这个视频有种进入桃花源，归园田居的感觉
25927,Ugw-BguNaCKyAVpAoaR4AaABAg,2,"i can feel how much your grandmother love you.

take care of her โฅ๏ธ","我能感觉到你祖母有多爱你。

照顾她♥️"
31993,UgxPeIw_nKY0Olf5L0V4AaABAg,2,"someday, can i come to your home town? this is so beautiful ๐ญ watching your videos always makes me feeling cozy and relax ~(and also hungry)~ ๐",总有一天，我可以来你的家乡吗？这太漂亮了
23852,Ugyg-mM1aeNdyKJTkDB4AaABAg,2,i feel tire thatโ€s what people says laying on a couch,我觉得这是人们说躺在沙发上的话
32009,Ugy1PDIz20798CgOUfh4AaABAg,2,it feels like guizhou's approach,感觉是贵州的做法
3490,UgzBbMw-g3MQozqLxX54AaABAg,2,very cute little feeling <3 <3 magical✨,非常可爱的小感觉<3 <3魔术✨
7676,UgyvC6gnqRugxFNtwl94AaABAg,2,it feels is calm when i watch this,当我看这个时感觉很平静
8969,UgznKwWUvlJqV0DUkU54AaABAg,2,"sometimes i feel like watching this is a waste of my time
my diet, actually","有时我觉得看这是我的时间
我的饮食实际上"
12171,UgxvNRJQz3bvQZXYFzh4AaABAg,2,"may i ask what you do sell or eat it yourself, it feels delicious",请问你做的东西是卖出去还是自己吃，感觉很好吃喔
23066,UgzLndEc6jsE3-E9naB4AaABAg,2,i feel like i just watched a live monster hunter kitchen tutorial xd,我觉得我只是看着现场怪物猎人厨房教程XD
11171,UgxljzvUtcCZdYh5R_N4AaABAg,2,i don't know why i feel tears when i look at it,不知道为什么看着会流泪
11672,UgxMyFohOuxhbfSynHt4AaABAg,2,i feel so useless when i see her doing her thing...โจ lovely โจ,当我看到她在做她的事情时，我感到毫无用处...✨可爱✨
30908,Ugwio6-36rGwi_gFUxZ4AaABAg,2,wanna live in that place ....feels like everything grows there,想住在那个地方。
27233,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-0SmHcWRh3,2,@jeieldavid6347 i feel you haha were both from philippines!,@jeieldavid6347我觉得你哈哈都来自菲律宾！
15916,UgzG8-wZIxeBsNQYOXZ4AaABAg,2,i'm jealous! how can that fruits looks so stunning? feel like i smell fresh air from here....i love it..,我嫉妒！这些水果看起来如何如此迷人？感觉就像我从这里闻到新鲜空气。...我喜欢它..
30833,UgyEoA5KDhAxqBjR7dN4AaABAg,2,"i just love this channel, it makes me feel so peaceful, thank you",我只是喜欢这个频道，这让我感到很宁静，谢谢
27272,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92HqS49mZx5,2,maryna mnassa she doesnโ€t need help. especially after she got famous through youtube she should be quite rich now. she just want to show people natural lifestyle and also telling people where the food came from. people feel relax after watching her videos. as you can see she is using a lot of old equipments but everything looks beautiful and organized. she is presenting old natural lifestyle by modern way. thatโ€s why people like it.,玛丽娜·姆纳萨（Maryna Mnassa）她不需要帮助。特别是在她通过YouTube出名之后，她现在应该很富有。她只想向人们展示自然的生活方式，还告诉人们食物的来源。观看视频后，人们会感到放松。如您所见，她正在使用很多旧设备，但一切看起来都很漂亮且井井有条。她正在以现代方式展示旧的自然生活方式。这就是为什么人们喜欢它。
589,UgzPjU7L-q2aJcgbded4AaABAg,2,your videos are comforting like a warm blanket and a cup of tea...never fail to help me feel calm and remember to enjoy my moments...wish i could have spoiled my granny this way.,您的视频像温暖的毯子和一杯茶一样令人欣慰……永远不要让我感到镇定，并记住享受自己的时刻...希望我能以这种方式破坏我的奶奶。
47593,UgwkDlFdTsnSyYJFRu94AaABAg,2,"i feel very big,",我感觉很大，
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
36912,UgxpA159fDl9K_EzTex4AaABAg,2,"this life is so peaceful and beautiful. i know iโ€m not cut out for it though, i could never survive. but watching this makes me feel at peace and itโ€s wonderful.",这种生活是如此和平与美丽。我知道我没有为此削减，我永远无法生存。但是看着这让我感到和平，这很棒。
27872,UgwEs4WBkkYc3iBN1Dh4AaABAg,2,"plz, feed ur puppies also. they always look like hungry. feel sorry for them.",请喂您的小狗。他们总是看起来像饥饿。为他们感到难过。
27845,Ugxn7d9TPCHaajv0a3J4AaABAg.8z1fapLCk9Z8z3qbkiXWE7,2,you don't have one feeling alone))) very beautiful video,您没有一个人的感觉）））非常漂亮的视频
500,Ugwtv3KGvqjt0h4LxPB4AaABAg,2,i think 2/3years back am watching this women.... i feel she's in heaven of nature like all fruits veggies raw flesh i envy her's leàding it's so healthy it never look like she's one among us...... with all so much stuff around her.,我认为2/3年的回头看着这个女人。...我觉得她像所有水果一样在大自然中，就像所有的蔬菜生肉一样，我羡慕我的肉，但她的生活真是太健康了，看起来永远不会像我们中间一样。 .....周围有很多东西。
52439,UgxVAV-f3sfD_U7DLqJ4AaABAg,2,"u r amazing 
videos that feeling .... i love your video","你很棒
视频那感觉....我爱你的视频"
22105,UgxwVbCONClJmLiYzbp4AaABAg,2,"thank you, the video makes me feel peace and relaxed. the life was supposed to be like this",谢谢，视频使我感到和平与放松。生活应该是这样
22427,UgzWB-UJXYq-oh2gWlR4AaABAg,2,"as a chinese, i feel so proud of our food๏ผ our unique culture๏ผ๏ผ",作为中国人，我为我们的食物，我们独特的文化感到骄傲！！
14136,Ugy_gYg8WuwUFxSR0nJ4AaABAg,2,i feel useless and failed as a man watching her videos...,当男人看着她的视频时，我感到毫无用处，失败了...
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
17102,UgxIm2cLMq9lziWb_wZ4AaABAg,2,the music in this video makes me feel like watching asian drama when the main female lead is a girl like that working hard in life lol,这段视频中的音乐使我感觉就像看亚洲戏剧时，当主要女主角是一个像这样努力工作的女孩大声笑
48392,UgzWRYXgVqoDqwQ1CSx4AaABAg,2,"matep ..
i am chinese descent but not all of them i understand. this is miss again preparation for welcoming the chinese new year. the tradition of making cakes and snacks ahead of the chinese new year is super busy. yep ... all the culture of other parts of the world will also be busy if it is approaching or welcoming the day of the celebration according to their respective traditions.
specifically in this video, traditions and recipes are indeed innate from our ancestors. but of course not all we can make in my beloved indonesia, because not all the materials used in our ancestors are in the land of indonesia. so we replace it with local materials. and it turns out it doesn't feel like it is worse. and more importantly is the essence that is ...
in our country indonesia even has more variety of traditions and culture, our land also produces extraordinary variety of agricultural products. we can be proud as asian nations and of course especially indonesia.
i admit that miss li is very extraordinary to show the world how beautiful the country, tradition, culture, etc.
i really hope there is a figure like miss li in indonesia, so that the world will see the way we make rendang, chicken opor, bamboo lemang, etc. .. certainly will make the world amazed.
greetings from pekanbaru.","matep ..
我是中国血统，但我了解的不是所有人。这再次是为欢迎农历新年的准备。在农历新年之前制作蛋糕和小吃的传统非常忙。是的...如果根据各自的传统接近或欢迎庆祝活动的那一天，世界其他地区的所有文化也将很忙。
特别是在此视频中，传统和食谱确实是我们祖先的天生。但是，当然，我们在我心爱的印度尼西亚并不是所有的东西，因为并非祖先中使用的所有材料都在印度尼西亚之地。因此，我们用当地材料代替它。事实证明，它并没有更糟。更重要的是...的本质是...
在我国，印度尼西亚甚至拥有更多种类的传统和文化，我们的土地也生产出非凡的农产品。我们可以为亚洲国家，尤其是印度尼西亚而感到自豪。
我承认，李小姐非常非同寻常，向世界展示国家，传统，文化等多么美丽。
我真的希望有一个像印度尼西亚的李小姐这样的人物，这样世界将看到我们制作鸡，鸡肉，竹子莱蒙等的方式。肯定会让世界惊讶。
佩坎巴鲁的问候。"
28536,Ugwk2DlghIo3FINzOcp4AaABAg,2,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
22966,UgxU9Sbakj1FojVvuXp4AaABAg.92dBGmfuAR-92jLn0fEm-q,2,"how can it be. essence hua nong is true, ziyi is like making movies. if you want to watch beauty, there are many documentary. hua nong's affinity, ziyi can not bring us.ๆฏ i have been firing recently because foreigners like it. the chinese feel strange. then come to see why foreigners like it. of course, ziyi is also very powerful, but most chinese people feel that it is not very interesting. especially rural people feel the deepest, just like you are selling phone, hundreds of calls every day, you have to die, the salary is only more than 3,000. as a result, some people took a video of the phone sales. the protagonist was very handsome and cozy. with erlang's legs, a beautiful and elegant life, you know it is unreal at a glance, and then subconsciously criticize, because you think your real life has been consumed by these vested interests, but it is beautiful. the truth, you will not imagine, just like li xuan attacking those who want to pasto the pastoral shepherd, the hua nong fire is mainly because of the fierce excuses to kill the bamboo rat, and then it is more real, not installed, very natural, the hair is not of the hair, the hair is not none of the hair. washing, funny, so affinity.",怎么可能。。华农好歹真实，子柒就像是拍电影的感觉，要想看美的，各种纪录片多得是，华农那种亲和力，子柒是不能带给我们的，只有不了解中国的外国人喜欢，子柒最近会火，多是因为外国人喜欢，中国人觉得奇怪，然后来看看老外为什么会喜欢，子柒当然也很厉害了，但大多数中国人觉得不是很有趣，觉得子柒很装，特别是农村人感受最深，就像你是电话销售，每天几百个电话，累的要死，工资才3000多，结果有人拍了个电话销售的视频，主角很帅很惬意的打着电话，翘着二郎腿，衣着靓丽优雅的生活，你一看就知道不真实，然后下意识的去抨击，因为你觉得你真实的生活被这些既得利益者消费了，其实就是距离产生美，很多东西你看到过真相，你就不会在去想象，就像李诞抨击那些想田园牧歌的人一样，华农火主要是因为凶残的找借口杀竹鼠，然后也比较真实，不装，很自然，头发都不洗，滑稽搞笑，所以有亲和力。
