,cid,votes,time,含life,含life中文翻译
3098,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9VC3xXauppF,3,1 year ago,"@user-xf9er7dm9z ordinary rural real life is not so poetic, but it is indeed the epitome of my life when i was a kid. the current life is gradually western and fast-paced. they are all profitable for chasing their names, leading to the gradual changes in the traditional lifestyle.",@user-xf9er7dm9z 普通的农村真实生活没有这么诗意，但确实是我小时候生活的缩影，现在的生活逐渐西化，快节奏，但四川和江南地区仍保留传统的生活方式，如今的社会太浮躁，人们都在为追名逐利，导致传统的生活方式逐渐改变。
3875,Ugx3SEVgGS0koQn16KR4AaABAg,3,2 years ago,her life like a dreamland.. so amazing !!,她的生活就像一个梦境..太神奇了！！
2462,Ugy0Bt5fjCN7Hvt4m5B4AaABAg,3,1 year ago,"seriously, life has no gadget.",认真地说，生活没有小工具。
10696,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79JKoOpUYA8b,2,2 years ago,"agreed, modern life is full if toxic that it makes this channel feels so peaceful and mesmerising.",同意的，如果有毒使这个频道感觉如此和平与迷人，那么现代生活就充满了。
16980,UgwVz01figG9pcPUCHB4AaABAg,2,3 years ago,i wish we can go back and live like this kind of healthy and peaceful life.,我希望我们能像这种健康与和平的生活一样回去生活。
9161,UgykMmM3H2DydfVSERp4AaABAg,2,2 years ago,"living the best life, for real omg",过着最好的生活，真正的OMG
21999,Ugx1S3F_HcEVF0Xfeox4AaABAg.9-JqhM84H-m904JxwyNd_F,2,3 years ago,"her grandmother planted the wonderful garden years ago on a family farm. such a wonderful gift that the children have kept the love for it. they are wealthy enough to abandon that life, but so much would be lost, no?",几年前，她的祖母在一个家庭农场种植了美妙的花园。如此奇妙的礼物，孩子们对此保持了热爱。他们足够富有，可以放弃那种生命，但会丢失很多东西，不是吗？
23832,UgzfQet9ebzdoKH0WPZ4AaABAg,2,3 years ago,ur video makes me feel peace everything is from nature nothing is made everything is natural....i feel the sound of nature the wind water trees fire...all these elements take me away from my polluted life... i really wannz back to nature,您的视频让我感到和平，一切都来自大自然，这一切都是自然的。...我觉得自然的声音是风水开火...所有这些元素使我摆脱了污染的​​生活...我真的很想知道回到大自然
20152,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91nv2tDcgN4,2,3 years ago (edited),@ban_usury_worldwide with what land? how will this land be distributed? not all land is this fertile. not all people want to live this way of life. what if there's a social backlash from people who refuse to live this way or cannot afford it? what are the economic costs this change in lifestyle will cause and will it be good or bad? how will we teach people to live off the land when most people just go to the store to buy food? check out a graph of the growth of human population over time and tell me again if you still think we can live like we did in the past,@BAN_USURY_WORLDWIDE与什么土地？这片土地将如何分发？并非所有的土地都是肥沃的。并非所有人都想过这种生活方式。如果拒绝这样生活或负担不起的人有社会反对，该怎么办？这种生活方式变化会导致的经济成本是什么，这是好还是坏？当大多数人只是去商店购买食物时，我们将如何教人们生活在土地上？随着时间的流逝，查看人口增长的图表，再次告诉我您是否仍然认为我们可以像过去一样生活
25301,UgxR_DtKa6iSD_I_L6Z4AaABAg,2,3 years ago,"ziyi, your video is very comfortable to watch, inspire me a lot, let me find the meaning of life, it also makes people understand a lot of things, and your video reveals that the ancients of our han nationality are revealed culture! where can i find the truth of life.",子柒，你的视频让人看了很舒服，给我的启发很大，让我找到了生活的意义，也让人理解了很多事，还有你的视频里透露着一股咱们汉族的古文化！哪里才能找到人生的真理。
12326,Ugwgs_WrC4uPQ5VeHr94AaABAg.96mu22T1Yfy97RbDzwNDc6,2,3 years ago,this is the life of ordinary people in china!,这是中国普通农村民众的生活！
18304,Ugykj_sLRa2sK_TWIDF4AaABAg,2,3 years ago,this is just the life that i am looking forward to.,这只是我期待的生活。
5947,UgxBZlK643skj4gvMxZ4AaABAg,2,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
14204,Ugy0YPy116yqdepP3u94AaABAg,2,3 years ago,so many people say: oh this should be the way we are living our life. but how many of them will give up their wifi and fast food and all those so called fancy lifestyles,很多人说：哦，这应该是我们生活的方式。但是，其中有多少人会放弃他们的wifi和快餐，以及所有所谓的幻想生活方式
16020,UgxbBZdii4i2NCjaR3F4AaABAg,2,3 years ago,"in china, in real life. it is very hard to find food just in the river bank. because there are more people than the food..but anyway i wish can have such life",在中国，现实生活中。很难在河岸找到食物。因为人比食物还多。.但无论如何我希望能拥有这样的生命
20194,Ugz_v2Ku5EL50AxnPgJ4AaABAg,2,3 years ago,"the environment of life is so natural and pure, so good",生活的环境好天然纯净，真好
8803,UgyTRz1YrHNDd8JvRoV4AaABAg,2,2 years ago,constantly preparing and cooking. no other purpose in life. this so perfect life. just like a movie.,不断准备和烹饪。人生中没有其他目的。这种完美的生活。就像电影一样。
20876,Ugx-bJb65NW48RxZtxh4AaABAg,2,3 years ago,i like this sister too much like luning the life of a simple and peaceful nx without bothering,我非常喜欢这个姐姐，就像在不打扰的情况下摇动一个简单，和平的NX的生活
25488,UgyQ7V9k4yRRiJ7Ynxd4AaABAg,2,3 years ago,"such a fake and romanticized image of countryside life! grandma, traditional means of cooking, growing all ingredients, always clean and wearing make up... your team is professional!",如此伪造的乡村生活形象！奶奶，烹饪的传统手段，种植所有食材，总是干净且穿着化妆...您的团队是专业的！
12915,UgyetY1_QRICM3Na9wJ4AaABAg,2,3 years ago,"work at sunrise, rest at sunset, a clear spring, a piece of farmland，this is the yearning for life.",在日出，日落休息，一个晴朗的春天，一块农田，这是对生命的渴望。
19235,UgyZT0LTVqYCvl7QwWd4AaABAg,2,3 years ago,"it feels like shooting, not real life",感觉像拍片，而非真实生活啊
30766,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yWl7PLCo1U,2,3 years ago,life in china is beautiful ❤️,中国的生活是美丽的❤️
18527,UgwFsgKBe50sBFkQ9xF4AaABAg.92TZpu48m6092bDYyZMISZ,2,3 years ago,"i am from the countryside, guangzhou for 10 years, and realized that only ordinaryness is the end. i like rural life.",我来自农村，广州10年，意识到了只有平凡才是终点，我喜欢农村生活。
19571,Ugx_SLFNTO3YpZQvafl4AaABAg,2,3 years ago,"my mother ... civilized degradation can still live for two thousand years. is this life? the shadow noodles are beautiful, but there is really no modern medical treatment and civilization. the days are not good. the picture is very beautiful and very beautiful.","我的妈阿 ... 文明退化两千年还是可以生活. 这才是人生吗 ? 影面很美, 但是真的没有现代医疗及文明, 日子不好过. 画面非常美, 非常美."
9363,UgyXINFFtQb_wIUno-t4AaABAg.9AE0SQlMR7S9AlNeL7hvO5,2,2 years ago,"@fafa-rd4wx obviously most people do not live a life like that but it is a life that many people want to live, that's why she's popular",@fafa-rd4wx显然，大多数人都不过这样的生活，但这是许多人想要生活的生活，这就是为什么她很受欢迎
14423,UgyZ35VKnjK37Q0iCnd4AaABAg,2,3 years ago,i love how everything you need is just outside your house..i love country living..i love how simple life there..i miss my home.,我喜欢您所需要的一切都在您家外面。我爱国家生活..我喜欢那里的生活。我想念我的家。
26714,UgwlP4zvqpIJ16mJXQx4AaABAg,2,3 years ago,hi i'm from india i'm addicted to your video not only me my daughter too we love u r village and your hardwood i want to know your village name if i can one day i want meet you thank you so much for showing you traditional lifestyle,嗨，我来自印度，我沉迷于您的视频，不仅是我的女儿，我们也爱你村和你的硬木，我想知道你的村庄名称，如果我有一天我想见你，我非常感谢你向你展示传统生活方式
33482,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUuqh0eC_M,2,3 years ago,"yeah, her life is very simple and that i want that kind of life,and her garden",是的，她的生活很简单，我想要这种生活，她的花园
26885,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yqhiYnBhiy,2,3 years ago,john smith haha，i don’t know you know now in china many mountains or cultivated land or a house in the country can be rent by private person to do what you want (legal things) for 22 years in the first tenancy term.you can plant trees or raise animals or reconstruct the house to live by yourself or as a homestay in the area. many chinese people have rent them to create their own beautiful life.,约翰·史密斯·哈哈（John Smith Haha），我不知道您现在在中国知道许多山脉或耕地或该国的房屋可以由私人人士租用，以便在第一个租赁期限内做您想做的22年（合法的事情）。可以种植树木，养育动物，或重建房屋以自己或该地区的寄宿家庭生活。许多中国人有租金来创造自己的美丽生活。
9975,UgwbcpWiaZTNmxio3gJ4AaABAg,2,3 years ago,the shot is beautiful and do it. but real life is not like this,拍的很美，做的也好。但真实的生活并不是这样的
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,3 years ago (edited),"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
1599,UgziceBFh4EpwAkd9194AaABAg,2,1 year ago,"don't envy the glitter, the hermit belongs to it.
this life is gone, and the fate is far away.","不羡浮华，隐者归之。
此生不见，缘尽道远。"
9890,UgzFmsT4K_lMzp8GoM14AaABAg,2,3 years ago,"it is very comfortable to see. knowing that you have a team behind you, you really like girls like you. now your value is also high. i like your simple and energetic. i really want to marry you home. i love it for a lifetime. think about it, wish good luck, good health!",看的很舒服，知道你背后有团队，真的就喜欢子柒你这样的姑娘，现在的你身价也高了，喜欢你那个淳朴劲，真想把你娶回家，疼爱一辈子，目前看只是想想了，祝好运，身体健康！
13021,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96WV1D_IKcR,2,3 years ago,it is a lot of hard work. people should prepared for that if they're thinking of returning/adopting to this kind of lifestyle.,这是很多艰苦的工作。人们应该为此做好准备，如果他们想返回/采用这种生活方式。
27068,Ugxw4aVi6X_eiKTfcU94AaABAg,2,3 years ago,"i like your life very much, just worry that you can do it without you.",很喜欢你的生活，就是担心没你能干
13032,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96tSfsArotw,2,3 years ago,"no it is not.lol. safe?? you're a domesticated animal basically. life and people were better off when everyone lived this way, knowing how to take care of themselves completely without reliance on systems.",不，不是。安全的？？您基本上是驯养的动物。当每个人都这样生活时，生活和人们会变得更好，知道如何在不依赖系统的情况下完全照顾自己。
18150,UgyScNAfARBTKwVi7ex4AaABAg,2,3 years ago,"i have n’t watched li ziyi's video before, but i saw a lot of criticism about her on the internet, but i did n’t know what to do tonight, so i pushed it to her video. after watching it, i just want to say that she is really good. for for peers, even for most people, and for me, these videos taught me to be in awe of life and live well",之前并没有看过李子柒的视频，只是在网上看到很多关于她的非议，但是今晚不知怎么的，就推送到了她的视频，看完之后我只想说，她真的很优秀，对于同龄人来说，甚至对于大多数人来说，而对于我来说，这些视频教会了我应该敬畏生活，并且好好生活
31707,UgwFiy3gNE0tL_nFi3N4AaABAg,2,3 years ago,"we're all jealous of her life but deep down we all know if actually given a chance,we would never be able to pull it off like she does!thank you ziqi...your vids are longer now!❤",我们都嫉妒她的生活，但深处我们都知道如果实际上有机会，我们将永远无法像她一样实现它！谢谢Ziqi ...您的视频现在更长了！❤❤❤
5440,Ugx4Ao2n0p7gIm25IFd4AaABAg,2,2 years ago,"all grandparents living on earth i wish such a granddaughter as liziki, and that our life in old age be happy and secure.",我希望所有居住在地球上的祖父母这样的孙女像利兹基（Liziki）一样，我们在老年时的生活变得幸福和安全。
1639,UgxqFaFCYOH8mbRj3pt4AaABAg,2,1 year ago,"how life is supposed to be: peaceful, graceful and full of light. god bless you!",生活应该如何：和平，优雅和充满光明。上帝祝福你！
13348,Ugw8gdFsezQkr7uOlUx4AaABAg,2,3 years ago,"this is beautiful, the simple things, away from city life, pollution, sickness, crime and everything else in between. this is much better.
william percival new zealand gardenia band","这是美丽的，简单的事物，远离城市生活，污染，疾病，犯罪以及介于两者之间的其他一切。这要好得多。
William Percival新西兰Gardenia乐队"
24361,UgwR_WKapgXFAJ0wbIl4AaABAg,2,3 years ago,"another wonderful and inspiring video, thanks for sharing a bit of your life.",另一个精彩而鼓舞人心的视频，感谢您分享您的一生。
3712,UgwgXxINTBEKHS45CIl4AaABAg,2,2 years ago,the happiest life is to be li zi qi's grandmother,最快乐的生活是成为李齐的祖母
26648,UgxpLue2MAKTnWbnvcJ4AaABAg,2,3 years ago,i wish i could stay a few months with them and learn their way of life,我希望我能和他们在一起几个月，学习他们的生活方式
34000,Ugz7SwfbL34LYUPGXNt4AaABAg,2,3 years ago,"the first time in my life to see, how to cook professionally snails. thank you :-)",我一生中的第一次看如何专业蜗牛。谢谢 ：-）
10460,Ugybo6wTdR1V4UKSHIJ4AaABAg,2,3 years ago,thik life like ly that tu,像tu一样的生活
3641,Ugz3jEDHt5o8KgTVRDd4AaABAg,2,2 years ago,such a nice life. i rather live that plain and simple life rather a luxurious one,如此美好的生活。我宁愿过着简单而简单的生活而不是奢侈的生活
24289,UgypzaPOZRvfsC_Xnm14AaABAg,2,3 years ago,wow what a wonderful cool lifestyle is why these oriental asian women are so beautiful wonderful,哇，真是一种美妙的生活方式，这就是为什么这些东方亚洲妇女如此美丽的奇妙之处
20996,Ugz0NpUSKWW4s7M6G7t4AaABAg.90LflDjepjn90Q5UdDnGrB,2,3 years ago,"this is not the real and complete rural life, but the ideal pastoral life of poet tao yuanming.she didn't show you the bad parts.",这不是真实而完整的乡村生活，而是诗人陶恩明的理想牧民生活。她没有向您展示不良的部分。
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,3 years ago,"i really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. you make countryside lifestyle romantic, calming, and dare i say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
9561,Ugx0WRGjt0H9DzC20UR4AaABAg,2,3 years ago,i love the songs of the vidios gives the feeling that we are in nature is already like is a moving is beautiful to live like that i love a lot of vidios teaches the living life,我喜欢vidios的歌曲给人一种感觉，我们在自然界已经像一个动人的生活一样美丽，就像我爱很多vidios一样，教导生活生活
12480,UgxHzBHmSViLYHxKkgt4AaABAg,2,3 years ago (edited),"she's is living the life i always wanted deep in my heart but never did. she's the woman i always wanted but i am not good enough for her. her skills impress me so much. i am jealous of her peaceful life, art and style. she must be a happy person. she deserve it.",她过着我一直想深入的生活，但从未过。她是我一直想要的女人，但我对她还不够好。她的技能给我留下了深刻的印象。我嫉妒她的和平的生活，艺术和风格。她一定是一个快乐的人。她应得的。
2356,UgzChM72aODrqH__FFB4AaABAg,2,1 year ago,rural life is the ultimate goal of my life,田园生活是我人生的终极目标
20105,UgwQ6umdWH04lBAhEZp4AaABAg,2,3 years ago,i wish my life was like this ... modern life so depressed and anxious,我希望我的生活就是这样...现代生活如此沮丧和焦虑
9447,Ugz1kYWQlRw1T-kH_nB4AaABAg.9A6iT92pSaw9AB2wAa5E55,2,2 years ago,"she doesn't need one, her life is complete already.",她不需要一个，她的生活已经完整。
5799,UgzvbWRKeRMrGGctqlN4AaABAg,2,2 years ago (edited),"eh, i would have such a mistress in a new house, i would have a drink with one love !!! i have been looking for such a magical one all my life !!! the bee is hardworking! surely the soul is the same beautiful as her appearance !!! and even on different languages, they would understand each other and even without words !!!",嗯，我会在新房子里有一个情妇，我会喝一杯爱！！我一直在寻找我一生的神奇！！！！！！！！！！！！！！！！！！像她的外表一样美丽！！！甚至在不同的语言上，他们也会彼此了解，甚至没有言语！！！
9380,UgxVdr_m755Z1yYJ3n54AaABAg,2,2 years ago,i think she is so lucky to be leaving so close to nature.picking out everything with her own hands to eat i would trade my nyc life with her any day who else agrees?,我认为她很幸运能离开大自然。用自己的双手吃东西，我会和她交易我的纽约人的生活。
15963,UgwLum4C0dnoUEr5Bud4AaABAg,2,3 years ago,"the video of lizhiqi makes me to look back upon the life when i was a child living with my grandma,i miss her so much",Lizhiqi的视频使我回顾我和祖母一起生活的孩子时的生活，我非常想念她
10894,Ugwuo9ZvdA39ONQ2enl4AaABAg.98CTy_kIniZ99QpuhE5Ys8,2,3 years ago,also wish you a good life,也希望你过得愉快
18535,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92_huSFDhvK,2,3 years ago,hahaha i was thinking about chinese/taiwanese rpgs when i was watching it. it fits the dreamy imagination of a different life.,哈哈哈，当我看着它时，我正在考虑中国/台湾RPG。它适合对不同生活的梦幻般的想象。
14900,UgxEWna8ZL1zTxibmY54AaABAg.93pAL1epb7l94ZALZFsTqu,2,3 years ago,"on the of side of that natural life - coronavirus, sars, ebola, etc",在自然生活的一面 - 冠状病毒，SARS，埃博拉病毒等
11209,Ugy-fIDKsGePUGZQrA94AaABAg,2,3 years ago,"i love her channel, it's so peaceful and really shows us how life without being on our phones and stuff is so beautiful. does she speak english?",我爱她的频道，它是如此的和平，并确实向我们展示了不在我们的手机和东西上的生活是如此美丽。她会说英语吗？
11247,Ugy0AAl12LTbx0pRyTp4AaABAg,2,3 years ago,"i love this show because she loves her grandma dearly, you are so sweet, i wish you the best in life from alaska.",我喜欢这个节目，因为她深爱着她的奶奶，你真可爱，祝您从阿拉斯加的生活中表现最好。
22371,UgxaM_0wHJwmPrlFmFZ4AaABAg,2,3 years ago,i love all your videos. i watch them at the end of my long day as it helps me relax and de-stress. thank you for sharing your life with the world. i'd love to come visit!,我喜欢你所有的视频。我在漫长的一天结束时看着它们，因为它可以帮助我放松和减轻压力。感谢您与世界分享生活。我很想来参观！
15061,UgwNrxl5JSRLarV26xZ4AaABAg,2,3 years ago,wth a real life disney princess!!!,迪斯尼公主是现实生活中的！！！
15065,Ugz3yaZkNlI8lzod2hl4AaABAg,2,3 years ago,"this is so simply beautiful, i am blinking back tears. i grew up in chicago and have lived most of my life in cities, but my heart is in the country. i would be her apprentice, if i could.",这是如此美丽，我眨了眨眼。我在芝加哥长大，一生都在城市生活，但我的心在该国。如果可以的话，我会成为她的学徒。
6270,UgwyzW3-IjFllMQcKS14AaABAg,2,2 years ago,the cameraman seems from another world. nature beauty and her lifestyle are so lovely.. loved this content,摄影师似乎来自另一个世界。大自然美女和她的生活方式是如此可爱..喜欢这个内容
31518,UgxyEORnn2s8SpxTLbV4AaABAg,2,3 years ago,"ziyi will definitely have a super rich life in the future, but i think she will still like to do everything in person, hoping that zi yan will take care of her body! don't fight too much",子柒以后一定会有一个超级富有的生活，但我想她还是会喜欢亲自动手做每一件事情，希望子柒保重身体！不要太拼了
2620,UgxytXKidEWNJ9KsbUZ4AaABAg,2,1 year ago,"not an once of hesitation in her moves..
it's fluid, no interruption, one task after another in a single continuity... i feel like watching wushu practice.
this is mastery... in the art of life.
very impressive.
shie shie sifu liziqi","她的举动曾经没有犹豫。
它是流畅的，没有中断的，在一个连续性中又一次接一个的任务……我觉得自己想看武士练习。
这是掌握的...在生活的艺术中。
非常令人印象深刻。
shie shie sifu liziqi"
18773,UgwXLyqJiScjXUxRJYl4AaABAg.92J4lxqGoxN92RLTF8qyX0,2,3 years ago,@user-du5ig2we6j material life isn't it better to return to nature?,@user-du5ig2we6j 物质生活回归自然的感觉不是更好？
2625,UgwrETUOcPfI-a0vdrJ4AaABAg,2,1 year ago,please leave the descriptions on a few seconds longer to read. i love watching her. as life should be. thank you,请在几秒钟内将描述留出更长的阅读。我喜欢看着她。就像生活一样。谢谢
32800,Ugzdz9B1qq9i0ys8Jb54AaABAg.8yUmLaS9As08yVA06gobgU,2,3 years ago,"that was so cheesy also you do have to have peace of mind, a healthy body and especially a calm life to live a happy life because everyone would be so alike and it would make life seem sooo damn boring but i do agree with you.",那真是太俗气了，您确实必须安心，健康的身体，尤其是一种平静的生活才能过上幸福的生活，因为每个人都会如此相似，这会使生活看起来如此无聊，但我同意您的看法。
22410,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi95JYxojFjus,2,3 years ago,@lichina5639 may i ask if you are saying that your own quality and inferiority should be changed? i am sure that only what i pointed out is her life style and reality on the film. what is the inferior root nature? is your own quality and inferiority? maybe your english level cannot understand what i mean?,​ @lichina5639 请问你是在说你自己的素质和劣根性该改改了吗? 我非常确定我指出的只有她在影片上的生活风格和现实应该有很大的分别想问一下你说的素质和劣根性到底是什么?你自己的素质和劣根性还是? 可能你的英语水平无法理解我所表达的意思吗?
22413,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9I6eiIhtgT_,2,2 years ago,"@jumpoable i am pretty sure my point is clear, her real lifestyle is difference then the one she show in her video, whoever disagree that either show me prove or shut their hole",@jumpoable我很确定我的意思是清楚的，她的真正生活方式与她在视频中展示的那个生活方式是不同的，无论谁不同意，都表明我会证明或关闭他们的洞
4025,UgxUu2vUljYc52z7A_d4AaABAg,2,2 years ago,waoo i am amazed ladies like her are none existent in the us. simplicity goes a long way. love here lifestyle,waoo我很惊讶像她这样的女士们，在美国没有。简单性走很长一段路。爱在这里的生活方式
22417,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9OPGn3ewkXu,2,2 years ago,"i don't know how's your life ,
but it's normal life here (where i live )
it's fun at least for me","我不知道你的生活如何
但这是正常的生活（我住的地方）
至少对我来说很有趣"
15591,UgwnNX0h0eZmEICtWM14AaABAg,2,3 years ago,please take me with you ! want to live that beautiful life,请带我和你一起！想要过着美丽的生活
28771,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g976jXJ86ctO,2,3 years ago,@franzpeters3824 she produces the video not for communicating but for showing her happy life that u will never enjoy. u r so shallow!,@franzpeters3824她制作的视频不是为了交流，而是为了展示她永远不会享受的幸福生活。你是如此浅！
15221,UgyHSygsZ08zbdjs8E14AaABAg,2,3 years ago,i love this life so much....!!!!❤️❤️❤️❤️❤️❤️❤️❤️❤️,我非常喜欢这个生活。
11355,UgwwZ86h9muDh7Dnm8N4AaABAg,2,3 years ago,that grandma is living the life. i want to spend my time on swing and eat food cooked by liziqi,那个奶奶正在生活。我想花时间在秋千上吃liziqi烹制的食物
25690,UgxxWSJiwNrv5wPbMnl4AaABAg,2,3 years ago,"hello, li ziqi, how do you do in china? i hope so! i am your fan, you are a master of beauty and talent, a master of princess and art life. congratulations to you have learned a lot of inspiring videos from us, i really want to see your motherland",你好，李子琪，你在中国做得怎么样？我希望如此！我是你的粉丝你是美丽聪明才华，公主和艺术生活的大师。恭喜你从我们那里学到很多鼓舞人心的视频，我很想看到你们的祖国
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
11652,UgxcKTowAdsGdn0gdOd4AaABAg,2,3 years ago,"see and love. beautiful, very unbeatable. czech thai. your way of life is a way to cost, but 200%health profit. if this world is really round, let us meet her. i want to continue living.",看和爱。美丽，非常无与伦比。捷克泰国。您的生活方式是一种成本的方式，但是健康的健康。如果这个世界真的很圆。让我们见到她。我想继续生活。
6417,UgzgF1xkhroFoJjei054AaABAg,2,2 years ago,"you have such a oneness with nature and life,my god bless you and your household. i would love to visit you and maybe get first hand knowledge from you your amazing",您与自然和生命有如此统一，我的上帝保佑您和您的家人。我很想拜访您，也许从您那里获得第一手知识
29473,Ugy5rFXMCgk-3KQP9o94AaABAg,2,3 years ago,every day i check for new videos from you. i wish i could go outside and have everything i need to make beautiful meals... i would be lying if i said i wasn’t a bit jealous. thank you so much for sharing this part of your life with us. also your grandmother makes me so happy!,每天我都会检查您的新视频。我希望我可以出去吃美食所需的一切……如果我说我有点嫉妒，我会撒谎。非常感谢您与我们分享生活的这一部分。您的祖母也让我很高兴！
15391,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss96YP8RJre8f,2,3 years ago,"diganta majumder the way they live all is same as our place we eat fresh vegetable which we grw by our own, and taking bamboo shot in forest it look like fairy tale but in real life how much hard or how tired it is just for living",Diganta Majumder他们的生活方式与我们自己吃新鲜蔬菜并在森林中拍摄竹子的新鲜蔬菜一样
15395,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97NjrKd8vsk,2,3 years ago,"strait arrow i agree with you. it’s seems all too fairytale and easy, when rural life is hard and dirty and not as glamour as all the videos make it out to be. i’m not saying this is fake but it’s such excellent quality camera work and production that it seems too good to be true.",海峡箭头我同意你的看法。当乡村生活艰难而肮脏并且不像所有视频所表现出的那样魅力时，这似乎太童话和容易了。我并不是说这是假的，但它是如此出色的质量相机工作和制作，以至于真是太好了。
15396,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97NjyfL4olS,2,3 years ago,lorna joven it matters if its an entire production not just a youtuber recording her daily life...,Lorna Joven重要的是，如果整个作品不仅是YouTuber录制她的日常生活...
15403,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97i7obrONsn,2,3 years ago,"yes its a show, idealizing country life in china. in reality the women are portly and missing teeth and the food is rice with whatever else you can scrounge up.",是的，这是一个节目，在中国理想化的乡村生活。实际上，妇女是矮胖的牙齿，食物是大米，还有其他您可以抓住的东西。
