,cid,votes,含life,含life中文翻译
41745,UgyDJlXg--KRf7QEFt54AaABAg,9,"the meaning of life is a love of nature and labor, joy and eternal update.",生活的意义是对自然和劳动，欢乐和永恒更新的热爱。
847,UgwX_PWsqnGaWdtJAv94AaABAg,9,whenever i see her videos i feel how life is beautiful ❤,每当我看到她的视频时，我都会感到生活如何美丽❤
23322,Ugz_LsQFtBDPqoPmkRt4AaABAg,8,this feels like if ghibli was real life...very soothing,感觉就像吉卜力是现实生活...非常舒缓
37123,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVljRY-D1d,8,"@len7946 lmao why you mad? what i mean is, look, she looks not worrying about murderers, crimes, she looks happy with her life. that's what i am trying to say lol",@len7946 lmao为什么生气？我的意思是，看，她看起来不必担心凶手，犯罪，她对自己的生活感到满意。那就是我想说的大声笑
36680,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8uZSJn7u_sg,8,thแบงy xuรขn master xuรขn she is enjoy๏ผ this is life of rural area,她很享受，这是农村地区的生活
209,UgyzUEBUU0AiNhHFHoF4AaABAg,8,"a lot of delicious foods with digimon's song at background! i love how liziqi show to us that beauty side of life, thank you very much, you are amazing!",Digimon的歌曲在背景上有很多美味的食物！我喜欢利兹奇（Liziqi）如何向我们展示生活中的美丽方面，非常感谢，你真是太神奇了！
27243,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-42miArLcP,8,"this is from an media interview of her. i read the original interview transcript. unless we think that what she said during the interview was fake, she did deserve a better life and all the respect. i chose to believe her because i have done some of the things shown in her videos while i was young. i could tell that the way she did those jobs is natural and experienced, definitely not fake posing for filming. best wish to this talented, independent and beautiful girl",这是来自她的媒体采访。我读了原始的面试成绩单。除非我们认为她在采访中所说的是假的，否则她确实应该得到更好的生活和所有的尊重。我之所以相信她，是因为我年轻的时候做了她视频中显示的一些事情。我可以说她做这些工作是自然而有经验的方式，绝对不是假装拍摄的假装。祝这个才华横溢，独立和美丽的女孩
43028,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rZ-hhjKGfp,8,@roseangel7903 oh i understand that life. and you're not easy to change your life but i trust you that you will have good way to change your life.good luck.,@roseangel7903哦，我知道那一生。而且您不容易改变自己的生活，但我相信您将有良好的改变生活的方式。运气好。
27219,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zrRZVdR8Nr,8,"@tungstenwhizard4361 she did her one an only interview with, i think goldthread channel. i saw the interview where she spoke of her life.",@tungstenwhizard4361她认为她是唯一的一次采访，我认为戈德雷德频道。我看到了她谈到自己一生的采访。
4214,Ugzt0HpGMMmQ5xFAuGR4AaABAg,8,"this is so peaceful, i want a life like that but sadly i don't even know how to make tea on my own t_t",这是如此和平，我想要这样的生活，但可悲的是我什至不知道如何用自己的T_T酿造茶
43714,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rU0DkTWY-o,8,"ar khey she hired a filming and editing team after the channel became popular. before that, everything was done by herself. yes, the place was her hometown and she returned to her born place and stayed with her granny after a couple of years of city life in chengdu. no doubt that everything was real.",Ar Khey在频道流行后，她雇用了一支拍摄和编辑团队。在此之前，一切都是自己完成的。是的，这个地方是她的家乡，她回到了出生的地方，在成都多年的城市生活后与奶奶住在一起。毫无疑问，一切都是真实的。
11990,Ugw-9H4rREsqI1ul0LR4AaABAg,8,i would love to have a life like that..!!!,我很想有这样的生活.. !!!
44558,UgztPtWTeBMlZAWxZol4AaABAg,8,"she has the life which lets us envy, ,the fairyland female celestial!",她的生命使我们羡慕仙女女性天体！
22945,Ugxmr64Hr7AkxoOlZO14AaABAg,8,"hello, god is the most beautiful life, praise be to god for health when i see simplicity with them, i am happy and my heart warms from the intensity of natural beauty, god willing, ๐’–",你好，上帝是最美丽的生活，当我看到对他们的简单性时，要赞美上帝，我很高兴，我的内心因自然美的强度而温暖，上帝愿意，
36490,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8uWleMWisrS,8,its not talent. its her lifestyle.,它不是才华。它的生活方式。
47235,UgyO9ZlU2um3yhqcd2l4AaABAg,8,how rich it looks like it gives me your life is wonderful everything you do congratulations and a lot of prosperity,它看起来有多富裕，使我的生活真是美好
18634,Ugxzy3f5zDKgqj39wm94AaABAg,8,i always thought this doesn't exist in real life... only in imagination ❤,我一直认为这在现实生活中不存在...只有在想象中❤
4239,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9T-cMo3CG4G,8,"@diogomelo3705 is not his life, but this is only a bit like a documentary",@diogomelo3705 不是的这个的确是他的生活但是这个拍的只是有点像纪录片
16096,UgzpAOMc8MdLq8roc6R4AaABAg,8,this is the most satisfying video i have ever seen in my life,这是我一生中见过的最令人满意的视频
21145,Ugz6_DFAdzCQp_yfrwN4AaABAg,8,"it is a kind of enjoyment to see the girl's mali and clean work. of course, the beautiful picture is more divided. rural life can be a realistic documentary or a story movie, but the form of art is different.",看姑娘麻利干净的干活是一种享受，画面美丽当然更加分。田园生活可以是写实纪录片，也可以是故事电影，不过艺术形式不同而已。
20275,UgyrGhMkjaqA4Q7FBXJ4AaABAg.94mLCxwiguY95OQ-X0Wl4D,7,but the memories he left for you is enough for you to be sweet for a lifetime. essence,但他留给你的回忆，够你甜一辈子。。
42282,UgyQoT4InHc0Z8rWo7J4AaABAg.8rhspoPdYK98rqYEwiWyQd,7,"passing the days on an empty hole we call ""a life""",在空洞的空洞上度过的日子，我们称之为“生命”
25878,UgxeSvo51ZOt3O7x3st4AaABAg,7,"no waste, no spending money at a grocery store, no contamination/garbage. all natural! i love this life style!!! โค๏ธ",没有浪费，在杂货店没有花钱，没有污染/垃圾。全天然！我喜欢这种生活方式！！！ ❤️
796,UgyRITwQZG9tKfNwfy94AaABAg.9joLMP0xdAV9k-O72rjxj8,7,the spider ghost has killed our pleasure and concealed lizy. we hope the chinese government to punish the person who deceived lesi and stopped her beautiful life.,蜘蛛侠杀死了我们的快乐并掩盖了蜥蜴。我们希望中国政府能够惩罚欺骗莱西并制止她美丽生活的人。
10046,UgwLu9Y3U_FFTNfgg454AaABAg,7,her life is so amazing..i always wish i had a life like that..,她的生活真是太神奇了..我一直希望我过着这样的生活。
16181,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99cQZTm-Ip0,7,"she made money out of this but her friend said liziqi is just so humble. so much simplicity n her. she chose this kind of lifestyle bcause its how she'd been raised. most of her life, she spent it with her grandparents so i dont understand that there are still hate towards her.",她从中赚了钱，但她的朋友说利兹基太谦虚了。她这么简单。她选择了这种生活方式，因为她的成长方式。她一生的大部分时间，她都与祖父母一起度过，所以我不知道仍然对她有仇恨。
48602,UgwHkMfQczbqxT3CB6t4AaABAg,7,please invite me to tell me your lifestyle. love from brussels.,请邀请我，告诉我你的生活方式。来自布鲁塞尔的爱。
18945,UgxAryoPCM8dkD0AtbR4AaABAg,7,"she is picture perfect her elegance evident. purely sojourned the earth in quiet majesties. traveling time within true pursuits, her devotees follow by her side adoring always how genuine the effort at life rewards. partakers one an all is precious, all together joined is divine.",她的画面很明显。纯粹是在安静的少年中逗留地球。在真正的追求中旅行的时间，她的奉献者跟随她的身边，始终崇拜人生奖励的真实努力。党派一个全部是宝贵的，共同加入的是神圣。
24983,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW906bPqMHwZZ,7,"dude, no offense but this is very usual daily life in chinese rural area, and we have much more ambitions for a better life than this. everyone in this world deserve a modern life. china is not what you think, or learning from the western media, china is much complicated than this, you should come here and see it yourself. but i do agree this is a very lovely life, just not very convenient",杜德（Dude），没有冒犯，但这是中国农村地区通常的日常生活，我们拥有比这更好的生活的野心。这个世界上的每个人都应该拥有现代生活。中国不是您的想法，也不是向西方媒体学习，中国比这要复杂得多，您应该来这里自己看看。但是我确实同意这是一种非常可爱的生活，只是不是很方便
42690,UgxTuczCBp7HZXARizd4AaABAg,7,harvest moon in real life,现实生活中的收获月亮
43833,UgxhqQJz70CIQ0KMhfp4AaABAg,7,"i hope that i understand the significance of your videos, is it your true life or what?",我希望我了解您的视频的意义，是您的真实生活还是什么？
1202,UgxRaQxtxP_Vbh8DHw14AaABAg,7,"amazing girl as always, making ordinary things into beautiful and delicious foods. enjoy the nature scene and peaceful life!",一如既往的惊人女孩，将普通的东西变成美丽可口的食物。享受自然界和和平的生活！
51796,Ugx0kneOMIw1-4Y41Dl4AaABAg,7,love you dear i like your videos most god bless you you are so sweet your work is so great and you are where you living that surrounding is very very good so you have great life thanks god bless you.,爱你亲爱的，我喜欢你的视频，最上帝保佑你你真是太好了，你的工作真是太好了，你在你住的地方，周围非常好，所以你过着美好的生活，谢谢上帝保佑你。
35828,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ujn8EgIMtL,7,"fam i'm watiching this and i'm sorry, i'm almost certain she's an actress. you live your life being you.",FAM我正在为此，对不起，我几乎可以肯定她是女演员。你过着自己的生活。
46647,UgznRayRv0aCLiZInI54AaABAg,7,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
5102,UgwXms7jtXW8cweCQLt4AaABAg,7,i just want a simple life like her,我只想要像她这样的简单生活
22506,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92y0aUNd1l7,7,"tian
even if this is china propaganda, i am impressed. promoting healthy lifestyle. although i think not many people can follow her works but its still interesting to watch.","天
即使这是中国的宣传，我也给我留下了深刻的印象。促进健康的生活方式。尽管我认为没有多少人可以关注她的作品，但仍然很有趣。"
47654,UgzsDqhzC6tiJfJ0-z54AaABAg,7,"the life here is peaceful, i dream of having such a life. in vietnam, we also welcome tet as in china. quality and emotional video, wish you a good new year!",这里的生活是和平的，我梦想着拥有这样的生活。在越南，我们也欢迎在中国的TET。质量和情感视频，祝您新年快乐！
17620,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9841sQoDWow,7,"heardistance wait! didn’t you insult me first by saying i am poor and not well educated first? did i insult you?i just shared different opinions and then you tortured me by saying i am poor and not well educated, didn’t you point at me?i remember that’s the comment for me, wasn’t it? of course i took it personal. what are you just talking about here? how can the video about one chinese girl’s farm life turn to be so complicated?yes, certainly there are so many poor chinese framers differ so much from this girl, so what? this is just a video, what do you expect more from this?i really don’t understand the point of the argument here. perhaps just the cultural differences. now that i use english and german both are not my first language to communicate with you, apparently the conversation is still broken, i would suggest now that you are interested in chinese or china so much, then learn some chinese would be very beneficial for you to understand us. otherwise, it’s hard.",听到等待！您不是先说我贫穷而受过良好教育的人不是先侮辱我吗？我侮辱了你吗？我只是分享了不同的意见，然后你说我贫穷，受过良好教育，你不指我吗？我记得我的评论是对我的，不是吗？我当然是个人的。你在这里说什么？关于一个中国女孩的农场生活的视频如何变得如此复杂？是的，当然有这么多可怜的中国框架与这个女孩有很大不同，那又如何呢？这只是一个视频，您对此有更多的期望？我真的不明白这里的论点的意义。也许只是文化差异。现在我使用英语和德语并不是我与您交流的母语，显然对话仍然打破，我建议您现在对中国或中国如此感兴趣，然后学会一些中文对您非常有益了解我们。否则，很难。
37143,UgxAcnyYFgvVZavwteB4AaABAg,7,"what a beautiful life, thanks for this type of channels full of peace.",多么美好的生活，感谢这种充满和平的频道。
3931,UgwotmtFc10S3wLypwl4AaABAg,7,"2021年9月20日 this is more of a real life recording than staging. incredible genius and artist 

of course now ziqi can afford any kind of “staging “ . but she does not need it. 

her cost of making each video is almost neglect-able relative to the money she is getting out of it. 

talking about the art of making money? ziqi is indeed a genius of making both us dollars as well as rmb. she did not intend it though. to her, it has been a big surprise i guess. 

ziqi deserves everything. she earned it all. 

leave her alone!!!! i mean everyone!!! let her just create more videos. that’s the best way for her to serve this world, serve humanity. 

government involvement of any kind will only destroy this beauty. 

the beauty of the digital world. 

a real person in life. a loving granddaughter. a real “people’s artist “and, an amazingly hard worker","2021年9月20日这更像是现实生活中的记录，而不是舞台。令人难以置信的天才和艺术家

当然，现在Ziqi可以负担任何类型的“分期”。但是她不需要。

相对于她从中赚钱的钱，制作每个视频的成本几乎是可忽略的。

谈论赚钱的艺术？ Ziqi确实是赚钱和rmb的天才。她不打算。对她来说，我猜这真是一个很大的惊喜。

Ziqi应该得到一切。她赢得了全部。

放过她！！！！我的意思是每个人！！！让她创建更多视频。这是她为这个世界服务，为人类服务的最好方法。

政府参与任何形式只会破坏这种美丽。

数字世界的美丽。

生活中的真实人。一个充满爱心的孙女。一个真正的“人民艺术家”，一个非常勤奋的人"
13929,UgyStEgQAuSEMLI_67J4AaABAg,7,"good old life.
watching my heart warms up.","美好的旧生活。
看着我的心温暖。"
45919,UgxaDU-i8vgfBjmucGp4AaABAg,7,the place is so calm and full of life,这个地方是如此平静和充满生命
37713,Ugy1MdB_pBSaxUIidh94AaABAg,7,"humans are always sabotaging the nature, but you see this passage. you can go back to life again",人类总是在破坏大自然，但是您会看到这段经文。您可以再次重生
9670,Ugxmi1WsGKgCgWurZgV4AaABAg,7,"this was really satisfying, quite and a nice lifestyle",这真的很令人满意，一种美好的生活方式
538,UgwMIyhkXPcl2ZiZzPV4AaABAg,7,"love this girl so much! ❤ she’s truly an inspiration… i admire how she lives her life to its fullest. simple but more meaningful life♥️ and i can see how she loves and cares for her grandma. makes me miss my own grandma who’s in heaven now 
looking for your comeback! ❤ god bless you","非常爱这个女孩！ ❤她确实是一个灵感……我很欣赏她如何充实自己的生活。简单但更有意义的生活♥️和我可以看到她的爱和照顾奶奶。让我想念自己的祖母，他现在在天堂
寻找您的卷土重来！ ❤上帝保佑你"
36435,Ugw5-pBnxivmknzqY5F4AaABAg,7,"i'm loving your channel.
what a blessed life! ๐’
kisses.
patricia from brazil ๐ด","我爱你的频道。
多么幸福的生活！ 
吻。
来自巴西的帕特里夏"
7092,UgwxvShUzgmMWfhxelF4AaABAg,7,"our families watch this clip together even we live in different countries. we agree that watching her life story allowing us to gain more understand of chinese nowadays in china which is different from what we learned in schools in western countries. (better thank listen to any formal ambassador)
this is heaven on earth that we want to have an opportunity just at least once in our lives to have such direct experiences like ziqi. 
thank you for sharing many things with us. also thank to her cameraman & assistant who is also her cousin, min guo for being with her to create many wonderful videos.","即使我们住在不同的国家，我们的家人也会一起观看这个剪辑。我们同意，看着她的人生故事使我们能够对中国的中国人有更多的了解，这与我们在西方国家中学到的东西不同。 （最好谢谢听任何正式大使）
这是地球上的天堂，我们希望在生活中至少有一次机会拥有像Ziqi这样的直接经历。
感谢您与我们分享很多东西。还要感谢她的摄影师和助手，她也是她的堂兄，明尼·郭（Min Guo）与她一起制作了许多精彩的视频。"
17626,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98AQIr4XPqn,6,"her parents divorced when she was a kid. after her stepmother abused her, she went back to grandma and grew up with them. due to poverty, she dropped out of school at 14 and went to big city and tried to make a living. she moved back to village to take care of her sick grandma and started filming her life in rural. i wouldn’t argue whether it’s fake or not. she created a life that many ppl wants to own. given her background, what an achievement!",她的父母小时候离婚。继母虐待她后，她回到奶奶，和他们一起长大。由于贫困，她在14岁时辍学，去了大城市，试图谋生。她搬回村庄照顾自己的奶奶，并开始在农村拍摄自己的生活。我不会争论是否是假的。她创造了许多人想要拥有的生活。鉴于她的背景，这是一项成就！
33403,Ugyl_AsY6ed9nS8Q4Rd4AaABAg,6,macha allah is very beautiful and a wonderful life better than electronic life,马赫·阿拉（Macha Allah）非常美丽，美好的生活比电子生活更好
31605,UgzwMHA-1gtI0UD5KJx4AaABAg,6,"i want to marry her. xd
or just live with her. 
this is so different from urban life.","我想嫁给她。 XD
或者只是和她同住。
这与城市生活完全不同。"
9903,UgzP0xpo1CJeEK2pr7V4AaABAg,6,this is the kind of life i wanna live ~,这是我想要过的生活〜
33819,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTYnQj1TXo,6,"@cessdejesus620 - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","@cessdejesus620-嗨，很抱歉它使您哭泣。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
10841,Ugzt93wrsMLjXjTfxOZ4AaABAg,6,i can't stop crying and i don't know why. all i want in life is this. i hope someday i achieve this dream of mine.,我不能停止哭泣，我不知道为什么。我一生中想要的就是这个。我希望有一天我实现了我的梦想。
33820,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTmeeXCYVX,6,"@kathaleenwood2426 thank you for your reply. even if i didn't know you in person, i can still understand how you feel. you're like a mother to me and i wish you happiness and good health as what i always pray for my parents.
i am a 23 year old lady from the philippines. me and my sister used to live in the province but since we need to go in college we moved in the city all by ourselves. after finishing college, the reality will suddenly hit you. this teached me a lot of lessongs in life.
now we are both working as an accountant but deep down in our hearts, we also know that this is not the true meaning of life. you work hard and pay your bills then repeat. life should be living with happiness, love, security and peace.
our time will come and this is only temporary. we will work hard for now to save money and buy farms in our native land.
our dream is to live again with our parents permanently after a decade. employ some local workers,aetas to be specific, and treat them as our own family.
aetas are one of the filipino tribes who live in the mountains. everybody thinks it will be easy to live in the mountains. dig, plant and harvest doesn't yield any assurance every harvest time since climate change happens. i emphatize them for begging money on the road during christmas day and other special holidays. this people will be my advocacy. 
i know i'm still young. but what i have learned is that in my country it is not enough that you are either physically capable of doing things or intellectually excellent to have a good job and understand the fast forwarding modern world. you should acquire both as superior people will surely take advantage of your innocence. imagine companies buying coffee beans from farmers at only 8 pesos per kilo (1 us dollar = 50-54 pesos). 

i will strive harder everyday and make other people live a life the way it should be. i want to have a purpose in life and reconnect with the nature once again during my retirement years :)","@kathaleenwood2426感谢您的答复。即使我不亲自认识您，我仍然可以理解您的感受。您就像我对我的母亲一样，祝您幸福和身体健康，因为我一直为父母祈祷。
我是来自菲律宾的23岁女士。我和我的姐姐曾经住在该省，但是由于我们需要上大学，所以我们独自搬到了这座城市。大学完成后，现实将突然袭击您。这教会了我生活中的很多少数。
现在，我们俩都在为会计师工作，但内心深处，我们也知道这不是生活的真正含义。您努力工作并支付账单，然后重复。生活应该以幸福，爱，安全与和平生活。
我们的时间会到来，这只是暂时的。我们现在将努力省钱，在我们的祖国购买农场。
我们的梦想是在十年后与父母永久与父母一起生活。雇用一些当地工人，特定的AETA，并将其视为我们自己的家庭。
Aetas是住在山上的菲律宾部落之一。每个人都认为住在山上很容易。自气候变化发生以来，挖掘，植物和收获并不能在每次收获时间中获得任何保证。我强调他们在圣诞节和其他特殊假期期间在路上乞讨钱。这个人将是我的倡导。
我知道我还很年轻。但是我了解到的是，在我的国家，您要么身体上有能力做事，要么在智力上出色地做好工作并了解快速转发的现代世界是不够的。您应该获得两者，因为高级人士肯定会利用您的纯真。想象一下，公司从农民那里购买咖啡豆，每公斤仅8比索（1美元= 50-54比索）。

我每天都会更加努力，使其他人按照自己的生活生活。我想在我的退休年中重新与大自然重新建立目标：)"
10872,UgxInEwtcSoZG8S0m-V4AaABAg,6,"pictures come to life in the dark ๐ it is necessary to see this, go to the channel ๐ subscribe ๐””ware
for ๐ฅpasibo ##ornuli","图片在黑暗中栩栩如生
对于pasibo ## ornuli"
10972,UgzD5ccHpIKnc2WK9IV4AaABAg,6,thank you for your video for us to see rural life,谢谢你的视频 让我们看到田园生活
42692,UgxF16Hnjfbussabw8B4AaABAg,6,"i love her, very cute and smart, healty life with healty view",我爱她，非常可爱又聪明，治愈的生活，可欣赏
16058,UgyGOpgYzsE4GCACBhB4AaABAg.98y83XFyfrD997de5yeB7c,6,they don't know the beauty of life.,他们不知道生活的美丽。
26982,Ugx92cvEwSWHWO46wfN4AaABAg,6,"just wow
it is like anime movie in a real life๐
everything is so beautiful,calm,so amazing and so so sooo ........have no words,just wonderfullโค","哇
就像真实生活中的动漫电影
一切都是如此美丽，镇定，如此惊人和如此如此的太好........没有言语，只是很棒"
14129,UgydH9FHFWAI3N27SWx4AaABAg,6,"beautiful and amazing. she is living a life, which many would love living for sometime.",美丽而惊人。她过着生活，许多人会喜欢生活。
22928,UgxA2fu0VtTNINBwEUZ4AaABAg,6,my mother -in -law is really a blessing of my life. she silently eat her granddaughter's good cooking skills every day! envy!,婆婆真的是前辈子修来的福分，每天默默的吃着孙女善巧的厨艺 ! 羡慕不已 !
37069,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8yWAOwXnZ8e,6,"justicefornichole it seems like that you don't know the truth. she admitted that she may take videos for several days, then cut and edit. she said that she is a normal girl like us, she can't do such things each day. she would like share the beautiful life with us. that is her real life, many chinese country life, maybe a little bit of art. anyway, she did it.",JustionFornichole似乎您不知道真相。她承认自己可以拍摄视频几天，然后剪切和编辑。她说她是像我们这样的普通女孩，她每天不能做这样的事情。她想与我们分享美好的生活。那是她的现实生活，许多中国乡村生活，也许是一点点艺术。无论如何，她做到了。
13763,UgztB5Rl08wK8xTabzl4AaABAg,6,i think she gonna sell them all.... wow... d beutfl nature nd her life was amazing and bless with that food,我想她会全部卖掉它们。。。
16871,UgzSP_zjVHGXL-5JqZB4AaABAg,6,everyone out there dont let your destiny in hands of capitalism rasing the prices... decreasing the price.... playing with your bread and life .....buy a land and start living with nature in nature and quit slavery,那里的每个人都不要让您的命运掌握在资本主义的手中...降低价格...。
38248,UgzsVr77_X1qQy3mIU94AaABAg,6,"suzhou people come to report! i envy the life in the mountains in sichuan, quiet and far away^_^",苏州人前来报道！好羡慕四川那边山里的生活，宁静致远^_^
25995,UgwA8cOFcpA6MQKibCp4AaABAg,6,"she's taking all this time to make these amazing foods while i just use the microwave and get impatient if i have to microwave it for 5 minutes. . .






brb gotta go rethink my life","当我只使用微波炉时，如果我不得不微波炉持续5分钟，她都花了很多时间来制作这些令人惊叹的食物。 。 。






BRB必须重新考虑我的生活"
39282,UgwiUx2Wr99inTbPZ5t4AaABAg,6,"oh, nice. that's how i remembered how life used to be...๐•",不错哦。这就是我记得生活的方式...
11021,Ugz9iZYm-ruPe5R8D1F4AaABAg,6,"i too want to live a life where there is no one to interfere in my life where i could grow vegetables myself before my meal in my small farm and there is no needless peeping around. i get irritated by people who peep at me. they do not believe in living life peacefully, but spend their lives in mischiefs of others.",我也想过上一种生活，在我的生活中没有人可以干扰我在小农场用餐前可以种蔬菜，而且无需窥视。偷看我的人感到恼火。他们不和平地相信生活，而是在他人的恶作剧中度过一生。
39284,UgyPA81j0Nt8lhwWk594AaABAg,6,that's the shaolin temple life. the mountains is a sacred place.,那就是少林神庙的生活。山是一个神圣的地方。
27588,UgzQwnmjnXh7tNb6x3V4AaABAg,6,"thatโ€s it. iโ€m moving to china or idk where the heck this place is....



when iโ€m done w college or going to college. 
i want this lifestyle.","就是这样。我要搬到这个地方到处的中国或IDK。



当我完成大学或上大学时。
我想要这种生活方式。"
28892,UgyRW2uW7aCyVCo0Ubd4AaABAg,6,"i love her videos
i love how aesthetic is her garden,house, everything...
how cute her animals are
and i love that she is not using modern things.. i love how she doing it like in the really old old old life... i just love her channel! โค๏ธโค๏ธ","我爱她的视频
我喜欢她的花园，房子，一切的美学...
她的动物有多可爱
我喜欢她不使用现代事物。我喜欢她在真正的旧生活中的样子……我只是爱她的频道！ ❤️❤️"
